Gujarati,Punjabi
ચપળ બળ,ਚਿਪਕਣ ਵਾਲੀ ਤਾਕਤ
શણગારવું,ਐਡਪੋਜ਼
એડિપોસાઇટ (ચરબી કોષ),Adipocyte (ਚਰਬੀ ਸੈੱਲ)
ચરબી પેશી,ਐਡਪੋਜ਼ ਟਿਸ਼ੂ
Nતરતું,ਐਡਨੇਟ
સંલગ્ન સમુદાય,ਨਾਲ ਲੱਗਦੀ ਕਮਿ Community ਨਿਟੀ
વ્યવહાસી,ਐਡਰੀਨਲ
એડ્રીનલ ગ્રંથિ,ਐਡਰੇਨਲ ਗਲੈਂਡ
એડ્રેનોકોર્ટિકોટ્રોપિક હોર્મોન (એસીટીએચ),ਐਡਰੇਨੋਕੋਟਰੋਪਿਕ ਹਾਰਮੋਨ (ਐਕਟਿਹ)
એડ્રેનોકોર્ટિકોટ્રોપિક રિલીઝિંગ હોર્મોન (એસીટીઆરએચ),ਐਡਰੇਨੋਕਰੋਪੋਰਟਿਕੋਟਰੋਪਿਕ ਰੀਲੀਜ਼ ਹਾਰਮੋਨ (ACTRH)
શોષક,ਐਡੋਰਬੈਂਟ
શોષક,ਇਸ਼ਤਿਹਾਰ
અદ્યતન તાર,ਐਡਵਾਂਸਡ ਕੋਰਡੇਟ
ફાયદાકારક પરિવર્તન,ਲਾਭਦਾਇਕ ਪਰਿਵਰਤਨ
સાહસિક,ਸਾਹਸੀ
અગમ્ય મૂળ,ਸਾਹਸੀ ਜੜ
પ્રતિકૂળ અસર,ਗਲਤ ਪ੍ਰਭਾਵ
એડીસ,ਏ.ਡੀ.ਡੀ.
સંસ્કૃતિનો વાયુ,ਸਭਿਆਚਾਰ ਦੀ ਹਵਾਬਾਜ਼ੀ
વિમાન,Énerchyma
હવાઈ,ਏਰੀਅਲ
હવાઈ ​​મૂળ,ਏਰੀਅਲ ਰੂਟ
હવાઈ ​​ગોળી,ਏਰੀਅਲ ਸ਼ੂਟ
વાયુગામી શ્વસન,ਐਰੋਬਿਕ ਸਾਹ
વાયુગામી શ્વસન,ਐਰੋਬਿਕ ਸਾਹ
સૌંદર્ય શાસ્ત્ર,ਸੁਹਜ
નિલાસ્ય,ਖਰਾਸ਼
નિલાસ્ય,ਖਰਾਸ਼
સંલગ્ન,ਪਿਆਰ
લગાવ રંગ,ਪੱਕਾ ਐਫੀਲੀਅਸ ਕ੍ਰੋਮੈਟੋਗ੍ਰਾਫੀ
પીડિત અંગ,ਦੁਖੀ ਅੰਗ
વનીકરણ,ਕਥਾ
અકસ્માત,ਅਗਿਆਤ
પાટિયું,ਅਗਰ
અણીદાર,ਅਗਿਆਤ
એલોઝ જેલ એલેટ્રોફોરેસિસ,ਅਗਾਅਰਜ਼ ਜੈੱਲ ਐਲੀਟ੍ਰੋਫੋਨਸਿਸ
પિલર જેલ,ਅਗਿਆਤ ਪੋਲੀਮਰ ਜੈੱਲ
અવસ્થામાં,ਅਤਿ
ખાડી,ਅਗਾਵ
વય વહેંચણી,ਉਮਰ ਵੰਡ
વય પિરામિડ,ਉਮਰ ਪਿਰਾਮਿਡ
Agલટ,Agglutate
સમૂહ,ਸਮੁੱਚੀ
એકંદર,Follicle ਦਾ ਸਮੁੱਚਾ
એકંદર,Follicle ਦਾ ਸਮੁੱਚਾ
એકંદર,ਇਕੱਤਰਤਾ
આક્રમકતા,ਹਮਲਾਵਰਤਾ
આંદોલનકારી પદ્ધતિ,ਐਗਰੀਏਟਰ ਸਿਸਟਮ
એકરાગ,ਅਗਨੀਥਾ
અણી,ਅਗਾਤੀ
અગ્રાણ ક્લોરોપ્લાસ્ટ,ਅਗਰੰਡੀ ਕਲਰੋਲੋਪਲਾਸਟ
એકરારવાળું,ਅਗਰੂ
એગ્રાન્યુલોસાઇટ,ਅਗਰਾਨੂਲੋਸਾਈਟ
કૃષિ,ਖੇਤੀ ਬਾੜੀ
કૃષિ -પ્રવેશ,ਐਗਰੋਫੋਰੈਸਟਰੀ
મધ્યસ્થી,ਐਗਰੋਬੈਟਰਿਅਮ ਵਿਚੋਲਗੀ
એગ્રોબેક્ટેરિયમ ટ્યુમેફેસિઅન્સ,ਐਗਰੋਬੈਟਰਿਅਮ ਟੋਮਫੈਕੈਨਜ਼
કૃષિ -તકનીકી,ਐਗਰੋ ਕੈਮੀਕਲ
કૃષિ -તકનીકી,ਐਗਰੋ ਕੈਮੀਕਲ
કૃષિ -ક્ષેત્ર,ਅਗਰੋਕਲਾਈਮੈਟਿਕ ਜ਼ੋਨ
કૃષિવિજ્ trાન,ਖੇਤੀਬਾਜੀ ਗੁਣ
કૃષિવિજ્yાન,ਖੇਤੀਬਾੜੀ
સહાય,ਏਡਜ਼
હવાઈ ​​મૂત્રાશય,ਏਅਰ ਬਲੈਡਰ
હવાઈ ​​કન્ડિશનર,ੲੇ. ਸੀ
હવાઈ ​​માર્ગ,ਹਵਾ ਦਾ ਰਾਹ
હવા પ્રદૂષણ,ਹਵਾ ਪ੍ਰਦੂਸ਼ਣ
હવાઈ ​​કોથળી,ਏਅਰ ਸੈਕ
હવાઈપૂટી,ਏਅਰ ਵੈਕਲੂਓਲ
હવાઈ ​​શ્વાસ,ਹਵਾ-ਸਾਹ
અણીદાર,ਅਲੇਨ
અણીદાર સ્નાયુ,ਅਲੇਰੀ ਮਾਸਪੇਸ਼ੀ
અલાસ્કા બ્રાઉન રીંછ,ਅਲਾਸਕਨ ਬ੍ਰਾ .ਨ ਰਿੱਛ
કોયડો,ਐਲਬਿਨੋ
કાંચક,ਆਲਬੂਗੋ
આલ્બ્યુબિન,ਐਲਬਮਿਨ
શામક બીજ,ਐਲਬਿੰਜੀਨ ਬੀਜ
આલ્બમિન્યુરિયા,ਐਲਬਿ → ਮਿਨੂਰੀਆ
આવરણ,ਐਲਬਟਨਮ
અણી,ਐਲਸੀਏਸੀ
શણગાર,Aldeyhede
મિથોસ્ટેરોન,ਅੈਲਡੋਸਟਰੋਨ ਸਿਸਟਮ
અલડોસ્ટેરા,ਅਲੇਸਟਰੋਨ
Alલ્યુરોન સ્તર,ਅਲੇਪੁਰਨ ਪਰਤ
એક જાતનો અવાજ,ਐਲੇਰੋਪਲਾਸਟ
એક જાતની કળા,ਅਲਫਾਫਾ
એલ્ગલ મોર,ਐਲਗਲ ਖਿੜ
જાસૂસ,ਅਲੀਗਿਨ
પરાયું ડીએનએ,ਪਰਦੇਸੀ ਡੀਐਨਏ
પરિયન જાતિઓ,ਪਰਦੇਸੀ ਪ੍ਰਜਾਤੀ
ગોઠવણી,ਅਲਾਈਨਮੈਂਟ
ગોઠવણી,ਅਲਾਈਨਮੈਂਟ
ઉદાર નહેર,ਅਲੀਮੈਂਟਰੀ ਨਹਿਰ
અંતરીલ પદ્ધતિ,ਅਲੀਮੈਂਟਰੀ ਸਿਸਟਮ
અણી,ਐਲਿਸਮੇਸਸੀ
ક્ષુદ્ર,ਐਲਕਾਲਾਇਡ
ક્ષુદ્ર,ਐਲਕਲੀਨ
આલ્કીપ્ટોન્યુરિયા,ਅਲਕਾਪਟਨੂਰੀਆ
અણી,ਅੱਲੈਂਟੋਇਸ
એલીલ આવર્તન,ਐਲੀ ਬਾਰੰਬਾਰਤਾ
એલીલ,ਐਲੀਲ
એલેલોમોર્ફિક જોડી,ਅਲੇਲਬਿਕ ਜੋੜੀ
એલર્જન,ਐਲਰਗੇਨ
મગર,ਐਲੀਗੇਟਰ
એલીયમ સી.પી.ઇ.પી.એ.,ਐਲੀਅਮ ਸੀ.ਪੀ.ਏ.
સહ -સંબંધ,ਆਲੋਗਮ
અલગ,ਅਲਾਗ੍ਰਾਫਟ
એલોપેટ્રિક સ્પષ્ટીકરણ,ਅਲੋਪੈਟ੍ਰਿਕ ਜਾਦੂਈ
ફિલોપ્લોઇડ,ਐਲੋਪੋਲਾਈਵਲਾਈਡ
એલોસ્ટીક અસર,ਐਲੋਸਟਰਿਕ ਪ੍ਰਭਾਵ
એલોસ્ટીક ઉત્સુક,ਐਲੋਸਟ੍ਰਿਕ ਪਾਚਕ
એલોસ્ટીક અવરોધક,ਐਲੋਸਟਰਿਕ ਇਨਿਹਿਬਟਰ
ખેલ -મોડ્યુલેશન,ਐਲੋਸਟ੍ਰਿਕ ਮੈਨੂਲੇਸ਼ਨ
એલોસ્ટીક સ્થળ,ਐਲੋਸਟ੍ਰਿਕ ਸਾਈਟ
એલોસ્ટીક અવરોધ,ਐਲੋਸਟਰਿਕ ਰੋਕ
એલોટેટ્રાપ્લોઇડ,Allotetraplaidd
કૃતિ,ਐਲਾਨਸ
કુંવાર,ਐਲੋ
ચેતાક્ષની સાથે,ਐਕਸੋਨ ਦੇ ਨਾਲ
આલ્ફા-એન્ટાઇટ્રિપ્સિન,ਅਲਫ਼ਾ-ਐਂਟੀਟ੍ਰਿਪਸਿਨ
અણી,ਅਲਫ਼ਾ-ਲੈਕਟਲਬੁਮਿਨ
આધ્યાત્મિક આબોહવાની સ્થિતિ,ਐਲਪਾਈਨ ਦੀ ਸਥਿਤੀ
ઘાસચારો,ਅਲਪਾਈਨ ਮੈਡੋ
આલ્પાઈન ઝોન,ਅਲਪਾਈਨ ਜ਼ੋਨ
અલ્ટોનીયા,ਅਲਸਟੋਨੀਆ
અનાદર,ਅਲਟਰਨੇਰੀਆ
વૈભવી,ਵਿਕਲਪਿਕ
એકાંત,ਪੀੜ੍ਹੀ ਦੀ ਤਬਦੀਲੀ
Altણ માંદગી,ਉਚਾਈ ਬਿਮਾਰੀ
Altંચાઈ,ਉਚਾਈ
મૂર્ત નળી,ਐਲਵੋਲਰ ਡੈਕਟ
પહાડી,ਅਲਾਈਨ
અલ્ઝાઇમર રોગ,ਅਲਜ਼ਾਈਮਰ ਰੋਗ
આદિક કોષ,ਅਮੈਕਰਾਈਨ ਸੈੱਲ
અમરાન્થેસી,ਅਮਰੰਥੈਸੇ
અમરાન્થસ,ਅਮੈਸ਼ਨਥਸ
આસપાસના ઓસ્મોટિક એકાગ્રતા,ਅੰਬੀਨਟ ਓਮੋਟਿਕ ਗਾੜ੍ਹਾਪਣ
મંગળિયા,ਅਮੈਸਟੋਮਾ
કાર્યરત થવું,ਐਮੀਡ
એમિનો એસિડ,ਅਮੀਨੋ ਐਸਿਡ
એમિનો એસિડ સ્વીકારનાર,ਅਮੀਨੋ ਐਸਿਡ ਸਵੀਕਾਰਟਰ
એમિનોસિલ ટી આર.એન.એ.,ਅਮੀਨੋਸਾੱਲ ਟੀ ਆਰ ਐਨ ਏ ਸਿੰਥੇਟੇਸ
જાદુગરી,ਅਮੀਨੋਕੁਲੇਸ਼ਨ
ક્ષુત્વ,ਅਮਿਤੋਸਿਸ
તરંગ,ਅਮੋਨੀਆ
ચંદ્ર,ਅਨੁਮੋਧ
દ્વેષીકરણ,ਅਮੋਨੋਟੇਲਿਜ਼ਮ
મૈવસેન્ટિસીસ,ਅਮਨੀਓਸੈਂਟੀਸਿਸ
મણકાલોની તકનીક,ਅਮਨੀਓਸੈਂਟੀਸਿਸ ਤਕਨੀਕ
Amnoocyte,ਅਮਨੀਓਸਾਈਟ
મૈથુન,ਅਮਨੀਅਨ
મણિ -પ્રવાહી,ਅਮਨੀਓਟਿਕ ਤਰਲ
મખરોધ,ਐਮਨੀਓਟਿਕ ਝਿੱਲੀ
મખસુડ,ਅਮਨੀਓਟਿਕਯੂ
અમીર,ਅਮੋਬਾ
એમોએબોસાઇટ,ਅਮੀਓਬੋਸਾਈਟ
અમીર,ਅਮੀਬੋਇਡ
એમોએબોઇડ લિમ્ફોસાઇટ,ਅਮੀਬੋਇਡ ਲਿੰਫੋਸਾਈਟ
એમીબોઇડ આંદોલન,ਅਮੀਬੋਇਡ ਅੰਦੋਲਨ
આકારહીન,ਅਮੋਰੈਫਸ
રકમ,ਦੀ ਰਕਮ
મેફેટેમાઇન,ਅਮੀਫੇਟਾਮਾਈਨ
ઉન્માદ,ਅਮਫੀਬੀਆ
ઉન્માદ,ਐਫੀਬੀਅਨ
ઉન્માદ,ਐਫੀਬੀਅਨ
Amન,Amphioxus
Amણપત્ર,Amphioxus Lannolotus
ઉભય,ਐਮਫੀਪਾਥਿਕ
ઉભયપથિક લિપિડ,ਐਮਫੀਪਾਥਿਕ ਲਿਪਿਡ
Amતરતી કળા,ਅਮਫੀਸਾਰਕਾ
જાદુઈ,ਐਂਪੀਸਿਲਿਨ
Amાંકી,Ampulla
Amકલી ગ્રંથિ,ਐਮਪੁੱਲੇਰੀ ਗਲੈਂਡ
મસ્તક,ਅਮੀਗਡਲ
એમીગડેલ,ਅਮੀਗਡੇਲ
એમીગડાલિન,ਅਮੀਗਡਲਿਨ
સ્ફોટક,ਐਮੀਲੇਸ
મેલીલોપ્લાસ્ટ,ਅਮੋਲੋਪਲਾਸਸਟ
અનોડો,ਅਨਬਾਨਾ
અનોડો,ਅਨਬਾਸ
એનાબોલિક માર્ગ,ਐਨਾਬੋਲਿਕ ਮਾਰਗਾਂ
અનોખા,ਐਨਾਬੋਲਿਜ਼ਮ
અનોખા,ਅਨਾਕਾਰਿਆਸੀ
રખડુ,ਅਨੀਮੀਆ
એનોરોબ,ਅਨੀਰੋਬ
એંટરોબિક બળતણ,ਅਨੈਰੋਬਿਕ ਬਾਲਣ
એંકોરોબિક શ્વસન,ਅਨੈਰੋਬਿਕ ਸਾਹ
એનારોબિક કાદવ પાચક,ਅਨੈਰੋਬਿਕ ਸਲੈਗ ਡਿਜਸਟਰ
એંટરો,ਅਨੀਰੋਬਿਕ
અનોદ,ਅਨਾਮਾ
ગુદા,ਗੁਦਾ
ગુદા,ਗੁਦਾ
ગુદા છિદ્ર,ਗੁਦਾ ਅਪਰਚਰ
ગુદા સર્કી,ਗੁਦਾ ਕਰਬੇਲੀ
ગુદા લૂપ,ਗੁਦਾ ਲੂਪ
ગુદા શૈલી,ਗੁਦਾ ਸ਼ੈਲੀ
સમાન,ਸਮਾਨ
સમાન,ਸਮਾਨ
સાદ્રશ્ય,ਸਮਾਨਤਾ
સાદ્રશ્ય,ਸਮਾਨਤਾ
વિશ્લેષણ,ਵਿਸ਼ਲੇਸ਼ਣ
એફેઝ,ਐਨਾਫਸੇਸ
એનાટોમિક અવરોધ,ਐਨੀਟੋਮਿਕ ਬੈਰੀਅਰ
શરીરરચનાવિષયક પાસા,ਐਨਾਟੋਮਿਕਲ ਪਹਿਲੂ
શરીરરચનાવિજ્istાની,ਐਨੀਟੋਮਿਸਟ
શરીરરચના,ਸਰੀਰ ਵਿਗਿਆਨ
પૂર્વજ વંશજ અનુક્રમ,ਪੂਰਵਜ ਵੰਸ਼ਜ ਕ੍ਰਮ
પૂર્વજોનો વંશ,ਜੱਦੀ ਵੰਸ਼ਜ
પૂર્વજો,ਪੂਰਵਜ ਕ੍ਰਮ
આદ,ਐਸੀਕੇਲੋਸਟੋਮਾ
જનનુભારી,ਐਂਡਰੋਸੀਅਮ
થાંભલા,ਐਂਡਰੋਜਨ
રખડુ,ਅਨੀਮੀਆ
ક anંગું,ਅਨੀਮੋਨ
Anડતું,ਅਨੀਉਟਲੋਇਡ
Anન,ਅਨੀਯੁਰਾਕੀਡੀ
કંઠમાળ,ਐਨਜਾਈਨਾ
ઝેરગ્રામ,ਐਂਜੀਗਰਾਮ
ઝ પણરો,ਐਂਜੀਓਗ੍ਰਾਫ
ઝળહળાકાર,ਐਂਜੀਓਗ੍ਰਾਫੀ
રંગની કળા,ਐਂਜੀਓਪਲਾਸਟੀ
કણક,ਐਂਜੀਓਸਪਰਸਮ
રંગગતિ,ਐਂਜੀਓਟੈਨਸਿਨ
રંગગતિ,ਐਂਜੀਓਟੈਨਸਿਨੋਜਨ
કોઠાર માછલી,ਐਂਗਲਰ ਮੱਛੀ
ઓગળવી,ਅੰਗੀਨਾ
અંગૂઠા,Anguiss
પશુ,ਜਾਨਵਰ
પશુ,ਜਾਨਵਰ
પ્રાણીનું છાણ,ਜਾਨਵਰ ਗੋਬਰ
પશુપાલન,ਪਸ਼ੂ ਪਾਲਣ
પશુ કેરીયોટાઇપિંગ,ਜਾਨਵਰ ਕੈਰੀਓਟਾਈਪਿੰਗ
પ્રાણીસૃષ્ટિ,ਪਸ਼ੂ ਰਾਜ
પશુ પેશી,ਜਾਨਵਰਾਂ ਦੇ ਟਿਸ਼ੂ
પોલાણ,ਯੰਤਰੀਆ
ઠગ,Anion
એશિશ,ਐਨਿਸੋਟ੍ਰੋਪਿਕ ਬੈਂਡ
Ingંચે ચપટી,ਐਂਲਿੰਗਿੰਗ
નેલિડ,ਅੰਨੇਲਿਡ
Annણપુટી,ਅਨਲਿਲਡਾ
વાર્ષિક,ਸਾਲਾਨਾ ਰਿੰਗ
ઉશ્કેરાયેલું,ਅੰਨਟੇਡ
વાંકું,ਸਾਲ
વિસંગત પ્રકાર,ਅਸਧਾਰਨ ਕਿਸਮ
પર્વતમાળા,ਐਨਾਓਫੇਲਜ਼
કીડી,ਕੀੜੀ ਹੈਟਰ
વિરોધી,ਵਿਰੋਧੀ
એન્ટાર્કટિક,ਅੰਟਾਰਕਟਿਕ
એન્ટેના,ਐਂਟੀਨਾ
એન્ટેના સંકુલ,ਐਂਟੀਨਾ ਕੰਪਲੈਕਸ
દ્વેષી ગ્રંથિ,ਐਨਟੇਨਲ ਗਲੈਂਡ
અગ્રવર્તી (વેન્ટ્રલ) ગ્રે હોર્ન,ਪਿਛਲੇ (ਵੈਂਟ੍ਰਲ) ਸਲੇਟੀ ਸਿੰਗ
અગ્રવર્તી હાયપોફિસીસ,ਐਂਟੀਰੀਫਾਈਫਾਈਸਿਸ
અગ્રવર્તી ઇન્ટરન્ટિક્યુલર સલ્કસ,ਐਂਟੀਰੀਅਰ ਇੰਟਰਵੈਂਟ੍ਰਿਕੂਲਰ ਸੂਲਕਸ
ગૂંથ મારવો,ਐਂਥਰ
એન્થર સંસ્કૃતિ,ਐਂਥਰ ਸਭਿਆਚਾਰ
માદક દ્રવ્યો,ਐਂਡਰਾਈਡਿਅਮ
એન્થેરોઝોઇડ,ਐਂਡਰੋਜ਼ੋਇਡ
એન્થોસેરોસ,ਐਂਥਸੋਰੋਸ
એન્થોસેરોટોપ્સિડા,ਐਂਥੋਸਰੋਟੋਫਡਾਡਾ
એક જાતની નશરીય,ਐਂਥ੍ਰੈਕਸ
માનવશાસ્ત્ર,ਐਂਥ੍ਰੋਪੋਜਾਈਜਡ ਅਲੋਪ
માનવશાસ્ત્ર,ਮਾਨਵ-ਵਿਗਿਆਨ
એન્ટિબેક્ટેરનું,ਐਂਟੀਬੈਕਟੀਰੀਅਲ
એન્ટિબાયોટિક પેનિસિલિન,ਐਂਟੀਬਾਇਓਟਿਕ ਪੈਨਸਿਲਿਨ
એન્ટિબાયોટિક પ્રતિરોધક,ਐਂਟੀਬਾਇਓਟਿਕ ਰੋਧਕ
એન્ટિબાયોટિક (ઓ),ਐਂਟੀਬਾਇਓਟਿਕ (ਜ਼)
એન્ટિબોડી,ਐਂਟੀਬਾਡੀ
એન્ટિબોડી દંપતી,ਐਂਟੀਬਾਡੀ ਜੋੜਾ
એન્ટિબોડી મધ્યસ્થી,ਐਂਟੀਬਾਡੀ ਵਿਚੋਲੀ ਛੋਟ
એન્ટીકોએગ્યુલેંટ,ਐਂਟੀਕੋਆਗੂਲੈਂਟ
એન્ટિકોડન લૂપ,ਐਂਟੀਕੋਡਨ ਲੂਪ
એન્ટીડિપ્રેસ,ਰੋਗਾਣੂਨਾਸ਼ਕ
એન્ટિડ્યુરેટિક હોર્મોન (એડીએચ),ਐਂਟੀਡੀਯੂਯੂਰੀ ਹਾਰਮੋਨ (ਏਡੀਐਚ)
જનીન,ਐਂਟੀਗਨ ਜੀਨ
એન્ટિજેન-એન્ટિબોડી સંકુલ,ਐਂਟੀਗਨ-ਐਂਟੀਬਾਡੀ ਕੰਪਲੈਕਸ
એન્ટિજેનિક નિર્ધારક,ਐਂਟੀਗੈਨਿਕ ਨਿਰਣਾਇਕ
અસાધારણ પરિબળ,ਐਂਟੀਨੂਪਸ਼ਨਲ ਫੈਕਟਰ
વિરોધી,ਐਂਟੀਆਕਸੀਡੈਂਟ
એન્ટિપોડલ ન્યુક્લિયસ,ਐਂਟੀਪੰਡੀਲ ਨਿ le ਕਲੀਅਸ
સમૃદ્ધ આર.એન.એ.,ਤਣਾਅ ਵਿਰੋਧੀ ਆਰ ਐਨ ਏ
