Assamese,Kannada
কৃষি জলবায়ু মণ্ডল সৃষ্টি,ಕೃಷಿ ಹವಾಮಾನ ವಲಯದ ಸೃಷ್ಟಿ
কৃষি বনানীকৰণ,ಕೃಷಿ ಅರಣ್ಯ
কৃষি বিজ্ঞান,ಕೃಷಿಶಾಸ್ತ್ರ
কৃষিভিত্তিক,ಕೃಷಿಶಾಸ್ತ್ರ
কৃষি পশুপালন,ಕೃಷಿ ಪಶುಪಾಲಕ
শস্য প্ৰক্ৰিয়াকৰণ,ಬೆಳೆ ಸಂಸ್ಕರಣೆ
ঘাঁহ বিজ্ঞান,ಹುಲ್ಲು ವಿಜ್ಞಾನ
শস্যৰ প্ৰকাৰ,ಬೆಳೆ ಪ್ರಕಾರ
এপিফাইট,ಎಪಿಫೈಟ್
আইকিওচি মাটি,ಐಕಿಯೋಚಿ ಮಣ್ಣು
ৰঙৰ অন্ধতা,ಬಣ್ಣಗುರುಡು
আলফিছল,ಅಲ್ಫಿಸೋಲ್
শেলাই,ಪಾಚಿ
শেলাইৰ ৰোগ,ಪಾಚಿ ರೋಗ
ক্ষাৰকীয় পানী,ಕ್ಷಾರ ನೀರು
ক্ষাৰকীয়,ಕ್ಷಾರೀಯ
বিকল্প,ಪರ್ಯಾಯ
allelo ৰসায়ন বিজ্ঞান,ಅಲ್ಲೆಲೋ ರಸಾಯನಶಾಸ್ತ್ರ
এলিল,ಆಲೀಲ್
এলেল&#39;পেথী,ಅಲೆಲೋಪತಿ
ভেঠী শস্য,ವೇಥಿ ಬೆಳೆ
consummation,ಪೂರ್ಣಗೊಳ್ಳುವಿಕೆ
নিষেচন কৰা,ಫಲೀಕರಣ
১.আপেক্ষিকতা ২.এলোমেট্ৰি,1. ಸಾಪೇಕ್ಷತೆ 2. ಅಲೋಮೆಟ್ರಿ
multiploidy,ಮಲ್ಟಿಪ್ಲಾಯ್ಡ್
১/ পেৰাজাইগোচিটি,1. ಪ್ಯಾರಾಜಿಗೋಸಿಟಿ
1. বিকল্প বছৰৰ ফলন 2. বিকল্প ফলন,1. ಪರ್ಯಾಯ ವರ್ಷದ ಕಾರ್ಯ 2. ಪರ್ಯಾಯ ಕಾರ್ಯ
বিকল্প ভূমি ব্যৱহাৰ,ಪರ್ಯಾಯ ಭೂಮಿ ಬಳಕೆ
পৰিৱেশ,ಪರಿಸರ
সংস্কাৰক,ಸುಧಾರಕ
মাইট’ছিছ,ಮಿಟೋಸಿಸ್
আমিনন,ಅಮೀನನ್
এমোনিয়ন,ಅಮೋನಿಯನ್
amniferous,ಆಮ್ನಿಫೆರಸ್
১.অকাৰ্যকৰী ৰূপ ২.অৰূপী,1. ನಿಷ್ಪರಿಣಾಮಕಾರಿ ರೂಪ 2. ಅರೂಪಿ
উভচৰ মিশ্ৰণ,ಉಭಯಚರ ಮಿಶ್ರಣ
এম্ফোটেৰিক,ಆಂಫೋಟರಿಕ್
ষ্টকপাইলিং,ಸಂಗ್ರಹಣೆ
১/ এনাৰোবিক ২.এনাৰোবিক জীৱ,1. ಆಮ್ಲಜನಕರಹಿತ 2. ಆಮ್ಲಜನಕರಹಿತ ಜೀವಿಗಳು
হেপ্লয়ড,ಹ್ಯಾಪ್ಲಾಯ್ಡ್
কৌণিক ৰোপণ,ಕೋನೀಯ ನೆಟ್ಟ
পশুপালন,ಪಶುಸಂಗೋಪನೆ
পশুৰ মল-মূত্ৰ,ಪ್ರಾಣಿಗಳ ಮಲವಿಸರ್ಜನೆ
জীৱন্ত শক্তি,ಜೀವನ ಶಕ್ತಿ
অস্বাভাৱিক,ಅಸಂಗತ
এবছৰীয়া উদ্ভিদ,ಒಂದು ವರ್ಷದ ಸಸ್ಯ
বছেৰেকীয়া,ವಾರ್ಷಿಕ
1. আনন্দ 2. উজ্জ্বলতা,1. ಭಾವಪರವಶತೆ 2. ಪ್ರಕಾಶ
এন্থ্ৰেক্স,ಆಂಥ್ರಾಕ್ಸ್
মানৱজনিত কাৰকসমূহ,ಮಾನವಜನ್ಯ ಅಂಶಗಳು
জীয়াই থকা,ಬದುಕುಳಿಯುವಿಕೆ
১/ এন্টিবায়টিক ২। এন্টিবায়টিক,1. ಪ್ರತಿಜೀವಕ 2. ಪ್ರತಿಜೀವಕ
repulsive,ಹಿಮ್ಮೆಟ್ಟಿಸುವ
এন্টিঅক্সিডেন্ট,ಉತ್ಕರ್ಷಣ ನಿರೋಧಕ
এন্টিটক্সিন,ಆಂಟಿಟಾಕ್ಸಿನ್
ৰিং ফিংগাৰ,ಉಂಗುರದ ಬೆರಳು
১.এফিড ২.মহু ৩.চেপা,1. ಗಿಡಹೇನು 2. ಮಾಹು 3. ಚೇಪಾ
শীৰ্ষ কলি,ಮೇಲಿನ ಮೊಗ್ಗು
শীৰ্ষ ফলপ্ৰসূতা,ಗರಿಷ್ಠ ಪರಿಣಾಮಕಾರಿತ್ವ
মৌমাখি ৰখা,ಜೇನುಸಾಕಣೆ
অযৌনতা,ಅಲೈಂಗಿಕತೆ
এপ&#39;প্টোছিছ,ಅಪೊಪ್ಟೋಸಿಸ್
appendages,ಅನುಬಂಧಗಳು
appetizer,ಜೀರ್ಣಕಾರಕವಾಗಿ
প্ৰয়োগ কৰা হৈছে,ಅನ್ವಯಿಸಲಾಗಿದೆ
জলজ অপতৃণ,ಜಲವಾಸಿ ಕಳೆ
১.গছ ২.গছৰ বাসিন্দা,1. ಮರ 2. ಮರದ ನಿವಾಸಿ
শাখা-প্ৰশাখা,ಕವಲೊಡೆಯುತ್ತಿದೆ
প্ৰ&#39;ট&#39;বোটানিকেল ৰেকৰ্ড,ಪ್ರೊಟೊಬೊಟಾನಿಕಲ್ ದಾಖಲೆಗಳು
জ&#39;ন নম্বৰ,ವಲಯ ಸಂಖ್ಯೆ
১.ক্ষেত্ৰফল ২.ক্ষেত্ৰফল,1. ಪ್ರದೇಶ 2. ಪ್ರದೇಶ
শুকান পৰিৱেশ তন্ত্ৰ,ಒಣ ಪರಿಸರ ವ್ಯವಸ್ಥೆ
কুটিলডন,ಕೋಟಿಲ್ಡನ್
সৌৰভ,ಸೌರಭ್
সুগন্ধিযুক্ত উদ্ভিদ,ಆರೊಮ್ಯಾಟಿಕ್ ಸಸ್ಯ
সুগন্ধি চাউল,ಪರಿಮಳಯುಕ್ತ ಅಕ್ಕಿ
ইক্ষু পুষ্পন,ಇಕ್ಷು ಪುಷ್ಪನ್
বীজাণুমুক্ত,ಅಸೆಪ್ಟಿಕ್
১.এচেপ্টিক ২.এচেপ্টিক,1. ಅಸೆಪ್ಟಿಕ್ 2. ಅಸೆಪ್ಟಿಕ್
অযৌন প্ৰজনন,ಅಲೈಂಗಿಕ ಸಂತಾನೋತ್ಪತ್ತಿ
আকাৰ,ಗಾತ್ರ
সম্পত্তি,ಆಸ್ತಿ
১/ আত্মসাৎ ২. আত্মসাৎ,1. ಸಮೀಕರಣ 2. ಸಮೀಕರಣ
১.সংঘ ২.সংঘ,1. ಸಂಘ 2. ಸಂಘ
1. স্তম্ভ 2. astringency,1. ಕಾಲಮ್ 2. ಸಂಕೋಚನ
হেটেৰ&#39;জাইগোচিটি,ಹೆಟೆರೋಜೈಗೋಸಿಟಿ
১.পূৰ্বপুৰুষ ২.আটাভিজম,1. ಪೂರ್ವಜ 2. ಅಟಾವಿಸಂ
কণা,ಕಣ
1. অনিশ্চয়তা 2. বিকলতা,1. ದೃಢೀಕರಣ 2. ದುರ್ಬಲತೆ
self pairing,ಸ್ವಯಂ ಜೋಡಣೆ
অটোলাইছিছ,ಆಟೋಲಿಸಿಸ್
1. স্বতঃস্ফূৰ্ত অক্সিডেচন 2. স্বতঃস্ফূৰ্ত অক্সিডেচন,1. ಸ್ವಾಭಾವಿಕ ಆಕ್ಸಿಡೀಕರಣ 2. ಸ್ವಾಭಾವಿಕ ಉತ್ಕರ್ಷಣ
self multiplexed,ಸ್ವಯಂ ಮಲ್ಟಿಪ್ಲೆಕ್ಸ್
অক্সিন,ಆಕ್ಸಿನ್
১/ জোকাৰি যোৱা ২. টোড,1. ಷೂಕ್ 2. ಟೋಡ್
পেনাল ভাইৰাছ,ದಂಡದ ವೈರಸ್
১.বেচিলাছ ২.বেচিলাছ,1. ಬ್ಯಾಸಿಲಸ್ 2. ಬ್ಯಾಸಿಲಸ್
১/ বেক্টেৰিয়া ২) বেক্টেৰিয়া,1. ಬ್ಯಾಕ್ಟೀರಿಯಾ 2. ಬ್ಯಾಕ್ಟೀರಿಯಾ
বেক্টেৰিয়াৰ বিষাক্ত পদাৰ্থ,ಬ್ಯಾಕ್ಟೀರಿಯಾದ ವಿಷ
বাগাছ,ಬಗಸೆ
বেলেন্স শ্বীট,ಬ್ಯಾಲೆನ್ಸ್ ಶೀಟ್
সুষম সাৰৰ ব্যৱহাৰ,ಸಮತೋಲಿತ ರಸಗೊಬ್ಬರ ಬಳಕೆ
বাৰ গ্ৰাফ,ಬಾರ್ ಗ್ರಾಫ್
বাকলি,ತೊಗಟೆ
১.বেৰ’মিটাৰ ২.বেৰ’মিটাৰ,1. ವಾಯುಭಾರ ಮಾಪಕ 2. ವಾಯುಭಾರ ಮಾಪಕ
১. বাজাৰ ২. নিষ্ক্ৰিয় ৩. বন্যাৰ্ত,1. ಬಜರ್ 2. ಜಡ 3. ಬಂಜರು
1. ভিত্তি 2. ভিত্তি 3. কুপাং,1. ಬೇಸ್ 2. ಬೇಸ್ 3. ಕುಪಾಂಗ್
১.তালা ২.বেচিন,1. ತಾಲಾ 2. ಜಲಾನಯನ ಪ್ರದೇಶ
তালাবিছাৰী,ತಲಾಬಿಸಾರಿ
১.বেচিষ্টেৰনাম ২.মূল ধাৰণকাৰী,1. ಬೇಸಿಸ್ಟರ್ನಮ್ 2. ರೂಟ್ ಹೋಲ್ಡರ್
উপসাগৰীয় বাৰিষা,ಗಲ್ಫ್ ಮಾನ್ಸೂನ್
ফলৰ উদ্ভিদ,ಹಣ್ಣಿನ ಗಿಡ
বিছনা,ಹಾಸಿಗೆ
বিচনা উদ্ভিদ,ಹಾಸಿಗೆ ಸಸ್ಯ
বিচনা চাদৰ,ಹಾಸಿಗೆ
বুটমাহৰ গুড়,ಬೀಟ್ ಮೊಲಾಸಸ್
bellows,ಬೆಲ್ಲೋಸ್
১.ষ্ট্ৰিপ ২.ভূখণ্ড,1. ಪಟ್ಟಿ 2. ಭೂಪ್ರದೇಶ
লাভ-খৰচ বিশ্লেষণ,ಲಾಭ-ವೆಚ್ಚದ ವಿಶ್ಲೇಷಣೆ
আকাংক্ষিত (Sampling),ಮಹತ್ವಾಕಾಂಕ್ಷಿ (ಮಾದರಿ)
দ্বিবাৰ্ষিক উদ্ভিদ,ದ್ವೈವಾರ್ಷಿಕ ಸಸ್ಯಗಳು
দ্বিপদ,ದ್ವಿಪದ
বায়&#39;ফেক্টৰ,ಜೈವಿಕ ಅಂಶ
জৈৱিক জলবায়ু,ಜೈವಿಕ ಹವಾಮಾನ
জৈৱ শক্তি,ಜೈವಿಕ ಶಕ್ತಿ
প্ৰাণীৰ পৰিস্থিতিতন্ত্ৰ,ಪ್ರಾಣಿಗಳ ಪರಿಸರ ವಿಜ್ಞಾನ
১/ বায়’-প্ৰচেছৰ ২.বায়’-ৰিয়ক্টৰ,1. ಬಯೋ-ಪ್ರೊಸೆಸರ್ 2. ಬಯೋ-ರಿಯಾಕ್ಟರ್
জৈৱমণ্ডল,ಜೀವಗೋಳ
জৈৱিক,ಜೈವಿಕ
প্ৰাণীজগত,ಪ್ರಾಣಿಸಂಕುಲ
ডিভিলিংগি,ದಿವಿಲಿಂಗಿ
ধাৱলান,ಧವಳನ್
১/প্ৰধ্বাসন (ৰোগ) ২) গাষ্ট ৰোগ,1. ಪ್ರಧ್ವಸನ್ (ರೋಗ) 2. ಗಸ್ಟ್ ರೋಗ
মিশ্ৰণ,ಮಿಶ್ರಣ
১.আংমাৰী (ৰোগ) ২.ব্লাইট (ৰোগ) ২.,1. ಅಂಗಮಾರಿ (ರೋಗ) 2. ರೋಗ (ರೋಗ)
১/ ফোহা ২. ফোহা ৩. বিস্ফোৰণ ৪. ফোহা,1. ಬ್ಲಿಸ್ಟರ್ 2. ಬ್ಲಿಸ್ಟರ್ 3. ಎರಪ್ಶನ್ 4. ಬ್ಲಿಸ್ಟರ್
নীলা বিপ্লৱ,ನೀಲಿ ಕ್ರಾಂತಿ
প্লেনাৰ হিটিং চেম্বাৰ,ಪ್ಲಾನರ್ ಹೀಟಿಂಗ್ ಚೇಂಬರ್
সমতল উত্তাপন প্ৰযুক্তি,ಪ್ಲ್ಯಾನರ್ ತಾಪನ ತಂತ್ರಜ್ಞಾನ
ব্ৰাণ,ಹೊಟ್ಟು
শাখা-প্ৰশাখা,ಕವಲೊಡೆಯುತ್ತಿದೆ
১.ডাল ২.উপশাখা,1. ರೆಂಬೆ 2. ಉಪಶಾಖೆ
বংশবৃদ্ধি,ತಳಿ
প্ৰজনন,ಸಂತಾನೋತ್ಪತ್ತಿ
আগতীয়াকৈ অংকুৰণৰ চিকিৎসা,ಆರಂಭಿಕ ಮೊಳಕೆಯೊಡೆಯುವಿಕೆ ಚಿಕಿತ್ಸೆ
১. পোৱালি ২. কণী ৩. ভ্ৰূণ,1. ಮರಿ 2. ಮೊಟ್ಟೆ 3. ಭ್ರೂಣ
budding,ಮೊಳಕೆಯೊಡೆಯುತ್ತಿದೆ
বাজেট,ಬಜೆಟ್
১.এম্ফোটেৰিক ২.বাফাৰ,1.ಆಂಫೋಟೆರಿಕ್ 2. ಬಫರ್
মিঠা আলু,ಸಿಹಿ ಆಲೂಗಡ್ಡೆ
বান্ট (ৰোগ),ಬಂಟ್ (ರೋಗ)
1. উপ-উৎপাদন 2. উপ-উৎপাদন,1. ಉಪ ಉತ್ಪನ್ನ 2. ಉಪ ಉತ್ಪನ್ನ
c আৰ্দ্ৰতা নিৰ্দিষ্টকৰণ বক্ৰ,c ತೇವಾಂಶದ ನಿರ್ದಿಷ್ಟ ಕರ್ವ್
তেলৰ কেক,ಎಣ್ಣೆ ಕೇಕ್
১.চূণ ২.কেলচিয়াম,1. ಸುಣ್ಣ 2. ಕ್ಯಾಲ್ಸಿಯಂ
calcion,ಕ್ಯಾಲ್ಸಿಯಾನ್
ফছফেট আঁতৰোৱা,ಫಾಸ್ಫೇಟ್ ತೆಗೆಯುವಿಕೆ
১.কিনাটা ২.কালাটা,1. ಕಿನಾಟಾ 2. ಕ್ಯಾಲಟಾ
১.কেলাছ ২.ৰশ্মি,1.ಕ್ಯಾಲಸ್ 2. ಕಿರಣ
1. ফুলৰ গুটি 2. calyx,1. ಸೀಪಲ್ಸ್ 2. ಕ್ಯಾಲಿಕ್ಸ್
বাহ্যিক শেষ,ಹೊರಗಿನ ಅಂತ್ಯ
এধা,ಈಧಾ
কেন্সাৰ (বেক্টেৰিয়াৰ ৰোগ),ಕ್ಯಾನ್ಸರ್ (ಬ್ಯಾಕ್ಟೀರಿಯಾ ರೋಗ)
কেনিং,ಕ್ಯಾನಿಂಗ್
আকাশ,ಆಕಾಶ
বিত্ত,ಹಣಕಾಸು
পৰগাছা (ডুমুৰৰ),ಪರಾಗಸ್ಪರ್ಶ (ಅಂಜೂರದ ಹಣ್ಣುಗಳು)
১.কেপচুল ২.কেপচুল ৩.কেপচুল,1. ಕ್ಯಾಪ್ಸುಲ್ 2. ಕ್ಯಾಪ್ಸುಲ್ 3. ಕ್ಯಾಪ್ಸುಲ್
কাৰ্বনাইজড,ಕಾರ್ಬೊನೈಸ್ಡ್
কাৰ্বনেন,ಕಾರ್ಬೊನಾನ್
carapace,ಕ್ಯಾರಪೇಸ್
এপাত হাতৰ অলংকাৰ,ಕಂಕಣ
1. ঢালাই (লোহা) 2. ক্ষীপতি (পোক),1. ಎರಕ (ಕಬ್ಬಿಣ) 2. ಕ್ಷಿತಿ (ಕೀಟ)
কেটাবলিজম,ಕ್ಯಾಟಬಾಲಿಸಮ್
প্ৰৰোচনা,ಪ್ರೇರಣೆ
1. পোক 2. পোক,1. ಕ್ಯಾಟರ್ಪಿಲ್ಲರ್ 2. ಕ್ಯಾಟರ್ಪಿಲ್ಲರ್
গ ঘ. এন. ক. সংগ্ৰহ,ಸಿ ಡಿ. ಎನ್. ಎ. ಸಂಗ್ರಹಣೆ
পৰিসৰ,ವ್ಯಾಪ್ತಿ
১.কোষ ২.কোষ,1. ಕೋಶ 2. ಕೋಶ
কেন্দ্ৰীয় ফ্ৰন্ট ব্যৱস্থা,ಕೇಂದ್ರ ಮುಂಭಾಗದ ವ್ಯವಸ್ಥೆ
1. বিন্দু 2. ফোকাচ,1. ಪಾಯಿಂಟ್ 2. ಫೋಕಸ್
কেন্দ্ৰচালিতকৰণ,ಕೇಂದ್ರಾಪಗಾಮಿ
কেন্দ্ৰচালিত কৰক,ಕೇಂದ್ರಾಪಗಾಮಿ
তাৰকা কেন্দ্ৰ,ನಕ್ಷತ್ರ ಕೇಂದ್ರ
এপিজেনেটিক,ಎಪಿಜೆನೆಟಿಕ್
কেন্দ্ৰজা,ಕೇಂದ್ರರಾಜ
loom,ಮಗ್ಗ
১/ শস্যৰ বীজ ২. ছিৰিয়েল,1. ಏಕದಳ 2. ಸೀರಿಯಲ್
১.প্ৰমাণীকৰণ ২.প্ৰমাণীকৰণ,1. ಪ್ರಮಾಣೀಕರಣ 2. ಪ್ರಮಾಣೀಕರಣ
প্ৰমাণিত বীজ,ಪ್ರಮಾಣೀಕೃತ ಬೀಜ
১) খেৰ ২.কুট্টি ৩.শালক সহপাত্ৰ,1. ಹುಲ್ಲು 2. ಕುಟ್ಟಿ 3. ಶಾಲಕ್ ಸಹಪಾತ್ರ
১.নিভাগ ২.কৈলাজা,1. ನಿಭಾಗ್ 2. ಕೈಲಾಜಾ
চাইম&#39;গ্ৰাফী,ಕೈಮೊಗ್ರಫಿ
১.কিয়াজমা ২.ব্যস্ত,1. ಕಿಯಾಜ್ಮಾ 2. ಕಾರ್ಯನಿರತ
ছুপাৰকুলিং ঘন্টা,ಸೂಪರ್ ಕೂಲಿಂಗ್ ಗಂಟೆಗಳು
হিম ক্ষতি,ಫ್ರಾಸ್ಟ್ ಹಾನಿ
১/ ভিচিৰোটাকি ২.চিমেৰা,1. ವಿಚಿರೋಟಕಿ 2. ಚಿಮೆರಾ
সেউজীয়া দাইল,ಹಸಿರು ಗಂಜಿ
১.পাতল ২.সেউজীয়া,1. ಎಲೆಗಳು 2. ಹಸಿರು
চাইন&#39;ছিছ,ಸೈನೋಸಿಸ್
জৈৱিক বিতৰণ বিজ্ঞান,ಜೈವಿಕ ವಿತರಣಾ ವಿಜ್ಞಾನ
১) ক্ৰ’মেটিড ২) আধা ক্ৰম’জম,1. ಕ್ರೊಮಾಟಿಡ್ಸ್ 2. ಅರ್ಧ ವರ್ಣತಂತುಗಳು
ক্ৰ&#39;মেটিন,ಕ್ರೊಮಾಟಿನ್
ক্ৰ&#39;মাট&#39;গ্ৰাফী,ಕ್ರೊಮ್ಯಾಟೋಗ್ರಫಿ
ক্ৰ&#39;মেটিনেচন,ಕ್ರೊಮಾಟಿಲೇಷನ್
অলিন্দৰ বিন্দু,ಹೃತ್ಕರ್ಣದ ಬಿಂದು
ক্ৰ&#39;মেট&#39;জেনেছিছ,ಕ್ರೊಮಾಟೊಜೆನೆಸಿಸ್
১/ ক্ৰম’প্ৰটিন ২.ৰঞ্জক প্ৰটিন,1. ಕ್ರೋಮೋಪ್ರೋಟೀನ್ 2. ಪಿಗ್ಮೆಂಟ್ಪ್ರೋಟೀನ್
১.ক্ৰম’জম ২.ক্ৰম’জম,1. ವರ್ಣತಂತುಗಳು 2. ವರ್ಣತಂತುಗಳು
1. দীৰ্ঘদিনীয়া 2. দীৰ্ঘদিনীয়া 3. দীৰ্ঘদিনীয়া 4. অচল,1. ದೀರ್ಘಕಾಲದ 2. ದೀರ್ಘಕಾಲದ 3. ದೀರ್ಘಕಾಲದ 4. ಬಳಕೆಯಲ್ಲಿಲ್ಲದ
ট্যাগ এর সাথে ছবি &#39;citrange&#39;:,ಸಿಟ್ರೇಂಜ್
পতন উৎসৱ,ಶರತ್ಕಾಲದ ಹಬ್ಬ
শ্ৰেণীবিভাজন,ವರ್ಗೀಕರಣ
১.মাটি ২.মাটি,1. ಮಣ್ಣು 2. ಮಣ್ಣು
