Bengali,Assamese
ঠিকানা জেনারেটর,ঠিকনা উৎপাদক
ঠিকানা লাইন,ঠিকনা ৰেখা
ঠিকানা ম্যাপিং,ঠিকনা মেপিং
ঠিকানা নির্দেশক,ঠিকনা পইণ্টাৰ
ঠিকানা রেজিস্টার,ঠিকনা পঞ্জীয়ন
ঠিকানা রেজোলিউশন,ঠিকনা সমাধান
ঠিকানা অনুবাদ,ঠিকনা অনুবাদ
ঠিকানাযুক্ত স্মৃতি,ঠিকনাযুক্ত মেমৰি
সম্বোধন,সম্বোধন কৰা
পর্যাপ্ততার মানদণ্ড,পৰ্যাপ্ততাৰ মাপকাঠী
সংলগ্ন,সংযুক্ত
প্রশাসন,প্ৰশাসন
প্রশাসক,প্ৰশাসক
অ্যাডোবি অ্যাক্রোব্যাট,এডোব এক্ৰ&#39;বেট
অ্যাডোবি ফটোশপ,এডোব ফটোশ্বপ
অ্যাডভান্স বিজনেস অ্যাপ্লিকেশন প্রোগ্রামিং (ABAP),উন্নত ব্যৱসায়িক প্ৰয়োগ প্ৰগ্ৰেমিং (ABAP)
উন্নত তথ্য,উন্নত তথ্য
উন্নত তথ্য সিস্টেম,উন্নত তথ্য ব্যৱস্থা
উন্নত প্রযুক্তি (AT),উন্নত প্ৰযুক্তি (AT)
প্রতিনিধি,এজেণ্ট
সমষ্টি,একত্ৰীকৰণ
বায়ুবাহিত কম্পিউটার সিস্টেম,বায়ুমণ্ডলীয় কম্পিউটাৰ ব্যৱস্থা
aldus পেজ মেকার,aldus পৃষ্ঠা নিৰ্মাতা
সতর্কতা বাক্স,সতৰ্কবাণী বাকচ
algol,এলগোল
অ্যালগরিদম,এলগৰিদম
অ্যালগরিদম বিশ্লেষণ,এলগৰিদম বিশ্লেষণ
অ্যালগরিদম দক্ষতা,এলগৰিদম দক্ষতা
উপনাম,alias
প্রান্তিককরণ,প্ৰান্তিককৰণ
বরাদ্দ,আবণ্টন
বর্ণানুক্রমিক,বৰ্ণানুক্ৰমিক
আলফানিউমেরিক,আলফানিউমেৰিক
আলফানিউমেরিক কী বোর্ড,আলফানিউমেৰিক কি বৰ্ড
আলফা-পরীক্ষা,আলফা-পৰীক্ষা
আলফা-সংস্করণ,আলফা-সংস্কৰণ
alt কী,alt কি&#39;
আলতাভিস্তা,আলতাভিস্তা
অস্পষ্টতা,অস্পষ্টতা
অস্পষ্ট ব্যাকরণ,অস্পষ্ট ব্যাকৰণ
আমেরিকান ন্যাশনাল স্ট্যান্ডার্ড ইনস্টিটিউট (ANSI),আমেৰিকান নেচনেল ষ্টেণ্ডাৰ্ডছ ইনষ্টিটিউট (ANSI)
আমেরিকান স্ট্যান্ডার্ড কোড ফর ইনফরমেশন ইন্টারচেঞ্জ (ASCII),তথ্য বিনিময়ৰ বাবে আমেৰিকান মানক ক&#39;ড (ASCII)
এনালগ,এনালগ
এনালগ কম্পিউটার,এনালগ কম্পিউটাৰ
এনালগ ডিভাইস,এনালগ ডিভাইচ
এনালগ মডেম,এনালগ মডেম
এনালগ থেকে ডিজিটাল কনভার্টার (ADC),এনালগ টু ডিজিটেল কনভাৰ্টাৰ (ADC)
এবং,আৰু
এবং সার্কিট,AND বৰ্তনী
এবং গেট,AND গেট
এবং অপারেশন নয় (বর্জন),AND অপাৰেচন নহয় (বৰ্জন)
অ্যানিমেশন,এনিমেচন
টীকা,টীকাকৰণ
ব্যতিক্রম,বিজুতি
পূর্ববর্তী,পূৰ্বসূৰী
প্রত্যাশিত পেজিং,প্ৰত্যাশিত পেজিং
বিরোধী প্রতিসম,এন্টি-চিমেট্ৰিক
অ্যান্টিভাইরাস প্রোগ্রাম,এন্টিভাইৰাছ প্ৰগ্ৰেম
অ্যাপলেট,applet
অ্যাপ্লিকেশন ডেভেলপার,এপ্লিকেচন ডেভেলপাৰ
অ্যাপ্লিকেশন প্রোগ্রামিং,এপ্লিকেচন প্ৰগ্ৰেমিং
অ্যাপ্লিকেশন প্রোগ্রামিং ইন্টারফেস (API),এপ্লিকেচন প্ৰগ্ৰেমিং আন্তঃপৃষ্ঠ (API)
অ্যাপ্লিকেশন সফ্টওয়্যার,এপ্লিকেচন চফ্টৱেৰ
প্রয়োগমূলক ভাষা,প্ৰয়োগমূলক ভাষা
আনুমানিক তত্ত্ব,আনুমানিক তত্ত্ব
স্থাপত্য,স্থাপত্য
এলাকা স্থানান্তর,এলেকা হস্তান্তৰ
যুক্তি,তৰ্কাতৰ্কি
গাণিতিক এবং যুক্তিবিদ্যা ইউনিট,গাণিতিক আৰু যুক্তিৰ একক
গাণিতিক চেক,গাণিতিক পৰীক্ষা
গাণিতিক ধ্রুবক,গাণিতিক ধ্ৰুৱক
গাণিতিক তথ্য,গাণিতিক তথ্য
গাণিতিক নির্দেশনা,গাণিতিক নিৰ্দেশনা
পাটিগণিত এবং যুক্তি ইউনিট (ALU),গাণিতিক আৰু যুক্তি একক (ALU)
আরপানেট,ARPANET
অ্যারে,এৰে
অ্যারে ক্যাশে,এৰে কেচ
অ্যারে কম্পিউটার,এৰে কম্পিউটাৰ
অ্যারে উপাদান,এৰে উপাদান
অ্যারের নাম,এৰেৰ নাম
অ্যারে প্রসেসর,এৰে প্ৰচেছৰ
তীর চিহ্ন,কাঁড় চিহ্নসমূহ
উচ্চারণ,আৰ্টিকুলেচন
উচ্চারণ বিন্দু,আৰ্টিকুলেচন পইণ্ট
কৃত্রিম কম্প্যাকশন,কৃত্ৰিম সংকোচন
কৃত্রিম নিয়ন্ত্রণ,কৃত্ৰিম নিয়ন্ত্ৰণ
কৃত্রিম বুদ্ধিমত্তা,কৃত্ৰিম বুদ্ধিমত্তা
আরোহী,আৰোহী
আরোহী সাজানোর,আৰোহী সজাই পৰাই তোলা
ASCII বেটিকাল অর্ডার,ASCII betical ক্ৰম
ASCII নিয়ন্ত্রণ চরিত্র,ASCII নিয়ন্ত্ৰণ আখৰ
ASCII ফাইল,ASCII নথিপত্ৰ
ASCII ফন্ট,ASCII ফন্ট
ASCII স্থানান্তর,ASCII স্থানান্তৰ
আনুমানিক অনুপাত,এস্পেক্ট ৰেচিঅ&#39;
এএসপিআই,এ এছ পি আই
ASR টাইমার,ASR টাইমাৰ
একত্রিত করা,একত্ৰিত কৰা
সংযোজনকারী,এছেম্বলাৰ
সমাবেশ,সভা
এসেম্বলি,সমাবেশ ভাষা
দাবী,assertion
নিয়োগ,আবণ্টন কৰা কাৰ্য
সংঘ,সংস্থা
সহযোগী ঠিকানা,সহযোগী ঠিকনা
সহযোগী স্মৃতি,সহযোগী স্মৃতিশক্তি
asteric,এস্টেৰিক
অপ্রতিসম,অসমতাপূৰ্ণ
অ্যাসিঙ্ক্রোনাস,এচিনক্ৰ&#39;নাছ
অ্যাসিঙ্ক্রোনাস ডিজিটাল সাবস্ক্রাইবার লাইন (ADSL),ডিজিটেল গ্রাহক লাইন (ADSL)
অ্যাসিঙ্ক্রোনাস টাইম ডিভিশন মাল্টিপ্লেক্সিং (ATDM),asynchronous সময় বিভাজন মাল্টিপ্লেক্সিং (ATDM)
অ্যাসিঙ্ক্রোনাস স্থানান্তর,এচিনক্ৰ&#39;নাছ স্থানান্তৰ
অ্যাসিঙ্ক্রোনাস ট্রান্সফার মোড (এটিএম),এচিনক্ৰ&#39;নাছ স্থানান্তৰ ধৰণ (ATM)
পরমাণু,পৰমাণু
সংযুক্ত নথি,সংলগ্ন নথিপত্ৰ
সংযুক্ত ফাইল,সংলগ্ন ফাইল
সংযুক্তি,সংলগ্নক
বৈশিষ্ট্য,বৈশিষ্ট্য
শ্রুতি,অডিঅ&#39;
অডিট প্রোগ্রামিং,অডিট প্ৰগ্ৰেমিং
নিরীক্ষা পথ,অডিট ট্ৰেইল
বৃদ্ধি,বৃদ্ধি কৰা
প্রমাণীকরণ প্রোটোকল,প্ৰমাণীকৰণ প্ৰটোকল
অথরিং সিস্টেম,লেখক ব্যৱস্থা
অনুমোদন,অনুমোদন
স্বয়ংক্রিয় বিমূর্ত,অটো বিমূৰ্ত
অটোবুটিং,স্বয়ংক্ৰিয় বুট কৰা
অটোক্যাড,অটোকেড
অটোলগ চালু,অটোলগ অন
স্বয়ংক্রিয়,automata
স্বয়ংক্রিয় তত্ত্ব,automata তত্ত্ব
স্বয়ংক্রিয় কম্পিউটিং,স্বয়ংক্ৰিয় কম্পিউটিং
স্বয়ংক্রিয় তথ্য প্রক্রিয়াকরণ,স্বয়ংক্ৰিয় তথ্য প্ৰক্ৰিয়াকৰণ
স্বয়ংক্রিয় ত্রুটি সংশোধন,স্বয়ংক্ৰিয় ভুল সংশোধন
স্বয়ংক্রিয় ফাংশন,স্বয়ংক্ৰিয় কাৰ্য্য
স্বয়ংক্রিয় সূচীকরণ,স্বয়ংক্ৰিয় সূচীভুক্তকৰণ
স্বয়ংক্রিয় লাইব্রেরি কল,স্বয়ংক্ৰিয় লাইব্ৰেৰী কল
স্বয়ংক্রিয় প্রোগ্রামিং,স্বয়ংক্ৰিয় প্ৰগ্ৰেমিং
স্বয়ংক্রিয় পুনরুদ্ধার প্রোগ্রাম,স্বয়ংক্ৰিয় পুনৰুদ্ধাৰ প্ৰগ্ৰেম
স্বয়ংক্রিয় রুটিন,স্বয়ংক্ৰিয় ৰুটিন
স্বয়ংক্রিয় সিস্টেম পুনরুদ্ধার,স্বয়ংক্ৰিয় চিস্টেম পুনৰুদ্ধাৰ
স্বয়ংক্রিয় টেলার মেশিন (এটিএম),স্বয়ংক্ৰিয় টেলাৰ মেচিন (ATM)
অটোমেশন,অটোমেচন
স্বয়ংক্রিয় চালু,অটোপ্লে
অটোসেভ,স্বয়ংক্ৰিয় সংৰক্ষণ কৰক
সহায়ক,সহায়ক
অক্জিলিয়ারী মেমরি,সহায়ক স্মৃতিশক্তি
অক্জিলিয়ারী স্টোরেজ,সহায়ক সংৰক্ষণ
প্রাপ্তিসাধ্য তালিকা,উপলব্ধ তালিকা
উপলব্ধ সময়,উপলব্ধ সময়
গড়,গড়
awk (ভাষা),awk (ভাষা)
ব্যাকএন্ড,বেকএণ্ড
ব্যাকএন্ড প্রসেসর,বেকএণ্ড প্ৰচেছৰ
ব্যাকফেস অপসারণ,বেকফেচ আঁতৰোৱা
পটভূমি প্রক্রিয়াকরণ,পটভূমি প্ৰক্ৰিয়াকৰণ
ব্যাকিং স্টোর,বেকিং ষ্ট&#39;ৰ
ব্যাকপ্যাচিং,বেকপেচিং
ব্যাকস্পেস,বেকস্পেচ
ব্যাকট্র্যাকিং,পিছুৱাই যোৱা
ব্যাক আপ,বেক-আপ
ব্যাক আপ মেমরি,বেক-আপ মেমৰি
পিছনের ত্রুটি পুনরুদ্ধার,পিছলৈ ত্ৰুটি পুনৰুদ্ধাৰ
ব্যালেন্স শীট,বেলেন্স শ্বীট
ব্যান্ড,বেণ্ড
ব্যান্ড প্রস্থ,বেণ্ডৰ প্ৰস্থ
ব্যাংকারের অ্যালগরিদম,বেংকাৰৰ এলগৰিদম
বার কোড,বাৰ ক&#39;ড
বারকোড স্ক্যানার,বাৰ ক&#39;ড স্ক্যানাৰ
বার গ্রাফ,বাৰ গ্ৰাফ
ভিত্তি ঠিকানা,ভিত্তি ঠিকনা
বেস ব্যান্ড,বেচ বেণ্ড
ভিত্তি নম্বর,ভিত্তি সংখ্যা
ভিত্তি টেবিল,ভিত্তি টেবুল
বেসিক,প্ৰাথমিক
মৌলিক নিয়ন্ত্রণ,মূল নিয়ন্ত্ৰণ
মৌলিক ইনপুট,মূল ইনপুট
মৌলিক নির্দেশ,মূল নিৰ্দেশনা
মৌলিক আউটপুট,মূল আউটপুট
মৌলিক পদক্ষেপ,মূল পদক্ষেপ
ব্যাচ,বেটছ
ব্যাচ ফাইল,বেচ ফাইল
ব্যাচ অবস্থান,বেচৰ অৱস্থান
ধির গতির কাজ,বেচ প্ৰচেছিং
ব্যাচ সিস্টেম,বেচ ব্যৱস্থা
বউড,baud
বড হার,বড হাৰ
মরীচি,আলোকৰশ্মি
মাপকাঠি,বেঞ্চমাৰ্ক
দ্বিমুখী যোগাযোগ,দ্বিমুখী যোগাযোগ
দ্বিমুখী লিঙ্ক,দ্বিমুখী সংযোগ
বাইনারি কোড,বাইনাৰী ক&#39;ড
বাইনারি সংখ্যা,বাইনাৰী অংক
বাইনারি ইনপুট আউটপুট সিস্টেম (BIOS),বাইনাৰী ইনপুট আউটপুট চিস্টেম (BIOS)
বাইনারি সংখ্যা,বাইনাৰী সংখ্যা
বাইনারি অপারেটর,বাইনাৰী অপাৰেটৰ
বাইনারি সম্পর্ক,বাইনাৰী সম্পৰ্ক
বাইনারি অনুসন্ধান,বাইনাৰী সন্ধান
বাইনারি সার্চ ট্রি (BST),বাইনাৰী সন্ধান গছ (BST)
বাইনারি স্থানান্তর,বাইনাৰী স্থানান্তৰ
বাইনারি গাছ,বাইনাৰী গছ
বাইপোলার মেমরি,বাইপোলাৰ মেম’ৰী
জন্ম মৃত্যু মডেল,জন্ম মৃত্যুৰ আৰ্হি
জন্ম মৃত্যু প্রক্রিয়া,জন্ম মৃত্যু প্ৰক্ৰিয়া
বিট,বিট
বিট দোষ,বিট দোষ
বিট মানচিত্র,বিট মেপ
বিট ম্যাপ পিক্সেল (BMP),বিট মেপ পিক্সেল (BMP)
বিট ম্যাট্রিক্স,বিট মেট্ৰিক্স
বিট প্যাটার্ন,বিট পেটাৰ্ণ
বিট অবস্থান,বিটৰ অৱস্থান
বিট হার,বিট হাৰ
কালো বক্স পরীক্ষা,ব্লেক বক্স পৰীক্ষা
মিটমিট করে,টিপটিপিয়াই
ব্লক,অৱৰুদ্ধ কৰা
ব্লক ক্যাশে,ব্লক কেচ
ব্লক চেক,ব্লক চেক কৰক
ব্লক কপি,ব্লক কপি
ব্লক ডায়াগ্রাম,ব্লক ডায়াগ্ৰাম
ব্লকিং নেটওয়ার্ক,নেটৱাৰ্ক ব্লক কৰা
বোর্ড,ব’ৰ্ড
বই চিহ্ন,বুক মাৰ্ক
বুলিয়ান বীজগণিত,বুলিয়ান বীজগণিত
বুলিয়ান সম্পর্ক,বুলিয়ান সম্পৰ্ক
বুট পার্টিশন,বুট বিভাজন
বুট strapping,বুট ষ্ট্ৰেপিং
বুট-স্ট্র্যাপ লোডার,বুট-ষ্ট্ৰেপ লোডাৰ
সেতু,সেঁতু
ব্রডব্যান্ড নেটওয়ার্কিং,ব্ৰডবেণ্ড নেটৱৰ্কিং
সম্প্রচার,সম্প্ৰচাৰ
রেডিও সম্প্রচার,সম্প্ৰচাৰ ৰেডিঅ&#39;
ব্রাউজ,ব্ৰাউজ কৰক
ব্রাউজার,ব্ৰাউজাৰ
বি-বৃক্ষ,বি-বৃক্ষ
বুদ্বুদ মেমরি,বুদবুদ স্মৃতিশক্তি
বুদ্বুদ সাজানোর,বুদবুদ সজাই পৰাই তোলা
বালতি,বাল্টি
বন্ধু সিস্টেম,বন্ধু ব্যৱস্থা
বাজেট কার্যকর নিয়ন্ত্রণ,বাজেট ফলপ্ৰসূ নিয়ন্ত্ৰণ
বাফার,বাফাৰ
বাগ,পোক
বাস,বাছ
বাইট,বাইট
বাইট কোড,বাইট ক&#39;ড
গ,গ
সি++,C++
ক্যাশে,cache
ক্যাশে বাফার,কেশ্ব বাফাৰ
ক্যাশ মেমরি,কেশ্ব মেমৰি
গণনা,গণনা কৰা
ক্যালকুলেটর,কেলকুলেটৰ
ক্যালকুলেটর চিপ,কেলকুলেটৰ চিপ
কল,কল কৰা
নামে ডাক,নামেৰে ফোন কৰক
রেফারেন্স দ্বারা কল করুন,ৰেফাৰেন্সৰ দ্বাৰা কল কৰক
মূল্য দ্বারা কল,মূল্যৰ দ্বাৰা কল কৰক
ভেরিয়েবল দ্বারা কল,চলকৰ দ্বাৰা কল কৰক
কল গেট,গেট কল কৰক
বাতিল,বাতিল কৰক
বাতিল বোতাম,বাতিল বুটাম
ক্যানোনিকাল,canonical
ক্যানোনিকাল ফর্ম,কেননিক ৰূপ
ক্ষমতা,ক্ষমতা
ক্ষমতা তালিকা,ক্ষমতা তালিকা
ক্ষমতা,ক্ষমতা
ক্যাপ লক কী,caps লক চাবি
কার্ড,কাৰ্ড
কার্ড পাঠক,কাৰ্ড ৰিডাৰ
কার্ডিনালিটি,কাৰ্ডিনালিটি
বাহক,বাহক
ক্যারিয়ার ব্যান্ড,বাহক বেণ্ড
ক্যারিয়ার লোড,বাহক বোজা
ক্যারিয়ার সংকেত,বাহক সংকেত
ক্যারিয়ার তরঙ্গ,বাহক তৰংগ
বহন,কঢ়িওৱা
অঙ্ক বহন,carry digit
পতাকা বহন,পতাকা কঢ়িয়াই নিয়া
কার্তুজ ডিস্ক,কাৰ্টিজ ডিস্ক
ক্যাসকেড,cascade
মামলা,ঘটনা
ক্যাথড রে টিউব (সিআরটি),কেথড ৰে টিউব (CRT)
ক্যাথোড রে টিউব (CRT),কেথ&#39;ড ৰে টিউব (CRT)
সিডি রম ডিস্ক ড্রাইভ,CD ROM ডিষ্ক ড্ৰাইভ
কোষ,কোষ
সেল অ্যানিমেশন,কোষ এনিমেচন
মোবাইল ফোন,চেলুলাৰ ফোন
কেন্দ্রীয় স্মৃতি,কেন্দ্ৰীয় স্মৃতিশক্তি
কেন্দ্রীয় প্রক্রিয়াকরণ ইউনিট (CPU),কেন্দ্ৰীয় প্ৰক্ৰিয়াকৰণ একক (CPU)
কেন্দ্রীভূত ব্যবস্থা,কেন্দ্ৰীভূত ব্যৱস্থা
প্রত্যয়িত টেপ,প্ৰমাণিত টেপ
চেইন,শিকলি
চেইন ডেটা,শৃংখল তথ্য
চেইন লিঙ্ক,শৃংখল সংযোগ
চেইনিং,চেইনিং
চ্যানেল,চেনেল
চ্যানেল ব্যস্ত টোন,চেনেল ব্যস্ত সুৰ
চ্যানেল ক্ষমতা,চেনেলৰ ক্ষমতা
চ্যানেল কন্ট্রোলার,চেনেল নিয়ন্ত্ৰক
চ্যানেল ত্রুটি,চেনেলৰ ভুল
চ্যানেল প্রোগ্রাম,চেনেল প্ৰগ্ৰেম
চ্যানেল নির্ভরযোগ্যতা,চেনেলৰ নিৰ্ভৰযোগ্যতা
চ্যানেল সেট,চেনেল ছেট
চরিত্র,চৰিত্ৰ
অক্ষর কোড,আখৰৰ ক&#39;ড
অক্ষর কী,আখৰৰ চাবি
চরিত্র পাঠক,চৰিত্ৰ পাঠক
অক্ষরের আকার,আখৰৰ আকাৰ
চার্ট,তালিকা
চ্যাসিস,চেছিছ
চেক বিট,বিট পৰীক্ষা কৰক
অংকের চেক,ডিজিট পৰীক্ষা কৰক
চেক যোগফল,ৰাশি পৰীক্ষা কৰক
চেক শব্দ,শব্দ পৰীক্ষা কৰক
চিপ,চিপ
চিপ সেট,চিপ চেট
পছন্দ করা,বাছনি কৰক
বর্ণগতভাবে,ৰঙীনভাৱে
গোপনীয় কোড,চাইফাৰ
সার্কিট,বৰ্তনী
বৃত্তাকার তালিকা,বৃত্তাকাৰ তালিকা
সাইরাস,cirus
উদ্ধৃতি,উদ্ধৃতি
ক্লাস,শ্ৰেণী
ক্লাস পরিবর্তনশীল,ক্লাছ ভেৰিয়েবল
শ্রেণীবিভাগ,শ্ৰেণীবিভাজন
স্পষ্ট,পৰিষ্কাৰ
পরিষ্কার এলাকা,স্পষ্ট এলেকা
পরিষ্কার চ্যানেল,ক্লিয়াৰ চেনেল
ক্লিক,ক্লিক কৰক
ক্লায়েন্ট,গ্ৰাহক
ক্লায়েন্ট সার্ভার,ক্লাএন্ট চাৰ্ভাৰ
ক্লায়েন্ট স্টাব,ক্লায়েন্ট ষ্টাব
ক্লিপ আর্ট,ক্লিপ আৰ্ট
ক্লিপ আর্ট লাইব্রেরি,ক্লিপ আৰ্ট লাইব্ৰেৰী
ক্লিপ বোর্ড,ক্লিপ বৰ্ড
ক্লিপার,ক্লিপাৰ
ক্লিপার চিপ,ক্লিপাৰ চিপ
চক্র,ক্লিক
ঘড়ি,ঘড়ী
ঘড়ি চক্র,ঘড়ীৰ চক্ৰ
ঘড়ি ফ্রিকোয়েন্সি,ঘড়ীৰ কম্পাঙ্ক
ঘড়ির হার্ডওয়্যার,ঘড়ী হাৰ্ডৱেৰ
ঘড়ির নাড়ি,ঘড়ীৰ স্পন্দন
ঘরির গতি,ঘড়ীৰ গতি
ঘড়ি সিঙ্ক্রোনাইজেশন,ঘড়ী সমন্বয়
ঘড়ির টিক টিক,ঘড়ীৰ টিক
ক্লোন,ক্ল&#39;ন
বন্ধ,বন্ধ
ক্লোজ সার্কিট টিভি (সিসিটিভি),ক্ল&#39;জ চাৰ্কিট টিভি (CCTV)
বন্ধ,বন্ধ কৰা
ক্লাউড কম্পিউটিং,ক্লাউড কম্পিউটিং
ক্লাস্টার,গুচ্ছ
প্রলিপ্ত কার্ড,আৱৰণযুক্ত কাৰ্ড
লেপা কাগজ,আৱৰণযুক্ত কাগজ
সমাক্ষীয়,সমাক্ষীয়
সমাক্ষ তারের,সমাক্ষীয় কেবল
কোডাসাইল,কোডাচাইল
কোড,ক&#39;ড
উৎপাদকের কোড,ক&#39;ড জেনেৰেটৰ
কোড পৃষ্ঠা,ক&#39;ড পৃষ্ঠা
কোড শব্দ,ক&#39;ড শব্দ
কোডার,ক&#39;ডাৰ
কোডিং চেক,ক&#39;ডিং পৰীক্ষা
কোডিং ফর্ম,ক&#39;ডিং ফৰ্ম
কোডিং শীট,ক&#39;ডিং শ্বীট
গুণাঙ্ক,সহগ
সমন্বয়,সংহতি
শীতল বুটজুতা,ঠাণ্ডা বুট
ঠান্ডা শুরু,ঠাণ্ডা আৰম্ভণি
সহযোগিতা,সহযোগিতা
পতন,পতন হোৱা
জমাট বাঁধা,collate
কোলেট টেপ,টেপ কোলেট কৰক
সংঘর্ষ,সংঘৰ্ষ
কোলন,বৃহদান্ত্ৰ
রঙ রঙ),ৰং (ৰং)
রঙ স্যাচুরেশন,ৰঙৰ পৰিপূৰকতা
রঙের টেবিল,ৰঙৰ টেবুল
কলাম,স্তম্ভ
সংমিশ্রণ,সংমিশ্ৰণ
কম্বো বাক্স,কম্বো বক্স
আদেশ,আদেশ
আদেশ বোতাম,কমাণ্ড বুটাম
কমান্ড তালিকা,কমাণ্ড তালিকা
মন্তব্য,মন্তব্য
অঙ্গীকার,অংগীকাৰ
পণ্য,পণ্য
কমন বিজনেস ওরিয়েন্টেড ল্যাঙ্গুয়েজ (কোবোল),সাধাৰণ ব্যৱসায়মুখী ভাষা (Cobol)
সাধারণ ত্রুটি,সাধাৰণ ভুল
সাধারণ ভাষা,সাধাৰণ ভাষা
সাধারণ রুটিন,সাধাৰণ ৰুটিন
যোগাযোগ,যোগাযোগ
যোগাযোগ লাইন,যোগাযোগ লাইন
যোগাযোগ মোড,যোগাযোগ ধৰণ
যোগাযোগ নেটওয়ার্ক,যোগাযোগ নেটৱৰ্ক
যোগাযোগ পরামিতি,যোগাযোগ প্ৰাচল
যোগাযোগ ব্যবস্থা,যোগাযোগ ব্যৱস্থা
কম্প্যাকশন,সংকোচন
সঙ্গী,কম্পাণ্ডাৰ
companding,companding
কোম্পানি নেটওয়ার্ক,কোম্পানী নেটৱৰ্ক
তুলনা পরীক্ষা,তুলনামূলক পৰীক্ষা
সামঞ্জস্য,সামঞ্জস্যতা
উপযুক্ত,উপযুক্ত
সংকলন,সংকলন
কম্পাইল এবং যান,কম্পাইল কৰক আৰু যাওক
কম্পাইলার,কম্পাইলাৰ
কম্পাইলার ভাষা,কম্পাইলাৰ ভাষা
পরিপূরক,পৰিপূৰক
পরিপূরক-অন-দশ,দহজনৰ ওপৰত পৰিপূৰক
পরিপূরক,পৰিপূৰক
সম্পূর্ণ বহন,সম্পূৰ্ণ কঢ়িয়াই নিয়া
জটিল,জটিল
জটিল সংখ্যা,জটিল সংখ্যা
উপাদান,উপাদান
কম্পোনেন্ট অবজেক্ট মডেল (COM),উপাদান বস্তুৰ আৰ্হি (COM)
যৌগিক,কম্পোজিট
গঠন,সুৰ-ৰচনা
গণনামূলক,গণনামূলক
কম্পিউটার,কম্পিউটাৰ
কম্পিউটার কেন্দ্র,কম্পিউটাৰ কেন্দ্ৰ
কম্পিউটার বিশেষজ্ঞ,কম্পিউটাৰ বিশেষজ্ঞ
কম্পিউটার গ্রাফিক্স,কম্পিউটাৰ গ্ৰাফিক্স
কম্পিউটার নির্দেশনা,কম্পিউটাৰৰ নিৰ্দেশনা
