Marathi,Malayalam
अल्फा-चाचणी,ആൽഫ-ടെസ്റ്റ്
अल्फा आवृत्ती,ആൽഫ പതിപ്പ്
alt की,alt കീ
altavista,അൾട്ടാവിസ്റ്റ
अस्पष्टता,അവ്യക്തത
अस्पष्ट व्याकरण,അവ്യക്തമായ വ്യാകരണം
अमेरिकन राष्ट्रीय मानक संस्था (ANSI),അമേരിക്കൻ നാഷണൽ സ്റ്റാൻഡേർഡ് ഇൻസ്റ്റിറ്റ്യൂട്ട് (ANSI)
अमेरिकन स्टँडर्ड कोड फॉर इन्फॉर्मेशन इंटरचेंज (ASCII),അമേരിക്കൻ സ്റ്റാൻഡേർഡ് കോഡ് ഫോർ ഇൻഫർമേഷൻ ഇന്റർചേഞ്ച് (ASCII)
अॅनालॉग,അനലോഗ്
अॅनालॉग संगणक,അനലോഗ് കമ്പ്യൂട്ടർ
अॅनालॉग डिव्हाइस,അനലോഗ് ഉപകരണം
अॅनालॉग मॉडेम,അനലോഗ് മോഡം
अॅनालॉग ते डिजिटल कनव्हर्टर (ADC),അനലോഗ് ടു ഡിജിറ്റൽ കൺവെർട്ടർ (ADC)
आणि,ഒപ്പം
आणि सर्किट,കൂടാതെ സർക്യൂട്ട്
आणि गेट,ഒപ്പം ഗേറ്റും
आणि ऑपरेशन नाही (अपवर्जन),കൂടാതെ പ്രവർത്തനമല്ല (ഒഴിവാക്കൽ)
अॅनिमेशन,ആനിമേഷൻ
भाष्य,വ്യാഖ്യാനം
विसंगती,അപാകത
पूर्ववर्ती,മുൻഗാമി
आगाऊ पेजिंग,മുൻകൂർ പേജിംഗ്
विरोधी सममित,വിരുദ്ധ സമമിതി
अँटीव्हायरस प्रोग्राम,ആന്റിവൈറസ് പ്രോഗ്രാം
ऍपलेट,ആപ്ലെറ്റ്
अनुप्रयोग विकासक,ആപ്ലിക്കേഷൻ ഡെവലപ്പർ
अनुप्रयोग प्रोग्रामिंग,ആപ്ലിക്കേഷൻ പ്രോഗ്രാമിംഗ്
ऍप्लिकेशन प्रोग्रामिंग इंटरफेस (API),ആപ്ലിക്കേഷൻ പ്രോഗ്രാമിംഗ് ഇന്റർഫേസ് (API)
अनुप्रयोग सॉफ्टवेअर,ആപ്ലിക്കേഷൻ സോഫ്റ്റ്വെയർ
उपयोजक भाषा,ബാധകമായ ഭാഷ
अंदाजे सिद्धांत,ഏകദേശ സിദ്ധാന്തം
आर्किटेक्चर,വാസ്തുവിദ്യ
क्षेत्र हस्तांतरण,ഏരിയ കൈമാറ്റം
युक्तिवाद,വാദം
अंकगणित आणि तर्कशास्त्र एकक,"ഗണിത, യുക്തി യൂണിറ്റ്"
अंकगणित तपासणी,ഗണിത പരിശോധന
अंकगणित स्थिरांक,ഗണിത സ്ഥിരാങ്കം
अंकगणित डेटा,ഗണിത ഡാറ്റ
अंकगणित सूचना,ഗണിത നിർദ്ദേശം
अंकगणित आणि तर्कशास्त्र एकक (ALU),ഗണിതവും യുക്തിയും യൂണിറ്റ് (ALU)
अर्पानेट,അർപാനെറ്റ്
रचना,അറേ
अॅरे कॅशे,അറേ കാഷെ
अॅरे संगणक,അറേ കമ്പ്യൂട്ടർ
अॅरे घटक,അറേ ഘടകം
अॅरे नाव,അറേ പേര്
अॅरे प्रोसेसर,അറേ പ്രോസസർ
बाण दर्शक बटणे,അമ്പടയാള കീകൾ
उच्चार,ഉച്ചാരണം
उच्चार बिंदू,ആർട്ടിക്കുലേഷൻ പോയിന്റ്
कृत्रिम कॉम्पॅक्शन,കൃത്രിമ കോംപാക്ഷൻ
कृत्रिम नियंत्रण,കൃത്രിമ നിയന്ത്രണം
कृत्रिम बुद्धिमत्ता,നിർമ്മിത ബുദ്ധി
चढणारा,ആരോഹണം
चढत्या क्रमवारी,ആരോഹണ തരം
ASCII बेटिकल ऑर्डर,ASCII ബെറ്റിക്കൽ ഓർഡർ
ASCII नियंत्रण वर्ण,ASCII നിയന്ത്രണ പ്രതീകം
ASCII फाइल,ASCII ഫയൽ
ASCII फॉन्ट,ASCII ഫോണ്ട്
ASCII हस्तांतरण,ASCII കൈമാറ്റം
प्रसर गुणोत्तर,വീക്ഷണാനുപാതം
एएसपीआय,എ.എസ്.പി.ഐ
ASR टाइमर,ASR ടൈമർ
एकत्र करणे,കൂട്ടിച്ചേർക്കുക
असेंबलर,അസംബ്ലർ
विधानसभा,അസംബ്ലി
विधानसभा भाषा,അസംബ്ലി ഭാഷ
प्रतिपादन,അവകാശവാദം
असाइनमेंट,നിയമനം
संघटना,അസോസിയേഷൻ
सहयोगी पत्ता,അനുബന്ധ വിലാസം
सहयोगी स्मृती,അനുബന്ധ മെമ്മറി
asteric,ആസ്റ്ററിക്
असममित,അസമമായ
असिंक्रोनस,അസമന്വിത
असिंक्रोनस डिजिटल सबस्क्राइबर लाइन (ADSL),അസിൻക്രണസ് ഡിജിറ്റൽ സബ്സ്ക്രൈബർ ലൈൻ (ADSL)
असिंक्रोनस टाइम डिव्हिजन मल्टीप्लेक्सिंग (ATDM),അസിൻക്രണസ് ടൈം ഡിവിഷൻ മൾട്ടിപ്ലെക്സിംഗ് (ATDM)
असिंक्रोनस हस्तांतरण,അസമന്വിത കൈമാറ്റം
एसिंक्रोनस ट्रान्सफर मोड (एटीएम),അസിൻക്രണസ് ട്രാൻസ്ഫർ മോഡ് (എടിഎം)
अणू,ആറ്റം
संलग्न दस्तऐवज,അറ്റാച്ചുചെയ്ത പ്രമാണം
संलग्न फाइल,അറ്റാച്ചുചെയ്ത ഫയൽ
संलग्नक,ബന്ധം
विशेषता,ആട്രിബ്യൂട്ട്
ऑडिओ,ഓഡിയോ
ऑडिट प्रोग्रामिंग,ഓഡിറ്റ് പ്രോഗ്രാമിംഗ്
तपासणीचे सूत्र,ഓഡിറ്റ് ട്രയൽ
वाढ,വർദ്ധിപ്പിക്കൽ
प्रमाणीकरण प्रोटोकॉल,പ്രാമാണീകരണ പ്രോട്ടോക്കോൾ
ऑथरिंग सिस्टम,എഴുത്ത് സംവിധാനം
अधिकृतता,അംഗീകാരം
स्वयं गोषवारा,യാന്ത്രിക സംഗ്രഹം
ऑटोबूटिंग,ഓട്ടോബൂട്ടിംഗ്
ऑटोकॅड,ഓട്ടോകാഡ്
ऑटोलॉग चालू,ഓട്ടോലോഗ് ഓൺ
स्वयंचलित,ഓട്ടോമാറ്റ
ऑटोमेटा सिद्धांत,ഓട്ടോമാറ്റ സിദ്ധാന്തം
स्वयंचलित संगणन,ഓട്ടോമാറ്റിക് കമ്പ്യൂട്ടിംഗ്
स्वयंचलित डेटा प्रक्रिया,ഓട്ടോമാറ്റിക് ഡാറ്റ പ്രോസസ്സിംഗ്
स्वयंचलित त्रुटी सुधारणा,യാന്ത്രിക പിശക് തിരുത്തൽ
स्वयंचलित कार्य,യാന്ത്രിക പ്രവർത്തനം
स्वयंचलित अनुक्रमणिका,ഓട്ടോമാറ്റിക് ഇൻഡെക്സിംഗ്
स्वयंचलित लायब्ररी कॉल,ഓട്ടോമാറ്റിക് ലൈബ്രറി കോൾ
स्वयंचलित प्रोग्रामिंग,ഓട്ടോമാറ്റിക് പ്രോഗ്രാമിംഗ്
स्वयंचलित पुनर्प्राप्ती कार्यक्रम,യാന്ത്രിക വീണ്ടെടുക്കൽ പ്രോഗ്രാം
स्वयंचलित दिनचर्या,യാന്ത്രിക ദിനചര്യ
स्वयंचलित प्रणाली पुनर्प्राप्ती,ഓട്ടോമാറ്റിക് സിസ്റ്റം വീണ്ടെടുക്കൽ
स्वयंचलित टेलर मशीन (एटीएम),ഓട്ടോമാറ്റിക് ടെല്ലർ മെഷീൻ (എടിഎം)
ऑटोमेशन,ഓട്ടോമേഷൻ
ऑटो प्ले,ഓട്ടോപ്ലേ
स्वयं जतन करा,സ്വയം സംരക്ഷിക്കുക
सहाय्यक,സഹായകമായ
सहाय्यक मेमरी,സഹായ മെമ്മറി
सहायक स्टोरेज,സഹായ സംഭരണം
उपलब्ध यादी,ലഭ്യമായ പട്ടിക
उपलब्ध वेळ,ലഭ്യമായ സമയം
सरासरी,ശരാശരി
awk (भाषा),awk (ഭാഷ)
बॅकएंड,പിൻഭാഗം
बॅकएंड प्रोसेसर,ബാക്കെൻഡ് പ്രോസസർ
बॅकफेस काढणे,ബാക്ക്ഫേസ് നീക്കം
पार्श्वभूमी प्रक्रिया,പശ്ചാത്തല പ്രോസസ്സിംഗ്
बॅकिंग स्टोअर,ബാക്കിംഗ് സ്റ്റോർ
बॅकपॅचिंग,ബാക്ക്പാച്ചിംഗ്
बॅकस्पेस,ബാക്ക്സ്പേസ്
बॅकट्रॅकिंग,ബാക്ക്ട്രാക്കിംഗ്
बॅकअप,ബാക്ക്-അപ്പ്
बॅकअप मेमरी,ബാക്കപ്പ് മെമ്മറി
मागास त्रुटी पुनर्प्राप्ती,പിന്നോട്ട് പിശക് വീണ്ടെടുക്കൽ
ताळेबंद,ബാലൻസ് ഷീറ്റ്
बँड,ബാൻഡ്
बँड रुंदी,ബാൻഡ് വീതി
बँकरचा अल्गोरिदम,ബാങ്കറുടെ അൽഗോരിതം
बार कोड,ബാർ കോഡ്
बार कोड स्कॅनर,ബാർ കോഡ് സ്കാനർ
बार आलेख,ബാർ ഗ്രാഫ്
मूळ पत्ता,അടിസ്ഥാന വിലാസം
बेस बँड,അടിസ്ഥാന ബാൻഡ്
आधार क्रमांक,അടിസ്ഥാന നമ്പർ
बेस टेबल,അടിസ്ഥാന പട്ടിക
बेसिक,അടിസ്ഥാനം
मूलभूत नियंत्रण,അടിസ്ഥാന നിയന്ത്രണം
मूलभूत इनपुट,അടിസ്ഥാന ഇൻപുട്ട്
मूलभूत सूचना,അടിസ്ഥാന നിർദ്ദേശം
मूलभूत आउटपुट,അടിസ്ഥാന ഔട്ട്പുട്ട്
मूलभूत पायरी,അടിസ്ഥാന ഘട്ടം
तुकडी,ബാച്ച്
बॅच फाइल,ബാച്ച് ഫയൽ
बॅच स्थिती,ബാച്ച് സ്ഥാനം
बॅच प्रक्रिया,ബാച്ച് പ്രോസസ്സിംഗ്
बॅच सिस्टम,ബാച്ച് സിസ്റ്റം
बॉड,ബൗഡ്
बॉड दर,ബാഡ് നിരക്ക്
तुळई,ബീം
बेंचमार्क,ബെഞ്ച്മാർക്ക്
द्विदिश संप्रेषण,ദ്വിദിശ ആശയവിനിമയം
द्विदिश दुवा,ദ്വിദിശ ലിങ്ക്
बायनरी कोड,ബൈനറി കോഡ്
बायनरी अंक,ബൈനറി അക്കം
बायनरी इनपुट आउटपुट सिस्टम (BIOS),ബൈനറി ഇൻപുട്ട് ഔട്ട്പുട്ട് സിസ്റ്റം (BIOS)
बायनरी संख्या,ബൈനറി നമ്പർ
बायनरी ऑपरेटर,ബൈനറി ഓപ്പറേറ്റർ
बायनरी संबंध,ബൈനറി ബന്ധം
बायनरी शोध,ബൈനറി തിരയൽ
बायनरी सर्च ट्री (BST),ബൈനറി സെർച്ച് ട്രീ (BST)
बायनरी हस्तांतरण,ബൈനറി കൈമാറ്റം
बायनरी झाड,ബൈനറി മരം
द्विध्रुवीय मेमरी,ബൈപോളാർ മെമ്മറി
जन्म मृत्यू मॉडेल,ജനന മരണ മാതൃക
जन्म मृत्यू प्रक्रिया,ജനന മരണ പ്രക്രിയ
बिट,ബിറ്റ്
थोडा दोष,ചെറിയ തെറ്റ്
बिट नकाशा,ബിറ്റ് മാപ്പ്
बिट मॅप पिक्सेल (BMP),ബിറ്റ് മാപ്പ് പിക്സൽ (BMP)
बिट मॅट्रिक्स,ബിറ്റ് മാട്രിക്സ്
बिट नमुना,ബിറ്റ് പാറ്റേൺ
बिट स्थिती,ബിറ്റ് സ്ഥാനം
बिट दर,ബിറ്റ് നിരക്ക്
ब्लॅक बॉक्स चाचणी,ബ്ലാക്ക് ബോക്സ് പരിശോധന
लुकलुकणे,മിന്നിമറയുന്നു
ब्लॉक,തടയുക
ब्लॉक कॅशे,കാഷെ തടയുക
ब्लॉक चेक,ബ്ലോക്ക് ചെക്ക്
ब्लॉक कॉपी,ബ്ലോക്ക് കോപ്പി
ब्लॉक आकृती,ബ്ലോക്ക് ഡയഗ്രം
ब्लॉकिंग नेटवर्क,തടയൽ ശൃംഖല
बोर्ड,ബോർഡ്
पुस्तक चिन्ह,ബുക്ക് മാർക്ക്
बुलियन बीजगणित,ബൂലിയൻ ബീജഗണിതം
बुलियन संबंध,ബൂളിയൻ ബന്ധം
बूट विभाजन,ബൂട്ട് പാർട്ടീഷൻ
बूट strapping,ബൂട്ട് സ്ട്രാപ്പിംഗ്
बूट-स्ट्रॅप लोडर,ബൂട്ട് സ്ട്രാപ്പ് ലോഡർ
पूल,പാലം
ब्रॉडबँड नेटवर्किंग,ബ്രോഡ്‌ബാൻഡ് നെറ്റ്‌വർക്കിംഗ്
प्रसारण,പ്രക്ഷേപണം
रेडिओ प्रसारित करा,പ്രക്ഷേപണം റേഡിയോ
ब्राउझ करा,ബ്രൗസ് ചെയ്യുക
ब्राउझर,ബ്രൗസർ
बी-वृक्ष,ബി-ട്രീ
बबल मेमरी,ബബിൾ മെമ്മറി
बबल क्रमवारी,ബബിൾ അടുക്കുക
बादली,ബക്കറ്റ്
मित्र प्रणाली,ബഡ്ഡി സിസ്റ്റം
बजेट प्रभावी नियंत्रण,ബജറ്റ് ഫലപ്രദമായ നിയന്ത്രണം
बफर,ബഫർ
किडा,ബഗ്
बस,ബസ്
बाइट,ബൈറ്റ്
बाइट कोड,ബൈറ്റ് കോഡ്
c,സി
C++,C++
कॅशे,കാഷെ
कॅशे बफर,കാഷെ ബഫർ
कॅशे मेमरी,കാഷെ മെമ്മറി
गणना,കണക്കുകൂട്ടല്
कॅल्क्युलेटर,കാൽക്കുലേറ്റർ
कॅल्क्युलेटर चिप,കാൽക്കുലേറ്റർ ചിപ്പ്
कॉल,വിളി
नावाने कॉल करा,പേര് വിളിക്കുക
संदर्भानुसार कॉल करा,റഫറൻസ് വഴി വിളിക്കുക
मूल्यानुसार कॉल करा,മൂല്യമനുസരിച്ച് വിളിക്കുക
व्हेरिएबल्सद्वारे कॉल करा,വേരിയബിളുകൾ വഴി വിളിക്കുക
कॉल गेट,കോൾ ഗേറ്റ്
रद्द करा,റദ്ദാക്കുക
रद्द करा बटण,റദ്ദാക്കുക ബട്ടൺ
प्रामाणिक,കാനോനിക്കൽ
प्रामाणिक स्वरूप,കാനോനിക്കൽ രൂപം
क्षमता,കഴിവ്
क्षमता यादी,കഴിവ് പട്ടിക
क्षमता,ശേഷി
कॅप्स लॉक की,ക്യാപ്സ് ലോക്ക് കീ
कार्ड,കാർഡ്
कार्ड रीडर,കാർഡ് റീഡർ
मुख्यत्वे,കാർഡിനാലിറ്റി
वाहक,വാഹകൻ
वाहक बँड,കാരിയർ ബാൻഡ്
वाहक लोड,കാരിയർ ലോഡ്
वाहक सिग्नल,കാരിയർ സിഗ്നൽ
वाहक लहर,കാരിയർ തരംഗം
वाहून नेणे,കൊണ്ടുപോകുക
कॅरी अंक,അക്കം കൊണ്ടുപോകുക
ध्वज घेऊन जा,പതാക വഹിക്കുക
काडतूस डिस्क,കാട്രിഡ്ജ് ഡിസ്ക്
कॅस्केड,കാസ്കേഡ്
केस,കേസ്
कॅथोड रे ट्यूब (सीआरटी),കാഥോഡ് റേ ട്യൂബ് (CRT)
कॅथोड रे ट्यूब (सीआरटी),കാഥോഡ് റേ ട്യൂബ് (CRT)
CD ROM डिस्क ड्राइव्ह,സിഡി റോം ഡിസ്ക് ഡ്രൈവ്
सेल,സെൽ
सेल अॅनिमेशन,സെൽ ആനിമേഷൻ
भ्रमणध्वनी,സെല്ലുലാർ ഫോൺ
केंद्रीय स्मृती,കേന്ദ്ര മെമ്മറി
सेंट्रल प्रोसेसिंग युनिट (CPU),സെൻട്രൽ പ്രോസസ്സിംഗ് യൂണിറ്റ് (സിപിയു)
केंद्रीकृत प्रणाली,കേന്ദ്രീകൃത സംവിധാനം
प्रमाणित टेप,സാക്ഷ്യപ്പെടുത്തിയ ടേപ്പ്
साखळी,ചങ്ങല
साखळी डेटा,ചെയിൻ ഡാറ്റ
साखळी दुवा,ചെയിൻ ലിങ്ക്
चेनिंग,ചങ്ങല
चॅनल,ചാനൽ
चॅनेल व्यस्त टोन,ചാനൽ തിരക്കുള്ള ടോൺ
चॅनेल क्षमता,ചാനൽ ശേഷി
चॅनेल नियंत्रक,ചാനൽ കൺട്രോളർ
चॅनेल त्रुटी,ചാനൽ പിശക്
चॅनेल कार्यक्रम,ചാനൽ പ്രോഗ്രാം
चॅनेल विश्वसनीयता,ചാനൽ വിശ്വാസ്യത
चॅनेल सेट,ചാനൽ സെറ്റ്
वर्ण,സ്വഭാവം
वर्ण कोड,പ്രതീക കോഡ്
वर्ण की,പ്രതീക കീ
वर्ण वाचक,സ്വഭാവ വായനക്കാരൻ
वर्ण आकार,പ്രതീക വലുപ്പം
तक्ता,ചാർട്ട്
चेसिस,ചേസിസ്
बिट तपासा,ചെക്ക് ബിറ്റ്
चेक अंक,അക്കം പരിശോധിക്കുക
बेरीज तपासा,തുക ചെക്ക്
शब्द तपासा,ചെക്ക് വാക്ക്
चिप,ചിപ്പ്
चिप संच,ചിപ്പ് സെറ്റ്
निवडा,തിരഞ്ഞെടുക്കുക
रंगीत,വർണ്ണപരമായി
सिफर,സൈഫർ
सर्किट,സർക്യൂട്ട്
परिपत्रक यादी,വൃത്താകൃതിയിലുള്ള പട്ടിക
सायरस,സിറസ്
उद्धरण,അവലംബം
वर्ग,ക്ലാസ്
वर्ग व्हेरिएबल,ക്ലാസ് വേരിയബിൾ
वर्गीकरण,വർഗ്ഗീകരണം
स्पष्ट,വ്യക്തമായ
स्पष्ट क्षेत्र,തെളിഞ്ഞ പ്രദേശം
साफ चॅनेल,വ്യക്തമായ ചാനൽ
क्लिक करा,ക്ലിക്ക് ചെയ്യുക
ग्राहक,കക്ഷി
क्लायंट सर्व्हर,ക്ലയന്റ് സെർവർ
क्लायंट स्टब,ക്ലയന്റ് അപൂർണ്ണം
क्लिप आर्ट,ക്ലിപ്പ് ആർട്ട്
क्लिप आर्ट लायब्ररी,ക്ലിപ്പ് ആർട്ട് ലൈബ്രറി
क्लिप बोर्ड,ക്ലിപ്പ് ബോർഡ്
क्लिपर,ക്ലിപ്പർ
क्लिपर चिप,ക്ലിപ്പർ ചിപ്പ്
गट,കൂട്ടം
घड्याळ,ക്ലോക്ക്
घड्याळ चक्र,ക്ലോക്ക് സൈക്കിൾ
घड्याळ वारंवारता,ക്ലോക്ക് ആവൃത്തി
घड्याळ हार्डवेअर,ക്ലോക്ക് ഹാർഡ്‌വെയർ
घड्याळाची नाडी,ക്ലോക്ക് പൾസ്
घड्याळाचा वेग,ക്ലോക്ക് വേഗത
घड्याळ सिंक्रोनाइझेशन,ക്ലോക്ക് സിൻക്രൊണൈസേഷൻ
घड्याळाची टिक,ക്ലോക്ക് ടിക്ക്
क्लोन,ക്ലോൺ
बंद,അടുത്ത്
क्लोज सर्किट टीव्ही (सीसीटीव्ही),ക്ലോസ് സർക്യൂട്ട് ടിവി (സിസിടിവി)
बंद,അടച്ചുപൂട്ടൽ
क्लाउड संगणन,ക്ലൗഡ് കമ്പ്യൂട്ടിംഗ്
क्लस्टर,ക്ലസ്റ്റർ
लेपित कार्ड,പൂശിയ കാർഡ്
लेपित कागद,പൊതിഞ്ഞ പേപ്പർ
समाक्षीय,ഏകപക്ഷീയമായ
समाक्षीय केबल,ഏകോപന കേബിൾ
कोडासिल,കോഡാസിൽ
कोड,കോഡ്
कोड जनरेटर,കോഡ് ജനറേറ്റര്
कोड पृष्ठ,കോഡ് പേജ്
कोड शब्द,കോഡ് വാക്ക്
कोडर,കോഡർ
कोडिंग तपासणी,കോഡിംഗ് പരിശോധന
कोडिंग फॉर्म,കോഡിംഗ് ഫോം
कोडिंग शीट,കോഡിംഗ് ഷീറ്റ്
गुणांक,ഗുണകം
सुसंगतता,പരസ്പരബന്ധം
थंड बूट,തണുത്ത ബൂട്ട്
थंड सुरुवात,തണുത്ത തുടക്കം
सहयोग,സഹകരണം
कोसळणे,തകർച്ച
कोलेट,കൊളാറ്റ്
कोलेट टेप,കൊളേറ്റ് ടേപ്പ്
टक्कर,കൂട്ടിയിടി
कोलन,കോളൻ
रंग (रंग),നിറം (നിറം)
रंग संपृक्तता,നിറം സാച്ചുറേഷൻ
रंग टेबल,വർണ്ണ പട്ടിക
स्तंभ,കോളം
संयोजन,സംയോജനം
कॉम्बो बॉक्स,കോംബോ ബോക്സ്
आज्ञा,കമാൻഡ്
कमांड बटण,കമാൻഡ് ബട്ടൺ
आदेश यादी,കമാൻഡ് ലിസ്റ്റ്
टिप्पणी,അഭിപ്രായം
वचनबद्धता,പ്രതിബദ്ധത
वस्तू,ചരക്ക്
कॉमन बिझनेस ओरिएंटेड लँग्वेज (कोबोल),പൊതു ബിസിനസ് അധിഷ്ഠിത ഭാഷ (കോബോൾ)
सामान्य त्रुटी,സാധാരണ പിശക്
सामान्य भाषा,പൊതു ഭാഷ
सामान्य दिनचर्या,സാധാരണ പതിവ്
संवाद,ആശയവിനിമയം
संप्रेषण लाइन,ആശയവിനിമയ ലൈൻ
संप्रेषण मोड,ആശയവിനിമയ മോഡ്
संप्रेषण नेटवर्क,ആശയവിനിമയ ശൃംഖല
संप्रेषण पॅरामीटर,ആശയവിനിമയ പരാമീറ്റർ
संप्रेषण प्रणाली,ആശയവിനിമയ സംവിധാനം
कॉम्पॅक्शन,കോംപാക്ഷൻ
साथीदार,കമ്പാൻഡർ
companding,companding
कंपनी नेटवर्क,കമ്പനി ശൃംഖല
तुलना चाचणी,താരതമ്യ പരിശോധന
सुसंगतता,അനുയോജ്യത
सुसंगत,അനുയോജ്യം
संकलन,സമാഹാരം
संकलित करा आणि जा,സമാഹരിച്ച് പോകുക
संकलक,കമ്പൈലർ
कंपाइलर भाषा,കമ്പൈലർ ഭാഷ
पूरक,പരസ്പരപൂരകമായ
दहावर पूरक,കോംപ്ലിമെന്റ്-ഓൺ-പത്ത്
पूरक,പൂരകൻ
पूर्ण वाहून,പൂർണ്ണമായി കൊണ്ടുപോകുക
जटिल,സങ്കീർണ്ണമായ
जटिल संख्या,സങ്കീർണ്ണ സംഖ്യ
घटक,ഘടകം
