Marathi,English
En डेनोसिन डायफॉस्फेट,Adenosin diphosphate
En डेनोसिन डिमिनेस,Adenosine deaminase
En डेनोसाइन मोनोफॉस्फेट,Adenosine monophosphate
En डेनोसाइन ट्रायफॉस्फेट (एटीपी),Adenosine triphosphate (ATP)
En डेनिलेट सायक्लेज,Adenylate cyclase
चिकट शक्ती,Adhesive force
अ‍ॅडिपेट,Adipate
अ‍ॅडिपोसाइट (चरबी सेल),Adipocyte (fat cell)
अ‍ॅडिपोज टिशू,Adipose tissue
Nednate,Adnate
लगतचा समुदाय,Adjoining community
Ren ड्रेनल,Adrenal
Ren ड्रेनल ग्रंथी,Adrenal gland
एड्रेनोकोर्टिकोट्रॉपिक हार्मोन (एसीटीएच),Adrenocorticotropic hormone (ACTH)
Ren ड्रेनोकोर्टिकोट्रॉपिक रिलीझिंग हार्मोन (एसीटीआरएच),Adrenocorticotropic releasing hormone (ACTRH)
Or सॉर्बेंट,Adsorbent
शोषण,Adsorption
प्रगत Chordate,Advanced chordate
फायदेशीर उत्परिवर्तन,Advantageous mutation
अ‍ॅडव्हेंटिशियल,Adventitial
साहसी मूळ,Adventitious root
प्रतिकूल परिणाम,Adverse effect
एडीज,Aedes
संस्कृतीचे वायुवीजन,Aeration of culture
एरेन्चायमा,Aerenchyma
हवाई,Aerial
एरियल रूट,Aerial root
एरियल शूट,Aerial shoot
एरोबिक श्वसन,Aerobic respiration
एरोबिक श्वसन,Aerobic respiration
सौंदर्यशास्त्र,Aesthetics
एस्टिवेशन,Aestivation
एस्टिवेशन,Aestivation
Efferent,Afferent
आत्मीयता क्रोमॅटोग्राफी,Affinity chromatography
पीडित अवयव,Afflicted organ
वनीकरण,Afforestation
अ‍ॅगामोस्पर्मी,Agamospermy
अगर,Agar
आगरोस,Agarose
अगरोस जेल इलेट्रोफोरेसीस,Agarose gel eletrophoresis
अ‍ॅगारोज पॉलिमर जेल,Agarose polymer gel
Agast,Agast
अ‍ॅगेव्ह,Agave
वय वितरण,Age distribution
वय पिरॅमिड,Age pyramid
एकत्रित,Agglutination
एकूण,Aggregate
कूपांचे एकूण,Aggregate of follicle
कूपांचे एकूण,Aggregate of follicle
एकत्रिकरण,Aggregation
आक्रमकता,Aggressiveness
आंदोलन प्रणाली,Agitator system
अग्नथ,Agnatha
अगोती,Agouti
अ‍ॅग्रॅनल क्लोरोप्लास्ट,Agranal chloroplast
अ‍ॅग्रॅन्युलर,Agranular
अ‍ॅग्रानुलोसाइट,Agranulocyte
शेती,Agriculture
अ‍ॅग्रोफोरेस्ट्री,Agroforestry
अ‍ॅग्रोबॅक्टीरियम मध्यस्थी,Agrobacterium mediated
अ‍ॅग्रोबॅक्टीरियम ट्यूमेफेसियन्स,Agrobacterium tumefaciens
अ‍ॅग्रोकेमिकल,Agrochemical
अ‍ॅग्रोकेमिकल,Agrochemical
अ‍ॅग्रोक्लिमॅटिक झोन,Agroclimatic zone
कृषी गुणधर्म,Agronomic trait
अ‍ॅग्रोनॉमी,Agronomy
एड्स,AIDS
एअर मूत्राशय,Air bladder
वातानुकूलन,Air conditioner
हवाई रस्ता,Air passage
वायू प्रदूषण,Air pollution
एअर थैली,Air sac
एअर व्हॅक्यूओल,Air vacuole
हवाई श्वास,Air-breathing
अलेन,Alain
अ‍ॅलरी स्नायू,Alary muscle
अलास्कन तपकिरी अस्वल,Alaskan brown bear
अल्बिनो,Albino
अल्बुगो,Albugo
अल्बमिन,Albumin
अल्ब्युमिनस बियाणे,Albuminous seed
अल्बमिनुरिया,Albuminuria
अल्बर्नम,Alburnum
Lescedae,Alcedae
Ld ल्डिहेडे,Aldehyede
Ld ल्डोस्टेरॉन सिस्टम,Aldosterone system
अ‍ॅल्डोस्टेरॉन,Aldosterone
अलेरोन लेयर,Aleurone layer
अलेरोप्लास्ट,Aleuroplast
अल्फल्फा,Alfalfa
अल्गल ब्लूम,Algal bloom
अल्गिन,Algin
एलियन डीएनए,Alien DNA
एलियन प्रजाती,Alien species
संरेखन,Alignment
संरेखन,Alignment
एलिमेंटरी कालवा,Alimentary canal
एलिमेंटरी सिस्टम,Alimentary system
अलिसमासेस,Alismaceace
अल्कलॉइड,Alkaloid
अल्कधर्मी,Alkaline
अल्काप्टोनुरिया,Alkaptonuria
अलांटोइस,Allantois
अ‍ॅलेल वारंवारता,Allele frequency
अ‍ॅलेल,Allele
Lel लोमॉर्फिक जोडी,Allelomorphic pair
L लर्जीन,Allergen
अ‍ॅलिगेटर,Alligator
अ‍ॅलियम सेपा,Allium cepa
अ‍ॅलोगॅमी,Allogamy
अ‍ॅलोग्राफ्ट,Allograft
अ‍ॅलोपॅट्रिक स्पेशिएशन,Allopatric speciation
Ol लोपोलिपॉइड,Allopolyploid
अ‍ॅलोस्टेरिक प्रभाव,Allosteric effect
अ‍ॅलोस्टेरिक एंझाइम,Allosteric enzyme
अ‍ॅलोस्टेरिक इनहिबिटर,Allosteric inhibitor
अ‍ॅलोस्टेरिक मॉड्यूलेशन,Allosteric modulation
अ‍ॅलोस्टेरिक साइट,Allosteric site
अ‍ॅलोस्टेरिक इनहिबिशन,Allosteric inhibition
अ‍ॅलोटेट्रॅप्लॉइड,Allotetraploid
अल्नस,Alnus
कोरफड,Aloe
On क्सॉनच्या बाजूने,Along the axon
अल्फा-अँटीट्रिप्सिन,Alpha-antitrypsin
अल्फा-लेक्टलब्यूमिन,Alpha-lactalbumin
अल्पाइन हवामान स्थिती,Alpine climate condition
अल्पाइन कुरण,Alpine meadow
अल्पाइन झोन,Alpine zone
अल्स्टोनिया,Alstonia
अल्टरनेरिया,Alternaria
वैकल्पिक,Alternate
पिढीचे पर्यायी,Alternation of generation
उंची आजारपण,Altitude sickness
समुद्रसपाटीपासूनची उंची,Altitude
अल्व्होलर नलिका,Alveolar duct
एलिटेस,Alytes
अल्झायमर रोग,Alzheimer's disease
अमॅक्रिन सेल,Amacrine cell
अमरॅन्थेसी,Amaranthaceae
अमरॅन्थस,Amaranthus
वातावरणीय ऑस्मोटिक एकाग्रता,Ambient osmotic concentration
अ‍ॅम्बिस्टोमा,Ambystoma
अमाइड,Amide
अमिनो आम्ल,Amino acid
अमीनो acid सिड स्वीकारणारा,Amino acid acceptor
एमिनोआसिल टी आरएनए सिंथेथेस,Aminoacyl t RNA synthetase
एमिनोआसिलेशन,Aminoacylation
अमिटोसिस,Amitosis
अमोनिया,Ammonia
अमोनिफिकेशन,Ammonification
अमोनोटेलिझम,Ammonotelism
अ‍ॅम्निओसेन्टेसिस,Amniocentesis
अ‍ॅम्निओसेन्टेसिस तंत्र,Amniocentesis technique
अ‍ॅम्निओसाइट,Amniocyte
अम्नियन,Amnion
गर्भाशयातील द्रव,Amniotic fluid
अम्नीओटिक झिल्ली,Amniotic membrane
अम्नीओटिक थैली,Amniotic sac
अमोबा,Amoeba
अमीबोसाइट,Amoebocyte
अमोबॉइड,Amoeboid
अ‍ॅमोबॉइड लिम्फोसाइट,Amoeboid lymphocyte
अ‍ॅमोबॉइड चळवळ,Amoeboid movement
अनाकार,Amorphous
रक्कम,Amount
अ‍ॅम्फेटामाइन,Amphetamine
उभयचर,Amphibia
उभयचर,Amphibian
उभयचर,Amphibian
अ‍ॅम्फिओक्सस,Amphioxus
अ‍ॅम्फिओक्सस लॅन्सोलाटस,Amphioxus lanceolatus
अ‍ॅम्फिपाथिक,Amphipathic
अ‍ॅम्फिपाथिक लिपिड,Amphipathic lipid
अ‍ॅम्फिसार्का,Amphisarca
अ‍ॅम्पिसिलिन,Ampicillin
अ‍ॅम्पुल्ला,Ampulla
अ‍ॅम्प्युलरी ग्रंथी,Ampullary gland
अ‍ॅमीगडल,Amygdal
अ‍ॅमीगडेल,Amygdale
अ‍ॅमीग्डालिन,Amygdalin
अ‍ॅमिलेज,Amylase
अ‍ॅमिलोप्लास्ट,Amyloplast
अनाबेना,Anabaena
अनबास,Anabas
अ‍ॅनाबॉलिक मार्ग,Anabolic pathways
अ‍ॅनाबोलिझम,Anabolism
अ‍ॅनाकार्डियासी,Anacardiaceae
अशक्तपणा,Anaemia
अनरोब,Anaerobe
अनॅरोबिक इंधन,Anaerobic fuel
अनरोबिक श्वसन,Anaerobic respiration
अनॅरोबिक गाळ डायजेस्टर,Anaerobic sludge digester
अनॅरोबिक,Anaerobic
अनाईमा,Anaima
गुदद्वारासंबंधीचा,Anal
गुदद्वारासंबंधीचा,Anal
गुदद्वारासंबंधीचा छिद्र,Anal aperture
गुदद्वारासंबंधीचा सेर्सी,Anal cerci
गुद्द्वार लूप,Anal loop
गुद्द्वार शैली,Anal style
समान,Analogous
समान,Analogous
समानता,Analogy
समानता,Analogy
विश्लेषण,Analysis
अनाफेस,Anaphase
शरीरशास्त्र अडथळा,Anatomic barrier
शारीरिक पैलू,Anatomical aspect
शरीरशास्त्रज्ञ,Anatomist
शरीरशास्त्र,Anatomy
पूर्वज वंशज अनुक्रम,Ancestor descendant sequence
वडिलोपार्जित वंश,Ancestral lineage
वडिलोपार्जित क्रम,Ancestral sequence
एन्सिलोस्टोमा,Ancylostoma
एंड्रोइसीयम,Androecium
एंड्रोजेन,Androgen
अशक्तपणा,Anemia
Enemone,Anemone
Eneuploid,Aneuploid
Eneuploidy,Aneuploidy
एनजाइना,Angina
एंजिओग्राम,Angiogram
एंजियोग्राफ,Angiograph
एंजियोग्राफी,Angiography
एंजियोप्लास्टी,Angioplasty
एंजिओस्पर्म,Angiosperm
अँजिओटेन्सिन,Angiotensin
एंजियोटेंसीनोजेन,Angiotensinogen
अँगलर फिश,Angler fish
एंगुइना,Anguina
एंगुइस,Anguis
प्राणी,Animal
प्राणी,Animal
प्राणी शेण,Animal dung
पशुसंवर्धन,Animal husbandry
अ‍ॅनिमल कॅरिओटाइपिंग,Animal karyotyping
प्राण्यांचे राज्य,Animal kingdom
प्राणी ऊतक,Animal tissue
अ‍ॅनिमालिया,Animalia
आयन,Anion
एनिसोट्रॉपिक बँड,Anisotropic band
En नीलिंग,Annealing
अ‍ॅनेलिड,Annelid
अ‍ॅनेलिडा,Annelida
वार्षिक रिंग,Annual ring
एनुलेटेड,Annulated
एन्युले,Annule
विसंगती प्रकार,Anomalous type
अ‍ॅनोफेल्स,Anopheles
मुंगी खाणारा,Ant eater
विरोधी,Antagonistic
अंटार्क्टिक,Antarctic
अँटेना,Antenna
अँटेना कॉम्प्लेक्स,Antenna complex
अँटेनल ग्रंथी,Antennal gland
पूर्ववर्ती (व्हेंट्रल) ग्रे हॉर्न,Anterior (ventral) gray horn
आधीचा हायपोफिसिस,Anterior hypophysis
पूर्ववर्ती इंटरव्हेंट्रिक्युलर सल्कस,Anterior interventricular sulcus
अँथर,Anther
अँथर संस्कृती,Anther culture
अँथेरिडियम,Antheridium
अँथेरोझॉइड,Antherozoid
अँथोसेरोस,Anthoceros
अँथोसेरोटोप्सिडा,Anthocerotopsida
अँथ्रॅक्स,Anthrax
अँथ्रोपोजेनिक विलोपन,Anthropogenic extinction
मानववंशशास्त्र,Anthropology
अँटीबैक्टीरियल,Antibacterial
अँटीबायोटिक पेनिसिलिन,Antibiotic penicillin
प्रतिजैविक प्रतिरोधक,Antibiotic resistant
प्रतिजैविक (ओ),Antibiotic(s)
प्रतिपिंडे,Antibody
अँटीबॉडी जोडपे,Antibody couple
प्रतिपिंडे मध्यस्थ प्रतिकारशक्ती,Antibody mediated immunity
अँटीकोआगुलंट,Anticoagulant
अँटीकोडॉन लूप,Anticodon loop
प्रतिरोधक,Antidepressant
अँटीडियुरेटिक हार्मोन (एडीएच),Antidiuretic hormone (ADH)
अँटीजेन जनुक,Antigen gene
अँटीजेन-अँटीबॉडी कॉम्प्लेक्स,Antigen-antibody complex
प्रतिजैविक निर्धारक,Antigenic determinant
विरोधी घटक,Antinutritional factor
अँटीऑक्सिडेंट,Antioxidant
अँटीपोडल न्यूक्लियस,Antipodal nucleus
अँटी-सेन्स आरएनए,Anti-sense RNA
अँटीवायरल प्रथिने,Antiviral protein
अँट्रम,Antrum
Anucleate,Anucleate
गुद्द्वार,Anus
चिंता डिसऑर्डर,Anxiety disorder
महाधमनी कमान,Aortic arch
महाधमनी गँगलियन,Aortic ganglion
महाधमनी सेमीलूनर वाल्व,Aortic semilunar valve
महाधमनी वाल्व्ह,Aortic valve
एपीसी (अनाफेस प्रोत्साहन कॉम्प्लेक्स),APC (anaphase promoting complex)
अपीलिक पूर्वज,Apelike ancestor
Ph फिड,Aphid
Ph फ्रोडाईट,Aphrodite
एपिकल वर्चस्व,Apical dominance
एपिकल पॅड,Apical pad
एपिकल्चर,Apiculture
एपीआयएस इंडिका,Apis indica
अप्प्लानोस्पोर,Aplanospore
अप्लिसिया,Aplysia
अपोकार्पा,Apocarpae
अपोकार्पस,Apocarpous
अपोकार्पस अंडाशय,Apocarpous ovary
अपोक्राइन ग्रंथी,Apocrine gland
अपोएन्झाइम,Apoenzyme
Apomict,Apomict
अपोमिक्सिस,Apomixis
अपोप्लाझम,Apoplasm
अपोप्लास्टिक मार्ग,Apoplastic pathway
अ‍ॅपॉप्टोसिस,Apoptosis
उपकरणे,Apparatus
परिशिष्ट सांगाडा,Appendicular skeleton
कॅकमचे परिशिष्ट,Appendix of the caecum
Apple पल गोगलगाय,Apple snail
जलचर,Aquaculture
एक्वापोरिन,Aquaporin
जलचर उभयचर,Aquatic amphibian
जलीय फॉर्म,Aquatic form
जलचर निवासस्थान,Aquatic habitat
जलीय जीव,Aquatic organism
जलचर वनस्पती,Aquatic plant
जलीय श्वसन,Aquatic respiration
जलीय द्रव,Aqueous fluid
जलीय ह्यूमर,Aqueous humur
जलीय इंट्रा-सेल्युलर फ्लुइड,Aqueous intra-cellular fluid
जलीय नमुना,Aqueous sample
जलीय समाधान,Aqueous solution
एक्विला,Aquila
अरबीडोप्सिस,Arabidopsis
अराच्नीडा,Arachnida
अराच्नॉइड,Arachnoid
अरेनियस,Araneus
आर्बोरेंट,Arborescent
आर्बोरसेंट लाइकोपॉड,Arborescent lycopod
आर्चीबॅक्टेरिया,Archaebacteria
आर्चेगोनियम,Archegonium
द्वीपसमूह,Archipelago
आर्क्टिक,Arctic
आर्क्टिक टर्न,Arctic tern
आर्क्टिक टुंड्रा,Arctic tundra
आर्दिया,Ardea
आयरोलर टिश्यू,Areolar tissue
अर्गेमोन (काटेकोर खसखस),Argemone (prickly poppy)
अर्गेमोन मेक्सिकाना,Argemone mexicana
आर्जिनिन,Arginine
शुष्क प्रदेश,Arid region
अरिस्टोलोचियासी,Aristolochiaceae
आर्म फीडिंग,Arm feeding
आर्मी किडे,Armyworm
एआरआयडी,Aroid
सुगंध,Aroma
अरेस्टर,Arrester
आर्टेमिसिया,Artemisia
धमनी सिस्टोलिक,Arterial systolic
आर्टेरिओस्क्लेरोटिक,Arteriosclerotic
आर्थ्रोपॉड,Arthropod
संधिवात,Arthritis
आर्थ्रोपोडा,Arthropoda
आर्टिक्युलर कूर्चा,Articular cartilage
अभिव्यक्ती,Articulate
स्पष्ट,Articulated
कृत्रिम पेसमेकर,Artificial pacemaker
कृत्रिम निवड,Artificial selection
आर्टोकार्पस हेटरोफिलस,Artocarpus heterophyllus
एस्बेस्टोस फायबर,Asbestos fibre
एस्बेस्टोसिस,Asbestosis
एस्केरिस,Ascaris
चढत्या क्रोमॅटोग्राफी,Ascending chromatography
Ascidia,Ascidia
एएससीआयडीयन,Ascidian
एस्कोकार्प,Ascocarp
एस्कॉमीसेट्स,Ascomycetes
एस्कॉर्बिक acid सिड,Ascorbic acid
एस्कोपोर,Ascospore
एस्कस,Ascus
सेपेटेट,Aseptate
अलौकिक पुनरुत्पादन,Asexual reproduction
अलौकिक बीजाणू,Asexual spore
शतावरी सिंथेथेस,Asparagine synthetase
शतावरी,Asparagus
एस्पार्टिक acid सिड,Aspartic acid
एस्परगिलस नायजर,Aspergillus niger
एस्परगिलस,Aspergillus
एपोडेलस टेनुइफोलियस,Asphodelus tenuifolius
अ‍ॅस्पिरिन,Aspirin
परख,Assay
असेंब्लीज,Assemblage
आत्मसात करण्याची कार्यक्षमता,Assimilation efficiency
आत्मसात करणारे मूळ,Assimilatory root
सहाय्यक पुनरुत्पादक तंत्र,Assisted reproductive technique
असोसिएशन क्षेत्र,Association area
असोसिएटिव्ह सहजीवन,Associative symbiosis
वर्गीकरण आणि पुनर्संयोजन,Assortment and recombination
घटकांची वर्गीकरण,Assortment of factor
अस्टाकस,Astacus
Asteraceae,Asteraceae
एस्टेरेल्स,Asterales
लघुग्रह,Asteroid
दमा,Asthma
अ‍ॅस्ट्रॅगलस गमिफर,Astragalus gummifer
सूक्ष्म स्पिंडल पोल,Astral spindle pole
खगोलशास्त्रज्ञ,Astronomer
असममित कॅरिओटाइप,Asymmetric karyotype
असममित,Asymmetrical
एथेरोमॅटस,Atheromatous
एथेरोस्क्लेरोसिस,Atherosclerosis
एथेरोस्क्लेरोटिक प्लेक,Atherosclerotic plaque
नकाशांचे पुस्तक,Atlas
Las टलस व्हर्टेब्रा,Atlas vertebra
वातावरण,Atmosphere
वातावरणीय,Atmospheric
वातावरणीय इनपुट,Atmospheric inputs
अणु शक्ती मायक्रोस्कोप,Atomic force microscope
अणू,Atom
एटीपी एएसई,ATP ase
एट्रियल कॉन्ट्रॅक्शन,Atrial contraction
एट्रियल फायब्रिलेशन,Atrial fibrillation
एट्रियल नॅट्युरेटिक फॅक्टर (एएनएफ),Atrial natriuretic factor (ANF)
एट्रियल नोड,Atrial node
एट्रियल सिस्टोल,Atrial systole
एट्रिओव्हेंट्रिक्युलर नोड,Atrioventricular node
एट्रिओव्हेंट्रिक्युलर वाल्व,Atrioventricular valve
अट्रियम (पीटरिया),Atrium (peatria)
अट्रियम (पीटरिया),Atrium (peatria)
अट्रोपा बेलॅडोना,Atropa belladonna
अ‍ॅट्रोफी,Atrophy
अ‍ॅट्रोपिन अल्कलॉइड,Atropine alkaloid
संलग्नक प्लेट,Attachment plate
श्रवणविषयक कॉर्टेक्स,Auditory cortex
औलोसिरा,Aulosira
ऑरिकल (ऑरिकुला),Auricle (auricula)
ऑरिकल (ऑरिकुला),Auricle (auricula)
ऑरिकल (ऑरिकुला),Auricle (auricula)
ऑरिकल (ऑरिकुला),Auricle (auricula)
ऑस्ट्रेलोपीथिसिन,Australopithecines
ऑटेकोलॉजी,Autecology
स्वयंचलित डीएनए सिक्वेंसर,Automated DNA sequencer
ऑटोपॉलिपॉइड,Autopolyploid
ऑटोनॅलिझर,Autoanalyser
ऑटोगॅमी,Autogamy
ऑटोगॅमी,Autogamy
ऑटोग्राफ्ट,Autograft
स्वयंप्रतिरोधक रोग,Autoimmune disease
ऑटोमोबाईल एक्झॉस्ट,Automobile exhaust
स्वायत्त (अनैच्छिक) मज्जासंस्था,Autonomic (involuntary) nervous system
ऑटोफॅजिक लायसोसोम,Autophagic lysosome
ऑटोप्लॉइड,Autoploid
ऑटोपोडियम,Autopodium
ऑटोपॉलिपॉइड,Autopolyploid
ऑटोसोमल क्रोमोरोम,Autosomal chromorome
ऑटोसोमल जनुक,Autosomal gene
ऑटोसोम,Autosome
ऑटोटेट्रॅप्लॉइड,Autotetraploid
ऑटोमी,Autotomy
ऑटोट्रिप्लॉइड विविधता,Autotriploid variety
ऑटोट्रोफ,Autotroph
शरद .तूतील लाकूड,Autumn wood
ऑक्सानोग्राफ,Auxanograph
ऑक्सोनोमीटर,Auxanometer
ऑक्सेटिक ग्रोथ,Auxetic growth
ऑक्सिन,Auxin
ऑक्सोट्रोफ,Auxotroph
एक व्ही बंडल,A V bundle
एवेज,Aves
एव्हिसेनिया,Avicennia
ओएन,Awn
अक्षीय सांगाडा,Axial skeleton
अक्ष,Axile
अक्षीय अंकुर,Axillary bud
अक्षीय,Axillary
अक्ष कशेरुका,Axis vertebra
On क्सॉन,Axon
अक्षीय पडदा,Axonal membrane
अक्षरी,Axonally
On क्सोनिम,Axoneme
अझोस्पिरिलम,Azospirillum
अझोटोबॅक्टर,Azotobacter
Azygous शिर,Azygous vein
बॅसिलस अँथ्रासिस,Bacillus anthracis
बॅसिलस थुरिंगेनेसिस (बीटी),Bacillus thuringiensis (Bt)
बॅसिलस,Bacillus
जिवाणू,Bacteria
बॅक्टेरिया,Bacterial
बॅक्टेरियातील बॅक्टेरियातील गुणसूत्र (बीएसी),Bacterial artificial chromosome (BAC)
बॅक्टेरियातील रोगजनक,Bacterial pathogen
बॅक्टेरियाचा प्लाझ्मा पडदा,Bacterial plasma membrane
बॅक्टेरियाचा ताण,Bacterial strain
बॅक्टेरियोलॉजिकल,Bacteriological
बॅक्टेरियोलॉजिकल नामांकन,Bacteriological nomenclature
बॅक्टेरियोफेज,Bacteriophage
बॅक्टेरियम,Bacterium
बॅकुलोव्हायरस,Baculovirus
बॅगिंग,Bagging
बालेनोप्टेरा,Balaenoptera
संतुलित पॉलिमॉर्फिझम,Balanced polymorphism
संतुलन निवड,Balancing selection
बालानोग्लोसस,Balanoglossus
बालानस,Balanus
बलौस्टा,Balausta
बॉल आणि सॉकेट संयुक्त,Ball and socket joint
बलून कॅथरायझेशन,Balloon catherization
बाम एच i,Bam H I
बांबू शूट,Bamboo-shoot
बॅंडेड अँटीटर,Banded anteater
बँडिंग तंत्र,Banding technique
बार्बिटेट,Barbiturate
बेअर रॉक,Bare rock
अडथळा,Barrier
साल,Bark
बॅंकॅकल,Barnacle
बेसल बॉडी,Basal body
बेसल कव्हर,Basal cover
बेसल गॅंग्लियन,Basal ganglion
बेसल पॅड,Basal pad
पाया,Base
बेस जोडी,Base pair
तळघर पडदा,Basement membrane
बासिडीओकार्प,Basidiocarp
बासिडीओमायसेट्स,Basidiomycetes
बासिडीओस्पोर,Basidiospore
बॅसिडियम,Basidium
बेसिफिक्स्ड,Basifixed
बेसिलर पडदा,Basilar membrane
बासिपेटल इंटर्नोड ऑर्डर,Basipetal internode order
बासोफिल,Basophil
बासोफिलिक,Basophilic
बेट्सियन मिमिक्री,Batesian mimicry
बाथ स्पंज,Bath sponge
बाथ स्पंज,Bath sponge
बौहिनिया,Bauhinia
बीट,Beat
मधमाश्या,Beehive
बीवॅक्स,Beewax
बेगोनिया,Begonia
वर्तणूक अनुकूलता,Behavioural adaptation
बेल,Bel
बेलॅडोना,Belladonna
सौम्य ट्यूमर,Benign tumour
बेंथिक,Benthic
बेंझिन हेक्साक्लोराईड (बीएचसी),Benzene hexachloride (BHC)
बेंझिन,Benzene
बेरेनिल,Berenil
बेरी,Berry
बीटा विविधता,Beta diversity
बेटुला,Betula
बी-ग्लोबिन,B-globin
भांग,Bhang
भेटकी,Bhetki
बी-होरिझन,B-horizon
बायकार्बोनेट,Bicarbonate
बायकारपेलरी,Bicarpellary
बायकार्पेलाटा,Bicarpellatae
बायसेप्स,Biceps
बायकोन्केव्ह,Biconcave
बायकोन्व्हेक्स,Biconvex
बायकोन्व्हेक्स-गोलाकार लेन्स,Biconvex-spherical lens
बायिकसपिड वाल्व,Bicuspid valve
निविदाकाराचा कालवा,Bidder's canal
निविदाकाराचा अवयव,Bidder's organ
द्विवार्षिक,Biennial
बिग बॅंग सिद्धांत,Big Bang theory
बिलाबिएट,Bilabiate
द्विपक्षीय सममिती,Bilateral symmetry
बिलाटेरिया,Bilateria
बिलेयर,Bilayer
पित्त,Bile
पित्त रंगद्रव्य,Bile pigment
पित्त मीठ,Bile salt
बायनरी विखंडन,Binary fission
बंधनकारक फ्लोरोक्रोम,Binding fluorochrome
सब्सट्रेटचे बंधन,Binding of substrate
दुर्बिणी,Binocular
दुर्बिणीचे डोके,Binocular head
दुर्बिणीचा दृष्टी,Binocular vision
द्विपक्षीय,Binomial
द्विपक्षीय नामांकन,Binomial nomenclature
द्विपदी प्रणाली,Binomial system
बिनुलीट,Binuleate
बायोएक्टिव्ह मायक्रोबियल उत्पादन,Bioactive microbial product
बायोकेमिकल मार्ग,Biochemical pathway
बायोकेमिकल प्रतिक्रिया,Biochemical reaction
बायोमेडिकल अभियांत्रिकी,Biomedical engineering
