Punjabi,Marathi
ਮਾਨਤਾ,पोचपावती
ਧੁਨੀ ਵਿਗਿਆਨ,ध्वनीशास्त्र
ਸੰਖੇਪ ਸ਼ਬਦ,परिवर्णी शब्द
ਕਾਰਵਾਈ ਸੁਨੇਹਾ,क्रिया संदेश
ਸਰਗਰਮੀ,सक्रियकरण
ਐਕਟਿਵ ਸਰਵਰ ਪੇਜ (ਏਐਸਪੀ),सक्रिय सर्व्हर पृष्ठ (एएसपी)
ਕਿਰਿਆਸ਼ੀਲ ਸੰਸਕਰਣ,सक्रिय आवृत्ती
acyclic,अॅसायक्लिक
acyclic ਗ੍ਰਾਫ਼,अॅसायक्लिक आलेख
ਅਦਾ ਭਾਸ਼ਾ,अडा भाषा
ਅਡਾਪਟਰ,अडॅप्टर
ਸ਼ਾਮਲ ਕਰੋ,जोडा
ਫਾਇਲ ਸ਼ਾਮਿਲ ਕਰੋ,फाइल जोडा
ਕਾਰਵਾਈ ਸ਼ਾਮਲ ਕਰੋ,ऑपरेशन जोडा
ਜੋੜਨ ਵਾਲਾ,जोडणारा
ਪਤਾ,पत्ता
ਪਤਾ ਬੱਸ,पत्ता बस
ਐਡਰੈੱਸ ਫਾਈਲ,पत्ता फाइल
ਪਤਾ ਫਾਰਮੈਟ,पत्त्याचे स्वरूप
ਪਤਾ ਜਨਰੇਟਰ,पत्ता जनरेटर
ਐਡਰੈੱਸ ਲਾਈਨ,पत्ता ओळ
ਪਤਾ ਮੈਪਿੰਗ,पत्ता मॅपिंग
ਪਤਾ ਸੰਕੇਤਕ,पत्ता सूचक
ਪਤਾ ਰਜਿਸਟਰ,पत्ता नोंदवही
ਪਤਾ ਹੱਲ,पत्ता ठराव
ਪਤਾ ਅਨੁਵਾਦ,पत्ता अनुवाद
ਸੰਬੋਧਿਤ ਮੈਮੋਰੀ,संबोधित मेमरी
ਸੰਬੋਧਨ,संबोधित करणे
ਅਨੁਕੂਲਤਾ ਦੇ ਮਾਪਦੰਡ,पर्याप्तता निकष
adjoint,संलग्न
ਪ੍ਰਸ਼ਾਸਨ,प्रशासन
ਪ੍ਰਬੰਧਕ,प्रशासक
ਅਡੋਬ ਐਕਰੋਬੈਟ,adobe acrobat
ਅਡੋਬ ਫੋਟੋਸ਼ਾਪ,अडोब फोटोशाॅप
ਐਡਵਾਂਸ ਬਿਜ਼ਨਸ ਐਪਲੀਕੇਸ਼ਨ ਪ੍ਰੋਗਰਾਮਿੰਗ (ABAP),अॅडव्हान्स बिझनेस अॅप्लिकेशन प्रोग्रामिंग (ABAP)
ਉੱਨਤ ਡਾਟਾ,प्रगत डेटा
ਤਕਨੀਕੀ ਜਾਣਕਾਰੀ ਸਿਸਟਮ,प्रगत माहिती प्रणाली
ਉੱਨਤ ਤਕਨਾਲੋਜੀ (ਏ.ਟੀ.),प्रगत तंत्रज्ञान (AT)
ਏਜੰਟ,एजंट
ਏਕੀਕਰਨ,एकत्रीकरण
ਏਅਰਬੋਰਨ ਕੰਪਿਊਟਰ ਸਿਸਟਮ,एअरबोर्न संगणक प्रणाली
aldus ਪੇਜ ਮੇਕਰ,aldus पृष्ठ निर्माता
ਚੇਤਾਵਨੀ ਬਾਕਸ,इशारा बॉक्स
ਐਲਗੋਲ,अल्गोल
ਐਲਗੋਰਿਦਮ,अल्गोरिदम
ਐਲਗੋਰਿਦਮ ਵਿਸ਼ਲੇਸ਼ਣ,अल्गोरिदम विश्लेषण
ਐਲਗੋਰਿਦਮ ਕੁਸ਼ਲਤਾ,अल्गोरिदम कार्यक्षमता
ਉਪਨਾਮ,उर्फ
ਅਲਾਈਨਮੈਂਟ,संरेखन
ਵੰਡ,वाटप
ਵਰਣਮਾਲਾ,वर्णमाला
ਅੱਖਰ ਅੰਕੀ,अल्फान्यूमेरिक
ਅੱਖਰ ਅੰਕੀ ਕੁੰਜੀ ਬੋਰਡ,अल्फान्यूमेरिक की बोर्ड
ਅਲਫ਼ਾ-ਟੈਸਟ,अल्फा-चाचणी
ਅਲਫ਼ਾ-ਵਰਜਨ,अल्फा आवृत्ती
alt ਕੁੰਜੀ,alt की
altavista,altavista
ਅਸਪਸ਼ਟਤਾ,अस्पष्टता
ਅਸਪਸ਼ਟ ਵਿਆਕਰਣ,अस्पष्ट व्याकरण
ਅਮਰੀਕਨ ਨੈਸ਼ਨਲ ਸਟੈਂਡਰਡ ਇੰਸਟੀਚਿਊਟ (ANSI),अमेरिकन राष्ट्रीय मानक संस्था (ANSI)
ਜਾਣਕਾਰੀ ਇੰਟਰਚੇਂਜ ਲਈ ਅਮਰੀਕੀ ਸਟੈਂਡਰਡ ਕੋਡ (ASCII),अमेरिकन स्टँडर्ड कोड फॉर इन्फॉर्मेशन इंटरचेंज (ASCII)
ਐਨਾਲਾਗ,अॅनालॉग
ਐਨਾਲਾਗ ਕੰਪਿਊਟਰ,अॅनालॉग संगणक
ਐਨਾਲਾਗ ਜੰਤਰ,अॅनालॉग डिव्हाइस
ਐਨਾਲਾਗ ਮਾਡਮ,अॅनालॉग मॉडेम
ਐਨਾਲਾਗ ਟੂ ਡਿਜੀਟਲ ਕਨਵਰਟਰ (ADC),अॅनालॉग ते डिजिटल कनव्हर्टर (ADC)
ਅਤੇ,आणि
ਅਤੇ ਸਰਕਟ,आणि सर्किट
ਅਤੇ ਗੇਟ,आणि गेट
ਅਤੇ ਕਾਰਵਾਈ ਨਹੀਂ (ਬੇਹੱਦ),आणि ऑपरेशन नाही (अपवर्जन)
ਐਨੀਮੇਸ਼ਨ,अॅनिमेशन
ਐਨੋਟੇਸ਼ਨ,भाष्य
ਅਸੰਗਤਤਾ,विसंगती
ਪੂਰਵ,पूर्ववर्ती
ਅਗਾਊਂ ਪੇਜਿੰਗ,आगाऊ पेजिंग
ਵਿਰੋਧੀ ਸਮਰੂਪ,विरोधी सममित
ਐਂਟੀਵਾਇਰਸ ਪ੍ਰੋਗਰਾਮ,अँटीव्हायरस प्रोग्राम
ਐਪਲਿਟ,ऍपलेट
ਐਪਲੀਕੇਸ਼ਨ ਡਿਵੈਲਪਰ,अनुप्रयोग विकासक
ਐਪਲੀਕੇਸ਼ਨ ਪ੍ਰੋਗਰਾਮਿੰਗ,अनुप्रयोग प्रोग्रामिंग
ਐਪਲੀਕੇਸ਼ਨ ਪ੍ਰੋਗਰਾਮਿੰਗ ਇੰਟਰਫੇਸ (API),ऍप्लिकेशन प्रोग्रामिंग इंटरफेस (API)
ਐਪਲੀਕੇਸ਼ਨ ਸਾਫਟਵੇਅਰ,अनुप्रयोग सॉफ्टवेअर
ਲਾਗੂ ਕਰਨ ਵਾਲੀ ਭਾਸ਼ਾ,उपयोजक भाषा
ਅਨੁਮਾਨ ਥਿਊਰੀ,अंदाजे सिद्धांत
ਆਰਕੀਟੈਕਚਰ,आर्किटेक्चर
ਖੇਤਰ ਦਾ ਤਬਾਦਲਾ,क्षेत्र हस्तांतरण
ਦਲੀਲ,युक्तिवाद
ਹਿਸਾਬ ਅਤੇ ਤਰਕ ਇਕਾਈ,अंकगणित आणि तर्कशास्त्र एकक
ਹਿਸਾਬ ਦੀ ਜਾਂਚ,अंकगणित तपासणी
ਅੰਕਿਤ ਸਥਿਰ,अंकगणित स्थिरांक
ਅੰਕਿਤ ਡੇਟਾ,अंकगणित डेटा
ਗਣਿਤ ਸੰਬੰਧੀ ਹਦਾਇਤ,अंकगणित सूचना
ਗਣਿਤ ਅਤੇ ਤਰਕ ਇਕਾਈ (ALU),अंकगणित आणि तर्कशास्त्र एकक (ALU)
ਅਰਪਨੇਟ,अर्पानेट
ਐਰੇ,रचना
ਐਰੇ ਕੈਸ਼,अॅरे कॅशे
ਐਰੇ ਕੰਪਿਊਟਰ,अॅरे संगणक
ਐਰੇ ਤੱਤ,अॅरे घटक
ਐਰੇ ਨਾਮ,अॅरे नाव
ਐਰੇ ਪ੍ਰੋਸੈਸਰ,अॅरे प्रोसेसर
ਤੀਰ ਕੁੰਜੀਆਂ,बाण दर्शक बटणे
ਉਚਾਰਨ,उच्चार
ਬਿਆਨ ਬਿੰਦੂ,उच्चार बिंदू
ਨਕਲੀ ਸੰਕੁਚਿਤ,कृत्रिम कॉम्पॅक्शन
ਨਕਲੀ ਕੰਟਰੋਲ,कृत्रिम नियंत्रण
ਬਣਾਵਟੀ ਗਿਆਨ,कृत्रिम बुद्धिमत्ता
ਚੜ੍ਹਦਾ,चढणारा
ਵਧਦੀ ਲੜੀ,चढत्या क्रमवारी
ASCII ਬੇਟਿਕਲ ਆਰਡਰ,ASCII बेटिकल ऑर्डर
ASCII ਕੰਟਰੋਲ ਅੱਖਰ,ASCII नियंत्रण वर्ण
ASCII ਫਾਈਲ,ASCII फाइल
ASCII ਫੌਂਟ,ASCII फॉन्ट
ASCII ਟ੍ਰਾਂਸਫਰ,ASCII हस्तांतरण
ਆਕਾਰ ਅਨੁਪਾਤ,प्रसर गुणोत्तर
ਏ.ਐਸ.ਪੀ.ਆਈ,एएसपीआय
ASR ਟਾਈਮਰ,ASR टाइमर
ਇਕੱਠਾ ਕਰਨਾ,एकत्र करणे
ਅਸੈਂਬਲਰ,असेंबलर
ਅਸੈਂਬਲੀ,विधानसभा
ਅਸੈਂਬਲੀ ਭਾਸ਼ਾ,विधानसभा भाषा
ਦਾਅਵਾ,प्रतिपादन
ਅਸਾਈਨਮੈਂਟ,असाइनमेंट
ਐਸੋਸੀਏਸ਼ਨ,संघटना
ਸਹਿਯੋਗੀ ਪਤਾ,सहयोगी पत्ता
ਸਹਿਯੋਗੀ ਮੈਮੋਰੀ,सहयोगी स्मृती
ਤਾਰਾ,asteric
ਅਸਮਿਤ,असममित
ਅਸਿੰਕ੍ਰੋਨਸ,असिंक्रोनस
ਅਸਿੰਕ੍ਰੋਨਸ ਡਿਜੀਟਲ ਸਬਸਕ੍ਰਾਈਬਰ ਲਾਈਨ (ADSL),असिंक्रोनस डिजिटल सबस्क्राइबर लाइन (ADSL)
ਅਸਿੰਕ੍ਰੋਨਸ ਟਾਈਮ ਡਿਵੀਜ਼ਨ ਮਲਟੀਪਲੈਕਸਿੰਗ (ATDM),असिंक्रोनस टाइम डिव्हिजन मल्टीप्लेक्सिंग (ATDM)
ਅਸਿੰਕ੍ਰੋਨਸ ਟ੍ਰਾਂਸਫਰ,असिंक्रोनस हस्तांतरण
ਅਸਿੰਕ੍ਰੋਨਸ ਟ੍ਰਾਂਸਫਰ ਮੋਡ (ATM),एसिंक्रोनस ट्रान्सफर मोड (एटीएम)
ਪਰਮਾਣੂ,अणू
ਨੱਥੀ ਦਸਤਾਵੇਜ਼,संलग्न दस्तऐवज
ਨੱਥੀ ਫ਼ਾਈਲ,संलग्न फाइल
ਲਗਾਵ,संलग्नक
ਵਿਸ਼ੇਸ਼ਤਾ,विशेषता
ਆਡੀਓ,ऑडिओ
ਆਡਿਟ ਪ੍ਰੋਗਰਾਮਿੰਗ,ऑडिट प्रोग्रामिंग
ਆਡਿਟ ਟ੍ਰੇਲ,तपासणीचे सूत्र
ਵਾਧਾ,वाढ
ਪ੍ਰਮਾਣਿਕਤਾ ਪ੍ਰੋਟੋਕੋਲ,प्रमाणीकरण प्रोटोकॉल
ਲੇਖਕ ਪ੍ਰਣਾਲੀ,ऑथरिंग सिस्टम
ਅਧਿਕਾਰ,अधिकृतता
ਆਟੋ ਐਬਸਟਰੈਕਟ,स्वयं गोषवारा
ਆਟੋਬੂਟਿੰਗ,ऑटोबूटिंग
ਆਟੋਕੈਡ,ऑटोकॅड
ਆਟੋਲੌਗ ਚਾਲੂ,ऑटोलॉग चालू
ਆਟੋਮੇਟਾ,स्वयंचलित
ਆਟੋਮੈਟਾ ਥਿਊਰੀ,ऑटोमेटा सिद्धांत
ਆਟੋਮੈਟਿਕ ਕੰਪਿਊਟਿੰਗ,स्वयंचलित संगणन
ਆਟੋਮੈਟਿਕ ਡਾਟਾ ਪ੍ਰੋਸੈਸਿੰਗ,स्वयंचलित डेटा प्रक्रिया
ਆਟੋਮੈਟਿਕ ਗਲਤੀ ਸੁਧਾਰ,स्वयंचलित त्रुटी सुधारणा
ਆਟੋਮੈਟਿਕ ਫੰਕਸ਼ਨ,स्वयंचलित कार्य
ਆਟੋਮੈਟਿਕ ਇੰਡੈਕਸਿੰਗ,स्वयंचलित अनुक्रमणिका
ਆਟੋਮੈਟਿਕ ਲਾਇਬ੍ਰੇਰੀ ਕਾਲ,स्वयंचलित लायब्ररी कॉल
ਆਟੋਮੈਟਿਕ ਪ੍ਰੋਗਰਾਮਿੰਗ,स्वयंचलित प्रोग्रामिंग
ਆਟੋਮੈਟਿਕ ਰਿਕਵਰੀ ਪ੍ਰੋਗਰਾਮ,स्वयंचलित पुनर्प्राप्ती कार्यक्रम
ਆਟੋਮੈਟਿਕ ਰੁਟੀਨ,स्वयंचलित दिनचर्या
ਆਟੋਮੈਟਿਕ ਸਿਸਟਮ ਰਿਕਵਰੀ,स्वयंचलित प्रणाली पुनर्प्राप्ती
ਆਟੋਮੈਟਿਕ ਟੈਲਰ ਮਸ਼ੀਨ (ATM),स्वयंचलित टेलर मशीन (एटीएम)
ਆਟੋਮੇਸ਼ਨ,ऑटोमेशन
ਸਵੈ ਚਾਲ,ऑटो प्ले
ਸਵੈ-ਸੰਭਾਲ,स्वयं जतन करा
ਸਹਾਇਕ,सहाय्यक
ਸਹਾਇਕ ਮੈਮੋਰੀ,सहाय्यक मेमरी
ਸਹਾਇਕ ਸਟੋਰੇਜ਼,सहायक स्टोरेज
ਉਪਲਬਧ ਸੂਚੀ,उपलब्ध यादी
ਉਪਲਬਧ ਸਮਾਂ,उपलब्ध वेळ
ਔਸਤ,सरासरी
awk (ਭਾਸ਼ਾ),awk (भाषा)
ਬੈਕਐਂਡ,बॅकएंड
ਬੈਕਐਂਡ ਪ੍ਰੋਸੈਸਰ,बॅकएंड प्रोसेसर
ਬੈਕਫੇਸ ਹਟਾਉਣਾ,बॅकफेस काढणे
ਪਿਛੋਕੜ ਦੀ ਕਾਰਵਾਈ,पार्श्वभूमी प्रक्रिया
ਬੈਕਿੰਗ ਸਟੋਰ,बॅकिंग स्टोअर
ਬੈਕਪੈਚਿੰਗ,बॅकपॅचिंग
ਬੈਕਸਪੇਸ,बॅकस्पेस
ਬੈਕਟਰੈਕਿੰਗ,बॅकट्रॅकिंग
ਬੈਕ-ਅੱਪ,बॅकअप
ਬੈਕਅੱਪ ਮੈਮੋਰੀ,बॅकअप मेमरी
ਪਿੱਛੇ ਗਲਤੀ ਰਿਕਵਰੀ,मागास त्रुटी पुनर्प्राप्ती
ਸੰਤੁਲਨ ਸ਼ੀਟ,ताळेबंद
ਜਥਾ,बँड
ਬੈਂਡ ਚੌੜਾਈ,बँड रुंदी
ਬੈਂਕਰ ਦਾ ਐਲਗੋਰਿਦਮ,बँकरचा अल्गोरिदम
ਬਾਰ ਕੋਡ,बार कोड
ਬਾਰ ਕੋਡ ਸਕੈਨਰ,बार कोड स्कॅनर
ਬਾਰ ਗ੍ਰਾਫ,बार आलेख
ਅਧਾਰ ਪਤਾ,मूळ पत्ता
ਅਧਾਰ ਬੈਂਡ,बेस बँड
ਅਧਾਰ ਨੰਬਰ,आधार क्रमांक
ਅਧਾਰ ਸਾਰਣੀ,बेस टेबल
ਬੇਸਿਕ,बेसिक
ਬੁਨਿਆਦੀ ਕੰਟਰੋਲ,मूलभूत नियंत्रण
ਬੁਨਿਆਦੀ ਇੰਪੁੱਟ,मूलभूत इनपुट
ਬੁਨਿਆਦੀ ਹਦਾਇਤ,मूलभूत सूचना
ਬੁਨਿਆਦੀ ਆਉਟਪੁੱਟ,मूलभूत आउटपुट
ਬੁਨਿਆਦੀ ਕਦਮ,मूलभूत पायरी
ਬੈਚ,तुकडी
ਬੈਚ ਫਾਈਲ,बॅच फाइल
ਬੈਚ ਸਥਿਤੀ,बॅच स्थिती
ਬੈਚ ਪ੍ਰੋਸੈਸਿੰਗ,बॅच प्रक्रिया
ਬੈਚ ਸਿਸਟਮ,बॅच सिस्टम
ਬੌਡ,बॉड
ਬੌਡ ਦਰ,बॉड दर
ਬੀਮ,तुळई
ਬੇਂਚਮਾਰਕ,बेंचमार्क
ਦੋ-ਦਿਸ਼ਾ ਸੰਚਾਰ,द्विदिश संप्रेषण
ਦੋ-ਦਿਸ਼ਾਵੀ ਲਿੰਕ,द्विदिश दुवा
ਬਾਈਨਰੀ ਕੋਡ,बायनरी कोड
ਬਾਈਨਰੀ ਅੰਕ,बायनरी अंक
ਬਾਈਨਰੀ ਇਨਪੁਟ ਆਉਟਪੁੱਟ ਸਿਸਟਮ (BIOS),बायनरी इनपुट आउटपुट सिस्टम (BIOS)
ਬਾਈਨਰੀ ਨੰਬਰ,बायनरी संख्या
ਬਾਈਨਰੀ ਆਪਰੇਟਰ,बायनरी ऑपरेटर
ਬਾਈਨਰੀ ਸਬੰਧ,बायनरी संबंध
ਬਾਈਨਰੀ ਖੋਜ,बायनरी शोध
ਬਾਈਨਰੀ ਸਰਚ ਟ੍ਰੀ (BST),बायनरी सर्च ट्री (BST)
ਬਾਈਨਰੀ ਟ੍ਰਾਂਸਫਰ,बायनरी हस्तांतरण
ਬਾਈਨਰੀ ਰੁੱਖ,बायनरी झाड
ਬਾਈਪੋਲਰ ਮੈਮੋਰੀ,द्विध्रुवीय मेमरी
ਜਨਮ ਮੌਤ ਮਾਡਲ,जन्म मृत्यू मॉडेल
ਜਨਮ ਮੌਤ ਦੀ ਪ੍ਰਕਿਰਿਆ,जन्म मृत्यू प्रक्रिया
ਬਿੱਟ,बिट
ਬਿੱਟ ਨੁਕਸ,थोडा दोष
ਬਿੱਟ ਨਕਸ਼ਾ,बिट नकाशा
ਬਿੱਟ ਮੈਪ ਪਿਕਸਲ (BMP),बिट मॅप पिक्सेल (BMP)
ਬਿੱਟ ਮੈਟ੍ਰਿਕਸ,बिट मॅट्रिक्स
ਬਿੱਟ ਪੈਟਰਨ,बिट नमुना
ਬਿੱਟ ਸਥਿਤੀ,बिट स्थिती
ਬਿੱਟ ਰੇਟ,बिट दर
ਬਲੈਕ ਬਾਕਸ ਟੈਸਟਿੰਗ,ब्लॅक बॉक्स चाचणी
ਝਪਕਣਾ,लुकलुकणे
ਬਲਾਕ,ब्लॉक
ਬਲਾਕ ਕੈਸ਼,ब्लॉक कॅशे
ਬਲਾਕ ਚੈੱਕ,ब्लॉक चेक
ਬਲਾਕ ਕਾਪੀ,ब्लॉक कॉपी
ਬਲਾਕ ਚਿੱਤਰ,ब्लॉक आकृती
ਬਲਾਕਿੰਗ ਨੈੱਟਵਰਕ,ब्लॉकिंग नेटवर्क
ਫੱਟੀ,बोर्ड
ਕਿਤਾਬ ਦਾ ਨਿਸ਼ਾਨ,पुस्तक चिन्ह
ਬੂਲੀਅਨ ਅਲਜਬਰਾ,बुलियन बीजगणित
ਬੂਲੀਅਨ ਸਬੰਧ,बुलियन संबंध
ਬੂਟ ਭਾਗ,बूट विभाजन
ਬੂਟ ਸਟ੍ਰੈਪਿੰਗ,बूट strapping
ਬੂਟ-ਸਟੈਪ ਲੋਡਰ,बूट-स्ट्रॅप लोडर
ਪੁਲ,पूल
ਬਰਾਡਬੈਂਡ ਨੈੱਟਵਰਕਿੰਗ,ब्रॉडबँड नेटवर्किंग
ਪ੍ਰਸਾਰਣ,प्रसारण
ਪ੍ਰਸਾਰਣ ਰੇਡੀਓ,रेडिओ प्रसारित करा
ਬਰਾਊਜ਼ ਕਰੋ,ब्राउझ करा
ਬਰਾਊਜ਼ਰ,ब्राउझर
ਬੀ-ਰੁੱਖ,बी-वृक्ष
ਬੁਲਬੁਲਾ ਮੈਮੋਰੀ,बबल मेमरी
ਬੁਲਬੁਲਾ ਲੜੀਬੱਧ,बबल क्रमवारी
ਬਾਲਟੀ,बादली
ਦੋਸਤ ਸਿਸਟਮ,मित्र प्रणाली
ਬਜਟ ਪ੍ਰਭਾਵਸ਼ਾਲੀ ਨਿਯੰਤਰਣ,बजेट प्रभावी नियंत्रण
ਬਫਰ,बफर
ਬੱਗ,किडा
ਬੱਸ,बस
ਬਾਈਟ,बाइट
ਬਾਈਟ ਕੋਡ,बाइट कोड
c,c
C++,C++
ਕੈਸ਼,कॅशे
ਕੈਸ਼ ਬਫਰ,कॅशे बफर
ਕੈਸ਼ ਮੈਮੋਰੀ,कॅशे मेमरी
ਗਣਨਾ,गणना
ਕੈਲਕੁਲੇਟਰ,कॅल्क्युलेटर
ਕੈਲਕੁਲੇਟਰ ਚਿੱਪ,कॅल्क्युलेटर चिप
ਕਾਲ ਕਰੋ,कॉल
ਨਾਮ ਨਾਲ ਕਾਲ ਕਰੋ,नावाने कॉल करा
ਹਵਾਲੇ ਦੁਆਰਾ ਕਾਲ ਕਰੋ,संदर्भानुसार कॉल करा
ਮੁੱਲ ਦੁਆਰਾ ਕਾਲ ਕਰੋ,मूल्यानुसार कॉल करा
ਵੇਰੀਏਬਲ ਦੁਆਰਾ ਕਾਲ ਕਰੋ,व्हेरिएबल्सद्वारे कॉल करा
ਕਾਲ ਗੇਟ,कॉल गेट
ਰੱਦ ਕਰੋ,रद्द करा
ਰੱਦ ਕਰੋ ਬਟਨ,रद्द करा बटण
ਕੈਨੋਨੀਕਲ,प्रामाणिक
ਕੈਨੋਨੀਕਲ ਰੂਪ,प्रामाणिक स्वरूप
ਸਮਰੱਥਾ,क्षमता
ਸਮਰੱਥਾ ਸੂਚੀ,क्षमता यादी
ਸਮਰੱਥਾ,क्षमता
ਕੈਪਸ ਲਾਕ ਕੁੰਜੀ,कॅप्स लॉक की
ਕਾਰਡ,कार्ड
ਕਾਰਡ ਰੀਡਰ,कार्ड रीडर
ਮੁੱਖਤਾ,मुख्यत्वे
ਕੈਰੀਅਰ,वाहक
ਕੈਰੀਅਰ ਬੈਂਡ,वाहक बँड
ਕੈਰੀਅਰ ਲੋਡ,वाहक लोड
ਕੈਰੀਅਰ ਸਿਗਨਲ,वाहक सिग्नल
ਕੈਰੀਅਰ ਲਹਿਰ,वाहक लहर
ਲੈ ਜਾਣਾ,वाहून नेणे
ਕੈਰੀ ਅੰਕ,कॅरी अंक
ਝੰਡਾ ਚੁੱਕੋ,ध्वज घेऊन जा
ਕਾਰਤੂਸ ਡਿਸਕ,काडतूस डिस्क
ਕੈਸਕੇਡ,कॅस्केड
ਕੇਸ,केस
ਕੈਥੋਡ ਰੇ ਟਿਊਬ (ਸੀਆਰਟੀ),कॅथोड रे ट्यूब (सीआरटी)
ਕੈਥੋਡ ਰੇ ਟਿਊਬ (ਸੀਆਰਟੀ),कॅथोड रे ट्यूब (सीआरटी)
CD ROM ਡਿਸਕ ਡਰਾਈਵ,CD ROM डिस्क ड्राइव्ह
ਸੈੱਲ,सेल
ਸੈੱਲ ਐਨੀਮੇਸ਼ਨ,सेल अॅनिमेशन
ਸੈਲੂਲਰ ਫ਼ੋਨ,भ्रमणध्वनी
ਕੇਂਦਰੀ ਮੈਮੋਰੀ,केंद्रीय स्मृती
ਕੇਂਦਰੀ ਪ੍ਰੋਸੈਸਿੰਗ ਯੂਨਿਟ (CPU),सेंट्रल प्रोसेसिंग युनिट (CPU)
ਕੇਂਦਰੀ ਸਿਸਟਮ,केंद्रीकृत प्रणाली
ਪ੍ਰਮਾਣਿਤ ਟੇਪ,प्रमाणित टेप
ਚੇਨ,साखळी
ਚੇਨ ਡਾਟਾ,साखळी डेटा
ਚੇਨ ਲਿੰਕ,साखळी दुवा
ਚੇਨਿੰਗ,चेनिंग
ਚੈਨਲ,चॅनल
ਚੈਨਲ ਵਿਅਸਤ ਟੋਨ,चॅनेल व्यस्त टोन
ਚੈਨਲ ਦੀ ਸਮਰੱਥਾ,चॅनेल क्षमता
ਚੈਨਲ ਕੰਟਰੋਲਰ,चॅनेल नियंत्रक
ਚੈਨਲ ਗਲਤੀ,चॅनेल त्रुटी
ਚੈਨਲ ਪ੍ਰੋਗਰਾਮ,चॅनेल कार्यक्रम
ਚੈਨਲ ਭਰੋਸੇਯੋਗਤਾ,चॅनेल विश्वसनीयता
ਚੈਨਲ ਸੈੱਟ,चॅनेल सेट
ਅੱਖਰ,वर्ण
ਅੱਖਰ ਕੋਡ,वर्ण कोड
ਅੱਖਰ ਕੁੰਜੀ,वर्ण की
ਅੱਖਰ ਪਾਠਕ,वर्ण वाचक
ਅੱਖਰ ਦਾ ਆਕਾਰ,वर्ण आकार
ਚਾਰਟ,तक्ता
ਚੈਸੀਸ,चेसिस
ਚੈੱਕ ਬਿੱਟ,बिट तपासा
ਚੈੱਕ ਅੰਕ,चेक अंक
ਚੈੱਕ ਰਕਮ,बेरीज तपासा
ਚੈੱਕ ਸ਼ਬਦ,शब्द तपासा
ਚਿੱਪ,चिप
ਚਿੱਪ ਸੈੱਟ,चिप संच
ਚੁਣੋ,निवडा
ਰੰਗੀਨ ਤੌਰ &#39;ਤੇ,रंगीत
ਸਿਫਰ,सिफर
