Kannada,English
ಮತ್ತು ಗೇಟ್,AND gate
ಕೋನೀಯ ಆವರ್ತನ,Angular frequency
"ಅಯಾನ್, ಅಯಾನ್",Anion
ಅನೆಲಿಂಗ್ ತಾಪಮಾನ,Annealing temperature
ಆನೋಡ್,Anode
ಆನೋಡ್ ಆಂಪ್ಲಿಫಯರ್,Anode amplifier
ಅನೋಡೈನ್,Anodization
ಆಂಟೆನಾ,Antenna
ಆಂಟೆನಾ ಘಟಕ,Antenna elements
ವಿರೋಧಿ ಪ್ರತಿಫಲಿತ ಲೇಪನ,Anti-reflection coating
ಪ್ರತಿಲೋಜಿನ್ ಆಂಪ್ಲಿಫಯರ್,Anti-log amplifier
ಆಂಟಿರೆಸೋನೆಂಟ್ ಸರ್ಕ್ಯೂಟ್,Anti-resonant circuit
ದ್ವಾರಕ ಕಾಲ,Aperture time
ವರ್ಚುವಲ್ ಶಕ್ತಿ,Apparent power
ತಂತಿ ಸಂಪರ್ಕ,Apparent wiring
ಅಂದಾಜು ವೋಲ್ಟೇಜ್ ಲಾಭ,Approximate voltage gain
ಆರ್ಮ್ಸ್ಟ್ರಾಂಗ್ ಮಾಡ್ಯುಲೇಟರ್,Armstrong modulator
ಆಂಟೆನಾ ರಚನೆ,Arrays of antenna
"ಗಾತ್ರ ಅನುಪಾತ, ಆಕಾರ ಅನುಪಾತ",Aspect ratio
ತೇಲುವ ಸರ್ಕ್ಯೂಟ್ (ಉಚಿತ ಆಪರೇಟಿಂಗ್ ಸರ್ಕ್ಯೂಟ್),Astable circuit (free running circuit)
ಸ್ವಯಂಚಾಲಿತ ಮಲ್ಟಿವೈಬ್ರೇಟರ್,Astable multivibrator
ತೇಲುವ ಮಲ್ಟಿವೈಬ್ರೇಟರ್,Astable multivibrator
ಅಸಮಪಾರ್ಶ್ವದ ಜಂಕ್ಷನ್,Asymmetrical junction
ಅಸಮಕಾಲಿಕ ಕ್ಯಾಲ್ಕುಲೇಟರ್,Asynchronous counters
ಪರಮಾಣು,Atom
ಪರಮಾಣು ಸಂಖ್ಯೆ,Atomic number
ಪರಮಾಣು ರಚನೆ,Atomic structure
ಆಡಿಯೋ ಆಂಪ್ಲಿಫಯರ್,Audio amplifier
ಆಡಿಯೋ ಆಂಪ್ಲಿಫಯರ್,Audio amplifier
ಆಡಿಯೋ ಕ್ಯಾಸೆಟ್,Audio cassette
ಆಡಿಯೋ ಸರ್ಕ್ಯೂಟ್,Audio circuit
ಶ್ರವ್ಯ ಆವರ್ತನ,Audio frequency
ಸ್ವಯಂಚಾಲಿತ ವೋಲ್ಟೇಜ್ ನಿಯಂತ್ರಣ,Automatic voltage control
ಹಿಮಕುಸಿತ,Avalanche
ಸರಾಸರಿ ಡಿಟೆಕ್ಟರ್,Average detector
ಅಕ್ಷೀಯ ಮೋಡ್,Axial mode
ಅಕ್ಷೀಯ ಅನುಪಾತ,Axial ratio
ಆಂಟೆನಾ,Antenna
ಹಿಂದೆ ಎಲೆಕ್ಟ್ರೋಮೋಟಿವ್ ಫೋರ್ಸ್,Back e.m.f.
ಹಿಂಭಾಗದ ಪ್ರದೇಶ,Back field
ಮತ್ತೆ ಚದುರುವಿಕೆ,Back scattering
ಹಿನ್ನೆಲೆ ಶುಲ್ಕ,Background charge
ಅಡ್ಡ ಶಬ್ದ,Background noise
ಹಿಮ್ಮೆಟ್ಟುವಿಕೆ,Backlash
ಹಿಂಭಾಗದ ವಿಕಿರಣ,Backlobe radiation
ಬ್ಯಾಕ್‌ವರ್ಡ್ ಡಯೋಡ್ / ಬ್ಯಾಕ್‌ವರ್ಡ್ ಡಯೋಡ್,Backward diode
ಹಿಂದುಳಿದ ತರಂಗ ಆಂದೋಲಕ,Backward wave oscillator
"ಅಡಚಣೆ, ಅಡಚಣೆ",Baffle
ಅಡಚಣೆ,Baffle shield
ಸಮತೋಲಿತ ಸೇತುವೆ,Balanced bridge
ಸಮತೋಲಿತ ಮಾಡ್ಯುಲೇಟರ್,Balanced demodulator
ಸಮತೋಲಿತ ಮಾಡ್ಯುಲೇಟರ್,Balanced modulator
ಸಮತೋಲಿತ ಸರ್ಕ್ಯೂಟ್,Balanced network
ಸಮತೋಲಿತ ಗ್ರೇಡಿಯಂಟ್ ಡಿಟೆಕ್ಟರ್,Balancedslope detector
ಪ್ರಸ್ತುತ ಸ್ಥಿರೀಕಾರಕ ಪ್ರತಿರೋಧ,Ballast resistors
ಬೋಲೋಮೀಟರ್,Balometer
ಬೋಲೋಮೀಟರ್ ಸೇತುವೆ,Balometer bridge
ಬಲೂನ್,Balun
ಬನಾನಾ ಜ್ಯಾಕ್,Banana jack
ಬಾಳೆಹಣ್ಣಿನ ಪ್ಲಗ್,Banana plug
"ಬ್ಯಾಂಡ್, ಬ್ಯಾಂಡೇಜ್",Band
ಬ್ಯಾಂಡ್ ಚಾಲಕ,Band conduction
ಬ್ಯಾಂಡ್ ಶಕ್ತಿ,Band energy
ಬ್ಯಾಂಡ್ ಅಂತರ,Band gap
ಬ್ಯಾಡ್‌ಪಾರ್ಕ್ ಆಂಪ್ಲಿಫಯರ್,Band pass amplifier
ಬ್ಯಾಂಡ್ ಪಾಸ್ ಫಿಲ್ಟರ್,Band pass filter
ಬಾಡ್ ದರ ಜನರೇಟರ್,Baud rate generator
ಬ್ಯಾಂಡ್ ಡಿಸ್ಪರ್ಶನ್,Band spreading
ಬ್ಯಾಂಡ್ ರೆಸಿಸ್ಟರ್,Band stop
ಬ್ಯಾಂಡ್ ಬ್ರೇಕರ್ ಫಿಲ್ಟರ್,Band stop filter
ಬ್ಯಾಂಡ್ ವಿಸ್ತರಣೆ,Band width
ಬ್ಯಾಂಡ್ ಹೋಗಲಾಡಿಸುವ ಫಿಲ್ಟರ್,Band-elimination filter
ಬ್ಯಾಂಡ್ ವಿಸ್ತರಣೆ ಡಿಫ್ಲೆಕ್ಷನ್ ಮಲ್ಟಿಪ್ಲೈಯರ್,Bandwidth dispersion product
ಬ್ಯಾಂಡ್ ವಿಸ್ತರಣೆ ದೂರ ಗುಣಕ,Bandwidth distance product
"ಬೀಮ್ ಕೆಪಾಸಿಟರ್, ಬ್ಯಾಂಕ್ ಕೆಪಾಸಿಟರ್",Bank capacity
"ಬಾರ್ಕರ್ ಕೋಡ್, ಬಾರ್ಕರ್ ಕೋಡ್",Barker code
barravaugen ಮಾನದಂಡ,Barkhausen criterion
ನ್ಯಾಯವಾದಿ,Barretter
ತಡೆಗೋಡೆ,Barrier
ನಿರೋಧಕ ಕೆಪಾಸಿಟರ್,Barrier capacitor
ತಡೆ ಶಕ್ತಿ,Barrier energy
ಪ್ರತಿರೋಧಕ ವೋಲ್ಟೇಜ್,Barrier voltage
ಬಾರ್ಟ್ಲೆಟ್ ಕಿಟಕಿ,Bartlett window
"ಬೇಸ್, ಬೇಸ್",Base
ಬೇಸ್ ಬ್ಯಾಂಡ್,Base band
ಬೇಸ್ ಬ್ಯಾಂಡ್ ಪ್ರಸರಣ,Base band transmission
ಮೂಲ ಶುಲ್ಕ,Base charge
ಮೂಲ ಪ್ರಸ್ತುತ,Base current
ಮೂಲ ಪ್ರಸ್ತುತ ಮೂಲ,Base current source
ಬೇಸ್ ಕತ್ತರಿಸುವುದು,Base dipping
ಆಧಾರ್ ಮದನ್,Base doping
ಬೇಸ್ ಎಮಿಟರ್ ಫೀಡ್,Base emitter feedback
ಬೇಸ್ ಎಮಿಟರ್ ಜಂಕ್ಷನ್,Base emitter junction
ಬೇಸ್ ಇಂಜೆಕ್ಷನ್,Base infection
ನೆಲದ ರೇಖೆ,Base line
ಮೂಲ ಪ್ರತಿರೋಧ,Base resistance
ಮೂಲ ಮೂಲ,Base source
ಬೇಸ್ ವಿಸ್ತರಣೆ ಪ್ರತಿರೋಧ,Base spreading resistance
ಬೇಸ್ ವಿಸ್ತರಣೆ ಪ್ರತಿರೋಧ,Base spreading resistance
ಬೇಸ್ ದಪ್ಪ,Base thickness
ಮೂಲ ಪ್ರವೇಶ,Base transport
"ಬೇಸ್ ವಿಡ್ತ್ ಮಾಡ್ಯುಲೇಶನ್, ಬೇಸ್ ಎಕ್ಸ್ಪಾನ್ಶನ್ ಮಾಡ್ಯುಲೇಶನ್",Base width modulation
ಮೂಲ ಸಂಗ್ರಾಹಕ ಒಪ್ಪಂದ,Base-collector junction
ವಾಸನೆ,Bass
ಬಾಸ್ ಆವರ್ತನ,Bass frequency
ಬ್ಯಾಟರಿ,Battery
ಬಾಡ್,Baud
ಬೌಡ್ ದರ,Baud rate
ಬಾಡ್ ದರ ಜನರೇಟರ್,Baud rate generator
ಬೋಡೋ ಕೋಡ್,Baudot code
"ಸಂಕೇತ, ದಾರಿದೀಪ",Beacon
"ಮಾಣಿಕ, ಬೀಡು",Bead
ಉನ್ಮಾದ ಕೆಪಾಸಿಟರ್,Bead capacitor
ಮಣಿಕರ್ತಾಪಿ ಪ್ರತಿರೋಧಕ,Bead thermister
"ಬೀಮ್ ಆಂಟೆನಾ, ಬೀಮ್ ಆಂಟೆನಾ",Bean antenna
ಕಿರಣ ಶೋಧಕ,Beam finder
ಕಿರಣದ ವಿದ್ಯುತ್ ಮೆದುಗೊಳವೆ,Beam power tube
ಕಿರಣದ ಸ್ವಿಚಿಂಗ್ ನಳಿಕೆಗಳು,Beam switching tube
ಕಿರಣದ ವಿಸ್ತರಣೆ,Beam width
ಬೀಟ್ ಆವರ್ತನ,Beat frequency
ಬೀಟ್-ಫ್ರೀಕ್ವೆನ್ಸಿ ಆಂದೋಲಕ,Beat frequency oscillator
ನಾಡಿ ಆಂದೋಲಕ,Beat oscillator
ಗಂಟೆ,Bel
ಬಾಗುವ ನಷ್ಟ,Bending loss
ಬೆಸೆಲ್ ಫಿಲ್ಟರ್,Bessel filter
ಬೀಟಾ,Beta
b-h ಕರ್ವ್,B-H curve
"ಪಕ್ಷಪಾತ, ಪಕ್ಷಪಾತ",Bias
ಪಕ್ಷಪಾತ ಪ್ರಸ್ತುತ,Bias current
ಪಕ್ಷಪಾತ ಪ್ರತಿರೋಧ,Bias resistor
ಡಬಲ್ ಆಂಟೆನಾ,Biconical antenna
ದ್ವಿಮುಖ ಲೋಡ್ ಪ್ರಸ್ತುತ,Bidirection load current
ದ್ವಿಮುಖ ಆಂಟೆನಾ,Bi-directional antenna
ದ್ವಿಮುಖ ಬೆಳಕಿನ ಹೊರಸೂಸುವ ಡಯೋಡ್,Bidirectional LED
ದ್ವಿಮುಖ ಥೈರಿಸ್ಟರ್,Bidirectional thyristor
ದ್ವಿ FET ತಂತ್ರಜ್ಞಾನ,Bi-FET technology
ಬೈ ಪಾಯಿಂಟ್ ಟ್ರಾನ್ಸ್ಫಾರ್ಮರ್,Bifilar transformer
ಡಬಲ್ ಸಮ್ಮಿಳನ,Bifilar winding
ದ್ವಿಪಕ್ಷೀಯ ಸರ್ಕ್ಯೂಟ್,Bilateral network
ಅವಳಿ,Binary
ಬೈನರಿ ಮೊತ್ತ,Binary addition
ಬೈನರಿ ಸರ್ಕ್ಯೂಟ್,Binary circuit
ಬೈನರಿ ಕೋಡೆಡ್ ದಶಮಾಂಶ,Binary coded decimal (BCD)
ಬೈನರಿ ಕೋಡೆಡ್ ದಶಮಾಂಶ ವ್ಯವಸ್ಥೆ,Binary coded decimal system
ಬೈನರಿ ದ್ವಿಧ್ರುವಿ ಕೆಪಾಸಿಟರ್,Binary commutating capacitor
ಬೈನರಿ ಕ್ಯಾಲ್ಕುಲೇಟರ್,Binary counter
ಬೈನರಿ ಕ್ಯಾಲ್ಕುಲೇಟರ್,Binary counter
ಬೈನರಿ ಡಿಕೋಡರ್,Binary decoder
ಬೈನರಿ ಏಣಿ,Binary ladder
ಬೈನರಿ ಪಾಥೋಮೀಟರ್,Binary odometer
ದ್ವಿಮಾನ ಸ್ಥಿತಿ,Binary state
ಬೈನರಿ-ದಶಮಾಂಶ ಡಿಕೋಡರ್,Binary to decimal decoders
ಬೈನರಿ ಲೋಡ್,Binary weight
ಬೈನರಿ ಪದಗಳು,Binary word
ಬೈಪೋಲಾರ್,Bipolar
ಬೈಪೋಲಾರ್ ಕೆಪಾಸಿಟರ್,Bipolar capacitor
ಬೈಪೋಲಾರ್ ಸಾಧನ,Bipolar device
ಬೈಪೋಲಾರ್ ಮೂಲ,Bipolar power supply
ಬೈಪೋಲಾರ್ ಟ್ರಾನ್ಸಿಸ್ಟರ್,Bipolar transistor
ಬೈಪೋಲಾರ್ ಜಂಕ್ಷನ್ ಟ್ರಾನ್ಸಿಸ್ಟರ್,Bipolar junction transistor
ಕ್ವಾಡ್ರಾಟಿಕ್ ಫಿಲ್ಟರ್,Biquad filter
ಎರಡು ಸ್ಥಾನ,Bistable
ಎರಡು ಹಂತದ ಮಲ್ಟಿವೈಬ್ರೇಟರ್,Bistable multivibratic
ದ್ವಿಮುಖ ರಿಲೇ,Bistable relay
ದ್ವಿಮುಖ ಸ್ಥಿತಿ,Bistable state
ಎರಡು-ಸ್ಥಾನದ ಪ್ರಚೋದಕ,Bistable trigger
ಬಿಟ್ ದೋಷ,Bit error
ಬಿಟ್ ದೋಷ ದರ,Bit error rate (BER)
ಬಿಟ್ ದೋಷ,Bit error
ಬಿಟ್ಕಲ್ ದೋಷ,Bit timing error
ಕುರುಡು ಪೆಟ್ಟಿಗೆ,Black box
ಮಂದಗೊಳಿಸಿದ ನಾಡಿ,Blanking pulses
ಸ್ರವಿಸುವವನು,Bleeder
ಸ್ರವಿಸುವ ಪ್ರತಿಬಂಧಕ,Bleeder resistor
ಕುರುಡುತನ,Blind speed
ವಿಭಾಗದ ರೇಖಾಚಿತ್ರ,Block diagram
ತಡೆಯುವ ಪ್ರತಿರೋಧ,Block impedance
ತುಣುಕು ವರ್ಗಾವಣೆ,Block transfer
ತಡೆಹಿಡಿಯಿರಿ,Blocking
ರೆಸಿಸ್ಟರ್ ಕೆಪಾಸಿಟರ್,Blocking capacitor
ರೆಸಿಸ್ಟರ್ ಕೆಪಾಸಿಟರ್,Blocking capacitor
ತಡೆಯುವ ಆಂದೋಲಕ,Blocking oscillator
ತಡೆಯುವ ಆಂದೋಲಕ,Blocking oscillator
ಪ್ರತಿರೋಧಕ ವೋಲ್ಟೇಜ್,Blocking voltage
ಊದುವವನು,Blower
ಬೋಡ್ ರೇಖಾಚಿತ್ರ,Bode diagram/plot
ವೋಲ್ಟ್ಜ್ಮನ್ ಸಂಬಂಧ,Boltzmann relation
ವೋಲ್ಟ್ಜ್ಮನ್ ಸ್ಥಿರ,Boltzmann's constant
ಕರಾರುಪತ್ರ,Bond
ಬೌಂಡ್ ಸ್ಟ್ರೈನ್ ಗೇಜ್,Bonded strain gauge
ಸ್ವಯಂ-ಬೆಂಬಲಿತ ಆಂಪ್ಲಿಫಯರ್,Boot strapping amplifier
ಬೂಲಿಯನ್ ಬೀಜಗಣಿತ,Boolean algebra
ಬೂಲಿಯನ್ ಸಮೀಕರಣ,Boolean equation
ಬೂಟ್ ಸ್ಟ್ರಾಪನ್,Boot strapping
ಬೂತ್ ಅಲ್ಗಾರಿದಮ್,Booth's algorithm
ಬೂಟ್ ಸ್ಟ್ರಾಪ್ ಪ್ರಿಸ್ಮ್ ಸರ್ಕ್ಯೂಟ್,Bootstrap sweep circuit
ಬಾಸ್ಕಟ್ಸ್ ನಿಯಮ,Bosanquert's law
ಬೋಸ್-ಚೌಧರಿ ಹಾಕಿನ್‌ಹ್ಯಾಮ್ (BCH) ಕೋಡ್,"Bose-Chaudhary-Hoeckingham
 (BCH) code"
"ಜಂಪ್, ಜಂಪ್",Bounce
ಬೌಂಡ್ ಎಲೆಕ್ಟ್ರಾನ್,Bound electron
ಬ್ರಾಗ್ ಪ್ರತಿಫಲಕ,Bragg reflector
ಹೆಣೆದುಕೊಂಡ ತಂತಿ,Braided wire
ಶಾಖೆ,Branch
ಕವಲೊಡೆಯುತ್ತಿದೆ,Branching
ಪ್ರಯೋಗ ಮಂಡಳಿ,Bread board
ವಿರಾಮ ವಲಯ,Break down region
ಬ್ರೇಕಿಂಗ್ ವೋಲ್ಟೇಜ್,Break down voltage
ಸ್ಥಗಿತ ಡಯೋಡ್,Breakdown diode
ಮುರಿತದ ಸ್ಥಿರೀಕರಣ,Breakdown rating
ಬ್ರೇಕಿಂಗ್ ವೋಲ್ಟೇಜ್,Breakdown voltage
ಸೇತುವೆ,Bridge
ಸೇತುವೆ ರಿಕ್ಟಿಫೈಯರ್,Bridge rectifier
ವಿಶಾಲ ಬ್ಯಾಂಡ್,Broad band
ಪ್ರಸಾರ ಬ್ಯಾಂಡ್,Broad cast band
ಆಸ್ಟ್ರಲ್ ಅರೇ,Broad side array
ಪ್ರಸಾರ,Broadcast
ಪ್ರಸಾರ ಆಂಟೆನಾ,Broadcast antenna
ಪ್ರಸಾರ ರಿಸೀವರ್,Broadcast receiver
ಆವರ್ತನ ಪ್ರಸಾರ ರಿಸೀವರ್,Broadcast receiver frequency
ಪ್ರಸಾರ ಟ್ರಾನ್ಸ್ಮಿಟರ್,Broadcast transmitter
ಬೂಸ್ಟರ್ ಆಂಟೆನಾ,Booster
ಬಸ್ ಆಂಟೆನಾ,Bruce antenna
ಬ್ರಷ್ ಇಮ್ಮರ್ಶನ್,Brush discharge
ಬಬ್ಲಿಂಗ್ ಮತ್ತು ಗೇಟ್,Bubbled AND gate
ಬುಡ್ಬುಡು ಅಥವಾ ಗೇಟ್,Bubbled OR gate
ಬಬ್ಲಿ ನೆನಪು,Bubble memory
ಸರಿದೂಗಿಸುವ ವೋಲ್ಟೇಜ್,Bucking voltage
ಬಫರ್,Buffer
ಬಫರ್ ಆಂಪ್ಲಿಫಯರ್,Buffer amplifier
ಬಫರ್ ಸರ್ಕ್ಯೂಟ್,Buffer circuit
ಬಫರ್ ಆಪರೇಟರ್,Buffer driver
ಬಫರ್ ರಿಜಿಸ್ಟರ್,Buffer register
ಬಲ್ಬ್,Bulb
ಜನಸಂಖ್ಯೆಯ ಪರಿಣಾಮ,Bulk effect
ಮ್ಯಾಕ್ರೋ ಸೆಮಿಕಂಡಕ್ಟರ್ ಸಾಧನ,Bulk semi-conductor device
ಗುಂಪನ್ನು,Buncher
ಮುಳುಗಿದ ವಿನಿಮಯ,Burried crossover
ಮುಳುಗಿದ ಪದರ,Burried layer
ಮುಳುಗಿದ ಸಂಪರ್ಕ,Burrier contact
ಬ್ಲಾಸ್ಟ್ ಆಂಪ್ಲಿಫಯರ್,Burst amplifier
ಬ್ಲಾಸ್ಟ್ ಕವರ್,Burst blanking
ಸ್ಫೋಟದ ಗುಂಡಿನ,Burst firing
ಸ್ಫೋಟ ಬಾಗಿಲು ಆಂಪ್ಲಿಫೈಯರ್,Burst gate amplifier
ಬರ್ಸ್ಟ್ ಮೋಡ್,Burst mode
ಸ್ಫೋಟ ವಿಭಜಕ,Burst separator
ಸ್ಫೋಟ ಸಂಕೇತ,Burst signal
ಬರ್ಸ್ಟ್ ದೋಷ ಸರಿಪಡಿಸುವ ಕೋಡ್,Burst-error correcting code
ಸಾಕು,Bus
ಬಸ್ ಬಾರ್,Bus bar
ಬಸ್ ಸಂಘಟನೆ,Bus organisation
ಬಸ್ ಗುಣಮಟ್ಟ,Bus standard
ಕೇವಲ ಕ್ಷಣಿಕ,Bus transient
ಬೆಣ್ಣೆ ಮೌಲ್ಯದ ಫಿಲ್ಟರ್,Butter worth filter
bnc ತಂತಿ,BNC cable
BNC ಜಾಯಿಂಟರ್,BNC connector
ದಾರಿಯಲ್ಲಿ,By pass
ಬೈಪಾಸ್ ಕೆಪಾಸಿಟರ್,Bypass capacitor
ಬೈಟ್,Byte
ವಿ ಬ್ಯಾಂಡ್,C band
ಸಿ ಬ್ಯಾಂಡ್ ಆಂಟೆನಾ,C band antenna
ತಂತಿ,Cable
ತಂತಿ ರೂಟಿಂಗ್,Cable routing
ಟೆಲಿಗ್ರಾಫ್ ದೂರದರ್ಶನ,Cable version
ಸಂಗ್ರಹ ಮೆಮೊರಿ,Cache memory
ಸಿಸಿಮ್ ಫ್ರೀಕ್ವೆನ್ಸಿ ಸ್ಟ್ಯಾಂಡರ್ಡ್,Caesium frequency standard
ಕ್ಯಾಲ್ಕುಲೇಟರ್,Calculator
ಮಾಪನಾಂಕ ನಿರ್ಣಯ,Calibration
ಕರೆ ವಿಳಾಸ,Call address
ಕಾಲ್ಪಿಟ್ ಆಂದೋಲಕ,Colpitt's oscillator
ಕ್ಯಾಮ್ ಕಾರ್ಡರ್ಗಳು,Camcorder
ಕ್ಯಾಮೆರಾ,Camera
ಕ್ಯಾಮೆರಾ ಮೆದುಗೊಳವೆ,Camera tube
ಕ್ಯಾಂಡೆಲಾ,Candela
ಮೇಣದಬತ್ತಿಯ ಶಕ್ತಿ,Candle power
ಕ್ಯಾಂಟಿಲಿವರ್ ಸ್ಟ್ರೈನ್ ಗೇಜ್,Cantilever strain gauge
ಹಿಡಿದು,Capacitance
ಧಾರಣ ರಕ್ತದೊತ್ತಡ ಸಂಜ್ಞಾಪರಿವರ್ತಕ,Capacitance blood pressure transducer
ಹಿಡುವಳಿ ವಿತರಕ,Capacitance distributor
ಒಪ್ಪಂದ ಹಿಡುವಳಿ,Capacitance junction
ಕೆಪಾಸಿಟನ್ಸ್ ಗೇಜ್,Capacitance meter
ಹಿಡಿದಿಟ್ಟುಕೊಳ್ಳುವ ಸಂಗ್ರಾಹಕ,Capacitance pick-up
ಕೆಪಾಸಿಟನ್ಸ್ ಪ್ರತಿಕ್ರಿಯಾತ್ಮಕತೆ,Capacitive reactance
"ಕೆಪ್ಯಾಸಿಟಿವ್ ಎನರ್ಜಿ ಪರಿವರ್ತಕ, ಸಂಜ್ಞಾಪರಿವರ್ತಕ",Capacitive transducer
ಕೆಪಾಸಿಟರ್,Capacitor
ಕೆಪಾಸಿಟರ್ ಬ್ಯಾಂಕ್,Capacitor bank
ಕೆಪಾಸಿಟರ್ ಫಿಲ್ಟರ್,Capacitor filter
ಕೆಪಾಸಿಟರ್ ಇನ್ಪುಟ್ ಫಿಲ್ಟರ್,Capacitor input filter
ವಿಂಚ್ ಮೋಟಾರ್,Capstan motor
ಪುಲ್ಲಿ ಸರ್ವೋ ದೇಹ,Capstan servo system
ಚಾರ್ಖಿ,Capston
ಸೆರೆಹಿಡಿಯಿರಿ,Capture
ಕ್ಯಾಪ್ಚರ್ ಷರತ್ತು,Capture cross-section
ಪರಿಣಾಮವನ್ನು ಸೆರೆಹಿಡಿಯಿರಿ,Capture effect
ವಾಹಕ ಶಬ್ದ ಅನುಪಾತ,Carrier to noise ratio (CNR)
ಕಾರ್ ರೇಡಿಯೋ,Car radio
ಇಂಗಾಲದ ಪ್ರತಿರೋಧಕ,Carbon resistor
ಕಾರ್ಡ್ ರೀಡರ್,Card reader
ಕಾರ್ಡಿಯಾಯ್ಡ್ ರೇಖಾಚಿತ್ರ,Cardiod diagram
ಗಾಡಿ,Carriage
ಕ್ಯಾರೇಜ್ ರಿಟರ್ನ್,Carriage return
ವಾಹಕ,Carrier
ವಾಹಕ ಸಂವಹನ,Carrier communication
ವಾಹಕ ಏಕಾಗ್ರತೆ,Carrier concentration
ವಾಹಕ ಆವರ್ತನ,Carrier frequency
ವಾಹಕ ಸಂತಾನೋತ್ಪತ್ತಿ,Carrier generation
ವಾಹಕ ಮಟ್ಟ,Carrier level
ವಾಹಕ ಜೀವನ,Carrier life time
ವಾಹಕ ಚಲನಶೀಲತೆ,Carrier mobility
ವಾಹಕ ಗುಣಾಕಾರ,Carrier multiplication
ವಾಹಕ ಶಬ್ದ ಮಟ್ಟ,Carrier noise level
ವಾಹಕ ಶ್ರೇಣಿ,Carrier range
ವಾಹಕ ಚೇತರಿಕೆ ಸರ್ಕ್ಯೂಟ್,Carrier recovery circuits
ವಾಹಕ ಮರುಸೇರ್ಪಡೆ,Carrier reinsertion
ವಾಹಕ ಸ್ಕ್ಯಾಟರಿಂಗ್,Carrier scattering
ವಾಹಕ ನಿಗ್ರಹ,Carrier suppression
