Assamese,Malayalam
১/ এন্টিবায়টিক ২। এন্টিবায়টিক,1. ആന്റിബയോട്ടിക് 2. ആന്റിബയോട്ടിക്
repulsive,വെറുപ്പുളവാക്കുന്ന
এন্টিঅক্সিডেন্ট,ആന്റിഓക്‌സിഡന്റ്
এন্টিটক্সিন,ആന്റിടോക്സിൻ
ৰিং ফিংগাৰ,മോതിര വിരൽ
১.এফিড ২.মহু ৩.চেপা,1. മുഞ്ഞ 2. മാഹു 3. ചേപ
শীৰ্ষ কলি,മുകളിലെ മുകുളം
শীৰ্ষ ফলপ্ৰসূতা,പീക്ക് ഫലപ്രാപ്തി
মৌমাখি ৰখা,തേനീച്ച വളർത്തൽ
অযৌনতা,അലൈംഗികത
এপ&#39;প্টোছিছ,അപ്പോപ്റ്റോസിസ്
appendages,അനുബന്ധങ്ങൾ
appetizer,വിശപ്പ്
প্ৰয়োগ কৰা হৈছে,അപേക്ഷിച്ചു
জলজ অপতৃণ,ജല കള
১.গছ ২.গছৰ বাসিন্দা,1. മരം 2. വൃക്ഷ നിവാസി
শাখা-প্ৰশাখা,ശാഖകൾ
প্ৰ&#39;ট&#39;বোটানিকেল ৰেকৰ্ড,പ്രോട്ടോബോട്ടാണിക്കൽ റെക്കോർഡുകൾ
জ&#39;ন নম্বৰ,സോൺ നമ്പർ
১.ক্ষেত্ৰফল ২.ক্ষেত্ৰফল,1. ഏരിയ 2. ഏരിയ
শুকান পৰিৱেশ তন্ত্ৰ,വരണ്ട ആവാസവ്യവസ്ഥ
কুটিলডন,കോട്ടിലിഡൺ
সৌৰভ,സൗരഭ്
সুগন্ধিযুক্ত উদ্ভিদ,ആരോമാറ്റിക് പ്ലാന്റ്
সুগন্ধি চাউল,സുഗന്ധമുള്ള അരി
ইক্ষু পুষ্পন,ഇക്ഷു പുഷ്പൻ
বীজাণুমুক্ত,അസെപ്റ്റിക്
১.এচেপ্টিক ২.এচেপ্টিক,1. അസെപ്റ്റിക് 2. അസെപ്റ്റിക്
অযৌন প্ৰজনন,അലൈംഗിക പുനരുൽപാദനം
আকাৰ,വലിപ്പം
সম্পত্তি,ആസ്തി
১/ আত্মসাৎ ২. আত্মসাৎ,1. സ്വാംശീകരണം 2. സ്വാംശീകരണം
১.সংঘ ২.সংঘ,1. അസോസിയേഷൻ 2. അസോസിയേഷൻ
1. স্তম্ভ 2. astringency,1. കോളം 2. ആസ്ട്രിംഗ്സി
হেটেৰ&#39;জাইগোচিটি,ഹെറ്ററോസൈഗോസിറ്റി
১.পূৰ্বপুৰুষ ২.আটাভিজম,1. പൂർവ്വികൻ 2. അടവിസം
কণা,കണം
1. অনিশ্চয়তা 2. বিকলতা,1. സ്ഥിരീകരണം 2. വൈകല്യം
self pairing,സ്വയം ജോടിയാക്കൽ
অটোলাইছিছ,ഓട്ടോലിസിസ്
1. স্বতঃস্ফূৰ্ত অক্সিডেচন 2. স্বতঃস্ফূৰ্ত অক্সিডেচন,1. സ്വതസിദ്ധമായ ഓക്സീകരണം 2. സ്വതസിദ്ധമായ ഓക്സീകരണം
self multiplexed,സ്വയം മൾട്ടിപ്ലക്സ്
অক্সিন,ഓക്സിൻ
১/ জোকাৰি যোৱা ২. টোড,1. ഷൂക്ക് 2. പൂവൻ
পেনাল ভাইৰাছ,ശിക്ഷാ വൈറസ്
১.বেচিলাছ ২.বেচিলাছ,1. ബാസിലസ് 2. ബാസിലസ്
১/ বেক্টেৰিয়া ২) বেক্টেৰিয়া,1. ബാക്ടീരിയ 2. ബാക്ടീരിയ
বেক্টেৰিয়াৰ বিষাক্ত পদাৰ্থ,ബാക്ടീരിയൽ വിഷം
বাগাছ,ബാഗാസ്
বেলেন্স শ্বীট,ബാലൻസ് ഷീറ്റ്
সুষম সাৰৰ ব্যৱহাৰ,സമീകൃത വളം ഉപയോഗം
বাৰ গ্ৰাফ,ബാർ ഗ്രാഫ്
বাকলি,കുര
১.বেৰ’মিটাৰ ২.বেৰ’মিটাৰ,1. ബാരോമീറ്റർ 2. ബാരോമീറ്റർ
১. বাজাৰ ২. নিষ্ক্ৰিয় ৩. বন্যাৰ্ত,1. ബസർ 2. നിഷ്ക്രിയം 3. വന്ധ്യം
1. ভিত্তি 2. ভিত্তি 3. কুপাং,1. അടിസ്ഥാനം 2. അടിസ്ഥാനം 3. കുപാങ്
১.তালা ২.বেচিন,1. താല 2. തടം
তালাবিছাৰী,തലബിസാരി
১.বেচিষ্টেৰনাম ২.মূল ধাৰণকাৰী,1. ബാസിസ്റ്റെർനം 2. റൂട്ട് ഹോൾഡർ
উপসাগৰীয় বাৰিষা,ഗൾഫ് മൺസൂൺ
ফলৰ উদ্ভিদ,ഫലം പ്ലാന്റ്
বিছনা,കിടക്ക
বিচনা উদ্ভিদ,കിടക്ക പ്ലാന്റ്
বিচনা চাদৰ,കിടക്കവിരി
বুটমাহৰ গুড়,ബീറ്റ്റൂട്ട് മോളാസസ്
bellows,തുരുത്തി
১.ষ্ট্ৰিপ ২.ভূখণ্ড,1. സ്ട്രിപ്പ് 2. ഭൂപ്രദേശം
লাভ-খৰচ বিশ্লেষণ,ലാഭ-ചെലവ് വിശകലനം
আকাংক্ষিত (Sampling),അഭിലാഷം (സാമ്പിൾ)
দ্বিবাৰ্ষিক উদ্ভিদ,ദ്വിവത്സര സസ്യങ്ങൾ
দ্বিপদ,ദ്വിപദം
বায়&#39;ফেক্টৰ,ബയോഫാക്ടർ
জৈৱিক জলবায়ু,ജൈവ കാലാവസ്ഥ
জৈৱ শক্তি,ജൈവ ഊർജ്ജം
প্ৰাণীৰ পৰিস্থিতিতন্ত্ৰ,ജന്തു പരിസ്ഥിതി
১/ বায়’-প্ৰচেছৰ ২.বায়’-ৰিয়ক্টৰ,1. ബയോ പ്രോസസർ 2. ബയോ റിയാക്ടർ
জৈৱমণ্ডল,ജൈവമണ്ഡലം
জৈৱিক,ബയോട്ടിക്
প্ৰাণীজগত,ജന്തുജാലങ്ങൾ
ডিভিলিংগি,ദിവിലിംഗി
ধাৱলান,ധവാലൻ
১/প্ৰধ্বাসন (ৰোগ) ২) গাষ্ট ৰোগ,1. പ്രധ്വാസൻ (രോഗം) 2. ഗസ്റ്റ് രോഗം
মিশ্ৰণ,മിശ്രണം
১.আংমাৰী (ৰোগ) ২.ব্লাইট (ৰোগ) ২.,1. അംഗ്മാരി (രോഗം) 2. ബ്ലൈറ്റ് (രോഗം)
১/ ফোহা ২. ফোহা ৩. বিস্ফোৰণ ৪. ফোহা,1. ബ്ലിസ്റ്റർ 2. ബ്ലിസ്റ്റർ 3. എറപ്ഷൻ 4. ബ്ലിസ്റ്റർ
নীলা বিপ্লৱ,നീല വിപ്ലവം
প্লেনাৰ হিটিং চেম্বাৰ,പ്ലാനർ ഹീറ്റിംഗ് ചേമ്പർ
সমতল উত্তাপন প্ৰযুক্তি,പ്ലാനർ തപീകരണ സാങ്കേതികവിദ്യ
ব্ৰাণ,തവിട്
শাখা-প্ৰশাখা,ശാഖകൾ
১.ডাল ২.উপশাখা,1. തടി 2. ഉപശാഖ
বংশবৃদ্ধি,ഇനം
প্ৰজনন,പുനരുൽപാദനം
আগতীয়াকৈ অংকুৰণৰ চিকিৎসা,ആദ്യകാല മുളയ്ക്കൽ ചികിത്സ
১. পোৱালি ২. কণী ৩. ভ্ৰূণ,1. കുട്ടി 2. മുട്ട 3. ഭ്രൂണം
budding,വളർന്നുവരുന്ന
বাজেট,ബജറ്റ്
১.এম্ফোটেৰিক ২.বাফাৰ,1.ആംഫോട്ടറിക് 2. ബഫർ
মিঠা আলু,മധുരക്കിഴങ്ങ്
বান্ট (ৰোগ),ബണ്ട് (രോഗം)
1. উপ-উৎপাদন 2. উপ-উৎপাদন,1. ഉപോൽപ്പന്നം 2. ഉപോൽപ്പന്നം
c আৰ্দ্ৰতা নিৰ্দিষ্টকৰণ বক্ৰ,c ഈർപ്പം സ്പെസിഫിക്കേഷൻ കർവ്
তেলৰ কেক,എണ്ണ പിണ്ണാക്ക്
১.চূণ ২.কেলচিয়াম,1. നാരങ്ങ 2. കാൽസ്യം
calcion,calcion
ফছফেট আঁতৰোৱা,ഫോസ്ഫേറ്റ് നീക്കം
১.কিনাটা ২.কালাটা,1. കിനാറ്റ 2. കാലാറ്റ
১.কেলাছ ২.ৰশ্মি,1.കല്ലസ് 2. കിരണം
1. ফুলৰ গুটি 2. calyx,1. വിദളങ്ങൾ 2. കാളിക്സ്
বাহ্যিক শেষ,പുറത്തെ അവസാനം
এধা,എധ
কেন্সাৰ (বেক্টেৰিয়াৰ ৰোগ),കാൻസർ (ബാക്ടീരിയ രോഗം)
কেনিং,കാനിംഗ്
আকাশ,ആകാശം
বিত্ত,ധനകാര്യം
পৰগাছা (ডুমুৰৰ),പരാഗണം (അത്തിപ്പഴം)
১.কেপচুল ২.কেপচুল ৩.কেপচুল,1. കാപ്സ്യൂൾ 2. ക്യാപ്സ്യൂൾ 3. ക്യാപ്സ്യൂൾ
কাৰ্বনাইজড,കാർബണൈസ്ഡ്
কাৰ্বনেন,കാർബണൻ
carapace,കാർപേസ്
এপাত হাতৰ অলংকাৰ,വള
1. ঢালাই (লোহা) 2. ক্ষীপতি (পোক),1. കാസ്റ്റിംഗ് (ഇരുമ്പ്) 2. ക്ഷിപ്തി (പ്രാണി)
কেটাবলিজম,കാറ്റബോളിസം
প্ৰৰোচনা,പ്രേരണ
1. পোক 2. পোক,1. കാറ്റർപില്ലർ 2. കാറ്റർപില്ലർ
গ ঘ. এন. ক. সংগ্ৰহ,സി ഡി. എൻ. എ. സമാഹാരം
পৰিসৰ,പരിധി
১.কোষ ২.কোষ,1. സെൽ 2. സെൽ
কেন্দ্ৰীয় ফ্ৰন্ট ব্যৱস্থা,സെൻട്രൽ ഫ്രണ്ട് സിസ്റ്റം
1. বিন্দু 2. ফোকাচ,1. പോയിന്റ് 2. ഫോക്കസ്
কেন্দ্ৰচালিতকৰণ,അപകേന്ദ്രീകരണം
কেন্দ্ৰচালিত কৰক,സെൻട്രിഫ്യൂജ്
তাৰকা কেন্দ্ৰ,നക്ഷത്ര കേന്ദ്രം
এপিজেনেটিক,എപ്പിജെനെറ്റിക്
কেন্দ্ৰজা,കേന്ദ്രരാജ
loom,തറി
১/ শস্যৰ বীজ ২. ছিৰিয়েল,1. ധാന്യം 2. സീരിയൽ
১.প্ৰমাণীকৰণ ২.প্ৰমাণীকৰণ,1. സർട്ടിഫിക്കേഷൻ 2. സർട്ടിഫിക്കേഷൻ
প্ৰমাণিত বীজ,സാക്ഷ്യപ്പെടുത്തിയ വിത്ത്
১) খেৰ ২.কুট্টি ৩.শালক সহপাত্ৰ,1. വൈക്കോൽ 2. കുട്ടി 3. ശലക് സഹപത്ര
১.নিভাগ ২.কৈলাজা,1. നിഭാഗ് 2. കൈലജ
চাইম&#39;গ্ৰাফী,കൈമോഗ്രഫി
১.কিয়াজমা ২.ব্যস্ত,1. കിയാസ്മ 2. തിരക്കിലാണ്
ছুপাৰকুলিং ঘন্টা,supercooling മണിക്കൂർ
হিম ক্ষতি,മഞ്ഞ് കേടുപാടുകൾ
১/ ভিচিৰোটাকি ২.চিমেৰা,1. വിചിരോതകി 2. ചിമേര
সেউজীয়া দাইল,പച്ച കഞ്ഞി
১.পাতল ২.সেউজীয়া,1. ഇലകൾ 2. പച്ച
চাইন&#39;ছিছ,സയനോസിസ്
জৈৱিক বিতৰণ বিজ্ঞান,ജൈവ വിതരണ ശാസ്ത്രം
১) ক্ৰ’মেটিড ২) আধা ক্ৰম’জম,1. ക്രോമാറ്റിഡുകൾ 2. പകുതി ക്രോമസോമുകൾ
ক্ৰ&#39;মেটিন,ക്രോമാറ്റിൻ
ক্ৰ&#39;মাট&#39;গ্ৰাফী,ക്രോമാറ്റോഗ്രാഫി
ক্ৰ&#39;মেটিনেচন,ക്രോമാറ്റിലേഷൻ
অলিন্দৰ বিন্দু,ഏട്രിയൽ പോയിന്റ്
ক্ৰ&#39;মেট&#39;জেনেছিছ,ക്രോമാറ്റോജെനിസിസ്
১/ ক্ৰম’প্ৰটিন ২.ৰঞ্জক প্ৰটিন,1. ക്രോമോപ്രോട്ടീൻ 2. പിഗ്മെന്റ് പ്രോട്ടീൻ
১.ক্ৰম’জম ২.ক্ৰম’জম,1. ക്രോമസോമുകൾ 2. ക്രോമസോമുകൾ
1. দীৰ্ঘদিনীয়া 2. দীৰ্ঘদিনীয়া 3. দীৰ্ঘদিনীয়া 4. অচল,1. വിട്ടുമാറാത്ത 2. വിട്ടുമാറാത്ത 3. വിട്ടുമാറാത്ത 4. കാലഹരണപ്പെട്ട
ট্যাগ এর সাথে ছবি &#39;citrange&#39;:,സിട്രേഞ്ച്
পতন উৎসৱ,ശരത്കാല ഉത്സവം
শ্ৰেণীবিভাজন,വർഗ്ഗീകരണം
১.মাটি ২.মাটি,1. കളിമണ്ണ് 2. കളിമണ്ണ്
১/ পৰিষ্কাৰ কৰা ২.স্ক্ৰাব কৰা ৩. পৰিষ্কাৰ কৰা ৪.বিশুদ্ধকৰণ,1. വൃത്തിയാക്കൽ 2. സ്‌ക്രബ്ബിംഗ് 3. വൃത്തിയാക്കൽ 4. ശുദ്ധീകരണം
স্থায়ী পৰগাছা,സ്ഥിരമായ പരാഗണം
ক্ৰুচিফেৰাছ ফল,ക്രൂസിഫറസ് ഫലം
জলবায়ু,കാലാവസ്ഥ
জলবায়ুবিজ্ঞান,കാലാവസ്ഥാ ശാസ്ത്രം
shear,കത്രിക
গোট (মাটি),പിണ്ഡം (കളിമണ്ണ്)
ক্ল&#39;ন,ക്ലോൺ
১.ডাৱৰ ২.ডাৱৰ,1.മേഘങ്ങൾ 2.മേഘങ്ങൾ
ক্লাম্প,കൂട്ടം
মুঠি,കുല
১.মোটা ২.ৰুক্ষ ৩.কেঁচা ৪.ৰুক্ষ,1. പരുക്കൻ 2. പരുക്കൻ 3. അസംസ്കൃതം 4. പരുക്കൻ
১.আৱৰণ ২.চামৰাৰ টুকুৰা,1. കവർ 2. ലെതറെറ്റ്
কয়া,കോയ
১/ কো-এনজাইম ২.কো-এনজাইম,1. കോഎൻസൈം 2. കോ-എൻസൈം
সংহতি,കെട്ടുറപ്പ്
১/ আঁহ (পাট পাট) ২) নাৰিকল মোটা,1. നാരുകൾ (ചണം ചണം) 2. കോക്കനട്ട് കോഴ്സ്
মুলংকুৰ চোলা,മുളങ്കൂർ ചോല
,
কলয়ড (মাটি),കൊളോയിഡ് (മണ്ണ്)
১.স্তম্ভ ২.কলমেলা,1.നിര 2.കൊലുമെല്ല
১/ শাস্তি ২.স্তম্ভ ৩.স্তম্ভ,1. പെനാൽറ്റി 2. കോളം 3. കോളം
কমিউনিয়ন,കൂട്ടായ്മ
বাণিজ্যিক বেংক,കൊമേഴ്സ്യൽ ബാങ്ക്
১/ পণ্য ২/ ব্যৱসায়িক সামগ্ৰী,1. ചരക്ക് 2. ചരക്ക്
সমুদায়,സമൂഹം
সংকোচন (মাটিৰ),സങ്കോചം (മണ്ണിന്റെ)
1. সামঞ্জস্যতা 2. সামঞ্জস্যতা,1. അനുയോജ്യത 2. അനുയോജ്യത
সামঞ্জস্যতা,അനുയോജ്യത
১/ ক্ষতিপূৰণ ২/ ক্ষতিপূৰণ,1. നഷ്ടപരിഹാരം 2. നഷ്ടപരിഹാരം
প্ৰতিযোগিতামূলক পাৰস্পৰিক ক্ৰিয়া,മത്സരപരമായ ഇടപെടൽ
শস্যৰ পৰিপূৰক,സപ്ലിമെന്റ് വിള
১.সংমিশ্ৰিত ২.জটিল,1. സംയുക്തം 2. സങ്കീർണ്ണമായ
সমষ্টিবাসী,ഘടകഭാഗം
সুৰ-ৰচনা,രചന
পচন সাৰ,കമ്പോസ്റ്റ്
যৌগিক আগ্ৰহ,കൂട്ടുപലിശ
গণনা,കണക്കുകൂട്ടൽ
1. কম্পিউটাৰ 2. কম্পিউটাৰ,1. കമ്പ്യൂട്ടർ 2. കമ്പ്യൂട്ടർ
১/ ঘনত্ব ২. ঘনত্ব,1. ഏകാഗ്രത 2. ഏകാഗ്രത
১.অপ্টিমাইজাৰ ২.ৰিভাইটালাইজাৰ,1. ഒപ്റ്റിമൈസർ 2. റിവൈറ്റലൈസർ
পৰিবাহীতা,ചാലകത
1. বিন্যাস 2. বিন্যাস,1. കോൺഫിഗറേഷൻ 2. കോൺഫിഗറേഷൻ
1. অনুকূলতা 2. সংৰূপ 3. অনুকূলতা,1. അനുരൂപത 2. കോൺഫിഗറേഷൻ 3. അനുരൂപത
১.সংহতি ২.সংকৰকৰণ,1. സംയോജനം 2. ഹൈബ്രിഡൈസേഷൻ
সংযোজন,സംയോജനം
1. যোগকৰণ 2. সংযোগী,1. അഡിറ്റീവ് 2. കണക്റ്റീവ്
সুৰক্ষা,സംരക്ഷണം
একত্ৰীকৰণ,ഏകീകരണം
১.উপাদান ২.উপাদান,1. ചേരുവ 2. ചേരുവകൾ
গ্ৰাহক,ഉപഭോക്താവ്
সেৱন,ഉപഭോഗം
দূষণ কৰা,മലിനീകരണം
কনট্যুৰ ৰোপণ,കോണ്ടൂർ നടീൽ
কনট্যুৰ ৰেখা,കോണ്ടൂർ ലൈൻ
১/ ঠিকাদাৰী খেতি ২.ঠিকাদাৰী খেতি ৩.চুক্তিবদ্ধ কৃষি,1. കരാർ കൃഷി 2. കരാർ കൃഷി 3. കരാർ കൃഷി
নিয়ন্ত্ৰিত বায়ুমণ্ডলীয় সংৰক্ষণ,നിയന്ത്രിത അന്തരീക്ഷ സംഭരണം
সমবায় বেংক,സഹകരണ ബാങ്ക്
সমবায় সমিতিৰ সদস্য,സഹകരണ സംഘം അംഗം
গুলমাৱন,ഗുൽമാവാൻ
ঘনকীয়,സമചതുര
১.দলপুঞ্জ ২.কৰোলা,1. ദൽപുഞ്ച് 2. കൊറോള
১.কৰ্টেক্স ২.কৰ্টেক্স,1. കോർട്ടെക്സ് 2. കോർട്ടക്സ്
খৰচ,ചെലവ്
কুটিলডন,കോട്ടിലിഡൺ
ক্ৰেডিট কমিটি,ക്രെഡിറ്റ് കമ്മിറ്റി
১/ ঋণ দিয়া ২.ক্ৰেডিট,1. കടം കൊടുക്കൽ 2. ക്രെഡിറ്റ്
১/ ঋণদাতা ২.পাওনাদাৰ,1. കടം കൊടുക്കുന്നയാൾ 2. കടം കൊടുക്കുന്നയാൾ
1. শিখৰ 2. শিখৰ 3. শিখৰ,1. ശിഖരം 2. ശീർഷകം 3. ശിഖരം
প্ৰত্যাহাৰ,പിൻവലിക്കൽ
বিপদ,പ്രശ്നം
পৰীক্ষা,പരീക്ഷ
জটিল অৱস্থা,വിമർശനാത്മകം
শস্যৰ বীমা,വിള ഇൻഷുറൻസ്
শস্যৰ ঋণ,വിള വായ്പ
