English,Odiya
Abnormal refraction,ଅସ୍ୱାଭାବିକ ପ୍ରତିକ୍ରିୟା *
Abnormal resistance,ପରମାନନ୍ଦ ପ୍ରତିରୋଧ |
Abohm,ab-om
Abortion,"ଅଗ୍ରାଧିକାର, ବିଫଳତା |"
Abrupt,"ସଂଲଗ୍ନ, ସାଧାରଣତ, ଠିଆ, ବିଚ୍ଛିନ୍ନ, ଖଣ୍ଡବିଖଣ୍ଡିତ |"
Abrupt jump,ବାରମ୍ବାର ଡେଇଁପଡେ |
Abscissa,ହାତ *
Absent reflection,ହଜିଯାଇଥିବା ପ୍ରତିଫଳନ |
Absent spectrum,ସ୍ପେକ୍ଟ୍ରମ୍ ଅନୁପସ୍ଥିତ |
Absolute,"ସଂପୂର୍ଣ୍ଣ, ସଂପୂର୍ଣ୍ଣ, ସ୍ଥିର, ସିଦ୍ଧ |"
Absolute acceleration,ସଂପୂର୍ଣ୍ଣ ତ୍ୱରଣ
Absolute accuracy,ସଂପୂର୍ଣ୍ଣ ବାସ୍ତବତା |
Absolute address-specific address,ସଂପୂର୍ଣ୍ଣ ଠିକଣା
Absolute altimeter,ଜିଓ-ଆପେକ୍ଷିକ ଉଚ୍ଚତା |
Absolute altitude,ଭ ge ଗୋଳିକ ଉଚ୍ଚତା |
Absolute ampere,ସଂପୂର୍ଣ୍ଣ ଆମ୍ପେର୍ |
Absolute boilling point,ସଂପୂର୍ଣ୍ଣ ଫୁଟିବା ବିନ୍ଦୁ |
Absolute bolometric luminosity,ସଂପୂର୍ଣ୍ଣ ଉଜ୍ଜ୍ୱଳତା |
Absolute capacity,ସଂପୂର୍ଣ୍ଣ କ୍ଷମତା
Absolute ceiling,ସଂପୂର୍ଣ୍ଣ ଉଚ୍ଚତା |
Absolute colour index,ସଂପୂର୍ଣ୍ଣ ପିଗମେଣ୍ଟ |
Absolute configuration,"ସଂପୂର୍ଣ୍ଣ ବିନ୍ୟାସ, ଅସ୍ପଷ୍ଟ ବିନ୍ୟାସ |"
Absolute coulomb,ସଂପୂର୍ଣ୍ଣ କୁଲମ୍ବ |
Absolute darkness,ସମ୍ପୂର୍ଣ୍ଣ ଅନ୍ଧକାର |
Absolute dating,ସଂପୂର୍ଣ୍ଣ କାର୍ଯ୍ୟସୂଚୀ
Absolute density,ସଂପୂର୍ଣ୍ଣ ଘନତା *
Absolute drift,ସଂପୂର୍ଣ୍ଣ ଜଳ ନିଷ୍କାସନ |
Absolute e.m.u.,ସଂପୂର୍ଣ୍ଣ EMU | (ବ elect ଦ୍ୟୁତିକ ଚୁମ୍ବକୀୟ ଏକକ)
Absolute e.s.u.,ସଂପୂର୍ଣ୍ଣ ESU | (ଷ୍ଟାଟିକ୍ ୟୁନିଟ୍)
Absolute efficiency,ସଂପୂର୍ଣ୍ଣ ଦକ୍ଷତା |
Absolute electrometer,ସଂପୂର୍ଣ୍ଣ ଇଲେକ୍ଟ୍ରୋମିଟର |
Absolute frequency,ସଂପୂର୍ଣ୍ଣ ଫ୍ରିକ୍ୱେନ୍ସି ସଂପୂର୍ଣ୍ଣ ଫ୍ରିକ୍ୱେନ୍ସି |
Absolute humidity,ସଂପୂର୍ଣ୍ଣ ଆର୍ଦ୍ରତା |
Absolute incidence,ସଂପୂର୍ଣ୍ଣ ଘଟଣା
Absolute index of refraction,ସଂପୂର୍ଣ୍ଣ ପ୍ରତୀକାତ୍ମକ ସୂଚକାଙ୍କ |
Absolute instability,ସଂପୂର୍ଣ୍ଣ ଅସ୍ଥିରତା |
Absolute intensity,ସଂପୂର୍ଣ୍ଣ ଅସ୍ଥିରତା |
Absolute length,"ସଂପୂର୍ଣ୍ଣ ତୀବ୍ରତା, ସଂପୂର୍ଣ୍ଣ ତୀବ୍ରତା |"
Absolute limit of hysteresis,ଆଥେନିଆର ସଂପୂର୍ଣ୍ଣ ସୀମା |
Absolute luminance threshold,ସଂପୂର୍ଣ୍ଣ ଆଲୋକୀକରଣ ସିଲ୍ |
Absolute luminosity curve,ସଂପୂର୍ଣ୍ଣ ଆଲୋକ ବକ୍ର
Absolute magnitude,ସଂପୂର୍ଣ୍ଣ ପରିମାଣ
Absolute manometer,ସଂପୂର୍ଣ୍ଣ ବାରୋମିଟର |
Absolute maximum,ସର୍ବୋଚ୍ଚ ସର୍ବୋଚ୍ଚ
Absolute maximum rating,ସଂପୂର୍ଣ୍ଣ ଚରମ
Absolute minimum,ସଂପୂର୍ଣ୍ଣ ସର୍ବନିମ୍ନ |
Absolute momentum,ସଂପୂର୍ଣ୍ଣ ଗତି
Absolute motion,ସଂପୂର୍ଣ୍ଣ ଗତି
Absolute music=pure music,ସଂପୂର୍ଣ୍ଣ ସଂଗୀତ |
Absolute observation,ସଂପୂର୍ଣ୍ଣ ନିରୀକ୍ଷଣ |
Absolute ohm,ସଂପୂର୍ଣ୍ଣ ଓହମ୍ |
Absolute orientation,ସଂପୂର୍ଣ୍ଣ ଆଭିମୁଖ୍ୟ
Absolute permittivity,ସଂପୂର୍ଣ୍ଣ ଇଲେକ୍ଟ୍ରୋନେଗେଟିଭିଟି |
Absolute pitch,ସଂପୂର୍ଣ୍ଣ ମାଧ୍ୟାକର୍ଷଣ |
Absolute pressure = true pressure,ସଂପୂର୍ଣ୍ଣ ଚାପ |
Absolute property,ସଂପୂର୍ଣ୍ଣ ସମ୍ପତ୍ତି |
Absolute scalar,ସଂପୂର୍ଣ୍ଣ ସ୍କାଲାର୍ |
Absolute scale of temperature,ତାପମାତ୍ରାର ଚରମ ମାପ *
Absolute simultancity,"ସଂପୂର୍ଣ୍ଣ ସିଙ୍କ୍ରୋନି, ସଂପୂର୍ଣ୍ଣ ସିଙ୍କ୍ରୋନି |"
Absolute stress,ସଂପୂର୍ଣ୍ଣ ଚାପ |
Absolute symmetry,ସଂପୂର୍ଣ୍ଣ ସମୃଦ୍ଧତା |
Absolute system of motion,ସଂପୂର୍ଣ୍ଣ ଗତି ଶରୀର |
Absolute system of units,ସଂପୂର୍ଣ୍ଣ ୟୁନିଟ୍ ସିଷ୍ଟମ୍ |
Absolute temperature,ସଂପୂର୍ଣ୍ଣ ତାପମାତ୍ରା |
Absolute time,ସଂପୂର୍ଣ୍ଣ ସମୟ |
Absolute unit,ସଂପୂର୍ଣ୍ଣ ଏକକ |
Absolute value,ସଂପୂର୍ଣ୍ଣ ମୂଲ୍ୟ
Absolute value computer,ପୂର୍ଣ୍ଣ କାଲକୁଲେଟର
Absolute velocity,ସଂପୂର୍ଣ୍ଣ ବେଗ
Absolute viscosity,ସଂପୂର୍ଣ୍ଣ ସାନ୍ଦ୍ରତା |
Absolute weight,ସଂପୂର୍ଣ୍ଣ ଓଜନ |
Absolute zero,ସଂପୂର୍ଣ୍ଣ ଶୂନ *
Absolute zero devisor,ଶୂନ୍ୟର ସଂପୂର୍ଣ୍ଣ ବିଭାଜନକାରୀ |
Absorb,ଶୋଷଣ
Absorbance,ଅବସାଦ ସୂଚକାଙ୍କ *
Absorbed energy,ଶୋଷିତ ଶକ୍ତି
Absorber,"ଶୋଷକ, ଶୋଷକ"
Absorbing medium,ଅବଶୋଷକ ମାଧ୍ୟମ *
Absorbing power,ଅବଶୋଷଣ କ୍ଷମତା |
Absorptance,ଅବସାଦ |
Absorptiometer,ଶୋଷଣକାରୀ *
Absorptiometry,ଶୋଷଣକାରୀ *
Absorption,ଅବଶୋଷଣ
Absorption band,ଅବଶୋଷଣ - ବ୍ୟାଣ୍ଡ *
Absorption circuit,ଅବଶୋଷଣ ସର୍କିଟ |
Absorption coeffieient,ଶୋଷଣ ଗୁଣବତ୍ତା
Absorption column,ଅବଶୋଷଣ ସ୍ତମ୍ଭ
Absorption constant,ଅବଶୋଷଣ ସ୍ଥିର |
Absorption continua,ଅବଶୋଷଣ କ୍ରମାଗତ |
Absorption cross section,ଅବଶୋଷଣ ଜୋନ୍ |
Absorption current,ଅବଶୋଷଣ କରେଣ୍ଟ |
Absorption curve (=transmission curve),ଅବଶୋଷଣ ବକ୍ର *
Absorption discontinuity,ଅବଶୋଷଣ ଭଙ୍ଗା |
Absorption edge,ଅବଶୋଷଣ କୋର୍ |
Absorption factor,ଅବଶୋଷଣ କାରକ |
Absorption filter,ଅବଶୋଷଣ ଫିଲ୍ଟର୍ |
Absorption flame photometry,ଅବଶୋଷଣ ଫ୍ଲେମ୍ ଫୋଟୋମେଟ୍ରି *
Absorption hygrometer,ଅବଶୋଷଣ ହାଇଗ୍ରୋମିଟର |
Absorption index,ଅବଶୋଷଣ ପ୍ରଦର୍ଶକ |
Absorption limit,ଶୋଷଣ ମାର୍ଜିନ
Absorption line,ଅବଶୋଷଣ ରେଖା |
Absorption loss,ଅବଶୋଷଣ କ୍ଷତି |
Absorption modulation=loss modulation,ଅବଶୋଷଣ ମଡ୍ୟୁଲେସନ୍ |
Absorption of light,ହାଲୁକା ଅବଶୋଷଣ |
Absorption of radiant energy,ବିକିରଣ ଶକ୍ତିର ଅବଶୋଷଣ |
Absorption peak,ଅବଶୋଷଣ ଶିଖର |
Absorption photometry,ଅବଶୋଷଣ ଫୋଟୋମେଟ୍ରି |
Absorption ratio,ଅବଶୋଷଣ ଅନୁପାତ |
Absorption series,ଅବଶୋଷଣ ପରିସର *
Absorption spectro photometry,ଅବଶୋଷଣ ସ୍ପେକ୍ଟ୍ରମ୍ ଫୋଟୋମେଟ୍ରି *
Absorption spectrum,ଅବଶୋଷଣ ସ୍ପେକ୍ଟ୍ରମ *
Absorption tube,"ଅବଶୋଷଣ ଟ୍ୟୁବ୍, ଅବଶୋଷଣ ଟ୍ୟୁବ୍ |"
Absorption vavemeter,ଅବଶୋଷଣ ହାଇଗ୍ରୋମିଟର |
Absorptive,ଶୋଷଣକାରୀ *
Absorptive attenuator,ଶୋଷକ ବାଷ୍ପୀକରଣକାରୀ |
Absorptive law,ଅବଶୋଷଣ ନିୟମ *
Absorptive medium,ଅବଶୋଷଣ ମାଧ୍ୟମ |
Absorptive power,"ଅବଶୋଷଣ କ୍ଷମତା, ଅବଶୋଷଣ *"
Absorptivity,ଅବସାଦ *
Abstract set=studio decoration,ଷ୍ଟୁଡିଓ ସାଜସଜ୍ଜା |
Abundance ratio,ବହୁଗୁଣ ଅନୁପାତ |
Abvolt,abvolt
Abwatt,ବିଷୟରେ
Accelerate,ତ୍ୱରାନ୍ୱିତ କର |
Accelerate-stop distance,ତ୍ୱରଣ-ସ୍ଥଗିତ ଦୂରତା |
Accelerated,ଶୀଘ୍ର ଶୀଘ୍ର
Accelerated ageing test,ଶୀଘ୍ର ସମୟ ପ୍ରଭାବ ପରୀକ୍ଷା |
Accelerated flow,ଶୀଘ୍ର ପ୍ରବାହ
Accelerated motion,ଦ୍ରୁତ ଗତି
Accelerated system,ଶୀଘ୍ର ଶରୀର
Accelerating balance,ତ୍ୱରଣକାରୀ ଓଜନ
Accelerating electrode,ତ୍ୱରକ ଇଲେକ୍ଟ୍ରୋଡ୍ *
Accelerating period,ତ୍ୱରକ ସମୟ *
Accelerating phase,ତ୍ୱରକ ପର୍ଯ୍ୟାୟ |
Accelerating rate,ତ୍ୱରଣକାରୀ ହାର
Accelerating voltage,ତ୍ୱରକ ଭୋଲଟେଜ୍ *
Acceleration,ତ୍ୱରଣ
Acceleration blowout=rich extinction=flame out,ତ୍ୱରିତ ଜାଳେଣି |
Acceleration coefficient,ତ୍ୱରଣ ଗୁଣବତ୍ତା
Acceleration component,ତ୍ୱରଣ ଉପାଦାନ
Acceleration due to gravity,ମାଧ୍ୟାକର୍ଷଣ ହେତୁ ତ୍ୱରଣ |
Acceleration factor,ତ୍ୱରଣ କାରକ
Acceleration feedback,ତ୍ୱରିତ ଚାର୍ଜ |
Acceleration of gravity,ମାଧ୍ୟାକର୍ଷଣର ତ୍ୱରଣ
Acceleration potential,ତ୍ୱରଣ ସମ୍ଭାବନା |
Acceleration principle,ତ୍ୱରଣ ନିୟମ
Acceleration process,ତ୍ୱରଣ ପ୍ରକ୍ରିୟା
Acceleration space,ତ୍ୱରଣ କ୍ଷେତ୍ର
Acceleration technique,ତ୍ୱରଣ ପଦ୍ଧତି
Acceleration tolerance,"ତ୍ୱରଣ ସହନଶୀଳତା, ତ୍ୱରଣ ସହନଶୀଳତା |"
Acceleration vector,ତ୍ୱରଣ ଭେକ୍ଟର
Acceleration voltage,ତ୍ୱରଣ-ଭୋଲଟେଜ୍
Acceleration wave,ତ୍ୱରଣ ତରଙ୍ଗ
Accelerative,ତ୍ୱରକ
Accelerator,"ତ୍ୱରାନ୍ୱିତ, ତ୍ୱରକ *"
Accelerator equation,ତ୍ୱରକ ସମୀକରଣ |
Accelerograph,ତ୍ୱରକ *
Accelerometer,ଆକ୍ସିଲେରୋମିଟର
Accelerometer matching,ଆକ୍ସିଲେରୋମିଟର ମେଳ |
Accentuator,ସମ୍ମାନ
Acceptable character,ବ valid ଧ ବର୍ଣ୍ଣଗୁଡିକ |
Acceptance angle,ଗ୍ରହଣ କୋଣ
Acceptance specifications,ଗ୍ରହଣ ନିର୍ଦ୍ଦିଷ୍ଟକରଣ |
Acceptance test,ଗ୍ରହଣୀୟ ପରୀକ୍ଷା
Acceptor,"ଗ୍ରହଣକାରୀ *, ଗ୍ରହଣକାରୀ"
Acceptor atom,ରିସେପ୍ଟର ପରମାଣୁ |
Acceptor bond,ରିସେପ୍ଟର ବଣ୍ଡ |
Acceptor circuit,ରିସିଭର୍ ସର୍କିଟ୍ |
Acceptor level,ରିସେପ୍ଟର ସ୍ତର
Acceptor molecule,ଦାତା ଅଣୁ
Acceptor property,ରିସେପ୍ଟର ସମ୍ପତ୍ତି |
Acceptor property level,ରିସେପ୍ଟର ସମ୍ପତ୍ତି ସ୍ତର |
Accererating tube,ତ୍ୱରକ ହୋସ୍ |
Access,"ପ୍ରବେଶ, ଅପେକ୍ଷା, ପ୍ରବେଶ"
Access arm,ଭୁଜ୍ ପ୍ରବେଶ କରନ୍ତୁ |
Access mechanism,ଆକ୍ସେସ୍ ସିଷ୍ଟମ୍ |
Access time,ପ୍ରବେଶ ସମୟ
Accessibility,ଅଭିଗମ୍ୟତା
Accessory,"ଅତିରିକ୍ତ, ସହାୟକ, ଆନୁଷଙ୍ଗିକ (v, ), ଆନୁଷଙ୍ଗିକ |"
Accessory condition,ଅତିରିକ୍ତ ପ୍ରତିବନ୍ଧକ |
Accidental coincidence,ସୁଯୋଗ ସମକକ୍ଷ |
Accidental correction,ଆକସ୍ମିକ ସଂଶୋଧନ |
Accidental degeneracy,ଆକସ୍ମିକ ବାୟୋଜେନେସିସ୍ |
Accidental double refraction,ଆକସ୍ମିକ ବିଭ୍ରାଟ |
Accidental error,ପରିଦର୍ଶକ ତ୍ରୁଟି |
Accidental jamming,"ହଠାତ୍ ବନ୍ଦ, ଆକସ୍ମିକ ବନ୍ଦ |"
Accidental transmission,ଆକସ୍ମିକ ସଂକ୍ରମଣ
Accidental variation,ଅନିୟମିତ ଭିନ୍ନତା |
Accommodation,ଆଡଜଷ୍ଟମେଣ୍ଟ୍
Accumbent,ସ୍ଥିତ
Accumulated error,ସଂଗୃହିତ ତ୍ରୁଟି |
Accumulation,"ଜମା, ଜମା"
Accumulation of energy,ଶକ୍ତି ସଂରକ୍ଷଣ
Accumulator,ଜମାକାରୀ *
Accuracy,ସଠିକତା
Accurate,ବାସ୍ତବତା
Accurate instrumental observation,ପ୍ରକୃତ ଯନ୍ତ୍ରର ପର୍ଯ୍ୟବେକ୍ଷଣ |
Accurate range marker,ସଠିକ୍ ପରିସର ମାର୍କର |
Accurate scanning,ସଠିକତା ସ୍କାନିଂ |
Accustomisation,ଅଭ୍ୟାସ କର |
Acdelerating chamber,ତ୍ୱରକ କକ୍ଷ *
Achromat,ଆକ୍ରୋମାଟିକ୍ ଲେନ୍ସ *
Achromatic,ଆକ୍ରୋମାଟିକ୍ *
Achromatic analyser,ଆକ୍ରୋମାଟିକ୍ ଆନାଲିଜର୍ |
Achromatic antenna,ଫ୍ରିକ୍ୱେନ୍ସି ନିରପେକ୍ଷ ଆଣ୍ଟେନା |
Achromatic figure,ଆକ୍ରୋମାଟିକ୍ ଆକୃତି |
Achromatic fringe,ଆକ୍ରୋମାଟିକ୍ ଫ୍ରିଙ୍ଗ୍ |
Achromatic lens,ଆକ୍ରୋମାଟିକ୍ ଲେନ୍ସ *
Achromatic locus,ଆକ୍ରୋମାଟିକ୍ ପଏଣ୍ଟ ପଥ |
Achromatic object lens,ଆକ୍ରୋମାଟିକ୍ ଲେନ୍ସ |
Achromatic prism,ଆକ୍ରୋମାଟିକ୍ ପ୍ରିଜିମ୍ |
Achromatic telescope,ଆକ୍ରୋମାଟିକ୍ ଟେଲିସ୍କୋପ୍ |
Achromaticity,ଆକ୍ରୋମାଟିଟି *
Achromatisation,ଆକ୍ରୋମାଟାଇଜେସନ୍ *
Achromatism,ଆକ୍ରୋମାଟିଟି *
Aclastic,"ଇଲାଷ୍ଟିକ୍, ଅପ୍ରାକୃତିକ, ଚିତ୍ତାକର୍ଷକ |"
Acorn tube,"ଆକୋରନ୍ ହୋସ୍, ବାଞ୍ଜୁ ହୋସ୍ |"
Acorn valve,କ୍ଷୁଦ୍ର ଭଲଭ୍ |
Acouphony,ଇକୋଫୋନି |
Acoustic,ଶବ୍ଦ
Acoustic absorptivity,ଆକାଶବାଣୀ ଅବଶୋଷଣ |
Acoustic attenuation coeffcient,ଆକାଶବାଣୀ ଆଟେଣ୍ଡେସନ୍ କୋଏଫିସିଏଣ୍ଟ୍ |
Acoustic attenuation constant,ଆକାଶବାଣୀ
Acoustic burglar alarm,ଶବ୍ଦ ଚୋର ଆଲାର୍ମ |
Acoustic capacitance,ଆକାଶବାଣୀ କ୍ଷମତା |
Acoustic centre,ଶ୍ରବଣ କେନ୍ଦ୍ର
Acoustic clarifier,ଆକାଶବାଣୀ ବ୍ୟାଖ୍ୟା
Acoustic cloud,ଶବ୍ଦ କଭର |
Acoustic compliance,ଆକାଶବାଣୀ ପ୍ରତିକ୍ରିୟା |
Acoustic component,ଆକାଶବାଣୀ ଉପାଦାନ |
Acoustic conductivity,ଆକାଶବାଣୀ
Acoustic damping,ଆକାଶବାଣୀ ଡମ୍ପିଂ |
Acoustic dispersion,ଆକାଶବାଣୀ ବିଚ୍ଛେଦ |
Acoustic dissipation element,ସାଉଣ୍ଡ ହ୍ୟାକର୍ |
Acoustic energy,ଶବ୍ଦ ଶକ୍ତି *
Acoustic energy equation,ଶବ୍ଦ ଶକ୍ତି ସମୀକରଣ |
Acoustic equation,ଆକାଶବାଣୀ ସମୀକରଣ |
Acoustic feedback,ଶବ୍ଦ ପୁନ st ସ୍ଥାପନ |
Acoustic figures (Chladni figures),କ୍ଲାଡନି ଆକୃତି |
Acoustic filter,ଶବ୍ଦ ଫିଲ୍ଟର୍ |
Acoustic generator,ଶବ୍ଦ ଜେନେରେଟର
Acoustic grating,ଆକାଶବାଣୀ
Acoustic impedance,ଶବ୍ଦଗତ ପ୍ରତିରୋଧ *
Acoustic inertance,ଶବ୍ଦଗତ ନିଷ୍କ୍ରିୟତା |
Acoustic intensity,ଶବ୍ଦ ତୀବ୍ରତା |
Acoustic interferometer,ଆକାଶବାଣୀ ବାଧା ମିଟର |
Acoustic intrusion detector,ଆକାଶବାଣୀ ବାଧା ଚିହ୍ନଟକାରୀ |
Acoustic lens,ଶବ୍ଦ ଲେନ୍ସ |
Acoustic line,ଧ୍ୱନି ରେଖା |
Acoustic mass,ଆକାଶବାଣୀ
Acoustic material,ଶବ୍ଦ ପଦାର୍ଥ |
Acoustic mean free path,ଶବ୍ଦର ଅର୍ଥ ହେଉଛି ମୁକ୍ତ ପଥ |
Acoustic mode,ଆକାଶବାଣୀ ମୋଡ୍ |
Acoustic noise,ଶବ୍ଦ ଶବ୍ଦ
Acoustic ohm,ଆକାଶବାଣୀ ଓମ୍ *
Acoustic panel,"ଆକାଶବାଣୀ ପ୍ୟାନେଲ୍, ଆକାଶବାଣୀ ବୋର୍ଡ |"
Acoustic phase constant,ଶବ୍ଦ ଚରଣ ସ୍ଥିର |
Acoustic pickup (sound box),ଆକାଶବାଣୀ
Acoustic pressure,ଶବ୍ଦ ଚାପ
Acoustic principle of similarity,ଶବ୍ଦର ସମୃଦ୍ଧ ନିୟମ |
Acoustic propagation constant,ଶବ୍ଦ ସଂକ୍ରମଣ
Acoustic property,ଶବ୍ଦ ଗୁଣ
Acoustic quardrupole,ଆକାଶବାଣୀ ଚତୁର୍ଭୁଜ |
Acoustic radiating element,ଆକାଶବାଣୀ ବିକିରଣ ଉପାଦାନ |
Acoustic radiation,ଆକାଶବାଣୀ ବିକିରଣ |
Acoustic radiator,ସାଉଣ୍ଡ ପ୍ରୁଫ୍ |
Acoustic radiometer,ଆକାଶବାଣୀ ରେଡିଓମିଟର |
Acoustic reactance,ଆକାଶବାଣୀ ପ୍ରତିକ୍ରିୟା |
Acoustic reciprocity theorem,ଆକାଶବାଣୀ ପ୍ରତିକ୍ରିୟା ଥିଓରେମ୍ |
Acoustic reduction factor,ଶବ୍ଦ ହ୍ରାସ କାରକ |
Acoustic reflection coefficient,ଆକାଶବାଣୀ ପ୍ରତିଫଳନ କୋଏଫିସିଏଣ୍ଟ୍ |
Acoustic refraction,ଆକାଶବାଣୀ ପ୍ରତିଫଳନ |
Acoustic resistance,ଆକାଶବାଣୀ ପ୍ରତିରୋଧ |
Acoustic responsiveness,ଆକାଶବାଣୀ ପ୍ରତିକ୍ରିୟା |
Acoustic scattering,ଆକାଶବାଣୀ ବିଛାଇବା |
Acoustic spot,ଶ୍ରବଣ ବିନ୍ଦୁ |
Acoustic stiffiness,ଶବ୍ଦର ଦୃ id ତା |
Acoustic system,ଶବ୍ଦ ପ୍ରଣାଳୀ |
Acoustic thermometer,ଆକାଶବାଣୀ ଥର୍ମୋମିଟର |
Acoustic velocity,ଆକାଶବିକ ବେଗ |
Acoustic wave,ଶବ୍ଦ ତରଙ୍ଗ
Acoustical,ଶବ୍ଦ
Acoustical absorption co-efficient,ଶବ୍ଦ ଅବଶୋଷଣ କୋଏଫିସିଏଣ୍ଟ୍ |
Acoustical absorption factor,ଶବ୍ଦ ଅବଶୋଷଣ ଉପାଦାନ |
Acoustical circuit,ଆକାଶବାଣୀ ସର୍କିଟ |
Acoustical compliance,ଆକାଶବାଣୀ ପ୍ରତିକ୍ରିୟା |
Acoustical delay line,ଶବ୍ଦ ବିଳମ୍ବ ରେଖା |
Acoustical distortion,ଶବ୍ଦ ବିକୃତି |
Acoustical energetics,ଆକାଶବାଣୀ ଆକାଶବାଣୀ |
Acoustical filter,ଶବ୍ଦ ଫିଲ୍ଟର୍ |
Acoustical impedance (=acoustic impedance),ଶବ୍ଦଗତ ପ୍ରତିରୋଧ *
Acoustical labyrinth,ଫୋନୋଗ୍ରାଫ୍
Acoustical ohm,ଆକାଶବାଣୀ ଓମ୍ *
Acoustical phase constant,ଶବ୍ଦ ସ୍ଥିର |
Acoustical phonan,ଆକାଶବାଣୀ ଫୋନନ୍ |
Acoustical propagation constant (=propagation constant),ଆକାଶବାଣୀ ସଂକ୍ରମଣ ସ୍ଥିର |
Acoustical reduction factor,ଶବ୍ଦ ରୂପାନ୍ତର କୋଏଫିସିଏଣ୍ଟ୍ |
Acoustical resistance,ଆକାଶବାଣୀ ପ୍ରତିରୋଧ |
Acoustical stiffness,ଶବ୍ଦର ଦୃ id ତା |
Acoustical unit,ଧ୍ୱନି ଏକକ |
Acoustically insulated,ସାଉଣ୍ଡ ପ୍ରୁଫ୍ |
Acoustico-lateral line,ଆକାଶବାଣୀ ପାର୍ଶ୍ୱ ରେଖା |
Acoustics,"ଆକାଶବାଣୀ, ଆକାଶବାଣୀ |"
Acoustimeter,ଧ୍ୱନି ମିଟର |
Acoustomotive pressure=sound pressure,ଶବ୍ଦ ଚାପ
Acquisition radar,ଅଧିଗ୍ରହଣ ରାଡାର |
Actinic ray,ଫଟୋସନ୍ଥେଟିକ୍ ବିକିରଣ |
Actinium emnation,ଆକ୍ଟିନିୟମ୍ ନିର୍ଗମନ |
Actino-uranium,ଆକ୍ଟିନୋ-ୟୁରାନିୟମ୍ |
Actino-uranium series,ଆକ୍ଟିନୋ-ୟୁରାନିୟମ୍ ସିରିଜ୍ |
Actinoelectricity,ରେଡିଓଲେକ୍ଟ୍ରିକ୍ |
Actinometer,"ଆକ୍ଟିନୋମିଟର, ଫୋଟୋମିକ୍ରୋମିଟର |"
Action,"କାର୍ଯ୍ୟ, କାର୍ଯ୍ୟ"
Action and reaction,କାର୍ଯ୍ୟ ଏବଂ ପ୍ରତିକ୍ରିୟା
Action constant,କାର୍ଯ୍ୟ ସ୍ଥିର |
Action radium (=effective area),ପ୍ରଭାବ କ୍ଷେତ୍ର
Activated,"ସକ୍ରିୟ, ସକ୍ରିୟ"
Activated diffusion,ସକ୍ରିୟ ବିସ୍ତାର
Activated filament,"ସକ୍ରିୟ ଫାଇବର, ସକ୍ରିୟ ଫାଇବର |"
Activating effect,ସକ୍ରିୟ ପ୍ରଭାବ
Activation,ସକ୍ରିୟ ପ୍ରଭାବ
Activation analysis,ସକ୍ରିୟ ବିଶ୍ଳେଷଣ |
Activation centre,କାର୍ଯ୍ୟକଳାପ କେନ୍ଦ୍ର
Activation cross-section,ସକ୍ରିୟ ପରୀକ୍ଷଣକାରୀ |
Activation energy,ସକ୍ରିୟ ଶକ୍ତି
Activation entropy,ଆକ୍ଟିଭେସନ୍ ଏଣ୍ଟ୍ରପି |
