Marathi,Punjabi
"एकत्र करणे, एकत्र करणे","ਇਕੱਠਾ ਕਰਨਾ, ਇਕੱਠਾ ਕਰਨਾ"
"एकत्र करणे, एकत्र करणे, एकत्र करणे","ਇਕੱਠਾ ਕਰਨਾ, ਇਕੱਠਾ ਕਰਨਾ, ਇਕੱਠਾ ਕਰਨਾ"
अचूक अंदाज,ਸ਼ੁੱਧਤਾ ਅਨੁਮਾਨ
निर्दिष्ट (क्वांटम संख्यांची) वैशिष्ट्ये,ਨਿਰਧਾਰਿਤ (ਕੁਆਂਟਮ ਸੰਖਿਆਵਾਂ ਦੀ) ਵਿਸ਼ੇਸ਼ਤਾਵਾਂ
"संबंधित, सहयोगी, संयुग्मित","ਸੰਬੰਧਿਤ, ਸਹਿਯੋਗੀ, ਸੰਯੁਕਤ"
स्वराचा उच्चार,ਸਵਰ ਆਵਾਜ਼
स्वयंचलित मल्टीव्हायब्रेटर,ਆਟੋਮੈਟਿਕ ਮਲਟੀਵਾਈਬ੍ਰੇਟਰ
अस्थेनिक,ਅਸਥਨਿਕ
"संयम, दृष्टिवैषम्य","ਪਰਹੇਜ਼, ਅਜੀਬਤਾ"
अंतराळ प्रवास इलेक्ट्रॉनिक्स,ਪੁਲਾੜ ਯਾਤਰਾ ਇਲੈਕਟ੍ਰੋਨਿਕਸ
खगोल भौतिकशास्त्र,ਖਗੋਲ ਭੌਤਿਕ ਵਿਗਿਆਨ
अंतराळवीर,ਪੁਲਾੜ ਯਾਤਰੀ
खगोलशास्त्रज्ञ,ਖਗੋਲ ਵਿਗਿਆਨੀ
आकाशीय,ਆਕਾਸ਼ੀ
खगोलशास्त्र,ਖਗੋਲ ਵਿਗਿਆਨ
खगोल भौतिकशास्त्र,ਖਗੋਲ ਭੌਤਿਕ ਵਿਗਿਆਨ
असममित,ਅਸਮਿਤ
लक्षणे नसलेला,asymptotic
त्रासदायक,ਪਰੇਸ਼ਾਨ ਕਰਨ ਵਾਲਾ
असिंक्रोनस,ਅਸਿੰਕ੍ਰੋਨਸ
"वातावरण, वातावरण","ਮਾਹੌਲ, ਮਾਹੌਲ"
वातावरणीय,ਵਾਯੂਮੰਡਲ
वारा अशांतता,ਹਵਾ ਦੀ ਗੜਬੜ
आण्विक,ਪ੍ਰਮਾਣੂ
अणू,ਪਰਮਾਣੂ
आण्विकता,ਪਰਮਾਣੂ
आण्विक वस्तुमान,ਪ੍ਰਮਾਣੂ ਪੁੰਜ
अणुक्रमांक,ਪਰਮਾਣੂ ਨੰਬਰ
"आण्विक अणुभट्टी, आण्विक ढीग","ਪ੍ਰਮਾਣੂ ਰਿਐਕਟਰ, ਪ੍ਰਮਾਣੂ ਢੇਰ"
अणू,ਪਰਮਾਣੂ
कण,ਕਣ
कण,ਕਣ
"क्षीणता, क्षीणता",ਧਿਆਨ
"कमी करणे, कमी करणे","ਘਟਾਓਣਾ, ਘੱਟ ਕਰਨਾ"
मोहिनी,ਸੁਹਜ
आकर्षण शक्ती,ਖਿੱਚ ਦੀ ਤਾਕਤ
ऐकण्याची क्षमता,ਸੁਣਨਯੋਗਤਾ
ऑडिओ वारंवारता अॅम्प्लिफायर,ਆਡੀਓ ਬਾਰੰਬਾਰਤਾ ਐਂਪਲੀਫਾਇਰ
ऐकण्यायोग्य,ਸੁਣਨਯੋਗ
ऑडिओ जनरेटर,ਆਡੀਓ ਜਨਰੇਟਰ
श्रवणक्षमता आलेख,ਸੁਣਨਯੋਗਤਾ ਗ੍ਰਾਫ
श्रवण विज्ञान,ਸੁਣਨ ਵਿਗਿਆਨ
ऑडिओमीटर,ਆਡੀਓਮੀਟਰ
ऐकण्यायोग्य वारंवारता ऑसिलेटर,ਸੁਣਨਯੋਗ ਬਾਰੰਬਾਰਤਾ ਔਸਿਲੇਟਰ
ध्वनी सिग्नल,ਧੁਨੀ ਸੰਕੇਤ
दृकश्राव्य,ਆਡੀਓ-ਵਿਜ਼ੂਅਲ
"सभागृह, सभागृह","ਆਡੀਟੋਰੀਅਮ, ਆਡੀਟੋਰੀਅਮ"
ओझेड प्रभाव,OZ ਪ੍ਰਭਾਵ
जाहिरात,ਤਰੱਕੀ
वर्धक,ਵਧਾਉਣ ਵਾਲਾ
ध्रुवीय ज्योत,ਧਰੁਵੀ ਲਾਟ
दक्षिण ध्रुवीय ज्वाला,ਦੱਖਣੀ ਧਰੁਵੀ ਲਾਟ
उत्तर ध्रुवीय ज्योत,ਉੱਤਰੀ ਧਰੁਵੀ ਲਾਟ
स्वयंचलित सूचना,ਆਟੋਮੈਟਿਕ ਚੇਤਾਵਨੀ
स्वयं समांतर,ਆਟੋ ਸਮਾਨੰਤਰ
"स्वयंचलित, स्वयंचलित, स्वयंचलित","ਆਟੋਮੈਟਿਕ, ਆਟੋਮੈਟਿਕ, ਆਟੋਮੈਟਿਕ"
"ऑटोमेशन, ऑटोमेशन","ਆਟੋਮੇਸ਼ਨ, ਆਟੋਮੇਸ਼ਨ"
"सहाय्यक, सहकारी, अतिरिक्त","ਸਹਾਇਕ, ਸਹਿਕਾਰੀ, ਵਾਧੂ"
"आडवा, हिमस्खलन","ਅਵਦਾਵਾ, ਅਵਦਾਵਾ"
"अर्थ, क्षुद्र","ਮਤਲਬ, ਮਤਲਬ"
परिवार,ਪਰਿਵਾਰ
अक्षीय,ਧੁਰੀ
अक्ष,ਧੁਰਾ
दिगंश,ਅਜ਼ੀਮਥ
दिगंश,ਅਜ਼ੀਮਥ
परत,ਵਾਪਸ
"पार्श्वभूमी, पार्श्वभूमी","ਪਿਛੋਕੜ, ਪਿਛੋਕੜ"
"मागासलेला, मागासलेला","ਪਿਛਾਂਹ, ਪਿਛੇ"
टर्नअराउंड,ਵਾਪਸ ਭੇਜਣ ਦਾ ਸਮਾਂ
बॅक व्होल्टेज पल्सर,ਵਾਪਸ ਵੋਲਟੇਜ ਪਲਸਰ
पोस्ट-रिलेशनशिप,ਪੋਸਟ-ਰਿਸ਼ਤਾ
प्रतिपूर्ती,ਅਦਾਇਗੀ
अँटी व्होल्टेज,ਵਿਰੋਧੀ ਵੋਲਟੇਜ
पोस्टरियर स्कॅटरिंग,ਪਿਛਲਾ ਖਿੰਡਾ
इंटरस्टिशियल लाट,ਵਿਚਕਾਰਲੀ ਲਹਿਰ
इन्सुलेटर,ਇੰਸੂਲੇਟਰ
हवाई छत्री वापरून घेतलेली उडी,ਪੈਰਾਸ਼ੂਟ ਛਾਲ
गरम करणे,ਹੀਟਿੰਗ
"शिल्लक, शिल्लक, शिल्लक, शिल्लक, शिल्लक, शिल्लक, शिल्लक","ਸੰਤੁਲਨ, ਸੰਤੁਲਨ, ਸੰਤੁਲਨ, ਸੰਤੁਲਨ, ਸੰਤੁਲਨ, ਸੰਤੁਲਨ, ਸੰਤੁਲਨ"
बॅलन्सर,ਸੰਤੁਲਨ
शिल्लक,ਸੰਤੁਲਨ
गोलाकार,ਗਲੋਬਿਊਲ
"बॅलिस्टिक, बॅलिस्टिक","ਬੈਲਿਸਟਿਕ, ਬੈਲਿਸਟਿਕ"
"प्रोजेक्शन गॅल्व्हानोमीटर, प्रोजेक्शन गॅल्व्हानोमीटर","ਪ੍ਰੋਜੈਕਸ਼ਨ ਗੈਲਵੈਨੋਮੀਟਰ, ਪ੍ਰੋਜੈਕਸ਼ਨ ਗੈਲਵੈਨੋਮੀਟਰ"
क्षेपणास्त्र,ਮਿਜ਼ਾਈਲ
"बॅलिस्टिक्स, शस्त्रे","ਬੈਲਿਸਟਿਕਸ, ਹਥਿਆਰ"
प्रक्षेपण,ਪ੍ਰੋਜੈਕਸ਼ਨ
मुक्त मार्ग,ਮੁਫਤ ਟ੍ਰੈਜੈਕਟਰੀ
"फुगा, फुगा","ਗੁਬਾਰਾ, ਗੁਬਾਰਾ"
balmer खंडितता,balmer ਬੰਦ
"बँड, बँड, बँड","ਬੈਂਡ, ਬੈਂਡ, ਬੈਂਡ"
स्फोट,ਧਮਾਕਾ
"अॅरे, बीम, किनारा, किनारा, किनारा","ਐਰੇ, ਬੀਮ, ਕਿਨਾਰੇ, ਬੈਂਕ, ਤੱਟ"
"स्तंभ, बार, कोब, ब्लॉक, बार, रॉड, बार, 8. भिंत, 9. रेखा, 10. किनारा, 1 ब्लॉक, 1, बार, 1, रेखा, 1, चाचणी रेखा","ਕਾਲਮ, ਬਾਰ, ਕੋਬ, ਬਲਾਕ, ਬਾਰ, ਰਾਡ, ਬਾਰ, 8. ਕੰਧ, 9. ਲਾਈਨ, 10. ਕਿਨਾਰਾ, 1 ਬਲਾਕ, 1, ਬਾਰ, 1, ਲਾਈਨ, 1, ਟੈਸਟ ਲਾਈਨ"
bardeen तत्त्व,bardeen ਅਸੂਲ
barkhausen प्रभाव,barkhausen ਪ੍ਰਭਾਵ
बारलो सायकल,ਬਾਰਲੋ ਚੱਕਰ
बार चुंबक,ਪੱਟੀ ਚੁੰਬਕ
धान्याचे कोठार,ਕੋਠੇ
हवेचा दाब आलेख,ਹਵਾ ਦਾ ਦਬਾਅ ਗ੍ਰਾਫ
"बॅरोग्राफ, बॅरोग्राफ","barograph, barograph"
बॅरोमीटर,ਬੈਰੋਮੀਟਰ
वातावरणाचा दाब,ਵਾਯੂਮੰਡਲ ਦਾ ਦਬਾਅ
"कॉसमॉस, बॅरोमोस्फियर","cosmos, baromosphere"
पेंडुलम पेंडुलम,ਪੈਂਡੂਲਮ ਪੈਂਡੂਲਮ
"अडथळा, आण्विक, आण्विक अडथळा","ਰੁਕਾਵਟ, ਪ੍ਰਮਾਣੂ ਰੁਕਾਵਟ, ਪ੍ਰਮਾਣੂ ਰੁਕਾਵਟ"
अडथळा पातळी,ਰੁਕਾਵਟ ਦਾ ਪੱਧਰ
बेरियन,ਬੈਰੀਅਨ
गुरुमंडळ,ਗੁਰੂਮੰਡਲ
बेस बँड,ਅਧਾਰ ਬੈਂਡ
"मूलभूत, मूलभूत, अल्कधर्मी","ਬੁਨਿਆਦੀ, ਬੁਨਿਆਦੀ, ਖਾਰੀ"
पाया,ਅਧਾਰ
"गणना, संघ निर्मिती","ਗਣਨਾ, ਟੀਮ ਦਾ ਗਠਨ"
"टाकी, टाकी, हीटर, गरम करण्याचे भांडे, आंघोळ","ਟੋਆ, ਟੋਆ, ਹੀਟਰ, ਗਰਮ ਕਰਨ ਵਾਲਾ ਘੜਾ, ਇਸ਼ਨਾਨ"
बॅटरी,ਬੈਟਰੀ
"अॅरे सेगमेंट, चेंबर, बे","ਐਰੇ ਖੰਡ, ਚੈਂਬਰ, ਬੇ"
प्रदर्शन,ਪ੍ਰਦਰਸ਼ਨੀ
किबान,ਕਿਬਾਨ
"माणिका, बीड","ਮਨਿਕਾ, ਬੀਡ"
"तुळई, तुळई, तुळई, ट्रम्प","ਬੀਮ, ਬੀਮ, ਬੀਮ, ਟਰੰਪ"
