Telugu,English
క్షమాపణ,Apology
అప్పీల్,Appeal
స్వరూపం,Appearance
సంతృప్తి,Appeasement
అప్పీలేట్ ట్రిబ్యునల్,Appellate tribunal
అపెండిక్స్,Appendix
ఉపకరణం,Appliance
వర్తిస్తుంది,Applicable
దరఖాస్తుదారు,Applicant
అప్లికేషన్,Application
దరఖాస్తు ఫారం,Application form
అనువర్తిత,Applied
వర్తించండి,Apply
నియామకం,Appointee
నియమించే అధికారాన్ని,Appointing authority
నియామకం,Appointment
నియామక పత్రం,Appointment letter
నియామకాల కమిటీ క్యాబినెట్,Appointments Committee of the Cabinet
వేతనాల విభజన,Apportionment of wages
అంచనా,Appraisal
మదింపుదారు,Appraiser
ప్రశంసతో,Appreciation
దిగులు,Apprehension
అప్రెంటిస్,Apprentice
విధానం,Approach
తగినది,Appropriate
తగిన చర్య,Appropriate action
తగిన తల,Appropriate head
కేటాయింపు,Appropriation
ఆమోదం,Approval
సుమారు,Approximate
ఆప్టిట్యూడ్ పరీక్ష,Aptitude test
ఏకపక్ష,Arbitrary
మధ్యవర్తిత్వం,Arbitrate
మధ్యవర్తిత్వ,Arbitration
మధ్యవర్తిత్వ ట్రిబ్యునల్,Arbitration tribunal
మధ్యవర్తి,Arbitrator
వాస్తుశిల్పం,Architecture
ఆర్కైవ్స్,Archives
ప్రాంతం,Area
ఏరియా ప్రధాన కార్యాలయం,Area headquarter
వాదన,Argument
తలెత్తండి,Arise
సాయుధ దళాలు,Armed forces
అమరిక,Arrangement
బకాయి,Arrear
రాక ప్రకటన,Arrear statement
రాక నివేదిక,Arrival report
అహంకారం,Arrogance
ఆర్సెనల్,Arsenal
వ్యాసం,Article
అసోసియేషన్ వ్యాసాలు,Articles of association
వ్యాసాలు,Articles
ఆరోహణ క్రమం,Ascending order
నిర్ధారించడం,Ascertain
ఎక్కడ ఉందో,As is where is
కారక,Aspect
ఆస్పర్షన్,Aspersion
హత్య,Assassination
దాడి,Assault
సమీకరించటం,Assemble
అసెంబ్లీ,Assembly
అస్సెంట్,Assent
నొక్కి చెప్పండి,Assert
మదింపుదారుడు,Assessee
అంచనా,Assessment
అసెస్‌మెంట్ ఇయర్,Assessment year
మదింపుదారు,Assessor
ఆస్తులు,Assets
కేటాయించిన,Assignee
అసైన్‌మెంట్,Assignment
అసైనర్,Assignor
సహాయం,Assistance
అసోసియేట్,Associate
అసోసియేషన్,Association
ఛార్జ్ యొక్క umption హ,Assumption of charge
హామీ,Assurance
అస్యూరెన్స్ కంపెనీ,Assurance company
భరోసా,Assure
డిస్కౌంట్ వద్ద,At discount
అణు శక్తి,Atomic power
పార్ వద్ద,At par
ప్రీమియం వద్ద,At premium
అటాచ్,Attach
జతచేయబడిన కార్యాలయం,Attached office
అటాచ్మెంట్,Attachment
అటాచ్మెంట్ ఆర్డర్,Attachment order
సాధించడం,Attainment
ప్రయత్నం,Attempt
హాజరు,Attendance
హాజరు రిజిస్టర్,Attendance register
హాజరు స్లిప్,Attendance slip
శ్రద్ధ,Attention
ధృవీకరణ,Attestation
ధృవీకరించబడిన కాపీ,Attested copy
వైఖరి,Attitude
ఆకర్షణీయమైన జీతం,Attractive salary
వేలం,Auction
వేలంపాట,Auctioneer
వేలం అమ్మకం,Auction sale
ప్రేక్షకులు,Audience
ఆడియో-విజువల్ డిస్ప్లే,Audio-visual display
ఆడియో-విజువల్ పబ్లిసిటీ,Audio-visual publicity
ఆడిట్,Audit
ఆడిట్ చేసిన ఖాతాలు,Audited accounts
ఆడిట్ చేసిన బ్యాలెన్స్ షీట్,Audited balance sheet
ఆడిటింగ్,Auditing
ఆడిట్ అభ్యంతరం,Audit objection
ఆడిటర్ నివేదిక,Auditor's report
ఆడిటోరియం,Auditorium
ఆడిట్ పేరా,Audit paragraph
ఆర్థిక లెక్కల నివేదిక,Audit report
కాఠిన్యం,Austerity
పొదుపు చర్యలు,Austerity measures
ప్రామాణికమైన,Authentic
అధీకృత ప్రతినిధి,Authorised representative
అధికారిక,Authoritative
అధికారం,Authority
అధికారం లేఖ,Authority letter
అధికారం,Authorized
అధీకృత మూలధనం,Authorized capital
ఆటోమేటిక్,Automatic
స్వయంప్రతిపత్తి,Autonomous
అటానమస్ బాడీ,Autonomous body
స్వయంప్రతిపత్తి,Autonomy
సహాయక,Auxiliary
అందుబాటులో ఉంది,Available
సగటు,Average
సగటు సెలవు,Average leave
విరక్తి,Aversion
అవర్ట్,Avert
నివారించండి,Avoid
పన్నును నివారించడం,Avoidance of tax
వేచి ఉంది,Awaited
అవార్డు,Award
అథారిటీ అవార్డు,Awarding authority
అవగాహన,Awareness
బ్యాక్‌డేటెడ్,Backdated
నేపథ్య,Background
బ్యాక్ లాగ్,Back log
బ్యాక్ అవుట్,Back out
వెనుక సూచన,Back reference
బ్యాకప్,Back up
వెనుకబడిన తరగతులు,Backward classes
వెనుకబడిన తెగ,Backward tribe
చెడు బేరం,Bad bargain
చెడు ప్రవర్తన,Bad behaviour
చెడ్డ పాత్ర,Bad character
చెడు వాతావరణ భత్యం,Bad climate allowance
చెడు ప్రవర్తన,Bad conduct
చెడు రుణం,Bad debt
సామాను,Baggage
బెయిల్,Bail
సంతులనం,Balance
బ్యాలెన్స్ తగ్గింది,Balance brought down
బ్యాలెన్స్ ముందుకు తెచ్చింది,Balance brought forward
సమతుల్య బడ్జెట్,Balanced budget
బ్యాలెన్స్ షీట్,Balance sheet
బ్యాలెట్,Ballot
వోట్లు వేసే డబ్బా,Ballot box
బ్యాలెట్ పేపర్,Ballot paper
నిషేధం,Ban
బ్యాంక్,Bank
బ్యాంకు ఖాతా,Bank account
బ్యాంక్ బ్యాలెన్స్,Bank balance
బ్యాంకు చార్జీలు,Bank charges
బ్యాంకు హామీ,Bank guarantee
బ్యాంకు సెలవు,Bank holiday
బ్యాంకింగ్ సౌకర్యం,Banking facility
బ్యాంకింగ్ గంటలు,Banking hours
బ్యాంకింగ్ లావాదేవీ,Banking transaction
బ్యాంక్ రేటు,Bank rate
బ్యాంకు సయోధ్య,Bank reconciliation
దివాళా,Bankrupt
బ్యాంక్ భద్రత,Bank security
బ్యాంకు వాజ్ఞ్మూలము,Bank statement
విందు,Banquet
బార్ కౌన్సిల్,Bar council
బేరం,Bargain
బేరసారాలు,Bargaining
బంజరు భూమి,Barren land
బార్టర్,Barter
బేస్,Base
నిరాధారమైన,Baseless
బేస్మెంట్,Basement
బేస్ ఇయర్,Base year
ప్రాథమిక,Basic
సాధారణంగా,Basically
ప్రాథమిక మేధస్సు,Basic intelligence
ప్రాథమిక వేతనం,Basic pay
ప్రాథమిక స్థాయి వేతనం,Basic scale of pay
ప్రాథమిక శిక్షణ,Basic training
ఆధారంగా,Basis
బ్యాచ్,Batch
బ్యాచ్ సంఖ్య,Batch number
బేరర్ చెక్,Bearer cheque
ఉదహరించడానికి ముందు,Before cited
ప్రవర్తన,Behaviour
నమ్మకం,Belief
పార్ క్రింద,Below par
బెంచ్,Bench
బెంచ్ మార్క్,Benchmark
ప్రయోజనకరమైనది,Beneficial
లబ్ధిదారుడు,Beneficiary
ప్రయోజనం,Benefit
సందేహం యొక్క ప్రయోజనం,Benefit of doubt
బెనెవోలెన్స్,Benevolence
బెనెవోలెంట్ ఫండ్,Benevolent fund
Bequeath,Bequeath
బీక్వెస్ట్,Bequest
మరణించారు,Bereaved
ఉత్తమ ప్రయత్నాలు,Best endeavours
మంచి,Betterment
బయాస్,Bias
పక్షపాత అభిప్రాయం,Biased opinion
గ్రంథ పట్టిక,Bibliography
ద్వైవార్షిక,Biennial
విభజన,Bifurcate
బిగామి,Bigamy
ద్వైపాక్షిక,Bilateral
ద్విభాషా,Bilingual
ద్విమకరణ,Bicameral
బిల్లు,Bill
మార్పిడికి సంభంధించిన బిల్లు,Bill of exchange
బిమోంత్లీ రిపోర్ట్,Bimonthly report
బైండింగ్,Binding
బయోడేటా,Biodata
బైపార్టైట్,Bipartite
ద్వైపాక్షిక ఒప్పందం,Bipartite agreement
జనన వార్షికోత్సవం,Birth anniversary
జనన ధృవీకరణ పత్రం,Birth certificate
జనన నియంత్రణ,Birth control
పుట్టిన తేదీ,Birth date
పుట్టిన ప్రదేశం,Birth place
జనన రేటు,Birth rate
వారం వారం,Biweekly
బ్లాక్ ఎకానమీ,Black economy
బ్లాక్ జాబితా,Black list
బ్లాక్ మెయిల్,Blackmail
చీకటి వ్యాపారం,Black market
నింద,Blame
ఖాళీ చెక్,Blank cheque
దుప్పటి ఒప్పందం,Blanket deal
దుప్పటి క్రమము,Blanket order
పేలుడు,Blast
బ్లెండింగ్,Blending
బ్లాక్,Block
దిగ్బంధనం,Blockade
నిరోధించబడిన మూలధనం,Blocked capital
పెద్ద అక్షరం,Block letter
రక్త దానం,Blood donation
రక్త సంబంధాలు,Blood relations
బ్లూ కాలర్ ఉద్యోగం,Blue collar job
బ్లూప్రింట్,Blueprint
బుకాయింపు,Bluff
బోర్డు,Board
బోర్డింగ్ మరియు బస,Boarding and lodging
బోర్డు డైరెక్టర్లు,Board of directors
రెవెన్యూ బోర్డ్,Board of revenue
శరీరం,Body
బాడీగార్డ్,Bodyguard
బోగస్ వోచర్,Bogus voucher
బోనఫైడ్స్,Bonafides
బాండ్,Bond
బంధిత శ్రమ,Bonded labour
ఉపరి లాభ బహుమానము,Bonus
నమోదు కార్యాలయం,Booking office
పుస్తక కీపర్,Book-keeper
బుక్ కీపింగ్,Book-keeping
బుక్‌లెట్,Booklet
రిఫరెన్స్ పుస్తకం,Book of reference
పుస్తకం విలువ,Book value
బూత్,Booth
బూత్ సంగ్రహించడం,Booth capturing
సరిహద్దు భత్యం,Border allowance
సరిహద్దు రేఖ,Border line
రుణగ్రహీత,Borrower
రుణాలు తీసుకునే శక్తి,Borrowing power
బాస్,Boss
అడ్డంకి,Bottleneck
బ్రాకెట్,Bracket
సరిహద్దు,Boundary
బహిష్కరణ,Boycott
మెదడు కాలువ,Brain drain
శాఖ కార్యాలయం,Branch office
మించే,Breach
ఒప్పందం ఉల్లంఘన,Breach of agreement
విశ్వాసం ఉల్లంఘన,Breach of confidence
ఒప్పంద ఉల్లంఘన,Breach of contract
క్రమశిక్షణ ఉల్లంఘన,Breach of discipline
చట్ట ఉల్లంఘన,Breach of law
శాంతి ఉల్లంఘన,Breach of peace
ప్రత్యేక హక్కు ఉల్లంఘన,Breach of privilege
వాగ్దానం ఉల్లంఘన,Breach of promise
నియమం ఉల్లంఘన,Breach of rule
అవిశ్వాసం,Breach of trust
విచ్ఛిన్నం,Breakage
విచ్ఛిన్నం,Break down
సేవలో విరామం,Break in service
విడిపోవటం,Break-up
జాతి,Breed
లంచం,Bribe
క్లుప్తంగా,Brief
బ్రీఫింగ్,Briefing
సంక్షిప్త పున ume ప్రారంభం,Brief resume
తెలివైన రికార్డు,Brilliant record
నోటీసులోకి తీసుకురండి,Bring into notice
ప్రసార,Broadcast
బ్రాడ్‌షీట్,Broadsheet
బ్రోచర్,Brochure
బ్రోకరేజ్,Brokerage
ముందుకు తెచ్చింది (బి/ఎఫ్),Brought forward (b/f)
బడ్జెట్ కేటాయింపు,Budget allocation
బగెటరీ కంట్రోల్,Bugetary control
బడ్జెట్ అంచనా,Budget estimate
బడ్జెట్ నిబంధన,Budget provision
కట్టడం,Building
చాలా మొత్తం,Bulk
బల్క్ కొనుగోలు,Bulk purchase
బులెటిన్,Bulletin
బంపర్ పంట,Bumper crop
ఖాళీల బంచ్,Bunching of vacancies
బంగ్లింగ్,Bungling
బ్యూరోక్రసీ,Bureaucracy
బ్యూరోక్రాట్,Bureaucrat
వ్యాపార తరగతి,Business class
వ్యాపార గంటలు (= వ్యాపారం యొక్క గంటలు),Business hours (= hours of business)
వ్యాపారవేత్త,Businessman
కొనండి,Buy-back
కొనుగోలుదారు,Buyer
బై ఎన్నిక (= ఎన్నికల ద్వారా),Bye election (=by election)
చేతి ద్వారా,By hand
పోస్ట్ ద్వారా,By post
క్యాబిన్ సామాను,Cabin baggage
క్యాబినెట్,Cabinet
కేడర్,Cadre
విపత్తు,Calamity
లెక్కింపు,Calculation
క్యాలెండర్ సంవత్సరం,Calendar year
ప్రచారం,Campaign
క్యాంపస్,Campus
క్యాంపస్ ఇంటర్వ్యూ,Campus interview
రద్దు చేయండి,Cancel
రద్దు,Cancellation
అభ్యర్థి,Candidate
అభ్యర్థిత్వం,Candidature
కాన్వాసింగ్,Canvassing
సామర్ధ్యం,Capability
సామర్థ్యం,Capable
సామర్థ్యం,Capacity
రాజధాని,Capital
మూలధన వ్యయం,Capital expenditure
మరణశిక్షను,Capital punishment
క్యాపిటేషన్ ఫీజు,Capitation fee
క్యాప్చర్,Capture
సంరక్షణ,Care
కెరీర్,Career
కెరీర్ అభివృద్ధి,Career development
కేర్ టేకర్ ప్రభుత్వం,Caretaker government
ముందుకు తీసుకువెళ్లారు (సి/ఎఫ్),Carried forward (c/f)
ముందుకు తీసుకెళ్లు,Carry forward
మోసే ఖర్చు,Carrying cost
తీసుకువెళ్ళండి,Carry over
కార్టేజ్,Cartage
కేసు,Case
సందర్భ పరిశీలన,Case study
నగదు,Cash
నగదు బ్యాలెన్స్,Cash balance
నగదు పుస్తకం,Cash book
నగదు కార్డు,Cash card
నగదు ధృవీకరణ పత్రం,Cash certificate
నగదు కౌంటర్,Cash counter
వాణిజ్య పంట,Cash crop
నగదు తగ్గింపు,Cash discount
నగదు డౌన్,Cash down
చేతిలో నగదు,Cash in hand
నగదు మెమో,Cash memo
నగదు చెల్లింపు,Cash payment
కులం,Caste
కుల ధృవీకరణ పత్రం,Caste certificate
కాస్టింగ్ ఓటు,Casting vote
సాధారణం,Casual
సాధారణం శ్రమ,Casual labour
సాధారణం సెలవు,Casual leave
ప్రమాదం,Casualty
సాధారణం ఖాళీ,Casual vacancy
జాబితా,Catalogue
వర్గీకరణ,Categorical
వర్గం,Category
భోజన సౌకర్యం కలిగించే వారు,Catering service
జాగ్రత్త,Caution
జాగ్రత్త డబ్బు,Caution money
అగ్నిని ఆపండి,Cease fire
"పైకప్పు (""ధర"" గా)","Ceiling (as of ""price"")"
వేడుక,Celebration
సెల్ ఫోన్,Cell phone
సెన్సార్,Censor
అభిశంసన,Censure
సెన్సర్ మోషన్,Censure motion
జనాభా లెక్కలు,Census
సెంట్రల్ సెస్,Central cess
కేంద్ర పౌర సేవా నియమాలు,Central civil service  rules
సెంట్రల్ ఎక్సైజ్,Central excise
కేంద్ర ప్రభుత్వం,Central government
కేంద్రీకరణ,Centralization
కేంద్రీకృత సేవ,Centralized service
కేంద్ర నిధుల పథకం,Centrally funded scheme
కేంద్ర ప్రాయోజిత పథకం,Centrally sponsored scheme
కేంద్ర కార్యాలయం,Central office
కేంద్ర ఆదాయాలు,Central revenues
కేంద్ర అమ్మకపు పన్ను,Central sales tax
కేంద్రం,Centre
శతాబ్దం,Century
ధాన్యం,Cereal
ధాతువు,Cerealist
ఉత్సవ పరేడ్,Ceremonial parade
వేడుక,Ceremony
సర్టిఫికేట్,Certificate
ఫిట్‌నెస్ సర్టిఫికేట్,Certificate of fitness
పోస్టింగ్ సర్టిఫికేట్,Certificate of posting
సేవా ధృవీకరణ పత్రం,Certificate of service
ధృవీకరణ,Certification
ధృవీకరించబడిన కాపీ,Certified copy
ధృవీకరించండి,Certify
సెస్,Cess
విరమణ,Cessation
గొలుసు,Chain
చైర్మన్/చైర్‌పర్సన్,Chairman/chairperson
చలాన్,Challan
సవాలు,Challenge
గది,Chamber
వాణిజ్యమండలి,Chamber of commerce
మార్పు,Change
గందరగోళం,Chaos
అధ్యాయం,Chapter
అక్షర హత్య,Character assassination
అక్షర ధృవీకరణ పత్రం,Character certificate
ఆరోపణ,Charge
ఆస్తిపై ఛార్జ్,Charge over property
ఛార్జ్ షీట్,Charge sheet
స్వచ్ఛంద సంస్థ,Charitable
స్వచ్ఛంద సంస్థ,Charity
చార్ట్,Chart
చార్టర్,Charter
చాసిన్ సంఖ్య,Chasis number
మోసం,Cheating
తనిఖీ,Check
చెక్ జాబితా,Check list
తనిఖీ పోస్ట్,Check post
రసాయన శాస్త్రవేత్త,Chemist
తనిఖీ,Cheque
చెక్ లెట్,Cheque let
చీఫ్,Chief
పిల్లల విద్య భత్యం,Children education allowance
పిల్లల దోపిడీ,Child exploitation
బాల కార్మికులు,Child labour
పిల్లల సంక్షేమం,Child welfare
దీర్ఘకాలిక,Chronic
కాలక్రమానుసారం (= కాలక్రమానుసారం),Chronological order(=chronological sequence)
వృత్తం,Circle
సర్క్యూట్ హౌస్,Circuit house
Circహ,Circular (=circular letter)
ప్రసరణ,Circulation
పరిస్థితి,Circumstance
సందర్భోచిత సాక్ష్యం,Circumstantial evidence
ప్రస్తావన,Citation
పౌరసత్వం,Citizenship
నగర పరిహార భత్యం,City compensatory allowance
పౌర సౌకర్యాలు,Civic amenities
సివిల్,Civil
సివిల్ కోడ్,Civil code
పౌర రక్షణ,Civil defence
సివిల్ జాబితా,Civil list
పౌర వివాహం,Civil marriage
సివిల్ ప్రొసీజర్ కోడ్,Civil procedure code
సివిల్ సర్వీస్,Civil service
సివిల్ సూట్,Civil suit
పౌర సామాగ్రి,Civil supplies
పౌర యుద్ధం,Civil war
దావా,Claim
హక్కుదారు,Claimant
దావా పత్రము,Claim form
వాపసు కోసం దావా,Claim for refund
స్పష్టీకరణ,Clarification
తరగతి,Class
వర్గీకృత ప్రకటన,Classified advertisement
వర్గీకృత పత్రాలు,Classified documents
వర్గీకృత సమాచారం,Classified information
వర్గీకరించండి,Classify
వర్గీకరణ,Classwise
ఉపవాక్య,Clause
క్లియరెన్స్,Clearance
ఖాళీ ఖాళీ,Clear vacancy
క్లరికల్,Clerical
క్లరికల్ కేడర్,Clerical cadre
మతాధికార దోషం,Clerical error
క్లరికల్ సిబ్బంది,Clerical staff
గుమస్తా పని,Clerical work
క్లయింట్,Client
క్లోక్ రూమ్,Cloak room
సంవత్సరం దగ్గరగా,Close of the year
ముగింపు బ్యాలెన్స్,Closing balance
ముగింపు తేది,Closing date
మూసివేత,Closure
క్లూ,Clue
'సహ-కుర్చీన్' లో వలె,Co (as in 'co-chairman')
సహ నిందితుడు,Co-accused
కోచింగ్,Coaching
సంకీర్ణ ప్రభుత్వం,Coalition government
కోడ్,Code
కోడ్ సంఖ్య,Code number
ప్రవర్తనా నియమావళిని,Code of conduct
కోడ్ పదం,Code word
కోడింగ్,Coding
బలవంతం,Coercion
సహజీవనం,Co-existence
జ్ఞానం,Cognizable
జ్ఞానం చేయగల నేరం,Cognizable offence
జ్ఞానం,Cognizance
యాదృచ్చికం,Coincidence
సహకారం,Collaboration
అనుషంగిక భద్రత,Collateral security
సహోద్యోగి,Colleague
సమిష్టి,Collective
సామూహిక బాధ్యత,Collective responsibility
కలెక్టరేట్,Collectorate
కలయిక,Collusion
కాలనీ,Colony
రంగు అంధత్వం,Colour blindness
కాలమ్,Column
దువ్వెన ఆపరేషన్,Combing operation
కమాండ్,Command
జ్ఞాపకార్థం,Commemoration
ప్రశంసనీయం,Commendable
ప్రారంభం,Commensurate
వ్యాఖ్యానం,Commentary
వ్యాఖ్యలు,Comments
వాణిజ్యం,Commerce
వాణిజ్య విరామం,Commercial break
కమిషన్,Commission
ఆరంభించడం,Commissioning
కమిట్,Commit
నిబద్ధత,Commitment
వస్తువు,Commodity
