Punjabi,Bengali
ਐਕੋਨਿਟਮ,অ্যাকোনিটাম
ਐਕੋਰਨ ਕੀੜਾ,অ্যাকর্ন কৃমি
ਧੁਨੀ ਜ਼ੋਨਿੰਗ,অ্যাকোস্টিক জোনিং
ਪਾਤਰ ਪਾਤਰ,অর্জিত চরিত্র
ਸੀਮਤ ਸੀਮਤ,অনাক্রম্যতা অর্জিত
ਐਕੁਆਇਰਡ ਇਮੂਨੋ ਦੀ ਘਾਟ ਸਿੰਡਰੋਮ (ਏਡਜ਼),অর্জিত ইমিউনো ঘাটতি সিন্ড্রোম (এইডস)
ਅਰੇਂੀਆ,অ্যাক্রানিয়া
ਐਸੀਰੇਸਾਈਨ ਡਾਇ,অ্যাক্রিডিন ডাই
ਐਕਰੋਸੀਐਸਟ੍ਰਿਕ,অ্যাক্রোসেন্ট্রিক
ਐਕਰੋਮਰ,অ্যাক্রোমিয়ন
ਅਸ਼ੋਕਲ ਤਰਤੀਬ,অ্যাক্রোপেটাল সিকোয়েন্স
ਐਕਰੋਪੇਟਲ ਆਰਡਰ,অ্যাক্রোপেটাল অর্ডার
ਐਕਰੋਸਿਨ,অ্যাক্রোসিন
ਐਕਟਿਨ,অ্যাক্টিন
ਐਕਟਿਨ ਵਰਗੇ ਪ੍ਰੋਟੀਨ,অ্যাক্টিনের মতো প্রোটিন
ਐਕਟਿਨੀਮੋਰਿਕ,অ্যাক্টিনোমর্ফিক
ਐਕਟਿਨੋਮਾਈਸਾਈਟਸ,অ্যাক্টিনোমাইসেটস
ਕਾਰਵਾਈ ਸੰਭਾਵਨਾ,কর্ম সম্ভাব্য
ਸਰਗਰਮ ਸਲੱਜ,সক্রিয় কর্দম
ਸਰਗਰਮ ਸਲੈਮ ਫਾਸਟ,সক্রিয় স্ল্যাজ ফ্লক
ਐਕਟੀਵੇਸ਼ਨ Energy ਰਜਾ,অ্যাক্টিভেশন শক্তি
ਐਕਟਿਵ ਸਮਾਈ,সক্রিয় শোষণ
ਕਿਰਿਆਸ਼ੀਲ ਛੋਟ,সক্রিয় অনাক্রম্যতা
ਸਰਗਰਮ ਰੇਡੀਏਸ਼ਨ,সক্রিয় বিকিরণ
ਐਕਟਿਵ ਸਾਈਟ,সক্রিয় সাইট
ਐਕਟੀਵੇਟ,অ্যাক্টিভিন
ਅਮੀਮਿਨੇਟ,একুমিনেট
ਐਡਮਜ਼ੀਆ,অ্যাডামসিয়া
ਅਨੁਕੂਲਤਾ,অভিযোজনযোগ্যতা
ਅਨੁਕੂਲਤਾ,অভিযোজন
ਚਾਨਣ ਸ਼ਾਸਨ ਲਈ ਅਨੁਕੂਲਤਾ,হালকা শাসনের সাথে অভিযোজন
ਪਾਣੀ ਦੀ ਘਾਟ ਲਈ ਅਨੁਕੂਲਤਾ,জলের ঘাটতির সাথে অভিযোজন
ਅਨੁਕੂਲ ਗੁਣ,অভিযোজিত বৈশিষ্ট্য
ਅਨੁਕੂਲ ਛੋਟ,অভিযোজিত অনাক্রম্যতা
ਅਨੁਕੂਲ ਰੇਡੀਏਸ਼ਨ,অভিযোজিত বিকিরণ
ਅਨੁਕੂਲ ਗੁਣ,অভিযোজিত বৈশিষ্ট্য
ਏਕੈਕਸੀਅਲ ਸਤਹ,অ্যাড্যাক্সিয়াল পৃষ্ঠ
ਨਸ਼ਾ ਕਰਨ ਵਾਲੀ ਵਿਕਾਰ,আসক্তিজনিত ব্যাধি
ਐਡੀਨੇਨ,অ্যাডেনিন
ਐਡੇਨੋਕਾਰਸਪੋਰਟ੍ਰੋਪਿਨ,অ্যাডেনোকোর্টিকোট্রপিন
ਐਡੀਨੋਹਾਇਪਿਸਿਸ,অ্যাডেনোহাইপোফাইসিস
ਅਡੇਨੋਸਿਨ ਡਿਇਆਪਸਫੇਟ,অ্যাডেনোসিন ডিফোসফেট
ਐਡੀਨੋਸਾਈਨ ਡਿਮੇਨਬੇਸ,অ্যাডেনোসিন ডায়ামিনেজ
ਐਡੀਨੋਸਾਈਨ ਮੋਨੋਫੋਸਫੇਟ,অ্যাডেনোসিন মনোফসফেট
ਐਡੀਨੋਸਾਈਨ ਟ੍ਰਾਈਫੋਸਫੇਟ (ਏਟੀਪੀ),অ্যাডেনোসিন ট্রাইফোসফেট (এটিপি)
ਐਡੀਨੇਲਲੇਟ ਸਾਈਕਲੇਜ,অ্যাডিনলেট সাইক্লাস
ਚਿਪਕਣ ਵਾਲੀ ਤਾਕਤ,আঠালো শক্তি
ਐਡਪੋਜ਼,Adipate
Adipocyte (ਚਰਬੀ ਸੈੱਲ),অ্যাডিপোকাইট (ফ্যাট সেল)
ਐਡਪੋਜ਼ ਟਿਸ਼ੂ,মেদ কলা
ਐਡਨੇਟ,অ্যাডনেট
ਨਾਲ ਲੱਗਦੀ ਕਮਿ Community ਨਿਟੀ,সংলগ্ন সম্প্রদায়
ਐਡਰੀਨਲ,অ্যাড্রিনাল
ਐਡਰੇਨਲ ਗਲੈਂਡ,অ্যাড্রিনাল গ্রন্থি
ਐਡਰੇਨੋਕੋਟਰੋਪਿਕ ਹਾਰਮੋਨ (ਐਕਟਿਹ),অ্যাড্রেনোকোর্টিকোট্রপিক হরমোন (এসিটিএইচ)
ਐਡਰੇਨੋਕਰੋਪੋਰਟਿਕੋਟਰੋਪਿਕ ਰੀਲੀਜ਼ ਹਾਰਮੋਨ (ACTRH),অ্যাড্রেনোকোর্টিকোট্রপিক রিলিজিং হরমোন (ACTRH)
ਐਡੋਰਬੈਂਟ,Adsorbent
ਇਸ਼ਤਿਹਾਰ,শোষণ
ਐਡਵਾਂਸਡ ਕੋਰਡੇਟ,উন্নত কর্ডেট
ਲਾਭਦਾਇਕ ਪਰਿਵਰਤਨ,সুবিধাজনক মিউটেশন
ਸਾਹਸੀ,অ্যাডভেন্টিয়াল
ਸਾਹਸੀ ਜੜ,অ্যাডভেনটিয়াস রুট
ਗਲਤ ਪ੍ਰਭਾਵ,বিরূপ প্রভাব
ਏ.ਡੀ.ਡੀ.,এডেস
ਸਭਿਆਚਾਰ ਦੀ ਹਵਾਬਾਜ਼ੀ,সংস্কৃতি বায়ুচালনা
Énerchyma,এরিচাইমা
ਏਰੀਅਲ,এরিয়াল
ਏਰੀਅਲ ਰੂਟ,বায়বীয় মূল
ਏਰੀਅਲ ਸ਼ੂਟ,এরিয়াল শ্যুট
ਐਰੋਬਿਕ ਸਾਹ,বায়ুজীবী শ্বসন
ਐਰੋਬਿਕ ਸਾਹ,বায়ুজীবী শ্বসন
ਸੁਹਜ,নান্দনিকতা
ਖਰਾਸ਼,এ্যাস্টিভেশন
ਖਰਾਸ਼,এ্যাস্টিভেশন
ਪਿਆਰ,Afferent
ਪੱਕਾ ਐਫੀਲੀਅਸ ਕ੍ਰੋਮੈਟੋਗ੍ਰਾਫੀ,অ্যাফিনিটি ক্রোমাটোগ্রাফি
ਦੁਖੀ ਅੰਗ,ক্ষতিগ্রস্থ অঙ্গ
ਕਥਾ,Afforastation
ਅਗਿਆਤ,আগামোস্পার্মি
ਅਗਰ,আগর
ਅਗਿਆਤ,আগারোজ
ਅਗਾਅਰਜ਼ ਜੈੱਲ ਐਲੀਟ੍ਰੋਫੋਨਸਿਸ,আগারোজ জেল এ্যালেট্রোফোরেসিস
ਅਗਿਆਤ ਪੋਲੀਮਰ ਜੈੱਲ,আগারোজ পলিমার জেল
ਅਤਿ,আগস্ট
ਅਗਾਵ,আগাভা
ਉਮਰ ਵੰਡ,বয়স বিতরণ
ਉਮਰ ਪਿਰਾਮਿਡ,বয়স পিরামিড
Agglutate,আগ্রাসন
ਸਮੁੱਚੀ,সমষ্টি
Follicle ਦਾ ਸਮੁੱਚਾ,ফলিকেলের সমষ্টি
Follicle ਦਾ ਸਮੁੱਚਾ,ফলিকেলের সমষ্টি
ਇਕੱਤਰਤਾ,সমষ্টি
ਹਮਲਾਵਰਤਾ,আগ্রাসন
ਐਗਰੀਏਟਰ ਸਿਸਟਮ,আন্দোলনকারী সিস্টেম
ਅਗਨੀਥਾ,অগ্নিথা
ਅਗਾਤੀ,আগৌটি
ਅਗਰੰਡੀ ਕਲਰੋਲੋਪਲਾਸਟ,অ্যাগ্রানাল ক্লোরোপ্লাস্ট
ਅਗਰੂ,অ্যাগ্রানুলার
ਅਗਰਾਨੂਲੋਸਾਈਟ,অ্যাগ্রানুলোকাইট
ਖੇਤੀ ਬਾੜੀ,কৃষি
ਐਗਰੋਫੋਰੈਸਟਰੀ,কৃষি
ਐਗਰੋਬੈਟਰਿਅਮ ਵਿਚੋਲਗੀ,অ্যাগ্রোব্যাক্টেরিয়াম মধ্যস্থতা
ਐਗਰੋਬੈਟਰਿਅਮ ਟੋਮਫੈਕੈਨਜ਼,অ্যাগ্রোব্যাক্টেরিয়াম টিউফেসিয়েনস
ਐਗਰੋ ਕੈਮੀਕਲ,এগ্রোকেমিক্যাল
ਐਗਰੋ ਕੈਮੀਕਲ,এগ্রোকেমিক্যাল
ਅਗਰੋਕਲਾਈਮੈਟਿਕ ਜ਼ੋਨ,অ্যাগ্রোক্লিম্যাটিক জোন
ਖੇਤੀਬਾਜੀ ਗੁਣ,কৃষি বৈশিষ্ট্য
ਖੇਤੀਬਾੜੀ,কৃষি
ਏਡਜ਼,এইডস
ਏਅਰ ਬਲੈਡਰ,বায়ুকোষ
ੲੇ. ਸੀ,এয়ার কন্ডিশনার
ਹਵਾ ਦਾ ਰਾਹ,বাতাস চলাচলের স্থান বা গলি
ਹਵਾ ਪ੍ਰਦੂਸ਼ਣ,বায়ু দূষণ
ਏਅਰ ਸੈਕ,এয়ার স্যাক
ਏਅਰ ਵੈਕਲੂਓਲ,এয়ার ভ্যাকুওল
ਹਵਾ-ਸਾਹ,বায়ু শ্বাস প্রশ্বাস
ਅਲੇਨ,আলাইন
ਅਲੇਰੀ ਮਾਸਪੇਸ਼ੀ,অ্যালারি পেশী
ਅਲਾਸਕਨ ਬ੍ਰਾ .ਨ ਰਿੱਛ,আলাস্কান ব্রাউন বিয়ার
ਐਲਬਿਨੋ,আলবিনো
ਆਲਬੂਗੋ,আলবুগো
ਐਲਬਮਿਨ,অ্যালবামিন
ਐਲਬਿੰਜੀਨ ਬੀਜ,অ্যালবামিনাস বীজ
ਐਲਬਿ → ਮਿਨੂਰੀਆ,অ্যালবামিনুরিয়া
ਐਲਬਟਨਮ,অ্যালবার্নাম
ਐਲਸੀਏਸੀ,আলসিডে
Aldeyhede,আলডিহেড
ਅੈਲਡੋਸਟਰੋਨ ਸਿਸਟਮ,অ্যালডোস্টেরন সিস্টেম
ਅਲੇਸਟਰੋਨ,অ্যালডোস্টেরন
ਅਲੇਪੁਰਨ ਪਰਤ,আলেউরোন স্তর
ਐਲੇਰੋਪਲਾਸਟ,আলেউরোপ্লাস্ট
ਅਲਫਾਫਾ,আলফালফা
ਐਲਗਲ ਖਿੜ,অ্যালগাল ব্লুম
ਅਲੀਗਿਨ,অ্যালগিন
ਪਰਦੇਸੀ ਡੀਐਨਏ,এলিয়েন ডিএনএ
ਪਰਦੇਸੀ ਪ੍ਰਜਾਤੀ,এলিয়েন প্রজাতি
ਅਲਾਈਨਮੈਂਟ,প্রান্তিককরণ
ਅਲਾਈਨਮੈਂਟ,প্রান্তিককরণ
ਅਲੀਮੈਂਟਰੀ ਨਹਿਰ,খাদ্যনালী
ਅਲੀਮੈਂਟਰੀ ਸਿਸਟਮ,অ্যালিমেন্টারি সিস্টেম
ਐਲਿਸਮੇਸਸੀ,আলিসম্যাসেস
ਐਲਕਾਲਾਇਡ,ক্ষারীয়
ਐਲਕਲੀਨ,ক্ষারীয়
ਅਲਕਾਪਟਨੂਰੀਆ,অ্যালকাপ্টোনুরিয়া
ਅੱਲੈਂਟੋਇਸ,অ্যালান্টোইস
ਐਲੀ ਬਾਰੰਬਾਰਤਾ,অ্যালিল ফ্রিকোয়েন্সি
ਐਲੀਲ,অ্যালিল
ਅਲੇਲਬਿਕ ਜੋੜੀ,Allelomorphic জুটি
ਐਲਰਗੇਨ,অ্যালার্জেন
ਐਲੀਗੇਟਰ,অলিগেটর
ਐਲੀਅਮ ਸੀ.ਪੀ.ਏ.,অ্যালিয়াম সিইপিএ
ਆਲੋਗਮ,অ্যালোগ্যামি
ਅਲਾਗ੍ਰਾਫਟ,অলোগ্রাফ্ট
ਅਲੋਪੈਟ੍ਰਿਕ ਜਾਦੂਈ,অ্যালোপ্যাট্রিক স্পেসিফিকেশন
ਐਲੋਪੋਲਾਈਵਲਾਈਡ,অ্যালোপলিপ্লয়েড
ਐਲੋਸਟਰਿਕ ਪ੍ਰਭਾਵ,অ্যালোস্টেরিক প্রভাব
ਐਲੋਸਟ੍ਰਿਕ ਪਾਚਕ,অ্যালোস্টেরিক এনজাইম
ਐਲੋਸਟਰਿਕ ਇਨਿਹਿਬਟਰ,অ্যালোস্টেরিক ইনহিবিটার
ਐਲੋਸਟ੍ਰਿਕ ਮੈਨੂਲੇਸ਼ਨ,অ্যালোস্টেরিক মড্যুলেশন
ਐਲੋਸਟ੍ਰਿਕ ਸਾਈਟ,অ্যালোস্টেরিক সাইট
ਐਲੋਸਟਰਿਕ ਰੋਕ,অ্যালোস্টেরিক বাধা
Allotetraplaidd,Allotetraploid
ਐਲਾਨਸ,অ্যালাস
ਐਲੋ,অ্যালো
ਐਕਸੋਨ ਦੇ ਨਾਲ,অ্যাক্সন বরাবর
ਅਲਫ਼ਾ-ਐਂਟੀਟ੍ਰਿਪਸਿਨ,আলফা-অ্যান্টিট্রিপসিন
ਅਲਫ਼ਾ-ਲੈਕਟਲਬੁਮਿਨ,আলফা-ল্যাকটালবুমিন
ਐਲਪਾਈਨ ਦੀ ਸਥਿਤੀ,আলপাইন জলবায়ু অবস্থা
ਅਲਪਾਈਨ ਮੈਡੋ,আল্পাইন মেডো
ਅਲਪਾਈਨ ਜ਼ੋਨ,আলপাইন জোন
ਅਲਸਟੋਨੀਆ,অ্যালস্টোনিয়া
ਅਲਟਰਨੇਰੀਆ,বিকল্প
ਵਿਕਲਪਿਕ,বিকল্প
ਪੀੜ੍ਹੀ ਦੀ ਤਬਦੀਲੀ,প্রজন্মের বিকল্প
ਉਚਾਈ ਬਿਮਾਰੀ,উচ্চতায় অসুস্থতা
ਉਚਾਈ,উচ্চতা
ਐਲਵੋਲਰ ਡੈਕਟ,অ্যালভোলার নালী
ਅਲਾਈਨ,অ্যালাইটেস
ਅਲਜ਼ਾਈਮਰ ਰੋਗ,আলঝেইমার রোগ
ਅਮੈਕਰਾਈਨ ਸੈੱਲ,আমাক্রাইন সেল
ਅਮਰੰਥੈਸੇ,অমরান্থেসি
ਅਮੈਸ਼ਨਥਸ,অমরান্থাস
ਅੰਬੀਨਟ ਓਮੋਟਿਕ ਗਾੜ੍ਹਾਪਣ,পরিবেষ্টিত ওসমোটিক ঘনত্ব
ਅਮੈਸਟੋਮਾ,অ্যাম্বিস্টোমা
ਐਮੀਡ,অ্যামাইড
ਅਮੀਨੋ ਐਸਿਡ,অ্যামিনো অ্যাসিড
ਅਮੀਨੋ ਐਸਿਡ ਸਵੀਕਾਰਟਰ,অ্যামিনো অ্যাসিড গ্রহণকারী
ਅਮੀਨੋਸਾੱਲ ਟੀ ਆਰ ਐਨ ਏ ਸਿੰਥੇਟੇਸ,অ্যামিনোসিল টি আরএনএ সিনথেটিজ
ਅਮੀਨੋਕੁਲੇਸ਼ਨ,অ্যামিনোসিলেশন
ਅਮਿਤੋਸਿਸ,অ্যামিটোসিস
ਅਮੋਨੀਆ,অ্যামোনিয়া
ਅਨੁਮੋਧ,অ্যামোনিফিকেশন
ਅਮੋਨੋਟੇਲਿਜ਼ਮ,অ্যামোনোটেলিজম
ਅਮਨੀਓਸੈਂਟੀਸਿਸ,অ্যামনিওসেন্টেসিস
ਅਮਨੀਓਸੈਂਟੀਸਿਸ ਤਕਨੀਕ,অ্যামনিওসেন্টেসিস কৌশল
ਅਮਨੀਓਸਾਈਟ,অ্যামনিওসাইট
ਅਮਨੀਅਨ,অ্যামনিয়ন
ਅਮਨੀਓਟਿਕ ਤਰਲ,অ্যামনিয়োটিক তরল
ਐਮਨੀਓਟਿਕ ਝਿੱਲੀ,অ্যামনিয়োটিক ঝিল্লি
ਅਮਨੀਓਟਿਕਯੂ,Amniotic কোষ
ਅਮੋਬਾ,অ্যামিবা
ਅਮੀਓਬੋਸਾਈਟ,অ্যামিবোসাইট
ਅਮੀਬੋਇਡ,অ্যামোবয়েড
ਅਮੀਬੋਇਡ ਲਿੰਫੋਸਾਈਟ,অ্যামোবয়েড লিম্ফোসাইট
ਅਮੀਬੋਇਡ ਅੰਦੋਲਨ,অ্যামোবয়েড আন্দোলন
ਅਮੋਰੈਫਸ,নিরাকার
ਦੀ ਰਕਮ,পরিমাণ
ਅਮੀਫੇਟਾਮਾਈਨ,অ্যাম্ফিটামিন
ਅਮਫੀਬੀਆ,উভচর
ਐਫੀਬੀਅਨ,উভচর
ਐਫੀਬੀਅਨ,উভচর
Amphioxus,অ্যাম্ফিওক্সাস
Amphioxus Lannolotus,অ্যাম্ফিওক্সাস ল্যানসোল্যাটাস
ਐਮਫੀਪਾਥਿਕ,অ্যাম্পিপ্যাথিক
ਐਮਫੀਪਾਥਿਕ ਲਿਪਿਡ,অ্যাম্পিপ্যাথিক লিপিড
ਅਮਫੀਸਾਰਕਾ,অ্যাম্ফিসারকা
ਐਂਪੀਸਿਲਿਨ,অ্যাম্পিসিলিন
Ampulla,আম্পুল্লা
ਐਮਪੁੱਲੇਰੀ ਗਲੈਂਡ,অ্যাম্পুলারি গ্রন্থি
ਅਮੀਗਡਲ,অ্যামিগডাল
ਅਮੀਗਡੇਲ,অ্যামিগডেল
ਅਮੀਗਡਲਿਨ,অ্যামিগডালিন
ਐਮੀਲੇਸ,অ্যামাইলেস
ਅਮੋਲੋਪਲਾਸਸਟ,অ্যামাইলোপ্লাস্ট
ਅਨਬਾਨਾ,আনাবেনা
ਅਨਬਾਸ,আনাবাস
ਐਨਾਬੋਲਿਕ ਮਾਰਗਾਂ,অ্যানাবোলিক পথ
ਐਨਾਬੋਲਿਜ਼ਮ,অ্যানাবোলিজম
ਅਨਾਕਾਰਿਆਸੀ,Anacardiaceae
ਅਨੀਮੀਆ,রক্তাল্পতা
ਅਨੀਰੋਬ,অ্যানেরোব
ਅਨੈਰੋਬਿਕ ਬਾਲਣ,অ্যানেরোবিক জ্বালানী
ਅਨੈਰੋਬਿਕ ਸਾਹ,অ্যানেরোবিক শ্বাস প্রশ্বাস
ਅਨੈਰੋਬਿਕ ਸਲੈਗ ਡਿਜਸਟਰ,অ্যানেরোবিক স্ল্যাজ ডাইজেস্টর
ਅਨੀਰੋਬਿਕ,অ্যানেরোবিক
ਅਨਾਮਾ,আনাইমা
ਗੁਦਾ,মলদ্বার
ਗੁਦਾ,মলদ্বার
ਗੁਦਾ ਅਪਰਚਰ,মলদ্বার অ্যাপারচার
ਗੁਦਾ ਕਰਬੇਲੀ,মলদ্বার সেরসি
ਗੁਦਾ ਲੂਪ,মলদ্বার লুপ
ਗੁਦਾ ਸ਼ੈਲੀ,মলদ্বার শৈলী
ਸਮਾਨ,সাদৃশ্য
ਸਮਾਨ,সাদৃশ্য
ਸਮਾਨਤਾ,উপমা
ਸਮਾਨਤਾ,উপমা
ਵਿਸ਼ਲੇਸ਼ਣ,বিশ্লেষণ
ਐਨਾਫਸੇਸ,অ্যানাফেজ
ਐਨੀਟੋਮਿਕ ਬੈਰੀਅਰ,শারীরবৃত্তীয় বাধা
ਐਨਾਟੋਮਿਕਲ ਪਹਿਲੂ,শারীরবৃত্তীয় দিক
ਐਨੀਟੋਮਿਸਟ,অ্যানাটোমিস্ট
ਸਰੀਰ ਵਿਗਿਆਨ,অ্যানাটমি
ਪੂਰਵਜ ਵੰਸ਼ਜ ਕ੍ਰਮ,পূর্বপুরুষ বংশোদ্ভূত ক্রম
ਜੱਦੀ ਵੰਸ਼ਜ,পৈতৃক বংশ
ਪੂਰਵਜ ਕ੍ਰਮ,পৈতৃক ক্রম
ਐਸੀਕੇਲੋਸਟੋਮਾ,অ্যান্সিলোস্টোমা
ਐਂਡਰੋਸੀਅਮ,অ্যান্ড্রোসিয়াম
ਐਂਡਰੋਜਨ,অ্যান্ড্রোজেন
ਅਨੀਮੀਆ,রক্তাল্পতা
ਅਨੀਮੋਨ,অ্যানিমোন
ਅਨੀਉਟਲੋਇਡ,অ্যানিউপ্লয়েড
ਅਨੀਯੁਰਾਕੀਡੀ,Aneuploidy
ਐਨਜਾਈਨਾ,এনজিনা
ਐਂਜੀਗਰਾਮ,অ্যাঞ্জিওগ্রাম
ਐਂਜੀਓਗ੍ਰਾਫ,অ্যাঞ্জিওগ্রাফ
ਐਂਜੀਓਗ੍ਰਾਫੀ,অ্যাঞ্জিওগ্রাফি
ਐਂਜੀਓਪਲਾਸਟੀ,অ্যাঞ্জিওপ্লাস্টি
ਐਂਜੀਓਸਪਰਸਮ,সপুষ্পক
ਐਂਜੀਓਟੈਨਸਿਨ,অ্যাঞ্জিওটেনসিন
ਐਂਜੀਓਟੈਨਸਿਨੋਜਨ,অ্যাঞ্জিওটেনসিনোজেন
ਐਂਗਲਰ ਮੱਛੀ,অ্যাংলার ফিশ
ਅੰਗੀਨਾ,অ্যাঙ্গুইনা
Anguiss,অ্যাঙ্গুইস
ਜਾਨਵਰ,প্রাণী
ਜਾਨਵਰ,প্রাণী
ਜਾਨਵਰ ਗੋਬਰ,প্রাণী গোবর
ਪਸ਼ੂ ਪਾਲਣ,পশুপালন
ਜਾਨਵਰ ਕੈਰੀਓਟਾਈਪਿੰਗ,প্রাণী ক্যারিওটাইপিং
ਪਸ਼ੂ ਰਾਜ,প্রাণী কিংডম
ਜਾਨਵਰਾਂ ਦੇ ਟਿਸ਼ੂ,প্রাণী টিস্যু
ਯੰਤਰੀਆ,অ্যানিমালিয়া
Anion,অ্যানিয়ন
ਐਨਿਸੋਟ੍ਰੋਪਿਕ ਬੈਂਡ,অ্যানিসোট্রপিক ব্যান্ড
ਐਂਲਿੰਗਿੰਗ,অ্যানিলিং
ਅੰਨੇਲਿਡ,অ্যানেলিড
ਅਨਲਿਲਡਾ,অ্যানেলিডা
ਸਾਲਾਨਾ ਰਿੰਗ,বার্ষিক রিং
ਅੰਨਟੇਡ,কথায় কথায় কথায় কথায় কথায় কথায় কথায় কথায় কথায়
ਸਾਲ,অ্যানুল
ਅਸਧਾਰਨ ਕਿਸਮ,অসাধারণ প্রকার
ਐਨਾਓਫੇਲਜ਼,অ্যানোফিলস
ਕੀੜੀ ਹੈਟਰ,পিঁপড়া ইটার
ਵਿਰੋਧੀ,বিরোধী
ਅੰਟਾਰਕਟਿਕ,অ্যান্টার্কটিক
ਐਂਟੀਨਾ,অ্যান্টেনা
ਐਂਟੀਨਾ ਕੰਪਲੈਕਸ,অ্যান্টেনা কমপ্লেক্স
ਐਨਟੇਨਲ ਗਲੈਂਡ,অ্যান্টেনাল গ্রন্থি
ਪਿਛਲੇ (ਵੈਂਟ੍ਰਲ) ਸਲੇਟੀ ਸਿੰਗ,পূর্ববর্তী (ভেন্ট্রাল) ধূসর শিং
ਐਂਟੀਰੀਫਾਈਫਾਈਸਿਸ,পূর্ববর্তী হাইপোফাইসিস
ਐਂਟੀਰੀਅਰ ਇੰਟਰਵੈਂਟ੍ਰਿਕੂਲਰ ਸੂਲਕਸ,পূর্ববর্তী ইন্টারভেন্ট্রিকুলার সালকাস
ਐਂਥਰ,অ্যান্থার
ਐਂਥਰ ਸਭਿਆਚਾਰ,অ্যান্থার সংস্কৃতি
ਐਂਡਰਾਈਡਿਅਮ,অ্যানথেরিডিয়াম
ਐਂਡਰੋਜ਼ੋਇਡ,অ্যানথেরোজয়েড
ਐਂਥਸੋਰੋਸ,অ্যান্থোসেরোস
ਐਂਥੋਸਰੋਟੋਫਡਾਡਾ,অ্যান্থোসারোটোপিডিডা
ਐਂਥ੍ਰੈਕਸ,অ্যানথ্রাক্স
ਐਂਥ੍ਰੋਪੋਜਾਈਜਡ ਅਲੋਪ,অ্যানথ্রোপোজেনিক বিলুপ্তি
ਮਾਨਵ-ਵਿਗਿਆਨ,নৃবিজ্ঞান
