Bengali,Punjabi
প্রাচীন স্মৃতিস্তম্ভ,ਪ੍ਰਾਚੀਨ ਸਮਾਰਕ
উপাখ্যান,ਕਿੱਸਾ
অ্যাঞ্জেলট,ਐਂਜਲੋਟ
এঞ্জেলাস,ਐਂਜਲਸ
অ্যাঞ্জেভিন (=এনজেভিন),ਐਂਜੇਵਿਨ (=ਅੰਜੇਵਿਨ)
কোণ,ਕੋਣ
অ্যাংলিকান,ਐਂਗਲੀਕਨ
অ্যাংলিকান কমিউনিয়ন,ਐਂਗਲੀਕਨ ਕਮਿਊਨੀਅਨ
অ্যাংলিকানিজম,ਐਂਗਲੀਕਨਵਾਦ
অ্যাংলো-ফোব,ਐਂਗਲੋ-ਫੋਬ
অ্যাংলো-ফোবিয়া,ਐਂਗਲੋ-ਫੋਬੀਆ
অ্যাংলো-স্যাক্সন,ਐਂਗਲੋ-ਸੈਕਸਨ
অ্যাংলো-স্যাক্সোনিজম,ਐਂਗਲੋ-ਸੈਕਸੋਨਿਜ਼ਮ
অ্যানালিস্ট,ਐਨਾਲਿਸਟ
ইতিহাস,ਇਤਿਹਾਸ
সংযোজন,ਅਨੇਕਸ਼ਨ
এন্টে-বেলাম,ਐਂਟੀ-ਬੇਲਮ
তারিখের আগে,ਪਿਛਲੀ ਤਾਰੀਖ
করণিকবাদ বিরোধী,ਵਿਰੋਧੀ ਮੌਲਵੀਵਾਦ
অ্যান্টি-ক্লারিক্যাল আইন,ਕਲੈਰੀਕਲ ਵਿਰੋਧੀ ਕਾਨੂੰਨ
প্রাচীনত্ব,ਪੁਰਾਤਨਤਾ
ভাড়া বিরোধী,ਵਿਰੋਧੀ ਕਿਰਾਇਆ
ভাড়া বিরোধী,ਵਿਰੋਧੀ ਕਿਰਾਇਆ
সেমিটিজম বিরোধী,ਵਿਰੋਧੀ ਸਾਮੀਵਾਦ
আনজাক,ਐਨਜ਼ੈਕ
আপেলা,ਅਪੇਲਾ
আরালু,ਅਰਲੂ
আর্চ বিশপ,ਆਰਕ ਬਿਸ਼ਪ
আর্চ ডুচি,ਆਰਕ ਡਚੀ
আর্চ ডিউক,ਆਰਕ ਡਿਊਕ
আর্কিফ (= আর্কাইভাল সংগ্রহ),ਪੁਰਾਲੇਖ (=ਪੁਰਾਲੇਖ ਸੰਗ੍ਰਹਿ)
আর্কিপিস্কোপেট,ਆਰਚੀਪੀਸਕੋਪੇਟ
আভিজাত্য,ਕੁਲੀਨ
অভিজাত,ਰਈਸ
আভিজাত্য স্নোবারি,ਕੁਲੀਨ ਸਨੋਬਰੀ
এরিস্টটলীয়,ਅਰਿਸਟੋਟਲੀਅਨ
আরমাডা,ਆਰਮਾਡਾ
আরমাদা (=স্প্যানিশ আরমাদা),ਆਰਮਾਡਾ (= ਸਪੇਨੀ ਆਰਮਾਡਾ)
আর্মোরিস্ট (= আর্মারিস্ট),ਸ਼ਸਤਰਧਾਰਕ (=ਸ਼ਸਤਰਧਾਰਕ)
বর্ম (= বর্ম),ਸ਼ਸਤ੍ਰ (= ਸ਼ਸਤ੍ਰ)
আর্মারিস্ট,ਸ਼ਸਤਰਧਾਰਕ
আরিয়ান,ਆਰੀਅਨ
আরিয়ান,ਆਰੀਅਨ
আসকারী,ਅਸਕਰੀ
বরাদ্দ,ਅਸਾਈਨੈਟ
সহায়তা,ਅਸਾਈਜ਼
সহায়তা,ਅਸਾਈਜ਼
সহায়তা,ਅਸਾਈਜ਼
অস্ত্র আইনের সহায়তা,ਅਸਲਾ ਐਕਟ ਦੀ ਸਹਾਇਤਾ
ড্যারিন প্রেজেন্টমেন্টের সহায়তা,ਡੈਰੇਨ ਪ੍ਰੈਜ਼ੈਂਟਮੈਂਟ ਦੀ ਸਹਾਇਤਾ
মর্ট &#39;ডি&#39; পূর্বপুরুষের সহায়তা,ਮੋਰਟ &#39;ਡੀ&#39; ਪੂਰਵਜ ਦੀ ਸਹਾਇਤਾ
নভেল ডিসিসিনের অ্যাসাইজ,ਨਾਵਲ ਡੀਸੀਸਿਨ ਦੀ ਸਹਾਇਤਾ
নৃশংসতা,ਅੱਤਿਆਚਾਰ
আক্রমণ,ਹਮਲਾ
অলিক কাউন্সিল,ਔਲਿਕ ਕੌਂਸਲ
দেবীর কুঠার (=দেহী কুঠার),ਦੇਵੀ ਦੀ ਕੁਹਾੜੀ (= ਦੇਵੀ ਦੀ ਕੁਹਾੜੀ)
অক্ষ (=রোম-বার্লিন-টোকিও অক্ষ),ਐਕਸਿਸ (=ਰੋਮ-ਬਰਲਿਨ-ਟੋਕੀਓ ਐਕਸਿਸ)
ব্যাবিলন,ਬਾਬਲ
ব্যাবিলনীয় বন্দিত্ব (=ব্যাবিলনীয় বন্দিত্ব),ਬਾਬਲੀ ਗ਼ੁਲਾਮੀ (=ਬੇਬੀਲੋਨ ਦੀ ਗ਼ੁਲਾਮੀ)
বাচনাল ভক্ত,ਬਚਨਲ ਭਗਤ
বাচনালিয়া,ਬਚਨਲਿਆ
ব্যাচেলর,ਕੁਆਰਾ
বাগদাদ চুক্তি,ਬਗਦਾਦ ਸਮਝੌਤਾ
বলকান লীগ,ਬਾਲਕਨ ਲੀਗ
বলকান চুক্তি,ਬਾਲਕਨ ਸਮਝੌਤਾ
বলকান যুদ্ধ,ਬਾਲਕਨ ਯੁੱਧ
বাল্টিক চুক্তি,ਬਾਲਟਿਕ ਸਮਝੌਤਾ
দস্যু,ਡਾਕੂ
বান্দুং সম্মেলন,ਬੈਂਡੁੰਗ ਕਾਨਫਰੰਸ
নির্বাসন,ਦੇਸ਼ ਨਿਕਾਲੇ
ব্যানার,ਬੈਨਰ
অসভ্য,ਵਹਿਸ਼ੀ
বারবিকান,ਬਾਰਬੀਕਨ
বারদোলী সত্যাগ্রহ,ਬਾਰਡੋਲੀ ਸੱਤਿਆਗ੍ਰਹਿ
শস্যাগার বার্নার্স,ਬਾਰਨ ਬਰਨਰ
ব্যারন,ਬੈਰਨ
ব্যারোনেজ,ਬੈਰੋਨੇਜ
ব্যারনস মেজরস,ਬੈਰੋਨਸ ਮੇਜਰਸ
ব্যারোনস মাইনরস,ਬੈਰੋਨਸ ਨਾਬਾਲਗ
ব্যারনেস,ਬੈਰੋਨੇਸ
ব্যারোনেট,ਬੈਰੋਨੇਟ
ব্যারোনেটেজ,ਬੈਰੋਨੇਟੇਜ
ব্যারোনেটেজ,ਬੈਰੋਨੇਟੇਜ
ব্যারোনেটসি,ਬੈਰੋਨੇਟਸੀ
ব্যারনি,ਬੈਰੋਨੀ
ব্যারাকুন,ਬੈਰਾਕੂਨ
ব্যারাকুন,ਬੈਰਾਕੂਨ
ব্যারিকেড (=ব্যারিকেড),ਬੈਰੀਕੇਡ (= ਬੈਰੀਕੇਡੋ)
ব্যারিকেড (=ব্যারিকেড),ਬੈਰੀਕੇਡ (= ਬੈਰੀਕੇਡੋ)
ব্যারিকেড (=ব্যারিকেড),ਬੈਰੀਕੇਡ (= ਬੈਰੀਕੇਡੋ)
সেনাঘাঁটি,ਬੇਸ ਕੈਂਪ
ব্যাসিলিকা,ਬੇਸਿਲਿਕਾ
ব্যাসিলিকা,ਬੇਸਿਲਿਕਾ
বাস্তিলা,ਬਸਤੀਲਾ
বাস্তিল,ਬੈਸਟਿਲ
বাস্তিল,ਬੈਸਟਿਲ
ব্যাটারি,ਬੈਟਰੀ
যুদ্ধ,ਲੜਾਈ
ব্যাটলে-অ্যারে,ਬੈਟਲੇ-ਐਰੇ
যুদ্ধ কান্না,ਲੜਾਈ ਦਾ ਰੋਣਾ
যুদ্ধ দিন,ਲੜਾਈ ਦੀਨ
যুদ্ধক্ষেত্র,ਲੜਾਈ ਦਾ ਮੈਦਾਨ
যুদ্ধের স্তব,ਲੜਾਈ ਦਾ ਭਜਨ
স্পার্সের যুদ্ধ,ਸਪਰਸ ਦੀ ਲੜਾਈ
স্ট্যান্ডার্ড যুদ্ধ,ਸਟੈਂਡਰਡ ਦੀ ਲੜਾਈ
যুদ্ধজাহাজ,ਬੈਟਲਸ਼ਿਪ
যুদ্ধজাহাজ-শক্তি,ਬੈਟਲਸ਼ਿਪ-ਤਾਕਤ
Bayeux ট্যাপেস্ট্রি,Bayeux tapestry
বীকন,ਬੀਕਨ
বীকন টাওয়ার,ਬੀਕਨ ਟਾਵਰ
বিভার,ਬੀਵਰ
বিভার,ਬੀਵਰ
সমুদ্রের ভিক্ষুক,ਸਮੁੰਦਰ ਦੇ ਭਿਖਾਰੀ
বেলিকোস,ਬੇਲੀਕੋਜ਼
বেলিকোস,ਬੇਲੀਕੋਸ
বেলিকোস,ਬੇਲੀਕੋਜ਼
বেলিকোসিটি,ਬੇਲੀਕੋਸਿਟੀ
বেলোনা,ਬੇਲੋਨਾ
উপকারিতা,ਲਾਭ
যাজকদের সুবিধা,ਪਾਦਰੀਆਂ ਦਾ ਲਾਭ
বেনেলাক্স,ਬੇਨੇਲਕਸ
বার্লিন ডিক্রি,ਬਰਲਿਨ ਫ਼ਰਮਾਨ
বেসার,ਬੇਸਰਕਰ
বেসান্ট (=বেজেন্ট),ਬੇਸੰਤ (=ਬੇਜ਼ੰਤ)
বেথেল,ਬੈਥਲ
বিবিলিওলেটর,ਬਾਈਬਲੀਓਲੇਟਰ
বিবিলিওলাট্রি,ਬਿਬਲਿਓਲਾਟਰੀ
বিগ বার্থা,ਵੱਡੀ ਬਰਥਾ
বিগট,ਬਿਗੌਟ
বিলেটিং,ਬਿਲੀਟਿੰਗ
অ্যাটেন্ডারের বিল,ਅਟੈਂਡਰ ਦਾ ਬਿੱਲ
অধিকার বিল,ਅਧਿਕਾਰਾਂ ਦਾ ਬਿੱਲ
জীবনীকার,ਜੀਵਨੀਕਾਰ
জন্মের গল্প,ਜਨਮ ਕਹਾਣੀਆਂ
বিভাক,ਬਿਵੁਆਕ
বিভাক,ਬਿਵੁਆਕ
বিভাক,ਬਿਵੁਆਕ
বিজোনিয়া,ਬਿਜੋਨੀਆ
কালো পাখি,ਕਾਲਾ ਪੰਛੀ
কালো পতাকা,ਕਾਲਾ ਝੰਡਾ
কৃষ্ণ গহ্বর,ਕਾਲਾ ਮੋਰੀ
কৃষ্ণ গহ্বর,ਕਾਲਾ ਮੋਰੀ
কালো পা (= স্ক্যাব),ਕਾਲੀ ਲੱਤ (= ਖੁਰਕ)
কালো শার্ট,ਕਾਲੀ ਕਮੀਜ਼
ব্লাজন,ਬਲੇਜ਼ਨ
ব্লাজন,ਬਲੇਜ਼ਨ
ব্লাজনরি,ਧਮਾਕੇਦਾਰ
ব্লাজনরি,ਧਮਾਕੇਦਾਰ
Blitzkrieg,ਬਲਿਟਜ਼ਕਰੀਗ
রক্তহীন বিপ্লব (=গৌরবময় বিপ্লব),ਖੂਨ ਰਹਿਤ ਇਨਕਲਾਬ (= ਸ਼ਾਨਦਾਰ ਇਨਕਲਾਬ)
ব্লাডওয়াইট,ਬਲੱਡਵਾਈਟ
ব্লাডি মেরি,ਖੂਨੀ ਮੈਰੀ
নীল,ਨੀਲਾ
আভিজাত্য,ਨੀਲਾ ਖੂਨ
নীল বই,ਨੀਲੀ ਕਿਤਾਬ
নীল পটি,ਨੀਲਾ ਰਿਬਨ
নীল পটি,ਨੀਲਾ ਰਿਬਨ
ব্লুজ (=রয়্যাল হর্স গার্ড),ਬਲੂਜ਼ (=ਰਾਇਲ ਹਾਰਸ ਗਾਰਡ)
নীল শার্ট,ਨੀਲੀ ਕਮੀਜ਼
ব্লু ওয়াটার স্কুল,ਬਲੂ ਵਾਟਰ ਸਕੂਲ
নিয়ন্ত্রণ বোর্ড,ਕੰਟਰੋਲ ਬੋਰਡ
শরীরবর্ম,ਸਰੀਰ ਦੇ ਬਸਤ੍ਰ
বোয়ার,ਬੋਅਰ
লুঠ,ਲੁੱਟ
বরো,ਬੋਰੋ
বুলিউটেরিয়ন,ਬੁਲੇਉਟੇਰੀਅਨ
বোরবন,ਬੋਰਬਨ
বক্সার বিদ্রোহ,ਮੁੱਕੇਬਾਜ਼ ਬਗਾਵਤ
বন্ধনী,ਬ੍ਰੇਸ
ব্রাসার্ড,ਬ੍ਰਾਸਾਰਡ
ব্রাসার্ড,ਬ੍ਰਾਸਾਰਡ
রুটি উপনিবেশ,ਰੋਟੀ ਦੀਆਂ ਬਸਤੀਆਂ
ব্রেস্ট প্লেট,ਛਾਤੀ ਪਲੇਟ
স্তনের কাজ,ਛਾਤੀ ਦਾ ਕੰਮ
ব্রেটওয়াল্ডা,ਬਰੇਟਵਾਲਡਾ
ব্রিগ্যান্ড,ਬ੍ਰਿਗੈਂਡ
ব্রিগ্যান্ডেজ,ਬ੍ਰਿਗੇਂਡੇਜ
ব্রিটিশ কমনওয়েলথ অফ নেশনস,ਬ੍ਰਿਟਿਸ਼ ਕਾਮਨਵੈਲਥ ਆਫ ਨੇਸ਼ਨਜ਼
ব্রাউন শার্ট (=নাৎসি),ਭੂਰੇ ਰੰਗ ਦੀਆਂ ਕਮੀਜ਼ਾਂ (=ਨਾਜ਼ੀਆਂ)
ব্রাসেলস চুক্তি (চুক্তি) সংস্থা (=পশ্চিম ইউরোপীয় ইউনিয়ন),ਬ੍ਰਸੇਲਜ਼ ਸੰਧੀ (ਪੈਕਟ) ਸੰਗਠਨ (= ਪੱਛਮੀ ਯੂਰਪੀਅਨ ਯੂਨੀਅਨ)
বাফ,ਮੱਝ
বাফ,ਮੱਝ
বাফ-কোট,ਮੱਝ-ਕੋਟ
বাফস,ਮੱਝਾਂ
বুলে (= পরিষদ),ਬੁਲੇ (=ਕੌਂਸਲ)
বার্গেজ,ਬਰਗੇਜ
বার্গেস,ਬਰਗੇਸ
বাইজেন্টাইন,ਬਿਜ਼ੰਤੀਨੀ
বাইজেন্টাইন গির্জা,ਬਿਜ਼ੰਤੀਨੀ ਚਰਚ
বাইজেন্টাইন সাম্রাজ্য,ਬਿਜ਼ੰਤੀਨੀ ਸਾਮਰਾਜ
বাইজেন্টাইন যুগ,ਬਿਜ਼ੰਤੀਨੀ ਯੁੱਗ
বাইজেন্টাইন ইতিহাসবিদ,ਬਿਜ਼ੰਤੀਨੀ ਇਤਿਹਾਸਕਾਰ
ক্যাবল,ਕਾਬਲ
সিজারিজম,ਕੈਸਰਵਾਦ
খলিফা,ਖਲੀਫਾ
ক্যালিগ্রাফার,ਕੈਲੀਗ੍ਰਾਫਰ
ক্যালিগ্রাফিস্ট,ਕੈਲੀਗ੍ਰਾਫਿਸਟ
ক্যালিগ্রাফি,ਕੈਲੀਗ੍ਰਾਫੀ
ক্যালট্রপ,ਕੈਲਟ੍ਰੋਪ
বন্ধুত্ব,ਦੋਸਤੀ
ক্যামারিলা,ਕੈਮਰਿਲਾ
ক্যামারিলা,ਕੈਮਰਿਲਾ
ক্যামেলাউকাম,ਕੈਮਲੌਕਮ
ছদ্মবেশ,ਕੈਮੋਫਲੇਜ
প্রচারণা,ਮੁਹਿੰਮ
শিবিরের অনুসারী,ਕੈਂਪ ਫਾਲੋਅਰ
ক্যাম্পো সান্টো,ਕੈਂਪੋ ਸੈਂਟੋ
ক্যাম্পাস মার্টিয়াস,ਕੈਂਪਸ ਮਾਰਟੀਅਸ
ক্যানেফোরা,ਕੈਨੇਫੋਰਾ
ক্যাঙ্গু,ਕੈਂਗੂ
কামান,ਕੈਨੋਨੇਡ
কামানের খাদ্যরুপে পরিগণিত মানুষ,ਤੋਪ ਚਾਰਾ
ক্যানন,ਕੈਨਨ
ক্যানন আইন,ਕੈਨਨ ਕਾਨੂੰਨ
ক্যানোপাস ডিক্রি,ਕੈਨੋਪਸ ਫ਼ਰਮਾਨ
ক্যান্টিং অস্ত্র,ਕੈਂਟਿੰਗ ਹਥਿਆਰ
বন্দী,ਬੰਦੀ
বন্দী,ਕੈਪਟਰ
মৌলিক,ਕਾਰਡੀਨਲ
কার্ল,ਕਾਰਲ
ক্যারোলিংজিয়ান রাজবংশ,ਕੈਰੋਲਿੰਗੀਅਨ ਰਾਜਵੰਸ਼
কার্থুসিয়ান সম্প্রদায়,ਕਾਰਥੁਸੀਅਨ ਸੰਪਰਦਾ
কার্টোসা,ਕਾਰਟੋਸਾ
কাস্টেলীয়,ਕੈਸਟਲੀਅਨ
কাস্টেলীয়,ਕੈਸਟਲੀਅਨ
বর্ণপ্রথা,ਜਾਤ ਪ੍ਰਣਾਲੀ
দুর্গ,ਕਿਲ੍ਹਾ
দুর্গ,ਕਿਲ੍ਹਾ
দুর্গ শহর,ਕੈਸਲ ਸ਼ਹਿਰ
কাস্ত্রা,ਕਾਸਟਰਾ
কাস্ত্রা,ਕਾਸਟਰਾ
ক্যাথেড্রা,ਕੈਥੇਡਰਾ
ক্যাথিড্রাল,ਗਿਰਜਾਘਰ
ক্যাটো স্ট্রিট ষড়যন্ত্র,ਕੈਟੋ ਸਟ੍ਰੀਟ ਸਾਜ਼ਿਸ਼
কাউডিলো,ਕਾਉਡੀਲੋ
অশ্বারোহী,ਕੈਵਲੀਅਰ
অশ্বারোহী,ਕੈਵਲੀਅਰ
অশ্বারোহী সংসদ,ਕੈਵਲੀਅਰ ਸੰਸਦ
আদুল্লামের গুহা,ਅਦੁੱਲਮ ਦੀ ਗੁਫਾ
গুহাচিত্র,ਗੁਫਾ ਚਿੱਤਰਕਾਰੀ
গুহাচিত্র,ਗੁਫਾ ਚਿੱਤਰਕਾਰੀ
সেন্টুমভির,ਸੇਂਟਮਵੀਰ
সেঞ্চুরিয়ান,ਸੈਂਚੁਰੀਅਨ
সেঞ্চুরি,ਸਦੀ
চেইন আর্মার (= চেইন মেইল),ਚੇਨ ਆਰਮਰ (= ਚੇਨ ਮੇਲ)
চ্যানট্রি,ਛੰਤਰੀ
চ্যানট্রি,ਛੰਤਰੀ
চ্যাপ বই,ਚੈਪ ਕਿਤਾਬ
চ্যাপলিন,ਪਾਦਰੀ
অধ্যায়,ਅਧਿਆਇ
দুর্ঘটনার অধ্যায়,ਹਾਦਸਿਆਂ ਦਾ ਅਧਿਆਇ
চার্জ,ਚਾਰਜ
চার্জ ডি অ্যাফেয়ার্স,ਚਾਰਜ ਡੀ
চার্জ বিভাজন,ਚਾਰਜ ਵਿਭਾਜਨ
চার্জার,ਚਾਰਜਰ
রথ,ਰੱਥ
সারথি,ਰੱਥ
সারথি,ਰੱਥ
সারথি,ਰੱਥ
দাতব্য রান্নাঘর,ਚੈਰਿਟੀ ਰਸੋਈ
সনদ,ਚਾਰਟਰ
চার্টিস্ট আন্দোলন (=চার্টিজম),ਚਾਰਟਿਸਟ ਅੰਦੋਲਨ (=ਚਾਰਟਿਜ਼ਮ)
চার্টোফাইলাসিয়াম,ਚਾਰਟੋਫਾਈਲੇਸ਼ੀਅਮ
Chateau,Chateau
চেক পোস্ট,ਚੈੱਕ ਪੋਸਟ
রাসায়নিক যুদ্ধ,ਰਸਾਇਣਕ ਯੁੱਧ
চেস্টার,ਚੈਸਟਰ
প্রধান,ਮੁੱਖ
প্রধান,ਸਰਦਾਰ
প্রধান,ਸਰਦਾਰ
প্রধান,ਸਰਦਾਰ
শিফন,ਸ਼ਿਫੋਨ
বীরত্ব,ਸ਼ਿਸ਼ਟਾਚਾਰ
নির্বাচিত মানুষ,ਚੁਣੇ ਹੋਏ ਲੋਕ
ক্রিসমোগ্রাফিয়ন,ਕ੍ਰਿਸਮੋਗ੍ਰਾਫੀ
খ্রিস্টধর্ম,ਈਸਾਈ-ਜਗਤ
খ্রিস্টীয় যুগ,ਈਸਾਈ ਯੁੱਗ
খ্রিস্টান সমাজতন্ত্র,ਈਸਾਈ ਸਮਾਜਵਾਦ
ক্রনিকল,ਇਤਹਾਸ
ক্রনিকলার,ਇਤਿਹਾਸਕਾਰ
Chryse Chersonese,Chryse Chersonese
সিমেলিয়াম,ਸਿਮਲੀਅਮ
সিনকুয়েসেন্টো স্টাইল,Cinquecento ਸ਼ੈਲੀ
পরিক্রমা,ਸਰਕਮਨੇਵੀਗੇਸ਼ਨ
সিস্টারসিয়ান সন্ন্যাসী,ਸਿਸਟਰਸੀਅਨ ਭਿਕਸ਼ੂ
সিটাডেল,ਕਿਲਾ
উদ্ধৃতি,ਹਵਾਲਾ
উদ্ধৃতি,ਹਵਾਲਾ
আইন অমান্য,ਸਿਵਲ ਅਣਆਗਿਆਕਾਰੀ
গৃহযুদ্ধ,ਸਿਵਲ ਯੁੱਧ
সিভিস রোমানাস,ਸਿਵਿਸ ਰੋਮਨਸ
শাস্ত্রীয় বয়স,ਕਲਾਸੀਕਲ ਉਮਰ
ক্লেফ্ট (=ক্লেফ্ট),ਕਲੀਫ਼ਟ (=ਕਲੇਫ਼ਟ)
কেরানিবাদ,ਕਲਰਕਵਾਦ
ক্লারাচ,ਕਲਰਚ
ক্লুনিয়াক আন্দোলন,ਕਲੀਨਿਕ ਅੰਦੋਲਨ
কোট বর্ম,ਕੋਟ ਸ਼ਸਤ੍ਰ
অস্ত্রের কোট,ਹਥਿਆਰਾਂ ਦਾ ਕੋਟ
অস্ত্রের কোট,ਹਥਿਆਰਾਂ ਦਾ ਕੋਟ
অস্ত্রের কোট,ਹਥਿਆਰਾਂ ਦਾ ਕੋਟ
ডাকের কোট,ਡਾਕ ਦਾ ਕੋਟ
সমদল,ਸਮੂਹ
কমিটিয়া,ਕੋਮੀਟੀਆ
Comitia Centuriata,Comitia Centuriata
কমিটিয়া কুরিয়াটা,Comitia Curiata
Comitia Tributa,ਕੋਮੀਟੀਆ ਟ੍ਰਿਬੂਟਾ
স্মারক খিলান,ਯਾਦਗਾਰੀ arch
স্মারক মুদ্রা,ਯਾਦਗਾਰੀ ਸਿੱਕਾ
স্মারক সীলমোহর,ਯਾਦਗਾਰੀ ਮੋਹਰ
সাধারণ ক্ষেত্র,ਆਮ ਖੇਤਰ
কমুনার্ড,Communard
কনকর্ড্যাট,ਕਨਕੋਰਡੈਟ
কনকর্ড্যাট,ਕਨਕੋਰਡੈਟ
কনডোটিয়ের,ਕੰਡੋਟੀਏਰ
নিশ্চিতকরণ Cartarum,ਪੁਸ਼ਟੀਕਰਣ ਕਾਰਟਾਰਮ
দ্বন্দ্ব,ਟਕਰਾਅ
ধর্মসভা,ਮੰਡਲੀ
বিজয়ী রাষ্ট্র,ਜਿੱਤਣ ਵਾਲਾ ਰਾਜ
বিজয়ী,ਜੇਤੂ
বিজয়ী,ਵਿਜੇਤਾ
কনসিলিয়াম,ਕੌਸਿਲਿਅਮ
কনসিস্টরি,ਕੰਸਿਸਟਰੀ
ষড়যন্ত্র,ਸਾਜ਼ਿਸ਼
ষড়যন্ত্র,ਸਾਜ਼ਿਸ਼
কনস্যুলেট,ਕੌਂਸਲੇਟ
কনসুলেশন বই,ਸਲਾਹ-ਮਸ਼ਵਰੇ ਦੀ ਕਿਤਾਬ
মহাদেশীয় ব্যবস্থা,ਮਹਾਂਦੀਪੀ ਪ੍ਰਣਾਲੀ
