Assamese,Odiya
বেৰেটৰ,ବ୍ୟାରେଟର୍
বাধা,ପ୍ରତିବନ୍ଧକ |
ইনচুলেটিং কেপাচিটৰ,ଇନସୁଲେଟିଂ କ୍ୟାପେସିଟର୍ |
বাধা শক্তি,ପ୍ରତିବନ୍ଧକ ଶକ୍ତି |
ৰেজিষ্টৰ ভল্টেজ,ପ୍ରତିରୋଧକ ଭୋଲଟେଜ୍ |
বাৰ্টলেট উইণ্ড&#39;,ବାର୍ଟଲେଟ୍ ୱିଣ୍ଡୋ |
"ভিত্তি, ভিত্তি","ଆଧାର, ଆଧାର"
বেচ বেণ্ড,ବେସ୍ ବ୍ୟାଣ୍ଡ |
বেচ বেণ্ড ট্ৰেন্সমিছন,ବେସ୍ ବ୍ୟାଣ୍ଡ ଟ୍ରାନ୍ସମିସନ୍ |
ভিত্তি চাৰ্জ,ଆଧାର ଚାର୍ଜ |
বেচ কাৰেণ্ট,ମୂଳ କରେଣ୍ଟ୍ |
ভিত্তি বিদ্যুৎ প্ৰবাহৰ উৎস,ମୂଳ ସାମ୍ପ୍ରତିକ ଉତ୍ସ |
বেচ শ্বিয়াৰিং,ମୂଳ କାଟିବା |
আধাৰ মদন,ଆଧାର ମଦନ
বেচ এমিটাৰ ফিড,ବେସ୍ ଏମିଟର ଫିଡ୍ |
বেচ এমিটাৰ জংচন,ବେସ୍ ଏମିଟର ଜଙ୍କସନ |
বেচ ইনজেকচন,ମୂଳ ଇଞ୍ଜେକ୍ସନ୍ |
গ্ৰাউণ্ড লাইন,ଭୂମି ରେଖା
ভিত্তি ৰেজিষ্টেন্স,ମୂଳ ପ୍ରତିରୋଧ |
ভিত্তি উৎস,ମୂଳ ଉତ୍ସ |
ভিত্তি প্ৰসাৰণ প্ৰতিৰোধ ক্ষমতা,ଆଧାର ବିସ୍ତାର ପ୍ରତିରୋଧ |
ভিত্তি প্ৰসাৰণ প্ৰতিৰোধ ক্ষমতা,ଆଧାର ବିସ୍ତାର ପ୍ରତିରୋଧ |
ভিত্তিৰ বেধ,ମୂଳ ଘନତା |
ভিত্তি অভিগম,ଆଧାର ପ୍ରବେଶ
"ভিত্তি প্ৰস্থ মডুলেচন, ভিত্তি সম্প্ৰসাৰণ মডুলেচন","ବେସ୍ ଓସାର ମଡ୍ୟୁଲେସନ୍, ବେସ୍ ବିସ୍ତାର ମଡ୍ୟୁଲେସନ୍ |"
ভিত্তি সংগ্ৰাহক চুক্তি,ଆଧାର ସଂଗ୍ରହକାରୀ ଚୁକ୍ତି |
গোন্ধ,ଗନ୍ଧ
বেছ ফ্ৰিকুৱেন্সি,ବାସ୍ ଫ୍ରିକ୍ୱେନ୍ସି |
বেটাৰি,ବ୍ୟାଟେରୀ
baud,baud
বড হাৰ,ବାଉଡ୍ ହାର
বড হাৰ জেনেৰেটৰ,ବାଉଡ୍ ରେଟ୍ ଜେନେରେଟର |
বডো ক&#39;ড,ବୋଡୋ କୋଡ୍ |
"সংকেত, বিকন","ସଙ୍କେତ, ବିକନ୍ |"
"মণিকা, বিড","ମାଣିକା, ବିଡ୍ |"
মেনিক কেপাচিটৰ,ମାଣିକ କ୍ୟାପେସିଟର୍ |
মণিকাৰতাপি ৰেজিষ্টৰ,ମାଣିକାର୍ଟାପି ପ୍ରତିରୋଧକ |
"ৰশ্মি এন্টেনা, ৰশ্মি এন্টেনা","ବିମ୍ ଆଣ୍ଟେନା, ବିମ୍ ଆଣ୍ଟେନା |"
ৰশ্মি ডিটেক্টৰ,ବିମ୍ ଡିଟେକ୍ଟର୍ |
ৰশ্মি শক্তিৰ নলী,ବିମ୍ ପାୱାର୍ ହୋସ୍ |
ৰশ্মি চুইচিং নজেল,ବିମ୍ ସୁଇଚ୍ ନୋଜଲ୍ |
ৰশ্মি প্ৰসাৰণ,ବିମ୍ ବିସ୍ତାର
বিট ফ্ৰিকুৱেন্সি,ଫ୍ରିକ୍ୱେନ୍ସି
বিট-ফ্ৰিকুৱেন্সি অচিলেটৰ,ବିଟ୍-ଫ୍ରିକ୍ୱେନ୍ସି ଓସିଲେଟର |
পালছ দোলক,ନାଡ ଓସିଲେଟର |
বেল,ବେଲ୍ |
বেণ্ডিং লছ,ନମ୍ର କ୍ଷତି |
বেচেল ফিল্টাৰ,ବେସେଲ୍ ଫିଲ୍ଟର୍ |
বিটা,ବିଟା |
খ-হ বক্ৰ,b-h ବକ୍ର
"bias, পক্ষপাতিত্ব","ପକ୍ଷପାତ, ପକ୍ଷପାତ |"
বায়াছ কাৰেণ্ট,ପକ୍ଷପାତ କରେଣ୍ଟ |
বায়াছ ৰেজিষ্টেন্স,ପକ୍ଷପାତ ପ୍ରତିରୋଧ |
ডাবল এন্টেনা,ଡବଲ୍ ଆଣ୍ଟେନା |
দ্বিমুখী লোড কাৰেণ্ট,ଦ୍ୱି-ଦିଗୀୟ ଲୋଡ୍ କରେଣ୍ଟ୍ |
দ্বিমুখী এন্টেনা,ଦ୍ୱି-ଦିଗୀୟ ଆଣ୍ଟେନା |
দ্বিমুখী পোহৰ নিৰ্গত কৰা ডাইঅ&#39;ড,ଦ୍ୱି-ଦିଗୀୟ ଆଲୋକ ନିର୍ଗତ ଡାୟୋଡ୍ |
দ্বিমুখী থাইৰিষ্টৰ,ଦ୍ୱି-ଦିଗୀୟ ଥିରିଷ୍ଟର |
bi FET প্ৰযুক্তি,bi FET ଟେକ୍ନୋଲୋଜି |
বাই পইণ্ট ট্ৰেন্সফৰ্মাৰ,ବି ପଏଣ୍ଟ ଟ୍ରାନ୍ସଫର୍ମର |
ডাবল ফিউজন,ଡବଲ୍ ଫ୍ୟୁଜନ୍ |
দ্বিপাক্ষিক বৰ্তনী,ଦ୍ୱିପାକ୍ଷିକ ସର୍କିଟ |
বাইনাৰী,ବାଇନାରୀ
বাইনাৰী যোগফল,ବାଇନାରୀ ରାଶି
বাইনাৰী বৰ্তনী,ବାଇନାରୀ ସର୍କିଟ |
বাইনাৰী ক&#39;ড কৰা দশমিক,ବାଇନାରୀ କୋଡେଡ୍ ଦଶମିକ |
বাইনাৰী ক&#39;ড কৰা দশমিক ব্যৱস্থা,ବାଇନାରୀ କୋଡେଡ୍ ଦଶମିକ ସିଷ୍ଟମ୍ |
বাইনাৰী ডাইপোল কেপাচিটৰ,ବାଇନାରୀ ଡିପୋଲ୍ କ୍ୟାପେସିଟର୍ |
বাইনাৰী কেলকুলেটৰ,ବାଇନାରୀ କାଲକୁଲେଟର
বাইনাৰী কেলকুলেটৰ,ବାଇନାରୀ କାଲକୁଲେଟର
বাইনাৰী ডিকোডাৰ,ବାଇନାରୀ ଡିକୋଡର୍ |
বাইনাৰী জখলা,ବାଇନାରୀ ସିଡ଼ି |
বাইনাৰী পেথ&#39;মিটাৰ,ବାଇନାରୀ ପାଥୋମିଟର |
বাইনাৰী অৱস্থা,ବାଇନାରୀ ଅବସ୍ଥା |
বাইনাৰী-দশমিক ডিকোডাৰ,ବାଇନାରୀ-ଦଶମିକ ଡିକୋଡର୍ |
বাইনাৰী লোড,ବାଇନାରୀ ଲୋଡ୍ |
বাইনাৰী শব্দ,ବାଇନାରୀ ଶବ୍ଦ |
বাইপোলাৰ,ଦ୍ୱିପାକ୍ଷିକ
বাইপোলাৰ কেপাচিটৰ,ଦ୍ୱିପାକ୍ଷିକ କ୍ୟାପେସିଟର୍ |
বাইপোলাৰ ডিভাইচ,ଦ୍ୱିପାକ୍ଷିକ ଉପକରଣ |
বাইপোলাৰ উৎস,ଦ୍ୱିପାକ୍ଷିକ ଉତ୍ସ |
বাইপোলাৰ ট্ৰেঞ্জিষ্টৰ,ଦ୍ୱିପାକ୍ଷିକ ଟ୍ରାନଜିଷ୍ଟର |
বাইপোলাৰ জংচন ট্ৰেঞ্জিষ্টৰ,ଦ୍ୱିପାକ୍ଷିକ ଜଙ୍କସନ୍ ଟ୍ରାନଜିଷ୍ଟର |
দ্বিঘাত ফিল্টাৰ,ଚତୁର୍ଭୁଜ ଫିଲ୍ଟର୍ |
ডাবল পজিচন,ଡବଲ୍ ପୋଜିସନ୍ |
দুটা পৰ্যায়ৰ মাল্টিভাইব্ৰেটৰ,ଦୁଇ ପର୍ଯ୍ୟାୟ ମଲ୍ଟିଭାଇବ୍ରେଟର |
দ্বিমুখী ৰিলে,ଦ୍ୱି-ଦିଗୀୟ ରିଲେ |
দুটা পৰ্যায়ৰ অৱস্থা,ଦୁଇ ପର୍ଯ୍ୟାୟ ଅବସ୍ଥା |
দুটা অৱস্থানৰ ট্ৰিগাৰ,ଦୁଇ-ଅବସ୍ଥାନ ଟ୍ରିଗର |
বিট ভুল,ବିଟ୍ ତ୍ରୁଟି |
বিট ভুলৰ হাৰ,ବିଟ୍ ତ୍ରୁଟି ହାର
বিট ভুল,ବିଟ୍ ତ୍ରୁଟି |
bitkal ত্ৰুটি,ବିଟ୍କାଲ୍ ତ୍ରୁଟି |
অন্ধ বাকচ,ଅନ୍ଧ ବାକ୍ସ
ঘনীভূত স্পন্দন,ଘନୀଭୂତ ନାଡ |
নিঃসৰণকাৰী,ସଚିବ
নিঃসৰণ প্ৰতিৰোধক,ଗୁପ୍ତ ପ୍ରତିବନ୍ଧକ |
অন্ধতা,ଅନ୍ଧତା
ছেগমেণ্ট ডায়াগ্ৰাম,ବିଭାଗ ଚିତ୍ର
ব্লক কৰা ইম্পিডেন্স,ପ୍ରତିବନ୍ଧକକୁ ଅବରୋଧ କରିବା |
ফ্ৰেগমেণ্ট ট্ৰেন্সফাৰ,ଖଣ୍ଡ ସ୍ଥାନାନ୍ତର |
ইন্টাৰচেপ্ট,ବାଧା
ৰেজিষ্টৰ কেপাচিটৰ,ପ୍ରତିରୋଧକ କ୍ୟାପେସିଟର |
ৰেজিষ্টৰ কেপাচিটৰ,ପ୍ରତିରୋଧକ କ୍ୟାପେସିଟର |
ব্লক কৰা দোলক,ଓସିଲେଟରକୁ ଅବରୋଧ କରିବା |
ৰেজিষ্টৰ দোলক,ପ୍ରତିରୋଧକ ଓସିଲେଟର |
ৰেজিষ্টৰ ভল্টেজ,ପ୍ରତିରୋଧକ ଭୋଲଟେଜ୍ |
ব্ল&#39;ৱাৰ,ବ୍ଲୋଅର୍ |
বোড ডায়াগ্ৰাম,ବୋଡ ଚିତ୍ର
voltzmann সম্পৰ্ক,voltzmann ସମ୍ପର୍କ
voltzmann ধ্ৰুৱক,voltzmann ସ୍ଥିର |
বান্ধোন,ବନ୍ଧନ
বান্ধি ৰখা ষ্ট্ৰেইন গেজ,ବନ୍ଧା ହୋଇଥିବା ଷ୍ଟ୍ରେନ୍ ଗେଜ୍ |
স্ব-সহায়ক এম্প্লিফায়াৰ,ସ୍ୱୟଂ ଚାଳିତ ଏମ୍ପ୍ଲିଫାୟର୍ |
বুলিয়ান বীজগণিত,ବୁଲିଅନ୍ ବୀଜ ବିବେଚନା |
বুলিয়ান সমীকৰণ,ବୁଲିଅନ୍ ସମୀକରଣ |
বুট ষ্ট্ৰেপন,ବୁଟ୍ ଷ୍ଟ୍ରାପନ୍ |
বুথৰ এলগৰিদম,ବୁଥ୍ ର ଆଲଗୋରିଦମ |
বুটষ্ট্ৰেপ প্ৰিজম বৰ্তনী,ବୁଟ୍ ଷ୍ଟ୍ରାପ୍ ପ୍ରିଜିମ୍ ସର୍କିଟ୍ |
bosscutts শাসন কৰে,ବସ୍କଟ୍ ନିୟମ |
বসু-চৌধাৰী হকেনহাম (BCH) কোড,ବୋଷ-ଚ owd ଧୁରୀ ହକେନହମ୍ (BCH) କୋଡ୍ |
"জপিয়াই, জপিয়াই","ଡେଇଁବା, ଡେଇଁବା |"
বান্ধ খাই থকা ইলেক্ট্ৰন,ବନ୍ଧା ଇଲେକ୍ଟ୍ରନ୍ |
bragg প্ৰতিফলক,ଗର୍ବ ପ୍ରତିଫଳକ |
আন্তঃসংলগ্ন তাঁৰ,ଅନ୍ତର୍ନିହିତ ତାର
শাখা,ଶାଖା
শাখা-প্ৰশাখা,ଶାଖା
পৰীক্ষা বৰ্ড,ପରୀକ୍ଷଣ ବୋର୍ଡ |
ব্ৰেক জ&#39;ন,ବ୍ରେକ୍ ଜୋନ୍ |
ভল্টেজ ভাঙি যোৱা,ଭୋଲଟେଜ୍ ଭାଙ୍ଗିବା |
ব্ৰেকডাউন ডাইঅ&#39;ড,ବ୍ରେକଡାଉନ୍ ଡାୟୋଡ୍ |
ভাঙন স্থিৰকৰণ,ଭଙ୍ଗା ଫିକ୍ସିଂ |
ভল্টেজ ভাঙি যোৱা,ଭୋଲଟେଜ୍ ଭାଙ୍ଗିବା |
সেঁতু,ସେତୁ
ব্ৰীজ ৰেক্টিফায়াৰ,ବ୍ରିଜ୍ ରେକ୍ଟିଫାୟର୍ |
বহল বেণ্ড,ପ୍ରଶସ୍ତ ବ୍ୟାଣ୍ଡ |
সম্প্ৰচাৰ বেণ্ড,ପ୍ରସାରଣ ବ୍ୟାଣ୍ଡ |
নক্ষত্ৰীয় এৰে,ଜ୍ୟୋତିଷ ଆରେ |
সম্প্ৰচাৰ,ପ୍ରସାରଣ
সম্প্ৰচাৰ এন্টেনা,ପ୍ରସାରଣ ଆଣ୍ଟେନା |
সম্প্ৰচাৰ গ্ৰাহক,ପ୍ରସାରଣ ରସିଦ |
কম্পাঙ্ক সম্প্ৰচাৰ গ্ৰাহক,ଫ୍ରିକ୍ୱେନ୍ସି ପ୍ରସାରଣ ରସିଭର୍ |
সম্প্ৰচাৰ ট্ৰেন্সমিটাৰ,ପ୍ରସାରଣ ଟ୍ରାନ୍ସମିଟର |
বুষ্টাৰ এন্টেনা,ବୁଷ୍ଟର୍ ଆଣ୍ଟେନା |
বাছ এন্টেনা,ବସ୍ ଆଣ୍ଟେନା |
ব্ৰাছ বিসৰ্জন,ବ୍ରଶ୍ ବୁଡ ପକାଇବା |
bubbling AND গেট,ବବୁଲିଙ୍ଗ୍ ଏବଂ ଗେଟ୍ |
বুডবুডু বা গেট,ବୁଡବୁଡୁ କିମ୍ବା ଗେଟ୍ |
বুদবুদযুক্ত স্মৃতিশক্তি,ବବୁଲି ମେମୋରୀ |
ক্ষতিপূৰণমূলক ভল্টেজ,ଭୋଲଟେଜ୍ କ୍ଷତିପୂରଣ
বাফাৰ,ବଫର୍
বাফাৰ এম্প্লিফায়াৰ,ବଫର୍ ଏମ୍ପ୍ଲିଫାୟର୍ |
বাফাৰ বৰ্তনী,ବଫର୍ ସର୍କିଟ୍ |
বাফাৰ অপাৰেটৰ,ବଫର୍ ଅପରେଟର୍ |
বাফাৰ ৰেজিষ্টাৰ,ବଫର୍ ରେଜିଷ୍ଟର |
বাল্ব,ବଲ୍ବ
জনসংখ্যাৰ প্ৰভাৱ,ଜନସଂଖ୍ୟା ପ୍ରଭାବ
মেক্ৰ&#39; অৰ্ধপৰিবাহী যন্ত্ৰ,ମାକ୍ରୋ ସେମିକଣ୍ଡକ୍ଟର ଉପକରଣ |
মুঠি,ଗୁଣ୍ଡ |
ডুব যোৱা বিনিময়,ଜଳମଗ୍ନ ବିନିମୟ |
ডুব যোৱা স্তৰ,ଜଳମଗ୍ନ ସ୍ତର |
