Tamil,Hindi
அசைக்ளிக்,अचक्रीय
அசைக்ளிக் வரைபடம்,"1. अचक्रीय आलेख ,2. अचक्रीय ग्राफ"
அட மொழி,एडा कंप्यूटर भाषा
அடாப்டர்,"1. अनुकूलक ,2. अनुकूलित्र"
கூட்டு,योग (करना)
கோப்பை சேர்க்க,योग संचिका
செயல்பாட்டைச் சேர்க்கவும்,"1. जोड़ संक्रिया ,2. योग संक्रिया"
சேர்ப்பான்,योजक
முகவரி,पता
முகவரி பேருந்து,पता बस
முகவரி கோப்பு,पता संचिका
முகவரி வடிவம்,पता आरूप
முகவரி ஜெனரேட்டர்,पता जनक
முகவரி வரி,पता पंक्ति
முகவரி மேப்பிங்,पता प्रतिचित्रण
முகவரி சுட்டி,पता संकेतक
முகவரி பதிவு,पता पंजी
முகவரி தீர்மானம்,पता विघटन
முகவரி மொழிபெயர்ப்பு,पता अनुवाद
நினைவாற்றலை உரையாற்றினார்,"1. पतायुक्त स्मृति ,2. पतायुक्त मेमोरी"
உரையாற்றுவது,पताभिगमन
போதுமான அளவுகோல்கள்,"1. पर्याप्तता निकष ,2. पर्याप्तता कसौटी"
இணைந்த,संलग्न
நிர்வாகம்,"1. प्रबंधन ,2. नियंत्रण"
நிர்வாகி,"1. प्रबंधक ,2. नियंत्रक"
அடோப் அக்ரோபேட்,ऐडोब एक्रोबेट
அடோ போட்டோஷாப்,ऐडोब फोटोशोप
அட்வான்ஸ் பிசினஸ் அப்ளிகேஷன் புரோகிராமிங் (ஏபிஏபி),ए बी ए पी (उन्नत व्यवसाय प्रोग्रामन)
மேம்பட்ட தரவு,"1. उन्नत आंकड़ा ,2. उन्नत डाटा"
மேம்பட்ட தகவல் அமைப்பு,उन्नत सूचना तंत्र
மேம்பட்ட தொழில்நுட்பம் (AT),उन्नत प्रौद्योगिकी (ए टी)
முகவர்,कर्मक
திரட்டுதல்,समुच्चयन
வான்வழி கணினி அமைப்பு,विमानवाहित कंप्यूटर तंत्र
அல்டஸ் பக்க தயாரிப்பாளர்,एल्डस पेज-मेक
எச்சரிக்கை பெட்டி,सचेत पेटी
அல்கோல்,ऐल्गॉल (कंप्यूटर भाषा)
அல்காரிதம்,"1.  एल्गोरिथ्म ,2. कलन विधि"
அல்காரிதம் பகுப்பாய்வு,"1.  एल्गोरिथ्म विश्लेषण ,2. कलन विधि विश्लेषण"
அல்காரிதம் திறன்,एल्गोरिथ्म दक्षता
மாற்றுப்பெயர்,"1. एलिआस ,2. उपनाम ,3. उर्फ"
சீரமைப்பு,संरेखण
ஒதுக்கீடு,"1. आवंटन ,2. नियतन"
அகரவரிசை,"1.अक्षरात्मक ,2. वर्णानुक्रम"
எண்ணெழுத்து,अक्षरांकीय
எண்ணெழுத்து விசைப்பலகை,"1.अक्षरांकीय कुंजीपटल ,2. अक्षराकीय की-बोर्ड"
ஆல்பா-சோதனை,अल्फा-परीक्षण (प्रथम स्तरीय परीक्षण)
ஆல்பா பதிப்பு,"1. अल्फा वर्जन ,2. अल्फा रूप"
alt விசை,आल्ट कुंजी
அல்டாவிஸ்டா,आल्टाविस्टा
தெளிவின்மை,अनेकार्थकता
தெளிவற்ற இலக்கணம்,संदिग्ध व्याकरण
அமெரிக்க தேசிய தரநிலை நிறுவனம் (ANSI),अमेरिकन नेशनल स्टेंडीस इंस्टीट्यूट (ए.एन.एस.आई.)
தகவல் பரிமாற்றத்திற்கான அமெரிக்க தரநிலை குறியீடு (ASCII),अमेरिकी मानक कट (आस्की)
அனலாக்,"1. अनुरुप ,2. एनालॉग"
அனலாக் கணினி,"1. एनालॉग कंप्यूटर, 2. अनुरुप कंप्यूटर"
அனலாக் சாதனம்,"1. अनुरुप युक्ति ,2. एनालॉग डिवाइस"
அனலாக் மோடம்,"1. एनालॉग मोडेम ,2. अनुरुप मोडेम"
அனலாக் டு டிஜிட்டல் மாற்றி (ADC),अनुरुप से अंकीय रुपांतरक
மற்றும்,एंड (डिजिटल/विमान लॉजिक ’और’ प्रयुक्त)
மற்றும் சுற்று,एंड परिपथ
மற்றும் வாயில்,एंड गेट और द्वार
மற்றும் செயல்பாடு அல்ல (விலக்கு),एंड नॉट संक्रिया (अपवर्जन)
இயங்குபடம்,"1. एनीमेशन, 2.  सजीवन"
சிறுகுறிப்பு,टिप्पण
ஒழுங்கின்மை,असंगता
முன்னோடி,पूर्ववर्ती
முன்கூட்டிய பேஜிங்,प्रत्याशामूलक पृष्ठन
எதிர்ப்பு சமச்சீர்,प्रति-सममित
வைரஸ் தடுப்பு நிரல்,विषाणुरोधी क्रमादेश
ஆப்லெட்,"1. एपलेट ,2. अनुप्रयोगिका"
பயன்பாட்டு டெவலப்பர்,अनुप्रयोग विकासक
பயன்பாட்டு நிரலாக்கம்,अनुप्रयोग प्रोग्रामन
பயன்பாட்டு நிரலாக்க இடைமுகம் (API),"1. अनुप्रयोग प्रोग्रामन अंतरापृष्ठ ,2. एप्लीकेशन प्रोग्रामिंग इंटरफेस (ए.पी.आई.)"
பயன்பாட்டு மென்பொருள்,अनुप्रयोग सॉफ्टवेयर
பயன்பாட்டு மொழி,अनुप्रयोगी भाषा
தோராயக் கோட்பாடு,सन्निकटण सिद्धांत
கட்டிடக்கலை,संरचना
பகுதி பரிமாற்றம்,क्षेत्र अंतरण
வாதம்,"1. प्राचर,स्वतंत्रचर, 2. कोणांक"
எண்கணித மற்றும் தர்க்க அலகு,"1. अंकगणितीय एवं तर्क एकक ,2. अंकगणितीय एवं तर्क इकाई"
எண்கணித சரிபார்ப்பு,अंकगणितीय जांच
எண்கணித மாறிலி,अंकगणितीय अचर
எண்கணித தரவு,अंकगणितीय आंकडा
எண்கணித அறிவுரை,अंकगणितीय अनुदेश
எண்கணிதம் மற்றும் தருக்க அலகு (ALU),गणितीय एवं तार्किक इकाई (ए. एल. यू.)
அர்பானெட்,ए आर पी ए नेट (आरपानेट)
வரிசை,सरणी
வரிசை கேச்,"1. सरणी कैशे ,2. सरणी द्रुतिका ,3. सरणी द्रुतस्मृति"
வரிசை கணினி,सरणी कंप्यूटर
வரிசை உறுப்பு,सरणी अवयव
வரிசை பெயர்,सरणी नाम
வரிசை செயலி,सरणी प्रकर्मक
அம்புக்குறி விசைகள்,एरो कुंजी
உச்சரிப்பு,संधि
உச்சரிப்பு புள்ளி,संधि बिन्दु
செயற்கை சுருக்கம்,कृत्रिम संहनन
செயற்கை கட்டுப்பாடு,कृत्रिम नियंत्रण
செயற்கை நுண்ணறிவு,कृत्रिम बोध
ஏறுபவர்,आरोहक
ஏறும் வகை,आरोही छंटाई
ASCII betical order,आस्की वर्णक्रम
ASCII கட்டுப்பாட்டு எழுத்து,आस्की नियंत्रण संप्रतीक
ASCII கோப்பு,आस्की संचिका
ASCII எழுத்துரு,आस्की फॉन्ट
ASCII பரிமாற்றம்,आस्की अंतरण
விகிதம்,अभिमुखता अनुपात
ASPI,"1. ऐस्पी ,2. ए एस पी आई"
ASR டைமர்,ए एस आर कालद
கூடி,"1. स्मरांतरण ,2. कोडांतरण ,3. कोडांतर करना"
அசெம்பிளர்,"1. कोडांतरक ,2. स्मरांतरक"
சட்டசபை,"1. कोडांतरण ,2. स्मरांतरण"
சட்டசபை மொழி,"1. स्मरांतरण भाषा ,2. कोडांतरण भाषा"
வலியுறுத்தல்,निश्चयन
பணி நியமனம்,"1. निर्दिष्ट कार्य ,2. नियतन"
சங்கம்,साहचर्य
துணை முகவரி,साहचर्य पता
துணை நினைவகம்,"1. साहचर्य स्मृति ,2. साहचर्य मेमोरी"
ஆஸ்டிரிக்,तारक (*का चिन्ह)
சமச்சீரற்ற,असम्मित
ஒத்திசைவற்ற,"1. अतुल्यकालिक ,2. अतुल्यकाली"
ஒத்திசைவற்ற டிஜிட்டல் சந்தாதாரர் வரி (ADSL),अतुल्यकालिक अंकीय अभिदाता लाइन (एडी एस एल)
ஒத்திசைவற்ற நேரப் பிரிவு மல்டிபிளெக்சிங் (ATDM),अतुल्यकालिक समय विभाजन बहुसंकेतन (ए टी डी एम)
ஒத்திசைவற்ற பரிமாற்றம்,अतुल्यकालिक अंतरण
ஒத்திசைவற்ற பரிமாற்ற முறை (ATM),अतुल्यकालिक अंतरण विधा (ए टी एम)
அணு,"1. एटम ,2. परमाण"
இணைக்கப்பட்ட ஆவணம்,संलग्न प्रलेख
இணைக்கப்பட்டுள்ள கோப்பு,"1. संलग्न संचिका/मिसिल ,2. संलग्न फाइल"
இணைப்பு,"1. संलग्नक ,2. संबंद्ध"
பண்பு,"1. गुण ,2. विशेषता"
ஆடியோ,श्रव्य
தணிக்கை நிரலாக்கம்,"1. लेखा परीक्षा क्रमादेशन ,2. लेखा परीक्षा प्रोग्रामन"
தணிக்கை சோதனை,लेखा सत्यापन
பெருக்குதல்,संवर्धन
அங்கீகார நெறிமுறை,प्रमाणन प्रोटोकॉल
ஆசிரியர் அமைப்பு,संलेखन पद्धति
அங்கீகாரம்,"1. प्राधिकरण ,2. अधिकृति ,3. अधिकरण"
தானியங்கு சுருக்கம்,स्वत: सार
தானாக துவக்குதல்,"1. स्वतः बूटिंग ,2. स्व बूटन"
ஆட்டோகேட்,ऑटोकैड (एक कंप्यूटर भाषा)
ஆட்டோலாக் ஆன்,स्वत: लॉग-ऑन
தானியங்கி,ऑटोमेटा
தானியங்கு கோட்பாடு,आटोमेटा सिद्धांत
தானியங்கி கணினி,स्वत: अभिकलन
தானியங்கி தரவு செயலாக்கம்,स्वत: आंकड़ा प्रक्रमण
தானியங்கி பிழை திருத்தம்,स्वत: त्रुटि संशोधन
தானியங்கி செயல்பாடு,स्वत: फलन
தானியங்கி அட்டவணைப்படுத்தல்,"1.  स्वत: सूचकीकरण ,2. स्वत: सूचीकरण"
தானியங்கி நூலக அழைப்பு,स्वत: संग्रह आह्वान
தானியங்கி நிரலாக்க,"1. स्वत: क्रमादेशन ,2. स्वत: प्रोग्रामन"
தானியங்கி மீட்பு திட்டம்,"1.स्वत: पुन: प्राप्ति क्रमादेश, 2. स्वत: पुन: प्राप्ति प्रोग्राम"
தானியங்கி வழக்கம்,स्वत: नेमका
தானியங்கி கணினி மீட்பு,स्वत: सिस्टम पुन: प्राप्ति
தானியங்கி பணம் செலுத்தும் இயந்திரம் (ATM),"1. स्वत: टेलर मशीन्अ (ए टी एम) ,2.  स्वयं धन निकालने के लिए बैंक की ए.टी.एम)"
தானியங்கி,स्वचालन
தானியங்கி,"1. आटोप्ले ,2. स्वत: चलन"
தானாக சேமிக்கவும்,स्वरक्षण
துணை,सहायक
துணை நினைவகம்,सहायक स्मृति
துணை சேமிப்பு,सहायक भंडारण
கிடைக்கும் பட்டியல்,उपलब्ध लिस्ट
கிடைக்கும் நேரம்,उपलब्ध समय
சராசரி,औसत
awk (மொழி),ए डब्ल्यू के (एक कंप्यूटर समादेश)
பின்தளம்,पश्चांत
பின்தள செயலி,पश्चांत प्रक्रमक
பின்முகத்தை அகற்றுதல்,पश्च फलन विलोपन
பின்னணி செயலாக்கம்,पृष्ठभूमि प्रक्रमण
பேக்கிங் கடை,सहायक भंडार
பின் இணைப்பு,पश्च पैचीकरण
பின்வெளி,"1. पश्चीयन ,2. बैकस्पेस"
பின்வாங்குதல்,पश्चपथन
காப்புப்பிரதி,"1. बैक-अप ,2. पूर्तिकर"
காப்பு நினைவகம்,"1. पूर्तिकर स्मृति ,2. बैक-अप मेमोरी"
பின்னோக்கி பிழை மீட்பு,पश्च त्रुटि सुधार
இருப்புநிலை,(आय-व्यय) तुलन पत्र
இசைக்குழு,पट्टी
பட்டை அகலம்,"1. बैंड चौड़आई ,2. बैंड विड्थ/क्षमता"
வங்கியாளர் வழிமுறை,बैंकर एल्गोरिथ्म
பார் குறியீடு,"1.बार कूट ,2. बार कोड"
பட்டை குறி படிப்பான் வருடி,बार कोड स्कैनर
சட்ட வரைபடம்,बार ग्राफ
அடிப்படை முகவரி,आधार पता
அடிப்படை இசைக்குழு,आधार बैंड
அடிப்படை எண்,आधार संख्या
அடிப்படை அட்டவணை,आधार सारणी
அடிப்படை,बेसिक (एक कंप्यूटर भाषा)
அடிப்படை கட்டுப்பாடு,"1. मूल नियंत्रण ,2. आधार नियंत्रण"
அடிப்படை உள்ளீடு,"1. मूल निवेश ,2. आधारी निवेश"
அடிப்படை அறிவுறுத்தல்,आधारभूत अनुदेश
அடிப்படை வெளியீடு,आधारी निर्गम
அடிப்படை படி,मूल चरण
தொகுதி,"1. बैच ,2. समूह ,3. प्रचय"
தொகுதி கோப்பு,"1. बैच फाइल ,2. बैच संचिका"
தொகுதி நிலை,बैच स्थिति
தொகுதி செயலாக்கம்,"1. बैच प्रक्रमण ,2. समूह प्रक्रमण"
தொகுதி அமைப்பு,"1. बैच तंत्र ,2. प्रचय तंत्र"
பாட்,बॉड
பாட் விகிதம்,बॉड दर
உத்திரம்,किरण पुंज
அளவுகோல்,"1. निर्देशमानक ,2. बैचमार्क"
இருதரப்பு தொடர்பு,द्विदिश संचार
இருதரப்பு இணைப்பு,विदिश कड़ी
பைனரி குறியீடு,द्विआधारी कूट
பைனரி இலக்கம்,द्विआधारी अंक
பைனரி உள்ளீட்டு வெளியீட்டு அமைப்பு (பயாஸ்),द्विआधारी निवेश निर्गम तंत्र (बायोस)
பைனரி எண்,द्विआधारी संख्या
பைனரி ஆபரேட்டர்,द्विआधारी संकारक
பைனரி உறவு,द्विआधारी संबंध
பைனரி தேடல்,द्विआधारी खोज
பைனரி தேடல் மரம் (BST),द्विआधारी अन्वेषण तरु (बी एस टी)
பைனரி பரிமாற்றம்,"1. द्विआधारी ट्रांसफर तरु ,2. द्विआधारी अंतरण"
பைனரி மரம்,द्विआधारी तरु
இருமுனை நினைவகம்,"1. द्विध्रुवी स्मृति ,2. द्विध्रुवी मेमोरी"
பிறப்பு இறப்பு மாதிரி,"1. जन्म मरण मॉडल ,2. जन्म मरण निदर्श"
பிறப்பு இறப்பு செயல்முறை,जन्म मरण प्रक्रम
பிட்,"1. द्वयंक ,2. बिट"
சிறிய தவறு,बिट दोष
பிட் வரைபடம்,बिट प्रतिचित्र
பிட் மேப் பிக்சல் (BMP),"1. बिट ,2. प्रतिचित्र ,3. पिक्सेल (बी एम पी)"
பிட் மேட்ரிக்ஸ்,"1. बिट आव्यूह ,2. बिट सारणी"
பிட் முறை,बिट प्रतिरूप
பிட் நிலை,बिट स्थिति
பிட் விகிதம்,"1. बिट रेट ,2. बिट दर"
கருப்பு பெட்டி சோதனை,अंध पेटी परीक्षण
கண் சிமிட்டுதல்,टिमटिमाना
தொகுதி,ब्लॉक
தொகுதி தற்காலிக சேமிப்பு,"1. खंडक दुतिका, 2. ब्लाक कैश/खंडक स्मृति"
தடுப்பு சோதனை,खंडक जांच
தொகுதி நகல்,खंड प्रतिलिपि
தொகுதி வரைபடம்,खंडक आरेख
பிணையத்தைத் தடுக்கிறது,"1. अवरोधी नेटवर्क, 2. अवरोधी जालक्रम"
பலகை,बोर्ड
புத்தககுறி,पृष्ठ स्मृति
பூலியன் இயற்கணிதம்,बूलीय बीजगणित
பூலியன் உறவு,बूलीय संबंध
துவக்க பகிர்வு,बूट विभाजन
பூட் ஸ்ட்ராப்பிங்,बूट स्ट्रैपिंग
பூட்-ஸ்ட்ராப் ஏற்றி,1.बूटस्ट्रैप भारक 2. स्वोत्थानी
பாலம்,"1.ब्रिज, 2. सेतु"
பிராட்பேண்ட் நெட்வொர்க்கிங்,ब्राडबैंड नेटवर्क
ஒளிபரப்பு,प्रसारण
ஒலிபரப்பு வானொலி,प्रसारण रेडियो
உலவ,(नेट) विचरण
உலாவி,(नेट) विचरक
பி-மரம்,बी-तरु
குமிழி நினைவகம்,"1.बुदबुद स्मृति, 2.बबल मेमोरी"
குமிழி வகை,बुदबुद छंटाी
வாளி,"1.बाल्टी, 2.बकेट"
நண்பர் அமைப்பு,"1.बंधुता तंत्र, 2.बडी तंत्र"
பட்ஜெட் பயனுள்ள கட்டுப்பாடு,बजट प्रभावी नियंत्रण
தாங்கல்,बफर
பிழை,दोष
பேருந்து,बस
பைட்,"1.अष्ट वयंक,2. बािट (आठ बिट)"
பைட் குறியீடு,बािट कोड
c,सी (कंप्यूटर भाषा)
C++,"1.सी प्लस प्लस,2.C++(कंप्यूटर भाषा)"
தற்காலிக சேமிப்பு,"1.कैश,2. द्रुतिका,3.द्रुत"
கேச் தாங்கல்,"1.कैश बफर, 2.द्रुतस्मृति बफर"
கேச் நினைவகம்,"1.कैश स्मृति, 2.कैश मेमोरी, 3.द्रुत स्मृति"
கணக்கீடு,परिकलन
கால்குலேட்டர்,"1.कैलकुलेटर, 2.परिकलक"
கால்குலேட்டர் சிப்,"1.कैलकुलेटर चिप,2. परिकलक चिप"
அழைப்பு,आह्वान
பெயரால் அழைக்கவும்,नाम आह्वान
குறிப்பு மூலம் அழைப்பு,संदर्भ आह्वान
மதிப்பு மூலம் அழைப்பு,मान आह्वान
மாறிகள் மூலம் அழைப்பு,चर आह्वान
அழைப்பு வாயில்,आहवान गेट
ரத்து செய்,"1.निरस्त करना, 2.रद्द करना"
ரத்து பொத்தான்,निरसन बटन
நியமனம்,"1.विहित,2. कैनॉनिकल"
நியமன வடிவம்,विहित रूप
திறன்,क्षमता
திறன் பட்டியல்,क्षमता सूची
திறன்,"1.क्षमता,2. धारिता"
தொப்பி பூட்டு விசை,कैप्स लॉक कुंजी
அட்டை,"1.कार्ड,2. पत्रक"
கார்டு ரீடர்,कार्ड पाठक
கார்டினாலிட்டி,प्रमुखता
கேரியர்,वाहक
கேரியர் பேண்ட்,वाहक बैंड
கேரியர் சுமை,वाहक भार
கேரியர் சிக்னல்,वाहक संकेत
கேரியர் அலை,वाहक तरंग
சுமந்து செல்,हासिल
இலக்கத்தை எடுத்துச் செல்லுங்கள்,हासिल अंक
கொடியை ஏந்தி,हासिल ध्वज
கெட்டி வட்டு,"1.काट्रिज डिस्क, 2.काट्रिज चक्रिका"
அருவி,"1.कास्केड, 2.सोपानी"
வழக்கு,केस
கத்தோட் கதிர் குழாய் (CRT),कैथोड-रे-टयूब (सी आर टी)
கேத்தோடு கதிர் குழாய் (CRT),कैथोड किरण नलिका (सी. आर. टी.) कैथोड-रे-टयूब
CD ROM வட்டு இயக்கி,सी डी रॉम डिस्क ड्रािव
செல்,सेल
செல் அனிமேஷன்,सेल एनीमेशन
கை பேசி,सेल्युलर फोन
மைய நினைவகம்,"1.केंद्रीय स्मृति,2. केंद्रीय मेमोरी"
மத்திய செயலாக்க அலகு (CPU),केद्रीय प्रक्रमण एकक (सी पी यू)
மையப்படுத்தப்பட்ட அமைப்பு,केंद्रीकृत तंत्र
சான்றளிக்கப்பட்ட நாடா,प्रमाणीकृत टेप
சங்கிலி,श्रृंखला
சங்கிலி தரவு,"1.श्रृंखला आंकड़ा, 2.श्रृंखला सामग्री"
சங்கிலி இணைப்பு,श्रृंखला कड़ी
சங்கிலியிடுதல்,श्रृंखलन
சேனல்,"1.प्रणाल, 2.चैनल"
சேனல் பிஸியான தொனி,"1.प्रणाल व्यस्त टोन, 2.चैनल व्यस्त टोन"
சேனல் திறன்,"1.प्रणाल क्षमता, 2.चैनल क्षमता"
சேனல் கட்டுப்படுத்தி,"1.प्रणाल नियंत्रक, 2.चैनल नियंत्रक"
சேனல் பிழை,"1.प्रणाल त्रुटि, 2.चैनल त्रुटि"
சேனல் நிரல்,"1.चैनल कार्यक्रम, 2.चैनल प्रोग्राम"
சேனல் நம்பகத்தன்மை,"1.प्रणाल विश्वसनीयता, 2.चैनल विश्वसनीयता"
சேனல் தொகுப்பு,"1.प्रणाल समुच्चय, 2.चैनल समुच्चय"
பாத்திரம்,संप्रतीक
எழுத்து குறியீடு,"1.संप्रतीक कूट,2. संप्रतीक कोड"
எழுத்து திறவுகோல்,संप्रतीक कुंजी
பாத்திர வாசகர்,संप्रतीक पाठक
எழுத்து அளவு,"1.संप्रतीक सािज, 2.संप्रतीक आमाप"
விளக்கப்படம்,संचित्र
சேஸ்பீடம்,"1.न्याधार, 2.चैसिस"
சோதனை பிட்,जाँच बिट
எண்ணை சரிபார்க்க,जाँच अंक
காசோலை தொகை,जाँच योग
சரிபார்ப்பு வார்த்தை,जाँच शब्द
சிப்,चिप
சிப் தொகுப்பு,चिप सेट
தேர்வு,"1.चुनना, 2.चयन"
வர்ண ரீதியாக,वर्णिक रूप से
மறைக்குறியீடு,"1.सािफर,2. शून्य,3. सीफर"
சுற்று,परिपथ
வட்ட பட்டியல்,वर्तुल सूची
சிரஸ்,सायरस
மேற்கோள்,उल्लेख
வர்க்கம்,"1.श्रेणी, 2.वर्ग"
வர்க்க மாறி,वर्ग चर
வகைப்பாடு,वर्गीकरण
தெளிவானது,अपमार्जन
தெளிவான பகுதி,अपमार्जित क्षेत्र
தெளிவான சேனல்,"1.अपमार्जित प्रणाली, 2.अपमार्जित चैनल"
கிளிக் செய்யவும்,दबाना
வாடிக்கையாளர்,"1.ग्राहक,2. क्लाइट"
கிளையன்ட் சர்வர்,"1.ग्राहक परिसेवक, 2.ग्राहक सर्वर"
கிளையன்ட் ஸ்டப்,ग्राहक स्टब
சிறு படம்,कर्तन कला
கிளிப் ஆர்ட் நூலகம்,कर्तन कला पुस्तकालय
கிளிப் போர்டு,क्लिप बोर्ड
கிளிப்பர்,क्लिपर
கிளிப்பர் சிப்,क्लिपर चिप
குழு,गुट
கடிகாரம்,"1.घड़ी,2. कालद"
கடிகார சுழற்சி,कालद चक्र
கடிகார அதிர்வெண்,कालद आवृत्ति
கடிகார வன்பொருள்,कालद हार्डवेयर
கடிகார துடிப்பு,कालद स्पंद
கடிகார வேகம்,कालद गति
கடிகார ஒத்திசைவு,कालद तुल्यकालन
கடிகார டிக்,कालद टिक
குளோன்,क्लोन
நெருக்கமான,बंद
க்ளோஸ் சர்க்யூட் டிவி (சிசிடிவி),संवृत परिपथ टी.वी. (सी.सी.टी.वी.)
மூடல்,संवरण
கிளவுட் கம்ப்யூட்டிங்,"1.मेघाभिकलन,2.क्लाुड कंप्यूटिंग"
கொத்து,गुच्छ
பூசிய அட்டை,"1.विलेपित कार्ड,2. विलेपित पत्रक"
பூசிய காகித,लेपित कागज
கோஆக்சியல்,समाक्षीय
கோஆக்சியல் கேபிள்,समाक्ष केबल
கோடாசில்,कोडासिल
குறியீடு,"1.कूट, 2.कोड"
குறியீடு உற்பத்தியாளர்,"1.कूट जनक,2. कोड जनक"
குறியீடு பக்கம்,कूट पृष्ठ
குறியீட்டு வார்த்தை,"1.कूट शब्द, 2.कोड शब्द"
குறியீட்டாளர்,"1.कोडर, 2.कूटक"
குறியீட்டு சோதனை,"1.कूट लेखन जाँच, 2. कोडन जाँच"
குறியீட்டு வடிவம்,कूट लेखन रूप
குறியீட்டு தாள்,"1.कूटलेखन पत्र, 2. कोडन शीट"
குணகம்,गुणांक
இணக்கத்தைப்,ससंजन
குளிர் துவக்க,"1.शीत बूट, 2.शीत प्रारंभ"
குளிர் ஆரம்பம்,शीत प्रारंभ
இணைந்து,सहयोग
சரிவு,निपात
இணை,"1.परिमिलन, 2.समानुक्रमित करना"
கோலேட் டேப்,"1.समानुक्रमित टेप,2. कालेट टेप"
மோதல்,टक्कर
பெருங்குடல்,कोलन
நிறம் (நிறம்),"1.वर्ण, 2.रंग"
வண்ண செறிவு,रंग संतृप्ति
வண்ண அட்டவணை,रंग सारणी
நெடுவரிசை,स्तंभ
சேர்க்கை,संयोजन
சேர்க்கை பெட்டி,समिश्र पेटी
கட்டளை,"1.समादेश, 2.कमांड"
கட்டளை பொத்தான்,समादेश बटन
கட்டளை பட்டியல்,समादेश सूची
கருத்து,टिप्पणी
அர்ப்பணிப்பு,"1.वचन बद्धता, 2.प्रतिबद्धता"
பண்டம்,वस्तु
பொதுவான வணிகம் சார்ந்த மொழி (கோபோல்),सामान्य व्यवसाय उन्मुखी भाषा (कोबोल)
பொதுவான பிழை,सामान्य त्रुटि
பொது மொழி,सामान्य भाषा
பொதுவான வழக்கம்,"1.सामान्य नेमक,2. सामान्य नित्यक्रम"
தொடர்பு,संचार
தொடர்பு வரி,संचार रेखा
தொடர்பு முறை,संचार विधा
தொடர்பு நெட்வொர்க்,"1. संचार नेटवर्क, 2. संचार जालक्रम"
தொடர்பு அளவுரு,संचार प्राचल
தொடர்பு அமைப்பு,संचार तंत्र
சுருக்கம்,संहनन
தளபதி,संपीडप्रसारित्र
இணைத்தல்,संपीडप्रसारण
நிறுவனத்தின் நெட்வொர்க்,कंपनी नेटवर्क
ஒப்பீட்டு சோதனை,तुलना परीक्षण
பொருந்தக்கூடிய தன்மை,"1.सुसंगति, 2.संगतता"
இணக்கமான,सुसंगत
தொகுத்தல்,संकलन
தொகுத்து செல்ல,संकलन तथा कार्यपालन
தொகுப்பி,"1.संकलक, 2.क्रमादेश अंतरक"
தொகுக்கும் மொழி,संकलक भाषा
நிரப்பு,पूरक
நிரப்பு-பத்து,दस-पूरक
பூர்த்தி செய்பவர்,पूरक
முழு சுமந்து,"1.संपूर्ण हस्तगत, 2.संपूर्ण हासिल"
சிக்கலான,सम्मिश्र
