Hindi,English
संयुक्त पाद,Combined footing
संयुक्त जल,Combined water
सामान्य कक्ष,Common room
पूर्णावस्था प्रमाण पत्र,Completion certificate
अंग वर्ग,Component square
कंक्रीट,Concrete
कंकड़ स्तरन,Concretion
समेकित दर या एक समान दर,Consolidated rate/flat rate
दूषणकारक,Contaminants
खाना रखने स्थान,Cooking alcove
मुंडेर/कोपिंग,Coping
टोड़ा,Corbel
कॉनिस,Cornice
युग्मक,Coupler
द्वि-युग्मक,"Coupler, double"
कड़ी युग्मक,"Coupler, putlog"
भ्रामी युग्मक,"Coupler, swivel"
रद्दा,Course
बेतरतीब रद्देदार ढोका चिनाई,Coursed random rubble masonry
आच्छादित क्षत्र,Covered area
विसर्पण,Creep
विसर्पण गुणांक,Creep coefficient
क्रोटोवाइन,Crotovine
काक पाद,Crow foot
आचूर्ण संरचना,Crumb structure
कर्ब,Curb
धारा,Current
वक्र-प्रतिरोध (रेल),Curve resistance
आर्द्रतारोधी स्तर,Damp proof course
पूर्ण होने की तिथि,Date of completion
अचल भार,Dead load
धीर जल,Dead water
डेसीबल,Decibel
अनूर्पान,Deflocculation
वातन कोटि या वायु अवकाश अनुपात,Degree of aeration or air space ratio
समुच्चयन कोटि,Degree of aggregation
प्रकीर्णन कोटि,Degree of dispersion
संतृप्ति कोटि,Degree of saturation
घनता (आवासीय),Density
भरू कुट्टिम,Desert pavement
मरू मृदा,Desert soil
विस्तृत विवरण,Details
विकास अवधि,Development period
Dसंस्तर/Dहोराइजन,D-horizon
विकर्ण चाल,Diagonal bond
आरेख,Diagram
आंगुलिक गोदी,Digital dock
अन्तरात्मक जल दर,Differential water rate
तनुता संवातन,Dilution ventilation
पूरोढक,Diluvium
भोजन कक्ष,Dining room
दिशा निर्धारक खूँटी,Direction peg
प्रकीर्णन,Dispersion
डिस्टेम्पर,Distemper
गोदी,Dock
1. द्वार 2. कपाट,Door
छत वातायन,Dormer
छत वातायन पृष्ठ,Dormer check
दोहरी फ्लेमिश चाल,Double flemish bond
दोहरी परत,Double layer
गुज्झी,Dowel
आरेखन पट्ट/ड्राइंग बोर्ड,Drawing board
बैठक,Drawing room
1. प्रक्षेप 2. ड्रिफ्ट 3. गुल्ली,Drift
शुष्क बल्ब तापक्रम,Dry bulb temperature
शुष्क गोदी,Dry dock
शुष्क ढोका चिनाई,Dry rubber masonry
डच चाल,Dutch bond
बौनी दीवार,Dwarf wall
आवासीय यूनिट,Dwelling unit
ओलती,Eave
ओलती नाली,Eaves gutter
आर्थिक संभाव्यता या आर्थिक औचित्य समर्थन,Economic feasibility
एक्टोडाइनेमोर्फिक मृदा,Ectodynamorphic soil
भँवर,Eddy
कण का प्रभावी आमाप,Effective size
उत्फुल्लन,Efflorescence
सहायक सरित,Effluent
उद्विक्षेप,Elevation
अवक्षालन,Eluviation
अवक्षाल,Eluvium
अंतर्गतिज मृदा,Endodynamorphic soil
इंजीनियरी संभाव्यता,Engineering feasibility
इंग्लिश चाल,English bond
इंग्लिश गार्डन वाल चाल,English garden wall bond
ईं.पी.एम. (प्रतिमिलियन तुल्य),"E.P.M. (equivalent per million),"""
समतुल्य भार,Equivalent weight
अर्ग,Erg
विनिमययोग्य,Exchangeable
विनिमेय अम्लता,Exchangeable acidity
विनिमेय सोडियम प्रतिशतता,Exchangeable sodium percentage (ESP)
धनायन विनिमय क्षमता,E. S P.
विनिमय अम्लता,Exchange acidity
विनिमय सम्मिश्र,Exchange complex
निर्वात/रेचन,Exhaust
अनावरित परिष्कृति,Exposed finish
गवाक्ष,Eye
आई ब्रो,Eye brow
मोहरा/अग्रभाग,Facing
पार्श्व चाल,Facing bond
सुरक्षा गुणांक,Factor of safety
प्रवणता,Fall
मुख पट्टी,Facia
मुख पट्टी बोर्ड,Facia board
भ्रंश,Fault
क्षेत्रीय नमी,Field moisture
क्षेत्रीय आर्द्रता तुल्यांक,Final moisture equivalent
मसाले की चपती/फिलेट,Fillet (of mortar)
कलश,Finial
अंतिम मापन,Final measurement
अंतिम भुगतान,Final paymentq
अंतिम पूर्व प्रतिबल,Final pre stress
अंतिम तनाव,Final tension
वित्तीय संभाव्यता,Financial feasibility
महीन समुच्चय/बारीक मिलावा,Fine aggregate
विदीर्ण शैल,Fissured rock
पटिया पत्थर,Flag stone
फ्लेमिश चाल,Flemish bond
फ्लैशिंग/जल रोधी झिल्ली,Flashing
सद्योवेगी सरिता,Flashy stream
सपाट छत,Flat roof
फलीके,Fleche
फ्लेमिश गार्डन वाल चाल,Flemish garden wall bond
चकमक प्रस्तर,Flint
फ्लिंट दीवार,Flint wall
प्लवमान फर्श,Floating floor
उर्णन,Flocculation
ऊर्णन सीमा,Flocculation limit
ऊर्णन अनुपात,Flocculation ratio
ऊर्णिका,Floccules
फर्श,Floor
फर्शरुद्धक/फर्श सील,Floor seal
प्रवाह,Flow
उच्चावचन,Fluctuation
पाद,Footing
नींव,Foundation
मुक्त प्रपात बैरो उद्वर्ती मिश्रक,Free fall barrow topping mixer
मुक्त प्रपात मिश्रक (ढोल के आकार का),Free fall mixer (drum type)
मुक्त पत्थर,Free stone
नदीपूर,Freshet
घर्षण पाइल,Friction pile
किश्ती/फॉग,Frog
त्रयंकी,Gable
लघु त्रयंकी,Gablet
गैमबरेल छत,Gambrel roof
गेज (रेल पथ),Gauge
प्रमापन परिच्छेद,Gauging section
प्रमापन स्थल,Gauging station
सामान्य अवस्थापन अनुविक्षेप,General location plan
सामान्य संवातन,General ventilation
संस्तर या ग्ले संस्तर,G horizon or gley horizon
हिमगोलाश्म मृत्तिका,Glacial till
नाइस,Gneiss
माल यार्ड,Goods yard
प्रवणता प्रतिरोध,Gradient resistance
ग्रेनाइट,Granite
दानेदार संरचना,Granular structure
कणनन,Granulation
दाना,Granule
गृरूत्व जल या मुक्त जल,Gravitational water free water
मार्शलिंग गुरुत्वीय यार्ड,Gravitational yard
बृहत् मृदा समूह,Great soil group
झंझरी/ग्रिलेज नींव,Grillage foundation
भूहस्त पथाई,Ground hand moulding
समूहित गोदी,Grouped dock
सामूहिक आवासन,Group housing
अतिथि कक्ष,Guest room
नाली,Gutter
नाली धारक,Gutter bearer
नाली रोधक,Gutter check
हथौड़ा गढ़ाई,Hammer dressing
पोताश्रय,Harbour
आश्रय देने वाले पोताश्रय,Harbour of refuge
कठोर तल,Hard pan
तोड़ा/हैडर,Header
तोड़ा/हैडर चाल,Header bond
तोड़ा रद्दा,Header course
मुख फाटक संरचना,Head gate structure
नहर का शीर्ष,Head of canal
मुख नियंत्रक,Head regulator
लहरिया चाल,Herring bone bond
भरत,Hearting
सिक्तन उष्मा,Heat of wetting
अक्षि-एल्यूमिना सीमेन्ट,High alumina cement
पुट्ठा,Hip
पुट्ठा मुंडेरी,Hip capping
कूट सिरा,Hipped end
छत्रक,Hood
गढ़ा छत्रक,Hood moulding
हुक का नियम,Hook's law
पत्ती लोहा,Hoop iron
संस्तर/होराइजन,Horizon
आद्रीकरण,Humidification
निरपेक्ष आद्रता,"Humidity, absolute"
आपेक्षिक आद्रता,"Humidity, relative"
हम्प यार्ड,Hump yard
द्रवचालित दाब,Hydraulic pressure
जलयोजन,Hydration
जल अपघटन,Hydrolysis
चल अपघटनी अम्लता,Hydrolytic acidity
जलकृत मृदा,Hydromorphic soil
जलरागी कोलाइड,Hydrophilic colloid
जलविरागी कोलाइड,Hydrophobic colloid
स्थिरद्रवीय दाब अनुपात,Hydrostatic pressure ratio
आद्रताग्रही गुणांक,Hygroscaptic coefficient
आद्रताग्राही नमी,Hygroscopic moisture
आर्द्रताग्राहिता,Hydroscopicity
आर्द्रताग्राही नमी,Hygroscopic moisture
हाईपरबैरिक कक्ष,Hyperbaric chamber
अपेक्षाधिक ढाँचा,Hyperstatic frame
जलक्वथनांकमापी,Hypsometer
प्रदीप्ति,Illumination
अंतःशोषणी आर्द्रता,Imbibation moisture
अपूर्ण परिणत मृदा,Immature soil
अवरुद्ध गोदी,Impounded dock
भू आय वृद्धि,Increment of land revenue
स्वतंत्र पाड़,Independent scaffold
कठोरीकृत,Indurated
प्रारम्भिक पूर्व प्रतिबल,Initial prestress
प्रारम्भिक तनाव,Initial tension
अन्तर्देशी जलमार्ग पत्तन,Inland waterway port
विसंवाहन पट्ट,Insulating board
मध्यवर्ती पत्तन,Intermediate port
आन्तरिक धर्षण,Internal friction
अंतः क्षेत्रीय मृदा,Intrazonal soil
आयन,Ion
आयन विनिमय,Ion exchange
लोह स्तर,Iron pan
सिंचित भूमि,Irrigated land
सिंचाई,Irrigation
सिंचाई उपकर,Irrigation cess
पाखा,Jamb
गुज्झी,Joggle
संधि पिन,Joggle pin
जूल,Joule
जम्पर,Jumper
किलोग्राम,Kilogram
किलोग्राम बल,Kilogram force
किलोग्राम बल मीटर,Kilogram force meter
किलोवाट घण्टा,Kilowatt hour
नर डेली/किंग क्लोजर,King closure
रसोई,Kitchen
लेसित स्तम्भ,Laced column
वेष्ठन,Lagging
लमेला छत,Lamella root
स्तरीय प्रवाह,Laminar flow
दीपछिद्र,Lamp hole
भूमि अभिवृद्धि,Land accretion
भूस्खलन,Land sliding
लैटेराइट,Laterite
लैटेराइट मृदा या लैटोसॉल,Laterite soil
बृहत संख्या सिद्धांत,Law of large numbers
अभिन्यास अनुविक्षप,Layout plan
पाड़-बेड़ा,Ledger
चूना तल,Lime pan
लिंटल,Lintel
द्रव सीमा,Liquid limit
चल भार,Live load
टुमट,Loam
स्थानीय निर्वात संवातन,Local exhaust ventilation
लोको यार्ड,Loco yard
लोएस,Loess
निम्न सुघट्यता सीमा,Lower plastic limit
अल्प ऊष्मा सीमेंट,Low heat cement
यांत्रिक पथाई,Machine moulding
स्थूल संरचना,Macrostructure
प्रमुख शीर्ष नियंत्रक,Main head regulator
मुख्य पत्तन,Main port
पुनःपूर्तिवायु,Makeup air
मैनसई,Mansard
मार्शलिंग यार्ड,Marshalling yard
चिनाई,Masonry
परिपाक तापक्रम,Maturing temperature
मध्य तल,Mezzanine floor
यांत्रिक विश्लेषण,Mechanical analysis
यांत्रिक संवातन,Mechanical ventilation
मीटरी पद्धति,Metric system
सूक्ष्म संरचना,Microstructure
मिली तुल्यांक,Milli equivalent
मिली तुल्यांक प्रति लीटर,Milli equivalent per litre
खनिज,Mineral
खनिज मृदा,Mineral soil
लघु पत्तन,Minor port
कलमी डेली,Mitred closure
जल मृदा कोलाइड,Mobile soil colloid
आर्द्रतांश,Moisture content
आर्द्रता प्रवणता,Moisture gradient
मोनोलिथ/एकाश्म,Monolith
मोनोरेल,Monorail
राष्ट्रीय पोताश्रय परिषद,National harbour council
प्राकृतिक तल,Natural bed
प्राकृतिक परिष्कृति,Natural finish
प्राकृतिक पोताश्रय,Natural harbour
प्राकृतिक संवातन,Natural ventilation
जल सेना पोताश्रय,Naval harbour
न्यूटन,Newton
असम प्रवाह,Non uniform flow
उपभोक्ता जल दर,Occupies water rate
तेल रंगलेप,Oil paint
तेल कूप सीमेंट,Oil well cement
मुक्त पृष्ठ वाहिका प्रवाह,Open channel flow
अनुकूलतम आर्द्रता,Optimum moisture
जैव मृदा,Organic soil
अभिविन्यास,Orientation
लाम्बिक,Orthogonal
ओर्टस्टीन,Ortstein
बाह्य सिगनल,Outer signal
ऑक्सीकरण,Oxidation
रसोई भण्डार,Pantry
मुंडेेर,Parapet
मुंडेर दीवार,Parapet wall
मूल सामग्री,Parent material
बजरी प्लास्टर,Pebble cast plaster
पेडल्फर,Pedalfer
पेडोकल,Pedocal
मृदा उत्पत्ति,Pedogenesis
मृदा रचना विज्ञान,Pedology
मृदा मंडल,Pedosphere
वेधनमापी,Penetrometer
छज्जा छत,Pent roof
पाचक कर्मक,Peptizing agent
विश्लेषण अवधि,Period of analysis
खड़ा जोड़,Perpend
आशोषण,Persorption
प्रस्तम्भ,Pier
भित्ति स्तम्भ,Pilaster
ढाल/प्रवणता,Pitch
ढालू छत,Pitched roof
अप्रबलित कंक्रीट,Plain concrete
समतल कोण,Plane angle
समतल यार्ड,Plain yard
प्लानसॉल,Plansol
सुघट्यता संसक्ति,Plastic consistency
पराप्रत्यास्थता,Plasticity
सुघट्यता सूचकांक,Plasticity index
सुघट्यता सीमा,Plasticity limit
सुघट्यता पिरसर,Plasticity range
पटली संरचना,Platy structure
कुरसी,Plinth
हल मृदा,Plough soil
प्लम पत्थर,Plum stone
पाडजोल,Podzole
टीप,Pointing
बहुकोणी दीवार,Polygonal wall
रंध्र अवकाश,Pore space
पत्तन,Port
प्रभावी संवातन,Positive ventilation
प्रशाद्वल मृदा,Prairie soil
परिशुद्धता,Precision
प्राथमिक कण,Primary particle
प्रिज्मीय संरचना,Prismatic structure
उत्पादक कार्य,Productive work
परियोजना औचित्य समर्थन,Project justification
संरक्षक कार्य,Protective work
आभासी माइसीलियम,Pseudo-mycelium
पडल,Puddle
रौंदना,Pugging
झाँवा,Pumice
थूनी,Puncheon
पपेट,Puppet
कड़ी,Putlog
धारण पल्लियों का पाड़,Putlog scaffold
मात्रा सर्वेक्षक,Quantity surveyor
खदान रस,Quarry sap
भित्ति घाट,Quay
मादा डेली/क्वीन क्लोजर,Queen closure
कोनिया,Quoin
रैफ्ट बेड़ा नींव,Raft foundation
तिरछी टेक,Raker
रेकिंग,Raking
तिरछी चाल,Raking bond
नति जलरोधी झिल्ली,Raking flashing
द्रुत परिवर्ती प्रवाह,Rapidly varying flow
वसूलीयोग्य भुगतान,Recoverable payment
लाल मिट्टी,Red earth
लाल दुमट,Red loam
नियंत्रक/रेगुलेटर,Regulator
रेगर या काली कपासी मृदा,Regur or black cotton soil
वापस भुगतान ठेका,Repayment contract
अवशिष्ट संकुचन,Residual shrinkage
अवशिष्ट मृदा,Residual soil
बाह्य पक्ष,Reveal
बाह्य पक्ष पिन,Reveal pin
बाह्य पक्ष बंधक,Reveal tie
कूट,Ridge
कूट मुंडेरी,Ridge capping
नदी,River
पोताश्रेय द्रोणों,Road stead
दानेदार प्लास्टर,Rough plaster
ढोंका,Rubble
ढोका चिनाई,Rubble masonry
ढोंका भित्ति,Rubble walling
चालू मापन या मध्यवर्ती मापन,Running measurement
सुरक्षी धारण क्षमता/अनुमेय धारण क्षमता,Safe bearing capacity
लवण परिष्कृति,Salt glaze
प्रतिदर्श आमाप,Sample size
प्रतिचयन वितरण,Sampling distribution
प्रतिचयन त्रुटि,Sampling error
बाल,Sand
बलुई परिष्कृति,Sand finish
रेत हस्त पथाई,Sand hand moulding
बालू घर्षण,Sanding
संतृप्त मृदा,Saturated soil
संतृप्त मृदा लेई,Saturated soil paste
संतृप्ति निष्कर्षण,Saturation extract
संतृप्ति प्रतिशतता,Saturation percentage
शराविका गुम्मद,Saucer dome
पाड़,Scaffold
शिस्ट,Schist
समुद्री अथवा महासागरीय पत्तन,Sea port
गुप्त वाहिका,Secret gutter
सेकन्ड,Second
सादन विश्लेषण,Sedimentation analysis
सामि कृत्रिम पोताश्रय,Semi-artificial harbour
अर्द्ध-ज्वारीय गोदी,Semi tidal dock
जरावस्था,Senile
शेल,Shale
चादरी पाइल,Sheet pile
संकुचन सीमा,Shrinkage limit
तख्ताबन्दी,Shuttering
सियालिटिक मृदा,Siallitic soil
सीरोजेम,Sierozem
देहली या सिल,Sill
साद,Silt
इकहरी फ्लेमिश चाल,Single flemish blood
एकल कणीय संरचना,Single grained structure
अधकचरी मृदा,Skeletal soil
अंचल,Skirting
आधार भित्तियाँ,Sleeper wall
सर्पी वाहिका,Side gutter
परिकलन पट्टिका,Slide rule
सर्पण गोदी,Slip dock
स्मोनिटजा,Smoniza
समतापकरण,Soaking
मृदा समवाय,Soil association
मृदा वर्ग,Soil class
मृदा सम्मिश्र,Soil complex
मृदा संसक्ति,Soil consistency
मृदा परिवार,Soil family
मृदा सार,Soil frame work
मृदा नमी,Soil moisture
मृदा नमी अभिवृद्धि,Soil moisture accretion
मृदा नयी न्यूनता,Soil moisture deficit
मृदाकारिकी,Soil morphology
मृदा कण,Soil particle
मृदा प्रावस्था,Soil phase
मृदा परिच्छेदिका,Soil profile
मृदा अभिक्रिया,Soil reaction
मृदा कणवर्ग,Soil separates
मृदा श्रेणी,Soil series
मृदा घोल,Soil solution
मृदा संरचना,Soil structure
मृदा गठन,Soil texture
मृदा प्रकार,Soil type
सोलम,Solum
शोषण,Sorption
कत्तर,Spalls
विशिष्ट आयन प्रभाव,Specific ion effect
चौकोर रद्देदार ढोका चिनाई,Squared coursed rubble masonry
नियमित चौकोर रद्देदार ढोका चिनाई,Squared regular coursed rubble masonry
अपरिवर्ती प्रवाह,Steady flow
सोपानी जलरोधी झिल्ली,Stepped flashing
चिपचिपापन,Stickiness
चिपकन बिंदु,Sticking point
पत्थर,Stone
गीली हस्थ पथाई,Slop hand moulding
पट्टक कब्जा,Strap hinge
गत्ता,Straw board
सरिता,Stream
प्रतिबल,Stress
पट्टी/स्ट्रैचर,Stretcher
पट्टी/स्ट्रैचर चाल,Stretcher bond
पट्टी रद्दा,Stretcher course
स्ट्रिंग,String
किंगरी रद्दा,String course
संरचना गुणांक,Structure factor
संरचना सूचक अंक,Structure index
स्टुको,Stucco
स्टड,Stud
आधार पीठ,Stylobate
अवमृदा,Sub soil
अधः रचना,Sub structure
संकलन वक्र,Summation curve
सनमाइका,Sun mica
अधिरचना/ऊपरी ढाँचा,Super structure
सर्वेक्षक,Surveyor
S-मान,S-value
प्रठप्पा,Swag
हंस ग्रीवा,Swan neck
मंडप,Tabernacle
मेज हस्त पथाई,Table hand moulding
टैंकन,Tanking
टैम्पीटो,Tempietto
मृदुकरण,Tempering
टैमप्लेट,Template
आकार पट्ट,Template
टेपीडेरियम,Tepidarium
टैराकोटा,Terracotta
टैरारोसा,Terra rosa
टैराजो,Terrazzo
चतुरभिकल्पना,Tetra style
प्रभाव सीमा मान,Threshold limit value
कंठ,Throat
धुर पत्थर,Through stone
ज्वारीय बेसिन,Tidal basin
तान छड़,Tie bar
बंधन धरन,Tie beam
तान दंड,Tie rod
टिर्स,Tirs
उपेक्ष्य त्रुटि,Tolerance
दाढ़ा,Toothing
पृष्ठ मृदा या ऊपरी मृदा,Top soil or surface soil
कुल सरंध्रता,Total porosity
अलंकरण,Tracery
ट्रेन प्रतिरोध,Train resistance
ट्रानसैप्ट,Transept
संक्रमणीय मृदा,Transitional soil
अनुप्रस्थिका,Transom
परिवाहित मृदा,Transport soil
उप नदी,Tributary
गलियारा,Triforium
ट्रिगलिफ,Triglyph
रुंड मृदा,Truncated soil
विक्षुब्ध प्रवाह,Turbulent flow
टर्रेट,Turret
डाट की भराई,Tympar num
अंतिम धारण क्षमता,Ultimate bearing capacity
अंतिम ph,Ultimate ph
