Hindi,Kannada
अभिगम शुल्क,ಪ್ರವೇಶ
अभिगम वर्ग,ಪ್ರವೇಶ ವರ್ಗ
अभिगम आँकड़ासंचय प्रबंध,ಡೇಟಾ ಬೇಸ್ ನಿರ್ವಹಣೆಯನ್ನು ಪ್ರವೇಶಿಸಿ
अभिगम परिवेश,ಪ್ರವೇಶ ಪರಿಸರ
अभिगम अंतराल,ಪ್ರವೇಶದ ಅಂತರ
अभिगम सूचक,ಪ್ರವೇಶ ಸೂಚ್ಯಂಕ
अभिगम लाइन,ಪ್ರವೇಶ
अभिगम यांत्रिकत्व,ಪ್ರವೇಶ ಕಾರ್ಯ
अभिगम विधि,ಪ್ರವೇಶ ವಿಧಾನ
अभिगम विधि नेमका,ಪ್ರವೇಶ ವಿಧಾನ ದಿನಚರಿ
अभिगम विधा,ಪ್ರವೇಶ ಕ್ರಮ
अभिगम अधिकार,ಪ್ರವೇಶ ಬಲ
अभिगम क्रमवीक्षण,ಪ್ರವೇಶ ಸ್ಕ್ಯಾನ್
अभिगम काल,ಪ್ರವೇಶ ಸಮಯ
लेखा कार्य,ಲೆಕ್ಕಪತ್ರ
लेखाकार्य वित्त तंत्र,ಲೆಕ್ಕಪರಿಶೋಧನಾ ವ್ಯವಸ್ಥೆ
लेखा यंत्र,ಅಕೌಂಟಿಂಗ್ ಯಂತ್ರ
खाता संख्या,ಖಾತೆ ಸಂಖ್ಯೆ
संचयी पुनरुत्पादक,ಸಂತಾನೋತ್ಪತ್ತಿ ಮಾಡುವವರನ್ನು ಸಂಗ್ರಹಿಸುವುದು
संचायक,ಸಂಗ್ರಹಣೆದಾರ
संचायक पंजी,ಸಂಚಯಕ ನೋಂದಣಿ
संचायक विस्थापन अनुदेश,ಸಂಚಯಕ ಶಿಫ್ಟ್ ಸೂಚನೆ
परिशुद्धता,ನಿಖರತೆ
परिशुद्धता नियंत्रण संप्रतीक,ನಿಖರತೆ ನಿಯಂತ್ರಣ ಪಾತ್ರ
परिशुद्धता नियंत्रण तंत्र,ನಿಖರತೆ ನಿಯಂತ್ರಣ ವ್ಯವಸ್ಥೆ
उत्कृष्ठ मार्गदर्शी,ಏಸ್ ಪೈಲಟ್
पावती संप्रतीक,ಪಾತ್ರವನ್ನು ಅಂಗೀಕರಿಸಿ
ध्वनिक युग्मक,ಅಕೌಸ್ಟಿಕ್ ಕೋಪ್ಲರ್
ध्वनिक युग्मन,ಅಕೌಸ್ಟಿಕ್ ಜೋಡಣೆ
ध्वनिक विलंब लाइन,ಅಕೌಸ್ಟಿಕ್ ವಿಳಂಬ ರೇಖೆ
ध्वनिक स्मृति,ಅಕೌಸ್ಟಿಕ್ ಸ್ಮರಣೆ
ध्वनिक मोडेम,ಸಕೌಸ್ಟಿಕ್ ಮೋಡೆಮ್
ध्वनिक संकेत,ಅಕೌಸ್ಟಿಕ್ ಸಂಕೇತ
ध्वनिक भंडारण,ಅಕೌಸ್ಟಿಕ್ ಸಂಗ್ರಹ
परिवर्णी शब्द,ಸಂಕ್ಷಿಪ್ತ ರೂಪ
क्रिया,ಕ್ರಿಯಾಶೀಲತೆ
क्रिया चक्र,ಕ್ರಿಯಾಶೀಲತೆ
क्रिया लाइन,ಕ್ರಿಯಾಶೀಲ ರೇಖೆ
क्रिया संदेश,ಕ್ರಿಯಾಶೀಲ
क्रिया विनिर्देश,ಕ್ರಿಯಾಶೀಲತೆ
सक्रियण,ಸಕ್ರಿಯಗೊಳಿಸುವಿಕೆ
सक्रिय,ಸಕ್ರಿಯ
सक्रिय संचिका,ಸಕ್ರಿಯ ಫೈಲ್
सक्रिय लाइन,ಸಕ್ರಿಯ ರೇಖೆ
सक्रिय कड़ी,ಸಕ್ರಿಯ ಲಿಂಕ್
सक्रिय प्रधान संचिका,ಸಕ್ರಿಯ ಮಾಸ್ಟರ್ ಫೈಲ್
सक्रिय प्रधान मद,ಸಕ್ರಿಯ ಮಾಸ್ಟರ್ ಐಟಂ
सक्रिय उपग्रह,ಸಕ್ರಿಯ ಉಪಗ್ರಹ
सक्रिय केन्द्र,ಸಕ್ರಿಯ ನಿಲ್ದಾಣ
सक्रिय भंडारण,ಸಕ್ರಿಯ ಸಂಗ್ರಹಣೆ
सक्रियता,ಚಟುವಟಿಕೆ
सक्रियता स्तर,ಚಟುವಟಿಕೆ ಮಟ್ಟ
सक्रियता भारण,ಚಟುವಟಿಕೆ ಲೋಡಿಂಗ್
सक्रियता अनुपात,ಚಟುವಟಿಕೆ ಅನುಪಾತ
निरपेक्ष पता,ನಿಜವಾದ ವಿಳಾಸ (= ಸಂಪೂರ್ಣ ವಿಳಾಸ)
निरपेक्ष कूट,ನಿಜವಾದ ಕೋಡ್ (= ಸಂಪೂರ್ಣ ಕೋಡ್)
वास्तविक आँकडा स्थानांतरण दर,ನಿಜವಾದ ಡೇಟಾ ವರ್ಗಾವಣೆ ದರ
वास्तविक दशमलव बिन्दु,ವಾಸ್ತವಿಕ ದಶಮಾಂಶ ಬಿಂದು
प्रभावी अनुदेश,ನಿಜವಾದ ಸೂಚನೆ (= ಪರಿಣಾಮಕಾರಿ ಸೂಚನೆ)
वास्तविक कुंजी,ವಾಸ್ತವಿಕ ಕೀ
वास्तविक काल,ವಾಸ್ತವಿಕ ಸಮಯ
वास्तविक कार्य काल,ನಿಜವಾದ ಕೆಲಸದ ಸಮಯ
प्रवर्तक संकेत,ಸಂಕೇತ
अनुकूलनीयता,ಹೊಂದಿಕೊಳ್ಳುವಿಕೆ
अनुकूलित्र,ಅಳವಡಗಾರ
अनुकूली प्रणाल नियतन,ಹೊಂದಾಣಿಕೆಯ ಚಾನಲ್ ಹಂಚಿಕೆ
अनुकूली समाकलन,ಹೊಂದಾಣಿಕೆಯ ಏಕೀಕರಣ
अनुकूली अनुप्रस्थ तुल्यकारक,ಅಡಾಪ್ಟಿವ್ ಟ್ರಾನ್ಸ್‌ವರ್ಸಲ್ ಈಕ್ವಲೈಜರ್
योजित प्रविष्ट,ಪ್ರವೇಶವನ್ನು ಸೇರಿಸಲಾಗಿದೆ
योज्य,ಸೇರಿಸು
योजक,ಸೇರಿಸುವವನು
योजक व्यवकलक,ಸೇಡ್ ಸಬ್ಟ್ರಾಕ್ಟರ್
योजी संचिका,ಕಡತವನ್ನು ಸೇರಿಸು
विशिष्ट संप्रतीक,ಹೆಚ್ಚುವರಿ ಅಕ್ಷರ (= ವಿಶೇಷ ಅಕ್ಷರ)
योग अभिलेख,ಸೇರ್ಪಡೆ ರೆಕಾರ್ಡರ್
योग सारणी,ಸೇರ್ಪಡೆ ಮೇಜು
योज्य गुण,ಸಂಯೋಜಕ ಗುಣಲಕ್ಷಣ
योग विधा,ಮೋಡ್ ಸೇರಿಸಿ
योग संक्रिया,ಕಾರ್ಯಾಚರಣೆ ಸೇರಿಸಿ
पता,ಭಾಷಣ
पतायोग्यता माप,ವಿಳಾಸದ ಅಳತೆ
पतायोग्य क्षौतिज स्थिति,ವಿಳಾಸ ಮಾಡಬಹುದಾದ ಸಮತಲ ಸ್ಥಾನ
पतायोग्य बिन्दु,ವಿಳಾಸ ಮಾಡಬಹುದಾದ ಬಿಂದು
पतायोग्य स्थिति,ವಿಳಾಸ ಮಾಡಬಹುದಾದ ಸ್ಥಾನ
पतायोग्य पंजी,ವಿಳಾಸ ಮಾಡಬಹುದಾದ ರಿಜಿಸ್ಟರ್
पतायोग्य भंडारण,ವಿಳಾಸ ಮಾಡಬಹುದಾದ ಸಂಗ್ರಹಣೆ
पतायोग्य ऊर्ध्वाधर स्थिति,ವಿಳಾಸ ಮಾಡಬಹುದಾದ ಲಂಬ ಸ್ಥಾನ
पता बस,ವಿಳಾಸ ಬಸ್
पता कूट,ವಿಳಾಸ ಕೋಡ್
पता तुलनित्र,ವಿಳಾಸ ಹೋಲಿಕೆದಾರ
पता अभिकलन,ವಿಳಾಸ ಗಣನೆ
पता अचर,ವಿಳಾಸ ಸ್ಥಿರ
पता रूपांतरण,ವಿಳಾಸ ಪರಿವರ್ತನೆ
पता आँकड़े,ವಿಳಾಸ ಡೇಟಾ
पतायुक्त स्मृति,ವಿಳಾಸ ಮೆಮೊರಿ
प्रभावी पता,ವಿಳಾಸ ಪರಿಣಾಮಕಾರಿ
पता क्षेत्र,ವಿಳಾಸ ಕ್ಷೇತ್ರ
पता संरूप,ವಿಳಾಸ ಸ್ವರೂಪ
पता निरपेक्ष क्रमादेश,ವಿಳಾಸ ಉಚಿತ ಕಾರ್ಯಕ್ರಮ
पताभिगमन,ಸಂಬೋಧಿಸುವುದು
पताभिगमन संप्रतीक,"ಸಂಬೋಧಿಸುವುದು
 ಪಾತ್ರ"
पताभिगमन अंतरायन,ಅಡಚಣೆಯನ್ನು ಉದ್ದೇಶಿಸಿ
पताभिगमन पाश,ವಿಳಾಸ ಲೂಪ್
पताभिगमन आभासी स्मृति,ವರ್ಚುವಲ್ ಮೆಮೊರಿಯನ್ನು ಉದ್ದೇಶಿಸಿ
पता अंतर्ग्रथन,ವಿಳಾಸ ಇಂಟರ್ಲೇಟಿಂಗ್
पतारहित अनुदेश संरुप,ವಿಳಾಸವಿಲ್ಲದ ಸೂಚನಾ ಸ್ವರೂಪ
पता लाइन,ವಿಳಾಸ ಸಾಲು
पता प्रतिचित्रण,ವಿಳಾಸ ಮ್ಯಾಪಿಂಗ್
पता चिह्न,ವಿಳಾಸ ಗುರುತು
पता आपरिवर्तन,ವಿಳಾಸ ಮಾರ್ಪಾಡು
पता भाग,ವಿಳಾಸದ ಭಾಗ
पता संकेतक,ವಿಳಾಸ ಪಾಯಿಂಟರ್
पता पंजी,ವಿಳಾಸ ನೋಂದಣಿ
पता संकेत,ವಿಳಾಸ ಸಂಕೇತ
पता आमाप,ವಿಳಾಸದ ಗಾತ್ರ
पता स्थान,ವಿಳಾಸ ಸ್ಥಳ
पता स्थान अभिज्ञापक,ವಿಳಾಸ ಬಾಹ್ಯಾಕಾಶ ಗುರುತಿಸುವಿಕೆ
पता विराम,ವಿಳಾಸ ನಿಲುಗಡೆ
पता अनुरेख,ವಿಳಾಸ ಜಾಡಿನ
पता मार्ग,ವಿಳಾಸ ಟ್ರ್ಯಾಕ್
पता अनुवाद,ವಿಳಾಸ ಅನುವಾದ
पता अनुवादक,ವಿಳಾಸ ಅನುವಾದಕ
संकलन व्यवकलन काल,ಕಕ್ಸಚ್ಚುವಿಕೆಯನ್ನು ಸೇರಿಸಿ ಸಮಯ
संकलन काल,ಸಮಯವನ್ನು ಸೇರಿಸಿ
संलग्नता,ಪಕ್ಕದ
संलग्नता संरचना,ಪಕ್ಕದ ರಚನೆ
संलग्न प्रणाल,ಪಕ್ಕದ ಚಾನಲ್
संलग्न प्रांत,ಪಕ್ಕದ ಡೊಮೇನ್
सहखंडज मैट्रिक्स,ಪಕ್ಕದ ಮ್ಯಾಟ್ರಿಕ್ಸ್
संलग्न आसंधि,ಪಕ್ಕದ ನೋಡ್
संलग्न उपक्षेत्र,ಪಕ್ಕದ ಸುಬೇರಿಯಾ
संलग्न (तंत्र),ಹೊಂದಾಣಿಕೆ (ಸಿಸ್ಟಮ್)
समायोजन,ಸರಿಹೊಂದಿಸು
समायोज्य विस्तार,ಹೊಂದಾಣಿಕೆ ವ್ಯಾಪ್ತಿ
समायोज्य पाठ्यांश विधा,ಪಠ್ಯ ಮೋಡ್ ಅನ್ನು ಹೊಂದಿಸಿ
प्रशासनिक आँकड़ा संसाधन,ಆಡಳಿತ ದತ್ತಾಂಶ ಸಂಸ್ಕರಣೆ
प्रशासनिक प्रचालन,ಆಡಳಿತಾತ್ಮಕ ಕಾರ್ಯಾಚರಣೆ
प्रशासनिक प्रचालक,ಆಡಳಿತಕಾರಕ
प्रशासनिक प्रचालन केन्द्र,ಆಡಳಿತ ನಿರ್ವಾಹಕ ಕೇಂದ್ರ
प्रशासन सहाय तंत्र,ಆಡಳಿತಾತ್ಮಕ ಬೆಂಬಲ ವ್ಯವಸ್ಥೆ
उन्नत संचार सेवा,ಸುಧಾರಿತ ಸಂವಹನ ಸೇವೆ
उन्नत सूचना तंत्र,ಸುಧಾರಿತ ಮಾಹಿತಿ ವ್ಯವಸ್ಥೆ
उन्नत प्रकाशिक संप्रतीक पठित्र,ಸುಧಾರಿತ ಆಪ್ಟಿಕಲ್ ಕ್ಯಾರೆಕ್ಟರ್ ರೀಡರ್
उन्नत वैज्ञानिक अभिकलित्र,ಸುಧಾರಿತ ವೈಜ್ಞಾನಿಕ ಕಂಪ್ಯೂಟರ್
एरियल,ವೈಮಾನಿಕ
पुंज,ಒಟ್ಟು
पुंज व्यंजक,ಒಟ್ಟು ಅಭಿವ್ಯಕ್ತಿ
संधानित्र,ಗುರಿ ವೃತ್ತ
संधान प्रतीक,ಗುರಿ ಕ್ಷೇತ್ರ (= ಗುರಿ ಚಿಹ್ನೆ)
संधान प्रतीक,ಗುರಿ ಚಿಹ್ನೆ
वायुवाहित अभिकलित्र तंत्र,ವಾಯುಗಾಮಿ ಕಂಪ್ಯೂಟರ್ ವ್ಯವಸ್ಥೆ
बीजीय आइगनमान समस्या,ಬೀಜಗಣಿತ ಐಜೆನ್ವಾಲ್ಯು ಸಮಸ್ಯೆ
बीजीय समाकलन,"ಬೀಜಗಣಿತದ
 ಏಕೀಕರಣ"
"बीजीय भाषा, बीज भाषा",ಬೀಜಗಣಿತದ ಭಾಷೆ
बीजीय प्रकलन,ಬೀಜಗಣಿತದ ಕುಶಲ
बीजीय प्रकलन भाषा,ಬೀಜಗಣಿತದ ಕುಶಲ ಭಾಷೆ
बीजोन्मुखी भाषा,ಬೀಜಗಣಿತ ಆಧಾರಿತ ಭಾಷೆ
बीजीय विस्थापन,ಬೀಜಗಣಿತದ ಶಿಫ್ಟ್
बीजीय चिह्न परिपाटी,ಬೀಜಗಣಿತ ಚಿಹ್ನೆ ಸಮಾವೇಶ
ऐल्गॉल,ಪಾಚಕ
ऐल्गॉल लक्षण,ಆಲ್ಗೋಲ್ ವೈಶಿಷ್ಟ್ಯ
ऐल्गॉल क्रमादेशन,ಅಲ್ಗೋಲ್ ಪ್ರೋಗ್ರಾಮಿಂಗ್
"कलन विधि, एल्गोरिथ्म",ಅಲ್ಗಾರಿದಮ್
कलन विधि साहचर्य भाषा,ಅಲ್ಗಾರಿದಮ್ ಸಹಾಯಕ ಭಾಷೆ
कलन विधि वर्गीकरण,ಅಲ್ಗಾರಿದಮ್ ವರ್ಗೀಕರಣ
कलन विधि जटिलता,ಅಲ್ಗಾರಿದಮ್ ಸಂಕೀರ್ಣತೆ
कलन विधि अभिकलनीयता,ಅಲ್ಗಾರಿದಮ್ ಗಣನೀಯತೆ
कलन विधि विश्लेषण,ಕ್ರಮಾವಧಿಕ ವಿಶ್ಲೇಷಣೆ
कलनविधीय उपगमन,ಕ್ರಮಾವಧಿಕ ವಿಧಾನ
कलनविधीय भाषा,ಕ್ರಮಬದ್ಧ ಭಾಷೆ
कलनविधीय नेमका,ಅಲ್ಗಾರಿದಮಿಕ್ ವಾಡಿಕೆಯ
कलनविधीय सिद्धांत,ಕ್ರಮಾವಧಿಕ ಸಿದ್ಧಾಂತ
अपर,ಅಲಿಯಾಸ್
उपघटन,ಅಲಿಯಾಸೆ
"अपर नाम, उर्फ नाम",ಅಲಿಯಾಸ್ ಹೆಸರು (= ಪರ್ಯಾಯ ಹೆಸರು)
सरेखण,ಜೋಡಣೆ
नियतन,ನಿಯೋಜಿಸು
नियतन संरचना,ಹಂಚಿಕೆ ರಚನೆ
सर्वोद्देशीय अभिकलित्र,ಎಲ್ಲಾ ಉದ್ದೇಶದ ಕಂಪ್ಯೂಟರ್
अक्षरात्मक संप्रतीक,ವರ್ಣಮಾಲೆಯ ಪಾತ್ರ
अक्षरात्मक संप्रतीक समुच्चय,ವರ್ಣಮಾಲೆಯ ಅಕ್ಷರಗಳ ಸೆಟ್
अक्षरात्मक संप्रतीक उपसमुच्चय,ವರ್ಣಮಾಲೆಯ ಅಕ್ಷರ ಉಪವಿಭಾಗ
अक्षरात्मक कूट,ವರ್ಣಮಾಲೆ ಸಂಕೇತ
अक्षरात्मक विस्थापन,ವರ್ಣಮಾಲೆ ಶಿಫ್ಟ್
अक्षरात्मक रज्जु,ವರ್ಣಮಾಲೆಯ ದಾರ
अक्षरात्मक शब्द,ವರ್ಣಮಾಲೆ ಪದ
वर्णानुक्रमण,ವರ್ಣಮಾಲೆ
अक्षरात्मक ज्यामितिकी,ಆಲ್ಫೇಜೀಟ್ರಿಕ್ಸ್
अक्षरांकीय,ಆಲ್ಫಾಮನ
अल्फामोजेक,ವರ್ಣಮಾಲೆಯ
अक्षरांकीय,ವರ್ಣಮಾಲೆಯ
अक्षरांकीय कुंजीपटल युक्ति,ಆಲ್ಫಾನ್ಯೂಮರಿಕಲ್ ಕೀಬೋರ್ಡ್ ಸಾಧನ
अक्षरांकीय संप्रतीक समुच्चय,ಆಲ್ಫಾನ್ಯೂಮರಿಕ್ ಅಕ್ಷರ ಸೆಟ್
अक्षरांकीय कूट,ಆಲ್ಫಾನ್ಯೂಮರಿಕ್ ಕೋಡ್
अक्षरांकीय कूटलिखित संप्रतीक समुच्चय,ಆಲ್ಫಾನ್ಯೂಮರಿಕ್ ಕೋಡೆಡ್ ಅಕ್ಷರ ಸೆಟ್
अक्षरांकीय आँकड़े,ಆಲ್ಫಾನ್ಯೂಮರಿಕ್ ಡೇಟಾ
अक्षरांकीय प्रदर्श युक्ति,ಆಲ್ಫಾನ್ಯೂಮರಿಕ್ ಪ್ರದರ್ಶನ ಸಾಧನ
अक्षरांकीय संपादित संप्रतीक,ಆಲ್ಫಾನ್ಯೂಮರಿಕ್ ಸಂಪಾದಿತ ಪಾತ್ರ
अक्षरांकीय क्षेत्र,ಆಲ್ಫಾನ್ಯೂಮರಿಕ್ ಕ್ಷೇತ್ರ
अक्षरांकीय अनुदेश,ಆಲ್ಫಾನ್ಯೂಮರಿಕ್ ಸೂಚನೆ
अक्षरांकीय कुंजी पटल,ಆಲ್ಫಾನ್ಯೂಮರಿಕ್ ಕೀಬೋರ್ಡ್
अक्षरांकीय शाटन,ಆಲ್ಫಾನ್ಯೂಮರಿಕ್ ವಿಂಗಡಣೆ
अक्षरांकीय भंडारण,ಆಲ್ಫಾನ್ಯೂಮರಿಕ್ ಸಂಗ್ರಹ
परिवर्तनीय स्मृति,ಬದಲಾಯಿಸಬಹುದಾದ ಮೆಮೊರಿ
परिवर्तन स्विच,ಬದಲಾವಣೆ ಸ್ವಿಚ್
परिवर्तन,ಬದಲಾಯಿಸುವ
परिवर्तन विधा,ಬದಲಾದ ಮೋಡ್
वैकल्पिक पुनःप्राप्ति,ಪರ್ಯಾಯ ಚೇತರಿಕೆ
वैकल्पिक मार्ग,ಪರ್ಯಾಯ ಮಾರ್ಗ
वैकल्पिक मार्गचयन,ಪರ್ಯಾಯ ರೂಟಿಂಗ್
वैकल्पिक मार्ग,ಪರ್ಯಾಯ ಟ್ರ್ಯಾಕ್
अथवा' संक्रिया,ಪರ್ಯಾಯ (= ಅಥವಾ ಕಾರ್ಯಾಚರಣೆ)
वैकल्पिक गुण,ಪರ್ಯಾಯ ಗುಣಲಕ್ಷಣ
तथा पूरक' संक्रिया,ಪರ್ಯಾಯ ನಿರಾಕರಣೆ (= ಅಲ್ಲ ಮತ್ತು ಕಾರ್ಯಾಚರಣೆ)
संदिग्धता त्रुटि,ಅಸ್ಪಷ್ಟ ದೋಷ
संदिग्धता संर्दभ,ಅಸ್ಪಷ್ಟ ಉಲ್ಲೇಖ
अनुरूप,ಜರುಗೋಲು
अनुरूप योजक,ಅನಾಲಾಗ್
अनुरूप प्रणाल,ಅನಾನುಕೂಲ ಚಾನೆಲ್
अनुरूप अभिकलित्र,ಅನಾನುಕೂಲ ಕಂಪ್ಯೂಟರ್
अनुरूप परिवर्तक,ಅನಾನುಕೂಲ ಪರಿವರ್ತಕ
अनुरूप आँकड़े,ಅನಲಾಗ್ ಡೇಟಾ
अनुरूप विभाजनी,ಅನನುಕಿನ ವಿಭಾಜಕ
अनुरूप सुविधा टर्मिनल,ಅನಲಾಗ್ ಫೆಸಿಲಿಟಿ ಟರ್ಮಿನಲ್
अनुरूप फलन जनक,"ಅನಾನುಕೂಲ ಕಾರ್ಯ
 ಉತ್ಪಾದಕ"
अनुरूप समाकलन,ಅನಲಾಗ್ ಏಕೀಕರಣ
अनुरूप गुणक,ಸೋಗು ಗುಣಕ
अनुरूप क्रमादेशन,ಅನಲಾಗ್ ಪ್ರೋಗ್ರಾಮಿಂಗ್
अनुरूप मापन,ಅನನುಕಿನ ಸ್ಕೇಲಿಂಗ್
अनुरूप संकेत,ಅನಾಲಾಗ್ ಸಂಕೇತ
अनुरूप अनुकार,ಸಿಮ್ಯುಲೇಶನ್
अनुरूप स्विच,ಅನಲಾಗ್ ಸ್ವಿಚ್
अनुरूप तंत्र,ಅನಾಲಾಗ್ ವ್ಯವಸ್ಥೆ
अनुरूप अंकीय परिवर्तक,"ಡಿಜಿಟಲ್ಗೆ ಅನಲಾಗ್
 ಪರಿವರ್ತಕ"
अनुरूप अंकीयकूटलेखक,"ಡಿಜಿಟಲ್ಗೆ ಅನಲಾಗ್
 ಸ್ಥಳಾಂತರಕ"
अनुरूप संचरण,ಅನಾಲಿಕೆ ಹರಡುವಿಕೆ
अनुरूप प्रकार,ಅನಾಲಾಗ್ ಪ್ರಕಾರ
विश्लेषण खंड़क,ವಿಶ್ಲೇಷಣೆ
विश्लेषण विधा,ವಿಶ್ಲೇಷಣೆ ವಿಧಾನ
वैश्लेषिक इंजन,ವಿಶ್ಲೇಷಣಾತ್ಮಕ ಎಂಜಿನ್
पूर्वज कार्य,ಪೂರ್ವಜರ ಕಾರ್ಯ
सहायक उपकरण,ಪೂರಳು ಉಪಕರಣಗಳು
तथा',ಮತ್ತು
तथा' परिपथ,ಮತ್ತು ಸರ್ಕ್ಯೂಟ್
तथा' अवयव,ಮತ್ತು ಅಂಶ
तथा' द्वार,ಮತ್ತು ಗೇಟ್
तथा' प्रच्छादन,ಮತ್ತು ಮರೆಮಾಚುವಿಕೆ
अपवर्जन,ಮತ್ತು ಕಾರ್ಯಾಚರಣೆ ಅಲ್ಲ (= ಹೊರಗಿಡುವಿಕೆ
तथा' संक्रिया,ಮತ್ತು ಕಾರ್ಯಾಚರಣೆ
चयक स्मृति,ಅನೆಕ್ಸ್ ಸ್ಮರಣೆ
टिप्पण,ಟಿಪ್ಪಣಿ
आख्यापित्र,ಮೊಳಕೆ
तुरत उत्तर,ಮತ್ತೆ ಉತ್ತರಿಸಿ
उत्तर विलंब,ಉತ್ತರ ವಿಳಂಬ
उत्तर काल,ಸಮಯಕ್ಕೆ ಉತ್ತರಿಸುವುದು
उत्तर बत्ती,ಉತ್ತರ ದೀಪ
उत्तर सूची,ಉತ್ತರ ಪಟ್ಟಿ
केवल उत्तर,ಉತ್ತರ ಮಾತ್ರ
प्रत्याशा विधा,ನಿರೀಕ್ಷೆಯ ಕ್ರಮ
प्रत्याशामूलक चयकन,ನಿರೀಕ್ಷಿತ ಬಫರಿಂಗ್
प्रत्याशामूलक हासिल,ನಿರೀಕ್ಷಿತ ಸಾಗಣೆ
प्रत्याशामूलक पृष्ठन,ನಿರೀಕ್ಷಿತ ಪೇಜಿಂಗ್
प्रतिसंपाती संक्रिया,ಪ್ರತಿಕೂಲ ಕಾರ್ಯಾಚರಣೆ
प्रतिसंपाती अवयव,ಪ್ರತಿಷ್ಠಾನದ ಅಂಶ
अनावर्ती ऐन्टेना,ಅಪೇಕ್ಷಣೀಯ ಆಂಟೆನಾ
द्वारक पत्रक,ದ್ಯುತಿರಂಧ್ರ ಚೀಲು
द्वारक कूट,ದ್ಯುತಿರಂಧ್ರ ಸಂಹಿತೆ
द्वारक काल,ದ್ಯುತಿರಂಧ್ರ ಸಮಯ
अनुबंध,ಅನುಬಂಧ
अनुबंध कार्य,ಅನುಬಂಧ ಕಾರ್ಯ
अनुप्रयोग विकासक,ಅಪ್ಲಿಕೇಶನ್ ಡೆವಲಪರ್
अनुप्रयोग स्तर,ಅಪ್ಲಿಕೇಶನ್ ಪದರ
अनुप्रयोग मूलक भाषा,ಅಪ್ಲಿಕೇಶನ್ ಆಧಾರಿತ ಭಾಷೆ
अनुप्रयोग (क्रमादेश) संकुल,ಅಪ್ಲಿಕೇಶನ್ ಪ್ಯಾಕೇಜ್
अनुप्रयोग क्रमादेश,ಅಪ್ಲಿಕೇಶನ್ ಕಾರ್ಯಕ್ರಮ
अनुप्रयोग क्रमादेशन,ಅರ್ಜಿ ಪ್ರೋಗ್ರಾಮಿಂಗ್
अनुप्रयोग अपेक्षित भाषा,ಅಪ್ಲಿಕೇಶನ್ ಅಗತ್ಯವಿದೆ ಭಾಷೆ
अनुप्रयोग प्रक्रिया सामग्री,ಅಪ್ಲಿಕೇಶನ್ ಸಾಫ್ಟ್‌ವೇರ್
अधिरोपण,ಬೆಲೆತುಂಬು
सन्निकटन सिद्धांत,ಅಂದಾಜು ಸಿದ್ಧಾಂತ
स्वेच्छ अभिगम,ಅನಿಯಂತ್ರಿತ ಪ್ರವೇಶ
स्वेच्छ अनुक्रम अभिकलित्र,ಅನಿಯಂತ್ರಿತ ಅನುಕ್ರಮ ಕಂಪ್ಯೂಟರ್
मध्यस्थ,ಮಧ್ಯಸ್ಥಿಕೆ
