Gujarati,Punjabi
સંલગ્ન મેટ્રિક્સ,ਸੰਜੋਗ ਮੈਟ੍ਰਿਕਸ
મેટ્રિક્સનો સંલગ્ન ભાગ,ਮੈਟ੍ਰਿਕਸ ਦਾ ਜੋੜ
એડજ્યુગેટ મેટ્રિક્સ,ਨਿਰਣਾਇਕ ਮੈਟ੍ਰਿਕਸ
સ્વીકાર્ય નિર્ણય કાર્ય,ਸਵੀਕਾਰਯੋਗ ਫੈਸਲੇ ਫੰਕਸ਼ਨ
સ્વીકાર્ય પૂર્વધારણા,ਮੰਨਣਯੋਗ ਪਰਿਕਲਪਨਾ
એરોડાયનેમિક બળ,ਐਰੋਡਾਇਨਾਮਿਕ ਫੋਰਸ
એરોડાયનેમિક્સ,ਐਰੋਡਾਇਨਾਮਿਕਸ
સંલગ્ન ભૂમિતિ,affine ਜਿਓਮੈਟਰੀ
affine મેપિંગ,affine ਮੈਪਿੰਗ
સંલગ્ન રૂપાંતર,affine ਪਰਿਵਰਤਨ
એકંદર ચલો,ਵੇਰੀਏਬਲ ਇਕੱਠੇ ਕਰਨਾ
બીજગણિત,ਅਲਜਬਰਾ
બીજગણિતીય રીતે બંધ,ਬੀਜਗਣਿਤ ਬੰਦ
બીજગણિતીય સમીકરણ,ਬੀਜਗਣਿਤ ਸਮੀਕਰਨ
બીજગણિતીય અભિવ્યક્તિ,ਬੀਜਗਣਿਤ ਸਮੀਕਰਨ
બીજગણિત સ્વરૂપ,ਬੀਜਗਣਿਤ ਰੂਪ
બીજગણિત કાર્ય,ਬੀਜਗਣਿਤ ਫੰਕਸ਼ਨ
બીજગણિત ભૂમિતિ,ਬੀਜਗਣਿਤ ਜਿਓਮੈਟਰੀ
બીજગણિત ગુણાકાર,ਬੀਜਗਣਿਤ ਗੁਣਾ
બીજગણિત સિસ્ટમ,ਬੀਜਗਣਿਤ ਪ੍ਰਣਾਲੀ
તમામ પૂર્ણાંક સમસ્યા,ਸਾਰੇ ਪੂਰਨ ਅੰਕ ਸਮੱਸਿਆ
ફાળવણી સમસ્યા,ਵੰਡ ਸਮੱਸਿਆ
આલ્ફાબેટીકલ નોટેશન,ਵਰਣਮਾਲਾ ਸੰਕੇਤ
આલ્ફાબેટીક અક્ષર,ਵਰਣਮਾਲਾ ਦੇ ਅੱਖਰ
વૈકલ્પિક કોણ,ਵਿਕਲਪਕ ਕੋਣ
વૈકલ્પિક સ્વરૂપ,ਬਦਲਵੇਂ ਰੂਪ
વૈકલ્પિક જૂથ,ਬਦਲਵੇਂ ਸਮੂਹ
વૈકલ્પિક મેટ્રિક્સ,ਬਦਲਵੀਂ ਮੈਟਰਿਕਸ
વૈકલ્પિક શ્રેણી,ਬਦਲਵੀਂ ਲੜੀ
વૈકલ્પિક પૂર્વધારણા,ਵਿਕਲਪਕ ਅਨੁਮਾਨ
વૈકલ્પિક ઓપ્ટિમા,ਵਿਕਲਪਕ ਅਨੁਕੂਲਤਾ
વૈકલ્પિક પરિણામ,ਵਿਕਲਪਕ ਨਤੀਜਾ
એનાલોગ-ટુ-ડિજિટલ કન્વર્ટર,ਐਨਾਲਾਗ-ਟੂ-ਡਿਜੀਟਲ ਕਨਵਰਟਰ
એનાલોગ કમ્પ્યુટર,ਐਨਾਲਾਗ ਕੰਪਿਊਟਰ
વિશ્લેષણ,ਵਿਸ਼ਲੇਸ਼ਣ
સહપ્રવૃત્તિનું વિશ્લેષણ,ਸਹਿਪ੍ਰਸਤੀ ਦਾ ਵਿਸ਼ਲੇਸ਼ਣ
ગણતરી માહિતીનું વિશ્લેષણ,ਗਣਨਾ ਡੇਟਾ ਦਾ ਵਿਸ਼ਲੇਸ਼ਣ
વિચલનનું વિશ્લેષણ,ਵਿਭਿੰਨਤਾ ਦਾ ਵਿਸ਼ਲੇਸ਼ਣ
વિશ્લેષણાત્મક ભૂમિતિ,ਵਿਸ਼ਲੇਸ਼ਣਾਤਮਕ ਜਿਓਮੈਟਰੀ
વિશ્લેષણાત્મક કાર્ય,ਵਿਸ਼ਲੇਸ਼ਣ ਫੰਕਸ਼ਨ
કોણ,ਕੋਣ
સંપર્ક કોણ,ਸੰਪਰਕ ਦਾ ਕੋਣ
વિચલન કોણ,ਭਟਕਣ ਦਾ ਕੋਣ
હતાશાનો કોણ,ਡਿਪਰੈਸ਼ਨ ਦਾ ਕੋਣ
વિચલન કોણ,ਭਟਕਣ ਦਾ ਕੋਣ
વિવર્તન કોણ,ਵਿਭਿੰਨਤਾ ਦਾ ਕੋਣ
એલિવેશન કોણ,ਉਚਾਈ ਦਾ ਕੋਣ
ઘટના કોણ,ਘਟਨਾ ਦਾ ਕੋਣ
પ્રક્ષેપણ કોણ,ਪ੍ਰੋਜੈਕਸ਼ਨ ਦਾ ਕੋਣ
પ્રતિબિંબ કોણ,ਪ੍ਰਤੀਬਿੰਬ ਦਾ ਕੋਣ
રીફ્રેક્શન કોણ,ਅਪਵਰਤਨ ਦਾ ਕੋਣ
પરિભ્રમણ કોણ,ਰੋਟੇਸ਼ਨ ਦਾ ਕੋਣ
કુલ પ્રતિબિંબ કોણ,ਕੁੱਲ ਪ੍ਰਤੀਬਿੰਬ ਦਾ ਕੋਣ
કોણીય પ્રવેગક,ਕੋਣੀ ਪ੍ਰਵੇਗ
કોણીય ગતિ,ਕੋਣੀ ਗਤੀ
કોણીય ઝડપ,ਕੋਣੀ ਗਤੀ
કોણીય વેગ,ਕੋਣੀ ਵੇਗ
વલય,ਐਨੁਲਸ
જવાબ,ਜਵਾਬ
વિરોધી વ્યુત્પન્ન,ਵਿਰੋਧੀ ਡੈਰੀਵੇਟਿਵ
એન્ટિસપ્રમાણ કાર્ય,ਵਿਰੋਧੀ ਸਮਰੂਪ ਫੰਕਸ਼ਨ
લાગુ,ਲਾਗੂ ਹੈ
અરજી,ਐਪਲੀਕੇਸ਼ਨ
લાગુ ડાયનેમિક પ્રોગ્રામિંગ,ਲਾਗੂ ਡਾਇਨਾਮਿਕ ਪ੍ਰੋਗਰਾਮਿੰਗ
લાગુ ભૂમિતિ,ਲਾਗੂ ਕੀਤੀ ਜਿਓਮੈਟਰੀ
લાગુ ગણિત,ਲਾਗੂ ਗਣਿਤ
લાગુ આંકડા,ਲਾਗੂ ਅੰਕੜੇ
લગભગ,ਲਗਭਗ
લગભગ સતત કાર્ય,ਲਗਭਗ ਲਗਾਤਾਰ ਫੰਕਸ਼ਨ
અંદાજિત પદ્ધતિ,ਅੰਦਾਜ਼ਨ ਢੰਗ
અંદાજિત ઉકેલ,ਅੰਦਾਜ਼ਨ ਹੱਲ
અંદાજની સમસ્યા,ਲਗਭਗ ਸਮੱਸਿਆ
અંદાજિત મિલકત,ਲਗਭਗ ਸੰਪਤੀ
યોગ્યતા પરીક્ષણ બેટરી,ਯੋਗਤਾ ਟੈਸਟ ਬੈਟਰੀ
આર્ગાન્ડ ડાયાગ્રામ,Argand ਚਿੱਤਰ
મનસ્વી રીતે પસંદ કરેલ,ਆਪਹੁਦਰੇ ਢੰਗ ਨਾਲ ਚੁਣਿਆ ਗਿਆ ਹੈ
મનસ્વી,ਮਨਮਾਨੀ
મનસ્વી સતત,ਆਪਹੁਦਰੇ ਸਥਿਰ
મનસ્વી તત્વ,ਆਪਹੁਦਰੇ ਤੱਤ
મનસ્વી બિંદુ,ਮਨਮਾਨੀ ਬਿੰਦੂ
આર્કેમીડિયન કાયદો,ਆਰਕੀਮੀਡੀਅਨ ਕਾਨੂੰਨ
આર્કિમિડીઝ સિદ્ધાંત,ਆਰਕੀਮੀਡੀਜ਼ ਸਿਧਾਂਤ
ચાપ લંબાઈ,ਚਾਪ ਦੀ ਲੰਬਾਈ
વર્તુળની ચાપ,ਚੱਕਰ ਦਾ ਚਾਪ
આર્ક સાઈન વિતરણ,ਚਾਪ ਸਾਇਨ ਵੰਡ
આર્ક સાઈન ટ્રાન્સફોર્મેશન,ਚਾਪ ਸਾਇਨ ਪਰਿਵਰਤਨ
વિસ્તાર,ਖੇਤਰ
ક્ષેત્રીય રચના,ਖੇਤਰੀ ਬਣਤਰ
જટિલ સંખ્યાની દલીલ,ਕੰਪਲੈਕਸ ਨੰਬਰ ਦੀ ਦਲੀਲ
અંકગણિત સરેરાશ,ਗਣਿਤ ਦਾ ਮਤਲਬ
અંકગણિત કામગીરી,ਗਣਿਤ ਦੀ ਕਾਰਵਾਈ
અંકગણિત એકમ,ਗਣਿਤ ਦੀ ਇਕਾਈ
વ્યવસ્થા,ਪ੍ਰਬੰਧ
એરે,ਐਰੇ
કૃત્રિમ ઉપગ્રહ,ਨਕਲੀ ਸੈਟੇਲਾਈਟ
કૃત્રિમ ચલ,ਨਕਲੀ ਵੇਰੀਏਬਲ
ચડવું,ਚੜ੍ਹਨਾ
ચડતા,ਵੱਧਦੇ ਹੋਏ
તીવ્રતાનો ચડતો ક્રમ,ਤੀਬਰਤਾ ਦਾ ਵੱਧਦਾ ਕ੍ਰਮ
ચડતી શ્રેણી,ਚੜ੍ਹਦੀ ਲੜੀ
એસેમ્બલર ભાષા,ਅਸੈਂਬਲਰ ਭਾਸ਼ਾ
સોંપણીની સમસ્યા,ਅਸਾਈਨਮੈਂਟ ਸਮੱਸਿਆ
સહયોગી કાયદો,ਸਹਿਯੋਗੀ ਕਾਨੂੰਨ
ઓપરેટરોનો સહયોગી કાયદો,ਆਪਰੇਟਰਾਂ ਦਾ ਸਹਿਯੋਗੀ ਕਾਨੂੰਨ
સહયોગી કામગીરી,ਸਹਿਯੋਗੀ ਕਾਰਵਾਈ
સહયોગ,ਸੰਗਤ
ધાર્યું સરેરાશ,ਮਤਲਬ ਮੰਨਿਆ
અનુમાનિત સંભાવના વિતરણ,ਅਨੁਮਾਨਿਤ ਸੰਭਾਵਨਾ ਵੰਡ
ધારણા,ਧਾਰਨਾ
જ્યોતિષ,ਜੋਤਿਸ਼
એસ્ટ્રોનોટિકલ એન્જિનિયર,ਪੁਲਾੜ ਵਿਗਿਆਨੀ ਇੰਜੀਨੀਅਰ
ખગોળશાસ્ત્રી,ਖਗੋਲ ਵਿਗਿਆਨੀ
ખગોળશાસ્ત્રીય ઘડિયાળ,ਖਗੋਲੀ ਘੜੀ
ખગોળશાસ્ત્ર,ਖਗੋਲ ਵਿਗਿਆਨ
અસમપ્રમાણ વળાંક,ਅਸਮਿਤ ਵਕਰ
અસમપ્રમાણતા,ਅਸਮਿਤੀ
એસિમ્પ્ટોટ,asymptote
એસિમ્પટોટિક,asymptotic
એસિમ્પટોટિકલી કાર્યક્ષમ અંદાજકાર,asymptotically ਕੁਸ਼ਲ ਅਨੁਮਾਨਕ
એસિમ્પટોટિકલી નિષ્પક્ષ અંદાજકર્તા,asymptotically ਨਿਰਪੱਖ ਅਨੁਮਾਨਕ
એસિમ્પ્ટોટિક વર્તન,asymptotic ਵਿਵਹਾਰ
એસિમ્પ્ટોટિક વિતરણ કાર્ય,asymptotic ਵੰਡ ਫੰਕਸ਼ਨ
એસિમ્પ્ટોટિક વિસ્તરણ,asymptotic ਵਿਸਥਾਰ
વાતાવરણ નુ દબાણ,ਵਾਯੂਮੰਡਲ ਦਾ ਦਬਾਅ
રેન્ડમ પર,ਬੇਤਰਤੀਬੇ &#39;ਤੇ
લક્ષણ,ਵਿਸ਼ੇਸ਼ਤਾ
વિશેષતા નમૂના પ્રક્રિયા,ਗੁਣ ਨਮੂਨਾ ਪ੍ਰਕਿਰਿਆ
સંવર્ધિત મેટ્રિક્સ,ਵਧੀ ਹੋਈ ਮੈਟਰਿਕਸ
સ્વતઃસંબંધ ગુણાંક,ਸਵੈ-ਸੰਬੰਧ ਗੁਣਾਂਕ
સ્વતઃસંબંધ કાર્ય,ਸਵੈ-ਸਬੰਧੀ ਫੰਕਸ਼ਨ
ઓટોકોવરિઅન્સ,autocovariance
સ્વચાલિત કમ્પ્યુટર,ਆਟੋਮੈਟਿਕ ਕੰਪਿਊਟਰ
ઓટો રીગ્રેશન,ਆਟੋਰਿਗਰੇਸ਼ਨ
સહાયક સમીકરણ,ਸਹਾਇਕ ਸਮੀਕਰਨ
સરેરાશ સેમ્પલ નંબર કર્વ (ASN કર્વ),ਔਸਤ ਨਮੂਨਾ ਨੰਬਰ ਵਕਰ (ASN ਕਰਵ)
સ્વયંસિદ્ધ,axiom
સ્વયંસિદ્ધ અભિગમ,ਸਵੈ-ਜੀਵਨੀ ਪਹੁੰਚ
સંભાવનાનું સ્વયંસિદ્ધ,ਸੰਭਾਵਨਾ ਦਾ axiom
ધરી,ਧੁਰਾ
abscissa ની અક્ષ,abscissa ਦਾ ਧੁਰਾ
પૃથ્વીની ધરી,ਧਰਤੀ ਦੀ ਧੁਰੀ
ક્રાંતિની ધરી,ਇਨਕਲਾਬ ਦੀ ਧੁਰੀ
પરિભ્રમણની અક્ષ,ਰੋਟੇਸ਼ਨ ਦਾ ਧੁਰਾ
સ્પિનની ધરી,ਸਪਿਨ ਦਾ ਧੁਰਾ
બેક-અવેજી,ਵਾਪਸ-ਸਥਾਪਨਾ
પછાત તફાવત,ਪਿਛਲਾ ਫਰਕ
બેકવર્ડ-ઇન્ટરપોલેશન ફોર્મ્યુલા,ਬੈਕਵਰਡ-ਇੰਟਰਪੋਲੇਸ਼ਨ ਫਾਰਮੂਲਾ
સંતુલન,ਸੰਤੁਲਨ
સંતુલિત ડિઝાઇન,ਸੰਤੁਲਿਤ ਡਿਜ਼ਾਈਨ
સરવૈયા,ਸੰਤੁਲਨ ਸ਼ੀਟ
બેલિસ્ટિક મિસાઇલ,ਬੈਲਿਸਟਿਕ ਮਿਜ਼ਾਈਲ
બેલિસ્ટિક્સ,ਬੈਲਿਸਟਿਕਸ
બાર,ਪੱਟੀ
પાયો,ਅਧਾਰ
આધાર કોણ,ਅਧਾਰ ਕੋਣ
લઘુગણકનો આધાર,ਲਘੂਗਣਕ ਦਾ ਅਧਾਰ
પાયાની,ਬੁਨਿਆਦੀ
મૂળભૂત શક્ય ઉકેલ,ਬੁਨਿਆਦੀ ਸੰਭਵ ਹੱਲ
મૂળભૂત ઉકેલ,ਬੁਨਿਆਦੀ ਹੱਲ
મૂળભૂત ચલ,ਬੁਨਿਆਦੀ ਵੇਰੀਏਬਲ
આધાર,ਆਧਾਰ
આધાર તત્વ,ਆਧਾਰ ਤੱਤ
આધાર મેટ્રિક્સ,ਆਧਾਰ ਮੈਟਰਿਕਸ
વેક્ટર સ્પેસનો આધાર,ਇੱਕ ਵੈਕਟਰ ਸਪੇਸ ਦਾ ਅਧਾਰ
સબસ્પેસનો આધાર,ਸਬਸਪੇਸ ਦਾ ਆਧਾਰ
બેયસિયન અંદાજ,ਬੇਸੀਅਨ ਅੰਦਾਜ਼ਾ
બેયસનો કાયદો,ਬੇਸ ਦਾ ਕਾਨੂੰਨ
બેયસનું પ્રમેય,ਬੇਅਸ ਦਾ ਸਿਧਾਂਤ
બર્નૌલી વિતરણ,ਬਰਨੌਲੀ ਵੰਡ
બર્નોલી નંબર,ਬਰਨੌਲੀ ਨੰਬਰ
બર્નૌલી સંભાવના કાર્ય,ਬਰਨੌਲੀ ਪ੍ਰੋਬੇਬਿਲਟੀ ਫੰਕਸ਼ਨ
બર્નૌલીનું સમીકરણ,ਬਰਨੌਲੀ ਦਾ ਸਮੀਕਰਨ
બેરી કાર્ય,ਬੇਰੀ ਫੰਕਸ਼ਨ
શ્રેષ્ઠ ગોઠવણ,ਵਧੀਆ ਫਿੱਟ
શ્રેષ્ઠ - ફિટ લાઇન,ਵਧੀਆ - ਫਿੱਟ ਲਾਈਨ
શ્રેષ્ઠ ઉકેલ,ਵਧੀਆ ਹੱਲ
શ્રેષ્ઠ વ્યૂહરચના,ਵਧੀਆ ਰਣਨੀਤੀਆਂ
બીટા વિતરણ,ਬੀਟਾ ਵੰਡ
પૂર્વગ્રહ,ਪੱਖਪਾਤ
પક્ષપાતી અંદાજ,ਪੱਖਪਾਤੀ ਅਨੁਮਾਨ
બિહાર્મોનિક સમીકરણ,biharmonic ਸਮੀਕਰਨ
બાયજેક્શન,ਦੋਭਾਗ
દ્વિભાષી નકશો,ਦੋ-ਪੱਖੀ ਨਕਸ਼ਾ
બાયજેક્ટિવ મેપિંગ,ਦੋ-ਪੱਖੀ ਮੈਪਿੰਗ
દ્વિરેખીય સ્વરૂપ,ਦੋ-ਲੀਨੀਅਰ ਫਾਰਮ
દ્વિરેખીય કાર્ય,ਦੋ-ਲੀਨੀਅਰ ਫੰਕਸ਼ਨ
દ્વિરેખીય હર્મિટિયન સ્વરૂપ,ਦੋ-ਲੀਨੀਅਰ ਹਰਮੀਟੀਅਨ ਰੂਪ
દ્વિસંગી,ਬਾਈਨਰੀ
દ્વિસંગી કોડ,ਬਾਈਨਰੀ ਕੋਡ
દ્વિસંગી કોડેડ દશાંશ,ਬਾਈਨਰੀ ਕੋਡਿਡ ਦਸ਼ਮਲਵ
દ્વિસંગી કોડિંગ,ਬਾਈਨਰੀ ਕੋਡਿੰਗ
દ્વિસંગી કમ્પ્યુટર,ਬਾਈਨਰੀ ਕੰਪਿਊਟਰ
દ્વિસંગી અંક,ਬਾਈਨਰੀ ਅੰਕ
દ્વિસંગી કામગીરી,ਬਾਈਨਰੀ ਕਾਰਵਾਈ
દ્વિસંગી સિસ્ટમ,ਬਾਈਨਰੀ ਸਿਸਟਮ
દ્વિસંગી ચલ,ਬਾਈਨਰੀ ਵੇਰੀਏਬਲ
દ્વિપદી ગુણાંક,ਬਾਇਨੋਮੀਅਲ ਗੁਣਾਂਕ
દ્વિપદી વિતરણ,ਬਾਇਨੋਮੀਅਲ ਵੰਡ
દ્વિપદી સમીકરણ,ਬਾਇਨੋਮੀਅਲ ਸਮੀਕਰਨ
દ્વિપદી વિસ્તરણ,ਬਾਇਨੋਮੀਅਲ ਵਿਸਤਾਰ
દ્વિપદી અભિવ્યક્તિ,ਦੋਨੋਮੀ ਸਮੀਕਰਨ
દ્વિપદી રેન્ડમ ચલ,ਬਾਇਨੋਮੀਅਲ ਬੇਤਰਤੀਬ ਵੇਰੀਏਬਲ
દ્વિપદી પ્રમેય,ਬਾਇਨੋਮੀਅਲ ਥਿਊਰਮ
દ્વિભાગ,ਦੋਭਾਗ
દ્વિભાજન પદ્ધતિ,ਦੋਭਾਗ ਵਿਧੀ
દ્વિભાજક,ਬਾਈਸੈਕਟਰ
બાયસીરીયલ,biserial
બીટ,ਬਿੱਟ
દ્વિપક્ષીય દ્વિપદી વિતરણ,bivariate binomial distribution
બાયવેરિયેટ સહસંબંધ ગુણાંક,ਬਾਇਵਾਰੀਏਟ ਸਹਿ-ਸਬੰਧ ਗੁਣਾਂਕ
દ્વિવિધ વિતરણ,ਦੋ-ਪੱਖੀ ਵੰਡ
બાયવેરિયેટ સામાન્ય વિતરણ,ਬਾਇਵਰੀਏਟ ਸਧਾਰਣ ਵੰਡ
બાઇવેક્ટર,bivector
બોલ્ટ્ઝમેન સમીકરણ,ਬੋਲਟਜ਼ਮੈਨ ਸਮੀਕਰਨ
બુલિયન બીજગણિત,ਬੂਲੀਅਨ ਅਲਜਬਰਾ
બોઝ - આઈન્સ્ટાઈન આંકડા,ਬੋਸ - ਆਈਨਸਟਾਈਨ ਦੇ ਅੰਕੜੇ
સીમાની સ્થિતિ,ਸੀਮਾ ਸਥਿਤੀ
સીમા સ્તર,ਸੀਮਾ ਪਰਤ
સીમા રેખા,ਸੀਮਾ ਰੇਖਾ
સીમા મૂલ્ય,ਸੀਮਾ ਮੁੱਲ
સીમા મૂલ્યની સમસ્યા,ਸੀਮਾ ਮੁੱਲ ਸਮੱਸਿਆ
બંધાયેલ કાર્ય,ਸੀਮਾਬੱਧ ਫੰਕਸ਼ਨ
બાઉન્ડેડ મેટ્રિક્સ,ਸੀਮਾਬੱਧ ਮੈਟ੍ਰਿਕਸ
સીમિત પ્રદેશ,ਸੀਮਾਬੱਧ ਖੇਤਰ
બાઉન્ડેડ સેટ,ਸੀਮਾਬੱਧ ਸੈੱਟ
બ્રાઉનિયન ગતિ,ਬ੍ਰਾਊਨੀਅਨ ਮੋਸ਼ਨ
ગણત્રી,ਗਣਨਾ ਕਰੋ
ગણતરી,ਗਣਨਾ
ગણતરી મશીન,ਗਣਨਾ ਮਸ਼ੀਨ
ગણતરી,ਗਣਨਾ
ગણતરીની પ્રક્રિયા,ਗਣਨਾ ਵਿਧੀ
કેલ્ક્યુલેટર,ਕੈਲਕੁਲੇਟਰ
કલન,ਕੈਲਕੂਲਸ
વિવિધતાની ગણતરી,ਪਰਿਵਰਤਨ ਦਾ ਕੈਲਕੂਲਸ
કેલરી,ਕੈਲੋਰੀ
રદ કરવાનો કાયદો,ਰੱਦ ਕਰਨ ਦਾ ਕਾਨੂੰਨ
પ્રામાણિક સમીકરણ,ਕੈਨੋਨੀਕਲ ਸਮੀਕਰਨ
પ્રમાણભૂત સ્વરૂપ,ਕੈਨੋਨੀਕਲ ਰੂਪ
પ્રમાણભૂત મેટ્રિક્સ,ਕੈਨੋਨੀਕਲ ਮੈਟ੍ਰਿਕਸ
કેન્ટર સેટ,ਕੈਂਟਰ ਸੈੱਟ
કેન્ટોરનો તૃતીય સમૂહ,ਕੈਂਟਰ ਦਾ ਟਰਨਰੀ ਸੈੱਟ
ક્ષમતાયુક્ત પરિવહન સમસ્યા,ਸਮਰੱਥਾ ਵਾਲੀ ਆਵਾਜਾਈ ਦੀ ਸਮੱਸਿਆ
ક્ષમતા,ਸਮਰੱਥਾ
રુધિરકેશિકા બળ,ਕੇਸ਼ਿਕਾ ਬਲ
મુખ્ય નંબર,ਮੁੱਖ ਨੰਬਰ
કાર્ટેશિયન અક્ષો,ਕਾਰਟੇਸੀਅਨ ਧੁਰੇ
કાર્ટેશિયન કોઓર્ડિનેટ્સ,ਕਾਰਟੇਸੀਅਨ ਕੋਆਰਡੀਨੇਟਸ
કાર્ટેશિયન ઉત્પાદન,ਕਾਰਟੇਸੀਅਨ ਉਤਪਾਦ
સેટનું કાર્ટેશિયન ઉત્પાદન,ਸੈੱਟਾਂ ਦਾ ਕਾਰਟੇਸ਼ੀਅਨ ਉਤਪਾਦ
કેસ સ્ટડી,ਮਾਮਲੇ &#39;ਦਾ ਅਧਿਐਨ
આપત્તિજનક વધઘટ,ਘਾਤਕ ਉਤਰਾਅ-ਚੜ੍ਹਾਅ
કેટેનરી,ਕੈਟੇਨਰੀ
કોચી વિતરણ,ਕੌਚੀ ਵੰਡ
કોચી સૂત્ર,ਕੌਚੀ ਫਾਰਮੂਲਾ
કોચી ગૌરસત પ્રમેય,ਕੌਚੀ ਗੌਰਸਤ ਪ੍ਰਮੇਯ
Cauchy Riemann શરતો,ਕਾਚੀ ਰੀਮੈਨ ਦੀਆਂ ਸਥਿਤੀਆਂ
કોચી ક્રમ,ਕਾਚੀ ਕ੍ਰਮ
કોચી અભિન્ન,ਕੌਚੀ ਅਟੁੱਟ
કોચી મુખ્ય મૂલ્ય,ਕੌਚੀ ਪ੍ਰਮੁੱਖ ਮੁੱਲ
કોચી અવશેષ પ્રમેય,ਕਾਚੀ ਅਵਸ਼ੇਸ਼ ਪ੍ਰਮੇਯ
કેલી હેમિલ્ટન પ્રમેય,ਕੈਲੀ ਹੈਮਿਲਟਨ ਪ੍ਰਮੇਯ
અવકાશી પદાર્થ,ਆਕਾਸ਼ੀ ਸਰੀਰ
અવકાશી માપ,ਆਕਾਸ਼ੀ ਮਾਪ
