Marathi,Odiya
हवाई,ବାୟୁ
एरोमीटर,ଏରୋମିଟର |
एरोसोल,ଏରୋସୋଲ୍ |
एस्टिवेशन,ବାୟେ
एटिओलॉजी (एटिओलॉजी),ଆୟନୋଜି (ଇଟିଓଲୋଜି)
वनीकरण,ଆଗ ଶତ୍ରୁମାନଙ୍କର
आंदोलन,ଆଗ୍ରିଲେସନ୍
अ‍ॅगमार्क,Awarmark
कृषी,କୃଷି
कृषी क्लिनिक,କୃଷି କ୍ଲିନିକ୍ |
कृषी कामगार,କୃଷି ଶ୍ରମ
कृषी विपणन,କୃଷି ମାର୍କେଟିଂ |
कृषी तंत्रज्ञान,କୃଷି ପ୍ରଯୁକ୍ତିବିଦ୍ୟା |
शेती,କୃଷି
कृषी सांस्कृतिक,ଯୁକ୍ତିଯୁକ୍ତ
अ‍ॅग्रोबायोडिव्हर्सिटी,Agrobizioditicity |
अ‍ॅग्रोबायोलॉजिकल दोष,Agrobiofogic ତ୍ରୁଟିଗୁଡିକ |
कृषीशास्त्र,Agrobiogioly |
अ‍ॅग्रोक्लिमॅटिक विविधता,ଭୟଙ୍କର ବିବିଧତା |
अ‍ॅग्रोक्लिमॅटिक झोनिंग,ଭୟଙ୍କର ଜୋନିଂ |
अ‍ॅग्रोफोरेस्ट्री,Agroftry
कृषीशास्त्र,ସହଯୋଗୀ
अ‍ॅग्रोनॉमी,କିରେନୋନୋମ୍ବନ
अ‍ॅग्रोपास्टोरल,Agronastoal
अ‍ॅग्रोप्रोसेसिंग,ସହପ୍ରଗୋକ୍ତ
अ‍ॅग्रोस्टोलॉजी,ଦୁର୍ଗସ୍
अ‍ॅग्रोटाइप,Agrotype
एअर प्लांट,ବାୟୁ ପ୍ଲାଣ୍ଟ |
अकिओची माती,ଆକିଓଚି ମାଟି |
अल्बिनिझम,ଆଲବିନିମ୍
अल्फिसोल,Altfisolles
एकपेशीय वनस्पती,ଆଲିଜି |
अल्गल रोग,Alegal ରୋଗ
अल्कली पाणी,ଆଲକାଲି ପାଣି |
अल्कधर्मी,କ୍ଷାରିକ |
अ‍ॅलेल,ଆହେଲେ |
Lel लोकेमिकल्स,ଆଲଲେଇଚିକ୍
Lel लोमॉर्फ,ଆଲୋଲେମୋର୍ଫେଫେଫେଫ |
Lel लेलोपॅथी,ଆଲୋଲୋପାଥି |
गल्ली पीक,ଆଲି କ୍ରପ୍ କରିବା |
वाटप,Alloarcy
अ‍ॅलोगॅमी,ଆଲଗଲାମି |
अ‍ॅलोमेट्री,Allomitry
Ol लोपोलिपॉइड,ଆଲୋପୋଲିଆପ୍ଲଏଡ୍ |
Os लोसिनॅप्सिस (os लोसिंडेसिस),Allosynapp ଗୁଡିକ (ଆଲିଷ୍ଟିଣ୍ଡେସ୍)
वैकल्पिक बेअरिंग,ବିକଳ୍ପ ନୋଟିଂ |
वैकल्पिक जमीन वापर,ବିକଳ୍ପ ଭୂମି ବ୍ୟବହାର |
सभोवतालचे,ପରିବେଶ
Meliorant,ଅମୃତାରା
अमिटोसिस,ଅମିତୋସାଇସ୍ |
अमृत,ଅମୃତନ
अमोनिफिकेशन,ଆମୋନିଫିକେଟ୍
अमोनिफायर,ଆମୋନିଫାୟର୍
अमॉर्फ,ଅମୋରଫ
अ‍ॅम्फिमिक्सिस,ଆମ୍ଫିମିକ୍ସିସ୍ |
अ‍ॅम्फोटेरिक,ଆମ୍ଫୋଷ୍ଟିକ୍ |
अ‍ॅनाबोलिझम,ଆନାବୋଲିଜିମ୍ |
अनरोब,ଆନାରୋବେ |
Eneuploid,ଆନୁପ୍ଲଏଡ୍ |
कोन लागवड,କୋଣ ବୃକ୍ଷ
पशुसंवर्धन,ପଶୁ କୁମ୍ଭାରୀ
प्राणी नकार,ପଶୁ ମନା କରେ |
एनिमेट एनर्जी,ଆନିମେଟ୍ ଶକ୍ତିମାନ |
एनिसोप्लॉइड,Aningoploid
वार्षिक वनस्पती,ବାର୍ଷିକ ଉଦ୍ଭିଦ |
वार्षिक,ବାର୍ଷିକ
अँथेसिस,ଆନେସିଟି
अँथ्रॅक्स,ଆନ୍ଥ୍ରାକ୍ସ |
मानववंशिक घटक,ଆନ୍ଥ୍ରୋପେନିକ୍ କାରକ |
प्रतिजैविक,ଆଣ୍ଟିବାସିସ୍
प्रतिजैविक,ଆଣ୍ଟିବାୟୋଟିକ୍ |
प्रतिजैविक,ପ୍ରତିକାର
अँटीऑक्सिडेंट्स,ଆଣ୍ଟିଅକ୍ସିଡାଣ୍ଟ |
अँटीटॉक्सिन,ଆଣ୍ଟିଟୋକ୍ସିନ୍ |
अ‍ॅनुलस,ବ୍ରହ୍ମାଣ୍ଡ
Ph फिड,ଆପିଡ୍ |
एपिकल अंकुर,ଆପିକାଲ୍ ଗୁଣ୍ଡ |
एपिकल वर्चस्व,ଆପିକାଲ୍ ପ୍ରାଧାନ୍ୟ |
एपिकल्चर (मधमाशी पाळणे),ଆପିକାଲ୍ଟର୍ (ମହୁମାଛି ରଖିବା)
अपोमिक्सिस,ଆପୋମିକ୍ସସ୍ |
अ‍ॅपॉप्टोसिस,ଆପୋଟୋଏସ୍
परिशिष्ट,ଅନୁକ୍ରମଣିକା
भूक,ଭୋକକାରୀ
लागू,ପ୍ରୟୋଗ କରାଯାଏ |
जलीय तण,ଜଳୀୟ ତୃଣ
आर्बोरियल,ଅର୍ବ୍ରାଲ୍ |
आर्बोरायझेशन,ସ୍ଥାପନ |
आर्चीओ-बॉटॅनिकल रेकॉर्ड,ପ୍ରତ୍ନତାତ୍ତ-ବଟାନିକାଲ୍ ରେକର୍ଡଗୁଡିକ |
क्षेत्र आकडेवारी,କ୍ଷେତ୍ର ପରିସଂଖ୍ୟାନ
क्षेत्र,କ୍ଷେତ୍ର
शुष्क इकोसिस्टम,ARID ECOSYSem |
एरिल,ଅରିଲ୍
सुगंध,ସୁଗନ୍ଧ
सुगंधित वनस्पती,ସୁଗନ୍ଧିତ ଉଦ୍ଭିଦ |
सुगंधित तांदूळ,ସୁଗନ୍ଧିତ ଚାଉଳ |
बाण,ତୀର
Asepsis,ଆସେସିସ୍
Se सेप्टिक,ଅଭିଯୁକ୍ତ
अलौकिक प्रसार,ଶ୍ୱେକାର ପ୍ରଚାର
परख,ଆମ୍ପେ
मालमत्ता,ସମ୍ପତ୍ତି
आत्मसात,ଆସିମେଇର |
असोसिएशन,ସଙ୍ଗଠନ
तुरट,Astringent
एसिनॅप्सिस,ଆସନାପାସୀ |
अटाविझम,ସଂଲଗ୍ନବାଦ
अ‍ॅटोमायझर,ପରମାଣିଜର
अ‍ॅट्रोफी,ଆଟ୍ରୋଫି |
ऑटोगॅमी,ଅଟୋଗାମି |
ऑटोलिसिस,ଅଟଲିସିସ୍ |
ऑटोक्सिडेशन,AroutDation
ऑटोपॉलिपॉइड,ଅଟୋପୋଲାପ୍ଲୋଡ୍ |
ऑक्सिन,Auxins
ओएन (ब्रिस्टल),Awn (ବ୍ରଷ୍ଟଲ୍)
बदाम,ବାଦାମ |
कोरफड,ଆଲୋ
अमरॅन्थस,ଅମରାନ୍ତିନ |
अम्मी,ଆମି
अंजान गवत,ଅଜାନର ଘାସ |
अँथुरियम,ଆଠର୍ିୟମ୍ |
"अणला, भारतीय हंसबेरी","ଆଲୋଲା, ଭାରତୀୟ ଗୋଲାକାର |"
Apple पल,ଆପଲ୍
जर्दाळू,ଆପ୍ରିକେଟ୍ |
अरबियन चमेली,ଆର୍ବିଆନ୍ ଜସ୍ମିନ୍ |
अरेका नट,Areca but
अर्जुन,ଅର୍ଜନୁନ୍
असफोएटिडा,ଆସଫୋଏଡା
राख लबाडी,ପାଉଁଶ ଗୁଣ୍ଡ |
अशोका वृक्ष,ଅଶୋକା ଗଛ |
अश्थमा तण (युफोर्बिया),ଅଶମ୍ମା ତୃଣକ (ଇଫୋରିୟା)
शतावरी,ଅସରପା
एवोकॅडो,ଆଭୋକାଡୋ |
अल्फाल्फा (ल्युसर्न),ଆଲଫାଲଫା (ଲୁସେର୍ନ)
मुंग्या,ପିମ୍ପୁଡ଼ି
Ph फिडस्,ଆପିଡସ୍ |
आर्मी जंत,ସେନା ପୋକ
कृषी अर्थशास्त्रज्ञ,କୃଷି ଅର୍ଥନୀତିଜ୍ଞ
कृषी विस्तारवादी,କୃଷି ବିସ୍ତାରବାଦୀ |
कृषी वैज्ञानिक,କୃଷି ବ scientist ଜ୍ଞାନିକ |
कृषी अभियंता,କୃଷି ଅଞ୍ଜିନକାରୀ |
अ‍ॅग्रोबायोलॉजिस्ट,Agrobiooglist
कृषीशास्त्रज्ञ,ସହଯୋଗୀ
अ‍ॅग्रोफिसिकस्ट,Agropsicsicst
प्राणी ब्रीडर,ପଶୁ ପ୍ରଜନକ |
बॅसिलस विषाणू,ବାକିଲସ୍ ଭାଇରସ୍ |
बॅसिलस,ବାଣ୍ଡିଲସ୍ |
जिवाणू,ଜୀବାଣୁ
बॅक्टेरियोटॉक्सिन,ବିରାଇଓଟୋକ୍ସିନ୍ |
बागसे,ବାଗାସେସ୍ |
शिल्लक पत्रक,ତୂଳନା ପତ୍ର
संतुलित फर्टिलायझेशन,ସନ୍ତୁଳିତ ଫର୍ଟିଲାଇଜେସନ୍ |
बार आकृती,ବାର୍ ଚିତ୍ର |
साल,ଭୁକିବା |
बॅरोमीटर,ବାରୋମିଟର |
वांझ,ବନ୍ଧ୍ୟା
पाया,ଆଧାର
बेसिन,ବାସନ
बासिपेटल,ପରଫିପାଲ୍ |
बासेस्टर्नम,ଆଧାର ତୁଲମ୍ |
बे मॉन्सून,ବାଇ ମ so ସୁମୀ |
बेअरिंग प्लांट,ଉଦ୍ଭିଦ ବହନ
बेड,ଶଯ୍ୟା
बेडर,ଶଯ୍ୟା
बेडिंग,ଶଯ୍ୟା
बीट गुळ,ବିଟ୍ ଗୁଣ୍ଡ |
धनुष्य,ଘଣ୍ଟି
बेल्ट,ବେଲ୍ଟ
लाभ-खर्च विश्लेषण,ଲାଭ-ମୂଲ୍ୟ ବିଶ୍ଳେଷଣ |
पक्षपाती (सॅम्पलिंग),ପକ୍ଷପାତ (ନମୁନା)
द्विवार्षिक,ବିଏନୋନିଆଲ୍
द्विपक्षीय,Binomial
बायोएजेन्ट,ବାୟୋଲାଇଜେଣ୍ଟ |
बायोक्लीमेट,ବାୟୋସେଡିକ୍ |
बायोएनर्जी,ବାୟୋହୀ
बायोनोमिक्स,ବାୟୋନୋମିକ୍ସ |
बायोरिएक्टर,ବାୟୋରାକ୍ଟର
जीवशास्त्र,ବାୟୋସଫିର୍
बायोटिक,ବାୟୋଟିକ୍ |
बायोटाइप,ବାୟୋଟାଇପ୍ |
उभयलिंगी,ବିସେକ୍ସୁଆଲ୍
ब्लान्चिंग,ଖାଲି
ब्लास्ट,ବିସ୍ଫୋରଣ
मिश्रण,ମିଶ୍ରଣ
ब्लाइट,ଶୁକ୍ର
फोड,ଫୁଲା
निळा क्रांती,ବ୍ଲୁ ବିପ୍ଳବ
तळाशी उष्णता कक्ष,ତଳ ଉତ୍ତାପ ଚାମ୍ବର |
तळाशी उष्णता तंत्र,ତଳ ଉତ୍ତାପ ଟେକ୍ନିକ୍ |
कोंडा,ଶାଖା
शाखा,ଶାଖା
शाखा,ଶାଖା
प्रजनन,ପ୍ରଜାତି
प्रजनन,ପ୍ରଜନନ
ब्रिमिंग,ଉଜ୍ଜ୍ୱଳ
ब्रूड,Etod
नवोदित,ବଡିଙ୍ଗ
अर्थसंकल्प,ବଜେଟ୍
बफर,ବଫର୍
बल्ब,ବଲ୍ବ
बंट,ବଣ୍ଟନ
उप-उत्पादन,ଉତ୍ପାଦ ଦ୍ୱାରା
बाबुल बाभूळ,ବାବୁଲ ଆକାସିଆ |
बाळ कॉर्न,ଶିଶୁ ମକା |
बाईल,ବାଥ୍
बेली,ବିଲ୍
बाल्सम,ବାଲସାମ
बांबू,ବାଉଁଶ
केळी,କଦଳୀ
वडाचे झाड,ବାନିଆନ୍ ଗଛ |
बार्ली,ବାର୍ଲି
धान्याचे कोठार मिलेट,ବରଗାର୍ଡ ମିଲେଟ୍ |
तुळस,ବେସନ
बस्टर्ड सिडर,ବଷ୍ଟାର୍ଡ ​​ଏରସ
बस्टार्ड मायरोबालन,ବଷ୍ଟାର୍ଡ ​​ମିରୋବଲାନ୍ |
बौहिनिया,ବାହୁଏସିଆ
बे बेरी,ଦୁ very ଖଦ
बीन,ବିନ୍
बीट,ବିଲାତି
बेलॅडोना,ବେଲାଣ୍ଡୋନା
बेर,ହେ
Berseem,Berseim
सुपारी,Beelt
बिलीमबी,ବିଲିମ୍ବି
कारले,ତିକ୍ତ ଗୁଣ୍ଡ |
काळा हरभरा,କଳା ଗ୍ରାମ
ब्लॅक नाईटशेड,କଳା ନାଇଟ୍ଶେଡ୍ |
बोगेनविले,ବଗିନିଭିଆ |
बाटली ब्रश,ବୋତଲ ବ୍ରଶ |
दुधीभोपळा,ବୋତଲ ଗୋବଲଙ୍କ |
बॉक्स ट्री,ବାକ୍ସ ଗଛ
ब्रेड फळ,ରୁଟି ଫଳ
ब्राइडल क्रिपर,Bridal creper
वांगे,ବ୍ରିନଜାଲ୍ |
ब्रॉड बीन,ବ୍ରଡ୍ ବିନ୍ |
ब्रोकोली,ବ୍ରୋକୋଲି
ब्रुसेलचा अंकुर,ବ୍ରସେଲର ସ୍ପ୍ରୁଟ୍ |
बकव्हीट,ବାଲକ୍ୟୁଟ
बुटिया,ବଟି
बॅन्डिकूट,ବ୍ୟାଣ୍ଡିକୋଟ୍ |
अस्वल,ଭାଲୁ
बीटल,ପୋକ
ब्लिस्टर बीटल,ବ୍ଲିଷ୍ଟର ବିଟଲ୍ |
निळा बैल,ନୀଳ ଷଣ୍। |
बोल वर्म,ବୋଲ୍ ପୋକ
फुलपाखरू,ପ୍ରଜାପତି
बॅक्टेरियोलॉजिस्ट,ଜୀବାଣୁ ବିଶେଷଜ୍ଞ |
बायोकेमिस्ट,ବାୟୋକେମିଷ୍ଟ |
जीवशास्त्रज्ञ,ଜୀବବିଜ୍ଞାନୀ |
बायोटेक्नॉलॉजिस्ट,ବାୟୋଟଚନୋଲୋଜିଷ୍ଟ
वनस्पतिशास्त्रज्ञ,ଉଦ୍ଭିଦଦାତା
सी ओलावा वैशिष्ट्यपूर्ण वक्र,C ଆର୍ଦ୍ରତା ଚରିତ୍ରିକ ବକ୍ର |
केक,ପିଠା
कॅल्केरियस,ସହଭାଗୀ
कॅल्सीफिकेशन,କାଲସିଫିକେସନ୍ |
फॉस्फेटचे कॅल्किनेशन,ଫସଫେଟର କାଲକେଣ୍ଟ |
कॉलिटी,ଚତୁରତା
कॉलस,କୁଲସ୍
कॅलेक्स,କାଲିକ୍ସ
कॅलेक्स-एंड,କାଲିକ୍ସ-ଏଣ୍ଡ |
कॅम्बियम,କାମ୍ବିୟମ୍
कॅंकर,କାକର
कॅनिंग,କ୍ୟାନିଂ
छत,ଛାତ
भांडवल,ପୁଞ୍ଜି
केप्रीफिकेशन,କାଗଶ
कॅप्सूल,Capsule
कार्बोनेटेड,କାର୍ବନ୍ରେଟେଡ୍ |
कार्बनायझेशन,କାର୍ବୋନିଅନାଇଜେସନ୍ |
कार्पेल,କାର୍ପେଲ
कार्पस,କାର୍ପସ୍ |
कास्टिंग,କାଷ୍ଟିଂ
कॅटाबोलिझम,କାଟାବୋଲିଜିମ୍ |
कॅटॅलिसिस,କାଟାଲିସିସ୍ |
सुरवंट,କୀଟପତଙ୍ଗ
सी-डीएनए लायब्ररी,C- DNA ଲାଇବ୍ରେରୀ |
कमाल मर्यादा,ଛାତ
सेल,କକ୍ଷ
केंद्रीय नेता प्रणाली,କେନ୍ଦ୍ରୀୟ ନେତା ବ୍ୟବସ୍ଥା |
सेंट्रिक,ସେଣ୍ଟ୍ରିକ୍ |
सेंट्रीफ्यूगेशन,ଶତକଡ଼ା
सेंट्रीफ्यूज,ସେଣ୍ଟ୍ରିଫେଜ୍ |
सेंट्रीओल,ସେଣ୍ଟ୍ରିଓନ୍ |
सेंट्रोजेनिक,ସେଣ୍ଟ୍ରୋଜେନିକ୍ |
केंद्रीत,ସେଣ୍ଟ୍ରୋଜେନସ୍ |
Cercus,କୀପତି
अन्नधान्य,ଶସ୍ୟ
प्रमाणपत्र,ପ୍ରମାଣପତ୍ର
प्रमाणित बियाणे,ସାର୍ଟିଫାଏଡ୍ ବିହନ |
चाफ,ଚାଉଳ
चालझा,ଚେଲାଜା |
केमोट्रोपिझम,କେମୋଟ୍ରୋପିମ୍ |
चियास्मा,ଚିୟମା
शीतकरण तास,ଥଣ୍ଡା ଘଣ୍ଟା |
शीतकरण इजा,ଚିଲିଂ ଆଘାତ |
चिमेरा,ଚିମେରା |
क्लोरॅन्थी,ଚୋରାନେଣ୍ଟି |
क्लोरोफिल,କ୍ଲୋରୋଫିଲେଲ୍ |
क्लोरोसिस,ଚୋରୋରୋସାଇସ୍
क्लोरोलॉजी,ଚୋରୋରୋଲୋଜି |
क्रोमॅटिड,କ୍ରୋମାମାସିଡ୍ |
क्रोमॅटिन,ଚ୍ରୋମାଟିନ୍ |
क्रोमॅटोग्राफी,ଚ୍ରୋମାଟୋଗ୍ରାଫି
क्रोमॅटोलिसिस,ଚୋରମାଟୋଲିଆସିସ୍
क्रोमोसेन्ट्रे,କ୍ରୋମେଣ୍ଟ୍ରେ |
क्रोमोजेनेसिस,ଚେରମୋଲେନ୍ସେସ୍
क्रोमोप्रोटीन,କ୍ରୋମ୍ରୋପ୍ରୋଇଟେନ୍ |
क्रोमोसोम,କ୍ରୋମୋଜୋମ୍
जुनाट,କ୍ରନିକ୍
सिट्रेंज,କୃଷି
क्लेडोड,କ୍ଲାନ୍ତ
वर्गीकरण,ବର୍ଗୀକରଣ
क्ले,ମାଟି
स्वच्छता,ସଫା କରିବା
क्लीस्टोगॅमी,କ୍ଲିସିଷ୍ଟଗାମି |
क्लायमॅक्टेरिक फळ,ଜଳମୟ ଫଳ |
हवामान,ଜଳବାୟୁ
हवामानशास्त्र,କମ୍ପନୋଲୋଜି
क्लिपर,କ୍ଲିପର୍
क्लॉड,କ୍ଲାନ୍ତ
क्लोन,କ୍ଲୋନ
ढग,ମେଘ
गठ्ठा,Ump ୁଲା |
क्लस्टर,କ୍ଲଷ୍ଟର
खडबडीत,କଠିନ
कोट (बियाणे),କୋଟ୍ (ବିହନ)
कोकून,ନଡିଆ
कोएन्झाइम,ସହଯୋଗୀ
एकत्रीकरण,ଘନିଷ୍ଠ
कॉर,କୋର
कोलोरिझा,କୁଲେରରିଜା
कॉलर,କଲର
कोलोइड (माती),କୋଲଏଡ୍ (ମାଟି)
कोलंबेला,କୋନିଲେଲା
स्तंभ,ସ୍ତମ୍ଭ
Comensalism,ପ୍ରଶଂସା
व्यावसायिक बँक,ବାଣିଜ୍ୟିକ ବ୍ୟାଙ୍କ
वस्तू,ଦ୍ରବ୍ୟ
समुदाय,ସମ୍ପ୍ରଦାୟ
कॉम्पॅक्शन (मातीची),ସଙ୍କୋଚନ (ମାଟିର)
सुसंगतता,ସୁସଙ୍ଗତତା
सुसंगतता,ସୁସଙ୍ଗତତା
भरपाई,କ୍ଷତିପୂରଣ
स्पर्धात्मक संवाद,ପ୍ରତିଯୋଗିତାମୂଳକ ପାରସ୍ପରିକ କ୍ରିୟା |
पूरक पीक,ସମ୍ପୃକ୍ତ ଫସଲ
कॉम्प्लेक्स,ଜଟିଳ
घटक,ଉପାଦାନ
रचना,ରଚନା
कंपोस्ट,କମ୍ପୋଷ୍ଟ
चक्रवाढ व्याज,ଯ ound ଗିକ ଆଗ୍ରହ |
गणना,ଗଣନା
संगणक,କମ୍ପ୍ୟୁଟର
एकाग्रता,ଏକାଗ୍ରତା
कंडिशनर,କଣ୍ଡିସନର
आवाहन,ଆଚରଣ
कॉन्फिगरेशन,ବିନ୍ୟାସ
अनुरूपता,ଅନୁକୂଳ
गोंधळात टाकणारे,ଦ୍ୱନ୍ଦ୍ୱ
संयोजन,ମିଳିତତା
संयोजी,ସଂଯୋଗ
संवर्धन,ସଂରକ୍ଷଣ
एकत्रीकरण,ସଂସ୍ଥାଗୁଡ଼ିକ
घटक,ନିରନ୍ତର
ग्राहक,ଗ୍ରାହକ
वापर,ବ୍ୟବହାର
दूषित,ପ୍ରଦୂଷଣ
समोच्च लागवड,ବିଷୟବସ୍ତୁ ବୃକ୍ଷ
समोच्च,ବିଷୟବସ୍ତୁ
कॉन्ट्रॅक्ट शेती,ଚୁକ୍ତିନାମା ଚାଷ
नियंत्रित स्टोरेज,ନିୟନ୍ତ୍ରିତ ଷ୍ଟୋରେଜ୍ |
सहकारी बँक,ସହ-ଅପରେଟିଭ୍ ବ୍ୟାଙ୍କ |
सहकारी,ସହଯୋଗ
कॉपिस,ସହଯୋଗୀ
कॉर्म,କରମ୍
कोरोला,କରୋଲଲା
कॉर्टेक्स,କର୍ଟେକ୍ସ
किंमत,ମୂଲ୍ୟ
कॉटिलेडन (बियाणे),କୋଟିଲିଡନ୍ (ବିହନ)
क्रेडिट सोसायटी,କ୍ରେଡିଟ୍ ସମାଜ |
पत,କ୍ରେଡିଟ୍
लेखादार,କ୍ରେସର୍ମର
माथा,କ୍ରେଷ୍ଟଷ୍ଟ
Rickly,ଚୂର୍ଣ୍ଣ କରନ୍ତୁ |
संकट,ସଙ୍କଟ
निकष,ମାନଦଣ୍ଡ
गंभीर,ଗୁରୁତର
पीक विमा,କ୍ରପ୍ ବୀମା |
पीक कर्ज,ଫସଲ loan ଣ
पीक,ଫସଲ
पीक क्षेत्र,କ୍ରପ୍ ଏରିଆ |
क्रॉस-इनकॉम्पॅन्सिबल,କ୍ରସ୍-ଅସଙ୍ଗତ |
मुकुट (वनस्पती),ମୁକୁଟ (ଉଦ୍ଭିଦ)
क्रंब,ଖଣ୍ଡ
कवच,ଭୂତଳ
क्रिप्टोगॅम,କ୍ରିପ୍ଟୋଗାମ୍ |
कुल (फळे),CULE (ଫଳ)
कुल्म,କୁଲମ୍
लागवड,ଚାଷ ଜ
लागवड,ଚାଷ
लागवड करणारा,ପତ୍ରିକା
संस्कृती,ସଂସ୍କୃତି
उपचार,କ୍ୟୁସିଂ
कर्लिंग,କୁଞ୍ଚଳ
चलन,ମୁଦ୍ରା |
क्यूटिकल,କୁମଲେ
कटिंग,କାଟିବା
गळू,Cyst
साइटोक्रोम,ସାଇଟୋଚ୍ରୋମ୍ |
सायटोगामी,ସାଇଟୋଗାମି |
सायटोजेनेसिस,ସାଇଟୋଜେନେସୀ |
सायटोजेनेटिक्स,ସାଇଟୋଜେନେଟିକ୍ସ
सायटोकिनेसिस,ସାଇଟୋୋକାଇନ୍ସିସ୍
सायटोलॉजी,ସାଇଟୋଲୋଜି
सायटोलिसिस,CYTOYLISISISTS
सायटोमेरे,ସାଇଟୋମେରେ
साइटोप्लाझम,ସାଇଟୋପ୍ଲାଜମ୍
कोबी,ବନ୍ଧାକୋବି
कॅक्टस,କାକଟସ୍ |
कॅलेंडुला,କ୍ୟାଲେଣ୍ଡୋୁଲା |
कॅनरी गवत (फालारिस),କାନାରି ଘାସ (ଫାର୍ଲିସ୍)
कॅन्ना,କାନନା |
कॅपरिस,କ୍ୟାପିଟିସ୍
शिमला मिर्ची,Capsicum
कारंबोला,କାରାମୋବୋଲା |
कारपा,କାରାସା |
वेलची,କାର୍ଡାମୋମ |
कार्नेशन,କାର୍ନେସନ୍ |
गाजर,ଗାଜର
काजू,କାଜୁ ବାଦାମ |
कॅसिया,କ୍ୟାସିୟା
एरंडेल,କାଷ୍ଟର |
फुलकोबी,ଫୁଲକୋବି |
भाजी किंवा कोशिंबीर बनवण्यासाठी उपयुक्त अशी एक वनस्पती,ସେଲରି
शॅमक,ଚମ୍ପାକ୍
चेनोपोडियम,ଚେନୋପୋଡିୟମ୍
चेरी टोमॅटो,ଚେରି ଟମାଟୋ |
चेरी,ଚେରି
"चणा, हरभरा","ଛେନା, ଗ୍ରାମ |"
मिरची,ଚିଲିସ
चीन टर्पेन्टाईन ट्री,ଚୀନ୍ ଟର୍ପେଣ୍ଟାଇନ୍ ଗଛ |
चाऊ-चाऊ,ଚୋ-ଚାଉ
क्रिसॅन्थेमम,ChrysSanthemumum
"चुफा, पृथ्वी बदाम","ଚୁଫା, ପୃଥିବୀ ବାଦାମ |"
सिचरी,ସୋହୋରୀ
दालचिनी,ଚିନାବାଦାମ |
सिट्रॉन,ଆରଟନ୍ |
सिट्रोनेला गवत,ସାଇଟ୍ରନେଲିଲା ଘାସ |
चमेली चढणे,ଜସ୍ମିନ୍ ଚ cl େ |
लवंग,ଲବଙ୍ଗ
क्लस्टर बीन,କ୍ଲଷ୍ଟର ବିନ୍ |
कोको,କୋକୋ
नारळ,ନଡ଼ିଆ |
कॉफी,କଫି
कोलियस,କୋଲସ
कोलोकेशिया,କୋଲୋସିସିଆ
"कोलोसिंथ, कडू सफरचंद","ଉପନିବେଶ, ତିକ୍ତ ଆପଲ୍ |"
सामान्य पर्स्लेन,ସାଧାରଣ ପର୍ସଲେନ |
