Malayalam,Gujarati
പൂർണ്ണമായ ഇരുട്ട്,સંપૂર્ણ અંધકાર
സമ്പൂർണ്ണ ഷെഡ്യൂളിംഗ്,સંપૂર્ણ સમયપત્રક
കേവല സാന്ദ്രത*,સંપૂર્ણ ઘનતા*
സമ്പൂർണ്ണ ഡ്രെയിനേജ്,સંપૂર્ણ ડ્રેનેજ
സമ്പൂർണ്ണ ഇഎംയു (വൈദ്യുതകാന്തിക യൂണിറ്റ്),સંપૂર્ણ EMU (ઇલેક્ટ્રોમેગ્નેટિક એકમ)
സമ്പൂർണ്ണ ESU (സ്റ്റാറ്റിക് യൂണിറ്റ്),સંપૂર્ણ ESU (સ્થિર એકમ)
സമ്പൂർണ്ണ കാര്യക്ഷമത,સંપૂર્ણ કાર્યક્ષમતા
കേവല ഇലക്ട്രോമീറ്റർ,સંપૂર્ણ ઇલેક્ટ્રોમીટર
കേവല ആവൃത്തി കേവല ആവൃത്തി,સંપૂર્ણ આવર્તન સંપૂર્ણ આવર્તન
കേവല ഈർപ്പം,સંપૂર્ણ ભેજ
കേവല സംഭവങ്ങൾ,સંપૂર્ણ ઘટના
കേവല അപവർത്തന സൂചിക,સંપૂર્ણ રીફ્રેક્ટિવ ઇન્ડેક્સ
സമ്പൂർണ്ണ അസ്ഥിരത,સંપૂર્ણ અસ્થિરતા
സമ്പൂർണ്ണ അസ്ഥിരത,સંપૂર્ણ અસ્થિરતા
"കേവല തീവ്രത, കേവല തീവ്രത","સંપૂર્ણ તીવ્રતા, સંપૂર્ણ તીવ્રતા"
അസ്തീനിയയുടെ സമ്പൂർണ്ണ പരിധി,અસ્થેનિયાની સંપૂર્ણ મર્યાદા
കേവല പ്രകാശം സിൽ,સંપૂર્ણ રોશની
കേവല പ്രകാശ വക്രം,સંપૂર્ણ પ્રકાશ વળાંક
കേവലമായ അളവ്,સંપૂર્ણ તીવ્રતા
കേവല ബാരോമീറ്റർ,સંપૂર્ણ બેરોમીટર
പരമോന്നത പരമോന്നത,સર્વોચ્ચ સર્વોચ્ચ
സമ്പൂർണ്ണ പരിധി,સંપૂર્ણ મર્યાદા
ഏറ്റവും താഴ്ന്നത്,એકદમ નીચું
കേവല ആക്കം,સંપૂર્ણ વેગ
കേവല വേഗത,સંપૂર્ણ ઝડપ
കേവല സംഗീതം,સંપૂર્ણ સંગીત
സമ്പൂർണ നിരീക്ഷണം,સંપૂર્ણ અવલોકન
കേവല ഓം,સંપૂર્ણ ઓહ્મ
കേവല ഓറിയന്റേഷൻ,સંપૂર્ણ અભિગમ
കേവല ഇലക്ട്രോനെഗറ്റിവിറ്റി,સંપૂર્ણ ઇલેક્ટ્રોનેગેટિવિટી
കേവല ഗുരുത്വാകർഷണം,સંપૂર્ણ ગુરુત્વાકર્ષણ
കേവല മർദ്ദം,સંપૂર્ણ દબાણ
സമ്പൂർണ്ണ സ്വത്ത്,સંપૂર્ણ મિલકત
കേവല സ്കെയിലർ,સંપૂર્ણ સ્કેલર
താപനിലയുടെ കേവല സ്കെയിൽ*,તાપમાનનું સંપૂર્ણ માપ*
"കേവല സമന്വയം, സമ്പൂർണ്ണ സമന്വയം","સંપૂર્ણ સુમેળ, સંપૂર્ણ સુમેળ"
സമ്പൂർണ്ണ സമ്മർദ്ദം,સંપૂર્ણ તણાવ
കേവല സമമിതി,સંપૂર્ણ સમપ્રમાણતા
കേവല ചലന ശരീരം,સંપૂર્ણ ગતિ શરીર
കേവല യൂണിറ്റ് സിസ്റ്റം,સંપૂર્ણ એકમ સિસ્ટમ
കേവല താപനില,સંપૂર્ણ તાપમાન
കേവല സമയം,ચોક્કસ સમય
കേവല യൂണിറ്റുകൾ,સંપૂર્ણ એકમો
യഥാർത്ഥ മൂല്യം,સંપૂર્ણ મૂલ્ય
പൂർണ്ണസംഖ്യ കാൽക്കുലേറ്റർ,પૂર્ણાંક કેલ્ક્યુલેટર
കേവല വേഗത,સંપૂર્ણ વેગ
കേവല വിസ്കോസിറ്റി,સંપૂર્ણ સ્નિગ્ધતા
കേവല ഭാരം,સંપૂર્ણ વજન
കേവല പൂജ്യം*,સંપૂર્ણ શૂન્ય*
പൂജ്യത്തിന്റെ കേവല വിഭജനം,શૂન્યનો સંપૂર્ણ વિભાજક
ആഗിരണം ചെയ്യുക,શોષી લેવું
ആഗിരണ സൂചിക*,શોષણ સૂચકાંક*
ആഗിരണം ചെയ്ത ഊർജ്ജം,શોષિત ઊર્જા
"ആഗിരണം, ആഗിരണം","શોષક, શોષક"
ആഗിരണം ചെയ്യാവുന്ന മാധ്യമം*,શોષક માધ્યમ*
ആഗിരണം ശേഷി,શોષણ ક્ષમતા
ആഗിരണം,શોષણ
അബ്സോർപ്റ്റിയോമീറ്റർ*,શોષણમાપક*
അബ്സോർപ്റ്റിയോമെട്രി*,શોષણમેટ્રી*
ആഗിരണം,શોષણ
ആഗിരണം - ബാൻഡ്*,શોષણ - બેન્ડ*
ആഗിരണം സർക്യൂട്ട്,શોષણ સર્કિટ
ആഗിരണം ഗുണകം,શોષણ ગુણાંક
ആഗിരണം കോളം,શોષણ કૉલમ
ആഗിരണ സ്ഥിരത,સતત શોષણ
ആഗിരണ തുടർച്ച,શોષણ સાતત્ય
ആഗിരണം മേഖല,શોષણ ઝોન
ആഗിരണം കറന്റ്,શોષણ વર્તમાન
ആഗിരണം വക്രം*,શોષણ વક્ર*
ആഗിരണം ഒടിവ്,શોષણ અસ્થિભંગ
ആഗിരണം കോർ,શોષણ કોર
ആഗിരണം ഘടകം,શોષણ પરિબળ
ആഗിരണം ഫിൽട്ടർ,શોષણ ફિલ્ટર
അബ്സോർപ്ഷൻ ഫ്ലേം ഫോട്ടോമെട്രി*,શોષણ જ્યોત ફોટોમેટ્રી*
ആഗിരണം ഹൈഗ്രോമീറ്റർ,શોષણ હાઇગ્રોમીટર
ആഗിരണ ഘാതം,શોષણ ઘાતાંક
ആഗിരണം നാമമാത്രമാണ്,શોષણ સીમાંત
ആഗിരണം ലൈൻ,શોષણ રેખા
ആഗിരണം നഷ്ടം,શોષણ નુકશાન
ആഗിരണം മോഡുലേഷൻ,શોષણ મોડ્યુલેશન
പ്രകാശം ആഗിരണം,પ્રકાશ શોષણ
റേഡിയേഷൻ ഊർജ്ജത്തിന്റെ ആഗിരണം,રેડિયેશન ઊર્જાનું શોષણ
ആഗിരണം കൊടുമുടി,શોષણની ટોચ
ആഗിരണം ഫോട്ടോമെട്രി,શોષણ ફોટોમેટ્રી
ആഗിരണം അനുപാതം,શોષણ ગુણોત્તર
ആഗിരണം പരിധി*,શોષણ શ્રેણી*
ആഗിരണം സ്പെക്ട്രം ഫോട്ടോമെട്രി*,શોષણ સ્પેક્ટ્રમ ફોટોમેટ્રી*
ആഗിരണം സ്പെക്ട്രം*,શોષણ સ્પેક્ટ્રમ*
"ആഗിരണം ട്യൂബ്, ആഗിരണം ട്യൂബ്","શોષણ નળી, શોષણ નળી"
ആഗിരണം ഹൈഗ്രോമീറ്റർ,શોષણ હાઇગ્રોમીટર
ആഗിരണം ചെയ്യാവുന്ന*,શોષક*
ആഗിരണം ചെയ്യാവുന്ന ബാഷ്പീകരണം,શોષક બાષ્પીભવક
ആഗിരണം നിയമം*,શોષણ કાયદો*
ആഗിരണം മീഡിയം,શોષણ માધ્યમ
"ആഗിരണം ചെയ്യാനുള്ള ശേഷി, ആഗിരണം*","શોષક ક્ષમતા, શોષણ*"
ആഗിരണം*,શોષણ*
സ്റ്റുഡിയോ അലങ്കാരം,સ્ટુડિયો સરંજામ
ഗുണിത അനുപാതം,ગુણાકાર ગુણોત્તર
അബോൾട്ട്,અવગણના
കുറിച്ച്,વિશે
ത്വരിതപ്പെടുത്തുക,વેગ આપો
ആക്സിലറേഷൻ-സ്റ്റോപ്പ് ദൂരം,પ્રવેગક-સ્ટોપ અંતર
തിടുക്കപ്പെട്ടു,ઉતાવળ કરી
ദ്രുത സമയ ഫല പരിശോധന,ઝડપી સમય અસર પરીક્ષણ
പെട്ടെന്നുള്ള ഒഴുക്ക്,ઝડપી પ્રવાહ
പെട്ടെന്നുള്ള വേഗത,ઝડપી ગતિ
പെട്ടെന്നുള്ള ശരീരം,ઝડપી શરીર
ആക്സിലറേറ്റർ തൂക്കം,પ્રવેગક તોલનાર
ആക്സിലറേറ്റർ ഇലക്ട്രോഡ്*,પ્રવેગક ઇલેક્ટ્રોડ*
ആക്സിലറേറ്റർ സമയം*,પ્રવેગક સમય*
ആക്സിലറേറ്റർ ഘട്ടം,પ્રવેગક તબક્કો
ആക്സിലറേറ്റർ നിരക്ക്,પ્રવેગક દર
ആക്സിലറേറ്റർ വോൾട്ടേജ്*,એક્સિલરેટર વોલ્ટેજ*
ത്വരണം,પ્રવેગ
ത്വരിതപ്പെടുത്തിയ ജ്വലനം,ત્વરિત કમ્બશન
ആക്സിലറേഷൻ കോഫിഫിഷ്യന്റ്,પ્રવેગક ગુણાંક
ത്വരണം ഘടകം,પ્રવેગક ઘટક
ഗുരുത്വാകർഷണം മൂലം ത്വരണം,ગુરુત્વાકર્ષણને કારણે પ્રવેગક
ത്വരണം ഘടകം,પ્રવેગક પરિબળ
ത്വരിതപ്പെടുത്തിയ ചാർജ്,ઝડપી ચાર્જ
ഗുരുത്വാകർഷണ ത്വരണം,ગુરુત્વાકર્ષણ પ્રવેગક
ത്വരണം സാധ്യത,પ્રવેગક સંભવિત
ത്വരിതപ്പെടുത്തൽ നിയമം,પ્રવેગક કાયદો
ത്വരിതപ്പെടുത്തൽ പ്രക്രിയ,પ્રવેગક પ્રક્રિયા
ആക്സിലറേഷൻ സോൺ,પ્રવેગક ક્ષેત્ર
ത്വരിതപ്പെടുത്തൽ രീതി,પ્રવેગક પદ્ધતિ
"ആക്സിലറേഷൻ ടോളറൻസ്, ആക്സിലറേഷൻ ടോളറൻസ്","પ્રવેગ સહનશીલતા, પ્રવેગ સહનશીલતા"
ആക്സിലറേഷൻ വെക്റ്റർ,પ્રવેગક વેક્ટર
ത്വരണം-വോൾട്ടേജ്,પ્રવેગક-વોલ્ટેજ
ത്വരണം തരംഗം,પ્રવેગક તરંગ
ആക്സിലറേറ്റർ,પ્રવેગક
"ത്വരിതപ്പെടുത്തുക, ആക്സിലറേറ്റർ*","પ્રવેગક, પ્રવેગક*"
ആക്സിലറേറ്റർ സമവാക്യം,પ્રવેગક સમીકરણ
ആക്സിലറേറ്റർ*,એક્સિલરેટર*
ആക്സിലറോമീറ്റർ,એક્સેલરોમીટર
ആക്സിലറോമീറ്റർ പൊരുത്തപ്പെടുത്തൽ,એક્સેલરોમીટર મેચિંગ
പ്രിസ്ട്രെസർ,prestresser
സാധുവായ പ്രതീകങ്ങൾ,માન્ય અક્ષરો
സ്വീകാര്യത കോൺ,સ્વીકૃતિ કોણ
സ്വീകാര്യത സ്പെസിഫിക്കേഷൻ,સ્વીકૃતિ સ્પષ્ટીકરણ
സ്വീകാര്യമായ പരിശോധന,સ્વીકાર્ય પરીક્ષણ
"സ്വീകരിക്കുന്നവൻ*, സ്വീകരിക്കുന്നവൻ","સ્વીકારનાર*, સ્વીકારનાર"
റിസപ്റ്റർ ആറ്റം,રીસેપ્ટર અણુ
റിസപ്റ്റർ ബോണ്ട്,રીસેપ્ટર બોન્ડ
റിസീവർ സർക്യൂട്ട്,રીસીવર સર્કિટ
റിസപ്റ്റർ ലെവൽ,રીસેપ્ટર સ્તર
ദാതാവിന്റെ തന്മാത്ര,દાતા પરમાણુ
റിസപ്റ്റർ പ്രോപ്പർട്ടി,રીસેપ્ટર મિલકત
റിസപ്റ്റർ പ്രോപ്പർട്ടി ലെവൽ,રીસેપ્ટર મિલકત સ્તર
ആക്സിലറേറ്റർ ഹോസ്,પ્રવેગક નળી
"പ്രവേശനം, കാത്തിരിപ്പ്, പ്രവേശനം","પ્રવેશ, રાહ, પ્રવેશ"
ഭുജിലേക്ക് പ്രവേശിക്കുക,ભુજ એક્સેસ
ആക്സസ് സിസ്റ്റം,ઍક્સેસ સિસ્ટમ
പ്രവേശന സമയം,ઍક્સેસ સમય
പ്രവേശനക്ഷമത,ઉપલ્બધતા
"അധിക, ഓക്സിലറി, ആക്സസറി (v, ), ആക്സസറികൾ","વધારાના, સહાયક, સહાયક (v, ), એસેસરીઝ"
അധിക നിയന്ത്രണങ്ങൾ,વધારાના પ્રતિબંધો
യാദൃശ്ചികം,સંયોગ
ആകസ്മികമായ തിരുത്തൽ,આકસ્મિક કરેક્શન
ആകസ്മികമായ ബയോജനസിസ്,આકસ્મિક બાયોજેનેસિસ
ആകസ്മികമായ വഴിതിരിച്ചുവിടൽ,આકસ્મિક ડાયવર્ઝન
സന്ദർശക പിശക്,મુલાકાતી ભૂલ
"പെട്ടെന്ന് നിർത്തുക, പെട്ടെന്ന് നിർത്തുക","અચાનક સ્ટોપ, એકાએક સ્ટોપ"
ആകസ്മികമായ കൈമാറ്റം,આકસ્મિક ટ્રાન્સમિશન
ക്രമരഹിതമായ വ്യതിയാനം,રેન્ડમ ભિન્નતા
ക്രമീകരിക്കൽ,ગોઠવણ
സ്ഥാനം പിടിച്ചു,સ્થિત
സഞ്ചിത പിശക്,સંચિત ભૂલ
"ശേഖരണം, ശേഖരണം","સંચય, સંચય"
ഊർജ്ജ സംഭരണം,ઊર્જા સંગ્રહ
ശേഖരണം*,સંચયક*
കൃത്യത,ચોકસાઈ
റിയാലിറ്റി,વાસ્તવિકતા
യഥാർത്ഥ ഉപകരണ നിരീക്ഷണം,વાસ્તવિક સાધન અવલોકન
കൃത്യമായ റേഞ്ച് മാർക്കർ,ચોક્કસ શ્રેણી માર્કર
കൃത്യമായ സ്കാനിംഗ്,ચોકસાઇ સ્કેનીંગ
പ്രാക്ടീസ്,પ્રેક્ટિસ
ആക്സിലറേറ്റർ സെൽ*,એક્સિલરેટર સેલ*
അക്രോമാറ്റിക് ലെൻസ്*,વર્ણહીન લેન્સ*
അക്രോമാറ്റിക്*,વર્ણહીન*
അക്രോമാറ്റിക് അനലൈസർ,વર્ણહીન વિશ્લેષક
ഫ്രീക്വൻസി ന്യൂട്രൽ ആന്റിന,આવર્તન તટસ્થ એન્ટેના
അക്രോമാറ്റിക് ആകൃതി,વર્ણહીન આકાર
അക്രോമാറ്റിക് തൊങ്ങൽ,વર્ણહીન ફ્રિન્જ
അക്രോമാറ്റിക് ലെൻസ്*,વર્ણહીન લેન્સ*
അക്രോമാറ്റിക് പോയിന്റ് പാത,વર્ણહીન બિંદુ પાથ
അക്രോമാറ്റിക് ലെൻസ്,વર્ણહીન લેન્સ
അക്രോമാറ്റിക് പ്രിസം,વર્ણહીન પ્રિઝમ
അക്രോമാറ്റിക് ടെലിസ്കോപ്പ്,વર્ણહીન ટેલિસ્કોપ
അക്രോമാറ്റിറ്റി*,વર્ણહીનતા*
അക്രോമാറ്റിസേഷൻ*,વર્ણહીનકરણ*
അക്രോമാറ്റിറ്റി*,વર્ણહીનતા*
"ഇലാസ്റ്റിക്, അൺഫ്രാക്റ്ററി, റിഫ്രാക്ടറി","સ્થિતિસ્થાપક, અપ્રતિરોધક, પ્રત્યાવર્તન"
"അക്രോൺ ഹോസ്, ബഞ്ചു ഹോസ്","એકોર્ન નળી, બંજુ નળી"
മിനിയേച്ചർ വാൽവ്,લઘુચિત્ર વાલ્વ
എക്കോഫോണി,ઇકોફોની
അക്കോസ്റ്റിക്,એકોસ્ટિક
അക്കോസ്റ്റിക് ആഗിരണം,એકોસ્ટિક શોષકતા
അക്കോസ്റ്റിക് അറ്റൻവേഷൻ കോഫിഫിഷ്യന്റ്,એકોસ્ટિક એટેન્યુએશન ગુણાંક
അക്കോസ്റ്റിക് അറ്റൻവേഷൻ,એકોસ્ટિક એટેન્યુએશન
അക്കോസ്റ്റിക് കള്ളൻ അലാറം,એકોસ્ટિક ચોર એલાર્મ
അക്കോസ്റ്റിക് കപ്പാസിറ്റൻസ്,એકોસ્ટિક ક્ષમતા
ശ്രവണ കേന്ദ്രം,સુનાવણી કેન્દ્ર
അക്കോസ്റ്റിക് വിശദീകരണം,એકોસ્ટિક સમજૂતી
അക്കോസ്റ്റിക് കവർ,એકોસ્ટિક કવર
ശബ്ദ പ്രതികരണം,એકોસ્ટિક પ્રતિભાવ
അക്കോസ്റ്റിക് ഘടകം,એકોસ્ટિક ઘટક
ശബ്ദ ചാലകത,એકોસ્ટિક વાહકતા
അക്കോസ്റ്റിക് ഡാംപിംഗ്,એકોસ્ટિક ભીનાશ
അക്കോസ്റ്റിക് ഡിസ്പർഷൻ,એકોસ્ટિક વિક્ષેપ
സൗണ്ട് ഹാക്കർ,સાઉન્ડ હેકર
ശബ്ദ ഊർജ്ജം*,ધ્વનિ ઊર્જા*
അക്കോസ്റ്റിക് ഊർജ്ജ സമവാക്യം,એકોસ્ટિક ઊર્જા સમીકરણ
ശബ്ദ സമവാക്യം,એકોસ્ટિક સમીકરણ
അക്കോസ്റ്റിക് പുനഃസ്ഥാപിക്കൽ,એકોસ્ટિક પુનઃસ્થાપન
ക്ലാഡ്നി രൂപങ്ങൾ,ક્લેડની આકાર
അക്കോസ്റ്റിക് ഫിൽട്ടർ,એકોસ્ટિક ફિલ્ટર
ശബ്ദ ജനറേറ്റർ,અવાજ જનરેટર
അക്കോസ്റ്റിക് ഗ്രേറ്റിംഗ്,એકોસ્ટિક જાળી
ശബ്ദ തടസ്സം*,એકોસ્ટિક અવબાધ*
അക്കോസ്റ്റിക് ജഡത്വം,એકોસ્ટિક જડતા
ശബ്ദ തീവ്രത,એકોસ્ટિક તીવ્રતા
അക്കോസ്റ്റിക് ഇടപെടൽ മീറ്റർ,એકોસ્ટિક હસ્તક્ષેપ મીટર
അക്കോസ്റ്റിക് ഇടപെടൽ ഡിറ്റക്ടർ,એકોસ્ટિક હસ્તક્ષેપ ડિટેક્ટર
അക്കോസ്റ്റിക് ലെൻസ്,એકોસ્ટિક લેન્સ
ശബ്ദരേഖ,ધ્વનિ રેખા
അക്കോസ്റ്റിക് പിണ്ഡം,એકોસ્ટિક માસ
അക്കോസ്റ്റിക് മെറ്റീരിയൽ,એકોસ્ટિક સામગ્રી
അക്കോസ്റ്റിക് അർത്ഥം സ്വതന്ത്ര പാത,એકોસ્ટિક અર્થ મુક્ત માર્ગ
അക്കോസ്റ്റിക് മോഡ്,એકોસ્ટિક મોડ
അക്കോസ്റ്റിക് ശബ്ദം,એકોસ્ટિક અવાજ
അക്കോസ്റ്റിക് ഓം*,એકોસ્ટિક ઓહ્મ*
"അക്കോസ്റ്റിക് പാനൽ, അക്കോസ്റ്റിക് ബോർഡ്","એકોસ્ટિક પેનલ, એકોસ્ટિક બોર્ડ"
അക്കോസ്റ്റിക് ഘട്ടം സ്ഥിരം,એકોસ્ટિક તબક્કો સ્થિર
അക്കോസ്റ്റിക് റിസീവർ,એકોસ્ટિક રીસીવર
ശബ്ദ സമ്മർദ്ദം,એકોસ્ટિક દબાણ
ശബ്ദത്തിന്റെ സമമിതി നിയമം,ધ્વનિનો સપ્રમાણતાનો નિયમ
അക്കോസ്റ്റിക് ട്രാൻസ്മിഷൻ,એકોસ્ટિક ટ્રાન્સમિશન
ശബ്ദ ഗുണങ്ങൾ,એકોસ્ટિક ગુણધર્મો
അക്കോസ്റ്റിക് ക്വാഡ്രുപോള്,એકોસ્ટિક ક્વાડ્રુપોલ
അക്കോസ്റ്റിക് വികിരണം മൂലകം,એકોસ્ટિક રેડિયેશન તત્વ
അക്കോസ്റ്റിക് വികിരണം,એકોસ્ટિક રેડિયેશન
ശബ്ദപ്രതിരോധം,સાઉન્ડપ્રૂફ
അക്കോസ്റ്റിക് റേഡിയോമീറ്റർ,એકોસ્ટિક રેડિયોમીટર
ശബ്ദ പ്രതികരണം,એકોસ્ટિક પ્રતિભાવ
അക്കോസ്റ്റിക് റിസിപ്രോസിറ്റി സിദ്ധാന്തം,એકોસ્ટિક પારસ્પરિકતા પ્રમેય
അക്കോസ്റ്റിക് റിഡക്ഷൻ ഘടകം,એકોસ્ટિક ઘટાડો પરિબળ
അക്കോസ്റ്റിക് പ്രതിഫലന ഗുണകം,એકોસ્ટિક પરાવર્તન ગુણાંક
ശബ്ദ അപവർത്തനം,એકોસ્ટિક રીફ્રેક્શન
ശബ്ദ പ്രതിരോധം,એકોસ્ટિક પ્રતિકાર
ശബ്ദ പ്രതികരണം,એકોસ્ટિક પ્રતિભાવ
അക്കോസ്റ്റിക് ചിതറിക്കൽ,એકોસ્ટિક સ્કેટરિંગ
ശ്രവണ പോയിന്റ്,સુનાવણી બિંદુ
അക്കോസ്റ്റിക് കാഠിന്യം,એકોસ્ટિક કઠોરતા
ശബ്ദസംവിധാനം,એકોસ્ટિક સિસ્ટમ
അക്കോസ്റ്റിക് തെർമോമീറ്റർ,એકોસ્ટિક થર્મોમીટર
ശബ്ദ പ്രവേഗം,એકોસ્ટિક વેગ
ശബ്ദ തരംഗം,ધ્વનિ તરંગ
അക്കോസ്റ്റിക്,એકોસ્ટિક
ശബ്ദ ആഗിരണം ഗുണകം,ધ્વનિ શોષણ ગુણાંક
ശബ്ദ ആഗിരണം ഘടകം,ધ્વનિ શોષણ ઘટક
അക്കോസ്റ്റിക് സർക്യൂട്ട്,એકોસ્ટિક સર્કિટ
അക്കോസ്റ്റിക് പ്രതികരണം,એકોસ્ટિક પ્રતિભાવ
അക്കോസ്റ്റിക് കാലതാമസം ലൈൻ,એકોસ્ટિક વિલંબ રેખા
ശബ്ദ വികലത,એકોસ્ટિક વિકૃતિ
അക്കോസ്റ്റിക് ശബ്ദശാസ്ത്രം,એકોસ્ટિક એકોસ્ટિક્સ
അക്കോസ്റ്റിക് ഫിൽട്ടർ,એકોસ્ટિક ફિલ્ટર
ശബ്ദ തടസ്സം*,એકોસ્ટિક અવબાધ*
ഫോണോഗ്രാഫ്,ફોનોગ્રાફ
അക്കോസ്റ്റിക് ഓം*,એકોસ્ટિક ઓહ્મ*
അക്കോസ്റ്റിക് സ്ഥിരാങ്കം,એકોસ્ટિક સતત
അക്കോസ്റ്റിക് ഫോണോൺ,એકોસ્ટિક ફોનોન
അക്കോസ്റ്റിക് ട്രാൻസ്മിഷൻ സ്ഥിരാങ്കം,એકોસ્ટિક ટ્રાન્સમિશન સતત
ശബ്ദ പരിവർത്തന ഗുണകം,ધ્વનિ રૂપાંતર ગુણાંક
ശബ്ദ പ്രതിരോധം,એકોસ્ટિક પ્રતિકાર
അക്കോസ്റ്റിക് കാഠിന്യം,એકોસ્ટિક કઠોરતા
ശബ്ദ യൂണിറ്റ്,ધ્વનિ એકમ
ശബ്ദപ്രതിരോധം,સાઉન્ડપ્રૂફ
അക്കോസ്റ്റിക് സൈഡ് ലൈൻ,એકોસ્ટિક સાઇડ લાઇન
"ശബ്ദശാസ്ത്രം, ശബ്ദശാസ്ത്രം","ધ્વનિશાસ્ત્ર, ધ્વનિશાસ્ત્ર"
ശബ്ദ മീറ്റർ,સાઉન્ડ મીટર
ശബ്ദ സമ്മർദ്ദം,ધ્વનિ દબાણ
ഏറ്റെടുക്കൽ റഡാർ,સંપાદન રડાર
ഫോട്ടോസിന്തറ്റിക് റേഡിയേഷൻ,પ્રકાશસંશ્લેષણ રેડિયેશન
