English,Assamese
Anglican,এংলিকান
Anglican Communion,এংলিকান কমিউনিয়ন
Anglicanism,এংলিকানিজম
Anglo-phobe,এংলো-ফ’ব
Anglo-phobia,এংলো-ফ’বিয়া
Anglo-Saxon,এংলো-চেক্সন
Anglo-Saxonism,এংলো-চেক্সনবাদ
Annalist,এনালিষ্ট
Annals,এনালছ
Annexation,সংলগ্নকৰণ
Ante-bellum,এণ্টে-বেলাম
Ante date,এণ্টে তাৰিখ
Anti-clericalism,কেৰাণীবাদ বিৰোধী
Anti-clerical legislation,কেৰাণী বিৰোধী আইন
Antiquity,প্ৰাচীনতা
Anti-rent,ভাড়া বিৰোধী
Anti-rent,ভাড়া বিৰোধী
Anti Semitism,চেমিটিজম বিৰোধী
Anzac,এঞ্জেক
Apella,এপেলা
Aralu,আৰালু
Arch bishop,আৰ্ক বিচপ
Arch duchy,আৰ্ক ডাচি
Arch duke,আৰ্ক ড্যুক
Archief (=archival collection),আৰ্কাইফ (=আৰ্কাইভ সংগ্ৰহ)
Archiepiscopate,আৰ্কিপিস্কোপেট
Aristocracy,অভিজাত শ্ৰেণী
Aristocrat,অভিজাত
Aristocratic snobbery,অভিজাত স্নোবৰী
Aristotelian,এৰিষ্ট&#39;টেলিয়ান
Armada,আৰ্মাডা
Armada (=The Spanish Armada),আৰ্মাডা (=স্পেনিছ আৰ্মাডা)
Armorist (=armourist),আৰ্মৰিষ্ট (=armourist)
Armour (=armor),কৱচ (=কৱচ)
Armourist,আৰ্মৰিষ্ট
Aryan,আৰ্য্য
Aryan,আৰ্য্য
Askari,আস্কৰী
Assignat,Assignat
Assize,Assize
Assize,Assize
Assize,Assize
Assize of Arms Act,এছাইজ অৱ আৰ্মছ এক্ট
Assize of Darrein Presentment,ডেৰেইন প্ৰেজেণ্টমেণ্টৰ এছাইজ
Assize of Mort 'D' Ancestor,মৰ্ট &#39;ডি&#39; পূৰ্বপুৰুষৰ এছাইজ
Assize of Novel Disseisin,নভেল ডিচেইচিনৰ এছাইজ
Atrocity,অত্যাচাৰ
Attack,আক্ৰমণ
Aulic Council,অলিক কাউন্সিল
Axe of the Geddess (=the Geddess axe),গেডেছৰ কুঠাৰ (=গেডেছৰ কুঠাৰ)
Axis (=The Rome-Berlin-Tokyo Axis),অক্ষ (=ৰোম-বাৰ্লিন-টকিঅ&#39; অক্ষ)
Babylon,বেবিলন
Babylonian captivity (=Babylonish captivity),বেবিলনৰ বন্দীত্ব (=বেবিলনৰ বন্দীত্ব)
Bacchanal devotee,বচনাল ভক্ত
Bacchanalia,বাচনালিয়া
Bachelor,অবিবাহিত লোক
Baghdad Pact,বাগদাদ চুক্তি
Balkan League,বাল্কন লীগ
Balkan Pact,বাল্কন চুক্তি
Balkan Wars,বাল্কন যুদ্ধ
Baltic Pact,বাল্টিক চুক্তি
Bandit,ডাকাত
Bandung Conference,বাণ্ডুং সন্মিলন
Banishment,নিৰ্বাসন
Banner,বেনাৰ
Barbarian,বৰ্বৰ
Barbican,বাৰ্বিকান
Bardoli satyagraha,বৰদলৈ সত্যাগ্ৰহ
Barn Burners,বাৰ্ন বাৰ্নাৰ্ছ
Baron,বেৰন
Baronage,বেৰনেজ
Barones majores,বেৰনছ মেজৰ
Barones minores,বেৰনেছ নাবালক
Baroness,বেৰনেছ
Baronet,বেৰনেট
Baronetage,বেৰনেটেজ
Baronetage,বেৰনেটেজ
Baronetcy,বেৰনেটচি
Barony,বেৰনি
Barracoon,বেৰাকুন
Barracoon,বেৰাকুন
Barricade (=barricado),বেৰিকেড (=barricade)
Barricade (=barricado),বেৰিকেড (=barricade)
Barricade (=barricado),বেৰিকেড (=barricade)
Base camp,বেচ কেম্প
Basilica,বেচিলিকা
Basilica,বেচিলিকা
Bastila,বাষ্টিলা
Bastille,বেষ্টিল
Bastille,বেষ্টিল
Battery,বেটাৰি
Battle,যুদ্ধ
Batlle-array,বাটলে-এৰে
Battle cry,যুদ্ধৰ চিঞৰ
Battle din,যুদ্ধৰ ডিন
Battle field,যুদ্ধক্ষেত্ৰ
Battle hymn,যুদ্ধ গীত
Battle of the Spurs,স্পাৰ্ছৰ যুদ্ধ
Battle of the Standard,ষ্টেণ্ডাৰ্ডৰ যুদ্ধ
Battleship,যুদ্ধজাহাজ
Battleship-strength,যুদ্ধজাহাজ-শক্তি
Bayeux tapestry,Bayeux টেপেষ্ট্ৰি
Beacon,বিকন
Beacon tower,বিকন টাৱাৰ
Beaver,বিভাৰ
Beaver,বিভাৰ
Beggars of the sea,সাগৰৰ ভিক্ষাৰী
Bellicose,বেলিকোজ
Bellicose,বেলিকোজ
Bellicose,বেলিকোজ
Bellicosity,বেলিকোচিটি
Bellona,বেলোনা
Benefice,বেনিফিচ
Benefit of clergy,ধৰ্মগুৰুসকলৰ লাভ
Benelux,বেনেলাক্স
Berlin Decree,বাৰ্লিন ডিক্রী
Berserker,Berserker
Besant (=bezant),Besant (=বেজান্ট)
Bethel,বেথেল
Bibliolater,বিব্লিঅ&#39;লেটাৰ
Bibliolatry,গ্ৰন্থবিজ্ঞান
Big Bertha,বিগ বাৰ্থা
Bigot,কুসংস্কাৰ
Billeting,বিলেটিং
Bill of Attainder,বিল অৱ এটেইণ্ডাৰ
Bill of Rights,অধিকাৰৰ বিল
Biographer,জীৱনীকাৰ
Birth stories,জন্মৰ কাহিনী
Bivouac,বিভক
Bivouac,বিভক
Bivouac,বিভক
Bizonia,বিজোনিয়া
Black birding,ক&#39;লা চৰাই চোৱা
Black flag,ক&#39;লা পতাকা
Black Hole,ব্লেক হোল
Black Hole,ব্লেক হোল
Black leg (=scab),ক&#39;লা ভৰি (=scab)
Black Shirt,ক&#39;লা চাৰ্ট
Blazon,ব্লেজন
Blazon,ব্লেজন
Blazonry,ব্লেজনাৰী
Blazonry,ব্লেজনাৰী
Blitzkrieg,ব্লিটজক্ৰিগ
Bloodless Revolution (=Glorious Revolution),ৰক্তহীন বিপ্লৱ (=গৌৰৱময় বিপ্লৱ)
Bloodwite,ব্লাডৱাইট
Bloody Mary,ব্লাডি মেৰী
Blue,নীলা
Blue blood,নীলা তেজ
Blue book,নীলা কিতাপ
Blue ribbon,নীলা ফিতা
Blue ribbon,নীলা ফিতা
Blues (=Royal Horse Guards),ব্লুজ (=ৰয়েল হৰ্চ গাৰ্ড)
Blue Shirt,নীলা চাৰ্ট
Blue Water School,ব্লু ৱাটাৰ স্কুল
Board of Control,নিয়ন্ত্ৰণ ব’ৰ্ড
Body armour,শৰীৰৰ কৱচ
Boer,ব&#39;ৰ
Booty,লুটপাত
Borough,বৰো
Bouleuterion,Bouleuterion
Bourbon,বোৰ্বন
Boxer rebellion,বক্সাৰ বিদ্ৰোহ
Brace,ব্ৰেচ
Brassard,ব্ৰাছাৰ্ড
Brassard,ব্ৰাছাৰ্ড
Bread colonies,ব্ৰেড কলনী
Breast Plate,ব্ৰেষ্ট প্লেট
Breast work,স্তনৰ কাম
Bretwalda,ব্ৰেটৱাল্ডা
Brigand,ব্ৰিগাণ্ড
Brigandage,ব্ৰিগেণ্ডেজ
British Commonwealth of Nations,ব্ৰিটিছ কমনৱেলথ অৱ নেচনছ
Brown Shirts (=The Nazis),ব্ৰাউন চাৰ্ট (=নাজী)
Brussels Treaty (Pact) organisation (=Western Europeon union),ব্ৰাছেলছ সন্ধি (পেক্ট) সংগঠন (=পশ্চিম ইউৰোপীয় সংঘ)
Buff,বাফ
Buff,বাফ
Buff-coat,বাফ-কোট
Buffs,বাফছ
Bule (=council),বুলে (=পৰিষদ)
Burgage,বাৰ্গেজ
Burgess,বাৰ্জেছ
Byzantine,বাইজেন্টাইন
Byzantine church,বাইজেন্টাইন গীৰ্জা
Byzantine Empire,বাইজেন্টাইন সাম্ৰাজ্য
Byzantine Era,বাইজেন্টাইন যুগ
Byzantine historians,বাইজেন্টাইন ইতিহাসবিদ
Cabal,কেবাল
Caesarism,ছিজাৰীজম
Caliph,খলিফা
Calligrapher,কেলিগ্ৰাফাৰ
Calligraphist,কেলিগ্ৰাফিষ্ট
Calligraphy,কেলিগ্ৰাফী
Caltrop,কেলট্ৰপ
Camaraderie,সতীৰ্থতা
Camarilla,কেমাৰিলা
Camarilla,কেমাৰিলা
Camelaucum,কেমেলাকম
Camouflage,ছদ্মবেশ
Campaign,অভিযান
Camp follower,কেম্প অনুগামী
Campo santo,কেম্পো ছান্টো
Campus martius,কেম্পাছ মাৰ্চিয়াছ
Canephora,কেনেফোৰা
Cangue,কেংগু
Cannonade,কেননেড
Cannon fodder,কামানৰ ঘাঁহ
Canon,কেনন
Canon law,কেনন আইন
Canopus decree,কেন&#39;পাছৰ ডিক্রী
Canting arms,কেনটিং আৰ্মছ
Captive,বন্দী
Captor,বন্দী
Cardinal,কাৰ্ডিনেল
Carl,কাৰ্ল
Carolingian dynasty,কেৰ&#39;লিঞ্জিয়ান বংশ
Carthusian sect,কাৰ্থুছিয়ান পন্থা
Cartosa,কাৰ্টোছা
Castelian,কেষ্টেলিয়ান
Castelian,কেষ্টেলিয়ান
Caste system,জাতি ব্যৱস্থা
Castle,দুৰ্গ
Castle,দুৰ্গ
Castle town,কেছল টাউন
Castra,কাষ্ট্ৰা
Castra,কাষ্ট্ৰা
Cathedra,কেথেড্ৰা
Cathedral,কেথেড্ৰেল
Cato Street conspiracy,কেটো ষ্ট্ৰীটৰ ষড়যন্ত্ৰ
Caudillo,কৌডিলো
Cavalier,কেভেলিয়াৰ
Cavalier,কেভেলিয়াৰ
Cavalier Parliament,কেভেলিয়াৰ সংসদ
Cave of Adullam,আদুল্লামৰ গুহা
Cave painting,গুহা চিত্ৰকলা
Cave painting,গুহা চিত্ৰকলা
Centumvir,চেণ্টুমভিৰ
Centurion,চেঞ্চুৰিয়ান
Century,শতিকা
Chain armour (=chain mail),চেইন আৰ্মৰ (=চেইন মেইল)
Chantry,চান্ট্ৰী
Chantry,চান্ট্ৰী
Chap book,চ্যাপ কিতাপ
Chaplain,চেপলিন
Chapter,অধ্যায়
Chapter of accidents,দুৰ্ঘটনাৰ অধ্যায়
Charge,চাৰ্জ
Charge d'affaires,চাৰ্জ ডি এফেয়াৰ্ছ
Charge parting,চাৰ্জ পাৰ্টিং
Charger,চাৰ্জাৰ
Chariot,ৰথ
Charioteer,ৰথী
Charioteer,ৰথী
Charioteer,ৰথী
Charity kitchen,চেৰিটি কিচেন
Charter,চনদ
Chartist Movement (=Chartism),চাৰ্টিষ্ট আন্দোলন (=চাৰ্টিষ্ট)
Chartophylacium,চাৰ্ট’ফাইলেচিয়াম
Chateau,চেট&#39;
Check post,পোষ্ট চেক কৰক
Chemical Warfare,ৰাসায়নিক যুদ্ধ
Chester,চেষ্টাৰ
Chief,প্ৰধান
Chieftain,মুখীয়াল
Chieftain,মুখীয়াল
Chieftain,মুখীয়াল
Chiffon,চিফন
Chivalry,অশ্বাৰোহীতা
Chosen People,নিৰ্বাচিত লোকসকল
Chrismographion,ক্ৰীছমোগ্ৰাফী
Christendom,খ্ৰীষ্টান ধৰ্ম
Christian era,খ্ৰীষ্টান যুগ
Christian Socialism,খ্ৰীষ্টান সমাজবাদ
Chronicle,ক্ৰনিকল
Chronicler,ক্ৰনিকলাৰ
Chryse Chersonese,ক্ৰাইজ চেৰ্চোনিজ
Cimelium,চিমেলিয়াম
Cinquecento Style,Cinquecento শৈলী
Circumnavigation,প্ৰদক্ষিণ
Cistercian monk,চিষ্টাৰচিয়ান সন্ন্যাসী
Citadel,দুৰ্গ
Citation,উদ্ধৃতি
Citation,উদ্ধৃতি
Civil disobedience,নাগৰিক অবাধ্যতা
Civil war,গৃহযুদ্ধ
Civis Romanus,চিভিছ ৰোমানাছ
Classical age,ধ্ৰুপদী যুগ
Clepht (=klepht),ক্লেফ্ট (=klepht)
Clericalism,কেৰাণীবাদ
Cleruch,ক্লাৰুচ
Cluniac movement,ক্লুনিয়াক আন্দোলন
Coat armour,কোট কৱচ
Coat of arms,কোট অৱ আৰ্মছ
Coat of arms,কোট অৱ আৰ্মছ
Coat of arms,কোট অৱ আৰ্মছ
Coat of mail,কোট অৱ মেইল
Cohort,কোহৰ্ট
Comitia,কমিটিয়া
Comitia Centuriata,কমিটিয়া চেঞ্চুৰিয়াটা
Comitia Curiata,কমিটিয়া কুৰিয়াটা
Comitia Tributa,কমিটিয়া ট্ৰিবুটা
Commemorative arch,স্মৃতিচাৰণ তোৰণ
Commemorative coin,স্মৃতিচাৰণ মুদ্ৰা
Commemorative seal,স্মৃতিসৌধ
Common field,সাধাৰণ ক্ষেত্ৰ
Communard,কমিউনাৰ্ড
Concordat,কনকৰ্ডেট
Concordat,কনকৰ্ডেট
Condottiere,কণ্ডোটিয়েৰ
Confirmation Cartarum,নিশ্চিতকৰণ Cartarum
Conflict,বিবাদ
Congregation,মণ্ডলী
Conquering state,বিজয়ী ৰাষ্ট্ৰ
Conqueror,বিজয়ী
Conquistador,কনকিষ্টাডৰ
Consilium,কনচিলিয়াম
Consistory,কনচিষ্টৰী
Conspiracy,ষড়যন্ত্ৰ
Conspiracy,ষড়যন্ত্ৰ
Consulate,কনছুলেট
Consulation book,কনছুলেচন কিতাপ
Continental system,মহাদেশীয় ব্যৱস্থা
Convention Parliament,অধিৱেশন সংসদ
Copperheads (=peace democrats),কপাৰহেড (=শান্তি গণতন্ত্ৰ)
Copyhold,কপিহ&#39;ল্ড
Cordoning,ঘেৰাও কৰা
Corona,কৰ&#39;না
Coronation,ৰাজ অভিষেক
Coronation stone,ৰাজ অভিষেক শিল
Corpus,কৰ্পাছ
Corsair,কৰ্চেয়াৰ
Corsair,কৰ্চেয়াৰ
Corset (=corselet),কৰ্চেট (=কোৰ্চলেট)
Cortes,কৰ্টেছ
Cottar (=cottier),কোটাৰ (=cottier)
Cottar (=cottier),কোটাৰ (=cottier)
Count Palatinate,কাউন্ট পেলেটিনেট
Country house,দেশৰ ঘৰ
County,কাউন্টি
County borough,কাউন্টি বৰো
County courts,কাউন্টি আদালত
County palatine,কাউন্টি পেলেটিন
Court,আদালত
Court,আদালত
Court circular,আদালতৰ চক্ৰান্তমূলক
Court etiquette,আদালতৰ শিষ্টাচাৰ
Courtier,কৰ্টিয়াৰ
Court of cassation,কেচেচনৰ আদালত
Court of Directors (E. I. C.),সঞ্চালক আদালত (EIC)
Court of Proprietors,মালিকৰ আদালত
Court poet,আদালতৰ কবি
Covenanted Cameronians,চুক্তিবদ্ধ কেমেৰনিয়ানসকল
Crown,মুকুট
Crown,মুকুট
Crown,মুকুট
Crown land,মুকুটৰ ভূমি
Crown land,মুকুটৰ ভূমি
Crown Prince,ক্ৰাউন প্ৰিন্স
Crusade,ক্ৰুছেড
Crusader,ক্ৰুছেডাৰ
Cryptogram,ক্ৰিপ্টোগ্ৰাম
Cuirass,কুইৰাছ
Cuirassier,কুইৰাচিয়াৰ
Cult deity,কাল্ট দেৱতা
Curia,কুৰিয়া
Curia,কুৰিয়া
Czarism,জাৰবাদ
Dark continent,অন্ধকাৰ মহাদেশ
Day of judgement,বিচাৰৰ দিন
Day of judgement,বিচাৰৰ দিন
Dean,ডিন
Decade,দশক
Denarius,ডেনাৰিয়াছ
Deposed monarch,পদচ্যুত ৰজা
Despoil,লুটপাত কৰা
Despoilation,লুণ্ঠন
Dethrone,ডিথ্ৰন
Diadem,ডায়েডেম
Diadem,ডায়েডেম
Diadem,ডায়েডেম
Diasia,ডায়েচিয়া
Dicasterium,ডিকাষ্টেৰিয়াম
Diluvialist,ডিলুভিয়ালিষ্ট
Diocese,ডাইচ
Diocese,ডাইচ
Directoire (=Directry),ডাইৰেক্টৰ (=নিৰ্দেশনা)
Directoire (=Directry),ডাইৰেক্টৰ (=নিৰ্দেশনা)
Dirham,দিৰহাম
Disloyal,অবিশ্বাসী
Disloyal,অবিশ্বাসী
Doctrine of lapse,লেপছৰ মতবাদ
Document,নথিপত্ৰ
Documentary evidence,নথিপত্ৰৰ প্ৰমাণ
Domesday Book,ডমছডে বুক
Donation of Constantine,কনষ্টেণ্টাইনৰ দান
Doom,ডুম
Dowager queen,বিধৱা ৰাণী
Dragoon,ড্ৰেগুন
Dromedarian,ড্ৰ&#39;মেডাৰিয়ান
Dromedary,ড্ৰমেডাৰী
Dromond,ড্ৰমণ্ড
Dual,দ্বৈত
Dual alliance,দ্বৈত মিত্ৰতা
Dual entente,ডুৱেল এণ্টেণ্ট
Dual system (=dual government),দ্বৈত ব্যৱস্থা (=দ্বিতীয় চৰকাৰ)
Duke,ড্যুক
Duma,ডুমা
Dwarf incarnation,বামন অৱতাৰ
Dynasty,বংশ
Dynasty,বংশ
Eagle,ঈগল
Ealder man,এলডাৰ মানুহ
Earl,আৰ্ল
Earldom,আৰ্লডম
Early Guptas,আদিম গুপ্তাসকল
Early (historic) sites,প্ৰাথমিক (ঐতিহাসিক) স্থান
Early Vedic period,প্ৰাথমিক বৈদিক যুগ
Ecclesia,ইক্লেছিয়া
Edict of Restitution,পুনৰুদ্ধাৰৰ আদেশ
Eight fold path,আঠ ভাঁজ পথ
Elders,বয়োজ্যেষ্ঠসকল
Elder statesman (=genro),জ্যেষ্ঠ ৰাষ্ট্ৰনেতা (=genro)
Elephant goad,হাতী গোড
Eleven Years' Tyranny,এঘাৰ বছৰৰ অত্যাচাৰ
Elysae (=Elysee),এলিছাই (=এলিচি)
Enclosure Movement,ঘেৰাও আন্দোলন
Encyclical,এনচাইক্লিকেল
Encyclopaedist movement,বিশ্বকোষবাদী আন্দোলন
Entente,এন্টেন্টে
Entente cordiale,এন্টেন্টে কৰ্ডিয়েল
Enthrone,এনথ্ৰন
Entourage,এনট্যুৰেজ
Ephod,ইফোদ
Ephor,এফোৰ
Epic age,মহাকাব্যিক যুগ
Epic hero,মহাকাব্যিক নায়ক
Epigraph,এপিগ্ৰাফ
Episcopacy,এপিস্কোপেচি
Episcopate,এপিস্কোপেট
Episode,খণ্ড
Epoch,যুগ
Epoch-making event,যুগ সৃষ্টিকাৰী অনুষ্ঠান
Epoch-making man,যুগ সৃষ্টিকাৰী মানুহ
Eponym,ইপ&#39;নিম
Equerry,ইকুৱেৰী
Equerry,ইকুৱেৰী
Equestrian statue,অশ্বাৰোহীৰ মূৰ্তি
Era,যুগ
Ergastulum,এৰগাষ্টুলাম
Eucharist,ইউখাৰিষ্ট
Evangelicalism,ইভানজেলিজম
Evangelical movement,ইভানজেলিকেল আন্দোলন
Evangelist,ইভানজেলিষ্ট
Exarch,Exarch
Exilarch,এক্সাইলাৰ্ক
Falangist,ফেলেংগিষ্ট
Father land,পিতৃ ভূমি
Father land,পিতৃ ভূমি
Feriae,ফেৰিয়া
Fetish,ফেটিছ
Feudal holdings,সামন্তীয় হোল্ডিংছ
Feudalism (=feudal system),সামন্তবাদ (=সামন্তীয় ব্যৱস্থা)
Feudal system,সামন্তীয় ব্যৱস্থা
Feudatory,সামন্তীয়
Fidei defensor (=Defender of the Faith),ফিডেই ডিফেন্সৰ (=বিশ্বাসৰ ৰক্ষক)
Fief,ফিফ
Field system,ক্ষেত্ৰ ব্যৱস্থা
Fifteenth tax,পোন্ধৰতম কৰ
Figure head,চিত্ৰৰ মূৰ
Fin de siecle,ফিন ডি ছিকেল
Fire eater,জুই খোৱা
Five Mile Act,পাঁচ মাইল আইন
Flag,পতাকা
Flamen Dialis,ফ্লেমেন ডায়েলিছ
Flamen Martialis,ফ্লেমেন মাৰ্চিয়ালিছ
Flaming torch,জ্বলি থকা টৰ্চ
Flank,ফ্লেংক
Flanking movement,ফ্লেংকিং মুভমেণ্ট
Flourishing civilization,ফুলি উঠা সভ্যতা
Fluvialistic belief,নদীবাদী বিশ্বাস
Folk god,লোক দেৱতা
Folk goddess,লোক দেৱী
Folk memory,লোক স্মৃতি
Folk myth (=folklore),লোক মিথ (=folklore)
Foraging,খাদ্য বিচাৰি ফুৰা
Foray,আক্ৰমণ
Forebear,পূৰ্বপুৰুষ
Forefather,পূৰ্বপুৰুষ
Forerunner,আগশাৰীৰ
Forlorn hope,নিঃসংগ আশা
Formative stage,গঠনমূলক পৰ্যায়
Fort,দুৰ্গ
Fortification,দুৰ্গ নিৰ্মাণ
Fortified town,দুৰ্গম চহৰ
Fortress,দুৰ্গ
Fortuna,ফৰ্তুনা
Forum Romanum,ফ&#39;ৰাম ৰোমানম
Franciscan,ফ্ৰান্সিস্কান
Franklin,ফ্ৰেংকলিন
Fratricidal war,ভাতৃঘাতী যুদ্ধ
Free Church,ফ্ৰী চাৰ্চ
Freeholder,ফ্ৰীহোল্ডাৰ
Freelance soldier,ফ্ৰীলান্স সৈনিক
Freelance soldier,ফ্ৰীলান্স সৈনিক
Freeman,ফ্ৰীমেন
Freeman,ফ্ৰীমেন
Freepass,ফ্ৰীপাছ
French Revolution,ফৰাচী বিপ্লৱ
Friar,ফ্ৰাইয়াৰ
Friasian mercenaries,ফ্ৰিয়াছিয়ান ভাড়াতীয়া
Frontier'a man,সীমান্ত&#39;এ মানুহ
Galleon,গেলিয়ন
Gallican (=Gallicanist),গ্যালিকান (=গ্যালিকানিষ্ট)
Gallicanism,গ্যালিকানিজম
Garrison,গেৰিছন
Gaul,গল
Gauntlet,গাউণ্টলেট
Gauntlet,গাউণ্টলেট
Gazebo,গেজেবো
Gazebo,গেজেবো
Gazebo,গেজেবো
Genealogical history,বংশাৱলীৰ ইতিহাস
Genealogical record,বংশাৱলীৰ ৰেকৰ্ড
Genealogical table,বংশাৱলীৰ তালিকা
Genealogical tree,বংশাৱলীৰ গছ
Genealogy,বংশাৱলী
Genealogy,বংশাৱলী
Generation,প্ৰজন্ম
Genocide,গণহত্যা
Gentile,অনা-ইহুদী
Gentile,অনা-ইহুদী
Gentile,অনা-ইহুদী
Gentile,অনা-ইহুদী
Ghetto,গেট্টো
Ghetto,গেট্টো
Gibbet,গিবেট
Gild (=guild),গিল্ড (=গিল্ড)
Gladiater,গ্লেডিয়েটাৰ
Glorious Revolution,গৌৰৱময় বিপ্লৱ
Golden Horde,গোল্ডেন হৰ্ড
Grand Alliance,গ্ৰেণ্ড এলায়েন্স
Grandee,গ্ৰেণ্ডী
Grand Signor,গ্ৰেণ্ড চাইন&#39;ৰ
Grand Signor,গ্ৰেণ্ড চাইন&#39;ৰ
Great Civil War,মহান গৃহযুদ্ধ
Great Departure (of Buddha),মহান প্ৰস্থান (বুদ্ধৰ)
Greater India,বৃহত্তৰ ভাৰত
Great Hellas,গ্ৰেট হেলাছ
Great Horde,গ্ৰেট হৰ্ড
Great Renunciation (=great departure),মহান পৰিত্যাগ (=মহান প্ৰস্থান)
Great Seal,গ্ৰেট ছিল
Great Trak,গ্ৰেট ট্ৰেক
Great Vehicle,গ্ৰেট ভেহিকেল
Great Wall of China,চীনৰ গ্ৰেট ৱাল
Greave,গ্ৰেভ
Guard-chamber,গাৰ্ড-চেম্বাৰ
Guard-chamber,গাৰ্ড-চেম্বাৰ
Guard-chamber,গাৰ্ড-চেম্বাৰ
Guptas,গুপ্তাছ
Hagiography,হেজিঅ’গ্ৰাফী
Hagiography,হেজিঅ’গ্ৰাফী
Hagiology,হেজিঅ’লজি
Hagiology,হেজিঅ’লজি
Hall of private audience,ব্যক্তিগত দৰ্শকৰ হল
Hall of public audience,ৰাজহুৱা দৰ্শকৰ হল
Hatchment,হেচমেণ্ট
Heathen,হেথেন
Heathen,হেথেন
Heathenism,হেথেনিজম
Hegira (Hejera),হেগিৰা (হেজেৰা)
Hellenism,হেলেনিজম
Helot,হেলট
Heraldry,হেৰাল্ড্ৰি
Heritage,ঐতিহ্য
Hieroglyphic linear characters,হাইৰ’গ্লিফিক ৰৈখিক আখৰ
Hieroglyphic script,হাইৰ&#39;গ্লিফিক লিপি
High Church,হাই চাৰ্চ
High Lander,হাই লেণ্ডাৰ
Hinduism,হিন্দু ধৰ্ম
Historian,ইতিহাসবিদ
Historian,ইতিহাসবিদ
Historical materialism,ঐতিহাসিক বস্তুবাদ
Historic era,ঐতিহাসিক যুগ
Historic frontier,ঐতিহাসিক সীমান্ত
Historiographer,ইতিহাসবিদ
Historiographer,ইতিহাসবিদ
Historiography,ইতিহাস লেখা
Historiography,ইতিহাস লেখা
History,ইতিহাস
Hittite empire,হিট্টী সাম্ৰাজ্য
Holy Alliance,পবিত্ৰ মিত্ৰতা
Holy city,পবিত্ৰ নগৰ
Holy city,পবিত্ৰ নগৰ
Holy land,পবিত্ৰ ভূমি
Holy land,পবিত্ৰ ভূমি
Holy League,হলি লীগ
Holy League,হলি লীগ
Holy Roman Empire (=The Empire),পবিত্ৰ ৰোমান সাম্ৰাজ্য (=The Empire)
Holy Sea,পবিত্ৰ সাগৰ
Holy Sea,পবিত্ৰ সাগৰ
Holy war,পবিত্ৰ যুদ্ধ
Holy war,পবিত্ৰ যুদ্ধ
Home Government,গৃহ চৰকাৰ
