Malayalam,Assamese
അമ്പടയാള കീകൾ,কাঁড় চিহ্নসমূহ
ഉച്ചാരണം,আৰ্টিকুলেচন
ആർട്ടിക്കുലേഷൻ പോയിന്റ്,আৰ্টিকুলেচন পইণ্ট
കൃത്രിമ കോംപാക്ഷൻ,কৃত্ৰিম সংকোচন
കൃത്രിമ നിയന്ത്രണം,কৃত্ৰিম নিয়ন্ত্ৰণ
നിർമ്മിത ബുദ്ധി,কৃত্ৰিম বুদ্ধিমত্তা
ആരോഹണം,আৰোহী
ആരോഹണ തരം,আৰোহী সজাই পৰাই তোলা
ASCII ബെറ്റിക്കൽ ഓർഡർ,ASCII betical ক্ৰম
ASCII നിയന്ത്രണ പ്രതീകം,ASCII নিয়ন্ত্ৰণ আখৰ
ASCII ഫയൽ,ASCII নথিপত্ৰ
ASCII ഫോണ്ട്,ASCII ফন্ট
ASCII കൈമാറ്റം,ASCII স্থানান্তৰ
വീക്ഷണാനുപാതം,এস্পেক্ট ৰেচিঅ&#39;
എ.എസ്.പി.ഐ,এ এছ পি আই
ASR ടൈമർ,ASR টাইমাৰ
കൂട്ടിച്ചേർക്കുക,একত্ৰিত কৰা
അസംബ്ലർ,এছেম্বলাৰ
അസംബ്ലി,সভা
അസംബ്ലി ഭാഷ,সমাবেশ ভাষা
അവകാശവാദം,assertion
നിയമനം,আবণ্টন কৰা কাৰ্য
അസോസിയേഷൻ,সংস্থা
അനുബന്ധ വിലാസം,সহযোগী ঠিকনা
അനുബന്ധ മെമ്മറി,সহযোগী স্মৃতিশক্তি
ആസ്റ്ററിക്,এস্টেৰিক
അസമമായ,অসমতাপূৰ্ণ
അസമന്വിത,এচিনক্ৰ&#39;নাছ
അസിൻക്രണസ് ഡിജിറ്റൽ സബ്സ്ക്രൈബർ ലൈൻ (ADSL),ডিজিটেল গ্রাহক লাইন (ADSL)
അസിൻക്രണസ് ടൈം ഡിവിഷൻ മൾട്ടിപ്ലെക്സിംഗ് (ATDM),asynchronous সময় বিভাজন মাল্টিপ্লেক্সিং (ATDM)
അസമന്വിത കൈമാറ്റം,এচিনক্ৰ&#39;নাছ স্থানান্তৰ
അസിൻക്രണസ് ട്രാൻസ്ഫർ മോഡ് (എടിഎം),এচিনক্ৰ&#39;নাছ স্থানান্তৰ ধৰণ (ATM)
ആറ്റം,পৰমাণু
അറ്റാച്ചുചെയ്ത പ്രമാണം,সংলগ্ন নথিপত্ৰ
അറ്റാച്ചുചെയ്ത ഫയൽ,সংলগ্ন ফাইল
ബന്ധം,সংলগ্নক
ആട്രിബ്യൂട്ട്,বৈশিষ্ট্য
ഓഡിയോ,অডিঅ&#39;
ഓഡിറ്റ് പ്രോഗ്രാമിംഗ്,অডিট প্ৰগ্ৰেমিং
ഓഡിറ്റ് ട്രയൽ,অডিট ট্ৰেইল
വർദ്ധിപ്പിക്കൽ,বৃদ্ধি কৰা
പ്രാമാണീകരണ പ്രോട്ടോക്കോൾ,প্ৰমাণীকৰণ প্ৰটোকল
എഴുത്ത് സംവിധാനം,লেখক ব্যৱস্থা
അംഗീകാരം,অনুমোদন
യാന്ത്രിക സംഗ്രഹം,অটো বিমূৰ্ত
ഓട്ടോബൂട്ടിംഗ്,স্বয়ংক্ৰিয় বুট কৰা
ഓട്ടോകാഡ്,অটোকেড
ഓട്ടോലോഗ് ഓൺ,অটোলগ অন
ഓട്ടോമാറ്റ,automata
ഓട്ടോമാറ്റ സിദ്ധാന്തം,automata তত্ত্ব
ഓട്ടോമാറ്റിക് കമ്പ്യൂട്ടിംഗ്,স্বয়ংক্ৰিয় কম্পিউটিং
ഓട്ടോമാറ്റിക് ഡാറ്റ പ്രോസസ്സിംഗ്,স্বয়ংক্ৰিয় তথ্য প্ৰক্ৰিয়াকৰণ
യാന്ത്രിക പിശക് തിരുത്തൽ,স্বয়ংক্ৰিয় ভুল সংশোধন
യാന്ത്രിക പ്രവർത്തനം,স্বয়ংক্ৰিয় কাৰ্য্য
ഓട്ടോമാറ്റിക് ഇൻഡെക്സിംഗ്,স্বয়ংক্ৰিয় সূচীভুক্তকৰণ
ഓട്ടോമാറ്റിക് ലൈബ്രറി കോൾ,স্বয়ংক্ৰিয় লাইব্ৰেৰী কল
ഓട്ടോമാറ്റിക് പ്രോഗ്രാമിംഗ്,স্বয়ংক্ৰিয় প্ৰগ্ৰেমিং
യാന്ത്രിക വീണ്ടെടുക്കൽ പ്രോഗ്രാം,স্বয়ংক্ৰিয় পুনৰুদ্ধাৰ প্ৰগ্ৰেম
യാന്ത്രിക ദിനചര്യ,স্বয়ংক্ৰিয় ৰুটিন
ഓട്ടോമാറ്റിക് സിസ്റ്റം വീണ്ടെടുക്കൽ,স্বয়ংক্ৰিয় চিস্টেম পুনৰুদ্ধাৰ
ഓട്ടോമാറ്റിക് ടെല്ലർ മെഷീൻ (എടിഎം),স্বয়ংক্ৰিয় টেলাৰ মেচিন (ATM)
ഓട്ടോമേഷൻ,অটোমেচন
ഓട്ടോപ്ലേ,অটোপ্লে
സ്വയം സംരക്ഷിക്കുക,স্বয়ংক্ৰিয় সংৰক্ষণ কৰক
സഹായകമായ,সহায়ক
സഹായ മെമ്മറി,সহায়ক স্মৃতিশক্তি
സഹായ സംഭരണം,সহায়ক সংৰক্ষণ
ലഭ്യമായ പട്ടിക,উপলব্ধ তালিকা
ലഭ്യമായ സമയം,উপলব্ধ সময়
ശരാശരി,গড়
awk (ഭാഷ),awk (ভাষা)
പിൻഭാഗം,বেকএণ্ড
ബാക്കെൻഡ് പ്രോസസർ,বেকএণ্ড প্ৰচেছৰ
ബാക്ക്ഫേസ് നീക്കം,বেকফেচ আঁতৰোৱা
പശ്ചാത്തല പ്രോസസ്സിംഗ്,পটভূমি প্ৰক্ৰিয়াকৰণ
ബാക്കിംഗ് സ്റ്റോർ,বেকিং ষ্ট&#39;ৰ
ബാക്ക്പാച്ചിംഗ്,বেকপেচিং
ബാക്ക്സ്പേസ്,বেকস্পেচ
ബാക്ക്ട്രാക്കിംഗ്,পিছুৱাই যোৱা
ബാക്ക്-അപ്പ്,বেক-আপ
ബാക്കപ്പ് മെമ്മറി,বেক-আপ মেমৰি
പിന്നോട്ട് പിശക് വീണ്ടെടുക്കൽ,পিছলৈ ত্ৰুটি পুনৰুদ্ধাৰ
ബാലൻസ് ഷീറ്റ്,বেলেন্স শ্বীট
ബാൻഡ്,বেণ্ড
ബാൻഡ് വീതി,বেণ্ডৰ প্ৰস্থ
ബാങ്കറുടെ അൽഗോരിതം,বেংকাৰৰ এলগৰিদম
ബാർ കോഡ്,বাৰ ক&#39;ড
ബാർ കോഡ് സ്കാനർ,বাৰ ক&#39;ড স্ক্যানাৰ
ബാർ ഗ്രാഫ്,বাৰ গ্ৰাফ
അടിസ്ഥാന വിലാസം,ভিত্তি ঠিকনা
അടിസ്ഥാന ബാൻഡ്,বেচ বেণ্ড
അടിസ്ഥാന നമ്പർ,ভিত্তি সংখ্যা
അടിസ്ഥാന പട്ടിക,ভিত্তি টেবুল
അടിസ്ഥാനം,প্ৰাথমিক
അടിസ്ഥാന നിയന്ത്രണം,মূল নিয়ন্ত্ৰণ
അടിസ്ഥാന ഇൻപുട്ട്,মূল ইনপুট
അടിസ്ഥാന നിർദ്ദേശം,মূল নিৰ্দেশনা
അടിസ്ഥാന ഔട്ട്പുട്ട്,মূল আউটপুট
അടിസ്ഥാന ഘട്ടം,মূল পদক্ষেপ
ബാച്ച്,বেটছ
ബാച്ച് ഫയൽ,বেচ ফাইল
ബാച്ച് സ്ഥാനം,বেচৰ অৱস্থান
ബാച്ച് പ്രോസസ്സിംഗ്,বেচ প্ৰচেছিং
ബാച്ച് സിസ്റ്റം,বেচ ব্যৱস্থা
ബൗഡ്,baud
ബാഡ് നിരക്ക്,বড হাৰ
ബീം,আলোকৰশ্মি
ബെഞ്ച്മാർക്ക്,বেঞ্চমাৰ্ক
ദ്വിദിശ ആശയവിനിമയം,দ্বিমুখী যোগাযোগ
ദ്വിദിശ ലിങ്ക്,দ্বিমুখী সংযোগ
ബൈനറി കോഡ്,বাইনাৰী ক&#39;ড
ബൈനറി അക്കം,বাইনাৰী অংক
ബൈനറി ഇൻപുട്ട് ഔട്ട്പുട്ട് സിസ്റ്റം (BIOS),বাইনাৰী ইনপুট আউটপুট চিস্টেম (BIOS)
ബൈനറി നമ്പർ,বাইনাৰী সংখ্যা
ബൈനറി ഓപ്പറേറ്റർ,বাইনাৰী অপাৰেটৰ
ബൈനറി ബന്ധം,বাইনাৰী সম্পৰ্ক
ബൈനറി തിരയൽ,বাইনাৰী সন্ধান
ബൈനറി സെർച്ച് ട്രീ (BST),বাইনাৰী সন্ধান গছ (BST)
ബൈനറി കൈമാറ്റം,বাইনাৰী স্থানান্তৰ
ബൈനറി മരം,বাইনাৰী গছ
ബൈപോളാർ മെമ്മറി,বাইপোলাৰ মেম’ৰী
ജനന മരണ മാതൃക,জন্ম মৃত্যুৰ আৰ্হি
ജനന മരണ പ്രക്രിയ,জন্ম মৃত্যু প্ৰক্ৰিয়া
ബിറ്റ്,বিট
ചെറിയ തെറ്റ്,বিট দোষ
ബിറ്റ് മാപ്പ്,বিট মেপ
ബിറ്റ് മാപ്പ് പിക്സൽ (BMP),বিট মেপ পিক্সেল (BMP)
ബിറ്റ് മാട്രിക്സ്,বিট মেট্ৰিক্স
ബിറ്റ് പാറ്റേൺ,বিট পেটাৰ্ণ
ബിറ്റ് സ്ഥാനം,বিটৰ অৱস্থান
ബിറ്റ് നിരക്ക്,বিট হাৰ
ബ്ലാക്ക് ബോക്സ് പരിശോധന,ব্লেক বক্স পৰীক্ষা
മിന്നിമറയുന്നു,টিপটিপিয়াই
തടയുക,অৱৰুদ্ধ কৰা
കാഷെ തടയുക,ব্লক কেচ
ബ്ലോക്ക് ചെക്ക്,ব্লক চেক কৰক
ബ്ലോക്ക് കോപ്പി,ব্লক কপি
ബ്ലോക്ക് ഡയഗ്രം,ব্লক ডায়াগ্ৰাম
തടയൽ ശൃംഖല,নেটৱাৰ্ক ব্লক কৰা
ബോർഡ്,ব’ৰ্ড
ബുക്ക് മാർക്ക്,বুক মাৰ্ক
ബൂലിയൻ ബീജഗണിതം,বুলিয়ান বীজগণিত
ബൂളിയൻ ബന്ധം,বুলিয়ান সম্পৰ্ক
ബൂട്ട് പാർട്ടീഷൻ,বুট বিভাজন
ബൂട്ട് സ്ട്രാപ്പിംഗ്,বুট ষ্ট্ৰেপিং
ബൂട്ട് സ്ട്രാപ്പ് ലോഡർ,বুট-ষ্ট্ৰেপ লোডাৰ
പാലം,সেঁতু
ബ്രോഡ്‌ബാൻഡ് നെറ്റ്‌വർക്കിംഗ്,ব্ৰডবেণ্ড নেটৱৰ্কিং
പ്രക്ഷേപണം,সম্প্ৰচাৰ
പ്രക്ഷേപണം റേഡിയോ,সম্প্ৰচাৰ ৰেডিঅ&#39;
ബ്രൗസ് ചെയ്യുക,ব্ৰাউজ কৰক
ബ്രൗസർ,ব্ৰাউজাৰ
ബി-ട്രീ,বি-বৃক্ষ
ബബിൾ മെമ്മറി,বুদবুদ স্মৃতিশক্তি
ബബിൾ അടുക്കുക,বুদবুদ সজাই পৰাই তোলা
ബക്കറ്റ്,বাল্টি
ബഡ്ഡി സിസ്റ്റം,বন্ধু ব্যৱস্থা
ബജറ്റ് ഫലപ്രദമായ നിയന്ത്രണം,বাজেট ফলপ্ৰসূ নিয়ন্ত্ৰণ
ബഫർ,বাফাৰ
ബഗ്,পোক
ബസ്,বাছ
ബൈറ്റ്,বাইট
ബൈറ്റ് കോഡ്,বাইট ক&#39;ড
സി,গ
C++,C++
കാഷെ,cache
കാഷെ ബഫർ,কেশ্ব বাফাৰ
കാഷെ മെമ്മറി,কেশ্ব মেমৰি
കണക്കുകൂട്ടല്,গণনা কৰা
കാൽക്കുലേറ്റർ,কেলকুলেটৰ
കാൽക്കുലേറ്റർ ചിപ്പ്,কেলকুলেটৰ চিপ
വിളി,কল কৰা
പേര് വിളിക്കുക,নামেৰে ফোন কৰক
റഫറൻസ് വഴി വിളിക്കുക,ৰেফাৰেন্সৰ দ্বাৰা কল কৰক
മൂല്യമനുസരിച്ച് വിളിക്കുക,মূল্যৰ দ্বাৰা কল কৰক
വേരിയബിളുകൾ വഴി വിളിക്കുക,চলকৰ দ্বাৰা কল কৰক
കോൾ ഗേറ്റ്,গেট কল কৰক
റദ്ദാക്കുക,বাতিল কৰক
റദ്ദാക്കുക ബട്ടൺ,বাতিল বুটাম
കാനോനിക്കൽ,canonical
കാനോനിക്കൽ രൂപം,কেননিক ৰূপ
കഴിവ്,ক্ষমতা
കഴിവ് പട്ടിക,ক্ষমতা তালিকা
ശേഷി,ক্ষমতা
ക്യാപ്സ് ലോക്ക് കീ,caps লক চাবি
കാർഡ്,কাৰ্ড
കാർഡ് റീഡർ,কাৰ্ড ৰিডাৰ
കാർഡിനാലിറ്റി,কাৰ্ডিনালিটি
വാഹകൻ,বাহক
കാരിയർ ബാൻഡ്,বাহক বেণ্ড
കാരിയർ ലോഡ്,বাহক বোজা
കാരിയർ സിഗ്നൽ,বাহক সংকেত
കാരിയർ തരംഗം,বাহক তৰংগ
കൊണ്ടുപോകുക,কঢ়িওৱা
അക്കം കൊണ്ടുപോകുക,carry digit
പതാക വഹിക്കുക,পতাকা কঢ়িয়াই নিয়া
കാട്രിഡ്ജ് ഡിസ്ക്,কাৰ্টিজ ডিস্ক
കാസ്കേഡ്,cascade
കേസ്,ঘটনা
കാഥോഡ് റേ ട്യൂബ് (CRT),কেথড ৰে টিউব (CRT)
കാഥോഡ് റേ ട്യൂബ് (CRT),কেথ&#39;ড ৰে টিউব (CRT)
സിഡി റോം ഡിസ്ക് ഡ്രൈവ്,CD ROM ডিষ্ক ড্ৰাইভ
സെൽ,কোষ
സെൽ ആനിമേഷൻ,কোষ এনিমেচন
സെല്ലുലാർ ഫോൺ,চেলুলাৰ ফোন
കേന്ദ്ര മെമ്മറി,কেন্দ্ৰীয় স্মৃতিশক্তি
സെൻട്രൽ പ്രോസസ്സിംഗ് യൂണിറ്റ് (സിപിയു),কেন্দ্ৰীয় প্ৰক্ৰিয়াকৰণ একক (CPU)
കേന്ദ്രീകൃത സംവിധാനം,কেন্দ্ৰীভূত ব্যৱস্থা
സാക്ഷ്യപ്പെടുത്തിയ ടേപ്പ്,প্ৰমাণিত টেপ
ചങ്ങല,শিকলি
ചെയിൻ ഡാറ്റ,শৃংখল তথ্য
ചെയിൻ ലിങ്ക്,শৃংখল সংযোগ
ചങ്ങല,চেইনিং
ചാനൽ,চেনেল
ചാനൽ തിരക്കുള്ള ടോൺ,চেনেল ব্যস্ত সুৰ
ചാനൽ ശേഷി,চেনেলৰ ক্ষমতা
ചാനൽ കൺട്രോളർ,চেনেল নিয়ন্ত্ৰক
ചാനൽ പിശക്,চেনেলৰ ভুল
ചാനൽ പ്രോഗ്രാം,চেনেল প্ৰগ্ৰেম
ചാനൽ വിശ്വാസ്യത,চেনেলৰ নিৰ্ভৰযোগ্যতা
ചാനൽ സെറ്റ്,চেনেল ছেট
സ്വഭാവം,চৰিত্ৰ
പ്രതീക കോഡ്,আখৰৰ ক&#39;ড
പ്രതീക കീ,আখৰৰ চাবি
സ്വഭാവ വായനക്കാരൻ,চৰিত্ৰ পাঠক
പ്രതീക വലുപ്പം,আখৰৰ আকাৰ
ചാർട്ട്,তালিকা
ചേസിസ്,চেছিছ
ചെക്ക് ബിറ്റ്,বিট পৰীক্ষা কৰক
അക്കം പരിശോധിക്കുക,ডিজিট পৰীক্ষা কৰক
തുക ചെക്ക്,ৰাশি পৰীক্ষা কৰক
ചെക്ക് വാക്ക്,শব্দ পৰীক্ষা কৰক
ചിപ്പ്,চিপ
ചിപ്പ് സെറ്റ്,চিপ চেট
തിരഞ്ഞെടുക്കുക,বাছনি কৰক
വർണ്ണപരമായി,ৰঙীনভাৱে
സൈഫർ,চাইফাৰ
സർക്യൂട്ട്,বৰ্তনী
വൃത്താകൃതിയിലുള്ള പട്ടിക,বৃত্তাকাৰ তালিকা
സിറസ്,cirus
അവലംബം,উদ্ধৃতি
ക്ലാസ്,শ্ৰেণী
ക്ലാസ് വേരിയബിൾ,ক্লাছ ভেৰিয়েবল
വർഗ്ഗീകരണം,শ্ৰেণীবিভাজন
വ്യക്തമായ,পৰিষ্কাৰ
തെളിഞ്ഞ പ്രദേശം,স্পষ্ট এলেকা
വ്യക്തമായ ചാനൽ,ক্লিয়াৰ চেনেল
ക്ലിക്ക് ചെയ്യുക,ক্লিক কৰক
കക്ഷി,গ্ৰাহক
ക്ലയന്റ് സെർവർ,ক্লাএন্ট চাৰ্ভাৰ
ക്ലയന്റ് അപൂർണ്ണം,ক্লায়েন্ট ষ্টাব
ക്ലിപ്പ് ആർട്ട്,ক্লিপ আৰ্ট
ക്ലിപ്പ് ആർട്ട് ലൈബ്രറി,ক্লিপ আৰ্ট লাইব্ৰেৰী
ക്ലിപ്പ് ബോർഡ്,ক্লিপ বৰ্ড
ക്ലിപ്പർ,ক্লিপাৰ
ക്ലിപ്പർ ചിപ്പ്,ক্লিপাৰ চিপ
കൂട്ടം,ক্লিক
ക്ലോക്ക്,ঘড়ী
ക്ലോക്ക് സൈക്കിൾ,ঘড়ীৰ চক্ৰ
ക്ലോക്ക് ആവൃത്തി,ঘড়ীৰ কম্পাঙ্ক
ക്ലോക്ക് ഹാർഡ്‌വെയർ,ঘড়ী হাৰ্ডৱেৰ
ക്ലോക്ക് പൾസ്,ঘড়ীৰ স্পন্দন
ക്ലോക്ക് വേഗത,ঘড়ীৰ গতি
ക്ലോക്ക് സിൻക്രൊണൈസേഷൻ,ঘড়ী সমন্বয়
ക്ലോക്ക് ടിക്ക്,ঘড়ীৰ টিক
ക്ലോൺ,ক্ল&#39;ন
അടുത്ത്,বন্ধ
ക്ലോസ് സർക്യൂട്ട് ടിവി (സിസിടിവി),ক্ল&#39;জ চাৰ্কিট টিভি (CCTV)
അടച്ചുപൂട്ടൽ,বন্ধ কৰা
ക്ലൗഡ് കമ്പ്യൂട്ടിംഗ്,ক্লাউড কম্পিউটিং
