Bengali,Hindi
সংযোজন উপপাদ্য,"योग प्रमेय बेरीज सिद्‌धांत,"
সংযোজনকারী গ্রুপ,योज्य समूह
সংযোজন বিপরীত,योज्य व्युत्क्रम
সংযোজক সম্পত্তি,"योज्यता, योगशीलता"
সংযোজন,योज्यता
অন্তিক ম্যাট্রিক্স,आसन्नता आव्यूह
সংলগ্ন," संलग्न, निकटवर्ती , आसन्न"
সন্নিহিত কোণ,आसन्न कोण
সংলগ্ন শীর্ষবিন্দু,आसन्न शीर्ष
সংলগ্ন,सहबद्‌ध करना
সংলগ্ন,"संलग्न संलग्नीत,"
সংলগ্ন নির্ধারক,सहखंडज सारणिक
সন্নিহিত ডিফারেনশিয়াল সমীকরণ,संलग्न अवकल समीकरण
সংলগ্ন সমীকরণ,संलग्न समीकरण
সংলগ্ন ম্যাট্রিক্স,सहखंडज आव्यूह
ম্যাট্রিক্সের সংলগ্ন,आव्यूह सहखंडज
সামঞ্জস্যপূর্ণ ম্যাট্রিক্স,सहखंडज आव्यूह
গ্রহণযোগ্য সিদ্ধান্ত ফাংশন,ग्राह्य निर्णय फलन
গ্রহণযোগ্য অনুমান,ग्राह्य परिकल्पना
এরোডাইনামিক বল,वायुगतिक बल
বায়ুগতিবিদ্যা,वायु गतिकी
affine জ্যামিতি,सजातीय ज्यामिति
affine ম্যাপিং,सजातीय प्रतिचित्रण
affine রূপান্তর,सजातीय रूपांतरण
একত্রিত ভেরিয়েবল,समुच्चयी चर
বীজগণিত," बीजगणित, ऐलजेब्रा , बीजावली , बीजक्रिया"
বীজগণিতভাবে বন্ধ,"बीजतः संवृत, बीजतः"
বীজগণিত সমীকরণ,बीजीय समीकरण
বীজগাণিতিক এক্সপ্রেশন,बीजीय व्यंजक
বীজগাণিতিক ফর্ম,बीजीय समघात
বীজগণিতীয় ফাংশন,बीजीय फलन
বীজগণিত জ্যামিতি,बीजीय ज्यामिति
বীজগণিতের বহুত্ব,बीजीय बहुकता
বীজগণিত ব্যবস্থা,बीजीय निकाय
সমস্ত পূর্ণসংখ্যা সমস্যা,सर्व-पूर्णांक समस्या
বরাদ্দ সমস্যা,"नियतन समस्या वाटपप्रश्न,"
বর্ণানুক্রমিক স্বরলিপি,अक्षरात्मक संकेत पद्‌धति
বর্ণানুক্রমিক অক্ষর,अक्षरात्मक संप्रतीक
বিকল্প কোণ,एकांतर कोण
বিকল্প ফর্ম,"एकांतर समघात प्रत्यावर्ती रूप,"
বিকল্প গোষ্ঠী,एकांतर समूह
বিকল্প ম্যাট্রিক্স,एकांतर आव्यूह
বিকল্প সিরিজ,एकांतर श्रेणी
বিকল্প অনুমান,वैकल्पिक परिकल्पना
বিকল্প অপটিমা,वैकल्पिक इष्टमत
বিকল্প ফলাফল,वैकल्पिक परिणाम
এনালগ থেকে ডিজিটাল রূপান্তরকারী,अनुरूप-अंकीय परिवर्तक
অ্যানালগ কম্পিউটার,"अनुरूप कम्प्यूटर,"
বিশ্লেষণ,विश्लेषण
সহভক্তির বিশ্লেষণ,सहप्रसरण-विश्लेषण
গণনা তথ্য বিশ্লেষণ,गणन-आंकड़ों का विश्लेषण
বৈচিত্র্যের বিশ্লেষণ,प्रसरण-विश्लेषण
বিশ্লেষণাত্মক জ্যামিতি,विश्लेषिक ज्यामिति
বিশ্লেষণমূলক ফাংশন,विश्लेषिक फलन
কোণ,कोण
যোগাযোগের কোণ,स्पर्श-कोण
বিচ্যুতি কোণ,विक्षेप-कोण
বিষণ্নতা কোণ,अवनमन-कोण
বিচ্যুতি কোণ,विचलन-कोण
বিবর্তন কোণ,विवर्तन-कोण
উচ্চতা কোণ,उन्नयन-कोण
ঘটনার কোণ,आपतन-कोण
অভিক্ষেপ কোণ,प्रक्षेप-कोण
প্রতিফলন কোণ,परावर्तन-कोण
প্রতিসরণ কোণ,अपवर्तन-कोण
ঘূর্ণন কোণ,घूर्णन-कोण
মোট প্রতিফলনের কোণ,पूर्ण परावर्तन-कोण
কৌণিক ত্বরণ,कोणीय त्वरण
কৌণিক গতি,कोणीय गति
কৌণিক গতি,कोणीय चाल
কৌণিক বেগ,कोणीय वेग
অ্যানুলাস,वलयिका
উত্তর,उत्तर
বিরোধী – ডেরিভেটিভ,प्रति-अवकलज
অপ্রতিসম ফাংশন,प्रतिसममित फलन
প্রযোজ্য,"आच्छाद्य , अनु प्रयोज्य, लागू"
আবেদন,"अनुप्रयोग उपयोजन,"
প্রয়োগকৃত গতিশীল প্রোগ্রামিং,अनुप्रयुक्त गतिशील प्रोग्रामन
প্রয়োগ করা জ্যামিতি,अनुप्रयुक्त ज्यामिति
ফলিত গণিত,अनुप्रयुक्त गणित
ফলিত পরিসংখ্যান,अनुप्रयुक्त सांख्यिकी
আন্দাজ,"सन्निकटतः, लगभग"
প্রায় একটানা ফাংশন,सन्निकटतः संतत फलन
আনুমানিক পদ্ধতি,"स्थूल विधि, सन्निकट विधि"
আনুমানিক সমাধান,सन्निकट हल
আনুমানিক সমস্যা,सन्निकटन-समस्या
আনুমানিক সম্পত্তি,सन्निकटन-गुणधर्म
যোগ্যতা পরীক্ষার ব্যাটারি,अभिक्षमता-परीक्षावली
Argand ডায়াগ্রাম,आरगाँ आरेख
নির্বিচারে নির্বাচিত,स्वेच्छगहीतृ
ইচ্ছামত,"स्वेच्छ, यादृच्छिक"
নির্বিচারে ধ্রুবক,स्वेच्छ अचर
নির্বিচারে উপাদান,स्वेच्छ अवयव
নির্বিচারে পয়েন্ট,स्वेच्छ बिन्दु
আর্কিমিডিয়ান আইন,आर्किमीडी नियम
আর্কিমিডিসের নীতি,आर्किमीडीज़ का नियम
চাপ দৈর্ঘ্য,"चाप-दैर्घ्य, चाप-लम्बाई"
বৃত্তের চাপ,वत्तृ चाप
আর্ক সাইন ডিস্ট্রিবিউশন,प्रतिलोम ज्या बंटन
চাপ সাইন রূপান্তর,प्रतिलोम ज्या रूपांतरण
এলাকা," क्षेत्र , क्षेत्रफल"
আঞ্চলিক টেক্সচার,क्षेत्रीय विन्यास
জটিল সংখ্যার যুক্তি,सम्मिश्र संख्या का कोणांक
গাণিতিক গড়,समांतर माध्य
গাণিতিক অপারেশন,अंकीय संक्रिया
পাটিগণিত একক,अंकीय एकक
ব্যবস্থা,"विन्यास, व्यवस्था"
অ্যারে,"व्यूह , सरणी"
কৃত্রিম উপগ্রহ,कृत्रिम उपग्रह
কৃত্রিম পরিবর্তনশীল,कृत्रिम चर
আরোহণ,आरोहण करना
আরোহী,आरोही
মাত্রার আরোহী ক্রম,परिमाण का आरोही क्रम
আরোহী সিরিজ,आरोही श्रेणी
সংযোজনকারী ভাষা,कोडांतरक भाषा
নিয়োগ সমস্যা,"नियतन समस्या नियतन प्रश्न,"
সহযোগী আইন,साहचर्य नियम
অপারেটরদের সহযোগী আইন,संकारकों का साहचर्य नियम
সহযোগী অপারেশন,साहचर्य-संक्रिया
সহযোগীতা,सहचारिता
ধরে নেওয়া গড়,कल्पित माध्य
অনুমান সম্ভাব্যতা বন্টন,कल्पित प्रायिकता बंटन
ধৃষ্টতা," कल्पना , गृहीत,"
জ্যোতিষশাস্ত্র,ज्योतिष
মহাকাশচারী প্রকৌশলী,"अंतरिक्षयानिक इंजीनियर अंतराळी अभियंता,"
জ্যোতির্বিজ্ঞানী,खगोलज्ञ*
জ্যোতির্বিদ্যা ঘড়ি,खगोलीय घड़ी
জ্যোতির্বিদ্যা,खगोलिकी
অপ্রতিসম বক্ররেখা,असममित वक्र
অসমতা,असममिति
উপসর্গ,अनंतस्पर्शी
অ্যাসিম্পোটিক,उपगामी
লক্ষণগতভাবে দক্ষ অনুমানকারী,उपगामी दक्ष आकलक
asymptotically নিরপেক্ষ অনুমানকারী,उपगामी अनभिनत आकलक
অ্যাসিম্পোটিক আচরণ,उपगामी आचरण
অ্যাসিম্পোটিক ডিস্ট্রিবিউশন ফাংশন,उपगामी बंटन-फलन
অ্যাসিম্পোটিক সম্প্রসারণ,उपगामी प्रसार
বায়ুমণ্ডলীয় চাপ,वायु मंडलीय दाब
এলোমেলোভাবে,"यदृच्छया,"
বৈশিষ্ট্য,गुण*
বৈশিষ্ট্য নমুনা পদ্ধতি,गुण-प्रतिचयन-क्रियाविधि
অগমেন্টেড ম্যাট্রিক্স,संवर्धित आव्यूह
স্বয়ংক্রিয় সম্পর্ক সহগ,स्वसहसंबंध गुणांक
স্বয়ংক্রিয় সম্পর্ক ফাংশন,स्वसहसंबंध फलन
স্বয়ংক্রিয়তা,स्वसहप्रसरण
স্বয়ংক্রিয় কম্পিউটার,स्वचालित अभिकलित्र
অটোরিগ্রেশন,स्वसमाश्रयण
সহায়ক সমীকরণ,सहायक समीकरण
গড় নমুনা সংখ্যা বক্ররেখা (ASN কার্ভ),माध्य प्रतिदर्श संख्या वक्र (मा.प्र.सं. वक्र)
স্বতঃসিদ্ধ," स्वयंसिद्‌ध , अभिगृहीत"
স্বতঃসিদ্ধ পদ্ধতি,अभिगहीती दृष्टिकोण
সম্ভাব্যতার স্বতঃসিদ্ধ,प्रायिकता अभिगृहीत
অক্ষ,अक्ष
আবসিসার অক্ষ,भुजाक्ष
পৃথিবীর অক্ষ,भू-अक्ष
বিপ্লবের অক্ষ,परिक्रमण-अक्ष
ঘূর্ণনের অক্ষ,घूर्णन अक्ष
ঘূর্ণনের অক্ষ,प्रचक्रण-अक्ष
ফিরে প্রতিস্থাপন,पश्च-प्रतिस्थापन
পশ্চাদপদ পার্থক্য,पश्चांतर
পশ্চাদগামী-ইন্টারপোলেশন সূত্র,पश्च अंतर्वेशन-सूत्र
ভারসাম্য,"तुला, तराजू , संतु लन , शेष, बाकी , संतुलित होना, संतुलित करना"
সুষম নকশা,संतुलित अभिकल्पना
ব্যালেন্স শীট,तुलन-पत्र
ক্ষেপণাস্ত্র,प्रक्षेपास्त्र
ব্যালিস্টিক,"प्राक्षेपिकी, अस्त्र विज्ञान"
বার," स्तंभ, शलाका, सिल, सिल्ली, दंड, छड़, पट्टी , रोधिका, भित्ति , बार , रेखा, रेखिका , परीक्षण रेखा, धार"
ভিত্তি,"आधार , क्षारक , अधम , मूल , बेस"
ভিত্তি কোণ,आधार कोण
লগারিদমের ভিত্তি,"लघुगणक का आधार, लॉगरिथ्म का आधार"
মৌলিক,"आधारी, मूल,"
মৌলিক সম্ভাব্য সমাধান,आधारी सुसंगत हल
মৌলিক সমাধান,आधारी हल
মৌলিক পরিবর্তনশীল,आधारी चर
ভিত্তি,आधारक
ভিত্তি উপাদান,आधार अवयव
ভিত্তি ম্যাট্রিক্স,आधारी आव्यूह
একটি ভেক্টর স্থান ভিত্তি,सदिश समष्टि का आधार
সাবস্পেস ভিত্তি,उपसमष्टि का आधार
Bayesian অনুমান,बेज़-आकल
বেইস আইন,बेज़-नियम
বেইসের উপপাদ্য,बेज़-प्रमेय
বার্নোলি বিতরণ,बर्नूली-बंटन
বার্নোলি নম্বর,बर्नूली संख्या
Bernoulli সম্ভাব্যতা ফাংশন,बर्नूली प्रायिकता-फलन
বার্নউলির সমীকরণ,बर्नूली-समीकरण
বেরি ফাংশন,बेरी फलन
শ্রেষ্ঠ মিল,श्रेष्ठतम आसंजन
সেরা - ফিট লাইন,श्रेष्ठतम आसंजन रेखा
সেরা সমাধান,सर्वोत्तम हल
সেরা কৌশল,सर्वोत्तम युक्तियाँ
বিটা বিতরণ,बीटा बंटन
পক্ষপাত,"अभिनति, बायस"
পক্ষপাতমূলক অনুমান,अभिनत आकल
বিহারমোনিক সমীকরণ,द्विप्रसंवादी समीकरण
দ্বিখণ্ডন,एकैकी आच्छादन
দ্বিমুখী মানচিত্র,एकैकी आच्छादी प्रतिचित्र
দ্বিমুখী ম্যাপিং,एकैकी आच्छादी प्रतिचित्रण
বাইলিনিয়ার ফর্ম,द्विएकघाती समघात
বাইলিনিয়ার ফাংশন,द्विरैखिक फलन
বাইলিনিয়ার হারমিটিয়ান ফর্ম,द्विरैखिक हर्मिटीय समघात
বাইনারি,"द्वि-चर, द्वि-आधारी, द्वयी"
বাইনারি কোড,"द्वि-आधारी कोड, द्विआधारी कूट"
বাইনারি কোডেড দশমিক,"द्वि-आधारी कूट दशमलव, द्वि-आधारी कोडित दशमलव"
বাইনারি কোডিং,द्वि-आधारी कूटलेखन
বাইনারি কম্পিউটার,द्वि-आधारी अभिकलित्र
বাইনারি সংখ্যা,द्वि-आधारी अंक
বাইনারি অপারেশন,द्विआधारी संक्रिया
বাইনারি সিস্টেম,द्विआधारी पद्‌धति
বাইনারি পরিবর্তনশীল,द्विआधारी चर
দ্বিপদ সহগ,द्विपद गुणांक
দ্বিপদ ডিস্ট্রিবিউশন,द्विपद बंटन
দ্বিপদ সমীকরণ,द्विपद समीकरण
দ্বিপদ সম্প্রসারণ,द्विपद प्रसरण
দ্বিপদ অভিব্যক্তি,द्विपद व्यंजक
দ্বিপদী র্যান্ডম পরিবর্তনশীল,द्विपद यादृच्छिक चर
দ্বিপদ উপপাদ্য,द्विपद-प्रमेय
দ্বিখণ্ডন,"अर्धन, द्विभाजन"
দ্বিখণ্ডিত পদ্ধতি,"समद्विभाजन विधि, अर्धीकरण विधि"
দ্বিখণ্ডিত,"अर्धक, द्विभाजक"
biserial,"द्विपंक्तिक, द्विश्रेणिक"
বিট,"द्वयंक (द्विआधारी अंक) , अणी, बरमी , टूक"
দ্বিপদ দ্বিপদ বণ্টন,द्विचर द्विपद-बंटन द्विचल
bivariate পারস্পরিক সম্পর্ক সহগ,द्विचर सहसंबंध गुणांक
দ্বিমুখী বন্টন,द्विचर बंटन
দ্বিমুখী স্বাভাবিক বন্টন,द्विचर प्रसामान्य-बंटन
bivector,द्विसदिश
বোল্টজম্যান সমীকরণ,बोल्ट्मान समीकरण
বুলিয়ান বীজগণিত,बूलीय बीजावली*
বোস-আইনস্টাইন পরিসংখ্যান,बोस-आइन्स्टाइन सांख्यिकी
সীমানার অবস্থা,परिसीमा प्रतिबन्ध
সীমানা স্তর,परिसीमा स्तर
সীমান,परिसीमा रेखा
সীমানা মান,परिसीमा मान
সীমানা মান সমস্যা,परिसीमा मान समस्या
আবদ্ধ ফাংশন,"परिबद्‌ध फलन परिबद्‌ध फल,"
আবদ্ধ ম্যাট্রিক্স,"परिबद्‌ध मैट्रिक्स, परिबद्‌ध आव्यूह परिबद्‌ध सारणी,"
আবদ্ধ অঞ্চল,"परिबद्‌ध प्रदेश परिबद्‌ध प्रदेश,"
আবদ্ধ সেট,"परिबद्‌ध समच्चय परिबद्‌ध संच,"
ব্রোমিন,ब्राउनी गति
গণনা করা,परिकलन करना
গণনা করা,परिकलन
গননা যন্ত্র,"परिकलन-यंत्र, परिकलित्र"
গণনা,परिकलन*
গণনা পদ্ধতি,परिकलनात्मक क्रिया विधि
ক্যালকুলেটর," परिकलित्र , परिकलक"
ক্যালকুলাস,"कलन, कैलकुलस"
পরিবর্তনের ক্যালকুলাস,विचरण-कलन
ক্যালোরি,कैलोरी
বাতিল আইন,निरसन नियम
ক্যানোনিকাল সমীকরণ,विहित समीकरण
ক্যানোনিকাল ফর্ম,विहित रूप
ক্যানোনিকাল ম্যাট্রিক্স,"विहित मैट्रिक्स, के नानिकल मैट्रिक्स"
ক্যান্টর সেট,कैन्टर समुच्चय
Cantor এর ত্রিনারি সেট,कैन्टर त्रिआधारी समुच्चय
ক্যাপাসিটেড পরিবহন সমস্যা,परिबंधित परिवहन समस्या
ক্ষমতা,क्षमता
কৈশিক বল,केशिका-बल
অঙ্কবাচক সংখ্যা,"गणन संख्या, कार्डिनल संख्या"
কার্টেসিয়ান অক্ষ,कार्तीय अक्ष
কার্টেসিয়ান স্থানাঙ্ক,कार्तीय निर्देशांक
কার্টিজিয়ান পণ্য,कार्तीय गुणन
সেটের কার্টেসিয়ান পণ্য,समुच्चयों का कार्तीय गुणन
কেস স্টাডি,"केस अध्ययन, वस्तुस्थिति अध्ययन"
বিপর্যয়কর ওঠানামা,विपत्तिपूर्ण उच्चावचन
ক্যাটেনারি,कैटिनरी
কচি বন্টন,कौशी बंटन
কচি সূত্র,कौशी सूत्र
Cauchy Goursat উপপাদ্য,कौशी-गूर्सा-प्रमेय
কচি রিম্যানের শর্ত,कौशी-रीमान-प्रतिबंध
কচি সিকোয়েন্স,कौशी अनुक्रम
কচি অবিচ্ছেদ্য,कौशी समाकल
কচি প্রধান মান,कौशी मुख्य-मान
কচি অবশিষ্টাংশ উপপাদ্য,कौशी अवशेष प्रमेय
কেলি হ্যামিল্টন উপপাদ্য,कैले-हैमिल्टन-प्रमेय
স্বর্গীয় শরীরের,"खपिंड, खगोलीय पिंड"
স্বর্গীয় পরিমাপ,खगोलीय माप
স্বর্গীয় বলবিদ্যা,खगोलीय यांत्रिकी
মহাকাশীয় বস্তু,खगोलीय पिंड
সেল ফ্রিকোয়েন্সি,कोशिका बारंबारता
জনগণনা,"गणना , जनगणना"
সেন্টিল,शततमक
সেন্টিমিটার,सेन्टीमीटर
সেন্টিমিটার গ্রাম দ্বিতীয় সিস্টেম,सेन्टीमीटर-ग्राम-सेकंड पद्‌धति
কেন্দ্রীয়,"केन्द्रीय , सकेन्द्र"
কেন্দ্রীয় অক্ষ,केन्द्रीय अक्ष
কেন্দ্রীয় পার্থক্য,केन्द्रीय अंतर
কেন্দ্রীয় পার্থক্য সূত্র,केन्द्रीय अंतर सूत्र
কেন্দ্রীয় পার্থক্য টেবিল,केन्द्रीय अंतर सारणी
কেন্দ্রীয় সীমা উপপাদ্য,केन्द्रीय सीमा प्रमेय
কেন্দ্রীয় মুহূর্ত,केन्द्रीय आघूर्ण
কেন্দ্রীয় প্রক্রিয়াকরণ ইউনিট (CPU),केन्द्रीय संसाधन एकक
কেন্দ্রীয় প্রবণতা,केन्द्रीय प्रवतिृ
কেন্দ্র,केन्द्र*
মাধ্যাকর্ষণ কেন্দ্র,गुरुत्व-केन्द्र
দলের কেন্দ্র,समूह-केन्द्र
ভর কেন্দ্র,संहति-केन्द्र
প্রতিসাম্য কেন্দ্র,सममिति-केन्द्र
অপকেন্দ্র বল,अपकेन्द्री बल
কেন্দ্রমুখী বল,अभिकेन्द्र-बल
ভরকেন্দ্র,"केन्द्रक मध्यगासंपात,"
নিশ্চিততা,निश्चितता
সিজিএস সিস্টেম,c.g.s.पद्‌धति
সিজিএস ইউনিট,c.g.s.मात्रक
পার্থক্যের চেইন নিয়ম,अवकलन का शृंखला नियम
সুযোগ কারণ,संयोग हेतु
সুযোগ চলে যায়,सांयोगिक चाल
অক্ষ পরিবর্তন,अक्ष-परिवर्तन
ভিত্তি পরিবর্তন,"आधार परिवर्तन पायाधार-बदल,"
আদেশ পরিবর্তন,क्रम परिवर्तन
বৈশিষ্ট্য সহগ,अभिलक्षणिक गुणांक
নির্ধারক,अभिलक्षणिक सारणिक
চরিত্রগত সমীকরণ,अभिलक्षण-समीकरण
চরিত্রগত ফাংশন,"अभिलक्षण-फलन, कैरेक्टेरिस्टिक फलन"
লগারিদমের বৈশিষ্ট্য,लघुगणक का पूर्णांश
চরিত্রগত বহুপদ,"अभिलक्षणिक बहुपद,"
বৈশিষ্ট্যগত মান,अभिलक्षणिक मान
চরিত্রগত ভেক্টর,अभिलक्षणिक सदिश
অক্ষর সেট,संप्रतीक समुदाय
চার্ট,"चार्ट, संचित्र तक्ता,"
চি-স্কয়ার বিতরণ,काई-वर्ग बंटन
চি-বর্গাকার সূত্র,काई-वर्गं सूत्र
চি-স্কয়ার পরীক্ষা,काई-वर्ग परीक्षण
জ্যা,जीवा*
জ্যা-দ্বিখণ্ডন পদ্ধতি,जीवा-द्विभाजन-विधि
সাইফার বার্তা (=কোডেড বার্তা),बीजलिखित संदेश
সাইফার (শূন্য),"शून्य, सिफर"
বৃত্ত,वृत्त*
অভিসার বৃত্ত,अभिसरण वत्तृ
সার্কিট ম্যাট্রিক্স,परिपथ आव्यूह
বৃত্তাকার,"वृत्ताकार, वर्तुल,"
বৃত্তাকার অ্যাসিম্পটোট,वर्तुल अनंतस्पर्शी
বৃত্তাকার হেলিক্স,वृत्तीय कंडुलिनी
বৃত্তাকার গতি,वर्तुल गति
পরিধি কেন্দ্র,परिकेन्द्र
পরিবৃত্ত,परिवृत्त*
পরিধি করা,"परिगत करना, परितः खींचना"
পরিধিকৃত,परिगत
পরিধিকৃত বৃত্ত,परिवृत
ক্লাসিক্যাল ডিডাক্টিভ কৌশল,चिरप्रतिष्ठित निगमनिक
শাস্ত্রীয় গতিবিদ্যা,चिरप्रतिष्ठित गतिकी
শাস্ত্রীয় অপ্টিমাইজেশান,चिरप्रतिष्ठित इष्टतमन
শাস্ত্রীয় ধ্বংস সমস্যা,चिरप्रतिष्ठित वित्तनाश समस्या
শাস্ত্রীয় পরিসংখ্যানগত বলবিদ্যা,चिरप्रतिष्ठित सांख्यिकीय यांत्रिकी
ত্রুটির শ্রেণীবিভাগ,त्रुटियों का वर्गीकरण
ক্লাসের ব্যবধান,वर्ग-अंतराल
ক্লাস-ব্যবধান ইউনিট,वर्गांतराल एकक
শ্রেণীর সীমা,वर्ग-सीमा
ঘড়ির কাঁটার দিকে,दक्षिणावर्त
ক্লোপেন (= বন্ধ এবং খোলা),संविवृत
বন্ধ,"संवृत, बंद"
বদ্ধ উত্তল হুল,संवृत अवमख समावरक
বন্ধ ঘনক্ষেত্র,संवृत घन
বন্ধ বক্ররেখা,"बंद वक्र, संवृत वक्र"
বন্ধ ডোমেইন,संवृत प्रांत
বন্ধ চিত্র,बंद आकृति
বন্ধ ব্যবধান,संवृत अंतराल
বন্ধ অঞ্চল,"संवृत प्रदेश, बंद प्रदेश"
বন্ধ সেট,संवृत समच्चय
বন্ধ পৃষ্ঠ,"बंद पृष्ठ, संवृत पृष्ठ"
বন্ধ," निमीलन, वेष्टन , संवरक"
বন্ধ অপারেটর,संवरण-संकारक (संवरक)
বন্ধ বিন্দু (= যোগাযোগ বিন্দু),संवरक-बिन्दु
বন্ধ ঘোষণা,संवरक-अभिगृहीत
বন্ধ সেট,संवरक समुच्चय
ক্লাস্টার পয়েন্ট,गुच्छ बिन्दु
গুচ্ছের আদর্শ,गुच्छ प्रतिचयन
ক্লাস্টার সেট,गुच्छ समुच्चय
সমাক্ষ বৃত্ত,समाक्ष वृत्त
সমাক্ষীয় প্যারাবোলাস,समाक्ष परवलय
সমাক্ষ সমতল,समाक्ष समतल
সমাক্ষীয় ত্রিভুজ,समाक्ष त्रिभुज
কোব - ডগলাস ফাংশন,कोब-डगलस फलन
কোডিং," कूटलेखन, कोडन , संकेतन"
ডেটা কোডিং,सामग्री का संकेतीकरण
সহ-ডোমেইন,सहप्रांत
সহগ ম্যাট্রিক্স,गुणांक आव्यूह
পারস্পরিক সম্পর্কের সহগ,सहसंबंध-गुणांक
সংকল্প সহগ,निर्धारण गुणांक
স্থিতিস্থাপকতার সহগ,प्रत्यास्थता गुणांक
সম্প্রসারণের সহগ,प्रसार गुणांक
ঘর্ষণ সহগ,घर्षण गुणांक
রৈখিক প্রসারণের সহগ,अनुदैर्घ्य प्रसार का गुणांक
রিগ্রেশন সহগ,समाश्रयण गुणांक
পৃষ্ঠ টান সহগ,पृष्ठ तनाव का गुणांक
প্রকরণ সহগ,विचरण गुणांक
কোফ্যাক্টর,"सह-खण्ड, सह गुणन खंड,सहकारक"
মুদ্রা নিক্ষেপ (মুদ্রা টস),सिक्का उछाल
নমুনা সংগ্রহ,प्रतिदर्श-संचय
সমরেখার,सरेख
সমরেখা,सरेखता
কলাম,"स्तंभ, कॉलम"
কলামের সমতা,स्तंभतुल्यता
কলাম সমতুল্য,स्तंभ-तुल्य
কলাম সমতুল্য ম্যাট্রিক্স,स्तंभ तुल्य आव्यूह
কলাম ম্যাট্রিক্স,स्तंभ आव्यूह
কলাম র‍্যাঙ্ক,स्तंभ कोटि
কলাম হ্রাস ইকোলন ম্যাট্রিক্স,स्तंभ समानीत सोपानक आव्यूह
কলাম ভেক্টর,स्तंभ सदिश
কলাম অনুসারে,स्तंभानुसार
সম্মিলিত সমীকরণ,संयुक्त समीकरण
সাধারণ কোণ,"उभयनिष्ठ कोण, सर्वनिष्ठ कोण"
সাধারণ অক্ষ,सर्वनिष्ठ अक्ष
সাধারণ ভিত্তি,"सर्वनिष्ठ आधार, उभयनिष्ठ बेस"
সাধারণ নির্ধারক,सार्व हर
সাধারণ পার্থক্য,सार्व अंतर
সাধারণ সমস্যা," सार्वगुणन-खंड, समापवर्तक , सार्व उपादान"
সাধারণ লগারিদম,"साधारण लघुगणक, साधारण लॉगेरिथ्म"
সাধারণ একাধিক,"सार्व गुणज, समापवर्त्य"
সাধারণ অনুপাত,सार्व अनुपात
সাধারণ বিভাগ,सर्वनिष्ठ परिच्छेद
সাধারণ দিক,सर्वनिष्ठ भुजा
সাধারণ স্পর্শক,"उभयनिष्ठ स्पर्शरखा, सर्वनिष्ठ स्पर्शरेखा"
সাধারণ শব্দ,सर्वनिष्ठ पद
বিনিময় বিধি,क्रमविनिमेय नियम
পরিবর্তনমূলক সম্পত্তি,क्रमविनिमेय गुणधर्म
পরিবর্তনমূলক নিয়ম,क्रमविनिमेय-नियम
সংযোজনের পরিবর্তনমূলক আইন,योग का क्रमविनिमेय नियम
গুণের পরিবর্তনমূলক আইন,गुणन का क्रमविनिमेय नियम
পরিবর্তনমূলক অপারেশন,क्रमविनिमेय संक्रिया
কমিউটার গ্রুপ,क्रमविनिमेयक समूह
ম্যাট্রিক্সের যাতায়াত,आव्यूहों का क्रमविनिमेय
কমপ্যাক্ট সেট,संहत समुच्चय
তুলনা,"तुलनात्मकता, तुलनीयता"
উপায়ের তুলনা,माध्यों की तुलना
শতাংশের তুলনা,प्रतिशतता-तुलना
তুলনা পরীক্ষা,तुलना परीक्षण
