English,Marathi
Bevelled closure,Bevelled बंद
"B-horizon,""B-","B-क्षितिज,&quot;B-"
Biat,बायट
Binder,बाईंडर
Binding material,बंधनकारक साहित्य
Biot's theory,बायोटचा सिद्धांत
Bitumen,बिटुमेन
Black cotton soil,काळी कापूस माती
Black earth ,काळी पृथ्वी
Black turf soil,काळी हरळीची माती
Blade,ब्लेड
Blast furnace slag cement,ब्लास्ट फर्नेस स्लॅग सिमेंट
Blocky structure,ब्लॉक रचना
Bogie resistance,बोगी प्रतिकार
Bog-iron ore,बोग-लोह धातू
Bond,बाँड
Bonded member,बंधपत्रित सदस्य
Bonded post tensioning,बंध पोस्ट टेंशनिंग
Bond stone,बोंड दगड
Bound water,बांधलेले पाणी
Box gutter,पेटी गटर
Brace,ब्रेस
Brick-on-edge,वीट-ऑन-एज
Bridle,लगाम
Brightness,तेज
Brown soil,तपकिरी माती
Building,इमारत
Building surveyor,इमारत सर्वेक्षक
Buffer,बफर
Buffer curve,बफर वक्र
Buffering,बफरिंग
Buffering capacity,बफरिंग क्षमता
Bunder,बंदर
Buttress,बट्रेस
C-horizon,सी-क्षितिज
Cable,केबल
Cable moulding,केबल मोल्डिंग
Cabling,केबल टाकणे
Cabin,केबिन
Cabin hook,केबिन हुक
Cabinet,कपाट
Cabolt's quit,कॅबोल्ट सोडला
Cafeteria,कॅफेटेरिया
Cage,पिंजरा
Cage construction,पिंजरा बांधकाम
Cain's formula,काईनचे सूत्र
Caisson,कैसन
Caisson disease,कॅसन रोग
Caisson foundation,Caisson पाया
Caisson pile,Caisson ढीग
Calcareous brick,चुनखडीची वीट
Calcareous clay,चुनखडीयुक्त चिकणमाती
Calcareous crust,चुनखडीयुक्त कवच
Calcification,कॅल्सिफिकेशन
Calcination,कॅल्सीनेशन
Calcine ,कॅल्सीन
Calcite,कॅल्साइट
Calcium-aluminate cement,कॅल्शियम-अल्युमिनेट सिमेंट
Calcium-silicate brick,कॅल्शियम-सिलिकेट वीट
Calcium-silicate hydrate,कॅल्शियम-सिलिकेट हायड्रेट
Caliche,कॅलिचे
California bearing ratio,कॅलिफोर्निया बेअरिंग रेशो
Caliper,कॅलिपर
Calorimeter,कॅलरीमीटर
Camber,कांबर
Canal,कालवा
Canopy,छत
Cantilever footing,कॅन्टिलिव्हर फूटिंग
Cap,टोपी
Capacity,क्षमता
Capacity of ail track,एइल ट्रॅकची क्षमता
Cap cable,कॅप केबल
Capillarity,केशिका
Capillary break,केशिका ब्रेक
Capillary flow,केशिका प्रवाह
Capillary moisture or capillary water,केशिका ओलावा किंवा केशिका पाणी
Capillary pore space,केशिका छिद्र जागा
Capillary porosity,केशिका सच्छिद्रता
Capillary space,केशिका जागा
Capture velocity,वेग कॅप्चर करा
Carbonation,कार्बोनेशन
Carbon black,कार्बन ब्लॅक
Castble refractory,कास्टबल रेफ्रेक्ट्री
Cast-in-place or cast-in-situ,कास्ट-इन-प्लेस किंवा कास्ट-इन-सिटू
Cast-in-place pile,कास्ट-इन-प्लेस मेख
Castor,एरंडेल
Cast stone,कास्ट दगड
Catalyst,उत्प्रेरक
Catena,कॅटेना
Cat face,मांजरीचा चेहरा
Cat head,मांजरीचे डोके
Cation,कॅशन
Cat walk,मांजर चालणे
Cavitation damage,पोकळ्या निर्माण होणे नुकसान
Celite,Celite
Cellular concrete,सेल्युलर कंक्रीट
Cellular construction,सेल्युलर बांधकाम
Cement,सिमेंट
"Cement, bituminous","सिमेंट, बिटुमिनस"
"Cement, high strength","सिमेंट, उच्च शक्ती"
"Cement, hydraulic","सिमेंट, हायड्रॉलिक"
"Cement, low heat","सिमेंट, कमी उष्णता"
"Cement, masonary","सिमेंट, दगडी बांधकाम"
"Cement, natural","सिमेंट, नैसर्गिक"
"Cement, portland","सिमेंट, पोर्टलँड"
"Cement, portland blast furnace slag","सिमेंट, पोर्टलँड ब्लास्ट फर्नेस स्लॅग"
"Cement, portland pozzolan","सिमेंट, पोर्टलँड पोझोलन"
"Cement, slag","सिमेंट, स्लॅग"
"Cement, sulphate resistant","सिमेंट, सल्फेट प्रतिरोधक"
"Cement, super sulphated","सिमेंट, सुपर सल्फेट"
"Cement, white","सिमेंट, पांढरा"
Cement-aggregate ratio,सिमेंट-एकूण प्रमाण
Cement content,सिमेंट सामग्री
Cement gel,सिमेंट जेल
Cement gun,सिमेंट बंदूक
Cement kiln,सिमेंटची भट्टी
Cement paint,सिमेंट पेंट
Cement plaster,सिमेंट प्लास्टर
Cement rock,सिमेंट खडक
Cement slurry,सिमेंट स्लरी
Cement storage,सिमेंट स्टोरेज
Cementation process,सिमेंटेशन प्रक्रिया
Centering,केंद्रीकरण
Centering and shuttering,सेंटरिंग आणि शटरिंग
Central mixed concrete,केंद्रीय मिश्रित कंक्रीट
Central mixer,मध्यवर्ती मिक्सर
Centrifugal fan,केंद्रापसारक पंखा
Chalk,खडू
Chamfer,चांफर
Chamfer strip,चेंफर पट्टी
Channel beam,चॅनेल बीम
Characteristic load,वैशिष्ट्यपूर्ण भार
Characteristic strength,वैशिष्ट्यपूर्ण ताकद
Charge off,चार्ज बंद
Charging,चार्ज होत आहे
Checking,तपासत आहे
Chemical bond,रासायनिक बंध
Chernozem,चेरनोझेम
Chestnut soil,चेस्टनट माती
Chimney gutter,चिमणी गटर
Chip board,चिप बोर्ड
Chipping,चिपिंग
Chips,चिप्स
Chute,चुटे
Class (of concrete),वर्ग (काँक्रीटचा)
Clay,चिकणमाती
Clay content,चिकणमाती सामग्री
Clay pan,मातीचा तवा
Cleanout,क्लीनआउट
Clean up,साफ करा
Cleat,क्लीट
Clinker,क्लिंकर
Clip,क्लिप
Coagulation,गोठणे
Coarse aggregate,खडबडीत एकूण
Coarse grained soil,खडबडीत दाणेदार माती
Coat,कोट
Coffer dam,कोफर धरण
Cohesion,एकसंधता
Colloid,कोलायड
Colloidal moisture equivalent ratio,कोलोइडल आर्द्रता समतुल्य गुणोत्तर
Colloidal system,कोलाइडल प्रणाली
Colluvial soil,कोल्व्हियल माती
Column,स्तंभ
Combed finish,कॉम्बेड फिनिश
Combined footing,एकत्रित पाया
Combined water,एकत्रित पाणी
Common room,सामान्य खोली
Completion certificate,पूर्णत्वाचे प्रमाणपत्र
Component square,घटक चौरस
Concrete,काँक्रीट
Concretion,काँक्रिशन
Consolidated rate/flat rate,एकत्रित दर/सपाट दर
Contaminants,दूषित पदार्थ
Cooking alcove,पाककला alcove
Coping,सामना करणे
Corbel,कॉर्बेल
Cornice,कॉर्निस
Coupler,कपलर
"Coupler, double","युग्मक, दुहेरी"
"Coupler, putlog","कपलर, पुटलॉग"
"Coupler, swivel","युग्मक, कुंडा"
Course,अभ्यासक्रम
Coursed random rubble masonry,यादृच्छिक भंगार दगडी बांधकाम
Covered area,झाकलेले क्षेत्र
Creep,रांगणे
Creep coefficient,रांगणे गुणांक
Crotovine,क्रोटोवाइन
Crow foot,कावळा पाय
Crumb structure,लहानसा तुकडा रचना
Curb,अंकुश
Current,चालू
Curve resistance,वक्र प्रतिकार
Damp proof course,ओलसर पुरावा कोर्स
Date of completion,पूर्ण होण्याची तारीख
Dead load,मृत भार
Dead water,मृत पाणी
Decibel,डेसिबल
Deflocculation,Deflocculation
Degree of aeration or air space ratio,वायुवीजन किंवा हवेच्या जागेचे प्रमाण
Degree of aggregation,एकत्रीकरणाची पदवी
Degree of dispersion,फैलाव पदवी
Degree of saturation,संपृक्तता पदवी
Density,घनता
Desert pavement,वाळवंट फुटपाथ
Desert soil,वाळवंटी माती
Details,तपशील
Development period,विकास कालावधी
D-horizon,डी-क्षितिज
Diagonal bond,कर्ण बंध
Diagram,आकृती
Digital dock,डिजिटल डॉक
Differential water rate,विभेदक पाणी दर
Dilution ventilation,सौम्य वायुवीजन
Diluvium,डिलुव्हियम
Dining room,जेवणाची खोली
Direction peg,दिशा पेग
Dispersion,फैलाव
Distemper,डिस्टेंपर
Dock,गोदी
Door,दार
Dormer,डोर्मर
Dormer check,डॉर्मर चेक
Double flemish bond,दुहेरी फ्लेमिश बाँड
Double layer,दुहेरी थर
Dowel,डोवेल
Drawing board,रेखाचित्र बोर्ड
Drawing room,रेखाचित्र खोली
Drift,वाहून नेणे
Dry bulb temperature,कोरडे बल्ब तापमान
Dry dock,कोरडी गोदी
Dry rubber masonry,कोरडे रबर दगडी बांधकाम
Dutch bond,डच बाँड
Dwarf wall,बटू भिंत
Dwelling unit,निवास एकक
Eave,इव्ह
Eaves gutter,Eaves गटर
Economic feasibility,आर्थिक व्यवहार्यता
Ectodynamorphic soil,एक्टोडायनामॉर्फिक माती
Eddy,एडी
Effective size,प्रभावी आकार
Efflorescence,फुलणे
Effluent,सांडपाणी
Elevation,उत्थान
Eluviation,एलिव्हिएशन
Eluvium,एल्युव्हियम
Endodynamorphic soil,एंडोडायनामॉर्फिक माती
Engineering feasibility,अभियांत्रिकी व्यवहार्यता
English bond,इंग्रजी बंधन
English garden wall bond,इंग्रजी बाग भिंत बंधन
"E.P.M. (equivalent per million),""","EPM (समतुल्य प्रति दशलक्ष),&quot;"
Equivalent weight,समतुल्य वजन
Erg,अर्ग
Exchangeable,अदलाबदल करण्यायोग्य
Exchangeable acidity,एक्सचेंज करण्यायोग्य आम्लता
Exchangeable sodium percentage (ESP),एक्सचेंजेबल सोडियम टक्केवारी (ESP)
E. S P.,ई.एस.पी.
Exchange acidity,एक्सचेंज आंबटपणा
Exchange complex,एक्सचेंज कॉम्प्लेक्स
Exhaust,एक्झॉस्ट
Exposed finish,उघड समाप्त
Eye,डोळा
Eye brow,डोळा कपाळ
Facing,तोंड देत
Facing bond,बाँडचा सामना करत आहे
Factor of safety,सुरक्षिततेचा घटक
Fall,पडणे
Facia,फेसिया
Facia board,फेशिया बोर्ड
Fault,दोष
Field moisture,फील्ड ओलावा
Final moisture equivalent,अंतिम ओलावा समतुल्य
Fillet (of mortar),फिलेट (मोर्टारचा)
Finial,अंतिम
Final measurement,अंतिम मोजमाप
Final paymentq,अंतिम पेमेंटq
Final pre stress,अंतिम पूर्व ताण
Final tension,अंतिम ताण
Financial feasibility,आर्थिक व्यवहार्यता
Fine aggregate,उत्तम एकूण
Fissured rock,फुटलेला खडक
Flag stone,ध्वजाचा दगड
Flemish bond,फ्लेमिश बाँड
Flashing,चमकत आहे
Flashy stream,चमकणारा प्रवाह
Flat roof,सपाट छप्पर
Fleche,फ्लेचे
Flemish garden wall bond,फ्लेमिश गार्डन भिंत बंधन
Flint,चकमक
Flint wall,चकमक भिंत
Floating floor,फ्लोटिंग मजला
Flocculation,फ्लोक्युलेशन
Flocculation limit,फ्लोक्युलेशन मर्यादा
Flocculation ratio,फ्लोक्युलेशन गुणोत्तर
Floccules,फ्लोक्युल्स
Floor,मजला
Floor seal,मजला सील
Flow,प्रवाह
Fluctuation,चढ - उतार
Footing,फूटिंग
Foundation,पाया
Free fall barrow topping mixer,फ्री फॉल बॅरो टॉपिंग मिक्सर
Free fall mixer (drum type),फ्री फॉल मिक्सर (ड्रम प्रकार)
Free stone,मुक्त दगड
Freshet,फ्रेशेट
Friction pile,घर्षण ढीग
Frog,बेडूक
Gable,गॅबल
Gablet,गॅबलेट
Gambrel roof,Gambrel छप्पर
Gauge,गेज
Gauging section,गेजिंग विभाग
Gauging station,गेजिंग स्टेशन
General location plan,सामान्य स्थान योजना
General ventilation,सामान्य वायुवीजन
G horizon or gley horizon,G क्षितीज किंवा gley क्षितीज
Glacial till,पर्यंत हिमनदी
Gneiss,Gneiss
Goods yard,माल यार्ड
Gradient resistance,ग्रेडियंट प्रतिकार
Granite,ग्रॅनाइट
Granular structure,दाणेदार रचना
Granulation,दाणेदार
Granule,ग्रेन्युल
Gravitational water free water,गुरुत्वाकर्षण मुक्त पाणी
Gravitational yard,गुरुत्वाकर्षण यार्ड
Great soil group,ग्रेट माती गट
Grillage foundation,ग्रिलेज फाउंडेशन
Ground hand moulding,ग्राउंड हँड मोल्डिंग
Grouped dock,गटबद्ध डॉक
Group housing,समूह गृहनिर्माण
Guest room,अतिथी खोली
Gutter,गटार
Gutter bearer,गटार वाहक
Gutter check,गटर तपासणी
Hammer dressing,हॅमर ड्रेसिंग
Harbour,बंदर
Harbour of refuge,आश्रयाचे बंदर
Hard pan,कडक पॅन
Header,शीर्षलेख
Header bond,हेडर बॉण्ड
Header course,हेडर कोर्स
Head gate structure,हेड गेटची रचना
Head of canal,कालव्याचे प्रमुख
Head regulator,हेड रेग्युलेटर
Herring bone bond,हेरिंग हाडांचे बंधन
Hearting,हृदयविकार
Heat of wetting,भिजण्याची उष्णता
High alumina cement,उच्च अॅल्युमिना सिमेंट
Hip,हिप
Hip capping,हिप कॅपिंग
Hipped end,नितंब टोक
Hood,हुड
Hood moulding,हुड मोल्डिंग
Hook's law,हुकचा कायदा
Hoop iron,हूप लोह
Horizon,क्षितिज
Humidification,आर्द्रीकरण
"Humidity, absolute","आर्द्रता, निरपेक्ष"
"Humidity, relative","आर्द्रता, सापेक्ष"
Hump yard,कुबड्याचे अंगण
Hydraulic pressure,हायड्रोलिक दाब
Hydration,हायड्रेशन
Hydrolysis,हायड्रोलिसिस
Hydrolytic acidity,हायड्रोलाइटिक आम्लता
Hydromorphic soil,हायड्रोमॉर्फिक माती
Hydrophilic colloid,हायड्रोफिलिक कोलाइड
Hydrophobic colloid,हायड्रोफोबिक कोलाइड
Hydrostatic pressure ratio,हायड्रोस्टॅटिक दाब प्रमाण
Hygroscaptic coefficient,हायग्रोस्केप्टिक गुणांक
Hygroscopic moisture,हायग्रोस्कोपिक ओलावा
Hydroscopicity,हायड्रोस्कोपीसिटी
Hygroscopic moisture,हायग्रोस्कोपिक ओलावा
Hyperbaric chamber,हायपरबेरिक चेंबर
Hyperstatic frame,हायपरस्टॅटिक फ्रेम
Hypsometer,हायपोमीटर
Illumination,रोषणाई
Imbibation moisture,इबिबेशन ओलावा
Immature soil,अपरिपक्व माती
Impounded dock,जप्त डॉक
Increment of land revenue,जमीन महसुलात वाढ
Independent scaffold,स्वतंत्र मचान
Indurated,इन्ड्युरेटेड
Initial prestress,प्रारंभिक prestress
Initial tension,सुरुवातीचा ताण
Inland waterway port,अंतर्देशीय जलमार्ग बंदर
Insulating board,इन्सुलेट बोर्ड
Intermediate port,मध्यवर्ती बंदर
Internal friction,अंतर्गत घर्षण
Intrazonal soil,इंट्राझोनल माती
Ion,आयन
Ion exchange,आयन एक्सचेंज
Iron pan,लोखंडी तवा
Irrigated land,बागायती जमीन
Irrigation,सिंचन
Irrigation cess,सिंचन उपकर
Jamb,जांब
Joggle,धडपडणे
Joggle pin,जॉगल पिन
Joule,जौल
Jumper,जम्पर
Kilogram,किलोग्रॅम
Kilogram force,किलोग्राम बल
Kilogram force meter,किलोग्राम फोर्स मीटर
Kilowatt hour,किलोवॅट तास
King closure,राजा बंद
Kitchen,स्वयंपाकघर
Laced column,लेस केलेला स्तंभ
Lagging,मागे पडणे
Lamella root,लॅमेला रूट
Laminar flow,पातळ थरांचा बनवलेला प्रवाह
Lamp hole,दिवा भोक
Land accretion,जमीन संवर्धन
Land sliding,लँड स्लाइडिंग
Laterite,लॅटराइट
Laterite soil,लॅटराइट माती
Law of large numbers,मोठ्या संख्येचा कायदा
Layout plan,लेआउट योजना
Ledger,लेजर
Lime pan,चुना पॅन
Lintel,लिंटेल
Liquid limit,द्रव मर्यादा
Live load,थेट भार
Loam,चिकणमाती
Local exhaust ventilation,स्थानिक एक्झॉस्ट वेंटिलेशन
Loco yard,लोको यार्ड
Loess,लॉस
Lower plastic limit,कमी प्लास्टिक मर्यादा
Low heat cement,कमी उष्णता सिमेंट
Machine moulding,मशीन मोल्डिंग
Macrostructure,मॅक्रोस्ट्रक्चर
Main head regulator,मुख्य हेड रेग्युलेटर
Main port,मुख्य बंदर
Makeup air,मेकअप हवा
Mansard,मॅनसार्ड
Marshalling yard,मार्शलिंग यार्ड
Masonry,दगडी बांधकाम
Maturing temperature,परिपक्व तापमान
Mezzanine floor,मेझानाइन मजला
Mechanical analysis,यांत्रिक विश्लेषण
Mechanical ventilation,यांत्रिक वायुवीजन
Metric system,मेट्रिक प्रणाली
Microstructure,मायक्रोस्ट्रक्चर
Milli equivalent,मिली समतुल्य
Milli equivalent per litre,मिली समतुल्य प्रति लिटर
Mineral,खनिज
Mineral soil,खनिज माती
Minor port,किरकोळ बंदर
Mitred closure,Mitred बंद
Mobile soil colloid,मोबाइल माती कोलाइड
Moisture content,आर्द्रतेचा अंश
Moisture gradient,ओलावा ग्रेडियंट
Monolith,मोनोलिथ
Monorail,मोनोरेल
National harbour council,राष्ट्रीय बंदर परिषद
Natural bed,नैसर्गिक पलंग
Natural finish,नैसर्गिक समाप्त
Natural harbour,नैसर्गिक बंदर
Natural ventilation,नैसर्गिक वायुवीजन
Naval harbour,नौदल बंदर
Newton,न्यूटन
Non uniform flow,एकसमान प्रवाह नसतो
Occupies water rate,पाण्याचा दर व्यापतो
Oil paint,तेल रंग
Oil well cement,तेल विहीर सिमेंट
Open channel flow,चॅनेल प्रवाह उघडा
Optimum moisture,इष्टतम ओलावा
Organic soil,सेंद्रिय माती
Orientation,अभिमुखता
Orthogonal,ऑर्थोगोनल
Ortstein,ऑर्टस्टीन
Outer signal,बाह्य सिग्नल
Oxidation,ऑक्सिडेशन
Pantry,पँट्री
Parapet,पॅरापेट
Parapet wall,पॅरापेट भिंत
Parent material,पालक साहित्य
Pebble cast plaster,पेबल कास्ट प्लास्टर
Pedalfer,पेडलफर
Pedocal,पेडोकल
Pedogenesis,पेडोजेनेसिस
Pedology,पेडॉलॉजी
Pedosphere,पेडोस्फियर
Penetrometer,पेनेट्रोमीटर
Pent roof,पेन्ट छत
Peptizing agent,पेप्टायझिंग एजंट
Period of analysis,विश्लेषण कालावधी
Perpend,पर्पेंड
Persorption,शोषण
Pier,घाट
Pilaster,पिलास्टर
Pitch,खेळपट्टी
Pitched roof,खड्डे पडलेले छत
Plain concrete,साधा काँक्रीट
Plane angle,विमान कोन
Plain yard,साधे अंगण
Plansol,प्लॅनसोल
Plastic consistency,प्लास्टिकची सुसंगतता
Plasticity,प्लॅस्टिकिटी
Plasticity index,प्लॅस्टिकिटी निर्देशांक
Plasticity limit,प्लॅस्टिकिटी मर्यादा
Plasticity range,प्लॅस्टिकिटी श्रेणी
Platy structure,प्लेट रचना
Plinth,प्लिंथ
Plough soil,नांगरलेली माती
Plum stone,मनुका दगड
Podzole,पॉडझोल
Pointing,पॉइंटिंग
Polygonal wall,बहुभुज भिंत
Pore space,छिद्र जागा
Port,बंदर
Positive ventilation,सकारात्मक वायुवीजन
Prairie soil,प्रेयरी माती
Precision,सुस्पष्टता
Primary particle,प्राथमिक कण
Prismatic structure,प्रिझमॅटिक रचना
Productive work,उत्पादक कार्य
Project justification,प्रकल्पाचे औचित्य
Protective work,संरक्षणात्मक कार्य
Pseudo-mycelium,स्यूडो-मायसेलियम
Puddle,डबके
Pugging,पगिंग
Pumice,प्युमिस
Puncheon,पंचन
Puppet,कठपुतळी
Putlog,पुटलॉग
Putlog scaffold,पुटलॉग मचान
Quantity surveyor,सामग्री सर्वेक्षक
Quarry sap,खणाचा रस
Quay,क्वे
Queen closure,राणी बंद
Quoin,Quoin
Raft foundation,तराफा पाया
Raker,राकर
Raking,रेकिंग
Raking bond,रॅकिंग बाँड
Raking flashing,Raking फ्लॅशिंग
Rapidly varying flow,वेगाने बदलणारा प्रवाह
Recoverable payment,वसूल करण्यायोग्य पेमेंट
Red earth,लाल पृथ्वी
Red loam,लाल चिकणमाती
Regulator,नियामक
Regur or black cotton soil,रेगुर किंवा काळी कापूस माती
Repayment contract,परतफेड करार
Residual shrinkage,अवशिष्ट संकोचन
Residual soil,अवशिष्ट माती
Reveal,प्रकट करा
Reveal pin,पिन प्रकट करा
Reveal tie,टाय प्रकट करा
Ridge,रिज
Ridge capping,रिज कॅपिंग
River,नदी
Road stead,रस्ता स्थिर
Rough plaster,खडबडीत मलम
Rubble,ढिगारा
Rubble masonry,भंगार दगडी बांधकाम
Rubble walling,कचऱ्याची भिंत
Running measurement,चालू मोजमाप
Safe bearing capacity,सुरक्षित पत्करण्याची क्षमता
Salt glaze,मीठ ग्लेझ
Sample size,नमुन्याचा आकार
Sampling distribution,नमुना वितरण
Sampling error,नमुना त्रुटी
Sand,वाळू
Sand finish,वाळू समाप्त
Sand hand moulding,वाळू हात मोल्डिंग
Sanding,सँडिंग
Saturated soil,संतृप्त माती
Saturated soil paste,संतृप्त माती पेस्ट
Saturation extract,संपृक्तता अर्क
Saturation percentage,संपृक्तता टक्केवारी
Saucer dome,बशी घुमट
Scaffold,मचान
Schist,शिस्ट
Sea port,सागरी बंदर
Secret gutter,गुप्त गटार
Second,दुसरा
Sedimentation analysis,अवसादन विश्लेषण
Semi-artificial harbour,अर्ध-कृत्रिम बंदर
Semi tidal dock,अर्ध भरतीची गोदी
Senile,वृद्ध
Shale,शेल
Sheet pile,पत्र्याचा ढीग
Shrinkage limit,संकोचन मर्यादा
Shuttering,शटरिंग
Siallitic soil,सियालिटिक माती
Sierozem,सिएरोझेम
Sill,खिंडी
Silt,गाळ
Single flemish blood,सिंगल फ्लेमिश रक्त
Single grained structure,एकल दाणेदार रचना
Skeletal soil,कंकाल माती
Skirting,स्कर्टिंग
Sleeper wall,स्लीपर भिंत
Side gutter,बाजूचे गटर
Slide rule,स्लाइड नियम
Slip dock,स्लिप डॉक
Smoniza,स्मोनिझा
Soaking,भिजवणे
Soil association,मातीचा सहवास
Soil class,माती वर्ग
Soil complex,माती कॉम्प्लेक्स
Soil consistency,मातीची सुसंगतता
Soil family,माती कुटुंब
Soil frame work,मातीच्या चौकटीचे काम
Soil moisture,माती ओलावा
Soil moisture accretion,जमिनीतील ओलावा वाढणे
Soil moisture deficit,जमिनीतील आर्द्रतेची कमतरता
Soil morphology,माती आकारविज्ञान
Soil particle,मातीचा कण
Soil phase,मातीचा टप्पा
Soil profile,माती प्रोफाइल
Soil reaction,मातीची प्रतिक्रिया
Soil separates,माती वेगळी होते
Soil series,माती मालिका
Soil solution,माती समाधान
Soil structure,मातीची रचना
Soil texture,मातीचा पोत
Soil type,मातीचा प्रकार
Solum,सोलम
Sorption,वर्गीकरण
Spalls,spalls
Specific ion effect,विशिष्ट आयन प्रभाव
Squared coursed rubble masonry,स्क्वेअर कोर्स्ड रबल चिनाई
Squared regular coursed rubble masonry,चौरस नियमित कोर्स्ड मलबा दगडी बांधकाम
Steady flow,स्थिर प्रवाह
Stepped flashing,स्टेप्ड फ्लॅशिंग
Stickiness,चिकटपणा
Sticking point,स्टिकिंग पॉइंट
Stone,दगड
Slop hand moulding,स्लॉप हात मोल्डिंग
Strap hinge,पट्टा बिजागर
Straw board,स्ट्रॉ बोर्ड
Stream,प्रवाह
Stress,ताण
Stretcher,स्ट्रेचर
Stretcher bond,स्ट्रेचर बाँड
Stretcher course,स्ट्रेचर कोर्स
String,स्ट्रिंग
String course,स्ट्रिंग कोर्स
Structure factor,रचना घटक
Structure index,रचना निर्देशांक
Stucco,स्टुको
Stud,स्टड
Stylobate,स्टायलोबेट
Sub soil,पोट माती
Sub structure,उप रचना
Summation curve,बेरीज वक्र
Sun mica,सूर्य अभ्रक
Super structure,सुपर रचना
Surveyor,सर्वेक्षक
S-value,एस-मूल्य
Swag,स्वॅग
Swan neck,हंस मान
Tabernacle,तंबू
Table hand moulding,टेबल हँड मोल्डिंग
Tanking,टँकिंग
Tempietto,टेम्पिएट्टो
Tempering,टेंपरिंग
Template,साचा
Template,साचा
Tepidarium,Tepidarium
Terracotta,टेराकोटा
Terra rosa,टेरा रोझा
Terrazzo,टेराझो
Tetra style,टेट्रा शैली
Threshold limit value,थ्रेशोल्ड मर्यादा मूल्य
Throat,घसा
Through stone,दगडातून
Tidal basin,भरतीचे खोरे
Tie bar,टाई बार
Tie beam,टाय बीम
Tie rod,टाय रॉड
Tirs,तीर्स
Tolerance,सहिष्णुता
Toothing,दात काढणे
Top soil or surface soil,वरची माती किंवा पृष्ठभागाची माती
Total porosity,एकूण सच्छिद्रता
Tracery,ट्रेसरी
Train resistance,ट्रेन प्रतिकार
Transept,ट्रान्सेप्ट
Transitional soil,संक्रमणकालीन माती
Transom,ट्रान्सम
Transport soil,वाहतूक माती
Tributary,उपनदी
Triforium,ट्रायफोरियम
Triglyph,ट्रायग्लिफ
Truncated soil,कापलेली माती
Turbulent flow,अशांत प्रवाह
Turret,बुर्ज
Tympar num,Tympar संख्या
Ultimate bearing capacity,अंतिम पत्करण्याची क्षमता
Ultimate ph,अंतिम पीएच
Uncoursed random rubble masonry,uncoursed यादृच्छिक भंगार दगडी बांधकाम
