Kannada,Malayalam
ಒಗ್ಗೂಡಿಸುವಿಕೆ,ACCLIMATIES
ಒಗ್ಗಿಸು,അക്ലിമിലൈസ്
ವಸತಿ (ಕೇಂದ್ರೀಕರಿಸುವುದು),താമസം (ഫോക്കസിംഗ്)
ಕಣ್ಣಿನ ವಸತಿ,കണ്ണിന്റെ താമസം
ಸನ್ಯಾಸಿಗಳ ಬೆಳವಣಿಗೆ,പ്രകടിപ്പിക്കുന്ന വളർച്ച
ಸಂಗ್ರಹಣೆ,കൂന്വാരം
ಸಾವಯವ ವಸ್ತುಗಳ ಸಂಗ್ರಹ,ജൈവവസ്തുക്കളുടെ ശേഖരണം
ಮಣ್ಣಿನ ಸಂಗ್ರಹ,മണ്ണിന്റെ ശേഖരണം
ಉಭಯಾಕಾರದ,അസെലുലാർ
ಅಸೆಲ್ಯುಲಾರ್ ಜೀವಿ,അസെല്ലുലാർ ജീവികൾ
ಅಸೆಟಾಬುಮ್,Aecetabulum
ಅಸೆಟಾಲ್ಡಿಹೈಡ್,അസെറ്റൽഡിഹൈഡ്
ಅಸೆಟೈಲ್ ಕೊಯೆನ್ಜೈಮ್,അസെറ്റി കൊവെൻസിഎംഇ
ಕಸ,അച്ചാതിന
ಮೊಲ ಪ್ರಕಾರ,നെച്ചെൻ തരം
ಉಂಗುರ,അച്ചീൻ
ಅಕ್ಲಾಮಿಡೋಸ್ಪೋರಿಯಾ,ആൾമെംഡിഡോസ്പോര്പോറിയ
ಆಮ್ಲ ಮಳೆ,അമ്ല മഴ
ಆಮ್ಲೀಯ,അസിഡിറ്റി
ಆಮ್ಲೀಯ ಅನಿಲ,അസിഡിറ്റിക് വാതകം
ಅಚ್ಚುಕಟ್ಟಾಗಿತ್ವ,അസിഡിറ്റി
ಅಸಿನಾರ್ ಕೋಶ,അക്കിനാർ സെൽ
ಜಾಮಕೀಯ,അക്കോമോമോമറ്റ്
ಅನನಟ,അക്കോണിറ്റം
ಆಕ್ರೋಶದ ಹುಳು,ആക്രമണാത്മക പുഴു
ಅಕೌಸ್ಟಿಕ್ ವಲಯ,അക്കോസ്റ്റിക് സോണിംഗ്
ಸ್ವಾಧೀನಪಡಿಸಿಕೊಂಡ ಪಾತ್ರ,സ്വന്തമാക്കിയ പ്രതീകം
ಸ್ವಾಧೀನಪಡಿಸಿಕೊಂಡ ರೋಗನಿರೋಧಕ ಶಕ್ತಿ,പ്രതിരോധശേഷി നേടി
ಸ್ವಾಧೀನಪಡಿಸಿಕೊಂಡ ಇಮ್ಯುನೊ ಕೊರತೆ ಸಿಂಡ್ರೋಮ್ (ಏಡ್ಸ್),ഏറ്റെടുത്ത ഇമ്മുനോൻറെ കുറവ് സിൻഡ്രോം (എയ്ഡ്സ്)
ಪ್ರಾದೇಶಿಕ,അങ്കാരിയ
ಅಣಕಾದ ಬಣ್ಣ,അക്രിക്കൈൻ ഡൈ
ವ್ಯಾಪಕವಾದ,അക്രോസെന്റ്
ಅಕ್ರಾಮನ್,അക്രോമീൻ
ಸ್ಥಗಿತದ ಅನುಕ್ರಮ,അക്രോരേറ്റൽ സീക്വൻസ്
ಅಕ್ರೊಫೆಟಲ್ ರಾಶಿ,അക്രോപോളൽ ഓർഡർ
ಅಕ್ರೋಸಿನ್,അക്രോസിൻ
ಅ ೦ ಗಡಿ,ആക്ടിൻ
ಆಕ್ಟಿನ್ ತರಹದ ಪ್ರೋಟೀನ್,ആക്റ്റിൻ പോലുള്ള പ്രോട്ടീൻ
ಕ್ರಿಯಾಶೀಲತೆ,ആക്ടിനോമോർഫിക്
ಅಂಧ,ആക്റ്റിനോമൈസെറ്റുകൾ
ಕ್ರಿಯಾಶೀಲತೆ,പ്രവർത്തന സാധ്യത
ಸಕ್ರಿಯ ಕೆತ್ತನೆ,സജീവമാക്കിയ സ്ലഡ്ജ്
ಸಕ್ರಿಯ ಕೆಸರು ಫ್ಲೋಕ್,സജീവമാക്കിയ സ്ലഡ്ജ് ഫ്ലോക്ക്
ಸಕ್ರಿಯಗೊಳಿಸುವ ಶಕ್ತಿ,സജീവമാക്കൽ .ർജ്ജം
ಸಕ್ರಿಯ ಹೀರಿಕೊಳ್ಳುವಿಕೆ,സജീവമായ ആഗിരണം
ಸಕ್ರಿಯ ವಿನಾಯಿತಿ,സജീവ പ്രതിരോധശേഷി
ಸಕ್ರಿಯ ವಿಕಿರಣ,സജീവ വികിരണം
ಸಕ್ರಿಯ ಸೈಟ್,സജീവ സൈറ്റ്
ದಳ,ആധ്രിക്കുക
ವಕ್ರವಳತಿ ಮಾಡು,അക്യുമിനേറ്റ്
ಆಡಮ್ಸಿಯಾ,ആദാംസിയ
ಹೊಂದಿಕೊಳ್ಳುವಿಕೆ,പൊരുത്തപ്പെടലി
ರೂಪಾಂತರ,പൊരുത്തപ്പെടുത്തൽ
ಬೆಳಕಿನ ಆಡಳಿತಕ್ಕೆ ಹೊಂದಿಕೊಳ್ಳುವುದು,ലൈറ്റ് ഭരണകൂടത്തിന് അനുയോജ്യമായ പൊരുത്തപ്പെടുത്തൽ
ನೀರಿನ ಕೊರತೆಗೆ ಹೊಂದಿಕೊಳ್ಳುವುದು,ജല ദഹനത്തോടുള്ള പൊരുത്തപ്പെടുത്തൽ
ಹೊಂದಾಣಿಕೆಯ ಗುಣಲಕ್ಷಣಗಳು,അഡാപ്റ്റീവ് സവിശേഷതകൾ
ಹೊಂದಾಣಿಕೆಯ ವಿನಾಯಿತಿ,അഡാപ്റ്റീവ് പ്രതിരോധശേഷി
ಅಡಾಪ್ಟಿವ್ ವಿಕಿರಣ,അഡാപ്റ്റീവ് വികിരണം
ಹೊಂದಾಣಿಕೆಯ ಲಕ್ಷಣ,അഡാപ്റ്റീവ് സ്വഭാവം
ಅಡಾಕ್ಸಿಯಲ್ ಮೇಲ್ಮೈ,അഡാക്സിയൽ ഉപരിതലം
ವ್ಯಸನಕಾರಿ ಕಾಯಿಲೆ,ആസക്തി നിഴൽ
ತಿಕ್ಕಲು,ആദൈൈൻ
ಒಂದು ತತ್ತ್ವ,Adenocortiopin
ತತ್ತ್ವ,ആദിനോഹൈപഫിസിസ്
ತಿರಸ್ಕಾರ,Adenosin diphosphate
ಅಂಧ,Adenosine deaminase
ಅಸಿನಿನ್ ಮೊನೊಫಾಸ್ಫೇಟ್,അഡെനോസിൻ മോണോഫോസ്ഫേറ്റ്
ಅಡೆನೊಸಿನ್ ಟ್ರೈಫಾಸ್ಫೇಟ್ (ಎಟಿಪಿ),അഡെനോസിൻ ട്രിപ്പ്ഫോസ്ഫേറ്റ് (എടിപി)
ತಿರಸ್ಕಾರ,Adenileat സൈക്ലെസ്
ಅಂಟಿಕೊಳ್ಳುವ ಶಕ್ತಿ,പശ ശക്തി
ಅಡಿಪಡಿ,മുദവയ്ക്കുക
ಅಡಿಪೋಸೈಟ್ (ಕೊಬ್ಬಿನ ಕೋಶ),Adipocyte (FALE സെൽ)
ಅಡಿಪಾಯಿ ಅಂಗಾಂಶ,അഡിപോസ് ടിഷ്യു
ಮಡಿ,ആരാധന
ಪಕ್ಕದ ಸಮುದಾಯ,സമീപ കമ്മ്യൂണിറ്റി
ಮೂತ್ರಜನಕಾಂಗ,അഡ്രീനല്
ಅಡ್ರಿನಲ್ ಗ್ರಂಥಿ,അഡ്രീനൽ ഗ്രന്ഥി
ಅಡ್ರಿನೊಕಾರ್ಟಿಕೊಟ್ರೊಪಿಕ್ ಹಾರ್ಮೋನ್ (ಎಸಿಟಿಎಚ್),അഡ്രിനെകോളിക്കോട്രോപിക് ഹോർമോൺ (acth)
ಅಡ್ರಿನೊಕಾರ್ಟಿಕೊಟ್ರೊಪಿಕ್ ಬಿಡುಗಡೆ ಹಾರ್ಮೋನ್ (ಎಸಿಟಿಆರ್ಹೆಚ್),അഡ്രിനെകോളിക്കോട്രോപിക് ഹോർമോൺ റിലീസ് ചെയ്യുന്നു (acth)
ಹೊರಹೀರುವ,ദുര്ധി പകര്
ಹೊರಹೀರತೆ,ദുര്ഗയോധം
ಸುಧಾರಿತ ಸ್ವರಮೇಳ,വിപുലമായ കീടങ്ങൾ
ಅನುಕೂಲಕರ ರೂಪಾಂತರ,പ്രയോജനകരമായ മ്യൂട്ടേഷൻ
ಸಾಹಸದ,സാഹസികമായ
ಸಾಹಸಿ ಮೂಲ,സാഹസിക റൂട്ട്
ದುಷ್ಪರಿಣಾಮ,പ്രതികൂല ഫലം
ಈಡಿಸ್,Aedes
ಸಂಸ್ಕೃತಿಯ ಗಾಳಿ,സംസ്കാരത്തിന്റെ വായുസഞ്ചാരം
ವಾಮಪಂಥೀಯ,അരേഞ്ചമ
ವೈಮಾನಿಕ,ഏരിയൽ
ವೈಮಾನಿಕ ಮೂಲ,Aierial റൂട്ട്
ವೈಮಾನಿಕ ಚಿಗುರು,ഏരിയൽ ഷൂട്ട്
ಏರೋಬಿಕ್ ಉಸಿರಾಟ,എയ്റോബിക് ശ്വസനം
ಏರೋಬಿಕ್ ಉಸಿರಾಟ,എയ്റോബിക് ശ്വസനം
ಸೌಂದರ್ಯಶಾಸ್ತ್ರ,സൗന്ദര്യശാസ്ത്രം
ಅಸ್ವಸ್ಥತೆ,പകർച്ചവ്വാധം
ಅಸ್ವಸ್ಥತೆ,പകർച്ചവ്വാധം
ವಿಪರೀತ,അശ്രദ്ധ
ಅಫಿನಿಟಿ ಕ್ರೊಮ್ಯಾಟೋಗ್ರಫಿ,അഫിനിറ്റി ക്രോമാറ്റോഗ്രാഫി
ಪೀಡಿತ ಅಂಗ,പീഡിപ്പിച്ച അവയവം
ಸಂಯಮ,വനനം
ಗಗನಯ,അഗമോസ്പർമി
ಗಾಡಿ,അഗറും
ಜನಗಮಣ,അഗരോസ്
ಅಗರೋಸ್ ಜೆಲ್ ಎಲೆಟ್ರೋಫೊರೆಸಿಸ್,അഗരോസ് ജെൽ എലെട്രോഫോറെസിസ്
ಅಗರೋಸ್ ಪಾಲಿಮರ್ ಜೆಲ್,അഗരോസ് പോളിമർ ജെൽ
ಚೂರುಪಾರು,അഗാധമായ
ಭೂತಾಳೆ,കൂരക്കം
ವಯಸ್ಸಿನಲ್ಲಿ ವಿತರಣೆ,പ്രായ വിതരണം
ವಯಸ್ಸು ಪಿರಮಿಡ್,പ്രായ പിരമിഡ്
ಒಟ್ಟುಗೂಡಿಸುವಿಕೆ,നിര്മ്മിപ്പ
ಒಟ್ಟು,ആകെത്തുകയായുള്ള
ಕೋಶಕ ಒಟ್ಟು,ഫോളിക്കിളിന്റെ ആകെത്തുക
ಕೋಶಕ ಒಟ್ಟು,ഫോളിക്കിളിന്റെ ആകെത്തുക
ಒಟ್ಟುಗೂಡಿಸುವಿಕೆ,അഗ്രഗേഷൻ
ಆಕ್ರಮಣಶೀಲತೆ,ആക്രമശാസ്ത്രം
ಚಮತ್ಕಾರ,അജിറ്ററ്റർ സിസ്റ്റം
ಅಜ್ಞಾತ,അഗ്നിനാഥ
ಗಾಡಿ,അഗൗട്ടി
ಪಂಥದ,അഗ്രഗൽ ക്ലോറോപ്ലാസ്റ്റ്
ಕೃಪಣದ,അഗ്രനനുകാരി
ಪಂಥಿ,അഗ്രമായനുലോസിടെ
ಕೃಷಿ,കൃഷിപ്പണി
ಕೃಚಾರಕ,അഗ്രോഫോറസ്ട്രി
ಆಗ್ರೊಬ್ಯಾಕ್ಟೀರಿಯಂ ಮಧ್ಯಸ್ಥಿಕೆ,അഗ്രോബക്രിയം മധ്യസ്ഥത
ಅಗ್ರೋಬ್ಯಾಕ್ಟೀರಿಯಂ ಟ್ಯೂಮೆಫಾಸಿಯನ್ಸ್,അഗ്രോബക്രിയം ടുബ്ഫാസിയൻസ്
ಕೃಷಿ ರಾಸಾಯನಿಕ,കാർഷിക
ಕೃಷಿ ರಾಸಾಯನಿಕ,കാർഷിക
ಕೃಷಿ ವಲಯ,അഗ്രോക്ലിമീയ മേഖല
ಕೃಷಿ ಲಕ್ಷಣ,അഗ്രോണമിക് സ്വഭാവം
ಕೃಷಿ ವಿಜ್ಞಾನ,അഗ്രോണമി
ನೆರಳು,എയ്ഡ്സ്
ಗಾಳಿಗೊಡೆ,എയർ ബ്ളാഡര്
ಹವಾ ನಿಯಂತ್ರಣ ಯಂತ್ರ,എയർകണ്ടീഷണർ
ಗಾಳಿಯ ಮಾರ್ಗ,എയർ പാസേജ്
ವಾಯು ಮಾಲಿನ್ಯ,വായു മലിനീകരണം
ಗಾಳಿಯ ಚೀಲ,വ്ലാക്
ವಿಮಾನ ನಿರ್ವಾತ,വായു ശൂന്യത
ಗಾಳಿ ಮರೆಯುವ,എയർ ശ്വസനം
ತಲ್ಲಣ,അനെയ്ൻ
ಅಲರಿ ಸ್ನಾಯು,അലറി പേശി
ಅಲಸ್ಕನ್ ಕಂದು ಕರಡಿ,അലാസ്കൻ ബ്ര rown ൺ ബിയർ
ಒಂದು ಬಗೆಯ ಉಕ್ಕಿನ,ആൽബിനോ
ದಾಸ್ಯ,ആൽബൂഗോ
ಉಣ್ಣೆಯಂಥ,ആൽബമിൻ
ಉಬ್ಬು ಬೀಜದ ಬೀಜ,ആൽബ്യൂമിനസ് വിത്ത്
ಬಿಲ್ಲಿನ,അൽബുമിനൂറിയ
ಪಾರಾಗಲಿ,ആൽബനം
ಹದಮುದಾಯಿ,അൽകെഡെ
ಆಲ್ಡಿಹ್ಯೀಡ್,Aldeheeede
ಆಲ್ಡೋಸ್ಟಾನ್ ವ್ಯವಸ್ಥ,ആൽഡോസ്റ്റെറോൺ സിസ്റ്റം
ಆಲ್ಡೋಸ್ಟಲಿಗೆ,ആൽഡോസ്റ്റെറോൺ
ಅಲ್ಯೂರೋನ್ ಪದರ,അലോറോൺ ലെയർ
ಕಣ್ಣುಹಾಯ,അലൂറോപ്ലാസ്റ്റ്
ಉಚ್ಚಾರಣಾ,പയറുവർഗ്ഗങ്ങൾ
ಪಾಚಿಯ ಹೂವು,ആൽഗൽ പൂവ്
ಪಾರಿಗೊಣ,അൾഗിൻ
ಅನ್ಯಲೋಕದ ಡಿಎನ್‌ಎ,അന്യഗ്രഹ ഡിഎൻഎ
ಅನ್ಯ,അന്യഗ്രഹ ജീവികൾ
ಜೋಡಣೆ,വിന്യാപകമായ
ಜೋಡಣೆ,വിന്യാപകമായ
ಅಲಿಮೆಂಟಿನ ಕಾಲುವೆ,അലിമെന്ററി കനാൽ
ಅಲಿಮೆಂಟರಿ ವ್ಯವಸ್ಥೆಯ,അലിമെന്ററി സിസ്റ്റം
ಮಿತ್ರತತ್ವ,അലിയാസം
ಕ್ಷಾರೀಯ,ആൽക്കലോയിഡ്
ಕ್ಷಾರೀಯ,ആൽക്കലൈൻ
ಕ್ಷಾರೀಯ,ആൽക്കപ്റ്റോറിയ
ನಾರು,Allantois
ಆಲೀಲ್ ಆವರ್ತನ,അല്ലെൽ ഫ്രീക്വൻസി
ಇಳಿಜಾರು,അല്ലലേ
ಅಲಿಮಾರ್ಫಿಕ್ ಜೋಡಿ,അല്ലോമോർഫിക് ജോഡി
ಅಲರ್ಜಾಟ,അലർജി
ಅಲಿಗ್ನ,ചീങ്കണ്ണി
ಆಲಿಯಂ ಸೆಪಾ,അല്ലിയം സിപ
ಅಲೋಗಮಿ,അലോഗാമി
ಅರಿಯುವವಳು,അല്ലുഫ്രാഫ്റ്റ്
ಅಲೋಪ್ಯಾಟ್ರಿಕ್ ಸ್ಪೆಸಿಪೇಶನ್,അലോപ്പേട്രിക് സ്പെസിഫിക്കേഷൻ
ಸೂತ್ರ,Allopolyplogid
ಅಲೀರಿಕ್ ಪರಿಣಾಮ,എല്ലാസ്റ്റീസ്റ്റ് ഇഫക്റ്റ്
ಅಲೋಸ್ಟರಿಕ್ ಕಿಣ್ವ,Allonteric enzyme
ಅಲಿಸ್ಟರಿಕ್ ಪ್ರತಿರೋಧಕ,ഓസ്റ്റോസ്റ്റർ ഇൻഹിബിറ്റർ
ಅಲೋಸ್ಟೆರಿಕ್ ಮಾಡ್ಯುಲೇಷನ್,എല്ലാസ്റ്റീസ്റ്റ് മോഡുലേഷൻ
ಅಲೋಸ್ಟರಿಕ್ ಸೈಟ್,ഓസ്റ്റോസ്റ്റർ സൈറ്റ്
ಅಲಿಸ್ಟರಿಕ್ ಪ್ರತಿಬಂಧಕ,ആസ്റ്റോസ്റ്റ് ഗർബിംഗ്
ತಟೆಾತ್ರಾ,അലോട്ട്ട്രലോയിഡ്
ದಾಸ್ಯ,അൽനസ്
ಅಡೆ,കറ്റാർ
ಆಕ್ಸಾನ್ ಉದ್ದಕ್ಕೂ,ആക്സോണിനൊപ്പം
ಆಲ್ಫಾ-ಆಂಟಿಟ್ರಿಪ್ಸಿನ್,ആൽഫ-ആന്റിട്രിറ്റിപ്സ്
ಆಲ್ಫಾ-ಲಾಕ್ಟಾಲ್ ಬ್ಯೂನ್,ആൽഫ-ലാക്റ്റൽബുമിൻ
ಆಲ್ಪೈನ್ ಹವಾಮಾನ ಸ್ಥಿತಿ,ആൽപൈൻ കാലാവസ്ഥാ അവസ്ഥ
ಆಲ್ಪೈನ್ ಹುಲ್ಲುಗಾವಲು,ആൽപൈൻ മെഡോ
ಆಲ್ಪೈನ್ ವಲಯ,ആൽപൈൻ സോൺ
ಆಲ್ಸ್ಟೋನಿಯಾ,ആൽസ്റ്റോണിയ
ಪರ್ಯೇಡು,ആദരജോ
ಪರ್ಯಾಯ,ഏകാന്തരക്രമത്തിൽ
ಪೀಳಿಗೆಯ ಪರ್ಯಾಯ,തലമുറയുടെ മാറിമാറ്റം
ಎತ್ತರ ಕಾಯಿಲೆ,ഉറ്റമകരമായ രോഗം
ಎತ್ತರ,ഉയരം
ಅಲ್ವಿಯೋಲಾರ್ ನಾಳ,അൽവിയോളാർ നാളം
ಮಣ್ಣು,അലിറ്റ്സ്
ಆಲ್ z ೈಮರ್ ಕಾಯಿಲೆ,അല്ഷിമേഴ്സ് രോഗം
ಅಮಾಮಿನ ಕೋಶ,അമാക്രീൻ സെൽ
ಹುಳ,അമറാന്തം
ಹುಳಿ,അമരന്തസ്
ಸುತ್ತುವರಿದ ಆಸ್ಮೋಟಿಕ್ ಸಾಂದ್ರತೆ,ആംബിയന്റ് ഓസ്മോട്ടിക് സാന്ദ്രത
ಅಂಬಿಸ್ಟೋಮ,ആംബിസ്റ്റോമ
ಅಸ್ಫುಲ್,അറുമണ്ടിന്
ಅಮೈನೊ ಆಸಿಡ್,അമിനോ അമ്ലം
ಅಮೈನೊ ಆಸಿಡ್ ಸ್ವೀಕಾರಕ,അമിനോ ആസിഡ് സ്വീകാര്യത
ಅಮೈನಾಕ್ಲ್ ಟಿ ಆರ್ಎನ್ಎ ಸಿಂಥೆಟೇಸ್,അമിനോസിഎൽ ടി ആർഎ സിന്തസെസ്
ಅಮೈನೊಅಸಿಲೇಷನ್,അമിപോസിലേഷൻ
ಅಮೀಟಾಸಿ,അമിറ്റോസിസ്
ಅಮೋನಿಯ,ക്ഷാരവായു
ಅಮೋನೀಕರಣ,അമ്മോണിഫിക്കേഷൻ
ಅಮ್ಮನೋಟೆಲಿಸಂ,അമോമോട്ടലിസം
ಜ್ಯೂನಿಯೊಸೆಂಟಿಸ್,അമ്നിയോസെന്റസിസ്
ಆಮದೋಸೆಂಟೆಸಿಸ್ ತಂತ್ರ,Amniocentess സാങ്കേതികത
ಅಮ್ನಿಯೈಟ್,Amniocyte
ಮಂಕಾದ,Amnion
ಆಮ್ನಿಯೋಟಿಕ್ ದ್ರವ,അമ്നിയോട്ടിക് ദ്രാവകം
ಜಾಮ್ನಿಯೆಟಿಕ್ ಮೆಂಬರೇನ್,അമ്നിയോട്ടിക് മെംബ്രൺ
ಜಾಮಿಕಾಟದ ಚೀಲ,അമ്നിയോട്ടിക് സഞ്ചി
ಅಮೀಬ,അമീബ
ಅಮೀಬೋಸೈಟ್,Amoebocyte
ಅಮೀಬಯುಡಿ,Amoeboid
ಅಮೀಬಯಿಡ್ ಲಿಂಫೋಸೈಟ್,Amoeboid lymphocyte
ಅಮೀಬಯಿಡ್ ಚಲನೆ,അമോബോഡ് ചലനം
ಅರೂಪದ,അക്കോറോഫസ്
ಮೊತ್ತ,സംഖ
ಆಭರಣ,ആംഫെറ്റാമൈൻ
ಉಭಯಚರ,ആംഫിബിയ
ಉಭಯಚರ,ആംഫിബിയൻ
ಉಭಯಚರ,ആംഫിബിയൻ
ಉಲ್ಬಣ,Amphioxus
ಆಂಫಿಯೋಕ್ಸಸ್ ಲ್ಯಾನ್ಸೊಲಾಟಸ್,ആംഫിയോക്സസ് ലാൻനോലാറ്റസ്
ಉಭಯಪಕ್ಷೀಯ,ഉംഫിപതിക്
ಉಭಯಚರ ಲಿಪಿಡ್,ആംഫിപതിക് ലിപിഡ്
ಉಚ್ಚಾರೆ,ആംഫിസാർക്ക
ಲೋಕದ,ആമ്പസില്ലിൻ
ಹಲ್ಲು,അമ്പള്ളു
ಶಿರೋಕ್ತಿ ಗ್ರಂಥಿ,മുള്ളറി ഗ്രന്ഥി
ಅಮಿಗ್ಡಾಲ್,ആമിഗ്ഡാൽ
ಬಾಚು,ആമിഗ്ഡേൽ
ಅಮಿಗ್ಲಿನ್,ആമിഗ്ഡാലിൻ
ಮಂಕಾದ,അമിലേസ്
ಅಮಿಲೋಪ್ಲಾಸ್ಟ್,അമിലോപ്ലാസ്റ്റ്
ಅ ೦ ಗಡಿ,അനാബെന
ಹಳ್ಳ,അനബാസ്
ಅನಾಬಲಿನ ​​ಮಾರ್ಗಗಳು,അനാബോളിക് പാത
ಅನಾಬಾಲಿಸಂ,അനാബോളിസം
ಅನಾಕಾರ್ಡಿಯಾಸಿ,അനകാർഡിയേസി
ರಕ್ತಹೀನತೆ,വിളമിയ
ಬಯೆರೋಲೆ,അയ്റോബ്
ಆಮ್ಲಜನವ್ಯಕ್ತಿ,അനാറോബിക് ഇന്ധനം
ಆಮ್ಲಜನವ್ಯಕ್ತಿ,അനാറോബിക് ശ്വസനം
ಆಮ್ಲಜನಕರಹಿತ ಕೆಸರು ಡೈಜೆಸ್ಟರ್,അനാറോബിക് സ്ലഡ്ജ് ഡൈജസ്റ്റർ
ಆಮ್ಲಜನವ್ಯಕ್ತಿ,Anaerobic
ಅನೈಮ,അനൈമ
ಗುದ,മലദ്വാരം
ಗುದ,മലദ്വാരം
ಗುದ ದ್ಯುತಿರಂಧ್ರ,മലദ്വാരം
ಗುದ,അനൽ സെറി
ಗುದ ಲೂಪು,അനൽ ലൂപ്പ്
ಗುದ ಶೈಲಿ,അനൽ ശൈലി
ಹೋಲುವ,അനസ്)
ಹೋಲುವ,അനസ്)
ಸಾದೃಶ್ಯ,അനലോഗി
ಸಾದೃಶ್ಯ,അനലോഗി
ವಿಶ್ಲೇಷಣೆ,വിശകലനം
ಅನಾಫೇಸ್,അനാഫേസ്
ಅಂಗರಚನಾ ತಡೆಗೋಡೆ,Anatomic തടസ്സം
ಅಂಗರಚನಾ ಅಂಶ,ശരീരഘടന
ಅಂಗರಚನಾ ತಜ್ಞ,അനാട്ടമിസ്റ്റ്
ಅಂಗರಚನಾಶಾಸ್ತ್ರ,ശരീരശാസ്തം
ಪೂರ್ವಜರ ವಂಶಸ್ಥ ಅನುಕ್ರಮ,പൂർവ്വികൻ പിൻഗാമിയായ ശ്രേണി
ಪೂರ್ವಜರ ವಂಶ,പൂർവ്വിക വംശജർ
ಪೂರ್ವಜರ ಅನುಕ್ರಮ,പൂർവ്വാവസ്ഥ
ಚಾಚು,ആൻസിലോസ്റ്റമ
ಆಂಡ್ರೊಸಿಯಮ್,ആൻഡ്രോസിയം
Andrಷಧ,ആൻഡ്രോജൻ
ರಕ್ತಹೀನತೆ,വിളമിയ
ವೇಶ್ಯೆ,അനെമോൺ
ಅನೆಲಾಯ್ಡ್,Aneuplogode
ಅನೆಪ್ಲು,അനിയുപ്ലോയിഡി
ಗಂಜಿ,ആഞ്ചിന
ಆಂಗಿಯ ವರ್ಗ,ആൻജിയോഗ്രാം
ಆತಿ,ആഗിരിഗ്രാഫ്
ಆಂಜಿಯಾರಿ ಶಾಸ್ತ್ರ,ആജീദർ
ಆಂಜಿಯೋಪ್ಲಾಸ್ಟಿ,ആൻജിയോപ്ലാസ്റ്റി
ಆಂಗಿಯೋಸ್ಪೆರ್ಮು,അൻജിയോസ്പെർം
ಆಂಜಿಯೋಟೆನ್ಸಿನ್,ആൻജിയോടെൻസിൻ
ಆಂಜಿಯೋಟೆನ್ಸಿನ್ ವಂಶದ,ആൻജിയോടെൻസിനോജെൻ
ಗಾಳಹಾಕಿ ಮೀನು,ആംഗ്ലർ മത്സ്യം
ಗದ್ದೆ,മുതൽക്കുള
ಕುಡಿನೂದಿ,ഉള്ക്കൊണ്ടിൻ
ಪ್ರಾಣಿ,ജന്തു
ಪ್ರಾಣಿ,ജന്തു
ಪ್ರಾಣಿ ಸಗಣಿ,മൃഗം ചാണകം
ಪಶುಸಂಗೋಪನೆ,മൃഗസംരക്ഷണം
ಪ್ರಾಣಿ ಕ್ಯಾರಿಯೋಟೈಪಿಂಗ್,അനിമൽ കരിയട്ടിപ്പിംഗ്
ಪ್ರಾಣಿ ಸಾಮ್ರಾಜ್ಯ,ജന്തു ലോകം
ಪ್ರಾಣಿಗಳ ಅಂಗಾಂಶ,മൃഗങ്ങളുടെ ടിഷ്യു
ಪ್ರಾಣಿ,അദ്ധ്യാപകൻ
ಅಯಾನು,അനിയോൺ
