Hindi,Assamese
कृत्रिम नियंत्रण,কৃত্ৰিম নিয়ন্ত্ৰণ
कृत्रिम बोध,কৃত্ৰিম বুদ্ধিমত্তা
आरोहक,আৰোহী
आरोही छंटाई,আৰোহী সজাই পৰাই তোলা
आस्की वर्णक्रम,ASCII betical ক্ৰম
आस्की नियंत्रण संप्रतीक,ASCII নিয়ন্ত্ৰণ আখৰ
आस्की संचिका,ASCII নথিপত্ৰ
आस्की फॉन्ट,ASCII ফন্ট
आस्की अंतरण,ASCII স্থানান্তৰ
अभिमुखता अनुपात,এস্পেক্ট ৰেচিঅ&#39;
"1. ऐस्पी ,2. ए एस पी आई",এ এছ পি আই
ए एस आर कालद,ASR টাইমাৰ
"1. स्मरांतरण ,2. कोडांतरण ,3. कोडांतर करना",একত্ৰিত কৰা
"1. कोडांतरक ,2. स्मरांतरक",এছেম্বলাৰ
"1. कोडांतरण ,2. स्मरांतरण",সভা
"1. स्मरांतरण भाषा ,2. कोडांतरण भाषा",সমাবেশ ভাষা
निश्चयन,assertion
"1. निर्दिष्ट कार्य ,2. नियतन",আবণ্টন কৰা কাৰ্য
साहचर्य,সংস্থা
साहचर्य पता,সহযোগী ঠিকনা
"1. साहचर्य स्मृति ,2. साहचर्य मेमोरी",সহযোগী স্মৃতিশক্তি
तारक (*का चिन्ह),এস্টেৰিক
असम्मित,অসমতাপূৰ্ণ
"1. अतुल्यकालिक ,2. अतुल्यकाली",এচিনক্ৰ&#39;নাছ
अतुल्यकालिक अंकीय अभिदाता लाइन (एडी एस एल),ডিজিটেল গ্রাহক লাইন (ADSL)
अतुल्यकालिक समय विभाजन बहुसंकेतन (ए टी डी एम),asynchronous সময় বিভাজন মাল্টিপ্লেক্সিং (ATDM)
अतुल्यकालिक अंतरण,এচিনক্ৰ&#39;নাছ স্থানান্তৰ
अतुल्यकालिक अंतरण विधा (ए टी एम),এচিনক্ৰ&#39;নাছ স্থানান্তৰ ধৰণ (ATM)
"1. एटम ,2. परमाण",পৰমাণু
संलग्न प्रलेख,সংলগ্ন নথিপত্ৰ
"1. संलग्न संचिका/मिसिल ,2. संलग्न फाइल",সংলগ্ন ফাইল
"1. संलग्नक ,2. संबंद्ध",সংলগ্নক
"1. गुण ,2. विशेषता",বৈশিষ্ট্য
श्रव्य,অডিঅ&#39;
"1. लेखा परीक्षा क्रमादेशन ,2. लेखा परीक्षा प्रोग्रामन",অডিট প্ৰগ্ৰেমিং
लेखा सत्यापन,অডিট ট্ৰেইল
संवर्धन,বৃদ্ধি কৰা
प्रमाणन प्रोटोकॉल,প্ৰমাণীকৰণ প্ৰটোকল
संलेखन पद्धति,লেখক ব্যৱস্থা
"1. प्राधिकरण ,2. अधिकृति ,3. अधिकरण",অনুমোদন
स्वत: सार,অটো বিমূৰ্ত
"1. स्वतः बूटिंग ,2. स्व बूटन",স্বয়ংক্ৰিয় বুট কৰা
ऑटोकैड (एक कंप्यूटर भाषा),অটোকেড
स्वत: लॉग-ऑन,অটোলগ অন
ऑटोमेटा,automata
आटोमेटा सिद्धांत,automata তত্ত্ব
स्वत: अभिकलन,স্বয়ংক্ৰিয় কম্পিউটিং
स्वत: आंकड़ा प्रक्रमण,স্বয়ংক্ৰিয় তথ্য প্ৰক্ৰিয়াকৰণ
स्वत: त्रुटि संशोधन,স্বয়ংক্ৰিয় ভুল সংশোধন
स्वत: फलन,স্বয়ংক্ৰিয় কাৰ্য্য
"1.  स्वत: सूचकीकरण ,2. स्वत: सूचीकरण",স্বয়ংক্ৰিয় সূচীভুক্তকৰণ
स्वत: संग्रह आह्वान,স্বয়ংক্ৰিয় লাইব্ৰেৰী কল
"1. स्वत: क्रमादेशन ,2. स्वत: प्रोग्रामन",স্বয়ংক্ৰিয় প্ৰগ্ৰেমিং
"1.स्वत: पुन: प्राप्ति क्रमादेश, 2. स्वत: पुन: प्राप्ति प्रोग्राम",স্বয়ংক্ৰিয় পুনৰুদ্ধাৰ প্ৰগ্ৰেম
स्वत: नेमका,স্বয়ংক্ৰিয় ৰুটিন
स्वत: सिस्टम पुन: प्राप्ति,স্বয়ংক্ৰিয় চিস্টেম পুনৰুদ্ধাৰ
"1. स्वत: टेलर मशीन्अ (ए टी एम) ,2.  स्वयं धन निकालने के लिए बैंक की ए.टी.एम)",স্বয়ংক্ৰিয় টেলাৰ মেচিন (ATM)
स्वचालन,অটোমেচন
"1. आटोप्ले ,2. स्वत: चलन",অটোপ্লে
स्वरक्षण,স্বয়ংক্ৰিয় সংৰক্ষণ কৰক
सहायक,সহায়ক
सहायक स्मृति,সহায়ক স্মৃতিশক্তি
सहायक भंडारण,সহায়ক সংৰক্ষণ
उपलब्ध लिस्ट,উপলব্ধ তালিকা
उपलब्ध समय,উপলব্ধ সময়
औसत,গড়
ए डब्ल्यू के (एक कंप्यूटर समादेश),awk (ভাষা)
पश्चांत,বেকএণ্ড
पश्चांत प्रक्रमक,বেকএণ্ড প্ৰচেছৰ
पश्च फलन विलोपन,বেকফেচ আঁতৰোৱা
पृष्ठभूमि प्रक्रमण,পটভূমি প্ৰক্ৰিয়াকৰণ
सहायक भंडार,বেকিং ষ্ট&#39;ৰ
पश्च पैचीकरण,বেকপেচিং
"1. पश्चीयन ,2. बैकस्पेस",বেকস্পেচ
पश्चपथन,পিছুৱাই যোৱা
"1. बैक-अप ,2. पूर्तिकर",বেক-আপ
"1. पूर्तिकर स्मृति ,2. बैक-अप मेमोरी",বেক-আপ মেমৰি
पश्च त्रुटि सुधार,পিছলৈ ত্ৰুটি পুনৰুদ্ধাৰ
(आय-व्यय) तुलन पत्र,বেলেন্স শ্বীট
पट्टी,বেণ্ড
"1. बैंड चौड़आई ,2. बैंड विड्थ/क्षमता",বেণ্ডৰ প্ৰস্থ
बैंकर एल्गोरिथ्म,বেংকাৰৰ এলগৰিদম
"1.बार कूट ,2. बार कोड",বাৰ ক&#39;ড
बार कोड स्कैनर,বাৰ ক&#39;ড স্ক্যানাৰ
बार ग्राफ,বাৰ গ্ৰাফ
आधार पता,ভিত্তি ঠিকনা
आधार बैंड,বেচ বেণ্ড
आधार संख्या,ভিত্তি সংখ্যা
आधार सारणी,ভিত্তি টেবুল
बेसिक (एक कंप्यूटर भाषा),প্ৰাথমিক
"1. मूल नियंत्रण ,2. आधार नियंत्रण",মূল নিয়ন্ত্ৰণ
"1. मूल निवेश ,2. आधारी निवेश",মূল ইনপুট
आधारभूत अनुदेश,মূল নিৰ্দেশনা
आधारी निर्गम,মূল আউটপুট
मूल चरण,মূল পদক্ষেপ
"1. बैच ,2. समूह ,3. प्रचय",বেটছ
"1. बैच फाइल ,2. बैच संचिका",বেচ ফাইল
बैच स्थिति,বেচৰ অৱস্থান
"1. बैच प्रक्रमण ,2. समूह प्रक्रमण",বেচ প্ৰচেছিং
"1. बैच तंत्र ,2. प्रचय तंत्र",বেচ ব্যৱস্থা
बॉड,baud
बॉड दर,বড হাৰ
किरण पुंज,আলোকৰশ্মি
"1. निर्देशमानक ,2. बैचमार्क",বেঞ্চমাৰ্ক
द्विदिश संचार,দ্বিমুখী যোগাযোগ
विदिश कड़ी,দ্বিমুখী সংযোগ
द्विआधारी कूट,বাইনাৰী ক&#39;ড
द्विआधारी अंक,বাইনাৰী অংক
द्विआधारी निवेश निर्गम तंत्र (बायोस),বাইনাৰী ইনপুট আউটপুট চিস্টেম (BIOS)
द्विआधारी संख्या,বাইনাৰী সংখ্যা
द्विआधारी संकारक,বাইনাৰী অপাৰেটৰ
द्विआधारी संबंध,বাইনাৰী সম্পৰ্ক
द्विआधारी खोज,বাইনাৰী সন্ধান
द्विआधारी अन्वेषण तरु (बी एस टी),বাইনাৰী সন্ধান গছ (BST)
"1. द्विआधारी ट्रांसफर तरु ,2. द्विआधारी अंतरण",বাইনাৰী স্থানান্তৰ
द्विआधारी तरु,বাইনাৰী গছ
"1. द्विध्रुवी स्मृति ,2. द्विध्रुवी मेमोरी",বাইপোলাৰ মেম’ৰী
"1. जन्म मरण मॉडल ,2. जन्म मरण निदर्श",জন্ম মৃত্যুৰ আৰ্হি
जन्म मरण प्रक्रम,জন্ম মৃত্যু প্ৰক্ৰিয়া
"1. द्वयंक ,2. बिट",বিট
बिट दोष,বিট দোষ
बिट प्रतिचित्र,বিট মেপ
"1. बिट ,2. प्रतिचित्र ,3. पिक्सेल (बी एम पी)",বিট মেপ পিক্সেল (BMP)
"1. बिट आव्यूह ,2. बिट सारणी",বিট মেট্ৰিক্স
बिट प्रतिरूप,বিট পেটাৰ্ণ
बिट स्थिति,বিটৰ অৱস্থান
"1. बिट रेट ,2. बिट दर",বিট হাৰ
अंध पेटी परीक्षण,ব্লেক বক্স পৰীক্ষা
टिमटिमाना,টিপটিপিয়াই
ब्लॉक,অৱৰুদ্ধ কৰা
"1. खंडक दुतिका, 2. ब्लाक कैश/खंडक स्मृति",ব্লক কেচ
खंडक जांच,ব্লক চেক কৰক
खंड प्रतिलिपि,ব্লক কপি
खंडक आरेख,ব্লক ডায়াগ্ৰাম
"1. अवरोधी नेटवर्क, 2. अवरोधी जालक्रम",নেটৱাৰ্ক ব্লক কৰা
बोर्ड,ব’ৰ্ড
पृष्ठ स्मृति,বুক মাৰ্ক
बूलीय बीजगणित,বুলিয়ান বীজগণিত
बूलीय संबंध,বুলিয়ান সম্পৰ্ক
बूट विभाजन,বুট বিভাজন
बूट स्ट्रैपिंग,বুট ষ্ট্ৰেপিং
1.बूटस्ट्रैप भारक 2. स्वोत्थानी,বুট-ষ্ট্ৰেপ লোডাৰ
"1.ब्रिज, 2. सेतु",সেঁতু
ब्राडबैंड नेटवर्क,ব্ৰডবেণ্ড নেটৱৰ্কিং
प्रसारण,সম্প্ৰচাৰ
प्रसारण रेडियो,সম্প্ৰচাৰ ৰেডিঅ&#39;
(नेट) विचरण,ব্ৰাউজ কৰক
(नेट) विचरक,ব্ৰাউজাৰ
बी-तरु,বি-বৃক্ষ
"1.बुदबुद स्मृति, 2.बबल मेमोरी",বুদবুদ স্মৃতিশক্তি
बुदबुद छंटाी,বুদবুদ সজাই পৰাই তোলা
"1.बाल्टी, 2.बकेट",বাল্টি
"1.बंधुता तंत्र, 2.बडी तंत्र",বন্ধু ব্যৱস্থা
बजट प्रभावी नियंत्रण,বাজেট ফলপ্ৰসূ নিয়ন্ত্ৰণ
बफर,বাফাৰ
दोष,পোক
बस,বাছ
"1.अष्ट वयंक,2. बािट (आठ बिट)",বাইট
बािट कोड,বাইট ক&#39;ড
सी (कंप्यूटर भाषा),গ
"1.सी प्लस प्लस,2.C++(कंप्यूटर भाषा)",C++
"1.कैश,2. द्रुतिका,3.द्रुत",cache
"1.कैश बफर, 2.द्रुतस्मृति बफर",কেশ্ব বাফাৰ
"1.कैश स्मृति, 2.कैश मेमोरी, 3.द्रुत स्मृति",কেশ্ব মেমৰি
परिकलन,গণনা কৰা
"1.कैलकुलेटर, 2.परिकलक",কেলকুলেটৰ
"1.कैलकुलेटर चिप,2. परिकलक चिप",কেলকুলেটৰ চিপ
आह्वान,কল কৰা
नाम आह्वान,নামেৰে ফোন কৰক
संदर्भ आह्वान,ৰেফাৰেন্সৰ দ্বাৰা কল কৰক
मान आह्वान,মূল্যৰ দ্বাৰা কল কৰক
चर आह्वान,চলকৰ দ্বাৰা কল কৰক
आहवान गेट,গেট কল কৰক
"1.निरस्त करना, 2.रद्द करना",বাতিল কৰক
निरसन बटन,বাতিল বুটাম
"1.विहित,2. कैनॉनिकल",canonical
विहित रूप,কেননিক ৰূপ
क्षमता,ক্ষমতা
क्षमता सूची,ক্ষমতা তালিকা
"1.क्षमता,2. धारिता",ক্ষমতা
कैप्स लॉक कुंजी,caps লক চাবি
"1.कार्ड,2. पत्रक",কাৰ্ড
कार्ड पाठक,কাৰ্ড ৰিডাৰ
प्रमुखता,কাৰ্ডিনালিটি
वाहक,বাহক
वाहक बैंड,বাহক বেণ্ড
वाहक भार,বাহক বোজা
वाहक संकेत,বাহক সংকেত
वाहक तरंग,বাহক তৰংগ
हासिल,কঢ়িওৱা
हासिल अंक,carry digit
हासिल ध्वज,পতাকা কঢ়িয়াই নিয়া
"1.काट्रिज डिस्क, 2.काट्रिज चक्रिका",কাৰ্টিজ ডিস্ক
"1.कास्केड, 2.सोपानी",cascade
केस,ঘটনা
कैथोड-रे-टयूब (सी आर टी),কেথড ৰে টিউব (CRT)
कैथोड किरण नलिका (सी. आर. टी.) कैथोड-रे-टयूब,কেথ&#39;ড ৰে টিউব (CRT)
सी डी रॉम डिस्क ड्रािव,CD ROM ডিষ্ক ড্ৰাইভ
सेल,কোষ
सेल एनीमेशन,কোষ এনিমেচন
सेल्युलर फोन,চেলুলাৰ ফোন
"1.केंद्रीय स्मृति,2. केंद्रीय मेमोरी",কেন্দ্ৰীয় স্মৃতিশক্তি
केद्रीय प्रक्रमण एकक (सी पी यू),কেন্দ্ৰীয় প্ৰক্ৰিয়াকৰণ একক (CPU)
केंद्रीकृत तंत्र,কেন্দ্ৰীভূত ব্যৱস্থা
प्रमाणीकृत टेप,প্ৰমাণিত টেপ
श्रृंखला,শিকলি
"1.श्रृंखला आंकड़ा, 2.श्रृंखला सामग्री",শৃংখল তথ্য
श्रृंखला कड़ी,শৃংখল সংযোগ
श्रृंखलन,চেইনিং
"1.प्रणाल, 2.चैनल",চেনেল
"1.प्रणाल व्यस्त टोन, 2.चैनल व्यस्त टोन",চেনেল ব্যস্ত সুৰ
"1.प्रणाल क्षमता, 2.चैनल क्षमता",চেনেলৰ ক্ষমতা
"1.प्रणाल नियंत्रक, 2.चैनल नियंत्रक",চেনেল নিয়ন্ত্ৰক
"1.प्रणाल त्रुटि, 2.चैनल त्रुटि",চেনেলৰ ভুল
"1.चैनल कार्यक्रम, 2.चैनल प्रोग्राम",চেনেল প্ৰগ্ৰেম
"1.प्रणाल विश्वसनीयता, 2.चैनल विश्वसनीयता",চেনেলৰ নিৰ্ভৰযোগ্যতা
"1.प्रणाल समुच्चय, 2.चैनल समुच्चय",চেনেল ছেট
संप्रतीक,চৰিত্ৰ
"1.संप्रतीक कूट,2. संप्रतीक कोड",আখৰৰ ক&#39;ড
संप्रतीक कुंजी,আখৰৰ চাবি
संप्रतीक पाठक,চৰিত্ৰ পাঠক
"1.संप्रतीक सािज, 2.संप्रतीक आमाप",আখৰৰ আকাৰ
संचित्र,তালিকা
"1.न्याधार, 2.चैसिस",চেছিছ
जाँच बिट,বিট পৰীক্ষা কৰক
जाँच अंक,ডিজিট পৰীক্ষা কৰক
जाँच योग,ৰাশি পৰীক্ষা কৰক
जाँच शब्द,শব্দ পৰীক্ষা কৰক
चिप,চিপ
चिप सेट,চিপ চেট
"1.चुनना, 2.चयन",বাছনি কৰক
वर्णिक रूप से,ৰঙীনভাৱে
"1.सािफर,2. शून्य,3. सीफर",চাইফাৰ
परिपथ,বৰ্তনী
वर्तुल सूची,বৃত্তাকাৰ তালিকা
सायरस,cirus
उल्लेख,উদ্ধৃতি
"1.श्रेणी, 2.वर्ग",শ্ৰেণী
वर्ग चर,ক্লাছ ভেৰিয়েবল
वर्गीकरण,শ্ৰেণীবিভাজন
अपमार्जन,পৰিষ্কাৰ
अपमार्जित क्षेत्र,স্পষ্ট এলেকা
"1.अपमार्जित प्रणाली, 2.अपमार्जित चैनल",ক্লিয়াৰ চেনেল
दबाना,ক্লিক কৰক
"1.ग्राहक,2. क्लाइट",গ্ৰাহক
"1.ग्राहक परिसेवक, 2.ग्राहक सर्वर",ক্লাএন্ট চাৰ্ভাৰ
ग्राहक स्टब,ক্লায়েন্ট ষ্টাব
कर्तन कला,ক্লিপ আৰ্ট
कर्तन कला पुस्तकालय,ক্লিপ আৰ্ট লাইব্ৰেৰী
क्लिप बोर्ड,ক্লিপ বৰ্ড
क्लिपर,ক্লিপাৰ
क्लिपर चिप,ক্লিপাৰ চিপ
गुट,ক্লিক
"1.घड़ी,2. कालद",ঘড়ী
कालद चक्र,ঘড়ীৰ চক্ৰ
कालद आवृत्ति,ঘড়ীৰ কম্পাঙ্ক
कालद हार्डवेयर,ঘড়ী হাৰ্ডৱেৰ
कालद स्पंद,ঘড়ীৰ স্পন্দন
कालद गति,ঘড়ীৰ গতি
कालद तुल्यकालन,ঘড়ী সমন্বয়
कालद टिक,ঘড়ীৰ টিক
क्लोन,ক্ল&#39;ন
बंद,বন্ধ
संवृत परिपथ टी.वी. (सी.सी.टी.वी.),ক্ল&#39;জ চাৰ্কিট টিভি (CCTV)
संवरण,বন্ধ কৰা
"1.मेघाभिकलन,2.क्लाुड कंप्यूटिंग",ক্লাউড কম্পিউটিং
गुच्छ,গুচ্ছ
"1.विलेपित कार्ड,2. विलेपित पत्रक",আৱৰণযুক্ত কাৰ্ড
लेपित कागज,আৱৰণযুক্ত কাগজ
समाक्षीय,সমাক্ষীয়
समाक्ष केबल,সমাক্ষীয় কেবল
कोडासिल,কোডাচাইল
"1.कूट, 2.कोड",ক&#39;ড
"1.कूट जनक,2. कोड जनक",ক&#39;ড জেনেৰেটৰ
कूट पृष्ठ,ক&#39;ড পৃষ্ঠা
"1.कूट शब्द, 2.कोड शब्द",ক&#39;ড শব্দ
"1.कोडर, 2.कूटक",ক&#39;ডাৰ
"1.कूट लेखन जाँच, 2. कोडन जाँच",ক&#39;ডিং পৰীক্ষা
कूट लेखन रूप,ক&#39;ডিং ফৰ্ম
"1.कूटलेखन पत्र, 2. कोडन शीट",ক&#39;ডিং শ্বীট
गुणांक,সহগ
ससंजन,সংহতি
"1.शीत बूट, 2.शीत प्रारंभ",ঠাণ্ডা বুট
शीत प्रारंभ,ঠাণ্ডা আৰম্ভণি
सहयोग,সহযোগিতা
निपात,পতন হোৱা
"1.परिमिलन, 2.समानुक्रमित करना",collate
"1.समानुक्रमित टेप,2. कालेट टेप",টেপ কোলেট কৰক
टक्कर,সংঘৰ্ষ
कोलन,বৃহদান্ত্ৰ
"1.वर्ण, 2.रंग",ৰং (ৰং)
रंग संतृप्ति,ৰঙৰ পৰিপূৰকতা
रंग सारणी,ৰঙৰ টেবুল
स्तंभ,স্তম্ভ
संयोजन,সংমিশ্ৰণ
समिश्र पेटी,কম্বো বক্স
"1.समादेश, 2.कमांड",আদেশ
समादेश बटन,কমাণ্ড বুটাম
समादेश सूची,কমাণ্ড তালিকা
टिप्पणी,মন্তব্য
