Odiya,Telugu
ଏସିଟାବୁଲମ୍,ఎసిటాబులం
ACTalDeyDee,ఎసిటాల్డిహైడ్
ACETIL କୋଏନୋଜିମ୍ |,ఎసిటైల్ కోఎంజైమ్
ଆଖିନିନା |,అచతినా
ଅହିଯାଉଥିବା ପ୍ରକାର |,అచెనే రకం
ଅହିଯେ,అచెన్
ଅଖ୍ଲଣିଡୋସପୋରିଆ |,అచ్లామిడోస్పోరే
ଅମ୍ଳ ବର୍ଷା,ఆమ్ల వర్షము
ଅମ୍ଳୀୟ,ఆమ్ల
ଅମ୍ଳୀୟ ଗ୍ୟାସ୍ |,ఆమ్ల వాయువు
ଅମ୍ଳତା,ఆమ్లత్వం
ଆଖର ସେଲ୍ |,అసినార్ సెల్
ଆକ୍ୱେମିଲେଟ୍ |,Acoelomate
ଆକୋନିଟମ୍,అకోనిటమ్
ଆକ୍ୟୁନ୍ ପୋକ |,ఎకార్న్ పురుగు
ଆକାଶବାଣୀ ଜୋନିଂ |,ఎకౌస్టిక్ జోనింగ్
ଅର୍ଜନ ବର୍ଣ୍ଣ,సంపాదించిన పాత్ర
ଅଜାଣତର କାରଣ,రోగనిరోధక శక్తిని సంపాదించింది
ଇମ୍ପୁନାଓ ଅଭାବ ସିଣ୍ଡ୍ରୋମ (ଏଡସ୍) ହାସଲ କରିଛି |,ఇమ్యునో లోపం (AIDS)
ଅକାନିଆ,అక్రినియా
ଆକ୍ରିଡାଇନ୍ ରଙ୍ଗ,యాక్రిడిన్ డై
ଆକ୍ରୋସେଣ୍ଟ୍ରିକ୍ |,అక్రోసెంట్రిక్
ଆକ୍ରୋମିଅନ୍ |,అక్రోమియన్
ଆକ୍ରୋପେଟାଲ୍ କ୍ରମ |,అక్రోపెటల్ సీక్వెన్స్
ଆକ୍ରୋପେଟାଲ୍ କ୍ରମ |,అక్రోపెటల్ ఆర్డర్
ଆକ୍ରୋସିନ୍ |,అక్రోసిన్
ଆକ୍ଟିନ୍ |,ఆక్టిన్
ଆକ୍ଟିନ୍-ପ୍ରୋଟିନ୍ |,ఆక్టిన్ లాంటి ప్రోటీన్
ଆକ୍ଟିନୋମୋରଫିକ୍ଫିକ୍ |,ఆక్టినోమోర్ఫిక్
ଆକ୍ଟିନୋମିସେସିସ୍ |,ఆక్టినోమైసెట్స్
କାର୍ଯ୍ୟ ସମ୍ଭାବନା,చర్య సామర్థ్యం
ସକ୍ରିୟ ସ୍ଲେଜ୍ |,సక్రియం చేయబడిన బురద
ସକ୍ରିୟ ସ୍ଲେଜ୍ ଫ୍ଲୋକ |,సక్రియం చేయబడిన బురద ఫ్లోక్
ସକ୍ରିୟ ଶକ୍ତି,యాక్టివేషన్ ఎనర్జీ
ସକ୍ରିୟ ଶୋଷଣ,క్రియాశీల శోషణ
ସକ୍ରିୟ ପ୍ରତିରୋଧକତା |,క్రియాశీల రోగనిరోధక శక్తి
ସକ୍ରିୟ ବିକିରଣ |,క్రియాశీల రేడియేషన్
ସକ୍ରିୟ ସାଇଟ୍,క్రియాశీల సైట్
କାର୍ଯ୍ୟକର୍ତ୍ତା,యాక్టివిన్
ଆକ୍ରମିନେଟ୍ |,అక్యూమినేట్
ଆଡାମାସିଆ |,ఆడమియా
ଅନୁକେତ,అనుకూలత
ଆଡାପ୍ଟେସନ୍,అనుసరణ
ହାଲୁକା ଶାସନ ପାଇଁ ଆଡାପ୍ଟେସନ୍ |,కాంతి పాలనకు అనుసరణ
ଜଳ ଅଭାବରୁ ଆଡାପ୍ଟେସନ୍ |,నీటి కొరతకు అనుసరణ
ଆଡାପ୍ଟିଭ୍ ବ characteristics ଶିଷ୍ଟ୍ୟଗୁଡିକ |,అనుకూల లక్షణాలు
ଆଡାପ୍ଟିଭ୍ ଇନମୁନିଟି |,అనుకూల రోగనిరోధక శక్తి
ଆଡାପ୍ଟିଭ୍ ବିକିରଣ |,అడాప్టివ్ రేడియేషన్
ଆଡାପ୍ଟିଭ୍ ଗୁଣ |,అనుకూల లక్షణం
ଆଡକ୍ସିଆଲ୍ ଭୂପୃଷ୍ଠ |,అడాక్సియల్ ఉపరితలం
ନିଶା ବ୍ୟାଧି |,వ్యసనపరుడైన రుగ్మత
ଆଡେନିନ୍,అడెనిన్
ଆଡେନୋକର୍ଟିକୋଟ୍ରୋପିନ୍ |,అడెనోకార్టికోట్రోపిన్
Adenehiopophisisisis,అడెనోహైపోఫిసిస్
ଆଡେନୋଜିନ୍ ଡିଫୋସେଫେଟ୍ |,అడెనోసిన్ డిఫాస్ఫేట్
ଆଡେନୁସିନ୍ ତ୍ୟାଗ କର |,అడెనోసిన్ డీమినేస్
ଆଡେନୁସିନ୍ ମୋନୋଫୋସଫେଟ୍ |,అడెనోసిన్ మోనోఫాస్ఫేట్
ଆଡେନୁସିନ୍ ଟ୍ରିପ୍ଫେଟ୍ (ATP),గ్రంధి ముడతలు
ଆଡେନିଲେଟ୍ ସାଇକ୍ଲାଜିନ୍ |,అడెనిలేట్ సైక్లేస్
ଆଡେସିଭ୍ ଫୋର୍ସ |,అంటుకునే శక్తి
ଆଡିପେଟ୍ କରନ୍ତୁ |,అడిపేట్
Adipocyte (ଫ୍ୟାଟ୍ ସେଲ୍),కొవ్వు పెండినవి
ସିସ୍ୟୁଜ୍ ଟିସୁ |,కొవ్వు కణజాలము
ଆଡନେଟ୍ |,Adnate
ସଂଲଗ୍ନ ସମ୍ପ୍ରଦାୟର |,ప్రక్కనే ఉన్న సంఘం
ଆଡ୍ରେନାଲ୍,అడ్రినల్
ଆଡ୍ରେନାଲ୍ ଗ୍ରନ୍ଥି |,అడ్రినల్ గ్రంథి
ଆଡ୍ରେନିକୋ ବୋଟ୍ରୋପିକ୍ ହରମୋନ୍ (ACTH),ఎడ్రినల్ గ్రంథి
ଆଡ୍ରେନାକର୍ଟିକୋଟ୍ରପିକ୍ ରିଲିଜ୍ ହରମୋନ୍ (ACTRH),ఎడ్రినల్ గ్రంథి యొక్క విడుదల హార్మోన్
ଆଡସରବେଣ୍ଟ,Adsorbent
ଆଡେର୍ସନ୍,శోషణ
ଉନ୍ନତ ମୂଲ୍ୟ |,అధునాతన కార్డేట్
ଲାଭଦାୟକ ଗଣିତ |,ప్రయోజనకరమైన మ్యుటేషన్
ଦୁ vent ସାହସିକ କାର୍ଯ୍ୟ |,అడ్వెసిషియల్
ଖରାପ ମୂଳ,సాహసోపేతమైన రూట్
ପ୍ରତିକୂଳ ପ୍ରଭାବ,ప్రతికూల ప్రభావం
AED ଗୁଡିକ,AEDES
ସଂସ୍କୃତିର ଆରେସନ୍,సంస్కృతి వాయువు
ଆତଙ୍କିତାମା |,ఏరెన్చైమా
ବାୟୁ,ఆకాశయాన
ବାୟୁଏଟ୍ ମୂଳ |,వైమానిక రూట్
ଏରିଲ୍ ସୁଟ୍ |,వైమానిక షూట్
ଏରୋବିକ୍ ଶ୍ iration ଗଡା |,ఏరోబిక్ శ్వాసక్రియ
ଏରୋବିକ୍ ଶ୍ iration ଗଡା |,ఏరోబిక్ శ్వాసక్రియ
ସ est ନ୍ଦର୍ଯ୍ୟ,సౌందర్యం
ବାୟେ,ఎస్టివేషన్
ବାୟେ,ఎస్టివేషన్
ବିଶଙ୍ଗ,అనుబంధ
ଆଫିନିଟି କ୍ରୋମାଟୋଗ୍ରାଫି |,అనుబంధ క్రోమాటోగ్రఫీ
ଅଙ୍ଗପ୍ରତ୍ୟଙ୍ଗ ଅଙ୍ଗ |,బాధిత అవయవం
ଆଗ ଶତ୍ରୁମାନଙ୍କର,అటవీ నిర్మూలన
ଆଗାମୋପର୍ମୀ |,అగామోస్పెర్మీ
ଅଗର,అగర్
ଆଗ୍ରୋଜ୍,అగరోస్
ଆଗାରୋସ୍ ଗେଲ୍ ଇଟ୍ରୋଫୋରସ୍ |,అగరోస్ జెల్ ఎలెట్రోఫోరేసిస్
ଆର୍ଗ୍ରୋଜ ପଲିମର ଜେଲ୍ |,అగరోస్ పాలిమర్ జెల్
ଆଗିଷ୍ଟ,అగాస్ట్
ଆଗେଭ୍,కిత్తలి
ବୟସ ବଣ୍ଟନ |,వయస్సు పంపిణీ
ବୟସ ପିରାମିଡ୍ |,వయస్సు పిరమిడ్
Agglutination,సంకలనం
ସମୁଦାୟ,మొత్తం
ଫୋଲିକଲିକ୍ ର ସମୁଦାୟ |,ఫోలికల్ యొక్క మొత్తం
ଫୋଲିକଲିକ୍ ର ସମୁଦାୟ |,ఫోలికల్ యొక్క మొత్తం
ମିଳନ,సమూహనం
ଆକ୍ରମଣାତ୍ମକତା,దూకుడు
Agiitor ତନ୍ତ୍ର,ఆందోళన వ్యవస్థ
ଆଗନାଥା,అగ్నాథ
ଆଗାଉଟି,అగౌటి
ଆଗ୍ରାନାଲ କ୍ଲୋରୋପ୍ଲାଷ୍ଟ |,అగ్రనాల్ క్లోరోప్లాస్ట్
ଆଗ୍ରାନୁଲାର୍,అగ్రన్యులర్
ଆଗ୍ରାନୁଲୋସେଟେଟ୍ |,అగ్రనులోసైట్
କୃଷି,వ్యవసాయం
Agroftry,అగ్రోఫారెస్ట్రీ
Agrobacterium ମଧ୍ୟସ୍ଥି |,అగ్రోబాక్టీరియం మధ్యవర్తిత్వం
Agrobacterium tumfacienss |,అగ్రోబాక్టీరియం ట్యూమెఫేసియన్స్
ଆଗ୍ରୋକେମିକାଲ୍ |,వ్యవసాయ రసాయన
ଆଗ୍ରୋକେମିକାଲ୍ |,వ్యవసాయ రసాయన
Agrovillatatic ଜୋନ୍ |,అగ్రోక్లిమాటిక్ జోన్
କ agnownom ଣସି ଗୁଣଗତ ଗୁଣ |,వ్యవసాయ లక్షణం
କିରେନୋନୋମ୍ବନ,వ్యవసాయ శాస్త్రం
ଏଡଡ୍ସ,ఎయిడ్స్
ଏୟାର ବ୍ଲାଡର |,గాలి మూత్రాశయం
ଶିତତାପ ନିୟନ୍ତ୍ରଣକାରି,వాతానుకూలీన యంత్రము
ବାୟୁ ପାସ୍ |,గాలి మార్గం
ବାୟୁ ପ୍ରଦୂଷଣ,వాయుకాలుష్యం
ଏୟାର ଥଳି,ఎయిర్ శాక్
ବାୟୁ ଶୂନ୍ୟ,ఎయిర్ వాక్యూల్
ବାୟୁ ନିଶ୍ୱାସ ନେବା |,గాలి-శ్వాస
ଅଲିନ୍ |,అలైన్
ଆଲେରୀ ମାଂସପେଶୀ |,అలారి కండరం
ଆଲାସ୍କାନ୍ ବ୍ରାଉନ୍ ଭାଲୁ |,అలాస్కాన్ బ్రౌన్ బేర్
ଆଲବିନୋ |,అల్బినో
ଆଲବୁଗୋ |,అల్బుగో
ଆଲବମିନ |,అల్బుమిన్
ଆଲବମିନସ୍ ବିହନ |,అల్బుమినస్ సీడ్
ଆଲବୁମିନିରିଆ |,అల్బుమినూరియా
ଆଲବର୍ନମ୍,అల్బర్నమ్
ଆଲେଡା,ఆల్కే
ଆଲଡେହେଡି,ఆల్డెహీడ్
ଆଲଡୋଷ୍ଟେରନ୍ ସିଷ୍ଟମ୍ |,ఆల్డోస్టెరాన్ వ్యవస్థ
ଆଲଡୋଷ୍ଟେରୋନ୍ |,ఆల్డోస్టెరాన్
ଆଲେରୋନ୍ ସ୍ତର |,అల్యూరోన్ పొర
ଆଲେରୋପ୍ଲେଷ୍ଟ |,అల్యూరోప్లాస్ట్
Alfalfa,అల్ఫాల్ఫా
ଆଲଗାଲ୍ ଫୁଲ |,ఆల్గల్ బ్లూమ్
ଅପଗନ୍,అల్జీన్
ଏଲିଏନ୍ ଡିଏନ୍,గ్రహాంతర DNA
ଏଲିଏନ୍ ପ୍ରଜାତି |,గ్రహాంతర జాతులు
ପରିଚାଳିତ,అమరిక
ପରିଚାଳିତ,అమరిక
ଆଲିମେଣ୍ଟେରି କେନାଲ୍ |,అలిమెంటరీ కెనాల్
ଆଲିମେଣ୍ଟାରୀ ସିଷ୍ଟମ୍ |,అలిమెంటరీ సిస్టమ్
ଆଲି ବ୍ୟଞ୍ଜସେମେସେସ୍ |,అలిస్మాసిస్
ଆଲକାଲାଇଡ୍ |,ఆల్కలాయిడ్
କ୍ଷାରିକ |,ఆల్కలీన్
ଅଲକାପଟୋନେର୍ଜିଆ,అల్కాప్టోటోరియా
ଆଲାନ୍ସିଟ୍,అల్లాంటోయిస్
ଆଲେଲେ ଫ୍ରିକ୍ୱେନ୍ସି |,యుగ్మ వికల్ప ఫ్రీక్వెన్సీ
ଆହେଲେ |,యుగ్మ వికల్పం
ଆଲୋଲେମୋମିକ୍ ଯୋଡି |,అల్లెలోమోర్ఫిక్ జత
ଆଲ୍ରେଜେନ |,అలెర్జీ
ଆଲିଗେଟର୍ |,ఎలిగేటర్
ଅସ୍ତ୍ରଶିୟ୍ ସେପୁ,అల్లియం సెపా
ଆଲଗଲାମି |,అయోగాగమి
ଆଲିଗ୍ରାଫ୍ଟ |,అల్లోగ్రాఫ్ట్
ଆଲପ୍ପାଟ୍ରିକ୍ ଯଥାର୍ଥ |,అల్లోపాట్రిక్ స్పెసియేషన్
ଆଲୋପୋଲିଆପ୍ଲଏଡ୍ |,అల్లోపాలిప్లోయిడ్
ଆଲିସ୍ମିକ ପ୍ରଭାବ,అలోస్టెరిక్ ప్రభావం
ଆଲିଶୋରଙ୍କ ଏନଜାଇମ୍ |,అలోస్టెరిక్ ఎంజైమ్
ଆଲିସ୍ଟର ଇନହିବିଟର୍ |,అలోస్టెరిక్ ఇన్హిబిటర్
ଆଲିସ୍ମିକ ମୋଡୁଲେସନ୍ |,అలోస్టెరిక్ మాడ్యులేషన్
ଆଲିସର୍ଏଣ୍ଟିକ୍ ସାଇଟ୍ |,అలోస్టెరిక్ సైట్
ଆଲିସ୍ଟର ପ୍ରତିବନ୍ଧକ |,అలోస్టెరిక్ నిరోధం
Allototreplid,అలోటెట్రాప్లాయిడ్
Alnus,ఆల్నస్
ଆଲୋ,కలబంద
ଆକ୍ସନ୍ ସହିତ |,ఆక్సాన్ వెంట
ଆଲଫା-ଆଣ୍ଟିକ୍ରିପ୍ସିନ୍ |,ఆల్ఫా-యాంటిట్రిప్సిన్
ଆଲଫା-ଲାକ୍ଟାଲବ୍ୟୁମିନ୍ |,ఆల్ఫా-లాక్టల్బ్యూమిన్
ଆଲପାଇନ୍ ଜଳବାୟୁ ଅବସ୍ଥା |,ఆల్పైన్ వాతావరణ పరిస్థితి
ଆଲପାଇନ୍ ମଟର |,ఆల్పైన్ మేడో
ଆଲପାଇନ୍ ଜୋନ୍,ఆల్పైన్ జోన్
ଆଲଷ୍ଟୋନିଆ,ఆల్స్టోనియా
ସର୍ବୋଚ୍ଚame,ఆల్టర్నేరియా
ବିକଳ୍ପ,ప్రత్యామ్నాయ
ପି generation ଼ିର ବିକଳ୍ପ,తరం యొక్క ప్రత్యామ్నాయం
ଉଚ୍ଚତା ରୋଗ,ఎత్తు రుగ్మత
ଉଚ୍ଚତା,ఎత్తు
ଆଲଭୋଲାର୍ ନଳୀ |,అల్వియోలార్ డక్ట్
Aytes,అలిట్స్
ଅଲଜାଇମର ରୋଗ |,అల్జీమర్స్ వ్యాధి
ଆମାକରାଇନ୍ ସେଲ୍ |,అమాక్రిన్ సెల్
ଅମରନ୍ତାସିଦା |,అమరాంతేసి
ଅମରାନ୍ତିନ |,అమరాంథస్
ପରିବେଶ ଓସମାଟିକ୍ ଏକାଗ୍ରତା |,పరిసర ఓస్మోటిక్ గా ration త
ଅମ୍ବିଷ୍ଟୋମା |,అంబిస్టోమా
ବନ୍ଧୁତ୍ୱ,అమైడ్
ଆମିନୋ ଏସିଡ୍ |,అమైనో ఆమ్లం
ଆମିନୋ ଏସିଡ୍ ଗ୍ରହଣକାରୀ |,అమైనో యాసిడ్ అంగీకారం
AminoicaL t rna syntHetase |,అమైన్‌లాకారి
ଆମିନୋଫାଇସନ୍ |,అమైనోఅసిలేషన్
ଅମିତୋସାଇସ୍ |,అమిటోసిస్
ଆମୋନିଆ,అమ్మోనియా
ଆମୋନିଫିକେଟ୍,అమ్మోనిఫికేషన్
ଆମାମୋଟେଲ୍ଜିମ୍ |,అమ్మోనోటెలిజం
ଆମନିଓସେଣ୍ଟେସିସ୍ |,అమ్నియోసెంటెసిస్
ଆମନିଓସେଣ୍ଟେଟିସ୍ କ techni ଶଳ |,అమ్నియోసెంటెసిస్ టెక్నిక్
ଆମନିଓକେଟ୍ |,అమ్నియోసైట్
ଆମନିଅନ୍,అమ్నియోన్
ଆମନିଓଟିକ୍ ଫ୍ଲୁଇଡ୍ |,అమ్నియోటిక్ ద్రవం
ଆମନିଓଟିକ୍ ମେମ୍ବ୍ରେନ୍ |,అమ్నియోటిక్ పొర
ଆମନିଓଟିକ୍ ଥଳି |,అమ్నియోటిక్ శాక్
ଆମୋବା,అమీబా
ଆମୋବାଇଟିଟ୍ |,అమీబోసైట్
ଆମୋବିଏଡ୍,అమీబాయిడ్
ଆମୋବିଏଡ୍ ଲିମ୍ଫୋସିଟିଟ୍ |,అమీబోయిడ్ లింఫోసైట్
ଆମୋବିଏଡ୍ ଆନ୍ଦୋଳନ |,అమీబోయిడ్ కదలిక
ଆମୋରଫସ୍ |,నిరాకార
ପରିମାଣ,మొత్తం
ଆମ୍ଫେଟାମାଇନ୍ |,యాంఫేటమిన్
ଆମ୍ଫିବିଆ,ఉభయచర
ଆମ୍ଫିବିଆନ୍,ఉభయచర
ଆମ୍ଫିବିଆନ୍,ఉభయచర
ଆମ୍ଫାଇଓକ୍ସସ୍ |,యాంఫియోక్సస్
ଆମ୍ଫାଇଓକ୍ସସ୍ ଲାନସୋପାଟସ୍ |,యాంఫియోక్సస్ లాన్సోలాటస్
ଆମ୍ଫିସିଚିକ୍ |,యాంఫిపతిక్
ଆମ୍ଫିପିଟିକ୍ ଲିପିଡ୍ |,యాంఫిపతిక్ లిపిడ్
ଆମ୍ଫାଇସାର୍କା |,యాంఫిసార్కా
Ampicilillin,ఆంపిసిలిన్
ଅମପୁଲାଲା |,అంపుల్లా
ଆମପୁଲାରୀ ଗ୍ରନ୍ଥି |,అంపల్లరీ గ్రంథి
ଆମିଜିଡାଲ୍ |,అమిగ్డాల్
ଆମିଗଡାଲେ |,అమిగ్డేల్
ଆମିଗାଡାଲିନ୍ |,అమిగ్డాలిన్
ଆମିଲେଜ୍,అమిలేస్
ଆମିଏଲପ୍ଲାଷ୍ଟ |,అమిలోప్లాస్ట్
ଅବାନା,అనాబెనా
ଅରବା,అనాబాస్
ଆନାବୋଲିକ୍ ପଥ |,అనాబాలిక్ మార్గాలు
ଆନାବୋଲିଜିମ୍ |,అనాబాలిజం
ଆନାଚାର୍ଡସିଆନା |,అనాకార్డియాసి
ରକ୍ତଦାତା,రక్తహీనత
ଆନାରୋବେ |,Anaerobe
ଆନାରୋବିକ୍ ଇନ୍ଧନ |,వాయురహిత ఇంధనం
ଆନାରକୋବର ଶ୍ iration ାସକ୍ରିୟା |,వాయురహిత శ్వాసక్రియ
ଆନାରୋବିକ୍ ରୋକ୍ଲିଜ୍ ଡିଜିଟର୍ |,వాయురహిత బురద డైజెస్టర్
ଆନାରକୋବର |,Anaerobic
ଆନିମା,అనైమా
ଆନାଲ୍,ఆసన
ଆନାଲ୍,ఆసన
ଆନାଲ୍ ଆପେଚର |,ఆసన ఎపర్చరు
ଆନାଲ୍ ccor,అనల్ సెర్సీ
ଆନାଲ୍ ଲୁପ୍ |,అనల్ లూప్
ଆନାଲ୍ ଶ style ଳୀ,ఆసన శైలి
ଅନୁରୂପ,సారూప్యత
ଅନୁରୂପ,సారూప్యత
ଆନାଲୋଜି,సారూప్యత
ଆନାଲୋଜି,సారూప్యత
ବିଶ୍ଳେଷଣ |,విశ్లేషణ
ଅଯାସୀ,అనాఫేస్
ଆନାଟୋମିକ୍ ପ୍ରତିବନ୍ଧକ |,శరీర నిర్మాణ అవరోధం
ଆନାଟୋମିକାଲ୍ ଦିଗ |,శరీర నిర్మాణ అంశం
Anatomist-,శరీర నిర్మాణ శాస్త్రవేత్త
ଆନାଟୋମି |,శరీర నిర్మాణ శాస్త్రం
ପିତୃପୁରୁଷ ବଂଶର କ୍ରମ |,పూర్వీకుల వారసుడు క్రమం
ପ ancest ତୃକ ରେଖା |,పూర్వీకుల వంశం
ପ ancest ତୃକ କ୍ରମ |,పూర్వీకుల క్రమం
ଏକସେଲୋସୋମା |,అన్సైలోస్టోమా
ଆଣ୍ଡ୍ରୋକିୟମ୍ |,ఆండ్రోసియం
ଆଣ୍ଡ୍ରୋଜେନ |,ఆండ్రోజెన్
ରକ୍ତଦାତା,రక్తహీనత
ଆନିମୋନ୍ |,ఎనిమోన్
ଆନୁପ୍ଲଏଡ୍ |,అనూప్లోయిడ్
ଆନୁପ୍ଲୋଡି,అనూప్లోయిడి
ଆଞ୍ଜିନା,ఆంజినా
ଆଞ୍ଜିୟରମ୍ |,యాంజియోగ్రామ్
ଆଙ୍ଗିଓଗ୍ରାଗ୍,యాంజియోగ్రాఫ్
ଆଙ୍ଗିଓଗ୍ରାଫି |,యాంజియోగ్రఫీ
An anivoplasty,యాంజియోప్లాస్టీ
ଅଙ୍ଗୁଳି ପାରସ୍ପରିକ,యాంజియోస్పెర్మ్
Anigiotensin |,యాంజియోటెన్సిన్
ଆଙ୍ଗିଓଟେନିନୋଜେନ |,యాంజియోటెన్సినోజెన్
ଅଙ୍ଗର ମାଛ |,జాలరి చేప
ଆଞ୍ଜୁଆନା,అంగునా
ଆଙ୍ଗୁଠି,అంగుయిస్
ପଶୁ,జంతువు
ପଶୁ,జంతువు
ପଶୁ ଗୋବର,జంతువుల పేడ
ପଶୁ କୁମ୍ଭାରୀ,పశుసంరక్షణ
ପଶୁ କାରିଟାଇପିଂ |,జంతువుల కార్యోటైపింగ్
ପଶୁ ରାଜ୍ୟ,జంతు సామ్రాజ్యం
ପଶୁ ଟିସୁ |,జంతువుల కణజాలం
ପଶୁ,యానిమాలియా
ଆନାୟଣ,అయాన్
ଆନିସୋଟ୍ରୋପିକ୍ ବ୍ୟାଣ୍ଡ |,అనిసోట్రోపిక్ బ్యాండ్
ଆନାଲିଟିଂ,ఎనియలింగ్
Annleled,అన్నెలిడ్
ଆଙ୍କିଲଦା |,అన్నెలిడా
ବାର୍ଷିକ ରିଙ୍ଗ |,వార్షిక రింగ్
ପୁର୍ଣ୍ଣିକ,యాన్యులేటెడ్
ନିନ୍ଦା,యాన్యుల్
ଆନୋମାଲିୟ ପ୍ରକାର |,క్రమరహిత రకం
ଅଧପତ୍ର,అనోఫిల్స్
ପିମ୍ପୁଡ଼ି ଭୋଜନକାରୀ,చీమ తినేవాడు
ବିରୋଧୀ |,విరోధి
ଅପବିତ୍ର,అంటార్కిటిక్
ଆଣ୍ଟେନା |,యాంటెన్నా
ଆଣ୍ଟେନା କମ୍ପ୍ଲେକ୍ସ |,యాంటెన్నా కాంప్లెక్స్
ଆଣ୍ଟେନାଲ୍ ଗ୍ରନ୍ଥି |,యాంటెనల్ గ్రంథి
ଆଣ୍ଟରିଅର୍ (ଭେଣ୍ଟ୍ରାଲ୍) ଧୂସର ଶିଙ୍ଗ |,ముందరి (వెంట్రల్) బూడిద కొమ్ము
ଆଣ୍ଟ୍ଟରର ହାଇପୋଫାଇସିସ୍ |,పూర్వ హైపోఫిసిస్
ପୂର୍ବର ସେଣ୍ଟ୍ରଭେଷ୍ଟ୍ରିକୁଲାର୍ ସଲ୍କସ୍ |,పూర్వ జోక్య సల్కస్
ଅଙ୍କନ,Anther
ଆନାଥନ୍ ସଂସ୍କୃତି,పూర్వ సంస్కృతి
ଆନିଚାଇଡିୟମ୍ |,ఆంథెరిడియం
ଆନ୍ଥ୍ରୋଜଏଡ୍ |,అంటెరోజాయిడ్
ଆନ୍ଥୋକେସୋସ୍ |,ఆంథోసెరోస్
ଆନ୍ଫୋସିଆରୋଟୋସିଡା |,ఆంథోసెరోటోప్సిడా
ଆନ୍ଥ୍ରାକ୍ସ |,ఆంత్రాక్స్
ଆନ୍ଥ୍ରୋପେନିକ୍ ବିଲୁପ୍ତ |,మానవ అంతరించిపోవడం
ଆନ୍ଥ୍ରୋପୋଲୋଜି |,మానవ శాస్త్రం
ଆଣ୍ଟିବଜାର କଟୁ,యాంటీ బాక్టీరియల్
ଆଣ୍ଟିବାୟୋଟିକ୍ ପେନିସିଲିନ୍ |,యాంటీబయాటిక్ పెన్సిలిన్
ଆଣ୍ଟିବାୟୋଟିକ୍ ପ୍ରତିରୋଧକ |,యాంటీబయాటిక్ రెసిస్టెంట్
ଆଣ୍ଟିବାୟୋଟିକ୍ (ଗୁଡିକ),యాంటీబయాటిక్ (లు)
ଆଣ୍ଟିବଡି |,యాంటీబాడీ
ଆଣ୍ଟିବଡି ଦମ୍ପତି |,యాంటీబాడీ జంట
ଆଣ୍ଟିବଡି ମଧ୍ୟସ୍ଥତା ଅବିସ୍ମରଣୀୟ |,యాంటీబాడీ మధ్యవర్తిత్వ రోగనిరోధక శక్తి
ଆଣ୍ଟିକୋଗୁଏଲାଣ୍ଟ |,ప్రతిస్కందకం
ଆଣ୍ଟିକୋଡନ୍ ଲୁପ୍ |,యాంటికోడాన్ లూప్
ପୃଥିବୀ ନିରାଶ,యాంటిడిప్రెసెంట్
