Bengali,Punjabi
অভিক্ষেপ কোণ,ਪ੍ਰੋਜੈਕਸ਼ਨ ਦਾ ਕੋਣ
প্রতিফলন কোণ,ਪ੍ਰਤੀਬਿੰਬ ਦਾ ਕੋਣ
প্রতিসরণ কোণ,ਅਪਵਰਤਨ ਦਾ ਕੋਣ
ঘূর্ণন কোণ,ਰੋਟੇਸ਼ਨ ਦਾ ਕੋਣ
মোট প্রতিফলনের কোণ,ਕੁੱਲ ਪ੍ਰਤੀਬਿੰਬ ਦਾ ਕੋਣ
কৌণিক ত্বরণ,ਕੋਣੀ ਪ੍ਰਵੇਗ
কৌণিক গতি,ਕੋਣੀ ਗਤੀ
কৌণিক গতি,ਕੋਣੀ ਗਤੀ
কৌণিক বেগ,ਕੋਣੀ ਵੇਗ
অ্যানুলাস,ਐਨੁਲਸ
উত্তর,ਜਵਾਬ
বিরোধী – ডেরিভেটিভ,ਵਿਰੋਧੀ ਡੈਰੀਵੇਟਿਵ
অপ্রতিসম ফাংশন,ਵਿਰੋਧੀ ਸਮਰੂਪ ਫੰਕਸ਼ਨ
প্রযোজ্য,ਲਾਗੂ ਹੈ
আবেদন,ਐਪਲੀਕੇਸ਼ਨ
প্রয়োগকৃত গতিশীল প্রোগ্রামিং,ਲਾਗੂ ਡਾਇਨਾਮਿਕ ਪ੍ਰੋਗਰਾਮਿੰਗ
প্রয়োগ করা জ্যামিতি,ਲਾਗੂ ਕੀਤੀ ਜਿਓਮੈਟਰੀ
ফলিত গণিত,ਲਾਗੂ ਗਣਿਤ
ফলিত পরিসংখ্যান,ਲਾਗੂ ਅੰਕੜੇ
আন্দাজ,ਲਗਭਗ
প্রায় একটানা ফাংশন,ਲਗਭਗ ਲਗਾਤਾਰ ਫੰਕਸ਼ਨ
আনুমানিক পদ্ধতি,ਅੰਦਾਜ਼ਨ ਢੰਗ
আনুমানিক সমাধান,ਅੰਦਾਜ਼ਨ ਹੱਲ
আনুমানিক সমস্যা,ਲਗਭਗ ਸਮੱਸਿਆ
আনুমানিক সম্পত্তি,ਲਗਭਗ ਸੰਪਤੀ
যোগ্যতা পরীক্ষার ব্যাটারি,ਯੋਗਤਾ ਟੈਸਟ ਬੈਟਰੀ
Argand ডায়াগ্রাম,Argand ਚਿੱਤਰ
নির্বিচারে নির্বাচিত,ਆਪਹੁਦਰੇ ਢੰਗ ਨਾਲ ਚੁਣਿਆ ਗਿਆ ਹੈ
ইচ্ছামত,ਮਨਮਾਨੀ
নির্বিচারে ধ্রুবক,ਆਪਹੁਦਰੇ ਸਥਿਰ
নির্বিচারে উপাদান,ਆਪਹੁਦਰੇ ਤੱਤ
নির্বিচারে পয়েন্ট,ਮਨਮਾਨੀ ਬਿੰਦੂ
আর্কিমিডিয়ান আইন,ਆਰਕੀਮੀਡੀਅਨ ਕਾਨੂੰਨ
আর্কিমিডিসের নীতি,ਆਰਕੀਮੀਡੀਜ਼ ਸਿਧਾਂਤ
চাপ দৈর্ঘ্য,ਚਾਪ ਦੀ ਲੰਬਾਈ
বৃত্তের চাপ,ਚੱਕਰ ਦਾ ਚਾਪ
আর্ক সাইন ডিস্ট্রিবিউশন,ਚਾਪ ਸਾਇਨ ਵੰਡ
চাপ সাইন রূপান্তর,ਚਾਪ ਸਾਇਨ ਪਰਿਵਰਤਨ
এলাকা,ਖੇਤਰ
আঞ্চলিক টেক্সচার,ਖੇਤਰੀ ਬਣਤਰ
জটিল সংখ্যার যুক্তি,ਕੰਪਲੈਕਸ ਨੰਬਰ ਦੀ ਦਲੀਲ
গাণিতিক গড়,ਗਣਿਤ ਦਾ ਮਤਲਬ
গাণিতিক অপারেশন,ਗਣਿਤ ਦੀ ਕਾਰਵਾਈ
পাটিগণিত একক,ਗਣਿਤ ਦੀ ਇਕਾਈ
ব্যবস্থা,ਪ੍ਰਬੰਧ
অ্যারে,ਐਰੇ
কৃত্রিম উপগ্রহ,ਨਕਲੀ ਸੈਟੇਲਾਈਟ
কৃত্রিম পরিবর্তনশীল,ਨਕਲੀ ਵੇਰੀਏਬਲ
আরোহণ,ਚੜ੍ਹਨਾ
আরোহী,ਵੱਧਦੇ ਹੋਏ
মাত্রার আরোহী ক্রম,ਤੀਬਰਤਾ ਦਾ ਵੱਧਦਾ ਕ੍ਰਮ
আরোহী সিরিজ,ਚੜ੍ਹਦੀ ਲੜੀ
সংযোজনকারী ভাষা,ਅਸੈਂਬਲਰ ਭਾਸ਼ਾ
নিয়োগ সমস্যা,ਅਸਾਈਨਮੈਂਟ ਸਮੱਸਿਆ
সহযোগী আইন,ਸਹਿਯੋਗੀ ਕਾਨੂੰਨ
অপারেটরদের সহযোগী আইন,ਆਪਰੇਟਰਾਂ ਦਾ ਸਹਿਯੋਗੀ ਕਾਨੂੰਨ
সহযোগী অপারেশন,ਸਹਿਯੋਗੀ ਕਾਰਵਾਈ
সহযোগীতা,ਸੰਗਤ
ধরে নেওয়া গড়,ਮਤਲਬ ਮੰਨਿਆ
অনুমান সম্ভাব্যতা বন্টন,ਅਨੁਮਾਨਿਤ ਸੰਭਾਵਨਾ ਵੰਡ
ধৃষ্টতা,ਧਾਰਨਾ
জ্যোতিষশাস্ত্র,ਜੋਤਿਸ਼
মহাকাশচারী প্রকৌশলী,ਪੁਲਾੜ ਵਿਗਿਆਨੀ ਇੰਜੀਨੀਅਰ
জ্যোতির্বিজ্ঞানী,ਖਗੋਲ ਵਿਗਿਆਨੀ
জ্যোতির্বিদ্যা ঘড়ি,ਖਗੋਲੀ ਘੜੀ
জ্যোতির্বিদ্যা,ਖਗੋਲ ਵਿਗਿਆਨ
অপ্রতিসম বক্ররেখা,ਅਸਮਿਤ ਵਕਰ
অসমতা,ਅਸਮਿਤੀ
উপসর্গ,asymptote
অ্যাসিম্পোটিক,asymptotic
লক্ষণগতভাবে দক্ষ অনুমানকারী,asymptotically ਕੁਸ਼ਲ ਅਨੁਮਾਨਕ
asymptotically নিরপেক্ষ অনুমানকারী,asymptotically ਨਿਰਪੱਖ ਅਨੁਮਾਨਕ
অ্যাসিম্পোটিক আচরণ,asymptotic ਵਿਵਹਾਰ
অ্যাসিম্পোটিক ডিস্ট্রিবিউশন ফাংশন,asymptotic ਵੰਡ ਫੰਕਸ਼ਨ
অ্যাসিম্পোটিক সম্প্রসারণ,asymptotic ਵਿਸਥਾਰ
বায়ুমণ্ডলীয় চাপ,ਵਾਯੂਮੰਡਲ ਦਾ ਦਬਾਅ
এলোমেলোভাবে,ਬੇਤਰਤੀਬੇ &#39;ਤੇ
বৈশিষ্ট্য,ਵਿਸ਼ੇਸ਼ਤਾ
বৈশিষ্ট্য নমুনা পদ্ধতি,ਗੁਣ ਨਮੂਨਾ ਪ੍ਰਕਿਰਿਆ
অগমেন্টেড ম্যাট্রিক্স,ਵਧੀ ਹੋਈ ਮੈਟਰਿਕਸ
স্বয়ংক্রিয় সম্পর্ক সহগ,ਸਵੈ-ਸੰਬੰਧ ਗੁਣਾਂਕ
স্বয়ংক্রিয় সম্পর্ক ফাংশন,ਸਵੈ-ਸਬੰਧੀ ਫੰਕਸ਼ਨ
স্বয়ংক্রিয়তা,autocovariance
স্বয়ংক্রিয় কম্পিউটার,ਆਟੋਮੈਟਿਕ ਕੰਪਿਊਟਰ
অটোরিগ্রেশন,ਆਟੋਰਿਗਰੇਸ਼ਨ
সহায়ক সমীকরণ,ਸਹਾਇਕ ਸਮੀਕਰਨ
গড় নমুনা সংখ্যা বক্ররেখা (ASN কার্ভ),ਔਸਤ ਨਮੂਨਾ ਨੰਬਰ ਵਕਰ (ASN ਕਰਵ)
স্বতঃসিদ্ধ,axiom
স্বতঃসিদ্ধ পদ্ধতি,ਸਵੈ-ਜੀਵਨੀ ਪਹੁੰਚ
সম্ভাব্যতার স্বতঃসিদ্ধ,ਸੰਭਾਵਨਾ ਦਾ axiom
অক্ষ,ਧੁਰਾ
আবসিসার অক্ষ,abscissa ਦਾ ਧੁਰਾ
পৃথিবীর অক্ষ,ਧਰਤੀ ਦੀ ਧੁਰੀ
বিপ্লবের অক্ষ,ਇਨਕਲਾਬ ਦੀ ਧੁਰੀ
ঘূর্ণনের অক্ষ,ਰੋਟੇਸ਼ਨ ਦਾ ਧੁਰਾ
ঘূর্ণনের অক্ষ,ਸਪਿਨ ਦਾ ਧੁਰਾ
ফিরে প্রতিস্থাপন,ਵਾਪਸ-ਸਥਾਪਨਾ
পশ্চাদপদ পার্থক্য,ਪਿਛਲਾ ਫਰਕ
পশ্চাদগামী-ইন্টারপোলেশন সূত্র,ਬੈਕਵਰਡ-ਇੰਟਰਪੋਲੇਸ਼ਨ ਫਾਰਮੂਲਾ
ভারসাম্য,ਸੰਤੁਲਨ
সুষম নকশা,ਸੰਤੁਲਿਤ ਡਿਜ਼ਾਈਨ
ব্যালেন্স শীট,ਸੰਤੁਲਨ ਸ਼ੀਟ
ক্ষেপণাস্ত্র,ਬੈਲਿਸਟਿਕ ਮਿਜ਼ਾਈਲ
ব্যালিস্টিক,ਬੈਲਿਸਟਿਕਸ
বার,ਪੱਟੀ
ভিত্তি,ਅਧਾਰ
ভিত্তি কোণ,ਅਧਾਰ ਕੋਣ
লগারিদমের ভিত্তি,ਲਘੂਗਣਕ ਦਾ ਅਧਾਰ
মৌলিক,ਬੁਨਿਆਦੀ
মৌলিক সম্ভাব্য সমাধান,ਬੁਨਿਆਦੀ ਸੰਭਵ ਹੱਲ
মৌলিক সমাধান,ਬੁਨਿਆਦੀ ਹੱਲ
মৌলিক পরিবর্তনশীল,ਬੁਨਿਆਦੀ ਵੇਰੀਏਬਲ
ভিত্তি,ਆਧਾਰ
ভিত্তি উপাদান,ਆਧਾਰ ਤੱਤ
ভিত্তি ম্যাট্রিক্স,ਆਧਾਰ ਮੈਟਰਿਕਸ
একটি ভেক্টর স্থান ভিত্তি,ਇੱਕ ਵੈਕਟਰ ਸਪੇਸ ਦਾ ਅਧਾਰ
সাবস্পেস ভিত্তি,ਸਬਸਪੇਸ ਦਾ ਆਧਾਰ
Bayesian অনুমান,ਬੇਸੀਅਨ ਅੰਦਾਜ਼ਾ
বেইস আইন,ਬੇਸ ਦਾ ਕਾਨੂੰਨ
বেইসের উপপাদ্য,ਬੇਅਸ ਦਾ ਸਿਧਾਂਤ
বার্নোলি বিতরণ,ਬਰਨੌਲੀ ਵੰਡ
বার্নোলি নম্বর,ਬਰਨੌਲੀ ਨੰਬਰ
Bernoulli সম্ভাব্যতা ফাংশন,ਬਰਨੌਲੀ ਪ੍ਰੋਬੇਬਿਲਟੀ ਫੰਕਸ਼ਨ
বার্নউলির সমীকরণ,ਬਰਨੌਲੀ ਦਾ ਸਮੀਕਰਨ
বেরি ফাংশন,ਬੇਰੀ ਫੰਕਸ਼ਨ
শ্রেষ্ঠ মিল,ਵਧੀਆ ਫਿੱਟ
সেরা - ফিট লাইন,ਵਧੀਆ - ਫਿੱਟ ਲਾਈਨ
সেরা সমাধান,ਵਧੀਆ ਹੱਲ
সেরা কৌশল,ਵਧੀਆ ਰਣਨੀਤੀਆਂ
বিটা বিতরণ,ਬੀਟਾ ਵੰਡ
পক্ষপাত,ਪੱਖਪਾਤ
পক্ষপাতমূলক অনুমান,ਪੱਖਪਾਤੀ ਅਨੁਮਾਨ
বিহারমোনিক সমীকরণ,biharmonic ਸਮੀਕਰਨ
দ্বিখণ্ডন,ਦੋਭਾਗ
দ্বিমুখী মানচিত্র,ਦੋ-ਪੱਖੀ ਨਕਸ਼ਾ
দ্বিমুখী ম্যাপিং,ਦੋ-ਪੱਖੀ ਮੈਪਿੰਗ
বাইলিনিয়ার ফর্ম,ਦੋ-ਲੀਨੀਅਰ ਫਾਰਮ
বাইলিনিয়ার ফাংশন,ਦੋ-ਲੀਨੀਅਰ ਫੰਕਸ਼ਨ
বাইলিনিয়ার হারমিটিয়ান ফর্ম,ਦੋ-ਲੀਨੀਅਰ ਹਰਮੀਟੀਅਨ ਰੂਪ
বাইনারি,ਬਾਈਨਰੀ
বাইনারি কোড,ਬਾਈਨਰੀ ਕੋਡ
বাইনারি কোডেড দশমিক,ਬਾਈਨਰੀ ਕੋਡਿਡ ਦਸ਼ਮਲਵ
বাইনারি কোডিং,ਬਾਈਨਰੀ ਕੋਡਿੰਗ
বাইনারি কম্পিউটার,ਬਾਈਨਰੀ ਕੰਪਿਊਟਰ
বাইনারি সংখ্যা,ਬਾਈਨਰੀ ਅੰਕ
বাইনারি অপারেশন,ਬਾਈਨਰੀ ਕਾਰਵਾਈ
বাইনারি সিস্টেম,ਬਾਈਨਰੀ ਸਿਸਟਮ
বাইনারি পরিবর্তনশীল,ਬਾਈਨਰੀ ਵੇਰੀਏਬਲ
দ্বিপদ সহগ,ਬਾਇਨੋਮੀਅਲ ਗੁਣਾਂਕ
দ্বিপদ ডিস্ট্রিবিউশন,ਬਾਇਨੋਮੀਅਲ ਵੰਡ
দ্বিপদ সমীকরণ,ਬਾਇਨੋਮੀਅਲ ਸਮੀਕਰਨ
দ্বিপদ সম্প্রসারণ,ਬਾਇਨੋਮੀਅਲ ਵਿਸਤਾਰ
দ্বিপদ অভিব্যক্তি,ਦੋਨੋਮੀ ਸਮੀਕਰਨ
দ্বিপদী র্যান্ডম পরিবর্তনশীল,ਬਾਇਨੋਮੀਅਲ ਬੇਤਰਤੀਬ ਵੇਰੀਏਬਲ
দ্বিপদ উপপাদ্য,ਬਾਇਨੋਮੀਅਲ ਥਿਊਰਮ
দ্বিখণ্ডন,ਦੋਭਾਗ
দ্বিখণ্ডিত পদ্ধতি,ਦੋਭਾਗ ਵਿਧੀ
দ্বিখণ্ডিত,ਬਾਈਸੈਕਟਰ
biserial,biserial
বিট,ਬਿੱਟ
দ্বিপদ দ্বিপদ বণ্টন,bivariate binomial distribution
bivariate পারস্পরিক সম্পর্ক সহগ,ਬਾਇਵਾਰੀਏਟ ਸਹਿ-ਸਬੰਧ ਗੁਣਾਂਕ
দ্বিমুখী বন্টন,ਦੋ-ਪੱਖੀ ਵੰਡ
দ্বিমুখী স্বাভাবিক বন্টন,ਬਾਇਵਰੀਏਟ ਸਧਾਰਣ ਵੰਡ
bivector,bivector
বোল্টজম্যান সমীকরণ,ਬੋਲਟਜ਼ਮੈਨ ਸਮੀਕਰਨ
বুলিয়ান বীজগণিত,ਬੂਲੀਅਨ ਅਲਜਬਰਾ
বোস-আইনস্টাইন পরিসংখ্যান,ਬੋਸ - ਆਈਨਸਟਾਈਨ ਦੇ ਅੰਕੜੇ
সীমানার অবস্থা,ਸੀਮਾ ਸਥਿਤੀ
সীমানা স্তর,ਸੀਮਾ ਪਰਤ
সীমান,ਸੀਮਾ ਰੇਖਾ
সীমানা মান,ਸੀਮਾ ਮੁੱਲ
সীমানা মান সমস্যা,ਸੀਮਾ ਮੁੱਲ ਸਮੱਸਿਆ
আবদ্ধ ফাংশন,ਸੀਮਾਬੱਧ ਫੰਕਸ਼ਨ
আবদ্ধ ম্যাট্রিক্স,ਸੀਮਾਬੱਧ ਮੈਟ੍ਰਿਕਸ
আবদ্ধ অঞ্চল,ਸੀਮਾਬੱਧ ਖੇਤਰ
আবদ্ধ সেট,ਸੀਮਾਬੱਧ ਸੈੱਟ
ব্রোমিন,ਬ੍ਰਾਊਨੀਅਨ ਮੋਸ਼ਨ
গণনা করা,ਗਣਨਾ ਕਰੋ
গণনা করা,ਗਣਨਾ
গননা যন্ত্র,ਗਣਨਾ ਮਸ਼ੀਨ
গণনা,ਗਣਨਾ
গণনা পদ্ধতি,ਗਣਨਾ ਵਿਧੀ
ক্যালকুলেটর,ਕੈਲਕੁਲੇਟਰ
ক্যালকুলাস,ਕੈਲਕੂਲਸ
পরিবর্তনের ক্যালকুলাস,ਪਰਿਵਰਤਨ ਦਾ ਕੈਲਕੂਲਸ
ক্যালোরি,ਕੈਲੋਰੀ
বাতিল আইন,ਰੱਦ ਕਰਨ ਦਾ ਕਾਨੂੰਨ
ক্যানোনিকাল সমীকরণ,ਕੈਨੋਨੀਕਲ ਸਮੀਕਰਨ
ক্যানোনিকাল ফর্ম,ਕੈਨੋਨੀਕਲ ਰੂਪ
ক্যানোনিকাল ম্যাট্রিক্স,ਕੈਨੋਨੀਕਲ ਮੈਟ੍ਰਿਕਸ
ক্যান্টর সেট,ਕੈਂਟਰ ਸੈੱਟ
Cantor এর ত্রিনারি সেট,ਕੈਂਟਰ ਦਾ ਟਰਨਰੀ ਸੈੱਟ
ক্যাপাসিটেড পরিবহন সমস্যা,ਸਮਰੱਥਾ ਵਾਲੀ ਆਵਾਜਾਈ ਦੀ ਸਮੱਸਿਆ
ক্ষমতা,ਸਮਰੱਥਾ
কৈশিক বল,ਕੇਸ਼ਿਕਾ ਬਲ
অঙ্কবাচক সংখ্যা,ਮੁੱਖ ਨੰਬਰ
কার্টেসিয়ান অক্ষ,ਕਾਰਟੇਸੀਅਨ ਧੁਰੇ
কার্টেসিয়ান স্থানাঙ্ক,ਕਾਰਟੇਸੀਅਨ ਕੋਆਰਡੀਨੇਟਸ
কার্টিজিয়ান পণ্য,ਕਾਰਟੇਸੀਅਨ ਉਤਪਾਦ
সেটের কার্টেসিয়ান পণ্য,ਸੈੱਟਾਂ ਦਾ ਕਾਰਟੇਸ਼ੀਅਨ ਉਤਪਾਦ
কেস স্টাডি,ਮਾਮਲੇ &#39;ਦਾ ਅਧਿਐਨ
বিপর্যয়কর ওঠানামা,ਘਾਤਕ ਉਤਰਾਅ-ਚੜ੍ਹਾਅ
ক্যাটেনারি,ਕੈਟੇਨਰੀ
কচি বন্টন,ਕੌਚੀ ਵੰਡ
কচি সূত্র,ਕੌਚੀ ਫਾਰਮੂਲਾ
Cauchy Goursat উপপাদ্য,ਕੌਚੀ ਗੌਰਸਤ ਪ੍ਰਮੇਯ
কচি রিম্যানের শর্ত,ਕਾਚੀ ਰੀਮੈਨ ਦੀਆਂ ਸਥਿਤੀਆਂ
কচি সিকোয়েন্স,ਕਾਚੀ ਕ੍ਰਮ
কচি অবিচ্ছেদ্য,ਕੌਚੀ ਅਟੁੱਟ
কচি প্রধান মান,ਕੌਚੀ ਪ੍ਰਮੁੱਖ ਮੁੱਲ
কচি অবশিষ্টাংশ উপপাদ্য,ਕਾਚੀ ਅਵਸ਼ੇਸ਼ ਪ੍ਰਮੇਯ
কেলি হ্যামিল্টন উপপাদ্য,ਕੈਲੀ ਹੈਮਿਲਟਨ ਪ੍ਰਮੇਯ
স্বর্গীয় শরীরের,ਆਕਾਸ਼ੀ ਸਰੀਰ
স্বর্গীয় পরিমাপ,ਆਕਾਸ਼ੀ ਮਾਪ
স্বর্গীয় বলবিদ্যা,ਆਕਾਸ਼ੀ ਮਕੈਨਿਕਸ
মহাকাশীয় বস্তু,ਆਕਾਸ਼ੀ ਵਸਤੂ
সেল ফ্রিকোয়েন্সি,ਸੈੱਲ ਬਾਰੰਬਾਰਤਾ
জনগণনা,ਜਨਗਣਨਾ
সেন্টিল,centile
সেন্টিমিটার,ਸੈਂਟੀਮੀਟਰ
