Kannada,Tamil
ಒಗ್ಗಿಸು,பழக்கப்படுத்துங்கள்
ವಸತಿ (ಕೇಂದ್ರೀಕರಿಸುವುದು),தங்குமிடம் (கவனம் செலுத்துதல்)
ಕಣ್ಣಿನ ವಸತಿ,கண் தங்குமிடம்
ಸನ್ಯಾಸಿಗಳ ಬೆಳವಣಿಗೆ,திரட்டல் வளர்ச்சி
ಸಂಗ್ರಹಣೆ,குவிப்பு
ಸಾವಯವ ವಸ್ತುಗಳ ಸಂಗ್ರಹ,கரிமப் பொருட்களின் குவிப்பு
ಮಣ್ಣಿನ ಸಂಗ್ರಹ,மண்ணின் குவிப்பு
ಉಭಯಾಕಾರದ,அசெல்லுலர்
ಅಸೆಲ್ಯುಲಾರ್ ಜೀವಿ,அசெல்லுலர் உயிரினம்
ಅಸೆಟಾಬುಮ್,அசிடபூலம்
ಅಸೆಟಾಲ್ಡಿಹೈಡ್,அசிடால்டிஹைட்
ಅಸೆಟೈಲ್ ಕೊಯೆನ್ಜೈಮ್,அசிடைல் கோஎன்சைம்
ಕಸ,அச்சாடினா
ಮೊಲ ಪ್ರಕಾರ,அச்சீன் வகை
ಉಂಗುರ,அச்சீன்
ಅಕ್ಲಾಮಿಡೋಸ್ಪೋರಿಯಾ,அச்ச்சைடோஸ்போரே
ಆಮ್ಲ ಮಳೆ,அமில மழை
ಆಮ್ಲೀಯ,அமிலத்தன்மை
ಆಮ್ಲೀಯ ಅನಿಲ,அமில வாயு
ಅಚ್ಚುಕಟ್ಟಾಗಿತ್ವ,அமிலத்தன்மை
ಅಸಿನಾರ್ ಕೋಶ,அசிநார் செல்
ಜಾಮಕೀಯ,அகோலோமேட்
ಅನನಟ,அகோனிட்டம்
ಆಕ್ರೋಶದ ಹುಳು,ஏகோர்ன் புழு
ಅಕೌಸ್ಟಿಕ್ ವಲಯ,ஒலி மண்டலம்
ಸ್ವಾಧೀನಪಡಿಸಿಕೊಂಡ ಪಾತ್ರ,வாங்கிய எழுத்து
ಸ್ವಾಧೀನಪಡಿಸಿಕೊಂಡ ರೋಗನಿರೋಧಕ ಶಕ್ತಿ,நோய் எதிர்ப்பு சக்தி
ಸ್ವಾಧೀನಪಡಿಸಿಕೊಂಡ ಇಮ್ಯುನೊ ಕೊರತೆ ಸಿಂಡ್ರೋಮ್ (ಏಡ್ಸ್),வாங்கிய இம்யூனோ குறைபாடு நோய்க்குறி (எய்ட்ஸ்)
ಪ್ರಾದೇಶಿಕ,அக்னியா
ಅಣಕಾದ ಬಣ್ಣ,அக்ரிடைன் சாயம்
ವ್ಯಾಪಕವಾದ,அக்ரோஷென்ட்ரிக்
ಅಕ್ರಾಮನ್,அக்ரோமியன்
ಸ್ಥಗಿತದ ಅನುಕ್ರಮ,அக்ரோபெட்டல் வரிசை
ಅಕ್ರೊಫೆಟಲ್ ರಾಶಿ,அக்ரோபெட்டல் ஆர்டர்
ಅಕ್ರೋಸಿನ್,அக்ரோசின்
ಅ ೦ ಗಡಿ,ஆக்டின்
ಆಕ್ಟಿನ್ ತರಹದ ಪ್ರೋಟೀನ್,ஆக்டின் போன்ற புரதம்
ಕ್ರಿಯಾಶೀಲತೆ,ஆக்டினோமார்பிக்
ಅಂಧ,ஆக்டினோமைசீட்கள்
ಕ್ರಿಯಾಶೀಲತೆ,செயல்பாட்டு திறன்
ಸಕ್ರಿಯ ಕೆತ್ತನೆ,செயல்படுத்தப்பட்ட கசடு
ಸಕ್ರಿಯ ಕೆಸರು ಫ್ಲೋಕ್,செயல்படுத்தப்பட்ட கசடு மிதவை
ಸಕ್ರಿಯಗೊಳಿಸುವ ಶಕ್ತಿ,செயல்படுத்தும் ஆற்றல்
ಸಕ್ರಿಯ ಹೀರಿಕೊಳ್ಳುವಿಕೆ,செயலில் உறிஞ்சுதல்
ಸಕ್ರಿಯ ವಿನಾಯಿತಿ,செயலில் நோய் எதிர்ப்பு சக்தி
ಸಕ್ರಿಯ ವಿಕಿರಣ,செயலில் கதிர்வீச்சு
ಸಕ್ರಿಯ ಸೈಟ್,செயலில் உள்ள தளம்
ದಳ,ஆக்டிவின்
ವಕ್ರವಳತಿ ಮಾಡು,அக்யூமினேட்
ಆಡಮ್ಸಿಯಾ,ஆடம்ஸியா
ಹೊಂದಿಕೊಳ್ಳುವಿಕೆ,தகவமைப்பு
ರೂಪಾಂತರ,தழுவல்
ಬೆಳಕಿನ ಆಡಳಿತಕ್ಕೆ ಹೊಂದಿಕೊಳ್ಳುವುದು,ஒளி ஆட்சிக்கு தழுவல்
ನೀರಿನ ಕೊರತೆಗೆ ಹೊಂದಿಕೊಳ್ಳುವುದು,நீர் பற்றாக்குறைக்கு தழுவல்
ಹೊಂದಾಣಿಕೆಯ ಗುಣಲಕ್ಷಣಗಳು,தகவமைப்பு பண்புகள்
ಹೊಂದಾಣಿಕೆಯ ವಿನಾಯಿತಿ,தகவமைப்பு நோய் எதிர்ப்பு சக்தி
ಅಡಾಪ್ಟಿವ್ ವಿಕಿರಣ,தகவமைப்பு கதிர்வீச்சு
ಹೊಂದಾಣಿಕೆಯ ಲಕ್ಷಣ,தகவமைப்பு பண்பு
ಅಡಾಕ್ಸಿಯಲ್ ಮೇಲ್ಮೈ,அடாக்ஸியல் மேற்பரப்பு
ವ್ಯಸನಕಾರಿ ಕಾಯಿಲೆ,போதை கோளாறு
ತಿಕ್ಕಲು,அடினின்
ಒಂದು ತತ್ತ್ವ,அடினோகார்டிகோட்ரோபின்
ತತ್ತ್ವ,அடினோஹைபோஃபிசிஸ்
ತಿರಸ್ಕಾರ,அடினோசின் டைபாஸ்பேட்
ಅಂಧ,அடினோசின் டீமினேஸ்
ಅಸಿನಿನ್ ಮೊನೊಫಾಸ್ಫೇಟ್,அடினோசின் மோனோபாஸ்பேட்
ಅಡೆನೊಸಿನ್ ಟ್ರೈಫಾಸ್ಫೇಟ್ (ಎಟಿಪಿ),அடினோசின் ட்ரைபாஸ்பேட் (ஏடிபி)
ತಿರಸ್ಕಾರ,அடினிலேட் சைக்லேஸ்
ಅಂಟಿಕೊಳ್ಳುವ ಶಕ್ತಿ,பிசின் சக்தி
ಅಡಿಪಡಿ,கொழுப்பு
ಅಡಿಪೋಸೈಟ್ (ಕೊಬ್ಬಿನ ಕೋಶ),அடிபோசைட் (கொழுப்பு செல்)
ಅಡಿಪಾಯಿ ಅಂಗಾಂಶ,கொழுப்பு திசு
ಮಡಿ,Adnate
ಪಕ್ಕದ ಸಮುದಾಯ,அருகிலுள்ள சமூகம்
ಮೂತ್ರಜನಕಾಂಗ,அட்ரீனல்
ಅಡ್ರಿನಲ್ ಗ್ರಂಥಿ,அட்ரினல் சுரப்பி
ಅಡ್ರಿನೊಕಾರ್ಟಿಕೊಟ್ರೊಪಿಕ್ ಹಾರ್ಮೋನ್ (ಎಸಿಟಿಎಚ್),அட்ரினோகார்டிகோட்ரோபிக் ஹார்மோன் (ACTH)
ಅಡ್ರಿನೊಕಾರ್ಟಿಕೊಟ್ರೊಪಿಕ್ ಬಿಡುಗಡೆ ಹಾರ್ಮೋನ್ (ಎಸಿಟಿಆರ್ಹೆಚ್),அட்ரினோகார்டிகோட்ரோபிக் வெளியீட்டு ஹார்மோன் (ACTRH)
ಹೊರಹೀರುವ,Adsorbent
ಹೊರಹೀರತೆ,உறிஞ்சுதல்
ಸುಧಾರಿತ ಸ್ವರಮೇಳ,மேம்பட்ட சோர்டேட்
ಅನುಕೂಲಕರ ರೂಪಾಂತರ,சாதகமான பிறழ்வு
ಸಾಹಸದ,சாகச
ಸಾಹಸಿ ಮೂಲ,சாகச வேர்
ದುಷ್ಪರಿಣಾಮ,பாதகமான விளைவு
ಈಡಿಸ್,Aedes
ಸಂಸ್ಕೃತಿಯ ಗಾಳಿ,கலாச்சாரத்தின் காற்றோட்டம்
ವಾಮಪಂಥೀಯ,ஏரென்கிமா
ವೈಮಾನಿಕ,வான்வழி
ವೈಮಾನಿಕ ಮೂಲ,வான்வழி வேர்
ವೈಮಾನಿಕ ಚಿಗುರು,வான்வழி படப்பிடிப்பு
ಏರೋಬಿಕ್ ಉಸಿರಾಟ,ஏரோபிக் சுவாசம்
ಏರೋಬಿಕ್ ಉಸಿರಾಟ,ஏரோபிக் சுவாசம்
ಸೌಂದರ್ಯಶಾಸ್ತ್ರ,அழகியல்
ಅಸ್ವಸ್ಥತೆ,அவதூறு
ಅಸ್ವಸ್ಥತೆ,அவதூறு
ವಿಪರೀತ,Afferent
ಅಫಿನಿಟಿ ಕ್ರೊಮ್ಯಾಟೋಗ್ರಫಿ,இணைப்பு நிறமூர்த்தம்
ಪೀಡಿತ ಅಂಗ,பாதிக்கப்பட்ட உறுப்பு
ಸಂಯಮ,காடு வளர்ப்பு
ಗಗನಯ,அகமோஸ்பெர்மி
ಗಾಡಿ,அகர்
ಜನಗಮಣ,அகரோஸ்
ಅಗರೋಸ್ ಜೆಲ್ ಎಲೆಟ್ರೋಫೊರೆಸಿಸ್,அகரோஸ் ஜெல் எலெட்ரோபோரேசிஸ்
ಅಗರೋಸ್ ಪಾಲಿಮರ್ ಜೆಲ್,அகரோஸ் பாலிமர் ஜெல்
ಚೂರುಪಾರು,அகாஸ்ட்
ಭೂತಾಳೆ,நீலக்கத்தாழை
ವಯಸ್ಸಿನಲ್ಲಿ ವಿತರಣೆ,வயது விநியோகம்
ವಯಸ್ಸು ಪಿರಮಿಡ್,வயது பிரமிட்
ಒಟ್ಟುಗೂಡಿಸುವಿಕೆ,திரட்டுதல்
ಒಟ್ಟು,மதிப்பீட்டு
ಕೋಶಕ ಒಟ್ಟು,நுண்ணறைகளின் மொத்தம்
ಕೋಶಕ ಒಟ್ಟು,நுண்ணறைகளின் மொத்தம்
ಒಟ್ಟುಗೂಡಿಸುವಿಕೆ,திரட்டுதல்
ಆಕ್ರಮಣಶೀಲತೆ,ஆக்கிரமிப்பு
ಚಮತ್ಕಾರ,கிளர்ச்சி அமைப்பு
ಅಜ್ಞಾತ,அக்னாதா
ಗಾಡಿ,அகூட்டி
ಪಂಥದ,அக்ரானல் குளோரோபிளாஸ்ட்
ಕೃಪಣದ,வேளாண்
ಪಂಥಿ,அக்ரானுலோசைட்
ಕೃಷಿ,வேளாண்மை
ಕೃಚಾರಕ,வளர்ப்பு
ಆಗ್ರೊಬ್ಯಾಕ್ಟೀರಿಯಂ ಮಧ್ಯಸ್ಥಿಕೆ,அக்ரோபாக்டீரியம் மத்தியஸ்தம்
ಅಗ್ರೋಬ್ಯಾಕ್ಟೀರಿಯಂ ಟ್ಯೂಮೆಫಾಸಿಯನ್ಸ್,அக்ரோபாக்டீரியம் டூம்ஃபேசியன்ஸ்
ಕೃಷಿ ರಾಸಾಯನಿಕ,வேளாண் வேதியியல்
ಕೃಷಿ ರಾಸಾಯನಿಕ,வேளாண் வேதியியல்
ಕೃಷಿ ವಲಯ,வேளாண் மண்டலம்
ಕೃಷಿ ಲಕ್ಷಣ,வேளாண் பண்பு
ಕೃಷಿ ವಿಜ್ಞಾನ,வேளாண்
ನೆರಳು,எய்ட்ஸ்
ಗಾಳಿಗೊಡೆ,காற்று சிறுநீர்ப்பை
ಹವಾ ನಿಯಂತ್ರಣ ಯಂತ್ರ,ஏர் கண்டிஷனர்
ಗಾಳಿಯ ಮಾರ್ಗ,விமானப் பாதை
ವಾಯು ಮಾಲಿನ್ಯ,காற்று மாசுபாடு
ಗಾಳಿಯ ಚೀಲ,ஏர் சாக்
ವಿಮಾನ ನಿರ್ವಾತ,காற்று வெற்றிடம்
ಗಾಳಿ ಮರೆಯುವ,காற்று சுவாசம்
ತಲ್ಲಣ,அலைன்
ಅಲರಿ ಸ್ನಾಯು,அலரி தசை
ಅಲಸ್ಕನ್ ಕಂದು ಕರಡಿ,அலாஸ்கன் பிரவுன் கரடி
ಒಂದು ಬಗೆಯ ಉಕ್ಕಿನ,இயற்கை நிறத்தை இழந்தவர்
ದಾಸ್ಯ,அல்புகோ
ಉಣ್ಣೆಯಂಥ,ஆல்புமின்
ಉಬ್ಬು ಬೀಜದ ಬೀಜ,ஆல்புமினஸ் விதை
ಬಿಲ್ಲಿನ,அல்புமினூரியா
ಪಾರಾಗಲಿ,ஆல்பர்னம்
ಹದಮುದಾಯಿ,அல்செடே
ಆಲ್ಡಿಹ್ಯೀಡ್,ஆல்டிஹீட்
ಆಲ್ಡೋಸ್ಟಾನ್ ವ್ಯವಸ್ಥ,ஆல்டோஸ்டிரோன் அமைப்பு
ಆಲ್ಡೋಸ್ಟಲಿಗೆ,ஆல்டோஸ்டிரோன்
ಅಲ್ಯೂರೋನ್ ಪದರ,அலியுரோன் அடுக்கு
ಕಣ್ಣುಹಾಯ,அலூரோபிளாஸ்ட்
ಉಚ್ಚಾರಣಾ,அல்பால்ஃபா
ಪಾಚಿಯ ಹೂವು,பாசி பூக்கும்
ಪಾರಿಗೊಣ,ஆல்ஜின்
ಅನ್ಯಲೋಕದ ಡಿಎನ್‌ಎ,ஏலியன் டி.என்.ஏ.
ಅನ್ಯ,அன்னிய இனங்கள்
ಜೋಡಣೆ,சீரமைப்பு
ಜೋಡಣೆ,சீரமைப்பு
ಅಲಿಮೆಂಟಿನ ಕಾಲುವೆ,உணவுக்குழாய்
ಅಲಿಮೆಂಟರಿ ವ್ಯವಸ್ಥೆಯ,ஆன்டிமென்டரி சிஸ்டம்
ಮಿತ್ರತತ್ವ,அலிஸ்மேசீஸ்
ಕ್ಷಾರೀಯ,காராய்டு
ಕ್ಷಾರೀಯ,கார
ಕ್ಷಾರೀಯ,அல்காப்டோனூரியா
ನಾರು,அலன்டோயிஸ்
ಆಲೀಲ್ ಆವರ್ತನ,அலீல் அதிர்வெண்
ಇಳಿಜಾರು,அல்லீல்
ಅಲಿಮಾರ್ಫಿಕ್ ಜೋಡಿ,அல்லீலோமார்பிக் ஜோடி
ಅಲರ್ಜಾಟ,ஒவ்வாமை
ಅಲಿಗ್ನ,முதலை
ಆಲಿಯಂ ಸೆಪಾ,அல்லியம் செபா
ಅಲೋಗಮಿ,Allocamy
ಅರಿಯುವವಳು,அலோகிராஃப்ட்
ಅಲೋಪ್ಯಾಟ್ರಿಕ್ ಸ್ಪೆಸಿಪೇಶನ್,அலோபாட்ரிக் விவரக்குறிப்பு
ಸೂತ್ರ,அலோபோலிப்ளோயிட்
ಅಲೀರಿಕ್ ಪರಿಣಾಮ,அலோஸ்டெரிக் விளைவு
ಅಲೋಸ್ಟರಿಕ್ ಕಿಣ್ವ,அலோஸ்டெரிக் என்சைம்
ಅಲಿಸ್ಟರಿಕ್ ಪ್ರತಿರೋಧಕ,அலோஸ்டெரிக் இன்ஹிபிட்டர்
ಅಲೋಸ್ಟೆರಿಕ್ ಮಾಡ್ಯುಲೇಷನ್,அலோஸ்டெரிக் பண்பேற்றம்
ಅಲೋಸ್ಟರಿಕ್ ಸೈಟ್,அலோஸ்டெரிக் தளம்
ಅಲಿಸ್ಟರಿಕ್ ಪ್ರತಿಬಂಧಕ,அலோஸ்டெரிக் தடுப்பு
ತಟೆಾತ್ರಾ,அலோடெட்ராப்ளோயிட்
ದಾಸ್ಯ,அல்னஸ்
ಅಡೆ,கற்றாழை
ಆಕ್ಸಾನ್ ಉದ್ದಕ್ಕೂ,அச்சுடன்
ಆಲ್ಫಾ-ಆಂಟಿಟ್ರಿಪ್ಸಿನ್,ஆல்பா-ஆன்டிட்ரிப்சின்
ಆಲ್ಫಾ-ಲಾಕ್ಟಾಲ್ ಬ್ಯೂನ್,ஆல்பா-லாக்டல்புமின்
ಆಲ್ಪೈನ್ ಹವಾಮಾನ ಸ್ಥಿತಿ,ஆல்பைன் காலநிலை நிலை
ಆಲ್ಪೈನ್ ಹುಲ್ಲುಗಾವಲು,ஆல்பைன் புல்வெளி
ಆಲ್ಪೈನ್ ವಲಯ,ஆல்பைன் மண்டலம்
ಆಲ್ಸ್ಟೋನಿಯಾ,ஆல்ஸ்டோனியா
ಪರ್ಯೇಡು,ஆல்டர்னேரியா
ಪರ್ಯಾಯ,மாற்று
ಪೀಳಿಗೆಯ ಪರ್ಯಾಯ,தலைமுறையின் மாற்று
ಎತ್ತರ ಕಾಯಿಲೆ,உயர நோய்
ಎತ್ತರ,உயரம்
ಅಲ್ವಿಯೋಲಾರ್ ನಾಳ,அல்வியோலர் குழாய்
ಮಣ್ಣು,Alytes
ಆಲ್ z ೈಮರ್ ಕಾಯಿಲೆ,அல்சீமர் நோய்
ಅಮಾಮಿನ ಕೋಶ,AMACRINE CELL
ಹುಳ,அமராந்தேசி
ಹುಳಿ,அமராந்தஸ்
ಸುತ್ತುವರಿದ ಆಸ್ಮೋಟಿಕ್ ಸಾಂದ್ರತೆ,சுற்றுப்புற ஆஸ்மோடிக் செறிவு
ಅಂಬಿಸ್ಟೋಮ,அம்ப்ஸ்டோமா
ಅಸ್ಫುಲ್,அமைடு
ಅಮೈನೊ ಆಸಿಡ್,அமினோ அமிலம்
ಅಮೈನೊ ಆಸಿಡ್ ಸ್ವೀಕಾರಕ,அமினோ அமில ஏற்பி
ಅಮೈನಾಕ್ಲ್ ಟಿ ಆರ್ಎನ್ಎ ಸಿಂಥೆಟೇಸ್,அமினோஅசில் டி ஆர்.என்.ஏ சின்தேடேஸ்
ಅಮೈನೊಅಸಿಲೇಷನ್,அமினோஅசிலேஷன்
ಅಮೀಟಾಸಿ,அமிடோசிஸ்
ಅಮೋನಿಯ,அம்மோனியா
ಅಮೋನೀಕರಣ,அம்மோனிகேஃபிகேஷன்
ಅಮ್ಮನೋಟೆಲಿಸಂ,அம்மோனோடெலிசம்
ಜ್ಯೂನಿಯೊಸೆಂಟಿಸ್,அம்னோசென்டெசிஸ்
ಆಮದೋಸೆಂಟೆಸಿಸ್ ತಂತ್ರ,அம்னோசென்டெசிஸ் நுட்பம்
ಅಮ್ನಿಯೈಟ್,அம்னியோசைட்
ಮಂಕಾದ,அம்னியன்
ಆಮ್ನಿಯೋಟಿಕ್ ದ್ರವ,அம்னோடிக் திரவம்
ಜಾಮ್ನಿಯೆಟಿಕ್ ಮೆಂಬರೇನ್,அம்னோடிக் சவ்வு
ಜಾಮಿಕಾಟದ ಚೀಲ,அம்னோடிக் சாக்
ಅಮೀಬ,அமீபா
ಅಮೀಬೋಸೈಟ್,அமீபோசைட்
ಅಮೀಬಯುಡಿ,அமீபாய்டு
ಅಮೀಬಯಿಡ್ ಲಿಂಫೋಸೈಟ್,அமீபாய்டு லிம்போசைட்
ಅಮೀಬಯಿಡ್ ಚಲನೆ,அமீபாய்டு இயக்கம்
ಅರೂಪದ,உருவமற்ற
ಮೊತ್ತ,தொகை
ಆಭರಣ,ஆம்பெடமைன்
ಉಭಯಚರ,ஆம்பிபியா
ಉಭಯಚರ,ஆம்பிபியன்
ಉಭಯಚರ,ஆம்பிபியன்
ಉಲ್ಬಣ,ஆம்பியோக்ஸஸ்
ಆಂಫಿಯೋಕ್ಸಸ್ ಲ್ಯಾನ್ಸೊಲಾಟಸ್,ஆம்பியோக்ஸஸ் லான்சியோலட்டஸ்
ಉಭಯಪಕ್ಷೀಯ,ஆம்பிபாதிக்
ಉಭಯಚರ ಲಿಪಿಡ್,ஆம்பிபாதிக் லிப்பிட்
ಉಚ್ಚಾರೆ,ஆம்பிசர்கா
ಲೋಕದ,ஆம்பிசிலின்
ಹಲ್ಲು,ஆம்புல்லா
ಶಿರೋಕ್ತಿ ಗ್ರಂಥಿ,ஆம்பல்லரி சுரப்பி
ಅಮಿಗ್ಡಾಲ್,அமிக்டால்
ಬಾಚು,அமிக்டேல்
ಅಮಿಗ್ಲಿನ್,அமிக்டலின்
ಮಂಕಾದ,அமிலேஸ்
ಅಮಿಲೋಪ್ಲಾಸ್ಟ್,அமிலோபிளாஸ்ட்
ಅ ೦ ಗಡಿ,அனபீனா
ಹಳ್ಳ,அனபாஸ்
ಅನಾಬಲಿನ ​​ಮಾರ್ಗಗಳು,அனபோலிக் பாதைகள்
ಅನಾಬಾಲಿಸಂ,அனபோலிசம்
ಅನಾಕಾರ್ಡಿಯಾಸಿ,அனகார்டியாசி
ರಕ್ತಹೀನತೆ,இரத்த சோகை
ಬಯೆರೋಲೆ,காற்றில்லா
ಆಮ್ಲಜನವ್ಯಕ್ತಿ,காற்றில்லா எரிபொருள்
ಆಮ್ಲಜನವ್ಯಕ್ತಿ,காற்றில்லா சுவாசம்
ಆಮ್ಲಜನಕರಹಿತ ಕೆಸರು ಡೈಜೆಸ್ಟರ್,காற்றில்லா கசடு டைஜெஸ்டர்
ಆಮ್ಲಜನವ್ಯಕ್ತಿ,காற்றில்லா
ಅನೈಮ,அனைமா
ಗುದ,குத
ಗುದ,குத
ಗುದ ದ್ಯುತಿರಂಧ್ರ,குத துளை
ಗುದ,குத செர்சி
ಗುದ ಲೂಪು,குத லூப்
ಗುದ ಶೈಲಿ,குத பாணி
ಹೋಲುವ,ஒப்பீட்டு
ಹೋಲುವ,ஒப்பீட்டு
ಸಾದೃಶ್ಯ,ஒப்புமை
ಸಾದೃಶ್ಯ,ஒப்புமை
ವಿಶ್ಲೇಷಣೆ,பகுப்பாய்வு
ಅನಾಫೇಸ್,அனாபேஸ்
ಅಂಗರಚನಾ ತಡೆಗೋಡೆ,உடற்கூறியல் தடை
ಅಂಗರಚನಾ ಅಂಶ,உடற்கூறியல் அம்சம்
ಅಂಗರಚನಾ ತಜ್ಞ,உடற்கூறியல் நிபுணர்
ಅಂಗರಚನಾಶಾಸ್ತ್ರ,உடற்கூறியல்
ಪೂರ್ವಜರ ವಂಶಸ್ಥ ಅನುಕ್ರಮ,மூதாதையர் வழித்தோன்றல் வரிசை
ಪೂರ್ವಜರ ವಂಶ,மூதாதையர் பரம்பரை
ಪೂರ್ವಜರ ಅನುಕ್ರಮ,மூதாதையர் வரிசை
ಚಾಚು,அன்சிலோஸ்டோமா
ಆಂಡ್ರೊಸಿಯಮ್,ஆண்ட்ரோசியம்
Andrಷಧ,ஆண்ட்ரோஜன்
ರಕ್ತಹೀನತೆ,இரத்த சோகை
ವೇಶ್ಯೆ,அனிமோன்
ಅನೆಲಾಯ್ಡ್,அனூப்ளோயிட்
ಅನೆಪ್ಲು,அனூப்ளோயிடி
ಗಂಜಿ,ஆஞ்சினா
ಆಂಗಿಯ ವರ್ಗ,ஆஞ்சியோகிராம்
ಆತಿ,ஆஞ்சியோகிராஃப்
ಆಂಜಿಯಾರಿ ಶಾಸ್ತ್ರ,ஆஞ்சியோகிராஃபி
ಆಂಜಿಯೋಪ್ಲಾಸ್ಟಿ,ஆஞ்சியோபிளாஸ்டி
ಆಂಗಿಯೋಸ್ಪೆರ್ಮು,ஆஞ்சியோஸ்பெர்ம்
ಆಂಜಿಯೋಟೆನ್ಸಿನ್,ஆஞ்சியோடென்சின்
ಆಂಜಿಯೋಟೆನ್ಸಿನ್ ವಂಶದ,ஆஞ்சியோடென்சினோஜென்
ಗಾಳಹಾಕಿ ಮೀನು,ஆங்லர் மீன்
ಗದ್ದೆ,அங்குயினா
ಕುಡಿನೂದಿ,ஆங்குயிஸ்
ಪ್ರಾಣಿ,விலங்கு
ಪ್ರಾಣಿ,விலங்கு
ಪ್ರಾಣಿ ಸಗಣಿ,விலங்கு சாணம்
ಪಶುಸಂಗೋಪನೆ,கால்நடை வளர்ப்பு
ಪ್ರಾಣಿ ಕ್ಯಾರಿಯೋಟೈಪಿಂಗ್,விலங்கு காரியோடைப்பிங்
ಪ್ರಾಣಿ ಸಾಮ್ರಾಜ್ಯ,விலங்கு இராச்சியம்
ಪ್ರಾಣಿಗಳ ಅಂಗಾಂಶ,விலங்கு திசு
ಪ್ರಾಣಿ,விலங்கு
ಅಯಾನು,அனியன்
ಅನಿಸೊಟ್ರಾಪಿಕ್ ಬ್ಯಾಂಡ್,அனிசோட்ரோபிக் பேண்ட்
ಮುಟ್ಟಿದ,அனீலிங்
ಗಡಿಯಾರ,Annelid
ಅನುಗ್ರಹದ,அன்னெலிடா
ವಾರ್ಷಿಕ ಉಂಗುರ,ஆண்டு வளையம்
ಉರಿಯೂತ,வருடாந்திர
ಅನ್ನ್ಯೂಲ್,Annule
ಅಸಂಗತ ಪ್ರಕಾರ,ஒழுங்கற்ற வகை
ಅನಾಫಿಲಿಸ್,அனோபீல்ஸ்
ಇರುವೆ ಭಕ್ಷಕ,எறும்பு உண்பவர்
ವಿರೋಧದ,விரோதமான
ಪೃಷ್ಠದ,அண்டார்டிக்
ಆನಂತಾ,ஆண்டெனா
ಆಂಟೆನಾ ಸಂಕೀರ್ಣ,ஆண்டெனா காம்ப்ளக்ஸ்
ಆಂಟೆನಾಲ್ ಗ್ರಂಥಿ,ஆண்டெனல் சுரப்பி
ಮುಂಭಾಗದ (ಕುಹರದ) ಬೂದು ಕೊಂಬು,முன்புற (வென்ட்ரல்) சாம்பல் கொம்பு
ಮುಂಭಾಗದ ಹೈಪೋಫಿಸಿಸ್,முன்புற ஹைப்போபிஸிஸ்
ಮುಂಭಾಗದ ಮಧ್ಯಸ್ಥಿಕೆಯ ಸಲ್ಕಸ್,முன்புற தலையீட்டு சல்கஸ்
ಪರಾಗ,மகரந்தம்
ಪರಂಪರೆ ಸಂಸ್ಕೃತಿ,மகரந்த கலாச்சாரம்
ಸ ೦ ಗಂಥಿಯ,Anteridium
ಪರಾಗಿದರದ,ஆந்தமாசி
ಆಂಥೆಸೆರೋಸ್,அந்தோசெரோஸ்
ಆಂಥೋಸೆರೋಟಾಪ್ಸಿಡಾ,அந்தோசெரோடோப்சிடா
ಆಂಥ್ರಾಕ್ಸ್,ஆந்த்ராக்ஸ்
