Punjabi,Kannada
ਵਿਰੋਧੀ ਮੌਲਵੀਵਾਦ,ಪುರೋಹಿತಶಾಹಿ ವಿರೋಧಿ
ਕਲੈਰੀਕਲ ਵਿਰੋਧੀ ਕਾਨੂੰਨ,ವಿರೋಧಿ ಪಾದ್ರಿಗಳ ಶಾಸನ
ਪੁਰਾਤਨਤਾ,ಪ್ರಾಚೀನತೆ
ਵਿਰੋਧੀ ਕਿਰਾਇਆ,ಬಾಡಿಗೆ ವಿರೋಧಿ
ਵਿਰੋਧੀ ਕਿਰਾਇਆ,ಬಾಡಿಗೆ ವಿರೋಧಿ
ਵਿਰੋਧੀ ਸਾਮੀਵਾਦ,ಯೆಹೂದ್ಯ ವಿರೋಧಿ
ਐਨਜ਼ੈਕ,ಅಂಜಾಕ್
ਅਪੇਲਾ,ಅಪೆಲ್ಲಾ
ਅਰਲੂ,ಅರಳು
ਆਰਕ ਬਿਸ਼ਪ,ಆರ್ಚ್ ಬಿಷಪ್
ਆਰਕ ਡਚੀ,ಆರ್ಚ್ ಡಚಿ
ਆਰਕ ਡਿਊਕ,ಆರ್ಚ್ ಡ್ಯೂಕ್
ਪੁਰਾਲੇਖ (=ਪੁਰਾਲੇਖ ਸੰਗ੍ਰਹਿ),ಆರ್ಚೀಫ್ (=ಆರ್ಕೈವಲ್ ಸಂಗ್ರಹ)
ਆਰਚੀਪੀਸਕੋਪੇਟ,ಆರ್ಕಿಪಿಸ್ಕೋಪೇಟ್
ਕੁਲੀਨ,ಶ್ರೀಮಂತವರ್ಗ
ਰਈਸ,ಶ್ರೀಮಂತ
ਕੁਲੀਨ ਸਨੋਬਰੀ,ಶ್ರೀಮಂತ ಸ್ನೋಬರಿ
ਅਰਿਸਟੋਟਲੀਅਨ,ಅರಿಸ್ಟಾಟಲ್
ਆਰਮਾਡਾ,ನೌಕಾಪಡೆ
ਆਰਮਾਡਾ (= ਸਪੇਨੀ ਆਰਮਾਡਾ),ನೌಕಾಪಡೆ (=ಸ್ಪ್ಯಾನಿಷ್ ಆರ್ಮಡಾ)
ਸ਼ਸਤਰਧਾਰਕ (=ਸ਼ਸਤਰਧਾਰਕ),ಶಸ್ತ್ರಾಗಾರ (=ಶಸ್ತ್ರಾಗಾರ)
ਸ਼ਸਤ੍ਰ (= ਸ਼ਸਤ੍ਰ),ರಕ್ಷಾಕವಚ (=ರಕ್ಷಾಕವಚ)
ਸ਼ਸਤਰਧਾਰਕ,ಶಸ್ತ್ರಾಗಾರ
ਆਰੀਅਨ,ಆರ್ಯನ್
ਆਰੀਅਨ,ಆರ್ಯನ್
ਅਸਕਰੀ,ಅಸ್ಕರಿ
ਅਸਾਈਨੈਟ,ನಿಯೋಜಿಸಿ
ਅਸਾਈਜ਼,ಅಸೈಜ್ ಮಾಡಿ
ਅਸਾਈਜ਼,ಅಸೈಜ್ ಮಾಡಿ
ਅਸਾਈਜ਼,ಅಸೈಜ್ ಮಾಡಿ
ਅਸਲਾ ਐਕਟ ਦੀ ਸਹਾਇਤਾ,ಅಸೈಜ್ ಆಫ್ ಆರ್ಮ್ಸ್ ಆಕ್ಟ್
ਡੈਰੇਨ ਪ੍ਰੈਜ਼ੈਂਟਮੈਂਟ ਦੀ ਸਹਾਇਤਾ,ಅಸೈಜ್ ಆಫ್ ಡರೇನ್ ಪ್ರಸ್ತುತಿ
ਮੋਰਟ &#39;ਡੀ&#39; ਪੂਰਵਜ ਦੀ ਸਹਾਇਤਾ,ಮೊರ್ಟ್ &#39;ಡಿ&#39; ಪೂರ್ವಜರ ಅಸೈಜ್
ਨਾਵਲ ਡੀਸੀਸਿਨ ਦੀ ਸਹਾਇਤਾ,ಡಿಸೈಸಿನ್ ಕಾದಂಬರಿಯ ಅಸೈಜ್
ਅੱਤਿਆਚਾਰ,ದೌರ್ಜನ್ಯ
ਹਮਲਾ,ದಾಳಿ
ਔਲਿਕ ਕੌਂਸਲ,ಆಲಿಕ್ ಕೌನ್ಸಿಲ್
ਦੇਵੀ ਦੀ ਕੁਹਾੜੀ (= ਦੇਵੀ ਦੀ ਕੁਹਾੜੀ),ಗೆಡೆಸ್‌ನ ಕೊಡಲಿ (=ಗೆಡೆಸ್ ಕೊಡಲಿ)
ਐਕਸਿਸ (=ਰੋਮ-ਬਰਲਿਨ-ਟੋਕੀਓ ਐਕਸਿਸ),ಆಕ್ಸಿಸ್ (=ದಿ ರೋಮ್-ಬರ್ಲಿನ್-ಟೋಕಿಯೊ ಆಕ್ಸಿಸ್)
ਬਾਬਲ,ಬ್ಯಾಬಿಲೋನ್
ਬਾਬਲੀ ਗ਼ੁਲਾਮੀ (=ਬੇਬੀਲੋਨ ਦੀ ਗ਼ੁਲਾਮੀ),ಬ್ಯಾಬಿಲೋನಿಯನ್ ಸೆರೆಯಲ್ಲಿ (=ಬ್ಯಾಬಿಲೋನಿಯನ್ ಸೆರೆಯಲ್ಲಿ)
ਬਚਨਲ ਭਗਤ,ಬಚ್ಚನಾಳ ಭಕ್ತ
ਬਚਨਲਿਆ,ಬಚ್ಚನಾಲಿಯಾ
ਕੁਆਰਾ,ಪದವಿ
ਬਗਦਾਦ ਸਮਝੌਤਾ,ಬಾಗ್ದಾದ್ ಒಪ್ಪಂದ
ਬਾਲਕਨ ਲੀਗ,ಬಾಲ್ಕನ್ ಲೀಗ್
ਬਾਲਕਨ ਸਮਝੌਤਾ,ಬಾಲ್ಕನ್ ಒಪ್ಪಂದ
ਬਾਲਕਨ ਯੁੱਧ,ಬಾಲ್ಕನ್ ಯುದ್ಧಗಳು
ਬਾਲਟਿਕ ਸਮਝੌਤਾ,ಬಾಲ್ಟಿಕ್ ಒಪ್ಪಂದ
ਡਾਕੂ,ಡಕಾಯಿತ
ਬੈਂਡੁੰਗ ਕਾਨਫਰੰਸ,ಬ್ಯಾಂಡಂಗ್ ಸಮ್ಮೇಳನ
ਦੇਸ਼ ਨਿਕਾਲੇ,ಬಹಿಷ್ಕಾರ
ਬੈਨਰ,ಬ್ಯಾನರ್
ਵਹਿਸ਼ੀ,ಅನಾಗರಿಕ
ਬਾਰਬੀਕਨ,ಬಾರ್ಬಿಕನ್
ਬਾਰਡੋਲੀ ਸੱਤਿਆਗ੍ਰਹਿ,ಬಾರ್ಡೋಲಿ ಸತ್ಯಾಗ್ರಹ
ਬਾਰਨ ਬਰਨਰ,ಬಾರ್ನ್ ಬರ್ನರ್ಗಳು
ਬੈਰਨ,ಬ್ಯಾರನ್
ਬੈਰੋਨੇਜ,ಬ್ಯಾರನೇಜ್
ਬੈਰੋਨਸ ਮੇਜਰਸ,ಬರೋನ್ಸ್ ಮೇಜರ್
ਬੈਰੋਨਸ ਨਾਬਾਲਗ,ಬ್ಯಾರನ್ಸ್ ಕಿರಿಯರು
ਬੈਰੋਨੇਸ,ಬ್ಯಾರನೆಸ್
ਬੈਰੋਨੇਟ,ಬ್ಯಾರೊನೆಟ್
ਬੈਰੋਨੇਟੇਜ,ಬ್ಯಾರೊನೆಟೇಜ್
ਬੈਰੋਨੇਟੇਜ,ಬ್ಯಾರೊನೆಟೇಜ್
ਬੈਰੋਨੇਟਸੀ,ಬ್ಯಾರೊನೆಟ್ಸಿ
ਬੈਰੋਨੀ,ಬರೋನಿ
ਬੈਰਾਕੂਨ,ಬ್ಯಾರಕೂನ್
ਬੈਰਾਕੂਨ,ಬ್ಯಾರಕೂನ್
ਬੈਰੀਕੇਡ (= ਬੈਰੀਕੇਡੋ),ಬ್ಯಾರಿಕೇಡ್ (=ಬ್ಯಾರಿಕೇಡ್)
ਬੈਰੀਕੇਡ (= ਬੈਰੀਕੇਡੋ),ಬ್ಯಾರಿಕೇಡ್ (=ಬ್ಯಾರಿಕೇಡ್)
ਬੈਰੀਕੇਡ (= ਬੈਰੀਕੇਡੋ),ಬ್ಯಾರಿಕೇಡ್ (=ಬ್ಯಾರಿಕೇಡ್)
ਬੇਸ ਕੈਂਪ,ಮೂಲ ಶಿಬಿರ
ਬੇਸਿਲਿਕਾ,ಬೆಸಿಲಿಕಾ
ਬੇਸਿਲਿਕਾ,ಬೆಸಿಲಿಕಾ
ਬਸਤੀਲਾ,ಬಸ್ತಿಲಾ
ਬੈਸਟਿਲ,ಬಾಸ್ಟಿಲ್
ਬੈਸਟਿਲ,ಬಾಸ್ಟಿಲ್
ਬੈਟਰੀ,ಬ್ಯಾಟರಿ
ਲੜਾਈ,ಕದನ
ਬੈਟਲੇ-ਐਰੇ,ಬ್ಯಾಟಲ್-ಅರೇ
ਲੜਾਈ ਦਾ ਰੋਣਾ,ಯುದ್ಧದ ಕೂಗು
ਲੜਾਈ ਦੀਨ,ಬ್ಯಾಟಲ್ ಡಿನ್
ਲੜਾਈ ਦਾ ਮੈਦਾਨ,ಯುದ್ಧಭೂಮಿ
ਲੜਾਈ ਦਾ ਭਜਨ,ಯುದ್ಧ ಸ್ತೋತ್ರ
ਸਪਰਸ ਦੀ ਲੜਾਈ,ಸ್ಪರ್ಸ್ ಕದನ
ਸਟੈਂਡਰਡ ਦੀ ਲੜਾਈ,ಬ್ಯಾಟಲ್ ಆಫ್ ದಿ ಸ್ಟ್ಯಾಂಡರ್ಡ್
ਬੈਟਲਸ਼ਿਪ,ಯುದ್ಧನೌಕೆ
ਬੈਟਲਸ਼ਿਪ-ਤਾਕਤ,ಯುದ್ಧನೌಕೆ-ಬಲ
Bayeux tapestry,ಬೇಯಕ್ಸ್ ವಸ್ತ್ರ
ਬੀਕਨ,ದಾರಿದೀಪ
ਬੀਕਨ ਟਾਵਰ,ದಾರಿದೀಪ ಗೋಪುರ
ਬੀਵਰ,ಬೀವರ್
ਬੀਵਰ,ಬೀವರ್
ਸਮੁੰਦਰ ਦੇ ਭਿਖਾਰੀ,ಸಮುದ್ರದ ಭಿಕ್ಷುಕರು
ਬੇਲੀਕੋਜ਼,ಬೆಲ್ಲಿಕೋಸ್
ਬੇਲੀਕੋਸ,ಬೆಲ್ಲಿಕೋಸ್
ਬੇਲੀਕੋਜ਼,ಬೆಲ್ಲಿಕೋಸ್
ਬੇਲੀਕੋਸਿਟੀ,ಬೆಲ್ಲಿಕೋಸಿಟಿ
ਬੇਲੋਨਾ,ಬೆಲೋನಾ
ਲਾਭ,ಪ್ರಯೋಜನ
ਪਾਦਰੀਆਂ ਦਾ ਲਾਭ,ಧರ್ಮಗುರುಗಳ ಲಾಭ
ਬੇਨੇਲਕਸ,ಬೆನೆಲಕ್ಸ್
ਬਰਲਿਨ ਫ਼ਰਮਾਨ,ಬರ್ಲಿನ್ ತೀರ್ಪು
ਬੇਸਰਕਰ,ಬರ್ಸರ್ಕರ್
ਬੇਸੰਤ (=ਬੇਜ਼ੰਤ),ಬೆಸೆಂಟ್ (=ಬೆಜಾಂಟ್)
ਬੈਥਲ,ಬೆತೆಲ್
ਬਾਈਬਲੀਓਲੇਟਰ,ಗ್ರಂಥಪಾಲಕ
ਬਿਬਲਿਓਲਾਟਰੀ,ಗ್ರಂಥಾರಾಧನೆ
ਵੱਡੀ ਬਰਥਾ,ದೊಡ್ಡ ಬರ್ತಾ
ਬਿਗੌਟ,ಮತಾಂಧ
ਬਿਲੀਟਿੰਗ,ಬಿಲ್ಲೆಟಿಂಗ್
ਅਟੈਂਡਰ ਦਾ ਬਿੱਲ,ಅಟೈಂಡರ್ ಬಿಲ್
ਅਧਿਕਾਰਾਂ ਦਾ ਬਿੱਲ,ಹಕ್ಕುಗಳ ಮಸೂದೆ
ਜੀਵਨੀਕਾਰ,ಜೀವನಚರಿತ್ರೆಕಾರ
ਜਨਮ ਕਹਾਣੀਆਂ,ಜನ್ಮ ಕಥೆಗಳು
ਬਿਵੁਆਕ,ತಾತ್ಕಾಲಿಕ
ਬਿਵੁਆਕ,ತಾತ್ಕಾಲಿಕ
ਬਿਵੁਆਕ,ತಾತ್ಕಾಲಿಕ
ਬਿਜੋਨੀਆ,ಬಿಜೋನಿಯಾ
ਕਾਲਾ ਪੰਛੀ,ಕಪ್ಪು ಪಕ್ಷಿಗಳು
ਕਾਲਾ ਝੰਡਾ,ಕಪ್ಪು ಬಾವುಟ
ਕਾਲਾ ਮੋਰੀ,ಕಪ್ಪು ರಂಧ್ರ
ਕਾਲਾ ਮੋਰੀ,ಕಪ್ಪು ರಂಧ್ರ
ਕਾਲੀ ਲੱਤ (= ਖੁਰਕ),ಕಪ್ಪು ಕಾಲು (=ಹುರುಪು)
ਕਾਲੀ ਕਮੀਜ਼,ಕಪ್ಪು ಶರ್ಟ್
ਬਲੇਜ਼ਨ,ಬ್ಲೇಝೋನ್
ਬਲੇਜ਼ਨ,ಬ್ಲೇಝೋನ್
ਧਮਾਕੇਦਾਰ,ಪ್ರಜ್ವಲಿಸುವಿಕೆ
ਧਮਾਕੇਦਾਰ,ಪ್ರಜ್ವಲಿಸುವಿಕೆ
ਬਲਿਟਜ਼ਕਰੀਗ,ಮಿಂಚುದಾಳಿ
ਖੂਨ ਰਹਿਤ ਇਨਕਲਾਬ (= ਸ਼ਾਨਦਾਰ ਇਨਕਲਾਬ),ರಕ್ತರಹಿತ ಕ್ರಾಂತಿ (=ಗ್ಲೋರಿಯಸ್ ರೆವಲ್ಯೂಷನ್)
ਬਲੱਡਵਾਈਟ,ಬ್ಲಡ್ವೈಟ್
ਖੂਨੀ ਮੈਰੀ,ಬ್ಲಡಿ ಮೇರಿ
ਨੀਲਾ,ನೀಲಿ
ਨੀਲਾ ਖੂਨ,ನೀಲಿ ರಕ್ತ
ਨੀਲੀ ਕਿਤਾਬ,ನೀಲಿ ಪುಸ್ತಕ
ਨੀਲਾ ਰਿਬਨ,ನೀಲಿ ರಿಬ್ಬನ್
ਨੀਲਾ ਰਿਬਨ,ನೀಲಿ ರಿಬ್ಬನ್
ਬਲੂਜ਼ (=ਰਾਇਲ ਹਾਰਸ ਗਾਰਡ),ಬ್ಲೂಸ್ (=ರಾಯಲ್ ಹಾರ್ಸ್ ಗಾರ್ಡ್ಸ್)
ਨੀਲੀ ਕਮੀਜ਼,ನೀಲಿ ಅಂಗಿ
ਬਲੂ ਵਾਟਰ ਸਕੂਲ,ಬ್ಲೂ ವಾಟರ್ ಸ್ಕೂಲ್
ਕੰਟਰੋਲ ਬੋਰਡ,ನಿಯಂತ್ರಣ ಮಂಡಳಿ
ਸਰੀਰ ਦੇ ਬਸਤ੍ਰ,ದೇಹದ ರಕ್ಷಾಕವಚ
ਬੋਅਰ,ಬೋಯರ್
ਲੁੱਟ,ಲೂಟಿ
ਬੋਰੋ,ಬರೋ
ਬੁਲੇਉਟੇਰੀਅਨ,ಬೌಲ್ಯೂಟೇರಿಯನ್
ਬੋਰਬਨ,ಬೌರ್ಬನ್
ਮੁੱਕੇਬਾਜ਼ ਬਗਾਵਤ,ಬಾಕ್ಸರ್ ದಂಗೆ
ਬ੍ਰੇਸ,ಬ್ರೇಸ್
ਬ੍ਰਾਸਾਰਡ,ಬ್ರಾಸಾರ್ಡ್
ਬ੍ਰਾਸਾਰਡ,ಬ್ರಾಸಾರ್ಡ್
ਰੋਟੀ ਦੀਆਂ ਬਸਤੀਆਂ,ಬ್ರೆಡ್ ವಸಾಹತುಗಳು
ਛਾਤੀ ਪਲੇਟ,ಸ್ತನ ಫಲಕ
ਛਾਤੀ ਦਾ ਕੰਮ,ಸ್ತನ ಕೆಲಸ
ਬਰੇਟਵਾਲਡਾ,ಬ್ರೆಟ್ವಾಲ್ಡಾ
ਬ੍ਰਿਗੈਂਡ,ಬ್ರಿಗಾಂಡ್
ਬ੍ਰਿਗੇਂਡੇਜ,ಬ್ರಿಗಂಡೇಜ್
ਬ੍ਰਿਟਿਸ਼ ਕਾਮਨਵੈਲਥ ਆਫ ਨੇਸ਼ਨਜ਼,ಬ್ರಿಟಿಷ್ ಕಾಮನ್‌ವೆಲ್ತ್ ರಾಷ್ಟ್ರಗಳು
ਭੂਰੇ ਰੰਗ ਦੀਆਂ ਕਮੀਜ਼ਾਂ (=ਨਾਜ਼ੀਆਂ),ಬ್ರೌನ್ ಶರ್ಟ್ಸ್ (=ನಾಜಿಗಳು)
ਬ੍ਰਸੇਲਜ਼ ਸੰਧੀ (ਪੈਕਟ) ਸੰਗਠਨ (= ਪੱਛਮੀ ਯੂਰਪੀਅਨ ਯੂਨੀਅਨ),ಬ್ರಸೆಲ್ಸ್ ಒಪ್ಪಂದ (ಒಪ್ಪಂದ) ಸಂಸ್ಥೆ (=ಪಶ್ಚಿಮ ಯುರೋಪಿಯನ್ ಒಕ್ಕೂಟ)
ਮੱਝ,ಬಫ್
ਮੱਝ,ಬಫ್
ਮੱਝ-ਕੋਟ,ಬಫ್-ಕೋಟ್
ਮੱਝਾਂ,ಬಫ್ಸ್
ਬੁਲੇ (=ਕੌਂਸਲ),ಬುಲೆ (=ಕೌನ್ಸಿಲ್)
ਬਰਗੇਜ,ಬರ್ಗೇಜ್
ਬਰਗੇਸ,ಬರ್ಗೆಸ್
ਬਿਜ਼ੰਤੀਨੀ,ಬೈಜಾಂಟೈನ್
ਬਿਜ਼ੰਤੀਨੀ ਚਰਚ,ಬೈಜಾಂಟೈನ್ ಚರ್ಚ್
ਬਿਜ਼ੰਤੀਨੀ ਸਾਮਰਾਜ,ಬೈಜಾಂಟೈನ್ ಸಾಮ್ರಾಜ್ಯ
ਬਿਜ਼ੰਤੀਨੀ ਯੁੱਗ,ಬೈಜಾಂಟೈನ್ ಯುಗ
ਬਿਜ਼ੰਤੀਨੀ ਇਤਿਹਾਸਕਾਰ,ಬೈಜಾಂಟೈನ್ ಇತಿಹಾಸಕಾರರು
ਕਾਬਲ,ಕ್ಯಾಬಲ್
ਕੈਸਰਵਾਦ,ಸೀಸರಿಸಂ
ਖਲੀਫਾ,ಖಲೀಫ್
ਕੈਲੀਗ੍ਰਾਫਰ,ಕ್ಯಾಲಿಗ್ರಾಫರ್
ਕੈਲੀਗ੍ਰਾਫਿਸਟ,ಕ್ಯಾಲಿಗ್ರಾಫಿಸ್ಟ್
ਕੈਲੀਗ੍ਰਾਫੀ,ಕ್ಯಾಲಿಗ್ರಫಿ
ਕੈਲਟ੍ਰੋਪ,ಕ್ಯಾಲ್ಟ್ರೋಪ್
ਦੋਸਤੀ,ಸೌಹಾರ್ದತೆ
ਕੈਮਰਿਲਾ,ಕ್ಯಾಮರಿಲ್ಲಾ
ਕੈਮਰਿਲਾ,ಕ್ಯಾಮರಿಲ್ಲಾ
ਕੈਮਲੌਕਮ,ಕ್ಯಾಮೆಲಾಕಮ್
ਕੈਮੋਫਲੇਜ,ಮರೆಮಾಚುವಿಕೆ
ਮੁਹਿੰਮ,ಪ್ರಚಾರ
ਕੈਂਪ ਫਾਲੋਅਰ,ಶಿಬಿರದ ಅನುಯಾಯಿ
ਕੈਂਪੋ ਸੈਂਟੋ,ಕ್ಯಾಂಪೋ ಸ್ಯಾಂಟೋ
ਕੈਂਪਸ ਮਾਰਟੀਅਸ,ಕ್ಯಾಂಪಸ್ ಮಾರ್ಟಿಯಸ್
ਕੈਨੇਫੋਰਾ,ಕ್ಯಾನೆಫೊರಾ
ਕੈਂਗੂ,ಕ್ಯಾಂಗ್ಯೂ
ਕੈਨੋਨੇਡ,ಕ್ಯಾನನೇಡ್
ਤੋਪ ਚਾਰਾ,ಕ್ಯಾನನ್ ಮೇವು
ਕੈਨਨ,ಕ್ಯಾನನ್
ਕੈਨਨ ਕਾਨੂੰਨ,ಕ್ಯಾನನ್ ಕಾನೂನು
ਕੈਨੋਪਸ ਫ਼ਰਮਾਨ,ಕ್ಯಾನೋಪಸ್ ತೀರ್ಪು
