Tamil,Telugu
ஒலி சமிக்ஞை,శబ్ద సిగ్నల్
ஒலி சேமிப்பு,శబ్ద నిల్వ
சுருக்கம்,ఎక్రోనిం
செயல்,చర్య
செயல் சுழற்சி,చర్య చక్రం
செயல் வரி,యాక్షన్ లైన్
செயல் செய்தி,చర్య సందేశం
செயல் விவரக்குறிப்பு,చర్య స్పెసిఫికేషన్
செயல்படுத்தல்,క్రియాశీలత
செயலில்,క్రియాశీల
செயலில் உள்ள கோப்பு,యాక్టివ్ ఫైల్
செயலில் வரி,యాక్టివ్ లైన్
செயலில் இணைப்பு,క్రియాశీల లింక్
செயலில் உள்ள முதன்மை கோப்பு,యాక్టివ్ మాస్టర్ ఫైల్
செயலில் உள்ள முதன்மை உருப்படி,యాక్టివ్ మాస్టర్ ఐటెమ్
செயலில் உள்ள செயற்கைக்கோள்,క్రియాశీల ఉపగ్రహం
செயலில் நிலையம்,యాక్టివ్ స్టేషన్
செயலில் சேமிப்பு,క్రియాశీల నిల్వ
செயல்பாடு,కార్యాచరణ
செயல்பாட்டு நிலை,కార్యాచరణ స్థాయి
செயல்பாடு ஏற்றுதல்,కార్యాచరణ లోడింగ్
செயல்பாட்டு விகிதம்,కార్యాచరణ నిష్పత్తి
உண்மையான முகவரி (= முழுமையான முகவரி),వాస్తవ చిరునామా (= సంపూర్ణ చిరునామా)
உண்மையான குறியீடு (= முழுமையான குறியீடு),వాస్తవ కోడ్ (= సంపూర్ణ కోడ్)
உண்மையான தரவு பரிமாற்ற வீதம்,వాస్తవ డేటా బదిలీ రేటు
உண்மையான தசம புள்ளி,వాస్తవ దశాంశ బిందువు
உண்மையான வழிமுறை (= பயனுள்ள அறிவுறுத்தல்),వాస్తవ సూచన (= ప్రభావవంతమైన సూచన)
உண்மையான விசை,అసలు కీ
உண்மையான நேரம்,అసలు సమయం
உண்மையான வேலை நேரம்,వాస్తవ పని సమయం
செயல்பாட்டு சமிக்ஞை,సిగ్నల్ యాక్చువేటింగ్
தகவமைப்பு,అనుకూలత
பின்னல்,అడాప్టర్
தகவமைப்பு சேனல் ஒதுக்கீடு,అడాప్టివ్ ఛానల్ కేటాయింపు
தகவமைப்பு ஒருங்கிணைப்பு,అడాప్టివ్ ఇంటిగ్రేషన్
தகவமைப்பு குறுக்குவெட்டு சமநிலை,అడాప్టివ్ ట్రాన్స్వర్సల్ ఈక్వలైజర్
நுழைவு சேர்க்கப்பட்டது,ఎంట్రీ జోడించబడింది
கூடுதல்,అనుబంధం
அடி,Adder
சேர்க்கை துணைப்பிரிவு,అడెర్ సబ్‌ట్రాక్టర్
கோப்பைச் சேர்க்கவும்,ఫైల్ జోడించండి
கூடுதல் எழுத்து (= சிறப்பு எழுத்து),అదనపు అక్షరం (= ప్రత్యేక అక్షరం)
கூடுதலாக ரெக்கார்டர்,అదనంగా రికార్డర్
கூடுதலாக அட்டவணை,అదనంగా పట్టిక
சேர்க்கை பண்புக்கூறு,సంకలిత లక్షణం
பயன்முறையைச் சேர்க்கவும்,మోడ్‌ను జోడించండి
செயல்பாட்டைச் சேர்க்கவும்,ఆపరేషన్ జోడించండి
முகவரி,చిరునామా
முகவரி அளவீடு,చిరునామా కొలత
முகவரியிடக்கூடிய கிடைமட்ட நிலை,చిరునామా క్షితిజ సమాంతర స్థానం
முகவரிக்குரிய புள்ளி,చిరునామా పాయింట్
முகவரி செய்யக்கூடிய நிலை,చిరునామా స్థానం
முகவரிக்குரிய பதிவு,చిరునామా రిజిస్టర్
முகவரியிடக்கூடிய சேமிப்பு,చిరునామా నిల్వ
முகவரியிடக்கூடிய செங்குத்து நிலை,చిరునామా నిలువు స్థానం
முகவரி பஸ்,చిరునామా బస్సు
முகவரி குறியீடு,చిరునామా కోడ్
முகவரி ஒப்பீட்டாளர்,చిరునామా కంపారిటర్
முகவரி கணக்கீடு,చిరునామా గణన
முகவரி மாறிலி,చిరునామా స్థిరాంకం
முகவரி மாற்றம்,చిరునామా మార్పిడి
முகவரி தரவு,చిరునామా డేటా
உரையாற்றப்பட்ட நினைவகம்,చిరునామా మెమరీ
முகவரி பயனுள்ளதாக இருக்கும்,చిరునామా ప్రభావవంతంగా ఉంటుంది
முகவரி புலம்,చిరునామా ఫీల్డ్
முகவரி வடிவம்,చిరునామా ఆకృతి
முகவரி இலவச நிரல்,చిరునామా ఉచిత ప్రోగ్రామ్
முகவரி,చిరునామా
"முகவரி
 எழுத்து","చిరునామా
 పాత్ర"
குறுக்கீடு,అంతరాయాన్ని పరిష్కరించడం
முகவரி லூப்,చిరునామా లూప్
மெய்நிகர் நினைவகத்தை உரையாற்றுதல்,వర్చువల్ మెమరీని పరిష్కరించడం
முகவரி ஒன்றோடொன்று,చిరునామా ఇంటర్లేసింగ్
முகவரி இல்லாத அறிவுறுத்தல் வடிவம்,చిరునామా లేని సూచనల ఆకృతి
முகவரி வரி,చిరునామా లైన్
முகவரி மேப்பிங்,చిరునామా మ్యాపింగ్
முகவரி குறி,చిరునామా గుర్తు
முகவரி மாற்றம்,చిరునామా మార్పు
முகவரி பகுதி,చిరునామా భాగం
முகவரி சுட்டிக்காட்டி,చిరునామా పాయింటర్
முகவரி பதிவு,చిరునామా రిజిస్టర్
முகவரி சமிக்ஞை,చిరునామా సిగ్నల్
முகவரி அளவு,చిరునామా పరిమాణం
முகவரி இடம்,చిరునామా స్థలం
முகவரி விண்வெளி அடையாளங்காட்டி,చిరునామా స్పేస్ ఐడెంటిఫైయర్
முகவரி நிறுத்தம்,చిరునామా స్టాప్
முகவரி சுவடு,చిరునామా ట్రేస్
முகவரி பாடல்,చిరునామా ట్రాక్
முகவரி மொழிபெயர்ப்பு,చిరునామా అనువాదం
முகவரி மொழிபெயர்ப்பாளர்,చిరునామా అనువాదకుడు
கூடுதல் துணை நேரம்,జోడించు-ఉపశమనం సమయం
நேரம் சேர்க்கவும்,సమయాన్ని జోడించండి
அடுத்துள்ள,ప్రక్కనే
அருகிலுள்ள அமைப்பு,ప్రక్కనే ఉన్న నిర్మాణం
அருகிலுள்ள சேனல்,ప్రక్కనే ఉన్న ఛానల్
அருகிலுள்ள டொமைன்,ప్రక్కనే ఉన్న డొమైన్
அருகிலுள்ள மேட்ரிக்ஸ்,ప్రక్కనే ఉన్న మాతృక
அருகிலுள்ள முனை,ప్రక్కనే ఉన్న నోడ్
அருகிலுள்ள சப்ரியா,ప్రక్కనే ఉన్న సబ్‌యారియా
தொடை (அமைப்பு),అడ్జాయింట్ (సిస్టమ్)
சரிசெய்யவும்,సర్దుబాటు
சரிசெய்யக்கூடிய அளவு,సర్దుబాటు పరిధి
உரை பயன்முறையை சரிசெய்யவும்,టెక్స్ట్ మోడ్‌ను సర్దుబాటు చేయండి
நிர்வாக தரவு செயலாக்கம்,అడ్మినిస్ట్రేటివ్ డేటా ప్రాసెసింగ్
நிர்வாக செயல்பாடு,పరిపాలనా ఆపరేషన్
நிர்வாக ஆபரேட்டர்,అడ్మినిస్ట్రేటివ్ ఆపరేటర్
நிர்வாக ஆபரேட்டர் நிலையம்,అడ్మినిస్ట్రేటివ్ ఆపరేటర్ స్టేషన్
நிர்வாக ஆதரவு அமைப்பு,పరిపాలనా మద్దతు వ్యవస్థ
மேம்பட்ட தொடர்பு சேவை,అధునాతన కమ్యూనికేషన్ సేవ
மேம்பட்ட தகவல் அமைப்பு,అధునాతన సమాచార వ్యవస్థ
மேம்பட்ட ஆப்டிகல் கேரக்டர் ரீடர்,అధునాతనమైన ఆప్టికల్ క్యారెక్టర్ రీడర్
மேம்பட்ட அறிவியல் கணினி,అధునాతన శాస్త్రీయ కంప్యూటర్
வான்வழி,ఆకాశయాన
மதிப்பீட்டு,మొత్తం
மொத்த வெளிப்பாடு,మొత్తం వ్యక్తీకరణ
இலக்கு வட்டம்,లక్ష్య వృత్తం
இலக்கு புலம் (= இலக்கு சின்னம்),లక్ష్యం ఫీల్డ్ (= లక్ష్యం చిహ్నం)
நோக்கம் சின்னம்,లక్ష్యం చిహ్నం
வான்வழி கணினி அமைப்பு,వాయుమార్గాన కంప్యూటర్ వ్యవస్థ
இயற்கணித ஈஜென்வெல்யூ சிக்கல்,బీజగణిత ఈజెన్వాల్యూ సమస్య
"இயற்கணித
 ஒருங்கிணைப்பு","బీజగణితం
 అనుసంధానం"
இயற்கணித மொழி,బీజగణిత భాష
இயற்கணித கையாளுதல்,బీజగణిత మానిప్యులేషన్
இயற்கணித கையாளுதல் மொழி,బీజగణిత మానిప్యులేషన్ భాష
இயற்கணித சார்ந்த மொழி,బీజగణిత ఆధారిత భాష
இயற்கணித மாற்றம்,బీజగణిత షిఫ్ట్
இயற்கணித அடையாளம் மாநாடு,బీజగణిత సంకేత సమావేశం
அல்கோல்,ఆల్గోల్
அல்கோல் அம்சம்,ఆల్గోల్ ఫీచర్
அல்கோல் நிரலாக்க,ఆల్గోల్ ప్రోగ్రామింగ్
வழிமுறை,అల్గోరిథం
அல்காரிதம் துணை மொழி,అల్గోరిథం అసోసియేటివ్ లాంగ్వేజ్
வழிமுறை வகைப்பாடு,అల్గోరిథం వర్గీకరణ
வழிமுறை சிக்கலானது,అల్గోరిథం సంక్లిష్టత
அல்காரிதம் கணக்கீடு,అల్గోరిథం కంప్యూటబిలిటీ
வழிமுறை பகுப்பாய்வு,అల్గోరిథమిక్ విశ్లేషణ
வழிமுறை அணுகுமுறை,అల్గోరిథమిక్ విధానం
வழிமுறை மொழி,అల్గోరిథమిక్ భాష
வழிமுறை வழக்கம்,అల్గోరిథమిక్ దినచర్య
வழிமுறை கோட்பாடு,అల్గోరిథమిక్ సిద్ధాంతం
மாற்றுப்பெயர்,అలియాస్
மாற்றுப்பெயர்ச்சி,అలియాసింగ్
மாற்றுப்பெயர் பெயர் (= மாற்று பெயர்),అలియాస్ పేరు (= ప్రత్యామ్నాయ పేరు)
சீரமைப்பு,అమరిక
ஒதுக்கவும்,కేటాయించండి
ஒதுக்கீடு அமைப்பு,కేటాయింపు నిర్మాణం
அனைத்து நோக்கம் கொண்ட கணினி,ఆల్-పర్పస్ కంప్యూటర్
அகரவரிசை எழுத்து,అక్షర పాత్ర
அகரவரிசை எழுத்து தொகுப்பு,అక్షర అక్షర సమితి
அகரவரிசை எழுத்து துணைக்குழு,అక్షర అక్షర ఉపసమితి
அகரவரிசை குறியீடு,అక్షర కోడ్
அகரவரிசை மாற்றம்,అక్షర షిఫ్ట్
அகரவரிசை சரம்,అక్షర స్ట్రింగ్
அகரவரிசை சொல்,అక్షర పదం
அகரவரிசை,వర్ణమాల
ஆல்பாஜோமெட்ரிக்ஸ்,ఆల్ఫాజియోమెట్రిక్స్
ஆல்பமெரிக்,ఆల్ఫామెరిక్
ஆல்பமோசைக்,ఆల్ఫామోసాయిక్
எண்ணெழுத்து,ఆల్ఫాన్యూమరిక్
எண்ணெழுத்து விசைப்பலகை சாதனம்,ఆల్ఫాన్యూమరికల్ కీబోర్డ్ పరికరం
எண்ணெழுத்து எழுத்து தொகுப்பு,ఆల్ఫాన్యూమరిక్ క్యారెక్టర్ సెట్
எண்ணெழுத்து குறியீடு,ఆల్ఫాన్యూమరిక్ కోడ్
எண்ணெழுத்து குறியீட்டு எழுத்து தொகுப்பு,ఆల్ఫాన్యూమరిక్ కోడెడ్ క్యారెక్టర్ సెట్
எண்ணெழுத்து தரவு,ఆల్ఫాన్యూమరిక్ డేటా
எண்ணெழுத்து காட்சி சாதனம்,ఆల్ఫాన్యూమరిక్ డిస్ప్లే పరికరం
எண்ணெழுத்து திருத்தப்பட்ட எழுத்து,ఆల్ఫాన్యూమరిక్ సవరించిన పాత్ర
எண்ணெழுத்து புலம்,ఆల్ఫాన్యూమరిక్ ఫీల్డ్
எண்ணெழுத்து அறிவுறுத்தல்,ఆల్ఫాన్యూమరిక్ ఇన్స్ట్రక్షన్
எண்ணெழுத்து விசைப்பலகை,ఆల్ఫాన్యూమరిక్ కీబోర్డ్
எண்ணெழுத்து வகை,ఆల్ఫాన్యూమరిక్ విధమైన
எண்ணெழுத்து சேமிப்பு,ఆల్ఫాన్యూమరిక్ స్టోరేజ్
மாற்றக்கூடிய நினைவகம்,మార్చగల మెమరీ
மாற்ற சுவிட்ச்,మార్పు స్విచ్
மாற்றுதல்,మార్చడం
மாற்று பயன்முறை,ఆల్టర్ మోడ్
மாற்று மீட்பு,ప్రత్యామ్నాయ రికవరీ
மாற்று பாதை,ప్రత్యామ్నాయ మార్గం
மாற்று ரூட்டிங்,ప్రత్యామ్నాయ రౌటింగ్
மாற்று பாதை,ప్రత్యామ్నాయ ట్రాక్
மாற்று (= அல்லது செயல்பாடு),ప్రత్యామ్నాయం (= లేదా ఆపరేషన్)
மாற்று பண்புக்கூறு,ప్రత్యామ్నాయ లక్షణం
மாற்று மறுப்பு (= இல்லை-மற்றும் செயல்பாடு),ప్రత్యామ్నాయ తిరస్కరణ (= మరియు ఆపరేషన్ కాదు)
தெளிவற்ற பிழை,అస్పష్టత లోపం
தெளிவற்ற குறிப்பு,అస్పష్టమైన సూచన
அனலாக்ஸ்,అనలాగ్
அனலாக் சேர்க்கை,అనలాగ్ యాడర్
அனலாக் சேனல்,అనలాగ్ ఛానల్
அனலாக் கணினி,అనలాగ్ కంప్యూటర్
அனலாக் மாற்றி,అనలాగ్ కన్వర్టర్
அனலாக் தரவு,అనలాగ్ డేటా
அனலாக் டிவைடர்,అనలాగ్ డివైడర్
அனலாக் வசதி முனையம்,అనలాగ్ ఫెసిలిటీ టెర్మినల్
"அனலாக் செயல்பாடு
 ஜெனரேட்டர்","అనలాగ్ ఫంక్షన్
 జనరేటర్"
அனலாக் ஒருங்கிணைப்பு,అనలాగ్ ఇంటిగ్రేషన్
அனலாக் பெருக்கி,అనలాగ్ గుణకం
அனலாக் நிரலாக்க,అనలాగ్ ప్రోగ్రామింగ్
அனலாக் அளவிடுதல்,అనలాగ్ స్కేలింగ్
அனலாக் சிக்னல்,అనలాగ్ సిగ్నల్
அனலாக் உருவகப்படுத்துதல்,అనలాగ్ అనుకరణ
அனலாக் சுவிட்ச்,అనలాగ్ స్విచ్
அனலாக் அமைப்பு,అనలాగ్ వ్యవస్థ
"டிஜிட்டலுக்கு அனலாக்
 மாற்றி","డిజిటల్‌కు అనలాగ్
 కన్వర్టర్"
"டிஜிட்டலுக்கு அனலாக்
 குறியாக்கி","డిజిటల్‌కు అనలాగ్
 ఎన్కోడర్"
அனலாக் பரிமாற்றம்,అనలాగ్ ట్రాన్స్మిషన్
அனலாக் வகை,అనలాగ్ రకం
பகுப்பாய்வு தொகுதி,విశ్లేషణ బ్లాక్
பகுப்பாய்வு முறை,విశ్లేషణ మోడ్
பகுப்பாய்வு இயந்திரம்,విశ్లేషణాత్మక ఇంజిన్
மூதாதையர் பணி,పూర్వీకుల పని
துணை உபகரணங்கள்,సహాయక పరికరాలు
மற்றும்,మరియు
மற்றும் சுற்று,మరియు సర్క్యూట్
மற்றும் உறுப்பு,మరియు మూలకం
மற்றும் வாயில்,మరియు గేట్
மற்றும் மறைத்தல்,మరియు మాస్కింగ్
மற்றும் செயல்பாடு அல்ல (= விலக்கு,మరియు ఆపరేషన్ కాదు (= మినహాయింపు
மற்றும் செயல்பாடு,మరియు ఆపరేషన్
இணைப்பு நினைவகம்,అనెక్స్ మెమరీ
சிறுகுறி,ఉల్లేఖనం
அறிவிப்பாளர்,అనన్సియేటర్
பதில்,తిరిగి సమాధానం ఇవ్వండి
பதில் தாமதம்,సమాధానం ఆలస్యం
பதிலளிக்கும் நேரம்,సమయం సమాధానం
பதில் விளக்கு,సమాధానం దీపం
பதில் பட்டியல்,జవాబు జాబితా
பதில்,సమాధానం మాత్రమే
எதிர்பார்ப்பு பயன்முறை,Ntic హించే మోడ్
எதிர்பார்ப்பு இடையக,ముందస్తు బఫరింగ్
எதிர்பார்ப்பு கேரி,ముందస్తు క్యారీ
எதிர்பார்ப்பு பேஜிங்,ముందస్తు పేజింగ్
எதிர்விளைவு செயல்பாடு,ప్రతిస్కందకం ఆపరేషన్
எதிர்விளைவு உறுப்பு,ప్రతిస్కందకం మూలకం
அபீரியோடிக் ஆண்டெனா,అపెరియోడిక్ యాంటెన్నా
துளை அட்டை,ఎపర్చరు కార్డు
துளை குறியீடு,ఎపర్చరు కోడ్
துளை நேரம்,ఎపర్చరు సమయం
இணைப்பு,అనుబంధం
இணைப்பு பணி,అనుబంధ పని
பயன்பாட்டு உருவாக்குநர்,అప్లికేషన్ డెవలపర్
பயன்பாட்டு அடுக்கு,అప్లికేషన్ లేయర్
பயன்பாட்டு சார்ந்த மொழி,అప్లికేషన్ ఓరియెంటెడ్ లాంగ్వేజ్
பயன்பாட்டு தொகுப்பு,అప్లికేషన్ ప్యాకేజీ
பயன்பாட்டு நிரல்,అప్లికేషన్ ప్రోగ్రామ్
பயன்பாட்டு நிரலாக்க,అప్లికేషన్ ప్రోగ్రామింగ్
பயன்பாடு தேவையான மொழி,అప్లికేషన్ అవసరం భాష
பயன்பாட்டு மென்பொருள்,అప్లికేషన్ సాఫ్ట్‌వేర్
Applique,అప్లిక్
தோராயக் கோட்பாடு,ఉజ్జాయింపు సిద్ధాంతం
தன்னிச்சையான அணுகல்,ఏకపక్ష ప్రాప్యత
தன்னிச்சையான வரிசை கணினி,ఏకపక్ష సీక్వెన్స్ కంప్యూటర్
நடுவர்,మధ్యవర్తిత్వ
கட்டிடக்கலை,వాస్తుశిల్పం
காப்பகப்படுத்துதல்,ఆర్కైవింగ్
பகுதி குறியீடு,స్థల సంకేతం
பகுதி தேடல்,ప్రాంత శోధన
பகுதி பரிமாற்றம்,ప్రాంత బదిలీ
பகுதி மாறி,ఏరియా వేరియబుల్
வாதம்,వాదన
வாத முகவரி,ఆర్గ్యుమెంట్ చిరునామా
வாத பட்டியல்,ఆర్గ్యుమెంట్ జాబితా
எண்கணித அறிவுறுத்தல்,అంకగణిత బోధన
எண்கணித மற்றும் தர்க்க அலகு,అంకగణిత మరియు అంకగణిత విభాగం
எண்கணித ஒதுக்கீட்டு அறிக்கை,అంకగణిత అసైన్‌మెంట్ స్టేట్మెంట్
எண்கணித சோதனை,అంకగణిత చెక్
எண்கணித மாறிலி,అంకగణిత స్థిరాంకం
எண்கணித மாற்றம்,అంకగణిత మార్పిడి
எண்கணித தரவு,అంకగణిత డేటా
எண்கணித விதிவிலக்கு,అంకగణిత మినహాయింపు
எண்கணித வெளிப்பாடு,అంకగణిత వ్యక్తీకరణ
எண்கணித நிலையான புள்ளி,అంకగణిత స్థిర బిందువు
எண்கணித வரிசைமுறை,అంకగణిత సోపానక్రమం
அறிக்கை என்றால் எண்கணிதம்,అంకగణితం ఉంటే స్టేట్మెంట్
எண்கணித தர்க்கம்,అంకగణిత తర్కం
எண்கணித தர்க்க அலகு,అంకగణిత లాజిక్ యూనిట్
எண்கணித செயல்பாடு,అంకగణిత ఆపరేషన్
எண்கணித ஆபரேட்டர்,అంకగణిత ఆపరేటర్
எண்கணித வழிதல்,అంకగణిత ఓవర్ఫ్లో
எண்கணித படத் தரவு,అంకగణిత చిత్ర డేటా
எண்கணித முன்னுரிமை,అంకగణిత ప్రాధాన్యత
எண்கணித முதன்மை,అంకగణిత ప్రాధమిక
எண்கணித பதிவு,అంకగణిత రిజిస్టర్
எண்கணித உறவு,అంకగణిత సంబంధం
எண்கணித ஸ்கேன்,అంకగణిత స్కాన్
எண்கணித பிரிவு,అంకగణిత విభాగం
எண்கணித மாற்றம்,అంకగణిత మార్పు
எண்கணித மாற்றம்,అంకగణిత బదిలీ
எண்கணித அறிக்கை,అంకగణిత ప్రకటన
எண்கணித கால,అంకగణిత పదం
எண்கணித கீழ்ப்படிதல்,అంకగణిత అండర్ఫ్లో
எண்கணித அலகு,అంకగణిత యూనిట్
வரிசை,అమరిక
வரிசை,శ్రేణి బౌండ్
வரிசை கணினி,అర్రే కంప్యూటర్
வரிசை பரிமாணம்,శ్రేణి పరిమాణం
வரிசை உறுப்பு,శ్రేణి మూలకం
வரிசை வெளிப்பாடு,శ్రేణి వ్యక్తీకరణ
வரிசை பெயர்,శ్రేణి పేరు
கட்டமைப்புகளின் வரிசை,నిర్మాణాల శ్రేణి
வரிசை அச்சிடுதல்,అర్రే ప్రింటింగ్
வரிசை செயலாக்கம்,శ్రేణి ప్రాసెసింగ్
வரிசை செயலி,అర్రే ప్రాసెసర్
வெளிப்பாடு புள்ளி,ఉచ్చారణ పాయింట్
செயற்கை அறிவாற்றல்,కృత్రిమ జ్ఞానం
செயற்கை நுண்ணறிவு,కృత్రిమ మేధస్సు
செயற்கை மொழி,కృత్రిమ భాష
செயற்கை மாறி,కృత్రిమ వేరియబుల్
கலை பயன்பாட்டு தரவு வங்கி,ఆర్ట్స్ అప్లికేషన్ డేటా బ్యాంక్
கலை பயன்பாட்டு இசை,ఆర్ట్స్ అప్లికేషన్ మ్యూజిక్
கலை பயன்பாட்டு முறை உருவாக்கம்,ఆర్ట్స్ అప్లికేషన్ సరళి తరం
அசெண்டர்,ఆరోహణ
ஏறும் வரிசை,ఆరోహణ క్రమబద్ధీకరణ
ASCIL,అస్సిల్
ASCII கட்டுப்பாட்டு தன்மை,ASCII నియంత్రణ అక్షరం
ASCII விசை வாரியம்,ASCII కీ బోర్డు
அம்சம்,కారక
அம்சம் மற்றும்,కారకం మరియు
ஒன்றுகூடு,సమీకరించటం
கூடியிருந்த தோற்றம்,సమావేశమైన మూలం
காலத்தை ஒன்றிணைக்கவும்,వ్యవధిని సమీకరించండి
அசெம்பிளர்,సమీకరించేవాడు
அசெம்பிளர் டைரெக்டிவ்,సమీకరించే ఆదేశం
அசெம்பிளர் வசதி,సమీకరించే సౌకర్యం
அசெம்பிளர் மொழி,సమీకరించే భాష
அசெம்பிளிங்,సమీకరించడం
அசெம்பிளிங் கட்டம்,సమీకరించే దశ
நேரம் திரட்டுதல்,సమీకరించే సమయాన్ని
சட்டசபை,అసెంబ్లీ
சட்டசபை மொழி,అసెంబ్లీ భాష
சட்டசபை மொழி நிரலாக்க,అసెంబ్లీ భాషా ప్రోగ్రామింగ్
சட்டசபை மொழி மென்பொருள் நெகிழ்வுத்தன்மை,అసెంబ్లీ భాషా సాఫ్ట్‌వేర్ వశ్యత
சட்டசபை பட்டியல்,అసెంబ్లీ జాబితా
சட்டசபை கட்டம்,అసెంబ్లీ దశ
சட்டசபை வழக்கம்,అసెంబ్లీ దినచర్య
சட்டசபை நேரம்,అసెంబ్లీ సమయం
சட்டசபை பிரிவு,అసెంబ్లీ యూనిట్
ஒதுக்கீட்டு அட்டவணைப்படுத்தல்,అసైన్‌మెంట్ ఇండెక్సింగ్
ஒதுக்கீட்டு செயல்பாடு,అసైన్‌మెంట్ ఆపరేషన్
ஒதுக்கீட்டு அறிக்கை,అసైన్‌మెంట్ స్టేట్మెంట్
துணை முகவரி,అసోసియేటివ్ చిరునామా
துணை வரிசை பதிவு,అసోసియేటివ్ అర్రే రిజిస్టర్
துணை விசை,అసోసియేటివ్ కీ
துணை மொழி,అసోసియేటివ్ లాంగ్వేజ్
துணை நினைவகம்,అసోసియేటివ్ మెమరీ
துணை சேமிப்பு,అసోసియేటివ్ స్టోరేజ్
தசம புள்ளி என்று கருதப்படுகிறது,దశాంశ బిందువు
சமச்சீரற்ற சாதனம்,అసమాన పరికరం
சமச்சீரற்ற i/o,అసమాన i/ఓ
ஒத்திசைவற்ற,అసమకాలిక
ஒத்திசைவற்ற கணினி,అసమకాలిక కంప్యూటర్
ஒத்திசைவற்ற தரவு பரிமாற்றம்,అసమకాలిక డేటా బదిలీ
ஒத்திசைவற்ற தரவு பரிமாற்றம்,అసమకాలిక డేటా ట్రాన్స్మిషన్
ஒத்திசைவற்ற சாதனங்கள்,అసమకాలిక పరికరాలు
ஒத்திசைவற்ற செயல்பாடு,అసమకాలిక ఆపరేషన్
ஒத்திசைவற்ற சமிக்ஞை,అసమకాలిక సిగ్నలింగ్
