Bengali,Punjabi
ঠিকানা বাস,ਪਤਾ ਬੱਸ
ঠিকানা ফাইল,ਐਡਰੈੱਸ ਫਾਈਲ
ঠিকানা বিন্যাস,ਪਤਾ ਫਾਰਮੈਟ
ঠিকানা জেনারেটর,ਪਤਾ ਜਨਰੇਟਰ
ঠিকানা লাইন,ਐਡਰੈੱਸ ਲਾਈਨ
ঠিকানা ম্যাপিং,ਪਤਾ ਮੈਪਿੰਗ
ঠিকানা নির্দেশক,ਪਤਾ ਸੰਕੇਤਕ
ঠিকানা রেজিস্টার,ਪਤਾ ਰਜਿਸਟਰ
ঠিকানা রেজোলিউশন,ਪਤਾ ਹੱਲ
ঠিকানা অনুবাদ,ਪਤਾ ਅਨੁਵਾਦ
ঠিকানাযুক্ত স্মৃতি,ਸੰਬੋਧਿਤ ਮੈਮੋਰੀ
সম্বোধন,ਸੰਬੋਧਨ
পর্যাপ্ততার মানদণ্ড,ਅਨੁਕੂਲਤਾ ਦੇ ਮਾਪਦੰਡ
সংলগ্ন,adjoint
প্রশাসন,ਪ੍ਰਸ਼ਾਸਨ
প্রশাসক,ਪ੍ਰਬੰਧਕ
অ্যাডোবি অ্যাক্রোব্যাট,ਅਡੋਬ ਐਕਰੋਬੈਟ
অ্যাডোবি ফটোশপ,ਅਡੋਬ ਫੋਟੋਸ਼ਾਪ
অ্যাডভান্স বিজনেস অ্যাপ্লিকেশন প্রোগ্রামিং (ABAP),ਐਡਵਾਂਸ ਬਿਜ਼ਨਸ ਐਪਲੀਕੇਸ਼ਨ ਪ੍ਰੋਗਰਾਮਿੰਗ (ABAP)
উন্নত তথ্য,ਉੱਨਤ ਡਾਟਾ
উন্নত তথ্য সিস্টেম,ਤਕਨੀਕੀ ਜਾਣਕਾਰੀ ਸਿਸਟਮ
উন্নত প্রযুক্তি (AT),ਉੱਨਤ ਤਕਨਾਲੋਜੀ (ਏ.ਟੀ.)
প্রতিনিধি,ਏਜੰਟ
সমষ্টি,ਏਕੀਕਰਨ
বায়ুবাহিত কম্পিউটার সিস্টেম,ਏਅਰਬੋਰਨ ਕੰਪਿਊਟਰ ਸਿਸਟਮ
aldus পেজ মেকার,aldus ਪੇਜ ਮੇਕਰ
সতর্কতা বাক্স,ਚੇਤਾਵਨੀ ਬਾਕਸ
algol,ਐਲਗੋਲ
অ্যালগরিদম,ਐਲਗੋਰਿਦਮ
অ্যালগরিদম বিশ্লেষণ,ਐਲਗੋਰਿਦਮ ਵਿਸ਼ਲੇਸ਼ਣ
অ্যালগরিদম দক্ষতা,ਐਲਗੋਰਿਦਮ ਕੁਸ਼ਲਤਾ
উপনাম,ਉਪਨਾਮ
প্রান্তিককরণ,ਅਲਾਈਨਮੈਂਟ
বরাদ্দ,ਵੰਡ
বর্ণানুক্রমিক,ਵਰਣਮਾਲਾ
আলফানিউমেরিক,ਅੱਖਰ ਅੰਕੀ
আলফানিউমেরিক কী বোর্ড,ਅੱਖਰ ਅੰਕੀ ਕੁੰਜੀ ਬੋਰਡ
আলফা-পরীক্ষা,ਅਲਫ਼ਾ-ਟੈਸਟ
আলফা-সংস্করণ,ਅਲਫ਼ਾ-ਵਰਜਨ
alt কী,alt ਕੁੰਜੀ
আলতাভিস্তা,altavista
অস্পষ্টতা,ਅਸਪਸ਼ਟਤਾ
অস্পষ্ট ব্যাকরণ,ਅਸਪਸ਼ਟ ਵਿਆਕਰਣ
আমেরিকান ন্যাশনাল স্ট্যান্ডার্ড ইনস্টিটিউট (ANSI),ਅਮਰੀਕਨ ਨੈਸ਼ਨਲ ਸਟੈਂਡਰਡ ਇੰਸਟੀਚਿਊਟ (ANSI)
আমেরিকান স্ট্যান্ডার্ড কোড ফর ইনফরমেশন ইন্টারচেঞ্জ (ASCII),ਜਾਣਕਾਰੀ ਇੰਟਰਚੇਂਜ ਲਈ ਅਮਰੀਕੀ ਸਟੈਂਡਰਡ ਕੋਡ (ASCII)
এনালগ,ਐਨਾਲਾਗ
এনালগ কম্পিউটার,ਐਨਾਲਾਗ ਕੰਪਿਊਟਰ
এনালগ ডিভাইস,ਐਨਾਲਾਗ ਜੰਤਰ
এনালগ মডেম,ਐਨਾਲਾਗ ਮਾਡਮ
এনালগ থেকে ডিজিটাল কনভার্টার (ADC),ਐਨਾਲਾਗ ਟੂ ਡਿਜੀਟਲ ਕਨਵਰਟਰ (ADC)
এবং,ਅਤੇ
এবং সার্কিট,ਅਤੇ ਸਰਕਟ
এবং গেট,ਅਤੇ ਗੇਟ
এবং অপারেশন নয় (বর্জন),ਅਤੇ ਕਾਰਵਾਈ ਨਹੀਂ (ਬੇਹੱਦ)
অ্যানিমেশন,ਐਨੀਮੇਸ਼ਨ
টীকা,ਐਨੋਟੇਸ਼ਨ
ব্যতিক্রম,ਅਸੰਗਤਤਾ
পূর্ববর্তী,ਪੂਰਵ
প্রত্যাশিত পেজিং,ਅਗਾਊਂ ਪੇਜਿੰਗ
বিরোধী প্রতিসম,ਵਿਰੋਧੀ ਸਮਰੂਪ
অ্যান্টিভাইরাস প্রোগ্রাম,ਐਂਟੀਵਾਇਰਸ ਪ੍ਰੋਗਰਾਮ
অ্যাপলেট,ਐਪਲਿਟ
অ্যাপ্লিকেশন ডেভেলপার,ਐਪਲੀਕੇਸ਼ਨ ਡਿਵੈਲਪਰ
অ্যাপ্লিকেশন প্রোগ্রামিং,ਐਪਲੀਕੇਸ਼ਨ ਪ੍ਰੋਗਰਾਮਿੰਗ
অ্যাপ্লিকেশন প্রোগ্রামিং ইন্টারফেস (API),ਐਪਲੀਕੇਸ਼ਨ ਪ੍ਰੋਗਰਾਮਿੰਗ ਇੰਟਰਫੇਸ (API)
অ্যাপ্লিকেশন সফ্টওয়্যার,ਐਪਲੀਕੇਸ਼ਨ ਸਾਫਟਵੇਅਰ
প্রয়োগমূলক ভাষা,ਲਾਗੂ ਕਰਨ ਵਾਲੀ ਭਾਸ਼ਾ
আনুমানিক তত্ত্ব,ਅਨੁਮਾਨ ਥਿਊਰੀ
স্থাপত্য,ਆਰਕੀਟੈਕਚਰ
এলাকা স্থানান্তর,ਖੇਤਰ ਦਾ ਤਬਾਦਲਾ
যুক্তি,ਦਲੀਲ
গাণিতিক এবং যুক্তিবিদ্যা ইউনিট,ਹਿਸਾਬ ਅਤੇ ਤਰਕ ਇਕਾਈ
গাণিতিক চেক,ਹਿਸਾਬ ਦੀ ਜਾਂਚ
গাণিতিক ধ্রুবক,ਅੰਕਿਤ ਸਥਿਰ
গাণিতিক তথ্য,ਅੰਕਿਤ ਡੇਟਾ
গাণিতিক নির্দেশনা,ਗਣਿਤ ਸੰਬੰਧੀ ਹਦਾਇਤ
পাটিগণিত এবং যুক্তি ইউনিট (ALU),ਗਣਿਤ ਅਤੇ ਤਰਕ ਇਕਾਈ (ALU)
আরপানেট,ਅਰਪਨੇਟ
অ্যারে,ਐਰੇ
অ্যারে ক্যাশে,ਐਰੇ ਕੈਸ਼
অ্যারে কম্পিউটার,ਐਰੇ ਕੰਪਿਊਟਰ
অ্যারে উপাদান,ਐਰੇ ਤੱਤ
অ্যারের নাম,ਐਰੇ ਨਾਮ
অ্যারে প্রসেসর,ਐਰੇ ਪ੍ਰੋਸੈਸਰ
তীর চিহ্ন,ਤੀਰ ਕੁੰਜੀਆਂ
উচ্চারণ,ਉਚਾਰਨ
উচ্চারণ বিন্দু,ਬਿਆਨ ਬਿੰਦੂ
কৃত্রিম কম্প্যাকশন,ਨਕਲੀ ਸੰਕੁਚਿਤ
কৃত্রিম নিয়ন্ত্রণ,ਨਕਲੀ ਕੰਟਰੋਲ
কৃত্রিম বুদ্ধিমত্তা,ਬਣਾਵਟੀ ਗਿਆਨ
আরোহী,ਚੜ੍ਹਦਾ
আরোহী সাজানোর,ਵਧਦੀ ਲੜੀ
ASCII বেটিকাল অর্ডার,ASCII ਬੇਟਿਕਲ ਆਰਡਰ
ASCII নিয়ন্ত্রণ চরিত্র,ASCII ਕੰਟਰੋਲ ਅੱਖਰ
ASCII ফাইল,ASCII ਫਾਈਲ
ASCII ফন্ট,ASCII ਫੌਂਟ
ASCII স্থানান্তর,ASCII ਟ੍ਰਾਂਸਫਰ
আনুমানিক অনুপাত,ਆਕਾਰ ਅਨੁਪਾਤ
এএসপিআই,ਏ.ਐਸ.ਪੀ.ਆਈ
ASR টাইমার,ASR ਟਾਈਮਰ
একত্রিত করা,ਇਕੱਠਾ ਕਰਨਾ
সংযোজনকারী,ਅਸੈਂਬਲਰ
সমাবেশ,ਅਸੈਂਬਲੀ
এসেম্বলি,ਅਸੈਂਬਲੀ ਭਾਸ਼ਾ
দাবী,ਦਾਅਵਾ
নিয়োগ,ਅਸਾਈਨਮੈਂਟ
সংঘ,ਐਸੋਸੀਏਸ਼ਨ
সহযোগী ঠিকানা,ਸਹਿਯੋਗੀ ਪਤਾ
সহযোগী স্মৃতি,ਸਹਿਯੋਗੀ ਮੈਮੋਰੀ
asteric,ਤਾਰਾ
অপ্রতিসম,ਅਸਮਿਤ
অ্যাসিঙ্ক্রোনাস,ਅਸਿੰਕ੍ਰੋਨਸ
অ্যাসিঙ্ক্রোনাস ডিজিটাল সাবস্ক্রাইবার লাইন (ADSL),ਅਸਿੰਕ੍ਰੋਨਸ ਡਿਜੀਟਲ ਸਬਸਕ੍ਰਾਈਬਰ ਲਾਈਨ (ADSL)
অ্যাসিঙ্ক্রোনাস টাইম ডিভিশন মাল্টিপ্লেক্সিং (ATDM),ਅਸਿੰਕ੍ਰੋਨਸ ਟਾਈਮ ਡਿਵੀਜ਼ਨ ਮਲਟੀਪਲੈਕਸਿੰਗ (ATDM)
অ্যাসিঙ্ক্রোনাস স্থানান্তর,ਅਸਿੰਕ੍ਰੋਨਸ ਟ੍ਰਾਂਸਫਰ
অ্যাসিঙ্ক্রোনাস ট্রান্সফার মোড (এটিএম),ਅਸਿੰਕ੍ਰੋਨਸ ਟ੍ਰਾਂਸਫਰ ਮੋਡ (ATM)
পরমাণু,ਪਰਮਾਣੂ
সংযুক্ত নথি,ਨੱਥੀ ਦਸਤਾਵੇਜ਼
সংযুক্ত ফাইল,ਨੱਥੀ ਫ਼ਾਈਲ
সংযুক্তি,ਲਗਾਵ
বৈশিষ্ট্য,ਵਿਸ਼ੇਸ਼ਤਾ
শ্রুতি,ਆਡੀਓ
অডিট প্রোগ্রামিং,ਆਡਿਟ ਪ੍ਰੋਗਰਾਮਿੰਗ
নিরীক্ষা পথ,ਆਡਿਟ ਟ੍ਰੇਲ
বৃদ্ধি,ਵਾਧਾ
প্রমাণীকরণ প্রোটোকল,ਪ੍ਰਮਾਣਿਕਤਾ ਪ੍ਰੋਟੋਕੋਲ
অথরিং সিস্টেম,ਲੇਖਕ ਪ੍ਰਣਾਲੀ
অনুমোদন,ਅਧਿਕਾਰ
স্বয়ংক্রিয় বিমূর্ত,ਆਟੋ ਐਬਸਟਰੈਕਟ
অটোবুটিং,ਆਟੋਬੂਟਿੰਗ
অটোক্যাড,ਆਟੋਕੈਡ
অটোলগ চালু,ਆਟੋਲੌਗ ਚਾਲੂ
স্বয়ংক্রিয়,ਆਟੋਮੇਟਾ
স্বয়ংক্রিয় তত্ত্ব,ਆਟੋਮੈਟਾ ਥਿਊਰੀ
স্বয়ংক্রিয় কম্পিউটিং,ਆਟੋਮੈਟਿਕ ਕੰਪਿਊਟਿੰਗ
স্বয়ংক্রিয় তথ্য প্রক্রিয়াকরণ,ਆਟੋਮੈਟਿਕ ਡਾਟਾ ਪ੍ਰੋਸੈਸਿੰਗ
স্বয়ংক্রিয় ত্রুটি সংশোধন,ਆਟੋਮੈਟਿਕ ਗਲਤੀ ਸੁਧਾਰ
স্বয়ংক্রিয় ফাংশন,ਆਟੋਮੈਟਿਕ ਫੰਕਸ਼ਨ
স্বয়ংক্রিয় সূচীকরণ,ਆਟੋਮੈਟਿਕ ਇੰਡੈਕਸਿੰਗ
স্বয়ংক্রিয় লাইব্রেরি কল,ਆਟੋਮੈਟਿਕ ਲਾਇਬ੍ਰੇਰੀ ਕਾਲ
স্বয়ংক্রিয় প্রোগ্রামিং,ਆਟੋਮੈਟਿਕ ਪ੍ਰੋਗਰਾਮਿੰਗ
স্বয়ংক্রিয় পুনরুদ্ধার প্রোগ্রাম,ਆਟੋਮੈਟਿਕ ਰਿਕਵਰੀ ਪ੍ਰੋਗਰਾਮ
স্বয়ংক্রিয় রুটিন,ਆਟੋਮੈਟਿਕ ਰੁਟੀਨ
স্বয়ংক্রিয় সিস্টেম পুনরুদ্ধার,ਆਟੋਮੈਟਿਕ ਸਿਸਟਮ ਰਿਕਵਰੀ
স্বয়ংক্রিয় টেলার মেশিন (এটিএম),ਆਟੋਮੈਟਿਕ ਟੈਲਰ ਮਸ਼ੀਨ (ATM)
অটোমেশন,ਆਟੋਮੇਸ਼ਨ
স্বয়ংক্রিয় চালু,ਸਵੈ ਚਾਲ
অটোসেভ,ਸਵੈ-ਸੰਭਾਲ
সহায়ক,ਸਹਾਇਕ
অক্জিলিয়ারী মেমরি,ਸਹਾਇਕ ਮੈਮੋਰੀ
অক্জিলিয়ারী স্টোরেজ,ਸਹਾਇਕ ਸਟੋਰੇਜ਼
প্রাপ্তিসাধ্য তালিকা,ਉਪਲਬਧ ਸੂਚੀ
উপলব্ধ সময়,ਉਪਲਬਧ ਸਮਾਂ
গড়,ਔਸਤ
awk (ভাষা),awk (ਭਾਸ਼ਾ)
ব্যাকএন্ড,ਬੈਕਐਂਡ
ব্যাকএন্ড প্রসেসর,ਬੈਕਐਂਡ ਪ੍ਰੋਸੈਸਰ
ব্যাকফেস অপসারণ,ਬੈਕਫੇਸ ਹਟਾਉਣਾ
পটভূমি প্রক্রিয়াকরণ,ਪਿਛੋਕੜ ਦੀ ਕਾਰਵਾਈ
ব্যাকিং স্টোর,ਬੈਕਿੰਗ ਸਟੋਰ
ব্যাকপ্যাচিং,ਬੈਕਪੈਚਿੰਗ
ব্যাকস্পেস,ਬੈਕਸਪੇਸ
ব্যাকট্র্যাকিং,ਬੈਕਟਰੈਕਿੰਗ
ব্যাক আপ,ਬੈਕ-ਅੱਪ
ব্যাক আপ মেমরি,ਬੈਕਅੱਪ ਮੈਮੋਰੀ
পিছনের ত্রুটি পুনরুদ্ধার,ਪਿੱਛੇ ਗਲਤੀ ਰਿਕਵਰੀ
ব্যালেন্স শীট,ਸੰਤੁਲਨ ਸ਼ੀਟ
ব্যান্ড,ਜਥਾ
ব্যান্ড প্রস্থ,ਬੈਂਡ ਚੌੜਾਈ
ব্যাংকারের অ্যালগরিদম,ਬੈਂਕਰ ਦਾ ਐਲਗੋਰਿਦਮ
বার কোড,ਬਾਰ ਕੋਡ
বারকোড স্ক্যানার,ਬਾਰ ਕੋਡ ਸਕੈਨਰ
বার গ্রাফ,ਬਾਰ ਗ੍ਰਾਫ
ভিত্তি ঠিকানা,ਅਧਾਰ ਪਤਾ
বেস ব্যান্ড,ਅਧਾਰ ਬੈਂਡ
ভিত্তি নম্বর,ਅਧਾਰ ਨੰਬਰ
ভিত্তি টেবিল,ਅਧਾਰ ਸਾਰਣੀ
বেসিক,ਬੇਸਿਕ
মৌলিক নিয়ন্ত্রণ,ਬੁਨਿਆਦੀ ਕੰਟਰੋਲ
মৌলিক ইনপুট,ਬੁਨਿਆਦੀ ਇੰਪੁੱਟ
মৌলিক নির্দেশ,ਬੁਨਿਆਦੀ ਹਦਾਇਤ
মৌলিক আউটপুট,ਬੁਨਿਆਦੀ ਆਉਟਪੁੱਟ
মৌলিক পদক্ষেপ,ਬੁਨਿਆਦੀ ਕਦਮ
ব্যাচ,ਬੈਚ
ব্যাচ ফাইল,ਬੈਚ ਫਾਈਲ
ব্যাচ অবস্থান,ਬੈਚ ਸਥਿਤੀ
ধির গতির কাজ,ਬੈਚ ਪ੍ਰੋਸੈਸਿੰਗ
ব্যাচ সিস্টেম,ਬੈਚ ਸਿਸਟਮ
বউড,ਬੌਡ
বড হার,ਬੌਡ ਦਰ
মরীচি,ਬੀਮ
মাপকাঠি,ਬੇਂਚਮਾਰਕ
দ্বিমুখী যোগাযোগ,ਦੋ-ਦਿਸ਼ਾ ਸੰਚਾਰ
দ্বিমুখী লিঙ্ক,ਦੋ-ਦਿਸ਼ਾਵੀ ਲਿੰਕ
বাইনারি কোড,ਬਾਈਨਰੀ ਕੋਡ
বাইনারি সংখ্যা,ਬਾਈਨਰੀ ਅੰਕ
বাইনারি ইনপুট আউটপুট সিস্টেম (BIOS),ਬਾਈਨਰੀ ਇਨਪੁਟ ਆਉਟਪੁੱਟ ਸਿਸਟਮ (BIOS)
বাইনারি সংখ্যা,ਬਾਈਨਰੀ ਨੰਬਰ
বাইনারি অপারেটর,ਬਾਈਨਰੀ ਆਪਰੇਟਰ
বাইনারি সম্পর্ক,ਬਾਈਨਰੀ ਸਬੰਧ
বাইনারি অনুসন্ধান,ਬਾਈਨਰੀ ਖੋਜ
বাইনারি সার্চ ট্রি (BST),ਬਾਈਨਰੀ ਸਰਚ ਟ੍ਰੀ (BST)
বাইনারি স্থানান্তর,ਬਾਈਨਰੀ ਟ੍ਰਾਂਸਫਰ
বাইনারি গাছ,ਬਾਈਨਰੀ ਰੁੱਖ
বাইপোলার মেমরি,ਬਾਈਪੋਲਰ ਮੈਮੋਰੀ
জন্ম মৃত্যু মডেল,ਜਨਮ ਮੌਤ ਮਾਡਲ
জন্ম মৃত্যু প্রক্রিয়া,ਜਨਮ ਮੌਤ ਦੀ ਪ੍ਰਕਿਰਿਆ
বিট,ਬਿੱਟ
বিট দোষ,ਬਿੱਟ ਨੁਕਸ
বিট মানচিত্র,ਬਿੱਟ ਨਕਸ਼ਾ
বিট ম্যাপ পিক্সেল (BMP),ਬਿੱਟ ਮੈਪ ਪਿਕਸਲ (BMP)
বিট ম্যাট্রিক্স,ਬਿੱਟ ਮੈਟ੍ਰਿਕਸ
বিট প্যাটার্ন,ਬਿੱਟ ਪੈਟਰਨ
বিট অবস্থান,ਬਿੱਟ ਸਥਿਤੀ
বিট হার,ਬਿੱਟ ਰੇਟ
কালো বক্স পরীক্ষা,ਬਲੈਕ ਬਾਕਸ ਟੈਸਟਿੰਗ
মিটমিট করে,ਝਪਕਣਾ
ব্লক,ਬਲਾਕ
ব্লক ক্যাশে,ਬਲਾਕ ਕੈਸ਼
ব্লক চেক,ਬਲਾਕ ਚੈੱਕ
ব্লক কপি,ਬਲਾਕ ਕਾਪੀ
ব্লক ডায়াগ্রাম,ਬਲਾਕ ਚਿੱਤਰ
ব্লকিং নেটওয়ার্ক,ਬਲਾਕਿੰਗ ਨੈੱਟਵਰਕ
বোর্ড,ਫੱਟੀ
বই চিহ্ন,ਕਿਤਾਬ ਦਾ ਨਿਸ਼ਾਨ
বুলিয়ান বীজগণিত,ਬੂਲੀਅਨ ਅਲਜਬਰਾ
বুলিয়ান সম্পর্ক,ਬੂਲੀਅਨ ਸਬੰਧ
বুট পার্টিশন,ਬੂਟ ਭਾਗ
বুট strapping,ਬੂਟ ਸਟ੍ਰੈਪਿੰਗ
বুট-স্ট্র্যাপ লোডার,ਬੂਟ-ਸਟੈਪ ਲੋਡਰ
সেতু,ਪੁਲ
ব্রডব্যান্ড নেটওয়ার্কিং,ਬਰਾਡਬੈਂਡ ਨੈੱਟਵਰਕਿੰਗ
সম্প্রচার,ਪ੍ਰਸਾਰਣ
রেডিও সম্প্রচার,ਪ੍ਰਸਾਰਣ ਰੇਡੀਓ
ব্রাউজ,ਬਰਾਊਜ਼ ਕਰੋ
ব্রাউজার,ਬਰਾਊਜ਼ਰ
বি-বৃক্ষ,ਬੀ-ਰੁੱਖ
বুদ্বুদ মেমরি,ਬੁਲਬੁਲਾ ਮੈਮੋਰੀ
বুদ্বুদ সাজানোর,ਬੁਲਬੁਲਾ ਲੜੀਬੱਧ
বালতি,ਬਾਲਟੀ
বন্ধু সিস্টেম,ਦੋਸਤ ਸਿਸਟਮ
বাজেট কার্যকর নিয়ন্ত্রণ,ਬਜਟ ਪ੍ਰਭਾਵਸ਼ਾਲੀ ਨਿਯੰਤਰਣ
বাফার,ਬਫਰ
বাগ,ਬੱਗ
বাস,ਬੱਸ
বাইট,ਬਾਈਟ
বাইট কোড,ਬਾਈਟ ਕੋਡ
গ,c
সি++,C++
ক্যাশে,ਕੈਸ਼
ক্যাশে বাফার,ਕੈਸ਼ ਬਫਰ
ক্যাশ মেমরি,ਕੈਸ਼ ਮੈਮੋਰੀ
গণনা,ਗਣਨਾ
ক্যালকুলেটর,ਕੈਲਕੁਲੇਟਰ
ক্যালকুলেটর চিপ,ਕੈਲਕੁਲੇਟਰ ਚਿੱਪ
কল,ਕਾਲ ਕਰੋ
নামে ডাক,ਨਾਮ ਨਾਲ ਕਾਲ ਕਰੋ
রেফারেন্স দ্বারা কল করুন,ਹਵਾਲੇ ਦੁਆਰਾ ਕਾਲ ਕਰੋ
মূল্য দ্বারা কল,ਮੁੱਲ ਦੁਆਰਾ ਕਾਲ ਕਰੋ
ভেরিয়েবল দ্বারা কল,ਵੇਰੀਏਬਲ ਦੁਆਰਾ ਕਾਲ ਕਰੋ
কল গেট,ਕਾਲ ਗੇਟ
বাতিল,ਰੱਦ ਕਰੋ
বাতিল বোতাম,ਰੱਦ ਕਰੋ ਬਟਨ
ক্যানোনিকাল,ਕੈਨੋਨੀਕਲ
ক্যানোনিকাল ফর্ম,ਕੈਨੋਨੀਕਲ ਰੂਪ
ক্ষমতা,ਸਮਰੱਥਾ
ক্ষমতা তালিকা,ਸਮਰੱਥਾ ਸੂਚੀ
ক্ষমতা,ਸਮਰੱਥਾ
ক্যাপ লক কী,ਕੈਪਸ ਲਾਕ ਕੁੰਜੀ
কার্ড,ਕਾਰਡ
কার্ড পাঠক,ਕਾਰਡ ਰੀਡਰ
কার্ডিনালিটি,ਮੁੱਖਤਾ
বাহক,ਕੈਰੀਅਰ
ক্যারিয়ার ব্যান্ড,ਕੈਰੀਅਰ ਬੈਂਡ
ক্যারিয়ার লোড,ਕੈਰੀਅਰ ਲੋਡ
ক্যারিয়ার সংকেত,ਕੈਰੀਅਰ ਸਿਗਨਲ
ক্যারিয়ার তরঙ্গ,ਕੈਰੀਅਰ ਲਹਿਰ
বহন,ਲੈ ਜਾਣਾ
অঙ্ক বহন,ਕੈਰੀ ਅੰਕ
পতাকা বহন,ਝੰਡਾ ਚੁੱਕੋ
কার্তুজ ডিস্ক,ਕਾਰਤੂਸ ਡਿਸਕ
ক্যাসকেড,ਕੈਸਕੇਡ
মামলা,ਕੇਸ
ক্যাথড রে টিউব (সিআরটি),ਕੈਥੋਡ ਰੇ ਟਿਊਬ (ਸੀਆਰਟੀ)
ক্যাথোড রে টিউব (CRT),ਕੈਥੋਡ ਰੇ ਟਿਊਬ (ਸੀਆਰਟੀ)
সিডি রম ডিস্ক ড্রাইভ,CD ROM ਡਿਸਕ ਡਰਾਈਵ
কোষ,ਸੈੱਲ
সেল অ্যানিমেশন,ਸੈੱਲ ਐਨੀਮੇਸ਼ਨ
মোবাইল ফোন,ਸੈਲੂਲਰ ਫ਼ੋਨ
কেন্দ্রীয় স্মৃতি,ਕੇਂਦਰੀ ਮੈਮੋਰੀ
কেন্দ্রীয় প্রক্রিয়াকরণ ইউনিট (CPU),ਕੇਂਦਰੀ ਪ੍ਰੋਸੈਸਿੰਗ ਯੂਨਿਟ (CPU)
কেন্দ্রীভূত ব্যবস্থা,ਕੇਂਦਰੀ ਸਿਸਟਮ
প্রত্যয়িত টেপ,ਪ੍ਰਮਾਣਿਤ ਟੇਪ
চেইন,ਚੇਨ
