Odiya,Malayalam
ଆକ୍ସେସ୍ ବାହୁ,കൈ
ପ୍ରବେଶ ବ୍ୟବସ୍ଥା,ആക്സസ് ക്രമീകരണം
ପ୍ରବେଶ କର ପ୍ରାଧିକରଣ,അതോറിറ്റി ആക്സസ് ചെയ്യുക
ପ୍ରବେଶ ଚାର୍ଜ,ആക്സസ് ചാർജ്
ଶ୍ରେଣୀ ଶ୍ରେଣୀ,ആക്സസ് ക്ലാസ്
ଡାଟା ବେସ୍ ମ୍ୟାନେଜମେଣ୍ଟକୁ ପ୍ରବେଶ କରନ୍ତୁ |,ഡാറ്റ ബേസ് മാനേജുമെന്റ് ആക്സസ് ചെയ്യുക
ପ୍ରବେଶ ପରିବେଶ ସେବା,പ്രവേശന അന്തരീക്ഷം
ଫାଗ୍ ଆକ୍ସେସ୍ କରନ୍ତୁ |,വിടവ് ആക്സസ് ചെയ്യുക
ପ୍ରବେଶ ସୂଚକାଙ୍କ,ആക്സസ് സൂചിക
ଆକ୍ସେସ୍ ଲାଇନ୍ |,ആക്സസ് ലൈൻ
ମେକାନିଜିମ୍ ଆକ୍ସେସ୍ ଆକ୍ସେସ୍ କରନ୍ତୁ |,ആക്സസ് സംവിധാനം
ପ୍ରବେଶ ପଦ୍ଧତି,ആക്സസ് രീതി
ଆକ୍ସେସ୍ ପଦ୍ଧତି ରୁଟିନ୍ |,ആക്സസ് രീതി പതിവ്
ପ୍ରବେଶ ମୋଡ୍,ആക്സസ് മോഡ്
ଅଧିକାର ପ୍ରବେଶ,വലത് ആക്സസ്
ପ୍ରବେଶ ସ୍କାନ,ആക്സസ് സ്കാൻ
ସମୟ ପ୍ରବେଶ କରନ୍ତୁ |,ആക്സസ് സമയം
ହିସାବ,അക്കൌണ്ടിംഗ്
ହିସାବ ଆର୍ଥିକ ବ୍ୟବସ୍ଥା,അക്ക ing ണ്ടിംഗ് ധനകാര്യ സംവിധാനം
ହିସାବ ଯନ୍ତ୍ର,അക്ക ing ണ്ടിംഗ് മെഷീൻ
ଖାତା ସଂଖ୍ୟା,അക്കൗണ്ട് നമ്പർ
ପୁନର୍ବାର ଜମା କରିବା |,അടിഞ്ഞുകൂടുന്നത് പുനരുൽപാദനം
ଆକ୍ୟୁମୁଲେଟର,സഞ്ചിതം
ଆକ୍ୟୁମୁଲେଟର ରେଜିଷ୍ଟର |,സഞ്ചിത രജിസ്റ്റർ
ଆକ୍ୟୁମୁଲେଟର ସିଫ୍ଟ ନିର୍ଦ୍ଦେଶ |,സഞ്ചിത ഷിഫ്റ്റ് നിർദ്ദേശം
ସଠିକତା,കൃതത
ସଠିକତା ନିୟନ୍ତ୍ରଣ ଚରିତ୍ର |,കൃത്യത നിയന്ത്രണ പ്രതീകം
ସଠିକତା ନିୟନ୍ତ୍ରଣ ବ୍ୟବସ୍ଥା |,കൃത്യത നിയന്ത്രണ സംവിധാനം
Ace ପାଇଲଟ୍ |,എയ്സ് പൈലറ്റ്
ସ୍ୱୀକାର କରନ୍ତୁ ବର୍ଣ୍ଣ,പ്രതീകം അംഗീകരിക്കുക
ଆକାଶବାଣୀ କପତର୍ |,അക്കോസ്റ്റിക് കപ്ലർ
ଆକାଶବାଣୀ କଣ୍ଟା |,അക്കോസ്റ്റിക് കപ്ലിംഗ്
ଆକାଶବାଣୀ ବିଳମ୍ବ ରେଖା |,അക്ക ou സ്റ്റിക് കാലതാമസം
ଆକାଶବାଣୀ ସ୍ମୃତି,അക്കോസ്റ്റിക് മെമ്മറി
ଆକାଶବାଣୀ ମୋଡେମ୍ |,അക്കോസ്റ്റിക് മോഡം
ଆକାଶବାଣୀ ସଙ୍କେତ |,അക്കോസ്റ്റിക് സിഗ്നൽ
ଆକାଶବାଣୀ ସଂରକ୍ଷଣ |,അക്ക ou സ്റ്റിക് സ്റ്റോറേജ്
ଆକ୍ରୋନିମ୍ |,സംക്ഷേപം
କାର୍ଯ୍ୟ,പവര്ത്തി
କ୍ରିୟା ଚକ୍ର,പ്രവർത്തന ചക്രം
କ୍ରିୟା ରେଖା,ആക്ഷൻ ലൈൻ
କ୍ରିୟା ବାର୍ତ୍ତା,ആക്ഷൻ സന്ദേശം
କାର୍ଯ୍ୟ ନିର୍ଦ୍ଦିଷ୍ଟକରଣ |,പ്രവർത്തന സവിശേഷത
ସକ୍ରିୟକରଣ,സജീവമാക്കല്
ସକ୍ରିୟ,സജീവമായ
ସକ୍ରିୟ ଫାଇଲ,സജീവ ഫയൽ
ସକ୍ରିୟ ରେଖା,സജീവ ലൈൻ
ସକ୍ରିୟ ଲିଙ୍କ୍ |,സജീവ ലിങ്ക്
ସକ୍ରିୟ ମାଷ୍ଟର ଫାଇଲ |,സജീവ മാസ്റ്റർ ഫയൽ
ସକ୍ରିୟ ମାଷ୍ଟର ଆଇଟମ୍ |,സജീവ മാസ്റ്റർ ഇനം
ସକ୍ରିୟ ଉପଗ୍ରହ |,സജീവ ഉപഗ്രഹം
ସକ୍ରିୟ ଷ୍ଟେସନ,സജീവ സ്റ്റേഷൻ
ସକ୍ରିୟ ସଂରକ୍ଷଣ,സജീവ സംഭരണം
କାର୍ଯ୍ୟକଳାପ,പ്രവർത്തനം
କାର୍ଯ୍ୟକଳାପ ସ୍ତର,പ്രവർത്തന നില
କାର୍ଯ୍ୟକଳାପ ଲୋଡିଂ,പ്രവർത്തന ലോഡിംഗ്
କାର୍ଯ୍ୟକଳାପ ଅନୁପାତ,പ്രവർത്തന അനുപാതം
ପ୍ରକୃତ ଠିକଣା (= ସଂପୂର୍ଣ୍ଣ ଠିକଣା),യഥാർത്ഥ വിലാസം (= കേവല വിലാസം)
ପ୍ରକୃତ କୋଡ୍ (= ସଂପୂର୍ଣ୍ଣ କୋଡ୍),യഥാർത്ഥ കോഡ് (= കേവല കോഡ്)
ପ୍ରକୃତ ଡାଟା ସ୍ଥାନାନ୍ତର ହାର |,യഥാർത്ഥ ഡാറ്റ കൈമാറ്റ നിരക്ക്
ପ୍ରକୃତ ଦଶମିକ ବିନ୍ଦୁ |,യഥാർത്ഥ ദശാംശസ്ഥാനം
ପ୍ରକୃତ ନିର୍ଦ୍ଦେଶ (= ପ୍ରଭାବଶାଳୀ ନିର୍ଦ୍ଦେଶ),യഥാർത്ഥ നിർദ്ദേശം (= ഫലപ്രദമായ നിർദ്ദേശം)
ପ୍ରକୃତ ଚାବି |,യഥാർത്ഥ കീ
ପ୍ରକୃତ ସମୟ,യഥാർത്ഥ സമയം
ପ୍ରକୃତ କାର୍ଯ୍ୟ ସମୟ,യഥാർത്ഥ ജോലി സമയം
କାର୍ଯ୍ୟକ୍ଷମ ସଙ୍କେତ,ആരംഭിക്കുന്ന സിഗ്നൽ
ଅନୁକେତ,പൊരുത്തപ്പെടലി
ଆଡାପ୍ଟର,അഡാപ്റ്റർ
ଆଡାପ୍ଟିଭ୍ ଚ୍ୟାନେଲ୍ ଆବଣ୍ଟନ |,അഡാപ്റ്റീവ് ചാനൽ അനുവദിക്കൽ
ଆଡାପ୍ଟିଭ୍ ଇଣ୍ଟିଗ୍ରେସନ୍ |,അഡാപ്റ്റീവ് ഇന്റഗ്രേഷൻ
ଆଡାପ୍ଟିଭ୍ ଟ୍ରାନ୍ସଭର୍ସାଲ୍ ସମାନତା |,അഡാപ്റ്റീവ് ട്രാൻസ്വേഴ്സ് ഇക്വൈസർ
ପ୍ରବେଶ ଯୋଗ କରାଯାଇଛି |,എൻട്രി ചേർത്തു
ଯୋଡି,കൂട്ടിച്ചേര്ക്കുക
ଆଡର୍,ആംഗം
ଆଡର୍ ସବଟ୍ରାକ୍ଟର |,എ ഷട്രക്റ്റർ
ଫାଇଲ୍ ଯୋଡନ୍ତୁ,ഫയൽ ചേർക്കുക
ଅତିରିକ୍ତ ଅକ୍ଷର (= ବିଶେଷ ଅକ୍ଷର),അധിക പ്രതീകം (= പ്രത്യേക പ്രതീകം)
ଯୋଗ ରେକର୍ଡ |,ബഹുമതി
ଯୋଗ ଉପକରଣ,കൂട്ടിച്ചേർക്കലാ പട്ടിക
ଯୋଗୀ ଗୁଣ,അഡിറ്റീവ് ആട്രിബ്യൂട്ട്
ମୋଡ୍ ଯୋଡନ୍ତୁ,മോഡ് ചേർക്കുക
ଅପରେସନ୍ ଯୋଡନ୍ତୁ |,പ്രവർത്തനം ചേർക്കുക
ଠିକଣା,അഭിസംബോധന ചെയ്യുക
ଠିକଣା ମାପ ମାପ |,വിലാസ നടപടി
ଠିକଣା ଯୋଗ୍ୟ ଭୂସମାନ୍ତର ସ୍ଥିତି |,അഭിസംബോധന ചെയ്യാവുന്ന തിരശ്ചീന സ്ഥാനം
ଠିକଣା ଯୋଗ୍ୟ ବିନ୍ଦୁ |,വിലാസ പോയിന്റ്
ଠିକଣା ଯୋଗ୍ୟ ଅବସ୍ଥାନ |,അഭിസംബോധന ചെയ്യാവുന്ന സ്ഥാനം
ଠିକଣା ଯୋଗ୍ୟ ରେଜିଷ୍ଟର |,വിലാസ രജിസ്റ്റർ
ଠିକଣା ଯୋଗ୍ୟ ଷ୍ଟୋରେଜ,വിലാസ സംഭരണം
ଠିକଣା ଭୂଲମ୍ବ ସ୍ଥିତି |,അഭിസംബോധന ചെയ്യാവുന്ന ലംബ സ്ഥാനം
ଠିକଣା ବସ୍,വിലാസ ബസ്
ଠିକଣା କୋଡ୍,വിലാസ കോഡ്
ଠିକଣା ତୁଳସୀତି,വിലാസ താരതമ്യക്കാരൻ
ଠିକଣା ଗଣନା,വിലാസ കണക്കുകൂട്ടൽ
ସ୍ଥିର ଠିକଣା,വിലാസ സ്ഥിരത
ଠିକଣା କନଭର୍ସନ୍ |,വിലാസ പരിവർത്തനം
ଠିକଣା ତଥ୍ୟ,വിലാസ ഡാറ്റ
ଠିକଣା ମେମୋରୀ |,മെമ്മറി അഭിസംബോധന ചെയ്തു
ଠିକଣା ପ୍ରଭାବଶାଳୀ |,വിലാസ ഫലപ്രദമാണ്
ଠିକଣା କ୍ଷେତ୍ର,വിലാസ ഫീൽഡ്
ଠିକଣା ଫର୍ମାଟ୍,വിലാസ ഫോർമാറ്റ്
ଠିକଣା ମାଗଣା ପ୍ରୋଗ୍ରାମ୍ |,വിലാസ സ contry ജന്യ പ്രോഗ്രാം
ଠିକଣା,അഭിസംബോധന
"ଠିକଣା
 ବର୍ଣ୍ଣ","അഭിസംബോധന
 കഥാപാതം"
ବାଧା ଠିକଣା,അഭിസംബോധന ഇന്ററപ്റ്റ്
ଲୁପ୍ ଠିକଣା,വിലാസം ലൂപ്പ്
ଭର୍ଚୁଆଲ୍ ମେମୋରୀ ଠିକଣା,വെർച്വൽ മെമ്മറി അഭിസംബോധന ചെയ്യുന്നു
ଠିକଣା ଅନ୍ତରାପଳୀ,വിലാസം ഇന്റർലേസിംഗ്
ଠିକଣାହୀନ ନିର୍ଦ୍ଦେଶ ଫର୍ମାଟ୍ |,വിലാസരഹിതമായ നിർദ്ദേശങ്ങൾ ഫോർമാറ്റ്
ଠିକଣା ରେଖା,വിലാസ ലൈൻ
ଠିକଣା ମ୍ୟାପିଙ୍ଗ,വിലാസ മാപ്പിംഗ്
ଠିକଣା ଚିହ୍ନ,വിലാസ അടയാളം
ଠିକଣା ପରିବର୍ତ୍ତନ,വിലാസ പരിഷ്ക്കരണം
ଠିକଣା ଅଂଶ,വിലാസ ഭാഗം
ଠିକଣା ସୂଚକ,വിലാസം പോയിന്റർ
ଠିକଣା ରେଜିଷ୍ଟର |,വിലാസ രജിസ്റ്റർ
ଠିକଣା ସଙ୍କେତ,വിലാസ സിഗ്നൽ
ଠିକଣା ଆକାର,വിലാസ വലുപ്പം
ଠିକଣା ସ୍ଥାନ,വിലാസ ഇടം
ଠିକଣା ସ୍ପେସ୍ ପରିଚାୟକ |,വിലാസ ബഹിരാകാശ ഐഡന്റിഫയർ
ଠିକଣା ଷ୍ଟପ୍,വിലാസ സ്റ്റോപ്പ്
ଠିକଣା ଚିହ୍ନ,വിലാസ ട്രെയ്സ്
ଠିକଣା ଟ୍ରାକ୍,വിലാസ ട്രാക്ക്
ଠିକଣା ଅନୁବାଦ,വിവർത്തനം വിവർത്തനം ചെയ്യുക
ଠିକଣା ଅନୁବାଦକ,വിലാസ പരിഭാഷകന്
ଯୋଡନ୍ତୁ-ସବଟ୍ରାକ୍ଟ ଟାଇମ୍ |,ചേർക്കുക-കുറയ്ക്കുക സമയം
ସମୟ ଯୋଡନ୍ତୁ |,സമയം ചേർക്കുക
ସଂଲଗ୍ନ,വാര്ത്താവകം
ସଂଲଗ୍ନ structure ାଞ୍ଚା |,അഡ്ജഞ്ചൻസിൻസ് ഘടന
ସଂଲଗ୍ନ ଚ୍ୟାନେଲ |,തൊട്ടടുത്തുള്ള ചാനൽ
ସଂଲଗ୍ନ ଡୋମେନ୍ |,അടുത്തുള്ള ഡൊമെയ്ൻ
ସଂଲଗ୍ନ ମ୍ୟାଟ୍ରିକ୍ସ |,തൊട്ടടുത്തുള്ള മാട്രിക്സ്
ସଂଲଗ୍ନ ନୋଡ୍ |,തൊട്ടടുത്തുള്ള നോഡ്
ସଂଲଗ୍ନ ସୁବିରା |,തൊട്ടടുത്തുള്ള സുബരിയ
Adjone (ସିଷ୍ଟମ୍),കസ്റ്റേഴ്സ് (സിസ്റ്റം)
ଆଡଜଷ୍ଟ କରନ୍ତୁ |,കമപ്പെടുത്തുക
ନିୟନ୍ତ୍ରିତ ପରିମାଣ,ക്രമീകരിക്കാവുന്ന പരിധി
ପାଠ୍ୟ ମୋଡ୍ ଆଡଜଷ୍ଟ କରନ୍ତୁ |,ടെക്സ്റ്റ് മോഡ് ക്രമീകരിക്കുക
ପ୍ରଶାସନିକ ତଥ୍ୟ ପ୍ରକ୍ରିୟାକରଣ |,അഡ്മിനിസ്ട്രേറ്റീവ് ഡാറ്റ പ്രോസസ്സിംഗ്
ପ୍ରଶାସନିକ କାର୍ଯ୍ୟ,അഡ്മിനിസ്ട്രേറ്റീവ് പ്രവർത്തനം
ପ୍ରଶାସନିକ ଅପରେଟର |,അഡ്മിനിസ്ട്രേറ്റീവ് ഓപ്പറേറ്റർ
ପ୍ରଶାସନିକ ଅପରେଟର୍ ଷ୍ଟେସନ୍ |,അഡ്മിനിസ്ട്രേറ്റീവ് ഓപ്പറേറ്റർ സ്റ്റേഷൻ
ପ୍ରଶାସନିକ ସମର୍ଥନ ସିଷ୍ଟମ୍ |,അഡ്മിനിസ്ട്രേറ്റീവ് സപ്പോർട്ട് സിസ്റ്റം
ଉନ୍ନତ ଯୋଗାଯୋଗ ସେବା |,നൂതന ആശയവിനിമയ സേവനം
ଉନ୍ନତ ସୂଚନା ସିଷ୍ଟମ୍ |,വിപുലമായ വിവര സിസ്റ്റം
ଅପ୍ଟିକାଲ୍ ବର୍ଣ୍ଣ ରିଡର୍ |,വിപുലമായ ഒപ്റ്റിക്കൽ പ്രതീക റീഡർ
ଉନ୍ନତ ବ scientific ଜ୍ଞାନିକ କମ୍ପ୍ୟୁଟର |,വിപുലമായ ശാസ്ത്ര കമ്പ്യൂട്ടർ
ବାୟୁ,ഏരിയൽ
ସମୁଦାୟ,ആകെത്തുകയായുള്ള
ସମୁଦାୟ ଅଭିବ୍ୟକ୍ତି |,മൊത്തം എക്സ്പ്രഷൻ
ଲକ୍ଷ୍ୟ ସର୍କଲ୍ |,ലക്ഷ്യമിടുന്നു
ଲକ୍ଷ୍ୟ କ୍ଷେତ୍ର (= ଲକ୍ଷ୍ୟ କରୁଥିବା ପ୍ରତୀକ),ലക്ഷ്യമിടുന്ന ഫീൽഡ് (= ലക്ഷ്യമിടുന്നത്)
ଲକ୍ଷ୍ୟମୂଳକ ପ୍ରତୀକ,എഡിയൽ ചിഹ്നം
ଏୟାରବୋର୍ନ କମ୍ପ୍ୟୁଟର ସିଷ୍ଟମ୍ |,എയർബോൺ കമ്പ്യൂട്ടർ സിസ്റ്റം
ବୀଜେବ୍ରିକ୍ ଇଗେନ୍ଭିଲ୍ ସମସ୍ୟା ସମସ୍ୟା |,ബീജഗണിത ഐജൻവാലു പ്രശ്നം
"ବ el ୍ଜନିକ୍ |
 ଏକୀକରଣ","ബീജഗണിത
 സംയോജനം"
ବଗିଳିନିକ୍ ଭାଷା |,ബീജഗണിത ഭാഷ
ବୀଜେବ୍ରିକ୍ ମନିପୁଲେସନ୍ |,ബീജഗണിത കൃത്രിമത്വം
Algebric ମନିପୁଲେସନ୍ ଭାଷା |,ബീജഗണിത കൃത്രിമ ഭാഷ
ବୀଜେବ୍ରିକ୍ ଆଧାରିତ ଭାଷା |,ബീജഗണിത ഓറിയന്റഡ് ഭാഷ
ଆଲଜେବ୍ରିକ୍ ସିଫ୍ଟ |,ബീജഗണിത മാറ്റം
ଆଲଜେବ୍ରିକ୍ ଚିହ୍ନ ସମ୍ମିଳନୀ |,ബീജഗണിത ചിഹ്ന കൺവെൻഷൻ
ଆଲଗୋଲ୍ |,അൽഗോൾ
ଆଲଗୋଲ ବ feature ଶିଷ୍ଟ୍ୟ |,അൽഗോൾ സവിശേഷത
Algol ପ୍ରୋଗ୍ରାମିଂ |,അൽഗോൾ പ്രോഗ്രാമിംഗ്
ଆଲଗୋରିଦମ,അൽഗോരിതം
ଆଲଗୋରିଦମ ଆସୋସିଟିଭ୍ ଭାଷା |,അൽഗോരിതം അസോസിയേറ്റീവ് ഭാഷ
ଆଲଗୋରିଦମ ବର୍ଗୀକରଣ |,അൽഗോരിതം വർഗ്ഗീകരണം
ଆଲଗୋରିଦମ ଜଟିଳତା |,അൽഗോരിതം സങ്കീർണ്ണത
ଆଲଗୋରିଦମ ଗଣନା |,അൽഗോരിതം കേസബിലിറ്റി
ଆଲଗୋରିଥେମିକ୍ ବିଶ୍ଳେଷଣ |,അൽഗോരിത്ത്മിക് വിശകലനം
ଆଲଗୋରିଥମିକ୍ ଆଭିମୁଖ୍ୟ |,അൽഗോരിത്തിസ് സമീപനം
ଆଲଗୋରିଥମିକ୍ ଭାଷା |,അൽഗോറിത്ത്മിക് ഭാഷ
ଆଲଗୋରିଥେମିକ୍ ରୁଟିନ୍ |,അൽഗോരിഥമ്മിക് പതിവ്
ଆଲଗୋରିଥେମିକ୍ ସିଦ୍ଧାନ୍ତ |,അൽഗോരിതംസിക് സിദ്ധാന്തം
ଛଦ୍ମନାମ,അപരാഭിധാനം
ଛଦ୍ମନାମ,അപരനാത്മകം
ଛଦ୍ମନାମ ନାମ (= ​​ବିକଳ୍ପ ନାମ),അപരനാമം (= ഇതര പേര്)
ପରିଚାଳିତ,വിന്യാപകമായ
ବଣ୍ଟନ କରନ୍ତୁ |,നീക്കിവയ്ക്കുക
ଆବଣ୍ଟନ ସଂରଚନା |,അലോക്കേഷൻ ഘടന
ସମସ୍ତ ଉଦ୍ଦେଶ୍ୟମୂଳକ କମ୍ପ୍ୟୁଟର |,എല്ലാ ഉദ്ദേശ്യ കമ്പ്യൂട്ടറും
ବର୍ଣ୍ଣମାଳା ବର୍ଣ୍ଣ,അക്ഷരമാല പ്രതീകം
ବର୍ଣ୍ଣମାଳା ବର୍ଣ୍ଣ ସେଟ୍ |,അക്ഷരമാല പ്രതീക സെറ്റ്
ବର୍ଣ୍ଣମାଳା ଅକ୍ଷର ସବ୍ |,അക്ഷരമാല പ്രതീക സബ്സെറ്റ്
ବର୍ଣ୍ଣମାଳା କୋଡ୍,അക്ഷരമാല കോഡ്
ବର୍ଣ୍ଣମାଳା ଶିଫ୍ଟ |,അക്ഷരമാല മാറ്റം
ବର୍ଣ୍ଣମାଳା ଷ୍ଟ୍ରିଙ୍ଗ୍ |,അക്ഷരമാല സ്ട്രിംഗ്
ବର୍ଣ୍ଣମାଳା ଶବ୍ଦ,അക്ഷരമാല വാക്ക്
ବର୍ଣ୍ଣମାଳା,അക്ഷരമാലാളം
ଆଲଫେମେଟ୍ରିକ୍ସ,ആഫറാമോമെട്രിക്സ്
ଆଲଫାମ୍,ആഫളാചിക്
ଆଲଫାମାସିକ୍ |,ആൽഫമോസയ്ക്ക്
ବର୍ଣ୍ଣମାଳା,ആൽഫാന്യൂമെറിക്
ବର୍ଣ୍ଣମାଳା କୀବୋର୍ଡ୍ ଉପକରଣ |,ആൽഫാന്യൂമെറിക്കൽ കീബോർഡ് ഉപകരണം
ବର୍ଣ୍ଣମାଳା ଅକ୍ଷର ସେଟ୍ |,ആൽഫാന്യൂമെറിക് പ്രതീക സെറ്റ്
ବର୍ଣ୍ଣମାଳା କୋଡ୍,ആൽഫാന്യൂമെറിക് കോഡ്
ବର୍ଣ୍ଣମାଳା କୋଡେଡ୍ ଅକ୍ଷର ସେଟ୍ |,ആൽഫാന്യൂമെറിക് കോഡ്ഡ് പ്രതീക സെറ്റ്
ବର୍ଣ୍ଣମାଳା ତଥ୍ୟ |,ആൽഫാന്യൂമെറിക് ഡാറ്റ
ବର୍ଣ୍ଣମାଳା ପ୍ରଦର୍ଶନ ଉପକରଣ |,ആൽഫാന്യൂമെറിക് ഡിസ്പ്ലേ ഉപകരണം
ବର୍ଣ୍ଣମାଳା ସମ୍ପାଦିତ ବର୍ଣ୍ଣ |,ആൽഫാന്യൂമെറിക് എഡിറ്റുചെയ്ത പ്രതീകം
ବର୍ଣ୍ଣମାଳା କ୍ଷେତ୍ର,ആൽഫാന്യൂമെറിക് ഫീൽഡ്
ବର୍ଣ୍ଣମାଳା ନିର୍ଦ୍ଦେଶ,ആൽഫാന്യൂമെറിക് നിർദ്ദേശം
ବର୍ଣ୍ଣମାଳା କୀବୋର୍ଡ୍ |,ആൽഫാന്യൂമെറിക് കീബോർഡ്
ବର୍ଣ୍ଣମାଳା ପ୍ରକାର |,ആൽഫാന്യൂമെറിക് തരം
ବର୍ଣ୍ଣମାଳା ଷ୍ଟୋରେଜ୍ |,ആൽഫാന്യൂമെറിക് സംഭരണം
ବିକୃତ ସ୍ମୃତି,മാറ്റം വരുത്തുന്നതിന് മെമ്മറി
ପରିବର୍ତ୍ତନ ସୁଇଚ୍ |,മാറ്റങ്ങൾ സ്വിച്ച്
ପରିବର୍ତ୍ତନ,മാറ്റം
ପରିବର୍ତ୍ତନ ମୋଡ୍,മാറ്റ മോഡ്
ଅନ୍ୟ ପୁନରୁଦ୍ଧାର,ഇതര വീണ്ടെടുക്കൽ
ବିକଳ୍ପ ମାର୍ଗ,ഇതര റൂട്ട്
ଅନ୍ୟ ଧାତାଳ,ഇതര റൂട്ടിംഗ്
ବିକଳ୍ପ ଟ୍ରାକ୍,ഇതര ട്രാക്ക്
ବିକଳ୍ପ (= କିମ୍ବା ଅପରେସନ୍),ഇതര (= അല്ലെങ്കിൽ പ്രവർത്തനം)
ବିକଳ୍ପ ଗୁଣ,ഇതര ആട്രിബ്യൂട്ട്
ବିକଳ୍ପ ଅସ୍ୱୀକାର (= ନୁହେଁ-ଏବଂ ଅପରେସନ୍),"ഇതര നിഷേധം (= അല്ല, പ്രവർത്തനം)"
ଅସ୍ପଷ୍ଟତା ତ୍ରୁଟି |,അവ്യക്തത പിശക്
ଅସ୍ପଷ୍ଟ ରେଫରେନ୍ସ |,അവ്യക്തമായ റഫറൻസ്
ଆନାଗଲଗ୍ |,അനാലോഗ്
ଆନାଗଲ୍ ଆଡର୍ |,അനലോഗ് അഡെർ
ଆନାଗଲ୍ ଚ୍ୟାନେଲ୍ |,അനലോഗ് ചാനൽ
ଆନାଗଲ୍ କମ୍ପ୍ୟୁଟର |,അനലോഗ് കമ്പ്യൂട്ടർ
ଆନାଗଲ୍ କନଭର୍ଟର |,അനലോഗ് കൺവെർട്ടർ
ଆନାଗଲ୍ ଡାଟା |,അനലോഗ് ഡാറ്റ
ଆନାଗଲ୍ ଡିଭାଇଡର୍ |,അനലോഗ് ഡിവൈഡർ
ଆନାଗଲ୍ ସୁବିଧା ଟର୍ମିନାଲ୍ |,അനലോഗ് ഫെസിലിറ്റി ടെർമിനൽ
"ଆନାଗଲ୍ ଫଙ୍କସନ୍ |
 ଜେନେରେଟର","അനലോഗ് ഫംഗ്ഷൻ
 വൈദുതോല്പാദനയന്തം"
ଆନାଗଲ୍ ଏକୀକରଣ |,അനലോഗ് സംയോജനം
ଆନାଗଲ୍ ମଲ୍ଟିୱାର୍ଡ |,അനലോഗ് ഗുണിതം
ଆନାଗଲ୍ ପ୍ରୋଗ୍ରାମିଂ |,അനലോഗ് പ്രോഗ്രാമിംഗ്
ଆନାଗଲ୍ ସ୍କେଲିଂ |,അനലോഗ് സ്കെയിലിംഗ്
ଆନାଗଲ୍ ସିଗନାଲ୍ |,അനലോഗ് സിഗ്നൽ
ଆନାଗଲ୍ ସିମୁଲେସନ୍,അനലോഗ് സിമുലേഷൻ
ଆନାଗଲ୍ ସୁଇଚ୍ |,അനലോഗ് സ്വിച്ച്
ଆନାଗୋଲଗ୍ ସିଷ୍ଟମ୍ |,അനലോഗ് സിസ്റ്റം
"ଅନୁରୂପ କରିବାକୁ ଅନୁରୂପ |
 Convercer","ഡിജിറ്റലിലേക്കുള്ള അനലോഗ്
 കൺവെർട്ടർ"
"ଅନୁରୂପ କରିବାକୁ ଅନୁରୂପ |
 ଏନକୋଡର୍ |","ഡിജിറ്റലിലേക്കുള്ള അനലോഗ്
 എൻകോഡർ"
ଆନାଗଲ୍ ଟ୍ରାନ୍ସମିସନ୍ |,അനലോഗ് ട്രാൻസ്മിഷൻ
