Marathi,Bengali
स्वयंचलित प्रणाली पुनर्प्राप्ती,স্বয়ংক্রিয় সিস্টেম পুনরুদ্ধার
स्वयंचलित टेलर मशीन (एटीएम),স্বয়ংক্রিয় টেলার মেশিন (এটিএম)
ऑटोमेशन,অটোমেশন
ऑटो प्ले,স্বয়ংক্রিয় চালু
स्वयं जतन करा,অটোসেভ
सहाय्यक,সহায়ক
सहाय्यक मेमरी,অক্জিলিয়ারী মেমরি
सहायक स्टोरेज,অক্জিলিয়ারী স্টোরেজ
उपलब्ध यादी,প্রাপ্তিসাধ্য তালিকা
उपलब्ध वेळ,উপলব্ধ সময়
सरासरी,গড়
awk (भाषा),awk (ভাষা)
बॅकएंड,ব্যাকএন্ড
बॅकएंड प्रोसेसर,ব্যাকএন্ড প্রসেসর
बॅकफेस काढणे,ব্যাকফেস অপসারণ
पार्श्वभूमी प्रक्रिया,পটভূমি প্রক্রিয়াকরণ
बॅकिंग स्टोअर,ব্যাকিং স্টোর
बॅकपॅचिंग,ব্যাকপ্যাচিং
बॅकस्पेस,ব্যাকস্পেস
बॅकट्रॅकिंग,ব্যাকট্র্যাকিং
बॅकअप,ব্যাক আপ
बॅकअप मेमरी,ব্যাক আপ মেমরি
मागास त्रुटी पुनर्प्राप्ती,পিছনের ত্রুটি পুনরুদ্ধার
ताळेबंद,ব্যালেন্স শীট
बँड,ব্যান্ড
बँड रुंदी,ব্যান্ড প্রস্থ
बँकरचा अल्गोरिदम,ব্যাংকারের অ্যালগরিদম
बार कोड,বার কোড
बार कोड स्कॅनर,বারকোড স্ক্যানার
बार आलेख,বার গ্রাফ
मूळ पत्ता,ভিত্তি ঠিকানা
बेस बँड,বেস ব্যান্ড
आधार क्रमांक,ভিত্তি নম্বর
बेस टेबल,ভিত্তি টেবিল
बेसिक,বেসিক
मूलभूत नियंत्रण,মৌলিক নিয়ন্ত্রণ
मूलभूत इनपुट,মৌলিক ইনপুট
मूलभूत सूचना,মৌলিক নির্দেশ
मूलभूत आउटपुट,মৌলিক আউটপুট
मूलभूत पायरी,মৌলিক পদক্ষেপ
तुकडी,ব্যাচ
बॅच फाइल,ব্যাচ ফাইল
बॅच स्थिती,ব্যাচ অবস্থান
बॅच प्रक्रिया,ধির গতির কাজ
बॅच सिस्टम,ব্যাচ সিস্টেম
बॉड,বউড
बॉड दर,বড হার
तुळई,মরীচি
बेंचमार्क,মাপকাঠি
द्विदिश संप्रेषण,দ্বিমুখী যোগাযোগ
द्विदिश दुवा,দ্বিমুখী লিঙ্ক
बायनरी कोड,বাইনারি কোড
बायनरी अंक,বাইনারি সংখ্যা
बायनरी इनपुट आउटपुट सिस्टम (BIOS),বাইনারি ইনপুট আউটপুট সিস্টেম (BIOS)
बायनरी संख्या,বাইনারি সংখ্যা
बायनरी ऑपरेटर,বাইনারি অপারেটর
बायनरी संबंध,বাইনারি সম্পর্ক
बायनरी शोध,বাইনারি অনুসন্ধান
बायनरी सर्च ट्री (BST),বাইনারি সার্চ ট্রি (BST)
बायनरी हस्तांतरण,বাইনারি স্থানান্তর
बायनरी झाड,বাইনারি গাছ
द्विध्रुवीय मेमरी,বাইপোলার মেমরি
जन्म मृत्यू मॉडेल,জন্ম মৃত্যু মডেল
जन्म मृत्यू प्रक्रिया,জন্ম মৃত্যু প্রক্রিয়া
बिट,বিট
थोडा दोष,বিট দোষ
बिट नकाशा,বিট মানচিত্র
बिट मॅप पिक्सेल (BMP),বিট ম্যাপ পিক্সেল (BMP)
बिट मॅट्रिक्स,বিট ম্যাট্রিক্স
बिट नमुना,বিট প্যাটার্ন
बिट स्थिती,বিট অবস্থান
बिट दर,বিট হার
ब्लॅक बॉक्स चाचणी,কালো বক্স পরীক্ষা
लुकलुकणे,মিটমিট করে
ब्लॉक,ব্লক
ब्लॉक कॅशे,ব্লক ক্যাশে
ब्लॉक चेक,ব্লক চেক
ब्लॉक कॉपी,ব্লক কপি
ब्लॉक आकृती,ব্লক ডায়াগ্রাম
ब्लॉकिंग नेटवर्क,ব্লকিং নেটওয়ার্ক
बोर्ड,বোর্ড
पुस्तक चिन्ह,বই চিহ্ন
बुलियन बीजगणित,বুলিয়ান বীজগণিত
बुलियन संबंध,বুলিয়ান সম্পর্ক
बूट विभाजन,বুট পার্টিশন
बूट strapping,বুট strapping
बूट-स्ट्रॅप लोडर,বুট-স্ট্র্যাপ লোডার
पूल,সেতু
ब्रॉडबँड नेटवर्किंग,ব্রডব্যান্ড নেটওয়ার্কিং
प्रसारण,সম্প্রচার
रेडिओ प्रसारित करा,রেডিও সম্প্রচার
ब्राउझ करा,ব্রাউজ
ब्राउझर,ব্রাউজার
बी-वृक्ष,বি-বৃক্ষ
बबल मेमरी,বুদ্বুদ মেমরি
बबल क्रमवारी,বুদ্বুদ সাজানোর
बादली,বালতি
मित्र प्रणाली,বন্ধু সিস্টেম
बजेट प्रभावी नियंत्रण,বাজেট কার্যকর নিয়ন্ত্রণ
बफर,বাফার
किडा,বাগ
बस,বাস
बाइट,বাইট
बाइट कोड,বাইট কোড
c,গ
C++,সি++
कॅशे,ক্যাশে
कॅशे बफर,ক্যাশে বাফার
कॅशे मेमरी,ক্যাশ মেমরি
गणना,গণনা
कॅल्क्युलेटर,ক্যালকুলেটর
कॅल्क्युलेटर चिप,ক্যালকুলেটর চিপ
कॉल,কল
नावाने कॉल करा,নামে ডাক
संदर्भानुसार कॉल करा,রেফারেন্স দ্বারা কল করুন
मूल्यानुसार कॉल करा,মূল্য দ্বারা কল
व्हेरिएबल्सद्वारे कॉल करा,ভেরিয়েবল দ্বারা কল
कॉल गेट,কল গেট
रद्द करा,বাতিল
रद्द करा बटण,বাতিল বোতাম
प्रामाणिक,ক্যানোনিকাল
प्रामाणिक स्वरूप,ক্যানোনিকাল ফর্ম
क्षमता,ক্ষমতা
क्षमता यादी,ক্ষমতা তালিকা
क्षमता,ক্ষমতা
कॅप्स लॉक की,ক্যাপ লক কী
कार्ड,কার্ড
कार्ड रीडर,কার্ড পাঠক
मुख्यत्वे,কার্ডিনালিটি
वाहक,বাহক
वाहक बँड,ক্যারিয়ার ব্যান্ড
वाहक लोड,ক্যারিয়ার লোড
वाहक सिग्नल,ক্যারিয়ার সংকেত
वाहक लहर,ক্যারিয়ার তরঙ্গ
वाहून नेणे,বহন
कॅरी अंक,অঙ্ক বহন
ध्वज घेऊन जा,পতাকা বহন
काडतूस डिस्क,কার্তুজ ডিস্ক
कॅस्केड,ক্যাসকেড
केस,মামলা
कॅथोड रे ट्यूब (सीआरटी),ক্যাথড রে টিউব (সিআরটি)
कॅथोड रे ट्यूब (सीआरटी),ক্যাথোড রে টিউব (CRT)
CD ROM डिस्क ड्राइव्ह,সিডি রম ডিস্ক ড্রাইভ
सेल,কোষ
सेल अॅनिमेशन,সেল অ্যানিমেশন
भ्रमणध्वनी,মোবাইল ফোন
केंद्रीय स्मृती,কেন্দ্রীয় স্মৃতি
सेंट्रल प्रोसेसिंग युनिट (CPU),কেন্দ্রীয় প্রক্রিয়াকরণ ইউনিট (CPU)
केंद्रीकृत प्रणाली,কেন্দ্রীভূত ব্যবস্থা
प्रमाणित टेप,প্রত্যয়িত টেপ
साखळी,চেইন
साखळी डेटा,চেইন ডেটা
साखळी दुवा,চেইন লিঙ্ক
चेनिंग,চেইনিং
चॅनल,চ্যানেল
चॅनेल व्यस्त टोन,চ্যানেল ব্যস্ত টোন
चॅनेल क्षमता,চ্যানেল ক্ষমতা
चॅनेल नियंत्रक,চ্যানেল কন্ট্রোলার
चॅनेल त्रुटी,চ্যানেল ত্রুটি
चॅनेल कार्यक्रम,চ্যানেল প্রোগ্রাম
चॅनेल विश्वसनीयता,চ্যানেল নির্ভরযোগ্যতা
चॅनेल सेट,চ্যানেল সেট
वर्ण,চরিত্র
वर्ण कोड,অক্ষর কোড
वर्ण की,অক্ষর কী
वर्ण वाचक,চরিত্র পাঠক
वर्ण आकार,অক্ষরের আকার
तक्ता,চার্ট
चेसिस,চ্যাসিস
बिट तपासा,চেক বিট
चेक अंक,অংকের চেক
बेरीज तपासा,চেক যোগফল
शब्द तपासा,চেক শব্দ
चिप,চিপ
चिप संच,চিপ সেট
निवडा,পছন্দ করা
रंगीत,বর্ণগতভাবে
सिफर,গোপনীয় কোড
सर्किट,সার্কিট
परिपत्रक यादी,বৃত্তাকার তালিকা
सायरस,সাইরাস
उद्धरण,উদ্ধৃতি
वर्ग,ক্লাস
वर्ग व्हेरिएबल,ক্লাস পরিবর্তনশীল
वर्गीकरण,শ্রেণীবিভাগ
स्पष्ट,স্পষ্ট
स्पष्ट क्षेत्र,পরিষ্কার এলাকা
साफ चॅनेल,পরিষ্কার চ্যানেল
क्लिक करा,ক্লিক
ग्राहक,ক্লায়েন্ট
क्लायंट सर्व्हर,ক্লায়েন্ট সার্ভার
क्लायंट स्टब,ক্লায়েন্ট স্টাব
क्लिप आर्ट,ক্লিপ আর্ট
क्लिप आर्ट लायब्ररी,ক্লিপ আর্ট লাইব্রেরি
क्लिप बोर्ड,ক্লিপ বোর্ড
क्लिपर,ক্লিপার
क्लिपर चिप,ক্লিপার চিপ
गट,চক্র
घड्याळ,ঘড়ি
घड्याळ चक्र,ঘড়ি চক্র
घड्याळ वारंवारता,ঘড়ি ফ্রিকোয়েন্সি
घड्याळ हार्डवेअर,ঘড়ির হার্ডওয়্যার
घड्याळाची नाडी,ঘড়ির নাড়ি
घड्याळाचा वेग,ঘরির গতি
घड्याळ सिंक्रोनाइझेशन,ঘড়ি সিঙ্ক্রোনাইজেশন
घड्याळाची टिक,ঘড়ির টিক টিক
क्लोन,ক্লোন
बंद,বন্ধ
क्लोज सर्किट टीव्ही (सीसीटीव्ही),ক্লোজ সার্কিট টিভি (সিসিটিভি)
बंद,বন্ধ
क्लाउड संगणन,ক্লাউড কম্পিউটিং
क्लस्टर,ক্লাস্টার
लेपित कार्ड,প্রলিপ্ত কার্ড
लेपित कागद,লেপা কাগজ
समाक्षीय,সমাক্ষীয়
समाक्षीय केबल,সমাক্ষ তারের
कोडासिल,কোডাসাইল
कोड,কোড
कोड जनरेटर,উৎপাদকের কোড
कोड पृष्ठ,কোড পৃষ্ঠা
कोड शब्द,কোড শব্দ
कोडर,কোডার
कोडिंग तपासणी,কোডিং চেক
कोडिंग फॉर्म,কোডিং ফর্ম
कोडिंग शीट,কোডিং শীট
गुणांक,গুণাঙ্ক
सुसंगतता,সমন্বয়
थंड बूट,শীতল বুটজুতা
थंड सुरुवात,ঠান্ডা শুরু
सहयोग,সহযোগিতা
कोसळणे,পতন
कोलेट,জমাট বাঁধা
कोलेट टेप,কোলেট টেপ
टक्कर,সংঘর্ষ
कोलन,কোলন
रंग (रंग),রঙ রঙ)
रंग संपृक्तता,রঙ স্যাচুরেশন
रंग टेबल,রঙের টেবিল
स्तंभ,কলাম
संयोजन,সংমিশ্রণ
कॉम्बो बॉक्स,কম্বো বাক্স
आज्ञा,আদেশ
कमांड बटण,আদেশ বোতাম
आदेश यादी,কমান্ড তালিকা
टिप्पणी,মন্তব্য
वचनबद्धता,অঙ্গীকার
वस्तू,পণ্য
कॉमन बिझनेस ओरिएंटेड लँग्वेज (कोबोल),কমন বিজনেস ওরিয়েন্টেড ল্যাঙ্গুয়েজ (কোবোল)
सामान्य त्रुटी,সাধারণ ত্রুটি
सामान्य भाषा,সাধারণ ভাষা
सामान्य दिनचर्या,সাধারণ রুটিন
संवाद,যোগাযোগ
संप्रेषण लाइन,যোগাযোগ লাইন
संप्रेषण मोड,যোগাযোগ মোড
संप्रेषण नेटवर्क,যোগাযোগ নেটওয়ার্ক
संप्रेषण पॅरामीटर,যোগাযোগ পরামিতি
संप्रेषण प्रणाली,যোগাযোগ ব্যবস্থা
कॉम्पॅक्शन,কম্প্যাকশন
साथीदार,সঙ্গী
companding,companding
कंपनी नेटवर्क,কোম্পানি নেটওয়ার্ক
तुलना चाचणी,তুলনা পরীক্ষা
सुसंगतता,সামঞ্জস্য
सुसंगत,উপযুক্ত
संकलन,সংকলন
संकलित करा आणि जा,কম্পাইল এবং যান
संकलक,কম্পাইলার
कंपाइलर भाषा,কম্পাইলার ভাষা
पूरक,পরিপূরক
दहावर पूरक,পরিপূরক-অন-দশ
पूरक,পরিপূরক
पूर्ण वाहून,সম্পূর্ণ বহন
जटिल,জটিল
जटिल संख्या,জটিল সংখ্যা
घटक,উপাদান
घटक ऑब्जेक्ट मॉडेल (COM),কম্পোনেন্ট অবজেক্ট মডেল (COM)
संमिश्र,যৌগিক
रचना,গঠন
संगणकीय,গণনামূলক
संगणक,কম্পিউটার
संगणक केंद्र,কম্পিউটার কেন্দ্র
संगणक तज्ञ,কম্পিউটার বিশেষজ্ঞ
संगणक ग्राफिक्स,কম্পিউটার গ্রাফিক্স
संगणक सूचना,কম্পিউটার নির্দেশনা
संगणक भाषा,কম্পিউটার ভাষা
संगणक नेटवर्क,কম্পিউটার নেটওয়ার্ক
संगणक शास्त्र,কম্পিউটার বিজ্ঞান
संगणक सुरक्षा,কম্পিউটার নিরাপত্তা
संगणक सिम्युलेटन,কম্পিউটার সিমুলেটন
संगणक तज्ञ,কম্পিউটার বিশেষজ্ঞ
संगणकीकरण,কম্পিউটারাইজেশন
संगणकतज्ज्ञ,কম্পিউটারবিদ
संगणकीकरण,কম্পিউটারাইজ করা
संगणन,কম্পিউটিং
संकल्पना,ধারণা
एकरूपता,সঙ্গতি
समवर्ती,সমবর্তী
कंडिशन व्हेरिएबल,শর্ত পরিবর্তনশীল
सशर्त ऑपरेटर,শর্তসাপেক্ষ অপারেটর
सशर्त विधान,শর্তসাপেক্ষ বিবৃতি
कंडक्टर,কন্ডাক্টর
कॉन्फरन्सिंग,কনফারেন্সিং
गोपनीयता,গোপনীয়তা
कॉन्फिगरेशन,কনফিগারেশন
गर्दी,যানজট
संयोग,সংযোগ
गती कनेक्ट करा,সংযোগ গতি
कनेक्शन,সংযোগ
कनेक्शन कमी संप्रेषण,সংযোগ কম যোগাযোগ
कनेक्शन प्रकाशन,সংযোগ মুক্তি
कनेक्टिव्हिटी,সংযোগ
कनेक्टर,সংযোগকারী
सलग,একটানা
परिणामी,ফলে
कन्सोल,কনসোল
एकत्रीकरण,একত্রীকরণের
स्थिर,ধ্রুবক
सतत सूचना,ধ্রুবক নির্দেশ
मर्यादा,বাধা
बांधकाम करणारा,নির্মাণকারী
कंटेनर,ধারক
सामग्री,বিষয়বস্তু
संदर्भ,প্রসঙ্গ
संदर्भ मुक्त व्याकरण (CFG),প্রসঙ্গ মুক্ত ব্যাকরণ (CFG)
संदर्भ स्विच,প্রসঙ্গ সুইচ
आकस्मिकता,আকস্মিকতা
आकुंचन,সংকোচন
कॉन्ट्रास्ट,বিপরীত
नियंत्रण,নিয়ন্ত্রণ
नियंत्रण क्षेत्र,নিয়ন্ত্রণ এলাকা
नियंत्रण बिट,নিয়ন্ত্রণ বিট
नियंत्रण बस,নিয়ন্ত্রণ বাস
नियंत्रण कार्ड,নিয়ন্ত্রণ কার্ড
नियंत्रण सर्किट,নিয়ন্ত্রণ বর্তনী
नियंत्रण चक्र,নিয়ন্ত্রণ চক্র
नियंत्रण अभियांत्रिकी,নিয়ন্ত্রণ প্রকৌশল
नियंत्रण की,নিয়ন্ত্রণ কী
नियंत्रण तर्क,নিয়ন্ত্রণ যুক্তি
नियंत्रण लूप,নিয়ন্ত্রণ লুপ
नियंत्रण चिन्ह,নিয়ন্ত্রণ চিহ্ন
नियंत्रण ऑपरेशन,নিয়ন্ত্রণ অপারেশন
नियंत्रण पॅनेल,নিয়ন্ত্রণ প্যানেল
नियंत्रण सिग्नल,নিয়ন্ত্রণ সংকেত
नियंत्रण स्विच,কন্ট্রোল সুইচ
नियंत्रण टेप,নিয়ন্ত্রণ টেপ
नियंत्रण टर्मिनल,নিয়ন্ত্রণ টার্মিনাল
कंट्रोल युनिट (CU),কন্ট্রোল ইউনিট (CU)
अभिसरण,অভিন্নতা
संभाषण,কথোপকথন
संवादात्मक वेळ सामायिकरण,কথোপকথন সময় ভাগ করা
रूपांतरण,রূপান্তর
कनवर्टर,রূপান্তরকারী
कुकचे प्रमेय,কুকের উপপাদ্য
सह-प्रोसेसर,সহ-প্রসেসর
कॉपी,অনুলিপি
कॉपीराइट,কপিরাইট
दोरखंड,কর্ড
कॉर्डलेस टेलिफोन,কর্ডলেস টেলিফোন
परिणाम,ফলাফল
दुरुस्ती,সংশোধন
भ्रष्ट,দূষিত
मोजणे,গণনা
काउंटर,পাল্টা
राष्ट्र संकेतांक,কান্ট্রি কোড
सहप्रसरण,সহবাস
कव्हरेज,কভারেজ
