Hindi,Telugu
उपाख्यान,ఉదంతము
एन्जिलोट,ఏంజెలోట్
देवदूत पूजा,ఏంజెలస్
आन्जवै,అంజివిన్ (=అంజెవిన్)
ऐन्गल्स,కోణాలు
आंग्लिक,ఆంగ్లికన్
आंग्ल चर्च,ఆంగ్లికన్ కమ్యూనియన్
आंग्ल चर्चवाद,ఆంగ్లికనిజం
आंग्ल विरोधी,ఆంగ్లో-ఫోబ్
आंग्ल-दुर्भीति,ఆంగ్లో-ఫోబియా
आंग्ल सैक्सन,ఆంగ్లో-సాక్సన్
आंग्ल-सैक्सनवाद,ఆంగ్లో-సాక్సోనిజం
"आख्यान-लेखक, आख्यानकार",అన్నలిస్ట్
"वर्षवृत्त, आख्यान, ख्यात",అన్నల్స్
"अधिनहन, मिला देना",అనుబంధం
युद्ध पूर्व (स्थिति),యాంటీ-బెల్లం
"पूर्वतिथि-निर्धांरण, पूर्वकाल निर्धारण",ముందు తేదీ
पादरी प्रथा विरोधी,మత వ్యతిరేకత
पादरी प्रथा विरोधी विधान,మతాధికారుల వ్యతిరేక చట్టం
"पुरावशेष, पुरावस्तु",ప్రాచీనకాలం
लगान-विरोधी,వ్యతిరేక అద్దె
2. एन्टी रैन्ट पार्टी,వ్యతిరేక అద్దె
"यहूदी विरोध, यहूदीवाद-विरोध, यहूदी विरोधवाद",సెమిటిజం వ్యతిరేకత
ऐन्ज़ेक,అంజాక్
नागरिक सभा,అపెల్లా
अरालू,అరలు
आर्च बिशप,ఆర్చ్ బిషప్
आर्च डची,ఆర్చ్ డచీ
आर्च ड्यूक,ఆర్చ్ డ్యూక్
पुरालेख संग्रह,ఆర్కైఫ్ (=ఆర్కైవల్ సేకరణ)
महाधर्माध्यक्ष का पद,ఆర్కిపిస్కోపేట్
अभिजाततंत्र,దొర
अभिजात,దొర
अभिजातीय दंभ,కులీన స్నోబరీ
अरस्तूवादी,అరిస్టాటిలియన్
आर्मेडा,ఆర్మడ
स्पेन का आर्मेडा,ఆర్మడ (=ది స్పానిష్ ఆర్మడ)
कवच-विशारद,ఆయుధాగాడు (=ఆయుధాకారుడు)
"कवच, बख्तर, वर्म",కవచం (=కవచం)
अo देo armorist,ఆయుధాగాడు
आर्य,ఆర్యన్
2. कुलीन,ఆర్యన్
अस्कारी,అస్కారి
"आसिग्ना, भू-प्रतिभृत मुद्रा",కేటాయించండి
अभिसत्र,అసైజ్ చేయండి
2. विधिपृच्छा,అసైజ్ చేయండి
3. अभिसत्राधिनियम,అసైజ్ చేయండి
आयुध अभिसत्राधिनियम,అసైజ్ ఆఫ్ ఆర్మ్స్ యాక్ట్
डारेन उपस्थापन अभिसत्राधिनियम,డారీన్ ప్రెజెంట్‌మెంట్ అసైజ్
मृत पूर्वज अभिसत्राधिनियम,మోర్ట్ &#39;D&#39; పూర్వీకుల అస్సైజ్
अभिनव अधिधारणोत्सादन अभिसत्राधिनियम,అసైజ్ ఆఫ్ నవల డిస్సీసిన్
नृशंसता,దారుణం
आक्रमण,దాడి
"सर्वोच्च न्यायालय, ऑलिक काउन्सिल",ఆలిక్ కౌన్సిల్
गेडिस समाधान,గెడ్డెస్ యొక్క గొడ్డలి (=ది గెడెస్ గొడ్డలి)
धुरी राष्ट्र,యాక్సిస్ (=ది రోమ్-బెర్లిన్-టోక్యో యాక్సిస్)
"बाबुल, बेबीलोन",బాబిలోన్
बेबीलोनी बंदीकरण,బాబిలోనియన్ బందిఖానా (=బాబిలోనియన్ బందిఖానా)
बाखुसी उपासक,బచ్చనాల్ భక్తుడు
मद्यपानोत्सव,బచ్చనాలియా
युवा योद्धा,బ్రహ్మచారి
"बगदाद अनुबंध, बगदाद पैक्ट",బాగ్దాద్ ఒప్పందం
बाल्कन लीग,బాల్కన్ లీగ్
बाल्कन अनुबंध,బాల్కన్ ఒప్పందం
बाल्कन युद्ध,బాల్కన్ యుద్ధాలు
बाल्टिक अनुबंध,బాల్టిక్ ఒప్పందం
दस्यु,బందిపోటు
बांडुंग सम्मेलन,బాండుంగ్ కాన్ఫరెన్స్
"निर्वासन, देश-निकाला",బహిష్కరణ
"पताका, ध्वजा",బ్యానర్
बर्बर,బార్బేరియన్
कोट-घूँघट,బార్బికన్
बारदोली सत्याग्रह,బార్డోలీ సత్యాగ్రహం
बार्न बर्नस,బార్న్ బర్నర్స్
"बैरन, सामंत",బారన్
बैरोनेज,బారోనేజ్
महासामंत,బారోన్స్ మేజర్లు
लघु सामंत,బారోన్స్ మైనర్లు
सामंत पत्नी,బారోనెస్
उपसामंत,బారోనెట్
उपसामंत वर्ग,బారోనెటేజ్
2. बैरोनेट वंशावली,బారోనెటేజ్
उपसामंत,బారోనెట్సీ
बैरोनी,బారోనీ
दास बंदीगृह,బారకూన్
2. दास-गृह,బారకూన్
अवरोध,బారికేడ్ (=బారికాడో)
2. घिराव,బారికేడ్ (=బారికాడో)
3. मोचबिंदी,బారికేడ్ (=బారికాడో)
आधार शिबिर,మూల శిబిరం
वैसिलिका,బసిలికా
2. सभा भवन,బసిలికా
बैस्टील,బస్తీలా
बैस्टील,బాస్టిల్
2. कारागार,బాస్టిల్
तोपखाना,బ్యాటరీ
"रण, समर, युद्ध",యుద్ధం
रण-व्यूह,బాటిల్-అరే
युद्ध-घोष,యుద్ధానికి వెళ్ళే సైనికులు చేసే నినాదాలు
युद्ध कोलाहल,బాటిల్ డిన్
"रण भूमि, रण क्षेत्र, समरांगण",యుద్ధ క్షేత్రం
युद्ध-गान,యుద్ధ శ్లోకం
एड़-युद्ध,స్పర్స్ యుద్ధం
ध्वज-संग्राम,స్టాండర్డ్ యుద్ధం
"रणपोत, जंगी जहाज़, संगरपोत",యుద్ధనౌక
"संगरपोत शक्ति, रणपोत-शक्ति",యుద్ధనౌక-బలం
बेयू चित्रपट,Bayeux వస్త్రం
संकेत प्रकाश,బెకన్
प्रकाश स्तंभ,బెకన్ టవర్
मुखरक्षी,బీవర్
2. बीवर सिक्का,బీవర్
समुद्री बैगर,సముద్రపు బిచ్చగాళ్ళు
युयुत्यु,బెల్లికోస్
2. लड़ाकू,బెల్లికోస్
3. युद्धप्रिय,బెల్లికోస్
"युयुत्सा, युद्धप्रियता, लड़ाकूपन",బెల్లికోసిటీ
बेलोना,బెలోనా
"मठवृत्ति, धमवृत्ति, पादरी की वृत्ति",ప్రయోజనం
पादरी-सुविधा,మతపెద్దల వల్ల ప్రయోజనం
बेनीलक्स,బెనెలక్స్
"बर्लिन डिकी, बर्लिन निषेध",బెర్లిన్ డిక్రీ
"जुझारू योद्धा, नार्सी योद्धा",బెర్సెర్కర్
बजांत,బెసెంట్ (=బెజాంట్)
बैथेल,బేతేలు
ग्रंथ-पूजक,గ్రంథకర్త
ग्रंथपूजन,గ్రంథారాధన
बिग बर्था,బిగ్ బెర్తా
धर्मांध,మతోన్మాదుడు
वासादेश,బిల్లేటింగ్
बिल ऑफ अटेन्डर,అటెయిండర్ బిల్లు
अधिकार-पत्र,హక్కుల చట్టం
"जीवनीकार, चरित लेखक",జీవిత చరిత్ర రచయిత
जातक कथाएँ,జన్మ కథలు
पड़ाव,తాత్కాలిక శిబిరం
2. रण-शिविर,తాత్కాలిక శిబిరం
3. सैनिक पहरा,తాత్కాలిక శిబిరం
बाइज़ोनिया,బిజోనియా
अवैध दास आयात,బ్లాక్ బర్డింగ్
काला झंडा,నల్ల జండా
काल-कोठरी,కృష్ణ బిలం
2. ब्लैक होल,కృష్ణ బిలం
"गद्दार, द्रोही",నల్ల కాలు (=స్కాబ్)
"ब्लैक शर्ट, काली कुर्ती दल",నల్ల చొక్కా
कुल चिह्र,బ్లజోన్
2. कुल चिह्र अंकन,బ్లజోన్
कुल-चिह्रांकन कला,బ్లేజోన్రీ
2. कलात्मक प्रदर्शन,బ్లజోన్రీ
"तड़ित युद्ध, तूफानी हमला",బ్లిట్జ్‌క్రీగ్
"गौरवमय क्रांति, रक्तहीन क्रांति",రక్తరహిత విప్లవం (=గ్లోరియస్ రివల్యూషన్)
"रक्तपात देय, खून की कीमत, रक्तपात दण्ड",బ్లడ్వైట్
खूनी मेरी (सन् - ईo),బ్లడీ మేరీ
ब्लू,నీలం
"आभिजात्य, कुलीनता",నీలం రక్తం
"नीली पुस्तिका, सरकारी रिपोर्ट, ब्लू बुक",నీలి పుస్తకం
"नीला फीता, ब्लू रिबन",నీలం రంగు రిబ్బన్
2. सर्वोच्च सम्मान,నీలం రంగు రిబ్బన్
राजकीय रक्षक,బ్లూస్ (=రాయల్ హార్స్ గార్డ్స్)
नीली कुर्ती दल (इटली),నీలం చొక్కా
नौसेना समर्थक,బ్లూ వాటర్ స్కూల్
"संचालन-मंडल, संचालन-बोर्ड, नियंन्त्रण मंडल",బోర్డ్ ఆఫ్ కంట్రోల్
"वर्म, जिरह-बख्तर",శరీర కవచం
बूर,బోయర్
लूट का माल,దోపిడి
बरो,బరో
सीनेट सदन,బౌల్యూటేరియన్
बूर्बा,బోర్బన్
बॉक्सर विद्रोह,బాక్సర్ తిరుగుబాటు
भुज कवच,బ్రేస్
बाहु पट्टिका,బ్రాస్సార్డ్
"2. भुज बंध, भुज कवच",బ్రాస్సార్డ్
बहुधान्यक प्रदेश,బ్రెడ్ కాలనీలు
"वक्षस्त्राण, उरस्ताण",బ్రెస్ట్ ప్లేట్
आवक्ष भित्ति,రొమ్ము పని
"ब्रेटवाल्डा, ब्रिटनों का अधिपति",బ్రెట్వాల్డా
बटमार,బ్రిగాండ్
"बटमारी, लुंठन, राहजनी",బ్రిగేండేజ్
"ब्रिटिश कॉमनवेल्य, राष्ट्रमंडल",బ్రిటిష్ కామన్వెల్త్ ఆఫ్ నేషన్స్
"ब्राउन शर्ट्स, भूरी कुर्ती दल",బ్రౌన్ షర్ట్స్ (=నాజీలు)
ब्रुसेल्स संधि संगठन,బ్రస్సెల్స్ ట్రీటీ (పాక్ట్) సంస్థ (=వెస్ట్రన్ యూరోపియన్ యూనియన్)
महिष चर्म,యెదురు
2. लघु कोट,యెదురు
बफ़-कोट,బఫ్-కోటు
बफ़-रेज़िमेंट,బఫ్స్
ब्यूल,బులే (=మండలి)
पट्टेदारी,బర్గేజ్
पौर प्रतिनिधि,బర్గెస్
बाईजेन्टिनी,బైజాంటైన్
बाइजेन्टिनी गिरजाघर,బైజాంటైన్ చర్చి
बाइजेन्टिनी साम्राज्य; पूर्वी रोम साम्राज्य,బైజాంటైన్ సామ్రాజ్యం
बाइजेन्टिनी संवत्,బైజాంటైన్ యుగం
बाइजेन्टिनी इतिहासकार,బైజాంటైన్ చరిత్రకారులు
"काबेल, षडयंत्रकारियों का गुट",కాబాల్
सीज़रतंत्र,సీజరిజం
खलीफ़ा,ఖలీఫ్
"खुशनवीस, सुलेखक",కాలిగ్రాఫర్
सुलेख-विशारद,కాలిగ్రాఫిస్ట్
सुलेख,కాలిగ్రఫీ
कैल्ट्रॉप,కాల్ట్రాప్
सौहार्द,సాహచర్యం
लघु कक्ष,కమరిల్లా
2. षाड्यंत्रिक,కమరిల్లా
(पोप का) मुकुट,కామెలాకమ్
"छद्मावरण, छद्म गोपन",మభ్యపెట్టడం
अभियान,ప్రచారం
लश्करी; शिविरानुचर,క్యాంపు అనుచరుడు
गिरजा क़ब्रिस्तान,కాంపో శాంటో
कैंपस मारशियस,క్యాంపస్ మార్టియస్
"कान्फोरा, डलियावाली",కనెఫోరా
कैंग; काष्ठबंध,కంగు
गोलाबारी,ఫిరంగి
"युद्ध-बलि, तोपचारा",ఫిరంగి మేత
धर्म-सूत्र,కానన్
"चर्च क़ानून, ईसाई धर्म-नियम, धमनियम",కానన్ చట్టం
"कैनोपेस आज्ञप्ति, कैनोपस डिक्री",కానోపస్ డిక్రీ
"चिह्रित शस्त्र, चिह्रित आयुध",ఆయుధాలు పట్టుకోవడం
बंदी,బందీ
बंदीकर्त्ता,కాప్టర్
कार्डिनल,కార్డినల్
कार्ल,కార్ల్
कैरोलिन्जी राजवंश,కరోలింగియన్ రాజవంశం
कारथूसी संप्रदाय,కార్తుసియన్ శాఖ
कारथूसी मठ,కార్టోసా
"किलेदार, कोटपाल",కాస్టేలియన్
2. केस्टेलन,కాస్టేలియన్
वर्ण-व्यवस्था,కుల వ్యవస్థ
() दुर्ग,కోట
(2) गढ़ी,కోట
दुर्ग-नगर,కోట పట్టణం
कैस्ट्रा,కాస్ట్రా
2. रोमन शिविर,కాస్ట్రా
पादरी का सिंहासन,కేథడ్రా
मुख्य गिरजाघर,కేథడ్రల్
केटो स्ट्रीट षडयंत्र,కాటో స్ట్రీట్ కుట్ర
कॉडिलो,కౌడిల్లో
() कैवेलियर,కావలీర్
(2) घुड़सवार,కావలీర్
कैवेलियर पार्लियामेंट,కావలీర్ పార్లమెంట్
"पक्ष-त्यागी गुट, आडुलम गुट",అదుల్లాం గుహ
"गुहा-चित्रकारी, गुहा-चित्रण",గుహ పెయింటింగ్
2. गुहा-चित्र,గుహ పెయింటింగ్
सेन्टुमविर,సెంటంవిర్
सेंचुरियन,సెంచూరియన్
"शताब्दी, सदी, शती",సెంచరీ
"जिरह-बख्तर, श्रृंखला-कवच",చైన్ ఆర్మర్ (=చైన్ మెయిల్)
"समर्पित मंदिर, समर्पित पूजागृह",చాంట్రీ
2. समर्पित धर्मदास,చాంట్రీ
चैप पुस्तिका,చాప్ పుస్తకం
"धर्माधिकारी, चैपलिन",చాప్లిన్
पादरी मंडल,అధ్యాయం
सांयोगिक दुर्घटनाएँ,ప్రమాదాల అధ్యాయం
कीतिंचिह्र,ఆరోపణ
"कार्यदूत, दूत-कार्यकारी",ఛార్జ్ డి&#39;ఎఫైర్స్
विदाई परामर्श,ఛార్జ్ విడిపోవడం
युद्धाश्व,ఛార్జర్
विजय रथ,రథము
रथारोही,రథసారధి
2. रथी,రథసారధి
3. सारथी,రథసారధి
"अन्नसत्र, लंगर",ఛారిటీ వంటగది
"अधिकार-पत्र, चार्टर",చార్టర్
चार्टिस्ट आंदोलन,చార్టిస్ట్ ఉద్యమం (=చార్టిజం)
"अभिलेख-कक्ष, अभिलेख-प्रकोष्ठ",చార్టోఫిలాసియం
"सामंत गढ़ी, शातो",చాటౌ
पड़ताल चौकी,చెక్ పోస్ట్
रासायनिक युद्ध,రసాయన యుద్ధం
दुर्ग-नगर,చెస్టర్
सरदार,చీఫ్
सरदार,అధిపతి
2. सामंत,అధిపతి
3. राजा,అధిపతి
"जालांशुक, जालीदार कपड़ा, शिफान",షిఫాన్
शौर्य,శూరత్వం
यहूदी लोग,ఎంచుకున్న వ్యక్తులు
दिव्यवाणी कक्ष प्रवचन कक्ष,క్రిస్మోగ్రఫీ
ईसाई जगत,క్రైస్తవమత సామ్రాజ్యం
ईसवी काल,క్రైస్తవ యుగం
ईसाई समाजवाद,క్రిస్టియన్ సోషలిజం
इतिवृत्त,క్రానికల్
इतिवृत्तकार,క్రానికల్
स्वर्ण-भूमि,Chryse Chersonese
रत्न-कक्ष,సిమిలియం
सोलहवीं शती की शैली,సింక్వెసెంటో స్టైల్
परिनौचालन,ప్రదక్షిణ
सिस्तर्शी साधु,సిస్టెర్సియన్ సన్యాసి
"दुर्ग, गढ़ी",కోట
() प्रशस्ति,అనులేఖనం
(2) उपस्थिति सूचना,అనులేఖనం
सविनय अवज्ञा (आन्दोलन),శాసన ఉల్లంఘన
गृह-युद्ध,పౌర యుద్ధం
रोमन नागरिक,సివిస్ రోమనస్
"कलासिकी युग, श्रेण्य युग",సాంప్రదాయ వయస్సు
बटमार,క్లెఫ్ట్ (=క్లెఫ్ట్)
"पादरीवाद, पुरोहितवाद",మతాధికారం
"भूग्राही, क्लेरुक",క్లర్చ్
क्लूनी आंदोलन,క్లినియాక్ ఉద్యమం
"कवच, जिरह-बख्तर",కోటు కవచం
कुलांक,కోట్ ఆఫ్ ఆర్మ్స్
2. आयुधांक,కోట్ ఆఫ్ ఆర్మ్స్
3. अस्त्र-ध्वजादि-चित्रण,కోట్ ఆఫ్ ఆర్మ్స్
"कवच, जिरह-बख्तर, अंगत्राण",కోట్ ఆఫ్ మెయిల్
कोहॉर्ट,కోహోర్ట్
कोमिशिया,కమిటియా
कोमिशिया सेंतुरियाता,కమిటియా సెంచురియాటా
कोमिशिया क्यूरिआता,కమిటియా క్యూరియాటా
कोमिशिया ट्रिब्यूता,కమిటియా ట్రిబ్యూటా
स्मारक तोरण,స్మారక వంపు
स्मारक सिक्का,స్మారక నాణెం
स्मारक मुहर,స్మారక ముద్ర
सार्वजनिक भूमि,సాధారణ క్షేత్రం
कम्यूनार्ड,కమ్యూనార్డ్
समझौता,కాంకోర్డాట్
2. धर्म-संधि,కాంకోర్డాట్
कंदोत्यर,కండోటియర్
"अधिकार-पत्र की पुष्टि, चार्टर-पुष्टि",నిర్ధారణ కార్టరమ్
संघर्ष,సంఘర్షణ
धर्म-संगति,సభ
विजेता राज्य,రాష్ట్రాన్ని జయించడం
विजेता,విజేత
"वर्षक वीर, अत्याचारी विजेता",విజేత
राजपरिषद्,కన్సిలియం
"चर्च न्यायालय, काँसिस्टरी",క్రమబద్ధమైన
षड़यन्त्र,కుట్ర
2. साजिश,కుట్ర
कांसुली शासन,కాన్సులేట్
परामर्श-पुस्तिका,సలహా పుస్తకం
महाद्वीपीय व्यवस्था,ఖండాంతర వ్యవస్థ
अनधिकृत आहूत पार्लियामेंट,కన్వెన్షన్ పార్లమెంట్
कापरहेड्स,కాపర్ హెడ్స్ (=శాంతి ప్రజాస్వామ్యవాదులు)
"पट्ट-भूमि, पट्टे पर मिली भूमि",కాపీహోల్డ్
परिसीमन; घेरा डालना,కార్డనింగ్
"मुकुट, किरीट",కరోనా
राज्याभिषेक,పట్టాభిషేకం
"अभिषेकाश्म, अभिषेक-शिला",పట్టాభిషేక రాయి
(ग्रंथ) संग्रह,కార్పస్
"जलदस्यु, समुद्री डाकू",కోర్సెయిర్
2. दस्यु पोत,కోర్సెయిర్
"उरस्त्राण, वक्षस्त्राण",కార్సెట్ (=కోర్సెలెట్)
"कार्टिज़, स्पेनी संसद",కోర్టెస్
कुटी घर,కోటార్ (=కోటియర్)
2. खिदमती काश्तकार,కోటార్ (=కోటియర్)
काउन्ट पैलेटीनेट,కౌంట్ పాలటినేట్
ग्राम्य आवास,పూరిల్లు
काउन्टी,కౌంటీ
काउन्टी बरो,కౌంటీ బరో
काउन्टी न्यायालय,కౌంటీ కోర్టులు
काउन्टी रियासत,కౌంటీ పాలటైన్
दरबार,కోర్టు
2. राजसभा,కోర్టు
राजपरिपत्र,కోర్టు సర్క్యులర్
"दरबारी शिष्टाचार, दरबारी अदब, दरबारी क़ायदा",కోర్టు మర్యాదలు
"राजदरबारी, राजसभासद, मुसाहिब",సభికుడు
कोर्ट ऑफ कैसेशन,కోర్ట్ ఆఫ్ కాసేషన్
"(ईस्ट इंडिया कंपनी का) निदेशक मंडल, कोर्ट ऑफ डायरेक्टर्स",కోర్ట్ ఆఫ్ డైరెక్టర్స్ (EIC)
"(ईस्ट इंडिया कंपनी का) स्वामी मंडल, कोर्ट ऑफ प्रोप्राइटर्स",యాజమాన్యాల న్యాయస్థానం
राजकवि,ఆస్థాన కవి
प्रसंविदाकारी केमेरोनपंथी,ఒప్పందం చేసుకున్న కామెరోనియన్లు
"राजा, क्राउन",కిరీటం
2. (क) ताज,కిరీటం
(ख) मुकुट,కిరీటం
"खालसा, राजभूमि",కిరీటం భూమి
2. संघ राज्य,కిరీటం భూమి
युवराज,క్రౌన్ ప్రిన్స్
"धर्मयुद्ध, जिहाद",క్రూసేడ్
धर्म-योद्धा,క్రూసేడర్
"गुप्त लेख, छद्म लेख, गुप्त संदेश, कूट लेख, कूट संदेश, छद्म संदेश",క్రిప్టోగ్రామ్
"वक्षस्त्राण, जिरहबख़्तर",క్యూరాస్
"चर्म कवचधारी, अश्वारोही",క్యూరాసియర్
संप्रदाय देवता,కల్ట్ దేవత
"क्यूरिया, सभा-भवन, परिषद",క్యూరియా
2. रोम का सीनेट भवन,క్యూరియా
जारशाही,జారిజం
अंध महाद्वीप,చీకటి ఖండం
प्रलय-दिवस,తీర్పు రోజు
2. क़यामत का दिन,తీర్పు రోజు
"डीन, अधिष्ठाता",డీన్
जशक,దశాబ్దం
दीनार,డెనారియస్
सिंहासनच्युत राजा,పదవీచ్యుతుడైన చక్రవర్తి
विलुंठन,పాడుచేయు
"अपहरण, लूट-खसोट",చెడిపోవడం
गद्दी से उतारना,సింహాసనాన్ని తొలగించు
राजमुकुट,డయాడెమ్
2. किरीट,డయాడెమ్
3. राजचिह्र,డయాడెమ్
डायेसिया,డయాసియా
न्यायालय,డికాస్టీరియం
जलप्रलयवादी,డైలువియలిస్ట్
बिशप-क्षेत्र,డియోసెస్
2. डायोसीज़,డియోసెస్
क्रांतिकारी कार्यकारिणी,డైరెక్టరీ (=డైరెక్టరీ)
2. दायरोक्तायर,డైరెక్టరీ (=డైరెక్టరీ)
दिरहम,దిర్హమ్
निष्ठाहीन,నమ్మకద్రోహం
2. देशद्रोही,నమ్మకద్రోహం
"राज्य-अपहरण नीति, राज्यलय-नीति",లోపము యొక్క సిద్ధాంతము
"प्रलेख, दस्तावेज़",పత్రం
"दस्तावेज़ी साक्ष्य, प्रलेखी साक्ष्य",డాక్యుమెంటరీ సాక్ష్యం
"अंतिम निर्णय पुस्तक, क़यामत के दिन की पुस्तक",డోమ్స్‌డే బుక్
कॉन्सटेन्टाइन का दान,కాన్స్టాంటైన్ విరాళం
"विधि, क़ानून",డూమ్
राजमाता,వరవరపు రాణి
"ड्रेगून, घुड़सवार",డ్రాగన్
साँडनी सवार,డ్రోమెడిరియన్
"साँडनी, मादा ऊँट",డ్రోమెడరీ
महा नौका,డ్రోమండ్
द्वंद्व युद्ध,ద్వంద్వ
"डुअल अलाएँस, दोहरी संधि",ద్వంద్వ కూటమి
ड्यूल आँताँत,ద్వంద్వ ఉద్దేశం
"दोहरा शासन, दुहरी सरकार, द्वैध शासन",ద్వంద్వ వ్యవస్థ (=ద్వంద్వ ప్రభుత్వం)
ड्यूक,డ్యూక్
ड्यूमा,డూమా
वामन अवतार,వామన అవతారం
वंश,రాజవంశం
2. राजवंश,రాజవంశం
गरूड़,డేగ
एल्डरमेन,పెద్ద మనిషి
अर्ल,ఎర్ల్
"अर्लपद, अर्लक्षेत्र",ఎర్ల్డమ్
"पूर्व गुप्त वंश, पूर्व गुप्त वंशीय राजा",తొలి గుప్తులు
पूर्वकालीन (ऐतिहासिक) स्थल,ప్రారంభ (చారిత్రక) సైట్లు
पूर्व वैदिक काल,ప్రారంభ వేద కాలం
नागरिक सभा,ఎక్లేసియా
"प्रत्यास्थापन धर्मादेश, प्रत्यास्थापनराजादेश, एडिक्ट ऑफ रेस्टिट्यूशन",పునరుద్ధరణ శాసనం
अष्टांगिक मार्ग,ఎనిమిది రెట్లు మార్గం
"चर्च अधिकारी, गिरजाधिकारी, प्रेसबीटर",పెద్దలు
वयोवृद्ध राजविद्,పెద్ద రాజనీతిజ్ఞుడు (=జెన్రో)
अंकुश,ఏనుగు మేడ
"ग्यारह वर्ष का आतंक राज्य, एकादश वर्षीय आतंक राज्य",పదకొండు సంవత్సరాల నిరంకుశత్వం
एलीजे,ఎలిసే (=ఎలీసీ)
बाड़ाबंदी आंदोलन,ఎన్‌క్లోజర్ ఉద్యమం
पोप-परिपत्र,ఎన్సైక్లికల్
विश्वकोशकार आंदोलन,ఎన్సైక్లోపెడిస్ట్ ఉద్యమం
"आंतांत, सौहार्द",ఎంటెంటే
"दृढ़ सौहार्द, आंतांत कार्दिआल",ఎంటెంటే కార్డియాల్
राज्यारोहण,సింహాసనం
"परिचारक गण, परिचर",పరివారం
"वस्त्र, परिधान",ఎఫోడ్
"दंडाधीश, एफोर",ఎఫోర్
वीरयुग,పురాణ యుగం
महाकाव्य-नायक,పురాణ వీరుడు
पुरालेख,ఎపిగ్రాఫ్
बिशपतंत्र,ఎపిస్కోపసీ
विशप-पीठ,ఎపిస్కోపేట్
घटना,ఎపిసోడ్
युग,యుగం
युगांतरकारी घटना,యుగాన్ని సృష్టించే సంఘటన
युग-प्रवर्तक व्यक्ति,యుగపురుషుడు
