Marathi,Odiya
सहनशीलता,ସୁକମ୍ଲାଇଜେସନ୍
निवास,ଆବାସ
सोबत,ସାଥୀ
करार,ଆକର୍ଡ
अनुयायी,ସମ୍ପତ୍ତୀ
त्यानुसार,ସେହି ଅନୁଯାୟୀ |
खाते,ଖାତା
उत्तरदायित्व,ଉତ୍ତରଦାୟିତ୍ୱ
जबाबदार,ଉତ୍ତରଦାୟୀ |
अकाउंटन्सी,ଆକାଉଣ୍ଟାଣ୍ଟି
अकाउंटंट,ଆକାଉଣ୍ଟାଣ୍ଟ
साठी खाते,ଖାତା ପାଇଁ
खाते डोके,ଖାତା ହେଡ୍
जमा लाभ,ଅଭିଯୋଗ ଲାଭ
जमा पेन्शन,ପେନ୍ ପେନ୍ସନ୍
संचय,ଜମା
अचूकता,ସଠିକତା
अचूक,ସଠିକ୍
आरोप,ଅଭିଯୋଗ
आरोपी,ଅଭିଯୁକ୍ତ
यश,ସଫଳତା
पोचपावती,ସ୍ୱୀକୃତି
पावती देय,ସ୍ୱୀକୃତି ଦେବାର |
ओळखी,ପରିଚୟ
संपादन,ଅଧିଗ୍ରହଣ
शोध,ନିର୍ଦ୍ଦୋଷ
कायदा,କାର୍ଯ୍ୟ କର
अभिनय भत्ता,ଅଭିନୟ ଭତ୍ତା
क्रिया,କାର୍ଯ୍ୟ
कृती योजना,କ୍ରିୟା ଯୋଜନା
सक्रिय,ସକ୍ରିୟ
सक्रियपणे,ସକ୍ରିୟ ଭାବରେ |
कार्यकर्ता,କାର୍ଯ୍ୟକର୍ତ୍ତା
देवाची करणी,God ଶ୍ୱରଙ୍କ କାର୍ଯ୍ୟ
गैरवर्तन कायदा,ଦୁଷ୍କର୍ମ କାର୍ଯ୍ୟ
कमिशनचे कार्य आणि वगळणे,କମିଶନ ଏବଂ ଓସାସଙ୍କ କାର୍ଯ୍ୟ |
वास्तविक,ପ୍ରକୃତ
वास्तविक,କାର୍ଯ୍ୟ
रुपांतर,ଆଡାପ୍ଟେସନ୍
या व्यतिरिक्त,ଯୋଗ
अतिरिक्त शुल्क,ଅତିରିକ୍ତ ଚାର୍ଜ
अतिरिक्त निधी,ଅତିରିକ୍ତ ପାଣ୍ଠି
अतिरिक्त अनुदान,ଅତିରିକ୍ତ ଅନୁଦାନ
अतिरिक्त माहिती,ଅତିରିକ୍ତ ସୂଚନା
अतिरिक्त वेतन,ଅତିରିକ୍ତ ଦେୟ
जोड आणि बदल,ଯୋଗ ଏବଂ ପରିବର୍ତ୍ତନ
पत्ता,ଠିକଣା
पत्ता,ଆଡ୍ରେସେେ |
स्वागताचा पत्ता,ସ୍ୱାଗତିବାର ଠିକଣା
पुरेसे,ପର୍ଯ୍ୟାପ୍ତ
चे पालन करा,ନିୟମ ପାଳନ
अ‍ॅड हॉक,ଅନୁପଚାରି
तदर्थ दावा,ବିଜ୍ଞାପନ ହକ୍ ଦାବି |
तदर्थ समिती,ବିଜ୍ଞାପନ ହକ୍ କମିଟି |
तदर्थ वाढ,AD HOC ବୃଦ୍ଧି |
तदर्थ देयक,ବିଜ୍ଞାପନ ହକ୍ ଦେୟ |
समीप,ସଂଲଗ୍ନ
शेजारी (= संमिश्र),ସଂଲଗ୍ନ (= ସଂଲଗ୍ନ)
तहकूब,ସ୍ଥଗିତତା
तहकूब गती,ଆଡଜାଇବା ଗତି
सहभाग,ସମର୍ଥନ କର ଘର
न्यायाधीश,ଗୁଚିଚୀନିକ
निर्णय,ସମର୍ଥନ
न्यायाधीश,ଆଦ୍ବ୍ରୀକରଣ
समायोजन,ଆଡଜଷ୍ଟମେଣ୍ଟ୍
प्रशासकीय,ପ୍ରଶାସକ
शपथ प्रशासित करा,ଶପଥ କର
प्रशासन,ପ୍ରଶାସନ
न्याय प्रशासन,ନ୍ୟାୟ ପ୍ରଶାସନ
प्रशासकीय,ପ୍ରଶାସନିକ
प्रशासकीय कारवाई,ପ୍ରଶାସନିକ କାର୍ଯ୍ୟ
प्रशासकीय मूल्यांकन,ପ୍ରଶାସନିକ ମୂଲ୍ୟାଙ୍କନ |
प्रशासकीय मान्यता,ପ୍ରଶାସନିକ ଅନୁମୋଦନ |
प्रशासकीय अधिकार,ପ୍ରଶାସନିକ ପ୍ରାଧିକରଣ
प्रशासकीय नियंत्रण,ପ୍ରଶାସନିକ ନିୟନ୍ତ୍ରଣ |
प्रशासकीय निर्णय,ପ୍ରଶାସନିକ ନିଷ୍ପତ୍ତି
प्रशासकीय विभाग,ପ୍ରଶାସନିକ ବିଭାଗ
प्रशासकीय प्रमुख,ପ୍ରଶାସନିକ ମୁଣ୍ଡ
प्रशासकीय मुख्यालय,ପ୍ରଶାସନିକ ମୁଖ୍ୟାଳୟ |
प्रशासकीय उपाय,ପ୍ରଶାସନିକ ପଦକ୍ଷେପ |
प्रशासकीय शक्ती,ପ୍ରଶାସନିକ ଶକ୍ତି |
प्रशासकीय मंजुरी,ପ୍ରଶାସନିକ ମଞ୍ଜୁର |
प्रशासकीय तंत्र,ପ୍ରଶାସନିକ କ techni ଶଳ |
प्रशासकीय न्यायाधिकरण,ପ୍ରଶାସନିକ ଟ୍ରିବ୍ୟୁନାଲ୍ |
प्रवेशयोग्यता,ଗ୍ରହଣୀୟତା |
स्वीकार्य खर्च,ଗ୍ରହଣଯୋଗ୍ୟ ଖର୍ଚ୍ଚ |
कबूल करा,ସ୍ୱୀକାର କର |
प्रवेश कार्ड,କାର୍ଡ ଆଡମିଟ୍ କରନ୍ତୁ |
दाखल,ସ୍ୱୀକାର କରାଯାଇଛି |
सूचना,ଉପଦେଶ ଦିଅନ୍ତୁ |
दत्तक,ଆଡେପିଟି |
दत्तक,ଆଡପୁଟର୍
दत्तक,ଗ୍ରହଣ
प्रौढ,ବୟସ୍କ
भेसळ,ବ୍ୟଭିଚାର
व्यभिचार,ବ୍ୟଭିଚାର
प्रौढ मताधिकार,ବୟସ୍କ ଫ୍ରାଞ୍ଚାଇଜ୍ |
अ‍ॅड व्हॅलोरम ड्यूटी,ବିଜ୍ଞାପନ ଭାଲୋରେମ୍ ଡ୍ୟୁଟି |
प्रगती,ଅଗ୍ରିମ
अ‍ॅडव्हान्स बुकिंग,ଅଗ୍ରୀମ ବୁକିଂ
आगाऊ प्रत,ଅଗ୍ରଶୀ ନକଲ
आगाऊ वाढ,ଅଗ୍ରଗତି ବୃଦ୍ଧି
आगाऊ भरणा,ଅଗ୍ରିମ ଦେୟ
प्रतिकूल प्रविष्टी,ପ୍ରତିକୂଳ ପ୍ରବେଶ
प्रतिकूल टीका,ପ୍ରତିକୂଳ ଟିପ୍ପଣୀ |
प्रतिकूल अहवाल,ପ୍ରତିକୂଳ ରିପୋର୍ଟ
जाहिरात,ବିଜ୍ଞାପନ
सल्ला,ପରାମର୍ଶ
देयकाचा सल्ला,ଦେୟର ପରାମର୍ଶ |
सल्लागार समिती,ପରାମର୍ଶଦାତା କମିଟି |
सल्लागार परिषद,ପରାମର୍ଶଦାତା ପରିଷଦ |
वकिली,ଓକିଲ
घडामोडी,ସମ୍ପର୍କ
प्रतिज्ञापत्र,ପ୍ରମାଣପତ୍ର
संलग्नता,ଅନୁବନ୍ଧ
पुष्टीकरण,ନିଶ୍ଚିତତା
होकारार्थी,ନିଶ୍ଚିତ
परवाना,ସୁଲଭ
उपरोक्त,Aforesaid
पुन्हा,ଉପରୁବର୍ତ୍ତୀ
विरुद्ध,ବିପକ୍ଷରେ
वय,ବୟସ
वय प्रमाणपत्र,ବୟସ ପ୍ରମାଣପତ୍ର
मताधिकार वय,ଯଥେଷ୍ଟ ସମୟ ପାଇଁ ବୟସ |
वय मर्यादा,ବୟସ ସୀମା |
एजन्सी,ସଂସ୍ଥା
अजेंडा,କାର୍ଯ୍ୟସୂଚୀ
सेवानिवृत्तीचे वय,ଅବସରର ବୟସ
अधोरेखित वय,ସୁପରନୁଏସନ୍ ବୟସ
एकत्रिकरण,ମିଳନ
संताप,ବହୁଳ
आंदोलन,ଆଗ୍ରିଲେସନ୍
एजीएम,Agm
करार,ଚୁକ୍ତିନାମା
करार फॉर्म,ଚୁକ୍ତି ଫର୍ମ
शेती,କୃଷି
कृषी-उद्योग,Agro-idustry
मदत,ସହାୟତା
गजर,ଆଲାର୍ମ
सतर्कता,ସତର୍କତା
उर्फ,ଛଦ୍ମନାମ
आरोप,ଅଭିଯୋଗ
निष्ठा,ଅନୁଗତ
युती,ମିଳିତତା
संबद्ध सेवा,ସମର୍ଥନ ସେବାଗୁଡିକ
सर्व समावेशक किंमत,ସମସ୍ତ ଅନ୍ତର୍ଭୂକ୍ତ ମୂଲ୍ୟ |
अखिल भारतीय सेवा,ସମସ୍ତ ଭାରତୀୟ ସେବାଗୁଡିକ |
वाटप,ଆବଣ୍ଟନ
वाटप,ବଣ୍ଟନ
वाटप पत्र,ବଣ୍ଟନ ଚିଠି
अ‍ॅलोटी,ବଣ୍ଟନେ |
परवानगीयोग्य,ଅନୁମତି ଯୋଗ୍ୟ
अनुमत खर्च,ଅନୁମତିପ୍ରାପ୍ତ ଖର୍ଚ୍ଚ |
अपीलला परवानगी द्या,ଏକ ଆବେଦନକୁ ଅନୁମତି ଦିଅନ୍ତୁ |
भत्ता,ଭତ୍ତା
सर्व हक्क राखीव,ସମସ୍ତ ଅଧିକାର ସଂରକ୍ଷିତ
वर्णमाला क्रम,ବର୍ଣ୍ଣମାଳା କ୍ରମ
भांडण,ବ atutem ିସଣ
वैकल्पिक,ବିକଳ୍ପ
पर्यायी,ବିକଳ୍ପ
एकत्रिकरण,ଅମାଲଗାମୀ
सुधारित मसुदा,ସଂଶୋଧିତ ଡ୍ରାଫ୍ଟ |
दुरुस्ती,ସଂଶୋଧନ
सुविधा,ସୁବିଧା
मैत्रीपूर्ण,ବନ୍ଧୁତ୍ୱପୂର୍ଣ୍ଣ
दारूगोळा,ଗୁଳିଗୋଳା
कर्जाचे or न्टायझेशन,Debt ଣର ଅମର୍ଟାଇଜେସନ୍ |
रक्कम,ପରିମାଣ
पेन्शनची रक्कम,ପେନ୍ସନ୍ ର ପରିମାଣ
समान पोस्ट,ଅନୁରୂପ ପୋଷ୍ଟ |
विश्लेषण,ବିଶ୍ଳେଷଣ |
विश्लेषणात्मक अभ्यास,ଆନାଲିଟିକାଲ୍ ଅଧ୍ୟୟନ |
पूर्वज,ପୂର୍ବଜ
सहायक उद्योग,ଆନୁଷଙ୍ଗୀ ଶିଳ୍ପ |
वैर,ଶତ୍ରୁତା |
जोड,ଆନୁଷ୍ଠାନ
वर्धापनदिन,ବାର୍ଷିକୀ
घोषणा,ଘୋଷଣା
त्रास,ବିରକ୍ତିକର
वार्षिक आर्थिक विधान,ବାର୍ଷିକ ଆର୍ଥିକ ବିବରଣୀ
वार्षिक अहवाल,ବାର୍ଷିକ ବିବରଣୀ
वार्षिकी,ବାର୍ଷିକ
अज्ञात,ବେନାମୀ |
अज्ञात तक्रार,ଅଜ୍ଞାତ ଅଭିଯୋଗ |
उत्तरदायित्व,ଉତ୍ତର୍ୟତା
उत्तरपत्रिका,ଉତ୍ତର ସିଟ୍
विरोधी,ବିରୋଧୀ
पूर्वज,ପିତୃପୁରୁଷ
अपेक्षित खर्च,ପ୍ରତୀକ୍ଷିତ ଖର୍ଚ୍ଚ
अपेक्षित उत्पन्न,ପ୍ରତୀକ୍ଷିତ ଆୟ
अपेक्षा,ପ୍ରତୀକ୍ଷା
अपेक्षित जामीन,ଆଣ୍ଟିସାଇପେଟୋରୀ ଜାମିନ |
भ्रष्टाचारविरोधी उपाय,ବିରୋଧୀ ମାପ |
अँटी-डंपिंग,ଆଣ୍ଟି-ଡମ୍ପିଂ |
प्राचीन,ପ୍ରାଚୀନ
वर्णभेद,ଅପାର୍ଥିଡ଼ିଆ
औदासिन्य,ଉଦାସୀନତା |
शिखर शरीर,Apex ଶରୀର
दिलगिरी,କ୍ଷମା ପ୍ରାର୍ଥନା
अपील,ଆବେଦନ
देखावा,ରୂପ
शांतता,ସନ୍ତୁଷ୍ଟ
अपील न्यायाधिकरण,ଟ୍ରିବ୍ୟୁନାଲ୍ ଆବେଦନ କରନ୍ତୁ |
परिशिष्ट,ପରିଶିଷ୍ଟ
उपकरण,ଉପକରଣ
लागू,ପ୍ରଯୁଜ୍ୟ |
अर्जदार,ଆବେଦନକାରୀ |
अर्ज,ପ୍ରୟୋଗ
अर्ज,ଆବେଦନ ପତ୍ର
लागू,ପ୍ରୟୋଗ କରାଯାଏ |
अर्ज करा,ପ୍ରୟୋଗ କରନ୍ତୁ |
नेमणूक,ଆପୋପିନିଟି
अधिकाराची नेमणूक,ନିଯୁକ୍ତ କର୍ତ୍ତୃପକ୍ଷ |
नियुक्ती,ନିଯୁକ୍ତି |
नियुक्ती पत्र,ନିଯୁକ୍ତି ପତ୍ର
मंत्रिमंडळाची नेमणूक समिती,କ୍ୟାବିନେଟର ନିଯୁକ୍ତି କମିଟି |
वेतनाचे विभाजन,ମଜୁରୀର ଅନୁକରଣ |
मूल्यमापन,ମୂଲ୍ୟାଙ୍କନ
मूल्यांकनकर्ता,ମୂଲ୍ୟାଙ୍କନକାରୀ
कौतुक,ପ୍ରଶଂସା
भीती,ଭୟ
शिकाऊ उमेदवार,ଶିକ୍ଷାର୍ଥୀ
संपर्क साधा,ଉପାୟ
योग्य,ଉପଯୁକ୍ତ
योग्य कृती,ଉପଯୁକ୍ତ କାର୍ଯ୍ୟ
योग्य डोके,ଉପଯୁକ୍ତ ମୁଣ୍ଡ
विनियोग,ଆବଣ୍ଟନ
मान्यता,ଅନୁମୋଦନ
अंदाजे,ଆନୁମାନିକ
योग्यता चाचणी,ଦକ୍ଷତା ପରୀକ୍ଷା
अनियंत्रित,ଇଚ୍ଛାଧୀନ |
लवाद,ଆର୍ବିଟ୍ରେଟ୍ |
लवाद,ଆର୍ବିଟ୍ରେସନ୍
लवाद न्यायाधिकरण,ଆର୍ବିଟ୍ରେସନ୍ ଟ୍ରିବ୍ୟୁନାଲ୍ |
लवाद,ଆର୍ବିଟର
आर्किटेक्चर,ସ୍ଥାପତ୍ୟ
संग्रहण,ଅଭିଲେଖାଗାର
क्षेत्र,କ୍ଷେତ୍ର
क्षेत्र मुख्यालय,କ୍ଷେତ୍ର ମୁଖ୍ୟାଳୟ |
युक्तिवाद,ଯୁକ୍ତି
उद्भवू,ଉଠ
सशस्त्र सेना,ସଶସ୍ତ୍ର ବାହିନୀ |
व्यवस्था,ବ୍ୟବସ୍ଥା
थकबाकी,ବରିଟର
थकबाकी विधान,ବର୍ବର ବିବୃତ୍ତି
आगमन अहवाल,ଆଗମନ ରିପୋର୍ଟ
गर्विष्ठपणा,ଅହଂକାର
शस्त्रागार,ଅସ୍ତ୍ରଶସ୍ତ୍ର
लेख,ପ୍ରବନ୍ଧ
संघटनेचा लेख,ଆସୋସିଏସନ୍ ର ଆର୍ଟିକିଲ୍ |
लेख,ପ୍ରବନ୍ଧଗୁଡ଼ିକ
चढत्या ऑर्डर,ଆରୋହଣ କ୍ରମ
निश्चित करा,ଜାଣିବା
कोठे आहे,ଯେପରି ଅଛି
पैलू,ସର୍ବୋଚ୍ଚ
भ्रष्टाचार,ଆସଡିଅନ୍
हत्या,ହତ୍ୟା
हल्ला,ଆକ୍ରମଣ
एकत्र करा,ଏକତ୍ର ହୁଅ
असेंब्ली,ସଭା
मान्यता,ଖେଳନା
ठामपणे,ନିଶ୍ଚିତ କର |
निर्धारक,ମୂଲ୍ୟାଙ୍କନ
मूल्यांकन,ମୂଲ୍ୟାଙ୍କନ
मूल्यांकन वर्ष,ମୂଲ୍ୟାଙ୍କନ ବର୍ଷ
मूल्यांकनकर्ता,ମୂଲ୍ୟାଙ୍କନକାରୀ
मालमत्ता,ସମ୍ପତ୍ତି
असिशात,ଆସିଜେ
असाइनमेंट,ଆସାଇନମେଣ୍ଟ
असाइनर,ଆସାଇନର୍
सहाय्य,ସହାୟତା
सहयोगी,ସହଯୋଗୀ
असोसिएशन,ସଙ୍ଗଠନ
शुल्काची धारणा,ଚାର୍ଜର ଅନୁମାନ |
आश्वासन,ନିଶ୍ଚିତତା
आश्वासन कंपनी,ନିଶ୍ଚିତ କର
आश्वासन,ନିଶ୍ଚିତ କର
सूट वर,ରିହାତି ରେ
अणु शक्ती,ପରମାଣୁ ଶକ୍ତି
समम वर,ପାରରେ
प्रीमियमवर,ପ୍ରିମିୟମରେ |
संलग्न करा,ସଂଲଗ୍ନ କରନ୍ତୁ
संलग्न कार्यालय,ସଂଲଗ୍ନ ଅଫିସ୍ |
संलग्नक,ସଂଲଗ୍ନ
संलग्नक ऑर्डर,ସଂଲଗ୍ନ କ୍ରମ
प्राप्ती,ତଥ୍ୟ
प्रयत्न,ଚେଷ୍ଟା
उपस्थिती,ଉପସ୍ଥାନ
उपस्थिती नोंदणी,ଉପସ୍ଥାନ ପଞ୍ଜିକରଣ |
उपस्थिती स्लिप,ଆସେସେନ୍ ସ୍ଲିପ୍ |
लक्ष,ଧ୍ୟାନ |
प्रमाणीकरण,ପ୍ରମାଣପତ୍ର
प्रमाणित प्रत,Atotsed କପି |
वृत्ती,ମନୋଭାବ
आकर्षक पगार,ଆକର୍ଷଣୀୟ ଦରମା
लिलाव,ନିଲାମ
लिलाव,ନିଲାମକାରୀ
लिलाव विक्री,ନିଲାମ ବିକ୍ରୟ
प्रेक्षक,ଦର୍ଶକ |
ऑडिओ-व्हिज्युअल प्रदर्शन,ଅଡିଓ-ଭିଜୁଆଲ୍ ପ୍ରଦର୍ଶନ |
ऑडिओ-व्हिज्युअल प्रसिद्धी,ଅଡିଓ-ଭିଜୁଆଲ୍ ପ୍ରଚାର |
ऑडिट,ଅଡିଟ୍ |
ऑडिट खाती,ଅଡିଟ୍ ଆକାଉଣ୍ଟ୍ |
ऑडिट बॅलन्स शीट,ଅଡିଟ୍ ବାଲାନ୍ସ ସିଟ୍ |
ऑडिटिंग,ଅଡିଟ୍
ऑडिट आक्षेप,ଅଡିଟ୍ ଆପତ୍ତି |
ऑडिटरचा अहवाल,ଅଡିଟରଙ୍କ ରିପୋର୍ଟ |
सभागृह,ଅଡିଟୋରିୟମ୍
ऑडिट परिच्छेद,ଅଡିଟ୍ ପାର୍ତାହୀ |
ऑडिट अहवाल,ଅଡିଟ୍ ରିପୋର୍ଟ
कठोरता,A ଣୀତା
कठोरपणाचे उपाय,ନିର୍ଯାତନା ମାପ |
अस्सल,ପ୍ରାମାଣିକ
अधिकृत प्रतिनिधी,ପ୍ରାଧିକୃତ ପ୍ରତିନିଧୀ |
अधिकृत,ଲେଖକ
अधिकार,ପ୍ରାଧିକରଣ
प्राधिकरण पत्र,ପ୍ରାଧିକରଣ ଚିଠି |
अधिकृत,ପ୍ରାଧିକୃତ
अधिकृत भांडवल,ପ୍ରାଧିକୃତ ପୁଞ୍ଜି |
स्वयंचलित,ସ୍ୱୟଂଚାଳିତ |
स्वायत्त,ସ୍ autonomous ୟଂଶାସିତ
स्वायत्त शरीर,ସ୍ autonomous ୟଂଶାସିତ ଶରୀର |
स्वायत्तता,ସ୍ onomy ାଧୀନତା
सहाय्यक,ସହାୟକକାରୀ
उपलब्ध,ଉପଲବ୍ଧ |
सरासरी,ହାରାହାରି
सरासरी रजा,ହାରାହାରି ଛୁଟି
प्रतिकार,ଘୃଣା
टाळतो,ପ୍ରତିରୋଧ
टाळा,ଏଡ଼ାନ୍ତୁ |
कर टाळणे,ଟ୍ୟାକ୍ସରୁ ଦୂରେଇ ରୁହନ୍ତୁ |
प्रतीक्षा केली,ଅପେକ୍ଷା କରାଯାଇଛି
पुरस्कार,ପୁରସ୍କାର
पुरस्कार प्राधिकरण,ପୁରସ୍କାର ପ୍ରାପ୍ତ ପ୍ରାଧିକରଣ |
जागरूकता,ସଚେତନତା
बॅकडेटेड,ପୃଷ୍ଠଭୂମି
पार्श्वभूमी,ପୃଷ୍ଠଭୂମି
परत लॉग,ବ୍ୟାକ୍ ଲଗ୍
मागे होणे,ପଛକୁ ଯିବା
परत संदर्भ,ପଛଟି
बॅक अप,ବ୍ୟାକଅପ୍ କରନ୍ତୁ |
मागास वर्ग,ପଛୁଆ କ୍ଲାସ୍
मागास जमाती,ପଛୁଆ ଜନଜାତି
वाईट सौदा,ଖରାପ ବୁ g ାମଣା |
वाईट वागणं,ଖରାପ ଆଚରଣ |
वाईट वर्ण,ଖରାପ ଚରିତ୍ର
वाईट हवामान भत्ता,ଖରାପ ଜଳବାୟୁ ଭତ୍ତା |
वाईट आचरण,ଖରାପ ଆଚରଣ
वाईट कर्ज,ଖରାପ debt ଣ
सामान,ବ୍ୟାଗେଜ୍
जामीन,ଜାମିନ
शिल्लक,ସନ୍ତୁଳନ
शिल्लक खाली आणले,ସନ୍ତୁଳନ ତଳକୁ ଅଣାଯାଇଥିଲା |
शिल्लक पुढे आणले,ସନ୍ତୁଳନ ଆଗକୁ ବ .ିଗଲା |
संतुलित बजेट,ସନ୍ତୁଳିତ ବଜେଟ୍
शिल्लक पत्रक,ତୂଳନା ପତ୍ର
मतपत्रिका,ମତଦାନ
मतपेटी,ବାଲାଟ ବାକ୍ସ
मतपत्रिका,ବାଲାଟ କାଗଜ |
बंदी,ନିଷେଧ |
बँक,ବ୍ୟାଙ୍କ
बँक खाते,ବ୍ୟାଙ୍କ ଖାତା
बँक बॅलन्स,ବ୍ୟାଙ୍କ ବାଲାନ୍ସ
बँक शुल्क,ବ୍ୟାଙ୍କ ଚାର୍ଜ |
बँक हमी,ବ୍ୟାଙ୍କ ଗ୍ୟାରେଣ୍ଟି |
बँक सुट्टी,ବ୍ୟାଙ୍କ ଛୁଟି
बँकिंग सुविधा,ବ୍ୟାଙ୍କିଙ୍ଗ୍ ସୁବିଧା |
बँकिंग तास,ବ୍ୟାଙ୍କିଙ୍ଗ୍ ଘଣ୍ଟା |
बँकिंग व्यवहार,ବ୍ୟାଙ୍କିଙ୍ଗ୍ କାରବାର |
बँक दर,ବ୍ୟାଙ୍କ ହାର
बँक सलोखा,ବ୍ୟାଙ୍କ ସମନ୍ୱୟ |
दिवाळखोर,ଦେବାଳିଆ
बँक सुरक्षा,ବ୍ୟାଙ୍କ ସୁରକ୍ଷା
बँक स्टेटमेंट,ବ୍ୟାଙ୍କ ଷ୍ଟେଟମେଣ୍ଟ
मेजवानी,ଭୋଜି |
बार कौन्सिल,ବାର୍ ପରିଷଦ |
सौदा,ବୁ g ାମଣା
बार्गेनिंग,ବୁ g ାମଣା
नापीक जमीन,ବନ୍ଧ୍ୟା ଭୂମି
बार्टर,ବାର୍ଟର
पाया,ଆଧାର
निराधार,ମୂଳହୀନ |
तळघर,ତଳ ମହଲା
बेस वर्ष,ମୂଳ ବର୍ଷ
मूलभूत,ମ basic ଳିକ
मूलभूतपणे,ମୁଳତଃ
मूलभूत बुद्धिमत्ता,ମ Basic ଳିକ ବୁଦ୍ଧି
मूलभूत वेतन,ମ Basic ଳିକ ଦେୟ
मूलभूत वेतन,ଦରମା ମ Basic ଳିକ ସ୍କେଲ୍ |
मूलभूत प्रशिक्षण,ମ Basic ଳିକ ତାଲିମ |
आधार,ଆଧାର
बॅच,ବ୍ୟାଚ୍
बिल्ला क्रमांक,ବ୍ୟାଚ୍ ନମ୍ବର |
वाहक तपासणी,ଧାରକ ଯାଞ୍ଚ କରନ୍ତୁ |
उद्धृत करण्यापूर्वी,ଦର୍ଶାଯାଇଛି
वर्तन,ବ୍ୟବହାର
विश्वास,ବିଶ୍ୱାସ
समम खाली,ପାରେ ତଳେ |
खंडपीठ,ବେଞ୍ଚ
बेंचमार्क,ବେଞ୍ଚମାର୍କ |
फायदेशीर,ଲାଭଦାୟକ |
लाभार्थी,ହିତାଧିକାରୀ
फायदा,ଲାଭ
संशयाचा फायदा,ସନ୍ଦେହର ଲାଭ
परोपकार,ଦୟା ଦୃଷ୍ଟିଧତା
बेनिव्हॉलेंट फंड,ଦୟାଳୁ ପାଣ୍ଠି |
निर्विकार,ବିକେଥ
वकील,ଉତ୍ତରାଧିକାରୀ |
शोक,ଶୋକ
सर्वोत्तम प्रयत्न,ସର୍ବୋତ୍ତମ ପ୍ରୟାସ |
बेटरमेंट,ଉନ୍ନତି
पूर्वाग्रह,ପକ୍ଷ
पक्षपाती मत,ପକ୍ଷପାତିତ ମତ
ग्रंथसूची,ବିବିଡୋ ରୋଗଗ୍ରାଫି |
द्विवार्षिक,ବିଏନୋନିଆଲ୍
द्विपक्षीय,ବିଫ୍ୟୁର୍େଟ୍ |
बिगॅमी,ବିଗାମି
द्विपक्षीय,ଦ୍ୱିପାକ୍ଷିକ |
द्विभाषिक,ଦ୍ୱିଭାଷୀ
द्विभाषिक,ଦ୍ୱି -ameral
बिल,ବିଲ୍
विनिमयाची पावती,ବିନିମୟ ବିଲ୍ |
द्विपक्षीय अहवाल,ବିମୋନେଟ୍ ରିପୋର୍ଟ କରନ୍ତୁ |
बंधनकारक,ବାଧ୍ୟତାମୂଳକ |
बायोडाटा,ବାୟୋଡା |
द्विपक्षीय,ବିପୁଟିଟ୍
द्विपक्षीय करार,ବିପର୍ଡାଇଟ୍ ଚୁକ୍ତିନାମା |
वर्धापन दिन,ଜନ୍ମ ବାର୍ଷିକୀ |
जन्म प्रमाणपत्र,ଜନ୍ମ ପ୍ରମାଣପତ୍ର
जन्म नियंत्रण,ଜନ୍ମ ନିୟନ୍ତ୍ରଣ
