Gujarati,Malayalam
ઓટોમેટિક ટેલર મશીન (ATM),ഓട്ടോമാറ്റിക് ടെല്ലർ മെഷീൻ (എടിഎം)
ઓટોમેશન,ഓട്ടോമേഷൻ
ઑટોપ્લે,ഓട്ടോപ്ലേ
સ્વતઃ સાચવો,സ്വയം സംരക്ഷിക്കുക
સહાયક,സഹായകമായ
સહાયક મેમરી,സഹായ മെമ്മറി
સહાયક સંગ્રહ,സഹായ സംഭരണം
ઉપલબ્ધ યાદી,ലഭ്യമായ പട്ടിക
ઉપલબ્ધ સમય,ലഭ്യമായ സമയം
સરેરાશ,ശരാശരി
awk (ભાષા),awk (ഭാഷ)
બેકએન્ડ,പിൻഭാഗം
બેકએન્ડ પ્રોસેસર,ബാക്കെൻഡ് പ്രോസസർ
બેકફેસ દૂર કરવું,ബാക്ക്ഫേസ് നീക്കം
પૃષ્ઠભૂમિ પ્રક્રિયા,പശ്ചാത്തല പ്രോസസ്സിംഗ്
બેકિંગ સ્ટોર,ബാക്കിംഗ് സ്റ്റോർ
બેકપેચિંગ,ബാക്ക്പാച്ചിംഗ്
બેકસ્પેસ,ബാക്ക്സ്പേസ്
બેકટ્રેકિંગ,ബാക്ക്ട്രാക്കിംഗ്
બેકઅપ,ബാക്ക്-അപ്പ്
બેકઅપ મેમરી,ബാക്കപ്പ് മെമ്മറി
પછાત ભૂલ પુનઃપ્રાપ્તિ,പിന്നോട്ട് പിശക് വീണ്ടെടുക്കൽ
સરવૈયા,ബാലൻസ് ഷീറ്റ്
બેન્ડ,ബാൻഡ്
બેન્ડ પહોળાઈ,ബാൻഡ് വീതി
બેંકરનું અલ્ગોરિધમ,ബാങ്കറുടെ അൽഗോരിതം
બાર કોડ,ബാർ കോഡ്
બાર કોડ સ્કેનર,ബാർ കോഡ് സ്കാനർ
બાર ગ્રાફ,ബാർ ഗ്രാഫ്
આધાર સરનામું,അടിസ്ഥാന വിലാസം
આધાર બેન્ડ,അടിസ്ഥാന ബാൻഡ്
આધાર નંબર,അടിസ്ഥാന നമ്പർ
આધાર ટેબલ,അടിസ്ഥാന പട്ടിക
પાયાની,അടിസ്ഥാനം
મૂળભૂત નિયંત્રણ,അടിസ്ഥാന നിയന്ത്രണം
મૂળભૂત ઇનપુટ,അടിസ്ഥാന ഇൻപുട്ട്
મૂળભૂત સૂચના,അടിസ്ഥാന നിർദ്ദേശം
મૂળભૂત આઉટપુટ,അടിസ്ഥാന ഔട്ട്പുട്ട്
મૂળભૂત પગલું,അടിസ്ഥാന ഘട്ടം
બેચ,ബാച്ച്
બેચ ફાઇલ,ബാച്ച് ഫയൽ
બેચ સ્થિતિ,ബാച്ച് സ്ഥാനം
બેચ પ્રક્રિયા,ബാച്ച് പ്രോസസ്സിംഗ്
બેચ સિસ્ટમ,ബാച്ച് സിസ്റ്റം
બાઉડ,ബൗഡ്
બાઉડ દર,ബാഡ് നിരക്ക്
બીમ,ബീം
બેન્ચમાર્ક,ബെഞ്ച്മാർക്ക്
દ્વિદિશ સંચાર,ദ്വിദിശ ആശയവിനിമയം
દ્વિદિશ લિંક,ദ്വിദിശ ലിങ്ക്
દ્વિસંગી કોડ,ബൈനറി കോഡ്
દ્વિસંગી અંક,ബൈനറി അക്കം
બાઈનરી ઇનપુટ આઉટપુટ સિસ્ટમ (BIOS),ബൈനറി ഇൻപുട്ട് ഔട്ട്പുട്ട് സിസ്റ്റം (BIOS)
દ્વિસંગી સંખ્યા,ബൈനറി നമ്പർ
બાઈનરી ઓપરેટર,ബൈനറി ഓപ്പറേറ്റർ
દ્વિસંગી સંબંધ,ബൈനറി ബന്ധം
દ્વિસંગી શોધ,ബൈനറി തിരയൽ
દ્વિસંગી શોધ વૃક્ષ (BST),ബൈനറി സെർച്ച് ട്രീ (BST)
બાઈનરી ટ્રાન્સફર,ബൈനറി കൈമാറ്റം
દ્વિસંગી વૃક્ષ,ബൈനറി മരം
બાયપોલર મેમરી,ബൈപോളാർ മെമ്മറി
જન્મ મૃત્યુ મોડેલ,ജനന മരണ മാതൃക
જન્મ મૃત્યુ પ્રક્રિયા,ജനന മരണ പ്രക്രിയ
બીટ,ബിറ്റ്
થોડી ખામી,ചെറിയ തെറ്റ്
બીટ નકશો,ബിറ്റ് മാപ്പ്
બીટ મેપ પિક્સેલ (BMP),ബിറ്റ് മാപ്പ് പിക്സൽ (BMP)
બીટ મેટ્રિક્સ,ബിറ്റ് മാട്രിക്സ്
બીટ પેટર્ન,ബിറ്റ് പാറ്റേൺ
બીટ સ્થિતિ,ബിറ്റ് സ്ഥാനം
બીટ દર,ബിറ്റ് നിരക്ക്
બ્લેક બોક્સ પરીક્ષણ,ബ്ലാക്ക് ബോക്സ് പരിശോധന
ઝબકવું,മിന്നിമറയുന്നു
બ્લોક,തടയുക
બ્લોક કેશ,കാഷെ തടയുക
બ્લોક ચેક,ബ്ലോക്ക് ചെക്ക്
બ્લોક નકલ,ബ്ലോക്ക് കോപ്പി
રેખાક્રુતિ,ബ്ലോക്ക് ഡയഗ്രം
બ્લોકીંગ નેટવર્ક,തടയൽ ശൃംഖല
પાટીયું,ബോർഡ്
પુસ્તક ચિહ્ન,ബുക്ക് മാർക്ക്
બુલિયન બીજગણિત,ബൂലിയൻ ബീജഗണിതം
બુલિયન સંબંધ,ബൂളിയൻ ബന്ധം
બુટ પાર્ટીશન,ബൂട്ട് പാർട്ടീഷൻ
બુટ strapping,ബൂട്ട് സ്ട്രാപ്പിംഗ്
બુટ-સ્ટ્રેપ લોડર,ബൂട്ട് സ്ട്രാപ്പ് ലോഡർ
પુલ,പാലം
બ્રોડબેન્ડ નેટવર્કિંગ,ബ്രോഡ്‌ബാൻഡ് നെറ്റ്‌വർക്കിംഗ്
પ્રસારણ,പ്രക്ഷേപണം
પ્રસારણ રેડિયો,പ്രക്ഷേപണം റേഡിയോ
બ્રાઉઝ કરો,ബ്രൗസ് ചെയ്യുക
બ્રાઉઝર,ബ്രൗസർ
બી-ટ્રી,ബി-ട്രീ
બબલ મેમરી,ബബിൾ മെമ്മറി
બબલ સૉર્ટ,ബബിൾ അടുക്കുക
ડોલ,ബക്കറ്റ്
મિત્ર સિસ્ટમ,ബഡ്ഡി സിസ്റ്റം
બજેટ અસરકારક નિયંત્રણ,ബജറ്റ് ഫലപ്രദമായ നിയന്ത്രണം
બફર,ബഫർ
ભૂલ,ബഗ്
બસ,ബസ്
બાઈટ,ബൈറ്റ്
બાઈટ કોડ,ബൈറ്റ് കോഡ്
c,സി
C++,C++
કેશ,കാഷെ
કેશ બફર,കാഷെ ബഫർ
કેશ મેમરી,കാഷെ മെമ്മറി
ગણતરી,കണക്കുകൂട്ടല്
કેલ્ક્યુલેટર,കാൽക്കുലേറ്റർ
કેલ્ક્યુલેટર ચિપ,കാൽക്കുലേറ്റർ ചിപ്പ്
કૉલ,വിളി
નામથી બોલાવો,പേര് വിളിക്കുക
સંદર્ભ દ્વારા કૉલ કરો,റഫറൻസ് വഴി വിളിക്കുക
મૂલ્ય દ્વારા કૉલ કરો,മൂല്യമനുസരിച്ച് വിളിക്കുക
ચલ દ્વારા કૉલ કરો,വേരിയബിളുകൾ വഴി വിളിക്കുക
કૉલ ગેટ,കോൾ ഗേറ്റ്
રદ કરો,റദ്ദാക്കുക
રદ કરો બટન,റദ്ദാക്കുക ബട്ടൺ
પ્રમાણભૂત,കാനോനിക്കൽ
પ્રમાણભૂત સ્વરૂપ,കാനോനിക്കൽ രൂപം
ક્ષમતા,കഴിവ്
ક્ષમતા યાદી,കഴിവ് പട്ടിക
ક્ષમતા,ശേഷി
કેપ્સ લોક કી,ക്യാപ്സ് ലോക്ക് കീ
કાર્ડ,കാർഡ്
કાર્ડ રીડર,കാർഡ് റീഡർ
મુખ્યત્વ,കാർഡിനാലിറ്റി
વાહક,വാഹകൻ
વાહક બેન્ડ,കാരിയർ ബാൻഡ്
વાહક લોડ,കാരിയർ ലോഡ്
વાહક સંકેત,കാരിയർ സിഗ്നൽ
વાહક તરંગ,കാരിയർ തരംഗം
વહન,കൊണ്ടുപോകുക
વહન અંક,അക്കം കൊണ്ടുപോകുക
ધ્વજ વહન કરો,പതാക വഹിക്കുക
કારતૂસ ડિસ્ક,കാട്രിഡ്ജ് ഡിസ്ക്
કાસ્કેડ,കാസ്കേഡ്
કેસ,കേസ്
કેથોડ રે ટ્યુબ (CRT),കാഥോഡ് റേ ട്യൂബ് (CRT)
કેથોડ રે ટ્યુબ (CRT),കാഥോഡ് റേ ട്യൂബ് (CRT)
CD ROM ડિસ્ક ડ્રાઇવ,സിഡി റോം ഡിസ്ക് ഡ്രൈവ്
કોષ,സെൽ
સેલ એનિમેશન,സെൽ ആനിമേഷൻ
સેલ્યુલર ફોન,സെല്ലുലാർ ഫോൺ
કેન્દ્રીય મેમરી,കേന്ദ്ര മെമ്മറി
સેન્ટ્રલ પ્રોસેસિંગ યુનિટ (CPU),സെൻട്രൽ പ്രോസസ്സിംഗ് യൂണിറ്റ് (സിപിയു)
કેન્દ્રિય સિસ્ટમ,കേന്ദ്രീകൃത സംവിധാനം
પ્રમાણિત ટેપ,സാക്ഷ്യപ്പെടുത്തിയ ടേപ്പ്
સાંકળ,ചങ്ങല
સાંકળ ડેટા,ചെയിൻ ഡാറ്റ
સાંકળ કડી,ചെയിൻ ലിങ്ക്
સાંકળ,ചങ്ങല
ચેનલ,ചാനൽ
ચેનલ વ્યસ્ત સ્વર,ചാനൽ തിരക്കുള്ള ടോൺ
ચેનલ ક્ષમતા,ചാനൽ ശേഷി
ચેનલ નિયંત્રક,ചാനൽ കൺട്രോളർ
ચેનલ ભૂલ,ചാനൽ പിശക്
ચેનલ કાર્યક્રમ,ചാനൽ പ്രോഗ്രാം
ચેનલ વિશ્વસનીયતા,ചാനൽ വിശ്വാസ്യത
ચેનલ સેટ,ചാനൽ സെറ്റ്
પાત્ર,സ്വഭാവം
અક્ષર કોડ,പ്രതീക കോഡ്
અક્ષર કી,പ്രതീക കീ
પાત્ર વાચક,സ്വഭാവ വായനക്കാരൻ
અક્ષરનું કદ,പ്രതീക വലുപ്പം
ચાર્ટ,ചാർട്ട്
ચેસિસ,ചേസിസ്
બીટ તપાસો,ചെക്ക് ബിറ്റ്
અંક તપાસો,അക്കം പരിശോധിക്കുക
રકમ તપાસો,തുക ചെക്ക്
શબ્દ તપાસો,ചെക്ക് വാക്ക്
ચિપ,ചിപ്പ്
ચિપ સેટ,ചിപ്പ് സെറ്റ്
પસંદ કરો,തിരഞ്ഞെടുക്കുക
રંગીન રીતે,വർണ്ണപരമായി
સાઇફર,സൈഫർ
સર્કિટ,സർക്യൂട്ട്
પરિપત્ર યાદી,വൃത്താകൃതിയിലുള്ള പട്ടിക
સિરસ,സിറസ്
અવતરણ,അവലംബം
વર્ગ,ക്ലാസ്
વર્ગ ચલ,ക്ലാസ് വേരിയബിൾ
વર્ગીકરણ,വർഗ്ഗീകരണം
ચોખ્ખુ,വ്യക്തമായ
સ્પષ્ટ વિસ્તાર,തെളിഞ്ഞ പ്രദേശം
સ્પષ્ટ ચેનલ,വ്യക്തമായ ചാനൽ
ક્લિક કરો,ക്ലിക്ക് ചെയ്യുക
ગ્રાહક,കക്ഷി
ક્લાયંટ સર્વર,ക്ലയന്റ് സെർവർ
ક્લાઈન્ટ સ્ટબ,ക്ലയന്റ് അപൂർണ്ണം
ક્લિપ આર્ટ,ക്ലിപ്പ് ആർട്ട്
ક્લિપ આર્ટ લાઇબ્રેરી,ക്ലിപ്പ് ആർട്ട് ലൈബ്രറി
ક્લિપ બોર્ડ,ക്ലിപ്പ് ബോർഡ്
ક્લિપર,ക്ലിപ്പർ
ક્લિપર ચિપ,ക്ലിപ്പർ ചിപ്പ്
સમૂહ,കൂട്ടം
ઘડિયાળ,ക്ലോക്ക്
ઘડિયાળ ચક્ર,ക്ലോക്ക് സൈക്കിൾ
ઘડિયાળની આવર્તન,ക്ലോക്ക് ആവൃത്തി
ઘડિયાળ હાર્ડવેર,ക്ലോക്ക് ഹാർഡ്‌വെയർ
ઘડિયાળની પલ્સ,ക്ലോക്ക് പൾസ്
ઘડિયાળની ઝડપ,ക്ലോക്ക് വേഗത
ઘડિયાળ સુમેળ,ക്ലോക്ക് സിൻക്രൊണൈസേഷൻ
ઘડિયાળની ટીક,ക്ലോക്ക് ടിക്ക്
ક્લોન,ക്ലോൺ
બંધ,അടുത്ത്
ક્લોઝ સર્કિટ ટીવી (CCTV),ക്ലോസ് സർക്യൂട്ട് ടിവി (സിസിടിവി)
બંધ,അടച്ചുപൂട്ടൽ
ક્લાઉડ કમ્પ્યુટિંગ,ക്ലൗഡ് കമ്പ്യൂട്ടിംഗ്
ક્લસ્ટર,ക്ലസ്റ്റർ
કોટેડ કાર્ડ,പൂശിയ കാർഡ്
કોટેડ કાગળ,പൊതിഞ്ഞ പേപ്പർ
કોક્સિયલ,ഏകപക്ഷീയമായ
કો - એક્ષેલ કેબલ,ഏകോപന കേബിൾ
કોડાસિલ,കോഡാസിൽ
કોડ,കോഡ്
કોડ જનરેટર,കോഡ് ജനറേറ്റര്
કોડ પેજ,കോഡ് പേജ്
કોડ શબ્દ,കോഡ് വാക്ക്
કોડર,കോഡർ
કોડિંગ તપાસ,കോഡിംഗ് പരിശോധന
કોડિંગ ફોર્મ,കോഡിംഗ് ഫോം
કોડિંગ શીટ,കോഡിംഗ് ഷീറ്റ്
ગુણાંક,ഗുണകം
સુસંગતતા,പരസ്പരബന്ധം
ઠંડા બૂટ,തണുത്ത ബൂട്ട്
ઠંડી શરૂઆત,തണുത്ത തുടക്കം
સહયોગ,സഹകരണം
પતન,തകർച്ച
કોલેટ,കൊളാറ്റ്
કોલેટ ટેપ,കൊളേറ്റ് ടേപ്പ്
અથડામણ,കൂട്ടിയിടി
કોલોન,കോളൻ
રંગ (રંગ),നിറം (നിറം)
