Assamese,Punjabi
বেক ড্ৰাফ্ট ডেম্পাৰ,ਬੈਕ ਡਰਾਫਟ ਡੈਂਪਰ
বেক ড্ৰেইন,ਬੈਕ ਡਰੇਨ
বেক ড্ৰপ,ਬੈਕ ਡਰਾਪ
বেক ফিল,ਵਾਪਸ ਭਰੋ
পিছফালৰ ফিলেট,ਬੈਕ ਫਿਲਲੇਟ
বেক ফ্লেপ হিঞ্জ,ਬੈਕ ਫਲੈਪ ਹਿੰਗ
বেক ফ্ল&#39; সংযোগ,ਵਾਪਸ ਵਹਾਅ ਕੁਨੈਕਸ਼ਨ
বেক ফ্ল’ প্ৰিভেণ্টাৰ,ਬੈਕ ਵਹਾਅ ਰੋਕਣ ਵਾਲਾ
বেক গেজ,ਬੈਕ ਗੇਜ
পিছফালৰ নালা,ਪਿਛਲਾ ਗਟਰ
পিছফালৰ অগ্নিকুণ্ড,ਪਿਛਲਾ ਚੁੱਲ੍ਹਾ
বেকিং,ਬੈਕਿੰਗ
বেকিং বৰ্ড,ਬੈਕਿੰਗ ਬੋਰਡ
পিঠিৰ চাপ,ਪਿੱਠ ਦਾ ਦਬਾਅ
বেক প্ৰপ,ਬੈਕ ਪ੍ਰੋਪ
পিছফালৰ দৃষ্টি,ਪਿੱਛੇ ਦੀ ਨਜ਼ਰ
পিছফালৰ পানী,ਵਾਪਸ ਪਾਣੀ
বেফেল,ਘਬਰਾਹਟ
বেগৱৰ্ক,ਬੈਗਵਰਕ
বেলেষ্ট,ਬੈਲਸਟ
বল মাটি,ਬਾਲ ਮਿੱਟੀ
বল কন ক্লেম্প,ਬਾਲ ਕੋਨ ਕਲੈਂਪ
কাঁইটীয়া তাঁৰ,ਕੰਡਿਆਲੀ ਤਾਰ
বাৰ কুকুৰ,ਬਾਰ ਕੁੱਤਾ
বাৰ্জ বৰ্ড,ਬਾਰਜ ਬੋਰਡ
বেৰিয়াম ছালফেট পৰীক্ষা,ਬੇਰੀਅਮ ਸਲਫੇਟ ਟੈਸਟ
বেৰেজ,ਬੈਰਾਜ
বেৰেট,ਬੈਰੇਟ
ভেঁটি,ਅਧਾਰ
ভিত্তি বিনিময়,ਬੇਸ ਐਕਸਚੇਂਜ
ভিত্তি লাইন,ਬੇਸ ਲਾਈਨ
বেছমেণ্ট,ਬੇਸਮੈਂਟ
বেছমেণ্টৰ দেৱাল,ਬੇਸਮੈਂਟ ਦੀ ਕੰਧ
বেচ প্লেট,ਬੇਸ ਪਲੇਟ
"বেচ প্লেট, নিয়ন্ত্ৰণযোগ্য","ਬੇਸ ਪਲੇਟ, ਅਨੁਕੂਲ"
ভিত্তি পৰিপূৰকতা,ਬੇਸ ਸੰਤ੍ਰਿਪਤਾ
বেছ’ইড,ਬੇਸੌਇਡ
বেট,ਬੱਲਾ
বাথ আৰু ডব্লিউ চি,ਇਸ਼ਨਾਨ ਅਤੇ ਡਬਲਯੂ.ਸੀ
বেটাৰ পেগ,ਬੈਟਰ ਪੈਗ
বেটাৰ ঘাট,ਬੈਟਰ ਪੀਅਰ
বেটাৰৰ নিয়ম,ਬੈਟਰ ਨਿਯਮ
Baulk (বালক),ਬਾਲਕ (ਬਾਲਕ)
উপসাগৰ,ਬੇ
বাহক,ਧਾਰਕ
বহন ক্ষমতা,ਬੇਅਰਿੰਗ ਸਮਰੱਥਾ
বেয়াৰিং পাইল,ਬੇਅਰਿੰਗ ਪਾਇਲ
বহন স্তৰ,ਬੇਅਰਿੰਗ ਸਟ੍ਰੈਟਮ
বিছনা,ਬਿਸਤਰਾ
বিচনাৰ বিমান,ਬਿਸਤਰੇ ਦਾ ਜਹਾਜ਼
বিচনাৰ সংযোগ,ਬਿਸਤਰਾ ਜੋੜ
বিচনাৰ শিল,ਬੈੱਡ ਰੌਕ
শোৱনি কোঠা,ਬੈੱਡ ਰੂਮ
মৌমাখিৰ মোম,ਮੋਮ
বেল বাকচ,ਘੰਟੀ ਬਾਕਸ
বেলিং বাল্টি,ਘੰਟੀ ਵਾਲੀ ਬਾਲਟੀ
বেলোফ্ৰেম,ਬੇਲੋਫ੍ਰਾਮ
বেঞ্চযুক্ত ভেটি,ਬੈਂਚਡ ਫਾਊਂਡੇਸ਼ਨ
বেঞ্চিং কৰা,ਬੈਂਚਿੰਗ
বেঞ্চ মাৰ্ক,ਬੇਂਚਮਾਰਕ
লাভৰ খৰচ বিশ্লেষণ,ਲਾਭ ਲਾਗਤ ਵਿਸ਼ਲੇਸ਼ਣ
বাৰ্ম,ਬਰਮ
বেভেলড বন্ধ,Bevelled ਬੰਦ
"খ-দিগন্ত,&quot;খ-","ਬੀ-ਹੋਰੀਜ਼ਨ,&quot;ਬੀ-"
বিয়াত,ਬਾਇਟ
বাইণ্ডাৰ,ਬਿੰਦਰ
বান্ধি ৰখা সামগ্ৰী,ਬਾਈਡਿੰਗ ਸਮੱਗਰੀ
বায়টৰ তত্ত্ব,ਬਾਇਓਟ ਦਾ ਸਿਧਾਂਤ
বিটুমিন,ਬਿਟੂਮਨ
ক’লা কপাহী মাটি,ਕਾਲੀ ਕਪਾਹ ਦੀ ਮਿੱਟੀ
ক&#39;লা পৃথিৱী,ਕਾਲੀ ਧਰਤੀ
ক’লা টাৰ্ফ মাটি,ਕਾਲੀ ਮੈਦਾਨ ਵਾਲੀ ਮਿੱਟੀ
ব্লেড,ਬਲੇਡ
ব্লাষ্ট ফাৰ্নেচ স্লেগ চিমেণ্ট,ਬਲਾਸਟ ਫਰਨੇਸ ਸਲੈਗ ਸੀਮਿੰਟ
ব্লকযুক্ত গঠন,ਬਲਾਕੀ ਬਣਤਰ
বগী প্ৰতিৰোধ,ਬੋਗੀ ਪ੍ਰਤੀਰੋਧ
বোগ-লোহাৰ অক্সাইড,ਬੋਗ-ਲੋਹੇ ਦਾ ਧਾਤ
বান্ধোন,ਬਾਂਡ
বণ্ডেড সদস্য,ਬੰਧੂਆ ਮੈਂਬਰ
বণ্ডেড পোষ্ট টেনচিং,ਬੰਧੂਆ ਪੋਸਟ ਤਣਾਅ
বণ্ড ষ্টোন,ਬੰਧਨ ਪੱਥਰ
বান্ধি থোৱা পানী,ਬੰਨ੍ਹ ਪਾਣੀ
বক্স নালা,ਬਾਕਸ ਗਟਰ
ব্ৰেচ,ਬ੍ਰੇਸ
ইটা-অন-এজ,ਇੱਟ-ਤੇ-ਕਿਨਾਰੇ
লজ্জাজনক,ਲਗਾਮ
উজ্জ্বলতা,ਚਮਕ
বাদামী মাটি,ਭੂਰੀ ਮਿੱਟੀ
ভৱন,ਬਿਲਡਿੰਗ
বিল্ডিং জৰীপকাৰী,ਬਿਲਡਿੰਗ ਸਰਵੇਅਰ
বাফাৰ,ਬਫਰ
বাফাৰ বক্ৰ,ਬਫਰ ਕਰਵ
বাফাৰিং,ਬਫਰਿੰਗ
বাফাৰিং ক্ষমতা,ਬਫਰਿੰਗ ਸਮਰੱਥਾ
বাণ্ডাৰ,ਬੰਦਰ
বাট্ৰেছ,ਬਟਰਸ
গ-দিগন্ত,ਸੀ-ਹੋਰੀਜ਼ਨ
কেবল,ਕੇਬਲ
কেবল মল্ডিং,ਕੇਬਲ ਮੋਲਡਿੰਗ
কেবলিং,ਕੇਬਲਿੰਗ
কেবিন,ਕੈਬਿਨ
কেবিন হুক,ਕੈਬਿਨ ਹੁੱਕ
কেবিনেট,ਕੈਬਨਿਟ
কেবল্টৰ চাকৰি এৰিছে,ਕੈਬੋਲਟ ਨੇ ਛੱਡ ਦਿੱਤਾ
কেফেটেৰিয়া,ਕੈਫੇਟੇਰੀਆ
সঁজা,ਪਿੰਜਰਾ
পিঞ্জৰা নিৰ্মাণ,ਪਿੰਜਰੇ ਦੀ ਉਸਾਰੀ
কয়িনৰ সূত্ৰ,ਕੈਨ ਦਾ ਫਾਰਮੂਲਾ
কেইচন,ਕੈਸਨ
কেইচন ৰোগ,ਕੈਸਨ ਦੀ ਬਿਮਾਰੀ
কেইচন ফাউণ্ডেচন,ਕੈਸਨ ਫਾਊਂਡੇਸ਼ਨ
কেইচন পাইল,ਕੈਸਨ ਢੇਰ
কেলকেয়াৰযুক্ত ইটা,ਕੈਲੇਰੀਅਸ ਇੱਟ
কেলকেয়াৰযুক্ত মাটি,ਚੂਨੇ ਵਾਲੀ ਮਿੱਟੀ
কেলকেয়াৰযুক্ত খোলা,ਛਾਲੇਦਾਰ ਛਾਲੇ
কেলচিফিকেশন,ਕੈਲਸੀਫਿਕੇਸ਼ਨ
কেলচিনেচন,ਕੈਲਸੀਨੇਸ਼ਨ
কেলচিন,ਕੈਲਸੀਨ
কেলচাইট,ਕੈਲਸਾਈਟ
কেলচিয়াম-এলুমিনেট চিমেণ্ট,ਕੈਲਸ਼ੀਅਮ-ਐਲੂਮੀਨੇਟ ਸੀਮਿੰਟ
কেলচিয়াম-চিলিকেট ইটা,ਕੈਲਸ਼ੀਅਮ-ਸਿਲੀਕੇਟ ਇੱਟ
কেলচিয়াম-চিলিকেট হাইড্ৰেট,ਕੈਲਸ਼ੀਅਮ-ਸਿਲੀਕੇਟ ਹਾਈਡਰੇਟ
কালিচে,ਕੈਲੀਚੇ
কেলিফৰ্ণিয়া বেয়াৰিং ৰেচিঅ’,ਕੈਲੀਫੋਰਨੀਆ ਬੇਅਰਿੰਗ ਅਨੁਪਾਤ
কেলিপাৰ,ਕੈਲੀਪਰ
কেলৰিমিটাৰ,ਕੈਲੋਰੀਮੀਟਰ
কেম্বাৰ,ਕੈਮਬਰ
খাল,ਨਹਿਰ
কেনপি,ਕੈਨੋਪੀ
কেন্টিলিভাৰ ফুটিং,Cantilever ਪੈਰ
কেপ,ਕੈਪ
ক্ষমতা,ਸਮਰੱਥਾ
ail ট্ৰেকৰ ক্ষমতা,ਏਲ ਟ੍ਰੈਕ ਦੀ ਸਮਰੱਥਾ
কেপ কেবল,ਕੈਪ ਕੇਬਲ
কেপিলাৰিটি,ਕੈਪੀਲੇਰਿਟੀ
কেপিলাৰী ব্ৰেক,ਕੇਸ਼ਿਕਾ ਬਰੇਕ
কেপিলাৰী প্ৰবাহ,ਕੇਸ਼ੀਲ ਪ੍ਰਵਾਹ
কেপিলাৰী আৰ্দ্ৰতা বা কেপিলাৰী পানী,ਕੇਸ਼ਿਕਾ ਨਮੀ ਜਾਂ ਕੇਸ਼ੀਲ ਪਾਣੀ
কেপিলাৰী ছিদ্ৰ স্থান,ਕੇਸ਼ਿਕਾ ਪੋਰ ਸਪੇਸ
কেপিলাৰী ছিদ্ৰতা,ਕੇਸ਼ਿਕਾ ਪੋਰੋਸਿਟੀ
কেপিলাৰী স্থান,ਕੇਸ਼ੀਲ ਸਪੇਸ
কেপচাৰ বেগ,ਵੇਗ ਕੈਪਚਰ ਕਰੋ
কাৰ্বনেচন,ਕਾਰਬਨੇਸ਼ਨ
কাৰ্বন ব্লেক,ਕਾਰਬਨ ਕਾਲਾ
Castble অবাধ্য,ਕਾਸਟਬਲ ਰਿਫ੍ਰੈਕਟਰੀ
কাষ্ট-ইন-প্লেচ বা কাষ্ট-ইন-চিটু,ਕਾਸਟ-ਇਨ-ਪਲੇਸ ਜਾਂ ਕਾਸਟ-ਇਨ-ਸੀਟੂ
কাষ্ট-ইন-প্লেচ পাইল,ਕਾਸਟ-ਇਨ-ਪਲੇਸ ਢੇਰ
কেষ্টাৰ,ਕੈਸਟਰ
ঢালাই শিল,ਪੱਥਰ ਸੁੱਟੋ
অনুঘটক,ਉਤਪ੍ਰੇਰਕ
কেটেনা,ਕੈਟੇਨਾ
মেকুৰীৰ মুখ,ਬਿੱਲੀ ਦਾ ਚਿਹਰਾ
মেকুৰীৰ মূৰ,ਬਿੱਲੀ ਦਾ ਸਿਰ
কেটিয়ন,ਕੈਸ਼ਨ
মেকুৰী খোজ কাঢ়িব,ਬਿੱਲੀ ਵਾਕ
গহ্বৰৰ ক্ষতি,Cavitation ਨੁਕਸਾਨ
চেলাইট,ਸੇਲੀਟ
কোষীয় কংক্ৰিট,ਸੈਲੂਲਰ ਕੰਕਰੀਟ
কোষীয় নিৰ্মাণ,ਸੈਲੂਲਰ ਉਸਾਰੀ
চিমেণ্ট,ਸੀਮਿੰਟ
"চিমেণ্ট, বিটুমিনাছ","ਸੀਮਿੰਟ, ਬਿਟੂਮਿਨਸ"
"চিমেণ্ট, উচ্চ শক্তি","ਸੀਮਿੰਟ, ਉੱਚ ਤਾਕਤ"
"চিমেণ্ট, হাইড্ৰলিক","ਸੀਮਿੰਟ, ਹਾਈਡ੍ਰੌਲਿਕ"
"চিমেণ্ট, কম জুইত","ਸੀਮਿੰਟ, ਘੱਟ ਗਰਮੀ"
"চিমেণ্ট, শিলৰ কাম","ਸੀਮਿੰਟ, ਚਿਣਾਈ"
"চিমেণ্ট, প্ৰাকৃতিক","ਸੀਮਿੰਟ, ਕੁਦਰਤੀ"
"চিমেণ্ট, পৰ্টলেণ্ড","ਸੀਮਿੰਟ, ਪੋਰਟਲੈਂਡ"
"চিমেণ্ট, পৰ্টলেণ্ড ব্লাষ্ট ফাৰ্নেচৰ স্লেগ","ਸੀਮਿੰਟ, ਪੋਰਟਲੈਂਡ ਬਲਾਸਟ ਫਰਨੇਸ ਸਲੈਗ"
"চিমেণ্ট, পৰ্টলেণ্ড প&#39;জ&#39;লান","ਸੀਮਿੰਟ, ਪੋਰਟਲੈਂਡ ਪੋਜ਼ੋਲਨ"
"চিমেণ্ট, স্লেগ","ਸੀਮਿੰਟ, ਸਲੈਗ"
"চিমেণ্ট, ছালফেট প্ৰতিৰোধী","ਸੀਮਿੰਟ, ਸਲਫੇਟ ਰੋਧਕ"
"চিমেণ্ট, ছুপাৰ ছালফেটেড","ਸੀਮਿੰਟ, ਸੁਪਰ ਸਲਫੇਟਿਡ"
"চিমেণ্ট, বগা","ਸੀਮਿੰਟ, ਚਿੱਟਾ"
চিমেণ্ট-এগ্ৰিগেটৰ অনুপাত,ਸੀਮਿੰਟ-ਐਗਰੀਗੇਟ ਅਨੁਪਾਤ
চিমেণ্টৰ পৰিমাণ,ਸੀਮਿੰਟ ਸਮੱਗਰੀ
চিমেণ্ট জেল,ਸੀਮਿੰਟ ਜੈੱਲ
চিমেণ্টৰ বন্দুক,ਸੀਮਿੰਟ ਬੰਦੂਕ
চিমেণ্টৰ ভঁৰাল,ਸੀਮਿੰਟ ਭੱਠਾ
চিমেণ্টৰ ৰং,ਸੀਮਿੰਟ ਪੇਂਟ
চিমেণ্টৰ প্লাষ্টাৰ,ਸੀਮਿੰਟ ਪਲਾਸਟਰ
চিমেণ্টৰ শিল,ਸੀਮਿੰਟ ਚੱਟਾਨ
চিমেণ্টৰ গোন্ধ,ਸੀਮਿੰਟ ਸਲਰੀ
চিমেণ্ট সংৰক্ষণ,ਸੀਮਿੰਟ ਸਟੋਰੇਜ਼
চিমেণ্টেচন প্ৰক্ৰিয়া,ਸੀਮੈਂਟੇਸ਼ਨ ਪ੍ਰਕਿਰਿਆ
কেন্দ্ৰীকৰণ,ਸੈਂਟਰਿੰਗ
চেণ্টাৰিং আৰু শ্বাটাৰিং,ਸੈਂਟਰਿੰਗ ਅਤੇ ਸ਼ਟਰਿੰਗ
কেন্দ্ৰীয় মিশ্ৰিত কংক্ৰিট,ਕੇਂਦਰੀ ਮਿਸ਼ਰਤ ਕੰਕਰੀਟ
কেন্দ্ৰীয় মিক্সাৰ,ਕੇਂਦਰੀ ਮਿਕਸਰ
কেন্দ্ৰপৃথক ফেন,ਸੈਂਟਰਿਫਿਊਗਲ ਪੱਖਾ
চক,ਚਾਕ
চেমফাৰ,ਚੈਂਫਰ
চেমফাৰ ষ্ট্ৰিপ,ਚੈਂਫਰ ਪੱਟੀ
চেনেল বিম,ਚੈਨਲ ਬੀਮ
বৈশিষ্ট্যপূৰ্ণ বোজা,ਵਿਸ਼ੇਸ਼ਤਾ ਲੋਡ
বৈশিষ্ট্যপূৰ্ণ শক্তি,ਗੁਣ ਸ਼ਕਤੀ
চাৰ্জ অফ কৰক,ਚਾਰਜ ਬੰਦ
চাৰ্জিং,ਚਾਰਜ ਹੋ ਰਿਹਾ ਹੈ
পৰীক্ষা কৰি আছে,ਜਾਂਚ ਕਰ ਰਿਹਾ ਹੈ
ৰাসায়নিক বন্ধন,ਰਸਾਇਣਕ ਬੰਧਨ
চেৰনোজেম,ਚੇਰਨੋਜ਼ਮ
চেষ্টনাটৰ মাটি,ਚੈਸਟਨਟ ਮਿੱਟੀ
চিমনিৰ নালা,ਚਿਮਨੀ ਗਟਰ
চিপ বৰ্ড,ਚਿੱਪ ਬੋਰਡ
চিপিং,ਚਿੱਪਿੰਗ
চিপছ,ਚਿਪਸ
চুটে,ਚੂਤ
শ্ৰেণী (কংক্ৰিটৰ),ਕਲਾਸ (ਕੰਕਰੀਟ ਦੀ)
বোকা মাটি,ਮਿੱਟੀ
মাটিৰ পৰিমাণ,ਮਿੱਟੀ ਦੀ ਸਮੱਗਰੀ
মাটিৰ কেৰাহী,ਮਿੱਟੀ ਦਾ ਪੈਨ
ক্লিনআউট,ਸਫਾਈ
চাফ-চিকুণ কৰক,ਸਾਫ਼ ਕਰੋ
ক্লিট কৰক,ਕਲੀਟ
ক্লিংকাৰ,ਕਲਿੰਕਰ
ক্লিপ,ਕਲਿਪ
জমা হোৱা,ਜੰਮਣਾ
মোটা গোটা পদাৰ্থ,ਮੋਟਾ ਕੁੱਲ
মোটা দানাযুক্ত মাটি,ਮੋਟੇ ਦਾਣੇ ਵਾਲੀ ਮਿੱਟੀ
কোট,ਕੋਟ
কফাৰ বান্ধ,ਕੋਫਰ ਡੈਮ
সংহতি,ਤਾਲਮੇਲ
কলয়ড,ਕੋਲਾਇਡ
কলয়ডাল আৰ্দ্ৰতাৰ সমতুল্য অনুপাত,ਕੋਲੋਇਡਲ ਨਮੀ ਦੇ ਬਰਾਬਰ ਅਨੁਪਾਤ
কলয়ডাল ব্যৱস্থা,ਕੋਲੋਇਡਲ ਸਿਸਟਮ
কলুভিয়াল মাটি,ਕੋਲੋਵੀਅਲ ਮਿੱਟੀ
স্তম্ভ,ਕਾਲਮ
কম্বড ফিনিচিং,ਕੰਬਡ ਮੁਕੰਮਲ
সংযুক্ত ফুটিং,ਸੰਯੁਕਤ ਪੈਰ
সংযুক্ত পানী,ਸੰਯੁਕਤ ਪਾਣੀ
কমন ৰুম,ਸਾਂਝਾ ਕਮਰਾ
সম্পূৰ্ণ হোৱাৰ প্ৰমাণ পত্ৰ,ਮੁਕੰਮਲਤਾ ਸਰਟੀਫਿਕੇਟ
উপাদান বৰ্গ,ਕੰਪੋਨੈਂਟ ਵਰਗ
কংক্ৰিট,ਕੰਕਰੀਟ
কংক্ৰিচন,ਕੰਕਰੀਸ਼ਨ
একত্ৰিত হাৰ/ফ্লেট হাৰ,ਏਕੀਕ੍ਰਿਤ ਦਰ/ਫਲੈਟ ਦਰ
দূষক পদাৰ্থ,ਗੰਦਗੀ
ৰন্ধা-বঢ়াৰ এলকোভ,ਐਲਕੋਵ ਪਕਾਉਣਾ
মোকাবিলা কৰা,ਮੁਕਾਬਲਾ ਕਰਨਾ
কৰ্বেল,ਕੋਰਬੇਲ
কৰ্নিচ,ਕਾਰਨੀਸ
কাপলাৰ,ਕਪਲਰ
"কাপলাৰ, ডাবল","ਕਪਲਰ, ਡਬਲ"
"কাপলাৰ, পুটলগ","ਕਪਲਰ, ਪੁਟਲੌਗ"
"কাপলাৰ, চুইভেল","ਕਪਲਰ, ਘੁਮਾਣ ਵਾਲਾ"
ধাৰা,ਕੋਰਸ
কোৰ্চ কৰা ৰেণ্ডম ধ্বংসাৱশেষ শিলৰ কাম,ਕੋਰਸ ਕੀਤਾ ਬੇਤਰਤੀਬ ਮਲਬੇ ਦੀ ਚਿਣਾਈ
আবৃত অঞ্চল,ਕਵਰ ਕੀਤਾ ਖੇਤਰ
অধম,ਕ੍ਰੀਪ
ক্ৰিপ সহগ,ਕ੍ਰੀਪ ਗੁਣਾਂਕ
ক্ৰ&#39;ট&#39;ভাইন,ਕਰੋਟੋਵਾਈਨ
কাউৰী ভৰি,ਕਾਂ ਦੇ ਪੈਰ
ক্ৰাম গঠন,ਟੁਕੜਾ ਬਣਤਰ
প্ৰতিবন্ধক,ਕਰਬ
সোঁত,ਵਰਤਮਾਨ
বক্ৰ প্ৰতিৰোধ ক্ষমতা,ਕਰਵ ਪ੍ਰਤੀਰੋਧ
ডেম্প প্ৰুফ কোৰ্চ,ਨਮੀ ਪਰੂਫ਼ ਕੋਰਸ
সম্পূৰ্ণ হোৱাৰ তাৰিখ,ਮੁਕੰਮਲ ਹੋਣ ਦੀ ਮਿਤੀ
ডেড লোড,ਡੈੱਡ ਲੋਡ
মৰা পানী,ਮਰੇ ਹੋਏ ਪਾਣੀ
ডেচিবেল,ਡੈਸੀਬਲ
ডিফ্ল’কুলেচন,Deflocculation
বায়ুমণ্ডলৰ মাত্ৰা বা বায়ু স্থান অনুপাত,ਹਵਾਬਾਜ਼ੀ ਜਾਂ ਏਅਰ ਸਪੇਸ ਅਨੁਪਾਤ ਦੀ ਡਿਗਰੀ
একত্ৰীকৰণৰ মাত্ৰা,ਏਕੀਕਰਣ ਦੀ ਡਿਗਰੀ
বিক্ষিপ্ততাৰ মাত্ৰা,ਫੈਲਾਅ ਦੀ ਡਿਗਰੀ
চেচুৰেচনৰ ডিগ্ৰী,ਸੰਤ੍ਰਿਪਤਾ ਦੀ ਡਿਗਰੀ
ঘনত্ব,ਘਣਤਾ
মৰুভূমিৰ ফুটপাথ,ਮਾਰੂਥਲ ਫੁੱਟਪਾਥ
মৰুভূমিৰ মাটি,ਮਾਰੂਥਲ ਦੀ ਮਿੱਟੀ
সবিশেষ,ਵੇਰਵੇ
উন্নয়নৰ সময়ছোৱা,ਵਿਕਾਸ ਦੀ ਮਿਆਦ
ডি-দিগন্ত,ਡੀ-ਹੋਰੀਜ਼ਨ
তিৰ্যক বন্ধন,ਵਿਕਰਣ ਬੰਧਨ
ডায়াগ্ৰাম,ਚਿੱਤਰ
ডিজিটেল ডক,ਡਿਜੀਟਲ ਡੌਕ
ভিন্নতামূলক পানীৰ হাৰ,ਵਿਭਿੰਨ ਪਾਣੀ ਦੀ ਦਰ
পাতল কৰা ভেণ্টিলেচন,ਪਤਲਾ ਹਵਾਦਾਰੀ
ডিলুভিয়াম,ਡਾਇਲੁਵੀਅਮ
খোৱাঘৰ,ਭੋਜਨ ਕਕਸ਼
দিশৰ পেগ,ਦਿਸ਼ਾ ਪੈਗ
বিক্ষিপ্ততা,ਫੈਲਾਅ
ডিষ্টেম্পাৰ,ਡਿਸਟੈਂਪਰ
ডক,ਡੌਕ
দুৱাৰ,ਦਰਵਾਜ਼ਾ
ডৰ্মাৰ,ਡੋਰਮਰ
ডৰ্মাৰ চেক,ਡੋਰਮਰ ਜਾਂਚ
ডাবল ফ্লেমিছ বণ্ড,ਡਬਲ ਫਲੇਮਿਸ਼ ਬਾਂਡ
ডাবল লেয়াৰ,ਡਬਲ ਪਰਤ
ডৱেল,ਡੌਲ
অংকন বৰ্ড,ਡਰਾਇੰਗ ਬੋਰਡ
ড্ৰয়িং ৰুম,ਡਰਾਇੰਗ ਰੂਮ
ড্ৰিফ্ট,ਵਹਿਣਾ
শুকান বাল্বৰ উষ্ণতা,ਸੁੱਕੇ ਬੱਲਬ ਦਾ ਤਾਪਮਾਨ
শুকান ডক,ਸੁੱਕੀ ਡੌਕ
শুকান ৰবৰৰ শিলৰ কাম,ਸੁੱਕੀ ਰਬੜ ਦੀ ਚਿਣਾਈ
ডাচ বণ্ড,ਡੱਚ ਬਾਂਡ
বামন দেৱাল,ਬੌਣੀ ਕੰਧ
বাসস্থানৰ ইউনিট,ਨਿਵਾਸ ਯੂਨਿਟ
ইভ,ਈਵ
ইভছ নালা,ਈਵਸ ਗਟਰ
অৰ্থনৈতিক সম্ভাৱনীয়তা,ਆਰਥਿਕ ਵਿਵਹਾਰਕਤਾ
বহিঃগতিশীল মাটি,ਐਕਟੋਡਾਇਨਾਮੋਰਫਿਕ ਮਿੱਟੀ
এডি,ਐਡੀ
ফলপ্ৰসূ আকাৰ,ਪ੍ਰਭਾਵੀ ਆਕਾਰ
ফুলৰ ফুলনি,ਪ੍ਰਫੁੱਲਤ
এফ্লুৱেণ্ট,ਪ੍ਰਵਾਹ
উচ্চতা,ਉਚਾਈ
এলুভিয়েচন,ਐਲੂਵੀਏਸ਼ਨ
এলুভিয়াম,ਐਲੂਵਿਅਮ
এণ্ডোডাইনামৰ্ফিক মাটি,ਐਂਡੋਡਾਇਨਾਮੋਰਫਿਕ ਮਿੱਟੀ
অভিযান্ত্ৰিক সম্ভাৱনীয়তা,ਇੰਜੀਨੀਅਰਿੰਗ ਵਿਵਹਾਰਕਤਾ
ইংৰাজী বণ্ড,ਅੰਗਰੇਜ਼ੀ ਬਾਂਡ
ইংৰাজী বাগিচাৰ দেৱালৰ বণ্ড,ਅੰਗਰੇਜ਼ੀ ਬਾਗ ਦੀ ਕੰਧ ਬਾਂਡ
"ইপিএম (প্ৰতি মিলিয়নৰ সমতুল্য),&quot;","EPM (ਪ੍ਰਤੀ ਮਿਲੀਅਨ ਦੇ ਬਰਾਬਰ),&quot;"
সমতুল্য ওজন,ਬਰਾਬਰ ਭਾਰ
Erg,ਅਰਗ
