Odiya,Tamil
ଡିଜିଟାଲ୍ କନଭର୍ଟର (ADC),அனலாக் டு டிஜிட்டல் மாற்றி (ADC)
ଏବଂ,மற்றும்
ଏବଂ ସର୍କିଟ |,மற்றும் சுற்று
ଏବଂ ଫାଟକ |,மற்றும் வாயில்
ଏବଂ ଅପରେସନ୍ ନୁହେଁ (ବହିଷ୍କାର),மற்றும் செயல்பாடு அல்ல (விலக்கு)
ଆନିମେସନ୍,இயங்குபடம்
ଟିପ୍ପଣୀ,சிறுகுறிப்பு
ଅନୋମାଲିୟା |,ஒழுங்கின்மை
ପ୍ରାଚୀନ,முன்னோடி
ଆଶାକର୍ମୀ ପେଜିଂ |,முன்கூட்டிய பேஜிங்
ଆଣ୍ଟି-ସିମେଟ୍ରିକ୍ |,எதிர்ப்பு சமச்சீர்
ଆଣ୍ଟିଭାଇରସ୍ ପ୍ରୋଗ୍ରାମ୍ |,வைரஸ் தடுப்பு நிரல்
ଆପଲେଟ୍,ஆப்லெட்
ପ୍ରୟୋଗ ବିକାଶକାରୀ,பயன்பாட்டு டெவலப்பர்
ପ୍ରୟୋଗ ପ୍ରୋଗ୍ରାମିଂ,பயன்பாட்டு நிரலாக்கம்
ପ୍ରୟୋଗ ପ୍ରୋଗ୍ରାମିଂ ଇଣ୍ଟରଫେସ୍ (API),பயன்பாட்டு நிரலாக்க இடைமுகம் (API)
ପ୍ରୟୋଗ ସଫ୍ଟୱେର୍,பயன்பாட்டு மென்பொருள்
ପ୍ରୟୋଗ ଭାଷା |,பயன்பாட்டு மொழி
ଆନୁମାନିକ ତତ୍ତ୍। |,தோராயக் கோட்பாடு
ସ୍ଥାପତ୍ୟ,கட்டிடக்கலை
କ୍ଷେତ୍ର ସ୍ଥାନାନ୍ତର |,பகுதி பரிமாற்றம்
ଯୁକ୍ତି,வாதம்
ଗାଣିତିକ ଏବଂ ତର୍କ ଏକକ |,எண்கணித மற்றும் தர்க்க அலகு
ଗାଣିତିକ ଯାଞ୍ଚ |,எண்கணித சரிபார்ப்பு
ଗାଣିତିକ ସ୍ଥିର |,எண்கணித மாறிலி
ଗାଣିତିକ ତଥ୍ୟ,எண்கணித தரவு
ଗାଣିତିକ ନିର୍ଦ୍ଦେଶ,எண்கணித அறிவுரை
ଗାଣିତିକ ଏବଂ ତର୍କ ଏକକ (ALU),எண்கணிதம் மற்றும் தருக்க அலகு (ALU)
ARPANET,அர்பானெட்
ଆରେ,வரிசை
ଆରେ କ୍ୟାଚ୍,வரிசை கேச்
ଆରେ କମ୍ପ୍ୟୁଟର |,வரிசை கணினி
ଆରେ ଉପାଦାନ |,வரிசை உறுப்பு
ଆରେ ନାମ,வரிசை பெயர்
ଆରେ ସଞ୍ଚାଳକ,வரிசை செயலி
ତୀର କିଗୁଡ଼ିକ,அம்புக்குறி விசைகள்
ଆର୍ଟିକିଲେସନ୍,உச்சரிப்பு
ଆର୍ଟିକ୍ୟୁଲେସନ୍ ପଏଣ୍ଟ |,உச்சரிப்பு புள்ளி
କୃତ୍ରିମ ସଙ୍କୋଚନ |,செயற்கை சுருக்கம்
କୃତ୍ରିମ ନିୟନ୍ତ୍ରଣ |,செயற்கை கட்டுப்பாடு
କୃତ୍ରିମ ବୁଦ୍ଧି,செயற்கை நுண்ணறிவு
ଆରୋହଣ,ஏறுபவர்
ଆରୋହଣ କ୍ରମ,ஏறும் வகை
ASCII ବେଟିକାଲ୍ କ୍ରମ |,ASCII betical order
ASCII ନିୟନ୍ତ୍ରଣ ବର୍ଣ୍ଣ |,ASCII கட்டுப்பாட்டு எழுத்து
ASCII ଫାଇଲ୍ |,ASCII கோப்பு
ASCII ଫଣ୍ଟ |,ASCII எழுத்துரு
ASCII ସ୍ଥାନାନ୍ତର |,ASCII பரிமாற்றம்
ଆନୁମାନିକ ଅନୁପାତ,விகிதம்
ASPI,ASPI
ASR ଟାଇମର୍ |,ASR டைமர்
ଏକତ୍ର ହୁଅ,கூடி
ଏକତ୍ରକାରୀ,அசெம்பிளர்
ସଭା,சட்டசபை
ସଭା ଭାଷା |,சட்டசபை மொழி
ଧାରଣା,வலியுறுத்தல்
ଆସାଇନମେଣ୍ଟ,பணி நியமனம்
ସଙ୍ଗଠନ,சங்கம்
ସହଯୋଗୀ ଠିକଣା,துணை முகவரி
ସହଯୋଗୀ ସ୍ମୃତି,துணை நினைவகம்
ନକ୍ଷତ୍ର,ஆஸ்டிரிக்
ଅସୀମିତ |,சமச்சீரற்ற
ଅସନ୍ତୁଳିତ |,ஒத்திசைவற்ற
ଅସନ୍ତୁଳିତ ଡିଜିଟାଲ୍ ସବସ୍କ୍ରାଇବର ଲାଇନ (ADSL),ஒத்திசைவற்ற டிஜிட்டல் சந்தாதாரர் வரி (ADSL)
ଅସନ୍ତୁଳିତ ସମୟ ବିଭାଗ ମଲ୍ଟିପ୍ଲେସିଙ୍ଗ୍ (ATDM),ஒத்திசைவற்ற நேரப் பிரிவு மல்டிபிளெக்சிங் (ATDM)
ଅସନ୍ତୁଳିତ ସ୍ଥାନାନ୍ତର |,ஒத்திசைவற்ற பரிமாற்றம்
ଅସନ୍ତୁଳିତ ସ୍ଥାନାନ୍ତର ମୋଡ୍ (ଏଟିଏମ୍),ஒத்திசைவற்ற பரிமாற்ற முறை (ATM)
ପରମାଣୁ,அணு
ସଂଲଗ୍ନିତ ଡକ୍ୟୁମେଣ୍ଟ୍ |,இணைக்கப்பட்ட ஆவணம்
ସଂଲଗ୍ନ ଫାଇଲ୍ |,இணைக்கப்பட்டுள்ள கோப்பு
ସଂଲଗ୍ନ,இணைப்பு
ଗୁଣ,பண்பு
ଅଡିଓ,ஆடியோ
ପ୍ରୋଗ୍ରାମିଂ ଅଡିଟ୍ କରନ୍ତୁ |,தணிக்கை நிரலாக்கம்
ଅଡିଟ୍ ଟ୍ରେଲ୍ |,தணிக்கை சோதனை
ବୃଦ୍ଧି,பெருக்குதல்
ପ୍ରାମାଣିକିକରଣ ପ୍ରୋଟୋକଲ୍ |,அங்கீகார நெறிமுறை
ଲେଖକ ପ୍ରଣାଳୀ,ஆசிரியர் அமைப்பு
ପ୍ରାଧିକରଣ,அங்கீகாரம்
ଅଟୋ ଅବଷ୍ଟ୍ରାକ୍ଟ |,தானியங்கு சுருக்கம்
ଅଟୋବୋଟିଂ,தானாக துவக்குதல்
ଅଟୋକ୍ୟାଡ୍ |,ஆட்டோகேட்
ଅଟୋଲୋଜି ଅନ୍,ஆட்டோலாக் ஆன்
ଅଟୋମେଟା |,தானியங்கி
ସ୍ୱୟଂଚାଳିତ ତତ୍ତ୍। |,தானியங்கு கோட்பாடு
ସ୍ୱୟଂଚାଳିତ ଗଣନା,தானியங்கி கணினி
ସ୍ୱୟଂଚାଳିତ ତଥ୍ୟ ପ୍ରକ୍ରିୟାକରଣ |,தானியங்கி தரவு செயலாக்கம்
ସ୍ୱୟଂଚାଳିତ ତ୍ରୁଟି ସଂଶୋଧନ |,தானியங்கி பிழை திருத்தம்
ସ୍ୱୟଂଚାଳିତ କାର୍ଯ୍ୟ,தானியங்கி செயல்பாடு
ସ୍ୱୟଂଚାଳିତ ସୂଚକାଙ୍କ |,தானியங்கி அட்டவணைப்படுத்தல்
ସ୍ୱୟଂଚାଳିତ ଲାଇବ୍ରେରୀ କଲ୍ |,தானியங்கி நூலக அழைப்பு
ସ୍ୱୟଂଚାଳିତ ପ୍ରୋଗ୍ରାମିଂ |,தானியங்கி நிரலாக்க
ସ୍ୱୟଂଚାଳିତ ପୁନରୁଦ୍ଧାର ପ୍ରୋଗ୍ରାମ |,தானியங்கி மீட்பு திட்டம்
ସ୍ୱୟଂଚାଳିତ ରୁଟିନ୍ |,தானியங்கி வழக்கம்
ସ୍ୱୟଂଚାଳିତ ତନ୍ତ୍ର ପୁନରୁଦ୍ଧାର,தானியங்கி கணினி மீட்பு
ସ୍ୱୟଂଚାଳିତ ଟେଲର୍ ମେସିନ୍ (ଏଟିଏମ୍),தானியங்கி பணம் செலுத்தும் இயந்திரம் (ATM)
ସ୍ୱୟଂଚାଳିତ,தானியங்கி
ସ୍ଵତଃ ଚଳିତ,தானியங்கி
ଅଟୋସେଭ୍ |,தானாக சேமிக்கவும்
ସହାୟକକାରୀ,துணை
ସହାୟକ ସ୍ମୃତି,துணை நினைவகம்
ସହାୟକ ଷ୍ଟୋରେଜ୍,துணை சேமிப்பு
ଉପଲବ୍ଧ ତାଲିକା |,கிடைக்கும் பட்டியல்
ଉପଲବ୍ଧ ସମୟ |,கிடைக்கும் நேரம்
ହାରାହାରି,சராசரி
awk (ଭାଷା),awk (மொழி)
ବ୍ୟାକେଣ୍ଡ୍ |,பின்தளம்
ବ୍ୟାକେଣ୍ଡ୍ ସଞ୍ଚାଳକ |,பின்தள செயலி
ବ୍ୟାକଫେସ୍ ଅପସାରଣ |,பின்முகத்தை அகற்றுதல்
ପୃଷ୍ଠଭୂମି ପ୍ରକ୍ରିୟାକରଣ |,பின்னணி செயலாக்கம்
ବ୍ୟାକିଂ ଷ୍ଟୋର |,பேக்கிங் கடை
ବ୍ୟାକପ୍ୟାଚ୍,பின் இணைப்பு
ବ୍ୟାକସ୍ପେସ୍ |,பின்வெளி
ବ୍ୟାକଟ୍ରାକ୍,பின்வாங்குதல்
ବ୍ୟାକ୍ ଅପ୍ |,காப்புப்பிரதி
ବ୍ୟାକ୍ ଅପ୍ ମେମୋରୀ |,காப்பு நினைவகம்
ପଛୁଆ ତ୍ରୁଟି ପୁନରୁଦ୍ଧାର,பின்னோக்கி பிழை மீட்பு
ତୂଳନା ପତ୍ର,இருப்புநிலை
ବ୍ୟାଣ୍ଡ,இசைக்குழு
ବ୍ୟାଣ୍ଡ ଓସାର |,பட்டை அகலம்
ବ୍ୟାଙ୍କର ଆଲଗୋରିଦମ |,வங்கியாளர் வழிமுறை
ବାର୍ କୋଡ୍,பார் குறியீடு
ବାର୍ କୋଡ୍ ସ୍କାନର୍ |,பட்டை குறி படிப்பான் வருடி
ବାର୍ ଗ୍ରାଫ୍ |,சட்ட வரைபடம்
ମୂଳ ଠିକଣା,அடிப்படை முகவரி
ବେସ୍ ବ୍ୟାଣ୍ଡ |,அடிப்படை இசைக்குழு
ଆଧାର ସଂଖ୍ୟା,அடிப்படை எண்
ଆଧାର ଟେବୁଲ୍ |,அடிப்படை அட்டவணை
ବେସିକ୍ |,அடிப்படை
ମ basic ଳିକ ନିୟନ୍ତ୍ରଣ |,அடிப்படை கட்டுப்பாடு
ମ basic ଳିକ ଇନପୁଟ୍ |,அடிப்படை உள்ளீடு
ମ basic ଳିକ ନିର୍ଦ୍ଦେଶ,அடிப்படை அறிவுறுத்தல்
ମ basic ଳିକ ଆଉଟପୁଟ୍,அடிப்படை வெளியீடு
ମ basic ଳିକ ପଦକ୍ଷେପ |,அடிப்படை படி
ବ୍ୟାଚ୍,தொகுதி
ବ୍ୟାଚ୍ ଫାଇଲ୍ |,தொகுதி கோப்பு
ବ୍ୟାଚ୍ ସ୍ଥିତି |,தொகுதி நிலை
ବ୍ୟାଚ୍ ପ୍ରକ୍ରିୟାକରଣ |,தொகுதி செயலாக்கம்
ବ୍ୟାଚ୍ ସିଷ୍ଟମ୍ |,தொகுதி அமைப்பு
baud,பாட்
ବାଉଡ୍ ହାର,பாட் விகிதம்
ବିମ୍,உத்திரம்
ମାନଦଣ୍ଡ,அளவுகோல்
ଦ୍ୱି-ଦିଗୀୟ ଯୋଗାଯୋଗ |,இருதரப்பு தொடர்பு
ଦ୍ୱି-ଦିଗୀୟ ଲିଙ୍କ୍ |,இருதரப்பு இணைப்பு
ବାଇନାରୀ କୋଡ୍ |,பைனரி குறியீடு
ବାଇନାରୀ ଅଙ୍କ,பைனரி இலக்கம்
ବାଇନାରୀ ଇନପୁଟ୍ ଆଉଟପୁଟ୍ ସିଷ୍ଟମ୍ (BIOS),பைனரி உள்ளீட்டு வெளியீட்டு அமைப்பு (பயாஸ்)
ବାଇନାରୀ ସଂଖ୍ୟା,பைனரி எண்
ବାଇନାରୀ ଅପରେଟର୍ |,பைனரி ஆபரேட்டர்
ବାଇନାରୀ ସମ୍ପର୍କ |,பைனரி உறவு
ବାଇନାରୀ ସନ୍ଧାନ |,பைனரி தேடல்
ବାଇନାରୀ ସନ୍ଧାନ ବୃକ୍ଷ (BST),பைனரி தேடல் மரம் (BST)
ବାଇନାରୀ ସ୍ଥାନାନ୍ତର |,பைனரி பரிமாற்றம்
ବାଇନାରୀ ଗଛ |,பைனரி மரம்
ଦ୍ୱିପାକ୍ଷିକ ସ୍ମୃତି,இருமுனை நினைவகம்
ଜନ୍ମ ମୃତ୍ୟୁ ମଡେଲ |,பிறப்பு இறப்பு மாதிரி
ଜନ୍ମ ମୃତ୍ୟୁ ପ୍ରକ୍ରିୟା |,பிறப்பு இறப்பு செயல்முறை
ବିଟ୍,பிட்
ବିଟ୍ ଦୋଷ |,சிறிய தவறு
ବିଟ୍ ମାନଚିତ୍ର,பிட் வரைபடம்
ବିଟ୍ ମାନଚିତ୍ର ପିକ୍ସେଲ୍ (BMP),பிட் மேப் பிக்சல் (BMP)
ବିଟ୍ ମ୍ୟାଟ୍ରିକ୍ସ |,பிட் மேட்ரிக்ஸ்
ବିଟ୍ ପ୍ୟାଟର୍ |,பிட் முறை
ବିଟ୍ ସ୍ଥିତି |,பிட் நிலை
ବିଟ୍ ହାର,பிட் விகிதம்
କଳା ବାକ୍ସ ପରୀକ୍ଷା,கருப்பு பெட்டி சோதனை
ink ଲସି ଉଠୁଛି |,கண் சிமிட்டுதல்
ବ୍ଲକ,தொகுதி
କ୍ୟାଚ୍ ଅବରୋଧ କରନ୍ତୁ |,தொகுதி தற்காலிக சேமிப்பு
ଯାଞ୍ଚ ଯାଞ୍ଚ କରନ୍ତୁ |,தடுப்பு சோதனை
କପି କପି କରନ୍ତୁ |,தொகுதி நகல்
ବ୍ଲକ ଚିତ୍ର,தொகுதி வரைபடம்
ନେଟୱର୍କକୁ ଅବରୋଧ କରୁଛି,பிணையத்தைத் தடுக்கிறது
ବୋର୍ଡ,பலகை
ପୁସ୍ତକ ଚିହ୍ନ,புத்தககுறி
ବୁଲିଅନ୍ ବୀଜ ବିବେଚନା |,பூலியன் இயற்கணிதம்
ବୁଲିଅନ୍ ସମ୍ପର୍କ |,பூலியன் உறவு
ବୁଟ ବିଭାଜନ,துவக்க பகிர்வு
ବୁଟ ଷ୍ଟ୍ରାପିଂ,பூட் ஸ்ட்ராப்பிங்
ବୁଟ-ଷ୍ଟ୍ରାପ ଲୋଡର,பூட்-ஸ்ட்ராப் ஏற்றி
ସେତୁ,பாலம்
ବ୍ରଡବ୍ୟାଣ୍ଡ ନେଟୱର୍କିଙ୍ଗ |,பிராட்பேண்ட் நெட்வொர்க்கிங்
ପ୍ରସାରଣ,ஒளிபரப்பு
ରେଡିଓ ପ୍ରସାରଣ |,ஒலிபரப்பு வானொலி
ବ୍ରାଉଜ୍ କରନ୍ତୁ |,உலவ
ବ୍ରାଉଜର୍,உலாவி
ବି-ଗଛ |,பி-மரம்
ବବୁଲ୍ ମେମୋରୀ |,குமிழி நினைவகம்
ବବୁଲ୍ ସର୍ଟ୍ |,குமிழி வகை
ବାଲଟି,வாளி
ସାଥୀ ସିଷ୍ଟମ୍,நண்பர் அமைப்பு
ବଜେଟ୍ ପ୍ରଭାବଶାଳୀ ନିୟନ୍ତ୍ରଣ |,பட்ஜெட் பயனுள்ள கட்டுப்பாடு
ବଫର୍,தாங்கல்
ତ୍ରୁଟି,பிழை
ବସ୍,பேருந்து
ବାଇଟ୍ |,பைட்
ବାଇଟ୍ କୋଡ୍ |,பைட் குறியீடு
ଗ,c
C ++,C++
କ୍ୟାଚ୍,தற்காலிக சேமிப்பு
କ୍ୟାଚ୍ ବଫର୍ |,கேச் தாங்கல்
କ୍ୟାଶେ ମେମୋରୀ,கேச் நினைவகம்
ଗଣନା,கணக்கீடு
କାଲକୁଲେଟର,கால்குலேட்டர்
କାଲକୁଲେଟର ଚିପ୍,கால்குலேட்டர் சிப்
କଲ୍ କରନ୍ତୁ |,அழைப்பு
ନାମରେ କଲ୍ କରନ୍ତୁ |,பெயரால் அழைக்கவும்
ରେଫରେନ୍ସ ଦ୍ୱାରା କଲ୍ କରନ୍ତୁ |,குறிப்பு மூலம் அழைப்பு
ମୂଲ୍ୟ ଅନୁଯାୟୀ କଲ୍ କରନ୍ତୁ |,மதிப்பு மூலம் அழைப்பு
ଭେରିଏବଲ୍ ଦ୍ୱାରା କଲ୍ କରନ୍ତୁ |,மாறிகள் மூலம் அழைப்பு
କଲ୍ ଗେଟ୍ |,அழைப்பு வாயில்
ବାତିଲ୍ କରନ୍ତୁ |,ரத்து செய்
ବାତିଲ୍ ବଟନ୍,ரத்து பொத்தான்
କାନୋନିକାଲ୍ |,நியமனம்
କାନୋନିକାଲ୍ ଫର୍ମ |,நியமன வடிவம்
ସାମର୍ଥ୍ୟ |,திறன்
ସାମର୍ଥ୍ୟ ତାଲିକା |,திறன் பட்டியல்
କ୍ଷମତା,திறன்
କ୍ୟାପ୍ ଲକ୍ କୀ |,தொப்பி பூட்டு விசை
କାର୍ଡ,அட்டை
କାର୍ଡ ରିଡର୍ |,கார்டு ரீடர்
ହୃଦୟ,கார்டினாலிட்டி
ବାହକ,கேரியர்
ବାହକ ବ୍ୟାଣ୍ଡ |,கேரியர் பேண்ட்
ବାହକ ଭାର,கேரியர் சுமை
ବାହକ ସଙ୍କେତ,கேரியர் சிக்னல்
ବାହକ ତରଙ୍ଗ |,கேரியர் அலை
ବହନ କର,சுமந்து செல்
ଅଙ୍କ ବହନ କର |,இலக்கத்தை எடுத்துச் செல்லுங்கள்
ପତାକା ବହନ କର |,கொடியை ஏந்தி
କାର୍ଟ୍ରିଜ୍ ଡିସ୍କ |,கெட்டி வட்டு
କ୍ୟାସକେଡ୍ |,அருவி
କେସ୍,வழக்கு
କ୍ୟାଥୋଡ୍ ରେଡ୍ ଟ୍ୟୁବ୍ (CRT),கத்தோட் கதிர் குழாய் (CRT)
କ୍ୟାଥୋଡ୍ ରେଶ୍ ଟ୍ୟୁବ୍ (CRT),கேத்தோடு கதிர் குழாய் (CRT)
CD ROM ଡିସ୍କ ଡ୍ରାଇଭ |,CD ROM வட்டு இயக்கி
କକ୍ଷ,செல்
ସେଲ୍ ଆନିମେସନ୍ |,செல் அனிமேஷன்
ସେଲୁଲାର୍ ଫୋନ୍ |,கை பேசி
କେନ୍ଦ୍ରୀୟ ସ୍ମୃତି,மைய நினைவகம்
କେନ୍ଦ୍ରୀୟ ପ୍ରକ୍ରିୟାକରଣ ଏକକ (CPU),மத்திய செயலாக்க அலகு (CPU)
କେନ୍ଦ୍ରୀଭୂତ ପ୍ରଣାଳୀ |,மையப்படுத்தப்பட்ட அமைப்பு
ସାର୍ଟିଫିକେଟ୍ ଟେପ୍ |,சான்றளிக்கப்பட்ட நாடா
ଶୃଙ୍ଖଳା,சங்கிலி
ଶୃଙ୍ଖଳା ତଥ୍ୟ,சங்கிலி தரவு
ଶୃଙ୍ଖଳା ଲିଙ୍କ୍ |,சங்கிலி இணைப்பு
ଶିକୁଳି,சங்கிலியிடுதல்
ଚ୍ୟାନେଲ୍ |,சேனல்
ଚ୍ୟାନେଲ ବ୍ୟସ୍ତ ସ୍ୱର |,சேனல் பிஸியான தொனி
ଚ୍ୟାନେଲ କ୍ଷମତା |,சேனல் திறன்
ଚ୍ୟାନେଲ ନିୟନ୍ତ୍ରକ,சேனல் கட்டுப்படுத்தி
ଚ୍ୟାନେଲ ତ୍ରୁଟି |,சேனல் பிழை
ଚ୍ୟାନେଲ୍ ପ୍ରୋଗ୍ରାମ୍ |,சேனல் நிரல்
ଚ୍ୟାନେଲ ନିର୍ଭରଯୋଗ୍ୟତା |,சேனல் நம்பகத்தன்மை
ଚ୍ୟାନେଲ୍ ସେଟ୍ |,சேனல் தொகுப்பு
ବର୍ଣ୍ଣ,பாத்திரம்
