Bengali,Kannada
সামঞ্জস্যযোগ্য ব্যান্ড এক্সটেনশন,ಹೊಂದಾಣಿಕೆ ಬ್ಯಾಂಡ್ ವಿಸ್ತರಣೆ
অনুপ্রবেশ,ನುಗ್ಗುವಿಕೆ
এরিয়েল,ಏರಿಯಲ್
পিপ ফ্রিকোয়েন্সি,ಪೆಪ್ ಆವರ್ತನ
এয়ার কন্ডিশনার,ಹವಾ ನಿಯಂತ್ರಣ ಯಂತ್ರ
প্রান্তিককরণ,ಜೋಡಣೆ
অ্যালগরিদম,ಅಲ್ಗಾರಿದಮ್
সমস্ত পাস ফিল্টার,ಎಲ್ಲಾ ಪಾಸ್ ಫಿಲ್ಟರ್
খাদ জংশন,ಮಿಶ್ರಲೋಹ ಜಂಕ್ಷನ್
ক্ষয়,ಕ್ಷೀಣತೆ
বিবর্তিত বিদ্যুৎ,ಪರ್ಯಾಯ ಪ್ರವಾಹ
পরিবেষ্টিত তাপমাত্রা,ಹೊರಗಿನ ತಾಪಮಾನ
বাইপোলার,ಬೈಪೋಲಾರ್
পরিবর্ধন,ವರ್ಧನೆ
পরিবর্ধক,ಆಂಪ್ಲಿಫಯರ್
পরিবর্ধক দক্ষতা,ಆಂಪ್ಲಿಫಯರ್ ದಕ್ಷತೆ
মাত্রা,ಆಯಾಮಗಳು
প্রশস্ততা ক্ষয়,ವೈಶಾಲ್ಯ ಕ್ಷೀಣತೆ
প্রশস্ততা মডুলেটেড এএম অসিলেটর,ಆಂಪ್ಲಿಟ್ಯೂಡ್ ಮಾಡ್ಯುಲೇಟೆಡ್ AM ಆಂದೋಲಕ
প্রশস্ততা মড্যুলেশন,ವೈಶಾಲ್ಯ ಮಾಡ್ಯುಲೇಶನ್
প্রশস্ততা মডুলেটর,ವೈಶಾಲ್ಯ ಮಾಡ್ಯುಲೇಟರ್
অ্যাংস্ট্রম ইউনিট,ಆಂಗ್ಸ್ಟ್ರಾಮ್ ಘಟಕ
এনালগ সার্কিট,ಅನಲಾಗ್ ಸರ್ಕ್ಯೂಟ್
এনালগ কম্পিউটার,ಅನಲಾಗ್ ಕಂಪ್ಯೂಟರ್
এনালগ ফিল্টার,ಅನಲಾಗ್ ಫಿಲ್ಟರ್
এনালগ মাল্টিমিটার,ಅನಲಾಗ್ ಮಲ್ಟಿಮೀಟರ್
এনালগ সুইচ,ಅನಲಾಗ್ ಸ್ವಿಚ್
এবং গেট,ಮತ್ತು ಗೇಟ್
কৌণিক কম্পাংক,ಕೋನೀಯ ಆವರ್ತನ
"anion, anion","ಅಯಾನ್, ಅಯಾನ್"
অ্যানিলিং তাপমাত্রা,ಅನೆಲಿಂಗ್ ತಾಪಮಾನ
অ্যানোড,ಆನೋಡ್
অ্যানোড পরিবর্ধক,ಆನೋಡ್ ಆಂಪ್ಲಿಫಯರ್
anodyne,ಅನೋಡೈನ್
অ্যান্টেনা,ಆಂಟೆನಾ
অ্যান্টেনা উপাদান,ಆಂಟೆನಾ ಘಟಕ
বিরোধী প্রতিফলিত আবরণ,ವಿರೋಧಿ ಪ್ರತಿಫಲಿತ ಲೇಪನ
অ্যান্টিলগইন পরিবর্ধক,ಪ್ರತಿಲೋಜಿನ್ ಆಂಪ್ಲಿಫಯರ್
অ্যান্টিরেজোন্যান্ট সার্কিট,ಆಂಟಿರೆಸೋನೆಂಟ್ ಸರ್ಕ್ಯೂಟ್
দ্বারক যুগ,ದ್ವಾರಕ ಕಾಲ
ভার্চুয়াল শক্তি,ವರ್ಚುವಲ್ ಶಕ್ತಿ
তারের সংযোগ,ತಂತಿ ಸಂಪರ್ಕ
আনুমানিক ভোল্টেজ লাভ,ಅಂದಾಜು ವೋಲ್ಟೇಜ್ ಲಾಭ
আর্মস্ট্রং মডুলেটর,ಆರ್ಮ್ಸ್ಟ್ರಾಂಗ್ ಮಾಡ್ಯುಲೇಟರ್
অ্যান্টেনা অ্যারে,ಆಂಟೆನಾ ರಚನೆ
"সাইজ রেশিও, অ্যাসপেক্ট রেশিও","ಗಾತ್ರ ಅನುಪಾತ, ಆಕಾರ ಅನುಪಾತ"
ভাসমান সার্কিট (ফ্রি অপারেটিং সার্কিট),ತೇಲುವ ಸರ್ಕ್ಯೂಟ್ (ಉಚಿತ ಆಪರೇಟಿಂಗ್ ಸರ್ಕ್ಯೂಟ್)
স্বয়ংক্রিয় মাল্টিভাইব্রেটর,ಸ್ವಯಂಚಾಲಿತ ಮಲ್ಟಿವೈಬ್ರೇಟರ್
ভাসমান মাল্টিভাইব্রেটর,ತೇಲುವ ಮಲ್ಟಿವೈಬ್ರೇಟರ್
অপ্রতিসম জংশন,ಅಸಮಪಾರ್ಶ್ವದ ಜಂಕ್ಷನ್
অ্যাসিঙ্ক্রোনাস ক্যালকুলেটর,ಅಸಮಕಾಲಿಕ ಕ್ಯಾಲ್ಕುಲೇಟರ್
পারমাণবিক,ಪರಮಾಣು
পারমাণবিক সংখ্যা,ಪರಮಾಣು ಸಂಖ್ಯೆ
পারমাণবিক গঠন,ಪರಮಾಣು ರಚನೆ
অডিও পরিবর্ধক,ಆಡಿಯೋ ಆಂಪ್ಲಿಫಯರ್
অডিও পরিবর্ধক,ಆಡಿಯೋ ಆಂಪ್ಲಿಫಯರ್
অডিও ক্যাসেট,ಆಡಿಯೋ ಕ್ಯಾಸೆಟ್
অডিও সার্কিট,ಆಡಿಯೋ ಸರ್ಕ್ಯೂಟ್
শ্রবণযোগ্য ফ্রিকোয়েন্সি,ಶ್ರವ್ಯ ಆವರ್ತನ
স্বয়ংক্রিয় ভোল্টেজ নিয়ন্ত্রণ,ಸ್ವಯಂಚಾಲಿತ ವೋಲ್ಟೇಜ್ ನಿಯಂತ್ರಣ
তুষারপাত,ಹಿಮಕುಸಿತ
গড় আবিষ্কারক,ಸರಾಸರಿ ಡಿಟೆಕ್ಟರ್
অক্ষীয় মোড,ಅಕ್ಷೀಯ ಮೋಡ್
অক্ষীয় অনুপাত,ಅಕ್ಷೀಯ ಅನುಪಾತ
অ্যান্টেনা,ಆಂಟೆನಾ
ব্যাক ইলেক্ট্রোমোটিভ ফোর্স,ಹಿಂದೆ ಎಲೆಕ್ಟ್ರೋಮೋಟಿವ್ ಫೋರ್ಸ್
পিছনের এলাকা,ಹಿಂಭಾಗದ ಪ್ರದೇಶ
ব্যাক স্ক্যাটার,ಮತ್ತೆ ಚದುರುವಿಕೆ
ব্যাকগ্রাউন্ড চার্জ,ಹಿನ್ನೆಲೆ ಶುಲ್ಕ
পার্শ্ব গোলমাল,ಅಡ್ಡ ಶಬ್ದ
পশ্চাদপসরণ,ಹಿಮ್ಮೆಟ್ಟುವಿಕೆ
পোস্টেরিয়র বিকিরণ,ಹಿಂಭಾಗದ ವಿಕಿರಣ
ব্যাকওয়ার্ড ডায়োড / ব্যাকওয়ার্ড ডায়োড,ಬ್ಯಾಕ್‌ವರ್ಡ್ ಡಯೋಡ್ / ಬ್ಯಾಕ್‌ವರ್ಡ್ ಡಯೋಡ್
ব্যাকওয়ার্ড ওয়েভ অসিলেটর,ಹಿಂದುಳಿದ ತರಂಗ ಆಂದೋಲಕ
"বাধা, বাধা","ಅಡಚಣೆ, ಅಡಚಣೆ"
বাধা,ಅಡಚಣೆ
সুষম সেতু,ಸಮತೋಲಿತ ಸೇತುವೆ
সুষম মডুলেটর,ಸಮತೋಲಿತ ಮಾಡ್ಯುಲೇಟರ್
সুষম মডুলেটর,ಸಮತೋಲಿತ ಮಾಡ್ಯುಲೇಟರ್
সুষম সার্কিট,ಸಮತೋಲಿತ ಸರ್ಕ್ಯೂಟ್
সুষম গ্রেডিয়েন্ট ডিটেক্টর,ಸಮತೋಲಿತ ಗ್ರೇಡಿಯಂಟ್ ಡಿಟೆಕ್ಟರ್
বর্তমান স্টেবিলাইজার প্রতিরোধের,ಪ್ರಸ್ತುತ ಸ್ಥಿರೀಕಾರಕ ಪ್ರತಿರೋಧ
বোলোমিটার,ಬೋಲೋಮೀಟರ್
বোলোমিটার সেতু,ಬೋಲೋಮೀಟರ್ ಸೇತುವೆ
বেলুন,ಬಲೂನ್
কলা জ্যাক,ಬನಾನಾ ಜ್ಯಾಕ್
কলা প্লাগ,ಬಾಳೆಹಣ್ಣಿನ ಪ್ಲಗ್
"ব্যান্ড, ব্যান্ডেজ","ಬ್ಯಾಂಡ್, ಬ್ಯಾಂಡೇಜ್"
ব্যান্ড ড্রাইভার,ಬ್ಯಾಂಡ್ ಚಾಲಕ
ব্যান্ড শক্তি,ಬ್ಯಾಂಡ್ ಶಕ್ತಿ
ব্যান্ড ফাঁক,ಬ್ಯಾಂಡ್ ಅಂತರ
ব্যাডপার্ক পরিবর্ধক,ಬ್ಯಾಡ್‌ಪಾರ್ಕ್ ಆಂಪ್ಲಿಫಯರ್
ব্যান্ড পাস ফিল্টার,ಬ್ಯಾಂಡ್ ಪಾಸ್ ಫಿಲ್ಟರ್
বড রেট জেনারেটর,ಬಾಡ್ ದರ ಜನರೇಟರ್
banddispersion,ಬ್ಯಾಂಡ್ ಡಿಸ್ಪರ್ಶನ್
ব্যান্ড প্রতিরোধক,ಬ್ಯಾಂಡ್ ರೆಸಿಸ್ಟರ್
ব্যান্ড ব্রেকার ফিল্টার,ಬ್ಯಾಂಡ್ ಬ್ರೇಕರ್ ಫಿಲ್ಟರ್
ব্যান্ড সম্প্রসারণ,ಬ್ಯಾಂಡ್ ವಿಸ್ತರಣೆ
ব্যান্ড রিমুভার ফিল্টার,ಬ್ಯಾಂಡ್ ಹೋಗಲಾಡಿಸುವ ಫಿಲ್ಟರ್
ব্যান্ড এক্সপেনশন ডিফ্লেকশন মাল্টিপ্লায়ার,ಬ್ಯಾಂಡ್ ವಿಸ್ತರಣೆ ಡಿಫ್ಲೆಕ್ಷನ್ ಮಲ್ಟಿಪ್ಲೈಯರ್
ব্যান্ড এক্সটেনশন দূরত্ব গুণক,ಬ್ಯಾಂಡ್ ವಿಸ್ತರಣೆ ದೂರ ಗುಣಕ
"বিম ক্যাপাসিটর, ব্যাংক ক্যাপাসিটর","ಬೀಮ್ ಕೆಪಾಸಿಟರ್, ಬ್ಯಾಂಕ್ ಕೆಪಾಸಿಟರ್"
"বার্কার কোড, বার্কার কোড","ಬಾರ್ಕರ್ ಕೋಡ್, ಬಾರ್ಕರ್ ಕೋಡ್"
barravaugen মানদণ্ড,barravaugen ಮಾನದಂಡ
বাধাদানকারী,ನ್ಯಾಯವಾದಿ
বাধা,ತಡೆಗೋಡೆ
অন্তরক ক্যাপাসিটর,ನಿರೋಧಕ ಕೆಪಾಸಿಟರ್
বাধা শক্তি,ತಡೆ ಶಕ್ತಿ
প্রতিরোধক ভোল্টেজ,ಪ್ರತಿರೋಧಕ ವೋಲ್ಟೇಜ್
বার্টলেট উইন্ডো,ಬಾರ್ಟ್ಲೆಟ್ ಕಿಟಕಿ
"ভিত্তি, ভিত্তি","ಬೇಸ್, ಬೇಸ್"
বেস ব্যান্ড,ಬೇಸ್ ಬ್ಯಾಂಡ್
বেস ব্যান্ড ট্রান্সমিশন,ಬೇಸ್ ಬ್ಯಾಂಡ್ ಪ್ರಸರಣ
বেস চার্জ,ಮೂಲ ಶುಲ್ಕ
ভিত্তি বর্তমান,ಮೂಲ ಪ್ರಸ್ತುತ
ভিত্তি বর্তমান উৎস,ಮೂಲ ಪ್ರಸ್ತುತ ಮೂಲ
বেস শিয়ারিং,ಬೇಸ್ ಕತ್ತರಿಸುವುದು
আধার মদন,ಆಧಾರ್ ಮದನ್
বেস ইমিটার ফিড,ಬೇಸ್ ಎಮಿಟರ್ ಫೀಡ್
বেস ইমিটার জংশন,ಬೇಸ್ ಎಮಿಟರ್ ಜಂಕ್ಷನ್
বেস ইনজেকশন,ಬೇಸ್ ಇಂಜೆಕ್ಷನ್
স্থল লাইন,ನೆಲದ ರೇಖೆ
বেস প্রতিরোধের,ಮೂಲ ಪ್ರತಿರೋಧ
ভিত্তি উৎস,ಮೂಲ ಮೂಲ
বেস সম্প্রসারণ প্রতিরোধের,ಬೇಸ್ ವಿಸ್ತರಣೆ ಪ್ರತಿರೋಧ
বেস সম্প্রসারণ প্রতিরোধের,ಬೇಸ್ ವಿಸ್ತರಣೆ ಪ್ರತಿರೋಧ
ভিত্তি বেধ,ಬೇಸ್ ದಪ್ಪ
বেস অ্যাক্সেস,ಮೂಲ ಪ್ರವೇಶ
"বেস উইথ মডুলেশন, বেস এক্সপেনশন মডুলেশন","ಬೇಸ್ ವಿಡ್ತ್ ಮಾಡ್ಯುಲೇಶನ್, ಬೇಸ್ ಎಕ್ಸ್ಪಾನ್ಶನ್ ಮಾಡ್ಯುಲೇಶನ್"
বেস কালেক্টর চুক্তি,ಮೂಲ ಸಂಗ್ರಾಹಕ ಒಪ್ಪಂದ
গন্ধ,ವಾಸನೆ
খাদ ফ্রিকোয়েন্সি,ಬಾಸ್ ಆವರ್ತನ
ব্যাটারি,ಬ್ಯಾಟರಿ
বউড,ಬಾಡ್
বড হার,ಬೌಡ್ ದರ
বড রেট জেনারেটর,ಬಾಡ್ ದರ ಜನರೇಟರ್
বোডো কোড,ಬೋಡೋ ಕೋಡ್
"সংকেত, বীকন","ಸಂಕೇತ, ದಾರಿದೀಪ"
"মানিকা, বিড","ಮಾಣಿಕ, ಬೀಡು"
ম্যানিক ক্যাপাসিটর,ಉನ್ಮಾದ ಕೆಪಾಸಿಟರ್
মানিকর্তপি প্রতিরোধক,ಮಣಿಕರ್ತಾಪಿ ಪ್ರತಿರೋಧಕ
"মরীচি অ্যান্টেনা, মরীচি অ্যান্টেনা","ಬೀಮ್ ಆಂಟೆನಾ, ಬೀಮ್ ಆಂಟೆನಾ"
মরীচি আবিষ্কারক,ಕಿರಣ ಶೋಧಕ
মরীচি পাওয়ার পায়ের পাতার মোজাবিশেষ,ಕಿರಣದ ವಿದ್ಯುತ್ ಮೆದುಗೊಳವೆ
মরীচি সুইচিং অগ্রভাগ,ಕಿರಣದ ಸ್ವಿಚಿಂಗ್ ನಳಿಕೆಗಳು
মরীচি সম্প্রসারণ,ಕಿರಣದ ವಿಸ್ತರಣೆ
বীট ফ্রিকোয়েন্সি,ಬೀಟ್ ಆವರ್ತನ
বীট-ফ্রিকোয়েন্সি অসিলেটর,ಬೀಟ್-ಫ್ರೀಕ್ವೆನ್ಸಿ ಆಂದೋಲಕ
পালস অসিলেটর,ನಾಡಿ ಆಂದೋಲಕ
বেল,ಗಂಟೆ
নমন ক্ষতি,ಬಾಗುವ ನಷ್ಟ
বেসেল ফিল্টার,ಬೆಸೆಲ್ ಫಿಲ್ಟರ್
বেটা,ಬೀಟಾ
b-h বক্ররেখা,b-h ಕರ್ವ್
"পক্ষপাত, পক্ষপাত","ಪಕ್ಷಪಾತ, ಪಕ್ಷಪಾತ"
পক্ষপাত বর্তমান,ಪಕ್ಷಪಾತ ಪ್ರಸ್ತುತ
পক্ষপাত প্রতিরোধ,ಪಕ್ಷಪಾತ ಪ್ರತಿರೋಧ
ডবল অ্যান্টেনা,ಡಬಲ್ ಆಂಟೆನಾ
দ্বিমুখী লোড বর্তমান,ದ್ವಿಮುಖ ಲೋಡ್ ಪ್ರಸ್ತುತ
দ্বিমুখী অ্যান্টেনা,ದ್ವಿಮುಖ ಆಂಟೆನಾ
দ্বিমুখী আলো নির্গত ডায়োড,ದ್ವಿಮುಖ ಬೆಳಕಿನ ಹೊರಸೂಸುವ ಡಯೋಡ್
দ্বিমুখী থাইরিস্টর,ದ್ವಿಮುಖ ಥೈರಿಸ್ಟರ್
bi FET প্রযুক্তি,ದ್ವಿ FET ತಂತ್ರಜ್ಞಾನ
দ্বি-বিন্দু ট্রান্সফরমার,ಬೈ ಪಾಯಿಂಟ್ ಟ್ರಾನ್ಸ್ಫಾರ್ಮರ್
ডবল ফিউশন,ಡಬಲ್ ಸಮ್ಮಿಳನ
দ্বিপাক্ষিক সার্কিট,ದ್ವಿಪಕ್ಷೀಯ ಸರ್ಕ್ಯೂಟ್
বাইনারি,ಅವಳಿ
বাইনারি যোগফল,ಬೈನರಿ ಮೊತ್ತ
বাইনারি সার্কিট,ಬೈನರಿ ಸರ್ಕ್ಯೂಟ್
বাইনারি কোডেড দশমিক,ಬೈನರಿ ಕೋಡೆಡ್ ದಶಮಾಂಶ
বাইনারি কোডেড দশমিক সিস্টেম,ಬೈನರಿ ಕೋಡೆಡ್ ದಶಮಾಂಶ ವ್ಯವಸ್ಥೆ
বাইনারি ডাইপোল ক্যাপাসিটর,ಬೈನರಿ ದ್ವಿಧ್ರುವಿ ಕೆಪಾಸಿಟರ್
বাইনারি ক্যালকুলেটর,ಬೈನರಿ ಕ್ಯಾಲ್ಕುಲೇಟರ್
বাইনারি ক্যালকুলেটর,ಬೈನರಿ ಕ್ಯಾಲ್ಕುಲೇಟರ್
বাইনারি ডিকোডার,ಬೈನರಿ ಡಿಕೋಡರ್
বাইনারি মই,ಬೈನರಿ ಏಣಿ
বাইনারি প্যাথোমিটার,ಬೈನರಿ ಪಾಥೋಮೀಟರ್
বাইনারি অবস্থা,ದ್ವಿಮಾನ ಸ್ಥಿತಿ
বাইনারি-ডেসিমেল ডিকোডার,ಬೈನರಿ-ದಶಮಾಂಶ ಡಿಕೋಡರ್
বাইনারি লোড,ಬೈನರಿ ಲೋಡ್
বাইনারি শব্দ,ಬೈನರಿ ಪದಗಳು
বাইপোলার,ಬೈಪೋಲಾರ್
বাইপোলার ক্যাপাসিটর,ಬೈಪೋಲಾರ್ ಕೆಪಾಸಿಟರ್
বাইপোলার ডিভাইস,ಬೈಪೋಲಾರ್ ಸಾಧನ
বাইপোলার উৎস,ಬೈಪೋಲಾರ್ ಮೂಲ
বাইপোলার ট্রানজিস্টর,ಬೈಪೋಲಾರ್ ಟ್ರಾನ್ಸಿಸ್ಟರ್
বাইপোলার জংশন ট্রানজিস্টর,ಬೈಪೋಲಾರ್ ಜಂಕ್ಷನ್ ಟ್ರಾನ್ಸಿಸ್ಟರ್
দ্বিঘাত ফিল্টার,ಕ್ವಾಡ್ರಾಟಿಕ್ ಫಿಲ್ಟರ್
ডবল অবস্থান,ಎರಡು ಸ್ಥಾನ
দুই-পর্যায়ের মাল্টিভাইব্রেটর,ಎರಡು ಹಂತದ ಮಲ್ಟಿವೈಬ್ರೇಟರ್
দ্বিমুখী রিলে,ದ್ವಿಮುಖ ರಿಲೇ
দুই-পর্যায়ের রাষ্ট্র,ದ್ವಿಮುಖ ಸ್ಥಿತಿ
দুই-পজিশন ট্রিগার,ಎರಡು-ಸ್ಥಾನದ ಪ್ರಚೋದಕ
বিট ত্রুটি,ಬಿಟ್ ದೋಷ
বিট ত্রুটি হার,ಬಿಟ್ ದೋಷ ದರ
বিট ত্রুটি,ಬಿಟ್ ದೋಷ
বিটকল ত্রুটি,ಬಿಟ್ಕಲ್ ದೋಷ
অন্ধ বাক্স,ಕುರುಡು ಪೆಟ್ಟಿಗೆ
ঘনীভূত নাড়ি,ಮಂದಗೊಳಿಸಿದ ನಾಡಿ
সচিব,ಸ್ರವಿಸುವವನು
সিক্রেটরি ইনহিবিটার,ಸ್ರವಿಸುವ ಪ್ರತಿಬಂಧಕ
অন্ধত্ব,ಕುರುಡುತನ
সেগমেন্ট ডায়াগ্রাম,ವಿಭಾಗದ ರೇಖಾಚಿತ್ರ
ব্লকিং প্রতিবন্ধকতা,ತಡೆಯುವ ಪ್ರತಿರೋಧ
খণ্ড স্থানান্তর,ತುಣುಕು ವರ್ಗಾವಣೆ
পথিমধ্যে রোধ করা,ತಡೆಹಿಡಿಯಿರಿ
প্রতিরোধক ক্যাপাসিটর,ರೆಸಿಸ್ಟರ್ ಕೆಪಾಸಿಟರ್
প্রতিরোধক ক্যাপাসিটর,ರೆಸಿಸ್ಟರ್ ಕೆಪಾಸಿಟರ್
ব্লকিং অসিলেটর,ತಡೆಯುವ ಆಂದೋಲಕ
প্রতিরোধক অসিলেটর,ತಡೆಯುವ ಆಂದೋಲಕ
প্রতিরোধক ভোল্টেজ,ಪ್ರತಿರೋಧಕ ವೋಲ್ಟೇಜ್
ব্লোয়ার,ಊದುವವನು
বোড ডায়াগ্রাম,ಬೋಡ್ ರೇಖಾಚಿತ್ರ
voltzmann সম্পর্ক,ವೋಲ್ಟ್ಜ್ಮನ್ ಸಂಬಂಧ
voltzmann ধ্রুবক,ವೋಲ್ಟ್ಜ್ಮನ್ ಸ್ಥಿರ
বন্ধন,ಕರಾರುಪತ್ರ
আবদ্ধ স্ট্রেন গেজ,ಬೌಂಡ್ ಸ್ಟ್ರೈನ್ ಗೇಜ್
স্ব-চালিত পরিবর্ধক,ಸ್ವಯಂ-ಬೆಂಬಲಿತ ಆಂಪ್ಲಿಫಯರ್
বুলিয়ান বীজগণিত,ಬೂಲಿಯನ್ ಬೀಜಗಣಿತ
বুলিয়ান সমীকরণ,ಬೂಲಿಯನ್ ಸಮೀಕರಣ
বুট Strapon,ಬೂಟ್ ಸ್ಟ್ರಾಪನ್
বুথের অ্যালগরিদম,ಬೂತ್ ಅಲ್ಗಾರಿದಮ್
বুটস্ট্র্যাপ প্রিজম সার্কিট,ಬೂಟ್ ಸ್ಟ್ರಾಪ್ ಪ್ರಿಸ್ಮ್ ಸರ್ಕ್ಯೂಟ್
bosscutts নিয়ম,ಬಾಸ್ಕಟ್ಸ್ ನಿಯಮ
বোস-চৌধুরী হকেনহাম (বিসিএইচ) কোড,ಬೋಸ್-ಚೌಧರಿ ಹಾಕಿನ್‌ಹ್ಯಾಮ್ (BCH) ಕೋಡ್
"লাফ, লাফ","ಜಂಪ್, ಜಂಪ್"
আবদ্ধ ইলেকট্রন,ಬೌಂಡ್ ಎಲೆಕ್ಟ್ರಾನ್
ব্র্যাগ প্রতিফলক,ಬ್ರಾಗ್ ಪ್ರತಿಫಲಕ
জড়িত তার,ಹೆಣೆದುಕೊಂಡ ತಂತಿ
শাখা,ಶಾಖೆ
শাখা,ಕವಲೊಡೆಯುತ್ತಿದೆ
পরীক্ষা বোর্ড,ಪ್ರಯೋಗ ಮಂಡಳಿ
বিরতি জোন,ವಿರಾಮ ವಲಯ
ব্রেকিং ভোল্টেজ,ಬ್ರೇಕಿಂಗ್ ವೋಲ್ಟೇಜ್
ব্রেকডাউন ডায়োড,ಸ್ಥಗಿತ ಡಯೋಡ್
ফ্র্যাকচার ফিক্সেশন,ಮುರಿತದ ಸ್ಥಿರೀಕರಣ
ব্রেকিং ভোল্টেজ,ಬ್ರೇಕಿಂಗ್ ವೋಲ್ಟೇಜ್
সেতু,ಸೇತುವೆ
সেতু সংশোধনকারী,ಸೇತುವೆ ರಿಕ್ಟಿಫೈಯರ್
প্রশস্ত ব্যান্ড,ವಿಶಾಲ ಬ್ಯಾಂಡ್
সম্প্রচার ব্যান্ড,ಪ್ರಸಾರ ಬ್ಯಾಂಡ್
অ্যাস্ট্রাল অ্যারে,ಆಸ್ಟ್ರಲ್ ಅರೇ
সম্প্রচার,ಪ್ರಸಾರ
সম্প্রচার অ্যান্টেনা,ಪ್ರಸಾರ ಆಂಟೆನಾ
সম্প্রচার গ্রহনকারী যন্ত্র,ಪ್ರಸಾರ ರಿಸೀವರ್
ফ্রিকোয়েন্সি ব্রডকাস্ট রিসিভার,ಆವರ್ತನ ಪ್ರಸಾರ ರಿಸೀವರ್
সম্প্রচার ট্রান্সমিটার,ಪ್ರಸಾರ ಟ್ರಾನ್ಸ್ಮಿಟರ್
বুস্টার অ্যান্টেনা,ಬೂಸ್ಟರ್ ಆಂಟೆನಾ
বাস অ্যান্টেনা,ಬಸ್ ಆಂಟೆನಾ
বুরুশ নিমজ্জন,ಬ್ರಷ್ ಇಮ್ಮರ್ಶನ್
বুদবুদ এবং গেট,ಬಬ್ಲಿಂಗ್ ಮತ್ತು ಗೇಟ್
বুডবুডু বা গেট,ಬುಡ್ಬುಡು ಅಥವಾ ಗೇಟ್
বুদবুদ স্মৃতি,ಬಬ್ಲಿ ನೆನಪು
ক্ষতিপূরণকারী ভোল্টেজ,ಸರಿದೂಗಿಸುವ ವೋಲ್ಟೇಜ್
বাফার,ಬಫರ್
বাফার পরিবর্ধক,ಬಫರ್ ಆಂಪ್ಲಿಫಯರ್
বাফার সার্কিট,ಬಫರ್ ಸರ್ಕ್ಯೂಟ್
বাফার অপারেটর,ಬಫರ್ ಆಪರೇಟರ್
বাফার রেজিস্টার,ಬಫರ್ ರಿಜಿಸ್ಟರ್
বাল্ব,ಬಲ್ಬ್
জনসংখ্যার প্রভাব,ಜನಸಂಖ್ಯೆಯ ಪರಿಣಾಮ
ম্যাক্রো সেমিকন্ডাক্টর ডিভাইস,ಮ್ಯಾಕ್ರೋ ಸೆಮಿಕಂಡಕ್ಟರ್ ಸಾಧನ
গুচ্ছ,ಗುಂಪನ್ನು
নিমজ্জিত বিনিময়,ಮುಳುಗಿದ ವಿನಿಮಯ
নিমজ্জিত স্তর,ಮುಳುಗಿದ ಪದರ
নিমজ্জিত যোগাযোগ,ಮುಳುಗಿದ ಸಂಪರ್ಕ
বিস্ফোরণ পরিবর্ধক,ಬ್ಲಾಸ್ಟ್ ಆಂಪ್ಲಿಫಯರ್
বিস্ফোরণ কভার,ಬ್ಲಾಸ್ಟ್ ಕವರ್
বিস্ফোরণ গুলি,ಸ್ಫೋಟದ ಗುಂಡಿನ
বিস্ফোরণ দরজা পরিবর্ধক,ಸ್ಫೋಟ ಬಾಗಿಲು ಆಂಪ್ಲಿಫೈಯರ್
বিস্ফোরিত মোড,ಬರ್ಸ್ಟ್ ಮೋಡ್
