Gujarati,Malayalam
એલેલો રસાયણશાસ્ત્ર,അല്ലെലോ രസതന്ത്രം
એલીલ,അല്ലീൽ
એલોપથી,അല്ലെലോപ്പതി
વેથી પાક,വേത്തി വിള
પૂર્ણતા,പൂർത്തീകരണം
ગર્ભાધાન,ബീജസങ്കലനം
1. સાપેક્ષતા 2. એલોમેટ્રી,1. ആപേക്ഷികത 2. അലോമെട്രി
મલ્ટીપ્લોઇડી,മൾട്ടിപ്ലോയിഡി
1. પેરાઝીગોસિટી,1. പാരാസിഗോസിറ്റി
1. વૈકલ્પિક વર્ષ કાર્ય 2. વૈકલ્પિક કાર્ય,1. ഇതര വർഷത്തെ പ്രവർത്തനം 2. ഇതര പ്രവർത്തനം
વૈકલ્પિક જમીનનો ઉપયોગ,ബദൽ ഭൂമി ഉപയോഗം
પર્યાવરણ,പരിസ്ഥിതി
સુધારક,പരിഷ്കർത്താവ്
મિટોસિસ,മൈറ്റോസിസ്
આમીન,ആമീനൻ
એમોનિયન,അമോണിയൻ
એમ્નિફરસ,അമ്നിഫെറസ്
1. બિનઅસરકારક સ્વરૂપ 2. અરૂપી,1. ഫലപ്രദമല്ലാത്ത രൂപം 2. അരൂപി
ઉભયજીવી મિશ્રણ,ഉഭയജീവി മിശ്രിതം
એમ્ફોટેરિક,ആംഫോട്ടെറിക്
સંગ્રહ,സ്റ്റോക്ക്പൈലിംഗ്
1. એનારોબિક 2. એનારોબિક સજીવો,1. അനറോബിക് 2. അനറോബിക് ഓർഗാനിസംസ്
હેપ્લોઇડ,ഹാപ്ലോയിഡ്
કોણીય વાવેતર,കോണീയ നടീൽ
પશુપાલન,മൃഗസംരക്ഷണം
પ્રાણીના મળમૂત્ર,മൃഗ വിസർജ്ജനം
જીવંત ઊર્જા,ജീവനുള്ള ഊർജ്ജം
વિસંગત,അസാധാരണമായ
એક વર્ષ જૂનો છોડ,ഒരു വർഷം പഴക്കമുള്ള ചെടി
વાર્ષિક,വാർഷിക
1. પરમાનંદ 2. ઉજાસ,1. പരമാനന്ദം 2. പ്രഭ
એન્થ્રેક્સ,ആന്ത്രാക്സ്
એન્થ્રોપોજેનિક પરિબળો,നരവംശ ഘടകങ്ങൾ
અસ્તિત્વ,അതിജീവനം
1. એન્ટિબાયોટિક 2. એન્ટિબાયોટિક,1. ആന്റിബയോട്ടിക് 2. ആന്റിബയോട്ടിക്
પ્રતિકૂળ,വെറുപ്പുളവാക്കുന്ന
એન્ટીઑકિસડન્ટ,ആന്റിഓക്‌സിഡന്റ്
એન્ટિટોક્સિન,ആന്റിടോക്സിൻ
રિંગ આંગળી,മോതിര വിരൽ
1. એફિડ 2. મહુ 3. ચેપા,1. മുഞ്ഞ 2. മാഹു 3. ചേപ
ટોચની કળી,മുകളിലെ മുകുളം
ટોચની અસરકારકતા,പീക്ക് ഫലപ്രാപ്തി
મધમાખી ઉછેર,തേനീച്ച വളർത്തൽ
અજાતીયતા,അലൈംഗികത
એપોપ્ટોસિસ,അപ്പോപ്റ്റോസിസ്
પરિશિષ્ટ,അനുബന്ധങ്ങൾ
ભૂખ લગાડનાર,വിശപ്പ്
લાગુ,അപേക്ഷിച്ചു
જળચર નીંદણ,ജല കള
1. વૃક્ષ 2. વૃક્ષ નિવાસી,1. മരം 2. വൃക്ഷ നിവാസി
શાખાઓ,ശാഖകൾ
પ્રોટોબોટનિકલ રેકોર્ડ્સ,പ്രോട്ടോബോട്ടാണിക്കൽ റെക്കോർഡുകൾ
ઝોન નંબર,സോൺ നമ്പർ
1. વિસ્તાર 2. વિસ્તાર,1. ഏരിയ 2. ഏരിയ
શુષ્ક ઇકોસિસ્ટમ,വരണ്ട ആവാസവ്യവസ്ഥ
કોટિલેડોન,കോട്ടിലിഡൺ
સૌરભ,സൗരഭ്
સુગંધિત છોડ,ആരോമാറ്റിക് പ്ലാന്റ്
સુગંધિત ચોખા,സുഗന്ധമുള്ള അരി
ઇક્ષુ પુષ્પન,ഇക്ഷു പുഷ്പൻ
એસેપ્ટિક,അസെപ്റ്റിക്
1. એસેપ્ટિક 2. એસેપ્ટિક,1. അസെപ്റ്റിക് 2. അസെപ്റ്റിക്
અજાતીય પ્રજનન,അലൈംഗിക പുനരുൽപാദനം
કદ,വലിപ്പം
સંપત્તિ,ആസ്തി
1. એસિમિલેશન 2. એસિમિલેશન,1. സ്വാംശീകരണം 2. സ്വാംശീകരണം
1. એસોસિએશન 2. એસોસિએશન,1. അസോസിയേഷൻ 2. അസോസിയേഷൻ
1. કૉલમ 2. અસ્પષ્ટતા,1. കോളം 2. ആസ്ട്രിംഗ്സി
હેટરોઝાયગોસિટી,ഹെറ്ററോസൈഗോസിറ്റി
1. પૂર્વજ 2. એટાવિઝમ,1. പൂർവ്വികൻ 2. അടവിസം
કણ,കണം
1. પુષ્ટિ 2. ક્ષતિ,1. സ്ഥിരീകരണം 2. വൈകല്യം
સ્વ જોડી,സ്വയം ജോടിയാക്കൽ
ઓટોલિસિસ,ഓട്ടോലിസിസ്
1. સ્વયંસ્ફુરિત ઓક્સિડેશન 2. સ્વયંસ્ફુરિત ઓક્સિડેશન,1. സ്വതസിദ്ധമായ ഓക്സീകരണം 2. സ്വതസിദ്ധമായ ഓക്സീകരണം
સ્વ મલ્ટિપ્લેક્સ્ડ,സ്വയം മൾട്ടിപ്ലക്സ്
ઓક્સિન,ഓക്സിൻ
1. હચમચી 2. દેડકો,1. ഷൂക്ക് 2. പൂവൻ
દંડ વાયરસ,ശിക്ഷാ വൈറസ്
1. બેસિલસ 2. બેસિલસ,1. ബാസിലസ് 2. ബാസിലസ്
1. બેક્ટેરિયા 2. બેક્ટેરિયા,1. ബാക്ടീരിയ 2. ബാക്ടീരിയ
બેક્ટેરિયલ ઝેર,ബാക്ടീരിയൽ വിഷം
બગાસ,ബാഗാസ്
સરવૈયા,ബാലൻസ് ഷീറ്റ്
સંતુલિત ખાતરનો ઉપયોગ,സമീകൃത വളം ഉപയോഗം
બાર ગ્રાફ,ബാർ ഗ്രാഫ്
છાલ,കുര
1. બેરોમીટર 2. બેરોમીટર,1. ബാരോമീറ്റർ 2. ബാരോമീറ്റർ
1. બઝર 2. જડ 3. ઉજ્જડ,1. ബസർ 2. നിഷ്ക്രിയം 3. വന്ധ്യം
1. આધાર 2. આધાર 3. કપંગ,1. അടിസ്ഥാനം 2. അടിസ്ഥാനം 3. കുപാങ്
1. તાલા 2. બેસિન,1. താല 2. തടം
તલાબીસરી,തലബിസാരി
1. બેસિસ્ટર્નમ 2. રુટ ધારક,1. ബാസിസ്റ്റെർനം 2. റൂട്ട് ഹോൾഡർ
ગલ્ફ ચોમાસું,ഗൾഫ് മൺസൂൺ
ફળનો છોડ,ഫലം പ്ലാന്റ്
પથારી,കിടക്ക
બેડ પ્લાન્ટ,കിടക്ക പ്ലാന്റ്
પથારી,കിടക്കവിരി
બીટ દાળ,ബീറ്റ്റൂട്ട് മോളാസസ്
બેલો,തുരുത്തി
1. પટ્ટી 2. ભૂપ્રદેશ,1. സ്ട്രിപ്പ് 2. ഭൂപ്രദേശം
નફો-ખર્ચ વિશ્લેષણ,ലാഭ-ചെലവ് വിശകലനം
મહત્વાકાંક્ષી (સેમ્પલિંગ),അഭിലാഷം (സാമ്പിൾ)
દ્વિવાર્ષિક છોડ,ദ്വിവത്സര സസ്യങ്ങൾ
દ્વિપદી,ദ്വിപദം
બાયોફેક્ટર,ബയോഫാക്ടർ
જૈવિક આબોહવા,ജൈവ കാലാവസ്ഥ
જૈવ ઊર્જા,ജൈവ ഊർജ്ജം
પ્રાણીસૃષ્ટિ ઇકોલોજી,ജന്തു പരിസ്ഥിതി
1. બાયો-પ્રોસેસર 2. બાયો-રિએક્ટર,1. ബയോ പ്രോസസർ 2. ബയോ റിയാക്ടർ
બાયોસ્ફિયર,ജൈവമണ്ഡലം
જૈવિક,ബയോട്ടിക്
પ્રાણીસૃષ્ટિ,ജന്തുജാലങ്ങൾ
ડિવિલિંગી,ദിവിലിംഗി
ધવલન,ധവാലൻ
1. પ્રધવાસન (રોગ) 2. ગસ્ટ રોગ,1. പ്രധ്വാസൻ (രോഗം) 2. ഗസ്റ്റ് രോഗം
મિશ્રણ,മിശ്രണം
1. અંગમારી (રોગ) 2. બ્લાઈટ (રોગ),1. അംഗ്മാരി (രോഗം) 2. ബ്ലൈറ്റ് (രോഗം)
1. ફોલ્લો 2. ફોલ્લો 3. ફાટી નીકળવો 4. ફોલ્લો,1. ബ്ലിസ്റ്റർ 2. ബ്ലിസ്റ്റർ 3. എറപ്ഷൻ 4. ബ്ലിസ്റ്റർ
વાદળી ક્રાંતિ,നീല വിപ്ലവം
પ્લાનર હીટિંગ ચેમ્બર,പ്ലാനർ ഹീറ്റിംഗ് ചേമ്പർ
પ્લાનર હીટિંગ ટેકનોલોજી,പ്ലാനർ തപീകരണ സാങ്കേതികവിദ്യ
થૂલું,തവിട്
શાખાઓ,ശാഖകൾ
1. ટ્વિગ 2. સબબ્રાન્ચ,1. തടി 2. ഉപശാഖ
જાતિ,ഇനം
પ્રજનન,പുനരുൽപാദനം
પ્રારંભિક અંકુરણ સારવાર,ആദ്യകാല മുളയ്ക്കൽ ചികിത്സ
1. બચ્ચા 2. ઇંડા 3. ગર્ભ,1. കുട്ടി 2. മുട്ട 3. ഭ്രൂണം
ઉભરતા,വളർന്നുവരുന്ന
બજેટ,ബജറ്റ്
1.એમ્ફોટેરિક 2. બફર,1.ആംഫോട്ടറിക് 2. ബഫർ
શક્કરિયા,മധുരക്കിഴങ്ങ്
બંટ (રોગ),ബണ്ട് (രോഗം)
1. આડપેદાશ 2. આડપેદાશ,1. ഉപോൽപ്പന്നം 2. ഉപോൽപ്പന്നം
c ભેજ સ્પષ્ટીકરણ વળાંક,c ഈർപ്പം സ്പെസിഫിക്കേഷൻ കർവ്
તેલ કેક,എണ്ണ പിണ്ണാക്ക്
1. ચૂનો 2. કેલ્શિયમ,1. നാരങ്ങ 2. കാൽസ്യം
કેલ્સિયન,calcion
ફોસ્ફેટ દૂર કરવું,ഫോസ്ഫേറ്റ് നീക്കം
1. કિનાટા 2. કેલાટા,1. കിനാറ്റ 2. കാലാറ്റ
1.કેલસ 2. કિરણ,1.കല്ലസ് 2. കിരണം
1. સેપલ્સ 2. કેલિક્સ,1. വിദളങ്ങൾ 2. കാളിക്സ്
બહારનો છેડો,പുറത്തെ അവസാനം
એધા,എധ
કર્કશ (બેક્ટેરિયલ રોગ),കാൻസർ (ബാക്ടീരിയ രോഗം)
કેનિંગ,കാനിംഗ്
આકાશ,ആകാശം
ફાઇનાન્સ,ധനകാര്യം
પરાગનયન (અંજીરનું),പരാഗണം (അത്തിപ്പഴം)
1. કેપ્સ્યુલ 2. કેપ્સ્યુલ 3. કેપ્સ્યુલ,1. കാപ്സ്യൂൾ 2. ക്യാപ്സ്യൂൾ 3. ക്യാപ്സ്യൂൾ
કાર્બનયુક્ત,കാർബണൈസ്ഡ്
કાર્બનન,കാർബണൻ
કારાપેસ,കാർപേസ്
બંગડી,വള
1. કાસ્ટિંગ (લોખંડ) 2. ક્ષિપ્તિ (જંતુ),1. കാസ്റ്റിംഗ് (ഇരുമ്പ്) 2. ക്ഷിപ്തി (പ്രാണി)
અપચય,കാറ്റബോളിസം
પ્રેરિત,പ്രേരണ
1. કેટરપિલર 2. કેટરપિલર,1. കാറ്റർപില്ലർ 2. കാറ്റർപില്ലർ
c ડી. એન. a સંગ્રહ,സി ഡി. എൻ. എ. സമാഹാരം
શ્રેણી,പരിധി
1. સેલ 2. સેલ,1. സെൽ 2. സെൽ
કેન્દ્રીય ફ્રન્ટ સિસ્ટમ,സെൻട്രൽ ഫ്രണ്ട് സിസ്റ്റം
1. બિંદુ 2. ફોકસ,1. പോയിന്റ് 2. ഫോക്കസ്
સેન્ટ્રીફ્યુગેશન,അപകേന്ദ്രീകരണം
સેન્ટ્રીફ્યુજ,സെൻട്രിഫ്യൂജ്
સ્ટાર સેન્ટર,നക്ഷത്ര കേന്ദ്രം
એપિજેનેટિક,എപ്പിജെനെറ്റിക്
કેન્દ્રજા,കേന്ദ്രരാജ
લૂમ,തറി
1. અનાજ 2. સીરીયલ,1. ധാന്യം 2. സീരിയൽ
1. પ્રમાણપત્ર 2. પ્રમાણપત્ર,1. സർട്ടിഫിക്കേഷൻ 2. സർട്ടിഫിക്കേഷൻ
પ્રમાણિત બીજ,സാക്ഷ്യപ്പെടുത്തിയ വിത്ത്
1. સ્ટ્રો 2. કુટ્ટી 3. શલક સહપાત્ર,1. വൈക്കോൽ 2. കുട്ടി 3. ശലക് സഹപത്ര
1. નિભાગ 2. કૈલાજા,1. നിഭാഗ് 2. കൈലജ
કીમોગ્રાફી,കൈമോഗ്രഫി
1. કિયાઝમા 2. વ્યસ્ત,1. കിയാസ്മ 2. തിരക്കിലാണ്
સુપરકૂલિંગ કલાકો,supercooling മണിക്കൂർ
હિમ નુકસાન,മഞ്ഞ് കേടുപാടുകൾ
1. વિચિરોતકી 2. ચિમેરા,1. വിചിരോതകി 2. ചിമേര
લીલો પોર્રીજ,പച്ച കഞ്ഞി
1. પર્ણસમૂહ 2. લીલો,1. ഇലകൾ 2. പച്ച
સાયનોસિસ,സയനോസിസ്
જૈવિક વિતરણ વિજ્ઞાન,ജൈവ വിതരണ ശാസ്ത്രം
1. ક્રોમેટિડ 2. અર્ધ રંગસૂત્રો,1. ക്രോമാറ്റിഡുകൾ 2. പകുതി ക്രോമസോമുകൾ
ક્રોમેટિન,ക്രോമാറ്റിൻ
ક્રોમેટોગ્રાફી,ക്രോമാറ്റോഗ്രാഫി
ક્રોમેટિનલેશન,ക്രോമാറ്റിലേഷൻ
ધમની બિંદુ,ഏട്രിയൽ പോയിന്റ്
ક્રોમેટોજેનેસિસ,ക്രോമാറ്റോജെനിസിസ്
1. ક્રોમોપ્રોટીન 2. પિગમેન્ટપ્રોટીન,1. ക്രോമോപ്രോട്ടീൻ 2. പിഗ്മെന്റ് പ്രോട്ടീൻ
1. રંગસૂત્રો 2. રંગસૂત્રો,1. ക്രോമസോമുകൾ 2. ക്രോമസോമുകൾ
1. ક્રોનિક 2. ક્રોનિક 3. ક્રોનિક 4. અપ્રચલિત,1. വിട്ടുമാറാത്ത 2. വിട്ടുമാറാത്ത 3. വിട്ടുമാറാത്ത 4. കാലഹരണപ്പെട്ട
સાઇટ્રેન્જ,സിട്രേഞ്ച്
પાનખર તહેવાર,ശരത്കാല ഉത്സവം
વર્ગીકરણ,വർഗ്ഗീകരണം
1. માટી 2. માટી,1. കളിമണ്ണ് 2. കളിമണ്ണ്
1. સફાઈ 2. સ્ક્રબિંગ 3. સફાઈ 4. શુદ્ધિકરણ,1. വൃത്തിയാക്കൽ 2. സ്‌ക്രബ്ബിംഗ് 3. വൃത്തിയാക്കൽ 4. ശുദ്ധീകരണം
સતત પરાગનયન,സ്ഥിരമായ പരാഗണം
ક્રુસિફેરસ ફળ,ക്രൂസിഫറസ് ഫലം
વાતાવરણ,കാലാവസ്ഥ
આબોહવાશાસ્ત્ર,കാലാവസ്ഥാ ശാസ്ത്രം
કાતર,കത്രിക
ગઠ્ઠો (માટી),പിണ്ഡം (കളിമണ്ണ്)
ક્લોન,ക്ലോൺ
1.વાદળો 2.વાદળો,1.മേഘങ്ങൾ 2.മേഘങ്ങൾ
ઝુંડ,കൂട്ടം
ટોળું,കുല
1. બરછટ 2. ખરબચડી 3. કાચી 4. ખરબચડી,1. പരുക്കൻ 2. പരുക്കൻ 3. അസംസ്കൃതം 4. പരുക്കൻ
1. કવર 2. ચામડું,1. കവർ 2. ലെതറെറ്റ്
કોયા,കോയ
1. કોએનઝાઇમ 2. કો-એન્ઝાઇમ,1. കോഎൻസൈം 2. കോ-എൻസൈം
સંયોગ,കെട്ടുറപ്പ്
1. ફાઇબર (જ્યુટ જ્યુટ) 2. નારિયેળ બરછટ,1. നാരുകൾ (ചണം ചണം) 2. കോക്കനട്ട് കോഴ്സ്
મુલંકુર ચોલા,മുളങ്കൂർ ചോല
,
કોલોઇડ (માટી),കൊളോയിഡ് (മണ്ണ്)
1.કૉલમ 2.કોલ્યુમેલા,1.നിര 2.കൊലുമെല്ല
1. દંડ 2. કૉલમ 3. કૉલમ,1. പെനാൽറ്റി 2. കോളം 3. കോളം
કોમ્યુનિયન,കൂട്ടായ്മ
કોમર્શિયલ બેંક,കൊമേഴ്സ്യൽ ബാങ്ക്
1. કોમોડિટી 2. મર્ચેન્ડાઇઝ,1. ചരക്ക് 2. ചരക്ക്
સમુદાય,സമൂഹം
કોમ્પેક્શન (માટીનું),സങ്കോചം (മണ്ണിന്റെ)
1. સુસંગતતા 2. સુસંગતતા,1. അനുയോജ്യത 2. അനുയോജ്യത
સુસંગતતા,അനുയോജ്യത
1. વળતર 2. વળતર,1. നഷ്ടപരിഹാരം 2. നഷ്ടപരിഹാരം
સ્પર્ધાત્મક ક્રિયાપ્રતિક્રિયા,മത്സരപരമായ ഇടപെടൽ
પૂરક પાક,സപ്ലിമെന്റ് വിള
1.સંયુક્ત 2.જટિલ,1. സംയുക്തം 2. സങ്കീർണ്ണമായ
ઘટક,ഘടകഭാഗം
રચના,രചന
ખાતર,കമ്പോസ്റ്റ്
સંયોજન વ્યાજ,കൂട്ടുപലിശ
ગણતરી,കണക്കുകൂട്ടൽ
1. કોમ્પ્યુટર 2. કોમ્પ્યુટર,1. കമ്പ്യൂട്ടർ 2. കമ്പ്യൂട്ടർ
1. એકાગ્રતા 2. એકાગ્રતા,1. ഏകാഗ്രത 2. ഏകാഗ്രത
1. ઑપ્ટિમાઇઝર 2. રિવાઇટલાઇઝર,1. ഒപ്റ്റിമൈസർ 2. റിവൈറ്റലൈസർ
વાહકતા,ചാലകത
1. રૂપરેખાંકન 2. રૂપરેખા,1. കോൺഫിഗറേഷൻ 2. കോൺഫിഗറേഷൻ
1. અનુરૂપતા 2. રૂપરેખાંકન 3. અનુરૂપતા,1. അനുരൂപത 2. കോൺഫിഗറേഷൻ 3. അനുരൂപത
1. એકીકરણ 2. હાઇબ્રિડાઇઝેશન,1. സംയോജനം 2. ഹൈബ്രിഡൈസേഷൻ
જોડાણ,സംയോജനം
1. એડિટિવ 2. કનેક્ટિવ,1. അഡിറ്റീവ് 2. കണക്റ്റീവ്
રક્ષણ,സംരക്ഷണം
એકીકરણ,ഏകീകരണം
1. ઘટક 2. ઘટકો,1. ചേരുവ 2. ചേരുവകൾ
ઉપભોક્તા,ഉപഭോക്താവ്
વપરાશ,ഉപഭോഗം
દૂષણ,മലിനീകരണം
સમોચ્ચ વાવેતર,കോണ്ടൂർ നടീൽ
સમોચ્ચ રેખા,കോണ്ടൂർ ലൈൻ
1. કોન્ટ્રાક્ટ ફાર્મિંગ 2. કોન્ટ્રાક્ટ ફાર્મિંગ 3. કોન્ટ્રાક્ટ ફાર્મિંગ,1. കരാർ കൃഷി 2. കരാർ കൃഷി 3. കരാർ കൃഷി
નિયંત્રિત વાતાવરણીય સંગ્રહ,നിയന്ത്രിത അന്തരീക്ഷ സംഭരണം
સહકારી બેંક,സഹകരണ ബാങ്ക്
સહકારી મંડળીના સભ્ય,സഹകരണ സംഘം അംഗം
ગુલમાવન,ഗുൽമാവാൻ
ક્યુબ્ડ,സമചതുര
1. દાલપુંજ 2. કોરોલા,1. ദൽപുഞ്ച് 2. കൊറോള
1. કોર્ટેક્સ 2. કોર્ટેક્સ,1. കോർട്ടെക്സ് 2. കോർട്ടക്സ്
ખર્ચ,ചെലവ്
કોટિલેડોન,കോട്ടിലിഡൺ
ક્રેડિટ કમિટી,ക്രെഡിറ്റ് കമ്മിറ്റി
1. ધિરાણ 2. ક્રેડિટ,1. കടം കൊടുക്കൽ 2. ക്രെഡിറ്റ്
1. શાહુકાર 2. લેણદાર,1. കടം കൊടുക്കുന്നയാൾ 2. കടം കൊടുക്കുന്നയാൾ
1. ક્રેસ્ટ 2. શિરોબિંદુ 3. સ્પાયર,1. ശിഖരം 2. ശീർഷകം 3. ശിഖരം
પાછું ખેંચવું,പിൻവലിക്കൽ
સમસ્યા,പ്രശ്നം
પરીક્ષણ,പരീക്ഷ
જટિલ,വിമർശനാത്മകം
પાક વીમો,വിള ഇൻഷുറൻസ്
પાક લોન,വിള വായ്പ
1. પાક 2. પાક,1. വിള 2. വിള
ખેતી વિસ્તાર,കൃഷി പ്രദേശം
ક્રોસ અસંગત,ക്രോസ് പൊരുത്തമില്ലാത്ത
1. તાજ 2. શિખર (છોડ),1. കിരീടം 2. പിനാക്കിൾ (സസ്യം)
નરમ કણો,മൃദുവായ കണങ്ങൾ
પોપડો,പുറംതോട്
1. ક્રિપ્ટોગમ 2. નોન-ફ્લોરીફોર્મ,1. ക്രിപ്‌റ്റോഗാം 2. നോൺ-ഫ്ലോറിഫോം
કાપણી (ફળ),അരിവാൾ (പഴം)
પેન,പേന
કલ્ટીવાર વિવિધ,കൃഷി ഇനം
1. ટ્રેક્શન 2. ખેતી 3. ખેતી,1. ട്രാക്ഷൻ 2. കൃഷി 3. കൃഷി
1. ખેડૂત 2. ખેડૂત,1. കർഷകൻ 2. കൃഷിക്കാരൻ
