Kannada,Odiya
ಕಪ್ಪು ರಂಧ್ರ,ବ୍ଲାକ୍ ହୋଲ୍ |
ಕಪ್ಪು ಕಾಲು (=ಹುರುಪು),କଳା ଗୋଡ (= ସ୍କାବ)
ಕಪ್ಪು ಶರ್ಟ್,କଳା ସାର୍ଟ |
ಬ್ಲೇಝೋನ್,ବ୍ଲାଜନ୍
ಬ್ಲೇಝೋನ್,ବ୍ଲାଜନ୍
ಪ್ರಜ್ವಲಿಸುವಿಕೆ,ବ୍ଲାଜୋନ୍ରି |
ಪ್ರಜ್ವಲಿಸುವಿಕೆ,ବ୍ଲାଜୋନ୍ରି |
ಮಿಂಚುದಾಳಿ,ବ୍ଲିଟ୍ସ୍କ୍ରିଗ୍ |
ರಕ್ತರಹಿತ ಕ್ರಾಂತಿ (=ಗ್ಲೋರಿಯಸ್ ರೆವಲ್ಯೂಷನ್),ରକ୍ତହୀନ ବିପ୍ଳବ (= ଗ or ରବମୟ ବିପ୍ଳବ)
ಬ್ಲಡ್ವೈಟ್,ରକ୍ତଚାପ
ಬ್ಲಡಿ ಮೇರಿ,ରକ୍ତାକ୍ତ ମରିୟମ |
ನೀಲಿ,ନୀଳ
ನೀಲಿ ರಕ್ತ,ନୀଳ ରକ୍ତ
ನೀಲಿ ಪುಸ್ತಕ,ନୀଳ ପୁସ୍ତକ |
ನೀಲಿ ರಿಬ್ಬನ್,ନୀଳ ରିବନ୍ |
ನೀಲಿ ರಿಬ್ಬನ್,ନୀଳ ରିବନ୍ |
ಬ್ಲೂಸ್ (=ರಾಯಲ್ ಹಾರ್ಸ್ ಗಾರ್ಡ್ಸ್),ବ୍ଲୁଜ୍ (= ରୟାଲ୍ ଘୋଡା ଗାର୍ଡ)
ನೀಲಿ ಅಂಗಿ,ନୀଳ ସାର୍ଟ |
ಬ್ಲೂ ವಾಟರ್ ಸ್ಕೂಲ್,ନୀଳ ଜଳ ବିଦ୍ୟାଳୟ |
ನಿಯಂತ್ರಣ ಮಂಡಳಿ,ନିୟନ୍ତ୍ରଣ ବୋର୍ଡ |
ದೇಹದ ರಕ್ಷಾಕವಚ,ଶରୀରର ଅସ୍ତ୍ରଶସ୍ତ୍ର |
ಬೋಯರ್,ବୋଇର୍
ಲೂಟಿ,ବୁଟି
ಬರೋ,ବୋରୱୋ |
ಬೌಲ್ಯೂಟೇರಿಯನ್,ବୁଲୁଟେରିଅନ୍ |
ಬೌರ್ಬನ್,ବୋର୍ବନ୍ |
ಬಾಕ್ಸರ್ ದಂಗೆ,ବକ୍ସର ବିଦ୍ରୋହ |
ಬ್ರೇಸ್,ବନ୍ଧନୀ
ಬ್ರಾಸಾರ್ಡ್,ପିତ୍ତଳ |
ಬ್ರಾಸಾರ್ಡ್,ପିତ୍ତଳ |
ಬ್ರೆಡ್ ವಸಾಹತುಗಳು,ରୁଟି କଲୋନୀ |
ಸ್ತನ ಫಲಕ,ସ୍ତନ ପ୍ଲେଟ୍ |
ಸ್ತನ ಕೆಲಸ,ସ୍ତନ କାମ
ಬ್ರೆಟ್ವಾಲ್ಡಾ,ବ୍ରେଟୱାଲଡା |
ಬ್ರಿಗಾಂಡ್,ବ୍ରିଗାଣ୍ଡ୍ |
ಬ್ರಿಗಂಡೇಜ್,ବ୍ରିଗେଣ୍ଡେଜ୍
ಬ್ರಿಟಿಷ್ ಕಾಮನ್‌ವೆಲ್ತ್ ರಾಷ್ಟ್ರಗಳು,ବ୍ରିଟିଶ୍ କମନୱେଲଥ୍ ଅଫ୍ ନେସନ୍ସ |
ಬ್ರೌನ್ ಶರ್ಟ್ಸ್ (=ನಾಜಿಗಳು),ବ୍ରାଉନ୍ ସାର୍ଟ (= ନାଜି)
ಬ್ರಸೆಲ್ಸ್ ಒಪ್ಪಂದ (ಒಪ್ಪಂದ) ಸಂಸ್ಥೆ (=ಪಶ್ಚಿಮ ಯುರೋಪಿಯನ್ ಒಕ್ಕೂಟ),ବ୍ରୁସେଲ୍ସ ଚୁକ୍ତି (ଚୁକ୍ତି) ସଂଗଠନ (= ପଶ୍ଚିମ ୟୁରୋପୀୟ ୟୁନିଅନ୍)
ಬಫ್,ବଫ୍ |
ಬಫ್,ବଫ୍ |
ಬಫ್-ಕೋಟ್,ବଫ୍-କୋଟ୍ |
ಬಫ್ಸ್,ବଫସ୍ |
ಬುಲೆ (=ಕೌನ್ಸಿಲ್),ବୁଲେ (= ପରିଷଦ)
ಬರ್ಗೇಜ್,ବନ୍ଧକ
ಬರ್ಗೆಸ್,ବରଗଡ |
ಬೈಜಾಂಟೈನ್,ବାଇଜାଣ୍ଟାଇନ
ಬೈಜಾಂಟೈನ್ ಚರ್ಚ್,ବ yz ଜୟନ୍ତ ଚର୍ଚ୍ଚ
ಬೈಜಾಂಟೈನ್ ಸಾಮ್ರಾಜ್ಯ,ବ yz ଜୟନ୍ତ ସାମ୍ରାଜ୍ୟ |
ಬೈಜಾಂಟೈನ್ ಯುಗ,ବାଇଜାଣ୍ଟାଇନ ଯୁଗ
ಬೈಜಾಂಟೈನ್ ಇತಿಹಾಸಕಾರರು,ବ yz ଜୟନ୍ତ histor ତିହାସିକମାନେ |
ಕ್ಯಾಬಲ್,କ୍ୟାବଲ୍ |
ಸೀಸರಿಸಂ,କେଜରିଜିମ୍ |
ಖಲೀಫ್,ଖଲିଫ୍ |
ಕ್ಯಾಲಿಗ್ರಾಫರ್,କଲିଗ୍ରାଫର୍ |
ಕ್ಯಾಲಿಗ್ರಾಫಿಸ್ಟ್,କଲିଗ୍ରାଫିଷ୍ଟ |
ಕ್ಯಾಲಿಗ್ರಫಿ,କାଲିଗ୍ରାଫି |
ಕ್ಯಾಲ್ಟ್ರೋಪ್,କାଲ୍ଟ୍ରପ୍ |
ಸೌಹಾರ್ದತೆ,କାମାଡେରି |
ಕ್ಯಾಮರಿಲ್ಲಾ,କାମାରିଲା |
ಕ್ಯಾಮರಿಲ್ಲಾ,କାମାରିଲା |
ಕ್ಯಾಮೆಲಾಕಮ್,କାମେଲାକମ୍ |
ಮರೆಮಾಚುವಿಕೆ,କାମୁଫ୍ଲେଜ୍ |
ಪ್ರಚಾರ,ଅଭିଯାନ |
ಶಿಬಿರದ ಅನುಯಾಯಿ,କ୍ୟାମ୍ପ ଅନୁସରଣକାରୀ |
ಕ್ಯಾಂಪೋ ಸ್ಯಾಂಟೋ,କ୍ୟାମ୍ପୋ ସାଣ୍ଟୋ |
ಕ್ಯಾಂಪಸ್ ಮಾರ್ಟಿಯಸ್,କ୍ୟାମ୍ପସ୍ ମାର୍ଟିସ୍
ಕ್ಯಾನೆಫೊರಾ,କାନେଫୋରା |
ಕ್ಯಾಂಗ್ಯೂ,କଙ୍ଗୁ
ಕ್ಯಾನನೇಡ್,କାନନେଡ୍ |
ಕ್ಯಾನನ್ ಮೇವು,ତୋପ ଖାଇବା |
ಕ್ಯಾನನ್,କାନନ୍ |
ಕ್ಯಾನನ್ ಕಾನೂನು,କାନନ୍ ନିୟମ |
ಕ್ಯಾನೋಪಸ್ ತೀರ್ಪು,କାନୋପସ୍ ଆଦେଶ |
ಕ್ಯಾಂಟಿಂಗ್ ಶಸ್ತ್ರಾಸ್ತ್ರ,ବାହୁବଳୀ
ಬಂಧಿತ,ବନ୍ଦୀ
ಕ್ಯಾಪ್ಟರ್,କ୍ୟାପ୍ଟର
ಕಾರ್ಡಿನಲ್,କାର୍ଡିନାଲ୍ |
ಕಾರ್ಲ್,କାର୍ଲ |
ಕ್ಯಾರೊಲಿಂಗಿಯನ್ ರಾಜವಂಶ,କାରୋଲିଙ୍ଗିଆନ୍ ରାଜବଂଶ |
ಕಾರ್ತೂಸಿಯನ್ ಪಂಥ,କାର୍ଟୁସିଆନ୍ ସମ୍ପ୍ରଦାୟ |
ಕಾರ್ಟೊಸಾ,କାର୍ଟୋସା |
ಕ್ಯಾಸ್ಟೇಲಿಯನ್,କାଷ୍ଟେଲିଆନ୍ |
