Kannada,Bengali
ಅಲ್ಲೆಲೋ ರಸಾಯನಶಾಸ್ತ್ರ,অ্যালেলো রসায়ন
ಆಲೀಲ್,অ্যালিল
ಅಲೆಲೋಪತಿ,অ্যালিলোপ্যাথি
ವೇಥಿ ಬೆಳೆ,ভেথি ফসল
ಪೂರ್ಣಗೊಳ್ಳುವಿಕೆ,পরিপূর্ণতা
ಫಲೀಕರಣ,নিষিক্তকরণ
1. ಸಾಪೇಕ್ಷತೆ 2. ಅಲೋಮೆಟ್ರಿ,1. আপেক্ষিকতা 2. অ্যালোমেট্রি
ಮಲ್ಟಿಪ್ಲಾಯ್ಡ್,multiploidy
1. ಪ್ಯಾರಾಜಿಗೋಸಿಟಿ,1. প্যারাজিগোসিটি
1. ಪರ್ಯಾಯ ವರ್ಷದ ಕಾರ್ಯ 2. ಪರ್ಯಾಯ ಕಾರ್ಯ,1. বিকল্প বছরের ফাংশন 2. বিকল্প ফাংশন
ಪರ್ಯಾಯ ಭೂಮಿ ಬಳಕೆ,বিকল্প ভূমি ব্যবহার
ಪರಿಸರ,পরিবেশ
ಸುಧಾರಕ,সংস্কারক
ಮಿಟೋಸಿಸ್,মাইটোসিস
ಅಮೀನನ್,আমীনান
ಅಮೋನಿಯನ್,ammonion
ಆಮ್ನಿಫೆರಸ್,amniferous
1. ನಿಷ್ಪರಿಣಾಮಕಾರಿ ರೂಪ 2. ಅರೂಪಿ,1. অকার্যকর রূপ 2. অরূপী
ಉಭಯಚರ ಮಿಶ್ರಣ,উভচর মিশ্রণ
ಆಂಫೋಟರಿಕ್,amphoteric
ಸಂಗ್ರಹಣೆ,মজুদ
1. ಆಮ್ಲಜನಕರಹಿತ 2. ಆಮ್ಲಜನಕರಹಿತ ಜೀವಿಗಳು,1. অ্যানেরোবিক 2. অ্যানেরোবিক জীব
ಹ್ಯಾಪ್ಲಾಯ್ಡ್,হ্যাপ্লয়েড
ಕೋನೀಯ ನೆಟ್ಟ,কৌণিক রোপণ
ಪಶುಸಂಗೋಪನೆ,পশুপালন
ಪ್ರಾಣಿಗಳ ಮಲವಿಸರ್ಜನೆ,প্রাণীর মলমূত্র
ಜೀವನ ಶಕ್ತಿ,জীবন্ত শক্তি
ಅಸಂಗತ,অস্বাভাবিক
ಒಂದು ವರ್ಷದ ಸಸ್ಯ,এক বছর বয়সী উদ্ভিদ
ವಾರ್ಷಿಕ,বার্ষিক
1. ಭಾವಪರವಶತೆ 2. ಪ್ರಕಾಶ,1. পরমানন্দ 2. উচ্ছ্বাস
ಆಂಥ್ರಾಕ್ಸ್,অ্যানথ্রাক্স
ಮಾನವಜನ್ಯ ಅಂಶಗಳು,নৃতাত্ত্বিক কারণ
ಬದುಕುಳಿಯುವಿಕೆ,বেঁচে থাকা
1. ಪ್ರತಿಜೀವಕ 2. ಪ್ರತಿಜೀವಕ,1. অ্যান্টিবায়োটিক 2. অ্যান্টিবায়োটিক
ಹಿಮ್ಮೆಟ್ಟಿಸುವ,বিকর্ষণকারী
ಉತ್ಕರ್ಷಣ ನಿರೋಧಕ,অ্যান্টিঅক্সিডেন্ট
ಆಂಟಿಟಾಕ್ಸಿನ್,অ্যান্টিটক্সিন
ಉಂಗುರದ ಬೆರಳು,অনামিকা আঙুল
1. ಗಿಡಹೇನು 2. ಮಾಹು 3. ಚೇಪಾ,1. এফিড 2. মাহু 3. চেপা
ಮೇಲಿನ ಮೊಗ್ಗು,শীর্ষ কুঁড়ি
ಗರಿಷ್ಠ ಪರಿಣಾಮಕಾರಿತ್ವ,সর্বোচ্চ কার্যকারিতা
ಜೇನುಸಾಕಣೆ,মৌমাছি পালন
ಅಲೈಂಗಿಕತೆ,অযৌনতা
ಅಪೊಪ್ಟೋಸಿಸ್,apoptosis
ಅನುಬಂಧಗಳು,পরিশিষ্ট
ಜೀರ್ಣಕಾರಕವಾಗಿ,ক্ষুধার্ত
ಅನ್ವಯಿಸಲಾಗಿದೆ,প্রয়োগ করা
ಜಲವಾಸಿ ಕಳೆ,জলজ আগাছা
1. ಮರ 2. ಮರದ ನಿವಾಸಿ,1. গাছ 2. গাছের বাসিন্দা
ಕವಲೊಡೆಯುತ್ತಿದೆ,শাখা
ಪ್ರೊಟೊಬೊಟಾನಿಕಲ್ ದಾಖಲೆಗಳು,প্রোটোবোটানিকাল রেকর্ড
ವಲಯ ಸಂಖ್ಯೆ,জোন নম্বর
1. ಪ್ರದೇಶ 2. ಪ್ರದೇಶ,1. এলাকা 2. এলাকা
ಒಣ ಪರಿಸರ ವ್ಯವಸ್ಥೆ,শুষ্ক বাস্তুতন্ত্র
ಕೋಟಿಲ್ಡನ್,cotyledon
ಸೌರಭ್,সৌরভ
ಆರೊಮ್ಯಾಟಿಕ್ ಸಸ್ಯ,সুগন্ধি উদ্ভিদ
ಪರಿಮಳಯುಕ್ತ ಅಕ್ಕಿ,সুগন্ধি চাল
ಇಕ್ಷು ಪುಷ್ಪನ್,ইক্ষু পুষ্পন
ಅಸೆಪ್ಟಿಕ್,অ্যাসেপটিক
1. ಅಸೆಪ್ಟಿಕ್ 2. ಅಸೆಪ್ಟಿಕ್,1. অ্যাসেপটিক 2. অ্যাসেপটিক
ಅಲೈಂಗಿಕ ಸಂತಾನೋತ್ಪತ್ತಿ,অস্ত্রোপচার
ಗಾತ್ರ,আকার
ಆಸ್ತಿ,সম্পদ
1. ಸಮೀಕರಣ 2. ಸಮೀಕರಣ,1. আত্তীকরণ 2. আত্তীকরণ
1. ಸಂಘ 2. ಸಂಘ,1. সমিতি 2. সমিতি
1. ಕಾಲಮ್ 2. ಸಂಕೋಚನ,1. কলাম 2. কৃপণতা
ಹೆಟೆರೋಜೈಗೋಸಿಟಿ,হেটেরোজাইগোসিটি
1. ಪೂರ್ವಜ 2. ಅಟಾವಿಸಂ,1. পূর্বপুরুষ 2. অ্যাটাভিজম
ಕಣ,কণা
1. ದೃಢೀಕರಣ 2. ದುರ್ಬಲತೆ,1. অনিশ্চয়তা 2. দুর্বলতা
ಸ್ವಯಂ ಜೋಡಣೆ,স্ব জোড়া
ಆಟೋಲಿಸಿಸ್,অটোলাইসিস
1. ಸ್ವಾಭಾವಿಕ ಆಕ್ಸಿಡೀಕರಣ 2. ಸ್ವಾಭಾವಿಕ ಉತ್ಕರ್ಷಣ,1. স্বতঃস্ফূর্ত জারণ 2. স্বতঃস্ফূর্ত জারণ
ಸ್ವಯಂ ಮಲ್ಟಿಪ್ಲೆಕ್ಸ್,স্বয়ং মাল্টিপ্লেক্সড
ಆಕ್ಸಿನ್,অক্সিন
1. ಷೂಕ್ 2. ಟೋಡ್,1. কাঁপানো 2. টোড
ದಂಡದ ವೈರಸ್,পেনাল ভাইরাস
1. ಬ್ಯಾಸಿಲಸ್ 2. ಬ್ಯಾಸಿಲಸ್,1. ব্যাসিলাস 2. ব্যাসিলাস
1. ಬ್ಯಾಕ್ಟೀರಿಯಾ 2. ಬ್ಯಾಕ್ಟೀರಿಯಾ,1. ব্যাকটেরিয়া 2. ব্যাকটেরিয়া
ಬ್ಯಾಕ್ಟೀರಿಯಾದ ವಿಷ,ব্যাকটেরিয়াল টক্সিন
ಬಗಸೆ,ব্যাগাস
ಬ್ಯಾಲೆನ್ಸ್ ಶೀಟ್,ব্যালেন্স শীট
ಸಮತೋಲಿತ ರಸಗೊಬ್ಬರ ಬಳಕೆ,সুষম সার ব্যবহার
ಬಾರ್ ಗ್ರಾಫ್,বার গ্রাফ
ತೊಗಟೆ,বাকল
1. ವಾಯುಭಾರ ಮಾಪಕ 2. ವಾಯುಭಾರ ಮಾಪಕ,1. ব্যারোমিটার 2. ব্যারোমিটার
1. ಬಜರ್ 2. ಜಡ 3. ಬಂಜರು,1. গুঞ্জন 2. অদৃশ্য 3. অনুর্বর
1. ಬೇಸ್ 2. ಬೇಸ್ 3. ಕುಪಾಂಗ್,1. বেস 2. বেস 3. কাপং
1. ತಾಲಾ 2. ಜಲಾನಯನ ಪ್ರದೇಶ,1. টালা 2. বেসিন
ತಲಾಬಿಸಾರಿ,তালাবিসারি
1. ಬೇಸಿಸ್ಟರ್ನಮ್ 2. ರೂಟ್ ಹೋಲ್ಡರ್,1. বেসিস্টেরনাম 2. রুট ধারক
ಗಲ್ಫ್ ಮಾನ್ಸೂನ್,উপসাগরীয় বর্ষা
ಹಣ್ಣಿನ ಗಿಡ,ফলের উদ্ভিদ
ಹಾಸಿಗೆ,বিছানা
ಹಾಸಿಗೆ ಸಸ್ಯ,বিছানা উদ্ভিদ
ಹಾಸಿಗೆ,বিছানাপত্র
ಬೀಟ್ ಮೊಲಾಸಸ್,বীট গুড়
ಬೆಲ್ಲೋಸ್,বেল
1. ಪಟ್ಟಿ 2. ಭೂಪ್ರದೇಶ,1. স্ট্রিপ 2. ভূখণ্ড
ಲಾಭ-ವೆಚ್ಚದ ವಿಶ್ಲೇಷಣೆ,লাভ-খরচ বিশ্লেষণ
ಮಹತ್ವಾಕಾಂಕ್ಷಿ (ಮಾದರಿ),উচ্চাকাঙ্ক্ষী (স্যাম্পলিং)
ದ್ವೈವಾರ್ಷಿಕ ಸಸ್ಯಗಳು,দ্বিবার্ষিক গাছপালা
ದ್ವಿಪದ,দ্বিপদ
ಜೈವಿಕ ಅಂಶ,বায়োফ্যাক্টর
ಜೈವಿಕ ಹವಾಮಾನ,জৈবিক জলবায়ু
ಜೈವಿಕ ಶಕ್ತಿ,জৈব শক্তি
ಪ್ರಾಣಿಗಳ ಪರಿಸರ ವಿಜ್ಞಾನ,প্রাণীজগতের বাস্তুসংস্থান
1. ಬಯೋ-ಪ್ರೊಸೆಸರ್ 2. ಬಯೋ-ರಿಯಾಕ್ಟರ್,1. বায়ো-প্রসেসর 2. বায়ো-চুল্লি
ಜೀವಗೋಳ,জীবজগৎ
ಜೈವಿಕ,জৈবিক
ಪ್ರಾಣಿಸಂಕುಲ,প্রাণীজগত
ದಿವಿಲಿಂಗಿ,ডিভিলিঙ্গি
ಧವಳನ್,ধওলান
1. ಪ್ರಧ್ವಸನ್ (ರೋಗ) 2. ಗಸ್ಟ್ ರೋಗ,1. প্রধবাসন (রোগ) 2. দমকা রোগ
ಮಿಶ್ರಣ,মিশ্রন
1. ಅಂಗಮಾರಿ (ರೋಗ) 2. ರೋಗ (ರೋಗ),1. আংমারী (রোগ) 2. ব্লাইট (রোগ)
1. ಬ್ಲಿಸ್ಟರ್ 2. ಬ್ಲಿಸ್ಟರ್ 3. ಎರಪ್ಶನ್ 4. ಬ್ಲಿಸ್ಟರ್,1. ফোস্কা 2. ফোস্কা 3. বিস্ফোরণ 4. ফোস্কা
ನೀಲಿ ಕ್ರಾಂತಿ,নীল বিপ্লব
ಪ್ಲಾನರ್ ಹೀಟಿಂಗ್ ಚೇಂಬರ್,প্ল্যানার হিটিং চেম্বার
ಪ್ಲ್ಯಾನರ್ ತಾಪನ ತಂತ್ರಜ್ಞಾನ,প্ল্যানার হিটিং প্রযুক্তি
ಹೊಟ್ಟು,তুষ
ಕವಲೊಡೆಯುತ್ತಿದೆ,শাখা
1. ರೆಂಬೆ 2. ಉಪಶಾಖೆ,1. ডালপালা 2. উপশাখা
ತಳಿ,বংশবৃদ্ধি
ಸಂತಾನೋತ್ಪತ್ತಿ,প্রজনন
ಆರಂಭಿಕ ಮೊಳಕೆಯೊಡೆಯುವಿಕೆ ಚಿಕಿತ್ಸೆ,প্রাথমিক অঙ্কুর চিকিত্সা
1. ಮರಿ 2. ಮೊಟ್ಟೆ 3. ಭ್ರೂಣ,1. বাচ্চা 2. ডিম 3. ভ্রূণ
ಮೊಳಕೆಯೊಡೆಯುತ್ತಿದೆ,উদীয়মান
ಬಜೆಟ್,বাজেট
1.ಆಂಫೋಟೆರಿಕ್ 2. ಬಫರ್,1.অ্যাম্ফোটেরিক 2. বাফার
ಸಿಹಿ ಆಲೂಗಡ್ಡೆ,মিষ্টি আলু
ಬಂಟ್ (ರೋಗ),বান্ট (রোগ)
1. ಉಪ ಉತ್ಪನ್ನ 2. ಉಪ ಉತ್ಪನ್ನ,1. উপজাত 2. উপজাত
c ತೇವಾಂಶದ ನಿರ್ದಿಷ್ಟ ಕರ್ವ್,c আর্দ্রতা স্পেসিফিকেশন বক্ররেখা
ಎಣ್ಣೆ ಕೇಕ್,তেল পিষ্টক
1. ಸುಣ್ಣ 2. ಕ್ಯಾಲ್ಸಿಯಂ,1. চুন 2. ক্যালসিয়াম
ಕ್ಯಾಲ್ಸಿಯಾನ್,ক্যালসিয়ন
ಫಾಸ್ಫೇಟ್ ತೆಗೆಯುವಿಕೆ,ফসফেট অপসারণ
1. ಕಿನಾಟಾ 2. ಕ್ಯಾಲಟಾ,1. কিনাটা 2. কালটা
1.ಕ್ಯಾಲಸ್ 2. ಕಿರಣ,1.ক্যালাস 2. রশ্মি
1. ಸೀಪಲ್ಸ್ 2. ಕ್ಯಾಲಿಕ್ಸ್,1. সেপালস 2. ক্যালিক্স
ಹೊರಗಿನ ಅಂತ್ಯ,বহির্মুখী শেষ
ಈಧಾ,এধা
ಕ್ಯಾನ್ಸರ್ (ಬ್ಯಾಕ್ಟೀರಿಯಾ ರೋಗ),ক্যানকার (ব্যাকটেরিয়াজনিত রোগ)
ಕ್ಯಾನಿಂಗ್,ক্যানিং
ಆಕಾಶ,আকাশ
ಹಣಕಾಸು,অর্থায়ন
ಪರಾಗಸ್ಪರ್ಶ (ಅಂಜೂರದ ಹಣ್ಣುಗಳು),পরাগায়ন (ডুমুরের)
1. ಕ್ಯಾಪ್ಸುಲ್ 2. ಕ್ಯಾಪ್ಸುಲ್ 3. ಕ್ಯಾಪ್ಸುಲ್,1. ক্যাপসুল 2. ক্যাপসুল 3. ক্যাপসুল
ಕಾರ್ಬೊನೈಸ್ಡ್,কার্বনাইজড
ಕಾರ್ಬೊನಾನ್,কার্বনান
ಕ್ಯಾರಪೇಸ್,ক্যারাপেস
ಕಂಕಣ,ব্রেসলেট
1. ಎರಕ (ಕಬ್ಬಿಣ) 2. ಕ್ಷಿತಿ (ಕೀಟ),1. ঢালাই (লোহা) 2. ক্ষিপ্তি (পোকা)
ಕ್ಯಾಟಬಾಲಿಸಮ್,catabolism
ಪ್ರೇರಣೆ,প্ররোচনা
1. ಕ್ಯಾಟರ್ಪಿಲ್ಲರ್ 2. ಕ್ಯಾಟರ್ಪಿಲ್ಲರ್,1. শুঁয়োপোকা 2. শুঁয়োপোকা
ಸಿ ಡಿ. ಎನ್. ಎ. ಸಂಗ್ರಹಣೆ,গ d. এন. ক সংগ্রহ
ವ್ಯಾಪ್ತಿ,পরিসীমা
1. ಕೋಶ 2. ಕೋಶ,1. কোষ 2. কোষ
ಕೇಂದ್ರ ಮುಂಭಾಗದ ವ್ಯವಸ್ಥೆ,কেন্দ্রীয় ফ্রন্ট সিস্টেম
1. ಪಾಯಿಂಟ್ 2. ಫೋಕಸ್,1. পয়েন্ট 2. ফোকাস
ಕೇಂದ್ರಾಪಗಾಮಿ,কেন্দ্রীকরণ
ಕೇಂದ್ರಾಪಗಾಮಿ,সেন্ট্রিফিউজ
ನಕ್ಷತ್ರ ಕೇಂದ್ರ,তারকা কেন্দ্র
ಎಪಿಜೆನೆಟಿಕ್,এপিজেনেটিক
ಕೇಂದ್ರರಾಜ,কেন্দ্রজা
ಮಗ್ಗ,তাঁত
1. ಏಕದಳ 2. ಸೀರಿಯಲ್,1. সিরিয়াল 2. সিরিয়াল
1. ಪ್ರಮಾಣೀಕರಣ 2. ಪ್ರಮಾಣೀಕರಣ,1. সার্টিফিকেশন 2. সার্টিফিকেশন
ಪ್ರಮಾಣೀಕೃತ ಬೀಜ,প্রত্যয়িত বীজ
1. ಹುಲ್ಲು 2. ಕುಟ್ಟಿ 3. ಶಾಲಕ್ ಸಹಪಾತ್ರ,1. খড় 2. কুট্টি 3. শলক সহপাত্র
1. ನಿಭಾಗ್ 2. ಕೈಲಾಜಾ,1. নিভাগ 2. কৈলাজা
ಕೈಮೊಗ್ರಫಿ,কাইমোগ্রাফি
1. ಕಿಯಾಜ್ಮಾ 2. ಕಾರ್ಯನಿರತ,1. কিয়াজমা 2. ব্যস্ত
ಸೂಪರ್ ಕೂಲಿಂಗ್ ಗಂಟೆಗಳು,সুপার কুলিং ঘন্টা
ಫ್ರಾಸ್ಟ್ ಹಾನಿ,তুষারপাত ক্ষতি
1. ವಿಚಿರೋಟಕಿ 2. ಚಿಮೆರಾ,1. ভিচিরোটাকি 2. কাইমেরা
ಹಸಿರು ಗಂಜಿ,সবুজ porridge
1. ಎಲೆಗಳು 2. ಹಸಿರು,1. পাতা 2. সবুজ
ಸೈನೋಸಿಸ್,সায়ানোসিস
ಜೈವಿಕ ವಿತರಣಾ ವಿಜ್ಞಾನ,জৈবিক বিতরণ বিজ্ঞান
1. ಕ್ರೊಮಾಟಿಡ್ಸ್ 2. ಅರ್ಧ ವರ್ಣತಂತುಗಳು,1. ক্রোমাটিডস 2. অর্ধেক ক্রোমোজোম
ಕ್ರೊಮಾಟಿನ್,ক্রোমাটিন
ಕ್ರೊಮ್ಯಾಟೋಗ್ರಫಿ,ক্রোমাটোগ্রাফি
ಕ್ರೊಮಾಟಿಲೇಷನ್,ক্রোমাটিনলেশন
ಹೃತ್ಕರ್ಣದ ಬಿಂದು,অলিন্দ বিন্দু
ಕ್ರೊಮಾಟೊಜೆನೆಸಿಸ್,ক্রোমাটোজেনেসিস
1. ಕ್ರೋಮೋಪ್ರೋಟೀನ್ 2. ಪಿಗ್ಮೆಂಟ್ಪ್ರೋಟೀನ್,1. ক্রোমোপ্রোটিন 2. পিগমেন্টপ্রোটিন
1. ವರ್ಣತಂತುಗಳು 2. ವರ್ಣತಂತುಗಳು,1. ক্রোমোজোম 2. ক্রোমোজোম
1. ದೀರ್ಘಕಾಲದ 2. ದೀರ್ಘಕಾಲದ 3. ದೀರ್ಘಕಾಲದ 4. ಬಳಕೆಯಲ್ಲಿಲ್ಲದ,1. দীর্ঘস্থায়ী 2. দীর্ঘস্থায়ী 3. দীর্ঘস্থায়ী 4. অপ্রচলিত
ಸಿಟ್ರೇಂಜ್,citrange
ಶರತ್ಕಾಲದ ಹಬ್ಬ,শরৎ উৎসব
ವರ್ಗೀಕರಣ,শ্রেণীবিভাগ
1. ಮಣ್ಣು 2. ಮಣ್ಣು,1. কাদামাটি 2. কাদামাটি
1. ಶುಚಿಗೊಳಿಸುವಿಕೆ 2. ಸ್ಕ್ರಬ್ಬಿಂಗ್ 3. ಸ್ವಚ್ಛಗೊಳಿಸುವಿಕೆ 4. ಶುದ್ಧೀಕರಣ,1. পরিষ্কার করা 2. স্ক্রাবিং 3. পরিষ্কার করা 4. পরিশোধন
ನಿರಂತರ ಪರಾಗಸ್ಪರ್ಶ,অবিরাম পরাগায়ন
ಶಿಲುಬೆಯ ಹಣ್ಣು,ক্রুসিফেরাস ফল
ಹವಾಮಾನ,জলবায়ু
ಹವಾಮಾನಶಾಸ್ತ್ರ,জলবায়ুবিদ্যা
ಬರಿಯ,শিয়ার
ಉಂಡೆ (ಜೇಡಿಮಣ್ಣು),পিণ্ড (কাদামাটি)
ತದ್ರೂಪಿ,ক্লোন
1.ಮೋಡಗಳು 2.ಮೋಡಗಳು,1.মেঘ 2.মেঘ
ಗೊಂಚಲು,clump
ಗುಂಪನ್ನು,গুচ্ছ
1. ಒರಟು 2. ಒರಟು 3. ಕಚ್ಚಾ 4. ಒರಟು,1. মোটা 2. রুক্ষ 3. কাঁচা 4. রুক্ষ
1. ಕವರ್ 2. ಲೆಥೆರೆಟ್,1. কভার 2. লেদারেট
ಕೋಯಾ,কোয়া
