English,Odiya
asynchronous Transfer Mode (ATM),ଅସନ୍ତୁଳିତ ସ୍ଥାନାନ୍ତର ମୋଡ୍ (ଏଟିଏମ୍)
atom,ପରମାଣୁ
attached document,ସଂଲଗ୍ନିତ ଡକ୍ୟୁମେଣ୍ଟ୍ |
attached file,ସଂଲଗ୍ନ ଫାଇଲ୍ |
attachment,ସଂଲଗ୍ନ
attribute,ଗୁଣ
audio,ଅଡିଓ
audit programming,ପ୍ରୋଗ୍ରାମିଂ ଅଡିଟ୍ କରନ୍ତୁ |
audit trail,ଅଡିଟ୍ ଟ୍ରେଲ୍ |
augmentation,ବୃଦ୍ଧି
authentication protocol,ପ୍ରାମାଣିକିକରଣ ପ୍ରୋଟୋକଲ୍ |
authoring system,ଲେଖକ ପ୍ରଣାଳୀ
authorization,ପ୍ରାଧିକରଣ
auto abstract,ଅଟୋ ଅବଷ୍ଟ୍ରାକ୍ଟ |
autobooting,ଅଟୋବୋଟିଂ
autocad,ଅଟୋକ୍ୟାଡ୍ |
autolog on,ଅଟୋଲୋଜି ଅନ୍
automata,ଅଟୋମେଟା |
automata theory,ସ୍ୱୟଂଚାଳିତ ତତ୍ତ୍। |
automatic computing,ସ୍ୱୟଂଚାଳିତ ଗଣନା
automatic data processing,ସ୍ୱୟଂଚାଳିତ ତଥ୍ୟ ପ୍ରକ୍ରିୟାକରଣ |
automatic error correction,ସ୍ୱୟଂଚାଳିତ ତ୍ରୁଟି ସଂଶୋଧନ |
automatic function,ସ୍ୱୟଂଚାଳିତ କାର୍ଯ୍ୟ
automatic indexing,ସ୍ୱୟଂଚାଳିତ ସୂଚକାଙ୍କ |
automatic library call,ସ୍ୱୟଂଚାଳିତ ଲାଇବ୍ରେରୀ କଲ୍ |
automatic programming,ସ୍ୱୟଂଚାଳିତ ପ୍ରୋଗ୍ରାମିଂ |
automatic recovery program,ସ୍ୱୟଂଚାଳିତ ପୁନରୁଦ୍ଧାର ପ୍ରୋଗ୍ରାମ |
automatic routine,ସ୍ୱୟଂଚାଳିତ ରୁଟିନ୍ |
automatic system recovery,ସ୍ୱୟଂଚାଳିତ ତନ୍ତ୍ର ପୁନରୁଦ୍ଧାର
automatic teller machine (ATM),ସ୍ୱୟଂଚାଳିତ ଟେଲର୍ ମେସିନ୍ (ଏଟିଏମ୍)
automation,ସ୍ୱୟଂଚାଳିତ
autoplay,ସ୍ଵତଃ ଚଳିତ
autosave,ଅଟୋସେଭ୍ |
auxiliary,ସହାୟକକାରୀ
auxiliary memory,ସହାୟକ ସ୍ମୃତି
auxiliary storage,ସହାୟକ ଷ୍ଟୋରେଜ୍
available list,ଉପଲବ୍ଧ ତାଲିକା |
available time,ଉପଲବ୍ଧ ସମୟ |
average,ହାରାହାରି
awk (language),awk (ଭାଷା)
backend,ବ୍ୟାକେଣ୍ଡ୍ |
backend processor,ବ୍ୟାକେଣ୍ଡ୍ ସଞ୍ଚାଳକ |
backface removal,ବ୍ୟାକଫେସ୍ ଅପସାରଣ |
background processing,ପୃଷ୍ଠଭୂମି ପ୍ରକ୍ରିୟାକରଣ |
backing store,ବ୍ୟାକିଂ ଷ୍ଟୋର |
backpatching,ବ୍ୟାକପ୍ୟାଚ୍
backspace,ବ୍ୟାକସ୍ପେସ୍ |
backtracking,ବ୍ୟାକଟ୍ରାକ୍
back-up,ବ୍ୟାକ୍ ଅପ୍ |
back-up memory,ବ୍ୟାକ୍ ଅପ୍ ମେମୋରୀ |
backward error recovery,ପଛୁଆ ତ୍ରୁଟି ପୁନରୁଦ୍ଧାର
balance sheet,ତୂଳନା ପତ୍ର
band,ବ୍ୟାଣ୍ଡ
band width,ବ୍ୟାଣ୍ଡ ଓସାର |
banker's algorithm,ବ୍ୟାଙ୍କର ଆଲଗୋରିଦମ |
bar code,ବାର୍ କୋଡ୍
bar code scanner,ବାର୍ କୋଡ୍ ସ୍କାନର୍ |
bar graph,ବାର୍ ଗ୍ରାଫ୍ |
base address,ମୂଳ ଠିକଣା
base band,ବେସ୍ ବ୍ୟାଣ୍ଡ |
base number,ଆଧାର ସଂଖ୍ୟା
base table,ଆଧାର ଟେବୁଲ୍ |
BASIC,ବେସିକ୍ |
basic control,ମ basic ଳିକ ନିୟନ୍ତ୍ରଣ |
basic input,ମ basic ଳିକ ଇନପୁଟ୍ |
basic instruction,ମ basic ଳିକ ନିର୍ଦ୍ଦେଶ
basic output,ମ basic ଳିକ ଆଉଟପୁଟ୍
basic step,ମ basic ଳିକ ପଦକ୍ଷେପ |
batch,ବ୍ୟାଚ୍
batch file,ବ୍ୟାଚ୍ ଫାଇଲ୍ |
batch position,ବ୍ୟାଚ୍ ସ୍ଥିତି |
batch processing,ବ୍ୟାଚ୍ ପ୍ରକ୍ରିୟାକରଣ |
batch system,ବ୍ୟାଚ୍ ସିଷ୍ଟମ୍ |
baud,baud
baud rate,ବାଉଡ୍ ହାର
beam,ବିମ୍
benchmark,ମାନଦଣ୍ଡ
bidirectional communication,ଦ୍ୱି-ଦିଗୀୟ ଯୋଗାଯୋଗ |
bidirectional link,ଦ୍ୱି-ଦିଗୀୟ ଲିଙ୍କ୍ |
binary code,ବାଇନାରୀ କୋଡ୍ |
binary digit,ବାଇନାରୀ ଅଙ୍କ
binary Input output system (BIOS),ବାଇନାରୀ ଇନପୁଟ୍ ଆଉଟପୁଟ୍ ସିଷ୍ଟମ୍ (BIOS)
binary number,ବାଇନାରୀ ସଂଖ୍ୟା
binary operator,ବାଇନାରୀ ଅପରେଟର୍ |
binary relation,ବାଇନାରୀ ସମ୍ପର୍କ |
binary search,ବାଇନାରୀ ସନ୍ଧାନ |
binary search tree (BST),ବାଇନାରୀ ସନ୍ଧାନ ବୃକ୍ଷ (BST)
binary transfer,ବାଇନାରୀ ସ୍ଥାନାନ୍ତର |
binary tree,ବାଇନାରୀ ଗଛ |
bipolar memory,ଦ୍ୱିପାକ୍ଷିକ ସ୍ମୃତି
birth death model,ଜନ୍ମ ମୃତ୍ୟୁ ମଡେଲ |
birth death process,ଜନ୍ମ ମୃତ୍ୟୁ ପ୍ରକ୍ରିୟା |
bit,ବିଟ୍
bit fault,ବିଟ୍ ଦୋଷ |
bit map,ବିଟ୍ ମାନଚିତ୍ର
bit map pixel (BMP),ବିଟ୍ ମାନଚିତ୍ର ପିକ୍ସେଲ୍ (BMP)
bit matrix,ବିଟ୍ ମ୍ୟାଟ୍ରିକ୍ସ |
bit pattern,ବିଟ୍ ପ୍ୟାଟର୍ |
bit position,ବିଟ୍ ସ୍ଥିତି |
bit rate,ବିଟ୍ ହାର
black box testing,କଳା ବାକ୍ସ ପରୀକ୍ଷା
blinking,ink ଲସି ଉଠୁଛି |
block,ବ୍ଲକ
block cache,କ୍ୟାଚ୍ ଅବରୋଧ କରନ୍ତୁ |
block check,ଯାଞ୍ଚ ଯାଞ୍ଚ କରନ୍ତୁ |
block copy,କପି କପି କରନ୍ତୁ |
block diagram,ବ୍ଲକ ଚିତ୍ର
blocking network,ନେଟୱର୍କକୁ ଅବରୋଧ କରୁଛି
board,ବୋର୍ଡ
book mark,ପୁସ୍ତକ ଚିହ୍ନ
boolean algebra,ବୁଲିଅନ୍ ବୀଜ ବିବେଚନା |
boolean relation,ବୁଲିଅନ୍ ସମ୍ପର୍କ |
boot partition,ବୁଟ ବିଭାଜନ
boot strapping,ବୁଟ ଷ୍ଟ୍ରାପିଂ
boot-strap loader,ବୁଟ-ଷ୍ଟ୍ରାପ ଲୋଡର
bridge,ସେତୁ
broadband networking,ବ୍ରଡବ୍ୟାଣ୍ଡ ନେଟୱର୍କିଙ୍ଗ |
broadcast,ପ୍ରସାରଣ
broadcast radio,ରେଡିଓ ପ୍ରସାରଣ |
browse,ବ୍ରାଉଜ୍ କରନ୍ତୁ |
browser,ବ୍ରାଉଜର୍
B-Tree,ବି-ଗଛ |
bubble memory,ବବୁଲ୍ ମେମୋରୀ |
bubble sort,ବବୁଲ୍ ସର୍ଟ୍ |
bucket,ବାଲଟି
buddy system,ସାଥୀ ସିଷ୍ଟମ୍
budget effective control,ବଜେଟ୍ ପ୍ରଭାବଶାଳୀ ନିୟନ୍ତ୍ରଣ |
buffer,ବଫର୍
bug,ତ୍ରୁଟି
bus,ବସ୍
byte,ବାଇଟ୍ |
byte code,ବାଇଟ୍ କୋଡ୍ |
c,ଗ
C++,C ++
cache,କ୍ୟାଚ୍
cache buffer,କ୍ୟାଚ୍ ବଫର୍ |
cache memory,କ୍ୟାଶେ ମେମୋରୀ
calculation,ଗଣନା
calculator,କାଲକୁଲେଟର
calculator chip,କାଲକୁଲେଟର ଚିପ୍
call,କଲ୍ କରନ୍ତୁ |
call by name,ନାମରେ କଲ୍ କରନ୍ତୁ |
call by reference,ରେଫରେନ୍ସ ଦ୍ୱାରା କଲ୍ କରନ୍ତୁ |
call by value,ମୂଲ୍ୟ ଅନୁଯାୟୀ କଲ୍ କରନ୍ତୁ |
call by variables,ଭେରିଏବଲ୍ ଦ୍ୱାରା କଲ୍ କରନ୍ତୁ |
call gate,କଲ୍ ଗେଟ୍ |
cancel,ବାତିଲ୍ କରନ୍ତୁ |
cancel button,ବାତିଲ୍ ବଟନ୍
canonical,କାନୋନିକାଲ୍ |
canonical form,କାନୋନିକାଲ୍ ଫର୍ମ |
capability,ସାମର୍ଥ୍ୟ |
capability list,ସାମର୍ଥ୍ୟ ତାଲିକା |
capacity,କ୍ଷମତା
caps lock key,କ୍ୟାପ୍ ଲକ୍ କୀ |
card,କାର୍ଡ
card reader,କାର୍ଡ ରିଡର୍ |
cardinality,ହୃଦୟ
carrier,ବାହକ
carrier band,ବାହକ ବ୍ୟାଣ୍ଡ |
carrier load,ବାହକ ଭାର
carrier signal,ବାହକ ସଙ୍କେତ
carrier wave,ବାହକ ତରଙ୍ଗ |
carry,ବହନ କର
carry digit,ଅଙ୍କ ବହନ କର |
carry flag,ପତାକା ବହନ କର |
cartridge disk,କାର୍ଟ୍ରିଜ୍ ଡିସ୍କ |
cascade,କ୍ୟାସକେଡ୍ |
case,କେସ୍
cathod ray tube (CRT),କ୍ୟାଥୋଡ୍ ରେଡ୍ ଟ୍ୟୁବ୍ (CRT)
cathode ray tube (CRT),କ୍ୟାଥୋଡ୍ ରେଶ୍ ଟ୍ୟୁବ୍ (CRT)
CD ROM disk drive,CD ROM ଡିସ୍କ ଡ୍ରାଇଭ |
cell,କକ୍ଷ
cell animation,ସେଲ୍ ଆନିମେସନ୍ |
cellular phone,ସେଲୁଲାର୍ ଫୋନ୍ |
central memory,କେନ୍ଦ୍ରୀୟ ସ୍ମୃତି
central processing unit (CPU),କେନ୍ଦ୍ରୀୟ ପ୍ରକ୍ରିୟାକରଣ ଏକକ (CPU)
centralized system,କେନ୍ଦ୍ରୀଭୂତ ପ୍ରଣାଳୀ |
certified tape,ସାର୍ଟିଫିକେଟ୍ ଟେପ୍ |
chain,ଶୃଙ୍ଖଳା
chain data,ଶୃଙ୍ଖଳା ତଥ୍ୟ
chain link,ଶୃଙ୍ଖଳା ଲିଙ୍କ୍ |
chaining,ଶିକୁଳି
channel,ଚ୍ୟାନେଲ୍ |
channel busy tone,ଚ୍ୟାନେଲ ବ୍ୟସ୍ତ ସ୍ୱର |
channel capacity,ଚ୍ୟାନେଲ କ୍ଷମତା |
channel controller,ଚ୍ୟାନେଲ ନିୟନ୍ତ୍ରକ
channel error,ଚ୍ୟାନେଲ ତ୍ରୁଟି |
channel program,ଚ୍ୟାନେଲ୍ ପ୍ରୋଗ୍ରାମ୍ |
channel reliability,ଚ୍ୟାନେଲ ନିର୍ଭରଯୋଗ୍ୟତା |
channel set,ଚ୍ୟାନେଲ୍ ସେଟ୍ |
character,ବର୍ଣ୍ଣ
character code,ବର୍ଣ୍ଣ କୋଡ୍
character key,ବର୍ଣ୍ଣ ଚାବି
character reader,ବର୍ଣ୍ଣ ପାଠକ
character size,ବର୍ଣ୍ଣ ଆକାର
chart,ଚାର୍ଟ
chassis,ଖାସ୍
check bit,ବିଟ୍ ଯାଞ୍ଚ କରନ୍ତୁ |
check digit,ଅଙ୍କ ଯାଞ୍ଚ କରନ୍ତୁ |
check sum,ଯାଞ୍ଚ ରାଶି
check word,ଶବ୍ଦ ଯାଞ୍ଚ କରନ୍ତୁ |
chip,ଚିପ୍
chip set,ଚିପ୍ ସେଟ୍ |
choose,ବାଛନ୍ତୁ |
chromatically,କ୍ରୋମେଟିକ୍
cipher,ସାଇଫର୍
circuit,ସର୍କିଟ
circular list,ବୃତ୍ତାକାର ତାଲିକା |
cirus,ସାଇରସ୍
citation,ଉଦ୍ଧୃତ
class,ଶ୍ରେଣୀ
class variable,କ୍ଲାସ୍ ଭେରିଏବଲ୍ |
classification,ବର୍ଗୀକରଣ
clear,ସଫା
clear area,ପରିଷ୍କାର କ୍ଷେତ୍ର
clear channel,ଚ୍ୟାନେଲ୍ ସଫା କରନ୍ତୁ |
click,କ୍ଲିକ୍ କରନ୍ତୁ |
client,କ୍ଲାଏଣ୍ଟ
client server,କ୍ଲାଏଣ୍ଟ ସର୍ଭର |
client stub,କ୍ଲାଏଣ୍ଟ ଷ୍ଟବ୍ |
clip art,କ୍ଲିପ୍ ଆର୍ଟ
clip art library,କ୍ଲିପ୍ ଆର୍ଟ ଲାଇବ୍ରେରୀ |
clip board,କ୍ଲିପ୍ ବୋର୍ଡ |
clipper,କ୍ଲିପର୍
clipper chip,କ୍ଲିପର୍ ଚିପ୍ |
clique,କ୍ଲିକ୍
clock,ଘଣ୍ଟା
clock cycle,ଘଣ୍ଟା ଚକ୍ର |
clock frequency,ଘଣ୍ଟା ଆବୃତ୍ତି
clock hardware,ଘଣ୍ଟା ହାର୍ଡୱେର୍ |
clock pulse,ଘଣ୍ଟା ନାଡ |
clock speed,ଘଣ୍ଟା ଗତି
clock synchronization,ଘଣ୍ଟା ସିଙ୍କ୍ରୋନାଇଜେସନ୍ |
clock tick,ଘଣ୍ଟା ଟିକ୍ |
clone,କ୍ଲୋନ୍ |
close,ବନ୍ଦ
close circuit TV (CCTV),କ୍ଲୋଜ ସର୍କିଟ ଟିଭି (CCTV)
closure,ବନ୍ଦ
cloud computing,କ୍ଲାଉଡ୍ ଗଣନା
cluster,କ୍ଲଷ୍ଟର
coated card,ଆଚ୍ଛାଦିତ କାର୍ଡ |
coated paper,ଆବୃତ କାଗଜ |
coaxial,ସମବାୟ
coaxial cable,ସମବାୟ କେବୁଲ୍ |
codasyl,କୋଡାସିଲ୍ |
code,କୋଡ୍
code generator,କୋଡ୍ ଜେନେରେଟର
code page,କୋଡ୍ ପୃଷ୍ଠା |
code word,କୋଡ୍ ୱାର୍ଡ
coder,କୋଡର୍
coding check,କୋଡିଂ ଯାଞ୍ଚ |
coding form,କୋଡିଂ ଫର୍ମ |
coding sheet,କୋଡିଂ ସିଟ୍ |
coefficient,ଗୁଣବତ୍ତା
coherence,ସମନ୍ୱୟ
cold boot,ଥଣ୍ଡା ବୁଟ
cold start,ଥଣ୍ଡା ଆରମ୍ଭ
collaboration,ସହଯୋଗ
collapse,ଭୁଶୁଡ଼ିବା |
collate,ସଂଗ୍ରହ କରନ୍ତୁ |
collate tape,କୋଲେଟ୍ ଟେପ୍ |
collision,ଧକ୍କା
colon,କୋଲନ୍
colour (color),ରଙ୍ଗ (ରଙ୍ଗ)
colour saturation,ରଙ୍ଗ ପରିପୃଷ୍ଠା |
colour table,ରଙ୍ଗ ଟେବୁଲ୍ |
column,ସ୍ତମ୍ଭ
combination,ମିଶ୍ରଣ
combo box,କମ୍ବୋ ବାକ୍ସ
command,ନିର୍ଦ୍ଦେଶ
command button,ନିର୍ଦ୍ଦେଶ ବଟନ୍
command list,ନିର୍ଦ୍ଦେଶ ତାଲିକା |
comment,ମନ୍ତବ୍ୟ ଦିଅନ୍ତୁ |
commitment,ପ୍ରତିବଦ୍ଧତା
commodity,ଦ୍ରବ୍ୟ
Common Business Oriented Language (Cobol),ସାଧାରଣ ବ୍ୟବସାୟ ଓରିଏଣ୍ଟେଡ୍ ଭାଷା (କୋବୋଲ୍)
common error,ସାଧାରଣ ତ୍ରୁଟି |
common language,ସାଧାରଣ ଭାଷା |
common routine,ସାଧାରଣ ରୁଟିନ୍ |
communication,ଯୋଗାଯୋଗ |
communication line,ଯୋଗାଯୋଗ ରେଖା
communication mode,ଯୋଗାଯୋଗ ମୋଡ୍ |
communication network,ଯୋଗାଯୋଗ ନେଟୱାର୍କ |
communication parameter,ଯୋଗାଯୋଗ ପାରାମିଟର
communication system,ଯୋଗାଯୋଗ ବ୍ୟବସ୍ଥା |
compaction,ସଙ୍କୋଚନ
compander,କମ୍ପାଣ୍ଡର୍
companding,କମ୍ପାଣ୍ଡିଂ
company network,କମ୍ପାନୀ ନେଟୱାର୍କ |
comparison test,ତୁଳନା ପରୀକ୍ଷା
compatibility,ସୁସଙ୍ଗତତା
compatible,ସୁସଙ୍ଗତ
compilation,ସଂକଳନ
compile and go,ସଙ୍କଳନ କର ଏବଂ ଯାଅ |
compiler,କମ୍ପାଇଲର୍
compiler language,ସଙ୍କଳନକାରୀ ଭାଷା |
complementary,ସଂପନ୍ନ
complement-on-ten,ସପ୍ଲିମେଣ୍ଟ-ଅନ-ଦଶ
complementor,ସଂପନ୍ନକାରୀ |
complete carry,ସମ୍ପୁର୍ଣ୍ଣ ବହନ
complex,ଜଟିଳ
complex number,ଜଟିଳ ସଂଖ୍ୟା
component,ଉପାଦାନ
component object model (COM),ଉପାଦାନ ବସ୍ତୁ ମଡେଲ (COM)
composite,ମିଶ୍ରିତ
composition,ରଚନା
computational,ଗଣନା
computer,କମ୍ପ୍ୟୁଟର
computer centre,କମ୍ପ୍ୟୁଟର କେନ୍ଦ୍ର
computer expert,କମ୍ପ୍ୟୁଟର ବିଶେଷଜ୍ଞ |
