Bengali,Malayalam
জলজ আগাছা,അക്വാട്ടിക് കള
আরবোরিয়াল,അർബോറിയൽ
আর্বোরাইজেশন,അർബോറൈസേഷൻ
আর্কিও-বোটানিকাল রেকর্ডস,ആർഎംജിയോ-ബൊട്ടാണിക്കൽ റെക്കോർഡുകൾ
অঞ্চল পরিসংখ্যান,ഏരിയ സ്ഥിതിവിവരക്കണക്കുകൾ
অঞ্চল,പദേശം
শুকনো বাস্তুতন্ত্র,വരണ്ട ആവാസവ്യവസ്ഥ
আরিল,വര്ഷ്ടിക്കുക
সুগন্ধ,സൗരഭം
সুগন্ধযুক্ত উদ্ভিদ,ആരോമാറ്റിക് പ്ലാന്റ്
সুগন্ধযুক্ত চাল,ആരോമാറ്റിക് അരി
তীর,അഴുക്കുചാല്
Asepsis,അശെപ്സിസ്
অ্যাসেপটিক,അസെപ്ലെവ്
অ্যাসেক্সুয়াল প্রচার,അസുഖകരമായ പ്രചരണം
অ্যাস,അസേ
সম্পদ,ആസ്തി
সংমিশ্রণ,ഉറപ്പ്
সংঘ,ചങ്ങാത്തം
জ্যোতিষী,രേണിംഗന്റ്
অ্যাসিনাপসিস,അസിനാപ്സിസ്
Atavism,Atawavism
Atomizer,ആലേറ്ററിജർ
অ্যাট্রোফি,അട്രോഫി
অটোগামি,ഓട്ടോഗാമി
অটোলাইসিস,ഓട്ടോലിസിസ്
অটোক্সিডেশন,യന്തവഹനം
অটোপলিপ্লয়েড,ഓട്ടോപോളിപ്ലോയിഡ്
অক্সিনস,ഓക്സിൻസ്
এডাব্লুএন (ব্রিজল),Awn (ബ്രിട്ട്)
বাদাম,ബദാം കായ്
অ্যালো,കറ്റാർ
অমরান্থাস,അമരന്തസ്
আম্মি,ആംമി
অঞ্জান ঘাস,അഞ്ജൻ പുല്ല്
অ্যান্থুরিয়াম,ആന്തറിയം
"অোনলা, ভারতীয় গুজবেরি","ആരോള, ഇന്ത്യൻ നെല്ലിക്ക"
অ্যাপল,ആപ്പിൾ
এপ্রিকট,ആപ്രിക്കോട്ട്
আরবিয়ান জেসমিন,Arbian ജാസ്മിൻ
সুপারি বাদাম,Arcaunt
অর্জুন,അർജുൻ
Asfoetida,അസ്ഫോറ്റിഡ
অ্যাশ লাউ,ആഷ് പൊറോട്ട
অশোক গাছ,അശോക ട്രീ
আশ্থমা আগাছা (ইউফোর্বিয়া),അഷെതർ കള (യൂഫോർബിയ)
অ্যাস্পারাগাস,ശതാവരിച്ചെടി
অ্যাভোকাডো,അവോക്കാഡോ
আলফালফা (লুসার্ন),പയറുവർഗ്ഗങ്ങൾ (ലൂസെർൻ)
পিঁপড়া,ഉറുമ്പുകൾ
এফিডস,മുഞ്ഞ
সেনা কৃমি,സൈനിക വേം
কৃষি অর্থনীতিবিদ,കാർഷിക സാമ്പത്തിക ശാസ്ത്രജ്ഞൻ
কৃষি এক্সটেনশনিস্ট,കാർഷിക വിപുലീകരണവാദി
কৃষি বিজ্ঞানী,കാർഷിക ശാസ്ത്രജ്ഞൻ
কৃষি প্রকৌশলী,കാർഷിക എഞ്ചിനീയർ
অ্যাগ্রোবায়োলজিস্ট,അഗ്രോബയോളജിസ്റ്റിക്
কৃষিবিদ,അഗ്രോണമിസ്റ്റ്
অ্যাগ্রোফিজিসট,Agrofysicst
প্রাণী ব্রিডার,മൃഗങ്ങളുടെ ബ്രീഡർ
ব্যাসিলাস ভাইরাস,ബാസിലസ് വൈറസ്
ব্যাসিলাস,ബാസിലസ്
ব্যাকটিরিয়া,ബാക്ടീരിയ
ব্যাকটিরিওক্সিন,ബാക്ടറോമോക്സിൻ
ব্যাগাস,ബാഗസ്
ব্যালেন্স শীট,ബാലൻസ് ഷീറ്റ്
ভারসাম্যহীন নিষেক,സമതുലിതമായ ബീജസങ്കലനം
বার ডায়াগ্রাম,ബാർ ഡയഗ്രം
বাকল,കുര
ব্যারোমিটার,ബാരോമീമീറ്റർ
বন্ধ্যা,തരിശായ
বেস,അടിത്തറ
বেসিন,പരന്നപാതം
বেসিপেটাল,അടിസ്ഥാനപരമായ
বেসস্টারনাম,ബസിസ്റ്റർനം
উপসাগর,ബേ മൺസൂൺ
বিয়ারিং প্ল্যান্ট,വഹിക്കുന്ന പ്ലാന്റ്
বিছানা,കിടക്ക
বেডার,അടിദേഡർ
বিছানাপত্র,ശയ്യോപകരണങ്ങള്
বীট গুড়,ബീറ്റ്റൂട്ട് മോളസ്
বেলো,മണിനാദം
বেল্ট,അരപ്പട്ട
বেনিফিট-ব্যয় বিশ্লেষণ,ആനുകൂല്യ-വില വിശകലനം
পক্ষপাতদুষ্ট (নমুনা),പക്ഷപാതപരമായ (സാമ്പിൾ)
দ্বিবার্ষিক,ബിനാത്തില്
দ্বিপদী,ബിനോമിയൽ
বায়োএজেন্ট,ബയോജന്റ്
বায়োক্লিমেট,ബയോക്രിമേറ്റ്
বায়োনারজি,ബയോ എനെർജി
বায়োনমিক্স,ബയോണോമിക്സ്
বায়োরিয়্যাক্টর,BIOREACTOR
বায়োস্ফিয়ার,ബയോസ്ഫിയർ
বায়োটিক,ഉപകാരന്
বায়োটাইপ,ബയോട്ടിവൈപ്പ്
উভকামী,ബൈസെക്ഷ്വൽ
ব্লাঞ্চিং,ബ്ലാഞ്ചിംഗ്
বিস্ফোরণ,സ്ഫോടനം
মিশ্রণ,സങ്കലനം
ব্লাইট,വരണ്ടതാണ
ফোস্কা,പൊള്ളല്
নীল বিপ্লব,നീല വിപ്ലവം
নীচে তাপ চেম্বার,ചുവടെ ചൂട് ചേമ്പർ
নীচে তাপ কৌশল,ചുവടെയുള്ള താപ രീതി
ব্রান,തണ്ണീര്
শাখা,ശാചിനമായ
শাখা,ലഘുലേഖ
প্রজনন,ഇനം
প্রজনন,പ്രജനനം
Brimming,തിളങ്ങുന്ന
ব্রুড,കുഞ്ഞുങ്ങള്
উদীয়মান,വളർന്നുകാരി
বাজেট,വരവ്ചെലവ് മതിപ്പ്
বাফার,ബഫർ
বাল্ব,ബൾബ്
বুট,മുണ്ടു
উপজাত,ഉപോൽപ്പന്നം
বাবুল অ্যাকাসিয়া,ബാബുൾ അക്കേഷ്യ
শিশুর ভূট্টা,കുഞ്ഞ് ധാന്യം
বেল,ബാലിനെ
বেল,ബില്ലാൻ
বালসাম,ബൽസം
বাঁশ,മുള
কলা,വാഴപ്പഴം
বটগাছ,ബനിയൻ ട്രീ
বার্লি,യവം
বার্নইয়ার্ড মিললেট,ബാർയ്യാർഡ് മില്ലറ്റ്
পুদিনা,തുളക്ടി
জারজ সিডার,ബാസ്റ്റാർഡ് ദേവദാരു
জারজ মাইরোবালান,ബാസ്റ്റാർഡ് മൈറോബലൻ
বাউহিনিয়া,ബവായീനിയ
বে বেরি,ബേ ബെറി
বিন,അമര
বীট,മധുരക്കിഴങ്ങുചെടി
বেলাদোনা,ബെല്ലഡോണ
বের,മുളകു
বার্সিম,പതുക്കമുള്ള
সুপারি,മുയേറ്റ
বিলিম্বি,ബിലിമ്പി
বিটার লাউ,പാവയ്ക്ക
কালো গ্রাম,കറുത്ത ഗ്രാം
কালো নাইটশেড,കറുത്ത നൈറ്റ്ഷെയ്ഡ്
বোগেনভিলিয়া,ബ g ഗൻവില്ല
বোতল ব্রাশ,കുപ്പി ബ്രഷ്
বোতল লাউ,ബോട്ടിൽ പൊറോട്ട
বক্স ট্রি,ബോക്സ് മരം
রুটি ফল,ബ്രെഡ് ഫലം
ব্রাইডাল লতা,വധുവിന്റെ ക്രീപ്പർ
ব্রিনজাল,വശ്ശീല
ব্রড শিম,വിശാലമായ ബീൻ
ব্রোকলি,ബ്രോക്കോളി
ব্রাসেলের স্প্রাউট,ബ്രസ്സൽസ് മുള
বাকউইট,താനിന്നു
বুটিয়া,ബദ്ധ
ব্যান্ডিকুট,ബാൻഡികാൂട്ട്
ভাল্লুক,കരടി
বিটল,വണ്ട്
ফোস্কা বিটল,ബ്ലിസ്റ്റർ വണ്ട്
নীল ষাঁড়,നീല കാള
বোল কৃমি,ബോൾ വേം
প্রজাপতি,ചിതശലഭം
ব্যাকটিরিওলজিস্ট,ബാക്ടീരിയോളജിസ്റ്റ്
বায়োকেমিস্ট,ബയോകെമിസ്റ്റ്
জীববিজ্ঞানী,ജീവശാസ്തജ്ഞന്
বায়োটেকনোলজিস্ট,ബയോടെക്നോളജിക്
উদ্ভিদবিদ,സസ്യശാസ്ത്രജ്ഞൻ
সি আর্দ্রতা বৈশিষ্ট্যযুক্ত বক্ররেখা,സി ഈർപ്പം സ്വഭാവ വക്ര
কেক,കേയ്ക്ക്
ক্যালারিয়াস,കണക്കാക്കാന്വേമികമായ
ক্যালিফিকেশন,കണക്കുകഷ്ടം
ফসফেটের ক্যালকিনেশন,ഫോസ്ഫേറ്റിന്റെ കാൽനികം
Calost,കൗണം
কলাস,ഞങ്ങളെ വിളിക്കൂ
ক্যালিক্স,കാലിക്സ്
ক্যালিক্স-এন্ড,കാലിക്സ്-അവസാനം
ক্যাম্বিয়াম,കാമ്പി
ক্যান্সার,കാൻകെറർ
ক্যানিং,കാനിംഗ്
ক্যানোপি,മേലാപ്പ്
মূলধন,തലസ്ഥാനം
ক্যাপরিফিকেশন,പിസേരിഫിക്കേഷൻ
ক্যাপসুল,കാപ്സ്യൂൾ
কার্বনেটেড,കാർബണേറ്റഡ്
কার্বনাইজেশন,കാർബണലൈസേഷൻ
কার্পেল,പരല്പം
কার্পাস,കാർപസ്
ঢালাই,കാസ്റ്റിംഗ്
ক্যাটাবোলিজম,കാറ്റബോളിസം
ক্যাটালাইসিস,കവചലിസ്
শুঁয়াপোকা,ചിതശലഭപ്പുഴു
সি-ডিএনএ লাইব্রেরি,സി-ഡിഎൻഎ ലൈബ്രറി
সিলিং,മച്ച്
সেল,കോശം
কেন্দ্রীয় নেতা ব্যবস্থা,കേന്ദ്ര നേതാവ് സംവിധാനം
কেন্দ্রিক,ഒരിനംവീപ്പ്
সেন্ট্রিফিউগেশন,സെൻറ്ഫ്യൂഗേഷൻ
সেন্ট্রিফিউজ,കേന്ദ്രീകൃത
সেন্ট্রিওল,സെൻട്രിയോൾ
সেন্ট্রোজেনিক,നൂന്കോജാനിക്
সেন্ট্রোজেনাস,നൂനിശ്ചയമുള്ള
সার্কাস,കടല്ചലട്
সিরিয়াল,ധാനം
শংসাপত্র,സാക്ഷപ്പെടുത്തല്
প্রত্যয়িত বীজ,സാക്ഷ്യപ്പെടുത്തിയ വിത്ത്
চ্যাফ,ചാട്ട
চালাজা,ചാലസ
কেমোট্রপিজম,പരോപപാതം
চিয়াসমা,ചിയാസ്മ
শীতল সময়,ചില്ലിംഗ് സമയം
শীতল আঘাত,ചില്ലിംഗ് പരിക്ക്
চিমেরা,ചിമേര
ক্লোরান্টি,ക്ലോറോറാന്തി
ক্লোরোফিল,ക്ലോറോഫിൽ
ক্লোরোসিস,ക്ലോറോസിസ്
ক্লোরোলজি,ക്ലോറോളജി
ক্রোমাটিড,ക്രോമാറ്റിഡ്
ক্রোমাটিন,ക്രോമാറ്റിൻ
ক্রোমাটোগ্রাফি,ക്രോമാറ്റോഗ്രാഫി
ক্রোমাটোলাইসিস,ക്രോമാറ്റോളിസിസ്
ক্রোমোসেন্ট্রে,ക്രോമസെന്റ്റന്റ്
ক্রোমোজেনেসিস,ക്രോമോജെനിസിസ്
ক্রোমোপ্রোটিন,ക്രോമോപ്രോട്ടൻ
ক্রোমোজোম,ക്രോമസോം
দীর্ঘস্থায়ী,വിട്ടുമാറാത്ത
সিট্রঞ্জ,സിട്രഞ്ച്
ক্লেডোড,പചാരു
শ্রেণিবদ্ধকরণ,വര്ഗീകരണം
ক্লে,കളിമണ്ണ്
পরিষ্কার,ശുചിയാക്കല്
ক্লিস্টোগ্যামি,Clistogay
ক্লাইম্যাক্টেরিক ফল,ക്ലൈമാക്രിക് ഫ്രൂട്ട്
জলবায়ু,കാലാവസ്ഥ
জলবায়ু,കാലാവസ്ഥയുള്ള
ক্লিপার,ക്ലിപ്പര്
ক্লোড,വലം
ক্লোন,ക്ലോൺ
মেঘ,മേഘം
ক্লাম্প,തോപ്പ്
ক্লাস্টার,ക്ലസ്റ്റർ
মোটা,പരുക്കനായ
কোট (বীজ),കോട്ട് (വിത്ത്)
কোকুন,കീടകോശം
কোএনজাইম,Coenzyme
সংহতি,ഏകീകരണം
কয়ার,കയർ
কোলোররিজা,കൊളോറൈസ
কলার,കുപ്പായക്കഴുത്ത്
কলয়েড (মাটি),കൊളോയിഡ് (മണ്ണ്)
কলিউমেলা,കൊളംറ്റെല്ല
কলাম,കോളം
কমেন্সালিজম,ആമേനസം
বাণিজ্যিক ব্যাংক,വാണിജ്യ ബാങ്ക്
পণ্য,ചരക്ക്
সম্প্রদায়,സമൂഹം
সংযোগ (মাটির),കോംപാക്ഷൻ (മണ്ണിന്റെ)
সামঞ্জস্যতা,അനുയോജ്യത
সামঞ্জস্যতা,അനുയോജ്യത
ক্ষতিপূরণ,നഷ്ടപരിഹാരം
প্রতিযোগিতামূলক মিথস্ক্রিয়া,മത്സര ഇടപെടൽ
পরিপূরক ফসল,പൂരക വിള
জটিল,കോംപ്ലമായ
উপাদান,ഘടകം
গঠন,രചന
কম্পোস্ট,കമ്പോസ്റ്റ്
চক্রবৃদ্ধিহারে সুদ,കൂട്ടുപലിശ
গণনা,കണക്കുകൂട്ടൽ
কম্পিউটার,കന്വൂട്ടര്
একাগ্রতা,ഏകാഗത
কন্ডিশনার,കണ്ടന്റർ
আচরণ,മാര്ഗ്ഗം
কনফিগারেশন,കോൺഫിഗറേഷൻ
অনুসার,അനുരൂപത
বিভ্রান্তিকর,ആശയക്കുഴപ്പത്തില്
সংমিশ্রণ,സംയോജനം
সংযোগকারী,കണക്റ്റീവ്
সংরক্ষণ,സംരക്ഷണം
একত্রীকরণের,ഏകീകരണം
উপাদান,ഘടകങ്ങൾ
গ্রাহক,ഉപഭോക്താവ്
খরচ,ഉപഭോഗം
দূষণ,മലിനമാക്കല്
কনট্যুর রোপণ,കോണ്ടൂർ നടീൽ
কনট্যুর,ബാഹരേഖ
চুক্তি চাষ,കരാർ കൃഷി
নিয়ন্ত্রিত স্টোরেজ,നിയന്ത്രിത സംഭരണം
সমবায় ব্যাংক,കോ-ഓപ്പറേറ്റീവ് ബാങ്ക്
সহযোগী,സഹകരണക്കാരൻ
কপিস,ചെവിസിസ്
Corm,വലം
করোলা,കൊറോള്ള
কর্টেক্স,Cuortex
ব্যয়,ചെലവ്
কোটিলেডন (বীজ),കോട്ടിലെഡൺ (വിത്ത്)
ক্রেডিট সোসাইটি,ക്രെഡിറ്റ് സമൂഹം
ক্রেডিট,കീര്ത്തി
পাওনাদার,കടക്കാരന്
ক্রেস্ট,ചിഹ്നം
ক্রিঙ্কল,കാശി
সংকট,പതിസന്ധി
মানদণ্ড,മാനദണ്ഡം
সমালোচনা,വിമര്ശിക്കുന്ന
শস্য বীমা,വിള ഇൻഷുറൻസ്
শস্য loan ণ,വിള വായ്പ
ফসল,വിള
ক্রপিং অঞ্চল,വിളവെടുപ്പ് പ്രദേശം
ক্রস-ইনমপ্যাটেবল,ക്രോസ്-പൊരുത്തപ്പെടുന്നില്ല
মুকুট (উদ্ভিদ),കിരീടം (പ്ലാന്റ്)
ক্রম্ব,അപ്പക്കഷണം
ক্রাস্ট,അപ്പത്തിന്റെമൊരിഞ്ഞപുറം
ক্রিপ্টোগাম,ക്രിപ്റ്റോഗം
কুল (ফল),കല്ല് (പഴങ്ങൾ)
কাল্ম,കുള
চাষকারী,കൃഷിചെയ്യുക
চাষ,കൃഷി
কৃষক,കൃഷിക്കാരൻ
সংস্কৃতি,സംസ്കാരം
নিরাময়,രോഗശമനം
কার্লিং,കേവിംഗ്
মুদ্রা,പവാഹം
কিউটিকাল,ഉപയാകൃതിയായ
কাটা,മുറിക്കൽ
সিস্ট,തൊലി
সাইটোক্রোম,സൈറ്റോക്രോം
সাইটোগ্যামি,Cytogy
সাইটোজেনেসিস,Cretogenesis
সাইটোজেনেটিক্স,സൈറ്റോജെനിറ്റിക്സ്
সাইটোকাইনেসিস,സൈറ്റോകിനിസ്
সাইটোলজি,സൈറ്റിയോളജി
সাইটোলাইসিস,സൈനോളിസിസ്
সাইটোমির,സൈറ്റോമിയർ
সাইটোপ্লাজম,സൈറ്റോപ്ലാസം
বাঁধাকপি,കാബേജ്
ক্যাকটাস,കള്ളിച്ചെടി
ক্যালেন্ডুলা,കലണ്ടുല
ক্যানারি ঘাস (ফালারিস),കാനറി പുല്ല് (ഫലാരിസ്)
ক্যানা,കാന
ক্যাপারি,കപ്പരിസ്
ক্যাপসিকাম,കാപ്സിക്കം
ক্যারামবোলা,കാരാംബോള
ক্যারপা,കാരാപ്പ
এলাচ,ഏലാമി
কার্নেশন,മാംസവര്ണ്ണം
গাজর,കാരറ്റ്
হিজলি বাদাম,കശുവണ്ടി
ক্যাসিয়া,കാസിയ
ক্যাস্টর,നായക
ফুলকপি,കോളിഫ്ലവർ
সেলারি,മുള്ളങ്കി
চ্যাম্প্যাক,ഖപായം
চেনোপোডিয়াম,ചെനോപോഡിയം
চেরি টমেটো,ചെറി തക്കാളി
চেরি,ചെറി
"ছোলা, গ্রাম","ചിക്കൻ, ഗ്രാം"
মরিচ,മുള്ളികൾ
চীন টারপেনটাইন গাছ,ചൈന ടർപ്പന്റൈൻ ട്രീ
কুকুর কুকুর,ച ow-ച ow
ক্রিস্যান্থেমাম,ക്രിസന്തമം
"চুফা, পৃথিবী বাদাম","ചുഫ, എർത്ത് ബദാം"
সিচরি,സിക്കോറി
দারুচিনি,കറുവ
সিট্রন,സിട്രൺ
সিট্রোনেলা ঘাস,സിട്രോൻസെല്ല പുല്ല്
জেসমিন আরোহণ,ജസ്മിൻ കയറുന്നു
লবঙ্গ,ചൂള
ক্লাস্টার বিন,ക്ലസ്റ്റർ ബീൻ
কোকো,കൊക്കോ
নারকেল,നാളികേരം
কফি,കോഫി
কোলিয়াস,കൊളാസ്
কলোকাসিয়া,കൊളോസാസിയ
"কলোকিন্থ, তিক্ত আপেল","കൊളോസിന്ത്, കയ്പേറിയ ആപ്പിൾ"
সাধারণ পার্সেলেন,സാധാരണ പർപ്പഴം
ধনে,മല്ലി
সুতি,പരുത്തി
কাউপিয়া,കൗപിയ
কিউব,ക്യൂബ്
শসা,വെള്ളരിക്ക
Cucubits,കുക്കർബിറ്റുകൾ
জিরা,കുമിൻ
কারি পাতা,കറി ഇല
আতা,കസ്റ്റാർഡ് ആപ്പിൾ
ক্যাপসুল বোরার,കാപ്സ്യൂൾ ബോറർ
ক্যাটারপিলার,കാറ്റർപില്ലർ
সাইট্রাস সাইক্ল্লা,സിട്രസ് സൈല
ক্রিকেট,കിക്കറ്റ്
কাক,കാക്ക
কাটা কৃমি,പുഴുവിനെ മുറിക്കുക
দুগ্ধ,പാല്ശേഖരണകേന്ദം
ডেয়ারিং,ക്ഷീണം
বাঁধ,അണക്കെട്ട്
দিন-নিরপেক্ষ,ഡേ-ന്യൂട്രൽ
ফুলের পরে দিন,പൂവിടുമ്പോൾ ദിവസങ്ങൾ
পুরো পুষ্প পরে দিন,നിറച്ച ദിവസങ്ങൾ
ডিব্লোসোমিং,വഴുതിവീഴുന്നു
ডিক্যালসিফিকেশন,നിര്ണ്ണായകീകരണം
ডিক্যান্ট,പാനമായ
ক্ষয়,അഴുകല്
পাতলা,ഇലപന്തം
দশমিক,ദശാംശ
স্বল্পতা,അപരാപ്തത
ডিফলোকুলেশন (মাটি),ഡെഫ്ലോക്യൂളിറ്റ് (മണ്ണ്)
Defloration,വസതിരൂപം
ডিফোলিয়েশন,വികോപനം
বন নিধন,വനനശീകരണം
অবক্ষয়,അപചയം
অবক্ষয়,അധalal അപലതം
ডিগ্রি দিন,ഡിഗ്രി ദിവസങ്ങൾ
ডিগ্রি,ഡിഗ്രി
ডিহেসেন্স,വിജ്ഞാനം
ডিহুলিং,മാലിംഗം
ডিহুসিং,വീതിക്കുറയ്ക്കല്
পানিশূন্যতা,നിർജ്ജലീകരണം
ডিহাইড্রেটর,ഡെഹൈവേറ്റർ
চাহিদা,അവകാശം
অবনতি,ഡിനാറ്ററേഷനുകൾ
অস্বীকার,നിന്ദ്യമായ
আমানত,നിക്ഷേപം
জবানবন্দি,നിക്ഷേപം
অবমূল্যায়ন বিচ্ছিন্নকরণ,മൂല്യത്തകർച്ചയുള്ള ഡെസാലിനിവൽ
