Punjabi,Kannada
ਅਡੈਪਟਿਵ ਇਨਫਿਅਲ ਪਲਸ ਕੋਡ ਸੰਚਾਲਨ,ಅಡಾಪ್ಟಿವ್ ಡಿಫರೆನ್ಷಿಯಲ್ ಪಲ್ಸ್ ಕೋಡ್ ಮಾಡ್ಯುಲೇಷನ್
ਐਡਰੈੱਸ ਬੁੱਕ,ವಿಳಾಸ ಪುಸ್ತಕ
ਪਤਾ ਬੱਸ,ವಿಳಾಸ ಬಸ್
ਪਤਾ ਹੱਲ,ವಿಳಾಸ ಪರಿಹಾರ
ਨੇੜਲੇ ਚੈਨਲ ਦਖਲਅੰਦਾਜ਼ੀ,ಪಕ್ಕದ ಚಾನಲ್ ಹಸ್ತಕ್ಷೇಪ
ਨਾਲਤ ਚੈਨਲ ਚੋਣ,ಪಕ್ಕದ ಚಾನಲ್ ಆಯ್ಕೆ
ਆਸ ਪਾਸ ਦੀ ਬਾਰੰਬਾਰਤਾ,ಪಕ್ಕದ ಆವರ್ತನ
ਨਾਲ ਲੱਗਦੇ ਫ੍ਰੀਕੁਐਂਸੀ ਚੈਨਲ,ಪಕ್ಕದ ಆವರ್ತನ ಚಾನಲ್
ਨਾਲ ਲੱਗਦੀ ਤਸਵੀਰ ਕੈਰੀਅਰ,ಪಕ್ಕದ ಚಿತ್ರ ವಾಹಕ
ਨਾਲ ਲੱਗਦੀ ਆਵਾਜ਼ ਕੈਰੀਅਰ,ಪಕ್ಕದ ಧ್ವನಿ ವಾಹಕ
ਨਾਲ ਲੱਗਦੀ ਸਟੇਸ਼ਨ,ಪಕ್ಕದ ನಿಲ್ದಾಣ
ਵਿਵਸਥਤ,ಹೊಂದಿಸಲಾಗುವ
ਵਿਵਸਥਤ ਕੰਡੈਂਸਰ,ಹೊಂದಾಣಿಕೆ ಕಂಡೆನ್ಸರ್
ਦਬਾਅ ਵਿਵਸਥਿਤ ਕਰਨਾ,ಒತ್ತಡವನ್ನು ಹೊಂದಿಸುವುದು
ਰੈਂਚ ਨੂੰ ਵਿਵਸਥਿਤ ਕਰਨਾ,ವ್ರೆಂಚ್ ಹೊಂದಿಸಲಾಗುತ್ತಿದೆ
ਵਿਵਸਥਾ,ಹೊಂದಾಣಿಕೆ
ਪ੍ਰਬੰਧਕ,ನಿರ್ವಾಹಕ
ਤਕਨੀਕੀ ਤਕਨਾਲੋਜੀ,ಸುಧಾರಿತ ತಂತ್ರಜ್ಞಾನ
ਏਰੀਅਲ,ವೈಮಾನಿಕ
ਏਰੀਅਲ ਐਰੇ,ವೈಮಾನಿಕ ರಚನೆ
ਏਰੀਅਲ ਬੂਸਟਰ,ವೈಮಾನಿಕ ಬೂಸ್ಟರ್
ਏਰੀਅਲ ਮੌਜੂਦਾ,ವೈಮಾನಿಕ ಪ್ರವಾಹ
ਏਰੀਅਲ ਕਮਾ ਸਵਿੱਚ,ವೈಮಾನಿಕ ಅರ್ಥಿಂಗ್ ಸ್ವಿಚ್
ਏਰੀਅਲ ਕੁਸ਼ਲਤਾ,ವೈಮಾನಿಕ ದಕ್ಷತೆ
ਏਰੀਅਲ ਰੁਕਾਵਟ,ವೈಮಾನಿಕ ಪ್ರತಿರೋಧ
ਏਰੀਅਲ ਇੰਡਕੈਕਟੈਂਸ,ವೈಮಾನಿಕ ಪ್ರಚೋದನೆ
ਏਰੀਅਲ ਇਨਸੂਲੇਟਰ,ವೈಮಾನಿಕ ಅವಾಹಕ
ਹਵਾਈ ਲੋਡਿੰਗ ਕੋਇਲ,ವೈಮಾನಿಕ ಲೋಡಿಂಗ್ ಕಾಯಿಲ್
ਹਵਾਈ ਫੋਟੋਗ੍ਰਾਫੀ,ವೈಮಾನಿಕ ography ಾಯಾಗ್ರಹಣ
ਏਰੀਅਲ ਪਾਵਰ,ವೈಮಾನಿಕ ಶಕ್ತಿ
ਏਰੀਅਲ ਰੇਡੀਏਸ਼ਨ ਰੀਸੈਂਟਸ,ವೈಮಾನಿಕ ವಿಕಿರಣ ಮರುಪರಿಶೀಲನೆ
ਏਰੀਅਲ ਪ੍ਰਤੀਕਰਮ,ವೈಮಾನಿಕ ಪ್ರತಿಕ್ರಿಯಾತ್ಮಕ
ਐਰੋਡਾਇਨਾਮਿਕਸ,ಧಾರ್ಮಿಕತೆ
ਏਜੰਸੀ,ವಾಗ್ದಾನ
ਏਅਰ ਕੰਪ੍ਰੈਸਰ,ವಾಯು ಸಂಕೋಚಕ
ਏਅਰ ਕੰਡੈਂਸਰ,ವಾಯುಮಂಡಲ
ਹਵਾ ਠੰ .ੀ,ಗಾಳಿ ತಣ್ಣಗಾಯಿತು
ਏਅਰ ਕੋਰਡ ਕੋਇਲ,ಏರ್ ಕೋರ್ಡ್ ಕಾಯಿಲ್
ਏਅਰ ਕੰਡੀਸ਼ਨਿੰਗ,ಹವಾನಿಯಂತ್ರಣ
ਅਲਬਾਡੋ,ಪಂಥದ
ਐਲਗੋਰਿਦਮ,ಅಲ್ಗಾರಿದಮ್
ਅਲਾਇਸਿੰਗ,ಅಲಿಯಾಸೆ
ਐਲਿੰਗਿੰਗ,ಜೋಡಣೆ
ਅਲਾਈਨਮੈਂਟ,ಜೋಡಣೆ
ਸਾਰੇ ਵੇਵ ਏਰੀਅਲ,ಎಲ್ಲಾ ತರಂಗ ವೈಮಾನಿಕ
ਅਲਾਟਮੈਂਟ,ಮನವಸಿಕೆ
ਵਰਣਮਾਲਾ,ವರ್ಣಮಾಲೆಯ
ਅਲਫਾਨੁਮਿਕ,ವರ್ಣಮಾಲೆಯ
ਅੱਖਰ ਅੱਖਰ,ಆಲ್ಫಾನ್ಯೂಮರಿಕ್ ಪಾತ್ರ
ਅਲਫਾਨੁਮਿਕ ਜਾਣਕਾਰੀ,ಆಲ್ಫಾನ್ಯೂಮರಿಕ್ ಮಾಹಿತಿ
ਬਦਲਵੇਂ ਮੌਜੂਦਾ (ਏ.ਸੀ.),ಪರ್ಯಾಯ ಪ್ರವಾಹ (ಎ.ಸಿ.)
ਬਦਲਵਾਂ,ಪರ್ಯಾಯ
ਅਲਟਰਨੇਟਰ,ಆವರ್ತಕ
ਉਚਾਈ,ಎತ್ತರ
ਅਗੇਬੀ ਦੀ ਉਚਾਈ,ಅಪೊಗೀ ಎತ್ತರ
ਚਰਿੱਜ ਦੀ ਉਚਾਈ,ಪೆರಿಜಿಯ ಎತ್ತರ
ਸ਼ੁਕੀਨ ਰੇਡੀਓ ਸੰਚਾਰ,ಹವ್ಯಾಸಿ ರೇಡಿಯೋ ಸಂವಹನ
ਮਾਹੌਲ,ಒಳಭಾಗ
ਮਾਹੌਲ ਮਾਈਕ੍ਰੋਫੋਨ,ವಾತಾವರಣ ಮೈಕ್ರೊಫೋನ್
ਅੰਬੀਨਟ ਦੀ ਸਥਿਤੀ,ಸುತ್ತುವರಿದ ಸ್ಥಿತಿ
ਅੰਬੀਨਟ ਲਾਈਟਿੰਗ,ಸುತ್ತುವರಿದ ಬೆಳಕು
ਅੰਬੀਨਟ ਸ਼ੋਰ,ಸುತ್ತುವರಿದ ಶಬ್ದ
ਵਾਤਾਵਰਣ ਦਾ ਤਾਪਮਾਨ,ಹೊರಗಿನ ತಾಪಮಾನ
ਅਮੈਰੀਕਨ ਸਟੈਂਡਰਡ ਕੋਡ,ಅಮೇರಿಕನ್ ಸ್ಟ್ಯಾಂಡರ್ಡ್ ಕೋಡ್
ਐਂਪੀਅਰ,ಒಂದು ಬಗೆಯ ಕಂತು
ਐਂਪਰ ਮੀਟਰ,ಕಪಾಟಿ ಮೀಟರ್
ਸਹਾਇਕਤਾ,ವರ್ಧನೆ
ਐਪਲੀਫਿਕੇਸ਼ਨ ਫੈਕਟਰ,ವರ್ಧನೆ ಅಂಶ
ਐਂਪਲੀਫਾਇਰ,ಉಲ್ಬಣಕ
ਐਂਪਲੀਫਾਇਰ ਲਾਭ,ಆಂಪ್ಲಿಫಯರ್ ಗಳಿಕೆ
ਐਂਪਲੀਫਾਇਰ ਸ਼ੋਰ,ವರ್ಧಕ ಶಬ್ದ
ਅਮਲੀਫਾਈਸਿੰਗ ਉਪਕਰਣ,ಉಪಕರಣಗಳನ್ನು ವರ್ಧಿಸುವುದು
ਸਰਪਲੱਸਿੰਗ ਕਲਸਟ੍ਰੋਨ,ಕ್ಲೈಸ್ಟ್ರಾನ್ ಅನ್ನು ವರ್ಧಿಸುವುದು
ਅਮਲੀਫਾਈਸਿੰਗ ਯੂਨਿਟ,ವರ್ಧಿಸುವ ಘಟಕ
ਐਪਲੀਟਿ .ਡ,ವೈಶಾಲ್ಯ
ਐਪਲੀਟਿ itude ਡ ਭਟਕਣਾ,ವೈಶಾಲ್ಯ ಅಸ್ಪಷ್ಟತೆ
ਐਪਲੀਟਿ ord ਡ ਸੈਕਸੀਅਨ,ವೈಶಾಲ್ಯ ವಿಹಾರ
ਐਪਲੀਟਿ let ਟ ਫੈਕਟਰ,ಆಂಪ್ಲಿಟ್ಯೂಡ್ ಫ್ಯಾಕ್ಟರ್
ਐਪਲੀਟਿ .ਡ ਸੀਮਾ,ವೈಶಾಲ್ಯ
ਐਪਲੀਟਿ .ਡ,ಆಂಪ್ಲಿಟ್ಯೂಡ್ ಮಾಡ್ಯುಲೇಟೆಡ್
ਐਪਲੀਟਿ let ਟ ਮੇਲੂਲੇਸ਼ਨ,ವೈಶಾಲ್ಯ
ਐਨਾਲਾਗ (ਐਨਾਲਾਗ),ಅನಲಾಗ್ (
ਐਨਾਲਾਗ ਸਰਕਿਟ,ಸರ್ಕ್ಯೂಟ್
ਐਨਾਲਾਗ ਕੰਪਿ .ਟਰ,ಅನಾನುಕೂಲ ಕಂಪ್ಯೂಟರ್
ਐਨਾਲਾਗ ਰੇਡੀਓ ਬਾਰੰਬਾਰਤਾ ਚੈਨਲ,ಅನಲಾಗ್ ರೇಡಿಯೋ ಆವರ್ತನ ಚಾನಲ್
ਐਨਾਲਾਗ ਪ੍ਰਤੀਨਿਧਤਾ,ಸಾದೃಶ್ಯ ನಿರೂಪಣೆ
ਐਨਾਲਾਗ ਸਿਗਨਲ,ಅನಾಲಾಗ್ ಸಂಕೇತ
ਐਨਾਲਾਗ ਡਿਜੀਟਲ,ಡಿಜಿಟಲ್ಗೆ ಅನಲಾಗ್
ਐਨਾਲਾਗ ਤੋਂ ਡਿਜੀਟਲ ਕਨਵਰਟਰ,ಡಿಜಿಟಲ್ ಪರಿವರ್ತಕಕ್ಕೆ ಅನಲಾಗ್
ਐਨਾਲਾਗ ਵੀਡੀਓ,ಅನಾನುಕೂಲ ವಿಡಿಯೋ
ਸਮਾਨ,ಹೋಲುವ
ਸਮਾਨਤਾ,ಸಾದೃಶ್ಯ
ਵਿਸ਼ਲੇਸ਼ਣ,ವಿಶ್ಲೇಷಣೆ
ਡਾਟਾ ਦਾ ਵਿਸ਼ਲੇਸ਼ਣ,ಡೇಟಾದ ವಿಶ್ಲೇಷಣೆ
ਵਿਸ਼ਲੇਸ਼ਣ ਘਣਤਾ,ವಿಶ್ಲೇಷಣಾತ್ಮಕ ಸಾಂದ್ರತೆ
ਵਿਸ਼ਲੇਸ਼ਣ,ವಿಶ್ಲೇಷಿಸು
ਵਿਸ਼ਲੇਸ਼ਕ,ವಿಶ್ಲೇಷಕ
Ancilliay ਉਪਕਰਣ,ಪೂರಕ ಉಪಕರಣಗಳು
ਅਤੇ ਗੇਟ,ಮತ್ತು ಗೇಟ್
ਕੋਲੀਮੈਂਟ ਦਾ ਕੋਣ,ಘರ್ಷಣೆಯ ಕೋನ
ਧਰੁਵੀਕਰਨ ਦਾ ਕੋਣ,ಧ್ರುವೀಕರಣದ ಕೋನ
ਘੁੰਮਣ ਦਾ ਕੋਣ,ತಿರುಗುವಿಕೆಯ ಕೋನ
ਐਂਗਟਰੋਮ (å),ಆಂಗ್‌ಸ್ಟ್ರಾಮ್ (Å)
ਕੋਣੀ,ಕೋನೀಯ
ਕੋਣੀ ਪ੍ਰਵੇਗ,ಕೋನೀಯ ವೇಗವರ್ಧನೆ
ਕੋਣੀ ਕੋ-ਆਰਡੀਨੇਟ,ಕೋನೀಯ ಸಮನ್ವಯ
ਐਂਗਲੇਨਰ ਫੁਲੈਕਸ਼ਨ,ಕೋನೀಯ ವಿಚಲನ
ਐਂਗੂਲਰ ਫੈਲਾਅ,ಕೋನೀಯ ಪ್ರಸರಣ
ਕੋਣੀ ਵਿਸਥਾਪਨ,ಕೋನೀಯ ಸ್ಥಳಾಂತರ
ਐਂਗਲੇਰ ਐਰਰ,ಕೋನೀಯ ದೋಷ
ਕੋਣੀ ਦੀ ਬਾਰੰਬਾਰਤਾ,ಕೋನೀಯ ಆವರ್ತನ
ਕੋਣੀ ਗਤੀ,ಕೋನೀಯ ಆವೇಗ
ਕੋਣੀ ਮੋਸ਼ਨ,ಕೋನೀಯ ಚಲನೆ
ਐਂਗਲੇਰ ਵੇਗ,ಕೋನೀಯ ವೇಗ
ਐਨੀਮੇਸ਼ਨ,ಅನೆ
ਐਨੋਡ,ಆವರಣ
ਐਨੋਡ ਬੈਟਰੀ,ಆನೋಡ್ ಬ್ಯಾಟರಿ
ਐਨੋਡ ਗੁਣ,ಆನೋಡ್ ವಿಶಿಷ್ಟ ಲಕ್ಷಣಗಳು
ਅਨੋਡ ਸਰਕਟ,ಆಂಡ್ಹ್ಯೋಡ್ ವೃತ್ತ
ਐਨੋਡ ਡਿਸਪੈਂਪੇਸ਼ਨ,ಆನೋಡ್ ಹರಡುವಿಕೆ
ਐਨੋਡ ਕੁਸ਼ਲਤਾ,ಆನೋಡ್ ದಕ್ಷತೆ
ਐਨੋਡ ਇਨਪੁਟ ਪਾਵਰ,ಆನೋಡ್ ಇನ್ಪುಟ್ ಶಕ್ತಿ
ਐਡੀਡ ਦੀ ਵਰਤੋਂ,ಆನೋಡ್ ಮಾಡ್ಯುಲೇಷನ್
ਐਂਟੀਨਾ,ಆನಂತಾ
ਐਂਟੀਨਾ ਬੀਅਵਿਡਥ,ಆಂಟೆನಾ ಬೀಮ್‌ವಿಡ್ತ್
ਐਂਟੀਨਾ ਬੂਸਟਰ,ಆಂಟೆನಾ ಬೂಸ್ಟರ್
ਐਂਟੀਨਾ ਬਦਲਾਓ ਸਵਿੱਚ,ಆಂಟೆನಾ ಚೇಂಜ್ಓವರ್ ಸ್ವಿಚ್
ਐਂਟੀਨਾ ਕੋਇਲ,ಆಂಟೆನಾ ಕಾಯಿಲ್
ਐਟੀਨਨਾ ਕੌਂਫਿਗਰੇਸ਼ਨ,ಆಂಟೆನಾ ಸಂರಚನೆ
ਐਂਟੀਨਾ ਕਪਲਰ,ಆಂಟೆನಾ ಸಹಕ
ਐਂਟੀਨਾ ਕਰਾਸ ਪੋਲਰ ਪੈਟਰਨ,ಆಂಟೆನಾ ಕ್ರಾಸ್ ಪೋಲಾರ್ ಪ್ಯಾಟರ್ನ್
ਐਂਟੀਨਾ ਮੌਜੂਦਾ,ಪ್ರವಾಹ
ਐਂਟੀਨਾ ਡਾਇਰੈਕਟਰਵਿਟੀ ਲਾਭ,ಆಂಟೆನಾ ನಿರ್ದೇಶನ ಲಾಭ
ਐਂਟੀਨਾ ਡੁਪਲੈਕਸਰ,ಆಂಟೆನಾ ಡ್ಯುಪ್ಲೆಕ್ಸರ್
ਐਂਟੀਨਾ ਪ੍ਰਭਾਵਸ਼ਾਲੀ ਖੇਤਰ,ಆಂಟೆನಾ ಪರಿಣಾಮಕಾರಿ ಪ್ರದೇಶ
ਐਂਟੀਨਾ ਕੁਸ਼ਲਤਾ,ಆಂಟೆನಾ ದಕ್ಷತೆ
ਐਂਟੀਨਾ ਫੀਡ,ಆಂಟೆನಾ ಫೀಡ್
ਐਂਟੀਨਾ ਪੈਰ ਪ੍ਰਿੰਟ,ಆಂಟೆನಾ ಕಾಲು ಮುದ್ರಣ
ਐਂਟੀਨਾ ਲਾਭ,ಆಂಟೆನಾ ಗಳಿಕೆ
ਐਂਟੀਨਾ ਉਚਾਈ,ಆಂಟೆನಾ ಎತ್ತರ
ਐਂਟੀਨਾ ਪ੍ਰੇਸ਼ਾਨ,ಪ್ರತಿರೋಧ
ਐਂਟੀਨਾ ਇੰਡਸੀਕਟੈਂਸ,ಆಂಟೆನಾ ಪ್ರಚೋದನೆ
ਐਂਟੀਨਾ ਪੈਟਰਨ,ಆಂಟೆನಾ ಮಾದರಿ
ਐਂਟੀਨਾ ਪਲੇਕਸਰ,ಪತಂಗ
ਐਂਟੀਨਾ ਧਰੁਵੀਕਰਨ,ಆಂಟೆನಾ ಧ್ರುವೀಕರಣ
ਐਂਟੀਨਾ ਪਾਵਰ,ಆಂಟೆನಾ ಶಕ್ತಿ
ਐਂਟੀਨਾ ਪਾਵਰ ਲਾਭ,ಆಂಟೆನಾ ವಿದ್ಯುತ್ ಲಾಭ
ਐਂਟੀਨਾ ਰੇਡੀਏਸ਼ਨ ਟਾਕਰਾ,ಆಂಟೆನಾ ವಿಕಿರಣ ಪ್ರತಿರೋಧ
ਐਂਟੀਨਾ ਪ੍ਰਤੀਕ੍ਰਿਆ,ಆಂಟೆನಾ ಪ್ರತಿಕ್ರಿಯೆ
ਐਂਟੀਨਾ ਰਿਫਲੈਕਟਰ,ಆಂಟೆನಾ ಪ್ರತಿಫಲನ
ਐਂਟੀਨਾ ਟਾਕਰੇ,ಆಂಟೆನಾ ಪ್ರತಿರೋಧ
ਐਂਟੀਨਾ ਗੂੰਜਕ ਬਾਰੰਬਾਰਤਾ,ಆಂಟೆನಾ ಪ್ರತಿಧ್ವನಿಸುವ ಆವರ್ತನ
ਐਂਟੀਨਾ ਸਪੇਸਿੰਗ,ಆಂತರಿಕ ಅಂತರ
ਐਂਟੀਨਾ ਸਵਿਚਿੰਗ ਰੂਮ,ಆಂಟೆನಾ ಸ್ವಿಚಿಂಗ್ ರೂಮ್
ਐਂਟੀਨਾ ਟਿ ing ਨਿੰਗ ਕੋਇਲ,ಆಂಟೆನಾ ಟ್ಯೂನಿಂಗ್ ಕಾಯಿಲ್
ਐਂਟੀਨਾ ਟਿ ing ਨਿੰਗ ਹੱਟ,ಆಂಟೆನಾ ಟ್ಯೂನಿಂಗ್ ಹಟ್
ਅਪਰਚਰ,ದ್ಯುತಿರಂಧ್ರ
ਅਪੋਜੀ,ಮಂಜುಗಡ್ಡೆಯ
ਅਪੋਜੀ ਰਾਕੇਟ,ಕಟಾ ರಾಕೆಟ್
ਉਪਕਰਣ,ಉಪಕರಣ
ਸਪੱਸ਼ਟ,ಸ್ಪಷ್ಟ
ਐਪਲਿਟ,ರಭಸ
ਐਪਲੀਕੇਸ਼ਨ,ಅನ್ವಯಿಸು
ਲਗਭਗ,ಅಂದಾಜು
Aquive ਹੱਲ,ಅಕ್ವೌಸ್ ಪರಿಹಾರ
ਆਰਕ,ಚಾಪ
ਆਰਕੀਟੈਕਚਰ,ವಾಸ್ತುಶಿಲ್ಪಿ
ਧੁਨੀ ਰਿਕਾਰਡਿੰਗ ਦਾ ਆਰਕਵਲ ਟ੍ਰਾਂਸਫਰ,ಧ್ವನಿ ರೆಕಾರ್ಡಿಂಗ್ ಆರ್ಕೈವಲ್ ವರ್ಗಾವಣೆ
ਪੁਰਾਲੇਖ,ಆರ್ಕೈವ್ಸ್
ਹਿਸਾਬ ਕੋਡਿੰਗ,ಅಂಕಗಣಿತದ ಕೋಡಿಂಗ್
ਆਰਮਚਰ,ಶಸ್ತ್ರಾಸ್ತ್ರ
ਆਰਮਟਿ ure ਟਰ ਹਵਾ,ಆರ್ಮೇಚರ್ ವಿಂಡಿಂಗ್
ਐਰੇ,ರಂಗ
ਅਰੈਸਟਰ,ಬಂಧಕ
ਬਿਆਨ,ಉಚ್ಚ್ಯ
ਆਰਟੀਫੈਕਟ (= ਆਰਟਫੈਕਟ),ಕಲಾಕೃತಿ (= ಕಲಾಕೃತಿ)
ਚੜ੍ਹਨਾ,ಏರಿಕೆ
ਆਕਾਰ ਅਨੁਪਾਤ,ಶೋಧ ಅನುಪಾತ
ਇਕੱਠਾ ਕਰਨ ਵਾਲਾ,ಷೋಬರೆ
ਜ਼ੋਰ,ಪ್ರತಿಪಾದಿಸುವುದು
ਅਸਾਈਨਮੈਂਟ,ನಿಯೋಜನೆ
ਅਸਾਈਨਮੈਂਟ ਚੈਨਲ,ನಿಯೋಜನೆ ಚಾನೆಲ್
ਅਸਮੈਟ੍ਰਿਕਲ,ಅಸಮ್ಮತಿಗೆ ಸಂಬಂಧಿಸಿದ
ਅਸਿੰਕਰੋਨਸ,ಅಸಮಕಾಲಿಕ
ਵਾਤਾਵਰਣ,ವಾತಾವರಣ
ਵਾਯੂਮੰਡਲ ਦਾ ਨੁਕਸਾਨ,ವಾತಾವರಣದ ನಷ್ಟ
ਵਾਯੂਮੰਡਲ ਸ਼ੋਰ,ವಾತಾವರಣದ ಶಬ್ದ
ਵਾਯੂਮੰਡਲ ਦਾ ਦਬਾਅ,ವಾತಾವರಣದ ಒತ್ತಡ
ਵਾਯੂਮੰਡਲ ਪ੍ਰਸਾਰ,ವಾತಾವರಣದ ಪ್ರಸರಣ
