English,Telugu
Adenine,అడెనిన్
Adenocorticotropin,అడెనోకార్టికోట్రోపిన్
Adenohypophysis,అడెనోహైపోఫిసిస్
Adenosin diphosphate,అడెనోసిన్ డిఫాస్ఫేట్
Adenosine deaminase,అడెనోసిన్ డీమినేస్
Adenosine monophosphate,అడెనోసిన్ మోనోఫాస్ఫేట్
Adenosine triphosphate (ATP),గ్రంధి ముడతలు
Adenylate cyclase,అడెనిలేట్ సైక్లేస్
Adhesive force,అంటుకునే శక్తి
Adipate,అడిపేట్
Adipocyte (fat cell),కొవ్వు పెండినవి
Adipose tissue,కొవ్వు కణజాలము
Adnate,Adnate
Adjoining community,ప్రక్కనే ఉన్న సంఘం
Adrenal,అడ్రినల్
Adrenal gland,అడ్రినల్ గ్రంథి
Adrenocorticotropic hormone (ACTH),ఎడ్రినల్ గ్రంథి
Adrenocorticotropic releasing hormone (ACTRH),ఎడ్రినల్ గ్రంథి యొక్క విడుదల హార్మోన్
Adsorbent,Adsorbent
Adsorption,శోషణ
Advanced chordate,అధునాతన కార్డేట్
Advantageous mutation,ప్రయోజనకరమైన మ్యుటేషన్
Adventitial,అడ్వెసిషియల్
Adventitious root,సాహసోపేతమైన రూట్
Adverse effect,ప్రతికూల ప్రభావం
Aedes,AEDES
Aeration of culture,సంస్కృతి వాయువు
Aerenchyma,ఏరెన్చైమా
Aerial,ఆకాశయాన
Aerial root,వైమానిక రూట్
Aerial shoot,వైమానిక షూట్
Aerobic respiration,ఏరోబిక్ శ్వాసక్రియ
Aerobic respiration,ఏరోబిక్ శ్వాసక్రియ
Aesthetics,సౌందర్యం
Aestivation,ఎస్టివేషన్
Aestivation,ఎస్టివేషన్
Afferent,అనుబంధ
Affinity chromatography,అనుబంధ క్రోమాటోగ్రఫీ
Afflicted organ,బాధిత అవయవం
Afforestation,అటవీ నిర్మూలన
Agamospermy,అగామోస్పెర్మీ
Agar,అగర్
Agarose,అగరోస్
Agarose gel eletrophoresis,అగరోస్ జెల్ ఎలెట్రోఫోరేసిస్
Agarose polymer gel,అగరోస్ పాలిమర్ జెల్
Agast,అగాస్ట్
Agave,కిత్తలి
Age distribution,వయస్సు పంపిణీ
Age pyramid,వయస్సు పిరమిడ్
Agglutination,సంకలనం
Aggregate,మొత్తం
Aggregate of follicle,ఫోలికల్ యొక్క మొత్తం
Aggregate of follicle,ఫోలికల్ యొక్క మొత్తం
Aggregation,సమూహనం
Aggressiveness,దూకుడు
Agitator system,ఆందోళన వ్యవస్థ
Agnatha,అగ్నాథ
Agouti,అగౌటి
Agranal chloroplast,అగ్రనాల్ క్లోరోప్లాస్ట్
Agranular,అగ్రన్యులర్
Agranulocyte,అగ్రనులోసైట్
Agriculture,వ్యవసాయం
Agroforestry,అగ్రోఫారెస్ట్రీ
Agrobacterium mediated,అగ్రోబాక్టీరియం మధ్యవర్తిత్వం
Agrobacterium tumefaciens,అగ్రోబాక్టీరియం ట్యూమెఫేసియన్స్
Agrochemical,వ్యవసాయ రసాయన
Agrochemical,వ్యవసాయ రసాయన
Agroclimatic zone,అగ్రోక్లిమాటిక్ జోన్
Agronomic trait,వ్యవసాయ లక్షణం
Agronomy,వ్యవసాయ శాస్త్రం
AIDS,ఎయిడ్స్
Air bladder,గాలి మూత్రాశయం
Air conditioner,వాతానుకూలీన యంత్రము
Air passage,గాలి మార్గం
Air pollution,వాయుకాలుష్యం
Air sac,ఎయిర్ శాక్
Air vacuole,ఎయిర్ వాక్యూల్
Air-breathing,గాలి-శ్వాస
Alain,అలైన్
Alary muscle,అలారి కండరం
Alaskan brown bear,అలాస్కాన్ బ్రౌన్ బేర్
Albino,అల్బినో
Albugo,అల్బుగో
Albumin,అల్బుమిన్
Albuminous seed,అల్బుమినస్ సీడ్
Albuminuria,అల్బుమినూరియా
Alburnum,అల్బర్నమ్
Alcedae,ఆల్కే
Aldehyede,ఆల్డెహీడ్
Aldosterone system,ఆల్డోస్టెరాన్ వ్యవస్థ
Aldosterone,ఆల్డోస్టెరాన్
Aleurone layer,అల్యూరోన్ పొర
Aleuroplast,అల్యూరోప్లాస్ట్
Alfalfa,అల్ఫాల్ఫా
Algal bloom,ఆల్గల్ బ్లూమ్
Algin,అల్జీన్
Alien DNA,గ్రహాంతర DNA
Alien species,గ్రహాంతర జాతులు
Alignment,అమరిక
Alignment,అమరిక
Alimentary canal,అలిమెంటరీ కెనాల్
Alimentary system,అలిమెంటరీ సిస్టమ్
Alismaceace,అలిస్మాసిస్
Alkaloid,ఆల్కలాయిడ్
Alkaline,ఆల్కలీన్
Alkaptonuria,అల్కాప్టోటోరియా
Allantois,అల్లాంటోయిస్
Allele frequency,యుగ్మ వికల్ప ఫ్రీక్వెన్సీ
Allele,యుగ్మ వికల్పం
Allelomorphic pair,అల్లెలోమోర్ఫిక్ జత
Allergen,అలెర్జీ
Alligator,ఎలిగేటర్
Allium cepa,అల్లియం సెపా
Allogamy,అయోగాగమి
Allograft,అల్లోగ్రాఫ్ట్
Allopatric speciation,అల్లోపాట్రిక్ స్పెసియేషన్
Allopolyploid,అల్లోపాలిప్లోయిడ్
Allosteric effect,అలోస్టెరిక్ ప్రభావం
Allosteric enzyme,అలోస్టెరిక్ ఎంజైమ్
Allosteric inhibitor,అలోస్టెరిక్ ఇన్హిబిటర్
Allosteric modulation,అలోస్టెరిక్ మాడ్యులేషన్
Allosteric site,అలోస్టెరిక్ సైట్
Allosteric inhibition,అలోస్టెరిక్ నిరోధం
Allotetraploid,అలోటెట్రాప్లాయిడ్
Alnus,ఆల్నస్
Aloe,కలబంద
Along the axon,ఆక్సాన్ వెంట
Alpha-antitrypsin,ఆల్ఫా-యాంటిట్రిప్సిన్
Alpha-lactalbumin,ఆల్ఫా-లాక్టల్బ్యూమిన్
Alpine climate condition,ఆల్పైన్ వాతావరణ పరిస్థితి
Alpine meadow,ఆల్పైన్ మేడో
Alpine zone,ఆల్పైన్ జోన్
Alstonia,ఆల్స్టోనియా
Alternaria,ఆల్టర్నేరియా
Alternate,ప్రత్యామ్నాయ
Alternation of generation,తరం యొక్క ప్రత్యామ్నాయం
Altitude sickness,ఎత్తు రుగ్మత
Altitude,ఎత్తు
Alveolar duct,అల్వియోలార్ డక్ట్
Alytes,అలిట్స్
Alzheimer's disease,అల్జీమర్స్ వ్యాధి
Amacrine cell,అమాక్రిన్ సెల్
Amaranthaceae,అమరాంతేసి
Amaranthus,అమరాంథస్
Ambient osmotic concentration,పరిసర ఓస్మోటిక్ గా ration త
Ambystoma,అంబిస్టోమా
Amide,అమైడ్
Amino acid,అమైనో ఆమ్లం
Amino acid acceptor,అమైనో యాసిడ్ అంగీకారం
Aminoacyl t RNA synthetase,అమైన్‌లాకారి
Aminoacylation,అమైనోఅసిలేషన్
Amitosis,అమిటోసిస్
Ammonia,అమ్మోనియా
Ammonification,అమ్మోనిఫికేషన్
Ammonotelism,అమ్మోనోటెలిజం
Amniocentesis,అమ్నియోసెంటెసిస్
Amniocentesis technique,అమ్నియోసెంటెసిస్ టెక్నిక్
Amniocyte,అమ్నియోసైట్
Amnion,అమ్నియోన్
Amniotic fluid,అమ్నియోటిక్ ద్రవం
Amniotic membrane,అమ్నియోటిక్ పొర
Amniotic sac,అమ్నియోటిక్ శాక్
Amoeba,అమీబా
Amoebocyte,అమీబోసైట్
Amoeboid,అమీబాయిడ్
Amoeboid lymphocyte,అమీబోయిడ్ లింఫోసైట్
Amoeboid movement,అమీబోయిడ్ కదలిక
Amorphous,నిరాకార
Amount,మొత్తం
Amphetamine,యాంఫేటమిన్
Amphibia,ఉభయచర
Amphibian,ఉభయచర
Amphibian,ఉభయచర
Amphioxus,యాంఫియోక్సస్
Amphioxus lanceolatus,యాంఫియోక్సస్ లాన్సోలాటస్
Amphipathic,యాంఫిపతిక్
Amphipathic lipid,యాంఫిపతిక్ లిపిడ్
Amphisarca,యాంఫిసార్కా
Ampicillin,ఆంపిసిలిన్
Ampulla,అంపుల్లా
Ampullary gland,అంపల్లరీ గ్రంథి
Amygdal,అమిగ్డాల్
Amygdale,అమిగ్డేల్
Amygdalin,అమిగ్డాలిన్
Amylase,అమిలేస్
Amyloplast,అమిలోప్లాస్ట్
Anabaena,అనాబెనా
Anabas,అనాబాస్
Anabolic pathways,అనాబాలిక్ మార్గాలు
Anabolism,అనాబాలిజం
Anacardiaceae,అనాకార్డియాసి
Anaemia,రక్తహీనత
Anaerobe,Anaerobe
Anaerobic fuel,వాయురహిత ఇంధనం
Anaerobic respiration,వాయురహిత శ్వాసక్రియ
Anaerobic sludge digester,వాయురహిత బురద డైజెస్టర్
Anaerobic,Anaerobic
Anaima,అనైమా
Anal,ఆసన
Anal,ఆసన
Anal aperture,ఆసన ఎపర్చరు
Anal cerci,అనల్ సెర్సీ
Anal loop,అనల్ లూప్
Anal style,ఆసన శైలి
Analogous,సారూప్యత
Analogous,సారూప్యత
Analogy,సారూప్యత
Analogy,సారూప్యత
Analysis,విశ్లేషణ
Anaphase,అనాఫేస్
Anatomic barrier,శరీర నిర్మాణ అవరోధం
Anatomical aspect,శరీర నిర్మాణ అంశం
Anatomist,శరీర నిర్మాణ శాస్త్రవేత్త
Anatomy,శరీర నిర్మాణ శాస్త్రం
Ancestor descendant sequence,పూర్వీకుల వారసుడు క్రమం
Ancestral lineage,పూర్వీకుల వంశం
Ancestral sequence,పూర్వీకుల క్రమం
Ancylostoma,అన్సైలోస్టోమా
Androecium,ఆండ్రోసియం
Androgen,ఆండ్రోజెన్
Anemia,రక్తహీనత
Anemone,ఎనిమోన్
Aneuploid,అనూప్లోయిడ్
Aneuploidy,అనూప్లోయిడి
Angina,ఆంజినా
Angiogram,యాంజియోగ్రామ్
Angiograph,యాంజియోగ్రాఫ్
Angiography,యాంజియోగ్రఫీ
Angioplasty,యాంజియోప్లాస్టీ
Angiosperm,యాంజియోస్పెర్మ్
Angiotensin,యాంజియోటెన్సిన్
Angiotensinogen,యాంజియోటెన్సినోజెన్
Angler fish,జాలరి చేప
Anguina,అంగునా
Anguis,అంగుయిస్
Animal,జంతువు
Animal,జంతువు
Animal dung,జంతువుల పేడ
Animal husbandry,పశుసంరక్షణ
Animal karyotyping,జంతువుల కార్యోటైపింగ్
Animal kingdom,జంతు సామ్రాజ్యం
Animal tissue,జంతువుల కణజాలం
Animalia,యానిమాలియా
Anion,అయాన్
Anisotropic band,అనిసోట్రోపిక్ బ్యాండ్
Annealing,ఎనియలింగ్
Annelid,అన్నెలిడ్
Annelida,అన్నెలిడా
Annual ring,వార్షిక రింగ్
Annulated,యాన్యులేటెడ్
Annule,యాన్యుల్
Anomalous type,క్రమరహిత రకం
Anopheles,అనోఫిల్స్
Ant eater,చీమ తినేవాడు
Antagonistic,విరోధి
Antarctic,అంటార్కిటిక్
Antenna,యాంటెన్నా
Antenna complex,యాంటెన్నా కాంప్లెక్స్
Antennal gland,యాంటెనల్ గ్రంథి
Anterior (ventral) gray horn,ముందరి (వెంట్రల్) బూడిద కొమ్ము
Anterior hypophysis,పూర్వ హైపోఫిసిస్
Anterior interventricular sulcus,పూర్వ జోక్య సల్కస్
Anther,Anther
Anther culture,పూర్వ సంస్కృతి
Antheridium,ఆంథెరిడియం
Antherozoid,అంటెరోజాయిడ్
Anthoceros,ఆంథోసెరోస్
Anthocerotopsida,ఆంథోసెరోటోప్సిడా
Anthrax,ఆంత్రాక్స్
Anthropogenic extinction,మానవ అంతరించిపోవడం
Anthropology,మానవ శాస్త్రం
Antibacterial,యాంటీ బాక్టీరియల్
Antibiotic penicillin,యాంటీబయాటిక్ పెన్సిలిన్
Antibiotic resistant,యాంటీబయాటిక్ రెసిస్టెంట్
Antibiotic(s),యాంటీబయాటిక్ (లు)
Antibody,యాంటీబాడీ
Antibody couple,యాంటీబాడీ జంట
Antibody mediated immunity,యాంటీబాడీ మధ్యవర్తిత్వ రోగనిరోధక శక్తి
Anticoagulant,ప్రతిస్కందకం
Anticodon loop,యాంటికోడాన్ లూప్
Antidepressant,యాంటిడిప్రెసెంట్
Antidiuretic hormone (ADH),అశ్లీల ముందు భాగము
Antigen gene,యాంటిజెన్ జన్యువు
Antigen-antibody complex,యాంటిజెన్-యాంటీబాడీ కాంప్లెక్స్
Antigenic determinant,యాంటిజెనిక్ డిటర్మినెంట్
Antinutritional factor,యాంటిన్యూట్రిషనల్ కారకం
Antioxidant,యాంటీఆక్సిడెంట్
Antipodal nucleus,యాంటీపోడల్ న్యూక్లియస్
Anti-sense RNA,యాంటీ సెన్స్ RNA
Antiviral protein,యాంటీవైరల్ ప్రోటీన్
Antrum,Antrum
Anucleate,అనుక్లీట్
Anus,పాయువు
Anxiety disorder,ఆందోళన రుగ్మత
Aortic arch,బృహద్ధమని వంపు
Aortic ganglion,బృహద్ధమని గ్యాంగ్లియన్
Aortic semilunar valve,బృహద్ధమని సెమిలునార్ వాల్వ్
Aortic valve,బృహద్ధమని కవాటం
APC (anaphase promoting complex),APC (అనాఫేస్ ప్రమోటింగ్ కాంప్లెక్స్)
Apelike ancestor,అపెలైక్ పూర్వీకుడు
Aphid,అఫిడ్
Aphrodite,ఆఫ్రొడైట్
Apical dominance,ఎపికల్ ఆధిపత్యం
Apical pad,ఎపికల్ ప్యాడ్
Apiculture,ఎపికల్చర్
Apis indica,APIS ఇండికా
Aplanospore,అప్లానోస్పోర్
Aplysia,అప్లిసియా
Apocarpae,అపోకార్పే
Apocarpous,అపోకార్పస్
Apocarpous ovary,అపోకార్పస్ అండాశయం
Apocrine gland,అపోక్రిన్ గ్రంథి
Apoenzyme,అపోఎంజైమ్
Apomict,అపోమిక్
Apomixis,అపోమిక్సిస్
Apoplasm,అపోప్లాజమ్
Apoplastic pathway,అపోప్లాస్టిక్ మార్గం
Apoptosis,అపోప్టోసిస్
Apparatus,ఉపకరణం
Appendicular skeleton,అనుబంధ అస్థిపంజరం
Appendix of the caecum,కర్ణభేరి యొక్క అనుబంధం
Apple snail,ఆపిల్ నత్త
Aquaculture,ఆక్వాకల్చర్
Aquaporin,ఆక్వాపోరిన్
Aquatic amphibian,జల ఉభయచర
Aquatic form,జల రూపం
Aquatic habitat,జల ఆవాసాలు
Aquatic organism,జల జీవి
Aquatic plant,జల మొక్క
Aquatic respiration,జల శ్వాసక్రియ
Aqueous fluid,సజల ద్రవం
Aqueous humur,సజల హ్యూమర్
Aqueous intra-cellular fluid,సజల ఇంట్రా-సెల్యులార్ ద్రవం
Aqueous sample,సజల నమూనా
Aqueous solution,సజల ద్రావణంలో
Aquila,అక్విలా
Arabidopsis,అరబిడోప్సిస్
Arachnida,అరాచ్నిడా
Arachnoid,అరాక్నోయిడ్
Araneus,అరేనియస్
Arborescent,అర్బోర్సెంట్
Arborescent lycopod,అర్బోర్సెంట్ లైకోపాడ్
Archaebacteria,ఆర్కిబాక్టీరియా
Archegonium,ఆర్కిగోనియం
Archipelago,ద్వీపసమూహం
Arctic,ఆర్కిటిక్
Arctic tern,ఆర్కిటిక్ టెర్న్
Arctic tundra,ఆర్కిటిక్ టండ్రా
Ardea,ఆర్డియా
Areolar tissue,ఐసోలార్ కణజాలం
Argemone (prickly poppy),రుజువు
Argemone mexicana,ఆర్గెమోన్ మెక్సికానా
Arginine,అర్జినిన్
Arid region,శుష్క ప్రాంతం
Aristolochiaceae,అరిస్టోలోచియాసియా
Arm feeding,చేయి దాణా
Armyworm,ఆర్మీవార్మ్
Aroid,Aroid
Aroma,వాసన
Arrester,అరేస్టర్
Artemisia,ఆర్టెమిసియా
Arterial systolic,ధమనుల సిస్టోలిక్
Arteriosclerotic,ఆర్టిరియోస్క్లెరోటిక్
Arthropod,ఆర్థ్రోపోడ్
Arthritis,ఆర్థరైటిస్
Arthropoda,ఆర్థ్రోపోడా
Articular cartilage,కీలు మృదులాస్థి
Articulate,ఉచ్చారణ
Articulated,ఉచ్చరించబడింది
Artificial pacemaker,కృత్రిమ పేస్‌మేకర్
Artificial selection,కృత్రిమ ఎంపిక
Artocarpus heterophyllus,ఆర్టోకార్పస్ హెటెరోఫిల్లస్
Asbestos fibre,ఆస్బెస్టాస్ ఫైబర్
Asbestosis,ఆస్బెస్టాసిస్
Ascaris,అస్కారిస్
Ascending chromatography,ఆరోహణ క్రోమాటోగ్రఫీ
Ascidia,అస్సిడియా
Ascidian,అస్సిడియన్
Ascocarp,అస్కోకార్ప్
Ascomycetes,అస్కోమైసెట్స్
Ascorbic acid,ఆస్కార్బిక్ ఆమ్లం
Ascospore,అస్కోస్పోర్
Ascus,అస్కస్
Aseptate,Aseptate
Asexual reproduction,అలైంగిక పునరుత్పత్తి
Asexual spore,అలైంగిక బీజాంశం
Asparagine synthetase,ఆస్పరాజిన్ సింథటేస్
Asparagus,ఆస్పరాగస్
Aspartic acid,అస్పార్టిక్ ఆమ్లం
Aspergillus niger,ఆస్పెర్‌గిల్లస్ నైగర్
Aspergillus,ఆస్పెర్‌గిల్లస్
Asphodelus tenuifolius,అస్ఫోడెలస్ టెనుఫోలియస్
Aspirin,ఆస్పిరిన్
Assay,పరీక్ష
Assemblage,సమావేశం
Assimilation efficiency,సమీకరణ సామర్థ్యం
Assimilatory root,అస్సిమిలేటరీ రూట్
Assisted reproductive technique,సహాయక పునరుత్పత్తి సాంకేతికత
Association area,అసోసియేషన్ ప్రాంతం
Associative symbiosis,అసోసియేటివ్ సహజీవనం
Assortment and recombination,కలగలుపు మరియు పున omb సంయోగం
Assortment of factor,కారకం యొక్క కలగలుపు
Astacus,అస్టాకస్
Asteraceae,ఆస్టెరేసి
Asterales,ఆస్టారేల్స్
Asteroid,గ్రహశకలం
Asthma,ఉబ్బసం
Astragalus gummifer,ఆస్ట్రగలస్ గుమ్మర్
Astral spindle pole,జ్యోతిష్య కుదురు పోల్
Astronomer,ఖగోళ శాస్త్రవేత్త
Asymmetric karyotype,అసమాన కార్యోటైప్
Asymmetrical,అసమాన
Atheromatous,అథెరోమాటస్
Atherosclerosis,అథెరోస్క్లెరోసిస్
Atherosclerotic plaque,అథెరోస్క్లెరోటిక్ ఫలకం
Atlas,భౌగోళిక పటం
Atlas vertebra,అట్లాస్ వెన్నుపూస
Atmosphere,వాతావరణం
Atmospheric,వాతావరణం
Atmospheric inputs,వాతావరణ ఇన్పుట్లు
Atomic force microscope,అటామిక్ ఫోర్స్ మైక్రోస్కోప్
Atom,అణువు
ATP ase,ATP ASE
Atrial contraction,కర్ణిక సంకోచం
Atrial fibrillation,కర్ణిక దడ
Atrial natriuretic factor (ANF),కర్ణిక మధ్యస్థ
Atrial node,కర్ణిక నోడ్
Atrial systole,కర్ణిక సిస్టోల్
Atrioventricular node,అట్రియోవెంట్రిక్యులర్ నోడ్
Atrioventricular valve,అట్రియోవెంట్రిక్యులర్ వాల్వ్
Atrium (peatria),కర్ణిక
Atrium (peatria),కర్ణిక
Atropa belladonna,అట్రోపా బెల్లడోన్నా
Atrophy,క్షీణత
Atropine alkaloid,అట్రోపిన్ ఆల్కలాయిడ్
Attachment plate,అటాచ్మెంట్ ప్లేట్
Auditory cortex,శ్రవణ వల్కలం
Aulosira,Ululosira
Auricle (auricula),మూత్రకద్రవయ ఎముక
Auricle (auricula),మూత్రకద్రవయ ఎముక
Auricle (auricula),మూత్రకద్రవయ ఎముక
Auricle (auricula),మూత్రకద్రవయ ఎముక
Australopithecines,ఆస్ట్రాలోపిథెసిన్లు
Autecology,ఆటోకాలజీ
Automated DNA sequencer,ఆటోమేటెడ్ DNA సీక్వెన్సర్
Autopolyploid,ఆటోపోలిప్లోయిడ్
Autoanalyser,ఆటోనలైజర్
Autogamy,ఆటోగామి
Autogamy,ఆటోగామి
Autograft,ఆటోగ్రాఫ్ట్
Autoimmune disease,స్వయం ప్రతిరక్షక వ్యాధి
Automobile exhaust,ఆటోమొబైల్ ఎగ్జాస్ట్
Autonomic (involuntary) nervous system,అటానమిక్ (అసంకల్పిత) నాడీ వ్యవస్థ
Autophagic lysosome,ఆటోఫాగిక్ లైసోజోమ్
Autoploid,ఆటోప్లాయిడ్
Autopodium,ఆటోపోడియం
Autopolyploid,ఆటోపోలిప్లోయిడ్
Autosomal chromorome,ఆటోసోమల్ క్రోమోరోమ్
Autosomal gene,ఆటోసోమల్ జన్యువు
Autosome,ఆటోసోమ్
Autotetraploid,ఆటోటెట్రాప్లాయిడ్
Autotomy,ఆటోటోమి
Autotriploid variety,ఆటోట్రిప్లోయిడ్ రకం
Autotroph,ఆటోట్రోఫ్
Autumn wood,శరదృతువు కలప
Auxanograph,అక్సనోగ్రాఫ్
Auxanometer,అక్సనోమీటర్
Auxetic growth,సహాయక పెరుగుదల
Auxin,ఆక్సిన్
Auxotroph,ఆక్సోట్రోఫ్
A V bundle,ఒక v బండిల్
Aves,ఏవ్స్
Avicennia,అవిసెన్నియా
Awn,Awn
Axial skeleton,అక్షసంబంధ అస్థిపంజరం
Axile,ఆక్సైల్
Axillary bud,ఆక్సిలరీ బడ్
Axillary,ఆక్సిలరీ
Axis vertebra,అక్షం వెన్నుపూస
Axon,ఆక్సాన్
Axonal membrane,అక్షసంబంధ పొర
Axonally,అక్షసంబంధమైన
Axoneme,ఆక్సోనెమ్
Azospirillum,అజోస్పిరిల్లమ్
Azotobacter,అజోటోబాక్టర్
Azygous vein,అజైగస్ సిర
Bacillus anthracis,బాసిల్లస్ ఆంత్రాసిస్
Bacillus thuringiensis (Bt),కర్రవు
Bacillus,బాసిల్లస్
Bacteria,బాక్టీరియా
Bacterial,బాక్టీరియల్
Bacterial artificial chromosome (BAC),బాక్టీరియా కృత్రిమ క్రోమోజోమ్
Bacterial pathogen,బాక్టీరియల్ వ్యాధికారక
Bacterial plasma membrane,బాక్టీరియల్ ప్లాస్మా పొర
Bacterial strain,బాక్టీరియల్ స్ట్రెయిన్
Bacteriological,బాక్టీరియాలజికల్
Bacteriological nomenclature,బాక్టీరియోలాజికల్ నామకరణం
Bacteriophage,బాక్టీరియోఫేజ్
Bacterium,బాక్టీరియం
Baculovirus,బాకులోవైరస్
Bagging,బ్యాగింగ్
Balaenoptera,బాలెనోప్టెరా
Balanced polymorphism,సమతుల్య పాలిమార్ఫిజం
Balancing selection,ఎంపిక బ్యాలెన్సింగ్
Balanoglossus,బాలనోగ్లోస్సస్
Balanus,బాలనస్
Balausta,బాలాస్టా
Ball and socket joint,బంతి ballపిరి
Balloon catherization,బెలూన్ కేథరైజేషన్
Bam H I,బామ్ హెచ్
Bamboo-shoot,వెదురు-షూట్
Banded anteater,బ్యాండెడ్ యాంటీటర్
Banding technique,బ్యాండింగ్ టెక్నిక్
Barbiturate,బార్బిటురేట్
Bare rock,బేర్ రాక్
Barrier,అడ్డంకి
Bark,బెరడు
Barnacle,బార్నాకిల్
Basal body,బేసల్ బాడీ
Basal cover,బేసల్ కవర్
Basal ganglion,బేసల్ గ్యాంగ్లియన్
Basal pad,బేసల్ ప్యాడ్
Base,బేస్
Base pair,బేస్ జత
Basement membrane,బేస్మెంట్ పొర
Basidiocarp,బాసిడియోకార్ప్
Basidiomycetes,బాసిడియోమైసెట్స్
Basidiospore,బాసిడియోస్పోర్
Basidium,బాసిడియం
Basifixed,బాసిఫిక్స్డ్
Basilar membrane,బాసిలార్ పొర
Basipetal internode order,బాసిపెటల్ ఇంటర్నోడ్ ఆర్డర్
Basophil,బాసోఫిల్
Basophilic,బాసోఫిలిక్
Batesian mimicry,బేట్సియన్ మిమిక్రీ
Bath sponge,బాత్ స్పాంజ్
Bath sponge,బాత్ స్పాంజ్
Bauhinia,బౌహినియా
Beat,బీట్
Beehive,తేనెటీగ
Beewax,బీవాక్స్
Begonia,బిగోనియా
Behavioural adaptation,ప్రవర్తనా అనుసరణ
Bel,బెల్
Belladonna,బెల్లడోన్నా
Benign tumour,నిరపాయమైన కణితి
Benthic,బెంథిక్
Benzene hexachloride (BHC),బెంజీన్ హెక్సాక్లోరైడ్ (బిహెచ్‌సి)
Benzene,బెంజీన్
Berenil,బెరెనిల్
Berry,బెర్రీ
Beta diversity,బీటా వైవిధ్యం
Betula,బెటులా
B-globin,బి-గ్లోబిన్
Bhang,భంగ్
Bhetki,భెట్కి
