ab initio,"आरंभत, प्रारंभापासून"
area headquarter,क्षेत्रीय मुख्यालय
argument,"युक्‍तिवाद, तर्क"
arise,"उद्‌भवणे, उगवणे"
armed forces,सशस्त्र बले
arrangement,व्यवस्था
arrear,"1. थकबाकी 2. शिल्लक, शेष, बाकी"
arrear statement,थकबाकी विवरणपत्र
arrival report,"आगमन अहवाल, सुचना"
arrogance,उद्धटपणा
arsenal,"दारूगोळा कारखाना, शस्त्रागार"
article,"लेख, अनुच्छेद, वस्तु"
articles,नियमावली
articles of association,"संस्थापन नियमावली, संस्थेचे अंतर्गत नियम"
as is where is,जसे आहे जिथे आहे
ascending order,आरोही क्रम
ascertain,खात्री करून घेणे
aspect,"अभिमुखता, बाजू, पक्ष, पैलू"
aspersion,"शिंतोडे, लांछन"
assassination,हत्या
assault,हमला
assemble,"जुळवणी करणे, एकत्र करणे, एकत्र जमणे"
assembly,"सभा, जमाव"
assent,अनुमति
assert,"ठाम सांगणे, प्रपादन करणे"
assessee,"करपात्र व्यक्‍ति, निर्धारती"
assessment,"आकारणी करणे, मूल्यनिर्धारण, निर्धारण, आकरणी"
assessment year,"आकारण वर्ष, निर्धारण वर्ष"
assessor,"निर्धारक, न्यायसहायक"
assets,"माल मत्ता, संपत्‍ती"
assignee,"अभिहस्तांकिती, मुखत्यार"
assignment,नेमून दिलेले काम
assignor,अभिहस्तांकनकर्ता
assistance,सहाय्यक
associate,"सहयोगी, सहयोगी होणे, संबंध जोडणे, संबंध असणे"
association,संघ
assumption of charge,कार्यभार ग्रहण करणे
assurance,"आश्‍वासन, वीमा, हस्तांतरण पत्र"
assurance company,वीमा कंपनी
assure,"आश्‍वासन देणे, विमा उतरणे"
at discount,च्यावर सवलत
at par,"सममूल्य, सममूल्याने"
at premium,"अधिमूल्य, अधिमूल्याने"
atomic power,परमाणु शक्‍ति
attach,1. संलग्न 2. जप्‍ती आणणे 3. टाच आणणे
attached office,संलग्न कार्यालय
attachment,"जप्‍ती, टाच, टाचण"
attachment order,जप्‍ती आदेश
attainment,"उपलब्धि, प्राप्‍ती"
attempt,प्रयत्‍न करणे
attendance,"उपस्थिती, हजेरी"
attendance register,हजेरी पुस्तिका
attendance slip,उपस्थिती पावती
attention,लक्ष
attestation,"साक्षांकन, अनुप्रमाणन"
attested copy,"साक्षांकित प्रति, अनुप्रमाणीत प्रति"
attitude,"शरीराची स्थिति, मनाचार्कल"
attractive salary,आकर्षक वेतन
auction,लिलाव
auction sale,लिलावी विक्री
auctioneer,लिलाव करणारा
audience,"श्रोता, दर्शक, श्रोतृसमुदाय"
audio-visual display,श्रृव्य-दृश्य-प्रदर्शक
audio-visual publicity,श्रृव्य-दृश्य-प्रचार
audit,लेखापरीक्षा
audit objection,लेखापरिक्षण आक्षेप
audit paragraph,लेखा परिक्षा परिच्छेद
audit report,लेखा परिक्षा अहवाल
audited accounts,परीक्षित लेखा
audited balance sheet,लेखा परिक्षण अहवालपत्रक
auditing,लेखापरीक्षण
auditor's report,लेखा परिक्षक अहवाल
auditorium,प्रेक्षागृह
austerity,"तपश्‍चर्या, अतिशय साधेपणा, निगृहीपणा"
austerity measures,निग्रही उपाय
authentic,प्रामाणिक
authorised representative,अधिकृत प्रतिनिधी
authoritative,अधिकृत
authority,"प्राधिकारी, अधिकारी, विद्‌वान"
authority letter,अधिकार पत्र
authorized,अधिकृत
authorized capital,अधिकृत भांडवल
automatic,स्वंयचलित
autonomous,स्वायत्‍त
autonomous body,स्वायत्त संस्था
autonomy,स्वायत्त
auxiliary,"सहाय्यकारी, साह्‌यकारी"
available,उपलब्ध
average,"सरासरी, सामान्य"
average leave,सामान्य रजा
aversion,"विमुखता, तिटकारा, अनिच्छा"
avert,टाळणे
avoid,"पासून दूर राहणे, टाळणे"
avoidance of tax,"कर देण्यापासून वाचणे, कर भरणा टाळणे"
awaited,प्रतीक्षित
award,"1. जागवणे, जागे करणे 2. बक्षिस 3. निर्णय 4. प्रदान करणे, पुरस्कार"
awarding authority,प्रदत्त अधिकारी
awareness,जागरुकता
back log,"अपूर्त, रिक्‍त पदे, अनुशेष"
back out,माघार घेणे
back reference,मागील संदर्भ
back up,पाठिंबा देणे
backdated,मागील दिनांकित
background,पार्श्वभूमि
backward classes,मागासलेला वर्ग
backward tribe,मागास जमाती
bad bargain,"महाग सौदा, घाटयाचा सौदा"
bad behaviour,"दुर्वर्तन, गैरवर्तन"
bad character,"दुः शील (सा) 2. दुर्जन, चरित्रहिन"
bad climate allowance,वाईट हवामान भत्ता
bad conduct,दुराचार
bad debt,बुडीत कर्ज
baggage,प्रवासी सामान
bail,"जमानत, जमानतीवर सोडणे"
balance,"संतुलन करणे, समतोल असणे, शिल्लक"
balance brought down,मागीलशिल्लक
balance brought forward,अधिकची शिल्लक
balance sheet,ताळेबंद
balanced budget,संतुलित बजट
ballot,गुप्‍त मत
ballot box,मतपेटी
ballot paper,मतपत्रिका
ban,बंदीघालणे
bank,बँक
bank account,बँक खाते
bank balance,बँक शिल्लक
bank charges,बँक दर
bank guarantee,बँक हमीपत्र
bank holiday,बँक अवकाश
bank rate,बँकेचा दर
bank reconciliation,बँकेचे समाधान
bank security,बँकेचे जामिन
bank statement,बँकेचे विवरणपत्र
banking facility,बँकेची सुविधा
banking hours,बँकेचा कार्यकाळ
banking transaction,बँकेचा व्यवहार
bankrupt,दिवाळखोर
banquet,मेजवानी
bar council,विधि परिषद
bargain,किफायतशीर सौदा
bargaining,सौदेबाजी
barren land,"नापीक जमीन, बरड जमीन"
barter,वस्तुविनिमय
base,"आधार, पाया, तळ"
base year,आधार वर्ष
baseless,निराधार
basement,तळघर
basic,"1. मूळ, मूलभूत 2. पायाभूत"
basic intelligence,मूळ बौद्धिक पात्रता
basic pay,मूळ वेतन
basic scale of pay,मूळ वेतनमान
basic training,"मूलभूत प्रशिक्षण, पायाभूत शिक्षण"
basically,मूलतः
basis,"1. आधार 2. बैठक, पाया 3. मूळसिध्दान्त"
batch,"1. तुकडी 2. जुडी, 3. घाणा, संच"
batch number,"वर्गक्रमांक, वर्ग संख्या"
bearer cheque,"धारक चैक, धनादेश"
before cited,पूर्व-कथित
behaviour,"व्यवहार, वर्तनुक"
belief,विश्‍वास
below par,"अवमूल्य, अवमूल्याने"
bench,"आसन, न्यायपीठ"
benchmark,स्थिर चिन्ह
beneficial,"हितकारी, लाभप्रद"
beneficiary,"लाभाधिकारी, लाभार्थी"
benefit,"लाभ, हित"
benefit of doubt,संशयाचा फायदा
benevolence,"लोकहितेच्छा, हितकारिता"
benevolent fund,"लोकहितैशीनिधी, हितकारी निधी"
bequeath,मृत्युपत्राने देणे
bequest,"मृत्युपत्रितदेणगी, मृत्यूपत्राप्रमाणे दिलेली वस्तू"
bereaved,मृत्युमूळे दुखी
best endeavours,उत्कृष्‍ट प्रयत्‍न
betterment,"सुधार, सुधारणा"
bias,"वळण, पूर्वग्रह"
biased opinion,पूर्वग्रह मत
bibliography,संदर्भ ग्रंथ
bicameral,"द्विसदन, द्विसदनीय"
biennial,द्वैवार्षीक
bifurcate,"दोन भाग करणे, दुभागणे"
bigamy,द्विविवाहित्व
bilateral,उभयपक्षी
bilingual,"द्विसदन, द्विसदनीय"
bill,"विधेयक, बिल"
bill of exchange,विनिमय पत्र
bimonthly report,द्वैमासीक अहवाल
binding,बंधनकारक
biodata,जीवनवृत्त
bipartite,"द्विपक्षीय, द्विदलीय"
bipartite agreement,द्विपक्षीय करार
birth anniversary,जयंति
birth certificate,जन्म प्रमाणपत्र
birth control,संतति नियमण
birth date,"जन्मदिनांक, जन्मतारीख"
birth place,जन्मस्थान
birth rate,जन्मदर
biweekly,"पाक्षिक, अर्धसप्‍ताहिक, द्वैसप्‍ताहिक"
black economy,काळी अर्थव्यवस्था
black list,काळी यादि
black market,काळा बाजार
blackmail,धमकीने पैसे उकळणे
blame,दोष
blank cheque,कोरा धनादेश
blanket deal,व्यापक सौदा
blanket order,व्यापक आदेश
blast,"धमाका, विस्फोट"
blending,मिसळणे
block,"अडवणे, कोंडून ठेवणे, खंड, ठोकळा, अवरोध"
block letter,ठळक अक्षर
blockade,"नाकेबंदी, अवरोध"
blocked capital,अवरुध्द भांडवल
blood donation,रक्‍तदान
blood relations,रक्‍ताचे नाते
blue collar job,काळेधंदे
blueprint,"नीलप्रत, आराखडा"
bluff,थाप
board,मंडळ
board of directors,संचालक मंडळ
board of revenue,राजस्व मंडळ
boarding and lodging,भोजन व आवास योजना
body,"शरिर, देह, संस्था, निगम"
bodyguard,अगरंक्षक
bogus voucher,"नकली पावती, खोटी पावती"
bonafides,वास्तविक
bond,"बंध, रोखा"
bonded labour,बांधील मजूर
bonus,पगाराव्यतिरिक्‍त दिली जाणारी रक्कम
book of reference,संदर्भ पुस्तिका
book value,"खाता मूल्य, पुस्तक मूल्य"
book-keeper,मुनीम
book-keeping,लेखाकार्य
booking office,"नोंदणी कार्यालय, तिकिट घर"
booklet,पुस्तिका
booth,"मंडप, कोष्‍ठ"
booth capturing,मतदान कोष्‍ठावर कब्जा करणे
border allowance,सीमा भत्ता
border line,सीमारेखा
borrower,"उसने घेणारा, कर्जदार"
borrowing power,ऋणदान शक्ती
boss,"मालक, वरचा अधिकारी"
bottleneck,गत्यावरोध
boundary,सीमा
boycott,बहिष्कार
bracket,कोष्‍ठक
brain drain,प्रतिभा पलायन
branch office,शाखा कार्यालय
breach,"भंग, तोडणे, तंटा"
breach of agreement,करार भंग
breach of confidence,विश्‍वास भंग
breach of contract,संविदा भंग
breach of discipline,अनुशासन भंग
breach of law,"विधिभंग, कायदा भंग"
breach of peace,शातंता भंग
breach of privilege,विशेषाधिकार भंग
breach of promise,वचन भंग
breach of rule,नियम भंग
breach of trust,विश्‍वास भंग
break down,"ठप्प पडणे, कोलमडणे, बिघाड"
break in service,नोकरी खंडता
break-up,विभागणी
breakage,तोड-फोड
breed,"निपज, पैदास, जात"
bribe,लाच
brief,संक्षिप्‍त
brief resume,संक्षिप्‍त वृत्त
briefing,"संक्षिप्‍तकरण करणे, सार सांगणे"
brilliant record,"कीर्तिमान, तेजस्वि"
bring into notice,"लक्षात आणणे, निदर्शनास आणणे"
broadcast,प्रसारण
broadsheet,बृहतपत्रक
brochure,माहिती पुस्तक
brokerage,दलाली
brought forward (b/f),पुढे नेलेला
budget allocation,अर्थसंकल्पाचे विभागवार वाटप
budget estimate,अर्थसंकल्पीय अंदाज
budget provision,अर्थसंकल्पातील तरतूद
bugetary control,नियंत्रित अर्थसंकल्प
building,"मांडणी, निर्माण, बांधणी, भवन, इमारत"
bulk,"ठोक, अधिकांश, ढिग"
bulk purchase,ठोक खरेदी
bulletin,बातम्या
bumper crop,भरघोष पिक
bunching of vacancies,"रिक्‍त पदांचे एकत्रिकरण, अनुशेष भर्ती"
bungling,घोटाळा
bureaucracy,"नोकरशाही, अधिकारी वर्ग"
bureaucrat,नोकरशहा
business class,"व्यवसायी वर्ग, व्यापारी वर्ग"
business hours (= hours of business),कामाकाजाची वेळ
businessman,"व्यापारी, व्यवसायिक"
buy-back,प्रतिक्रय
buyer,"खरेदीदार, क्रेता, ग्राहक"
by hand,हस्ते
by post,पोस्टाने
bye election (by election),पोट निवडणूक
cabin baggage,सामानघर
cabinet,"1. मंत्रिमंडळ 2. खणांचे, कपाट, मंजूषा 3. मंत्रणागृह"
cadre,संवर्ग पद
calamity,आपत्ति
Calculation,"1.परिगणना 2. अजमास 3. हिशेब, गणित"
calendar year,कलेंडर वर्ष
campaign,"मोहीम, अभियान"
campus,"विद्यालयक्षेत्र, विद्यापीठ क्षेत्र, परिसर"
campus interview,परिसर मूलाखत
cancel,रद्द करणे
cancellation,रद्यीकरण
candidate,उमेदवार
candidature,उमेदवारी
canvassing,प्रचार
capability,समर्थता
capable,1.शक्‍त 2. समर्थ
capacity,1. सामर्थ्य 2. क्षमता 3. धारकता
capital,"1. मुख्य, महत्वाचा, उत्कृष्‍ट 2. भांडवली 3. राशीभूत, राजधानी"
capital expenditure,भांडवली खर्च
capital punishment,"देहांत शिक्षा, मृत्युदंड"
capitation fee,प्रति व्यक्ति शुल्क
capture,1.पकडणे 2. हस्तगत करणे
care,1. काळजी 2. सावधगिरी3. देखरेख 4. जपणूक
career,"1. आयुष्यक्रम 2. जीविका 3. प्रगतिपट, वृत्ति"
career development,वृत्ति विकास
caretaker government,काळजीवाहू सरकार
carried forward (c/f),पूढे नेणे
carry forward,1. पुढील पानावर घेणे 2. पुढे नेणे
carry over,पुढे नेणे
carrying cost,परिवहन मूल्य
cartage,गाडी भाडे
case,"1. स्थिति 2. विषय 3. उदाहरण, प्रकरण, बाब, वाद"
case study,स्थिति अध्ययन
cash,"नगद, रोख रक्कम"
cash balance,रोख शिल्लक
cash book,रोकडवही
cash card,कैश कार्ड
cash certificate,रोखपत्र
cash counter,रोकड खिडकी
cash crop,नगदी पीक
cash discount,रोख सवलत
cash down,एकमुश्‍त नगद
cash in hand,हातातील रक्कम
cash memo,रोखीचे टिपण
cash payment,"रोख वेतन, रोखपगार"
caste,जात
caste certificate,जात प्रमाणपत्र
casting vote,निर्णायक मत
casual,"1. सहज 2. नैमित्तिक, प्रासंगिक"
casual labour,नैमित्तिक कामगार
casual leave,"नैमित्तिक रजा, आकस्मिक रजा"
casual vacancy,आकस्मिक रिक्त पद
casualty,1. दुर्घटना 2. अपघात 3. मृत वा जखमी
catalogue,"1. तालिका 2. सूची, सूचीपत्र"
categorical,1. ठाम 2. सुस्पष्‍ट 3. निरूपाधिक
Category,"1.प्रवर्ग 2. प्रकार, श्रेणी"
catering service,खान-पान सेवा
caution,"1. सावधगिरी 2. ताकीद, इषारा, चेतावनी, खबरदारी"
caution money,"तारण, जमानत राशि"
cease fire,युद्धविराम
"ceiling (as of ""price"")","कमाल किंमत, जास्तित जास्त किमंत, कमालदर"
celebration,महोत्सव
cell phone,भ्रमण-ध्वनि यंत्र
censor,"कठोर समालोचक, मुद्रणनियता"
censure,1. निंदा 2. ठपका 3. निंदा करणे
censure motion,निंदाव्यंजक प्रस्‍ताव
census,"1.जनगणना 2. पशु-गणना 3. प्रगणना, शिरगणती, खानेसुमारी"
central cess,"केंद्रीय कर, केंद्रीय सारा"
Central Civil Service (CCS) rules,केंद्रीय दिवाणी सेवा नियमावली
central excise,केंद्रीय उत्पादन शुल्क
central government,"केंद्र सरकार, केंद्र शासन"
central office,केंद्रीय कार्यालय
central revenues,केंद्रीय राजस्व
