Marathi,Punjabi
परिपूर्ण गती,ਪੂਰਨ ਗਤੀ
परिपूर्ण गती,ਪੂਰਨ ਗਤੀ
परिपूर्ण संगीत,ਪੂਰਨ ਸੰਗੀਤ
परिपूर्ण निरीक्षण,ਪੂਰਨ ਨਿਰੀਖਣ
परिपूर्ण ओम,ਪੂਰਨ ਓਮ
परिपूर्ण अभिमुखता,ਪੂਰਨ ਸਥਿਤੀ
परिपूर्ण विद्युत ऋणात्मकता,ਪੂਰਨ ਇਲੈਕਟ੍ਰੋਨੈਗੇਟਿਵਿਟੀ
परिपूर्ण गुरुत्व,ਪੂਰਨ ਗੰਭੀਰਤਾ
परिपूर्ण दबाव,ਪੂਰਨ ਦਬਾਅ
परिपूर्ण मालमत्ता,ਪੂਰਨ ਸੰਪਤੀ
परिपूर्ण स्केलर,ਪੂਰਨ ਸਕੇਲਰ
तापमानाचे अंतिम प्रमाण*,ਤਾਪਮਾਨ ਦਾ ਪੂਰਨ ਪੈਮਾਨਾ*
"परिपूर्ण समक्रमण, परिपूर्ण समक्रमण","ਸੰਪੂਰਨ ਸਮਕਾਲੀ, ਸੰਪੂਰਨ ਸਮਕਾਲੀ"
पूर्ण ताण,ਪੂਰਨ ਤਣਾਅ
परिपूर्ण सममिती,ਪੂਰਨ ਸਮਰੂਪਤਾ
परिपूर्ण गती शरीर,ਪੂਰਨ ਗਤੀ ਸਰੀਰ
परिपूर्ण एकक प्रणाली,ਪੂਰਨ ਯੂਨਿਟ ਸਿਸਟਮ
परिपूर्ण तापमान,ਪੂਰਨ ਤਾਪਮਾਨ
परिपूर्ण वेळ,ਪੂਰਾ ਸਮਾਂ
निरपेक्ष एकके,ਪੂਰਨ ਇਕਾਈਆਂ
परिपूर्ण मूल्य,ਸਹੀ ਮੁੱਲ
पूर्णांक कॅल्क्युलेटर,ਪੂਰਨ ਅੰਕ ਕੈਲਕੁਲੇਟਰ
परिपूर्ण वेग,ਪੂਰਨ ਗਤੀ
परिपूर्ण चिकटपणा,ਪੂਰਨ ਲੇਸ
परिपूर्ण वजन,ਪੂਰਨ ਭਾਰ
पूर्ण शून्य*,ਪੂਰਨ ਜ਼ੀਰੋ*
शून्याचा पूर्ण विभाजक,ਜ਼ੀਰੋ ਦਾ ਪੂਰਨ ਭਾਜਕ
शोषून घेणे,ਸੋਖਣਾ
शोषक निर्देशांक*,ਸ਼ੋਸ਼ਣ ਸੂਚਕਾਂਕ*
शोषलेली ऊर्जा,ਲੀਨ ਊਰਜਾ
"शोषक, शोषक","ਸੋਖਣ ਵਾਲਾ, ਸੋਖਣ ਵਾਲਾ"
शोषक माध्यम*,ਸੋਖਣ ਵਾਲਾ ਮਾਧਿਅਮ*
शोषण क्षमता,ਸਮਾਈ ਸਮਰੱਥਾ
शोषण,ਸਮਾਈ
शोषणमापक*,ਸ਼ੋਸ਼ਣ ਮੀਟਰ*
शोषणमापन*,ਸੋਖਣ ਗਣਿਤ*
शोषण,ਸਮਾਈ
शोषण - बँड*,ਸਮਾਈ - ਬੈਂਡ*
शोषण सर्किट,ਸਮਾਈ ਸਰਕਟ
शोषण गुणांक,ਸਮਾਈ ਗੁਣਾਂਕ
शोषण स्तंभ,ਸਮਾਈ ਕਾਲਮ
अवशोषण स्थिर,ਸਮਾਈ ਸਥਿਰ
शोषण सातत्य,ਸਮਾਈ ਨਿਰੰਤਰਤਾ
शोषण क्षेत्र,ਸਮਾਈ ਜ਼ੋਨ
शोषण प्रवाह,ਸਮਾਈ ਮੌਜੂਦਾ
शोषण वक्र*,ਸਮਾਈ ਕਰਵ*
शोषण फ्रॅक्चर,ਸਮਾਈ ਫ੍ਰੈਕਚਰ
शोषण कोर,ਸਮਾਈ ਕੋਰ
शोषण घटक,ਸਮਾਈ ਕਾਰਕ
शोषण फिल्टर,ਸਮਾਈ ਫਿਲਟਰ
शोषण फ्लेम फोटोमेट्री*,ਸੋਖਣ ਫਲੇਮ ਫੋਟੋਮੈਟਰੀ*
शोषण हायग्रोमीटर,ਸਮਾਈ ਹਾਈਗਰੋਮੀਟਰ
शोषण घातांक,ਸਮਾਈ ਘਾਤਕ
शोषण सीमांत,ਸਮਾਈ ਮਾਮੂਲੀ
शोषण रेखा,ਸਮਾਈ ਲਾਈਨ
शोषण नुकसान,ਸਮਾਈ ਨੁਕਸਾਨ
शोषण मॉड्यूलेशन,ਸਮਾਈ ਮੋਡੂਲੇਸ਼ਨ
प्रकाश शोषण,ਰੋਸ਼ਨੀ ਸਮਾਈ
रेडिएशन उर्जेचे शोषण,ਰੇਡੀਏਸ਼ਨ ਊਰਜਾ ਦੀ ਸਮਾਈ
शोषण शिखर,ਸਮਾਈ ਸਿਖਰ
शोषण फोटोमेट्री,ਸਮਾਈ ਫੋਟੋਮੈਟਰੀ
शोषण प्रमाण,ਸਮਾਈ ਅਨੁਪਾਤ
शोषण श्रेणी*,ਸਮਾਈ ਸੀਮਾ*
शोषण स्पेक्ट्रम फोटोमेट्री*,ਸ਼ੋਸ਼ਣ ਸਪੈਕਟ੍ਰਮ ਫੋਟੋਮੈਟਰੀ*
शोषण स्पेक्ट्रम*,ਸਮਾਈ ਸਪੈਕਟ੍ਰਮ*
"शोषक नळी, शोषक नळी","ਸਮਾਈ ਟਿਊਬ, ਸਮਾਈ ਟਿਊਬ"
शोषण हायग्रोमीटर,ਸਮਾਈ ਹਾਈਗਰੋਮੀਟਰ
शोषक*,ਸੋਖਣ ਵਾਲਾ*
शोषक बाष्पीभवक,ਜਜ਼ਬ ਕਰਨ ਵਾਲਾ evaporator
शोषण कायदा*,ਸਮਾਈ ਕਾਨੂੰਨ*
शोषण माध्यम,ਸਮਾਈ ਮਾਧਿਅਮ
"शोषक क्षमता, शोषकता*","ਸੋਖਣ ਦੀ ਸਮਰੱਥਾ, ਸਮਾਈ*"
शोषण*,ਸਮਾਈ*
स्टुडिओ सजावट,ਸਟੂਡੀਓ ਸਜਾਵਟ
गुणोत्तर गुणोत्तर,ਗੁਣਾ ਅਨੁਪਾਤ
उद्धटपणा,ਰੱਦ ਕਰਨਾ
बद्दल,ਬਾਰੇ
गती वाढवणे,ਤੇਜ਼ ਕਰੋ
प्रवेग-थांबा अंतर,ਪ੍ਰਵੇਗ-ਸਟਾਪ ਦੂਰੀ
घाई केली,ਜਲਦੀ
द्रुत वेळ प्रभाव चाचणी,ਤੇਜ਼ ਸਮਾਂ ਪ੍ਰਭਾਵ ਟੈਸਟ
जलद प्रवाह,ਤੇਜ਼ ਵਹਾਅ
जलद गती,ਤੇਜ਼ ਰਫ਼ਤਾਰ
द्रुत शरीर,ਤੇਜ਼ ਸਰੀਰ
प्रवेगक तोलणारा,ਐਕਸਲੇਟਰ ਤੋਲਣ ਵਾਲਾ
प्रवेगक इलेक्ट्रोड*,ਐਕਸਲੇਟਰ ਇਲੈਕਟ੍ਰੋਡ*
प्रवेगक वेळ*,ਐਕਸਲੇਟਰ ਸਮਾਂ*
प्रवेगक टप्पा,ਐਕਸਲੇਟਰ ਪੜਾਅ
प्रवेगक दर,ਐਕਸਲੇਟਰ ਦਰ
प्रवेगक व्होल्टेज*,ਐਕਸਲੇਟਰ ਵੋਲਟੇਜ*
प्रवेग,ਪ੍ਰਵੇਗ
प्रवेगक ज्वलन,ਤੇਜ਼ ਬਲਨ
प्रवेग गुणांक,ਪ੍ਰਵੇਗ ਗੁਣਾਂਕ
प्रवेग घटक,ਪ੍ਰਵੇਗ ਭਾਗ
गुरुत्वाकर्षणामुळे प्रवेग,ਗੰਭੀਰਤਾ ਦੇ ਕਾਰਨ ਪ੍ਰਵੇਗ
प्रवेग घटक,ਪ੍ਰਵੇਗ ਕਾਰਕ
प्रवेगक शुल्क,ਪ੍ਰਵੇਗਿਤ ਚਾਰਜ
गुरुत्वाकर्षणाचा प्रवेग,ਗੰਭੀਰਤਾ ਦਾ ਪ੍ਰਵੇਗ
प्रवेग क्षमता,ਪ੍ਰਵੇਗ ਸੰਭਾਵਨਾ
प्रवेग कायदा,ਪ੍ਰਵੇਗ ਕਾਨੂੰਨ
प्रवेग प्रक्रिया,ਪ੍ਰਵੇਗ ਪ੍ਰਕਿਰਿਆ
प्रवेग क्षेत्र,ਪ੍ਰਵੇਗ ਜ਼ੋਨ
प्रवेग पद्धत,ਪ੍ਰਵੇਗ ਵਿਧੀ
"प्रवेग सहिष्णुता, प्रवेग सहिष्णुता","ਪ੍ਰਵੇਗ ਸਹਿਣਸ਼ੀਲਤਾ, ਪ੍ਰਵੇਗ ਸਹਿਣਸ਼ੀਲਤਾ"
प्रवेग वेक्टर,ਪ੍ਰਵੇਗ ਵੈਕਟਰ
प्रवेग-व्होल्टेज,ਪ੍ਰਵੇਗ-ਵੋਲਟੇਜ
प्रवेग लहर,ਪ੍ਰਵੇਗ ਲਹਿਰ
प्रवेगक,ਐਕਸਲੇਟਰ
"प्रवेग, प्रवेगक*","ਪ੍ਰਵੇਗ, ਪ੍ਰਵੇਗਕ *"
प्रवेगक समीकरण,ਐਕਸਲੇਟਰ ਸਮੀਕਰਨ
प्रवेगक*,ਐਕਸਲੇਟਰ*
प्रवेगमापक,ਐਕਸਲੇਰੋਮੀਟਰ
एक्सीलरोमीटर जुळणी,ਐਕਸਲੇਰੋਮੀਟਰ ਮੇਲ ਖਾਂਦਾ ਹੈ
prestresser,prestresser
वैध वर्ण,ਵੈਧ ਅੱਖਰ
स्वीकृती कोन,ਸਵੀਕ੍ਰਿਤੀ ਕੋਣ
स्वीकृती तपशील,ਸਵੀਕ੍ਰਿਤੀ ਨਿਰਧਾਰਨ
स्वीकार्य चाचणी,ਸਵੀਕਾਰਯੋਗ ਟੈਸਟ
"स्वीकारणारा*, स्वीकारणारा","ਸਵੀਕਾਰ ਕਰਨ ਵਾਲਾ*, ਸਵੀਕਾਰ ਕਰਨ ਵਾਲਾ"
रिसेप्टर अणू,ਰੀਸੈਪਟਰ ਐਟਮ
रिसेप्टर बाँड,ਰੀਸੈਪਟਰ ਬਾਂਡ
रिसीव्हर सर्किट,ਰਿਸੀਵਰ ਸਰਕਟ
रिसेप्टर पातळी,ਰੀਸੈਪਟਰ ਪੱਧਰ
दाता रेणू,ਦਾਨੀ ਅਣੂ
रिसेप्टर गुणधर्म,ਰੀਸੈਪਟਰ ਦੀ ਵਿਸ਼ੇਸ਼ਤਾ
रिसेप्टर गुणधर्म पातळी,ਰੀਸੈਪਟਰ ਸੰਪਤੀ ਦਾ ਪੱਧਰ
प्रवेगक नळी,ਐਕਸਲੇਟਰ ਹੋਜ਼
"प्रवेश, प्रतीक्षा, प्रवेश","ਪਹੁੰਚ, ਉਡੀਕ, ਪਹੁੰਚ"
भुज प्रवेश,ਭੁਜ ਤੱਕ ਪਹੁੰਚ ਕਰੋ
प्रवेश प्रणाली,ਪਹੁੰਚ ਸਿਸਟਮ
प्रवेश वेळ,ਪਹੁੰਚ ਦਾ ਸਮਾਂ
प्रवेशयोग्यता,ਪਹੁੰਚਯੋਗਤਾ
"अतिरिक्त, सहाय्यक, सहायक (v, ), उपकरणे","ਵਾਧੂ, ਸਹਾਇਕ, ਸਹਾਇਕ (v, ), ਸਹਾਇਕ ਉਪਕਰਣ"
अतिरिक्त निर्बंध,ਵਾਧੂ ਪਾਬੰਦੀਆਂ
संधी योगायोग,ਇਤਫ਼ਾਕ
अपघाती सुधारणा,ਅਚਾਨਕ ਸੁਧਾਰ
अपघाती बायोजेनेसिस,ਦੁਰਘਟਨਾ ਦੇ ਬਾਇਓਜੇਨੇਸਿਸ
अपघाती वळवणे,ਅਚਾਨਕ ਮੋੜ
अभ्यागत त्रुटी,ਵਿਜ਼ਟਰ ਗਲਤੀ
"अचानक थांबणे, अचानक पकडणे","ਅਚਾਨਕ ਰੁਕਣਾ, ਅਚਾਨਕ ਰੁਕਣਾ"
अपघाती प्रेषण,ਦੁਰਘਟਨਾ ਸੰਚਾਰ
यादृच्छिक भिन्नता,ਬੇਤਰਤੀਬ ਪਰਿਵਰਤਨ
समायोजन,ਵਿਵਸਥਾ
स्थानबद्ध,ਸਥਿਤੀ ਵਿੱਚ
संचित त्रुटी,ਸੰਚਿਤ ਗਲਤੀ
"जमा करणे, जमा करणे","ਇਕੱਠਾ ਕਰਨਾ, ਇਕੱਠਾ ਕਰਨਾ"
ऊर्जा साठवण,ਊਰਜਾ ਸਟੋਰੇਜ਼
संचयक*,ਇਕੱਠਾ ਕਰਨ ਵਾਲਾ*
अचूकता,ਸ਼ੁੱਧਤਾ
वास्तव,ਅਸਲੀਅਤ
वास्तविक साधन निरीक्षण,ਅਸਲ ਸਾਧਨ ਨਿਰੀਖਣ
अचूक श्रेणी मार्कर,ਸਟੀਕ ਰੇਂਜ ਮਾਰਕਰ
अचूक स्कॅनिंग,ਸ਼ੁੱਧਤਾ ਸਕੈਨਿੰਗ
सराव,ਅਭਿਆਸ
प्रवेगक सेल*,ਐਕਸਲੇਟਰ ਸੈੱਲ*
अक्रोमॅटिक लेन्स*,ਅਕ੍ਰੋਮੈਟਿਕ ਲੈਂਸ*
अक्रोमॅटिक*,ਅਕ੍ਰੋਮੈਟਿਕ*
अॅक्रोमॅटिक विश्लेषक,ਅਕ੍ਰੋਮੈਟਿਕ ਵਿਸ਼ਲੇਸ਼ਕ
वारंवारता तटस्थ अँटेना,ਬਾਰੰਬਾਰਤਾ ਨਿਰਪੱਖ antenna
अक्रोमॅटिक आकार,ਅਕ੍ਰੋਮੈਟਿਕ ਸ਼ਕਲ
अक्रोमॅटिक फ्रिंज,ਅਕ੍ਰੋਮੈਟਿਕ ਫਰਿੰਜ
अक्रोमॅटिक लेन्स*,ਅਕ੍ਰੋਮੈਟਿਕ ਲੈਂਸ*
अक्रोमॅटिक पॉइंट पथ,ਅਕ੍ਰੋਮੈਟਿਕ ਬਿੰਦੂ ਮਾਰਗ
अॅक्रोमॅटिक लेन्स,ਅਕ੍ਰੋਮੈਟਿਕ ਲੈਂਸ
अॅक्रोमॅटिक प्रिझम,ਅਕ੍ਰੋਮੈਟਿਕ ਪ੍ਰਿਜ਼ਮ
अॅक्रोमॅटिक टेलिस्कोप,ਅਕ੍ਰੋਮੈਟਿਕ ਦੂਰਬੀਨ
रंगद्रव्य*,ਰੰਗੀਨਤਾ*
अॅक्रोमॅटायझेशन*,ਅਕ੍ਰੋਮੈਟਾਈਜ਼ੇਸ਼ਨ*
अक्रोमॅटिकता*,ਰੰਗੀਨਤਾ*
"लवचिक, अपवर्तक, अपवर्तक","ਲਚਕੀਲੇ, ਅਪ੍ਰਤੱਖ, ਲਚਕੀਲੇ"
"एकोर्न नळी, बंजू नळी","ਐਕੋਰਨ ਹੋਜ਼, ਬੰਜੂ ਹੋਜ਼"
सूक्ष्म झडप,ਛੋਟੇ ਵਾਲਵ
इकोफोनी,akophony
ध्वनिक,ਧੁਨੀ
ध्वनिक शोषकता,ਧੁਨੀ ਸਮਾਈ
ध्वनिक क्षीणन गुणांक,ਐਕੋਸਟਿਕ ਐਟੀਨਯੂਏਸ਼ਨ ਗੁਣਾਂਕ
ध्वनिक क्षीणन,ਧੁਨੀ ਧਿਆਨ
ध्वनिक चोर अलार्म,ਧੁਨੀ ਚੋਰ ਅਲਾਰਮ
ध्वनिक क्षमता,ਧੁਨੀ ਸਮਰੱਥਾ
श्रवण केंद्र,ਸੁਣਵਾਈ ਕੇਂਦਰ
ध्वनिक स्पष्टीकरण,ਧੁਨੀ ਵਿਆਖਿਆ
ध्वनिक आवरण,ਧੁਨੀ ਕਵਰ
ध्वनिक प्रतिसाद,ਧੁਨੀ ਜਵਾਬ
ध्वनिक घटक,ਧੁਨੀ ਭਾਗ
ध्वनिक चालकता,ਧੁਨੀ ਚਾਲਕਤਾ
ध्वनिक ओलसर,ਧੁਨੀ ਗਿੱਲਾ
ध्वनिक फैलाव,ਧੁਨੀ ਫੈਲਾਅ
ध्वनी हॅकर,ਆਵਾਜ਼ ਹੈਕਰ
ध्वनिक ऊर्जा*,ਧੁਨੀ ਊਰਜਾ*
ध्वनिक ऊर्जा समीकरण,ਧੁਨੀ ਊਰਜਾ ਸਮੀਕਰਨ
ध्वनिक समीकरण,ਧੁਨੀ ਸਮੀਕਰਨ
ध्वनिक पुनर्स्थापना,ਧੁਨੀ ਬਹਾਲੀ
क्लॅडनी आकार,cladney ਆਕਾਰ
ध्वनिक फिल्टर,ਧੁਨੀ ਫਿਲਟਰ
ध्वनी जनरेटर,ਆਵਾਜ਼ ਜਨਰੇਟਰ
ध्वनिक जाळी,ਧੁਨੀ ਗਰੇਟਿੰਗ
ध्वनिक प्रतिबाधा*,ਧੁਨੀ ਰੁਕਾਵਟ*
ध्वनिक जडत्व,ਧੁਨੀ ਜੜਤਾ
ध्वनिक तीव्रता,ਧੁਨੀ ਤੀਬਰਤਾ
ध्वनिक हस्तक्षेप मीटर,ਧੁਨੀ ਦਖਲ ਮੀਟਰ
ध्वनिक हस्तक्षेप डिटेक्टर,ਧੁਨੀ ਦਖਲ ਖੋਜੀ
ध्वनिक लेन्स,ਧੁਨੀ ਲੈਂਸ
ध्वनी ओळ,ਆਵਾਜ਼ ਲਾਈਨ
ध्वनिक वस्तुमान,ਧੁਨੀ ਪੁੰਜ
ध्वनिक साहित्य,ਧੁਨੀ ਸਮੱਗਰੀ
ध्वनिक अर्थ मुक्त मार्ग,ਧੁਨੀ ਮਤਲਬ ਮੁਕਤ ਮਾਰਗ
ध्वनिक मोड,ਧੁਨੀ ਮੋਡ
ध्वनिक आवाज,ਧੁਨੀ ਸ਼ੋਰ
ध्वनिक ओम*,ਧੁਨੀ ਓਮ*
"ध्वनिक पॅनेल, ध्वनिक मंडळ","ਐਕੋਸਟਿਕ ਪੈਨਲ, ਐਕੋਸਟਿਕ ਬੋਰਡ"
ध्वनिक टप्पा स्थिर,ਧੁਨੀ ਪੜਾਅ ਸਥਿਰ
ध्वनिक प्राप्तकर्ता,ਧੁਨੀ ਪ੍ਰਾਪਤ ਕਰਨ ਵਾਲਾ
ध्वनिक दाब,ਧੁਨੀ ਦਬਾਅ
ध्वनीचा सममिती नियम,ਆਵਾਜ਼ ਦਾ ਸਮਰੂਪਤਾ ਨਿਯਮ
ध्वनिक प्रसारण,ਧੁਨੀ ਸੰਚਾਰ
ध्वनिक गुणधर्म,ਧੁਨੀ ਗੁਣ
अकौस्टिक क्वाड्रपोल,ਧੁਨੀ ਚਤੁਰਭੁਜ
ध्वनिक विकिरण घटक,ਧੁਨੀ ਰੇਡੀਏਸ਼ਨ ਤੱਤ
ध्वनिक विकिरण,ਧੁਨੀ ਰੇਡੀਏਸ਼ਨ
ध्वनीरोधक,ਸਾਊਂਡਪਰੂਫ਼
ध्वनिक रेडिओमीटर,ਧੁਨੀ ਰੇਡੀਓਮੀਟਰ
ध्वनिक प्रतिसाद,ਧੁਨੀ ਸਦਮਾ
ध्वनिक परस्पर प्रमेय,ਧੁਨੀ ਪਰਸਪਰ ਪ੍ਰਮੇਯ
ध्वनिक घट घटक,ਧੁਨੀ ਘਟਾਉਣ ਕਾਰਕ
ध्वनिक परावर्तन गुणांक,ਧੁਨੀ ਪ੍ਰਤੀਬਿੰਬ ਗੁਣਾਂਕ
ध्वनिक अपवर्तन,ਧੁਨੀ ਅਪਵਰਤਨ
ध्वनिक प्रतिकार,ਧੁਨੀ ਪ੍ਰਤੀਰੋਧ
ध्वनिक प्रतिसाद,ਧੁਨੀ ਜਵਾਬ
ध्वनिक विखुरणे,ਐਕੋਸਟਿਕ ਸਕੈਟਰਿੰਗ
श्रवण बिंदू,ਸੁਣਵਾਈ ਬਿੰਦੂ
ध्वनिक कडकपणा,ਧੁਨੀ ਕਠੋਰਤਾ
ध्वनिक प्रणाली,ਧੁਨੀ ਸਿਸਟਮ
ध्वनिक थर्मामीटर,ਧੁਨੀ ਥਰਮਾਮੀਟਰ
ध्वनिक वेग,ਧੁਨੀ ਗਤੀ
ध्वनी लहर,ਆਵਾਜ਼ ਦੀ ਲਹਿਰ
ध्वनिक,ਧੁਨੀ
ध्वनी शोषण गुणांक,ਆਵਾਜ਼ ਸਮਾਈ ਗੁਣਾਂਕ
ध्वनी शोषण घटक,ਧੁਨੀ ਸਮਾਈ ਭਾਗ
ध्वनिक सर्किट,ਧੁਨੀ ਸਰਕਟ
ध्वनिक प्रतिसाद,ਧੁਨੀ ਜਵਾਬ
ध्वनिक विलंब रेखा,ਧੁਨੀ ਦੇਰੀ ਲਾਈਨ
