Telugu,Tamil
యాక్టివ్ మాస్టర్ ఐటెమ్,செயலில் உள்ள முதன்மை உருப்படி
క్రియాశీల ఉపగ్రహం,செயலில் உள்ள செயற்கைக்கோள்
యాక్టివ్ స్టేషన్,செயலில் நிலையம்
క్రియాశీల నిల్వ,செயலில் சேமிப்பு
కార్యాచరణ,செயல்பாடு
కార్యాచరణ స్థాయి,செயல்பாட்டு நிலை
కార్యాచరణ లోడింగ్,செயல்பாடு ஏற்றுதல்
కార్యాచరణ నిష్పత్తి,செயல்பாட்டு விகிதம்
వాస్తవ చిరునామా (= సంపూర్ణ చిరునామా),உண்மையான முகவரி (= முழுமையான முகவரி)
వాస్తవ కోడ్ (= సంపూర్ణ కోడ్),உண்மையான குறியீடு (= முழுமையான குறியீடு)
వాస్తవ డేటా బదిలీ రేటు,உண்மையான தரவு பரிமாற்ற வீதம்
వాస్తవ దశాంశ బిందువు,உண்மையான தசம புள்ளி
వాస్తవ సూచన (= ప్రభావవంతమైన సూచన),உண்மையான வழிமுறை (= பயனுள்ள அறிவுறுத்தல்)
అసలు కీ,உண்மையான விசை
అసలు సమయం,உண்மையான நேரம்
వాస్తవ పని సమయం,உண்மையான வேலை நேரம்
సిగ్నల్ యాక్చువేటింగ్,செயல்பாட்டு சமிக்ஞை
అనుకూలత,தகவமைப்பு
అడాప్టర్,பின்னல்
అడాప్టివ్ ఛానల్ కేటాయింపు,தகவமைப்பு சேனல் ஒதுக்கீடு
అడాప్టివ్ ఇంటిగ్రేషన్,தகவமைப்பு ஒருங்கிணைப்பு
అడాప్టివ్ ట్రాన్స్వర్సల్ ఈక్వలైజర్,தகவமைப்பு குறுக்குவெட்டு சமநிலை
ఎంట్రీ జోడించబడింది,நுழைவு சேர்க்கப்பட்டது
అనుబంధం,கூடுதல்
Adder,அடி
అడెర్ సబ్‌ట్రాక్టర్,சேர்க்கை துணைப்பிரிவு
ఫైల్ జోడించండి,கோப்பைச் சேர்க்கவும்
అదనపు అక్షరం (= ప్రత్యేక అక్షరం),கூடுதல் எழுத்து (= சிறப்பு எழுத்து)
అదనంగా రికార్డర్,கூடுதலாக ரெக்கார்டர்
అదనంగా పట్టిక,கூடுதலாக அட்டவணை
సంకలిత లక్షణం,சேர்க்கை பண்புக்கூறு
మోడ్‌ను జోడించండి,பயன்முறையைச் சேர்க்கவும்
ఆపరేషన్ జోడించండి,செயல்பாட்டைச் சேர்க்கவும்
చిరునామా,முகவரி
చిరునామా కొలత,முகவரி அளவீடு
చిరునామా క్షితిజ సమాంతర స్థానం,முகவரியிடக்கூடிய கிடைமட்ட நிலை
చిరునామా పాయింట్,முகவரிக்குரிய புள்ளி
చిరునామా స్థానం,முகவரி செய்யக்கூடிய நிலை
చిరునామా రిజిస్టర్,முகவரிக்குரிய பதிவு
చిరునామా నిల్వ,முகவரியிடக்கூடிய சேமிப்பு
చిరునామా నిలువు స్థానం,முகவரியிடக்கூடிய செங்குத்து நிலை
చిరునామా బస్సు,முகவரி பஸ்
చిరునామా కోడ్,முகவரி குறியீடு
చిరునామా కంపారిటర్,முகவரி ஒப்பீட்டாளர்
చిరునామా గణన,முகவரி கணக்கீடு
చిరునామా స్థిరాంకం,முகவரி மாறிலி
చిరునామా మార్పిడి,முகவரி மாற்றம்
చిరునామా డేటా,முகவரி தரவு
చిరునామా మెమరీ,உரையாற்றப்பட்ட நினைவகம்
చిరునామా ప్రభావవంతంగా ఉంటుంది,முகவரி பயனுள்ளதாக இருக்கும்
చిరునామా ఫీల్డ్,முகவரி புலம்
చిరునామా ఆకృతి,முகவரி வடிவம்
చిరునామా ఉచిత ప్రోగ్రామ్,முகவரி இலவச நிரல்
చిరునామా,முகவரி
"చిరునామా
 పాత్ర","முகவரி
 எழுத்து"
అంతరాయాన్ని పరిష్కరించడం,குறுக்கீடு
చిరునామా లూప్,முகவரி லூப்
వర్చువల్ మెమరీని పరిష్కరించడం,மெய்நிகர் நினைவகத்தை உரையாற்றுதல்
చిరునామా ఇంటర్లేసింగ్,முகவரி ஒன்றோடொன்று
చిరునామా లేని సూచనల ఆకృతి,முகவரி இல்லாத அறிவுறுத்தல் வடிவம்
చిరునామా లైన్,முகவரி வரி
చిరునామా మ్యాపింగ్,முகவரி மேப்பிங்
చిరునామా గుర్తు,முகவரி குறி
చిరునామా మార్పు,முகவரி மாற்றம்
చిరునామా భాగం,முகவரி பகுதி
చిరునామా పాయింటర్,முகவரி சுட்டிக்காட்டி
చిరునామా రిజిస్టర్,முகவரி பதிவு
చిరునామా సిగ్నల్,முகவரி சமிக்ஞை
చిరునామా పరిమాణం,முகவரி அளவு
చిరునామా స్థలం,முகவரி இடம்
చిరునామా స్పేస్ ఐడెంటిఫైయర్,முகவரி விண்வெளி அடையாளங்காட்டி
చిరునామా స్టాప్,முகவரி நிறுத்தம்
చిరునామా ట్రేస్,முகவரி சுவடு
చిరునామా ట్రాక్,முகவரி பாடல்
చిరునామా అనువాదం,முகவரி மொழிபெயர்ப்பு
చిరునామా అనువాదకుడు,முகவரி மொழிபெயர்ப்பாளர்
జోడించు-ఉపశమనం సమయం,கூடுதல் துணை நேரம்
సమయాన్ని జోడించండి,நேரம் சேர்க்கவும்
ప్రక్కనే,அடுத்துள்ள
ప్రక్కనే ఉన్న నిర్మాణం,அருகிலுள்ள அமைப்பு
ప్రక్కనే ఉన్న ఛానల్,அருகிலுள்ள சேனல்
ప్రక్కనే ఉన్న డొమైన్,அருகிலுள்ள டொமைன்
ప్రక్కనే ఉన్న మాతృక,அருகிலுள்ள மேட்ரிக்ஸ்
ప్రక్కనే ఉన్న నోడ్,அருகிலுள்ள முனை
ప్రక్కనే ఉన్న సబ్‌యారియా,அருகிலுள்ள சப்ரியா
అడ్జాయింట్ (సిస్టమ్),தொடை (அமைப்பு)
సర్దుబాటు,சரிசெய்யவும்
సర్దుబాటు పరిధి,சரிசெய்யக்கூடிய அளவு
టెక్స్ట్ మోడ్‌ను సర్దుబాటు చేయండి,உரை பயன்முறையை சரிசெய்யவும்
అడ్మినిస్ట్రేటివ్ డేటా ప్రాసెసింగ్,நிர்வாக தரவு செயலாக்கம்
పరిపాలనా ఆపరేషన్,நிர்வாக செயல்பாடு
అడ్మినిస్ట్రేటివ్ ఆపరేటర్,நிர்வாக ஆபரேட்டர்
అడ్మినిస్ట్రేటివ్ ఆపరేటర్ స్టేషన్,நிர்வாக ஆபரேட்டர் நிலையம்
పరిపాలనా మద్దతు వ్యవస్థ,நிர்வாக ஆதரவு அமைப்பு
అధునాతన కమ్యూనికేషన్ సేవ,மேம்பட்ட தொடர்பு சேவை
అధునాతన సమాచార వ్యవస్థ,மேம்பட்ட தகவல் அமைப்பு
అధునాతనమైన ఆప్టికల్ క్యారెక్టర్ రీడర్,மேம்பட்ட ஆப்டிகல் கேரக்டர் ரீடர்
అధునాతన శాస్త్రీయ కంప్యూటర్,மேம்பட்ட அறிவியல் கணினி
ఆకాశయాన,வான்வழி
మొత్తం,மதிப்பீட்டு
మొత్తం వ్యక్తీకరణ,மொத்த வெளிப்பாடு
లక్ష్య వృత్తం,இலக்கு வட்டம்
లక్ష్యం ఫీల్డ్ (= లక్ష్యం చిహ్నం),இலக்கு புலம் (= இலக்கு சின்னம்)
లక్ష్యం చిహ్నం,நோக்கம் சின்னம்
వాయుమార్గాన కంప్యూటర్ వ్యవస్థ,வான்வழி கணினி அமைப்பு
బీజగణిత ఈజెన్వాల్యూ సమస్య,இயற்கணித ஈஜென்வெல்யூ சிக்கல்
"బీజగణితం
 అనుసంధానం","இயற்கணித
 ஒருங்கிணைப்பு"
బీజగణిత భాష,இயற்கணித மொழி
బీజగణిత మానిప్యులేషన్,இயற்கணித கையாளுதல்
బీజగణిత మానిప్యులేషన్ భాష,இயற்கணித கையாளுதல் மொழி
బీజగణిత ఆధారిత భాష,இயற்கணித சார்ந்த மொழி
బీజగణిత షిఫ్ట్,இயற்கணித மாற்றம்
బీజగణిత సంకేత సమావేశం,இயற்கணித அடையாளம் மாநாடு
ఆల్గోల్,அல்கோல்
ఆల్గోల్ ఫీచర్,அல்கோல் அம்சம்
ఆల్గోల్ ప్రోగ్రామింగ్,அல்கோல் நிரலாக்க
అల్గోరిథం,வழிமுறை
అల్గోరిథం అసోసియేటివ్ లాంగ్వేజ్,அல்காரிதம் துணை மொழி
అల్గోరిథం వర్గీకరణ,வழிமுறை வகைப்பாடு
అల్గోరిథం సంక్లిష్టత,வழிமுறை சிக்கலானது
అల్గోరిథం కంప్యూటబిలిటీ,அல்காரிதம் கணக்கீடு
అల్గోరిథమిక్ విశ్లేషణ,வழிமுறை பகுப்பாய்வு
అల్గోరిథమిక్ విధానం,வழிமுறை அணுகுமுறை
అల్గోరిథమిక్ భాష,வழிமுறை மொழி
అల్గోరిథమిక్ దినచర్య,வழிமுறை வழக்கம்
అల్గోరిథమిక్ సిద్ధాంతం,வழிமுறை கோட்பாடு
అలియాస్,மாற்றுப்பெயர்
అలియాసింగ్,மாற்றுப்பெயர்ச்சி
అలియాస్ పేరు (= ప్రత్యామ్నాయ పేరు),மாற்றுப்பெயர் பெயர் (= மாற்று பெயர்)
అమరిక,சீரமைப்பு
కేటాయించండి,ஒதுக்கவும்
కేటాయింపు నిర్మాణం,ஒதுக்கீடு அமைப்பு
ఆల్-పర్పస్ కంప్యూటర్,அனைத்து நோக்கம் கொண்ட கணினி
అక్షర పాత్ర,அகரவரிசை எழுத்து
అక్షర అక్షర సమితి,அகரவரிசை எழுத்து தொகுப்பு
అక్షర అక్షర ఉపసమితి,அகரவரிசை எழுத்து துணைக்குழு
అక్షర కోడ్,அகரவரிசை குறியீடு
అక్షర షిఫ్ట్,அகரவரிசை மாற்றம்
అక్షర స్ట్రింగ్,அகரவரிசை சரம்
అక్షర పదం,அகரவரிசை சொல்
వర్ణమాల,அகரவரிசை
ఆల్ఫాజియోమెట్రిక్స్,ஆல்பாஜோமெட்ரிக்ஸ்
ఆల్ఫామెరిక్,ஆல்பமெரிக்
ఆల్ఫామోసాయిక్,ஆல்பமோசைக்
ఆల్ఫాన్యూమరిక్,எண்ணெழுத்து
ఆల్ఫాన్యూమరికల్ కీబోర్డ్ పరికరం,எண்ணெழுத்து விசைப்பலகை சாதனம்
ఆల్ఫాన్యూమరిక్ క్యారెక్టర్ సెట్,எண்ணெழுத்து எழுத்து தொகுப்பு
ఆల్ఫాన్యూమరిక్ కోడ్,எண்ணெழுத்து குறியீடு
ఆల్ఫాన్యూమరిక్ కోడెడ్ క్యారెక్టర్ సెట్,எண்ணெழுத்து குறியீட்டு எழுத்து தொகுப்பு
ఆల్ఫాన్యూమరిక్ డేటా,எண்ணெழுத்து தரவு
ఆల్ఫాన్యూమరిక్ డిస్ప్లే పరికరం,எண்ணெழுத்து காட்சி சாதனம்
ఆల్ఫాన్యూమరిక్ సవరించిన పాత్ర,எண்ணெழுத்து திருத்தப்பட்ட எழுத்து
ఆల్ఫాన్యూమరిక్ ఫీల్డ్,எண்ணெழுத்து புலம்
ఆల్ఫాన్యూమరిక్ ఇన్స్ట్రక్షన్,எண்ணெழுத்து அறிவுறுத்தல்
ఆల్ఫాన్యూమరిక్ కీబోర్డ్,எண்ணெழுத்து விசைப்பலகை
ఆల్ఫాన్యూమరిక్ విధమైన,எண்ணெழுத்து வகை
ఆల్ఫాన్యూమరిక్ స్టోరేజ్,எண்ணெழுத்து சேமிப்பு
మార్చగల మెమరీ,மாற்றக்கூடிய நினைவகம்
మార్పు స్విచ్,மாற்ற சுவிட்ச்
మార్చడం,மாற்றுதல்
ఆల్టర్ మోడ్,மாற்று பயன்முறை
ప్రత్యామ్నాయ రికవరీ,மாற்று மீட்பு
ప్రత్యామ్నాయ మార్గం,மாற்று பாதை
ప్రత్యామ్నాయ రౌటింగ్,மாற்று ரூட்டிங்
ప్రత్యామ్నాయ ట్రాక్,மாற்று பாதை
ప్రత్యామ్నాయం (= లేదా ఆపరేషన్),மாற்று (= அல்லது செயல்பாடு)
ప్రత్యామ్నాయ లక్షణం,மாற்று பண்புக்கூறு
ప్రత్యామ్నాయ తిరస్కరణ (= మరియు ఆపరేషన్ కాదు),மாற்று மறுப்பு (= இல்லை-மற்றும் செயல்பாடு)
అస్పష్టత లోపం,தெளிவற்ற பிழை
అస్పష్టమైన సూచన,தெளிவற்ற குறிப்பு
అనలాగ్,அனலாக்ஸ்
అనలాగ్ యాడర్,அனலாக் சேர்க்கை
అనలాగ్ ఛానల్,அனலாக் சேனல்
అనలాగ్ కంప్యూటర్,அனலாக் கணினி
అనలాగ్ కన్వర్టర్,அனலாக் மாற்றி
అనలాగ్ డేటా,அனலாக் தரவு
అనలాగ్ డివైడర్,அனலாக் டிவைடர்
అనలాగ్ ఫెసిలిటీ టెర్మినల్,அனலாக் வசதி முனையம்
"అనలాగ్ ఫంక్షన్
 జనరేటర్","அனலாக் செயல்பாடு
 ஜெனரேட்டர்"
అనలాగ్ ఇంటిగ్రేషన్,அனலாக் ஒருங்கிணைப்பு
అనలాగ్ గుణకం,அனலாக் பெருக்கி
అనలాగ్ ప్రోగ్రామింగ్,அனலாக் நிரலாக்க
అనలాగ్ స్కేలింగ్,அனலாக் அளவிடுதல்
అనలాగ్ సిగ్నల్,அனலாக் சிக்னல்
అనలాగ్ అనుకరణ,அனலாக் உருவகப்படுத்துதல்
అనలాగ్ స్విచ్,அனலாக் சுவிட்ச்
అనలాగ్ వ్యవస్థ,அனலாக் அமைப்பு
"డిజిటల్‌కు అనలాగ్
 కన్వర్టర్","டிஜிட்டலுக்கு அனலாக்
 மாற்றி"
"డిజిటల్‌కు అనలాగ్
 ఎన్కోడర్","டிஜிட்டலுக்கு அனலாக்
 குறியாக்கி"
అనలాగ్ ట్రాన్స్మిషన్,அனலாக் பரிமாற்றம்
అనలాగ్ రకం,அனலாக் வகை
విశ్లేషణ బ్లాక్,பகுப்பாய்வு தொகுதி
విశ్లేషణ మోడ్,பகுப்பாய்வு முறை
విశ్లేషణాత్మక ఇంజిన్,பகுப்பாய்வு இயந்திரம்
పూర్వీకుల పని,மூதாதையர் பணி
సహాయక పరికరాలు,துணை உபகரணங்கள்
మరియు,மற்றும்
మరియు సర్క్యూట్,மற்றும் சுற்று
మరియు మూలకం,மற்றும் உறுப்பு
మరియు గేట్,மற்றும் வாயில்
మరియు మాస్కింగ్,மற்றும் மறைத்தல்
మరియు ఆపరేషన్ కాదు (= మినహాయింపు,மற்றும் செயல்பாடு அல்ல (= விலக்கு
మరియు ఆపరేషన్,மற்றும் செயல்பாடு
అనెక్స్ మెమరీ,இணைப்பு நினைவகம்
ఉల్లేఖనం,சிறுகுறி
అనన్సియేటర్,அறிவிப்பாளர்
తిరిగి సమాధానం ఇవ్వండి,பதில்
సమాధానం ఆలస్యం,பதில் தாமதம்
సమయం సమాధానం,பதிலளிக்கும் நேரம்
సమాధానం దీపం,பதில் விளக்கு
జవాబు జాబితా,பதில் பட்டியல்
సమాధానం మాత్రమే,பதில்
Ntic హించే మోడ్,எதிர்பார்ப்பு பயன்முறை
ముందస్తు బఫరింగ్,எதிர்பார்ப்பு இடையக
ముందస్తు క్యారీ,எதிர்பார்ப்பு கேரி
ముందస్తు పేజింగ్,எதிர்பார்ப்பு பேஜிங்
ప్రతిస్కందకం ఆపరేషన్,எதிர்விளைவு செயல்பாடு
ప్రతిస్కందకం మూలకం,எதிர்விளைவு உறுப்பு
అపెరియోడిక్ యాంటెన్నా,அபீரியோடிக் ஆண்டெனா
ఎపర్చరు కార్డు,துளை அட்டை
ఎపర్చరు కోడ్,துளை குறியீடு
ఎపర్చరు సమయం,துளை நேரம்
అనుబంధం,இணைப்பு
అనుబంధ పని,இணைப்பு பணி
అప్లికేషన్ డెవలపర్,பயன்பாட்டு உருவாக்குநர்
అప్లికేషన్ లేయర్,பயன்பாட்டு அடுக்கு
అప్లికేషన్ ఓరియెంటెడ్ లాంగ్వేజ్,பயன்பாட்டு சார்ந்த மொழி
అప్లికేషన్ ప్యాకేజీ,பயன்பாட்டு தொகுப்பு
అప్లికేషన్ ప్రోగ్రామ్,பயன்பாட்டு நிரல்
అప్లికేషన్ ప్రోగ్రామింగ్,பயன்பாட்டு நிரலாக்க
అప్లికేషన్ అవసరం భాష,பயன்பாடு தேவையான மொழி
అప్లికేషన్ సాఫ్ట్‌వేర్,பயன்பாட்டு மென்பொருள்
అప్లిక్,Applique
ఉజ్జాయింపు సిద్ధాంతం,தோராயக் கோட்பாடு
ఏకపక్ష ప్రాప్యత,தன்னிச்சையான அணுகல்
ఏకపక్ష సీక్వెన్స్ కంప్యూటర్,தன்னிச்சையான வரிசை கணினி
మధ్యవర్తిత్వ,நடுவர்
వాస్తుశిల్పం,கட்டிடக்கலை
ఆర్కైవింగ్,காப்பகப்படுத்துதல்
స్థల సంకేతం,பகுதி குறியீடு
ప్రాంత శోధన,பகுதி தேடல்
ప్రాంత బదిలీ,பகுதி பரிமாற்றம்
ఏరియా వేరియబుల్,பகுதி மாறி
వాదన,வாதம்
ఆర్గ్యుమెంట్ చిరునామా,வாத முகவரி
ఆర్గ్యుమెంట్ జాబితా,வாத பட்டியல்
అంకగణిత బోధన,எண்கணித அறிவுறுத்தல்
అంకగణిత మరియు అంకగణిత విభాగం,எண்கணித மற்றும் தர்க்க அலகு
అంకగణిత అసైన్‌మెంట్ స్టేట్మెంట్,எண்கணித ஒதுக்கீட்டு அறிக்கை
అంకగణిత చెక్,எண்கணித சோதனை
అంకగణిత స్థిరాంకం,எண்கணித மாறிலி
అంకగణిత మార్పిడి,எண்கணித மாற்றம்
అంకగణిత డేటా,எண்கணித தரவு
అంకగణిత మినహాయింపు,எண்கணித விதிவிலக்கு
అంకగణిత వ్యక్తీకరణ,எண்கணித வெளிப்பாடு
అంకగణిత స్థిర బిందువు,எண்கணித நிலையான புள்ளி
అంకగణిత సోపానక్రమం,எண்கணித வரிசைமுறை
అంకగణితం ఉంటే స్టేట్మెంట్,அறிக்கை என்றால் எண்கணிதம்
అంకగణిత తర్కం,எண்கணித தர்க்கம்
అంకగణిత లాజిక్ యూనిట్,எண்கணித தர்க்க அலகு
అంకగణిత ఆపరేషన్,எண்கணித செயல்பாடு
అంకగణిత ఆపరేటర్,எண்கணித ஆபரேட்டர்
అంకగణిత ఓవర్ఫ్లో,எண்கணித வழிதல்
అంకగణిత చిత్ర డేటా,எண்கணித படத் தரவு
అంకగణిత ప్రాధాన్యత,எண்கணித முன்னுரிமை
అంకగణిత ప్రాధమిక,எண்கணித முதன்மை
అంకగణిత రిజిస్టర్,எண்கணித பதிவு
అంకగణిత సంబంధం,எண்கணித உறவு
అంకగణిత స్కాన్,எண்கணித ஸ்கேன்
అంకగణిత విభాగం,எண்கணித பிரிவு
అంకగణిత మార్పు,எண்கணித மாற்றம்
అంకగణిత బదిలీ,எண்கணித மாற்றம்
అంకగణిత ప్రకటన,எண்கணித அறிக்கை
అంకగణిత పదం,எண்கணித கால
అంకగణిత అండర్ఫ్లో,எண்கணித கீழ்ப்படிதல்
అంకగణిత యూనిట్,எண்கணித அலகு
అమరిక,வரிசை
శ్రేణి బౌండ్,வரிசை
అర్రే కంప్యూటర్,வரிசை கணினி
శ్రేణి పరిమాణం,வரிசை பரிமாணம்
శ్రేణి మూలకం,வரிசை உறுப்பு
శ్రేణి వ్యక్తీకరణ,வரிசை வெளிப்பாடு
శ్రేణి పేరు,வரிசை பெயர்
నిర్మాణాల శ్రేణి,கட்டமைப்புகளின் வரிசை
అర్రే ప్రింటింగ్,வரிசை அச்சிடுதல்
శ్రేణి ప్రాసెసింగ్,வரிசை செயலாக்கம்
అర్రే ప్రాసెసర్,வரிசை செயலி
ఉచ్చారణ పాయింట్,வெளிப்பாடு புள்ளி
కృత్రిమ జ్ఞానం,செயற்கை அறிவாற்றல்
కృత్రిమ మేధస్సు,செயற்கை நுண்ணறிவு
కృత్రిమ భాష,செயற்கை மொழி
కృత్రిమ వేరియబుల్,செயற்கை மாறி
ఆర్ట్స్ అప్లికేషన్ డేటా బ్యాంక్,கலை பயன்பாட்டு தரவு வங்கி
ఆర్ట్స్ అప్లికేషన్ మ్యూజిక్,கலை பயன்பாட்டு இசை
ఆర్ట్స్ అప్లికేషన్ సరళి తరం,கலை பயன்பாட்டு முறை உருவாக்கம்
ఆరోహణ,அசெண்டர்
ఆరోహణ క్రమబద్ధీకరణ,ஏறும் வரிசை
అస్సిల్,ASCIL
ASCII నియంత్రణ అక్షరం,ASCII கட்டுப்பாட்டு தன்மை
ASCII కీ బోర్డు,ASCII விசை வாரியம்
కారక,அம்சம்
కారకం మరియు,அம்சம் மற்றும்
సమీకరించటం,ஒன்றுகூடு
సమావేశమైన మూలం,கூடியிருந்த தோற்றம்
వ్యవధిని సమీకరించండి,காலத்தை ஒன்றிணைக்கவும்
సమీకరించేవాడు,அசெம்பிளர்
సమీకరించే ఆదేశం,அசெம்பிளர் டைரெக்டிவ்
సమీకరించే సౌకర్యం,அசெம்பிளர் வசதி
సమీకరించే భాష,அசெம்பிளர் மொழி
సమీకరించడం,அசெம்பிளிங்
సమీకరించే దశ,அசெம்பிளிங் கட்டம்
సమీకరించే సమయాన్ని,நேரம் திரட்டுதல்
అసెంబ్లీ,சட்டசபை
అసెంబ్లీ భాష,சட்டசபை மொழி
అసెంబ్లీ భాషా ప్రోగ్రామింగ్,சட்டசபை மொழி நிரலாக்க
అసెంబ్లీ భాషా సాఫ్ట్‌వేర్ వశ్యత,சட்டசபை மொழி மென்பொருள் நெகிழ்வுத்தன்மை
అసెంబ్లీ జాబితా,சட்டசபை பட்டியல்
అసెంబ్లీ దశ,சட்டசபை கட்டம்
అసెంబ్లీ దినచర్య,சட்டசபை வழக்கம்
అసెంబ్లీ సమయం,சட்டசபை நேரம்
అసెంబ్లీ యూనిట్,சட்டசபை பிரிவு
అసైన్‌మెంట్ ఇండెక్సింగ్,ஒதுக்கீட்டு அட்டவணைப்படுத்தல்
అసైన్‌మెంట్ ఆపరేషన్,ஒதுக்கீட்டு செயல்பாடு
అసైన్‌మెంట్ స్టేట్మెంట్,ஒதுக்கீட்டு அறிக்கை
అసోసియేటివ్ చిరునామా,துணை முகவரி
అసోసియేటివ్ అర్రే రిజిస్టర్,துணை வரிசை பதிவு
అసోసియేటివ్ కీ,துணை விசை
అసోసియేటివ్ లాంగ్వేజ్,துணை மொழி
అసోసియేటివ్ మెమరీ,துணை நினைவகம்
అసోసియేటివ్ స్టోరేజ్,துணை சேமிப்பு
దశాంశ బిందువు,தசம புள்ளி என்று கருதப்படுகிறது
అసమాన పరికరం,சமச்சீரற்ற சாதனம்
అసమాన i/ఓ,சமச்சீரற்ற i/o
అసమకాలిక,ஒத்திசைவற்ற
అసమకాలిక కంప్యూటర్,ஒத்திசைவற்ற கணினி
అసమకాలిక డేటా బదిలీ,ஒத்திசைவற்ற தரவு பரிமாற்றம்
అసమకాలిక డేటా ట్రాన్స్మిషన్,ஒத்திசைவற்ற தரவு பரிமாற்றம்
అసమకాలిక పరికరాలు,ஒத்திசைவற்ற சாதனங்கள்
అసమకాలిక ఆపరేషన్,ஒத்திசைவற்ற செயல்பாடு
అసమకాలిక సిగ్నలింగ్,ஒத்திசைவற்ற சமிக்ஞை
