Bengali,Punjabi
এক্সিলারেটর ওজনকারী,ਐਕਸਲੇਟਰ ਤੋਲਣ ਵਾਲਾ
এক্সিলারেটর ইলেক্ট্রোড*,ਐਕਸਲੇਟਰ ਇਲੈਕਟ੍ਰੋਡ*
এক্সিলারেটরের সময়*,ਐਕਸਲੇਟਰ ਸਮਾਂ*
এক্সিলারেটর ফেজ,ਐਕਸਲੇਟਰ ਪੜਾਅ
অ্যাক্সিলারেটর হার,ਐਕਸਲੇਟਰ ਦਰ
এক্সিলারেটর ভোল্টেজ*,ਐਕਸਲੇਟਰ ਵੋਲਟੇਜ*
ত্বরণ,ਪ੍ਰਵੇਗ
ত্বরিত জ্বলন,ਤੇਜ਼ ਬਲਨ
ত্বরণ সহগ,ਪ੍ਰਵੇਗ ਗੁਣਾਂਕ
ত্বরণ উপাদান,ਪ੍ਰਵੇਗ ਭਾਗ
মাধ্যাকর্ষণ বলের প্রভাবে গতি বৃদ্ধি,ਗੰਭੀਰਤਾ ਦੇ ਕਾਰਨ ਪ੍ਰਵੇਗ
ত্বরণ ফ্যাক্টর,ਪ੍ਰਵੇਗ ਕਾਰਕ
ত্বরিত চার্জ,ਪ੍ਰਵੇਗਿਤ ਚਾਰਜ
অভিকর্ষের ত্বরণ,ਗੰਭੀਰਤਾ ਦਾ ਪ੍ਰਵੇਗ
ত্বরণ সম্ভাবনা,ਪ੍ਰਵੇਗ ਸੰਭਾਵਨਾ
ত্বরণ আইন,ਪ੍ਰਵੇਗ ਕਾਨੂੰਨ
ত্বরণ প্রক্রিয়া,ਪ੍ਰਵੇਗ ਪ੍ਰਕਿਰਿਆ
ত্বরণ অঞ্চল,ਪ੍ਰਵੇਗ ਜ਼ੋਨ
ত্বরণ পদ্ধতি,ਪ੍ਰਵੇਗ ਵਿਧੀ
"ত্বরণ সহনশীলতা, ত্বরণ সহনশীলতা","ਪ੍ਰਵੇਗ ਸਹਿਣਸ਼ੀਲਤਾ, ਪ੍ਰਵੇਗ ਸਹਿਣਸ਼ੀਲਤਾ"
ত্বরণ ভেক্টর,ਪ੍ਰਵੇਗ ਵੈਕਟਰ
ত্বরণ-ভোল্টেজ,ਪ੍ਰਵੇਗ-ਵੋਲਟੇਜ
ত্বরণ তরঙ্গ,ਪ੍ਰਵੇਗ ਲਹਿਰ
এক্সিলারেটর,ਐਕਸਲੇਟਰ
"ত্বরণ, ত্বরণক*","ਪ੍ਰਵੇਗ, ਪ੍ਰਵੇਗਕ *"
অ্যাক্সিলারেটর সমীকরণ,ਐਕਸਲੇਟਰ ਸਮੀਕਰਨ
এক্সিলারেটর*,ਐਕਸਲੇਟਰ*
অ্যাক্সিলোমিটার,ਐਕਸਲੇਰੋਮੀਟਰ
অ্যাক্সিলোমিটার মিল,ਐਕਸਲੇਰੋਮੀਟਰ ਮੇਲ ਖਾਂਦਾ ਹੈ
prestresser,prestresser
বৈধ অক্ষর,ਵੈਧ ਅੱਖਰ
গ্রহণযোগ্যতা কোণ,ਸਵੀਕ੍ਰਿਤੀ ਕੋਣ
গ্রহণযোগ্যতা স্পেসিফিকেশন,ਸਵੀਕ੍ਰਿਤੀ ਨਿਰਧਾਰਨ
গ্রহণযোগ্য পরীক্ষা,ਸਵੀਕਾਰਯੋਗ ਟੈਸਟ
"গ্রহণকারী*, গ্রহণকারী","ਸਵੀਕਾਰ ਕਰਨ ਵਾਲਾ*, ਸਵੀਕਾਰ ਕਰਨ ਵਾਲਾ"
রিসেপ্টর পরমাণু,ਰੀਸੈਪਟਰ ਐਟਮ
রিসেপ্টর বন্ড,ਰੀਸੈਪਟਰ ਬਾਂਡ
রিসিভার সার্কিট,ਰਿਸੀਵਰ ਸਰਕਟ
রিসেপ্টর স্তর,ਰੀਸੈਪਟਰ ਪੱਧਰ
দাতা অণু,ਦਾਨੀ ਅਣੂ
রিসেপ্টর সম্পত্তি,ਰੀਸੈਪਟਰ ਦੀ ਵਿਸ਼ੇਸ਼ਤਾ
রিসেপ্টর সম্পত্তি স্তর,ਰੀਸੈਪਟਰ ਸੰਪਤੀ ਦਾ ਪੱਧਰ
অ্যাক্সিলারেটর পায়ের পাতার মোজাবিশেষ,ਐਕਸਲੇਟਰ ਹੋਜ਼
"অ্যাক্সেস, অপেক্ষা, অ্যাক্সেস","ਪਹੁੰਚ, ਉਡੀਕ, ਪਹੁੰਚ"
ভুজ অ্যাক্সেস করুন,ਭੁਜ ਤੱਕ ਪਹੁੰਚ ਕਰੋ
অ্যাক্সেস সিস্টেম,ਪਹੁੰਚ ਸਿਸਟਮ
প্রবেশাধিকার সময়,ਪਹੁੰਚ ਦਾ ਸਮਾਂ
অ্যাক্সেসযোগ্যতা,ਪਹੁੰਚਯੋਗਤਾ
"অতিরিক্ত, সহায়ক, আনুষঙ্গিক (v, ), আনুষাঙ্গিক","ਵਾਧੂ, ਸਹਾਇਕ, ਸਹਾਇਕ (v, ), ਸਹਾਇਕ ਉਪਕਰਣ"
অতিরিক্ত সীমাবদ্ধতা,ਵਾਧੂ ਪਾਬੰਦੀਆਂ
কাকতালীয়,ਇਤਫ਼ਾਕ
আকস্মিক সংশোধন,ਅਚਾਨਕ ਸੁਧਾਰ
দুর্ঘটনাজনিত বায়োজেনেসিস,ਦੁਰਘਟਨਾ ਦੇ ਬਾਇਓਜੇਨੇਸਿਸ
আকস্মিক ডাইভারশন,ਅਚਾਨਕ ਮੋੜ
ভিজিটর ত্রুটি,ਵਿਜ਼ਟਰ ਗਲਤੀ
"হঠাৎ বন্ধ, হঠাৎ বাতা","ਅਚਾਨਕ ਰੁਕਣਾ, ਅਚਾਨਕ ਰੁਕਣਾ"
দুর্ঘটনাজনিত সংক্রমণ,ਦੁਰਘਟਨਾ ਸੰਚਾਰ
এলোমেলো পার্থক্য,ਬੇਤਰਤੀਬ ਪਰਿਵਰਤਨ
সমন্বয়,ਵਿਵਸਥਾ
অবস্থিত,ਸਥਿਤੀ ਵਿੱਚ
সঞ্চিত ত্রুটি,ਸੰਚਿਤ ਗਲਤੀ
"accumulation, accumulation","ਇਕੱਠਾ ਕਰਨਾ, ਇਕੱਠਾ ਕਰਨਾ"
শক্তি সঞ্চয়,ਊਰਜਾ ਸਟੋਰੇਜ਼
সঞ্চয়ক*,ਇਕੱਠਾ ਕਰਨ ਵਾਲਾ*
সঠিকতা,ਸ਼ੁੱਧਤਾ
বাস্তবতা,ਅਸਲੀਅਤ
বাস্তব যন্ত্র পর্যবেক্ষণ,ਅਸਲ ਸਾਧਨ ਨਿਰੀਖਣ
সঠিক পরিসীমা চিহ্নিতকারী,ਸਟੀਕ ਰੇਂਜ ਮਾਰਕਰ
নির্ভুলতা স্ক্যানিং,ਸ਼ੁੱਧਤਾ ਸਕੈਨਿੰਗ
অনুশীলন করা,ਅਭਿਆਸ
এক্সিলারেটর সেল*,ਐਕਸਲੇਟਰ ਸੈੱਲ*
অ্যাক্রোমেটিক লেন্স*,ਅਕ੍ਰੋਮੈਟਿਕ ਲੈਂਸ*
অ্যাক্রোমেটিক*,ਅਕ੍ਰੋਮੈਟਿਕ*
অ্যাক্রোম্যাটিক বিশ্লেষক,ਅਕ੍ਰੋਮੈਟਿਕ ਵਿਸ਼ਲੇਸ਼ਕ
ফ্রিকোয়েন্সি নিরপেক্ষ অ্যান্টেনা,ਬਾਰੰਬਾਰਤਾ ਨਿਰਪੱਖ antenna
অ্যাক্রোমেটিক আকৃতি,ਅਕ੍ਰੋਮੈਟਿਕ ਸ਼ਕਲ
অ্যাক্রোম্যাটিক ফ্রিঞ্জ,ਅਕ੍ਰੋਮੈਟਿਕ ਫਰਿੰਜ
অ্যাক্রোমেটিক লেন্স*,ਅਕ੍ਰੋਮੈਟਿਕ ਲੈਂਸ*
অ্যাক্রোম্যাটিক পয়েন্ট পাথ,ਅਕ੍ਰੋਮੈਟਿਕ ਬਿੰਦੂ ਮਾਰਗ
অ্যাক্রোম্যাটিক লেন্স,ਅਕ੍ਰੋਮੈਟਿਕ ਲੈਂਸ
অ্যাক্রোমেটিক প্রিজম,ਅਕ੍ਰੋਮੈਟਿਕ ਪ੍ਰਿਜ਼ਮ
অ্যাক্রোম্যাটিক টেলিস্কোপ,ਅਕ੍ਰੋਮੈਟਿਕ ਦੂਰਬੀਨ
বর্ণহীনতা*,ਰੰਗੀਨਤਾ*
অ্যাক্রোমাটাইজেশন*,ਅਕ੍ਰੋਮੈਟਾਈਜ਼ੇਸ਼ਨ*
বর্ণহীনতা*,ਰੰਗੀਨਤਾ*
"স্থিতিস্থাপক, অবাধ্য, অবাধ্য","ਲਚਕੀਲੇ, ਅਪ੍ਰਤੱਖ, ਲਚਕੀਲੇ"
"আকর্ণ হোস, বানজু হোস","ਐਕੋਰਨ ਹੋਜ਼, ਬੰਜੂ ਹੋਜ਼"
ক্ষুদ্রাকৃতির ভালভ,ਛੋਟੇ ਵਾਲਵ
ইকোফোনি,akophony
শাব্দিক,ਧੁਨੀ
শাব্দ শোষণ,ਧੁਨੀ ਸਮਾਈ
অ্যাকোস্টিক অ্যাটেন্যুয়েশন সহগ,ਐਕੋਸਟਿਕ ਐਟੀਨਯੂਏਸ਼ਨ ਗੁਣਾਂਕ
অ্যাকোস্টিক অ্যাটেন্যুয়েশন,ਧੁਨੀ ਧਿਆਨ
শাব্দ চোর অ্যালার্ম,ਧੁਨੀ ਚੋਰ ਅਲਾਰਮ
অ্যাকোস্টিক ক্যাপাসিট্যান্স,ਧੁਨੀ ਸਮਰੱਥਾ
শ্রবণ কেন্দ্র,ਸੁਣਵਾਈ ਕੇਂਦਰ
শাব্দ ব্যাখ্যা,ਧੁਨੀ ਵਿਆਖਿਆ
শাব্দ আবরণ,ਧੁਨੀ ਕਵਰ
শাব্দ প্রতিক্রিয়া,ਧੁਨੀ ਜਵਾਬ
শাব্দিক উপাদান,ਧੁਨੀ ਭਾਗ
শাব্দ পরিবাহিতা,ਧੁਨੀ ਚਾਲਕਤਾ
শাব্দ স্যাঁতসেঁতে,ਧੁਨੀ ਗਿੱਲਾ
শাব্দ বিচ্ছুরণ,ਧੁਨੀ ਫੈਲਾਅ
শব্দ হ্যাকার,ਆਵਾਜ਼ ਹੈਕਰ
শাব্দ শক্তি*,ਧੁਨੀ ਊਰਜਾ*
শাব্দ শক্তি সমীকরণ,ਧੁਨੀ ਊਰਜਾ ਸਮੀਕਰਨ
শাব্দিক সমীকরণ,ਧੁਨੀ ਸਮੀਕਰਨ
শাব্দ পুনঃস্থাপন,ਧੁਨੀ ਬਹਾਲੀ
ক্ল্যাডনি আকার,cladney ਆਕਾਰ
শাব্দ ফিল্টার,ਧੁਨੀ ਫਿਲਟਰ
শব্দ জেনারেটর,ਆਵਾਜ਼ ਜਨਰੇਟਰ
শাব্দ ঝাঁঝরি,ਧੁਨੀ ਗਰੇਟਿੰਗ
শব্দের সংরোধ*,ਧੁਨੀ ਰੁਕਾਵਟ*
শাব্দিক জড়তা,ਧੁਨੀ ਜੜਤਾ
শাব্দ তীব্রতা,ਧੁਨੀ ਤੀਬਰਤਾ
শাব্দ হস্তক্ষেপ মিটার,ਧੁਨੀ ਦਖਲ ਮੀਟਰ
শাব্দ হস্তক্ষেপ আবিষ্কারক,ਧੁਨੀ ਦਖਲ ਖੋਜੀ
শাব্দ লেন্স,ਧੁਨੀ ਲੈਂਸ
শব্দ লাইন,ਆਵਾਜ਼ ਲਾਈਨ
শাব্দ ভর,ਧੁਨੀ ਪੁੰਜ
শাব্দ উপাদান,ਧੁਨੀ ਸਮੱਗਰੀ
অ্যাকোস্টিক মানে মুক্ত পথ,ਧੁਨੀ ਮਤਲਬ ਮੁਕਤ ਮਾਰਗ
শাব্দ মোড,ਧੁਨੀ ਮੋਡ
শাব্দিক শব্দ,ਧੁਨੀ ਸ਼ੋਰ
শাব্দিক ওহম*,ਧੁਨੀ ਓਮ*
"অ্যাকোস্টিক প্যানেল, অ্যাকোস্টিক বোর্ড","ਐਕੋਸਟਿਕ ਪੈਨਲ, ਐਕੋਸਟਿਕ ਬੋਰਡ"
শাব্দ ফেজ ধ্রুবক,ਧੁਨੀ ਪੜਾਅ ਸਥਿਰ
শাব্দ রিসিভার,ਧੁਨੀ ਪ੍ਰਾਪਤ ਕਰਨ ਵਾਲਾ
শাব্দ চাপ,ਧੁਨੀ ਦਬਾਅ
শব্দের প্রতিসাম্য নিয়ম,ਆਵਾਜ਼ ਦਾ ਸਮਰੂਪਤਾ ਨਿਯਮ
শাব্দ সংক্রমণ,ਧੁਨੀ ਸੰਚਾਰ
শাব্দ বৈশিষ্ট্য,ਧੁਨੀ ਗੁਣ
শাব্দ চতুর্ভুজ,ਧੁਨੀ ਚਤੁਰਭੁਜ
শাব্দ বিকিরণ উপাদান,ਧੁਨੀ ਰੇਡੀਏਸ਼ਨ ਤੱਤ
শাব্দ বিকিরণ,ਧੁਨੀ ਰੇਡੀਏਸ਼ਨ
শব্দরোধী,ਸਾਊਂਡਪਰੂਫ਼
অ্যাকোস্টিক রেডিওমিটার,ਧੁਨੀ ਰੇਡੀਓਮੀਟਰ
শাব্দ প্রতিক্রিয়া,ਧੁਨੀ ਸਦਮਾ
অ্যাকোস্টিক পারস্পরিক তত্ত্ব,ਧੁਨੀ ਪਰਸਪਰ ਪ੍ਰਮੇਯ
শাব্দ হ্রাস ফ্যাক্টর,ਧੁਨੀ ਘਟਾਉਣ ਕਾਰਕ
শাব্দ প্রতিফলন সহগ,ਧੁਨੀ ਪ੍ਰਤੀਬਿੰਬ ਗੁਣਾਂਕ
