Assamese,Kannada
এনালগ মাল্টিমিটাৰ,ಅನಲಾಗ್ ಮಲ್ಟಿಮೀಟರ್
এনালগ চুইচ,ಅನಲಾಗ್ ಸ್ವಿಚ್
AND গেট,ಮತ್ತು ಗೇಟ್
কৌণিক কম্পাঙ্ক,ಕೋನೀಯ ಆವರ್ತನ
"এনিয়ন, এনিয়ন","ಅಯಾನ್, ಅಯಾನ್"
এনিয়েলিং উষ্ণতা,ಅನೆಲಿಂಗ್ ತಾಪಮಾನ
এনোড,ಆನೋಡ್
এনোড এম্প্লিফায়াৰ,ಆನೋಡ್ ಆಂಪ್ಲಿಫಯರ್
এনোডাইন,ಅನೋಡೈನ್
এন্টেনা,ಆಂಟೆನಾ
এন্টেনা উপাদান,ಆಂಟೆನಾ ಘಟಕ
এন্টি-ৰিফ্লেক্টিভ আৱৰণ,ವಿರೋಧಿ ಪ್ರತಿಫಲಿತ ಲೇಪನ
এন্টিলগিন এম্প্লিফায়াৰ,ಪ್ರತಿಲೋಜಿನ್ ಆಂಪ್ಲಿಫಯರ್
এন্টিৰেজোনেণ্ট চাৰ্কিট,ಆಂಟಿರೆಸೋನೆಂಟ್ ಸರ್ಕ್ಯೂಟ್
দ্বাৰক যুগ,ದ್ವಾರಕ ಕಾಲ
ভাৰ্চুৱেল শক্তি,ವರ್ಚುವಲ್ ಶಕ್ತಿ
তাঁৰৰ সংযোগ,ತಂತಿ ಸಂಪರ್ಕ
আনুমানিক ভোল্টেজ লাভ,ಅಂದಾಜು ವೋಲ್ಟೇಜ್ ಲಾಭ
আৰ্মষ্ট্ৰং মডুলেটৰ,ಆರ್ಮ್ಸ್ಟ್ರಾಂಗ್ ಮಾಡ್ಯುಲೇಟರ್
এন্টেনা এৰে,ಆಂಟೆನಾ ರಚನೆ
"আকাৰৰ অনুপাত, দৃষ্টি অনুপাত","ಗಾತ್ರ ಅನುಪಾತ, ಆಕಾರ ಅನುಪಾತ"
ভাসমান বৰ্তনী (মুক্ত অপাৰেটিং বৰ্তনী),ತೇಲುವ ಸರ್ಕ್ಯೂಟ್ (ಉಚಿತ ಆಪರೇಟಿಂಗ್ ಸರ್ಕ್ಯೂಟ್)
স্বয়ংক্ৰিয় মাল্টিভাইব্ৰেটৰ,ಸ್ವಯಂಚಾಲಿತ ಮಲ್ಟಿವೈಬ್ರೇಟರ್
ভাসমান মাল্টিভাইব্ৰেটৰ,ತೇಲುವ ಮಲ್ಟಿವೈಬ್ರೇಟರ್
অসমতাপূৰ্ণ সংযোগস্থল,ಅಸಮಪಾರ್ಶ್ವದ ಜಂಕ್ಷನ್
এচিনক্ৰ&#39;নাছ কেলকুলেটৰ,ಅಸಮಕಾಲಿಕ ಕ್ಯಾಲ್ಕುಲೇಟರ್
পাৰমাণৱিক,ಪರಮಾಣು
পাৰমাণৱিক সংখ্যা,ಪರಮಾಣು ಸಂಖ್ಯೆ
পাৰমাণৱিক গঠন,ಪರಮಾಣು ರಚನೆ
অডিঅ&#39; এম্প্লিফায়াৰ,ಆಡಿಯೋ ಆಂಪ್ಲಿಫಯರ್
অডিঅ&#39; এম্প্লিফায়াৰ,ಆಡಿಯೋ ಆಂಪ್ಲಿಫಯರ್
অডিঅ&#39; কেছেট,ಆಡಿಯೋ ಕ್ಯಾಸೆಟ್
অডিঅ&#39; বৰ্তনী,ಆಡಿಯೋ ಸರ್ಕ್ಯೂಟ್
শ্ৰৱণযোগ্য কম্পাঙ্ক,ಶ್ರವ್ಯ ಆವರ್ತನ
স্বয়ংক্ৰিয় ভল্টেজ নিয়ন্ত্ৰণ,ಸ್ವಯಂಚಾಲಿತ ವೋಲ್ಟೇಜ್ ನಿಯಂತ್ರಣ
হিমস্খলন,ಹಿಮಕುಸಿತ
গড় ডিটেক্টৰ,ಸರಾಸರಿ ಡಿಟೆಕ್ಟರ್
অক্ষীয় ধৰণ,ಅಕ್ಷೀಯ ಮೋಡ್
অক্ষীয় অনুপাত,ಅಕ್ಷೀಯ ಅನುಪಾತ
এন্টেনা,ಆಂಟೆನಾ
পিছলৈ ইলেক্ট্ৰ&#39;ম&#39;টিভ বল,ಹಿಂದೆ ಎಲೆಕ್ಟ್ರೋಮೋಟಿವ್ ಫೋರ್ಸ್
পিছফালৰ অঞ্চল,ಹಿಂಭಾಗದ ಪ್ರದೇಶ
পিছলৈ বিক্ষিপ্ততা,ಮತ್ತೆ ಚದುರುವಿಕೆ
পটভূমি চাৰ্জ,ಹಿನ್ನೆಲೆ ಶುಲ್ಕ
কাষৰ শব্দ,ಅಡ್ಡ ಶಬ್ದ
ৰেট্ৰ&#39;গ্ৰেছন,ಹಿಮ್ಮೆಟ್ಟುವಿಕೆ
পশ্চাৎ বিকিৰণ,ಹಿಂಭಾಗದ ವಿಕಿರಣ
বেকৱাৰ্ড ডাইঅ&#39;ড / বেকৱাৰ্ড ডাইঅ&#39;ড,ಬ್ಯಾಕ್‌ವರ್ಡ್ ಡಯೋಡ್ / ಬ್ಯಾಕ್‌ವರ್ಡ್ ಡಯೋಡ್
পিছলৈ তৰংগ দোলক,ಹಿಂದುಳಿದ ತರಂಗ ಆಂದೋಲಕ
"বাধা, বাধা","ಅಡಚಣೆ, ಅಡಚಣೆ"
বাধাগ্ৰস্ততা,ಅಡಚಣೆ
সুষম দলং,ಸಮತೋಲಿತ ಸೇತುವೆ
সুষম মডুলেটৰ,ಸಮತೋಲಿತ ಮಾಡ್ಯುಲೇಟರ್
সুষম মডুলেটৰ,ಸಮತೋಲಿತ ಮಾಡ್ಯುಲೇಟರ್
সুষম বৰ্তনী,ಸಮತೋಲಿತ ಸರ್ಕ್ಯೂಟ್
ভাৰসাম্যপূৰ্ণ গ্ৰেডিয়েণ্ট ডিটেক্টৰ,ಸಮತೋಲಿತ ಗ್ರೇಡಿಯಂಟ್ ಡಿಟೆಕ್ಟರ್
কাৰেণ্ট ষ্টেবিলাইজাৰ ৰেজিষ্টেন্স,ಪ್ರಸ್ತುತ ಸ್ಥಿರೀಕಾರಕ ಪ್ರತಿರೋಧ
বলোমিটাৰ,ಬೋಲೋಮೀಟರ್
বলোমিটাৰ দলং,ಬೋಲೋಮೀಟರ್ ಸೇತುವೆ
বেলুন,ಬಲೂನ್
কল জেক,ಬನಾನಾ ಜ್ಯಾಕ್
কল প্লাগ,ಬಾಳೆಹಣ್ಣಿನ ಪ್ಲಗ್
"বেণ্ড, বেণ্ডেজ","ಬ್ಯಾಂಡ್, ಬ್ಯಾಂಡೇಜ್"
বেণ্ড ড্ৰাইভাৰ,ಬ್ಯಾಂಡ್ ಚಾಲಕ
বেণ্ড শক্তি,ಬ್ಯಾಂಡ್ ಶಕ್ತಿ
বেণ্ড গেপ,ಬ್ಯಾಂಡ್ ಅಂತರ
badpark এম্প্লিফায়াৰ,ಬ್ಯಾಡ್‌ಪಾರ್ಕ್ ಆಂಪ್ಲಿಫಯರ್
বেণ্ড পাছ ফিল্টাৰ,ಬ್ಯಾಂಡ್ ಪಾಸ್ ಫಿಲ್ಟರ್
বড হাৰ জেনেৰেটৰ,ಬಾಡ್ ದರ ಜನರೇಟರ್
banddispersion,ಬ್ಯಾಂಡ್ ಡಿಸ್ಪರ್ಶನ್
বেণ্ড ৰেজিষ্টৰ,ಬ್ಯಾಂಡ್ ರೆಸಿಸ್ಟರ್
বেণ্ড ব্ৰেকাৰ ফিল্টাৰ,ಬ್ಯಾಂಡ್ ಬ್ರೇಕರ್ ಫಿಲ್ಟರ್
বেণ্ড সম্প্ৰসাৰণ,ಬ್ಯಾಂಡ್ ವಿಸ್ತರಣೆ
বেণ্ড আঁতৰোৱা ফিল্টাৰ,ಬ್ಯಾಂಡ್ ಹೋಗಲಾಡಿಸುವ ಫಿಲ್ಟರ್
বেণ্ড এক্সপান্সন ডিফ্লেকচন মাল্টিপ্লাইয়াৰ,ಬ್ಯಾಂಡ್ ವಿಸ್ತರಣೆ ಡಿಫ್ಲೆಕ್ಷನ್ ಮಲ್ಟಿಪ್ಲೈಯರ್
বেণ্ড সম্প্ৰসাৰণ দূৰত্ব বহুগুণক,ಬ್ಯಾಂಡ್ ವಿಸ್ತರಣೆ ದೂರ ಗುಣಕ
"ৰশ্মি কেপাচিটৰ, বেংক কেপাচিটৰ","ಬೀಮ್ ಕೆಪಾಸಿಟರ್, ಬ್ಯಾಂಕ್ ಕೆಪಾಸಿಟರ್"
"বাৰ্কাৰ কোড, বাৰ্কাৰ কোড","ಬಾರ್ಕರ್ ಕೋಡ್, ಬಾರ್ಕರ್ ಕೋಡ್"
barravaugen মাপকাঠী,barravaugen ಮಾನದಂಡ
বেৰেটৰ,ನ್ಯಾಯವಾದಿ
বাধা,ತಡೆಗೋಡೆ
ইনচুলেটিং কেপাচিটৰ,ನಿರೋಧಕ ಕೆಪಾಸಿಟರ್
বাধা শক্তি,ತಡೆ ಶಕ್ತಿ
ৰেজিষ্টৰ ভল্টেজ,ಪ್ರತಿರೋಧಕ ವೋಲ್ಟೇಜ್
বাৰ্টলেট উইণ্ড&#39;,ಬಾರ್ಟ್ಲೆಟ್ ಕಿಟಕಿ
"ভিত্তি, ভিত্তি","ಬೇಸ್, ಬೇಸ್"
বেচ বেণ্ড,ಬೇಸ್ ಬ್ಯಾಂಡ್
বেচ বেণ্ড ট্ৰেন্সমিছন,ಬೇಸ್ ಬ್ಯಾಂಡ್ ಪ್ರಸರಣ
ভিত্তি চাৰ্জ,ಮೂಲ ಶುಲ್ಕ
বেচ কাৰেণ্ট,ಮೂಲ ಪ್ರಸ್ತುತ
ভিত্তি বিদ্যুৎ প্ৰবাহৰ উৎস,ಮೂಲ ಪ್ರಸ್ತುತ ಮೂಲ
বেচ শ্বিয়াৰিং,ಬೇಸ್ ಕತ್ತರಿಸುವುದು
আধাৰ মদন,ಆಧಾರ್ ಮದನ್
বেচ এমিটাৰ ফিড,ಬೇಸ್ ಎಮಿಟರ್ ಫೀಡ್
বেচ এমিটাৰ জংচন,ಬೇಸ್ ಎಮಿಟರ್ ಜಂಕ್ಷನ್
বেচ ইনজেকচন,ಬೇಸ್ ಇಂಜೆಕ್ಷನ್
গ্ৰাউণ্ড লাইন,ನೆಲದ ರೇಖೆ
ভিত্তি ৰেজিষ্টেন্স,ಮೂಲ ಪ್ರತಿರೋಧ
ভিত্তি উৎস,ಮೂಲ ಮೂಲ
ভিত্তি প্ৰসাৰণ প্ৰতিৰোধ ক্ষমতা,ಬೇಸ್ ವಿಸ್ತರಣೆ ಪ್ರತಿರೋಧ
ভিত্তি প্ৰসাৰণ প্ৰতিৰোধ ক্ষমতা,ಬೇಸ್ ವಿಸ್ತರಣೆ ಪ್ರತಿರೋಧ
ভিত্তিৰ বেধ,ಬೇಸ್ ದಪ್ಪ
ভিত্তি অভিগম,ಮೂಲ ಪ್ರವೇಶ
"ভিত্তি প্ৰস্থ মডুলেচন, ভিত্তি সম্প্ৰসাৰণ মডুলেচন","ಬೇಸ್ ವಿಡ್ತ್ ಮಾಡ್ಯುಲೇಶನ್, ಬೇಸ್ ಎಕ್ಸ್ಪಾನ್ಶನ್ ಮಾಡ್ಯುಲೇಶನ್"
ভিত্তি সংগ্ৰাহক চুক্তি,ಮೂಲ ಸಂಗ್ರಾಹಕ ಒಪ್ಪಂದ
গোন্ধ,ವಾಸನೆ
বেছ ফ্ৰিকুৱেন্সি,ಬಾಸ್ ಆವರ್ತನ
বেটাৰি,ಬ್ಯಾಟರಿ
baud,ಬಾಡ್
বড হাৰ,ಬೌಡ್ ದರ
বড হাৰ জেনেৰেটৰ,ಬಾಡ್ ದರ ಜನರೇಟರ್
বডো ক&#39;ড,ಬೋಡೋ ಕೋಡ್
"সংকেত, বিকন","ಸಂಕೇತ, ದಾರಿದೀಪ"
"মণিকা, বিড","ಮಾಣಿಕ, ಬೀಡು"
মেনিক কেপাচিটৰ,ಉನ್ಮಾದ ಕೆಪಾಸಿಟರ್
মণিকাৰতাপি ৰেজিষ্টৰ,ಮಣಿಕರ್ತಾಪಿ ಪ್ರತಿರೋಧಕ
"ৰশ্মি এন্টেনা, ৰশ্মি এন্টেনা","ಬೀಮ್ ಆಂಟೆನಾ, ಬೀಮ್ ಆಂಟೆನಾ"
ৰশ্মি ডিটেক্টৰ,ಕಿರಣ ಶೋಧಕ
ৰশ্মি শক্তিৰ নলী,ಕಿರಣದ ವಿದ್ಯುತ್ ಮೆದುಗೊಳವೆ
ৰশ্মি চুইচিং নজেল,ಕಿರಣದ ಸ್ವಿಚಿಂಗ್ ನಳಿಕೆಗಳು
ৰশ্মি প্ৰসাৰণ,ಕಿರಣದ ವಿಸ್ತರಣೆ
বিট ফ্ৰিকুৱেন্সি,ಬೀಟ್ ಆವರ್ತನ
বিট-ফ্ৰিকুৱেন্সি অচিলেটৰ,ಬೀಟ್-ಫ್ರೀಕ್ವೆನ್ಸಿ ಆಂದೋಲಕ
পালছ দোলক,ನಾಡಿ ಆಂದೋಲಕ
বেল,ಗಂಟೆ
বেণ্ডিং লছ,ಬಾಗುವ ನಷ್ಟ
বেচেল ফিল্টাৰ,ಬೆಸೆಲ್ ಫಿಲ್ಟರ್
বিটা,ಬೀಟಾ
খ-হ বক্ৰ,b-h ಕರ್ವ್
"bias, পক্ষপাতিত্ব","ಪಕ್ಷಪಾತ, ಪಕ್ಷಪಾತ"
বায়াছ কাৰেণ্ট,ಪಕ್ಷಪಾತ ಪ್ರಸ್ತುತ
বায়াছ ৰেজিষ্টেন্স,ಪಕ್ಷಪಾತ ಪ್ರತಿರೋಧ
ডাবল এন্টেনা,ಡಬಲ್ ಆಂಟೆನಾ
দ্বিমুখী লোড কাৰেণ্ট,ದ್ವಿಮುಖ ಲೋಡ್ ಪ್ರಸ್ತುತ
দ্বিমুখী এন্টেনা,ದ್ವಿಮುಖ ಆಂಟೆನಾ
দ্বিমুখী পোহৰ নিৰ্গত কৰা ডাইঅ&#39;ড,ದ್ವಿಮುಖ ಬೆಳಕಿನ ಹೊರಸೂಸುವ ಡಯೋಡ್
দ্বিমুখী থাইৰিষ্টৰ,ದ್ವಿಮುಖ ಥೈರಿಸ್ಟರ್
bi FET প্ৰযুক্তি,ದ್ವಿ FET ತಂತ್ರಜ್ಞಾನ
বাই পইণ্ট ট্ৰেন্সফৰ্মাৰ,ಬೈ ಪಾಯಿಂಟ್ ಟ್ರಾನ್ಸ್ಫಾರ್ಮರ್
ডাবল ফিউজন,ಡಬಲ್ ಸಮ್ಮಿಳನ
দ্বিপাক্ষিক বৰ্তনী,ದ್ವಿಪಕ್ಷೀಯ ಸರ್ಕ್ಯೂಟ್
বাইনাৰী,ಅವಳಿ
বাইনাৰী যোগফল,ಬೈನರಿ ಮೊತ್ತ
বাইনাৰী বৰ্তনী,ಬೈನರಿ ಸರ್ಕ್ಯೂಟ್
বাইনাৰী ক&#39;ড কৰা দশমিক,ಬೈನರಿ ಕೋಡೆಡ್ ದಶಮಾಂಶ
বাইনাৰী ক&#39;ড কৰা দশমিক ব্যৱস্থা,ಬೈನರಿ ಕೋಡೆಡ್ ದಶಮಾಂಶ ವ್ಯವಸ್ಥೆ
বাইনাৰী ডাইপোল কেপাচিটৰ,ಬೈನರಿ ದ್ವಿಧ್ರುವಿ ಕೆಪಾಸಿಟರ್
বাইনাৰী কেলকুলেটৰ,ಬೈನರಿ ಕ್ಯಾಲ್ಕುಲೇಟರ್
বাইনাৰী কেলকুলেটৰ,ಬೈನರಿ ಕ್ಯಾಲ್ಕುಲೇಟರ್
বাইনাৰী ডিকোডাৰ,ಬೈನರಿ ಡಿಕೋಡರ್
বাইনাৰী জখলা,ಬೈನರಿ ಏಣಿ
বাইনাৰী পেথ&#39;মিটাৰ,ಬೈನರಿ ಪಾಥೋಮೀಟರ್
বাইনাৰী অৱস্থা,ದ್ವಿಮಾನ ಸ್ಥಿತಿ
বাইনাৰী-দশমিক ডিকোডাৰ,ಬೈನರಿ-ದಶಮಾಂಶ ಡಿಕೋಡರ್
বাইনাৰী লোড,ಬೈನರಿ ಲೋಡ್
বাইনাৰী শব্দ,ಬೈನರಿ ಪದಗಳು
বাইপোলাৰ,ಬೈಪೋಲಾರ್
বাইপোলাৰ কেপাচিটৰ,ಬೈಪೋಲಾರ್ ಕೆಪಾಸಿಟರ್
বাইপোলাৰ ডিভাইচ,ಬೈಪೋಲಾರ್ ಸಾಧನ
বাইপোলাৰ উৎস,ಬೈಪೋಲಾರ್ ಮೂಲ
বাইপোলাৰ ট্ৰেঞ্জিষ্টৰ,ಬೈಪೋಲಾರ್ ಟ್ರಾನ್ಸಿಸ್ಟರ್
বাইপোলাৰ জংচন ট্ৰেঞ্জিষ্টৰ,ಬೈಪೋಲಾರ್ ಜಂಕ್ಷನ್ ಟ್ರಾನ್ಸಿಸ್ಟರ್
দ্বিঘাত ফিল্টাৰ,ಕ್ವಾಡ್ರಾಟಿಕ್ ಫಿಲ್ಟರ್
ডাবল পজিচন,ಎರಡು ಸ್ಥಾನ
দুটা পৰ্যায়ৰ মাল্টিভাইব্ৰেটৰ,ಎರಡು ಹಂತದ ಮಲ್ಟಿವೈಬ್ರೇಟರ್
দ্বিমুখী ৰিলে,ದ್ವಿಮುಖ ರಿಲೇ
দুটা পৰ্যায়ৰ অৱস্থা,ದ್ವಿಮುಖ ಸ್ಥಿತಿ
দুটা অৱস্থানৰ ট্ৰিগাৰ,ಎರಡು-ಸ್ಥಾನದ ಪ್ರಚೋದಕ
বিট ভুল,ಬಿಟ್ ದೋಷ
বিট ভুলৰ হাৰ,ಬಿಟ್ ದೋಷ ದರ
বিট ভুল,ಬಿಟ್ ದೋಷ
bitkal ত্ৰুটি,ಬಿಟ್ಕಲ್ ದೋಷ
অন্ধ বাকচ,ಕುರುಡು ಪೆಟ್ಟಿಗೆ
ঘনীভূত স্পন্দন,ಮಂದಗೊಳಿಸಿದ ನಾಡಿ
নিঃসৰণকাৰী,ಸ್ರವಿಸುವವನು
নিঃসৰণ প্ৰতিৰোধক,ಸ್ರವಿಸುವ ಪ್ರತಿಬಂಧಕ
অন্ধতা,ಕುರುಡುತನ
ছেগমেণ্ট ডায়াগ্ৰাম,ವಿಭಾಗದ ರೇಖಾಚಿತ್ರ
ব্লক কৰা ইম্পিডেন্স,ತಡೆಯುವ ಪ್ರತಿರೋಧ
ফ্ৰেগমেণ্ট ট্ৰেন্সফাৰ,ತುಣುಕು ವರ್ಗಾವಣೆ
ইন্টাৰচেপ্ট,ತಡೆಹಿಡಿಯಿರಿ
ৰেজিষ্টৰ কেপাচিটৰ,ರೆಸಿಸ್ಟರ್ ಕೆಪಾಸಿಟರ್
ৰেজিষ্টৰ কেপাচিটৰ,ರೆಸಿಸ್ಟರ್ ಕೆಪಾಸಿಟರ್
ব্লক কৰা দোলক,ತಡೆಯುವ ಆಂದೋಲಕ
ৰেজিষ্টৰ দোলক,ತಡೆಯುವ ಆಂದೋಲಕ
ৰেজিষ্টৰ ভল্টেজ,ಪ್ರತಿರೋಧಕ ವೋಲ್ಟೇಜ್
ব্ল&#39;ৱাৰ,ಊದುವವನು
বোড ডায়াগ্ৰাম,ಬೋಡ್ ರೇಖಾಚಿತ್ರ
voltzmann সম্পৰ্ক,ವೋಲ್ಟ್ಜ್ಮನ್ ಸಂಬಂಧ
voltzmann ধ্ৰুৱক,ವೋಲ್ಟ್ಜ್ಮನ್ ಸ್ಥಿರ
বান্ধোন,ಕರಾರುಪತ್ರ
বান্ধি ৰখা ষ্ট্ৰেইন গেজ,ಬೌಂಡ್ ಸ್ಟ್ರೈನ್ ಗೇಜ್
স্ব-সহায়ক এম্প্লিফায়াৰ,ಸ್ವಯಂ-ಬೆಂಬಲಿತ ಆಂಪ್ಲಿಫಯರ್
বুলিয়ান বীজগণিত,ಬೂಲಿಯನ್ ಬೀಜಗಣಿತ
বুলিয়ান সমীকৰণ,ಬೂಲಿಯನ್ ಸಮೀಕರಣ
বুট ষ্ট্ৰেপন,ಬೂಟ್ ಸ್ಟ್ರಾಪನ್
বুথৰ এলগৰিদম,ಬೂತ್ ಅಲ್ಗಾರಿದಮ್
বুটষ্ট্ৰেপ প্ৰিজম বৰ্তনী,ಬೂಟ್ ಸ್ಟ್ರಾಪ್ ಪ್ರಿಸ್ಮ್ ಸರ್ಕ್ಯೂಟ್
bosscutts শাসন কৰে,ಬಾಸ್ಕಟ್ಸ್ ನಿಯಮ
বসু-চৌধাৰী হকেনহাম (BCH) কোড,ಬೋಸ್-ಚೌಧರಿ ಹಾಕಿನ್‌ಹ್ಯಾಮ್ (BCH) ಕೋಡ್
"জপিয়াই, জপিয়াই","ಜಂಪ್, ಜಂಪ್"
বান্ধ খাই থকা ইলেক্ট্ৰন,ಬೌಂಡ್ ಎಲೆಕ್ಟ್ರಾನ್
bragg প্ৰতিফলক,ಬ್ರಾಗ್ ಪ್ರತಿಫಲಕ
আন্তঃসংলগ্ন তাঁৰ,ಹೆಣೆದುಕೊಂಡ ತಂತಿ
শাখা,ಶಾಖೆ
শাখা-প্ৰশাখা,ಕವಲೊಡೆಯುತ್ತಿದೆ
পৰীক্ষা বৰ্ড,ಪ್ರಯೋಗ ಮಂಡಳಿ
ব্ৰেক জ&#39;ন,ವಿರಾಮ ವಲಯ
ভল্টেজ ভাঙি যোৱা,ಬ್ರೇಕಿಂಗ್ ವೋಲ್ಟೇಜ್
ব্ৰেকডাউন ডাইঅ&#39;ড,ಸ್ಥಗಿತ ಡಯೋಡ್
ভাঙন স্থিৰকৰণ,ಮುರಿತದ ಸ್ಥಿರೀಕರಣ
ভল্টেজ ভাঙি যোৱা,ಬ್ರೇಕಿಂಗ್ ವೋಲ್ಟೇಜ್
সেঁতু,ಸೇತುವೆ
ব্ৰীজ ৰেক্টিফায়াৰ,ಸೇತುವೆ ರಿಕ್ಟಿಫೈಯರ್
বহল বেণ্ড,ವಿಶಾಲ ಬ್ಯಾಂಡ್
সম্প্ৰচাৰ বেণ্ড,ಪ್ರಸಾರ ಬ್ಯಾಂಡ್
নক্ষত্ৰীয় এৰে,ಆಸ್ಟ್ರಲ್ ಅರೇ
সম্প্ৰচাৰ,ಪ್ರಸಾರ
সম্প্ৰচাৰ এন্টেনা,ಪ್ರಸಾರ ಆಂಟೆನಾ
সম্প্ৰচাৰ গ্ৰাহক,ಪ್ರಸಾರ ರಿಸೀವರ್
কম্পাঙ্ক সম্প্ৰচাৰ গ্ৰাহক,ಆವರ್ತನ ಪ್ರಸಾರ ರಿಸೀವರ್
সম্প্ৰচাৰ ট্ৰেন্সমিটাৰ,ಪ್ರಸಾರ ಟ್ರಾನ್ಸ್ಮಿಟರ್
বুষ্টাৰ এন্টেনা,ಬೂಸ್ಟರ್ ಆಂಟೆನಾ
বাছ এন্টেনা,ಬಸ್ ಆಂಟೆನಾ
ব্ৰাছ বিসৰ্জন,ಬ್ರಷ್ ಇಮ್ಮರ್ಶನ್
bubbling AND গেট,ಬಬ್ಲಿಂಗ್ ಮತ್ತು ಗೇಟ್
বুডবুডু বা গেট,ಬುಡ್ಬುಡು ಅಥವಾ ಗೇಟ್
বুদবুদযুক্ত স্মৃতিশক্তি,ಬಬ್ಲಿ ನೆನಪು
