Bengali,Kannada
অধিগ্রহণ,ಸ್ವಾಧೀನಪಡಿಸಿಕೊಳ್ಳುವುದು
খালাস,ಸ್ವಾಧೀನಪಡಿಸಿಕೊಳ್ಳುವುದು
আইন,ಕಯ
অভিনয় ভাতা,ನಟನಾ ಭತ್ಯೆ
কর্ম,ಕ್ರಿಯಾಶೀಲತೆ
অ্যাকশন প্ল্যান,ಕಾರ್ಯ ತಂತ್ರ
সক্রিয়,ಸಕ್ರಿಯ
সক্রিয়ভাবে,ಸಕ್ರಿಯವಾಗಿ
কর্মী,ಕಾರ್ಯಕರ್ತ
Of শ্বরের আইন,ಭಗವಂತನ ಆಟ
অসদাচরণের আইন,ದುಷ್ಕೃತ್ಯದ ಕ್ರಿಯೆ
কমিশন ও বাদ দেওয়া আইন,ಆಯೋಗ ಮತ್ತು ಲೋಪದ ಕ್ರಿಯೆ
আসল,ನಿಜವಾದ
বাস্তব,ವಾಸ್ತವಿಕ
অভিযোজন,ರೂಪಾಂತರ
সংযোজন,ಸೇರ್ಪಡೆ
অতিরিক্ত চার্জ,ಹೆಚ್ಚುವರಿ ಶುಲ್ಕ
অতিরিক্ত তহবিল,ಹೆಚ್ಚುವರಿ ನಿಧಿ
অতিরিক্ত অনুদান,ಹೆಚ್ಚುವರಿ ಅನುದಾನ
অতিরিক্ত তথ্য,ಹೆಚ್ಚುವರಿ ಮಾಹಿತಿ
অতিরিক্ত বেতন,ಹೆಚ್ಚುವರಿ ವೇತನ
সংযোজন এবং পরিবর্তন,ಸೇರ್ಪಡೆ ಮತ್ತು ಬದಲಾವಣೆ
ঠিকানা,ಭಾಷಣ
ঠিকানা,ವಿಳಾಸದಾರ
স্বাগত ঠিকানা,ಸ್ವಾಗತದ ವಿಳಾಸ
পর্যাপ্ত,ಸಮರ್ಪಕ
মেনে চলুন,ಅಂಟಿಕೊಳ್ಳಿ
অ্যাডহক,ತಾತ್ಕಾಲಿಕ
অ্যাডহক দাবি,ತಾತ್ಕಾಲಿಕ ಹಕ್ಕು
তদর্থক কমিটি,ತಾತ್ಕಾಲಿಕ ಸಮಿತಿ
অ্যাডহক বৃদ্ধি,ತಾತ್ಕಾಲಿಕ ಹೆಚ್ಚಳ
অ্যাডহক পেমেন্ট,ತಾತ್ಕಾಲಿಕ ಪಾವತಿ
সংলগ্ন,ಪಕ್ಕದ
সংলগ্ন (= সংহত),ಪಕ್ಕದ (= ಸಮೀಪ)
স্থগিতাদেশ,ಮುಂದೂಡಿಕೆ
স্থগিতের গতি,ಮುಂದೂಡುವ ಚಲನೆ
রায়,ತೀರ್ಪು
বিচারক,ತೀರ್ಮಾನಿಸು
বিচার,ಯಜಮಾನ
বিচারক,ತೀರ್ಪುಗಾರ
সামঞ্জস্য,ಹೊಂದಾಣಿಕೆ
প্রশাসনিক,ನಿರ್ವಹಿಸು
শপথ পরিচালনা করুন,ಪ್ರಮಾಣವಚನ ಸ್ವೀಕರಿಸಿ
প্রশাসন,ಆಡಳಿತ
বিচার প্রশাসন,ನ್ಯಾಯದ ಆಡಳಿತ
প্রশাসনিক,ಆಡಳಿತಕಾರಿಯಾದ
প্রশাসনিক ক্রিয়া,ಆಡಳಿತಾಧಿಕಾರಿ ಕ್ರಿಯೆ
প্রশাসনিক মূল্যায়ন,ಆಡಳಿತಾಧಿಕಾರಿ ಮೌಲ್ಯಮಾಪನ
প্রশাসনিক অনুমোদন,ಆಡಳಿತಾಧಿಕಾರಿ ಅನುಮೋದನೆ
প্রশাসনিক কর্তৃপক্ষ,ಆಡಳಿತ ಪ್ರಾಧಿಕಾರದ
প্রশাসনিক নিয়ন্ত্রণ,ಆಡಳಿತ ನಿಯಂತ್ರಣ
প্রশাসনিক সিদ্ধান্ত,ಆಡಳಿತಾತ್ಮಕ ನಿರ್ಧಾರ
প্রশাসনিক দপ্তর,ಆಡಳಿತ ಇಲಾಖೆ
প্রশাসনিক মাথা,ಆಡಳಿತಾಧಿಕಾರಿ
প্রশাসনিক সদর দফতর,ಆಡಳಿತ ಕೇಂದ್ರ ಕಚೇರಿ
প্রশাসনিক ব্যবস্থা,ಆಡಳಿತಾತ್ಮಕ ಕ್ರಮಗಳು
প্রশাসনিক শক্তি,ಆಡಳಿತ ಅಧಿಕಾರ
প্রশাসনিক অনুমোদন,ಆಡಳಿತಾಧಿಕಾರಿ ಅನುಮೋದನೆ
প্রশাসনিক কৌশল,ಆಡಳಿತ ತಂತ್ರ
প্রশাসনিক ট্রাইব্যুনাল,ಆಡಳಿತ ನ್ಯಾಯಸಮ್ಮತ
প্রবেশযোগ্যতা,ಪ್ರವೇಶಸಾಧ್ಯತೆ
স্বীকৃত ব্যয়,ಸ್ವೀಕಾರಾರ್ಹ ಖರ್ಚು
স্বীকার করুন,ಒಪ್ಪಿಸು
ভর্তি কার্ড,ಪ್ರವೇಶ ಕಾರ್ಡ್
ভর্তি,ಒಪ್ಪಿಕೊಂಡ
উপদেশ,ಕವಲೊಡೆಯು
গ্রহণ,ಅಳವಡಿಕೆದಾರ
গ্রহণকারী,ರೋಗಿ
গ্রহণ,ದತ್ತು
প্রাপ্তবয়স্ক,ವಯಸ್ಕ
ভেজাল,ವ್ಯಭಿಚಾರ
ব্যভিচার,ವ್ಯಭಿಚಾರ
প্রাপ্তবয়স্ক ভোটাধিকার,ವಯಸ್ಕರ ಫ್ರ್ಯಾಂಚೈಸ್
বিজ্ঞাপন ভ্যালোরেম ডিউটি,ಜಾಹೀರಾತು ಶೌರ್ಯ ಕರ್ತವ್ಯ
অগ্রিম,ಮುನ್ನಡೆ
আগাম বুকিং,ಮುಂಗಡ ಬುಕಿಂಗ್
অগ্রিম অনুলিপি,ಮುನ್ನಡೆ
অগ্রিম বৃদ্ধি,ಮುಂಗಡ ಹೆಚ್ಚಳ
অগ্রিম প্রদান,ಮುಂಗಡ ಪಾವತಿ
প্রতিকূল এন্ট্রি,ಪ್ರತಿಕೂಲ ಪ್ರವೇಶ
বিরূপ মন্তব্য,ಪ್ರತಿಕೂಲ ಟೀಕೆಗಳು
প্রতিকূল প্রতিবেদন,ಪ್ರತಿಕೂಲ ವರದಿ
বিজ্ঞাপন,ಆಯ್ಕೆ
পরামর্শ,ಸಲಹೆ
অর্থ প্রদানের পরামর্শ,ಪಾವತಿಯ ಸಲಹೆ
উপদেষ্টা কমিটি,ಸಲಹಾ ಸಮಿತಿ
উপদেষ্টা পরিষদ,ಸಲಹಾ ಮಂಡಳಿ
অ্যাডভোকেট,ಪ್ರತಿಪಾದಿಸು
বিষয়,ವ್ಯವಹಾರ
হলফনামা,ಅಫಿಡವಿಟ್
অধিভুক্তি,ಉಪಶಮನ
নিশ্চিতকরণ,ದೃ ir ೀಕರಣ
ইতিবাচক,ದೃ irf ೀಕರಣದ
সামর্থ্য,ಆತುರಿಸು
উপরোক্ত,ಈನಟ
নতুন করে,ಹೊಸದಾಗಿ
বিরুদ্ধে,ವಿರುದ್ಧವಾಗಿ
বয়স,ವಯಸ್ಸು
বয়স শংসাপত্র,ವಯಸ್ಸಾದ ಪ್ರಮಾಣಪತ್ರ
ভোটাধিকার জন্য বয়স,ಮತದಾರರ ವಯಸ್ಸು
বয়স সীমা,ವಯಸ್ಸಿಗೆ
এজেন্সি,ವಾಗ್ದಾನ
আলোচ্যসূচি,ಕಾಗಾರ
অবসর বয়স,ನಿವೃತ್ತಿಯ ವಯಸ್ಸು
তদারকির বয়স,ಮೇಲ್ವಿಚಾರಣೆಯ ವಯಸ್ಸು
সমষ্টি,ಒಟ್ಟುಗೂಡಿಸುವಿಕೆ
আক্রান্ত,ದುಃಖಿಸಿದ
আন্দোলন,ಆಂದೋಲನ
এজিএম,ಅವಾತ
চুক্তি,ಒಪ್ಪಂದ
চুক্তি ফর্ম,ಒಪ್ಪಂದದ ರೂಪ
কৃষি,ಕೃಷಿ
শস্য উৎপাদন কেন্দ্র,ಕೃಷಿ ಉದ್ಯಮ
সাহায্য,ನೆರವು
অ্যালার্ম,ಎಚ್ಚರಿಕೆ
সতর্কতা,ಜಾಗರೂಕತೆ
ওরফে,ಅಲಿಯಾಸ್
অভিযোগ,ಆರೋಪಣೆ
আনুগত্য,ನಿಷ್ಠೆ
জোট,ಮೈತ್ರಿ
মিত্র পরিষেবা,ಮಿತ್ರ ಸೇವೆಗಳು
সমস্ত অন্তর্ভুক্ত ব্যয়,ಎಲ್ಲಾ ಅಂತರ್ಗತ ವೆಚ್ಚ
সমস্ত ভারত পরিষেবা,ಅಖಿಲ ಭಾರತ ಸೇವೆಗಳು
বরাদ্দ,ಮನವಸಿಕೆ
বরাদ্দ,ಹಂಚಿಕೆ
বরাদ্দ চিঠি,ಹಂಚಿಕೆ ಪತ್ರ
বরাদ্দ,ಹಂಚುವವ
অনুমোদিত,ಅನುಮತಿಸುವ
অনুমোদিত ব্যয়,ಅನುಮತಿಸುವ ವೆಚ್ಚಗಳು
একটি আপিলের অনুমতি দিন,ಮನವಿಯನ್ನು ಅನುಮತಿಸಿ
ভাতা,ಭತ್ಯೆ
সমস্ত অধিকার সংরক্ষিত,ಎಲ್ಲ ಹಕ್ಕುಗಳನ್ನು ಕಾಯ್ದಿರಿಸಲಾಗಿದೆ
বর্ণমালা অর্ডার,ವರ್ಣಮಾಲೆ
বিক্ষোভ,ವಾಗ್ವಾದ
বিকল্প,ಪರ್ಯಾಯ
বিকল্প,ಬದಲಕ
সংমিশ্রণ,ಸಂಯೋಗ
সংশোধিত খসড়া,ತಿದ್ದುಪಡಿ ಮಾಡಿದ ಕರಡು
সংশোধন,ತಿದ್ದುಪಡಿ
সুযোগ,ಸೌಕರ್ಯ
মায়াময়,ಸೌಹಾರ್ದಯುತ
গোলাবারুদ,ಮದ್ದುಗುಂಡು
Debt ণের or ণদান,ಸಾಲದ ಭೋಗ್ಯ
পরিমাণ,ಮೊತ್ತ
পেনশন পরিমাণ,ಪಿಂಚಣಿ ಪ್ರಮಾಣ
সাদৃশ্য পোস্ট,ಸಾದೃಶ್ಯದ ಹುದ್ದೆ
বিশ্লেষণ,ವಿಶ್ಲೇಷಣೆ
বিশ্লেষণাত্মক অধ্যয়ন,ವಿಶ್ಲೇಷಣಾತ್ಮಕ ಅಧ್ಯಯನ
পূর্বপুরুষ,ಪೂರ್ವಜ
আনুষঙ্গিক শিল্প,ಪೂರಕ ಉದ್ಯಮ
শত্রুতা,ದ್ವೇಷ
সংযুক্তি,ಅನುಬಂಧ
বার্ষিকী,ವಾರ್ಷಿಕೋತ್ಸವ
ঘোষণা,ಪ್ರಕಟಿಸುವುದು
বিরক্তি,ಕಿರಿಕಿರಿಯ
বার্ষিক আর্থিক বিবৃতি,ವಾರ್ಷಿಕ ಹಣಕಾಸು ಹೇಳಿಕೆ
বার্ষিক প্রতিবেদন,ವಾರ್ಷಿಕ ವರದಿ
বার্ষিকী,ವರ್ಷಾಶನ
বেনামে,ಅನಾಮಿಕ
বেনামে অভিযোগ,ಅನಾಮಧೇಯ ದೂರು
উত্তরযোগ্যতা,ಉತ್ತರಾಧಿಕಾರಿಯಾಗದಿರುವಿಕೆ
উত্তরপত্র,ಉತ್ತರ ಪತ್ರಿಕೆ
বিরোধী,ವಿರೋಧಿ
পূর্বসূরি,ಪೂರ್ವಸಿದ್ಧತೆಗಳು
প্রত্যাশিত ব্যয়,ನಿರೀಕ್ಷಿತ ಖರ್ಚು
প্রত্যাশিত আয়,ನಿರೀಕ್ಷಿತ ಆದಾಯ
অগ্রজ্ঞান,ನಿರೀಕ್ಷಣೆ
প্রত্যাশিত জামিন,ನಿರೀಕ್ಷಿತ ಜಾಮೀನು
দুর্নীতি দমন ব্যবস্থা,ಭ್ರಷ್ಟಾಚಾರ ವಿರೋಧಿ
অ্যান্টি-ডাম্পিং,ಡಂಪಿಂಗ್ ವಿರೋಧಿ
প্রাচীন,ಪ್ರಾಚೀನ
বর্ণবাদ,ವರ್ಣಭೇದ
উদাসীনতা,ನಿರಾಸಕ್ತಿ
অ্যাপেক্স বডি,ತುದಿ ದೇಹ
ক্ষমা প্রার্থনা,ಕ್ಷಮೆ
আবেদন,ಮನವಿಯನ್ನು
চেহারা,ಗೋಚರತೆ
সন্তুষ্টি,ಸಮಾಧಾನ
আপিল ট্রাইব্যুনাল,ಮೊದಲೇ ನ್ಯಾಯಮಂಡಣಿ
পরিশিষ্ট,ಅನುಬಂಧ
যন্ত্রপাতি,ಉಪಕರಣ
প্রযোজ্য,ಅನ್ವಯಿಸುವ
প্রার্থী,ಅರ್ಜಿದಾರ
আবেদন,ಅನ್ವಯಿಸು
আবেদনপত্র,ಅರ್ಜಿ
প্রয়োগ,ಅನ್ವಯಿಕ
প্রয়োগ করুন,ಅನ್ವಯಿಸು
নিয়োগ,ನೇಮಕಾತಿ
কর্তৃপক্ষ নিয়োগ,ಅಧಿಕಾರವನ್ನು ನೇಮಿಸುವುದು
অ্যাপয়েন্টমেন্ট,ನೇಮಕ
নিয়োগপত্র,ನೇಮಕಾತಿ ಪತ್ರ
মন্ত্রিপরিষদের অ্যাপয়েন্টমেন্ট কমিটি,ಕ್ಯಾಬಿನೆಟ್ನ ನೇಮಕಾತಿ ಸಮಿತಿ
মজুরির অংশ,ವೇತನದ ಹಂಚಿಕೆ
মূল্যায়ন,ಮೌಲ್ಯಮಾಪಕ
মূল্যায়নকারী,ಮೌಲ್ಯಮಾಪಕ
প্রশংসা,ಮೆಚ್ಚುಗೆ
আশঙ্কা,ಭಯ
শিক্ষানবিশ,ಅಪ್ರೆಂಟಿಸ್
পদ্ধতির,ಸಮೀಪಿಸು
যথাযথ,ಸೂಕ್ತ
যথাযথ ব্যবস্থা,ಸೂಕ್ತ ಕ್ರಮ
উপযুক্ত মাথা,ಸೂಕ್ತ ತಲೆ
বরাদ্দ,ಸ್ವಾಧೀನಪಡಿಸಿಕೊಳ್ಳುವುದು
অনুমোদন,ಅನುಮೋದನೆ
আনুমানিক,ಅಂದಾಜು
বুদ্ধিমত্তার পরীক্ষা,ಆಪ್ಟಿಟ್ಯೂಡ್ ಪರೀಕ್ಷೆ
ইচ্ছামত,ಅನಿಯಂತ್ರಿತ
সালিশ,ನಿಣಿಸು
সালিশ,ಮಧ್ಯಸ್ಥಿಕೆ
আরবিট্রেশন ট্রাইব্যুনাল,ಮಧ್ಯಸ್ಥಿಕೆ ನ್ಯಾಯಮಂಡಳ
সালিস,ಮಧ್ಯಸ್ಥ
আর্কিটেকচার,ವಾಸ್ತುಶಿಲ್ಪಿ
সংরক্ষণাগার,ಆರ್ಕೈವ್ಸ್
অঞ্চল,ಪ್ರದೇಶ
অঞ্চল সদর দফতর,ಪ್ರದೇಶದ ಪ್ರದೇಶ
যুক্তি,ವಾದ
উত্থিত,ಹುಳು
সশস্ত্র বাহিনী,ಸಶಸ್ತ್ರ ಪಡೆ
ব্যবস্থা,ಜೋಡಣೆ
বকেয়া,ಬಾಕಿ
বকেয়া বিবৃতি,ಬಾಕಿ ಹೇಳಿಕೆ
আগমনের প্রতিবেদন,ಆಗಮನ ವರದಿ
অহংকার,ಅಸ್ತವ್ಯಸ್ತತೆ
আর্সেনাল,ಸ ೦ ತಾನು
নিবন্ধ,ಲೇಖನ
সমিতির নিবন্ধ,ಸಂಘದ ಲೇಖನಗಳು
নিবন্ধ,ಲೇಖನಗಳು
উর্দ্ধক্রমানুসারে,ಆರೋಹಣ
নিরূপণ করা,ಒತ್ತಿಹೇಳಿಸು
যেমনটি যেখানে,ಎಲ್ಲಿದೆ
দিক,ಆಕಾರ
Aspersion,ಆಪಾದನೆ
হত্যাকাণ্ড,ಹತ್ಯೆ
হামলা,ದಾಳಿ
একত্রিত করা,ಜೋಡಿಸು
সমাবেশ,ಸಭೆ
সম্মতি,ಒಪ್ಪು
জাহির করা,ಪ್ರತಿಪಾದಿಸು
মূল্যায়নকারী,ಮೌಲ್ಯಮಾಪಕ
মূল্যায়ন,ಮೌಲ್ಯಮಾಪನ
মূল্যায়ন বছর,ಮೌಲ್ಯಮಾಪನ ವರ್ಷ
মূল্যায়নকারী,ಮೌಲ್ಯಮಾಪಕ
সম্পদ,ಸ್ವಸಮಾನಗಳು
Assignee,ನಿಯೋಗಿ
অ্যাসাইনমেন্ট,ನಿಯೋಜನೆ
নিয়োগকারী,ನಿಯೋಜಕ
সহায়তা,ಸಹಾಯ
সহযোগী,ಜೊತೆಗಾರ
সংঘ,ಸಂಘ
চার্জ অনুমান,ಚಾರ್ಜ್ನ umption ಹೆ
আশ্বাস,ಭರವಸೆ
আশ্বাস সংস্থা,ಅಶ್ಯೂರೆನ್ಸ್ ಕಂಪನಿ
আশ্বাস,ಭರವಸೆ ಕೊಡು
ছাড় এ,ರಿಯಾಯಿತಿಯಲ್ಲಿ
পারমাণবিক শক্তি,ಪರಮಾಣು ಶಕ್ತಿ
সমমূল্যে,ಸಮನಾಗಿ
প্রিমিয়ামে,ಪ್ರೀಮಿಯಂನಲ್ಲಿ
সংযুক্ত,ಲಗತ್ತಿಸು
সংযুক্ত অফিস,ಲಗತ್ತಿಸಲಾದ ಕಚೇರಿ
সংযুক্তি,ಬಾಂಧಾಣ
সংযুক্তি আদেশ,ಲಗತ್ತು ಆದೇಶ
অর্জন,ಸಾಧನೆ
চেষ্টা,ಪ್ರಯತ್ನ
উপস্থিতি,ಹಾಜರಾತಿ
উপস্থিতি নিবন্ধ,ಹಾಜರಾತಿ ನೋಂದಣಿ
উপস্থিতি স্লিপ,ಹಾಜರಾತಿ ಸ್ಲಿಪ್
মনোযোগ,ಗಮನ
সত্যতা,ದೃestೀಕರಣ
সত্যায়িত অনুলিপি,ದೃ ested ೀಕರಿಸಿದ ಪ್ರತಿ
মনোভাব,ವರ್ತನೆ
আকর্ষণীয় বেতন,ಆಕರ್ಷಕ ಸಂಬಳ
নিলাম,ಹರಾಜು
নিলামকারী,ಹರಾಜುದಾರ
নিলাম বিক্রয়,ಹರಾಜು ಮಾರಾಟ
শ্রোতা,ಪ್ರೇಕ್ಷಕರು
অডিও-ভিজ্যুয়াল ডিসপ্লে,ಆಡಿಯೊ ದೃಶ್ಯ ಪ್ರದರ್ಶನ
অডিও-ভিজ্যুয়াল প্রচার,ಆಡಿಯೋ ದೃಶ್ಯ ಪ್ರಚಾರ
নিরীক্ষা,ಲೆಕ್ಕಪರಿಶೋಧನೆ
নিরীক্ষিত অ্যাকাউন্ট,ಲೆಕ್ಕಪರಿಶೋಧಿತ ಖಾತೆಗಳು
নিরীক্ষিত ব্যালেন্স শীট,ಲೆಕ್ಕಪರಿಶೋಧಿತ ಬ್ಯಾಲೆನ್ಸ್ ಶೀಟ್
নিরীক্ষণ,ಲೆಕ್ಕಾಚಾರ
নিরীক্ষা আপত্তি,ಲೆಕ್ಕಪರಿಶೋಧನೆ
নিরীক্ষকের প্রতিবেদন,ಲೆಕ್ಕಪರಿಶೋಧಕರ ವರದಿ
অডিটোরিয়াম,ಸಭಾಪತಿ
অডিট অনুচ্ছেদ,ಲೆಕ್ಕಪರಿಶೋಧನೆ
অডিট রিপোর্ট,ಲೆಕ್ಕಪರಿಶೋಧನೆ
কঠোরতা,ಕಠಿಣತೆ
কঠোরতা ব্যবস্থা,ಕಠಿಣತೆ ಕ್ರಮಗಳು
খাঁটি,ಅಧಿಕೃತ
অনুমোদিত প্রতিনিধি,ಅಧಿಕೃತ ಪ್ರತಿನಿಧಿ
কর্তৃত্বমূলক,ಅಧಿಕೃತವಾದ
কর্তৃপক্ষ,ಅಧಿಕಾರ
কর্তৃপক্ষের চিঠি,ಅಧಿಕಾರ ಪತ್ರ
অনুমোদিত,ಅಧಿಕಾರಾವಧ
স্বীকৃত মূলধন,ಅಧಿಕೃತ ಬಂಡವಾಳ
স্বয়ংক্রিয়,ಸ್ವಯಂಚಾಲಿತ
স্বায়ত্তশাসিত,ಸ್ವಾಯತ್ತ
স্বায়ত্তশাসিত শরীর,ಸ್ವಾಯತ್ತ ದೇಹ
স্বায়ত্তশাসন,ಸ್ವಾಯತ್ತತೆ
সহায়ক,ಸಹಾಯಕ
উপলব্ধ,ಲಭ್ಯ
গড়,ಸರಾಸರಿ
গড় ছুটি,ಸರಾಸರಿ ರಜೆ
বিপর্যয়,ನಿವಾರಣೆ
এড়ানো,ತಪ್ಪಿಸು
এড়াতে,ತಪ್ಪಿಸಲು
কর এড়ানো,ತೆರಿಗೆ ತಪ್ಪಿಸುವುದು
অপেক্ষা করছি,ಕಾಯುತ್ತಿರುವ
পুরষ্কার,ಪ್ರಶಸ್ತಿ
পুরষ্কার কর্তৃপক্ষ,ಪ್ರಶಸ್ತಿ ಪ್ರಾಧಿಕಾರ
সচেতনতা,ಅ ೦ ಗಿರುವಿಕೆ
ব্যাকডেটেড,ಹಿತ್ತಲಿನ
পটভূমি,ಹಿನ್ನೆಲೆ
জমা কাজ,ಹಿಂದಿನ ಲಾಗ್
ফিরে,ಹಿಂದೆ
পিছনে রেফারেন্স,ಹಿಂದಿನ ಉಲ್ಲೇಖ
ব্যাক আপ,ಬ್ಯಾಕ್ ಅಪ್
পশ্চাদপদ শ্রেণি,ಹಿಂದುಳಿದ ತರಗತಿಗಳು
পশ্চাদপদ উপজাতি,ಹಿಂದುಳಿದ ಬುಡಕಟ್ಟು
খারাপ দর কষাকষি,ಕೆಟ್ಟ ಚೌಕಾಶಿ
খারাপ আচরণ,ಕೆಟ್ಟ ನಡತೆ
খারাপ চরিত্র,ಕೆಟ್ಟ ಪಾತ್ರ
খারাপ জলবায়ু ভাতা,ಕೆಟ್ಟ ಹವಾಮಾನ ಭತ್ಯೆ
খারাপ আচরণ,ಕೆಟ್ಟ ನಡವಳಿಕೆ
খারাপ ঋণ,ಕೆಟ್ಟ ಸಾಲ
লাগেজ,ಸಾಮಾನು ಸರಂಜಾಮು
জামিন,ಜಾಮೀನು
ভারসাম্য,ಸಮತೋಲನ
ভারসাম্য নামা,ಸಮತೋಲನವನ್ನು ಉರುಳಿಸಿದೆ
ভারসাম্য এগিয়ে আনা,ಸಮತೋಲನವನ್ನು ಮುಂದಕ್ಕೆ ತರಲಾಗಿದೆ
সুষম বাজেট,ಸಮತೋಲಿತ ಬಜೆಟ್
ব্যালেন্স শীট,ಸಮತೋಲನ
ব্যালট,ಮತದಾನ
ব্যালট বাক্স,ಮತಪೆಟ್ಟಿಗೆ
ভোট পত্র,ಮತದಾನದ ಕಾಗದ
নিষেধাজ্ঞা,ನಿಷೇಧಿಸು
ব্যাংক,ಬ್ಯಾಂಕ್
ব্যাংক হিসাব,ಬ್ಯಾಂಕ್ ಖಾತೆ
ব্যাংক ভারসাম্য,ಬ್ಯಾಂಕ್ ಬ್ಯಾಲೆನ್ಸ್
ব্যাংক চার্জ,ಬ್ಯಾಂಕ್ ಶುಲ್ಕಗಳು
ব্যাংক গ্যারান্টি,ಬ್ಯಾಂಕ್ ಖಾತರಿ
ব্যাংক ছুটির দিন,ಬ್ಯಾಂಕ್ ರಜೆ
ব্যাংকিং সুবিধা,ಬ್ಯಾಂಕಿಂಗ್ ಸೌಲಭ್ಯ
ব্যাংকিং সময়,ಬ್ಯಾಂಕಿಂಗ್ ಸಮಯ
ব্যাংকিং লেনদেন,ಬ್ಯಾಂಕಿಂಗ್ ವಹಿವಾಟು
ব্যাংক হার,ಬ್ಯಾಂಕ್ ಪ್ರಮಾಣ
ব্যাংক পুনর্মিলন,ಬ್ಯಾಂಕ್ ಸಮನ್ವಯ
দেউলিয়া,ದಿವಾಳಿಯಾದ
ব্যাংক সুরক্ষা,ಬ್ಯಾಂಕ್ ಭದ್ರತೆ
ব্যাংক দলিল,ಬ್ಯಾಂಕ್ ಲೆಕ್ಕವಿವರಣೆ
বনভোজন,Banಟ
বার কাউন্সিল,ಪಟ್ಟಿಗ ಮಂಡಳಿ
