Marathi,Odiya
अल्फान्यूमेरिक की बोर्ड,ବର୍ଣ୍ଣମାଳା କି ବୋର୍ଡ |
अल्फा-चाचणी,ଆଲଫା-ପରୀକ୍ଷା
अल्फा आवृत्ती,ଆଲଫା-ସଂସ୍କରଣ |
alt की,alt କି
altavista,altavista
अस्पष्टता,ଅସ୍ପଷ୍ଟତା |
अस्पष्ट व्याकरण,ଅସ୍ପଷ୍ଟ ବ୍ୟାକରଣ
अमेरिकन राष्ट्रीय मानक संस्था (ANSI),ଆମେରିକୀୟ ଜାତୀୟ ମାନକ ପ୍ରତିଷ୍ଠାନ (ANSI)
अमेरिकन स्टँडर्ड कोड फॉर इन्फॉर्मेशन इंटरचेंज (ASCII),ସୂଚନା ଆଦାନ ପ୍ରଦାନ ପାଇଁ ଆମେରିକୀୟ ଷ୍ଟାଣ୍ଡାର୍ଡ କୋଡ୍ (ASCII)
अॅनालॉग,analog
अॅनालॉग संगणक,ଆନାଗଲ୍ କମ୍ପ୍ୟୁଟର |
अॅनालॉग डिव्हाइस,analog ଉପକରଣ
अॅनालॉग मॉडेम,ଆନାଗଲ୍ ମୋଡେମ୍ |
अॅनालॉग ते डिजिटल कनव्हर्टर (ADC),ଡିଜିଟାଲ୍ କନଭର୍ଟର (ADC)
आणि,ଏବଂ
आणि सर्किट,ଏବଂ ସର୍କିଟ |
आणि गेट,ଏବଂ ଫାଟକ |
आणि ऑपरेशन नाही (अपवर्जन),ଏବଂ ଅପରେସନ୍ ନୁହେଁ (ବହିଷ୍କାର)
अॅनिमेशन,ଆନିମେସନ୍
भाष्य,ଟିପ୍ପଣୀ
विसंगती,ଅନୋମାଲିୟା |
पूर्ववर्ती,ପ୍ରାଚୀନ
आगाऊ पेजिंग,ଆଶାକର୍ମୀ ପେଜିଂ |
विरोधी सममित,ଆଣ୍ଟି-ସିମେଟ୍ରିକ୍ |
अँटीव्हायरस प्रोग्राम,ଆଣ୍ଟିଭାଇରସ୍ ପ୍ରୋଗ୍ରାମ୍ |
ऍपलेट,ଆପଲେଟ୍
अनुप्रयोग विकासक,ପ୍ରୟୋଗ ବିକାଶକାରୀ
अनुप्रयोग प्रोग्रामिंग,ପ୍ରୟୋଗ ପ୍ରୋଗ୍ରାମିଂ
ऍप्लिकेशन प्रोग्रामिंग इंटरफेस (API),ପ୍ରୟୋଗ ପ୍ରୋଗ୍ରାମିଂ ଇଣ୍ଟରଫେସ୍ (API)
अनुप्रयोग सॉफ्टवेअर,ପ୍ରୟୋଗ ସଫ୍ଟୱେର୍
उपयोजक भाषा,ପ୍ରୟୋଗ ଭାଷା |
अंदाजे सिद्धांत,ଆନୁମାନିକ ତତ୍ତ୍। |
आर्किटेक्चर,ସ୍ଥାପତ୍ୟ
क्षेत्र हस्तांतरण,କ୍ଷେତ୍ର ସ୍ଥାନାନ୍ତର |
युक्तिवाद,ଯୁକ୍ତି
अंकगणित आणि तर्कशास्त्र एकक,ଗାଣିତିକ ଏବଂ ତର୍କ ଏକକ |
अंकगणित तपासणी,ଗାଣିତିକ ଯାଞ୍ଚ |
अंकगणित स्थिरांक,ଗାଣିତିକ ସ୍ଥିର |
अंकगणित डेटा,ଗାଣିତିକ ତଥ୍ୟ
अंकगणित सूचना,ଗାଣିତିକ ନିର୍ଦ୍ଦେଶ
अंकगणित आणि तर्कशास्त्र एकक (ALU),ଗାଣିତିକ ଏବଂ ତର୍କ ଏକକ (ALU)
अर्पानेट,ARPANET
रचना,ଆରେ
अॅरे कॅशे,ଆରେ କ୍ୟାଚ୍
अॅरे संगणक,ଆରେ କମ୍ପ୍ୟୁଟର |
अॅरे घटक,ଆରେ ଉପାଦାନ |
अॅरे नाव,ଆରେ ନାମ
अॅरे प्रोसेसर,ଆରେ ସଞ୍ଚାଳକ
बाण दर्शक बटणे,ତୀର କିଗୁଡ଼ିକ
उच्चार,ଆର୍ଟିକିଲେସନ୍
उच्चार बिंदू,ଆର୍ଟିକ୍ୟୁଲେସନ୍ ପଏଣ୍ଟ |
कृत्रिम कॉम्पॅक्शन,କୃତ୍ରିମ ସଙ୍କୋଚନ |
कृत्रिम नियंत्रण,କୃତ୍ରିମ ନିୟନ୍ତ୍ରଣ |
कृत्रिम बुद्धिमत्ता,କୃତ୍ରିମ ବୁଦ୍ଧି
चढणारा,ଆରୋହଣ
चढत्या क्रमवारी,ଆରୋହଣ କ୍ରମ
ASCII बेटिकल ऑर्डर,ASCII ବେଟିକାଲ୍ କ୍ରମ |
ASCII नियंत्रण वर्ण,ASCII ନିୟନ୍ତ୍ରଣ ବର୍ଣ୍ଣ |
ASCII फाइल,ASCII ଫାଇଲ୍ |
ASCII फॉन्ट,ASCII ଫଣ୍ଟ |
ASCII हस्तांतरण,ASCII ସ୍ଥାନାନ୍ତର |
प्रसर गुणोत्तर,ଆନୁମାନିକ ଅନୁପାତ
एएसपीआय,ASPI
ASR टाइमर,ASR ଟାଇମର୍ |
एकत्र करणे,ଏକତ୍ର ହୁଅ
असेंबलर,ଏକତ୍ରକାରୀ
विधानसभा,ସଭା
विधानसभा भाषा,ସଭା ଭାଷା |
प्रतिपादन,ଧାରଣା
असाइनमेंट,ଆସାଇନମେଣ୍ଟ
संघटना,ସଙ୍ଗଠନ
सहयोगी पत्ता,ସହଯୋଗୀ ଠିକଣା
सहयोगी स्मृती,ସହଯୋଗୀ ସ୍ମୃତି
asteric,ନକ୍ଷତ୍ର
असममित,ଅସୀମିତ |
असिंक्रोनस,ଅସନ୍ତୁଳିତ |
असिंक्रोनस डिजिटल सबस्क्राइबर लाइन (ADSL),ଅସନ୍ତୁଳିତ ଡିଜିଟାଲ୍ ସବସ୍କ୍ରାଇବର ଲାଇନ (ADSL)
असिंक्रोनस टाइम डिव्हिजन मल्टीप्लेक्सिंग (ATDM),ଅସନ୍ତୁଳିତ ସମୟ ବିଭାଗ ମଲ୍ଟିପ୍ଲେସିଙ୍ଗ୍ (ATDM)
असिंक्रोनस हस्तांतरण,ଅସନ୍ତୁଳିତ ସ୍ଥାନାନ୍ତର |
एसिंक्रोनस ट्रान्सफर मोड (एटीएम),ଅସନ୍ତୁଳିତ ସ୍ଥାନାନ୍ତର ମୋଡ୍ (ଏଟିଏମ୍)
अणू,ପରମାଣୁ
संलग्न दस्तऐवज,ସଂଲଗ୍ନିତ ଡକ୍ୟୁମେଣ୍ଟ୍ |
संलग्न फाइल,ସଂଲଗ୍ନ ଫାଇଲ୍ |
संलग्नक,ସଂଲଗ୍ନ
विशेषता,ଗୁଣ
ऑडिओ,ଅଡିଓ
ऑडिट प्रोग्रामिंग,ପ୍ରୋଗ୍ରାମିଂ ଅଡିଟ୍ କରନ୍ତୁ |
तपासणीचे सूत्र,ଅଡିଟ୍ ଟ୍ରେଲ୍ |
वाढ,ବୃଦ୍ଧି
प्रमाणीकरण प्रोटोकॉल,ପ୍ରାମାଣିକିକରଣ ପ୍ରୋଟୋକଲ୍ |
ऑथरिंग सिस्टम,ଲେଖକ ପ୍ରଣାଳୀ
अधिकृतता,ପ୍ରାଧିକରଣ
स्वयं गोषवारा,ଅଟୋ ଅବଷ୍ଟ୍ରାକ୍ଟ |
ऑटोबूटिंग,ଅଟୋବୋଟିଂ
ऑटोकॅड,ଅଟୋକ୍ୟାଡ୍ |
ऑटोलॉग चालू,ଅଟୋଲୋଜି ଅନ୍
स्वयंचलित,ଅଟୋମେଟା |
ऑटोमेटा सिद्धांत,ସ୍ୱୟଂଚାଳିତ ତତ୍ତ୍। |
स्वयंचलित संगणन,ସ୍ୱୟଂଚାଳିତ ଗଣନା
स्वयंचलित डेटा प्रक्रिया,ସ୍ୱୟଂଚାଳିତ ତଥ୍ୟ ପ୍ରକ୍ରିୟାକରଣ |
स्वयंचलित त्रुटी सुधारणा,ସ୍ୱୟଂଚାଳିତ ତ୍ରୁଟି ସଂଶୋଧନ |
स्वयंचलित कार्य,ସ୍ୱୟଂଚାଳିତ କାର୍ଯ୍ୟ
स्वयंचलित अनुक्रमणिका,ସ୍ୱୟଂଚାଳିତ ସୂଚକାଙ୍କ |
स्वयंचलित लायब्ररी कॉल,ସ୍ୱୟଂଚାଳିତ ଲାଇବ୍ରେରୀ କଲ୍ |
स्वयंचलित प्रोग्रामिंग,ସ୍ୱୟଂଚାଳିତ ପ୍ରୋଗ୍ରାମିଂ |
स्वयंचलित पुनर्प्राप्ती कार्यक्रम,ସ୍ୱୟଂଚାଳିତ ପୁନରୁଦ୍ଧାର ପ୍ରୋଗ୍ରାମ |
स्वयंचलित दिनचर्या,ସ୍ୱୟଂଚାଳିତ ରୁଟିନ୍ |
स्वयंचलित प्रणाली पुनर्प्राप्ती,ସ୍ୱୟଂଚାଳିତ ତନ୍ତ୍ର ପୁନରୁଦ୍ଧାର
स्वयंचलित टेलर मशीन (एटीएम),ସ୍ୱୟଂଚାଳିତ ଟେଲର୍ ମେସିନ୍ (ଏଟିଏମ୍)
ऑटोमेशन,ସ୍ୱୟଂଚାଳିତ
ऑटो प्ले,ସ୍ଵତଃ ଚଳିତ
स्वयं जतन करा,ଅଟୋସେଭ୍ |
सहाय्यक,ସହାୟକକାରୀ
सहाय्यक मेमरी,ସହାୟକ ସ୍ମୃତି
सहायक स्टोरेज,ସହାୟକ ଷ୍ଟୋରେଜ୍
उपलब्ध यादी,ଉପଲବ୍ଧ ତାଲିକା |
उपलब्ध वेळ,ଉପଲବ୍ଧ ସମୟ |
सरासरी,ହାରାହାରି
awk (भाषा),awk (ଭାଷା)
बॅकएंड,ବ୍ୟାକେଣ୍ଡ୍ |
बॅकएंड प्रोसेसर,ବ୍ୟାକେଣ୍ଡ୍ ସଞ୍ଚାଳକ |
बॅकफेस काढणे,ବ୍ୟାକଫେସ୍ ଅପସାରଣ |
पार्श्वभूमी प्रक्रिया,ପୃଷ୍ଠଭୂମି ପ୍ରକ୍ରିୟାକରଣ |
बॅकिंग स्टोअर,ବ୍ୟାକିଂ ଷ୍ଟୋର |
बॅकपॅचिंग,ବ୍ୟାକପ୍ୟାଚ୍
बॅकस्पेस,ବ୍ୟାକସ୍ପେସ୍ |
बॅकट्रॅकिंग,ବ୍ୟାକଟ୍ରାକ୍
बॅकअप,ବ୍ୟାକ୍ ଅପ୍ |
बॅकअप मेमरी,ବ୍ୟାକ୍ ଅପ୍ ମେମୋରୀ |
मागास त्रुटी पुनर्प्राप्ती,ପଛୁଆ ତ୍ରୁଟି ପୁନରୁଦ୍ଧାର
ताळेबंद,ତୂଳନା ପତ୍ର
बँड,ବ୍ୟାଣ୍ଡ
बँड रुंदी,ବ୍ୟାଣ୍ଡ ଓସାର |
बँकरचा अल्गोरिदम,ବ୍ୟାଙ୍କର ଆଲଗୋରିଦମ |
बार कोड,ବାର୍ କୋଡ୍
बार कोड स्कॅनर,ବାର୍ କୋଡ୍ ସ୍କାନର୍ |
बार आलेख,ବାର୍ ଗ୍ରାଫ୍ |
मूळ पत्ता,ମୂଳ ଠିକଣା
बेस बँड,ବେସ୍ ବ୍ୟାଣ୍ଡ |
आधार क्रमांक,ଆଧାର ସଂଖ୍ୟା
बेस टेबल,ଆଧାର ଟେବୁଲ୍ |
बेसिक,ବେସିକ୍ |
मूलभूत नियंत्रण,ମ basic ଳିକ ନିୟନ୍ତ୍ରଣ |
मूलभूत इनपुट,ମ basic ଳିକ ଇନପୁଟ୍ |
मूलभूत सूचना,ମ basic ଳିକ ନିର୍ଦ୍ଦେଶ
मूलभूत आउटपुट,ମ basic ଳିକ ଆଉଟପୁଟ୍
मूलभूत पायरी,ମ basic ଳିକ ପଦକ୍ଷେପ |
तुकडी,ବ୍ୟାଚ୍
बॅच फाइल,ବ୍ୟାଚ୍ ଫାଇଲ୍ |
बॅच स्थिती,ବ୍ୟାଚ୍ ସ୍ଥିତି |
बॅच प्रक्रिया,ବ୍ୟାଚ୍ ପ୍ରକ୍ରିୟାକରଣ |
बॅच सिस्टम,ବ୍ୟାଚ୍ ସିଷ୍ଟମ୍ |
बॉड,baud
बॉड दर,ବାଉଡ୍ ହାର
तुळई,ବିମ୍
बेंचमार्क,ମାନଦଣ୍ଡ
द्विदिश संप्रेषण,ଦ୍ୱି-ଦିଗୀୟ ଯୋଗାଯୋଗ |
द्विदिश दुवा,ଦ୍ୱି-ଦିଗୀୟ ଲିଙ୍କ୍ |
बायनरी कोड,ବାଇନାରୀ କୋଡ୍ |
बायनरी अंक,ବାଇନାରୀ ଅଙ୍କ
बायनरी इनपुट आउटपुट सिस्टम (BIOS),ବାଇନାରୀ ଇନପୁଟ୍ ଆଉଟପୁଟ୍ ସିଷ୍ଟମ୍ (BIOS)
बायनरी संख्या,ବାଇନାରୀ ସଂଖ୍ୟା
बायनरी ऑपरेटर,ବାଇନାରୀ ଅପରେଟର୍ |
बायनरी संबंध,ବାଇନାରୀ ସମ୍ପର୍କ |
बायनरी शोध,ବାଇନାରୀ ସନ୍ଧାନ |
बायनरी सर्च ट्री (BST),ବାଇନାରୀ ସନ୍ଧାନ ବୃକ୍ଷ (BST)
बायनरी हस्तांतरण,ବାଇନାରୀ ସ୍ଥାନାନ୍ତର |
बायनरी झाड,ବାଇନାରୀ ଗଛ |
द्विध्रुवीय मेमरी,ଦ୍ୱିପାକ୍ଷିକ ସ୍ମୃତି
जन्म मृत्यू मॉडेल,ଜନ୍ମ ମୃତ୍ୟୁ ମଡେଲ |
जन्म मृत्यू प्रक्रिया,ଜନ୍ମ ମୃତ୍ୟୁ ପ୍ରକ୍ରିୟା |
बिट,ବିଟ୍
थोडा दोष,ବିଟ୍ ଦୋଷ |
बिट नकाशा,ବିଟ୍ ମାନଚିତ୍ର
बिट मॅप पिक्सेल (BMP),ବିଟ୍ ମାନଚିତ୍ର ପିକ୍ସେଲ୍ (BMP)
बिट मॅट्रिक्स,ବିଟ୍ ମ୍ୟାଟ୍ରିକ୍ସ |
बिट नमुना,ବିଟ୍ ପ୍ୟାଟର୍ |
बिट स्थिती,ବିଟ୍ ସ୍ଥିତି |
बिट दर,ବିଟ୍ ହାର
ब्लॅक बॉक्स चाचणी,କଳା ବାକ୍ସ ପରୀକ୍ଷା
लुकलुकणे,ink ଲସି ଉଠୁଛି |
ब्लॉक,ବ୍ଲକ
ब्लॉक कॅशे,କ୍ୟାଚ୍ ଅବରୋଧ କରନ୍ତୁ |
ब्लॉक चेक,ଯାଞ୍ଚ ଯାଞ୍ଚ କରନ୍ତୁ |
ब्लॉक कॉपी,କପି କପି କରନ୍ତୁ |
ब्लॉक आकृती,ବ୍ଲକ ଚିତ୍ର
ब्लॉकिंग नेटवर्क,ନେଟୱର୍କକୁ ଅବରୋଧ କରୁଛି
बोर्ड,ବୋର୍ଡ
पुस्तक चिन्ह,ପୁସ୍ତକ ଚିହ୍ନ
बुलियन बीजगणित,ବୁଲିଅନ୍ ବୀଜ ବିବେଚନା |
बुलियन संबंध,ବୁଲିଅନ୍ ସମ୍ପର୍କ |
बूट विभाजन,ବୁଟ ବିଭାଜନ
बूट strapping,ବୁଟ ଷ୍ଟ୍ରାପିଂ
बूट-स्ट्रॅप लोडर,ବୁଟ-ଷ୍ଟ୍ରାପ ଲୋଡର
पूल,ସେତୁ
ब्रॉडबँड नेटवर्किंग,ବ୍ରଡବ୍ୟାଣ୍ଡ ନେଟୱର୍କିଙ୍ଗ |
प्रसारण,ପ୍ରସାରଣ
रेडिओ प्रसारित करा,ରେଡିଓ ପ୍ରସାରଣ |
ब्राउझ करा,ବ୍ରାଉଜ୍ କରନ୍ତୁ |
ब्राउझर,ବ୍ରାଉଜର୍
बी-वृक्ष,ବି-ଗଛ |
बबल मेमरी,ବବୁଲ୍ ମେମୋରୀ |
बबल क्रमवारी,ବବୁଲ୍ ସର୍ଟ୍ |
बादली,ବାଲଟି
मित्र प्रणाली,ସାଥୀ ସିଷ୍ଟମ୍
बजेट प्रभावी नियंत्रण,ବଜେଟ୍ ପ୍ରଭାବଶାଳୀ ନିୟନ୍ତ୍ରଣ |
बफर,ବଫର୍
किडा,ତ୍ରୁଟି
बस,ବସ୍
बाइट,ବାଇଟ୍ |
बाइट कोड,ବାଇଟ୍ କୋଡ୍ |
c,ଗ
C++,C ++
कॅशे,କ୍ୟାଚ୍
कॅशे बफर,କ୍ୟାଚ୍ ବଫର୍ |
कॅशे मेमरी,କ୍ୟାଶେ ମେମୋରୀ
गणना,ଗଣନା
कॅल्क्युलेटर,କାଲକୁଲେଟର
कॅल्क्युलेटर चिप,କାଲକୁଲେଟର ଚିପ୍
कॉल,କଲ୍ କରନ୍ତୁ |
नावाने कॉल करा,ନାମରେ କଲ୍ କରନ୍ତୁ |
संदर्भानुसार कॉल करा,ରେଫରେନ୍ସ ଦ୍ୱାରା କଲ୍ କରନ୍ତୁ |
मूल्यानुसार कॉल करा,ମୂଲ୍ୟ ଅନୁଯାୟୀ କଲ୍ କରନ୍ତୁ |
व्हेरिएबल्सद्वारे कॉल करा,ଭେରିଏବଲ୍ ଦ୍ୱାରା କଲ୍ କରନ୍ତୁ |
कॉल गेट,କଲ୍ ଗେଟ୍ |
रद्द करा,ବାତିଲ୍ କରନ୍ତୁ |
रद्द करा बटण,ବାତିଲ୍ ବଟନ୍
प्रामाणिक,କାନୋନିକାଲ୍ |
प्रामाणिक स्वरूप,କାନୋନିକାଲ୍ ଫର୍ମ |
क्षमता,ସାମର୍ଥ୍ୟ |
क्षमता यादी,ସାମର୍ଥ୍ୟ ତାଲିକା |
क्षमता,କ୍ଷମତା
कॅप्स लॉक की,କ୍ୟାପ୍ ଲକ୍ କୀ |
कार्ड,କାର୍ଡ
कार्ड रीडर,କାର୍ଡ ରିଡର୍ |
मुख्यत्वे,ହୃଦୟ
वाहक,ବାହକ
वाहक बँड,ବାହକ ବ୍ୟାଣ୍ଡ |
वाहक लोड,ବାହକ ଭାର
वाहक सिग्नल,ବାହକ ସଙ୍କେତ
वाहक लहर,ବାହକ ତରଙ୍ଗ |
वाहून नेणे,ବହନ କର
कॅरी अंक,ଅଙ୍କ ବହନ କର |
ध्वज घेऊन जा,ପତାକା ବହନ କର |
काडतूस डिस्क,କାର୍ଟ୍ରିଜ୍ ଡିସ୍କ |
कॅस्केड,କ୍ୟାସକେଡ୍ |
केस,କେସ୍
कॅथोड रे ट्यूब (सीआरटी),କ୍ୟାଥୋଡ୍ ରେଡ୍ ଟ୍ୟୁବ୍ (CRT)
कॅथोड रे ट्यूब (सीआरटी),କ୍ୟାଥୋଡ୍ ରେଶ୍ ଟ୍ୟୁବ୍ (CRT)
CD ROM डिस्क ड्राइव्ह,CD ROM ଡିସ୍କ ଡ୍ରାଇଭ |
सेल,କକ୍ଷ
सेल अॅनिमेशन,ସେଲ୍ ଆନିମେସନ୍ |
भ्रमणध्वनी,ସେଲୁଲାର୍ ଫୋନ୍ |
केंद्रीय स्मृती,କେନ୍ଦ୍ରୀୟ ସ୍ମୃତି
सेंट्रल प्रोसेसिंग युनिट (CPU),କେନ୍ଦ୍ରୀୟ ପ୍ରକ୍ରିୟାକରଣ ଏକକ (CPU)
केंद्रीकृत प्रणाली,କେନ୍ଦ୍ରୀଭୂତ ପ୍ରଣାଳୀ |
प्रमाणित टेप,ସାର୍ଟିଫିକେଟ୍ ଟେପ୍ |
साखळी,ଶୃଙ୍ଖଳା
साखळी डेटा,ଶୃଙ୍ଖଳା ତଥ୍ୟ
साखळी दुवा,ଶୃଙ୍ଖଳା ଲିଙ୍କ୍ |
चेनिंग,ଶିକୁଳି
चॅनल,ଚ୍ୟାନେଲ୍ |
चॅनेल व्यस्त टोन,ଚ୍ୟାନେଲ ବ୍ୟସ୍ତ ସ୍ୱର |
चॅनेल क्षमता,ଚ୍ୟାନେଲ କ୍ଷମତା |
चॅनेल नियंत्रक,ଚ୍ୟାନେଲ ନିୟନ୍ତ୍ରକ
चॅनेल त्रुटी,ଚ୍ୟାନେଲ ତ୍ରୁଟି |
चॅनेल कार्यक्रम,ଚ୍ୟାନେଲ୍ ପ୍ରୋଗ୍ରାମ୍ |
चॅनेल विश्वसनीयता,ଚ୍ୟାନେଲ ନିର୍ଭରଯୋଗ୍ୟତା |
चॅनेल सेट,ଚ୍ୟାନେଲ୍ ସେଟ୍ |
वर्ण,ବର୍ଣ୍ଣ
वर्ण कोड,ବର୍ଣ୍ଣ କୋଡ୍
वर्ण की,ବର୍ଣ୍ଣ ଚାବି
वर्ण वाचक,ବର୍ଣ୍ଣ ପାଠକ
वर्ण आकार,ବର୍ଣ୍ଣ ଆକାର
तक्ता,ଚାର୍ଟ
चेसिस,ଖାସ୍
बिट तपासा,ବିଟ୍ ଯାଞ୍ଚ କରନ୍ତୁ |
चेक अंक,ଅଙ୍କ ଯାଞ୍ଚ କରନ୍ତୁ |
बेरीज तपासा,ଯାଞ୍ଚ ରାଶି
शब्द तपासा,ଶବ୍ଦ ଯାଞ୍ଚ କରନ୍ତୁ |
चिप,ଚିପ୍
चिप संच,ଚିପ୍ ସେଟ୍ |
निवडा,ବାଛନ୍ତୁ |
रंगीत,କ୍ରୋମେଟିକ୍
सिफर,ସାଇଫର୍
सर्किट,ସର୍କିଟ
परिपत्रक यादी,ବୃତ୍ତାକାର ତାଲିକା |
सायरस,ସାଇରସ୍
उद्धरण,ଉଦ୍ଧୃତ
वर्ग,ଶ୍ରେଣୀ
वर्ग व्हेरिएबल,କ୍ଲାସ୍ ଭେରିଏବଲ୍ |
वर्गीकरण,ବର୍ଗୀକରଣ
स्पष्ट,ସଫା
