Hindi,Odiya
अधोगृह भित्ति,ବେସମେଣ୍ଟ କାନ୍ଥ |
आधार पट्टिका,ବେସ୍ ପ୍ଲେଟ୍ |
समायोज्य आधार पट्टिका,"ବେସ୍ ପ୍ଲେଟ୍, ନିୟନ୍ତ୍ରିତ |"
क्षार संतृप्ति,ମୂଳ ପରିପୃଷ୍ଠା |
बेसाइड,ବାସୋଏଡ୍ |
रोड़ा,ବ୍ୟାଟ୍
स्नानागर व शौच कुण्ड,ସ୍ନାନ ଏବଂ WC
सलामी खूँटी,ବାଟା ପେଗ୍ |
सलामी पाया,ବାଟା ପାଇର୍ |
सलामी नियम,ବ୍ୟାଟର ନିୟମ |
बॉक,ବାଲ୍କ (ବାଲ୍କ)
खंडक,ବାଇ
धारक,ଧାରକ
धारण क्षमता,ବହନ କରିବାର କ୍ଷମତା |
धारक पाइल,ଗଦା ବହନ କରିବା |
धारक स्तर,ଷ୍ଟ୍ରାଟମ୍ ବହନ କରିବା |
आधार तल,ଶଯ୍ୟା
संस्तरण तल,ବିଛଣା ବିମାନ |
पड़ी दरज,ଶଯ୍ୟା ଗଣ୍ଠି |
अश्माधार,ବେଡ୍ ପଥର |
शयन कक्ष,ବେଡ୍ ରୁମ୍ |
मधुमोम,ମହୁମାଛି
बैल बॉक्स,ବେଲ୍ ବାକ୍ସ |
बैलिंग बकेट,ବାଲ୍ଟି ବାଲିଙ୍ଗ୍ |
बैलोफ्राम,ବେଲୋଫ୍ରାମ୍ |
पैड़ीदार नींव,ବେଞ୍ଚ ଭିତ୍ତିଭୂମି |
पैड़ी बनाना,ବେଞ୍ଚିଂ
निदेश तलचिह्न,ବେଞ୍ଚ ମାର୍କ |
हितलाभ लागत विश्लेषण,ଲାଭ ମୂଲ୍ୟ ବିଶ୍ଳେଷଣ |
उपतट,ବରମ
ढालू डेली,ବେଭେଲଡ୍ ବନ୍ଦ |
संस्तर/B-होराइजन,"ବି-ରାଶି, &quot;B-"
बीएट,ବିଟ୍ |
बंधक,ବାଇଣ୍ଡର୍ |
बंधक पदार्थ,ବାନ୍ଧିବା ସାମଗ୍ରୀ |
बायोट का सिद्धांत,ବାୟୋଟ ସିଦ୍ଧାନ୍ତ |
बीटूमन,ବିଟୁମେନ |
काली मृदा,କଳା ସୂତା ମାଟି |
काली मिट्टी,କଳା ପୃଥିବୀ |
काली शाब्दल मृदा,କଳା ଟର୍ଫ ମାଟି |
फलक,ବ୍ଲେଡ୍ |
वात्या भट्टी धातुमल सीमेंट,ବ୍ଲାଷ୍ଟ ଫର୍ଣ୍ଣେସ୍ ସ୍ଲାଗ୍ ସିମେଣ୍ଟ |
खंडीय संरचना,ଅବରୋଧ ସଂରଚନା |
बोगी संचलन प्रतिरोध,ବଗି ପ୍ରତିରୋଧ |
दलदल लोह खनित्र,ବଗ୍-ଲୁହାପଥର |
चाल (चिनाई की),ବନ୍ଧ
बद्ध अवयव,ବନ୍ଧିତ ସଦସ୍ୟ |
बद्ध प्रत्ययित तनन,ବନ୍ଧିତ ପୋଷ୍ଟ ଟେନସିଂ |
बंधक पत्थर,ବନ୍ଧ ପଥର |
बद्ध जल,ସୀମା ଜଳ |
पेटिकाकार नाली,ବାକ୍ସ ଗୁଟର୍ |
बंधनी,ବନ୍ଧନୀ
खड़ी ईंट,ଇଟା-ଧାର
ब्राइडल,ବ୍ରିଡଲ୍ |
द्युति,ଉଜ୍ଜ୍ୱଳତା |
भूरी मृदा,ବାଦାମୀ ମାଟି |
भवन,ବିଲଡିଂ
भवन सर्वेक्षक,ବିଲ୍ଡିଂ ସର୍ବେକ୍ଷଣକାରୀ |
बफर (रोधक),ବଫର୍ |
रोधनवक या अनुपामन वक,ବଫର୍ ବକ୍ର
रोधन,ବଫରିଂ |
रोधन क्षमता,ବଫରିଂ କ୍ଷମତା |
बन्दर,ବଣ୍ଡର୍ |
पुश्ता,ଦୁର୍ଗ
c-संस्तर/c-होराइजन,ସି-ରାଶି
तार/केबल,କେବୁଲ୍ |
तारगढ़ाई,କେବୁଲ୍ ମୋଲିଡିଂ |
केबिल तंत्र,କ୍ୟାବଲିଂ |
केबिन,କ୍ୟାବିନ
केबिन अंकुश,କ୍ୟାବିନ ହୁକ୍ |
मंजूषा,କ୍ୟାବିନେଟ୍
ध्वनि शोषण चादर,କ୍ୟାବୋଲ୍ଟଙ୍କ ବିଦାୟ
कैफेटेरिया,କାଫେରିଆ |
पिंजरा,କେଜ୍ |
पिंजरानुमा निर्माण,କେଜ୍ ନିର୍ମାଣ
केनसूत्र,କ ain ନଙ୍କ ସୂତ୍ର |
कैसन (या कॉफर),କେସନ୍ |
कैसन रोग,କେସନ୍ ରୋଗ |
केसन नींव,କେସନ୍ ଫାଉଣ୍ଡେସନ୍ |
कैसन पाइल,କେସନ୍ ଗଦା |
चूनेदार ईंट,କାଲ୍କେରିସ୍ ଇଟା |
चूनेदार मिट्टी,କାଲକେୟାର ମାଟି |
चूनेदार पपड़ी,କାଲ୍କେରିସ୍ କ୍ରଷ୍ଟ୍ |
केल्सीकरण,ଗଣନା
निस्तापन,ଗଣନା
कैलसाइन,କାଲସିନ୍
कैल्साइट,କାଲସିଟ୍ |
कैल्शियम एल्यूमिनेट सीमेंट,କ୍ୟାଲସିୟମ୍-ଆଲୁମିନିଟ୍ ସିମେଣ୍ଟ |
कैल्शियम सिलीकेट ईंट,କ୍ୟାଲସିୟମ୍-ସିଲିକେଟ୍ ଇଟା |
कैल्शियम सिलिकेट हाईड्रेट,କ୍ୟାଲସିୟମ୍-ସିଲିକେଟ୍ ହାଇଡ୍ରେଟ୍ |
कालीचे,କାଲିଚେ |
कैलिफोर्निया असर अनुपात,କାଲିଫର୍ନିଆର ଅନୁପାତ ଅନୁପାତ |
केलिपर,କାଲିପର୍ |
कैलोरीमीटर,କ୍ୟାଲୋରିମିଟର |
न्युब्ज़ता/कैम्बर,କ୍ୟାମ୍ବର |
नहर,କେନାଲ |
कैनॉपी,କାନୋପି |
बहुधारन पद,କ୍ୟାଣ୍ଟିଲାଇଭର ଫୁଟିଂ |
टोपी,କ୍ୟାପ୍
धारिता,ସାମର୍ଥ୍ୟ |
रेल पथ क्षमता,ସମସ୍ତ ଟ୍ରାକର କ୍ଷମତା |
टोपी कंडरा,କ୍ୟାପ୍ କେବୁଲ୍ |
केशिकत्व,କ୍ଷମତା
केशिका विच्छेद,କ୍ୟାପିଲାରୀ ବ୍ରେକ୍ |
केशिका प्रवाह,କ୍ୟାପିଲାରୀ ପ୍ରବାହ |
केशिका आर्द्रता या केशिका जल,କ୍ୟାପିଲାରୀ ଆର୍ଦ୍ରତା କିମ୍ବା କ୍ୟାପିଲାରୀ ପାଣି |
केशिका रंध्र अवकाश,କ୍ୟାପିଲାରୀ ପୋର ସ୍ପେସ୍ |
केशिका रंध्रता,କ୍ୟାପିଲାରୀ ପୋରୋସିଟି |
केशिका अवकाश,କ୍ୟାପିଲାରୀ ସ୍ପେସ୍ |
प्रग्रहण वेग,ବେଗ କ୍ୟାପଚର କରନ୍ତୁ |
कार्बोनेशन,କାର୍ବନେସନ୍ |
कार्बन काजल,କାର୍ବନ କଳା
ढलने योग्य उच्च तापसह,କାଷ୍ଟବଲ୍ ଚିତ୍ତାକର୍ଷକ |
स्वस्थान ढली,କାଷ୍ଟ-ଇନ୍-ପ୍ଲେସ୍ କିମ୍ବା କାଷ୍ଟ-ଇନ୍-ସିଟ୍ |
यथास्थान बनाई पाइल,କାଷ୍ଟ-ଇନ୍-ପ୍ଲେସ୍ ଗଦା |
कैस्टर,କାଷ୍ଟର |
ढला पत्थर,ପଥର ପକାନ୍ତୁ |
उत्प्रेरक,ଅନୁକ୍ରମଣିକା
मृदा श्रृंखला,କ୍ୟାଟେନା |
विडाल मुख,ବିଲେଇ ମୁହଁ |
कैट हैड,ବିଲେଇ ମୁଣ୍ଡ
धनायन,କେସନ୍
कैट बॉक,ବିଲେଇ ଚାଲିବା |
कोटरन क्षति,କ୍ୟାଭିଟେସନ୍ କ୍ଷତି |
सेलाइट,ସେଲିଟ୍
कोशिकीय कंक्रीट,ସେଲୁଲାର୍ କଂକ୍ରିଟ୍ |
कोशिकीय निर्माण,ସେଲ୍ୟୁଲାର୍ ନିର୍ମାଣ
सीमेंट,ସିମେଣ୍ଟ |
बिटुमनी सीमेंट,"ସିମେଣ୍ଟ, ବିଟୁମିନିୟସ୍ |"
शीघ्र सामर्थ्य सीमेंट,"ସିମେଣ୍ଟ, ଉଚ୍ଚ ଶକ୍ତି |"
जलीय सीमेंट,"ସିମେଣ୍ଟ, ହାଇଡ୍ରୋଲିକ୍ |"
न्यून ऊष्मा सीमेंट,"ସିମେଣ୍ଟ, କମ୍ ଉତ୍ତାପ |"
चिनाई सीमेंट,"ସିମେଣ୍ଟ, ରାଜକୋଷ |"
प्राकृतिक सीमेंट,"ସିମେଣ୍ଟ, ପ୍ରାକୃତିକ |"
पोर्टलैंड सीमेंट,"ସିମେଣ୍ଟ, ପୋର୍ଟଲ୍ୟାଣ୍ଡ |"
पोर्टलैंड वात्या-भट्टी धातुमल सीमेंट,"ସିମେଣ୍ଟ, ପୋର୍ଟଲ୍ୟାଣ୍ଡ ବ୍ଲାଷ୍ଟ ଫର୍ଣ୍ଣେସ୍ ସ୍ଲାଗ୍ |"
पोर्टलैंड पोजोलॉन सीमेंट,"ସିମେଣ୍ଟ, ପୋର୍ଟଲ୍ୟାଣ୍ଡ ପୋଜଜୋଲାନ୍ |"
सीमेंट धातुमल,"ସିମେଣ୍ଟ, ସ୍ଲାଗ୍ |"
सल्फेट प्रतिरोधी सीमेंट,"ସିମେଣ୍ଟ, ସଲଫେଟ୍ ପ୍ରତିରୋଧକ |"
सुपरसल्फेटेड सीमेंट,"ସିମେଣ୍ଟ, ସୁପର ସଲଫେଟ୍ |"
श्वेत सीमेंट,"ସିମେଣ୍ଟ, ଧଳା |"
सीमेंट मिलावा अनुपात,ସିମେଣ୍ଟ-ଏଗ୍ରିଗେଟ୍ ଅନୁପାତ |
सीमेंट अंश,ସିମେଣ୍ଟ ବିଷୟବସ୍ତୁ |
सेमेंट जेल,ସିମେଣ୍ଟ ଜେଲ୍ |
सीमेंट गन,ସିମେଣ୍ଟ ବନ୍ଧୁକ |
सीमेंट भट्टी,ସିମେଣ୍ଟ କିଲ୍ |
सीमेंट प्रलेप,ସିମେଣ୍ଟ ରଙ୍ଗ |
सीमेंट प्लास्टर,ସିମେଣ୍ଟ ପ୍ଲାଷ୍ଟର |
सीमेंट शैल,ସିମେଣ୍ଟ ପଥର |
सीमेंट घोल,ସିମେଣ୍ଟ ସ୍ଲୁରି |
सीमेंट भंडारण,ସିମେଣ୍ଟ ଷ୍ଟୋରେଜ୍ |
सीमेंटीकरण प्रक्रम,ସିମେଣ୍ଟେସନ୍ ପ୍ରକ୍ରିୟା |
ढूला,କେନ୍ଦ୍ରକରଣ |
ढूला बनाना,ସେଣ୍ଟରିଂ ଏବଂ ସଟରିଂ |
केन्द्रीय मिश्रित कंक्रीट,କେନ୍ଦ୍ରୀୟ ମିଶ୍ରିତ କଂକ୍ରିଟ୍ |
केन्द्रीय मिश्रक,କେନ୍ଦ୍ରୀୟ ମିକ୍ସର୍ |
अपकेन्द्री पंखा,ସେଣ୍ଟ୍ରିଫୁଗୁଲ୍ ପ୍ରଶଂସକ |
खड़िया,ଚକ
शैम्फर,ଚାମ୍ଫର୍ |
निष्कोणन पत्ती,ଚାମ୍ଫର୍ ଷ୍ଟ୍ରିପ୍ |
चैनल धरन,ଚ୍ୟାନେଲ୍ ବିମ୍ |
अभिलाक्षणिक भार,ଚରିତ୍ରଗତ ଭାର |
अभिलाक्षणिक सामर्थ्य,ବ istic ଶିଷ୍ଟ୍ୟ ଶକ୍ତି |
शुल्क माफी,ଚାର୍ଜ ଅଫ୍ |
भरण,ଚାର୍ଜିଂ
तरेड़न,ଯା cking ୍ଚ
रासायनिक आबंध,ରାସାୟନିକ ବନ୍ଧ |
चर्नोजेम,ଚେର୍ନୋଜେମ୍ |
चैस्टनट मृदा,ଛାତି ମାଟି |
धुआरा पनाली,ଚିମନି ଗୁଟର |
अपखण्ड फलक,ଚିପ୍ ବୋର୍ଡ |
छीलना,ଚିପିଙ୍ଗ୍ |
दाना,ଚିପ୍ସ |
ढलवा नाली,ଚୁଟ୍
श्रेणी (कंक्रीट की),କ୍ଲାସ୍ (କଂକ୍ରିଟ୍ ର)
मृत्तिका,ମାଟି
मृत्तिका अंश,ମାଟି ବିଷୟବସ୍ତୁ |
मृत्तिका दृढ़ पटल,ମାଟି ପ୍ୟାନ |
सफाई द्वार,ପରିଷ୍କାର
निर्वात सुधार,ସଫା କର
गुटका,ସଫା କର |
क्लिंकर,କ୍ଲିଙ୍କର୍ |
क्लिप,କ୍ଲିପ୍
स्कंदन,ଜମାଟ ବାନ୍ଧିବା |
स्थूल समुच्चय/मोटा मिलावा,କଠିନ ଏଗ୍ରିଗେଟ୍ |
स्थूल कणीय मृदा,କଠିନ ଶସ୍ୟ ମାଟି |
कोट,କୋଟ
कॉफर बाँध,କଫର୍ ଡ୍ୟାମ୍ |
ससंजन,ମିଳନ
कोलाइड,କୋଲଏଡ୍ |
कोलाइडी-आर्द्रता तुल्यांक अनुपात,କୋଲଏଡାଲ୍ ଆର୍ଦ୍ରତା ସମାନ ଅନୁପାତ |
कोलाइडी प्रणाली या कोलाइडी सम्मिश्रण,କୋଲଏଡାଲ୍ ସିଷ୍ଟମ୍ |
मिश्रोढ़ मृदा,ମିଳିତ ମାଟି |
स्तम्भ/टेक/संपीडांग,ସ୍ତମ୍ଭ
कंकतित परिष्कृति,କମ୍ବିଂ ଶେଷ
संयुक्त पाद,ମିଳିତ ପଦଚିହ୍ନ |
संयुक्त जल,ମିଶ୍ରିତ ଜଳ |
सामान्य कक्ष,ସାଧାରଣ କୋଠରୀ |
पूर्णावस्था प्रमाण पत्र,ସଂପୂର୍ଣ୍ଣ ପ୍ରମାଣପତ୍ର
अंग वर्ग,ଉପାଦାନ ବର୍ଗ
कंक्रीट,କଂକ୍ରିଟ୍ |
कंकड़ स्तरन,ସଂକଳନ
समेकित दर या एक समान दर,ଏକତ୍ରିତ ହାର / ଫ୍ଲାଟ ହାର |
दूषणकारक,ପ୍ରଦୂଷକ
खाना रखने स्थान,ଆଲକୋଭ୍ ରାନ୍ଧିବା |
मुंडेर/कोपिंग,ମୁକାବିଲା
टोड़ा,କରବେଲ |
कॉनिस,କର୍ନିସ୍ |
युग्मक,ଦମ୍ପତି
द्वि-युग्मक,"ଦମ୍ପତି, ଦୁଇଥର |"
कड़ी युग्मक,"ଦମ୍ପତି, ପୁଟ୍ଲଗ୍ |"
भ्रामी युग्मक,"ଦମ୍ପତି, ସ୍ୱିଭେଲ୍ |"
रद्दा,ପାଠ୍ୟକ୍ରମ
बेतरतीब रद्देदार ढोका चिनाई,ରାଣ୍ଡମ୍ ରାଣ୍ଡଲ୍ ଚୁକ୍ତି |
आच्छादित क्षत्र,ଆଚ୍ଛାଦିତ କ୍ଷେତ୍ର |
विसर्पण,କ୍ରିପ୍
विसर्पण गुणांक,କ୍ରିପ୍ କୋଏଫିସିଏଣ୍ଟ୍ |
क्रोटोवाइन,କ୍ରୋଟୋଭାଇନ୍ |
काक पाद,କାଉ ପାଦ |
आचूर्ण संरचना,ଖଣ୍ଡ ଗଠନ |
कर्ब,ବନ୍ଦ କର |
धारा,ସାମ୍ପ୍ରତିକ
वक्र-प्रतिरोध (रेल),ବକ୍ର ପ୍ରତିରୋଧ
आर्द्रतारोधी स्तर,ଓଦା ପ୍ରୁଫ୍ ପାଠ୍ୟକ୍ରମ |
पूर्ण होने की तिथि,ସମାପ୍ତ ତାରିଖ
अचल भार,ମୃତ ଭାର
धीर जल,ମୃତ ଜଳ |
डेसीबल,ଡେସିବେଲ୍ |
अनूर्पान,ଡିଫ୍ଲୋକ୍କୁଲେସନ୍ |
वातन कोटि या वायु अवकाश अनुपात,ବାୟୁମଣ୍ଡଳ କିମ୍ବା ବାୟୁ ସ୍ଥାନ ଅନୁପାତର ଡିଗ୍ରୀ |
समुच्चयन कोटि,ଏକୀକରଣର ଡିଗ୍ରୀ |
प्रकीर्णन कोटि,ବିଚ୍ଛେଦର ଡିଗ୍ରୀ |
संतृप्ति कोटि,ପରିପୃଷ୍ଠାର ଡିଗ୍ରୀ |
घनता (आवासीय),ଘନତା
भरू कुट्टिम,ମରୁଭୂମି ରାସ୍ତା
मरू मृदा,ମରୁଭୂମି ମାଟି |
विस्तृत विवरण,ବିବରଣୀ
विकास अवधि,ବିକାଶ ଅବଧି
Dसंस्तर/Dहोराइजन,ଡି-ରାଶି
विकर्ण चाल,ତ୍ରିକୋଣୀୟ ବନ୍ଧନ |
आरेख,ଚିତ୍ର
आंगुलिक गोदी,ଡିଜିଟାଲ୍ ଡକ୍ |
अन्तरात्मक जल दर,ଭିନ୍ନ ଭିନ୍ନ ଜଳ ହାର |
तनुता संवातन,ଦିଲ୍ୟୁସନ୍ ଭେଣ୍ଟିଲେସନ୍ |
पूरोढक,ଦିଲୁଭିୟମ୍
भोजन कक्ष,ଭୋଜନ ଗୃହ
दिशा निर्धारक खूँटी,ଦିଗ ପେଗ୍ |
प्रकीर्णन,ବିଚ୍ଛେଦ |
डिस्टेम्पर,ବିଭ୍ରାନ୍ତକାରୀ |
गोदी,ଡକ୍ |
1. द्वार 2. कपाट,ଦ୍ୱାର
छत वातायन,ଛାତ୍ରାବାସ
छत वातायन पृष्ठ,ଛାତ୍ରାବାସ ଯାଞ୍ଚ |
दोहरी फ्लेमिश चाल,ଡବଲ୍ ଫ୍ଲେମିଶ୍ ବଣ୍ଡ୍ |
दोहरी परत,ଡବଲ୍ ସ୍ତର |
गुज्झी,ଡୋଭେଲ୍ |
आरेखन पट्ट/ड्राइंग बोर्ड,ଚିତ୍ରାଙ୍କନ ବୋର୍ଡ |
बैठक,ଚିତ୍ରାଙ୍କନ କକ୍ଷ |
1. प्रक्षेप 2. ड्रिफ्ट 3. गुल्ली,ଡ୍ରାଇଫ୍
शुष्क बल्ब तापक्रम,ଶୁଖିଲା ବଲ୍ବ ତାପମାତ୍ରା |
शुष्क गोदी,ଶୁଖିଲା ଡକ୍ |
शुष्क ढोका चिनाई,ଶୁଖିଲା ରବର ନିର୍ମାଣ
डच चाल,ଡଚ୍ ବନ୍ଧନ |
बौनी दीवार,ବାଣ୍ଡ କାନ୍ଥ |
आवासीय यूनिट,ବାସସ୍ଥାନ ଏକକ
ओलती,ଇଭ୍
ओलती नाली,ଗୁପ୍ତାଙ୍ଗ
आर्थिक संभाव्यता या आर्थिक औचित्य समर्थन,ଆର୍ଥିକ ସମ୍ଭାବ୍ୟତା |
एक्टोडाइनेमोर्फिक मृदा,ଏକ୍ଟୋଡାଇନାମୋରଫିକ୍ ମାଟି |
भँवर,ଏଡି
कण का प्रभावी आमाप,ପ୍ରଭାବଶାଳୀ ଆକାର |
उत्फुल्लन,ଇଫ୍ଲୋରସେନ୍ସ |
सहायक सरित,ପ୍ରଭାବଶାଳୀ |
उद्विक्षेप,ଉଚ୍ଚତା
अवक्षालन,ବହିଷ୍କାର
अवक्षाल,ଇଲୁଭିୟମ୍ |
अंतर्गतिज मृदा,ଏଣ୍ଡୋଡାଇନାମୋରଫିକ୍ ମାଟି |
इंजीनियरी संभाव्यता,ଇଞ୍ଜିନିୟରିଂ ସମ୍ଭାବ୍ୟତା |
इंग्लिश चाल,ଇଂରାଜୀ ବନ୍ଧନ |
इंग्लिश गार्डन वाल चाल,ଇଂରାଜୀ ବଗିଚା କାନ୍ଥ ବନ୍ଧ |
ईं.पी.एम. (प्रतिमिलियन तुल्य),"ଇପିଏମ୍ (ପ୍ରତି ମିଲିୟନ୍ ସହିତ ସମାନ), &quot;"
समतुल्य भार,ସମାନ ଓଜନ
अर्ग,Erg
विनिमययोग्य,ଅଦଳବଦଳଯୋଗ୍ୟ |
विनिमेय अम्लता,ଅଦଳବଦଳ ଅମ୍ଳତା |
विनिमेय सोडियम प्रतिशतता,ଅଦଳବଦଳ ସୋଡିୟମ୍ ପ୍ରତିଶତ (ESP)
धनायन विनिमय क्षमता,E. S P.
विनिमय अम्लता,ଅମ୍ଳତା ବିନିମୟ କରନ୍ତୁ |
विनिमय सम्मिश्र,ଏକ୍ସଚେଞ୍ଜ୍ କମ୍ପ୍ଲେକ୍ସ |
निर्वात/रेचन,ନିଷ୍କାସନ
अनावरित परिष्कृति,ପ୍ରକାଶିତ ସମାପ୍ତ
गवाक्ष,ଆଖି
आई ब्रो,ଆଖି ବ୍ରୋ
मोहरा/अग्रभाग,ସାମ୍ନା କରିବା |
पार्श्व चाल,ବନ୍ଧନର ସମ୍ମୁଖୀନ |
सुरक्षा गुणांक,ନିରାପତ୍ତା କାରକ
प्रवणता,ପତନ
मुख पट्टी,ଫେସିଆ |
मुख पट्टी बोर्ड,ଫେସିଆ ବୋର୍ଡ |
भ्रंश,ତ୍ରୁଟି
क्षेत्रीय नमी,କ୍ଷେତ୍ର ଆର୍ଦ୍ରତା |
क्षेत्रीय आर्द्रता तुल्यांक,ଅନ୍ତିମ ଆର୍ଦ୍ରତା ସମାନ |
मसाले की चपती/फिलेट,ଫିଲେଟ୍ (ମୋର୍ଟାର)
कलश,ଅନ୍ତିମ
अंतिम मापन,ଅନ୍ତିମ ମାପ |
अंतिम भुगतान,ଅନ୍ତିମ ଦେୟ
अंतिम पूर्व प्रतिबल,ଅନ୍ତିମ ପୂର୍ବ ଚାପ |
अंतिम तनाव,ଅନ୍ତିମ ଟେନସନ |
वित्तीय संभाव्यता,ଆର୍ଥିକ ସମ୍ଭାବନା |
महीन समुच्चय/बारीक मिलावा,ଭଲ ଏଗ୍ରିଗେଟ୍ |
विदीर्ण शैल,ଖଣ୍ଡ ଖଣ୍ଡ |
पटिया पत्थर,ପତାକା ପଥର |
फ्लेमिश चाल,ଫ୍ଲେମିସ୍ ବନ୍ଧନ |
फ्लैशिंग/जल रोधी झिल्ली,ଫ୍ଲାସ୍
सद्योवेगी सरिता,ଚମତ୍କାର ଷ୍ଟ୍ରିମ୍ |
सपाट छत,ଫ୍ଲାଟ ଛାତ |
फलीके,ଫ୍ଲେଚେ
फ्लेमिश गार्डन वाल चाल,ଫ୍ଲେମିସ୍ ବଗିଚା କାନ୍ଥ ବନ୍ଧ |
चकमक प्रस्तर,ଫ୍ଲିଣ୍ଟ |
फ्लिंट दीवार,ଫ୍ଲିଣ୍ଟ କାନ୍ଥ |
प्लवमान फर्श,ଭାସମାନ ଚଟାଣ |
उर्णन,ଫ୍ଲୋକ୍ୟୁଲେସନ୍ |
ऊर्णन सीमा,ଫ୍ଲୋକ୍ୟୁଲେସନ୍ ସୀମା |
ऊर्णन अनुपात,ଫ୍ଲୋକ୍ୟୁଲେସନ୍ ଅନୁପାତ |
ऊर्णिका,ଫ୍ଲୋକ୍ୟୁଲ୍ସ |
फर्श,ଚଟାଣ
फर्शरुद्धक/फर्श सील,ଚଟାଣ ସିଲ୍ |
प्रवाह,ପ୍ରବାହ
उच्चावचन,ଅସ୍ଥିରତା |
पाद,ଫୁଟିଂ
नींव,ଫାଉଣ୍ଡେସନ୍
मुक्त प्रपात बैरो उद्वर्ती मिश्रक,ମାଗଣା ପତନ ବାରୋ ଟପିଙ୍ଗ୍ ମିକ୍ସର୍ |
मुक्त प्रपात मिश्रक (ढोल के आकार का),ମାଗଣା ପତନ ମିକ୍ସର୍ (ଡ୍ରମ୍ ପ୍ରକାର)
मुक्त पत्थर,ମାଗଣା ପଥର |
