Assamese,Gujarati
প্ৰয়োগ কৰা গণিত,લાગુ ગણિત
প্ৰয়োগ কৰা পৰিসংখ্যা,લાગુ આંકડા
অনুমানিক,લગભગ
প্ৰায় অবিৰত ফলন,લગભગ સતત કાર્ય
আনুমানিক পদ্ধতি,અંદાજિત પદ્ધતિ
আনুমানিক সমাধান,અંદાજિત ઉકેલ
আনুমানিক সমস্যা,અંદાજની સમસ્યા
আনুমানিক বৈশিষ্ট্য,અંદાજિત મિલકત
aptitude পৰীক্ষাৰ বেটাৰী,યોગ્યતા પરીક્ષણ બેટરી
আৰ্গাণ্ড ডায়েগ্ৰাম,આર્ગાન્ડ ડાયાગ્રામ
ইচ্ছাকৃতভাৱে বাছি লোৱা,મનસ્વી રીતે પસંદ કરેલ
স্বেচ্ছাচাৰী,મનસ્વી
ইচ্ছাকৃত ধ্ৰুৱক,મનસ્વી સતત
ইচ্ছাকৃত উপাদান,મનસ્વી તત્વ
ইচ্ছাকৃত বিন্দু,મનસ્વી બિંદુ
আৰ্কিমিডিয়ান আইন,આર્કેમીડિયન કાયદો
আৰ্কিমিডিছ নীতি,આર્કિમિડીઝ સિદ્ધાંત
চাপৰ দৈৰ্ঘ্য,ચાપ લંબાઈ
বৃত্তৰ চাপ,વર્તુળની ચાપ
চাপ চাইন বিতৰণ,આર્ક સાઈન વિતરણ
চাপ চাইন ৰূপান্তৰ,આર્ક સાઈન ટ્રાન્સફોર્મેશન
এলাকা,વિસ્તાર
এৰিয়াল টেক্সচাৰ,ક્ષેત્રીય રચના
জটিল সংখ্যাৰ যুক্তি,જટિલ સંખ્યાની દલીલ
গাণিতিক গড়,અંકગણિત સરેરાશ
গাণিতিক কাৰ্য্য,અંકગણિત કામગીરી
গাণিতিক একক,અંકગણિત એકમ
ব্যৱস্থা,વ્યવસ્થા
এৰে,એરે
কৃত্ৰিম উপগ্ৰহ,કૃત્રિમ ઉપગ્રહ
কৃত্ৰিম চলক,કૃત્રિમ ચલ
আৰোহণ কৰা,ચડવું
আৰোহী,ચડતા
মাত্ৰাৰ আৰোহী ক্ৰম,તીવ્રતાનો ચડતો ક્રમ
আৰোহী শৃংখলা,ચડતી શ્રેણી
এছেম্বলাৰ ভাষা,એસેમ્બલર ભાષા
নিযুক্তিৰ সমস্যা,સોંપણીની સમસ્યા
সহযোগী আইন,સહયોગી કાયદો
অপাৰেটৰৰ এছ&#39;চিয়েটিভ ল&#39;,ઓપરેટરોનો સહયોગી કાયદો
এছ&#39;চিয়েটিভ অপাৰেচন,સહયોગી કામગીરી
সহযোগিতা,સહયોગ
ধৰি লোৱা গড়,ધાર્યું સરેરાશ
ধাৰণা কৰা সম্ভাৱনা বিতৰণ,અનુમાનિત સંભાવના વિતરણ
ধাৰণা,ધારણા
জ্যোতিষ,જ્યોતિષ
মহাকাশ অভিযন্তা,એસ્ટ્રોનોટિકલ એન્જિનિયર
জ্যোতিৰ্বিজ্ঞানী,ખગોળશાસ્ત્રી
জ্যোতিৰ্বিজ্ঞানৰ ঘড়ী,ખગોળશાસ્ત્રીય ઘડિયાળ
জ্যোতিৰ্বিজ্ঞান,ખગોળશાસ્ત્ર
অসমতাপূৰ্ণ বক্ৰ,અસમપ્રમાણ વળાંક
বিষমতা,અસમપ્રમાણતા
asymptote,એસિમ્પ્ટોટ
এছিম্পটটিক,એસિમ્પટોટિક
asymptotically দক্ষ অনুমানক,એસિમ્પટોટિકલી કાર્યક્ષમ અંદાજકાર
asymptotically নিৰপেক্ষ অনুমানক,એસિમ્પટોટિકલી નિષ્પક્ષ અંદાજકર્તા
asymptotic আচৰণ,એસિમ્પ્ટોટિક વર્તન
এছিম্পটটিক বিতৰণ ফলন,એસિમ્પ્ટોટિક વિતરણ કાર્ય
এছিম্পটটিক প্ৰসাৰণ,એસિમ્પ્ટોટિક વિસ્તરણ
বায়ুমণ্ডলীয় চাপ,વાતાવરણ નુ દબાણ
যাদৃচ্ছিকভাৱে,રેન્ડમ પર
বৈশিষ্ট্য,લક્ષણ
বৈশিষ্ট্যসমূহৰ নমুনা সংগ্ৰহ পদ্ধতি,વિશેષતા નમૂના પ્રક્રિયા
বৰ্ধিত মেট্ৰিক্স,સંવર્ધિત મેટ્રિક્સ
স্ব-সম্বন্ধ সহগ,સ્વતઃસંબંધ ગુણાંક
স্বয়ংসম্বন্ধ কাৰ্য্য,સ્વતઃસંબંધ કાર્ય
অটোকোভেৰিয়েন্স,ઓટોકોવરિઅન્સ
স্বয়ংক্ৰিয় কম্পিউটাৰ,સ્વચાલિત કમ્પ્યુટર
অটোৰিগ্ৰেছন,ઓટો રીગ્રેશન
সহায়ক সমীকৰণ,સહાયક સમીકરણ
গড় নমুনা সংখ্যা বক্ৰ (ASN বক্ৰ),સરેરાશ સેમ્પલ નંબર કર્વ (ASN કર્વ)
axiom,સ્વયંસિદ્ધ
স্বতন্ত্ৰীয় পদ্ধতি,સ્વયંસિદ્ધ અભિગમ
সম্ভাৱনাৰ স্বতন্ত্ৰতা,સંભાવનાનું સ્વયંસિદ્ધ
অক্ষ,ધરી
abscissa ৰ অক্ষ,abscissa ની અક્ષ
পৃথিৱীৰ অক্ষ,પૃથ્વીની ધરી
বিপ্লৱৰ অক্ষ,ક્રાંતિની ધરી
ঘূৰ্ণনৰ অক্ষ,પરિભ્રમણની અક્ષ
স্পিনৰ অক্ষ,સ્પિનની ધરી
বেক-বিকল্প,બેક-અવેજી
পিছপৰা পাৰ্থক্য,પછાત તફાવત
বেকৱাৰ্ড-ইন্টাৰপলেচন সূত্ৰ,બેકવર્ડ-ઇન્ટરપોલેશન ફોર્મ્યુલા
ভাৰসাম্যতা বজাই ৰখা,સંતુલન
সুষম ডিজাইন,સંતુલિત ડિઝાઇન
বেলেন্স শ্বীট,સરવૈયા
বেলিষ্টিক মিছাইল,બેલિસ્ટિક મિસાઇલ
বেলিষ্টিকছ,બેલિસ્ટિક્સ
বাৰ,બાર
ভেঁটি,પાયો
ভিত্তি কোণ,આધાર કોણ
লগাৰিদমৰ ভিত্তি,લઘુગણકનો આધાર
প্ৰাথমিক,પાયાની
মূল সম্ভৱপৰ সমাধান,મૂળભૂત શક્ય ઉકેલ
মূল সমাধান,મૂળભૂત ઉકેલ
মূল চলক,મૂળભૂત ચલ
ভিত্তিত,આધાર
ভিত্তি উপাদান,આધાર તત્વ
ভিত্তি মেট্ৰিক্স,આધાર મેટ્રિક્સ
এটা ভেক্টৰ স্থানৰ ভিত্তি,વેક્ટર સ્પેસનો આધાર
উপস্থানৰ ভিত্তি,સબસ્પેસનો આધાર
বেইছিয়ান অনুমান,બેયસિયન અંદાજ
বেইছৰ নিয়ম,બેયસનો કાયદો
বেইছৰ উপপাদ্য,બેયસનું પ્રમેય
বাৰ্নৌলি বিতৰণ,બર્નૌલી વિતરણ
বাৰ্নৌলি নম্বৰ,બર્નોલી નંબર
বাৰ্নৌলি সম্ভাৱনা ফলন,બર્નૌલી સંભાવના કાર્ય
বাৰ্নৌলিৰ সমীকৰণ,બર્નૌલીનું સમીકરણ
বেৰী ফাংচন,બેરી કાર્ય
বেষ্ট ফিট,શ્રેષ્ઠ ગોઠવણ
শ্ৰেষ্ঠ - ফিট লাইন,શ્રેષ્ઠ - ફિટ લાઇન
উত্তম সমাধান,શ્રેષ્ઠ ઉકેલ
শ্ৰেষ্ঠ কৌশলসমূহ,શ્રેષ્ઠ વ્યૂહરચના
বিটা বিতৰণ,બીટા વિતરણ
পক্ষপাত,પૂર્વગ્રહ
পক্ষপাতমূলক অনুমান,પક્ષપાતી અંદાજ
বিহাৰমনিক সমীকৰণ,બિહાર્મોનિક સમીકરણ
bijection,બાયજેક્શન
bijective মানচিত্ৰ,દ્વિભાષી નકશો
bijective মেপিং,બાયજેક્ટિવ મેપિંગ
দ্বিৰৈখিক ৰূপ,દ્વિરેખીય સ્વરૂપ
দ্বিৰৈখিক ফলন,દ્વિરેખીય કાર્ય
দ্বিৰৈখিক হাৰ্মিটিয়ান ৰূপ,દ્વિરેખીય હર્મિટિયન સ્વરૂપ
বাইনাৰী,દ્વિસંગી
বাইনাৰী ক&#39;ড,દ્વિસંગી કોડ
বাইনাৰী ক&#39;ড কৰা দশমিক,દ્વિસંગી કોડેડ દશાંશ
বাইনাৰী ক&#39;ডিং,દ્વિસંગી કોડિંગ
বাইনাৰী কম্পিউটাৰ,દ્વિસંગી કમ્પ્યુટર
বাইনাৰী অংক,દ્વિસંગી અંક
বাইনাৰী অপাৰেচন,દ્વિસંગી કામગીરી
বাইনাৰী ব্যৱস্থা,દ્વિસંગી સિસ્ટમ
বাইনাৰী চলক,દ્વિસંગી ચલ
দ্বিপদ সহগ,દ્વિપદી ગુણાંક
দ্বিপদ বিতৰণ,દ્વિપદી વિતરણ
দ্বিপদ সমীকৰণ,દ્વિપદી સમીકરણ
দ্বিপদ সম্প্ৰসাৰণ,દ્વિપદી વિસ્તરણ
দ্বিপদ অভিব্যক্তি,દ્વિપદી અભિવ્યક્તિ
দ্বিপদ ৰেণ্ডম চলক,દ્વિપદી રેન્ડમ ચલ
দ্বিপদ উপপাদ্য,દ્વિપદી પ્રમેય
দ্বিখণ্ড,દ્વિભાગ
দ্বিখণ্ডন পদ্ধতি,દ્વિભાજન પદ્ધતિ
দ্বিখণ্ড,દ્વિભાજક
biserial,બાયસીરીયલ
বিট,બીટ
দ্বিচলকীয় দ্বিপদ বিতৰণ,દ્વિપક્ષીય દ્વિપદી વિતરણ
দ্বিচলকীয় সম্পৰ্ক সহগ,બાયવેરિયેટ સહસંબંધ ગુણાંક
দ্বিচলকীয় বিতৰণ,દ્વિવિધ વિતરણ
দ্বিচলকীয় স্বাভাৱিক বিতৰণ,બાયવેરિયેટ સામાન્ય વિતરણ
বাইভেক্টৰ,બાઇવેક્ટર
বোল্টজমেন সমীকৰণ,બોલ્ટ્ઝમેન સમીકરણ
বুলিয়ান বীজগণিত,બુલિયન બીજગણિત
Bose - আইনষ্টাইন পৰিসংখ্যা,બોઝ - આઈન્સ્ટાઈન આંકડા
সীমাৰ অৱস্থা,સીમાની સ્થિતિ
সীমা স্তৰ,સીમા સ્તર
সীমাৰেখা,સીમા રેખા
সীমা মূল্য,સીમા મૂલ્ય
সীমা মূল্যৰ সমস্যা,સીમા મૂલ્યની સમસ્યા
সীমাবদ্ধ ফলন,બંધાયેલ કાર્ય
সীমাবদ্ধ মেট্ৰিক্স,બાઉન્ડેડ મેટ્રિક્સ
সীমাবদ্ধ অঞ্চল,સીમિત પ્રદેશ
সীমাবদ্ধ ছেট,બાઉન્ડેડ સેટ
ব্ৰাউনিয়ান গতি,બ્રાઉનિયન ગતિ
গণনা কৰ,ગણત્રી
গণনা কৰা,ગણતરી
গণনা কৰা মেচিন,ગણતરી મશીન
গণনা কৰা,ગણતરી
গণনামূলক পদ্ধতি,ગણતરીની પ્રક્રિયા
কেলকুলেটৰ,કેલ્ક્યુલેટર
কেলকুলাছ,કલન
তাৰতম্যৰ কেলকুলাছ,વિવિધતાની ગણતરી
কেলৰি,કેલરી
বাতিল আইন,રદ કરવાનો કાયદો
কেননিক সমীকৰণ,પ્રામાણિક સમીકરણ
কেননিক ৰূপ,પ્રમાણભૂત સ્વરૂપ
কেননিক মেট্ৰিক্স,પ્રમાણભૂત મેટ્રિક્સ
কেন্টৰ ছেট,કેન્ટર સેટ
কেণ্টৰৰ ত্ৰিমাত্ৰিক চেট,કેન્ટોરનો તૃતીય સમૂહ
ক্ষমতাসম্পন্ন পৰিবহণ সমস্যা,ક્ષમતાયુક્ત પરિવહન સમસ્યા
ক্ষমতা,ક્ષમતા
কেপিলাৰী বল,રુધિરકેશિકા બળ
কাৰ্ডিনেল নম্বৰ,મુખ્ય નંબર
কাৰ্টেছিয়ান অক্ষ,કાર્ટેશિયન અક્ષો
কাৰ্টেছিয়ান স্থানাংক,કાર્ટેશિયન કોઓર્ડિનેટ્સ
কাৰ্টেছিয়ান উৎপাদন,કાર્ટેશિયન ઉત્પાદન
গোটৰ কাৰ্টেছিয়ান উৎপাদক,સેટનું કાર્ટેશિયન ઉત્પાદન
কেছ ষ্টডি,કેસ સ્ટડી
বিপৰ্যয়জনক উঠা-নমা,આપત્તિજનક વધઘટ
কেটেনাৰী,કેટેનરી
কাউচি বিতৰণ,કોચી વિતરણ
কাউচি সূত্ৰ,કોચી સૂત્ર
কৌচি গৌৰছাট উপপাদ্য,કોચી ગૌરસત પ્રમેય
কাউচি ৰিমেন চৰ্ত,Cauchy Riemann શરતો
ক&#39;চি ক্ৰম,કોચી ક્રમ
কৌচি অবিচ্ছেদ্য,કોચી અભિન્ન
কাউচি প্ৰধান মূল্য,કોચી મુખ્ય મૂલ્ય
ক’চি অৱশিষ্ট উপপাদ্য,કોચી અવશેષ પ્રમેય
কেলি হেমিল্টন উপপাদ্য,કેલી હેમિલ્ટન પ્રમેય
আকাশী দেহ,અવકાશી પદાર્થ
আকাশী জোখ,અવકાશી માપ
আকাশী যান্ত্ৰিকতা,અવકાશી મિકેનિક્સ
আকাশী বস্তু,અવકાશી પદાર્થ
কোষ কম্পাঙ্ক,સેલ આવર્તન
লোকপিয়ল,વસ્તી ગણતરી
চেন্টাইল,સેન્ટાઇલ
চেন্টিমিটাৰ,સેન્ટીમીટર
চেণ্টিমিটাৰ গ্ৰাম দ্বিতীয় ব্যৱস্থা,સેન્ટીમીટર ગ્રામ સેકન્ડ સિસ્ટમ
কেন্দ্ৰীয়,કેન્દ્રીય
কেন্দ্ৰীয় অক্ষ,કેન્દ્રીય અક્ષ
কেন্দ্ৰীয় পাৰ্থক্য,કેન્દ્રીય તફાવત
কেন্দ্ৰীয় পাৰ্থক্য সূত্ৰ,કેન્દ્રીય તફાવત સૂત્ર
কেন্দ্ৰীয় পাৰ্থক্য টেবুল,કેન્દ્રીય તફાવત કોષ્ટક
কেন্দ্ৰীয় সীমা উপপাদ্য,કેન્દ્રીય મર્યાદા પ્રમેય
কেন্দ্ৰীয় মুহূৰ্ত,કેન્દ્રીય ક્ષણ
কেন্দ্ৰীয় প্ৰক্ৰিয়াকৰণ একক (CPU),સેન્ટ્રલ પ્રોસેસિંગ યુનિટ (CPU)
কেন্দ্ৰীয় প্ৰৱণতা,કેન્દ્રીય વલણ
কেন্দ্ৰ,કેન્દ્ર
মাধ্যাকৰ্ষণ কেন্দ্ৰ,ગુરુત્વાકર્ષણ કેન્દ્ર
গোটৰ কেন্দ্ৰ,જૂથનું કેન્દ્ર
ভৰৰ কেন্দ্ৰ,સમૂહનું કેન્દ્ર
প্ৰতিসমতাৰ কেন্দ্ৰ,સમપ્રમાણતાનું કેન્દ્ર
কেন্দ্ৰপৃথক বল,કેન્દ્રત્યાગી બળ
কেন্দ্ৰিক বল,કેન્દ્રબિંદુ બળ
কেন্দ্ৰবিন্দু,કેન્દ્રીય
নিশ্চয়তা,નિશ્ચિતતા
cgs ব্যৱস্থা,સીજીએસ સિસ્ટમ
cgs ইউনিট,સીજીએસ એકમ
পাৰ্থক্যৰ শৃংখল নিয়ম,ભિન્નતાનો સાંકળ નિયમ
আকস্মিক কাৰণ,તક કારણો
chance moves,તક ચાલ
অক্ষৰ পৰিৱৰ্তন,અક્ષોનું પરિવર્તન
ভিত্তিৰ পৰিৱৰ্তন,આધાર ફેરફાર
ক্ৰম সলনি কৰা,ઓર્ડરમાં ફેરફાર
বৈশিষ্ট্য সহগ,લાક્ષણિક ગુણાંક
নিৰ্ণায়ক,નિર્ણાયક
বৈশিষ্ট্যপূৰ্ণ সমীকৰণ,લાક્ષણિક સમીકરણ
বৈশিষ্ট্যপূৰ্ণ কাৰ্য্য,લાક્ષણિક કાર્ય
লগাৰিদমৰ বৈশিষ্ট্য,લઘુગણકની લાક્ષણિકતા
বৈশিষ্ট্যপূৰ্ণ বহুপদ,લાક્ષણિક બહુપદી
বৈশিষ্ট্যপূৰ্ণ মূল্য,લાક્ષણિક મૂલ્ય
বৈশিষ্ট্যপূৰ্ণ ভেক্টৰ,લાક્ષણિક વેક્ટર
আখৰৰ গোট,અક્ષર સમૂહ
তালিকা,ચાર્ટ
কাই-স্কেয়াৰ বিতৰণ,ચી-સ્ક્વેર વિતરણ
কাই-বৰ্গ সূত্ৰ,ચી-સ્ક્વેર ફોર્મ્યુલા
কাই-স্কেয়াৰ পৰীক্ষা,ચી-સ્ક્વેર ટેસ્ટ
কৰ্ড,તાર
কৰ্ড-বাইছেকচন পদ্ধতি,તાર-દ્વિભાજન પદ્ધતિ
চাইফাৰ বাৰ্তা (=ক&#39;ড কৰা বাৰ্তা),સાઇફર સંદેશ (=કોડેડ સંદેશ)
চাইফাৰ (শূন্য),સાઇફર (શૂન્ય)
বৃত্ত,વર્તુળ
অভিসৰণৰ বৃত্ত,કન્વર્જન્સનું વર્તુળ
বৰ্তনী মেট্ৰিক্স,સર્કિટ મેટ્રિક્સ
বৃত্তাকাৰ,પરિપત્ર
বৃত্তাকাৰ এছিম্পটট,પરિપત્ર એસિમ્પ્ટોટ
বৃত্তাকাৰ হেলিক্স,ગોળાકાર હેલિક્સ
বৃত্তাকাৰ গতি,પરિપત્ર ગતિ
circumcentre,પરિઘ કેન્દ્ર
circumcircle কৰা হৈছে,પરિઘ
circumscribe কৰক,ઘેરાવો
পৰিসীমাবদ্ধ,ઘેરાયેલું
circumscribed বৃত্ত,ઘેરાયેલું વર્તુળ
ধ্ৰুপদী ডিডক্টিভ কৌশল,ક્લાસિકલ ડિડક્ટિવ ટેકનિક
ধ্ৰুপদী গতিশীলতা,શાસ્ત્રીય ગતિશીલતા
ধ্ৰুপদী অনুকূলন,શાસ્ત્રીય ઓપ્ટિમાઇઝેશન
ধ্ৰুপদী ধ্বংস সমস্যা,શાસ્ત્રીય વિનાશની સમસ્યા
ধ্ৰুপদী পৰিসংখ্যা বলবিজ্ঞান,શાસ્ત્રીય આંકડાકીય મિકેનિક્સ
ভুলৰ শ্ৰেণীবিভাজন,ભૂલોનું વર્ગીકરણ
শ্ৰেণীৰ ব্যৱধান,વર્ગ અંતરાલ
শ্ৰেণী-ব্যৱধান একক,વર્ગ અંતરાલ એકમ
শ্ৰেণী সীমা,વર્ગ મર્યાદા
ঘড়ীৰ কাঁটাৰ দিশত,ઘડિયાળની દિશામાં
clopen (= বন্ধ আৰু খোলা),ક્લોપેન (= બંધ અને ખુલ્લું)
বন্ধ কৰা হৈছে,બંધ
বন্ধ উত্তল ঢাল,બંધ બહિર્મુખ હલ
বন্ধ ঘনক,બંધ સમઘન
বন্ধ বক্ৰ,બંધ વળાંક
বন্ধ ডমেইন,બંધ ડોમેન
বন্ধ চিত্ৰ,બંધ આકૃતિ
বন্ধ ব্যৱধান,બંધ અંતરાલ
বন্ধ অঞ্চল,બંધ પ્રદેશ
বন্ধ চেট,બંધ સેટ
বন্ধ পৃষ্ঠ,બંધ સપાટી
বন্ধ কৰা,બંધ
বন্ধ অপাৰেটৰ,બંધ ઓપરેટર
বন্ধ বিন্দু (= সংস্পৰ্শ বিন্দু),બંધ બિંદુ (= સંપર્ક બિંદુ)
বন্ধ কৰাৰ প্ৰস্তাৱনা,બંધ કરવાની ધારણા
বন্ধ কৰা ছেট,બંધ સેટ
ক্লাষ্টাৰ পইণ্ট,ક્લસ્ટર બિંદુ
ক্লাষ্টাৰ নমুনা সংগ্ৰহ কৰা,ક્લસ્ટર નમૂના
ক্লাষ্টাৰ ছেট,ક્લસ્ટર સેટ
সমাক্ষীয় বৃত্ত,કોક્સિયલ વર્તુળો
সমাক্ষীয় পেৰাবোলা,કોક્સિયલ પેરાબોલાસ
সমাক্ষীয় সমতল,કોક્સિયલ પ્લેન
সমাক্ষীয় ত্ৰিভুজ,કોક્સિયલ ત્રિકોણ
কব - ডগলাস ফাংশন,કોબ - ડગ્લાસ કાર્ય
ক&#39;ডিং,કોડિંગ
তথ্যৰ ক&#39;ডিং,ડેટાનું કોડિંગ
সহ-ডমেইন,સહ-ડોમેન
