Assamese,English
এলগোল,algol
এলগৰিদম,algorithm
এলগৰিদম বিশ্লেষণ,algorithm analysis
এলগৰিদম দক্ষতা,algorithm efficiency
alias,alias
প্ৰান্তিককৰণ,alignment
আবণ্টন,allocation
বৰ্ণানুক্ৰমিক,alphabetic
আলফানিউমেৰিক,alphanumeric
আলফানিউমেৰিক কি বৰ্ড,alphanumeric key board
আলফা-পৰীক্ষা,alpha-test
আলফা-সংস্কৰণ,alpha-version
alt কি&#39;,alt key
আলতাভিস্তা,altavista
অস্পষ্টতা,ambiguity
অস্পষ্ট ব্যাকৰণ,ambiguous grammar
আমেৰিকান নেচনেল ষ্টেণ্ডাৰ্ডছ ইনষ্টিটিউট (ANSI),American National Standards Institute (ANSI)
তথ্য বিনিময়ৰ বাবে আমেৰিকান মানক ক&#39;ড (ASCII),American Standard Code For Information Interchange (ASCII)
এনালগ,analog
এনালগ কম্পিউটাৰ,analog computer
এনালগ ডিভাইচ,analog device
এনালগ মডেম,analog modem
এনালগ টু ডিজিটেল কনভাৰ্টাৰ (ADC),Analog To Digital Converter (ADC)
আৰু,AND
AND বৰ্তনী,AND circuit
AND গেট,AND gate
AND অপাৰেচন নহয় (বৰ্জন),AND not operation (Exclusion)
এনিমেচন,animation
টীকাকৰণ,annotation
বিজুতি,anomaly
পূৰ্বসূৰী,antecedent
প্ৰত্যাশিত পেজিং,anticipatory paging
এন্টি-চিমেট্ৰিক,anti-symmetric
এন্টিভাইৰাছ প্ৰগ্ৰেম,antivirus program
applet,applet
এপ্লিকেচন ডেভেলপাৰ,application developer
এপ্লিকেচন প্ৰগ্ৰেমিং,application programming
এপ্লিকেচন প্ৰগ্ৰেমিং আন্তঃপৃষ্ঠ (API),application programming interface (API)
এপ্লিকেচন চফ্টৱেৰ,application software
প্ৰয়োগমূলক ভাষা,applicative language
আনুমানিক তত্ত্ব,approximation theory
স্থাপত্য,architecture
এলেকা হস্তান্তৰ,area transfer
তৰ্কাতৰ্কি,argument
গাণিতিক আৰু যুক্তিৰ একক,arithmatic and logic unit
গাণিতিক পৰীক্ষা,arithmatic check
গাণিতিক ধ্ৰুৱক,arithmatic constant
গাণিতিক তথ্য,arithmatic data
গাণিতিক নিৰ্দেশনা,arithmatical instruction
গাণিতিক আৰু যুক্তি একক (ALU),arithmetic and logic unit (ALU)
ARPANET,ARPANET
এৰে,array
এৰে কেচ,array cache
এৰে কম্পিউটাৰ,array computer
এৰে উপাদান,array element
এৰেৰ নাম,array name
এৰে প্ৰচেছৰ,array processor
কাঁড় চিহ্নসমূহ,arrow keys
আৰ্টিকুলেচন,articulation
আৰ্টিকুলেচন পইণ্ট,articulation point
কৃত্ৰিম সংকোচন,artificial compaction
কৃত্ৰিম নিয়ন্ত্ৰণ,artificial control
কৃত্ৰিম বুদ্ধিমত্তা,artificial intelligence
আৰোহী,ascender
আৰোহী সজাই পৰাই তোলা,ascending sort
ASCII betical ক্ৰম,ASCII betical order
ASCII নিয়ন্ত্ৰণ আখৰ,ASCII control character
ASCII নথিপত্ৰ,ASCII file
ASCII ফন্ট,ASCII font
ASCII স্থানান্তৰ,ASCII transfer
এস্পেক্ট ৰেচিঅ&#39;,aspect ratio
এ এছ পি আই,ASPI
ASR টাইমাৰ,ASR timer
একত্ৰিত কৰা,assemble
এছেম্বলাৰ,assembler
সভা,assembly
সমাবেশ ভাষা,assembly language
assertion,assertion
আবণ্টন কৰা কাৰ্য,assignment
সংস্থা,association
সহযোগী ঠিকনা,associative address
সহযোগী স্মৃতিশক্তি,associative memory
এস্টেৰিক,asteric
অসমতাপূৰ্ণ,asymmetric
এচিনক্ৰ&#39;নাছ,asynchronous
ডিজিটেল গ্রাহক লাইন (ADSL),asynchronous Digital Subscriber Line (ADSL)
asynchronous সময় বিভাজন মাল্টিপ্লেক্সিং (ATDM),asynchronous Time Division Multiplexing (ATDM)
এচিনক্ৰ&#39;নাছ স্থানান্তৰ,asynchronous transfer
এচিনক্ৰ&#39;নাছ স্থানান্তৰ ধৰণ (ATM),asynchronous Transfer Mode (ATM)
পৰমাণু,atom
সংলগ্ন নথিপত্ৰ,attached document
সংলগ্ন ফাইল,attached file
সংলগ্নক,attachment
বৈশিষ্ট্য,attribute
অডিঅ&#39;,audio
অডিট প্ৰগ্ৰেমিং,audit programming
অডিট ট্ৰেইল,audit trail
বৃদ্ধি কৰা,augmentation
প্ৰমাণীকৰণ প্ৰটোকল,authentication protocol
লেখক ব্যৱস্থা,authoring system
অনুমোদন,authorization
অটো বিমূৰ্ত,auto abstract
স্বয়ংক্ৰিয় বুট কৰা,autobooting
অটোকেড,autocad
অটোলগ অন,autolog on
automata,automata
automata তত্ত্ব,automata theory
স্বয়ংক্ৰিয় কম্পিউটিং,automatic computing
স্বয়ংক্ৰিয় তথ্য প্ৰক্ৰিয়াকৰণ,automatic data processing
স্বয়ংক্ৰিয় ভুল সংশোধন,automatic error correction
স্বয়ংক্ৰিয় কাৰ্য্য,automatic function
স্বয়ংক্ৰিয় সূচীভুক্তকৰণ,automatic indexing
স্বয়ংক্ৰিয় লাইব্ৰেৰী কল,automatic library call
স্বয়ংক্ৰিয় প্ৰগ্ৰেমিং,automatic programming
স্বয়ংক্ৰিয় পুনৰুদ্ধাৰ প্ৰগ্ৰেম,automatic recovery program
স্বয়ংক্ৰিয় ৰুটিন,automatic routine
স্বয়ংক্ৰিয় চিস্টেম পুনৰুদ্ধাৰ,automatic system recovery
স্বয়ংক্ৰিয় টেলাৰ মেচিন (ATM),automatic teller machine (ATM)
অটোমেচন,automation
অটোপ্লে,autoplay
স্বয়ংক্ৰিয় সংৰক্ষণ কৰক,autosave
সহায়ক,auxiliary
সহায়ক স্মৃতিশক্তি,auxiliary memory
সহায়ক সংৰক্ষণ,auxiliary storage
উপলব্ধ তালিকা,available list
উপলব্ধ সময়,available time
গড়,average
awk (ভাষা),awk (language)
বেকএণ্ড,backend
বেকএণ্ড প্ৰচেছৰ,backend processor
বেকফেচ আঁতৰোৱা,backface removal
পটভূমি প্ৰক্ৰিয়াকৰণ,background processing
বেকিং ষ্ট&#39;ৰ,backing store
বেকপেচিং,backpatching
বেকস্পেচ,backspace
পিছুৱাই যোৱা,backtracking
বেক-আপ,back-up
বেক-আপ মেমৰি,back-up memory
পিছলৈ ত্ৰুটি পুনৰুদ্ধাৰ,backward error recovery
বেলেন্স শ্বীট,balance sheet
বেণ্ড,band
বেণ্ডৰ প্ৰস্থ,band width
বেংকাৰৰ এলগৰিদম,banker's algorithm
বাৰ ক&#39;ড,bar code
বাৰ ক&#39;ড স্ক্যানাৰ,bar code scanner
বাৰ গ্ৰাফ,bar graph
ভিত্তি ঠিকনা,base address
বেচ বেণ্ড,base band
ভিত্তি সংখ্যা,base number
ভিত্তি টেবুল,base table
প্ৰাথমিক,BASIC
মূল নিয়ন্ত্ৰণ,basic control
মূল ইনপুট,basic input
মূল নিৰ্দেশনা,basic instruction
মূল আউটপুট,basic output
মূল পদক্ষেপ,basic step
বেটছ,batch
বেচ ফাইল,batch file
বেচৰ অৱস্থান,batch position
বেচ প্ৰচেছিং,batch processing
বেচ ব্যৱস্থা,batch system
baud,baud
বড হাৰ,baud rate
আলোকৰশ্মি,beam
বেঞ্চমাৰ্ক,benchmark
দ্বিমুখী যোগাযোগ,bidirectional communication
দ্বিমুখী সংযোগ,bidirectional link
বাইনাৰী ক&#39;ড,binary code
বাইনাৰী অংক,binary digit
বাইনাৰী ইনপুট আউটপুট চিস্টেম (BIOS),binary Input output system (BIOS)
বাইনাৰী সংখ্যা,binary number
বাইনাৰী অপাৰেটৰ,binary operator
বাইনাৰী সম্পৰ্ক,binary relation
বাইনাৰী সন্ধান,binary search
বাইনাৰী সন্ধান গছ (BST),binary search tree (BST)
বাইনাৰী স্থানান্তৰ,binary transfer
বাইনাৰী গছ,binary tree
বাইপোলাৰ মেম’ৰী,bipolar memory
জন্ম মৃত্যুৰ আৰ্হি,birth death model
জন্ম মৃত্যু প্ৰক্ৰিয়া,birth death process
বিট,bit
বিট দোষ,bit fault
বিট মেপ,bit map
বিট মেপ পিক্সেল (BMP),bit map pixel (BMP)
বিট মেট্ৰিক্স,bit matrix
বিট পেটাৰ্ণ,bit pattern
বিটৰ অৱস্থান,bit position
বিট হাৰ,bit rate
ব্লেক বক্স পৰীক্ষা,black box testing
টিপটিপিয়াই,blinking
অৱৰুদ্ধ কৰা,block
ব্লক কেচ,block cache
ব্লক চেক কৰক,block check
ব্লক কপি,block copy
ব্লক ডায়াগ্ৰাম,block diagram
নেটৱাৰ্ক ব্লক কৰা,blocking network
ব’ৰ্ড,board
বুক মাৰ্ক,book mark
বুলিয়ান বীজগণিত,boolean algebra
বুলিয়ান সম্পৰ্ক,boolean relation
বুট বিভাজন,boot partition
বুট ষ্ট্ৰেপিং,boot strapping
বুট-ষ্ট্ৰেপ লোডাৰ,boot-strap loader
সেঁতু,bridge
ব্ৰডবেণ্ড নেটৱৰ্কিং,broadband networking
সম্প্ৰচাৰ,broadcast
সম্প্ৰচাৰ ৰেডিঅ&#39;,broadcast radio
ব্ৰাউজ কৰক,browse
ব্ৰাউজাৰ,browser
বি-বৃক্ষ,B-Tree
বুদবুদ স্মৃতিশক্তি,bubble memory
বুদবুদ সজাই পৰাই তোলা,bubble sort
বাল্টি,bucket
বন্ধু ব্যৱস্থা,buddy system
বাজেট ফলপ্ৰসূ নিয়ন্ত্ৰণ,budget effective control
বাফাৰ,buffer
পোক,bug
বাছ,bus
বাইট,byte
বাইট ক&#39;ড,byte code
গ,c
C++,C++
cache,cache
কেশ্ব বাফাৰ,cache buffer
কেশ্ব মেমৰি,cache memory
গণনা কৰা,calculation
কেলকুলেটৰ,calculator
কেলকুলেটৰ চিপ,calculator chip
কল কৰা,call
নামেৰে ফোন কৰক,call by name
ৰেফাৰেন্সৰ দ্বাৰা কল কৰক,call by reference
মূল্যৰ দ্বাৰা কল কৰক,call by value
চলকৰ দ্বাৰা কল কৰক,call by variables
গেট কল কৰক,call gate
বাতিল কৰক,cancel
বাতিল বুটাম,cancel button
canonical,canonical
কেননিক ৰূপ,canonical form
ক্ষমতা,capability
ক্ষমতা তালিকা,capability list
ক্ষমতা,capacity
caps লক চাবি,caps lock key
কাৰ্ড,card
কাৰ্ড ৰিডাৰ,card reader
কাৰ্ডিনালিটি,cardinality
বাহক,carrier
বাহক বেণ্ড,carrier band
বাহক বোজা,carrier load
বাহক সংকেত,carrier signal
বাহক তৰংগ,carrier wave
কঢ়িওৱা,carry
carry digit,carry digit
পতাকা কঢ়িয়াই নিয়া,carry flag
কাৰ্টিজ ডিস্ক,cartridge disk
cascade,cascade
ঘটনা,case
কেথড ৰে টিউব (CRT),cathod ray tube (CRT)
কেথ&#39;ড ৰে টিউব (CRT),cathode ray tube (CRT)
CD ROM ডিষ্ক ড্ৰাইভ,CD ROM disk drive
কোষ,cell
কোষ এনিমেচন,cell animation
চেলুলাৰ ফোন,cellular phone
কেন্দ্ৰীয় স্মৃতিশক্তি,central memory
কেন্দ্ৰীয় প্ৰক্ৰিয়াকৰণ একক (CPU),central processing unit (CPU)
কেন্দ্ৰীভূত ব্যৱস্থা,centralized system
প্ৰমাণিত টেপ,certified tape
শিকলি,chain
শৃংখল তথ্য,chain data
শৃংখল সংযোগ,chain link
চেইনিং,chaining
চেনেল,channel
চেনেল ব্যস্ত সুৰ,channel busy tone
চেনেলৰ ক্ষমতা,channel capacity
চেনেল নিয়ন্ত্ৰক,channel controller
চেনেলৰ ভুল,channel error
চেনেল প্ৰগ্ৰেম,channel program
চেনেলৰ নিৰ্ভৰযোগ্যতা,channel reliability
চেনেল ছেট,channel set
চৰিত্ৰ,character
আখৰৰ ক&#39;ড,character code
আখৰৰ চাবি,character key
চৰিত্ৰ পাঠক,character reader
আখৰৰ আকাৰ,character size
তালিকা,chart
চেছিছ,chassis
বিট পৰীক্ষা কৰক,check bit
ডিজিট পৰীক্ষা কৰক,check digit
ৰাশি পৰীক্ষা কৰক,check sum
শব্দ পৰীক্ষা কৰক,check word
চিপ,chip
চিপ চেট,chip set
বাছনি কৰক,choose
ৰঙীনভাৱে,chromatically
চাইফাৰ,cipher
বৰ্তনী,circuit
বৃত্তাকাৰ তালিকা,circular list
cirus,cirus
উদ্ধৃতি,citation
শ্ৰেণী,class
ক্লাছ ভেৰিয়েবল,class variable
শ্ৰেণীবিভাজন,classification
পৰিষ্কাৰ,clear
স্পষ্ট এলেকা,clear area
ক্লিয়াৰ চেনেল,clear channel
ক্লিক কৰক,click
গ্ৰাহক,client
ক্লাএন্ট চাৰ্ভাৰ,client server
ক্লায়েন্ট ষ্টাব,client stub
ক্লিপ আৰ্ট,clip art
ক্লিপ আৰ্ট লাইব্ৰেৰী,clip art library
ক্লিপ বৰ্ড,clip board
ক্লিপাৰ,clipper
ক্লিপাৰ চিপ,clipper chip
ক্লিক,clique
ঘড়ী,clock
ঘড়ীৰ চক্ৰ,clock cycle
ঘড়ীৰ কম্পাঙ্ক,clock frequency
ঘড়ী হাৰ্ডৱেৰ,clock hardware
ঘড়ীৰ স্পন্দন,clock pulse
ঘড়ীৰ গতি,clock speed
ঘড়ী সমন্বয়,clock synchronization
ঘড়ীৰ টিক,clock tick
ক্ল&#39;ন,clone
বন্ধ,close
ক্ল&#39;জ চাৰ্কিট টিভি (CCTV),close circuit TV (CCTV)
বন্ধ কৰা,closure
ক্লাউড কম্পিউটিং,cloud computing
গুচ্ছ,cluster
আৱৰণযুক্ত কাৰ্ড,coated card
আৱৰণযুক্ত কাগজ,coated paper
সমাক্ষীয়,coaxial
সমাক্ষীয় কেবল,coaxial cable
কোডাচাইল,codasyl
ক&#39;ড,code
ক&#39;ড জেনেৰেটৰ,code generator
ক&#39;ড পৃষ্ঠা,code page
ক&#39;ড শব্দ,code word
ক&#39;ডাৰ,coder
ক&#39;ডিং পৰীক্ষা,coding check
ক&#39;ডিং ফৰ্ম,coding form
ক&#39;ডিং শ্বীট,coding sheet
সহগ,coefficient
সংহতি,coherence
ঠাণ্ডা বুট,cold boot
ঠাণ্ডা আৰম্ভণি,cold start
সহযোগিতা,collaboration
পতন হোৱা,collapse
collate,collate
টেপ কোলেট কৰক,collate tape
সংঘৰ্ষ,collision
বৃহদান্ত্ৰ,colon
ৰং (ৰং),colour (color)
ৰঙৰ পৰিপূৰকতা,colour saturation
ৰঙৰ টেবুল,colour table
স্তম্ভ,column
সংমিশ্ৰণ,combination
কম্বো বক্স,combo box
আদেশ,command
কমাণ্ড বুটাম,command button
কমাণ্ড তালিকা,command list
মন্তব্য,comment
অংগীকাৰ,commitment
পণ্য,commodity
সাধাৰণ ব্যৱসায়মুখী ভাষা (Cobol),Common Business Oriented Language (Cobol)
সাধাৰণ ভুল,common error
সাধাৰণ ভাষা,common language
সাধাৰণ ৰুটিন,common routine
যোগাযোগ,communication
যোগাযোগ লাইন,communication line
যোগাযোগ ধৰণ,communication mode
যোগাযোগ নেটৱৰ্ক,communication network
যোগাযোগ প্ৰাচল,communication parameter
যোগাযোগ ব্যৱস্থা,communication system
সংকোচন,compaction
কম্পাণ্ডাৰ,compander
companding,companding
কোম্পানী নেটৱৰ্ক,company network
তুলনামূলক পৰীক্ষা,comparison test
সামঞ্জস্যতা,compatibility
উপযুক্ত,compatible
সংকলন,compilation
কম্পাইল কৰক আৰু যাওক,compile and go
কম্পাইলাৰ,compiler
কম্পাইলাৰ ভাষা,compiler language
পৰিপূৰক,complementary
দহজনৰ ওপৰত পৰিপূৰক,complement-on-ten
পৰিপূৰক,complementor
সম্পূৰ্ণ কঢ়িয়াই নিয়া,complete carry
জটিল,complex
জটিল সংখ্যা,complex number
উপাদান,component
উপাদান বস্তুৰ আৰ্হি (COM),component object model (COM)
কম্পোজিট,composite
সুৰ-ৰচনা,composition
গণনামূলক,computational
কম্পিউটাৰ,computer
কম্পিউটাৰ কেন্দ্ৰ,computer centre
কম্পিউটাৰ বিশেষজ্ঞ,computer expert
কম্পিউটাৰ গ্ৰাফিক্স,computer graphics
কম্পিউটাৰৰ নিৰ্দেশনা,computer instruction
কম্পিউটাৰ ভাষা,computer language
কম্পিউটাৰ নেটৱৰ্ক,computer network
কম্পিউটাৰ বিজ্ঞান,computer science
কম্পিউটাৰ সুৰক্ষা,computer security
কম্পিউটাৰ চিমুলেটন,computer simulaton
কম্পিউটাৰ বিশেষজ্ঞ,computer specialist
কম্পিউটাৰাইজেচন,computerisation
কম্পিউটাৰিষ্ট,computerist
কম্পিউটাৰাইজ কৰা,computerize
কম্পিউটিং,computing
ধাৰণা,concept
সমকালীনতা,concurrency
সমকালীন,concurrent
কণ্ডিচন ভেৰিয়েবল,condition variable
চৰ্তসাপেক্ষ অপাৰেটৰ,conditional operator
চৰ্তসাপেক্ষ বিবৃতি,conditional statement
পৰিবাহী,conductor
কনফাৰেন্সিং,conferencing
গোপনীয়তা,confidentiality
বিন্যাস,configuration
ভিৰ,congestion
সংযোগ,conjunction
সংযোগ গতি,connect speed
সংযোগ,connection
সংযোগ কম যোগাযোগ,connection less communication
সংযোগ মুক্তি,connection release
সংযোগ,connectivity
সংযোগকাৰী,connector
একেৰাহে,consecutive
ফলস্বৰূপ,consequent
কনছ&#39;ল,console
একত্ৰীকৰণ,consolidation
নেৰানেপেৰা,constant
নিৰন্তৰ নিৰ্দেশনা,constant instruction
বাধা,constraint
কনষ্ট্ৰাক্টৰ,constructor
পাত্ৰ,container
বিষয়,content
সন্দৰ্ভ,context
প্ৰসংগ মুক্ত ব্যাকৰণ (CFG),context free grammar (CFG)
প্ৰসংগ চুইচ,context switch
আকস্মিকতা,contingency
সংকোচন,contraction
বিষমতা,contrast
নিয়ন্ত্ৰণ,control
নিয়ন্ত্ৰণ এলেকা,control area
নিয়ন্ত্ৰণ বিট,control bit
নিয়ন্ত্ৰণ বাছ,control bus
নিয়ন্ত্ৰণ কাৰ্ড,control card
নিয়ন্ত্ৰণ বৰ্তনী,control circuit
নিয়ন্ত্ৰণ চক্ৰ,control cycle
নিয়ন্ত্ৰণ অভিযান্ত্ৰিকী,control engineering
নিয়ন্ত্ৰণ কি&#39;,control key
নিয়ন্ত্ৰণ যুক্তি,control logic
নিয়ন্ত্ৰণ লুপ,control loop
নিয়ন্ত্ৰণ চিহ্ন,control mark
নিয়ন্ত্ৰণ কাৰ্য্য,control operation
নিয়ন্ত্ৰণ পেনেল,control panel
নিয়ন্ত্ৰণ সংকেত,control signal
নিয়ন্ত্ৰণ চুইচ,control switch
নিয়ন্ত্ৰণ টেপ,control tape
নিয়ন্ত্ৰণ টাৰ্মিনেল,control terminal
নিয়ন্ত্ৰণ একক (CU),control unit (CU)
অভিসৰণ,convergence
কথা-বাৰ্তা,conversation
কথোপকথনৰ সময় ভাগ-বতৰা কৰা,conversational time sharing
ৰূপান্তৰ,conversion
ৰূপান্তৰক,converter
কুকৰ উপপাদ্য,Cook's theorem
সহ-প্ৰচেছৰ,co-processor
কপি কৰক,copy
কপিৰাইট,copyright
কৰ্ড,cord
কৰ্ডলেছ টেলিফোন,cordless telephone
corollary,corollary
সংশোধন,correction
দুৰ্নীতিগ্ৰস্ত,corrupted
হিচাপ কৰা,count
বিৰোধ,counter
দেশৰ কোড,country code
সহাৱস্থান,covariance
কভাৰেজ,coverage
খুন্দা মৰা,crash
জটিল পথ,critical path
জটিল পথ পদ্ধতি (CPM),critical path method (CPM)
ক্ৰছ চেক,cross check
ক্ৰছ কম্পাইলাৰ,cross compiler
ক্ৰছ জুই,cross fire
ক্ৰছ টক,cross talk
ক্ৰিপ্টোগ্ৰাফিক,cryptographic
ক্ৰিপ্টোগ্ৰাফী,cryptography
মুদ্ৰাৰ চিহ্ন,currency symbol
বৰ্তমান ডাইৰেকটৰি,current directory
বৰ্তমান উইন্ডো,current window
কাৰ্চাৰ,cursor
বক্ৰ,curve
কাটি পেষ্ট কৰক,cut and paste
কাটিব পৰা পদ্ধতি,cut method
চাইবাৰ,cyber
চাইবাৰ কেফে,cyber café
চাইবাৰ নগদ ধন,cyber cash
চাইবাৰ অপৰাধ,cyber crime
চাইবাৰ ডেলিক,cyber delics
চাইবাৰ আইন,cyber law
চাইবাৰ যৌনতা,cyber sex
চাইবাৰনেটিক্স,cybernatics
চাইবাৰনেচন,cybernation
চক্ৰ,cycle
চক্ৰ স্মৃতিশক্তি,cycle memory
চক্ৰ চুৰি,cycle steal
চক্ৰৰ সময়,cycle time
চক্ৰীয়,cyclic
ডেমন,daemon
ডেইজী চকা,daisy wheel
ডাটা প্ৰশাসক,data administrator
তথ্য আবণ্টন,data allocation
ডাটা এৰিয়া,data area
ডাটা এৰে,data array
ডাটা বেচ,data base
ডাটা ব্ৰেক,data break
ডাটা বাছ,data bus
ডাটা কেৰিয়াৰ,data carrier
ডাটা চেল,data cell
ডাটা চেনেল,data channel
ডাটা যোগাযোগ,data communication
তথ্য সংকোচন,data compression
ডাটা ফিল্ড,data field
ডাটা ফাইল,data file
তথ্যৰ প্ৰবাহ,data flow
ডাটা প্ৰবাহ চাৰ্ট,data flow Chart
ডাটা হাইৰাৰ্কি,data hierarchy
তথ্যৰ স্তৰ,data level
ডাটা লাইব্ৰেৰী,data library
ডাটা লিংক স্তৰ,data link layer
ডাটা লিংক স্তৰ (DLL),data link layer (DLL)
তথ্য ব্যৱস্থাপনা,data management
ডাটা মেনিপুলেচন,data manipulation
ডাটা মেনিপুলেচন ভাষা (DML),data manipulation language (DML)
ডাটা মডেম,data modem
তথ্য পৰিৱৰ্তন,data modification
ডাটা নেটৱৰ্ক,data network
ডাটা অপাৰেচন,data operation
ডাটা সংস্থাপন,data organization
ডাটা আউটপুট,data output
ডাটা পথ,data path
তথ্য প্ৰস্তুত কৰা,data prepration
ডাটা গোপনীয়তা,data privacy
ডাটা প্ৰচেছৰ,data processor
তথ্য সুৰক্ষা,data protection
ডাটা ৰেকৰ্ড,data record
তথ্য উদ্ধাৰ কৰা,data retrieval
ডাটা ৰুটিন,data routine
ডাটা সুৰক্ষা,data security
ডাটা ছেট,data set
ডাটা সংকেত,data signal
ডাটা ডুব যোৱা,data sink
তথ্যৰ উৎস,data source
তথ্যৰ নিৰ্দিষ্টকৰণ,data specification
ডাটা ষ্টেচন,data station
ডাটা সংৰক্ষণ,data storage
তথ্য সংৰক্ষণ গঠন,data storage structure
তথ্যৰ গঠন,data structure
ডাটা চুইচ,data switch
ডাটা টেবুল,data table
ডাটা টাৰ্মিনেল,data terminal
ডাটা ট্ৰান্সক্ৰিপচন,data transcription
ডাটা ট্ৰেন্সফাৰ,data transfer
ডাটা ট্ৰেন্সমিছন,data transmission
ডাটা ট্ৰেন্সমিছন চেনেল,data transmission Channel
তথ্যৰ ধৰণ,data type
ডাটা ইউনিট,data unit
তথ্য বৈধকৰণ,data validation
ডাটাবেছ,database
ডাটাবেছ প্ৰশাসন,database adminstration
ডাটাবেছ ডিজাইন,database design
ডাটাবেছ ব্যৱস্থাপনা ব্যৱস্থা,database management system
ডাটাগ্ৰাভ,datagrav
ডাটাম,datum
ডেড জ&#39;ন,dead zone
ডেডলক,deadlock
ডেডলক প্ৰতিৰোধ,deadlock prevention
ডিবাগ কৰক,debug
সিদ্ধান্ত বাকচ,decision box
সিদ্ধান্ত গ্ৰহণ প্ৰক্ৰিয়া,decision making process
সিদ্ধান্ত সমৰ্থন ব্যৱস্থা,decision support system
সিদ্ধান্ত গছ,decision tree
ডিকোডাৰ,decoder
পচন নীতি,decomposition principle
ডিক্ৰিপচন,decryption
ডেডিকেটেড চেনেল,dedicated channel
নিবেদিত বন্দৰ,dedicated port
প্ৰতিৰক্ষা ডাটা নেটৱৰ্ক (DDN),defence data network (DDN)
প্ৰতিৰক্ষা তথ্য ব্যৱস্থা,defence information system
ডিফ্ৰেগমেণ্টেচন,defragmentation
পলম কৰা,delay
বিলম্ব কাউণ্টাৰ,delay counter
বিলম্বৰ সময়,delay time
বিলোপ,delete
ডিলিচন ৰেকৰ্ড,deletion record
সীমা নিৰ্ধাৰণকাৰী,delimiter
ডেল্টা মডুলেচন,delta modulation
ডিমাণ্ড পেজিং,demand paging
ডেমো,demo
ডিমডুলেচন,demodulation
ডিমাল্টিপ্লেক্সাৰ,demultiplexer
ডিনৰ্মেলাইজেচন,denormalization
ঘনত্ব,density
নিৰ্ভৰশীলতা,dependency
