Hindi,Telugu
"ध्वानिक मंडलन, ध्वानिक जोननिर्माण",ఎకౌస్టిక్ జోనింగ్
उपार्जित लक्षण,సంపాదించిన పాత్ర
उपार्जित प्रतिरक्षा,రోగనిరోధక శక్తిని సంపాదించింది
उपार्जित प्रतिरक्षा न्यूनता संलक्षण (एड्स),ఇమ్యునో లోపం (AIDS)
ऐक्रैनिया,అక్రినియా
एक्रिडीन रंजक,యాక్రిడిన్ డై
अग्रकेंद्री,అక్రోసెంట్రిక్
अंसकूट,అక్రోమియన్
अग्राभिसारी अनुक्रम,అక్రోపెటల్ సీక్వెన్స్
अग्राभिसारी क्रम,అక్రోపెటల్ ఆర్డర్
एक्रोसिन,అక్రోసిన్
ऐक्टिन,ఆక్టిన్
ऐक्टिन-सम प्रोटीन,ఆక్టిన్ లాంటి ప్రోటీన్
त्रिज्यासममित,ఆక్టినోమోర్ఫిక్
एक्टिनोमाइसिटीज,ఆక్టినోమైసెట్స్
क्रिया विभव,చర్య సామర్థ్యం
सक्रियित आपंक,సక్రియం చేయబడిన బురద
सक्रियित आपंक फ्लॉक,సక్రియం చేయబడిన బురద ఫ్లోక్
सक्रियण ऊर्जा,యాక్టివేషన్ ఎనర్జీ
सक्रिय अवशोषण,క్రియాశీల శోషణ
सक्रिय प्रतिरक्षा,క్రియాశీల రోగనిరోధక శక్తి
सक्रिय विकिरण,క్రియాశీల రేడియేషన్
सक्रिय स्थल,క్రియాశీల సైట్
ऐक्टिविन,యాక్టివిన్
लंबाग्र,అక్యూమినేట్
ऐडैम्सिया,ఆడమియా
अनुकूलनशीलता,అనుకూలత
अनुकूलन,అనుసరణ
प्रकाश प्रवृत्ति के प्रति अनुकूलन,కాంతి పాలనకు అనుసరణ
जलाभाव के प्रति अनुकूलन,నీటి కొరతకు అనుసరణ
अनुकूली (अभि) लक्षण,అనుకూల లక్షణాలు
अनुकूली प्रतिरक्षा,అనుకూల రోగనిరోధక శక్తి
अनुकूली विकिरण,అడాప్టివ్ రేడియేషన్
अनुकूली विशेषक,అనుకూల లక్షణం
अभ्यक्ष पृष्ठ,అడాక్సియల్ ఉపరితలం
व्यसनी विकार,వ్యసనపరుడైన రుగ్మత
ऐडेनीन,అడెనిన్
ऐडिनोकॉर्टिकोट्रॉपिन,అడెనోకార్టికోట్రోపిన్
ऐडेनोहाइपोफाइसिस,అడెనోహైపోఫిసిస్
ऐडेनोसिन डाइफास्फेट,అడెనోసిన్ డిఫాస్ఫేట్
ऐडेनोसिन डीएमीनेज,అడెనోసిన్ డీమినేస్
ऐडेनोसिन मोनोफॉस्फेट,అడెనోసిన్ మోనోఫాస్ఫేట్
ऐडेनोसिन ट्राइफॉस्फेट,గ్రంధి ముడతలు
एडेनिलेट साइक्लेज,అడెనిలేట్ సైక్లేస్
आसंजी बल,అంటుకునే శక్తి
ऐडिपेट,అడిపేట్
वसाणु (वसा कोशिका),కొవ్వు పెండినవి
वसा ऊतक,కొవ్వు కణజాలము
संलग्न,Adnate
संलग्न समुदाय,ప్రక్కనే ఉన్న సంఘం
अधिवृक्क,అడ్రినల్
अधिवृक्क ग्रंथि,అడ్రినల్ గ్రంథి
एड्रिनोकॉर्टिकोट्रॉपिक हॉर्मोन,ఎడ్రినల్ గ్రంథి
एड्रिनोकॉर्टिकोट्रॉपिक निर्मोचक हार्मोन,ఎడ్రినల్ గ్రంథి యొక్క విడుదల హార్మోన్
अधिशोषक,Adsorbent
अधिशोषण,శోషణ
उन्नत कशेरुकी,అధునాతన కార్డేట్
लाभकारी उत्परिवर्तन,ప్రయోజనకరమైన మ్యుటేషన్
बाह्य कंचुक,అడ్వెసిషియల్
अपस्थानिक जड़,సాహసోపేతమైన రూట్
प्रतिकूल प्रभाव,ప్రతికూల ప్రభావం
ईडीज,AEDES
संवर्ध-वातन,సంస్కృతి వాయువు
वायूतक,ఏరెన్చైమా
"वायव (वि.), एरियल (सं.)",ఆకాశయాన
वायव जड़,వైమానిక రూట్
वायव प्ररोह,వైమానిక షూట్
वायु श्वसन,ఏరోబిక్ శ్వాసక్రియ
ऑक्सी श्वसन,ఏరోబిక్ శ్వాసక్రియ
सौंदर्यबोध,సౌందర్యం
पुष्पदल विन्यास,ఎస్టివేషన్
ग्रीष्मनिष्क्रियता,ఎస్టివేషన్
अभिवाही,అనుబంధ
बंधुता वर्णलेखन,అనుబంధ క్రోమాటోగ్రఫీ
ग्रसित अंग,బాధిత అవయవం
वनरोपण,అటవీ నిర్మూలన
अनिषेकबीजता,అగామోస్పెర్మీ
ऐगार,అగర్
ऐगेरोस,అగరోస్
ऐगेरोस जेल वैद्युतकण संचलन,అగరోస్ జెల్ ఎలెట్రోఫోరేసిస్
एगेरोस बहुलक जेल,అగరోస్ పాలిమర్ జెల్
एगास्ट,అగాస్ట్
अगेव,కిత్తలి
आयु अनुसार वितरण,వయస్సు పంపిణీ
आयु पिरैमिड,వయస్సు పిరమిడ్
आश्लेषण,సంకలనం
पुंज,మొత్తం
पुटक पुंज,ఫోలికల్ యొక్క మొత్తం
पुटक समुच्चय,ఫోలికల్ యొక్క మొత్తం
"समुच्चय, समुच्चयन",సమూహనం
आक्रामकता,దూకుడు
प्रक्षोभक तंत्र,ఆందోళన వ్యవస్థ
ऐग्नेथा,అగ్నాథ
अगूटी,అగౌటి
ग्रेना-रहित हरितलवक,అగ్రనాల్ క్లోరోప్లాస్ట్
"अकणकीय, रवाहीन",అగ్రన్యులర్
अकणिकाणु,అగ్రనులోసైట్
"कृषि, खेती",వ్యవసాయం
कृषिवानिकी,అగ్రోఫారెస్ట్రీ
"ऐग्रोबैक्टीरियम माध्यित, कृषि-जीवाणु माध्यित",అగ్రోబాక్టీరియం మధ్యవర్తిత్వం
ऐग्रोबैक्टीरियम टूमिफेसियन्स,అగ్రోబాక్టీరియం ట్యూమెఫేసియన్స్
कृषि-रसायन,వ్యవసాయ రసాయన
कृषि रसायनिक,వ్యవసాయ రసాయన
कृषि-जलवायु अंचल,అగ్రోక్లిమాటిక్ జోన్
सस्यीय विशेषक,వ్యవసాయ లక్షణం
सस्यविज्ञान,వ్యవసాయ శాస్త్రం
एड्स,ఎయిడ్స్
वायु आशय,గాలి మూత్రాశయం
वातानुकूलक,వాతానుకూలీన యంత్రము
वायु पथ,గాలి మార్గం
वायु प्रदूषण,వాయుకాలుష్యం
वायु कोश,ఎయిర్ శాక్
वायु धानी,ఎయిర్ వాక్యూల్
वायु-श्वसन,గాలి-శ్వాస
एलेन,అలైన్
पक्षाकार पेशी,అలారి కండరం
अलास्काई भूरा भालू,అలాస్కాన్ బ్రౌన్ బేర్
वर्णकहीन,అల్బినో
ऐल्बूगो,అల్బుగో
ऐल्बूमिन,అల్బుమిన్
ऐल्बूमिनी बीज,అల్బుమినస్ సీడ్
"ऐल्बूमिनमेह, ऐल्बूमिन्यूरिया",అల్బుమినూరియా
"रसकाष्ठ, एल्बर्नम",అల్బర్నమ్
ऐल्सीडी,ఆల్కే
ऐल्डिहाइड,ఆల్డెహీడ్
ऐल्डोस्टेरोन तंत्र,ఆల్డోస్టెరాన్ వ్యవస్థ
ऐल्डोस्टेरोन,ఆల్డోస్టెరాన్
ऐल्यूरॉन परत,అల్యూరోన్ పొర
ऐल्यूरोप्लास्ट,అల్యూరోప్లాస్ట్
ऐल्फाल्फा,అల్ఫాల్ఫా
शैवाल प्रस्फुटन,ఆల్గల్ బ్లూమ్
ऐल्जिन,అల్జీన్
विजातीय डी. एन. ए,గ్రహాంతర DNA
विदेशी जाति,గ్రహాంతర జాతులు
संरेखण,అమరిక
अनुयोजन,అమరిక
आहार नाल,అలిమెంటరీ కెనాల్
आहार-तंत्र,అలిమెంటరీ సిస్టమ్
ऐलिस्मेसी,అలిస్మాసిస్
ऐल्केलॉइड,ఆల్కలాయిడ్
क्षारीय,ఆల్కలీన్
ऐल्कैप्टनमेह,అల్కాప్టోటోరియా
अपरापोषिका,అల్లాంటోయిస్
विकल्पी आवृत्ति,యుగ్మ వికల్ప ఫ్రీక్వెన్సీ
"विकल्पी, युग्मविकल्पी",యుగ్మ వికల్పం
विकल्पी युग्म,అల్లెలోమోర్ఫిక్ జత
"प्रत्यूर्जक, एलर्जन",అలెర్జీ
"नक्र, ऐलिगेटर",ఎలిగేటర్
ऐलियम सीपा,అల్లియం సెపా
परनिषेचन,అయోగాగమి
अपरनिरोप,అల్లోగ్రాఫ్ట్
विस्थानिक जाति-उद्भवन,అల్లోపాట్రిక్ స్పెసియేషన్
अपरबहुगुणित,అల్లోపాలిప్లోయిడ్
अपरस्थली प्रभाव,అలోస్టెరిక్ ప్రభావం
अपरस्थली एंजाइम,అలోస్టెరిక్ ఎంజైమ్
अपरस्थलीय संदमक,అలోస్టెరిక్ ఇన్హిబిటర్
अपरस्थली मॉडुलन,అలోస్టెరిక్ మాడ్యులేషన్
अपरस्थलीय स्थान,అలోస్టెరిక్ సైట్
अपरस्थली संदमन,అలోస్టెరిక్ నిరోధం
अपरचतुर्गुणित,అలోటెట్రాప్లాయిడ్
ऐलनस,ఆల్నస్
ऐलो,కలబంద
ऐक्सॉन की दिशा में,ఆక్సాన్ వెంట
ऐल्फा-ऐंटीट्रीप्सिन,ఆల్ఫా-యాంటిట్రిప్సిన్
"ऐल्फा लैक्टऐल्बूमिन, ऐल्फा-दुग्धऐल्बूमिन",ఆల్ఫా-లాక్టల్బ్యూమిన్
अल्पाइन जलवायवीय परिस्थिति,ఆల్పైన్ వాతావరణ పరిస్థితి
अल्पाइन शाद्वल,ఆల్పైన్ మేడో
अल्पाइन क्षेत्र,ఆల్పైన్ జోన్
ऐल्स्टोनिया,ఆల్స్టోనియా
आल्टर्नेरिया,ఆల్టర్నేరియా
एकांतर,ప్రత్యామ్నాయ
पीढ़ी-एकांतरण,తరం యొక్క ప్రత్యామ్నాయం
तुंगता अस्वस्थता,ఎత్తు రుగ్మత
तुगंता,ఎత్తు
कूपिका वाहिनी,అల్వియోలార్ డక్ట్
एलाइटीज,అలిట్స్
ऐल्जाइमर रोग,అల్జీమర్స్ వ్యాధి
अतंत्रिकाक्षी कोशिका,అమాక్రిన్ సెల్
अमारेंथेसी,అమరాంతేసి
अमारेंथस (चौलाई),అమరాంథస్
परिवेश परासरणी सांद्रण,పరిసర ఓస్మోటిక్ గా ration త
ऐम्बिस्टोमा,అంబిస్టోమా
ऐमाइड,అమైడ్
ऐमीनो अम्ल,అమైనో ఆమ్లం
ऐमीनो अम्ल-ग्राही,అమైనో యాసిడ్ అంగీకారం
ऐमीनोएसिल टी-आर.एन.ए.सिन्थेटेज,అమైన్‌లాకారి
ऐमीनोएसिलीयन,అమైనోఅసిలేషన్
असूत्री विभाजन,అమిటోసిస్
अमोनिया,అమ్మోనియా
अमोनीकरण,అమ్మోనిఫికేషన్
अमोनिया-उत्सर्जन,అమ్మోనోటెలిజం
उल्बवेधन,అమ్నియోసెంటెసిస్
उल्बवेधन तकनीक,అమ్నియోసెంటెసిస్ టెక్నిక్
उल्बकोशिका,అమ్నియోసైట్
उल्ब,అమ్నియోన్
उल्ब तरल,అమ్నియోటిక్ ద్రవం
उल्ब कला,అమ్నియోటిక్ పొర
उल्ब कोश,అమ్నియోటిక్ శాక్
अमीबा,అమీబా
"अमीबाणु, अमीबीकोशिका",అమీబోసైట్
"अमीबाभ, अमीबीय",అమీబాయిడ్
अमीबाभ लसीकाणु,అమీబోయిడ్ లింఫోసైట్
"अमीबीय गति, अमीबाभ गति",అమీబోయిడ్ కదలిక
"रवाहीन, अक्रिस्टलीय",నిరాకార
"मात्रा, परिमाण",మొత్తం
ऐम्फेटैमीन,యాంఫేటమిన్
ऐम्फिबिया,ఉభయచర
ऐम्फिबियन (प्राणी),ఉభయచర
उभयचर,ఉభయచర
एम्फिऑक्सस,యాంఫియోక్సస్
ऐम्फिऑक्सस लेन्सयोलेटस,యాంఫియోక్సస్ లాన్సోలాటస్
उभयसंवेदी,యాంఫిపతిక్
उभयसंवेदी वसा,యాంఫిపతిక్ లిపిడ్
ऐम्फिसार्का,యాంఫిసార్కా
ऐम्पिसिलिन,ఆంపిసిలిన్
"तुंबिका, ऐंपुला",అంపుల్లా
तुंबिका ग्रंथि,అంపల్లరీ గ్రంథి
ऐमिग्डल,అమిగ్డాల్
वातामक,అమిగ్డేల్
ऐमिग्डालिन,అమిగ్డాలిన్
एमिलेज,అమిలేస్
मंडलवक,అమిలోప్లాస్ట్
ऐनाबीना,అనాబెనా
ऐनाबस,అనాబాస్
उपचय पथक्रम,అనాబాలిక్ మార్గాలు
उपचय,అనాబాలిజం
ऐनाकार्डिएसी,అనాకార్డియాసి
अरक्तता,రక్తహీనత
"अवायुजीव, अनॉक्सी जीव",Anaerobe
अवायवी ईंधन,వాయురహిత ఇంధనం
"अवायु-श्वसन, अनॉक्सीय श्वसन",వాయురహిత శ్వాసక్రియ
अवायवी आपंक पाचित्र,వాయురహిత బురద డైజెస్టర్
"अवायवी, अवायुजीवी",Anaerobic
एनाइमा,అనైమా
"गुदीय, गुद",ఆసన
पक्षांत,ఆసన
"गुदीय द्वारक, गुद छिद्र",ఆసన ఎపర్చరు
गुदलूम,అనల్ సెర్సీ
पक्षांत पाश,అనల్ లూప్
गुदशूक,ఆసన శైలి
समवृत्ति,సారూప్యత
"सदृश, अनुरूप",సారూప్యత
समवृत्तिता,సారూప్యత
"सादृश्य, अनुरूपता",సారూప్యత
विश्लेषण,విశ్లేషణ
पश्चावस्था,అనాఫేస్
शारीरी रोध,శరీర నిర్మాణ అవరోధం
शारीरीय पक्ष,శరీర నిర్మాణ అంశం
शारीरज्ञ,శరీర నిర్మాణ శాస్త్రవేత్త
शारीर,శరీర నిర్మాణ శాస్త్రం
पूर्वज वंशज अनुक्रम,పూర్వీకుల వారసుడు క్రమం
पूर्वज वंशक्रम,పూర్వీకుల వంశం
पूर्वज अनुक्रम,పూర్వీకుల క్రమం
ऐंकिलोस्टोमा,అన్సైలోస్టోమా
पुमंग,ఆండ్రోసియం
"ऐंड्रोजेन, पुंजन",ఆండ్రోజెన్
अरक्तता,రక్తహీనత
अनेमनी,ఎనిమోన్
असुगुणित,అనూప్లోయిడ్
असुगुणिता,అనూప్లోయిడి
ऐंजाइना,ఆంజినా
वाहिकाचित्र,యాంజియోగ్రామ్
ऐंजिओग्राफ,యాంజియోగ్రాఫ్
"वाहिकाचित्रण, ऐंजिओग्राफी",యాంజియోగ్రఫీ
"वाहिका-संधान, ऐंजिओप्लास्टी",యాంజియోప్లాస్టీ
आवृतबीजी,యాంజియోస్పెర్మ్
ऐंजिओटेन्सिन,యాంజియోటెన్సిన్
ऐंजिओटेन्सिनोजन,యాంజియోటెన్సినోజెన్
वडिश मीन,జాలరి చేప
ऐंग्विना,అంగునా
ऐन्गुइस,అంగుయిస్
प्राणी,జంతువు
पशु,జంతువు
पशु शमल,జంతువుల పేడ
पशुपालन,పశుసంరక్షణ
प्राणी गुणसूत्रप्ररूपण,జంతువుల కార్యోటైపింగ్
प्राणिजगत्,జంతు సామ్రాజ్యం
प्राणि-ऊतक,జంతువుల కణజాలం
ऐनिमेलिया,యానిమాలియా
ऋणायन,అయాన్
विषमदैशिक पट्ट,అనిసోట్రోపిక్ బ్యాండ్
अनीलन,ఎనియలింగ్
ऐनेलिड (प्राणी),అన్నెలిడ్
ऐनेलिडा,అన్నెలిడా
वार्षिक वलय,వార్షిక రింగ్
वलयाकार,యాన్యులేటెడ్
"वलयांश, ऐन्यूल",యాన్యుల్
असंगत प्ररूप,క్రమరహిత రకం
ऐनोफेलीज,అనోఫిల్స్
चींटीखोर,చీమ తినేవాడు
विरोधी,విరోధి
दक्षिण ध्रुवीय,అంటార్కిటిక్
शृंगिका,యాంటెన్నా
ऐन्टेना संकुल,యాంటెన్నా కాంప్లెక్స్
शृंगिका ग्रंथि,యాంటెనల్ గ్రంథి
अग्र (अधर) घूसर शृंग,ముందరి (వెంట్రల్) బూడిద కొమ్ము
अग्र पीयूषिका,పూర్వ హైపోఫిసిస్
अग्र अंतरानिलयी परिखा,పూర్వ జోక్య సల్కస్
परागकोश,Anther
पराग संवर्धन,పూర్వ సంస్కృతి
पुंधानी,ఆంథెరిడియం
पुमणु,అంటెరోజాయిడ్
ऐन्थोसिरोस,ఆంథోసెరోస్
ऐन्थोसिरोटॉप्सिडा,ఆంథోసెరోటోప్సిడా
ऐन्थ्रैक्स,ఆంత్రాక్స్
मानवजनित विलोपन,మానవ అంతరించిపోవడం
मानवविज्ञान,మానవ శాస్త్రం
प्रतिजीवाणुक,యాంటీ బాక్టీరియల్
प्रतिजैविक पेनिसिलिन,యాంటీబయాటిక్ పెన్సిలిన్
प्रतिजैविक प्रतिरोधी,యాంటీబయాటిక్ రెసిస్టెంట్
प्रतिजैविक,యాంటీబయాటిక్ (లు)
"प्रतिरक्षी, प्रतिपिंड",యాంటీబాడీ
"प्रतिरक्षी युग्म, प्रतिपिंड युग्म",యాంటీబాడీ జంట
प्रतिरक्षी माध्यित प्रतिरक्षा,యాంటీబాడీ మధ్యవర్తిత్వ రోగనిరోధక శక్తి
प्रतिस्कंदक,ప్రతిస్కందకం
प्रतिप्रकूट पाश (प्रतिकोडॉन पाश),యాంటికోడాన్ లూప్
प्रति-अवसादक,యాంటిడిప్రెసెంట్
प्रतिमूत्रल हॉर्मोन,అశ్లీల ముందు భాగము
प्रतिजन जीन,యాంటిజెన్ జన్యువు
प्रतिजन-प्रतिरक्षी सम्मिश्र,యాంటిజెన్-యాంటీబాడీ కాంప్లెక్స్
प्रतिजनी निर्धारक,యాంటిజెనిక్ డిటర్మినెంట్
प्रतिपोषक कारक,యాంటిన్యూట్రిషనల్ కారకం
प्रतिऑक्सीकारक,యాంటీఆక్సిడెంట్
प्रतिव्यासांत केंद्रक,యాంటీపోడల్ న్యూక్లియస్
प्रति-अर्थक आर.एन.ए.,యాంటీ సెన్స్ RNA
प्रतिविषाणुक प्रोटीन,యాంటీవైరల్ ప్రోటీన్
गह्वर,Antrum
अकेंद्रकी,అనుక్లీట్
गुदा,పాయువు
दुश्चिंता विकार,ఆందోళన రుగ్మత
महाधमनी चाप,బృహద్ధమని వంపు
कर्ण गुच्छिका,బృహద్ధమని గ్యాంగ్లియన్
महाधमनी अर्धचंद्र कपाट,బృహద్ధమని సెమిలునార్ వాల్వ్
महाधमनी कपाट,బృహద్ధమని కవాటం
पश्चावस्था वर्धक संमिश्र,APC (అనాఫేస్ ప్రమోటింగ్ కాంప్లెక్స్)
कपि-सम पूर्वज,అపెలైక్ పూర్వీకుడు
ऐफिड,అఫిడ్
ऐफ्रोडाइट,ఆఫ్రొడైట్
शीर्ष प्रभाविता,ఎపికల్ ఆధిపత్యం
शीर्ष तल्प,ఎపికల్ ప్యాడ్
मधुमक्खीपालन,ఎపికల్చర్
ऐपिस इंडिका,APIS ఇండికా
अचलबीजाणु,అప్లానోస్పోర్
ऐप्लीसिया,అప్లిసియా
ऐपोकार्पी,అపోకార్పే
वियुक्तांडपी,అపోకార్పస్
वियुक्तांडपी अंडाशय,అపోకార్పస్ అండాశయం
अपस्रावी ग्रंथि,అపోక్రిన్ గ్రంథి
एपोएंजाइम,అపోఎంజైమ్
असंगजनिक,అపోమిక్
असंगजनन,అపోమిక్సిస్
ऐपोप्लाज्म,అపోప్లాజమ్
सुप्रवाही पथक्रम,అపోప్లాస్టిక్ మార్గం
एपोप्टोसिस,అపోప్టోసిస్
उपकरण,ఉపకరణం
उपांगी कंकाल,అనుబంధ అస్థిపంజరం
अंधनाल की परिशेषिका,కర్ణభేరి యొక్క అనుబంధం
ऐपल घोंघा,ఆపిల్ నత్త
जलकृषि,ఆక్వాకల్చర్
ऐक्वापॉरिन,ఆక్వాపోరిన్
जलीय ऐम्फिबियन,జల ఉభయచర
जलीय रूप,జల రూపం
जलीय पर्यावास,జల ఆవాసాలు
जलीय जीव,జల జీవి
जलीय पादप,జల మొక్క
जलीय श्वसन,జల శ్వాసక్రియ
जलीय तरल,సజల ద్రవం
"नेत्रोद, ऐक्विअस ह्यूमर",సజల హ్యూమర్
जलीय अंतःकोशिका तरल,సజల ఇంట్రా-సెల్యులార్ ద్రవం
जलीय नमूना,సజల నమూనా
जलीय विलयन,సజల ద్రావణంలో
एक्विला,అక్విలా
ऐरेबिडॉप्सिस,అరబిడోప్సిస్
एरेक्निडा,అరాచ్నిడా
एरेक्नॉइड (लूताजालाभ),అరాక్నోయిడ్
अरेनियस,అరేనియస్
वृक्षवत्,అర్బోర్సెంట్
वृक्षवत् लाइकोपॉड,అర్బోర్సెంట్ లైకోపాడ్
आद्य जीवाणु,ఆర్కిబాక్టీరియా
स्त्रीधानी,ఆర్కిగోనియం
द्वीपसमूह,ద్వీపసమూహం
"उत्तरध्रुवीय, आर्कटिक",ఆర్కిటిక్
आर्कटिक टर्न,ఆర్కిటిక్ టెర్న్
"उत्तरध्रुवीय टुंड्रा, आर्कटिक टुंड्रा",ఆర్కిటిక్ టండ్రా
आर्डिया,ఆర్డియా
एरियोली ऊतक,ఐసోలార్ కణజాలం
"आर्जिमनी, पीली कंटीली",రుజువు
आर्जिमनी मेक्सिकाना,ఆర్గెమోన్ మెక్సికానా
आर्जिनीन,అర్జినిన్
शुष्क प्रक्षेत्र,శుష్క ప్రాంతం
ऐरिस्टोलोकिएसी,అరిస్టోలోచియాసియా
भुजाकृत अशन,చేయి దాణా
सैनिक शलभ (चने की सूंडी),ఆర్మీవార్మ్
ऐरॉयड,Aroid
ऐरोमा,వాసన
प्रग्राही,అరేస్టర్
आर्टिमिजिया,ఆర్టెమిసియా
धमनी प्रकुंचनी,ధమనుల సిస్టోలిక్
धमनीकाठिन्यकारी,ఆర్టిరియోస్క్లెరోటిక్
संधिपाद,ఆర్థ్రోపోడ్
संधिशोथ,ఆర్థరైటిస్
"संधिपाद संघ, आथ्रोपोडा",ఆర్థ్రోపోడా
संधायक उपास्थि,కీలు మృదులాస్థి
संधिल,ఉచ్చారణ
संधित,ఉచ్చరించబడింది
कृत्रिम गतिचालक,కృత్రిమ పేస్‌మేకర్
कृत्रिम वरण,కృత్రిమ ఎంపిక
आर्टोकार्पस हेटेरोफिलस (कटहल),ఆర్టోకార్పస్ హెటెరోఫిల్లస్
ऐस्बेस्टॉस रेशा,ఆస్బెస్టాస్ ఫైబర్
"ऐस्बेस्टॉसिता, ऐस्बेस्टॉस-आर्ति",ఆస్బెస్టాసిస్
ऐस्केरिस,అస్కారిస్
आरोही वर्णलेखन,ఆరోహణ క్రోమాటోగ్రఫీ
ऐसिडिआ,అస్సిడియా
ऐसिडियन,అస్సిడియన్
ऐस्कोकार्प,అస్కోకార్ప్
ऐस्कोमाइसिटीज,అస్కోమైసెట్స్
ऐस्कॉर्बिक अम्ल,ఆస్కార్బిక్ ఆమ్లం
"ऐस्कस बीजाणु, ऐस्कोस्पोर",అస్కోస్పోర్
ऐस्कस,అస్కస్
पटहीन,Aseptate
अलैंगिक जनन,అలైంగిక పునరుత్పత్తి
अलैंगिक बीजाणु,అలైంగిక బీజాంశం
ऐस्पेराजीन सिन्थेटेस,ఆస్పరాజిన్ సింథటేస్
"ऐस्पैरागस, शतावरी",ఆస్పరాగస్
ऐस्पार्टिक अम्ल,అస్పార్టిక్ ఆమ్లం
ऐस्पर्जिलस नाइजर,ఆస్పెర్‌గిల్లస్ నైగర్
ऐस्पर्जिलस,ఆస్పెర్‌గిల్లస్
ऐस्फोडेलस टेनुईफोलियस,అస్ఫోడెలస్ టెనుఫోలియస్
ऐस्पिरिन,ఆస్పిరిన్
"आमापन, ऐसे",పరీక్ష
समुच्चय,సమావేశం
स्वांगीकरण दक्षता,సమీకరణ సామర్థ్యం
स्वांगीकारी जड़,అస్సిమిలేటరీ రూట్
सहायित जननिक तकनीक,సహాయక పునరుత్పత్తి సాంకేతికత
"साहचर्य क्षेत्र, सहभागिता क्षेत्र",అసోసియేషన్ ప్రాంతం
सहचारी सहजीविता,అసోసియేటివ్ సహజీవనం
अपव्यूहन और पुनर्योजन,కలగలుపు మరియు పున omb సంయోగం
कारक का अपव्यूहन,కారకం యొక్క కలగలుపు
ऐस्टाकस,అస్టాకస్
ऐस्टेरेसी,ఆస్టెరేసి
ऐस्टरेलीज,ఆస్టారేల్స్
"क्षुद्र ग्रह, ग्रहिका",గ్రహశకలం
दमा,ఉబ్బసం
ऐस्ट्रागेलस गुमीफर,ఆస్ట్రగలస్ గుమ్మర్
तारक तर्कु ध्रुव,జ్యోతిష్య కుదురు పోల్
खगोलज्ञ,ఖగోళ శాస్త్రవేత్త
असममित गुणसूत्रप्ररूप,అసమాన కార్యోటైప్
असममित,అసమాన
धमनीवसाकठिन्यमय,అథెరోమాటస్
"धमनीवसाकाठिन्य, ऐथिरोस्कलेरोसिस",అథెరోస్క్లెరోసిస్
धमनीवसाकठिन्यकारी लवांक,అథెరోస్క్లెరోటిక్ ఫలకం
"शीर्षधर, ऐटलस",భౌగోళిక పటం
"शीर्षधर कशेरुक, ऐटलस कशेरुक",అట్లాస్ వెన్నుపూస
वायुमंडल,వాతావరణం
वायुमंडलीय,వాతావరణం
वायुमंडलीय निवेश,వాతావరణ ఇన్పుట్లు
