Bengali,Gujarati
সংক্ষিপ্ত রূপ,ટૂંકાક્ષર
কর্ম বার্তা,ક્રિયા સંદેશ
সক্রিয়করণ,સક્રિયકરણ
সক্রিয় সার্ভার পৃষ্ঠা (এএসপি),સક્રિય સર્વર પૃષ્ઠ (ASP)
সক্রিয় সংস্করণ,સક્રિય સંસ્કરણ
অ্যাসাইক্লিক,એસાયક્લિક
অ্যাসাইক্লিক গ্রাফ,એસાયક્લિક ગ્રાફ
অ্যাডা ভাষা,અદા ભાષા
অ্যাডাপ্টার,એડેપ્ટર
যোগ করুন,ઉમેરો
ফাইল যুক্ত কর,ફાઇલ ઉમેરો
অপারেশন যোগ করুন,કામગીરી ઉમેરો
যোগকারী,ઉમેરનાર
ঠিকানা,સરનામું
ঠিকানা বাস,સરનામું બસ
ঠিকানা ফাইল,સરનામું ફાઇલ
ঠিকানা বিন্যাস,સરનામું ફોર્મેટ
ঠিকানা জেনারেটর,સરનામું જનરેટર
ঠিকানা লাইন,એડ્રેસ લાઇન
ঠিকানা ম্যাপিং,સરનામું મેપિંગ
ঠিকানা নির্দেশক,સરનામું નિર્દેશક
ঠিকানা রেজিস্টার,સરનામું રજીસ્ટર
ঠিকানা রেজোলিউশন,સરનામું રિઝોલ્યુશન
ঠিকানা অনুবাদ,સરનામા અનુવાદ
ঠিকানাযুক্ত স্মৃতি,સંબોધિત મેમરી
সম্বোধন,સંબોધન
পর্যাপ্ততার মানদণ্ড,પર્યાપ્તતા માપદંડ
সংলগ্ন,સંલગ્ન
প্রশাসন,વહીવટ
প্রশাসক,સંચાલક
অ্যাডোবি অ্যাক্রোব্যাট,એડોબ એક્રોબેટ
অ্যাডোবি ফটোশপ,એડોબ ફોટોશોપ
অ্যাডভান্স বিজনেস অ্যাপ্লিকেশন প্রোগ্রামিং (ABAP),એડવાન્સ બિઝનેસ એપ્લિકેશન પ્રોગ્રામિંગ (ABAP)
উন্নত তথ্য,અદ્યતન ડેટા
উন্নত তথ্য সিস্টেম,અદ્યતન માહિતી સિસ્ટમ
উন্নত প্রযুক্তি (AT),અદ્યતન ટેકનોલોજી (AT)
প্রতিনিধি,એજન્ટ
সমষ্টি,એકત્રીકરણ
বায়ুবাহিত কম্পিউটার সিস্টেম,એરબોર્ન કમ્પ્યુટર સિસ્ટમ
aldus পেজ মেকার,aldus પૃષ્ઠ નિર્માતા
সতর্কতা বাক্স,ચેતવણી બોક્સ
algol,algol
অ্যালগরিদম,અલ્ગોરિધમ
অ্যালগরিদম বিশ্লেষণ,અલ્ગોરિધમ વિશ્લેષણ
অ্যালগরিদম দক্ষতা,અલ્ગોરિધમ કાર્યક્ષમતા
উপনাম,ઉપનામ
প্রান্তিককরণ,ગોઠવણી
বরাদ্দ,ફાળવણી
বর্ণানুক্রমিক,આલ્ફાબેટીક
আলফানিউমেরিক,આલ્ફાન્યૂમેરિક
আলফানিউমেরিক কী বোর্ড,આલ્ફાન્યૂમેરિક કી બોર્ડ
আলফা-পরীক্ষা,આલ્ફા-પરીક્ષણ
আলফা-সংস্করণ,આલ્ફા-સંસ્કરણ
alt কী,alt કી
আলতাভিস্তা,અલ્ટાવિસ્ટા
অস্পষ্টতা,અસ્પષ્ટતા
অস্পষ্ট ব্যাকরণ,અસ્પષ્ટ વ્યાકરણ
আমেরিকান ন্যাশনাল স্ট্যান্ডার্ড ইনস্টিটিউট (ANSI),અમેરિકન નેશનલ સ્ટાન્ડર્ડ ઇન્સ્ટિટ્યૂટ (ANSI)
আমেরিকান স্ট্যান্ডার্ড কোড ফর ইনফরমেশন ইন্টারচেঞ্জ (ASCII),અમેરિકન સ્ટાન્ડર્ડ કોડ ફોર ઇન્ફોર્મેશન ઇન્ટરચેન્જ (ASCII)
এনালগ,એનાલોગ
এনালগ কম্পিউটার,એનાલોગ કમ્પ્યુટર
এনালগ ডিভাইস,એનાલોગ ઉપકરણ
এনালগ মডেম,એનાલોગ મોડેમ
এনালগ থেকে ডিজিটাল কনভার্টার (ADC),એનાલોગ થી ડિજિટલ કન્વર્ટર (ADC)
এবং,અને
এবং সার্কিট,અને સર્કિટ
এবং গেট,અને દરવાજો
এবং অপারেশন নয় (বর্জন),અને ઓપરેશન નહીં (બાકાત)
অ্যানিমেশন,એનિમેશન
টীকা,ટીકા
ব্যতিক্রম,વિસંગતતા
পূর্ববর্তী,પૂર્વવર્તી
প্রত্যাশিত পেজিং,આગોતરી પેજીંગ
বিরোধী প্রতিসম,વિરોધી સપ્રમાણ
অ্যান্টিভাইরাস প্রোগ্রাম,એન્ટિવાયરસ પ્રોગ્રામ
অ্যাপলেট,એપ્લેટ
অ্যাপ্লিকেশন ডেভেলপার,એપ્લિકેશન ડેવલપર
অ্যাপ্লিকেশন প্রোগ্রামিং,એપ્લિકેશન પ્રોગ્રામિંગ
অ্যাপ্লিকেশন প্রোগ্রামিং ইন্টারফেস (API),એપ્લિકેશન પ્રોગ્રામિંગ ઈન્ટરફેસ (API)
অ্যাপ্লিকেশন সফ্টওয়্যার,એપ્લિકેશન સોફ્ટવેર
প্রয়োগমূলক ভাষা,લાગુ પડતી ભાષા
আনুমানিক তত্ত্ব,અંદાજ સિદ્ધાંત
স্থাপত্য,સ્થાપત્ય
এলাকা স্থানান্তর,વિસ્તાર ટ્રાન્સફર
যুক্তি,દલીલ
গাণিতিক এবং যুক্তিবিদ্যা ইউনিট,અંકિત અને તર્ક એકમ
গাণিতিক চেক,અંકિત તપાસ
গাণিতিক ধ্রুবক,અંકિત સ્થિરાંક
গাণিতিক তথ্য,અંકિત માહિતી
গাণিতিক নির্দেশনা,અંકગણિત સૂચના
পাটিগণিত এবং যুক্তি ইউনিট (ALU),અંકગણિત અને તર્ક એકમ (ALU)
আরপানেট,અર્પાનેટ
অ্যারে,એરે
অ্যারে ক্যাশে,એરે કેશ
অ্যারে কম্পিউটার,એરે કમ્પ્યુટર
অ্যারে উপাদান,એરે તત્વ
অ্যারের নাম,એરે નામ
অ্যারে প্রসেসর,એરે પ્રોસેસર
তীর চিহ্ন,તીર કીઓ
উচ্চারণ,ઉચ્ચારણ
উচ্চারণ বিন্দু,ઉચ્ચારણ બિંદુ
কৃত্রিম কম্প্যাকশন,કૃત્રિમ કોમ્પેક્શન
কৃত্রিম নিয়ন্ত্রণ,કૃત્રિમ નિયંત્રણ
কৃত্রিম বুদ্ধিমত্তা,કૃત્રિમ બુદ્ધિ
আরোহী,ચડતા
আরোহী সাজানোর,ચડતા સૉર્ટ
ASCII বেটিকাল অর্ডার,ASCII બેટીકલ ઓર્ડર
ASCII নিয়ন্ত্রণ চরিত্র,ASCII નિયંત્રણ પાત્ર
ASCII ফাইল,ASCII ફાઇલ
ASCII ফন্ট,ASCII ફોન્ટ
ASCII স্থানান্তর,ASCII ટ્રાન્સફર
আনুমানিক অনুপাত,પાસા ગુણોત્તર
এএসপিআই,ASPI
ASR টাইমার,ASR ટાઈમર
একত্রিত করা,ભેગા
সংযোজনকারী,એસેમ્બલર
সমাবেশ,એસેમ્બલી
এসেম্বলি,એસેમ્બલી ભાષા
দাবী,નિવેદન
নিয়োগ,સોંપણી
সংঘ,સંગઠન
সহযোগী ঠিকানা,સહયોગી સરનામું
সহযোগী স্মৃতি,સહયોગી મેમરી
asteric,એસ્ટરીક
অপ্রতিসম,અસમપ્રમાણ
অ্যাসিঙ্ক্রোনাস,અસુમેળ
অ্যাসিঙ্ক্রোনাস ডিজিটাল সাবস্ক্রাইবার লাইন (ADSL),અસુમેળ ડિજિટલ સબસ્ક્રાઇબર લાઇન (ADSL)
অ্যাসিঙ্ক্রোনাস টাইম ডিভিশন মাল্টিপ্লেক্সিং (ATDM),અસુમેળ સમય વિભાગ મલ્ટિપ્લેક્સીંગ (ATDM)
অ্যাসিঙ্ক্রোনাস স্থানান্তর,અસુમેળ ટ્રાન્સફર
অ্যাসিঙ্ক্রোনাস ট্রান্সফার মোড (এটিএম),અસુમેળ ટ્રાન્સફર મોડ (ATM)
পরমাণু,અણુ
সংযুক্ত নথি,જોડાયેલ દસ્તાવેજ
সংযুক্ত ফাইল,જોડેલી ફાઈલ
সংযুক্তি,જોડાણ
বৈশিষ্ট্য,લક્ષણ
শ্রুতি,ઓડિયો
অডিট প্রোগ্রামিং,ઓડિટ પ્રોગ્રામિંગ
নিরীক্ষা পথ,વિષ્લેષણ
বৃদ্ধি,વૃદ્ધિ
প্রমাণীকরণ প্রোটোকল,પ્રમાણીકરણ પ્રોટોકોલ
অথরিং সিস্টেম,ઓથરિંગ સિસ્ટમ
অনুমোদন,અધિકૃતતા
স্বয়ংক্রিয় বিমূর্ত,સ્વતઃ અમૂર્ત
অটোবুটিং,ઓટોબૂટિંગ
অটোক্যাড,ઓટોકેડ
অটোলগ চালু,ઓટોલોગ ચાલુ
স্বয়ংক্রিয়,ઓટોમેટા
স্বয়ংক্রিয় তত্ত্ব,ઓટોમેટા સિદ્ધાંત
স্বয়ংক্রিয় কম্পিউটিং,આપોઆપ કમ્પ્યુટિંગ
স্বয়ংক্রিয় তথ্য প্রক্রিয়াকরণ,સ્વચાલિત ડેટા પ્રોસેસિંગ
স্বয়ংক্রিয় ত্রুটি সংশোধন,આપોઆપ ભૂલ સુધારણા
স্বয়ংক্রিয় ফাংশন,સ્વચાલિત કાર્ય
স্বয়ংক্রিয় সূচীকরণ,આપોઆપ અનુક્રમણિકા
স্বয়ংক্রিয় লাইব্রেরি কল,સ્વચાલિત પુસ્તકાલય કૉલ
স্বয়ংক্রিয় প্রোগ্রামিং,આપોઆપ પ્રોગ્રામિંગ
স্বয়ংক্রিয় পুনরুদ্ধার প্রোগ্রাম,સ્વચાલિત પુનઃપ્રાપ્તિ કાર્યક્રમ
স্বয়ংক্রিয় রুটিন,આપોઆપ નિયમિત
স্বয়ংক্রিয় সিস্টেম পুনরুদ্ধার,આપોઆપ સિસ્ટમ પુનઃપ્રાપ્તિ
স্বয়ংক্রিয় টেলার মেশিন (এটিএম),ઓટોમેટિક ટેલર મશીન (ATM)
অটোমেশন,ઓટોમેશન
স্বয়ংক্রিয় চালু,ઑટોપ્લે
অটোসেভ,સ્વતઃ સાચવો
সহায়ক,સહાયક
অক্জিলিয়ারী মেমরি,સહાયક મેમરી
অক্জিলিয়ারী স্টোরেজ,સહાયક સંગ્રહ
প্রাপ্তিসাধ্য তালিকা,ઉપલબ્ધ યાદી
উপলব্ধ সময়,ઉપલબ્ધ સમય
গড়,સરેરાશ
awk (ভাষা),awk (ભાષા)
ব্যাকএন্ড,બેકએન્ડ
ব্যাকএন্ড প্রসেসর,બેકએન્ડ પ્રોસેસર
ব্যাকফেস অপসারণ,બેકફેસ દૂર કરવું
পটভূমি প্রক্রিয়াকরণ,પૃષ્ઠભૂમિ પ્રક્રિયા
ব্যাকিং স্টোর,બેકિંગ સ્ટોર
ব্যাকপ্যাচিং,બેકપેચિંગ
ব্যাকস্পেস,બેકસ્પેસ
ব্যাকট্র্যাকিং,બેકટ્રેકિંગ
ব্যাক আপ,બેકઅપ
ব্যাক আপ মেমরি,બેકઅપ મેમરી
পিছনের ত্রুটি পুনরুদ্ধার,પછાત ભૂલ પુનઃપ્રાપ્તિ
ব্যালেন্স শীট,સરવૈયા
ব্যান্ড,બેન્ડ
ব্যান্ড প্রস্থ,બેન્ડ પહોળાઈ
ব্যাংকারের অ্যালগরিদম,બેંકરનું અલ્ગોરિધમ
বার কোড,બાર કોડ
বারকোড স্ক্যানার,બાર કોડ સ્કેનર
বার গ্রাফ,બાર ગ્રાફ
ভিত্তি ঠিকানা,આધાર સરનામું
বেস ব্যান্ড,આધાર બેન્ડ
ভিত্তি নম্বর,આધાર નંબર
ভিত্তি টেবিল,આધાર ટેબલ
বেসিক,પાયાની
মৌলিক নিয়ন্ত্রণ,મૂળભૂત નિયંત્રણ
মৌলিক ইনপুট,મૂળભૂત ઇનપુટ
মৌলিক নির্দেশ,મૂળભૂત સૂચના
মৌলিক আউটপুট,મૂળભૂત આઉટપુટ
মৌলিক পদক্ষেপ,મૂળભૂત પગલું
ব্যাচ,બેચ
ব্যাচ ফাইল,બેચ ફાઇલ
ব্যাচ অবস্থান,બેચ સ્થિતિ
ধির গতির কাজ,બેચ પ્રક્રિયા
ব্যাচ সিস্টেম,બેચ સિસ્ટમ
বউড,બાઉડ
বড হার,બાઉડ દર
মরীচি,બીમ
মাপকাঠি,બેન્ચમાર્ક
দ্বিমুখী যোগাযোগ,દ્વિદિશ સંચાર
দ্বিমুখী লিঙ্ক,દ્વિદિશ લિંક
বাইনারি কোড,દ્વિસંગી કોડ
বাইনারি সংখ্যা,દ્વિસંગી અંક
বাইনারি ইনপুট আউটপুট সিস্টেম (BIOS),બાઈનરી ઇનપુટ આઉટપુટ સિસ્ટમ (BIOS)
বাইনারি সংখ্যা,દ્વિસંગી સંખ્યા
বাইনারি অপারেটর,બાઈનરી ઓપરેટર
বাইনারি সম্পর্ক,દ્વિસંગી સંબંધ
বাইনারি অনুসন্ধান,દ્વિસંગી શોધ
বাইনারি সার্চ ট্রি (BST),દ્વિસંગી શોધ વૃક્ષ (BST)
বাইনারি স্থানান্তর,બાઈનરી ટ્રાન્સફર
বাইনারি গাছ,દ્વિસંગી વૃક્ષ
বাইপোলার মেমরি,બાયપોલર મેમરી
জন্ম মৃত্যু মডেল,જન્મ મૃત્યુ મોડેલ
জন্ম মৃত্যু প্রক্রিয়া,જન્મ મૃત્યુ પ્રક્રિયા
বিট,બીટ
বিট দোষ,થોડી ખામી
বিট মানচিত্র,બીટ નકશો
বিট ম্যাপ পিক্সেল (BMP),બીટ મેપ પિક્સેલ (BMP)
বিট ম্যাট্রিক্স,બીટ મેટ્રિક્સ
বিট প্যাটার্ন,બીટ પેટર્ન
বিট অবস্থান,બીટ સ્થિતિ
বিট হার,બીટ દર
কালো বক্স পরীক্ষা,બ્લેક બોક્સ પરીક્ષણ
মিটমিট করে,ઝબકવું
ব্লক,બ્લોક
ব্লক ক্যাশে,બ્લોક કેશ
ব্লক চেক,બ્લોક ચેક
ব্লক কপি,બ્લોક નકલ
ব্লক ডায়াগ্রাম,રેખાક્રુતિ
ব্লকিং নেটওয়ার্ক,બ્લોકીંગ નેટવર્ક
বোর্ড,પાટીયું
বই চিহ্ন,પુસ્તક ચિહ્ન
বুলিয়ান বীজগণিত,બુલિયન બીજગણિત
বুলিয়ান সম্পর্ক,બુલિયન સંબંધ
বুট পার্টিশন,બુટ પાર્ટીશન
বুট strapping,બુટ strapping
বুট-স্ট্র্যাপ লোডার,બુટ-સ્ટ્રેપ લોડર
সেতু,પુલ
ব্রডব্যান্ড নেটওয়ার্কিং,બ્રોડબેન્ડ નેટવર્કિંગ
সম্প্রচার,પ્રસારણ
রেডিও সম্প্রচার,પ્રસારણ રેડિયો
ব্রাউজ,બ્રાઉઝ કરો
ব্রাউজার,બ્રાઉઝર
বি-বৃক্ষ,બી-ટ્રી
বুদ্বুদ মেমরি,બબલ મેમરી
বুদ্বুদ সাজানোর,બબલ સૉર્ટ
বালতি,ડોલ
বন্ধু সিস্টেম,મિત્ર સિસ્ટમ
বাজেট কার্যকর নিয়ন্ত্রণ,બજેટ અસરકારક નિયંત્રણ
বাফার,બફર
বাগ,ભૂલ
বাস,બસ
বাইট,બાઈટ
বাইট কোড,બાઈટ કોડ
গ,c
সি++,C++
ক্যাশে,કેશ
ক্যাশে বাফার,કેશ બફર
ক্যাশ মেমরি,કેશ મેમરી
গণনা,ગણતરી
ক্যালকুলেটর,કેલ્ક્યુલેટર
ক্যালকুলেটর চিপ,કેલ્ક્યુલેટર ચિપ
কল,કૉલ
নামে ডাক,નામથી બોલાવો
রেফারেন্স দ্বারা কল করুন,સંદર્ભ દ્વારા કૉલ કરો
মূল্য দ্বারা কল,મૂલ્ય દ્વારા કૉલ કરો
ভেরিয়েবল দ্বারা কল,ચલ દ્વારા કૉલ કરો
কল গেট,કૉલ ગેટ
বাতিল,રદ કરો
বাতিল বোতাম,રદ કરો બટન
ক্যানোনিকাল,પ્રમાણભૂત
ক্যানোনিকাল ফর্ম,પ્રમાણભૂત સ્વરૂપ
ক্ষমতা,ક્ષમતા
ক্ষমতা তালিকা,ક્ષમતા યાદી
ক্ষমতা,ક્ષમતા
ক্যাপ লক কী,કેપ્સ લોક કી
কার্ড,કાર્ડ
কার্ড পাঠক,કાર્ડ રીડર
কার্ডিনালিটি,મુખ્યત્વ
বাহক,વાહક
ক্যারিয়ার ব্যান্ড,વાહક બેન્ડ
ক্যারিয়ার লোড,વાહક લોડ
ক্যারিয়ার সংকেত,વાહક સંકેત
ক্যারিয়ার তরঙ্গ,વાહક તરંગ
বহন,વહન
অঙ্ক বহন,વહન અંક
পতাকা বহন,ધ્વજ વહન કરો
কার্তুজ ডিস্ক,કારતૂસ ડિસ્ક
ক্যাসকেড,કાસ્કેડ
মামলা,કેસ
ক্যাথড রে টিউব (সিআরটি),કેથોડ રે ટ્યુબ (CRT)
ক্যাথোড রে টিউব (CRT),કેથોડ રે ટ્યુબ (CRT)
সিডি রম ডিস্ক ড্রাইভ,CD ROM ડિસ્ક ડ્રાઇવ
কোষ,કોષ
সেল অ্যানিমেশন,સેલ એનિમેશન
মোবাইল ফোন,સેલ્યુલર ફોન
কেন্দ্রীয় স্মৃতি,કેન્દ્રીય મેમરી
কেন্দ্রীয় প্রক্রিয়াকরণ ইউনিট (CPU),સેન્ટ્રલ પ્રોસેસિંગ યુનિટ (CPU)
কেন্দ্রীভূত ব্যবস্থা,કેન્દ્રિય સિસ્ટમ
প্রত্যয়িত টেপ,પ્રમાણિત ટેપ
চেইন,સાંકળ
চেইন ডেটা,સાંકળ ડેટા
চেইন লিঙ্ক,સાંકળ કડી
চেইনিং,સાંકળ
চ্যানেল,ચેનલ
চ্যানেল ব্যস্ত টোন,ચેનલ વ્યસ્ત સ્વર
চ্যানেল ক্ষমতা,ચેનલ ક્ષમતા
চ্যানেল কন্ট্রোলার,ચેનલ નિયંત્રક
চ্যানেল ত্রুটি,ચેનલ ભૂલ
চ্যানেল প্রোগ্রাম,ચેનલ કાર્યક્રમ
চ্যানেল নির্ভরযোগ্যতা,ચેનલ વિશ્વસનીયતા
চ্যানেল সেট,ચેનલ સેટ
চরিত্র,પાત્ર
অক্ষর কোড,અક્ષર કોડ
অক্ষর কী,અક્ષર કી
চরিত্র পাঠক,પાત્ર વાચક
অক্ষরের আকার,અક્ષરનું કદ
চার্ট,ચાર્ટ
চ্যাসিস,ચેસિસ
চেক বিট,બીટ તપાસો
অংকের চেক,અંક તપાસો
চেক যোগফল,રકમ તપાસો
চেক শব্দ,શબ્દ તપાસો
চিপ,ચિપ
চিপ সেট,ચિપ સેટ
পছন্দ করা,પસંદ કરો
বর্ণগতভাবে,રંગીન રીતે
গোপনীয় কোড,સાઇફર
সার্কিট,સર્કિટ
বৃত্তাকার তালিকা,પરિપત્ર યાદી
সাইরাস,સિરસ
উদ্ধৃতি,અવતરણ
ক্লাস,વર્ગ
ক্লাস পরিবর্তনশীল,વર્ગ ચલ
শ্রেণীবিভাগ,વર્ગીકરણ
স্পষ্ট,ચોખ્ખુ
পরিষ্কার এলাকা,સ્પષ્ટ વિસ્તાર
পরিষ্কার চ্যানেল,સ્પષ્ટ ચેનલ
ক্লিক,ક્લિક કરો
ক্লায়েন্ট,ગ્રાહક
ক্লায়েন্ট সার্ভার,ક્લાયંટ સર્વર
ক্লায়েন্ট স্টাব,ક્લાઈન્ટ સ્ટબ
ক্লিপ আর্ট,ક્લિપ આર્ટ
ক্লিপ আর্ট লাইব্রেরি,ક્લિપ આર્ટ લાઇબ્રેરી
ক্লিপ বোর্ড,ક્લિપ બોર્ડ
ক্লিপার,ક્લિપર
ক্লিপার চিপ,ક્લિપર ચિપ
চক্র,સમૂહ
ঘড়ি,ઘડિયાળ
ঘড়ি চক্র,ઘડિયાળ ચક્ર
ঘড়ি ফ্রিকোয়েন্সি,ઘડિયાળની આવર્તન
ঘড়ির হার্ডওয়্যার,ઘડિયાળ હાર્ડવેર
ঘড়ির নাড়ি,ઘડિયાળની પલ્સ
ঘরির গতি,ઘડિયાળની ઝડપ
ঘড়ি সিঙ্ক্রোনাইজেশন,ઘડિયાળ સુમેળ
ঘড়ির টিক টিক,ઘડિયાળની ટીક
ক্লোন,ક્લોન
বন্ধ,બંધ
ক্লোজ সার্কিট টিভি (সিসিটিভি),ક્લોઝ સર્કિટ ટીવી (CCTV)
বন্ধ,બંધ
ক্লাউড কম্পিউটিং,ક્લાઉડ કમ્પ્યુટિંગ
ক্লাস্টার,ક્લસ્ટર
প্রলিপ্ত কার্ড,કોટેડ કાર્ડ
লেপা কাগজ,કોટેડ કાગળ
সমাক্ষীয়,કોક્સિયલ
সমাক্ষ তারের,કો - એક્ષેલ કેબલ
কোডাসাইল,કોડાસિલ
কোড,કોડ
উৎপাদকের কোড,કોડ જનરેટર
কোড পৃষ্ঠা,કોડ પેજ
কোড শব্দ,કોડ શબ્દ
কোডার,કોડર
কোডিং চেক,કોડિંગ તપાસ
কোডিং ফর্ম,કોડિંગ ફોર્મ
কোডিং শীট,કોડિંગ શીટ
গুণাঙ্ক,ગુણાંક
সমন্বয়,સુસંગતતા
শীতল বুটজুতা,ઠંડા બૂટ
ঠান্ডা শুরু,ઠંડી શરૂઆત
সহযোগিতা,સહયોગ
পতন,પતન
জমাট বাঁধা,કોલેટ
কোলেট টেপ,કોલેટ ટેપ
সংঘর্ষ,અથડામણ
কোলন,કોલોન
রঙ রঙ),રંગ (રંગ)
রঙ স্যাচুরেশন,રંગ સંતૃપ્તિ
রঙের টেবিল,રંગ ટેબલ
কলাম,કૉલમ
সংমিশ্রণ,સંયોજન
কম্বো বাক্স,કૉમ્બો બૉક્સ
আদেশ,આદેશ
আদেশ বোতাম,આદેશ બટન
কমান্ড তালিকা,આદેશ યાદી
মন্তব্য,ટિપ્પણી
অঙ্গীকার,પ્રતિબદ્ધતા
পণ্য,કોમોડિટી
কমন বিজনেস ওরিয়েন্টেড ল্যাঙ্গুয়েজ (কোবোল),કોમન બિઝનેસ ઓરિએન્ટેડ લેંગ્વેજ (કોબોલ)
সাধারণ ত্রুটি,સામાન્ય ભૂલ
সাধারণ ভাষা,સામાન્ય ભાષા
সাধারণ রুটিন,સામાન્ય દિનચર્યા
যোগাযোগ,સંચાર
যোগাযোগ লাইন,સંચાર લાઇન
যোগাযোগ মোড,સંચાર મોડ
যোগাযোগ নেটওয়ার্ক,સંચાર નેટવર્ક
যোগাযোগ পরামিতি,સંચાર પરિમાણ
যোগাযোগ ব্যবস্থা,સંચાર વ્યવસ્થા
কম্প্যাকশন,કોમ્પેક્શન
সঙ্গী,કમ્પેન્ડર
companding,સંયોજન
কোম্পানি নেটওয়ার্ক,કંપની નેટવર્ક
তুলনা পরীক্ষা,સરખામણી કસોટી
সামঞ্জস্য,સુસંગતતા
উপযুক্ত,સુસંગત
সংকলন,સંકલન
কম্পাইল এবং যান,કમ્પાઇલ કરો અને જાઓ
কম্পাইলার,કમ્પાઇલર
কম্পাইলার ভাষা,કમ્પાઇલર ભાષા
পরিপূরক,પૂરક
পরিপূরক-অন-দশ,દસ પર પૂરક
পরিপূরক,પૂરક
সম্পূর্ণ বহন,સંપૂર્ણ વહન
জটিল,જટિલ
জটিল সংখ্যা,જટિલ સંખ્યા
উপাদান,ઘટક
কম্পোনেন্ট অবজেক্ট মডেল (COM),કમ્પોનન્ટ ઑબ્જેક્ટ મોડલ (COM)
যৌগিক,સંયુક્ત
গঠন,રચના
গণনামূলক,કોમ્પ્યુટેશનલ
কম্পিউটার,કમ્પ્યુટર
কম্পিউটার কেন্দ্র,કમ્પ્યુટર કેન્દ્ર
কম্পিউটার বিশেষজ্ঞ,કમ્પ્યુટર નિષ્ણાત
কম্পিউটার গ্রাফিক্স,કમ્પ્યુટર ગ્રાફિક્સ
কম্পিউটার নির্দেশনা,કમ્પ્યુટર સૂચના
কম্পিউটার ভাষা,કમ્પ્યુટર ભાષા
কম্পিউটার নেটওয়ার্ক,કમ્પ્યુટર નેટવર્ક
কম্পিউটার বিজ্ঞান,કમ્પ્યુટર વિજ્ઞાન
কম্পিউটার নিরাপত্তা,કમ્પ્યુટર સુરક્ષા
কম্পিউটার সিমুলেটন,કમ્પ્યુટર સિમ્યુલેટન
কম্পিউটার বিশেষজ্ঞ,કમ્પ્યુટર નિષ્ણાત
কম্পিউটারাইজেশন,કોમ્પ્યુટરાઇઝેશન
কম্পিউটারবিদ,કમ્પ્યુટરિસ્ટ
কম্পিউটারাইজ করা,કમ્પ્યુટરાઇઝેશન
কম্পিউটিং,કમ્પ્યુટિંગ
ধারণা,ખ્યાલ
সঙ্গতি,સંમતિ
সমবর্তী,સમવર્તી
শর্ত পরিবর্তনশীল,સ્થિતિ ચલ
শর্তসাপেক্ষ অপারেটর,શરતી ઓપરેટર
শর্তসাপেক্ষ বিবৃতি,શરતી નિવેદન
কন্ডাক্টর,વાહક
কনফারেন্সিং,કોન્ફરન્સિંગ
গোপনীয়তা,ગોપનીયતા
কনফিগারেশন,રૂપરેખાંકન
যানজট,ભીડ
সংযোগ,જોડાણમાં
সংযোগ গতি,કનેક્ટ ગતિ
সংযোগ,જોડાણ
সংযোগ কম যোগাযোগ,કનેક્શન ઓછું સંચાર
সংযোগ মুক্তি,જોડાણ પ્રકાશન
সংযোগ,કનેક્ટિવિટી
সংযোগকারী,કનેક્ટર
