Odiya,Kannada
ଆଫାଇନ୍ ମ୍ୟାପିଙ୍ଗ୍ |,ಅಫೈನ್ ಮ್ಯಾಪಿಂಗ್
ଆଫାଇନ୍ ଟ୍ରାନ୍ସଫର୍ମେସନ୍ |,ಅಫೈನ್ ರೂಪಾಂತರ
ଏଗ୍ରିଗେଟ୍ ଭେରିଏବଲ୍ |,ಒಟ್ಟುಗೂಡಿಸುವ ಅಸ್ಥಿರ
ବୀଜ ବିବେଚନା,ಬೀಜಗಣಿತ
ବୀଜ ବର୍ଣ୍ଣିତ ଭାବରେ ବନ୍ଦ |,ಬೀಜಗಣಿತವಾಗಿ ಮುಚ್ಚಲಾಗಿದೆ
ବୀଜ ବର୍ଣ୍ଣିତ ସମୀକରଣ |,ಬೀಜಗಣಿತದ ಸಮೀಕರಣ
ବୀଜ ବର୍ଣ୍ଣନା,ಬೀಜಗಣಿತದ ಅಭಿವ್ಯಕ್ತಿ
ବୀଜ ବର୍ଣ୍ଣିତ ଫର୍ମ |,ಬೀಜಗಣಿತ ರೂಪ
ବୀଜ ବର୍ଣ୍ଣିତ କାର୍ଯ୍ୟ,ಬೀಜಗಣಿತದ ಕಾರ್ಯ
ବୀଜ ବର୍ଣ୍ଣିତ ଜ୍ୟାମିତି |,ಬೀಜಗಣಿತದ ರೇಖಾಗಣಿತ
ବୀଜ ବର୍ଣ୍ଣିତ ଗୁଣ |,ಬೀಜಗಣಿತದ ಬಹುಸಂಖ್ಯೆ
ବୀଜ ବର୍ଣ୍ଣିତ ପ୍ରଣାଳୀ |,ಬೀಜಗಣಿತ ವ್ಯವಸ್ಥೆ
ସମସ୍ତ-ପୂର୍ଣ୍ଣ ସମସ୍ୟା |,ಎಲ್ಲಾ ಪೂರ್ಣಾಂಕ ಸಮಸ್ಯೆ
ବଣ୍ଟନ ସମସ୍ୟା,ಹಂಚಿಕೆ ಸಮಸ್ಯೆ
ବର୍ଣ୍ଣାନୁକ୍ରମିକ ଟିପ୍ପଣୀ |,ವರ್ಣಮಾಲೆಯ ಸಂಕೇತ
ବର୍ଣ୍ଣମାଳା ବର୍ଣ୍ଣ,ವರ್ಣಮಾಲೆಯ ಅಕ್ಷರ
ବିକଳ୍ପ କୋଣ,ಪರ್ಯಾಯ ಕೋನ
ବିକଳ୍ପ ଫର୍ମ |,ಪರ್ಯಾಯ ರೂಪ
ବିକଳ୍ପ ଗୋଷ୍ଠୀ,ಪರ್ಯಾಯ ಗುಂಪು
ବିକଳ୍ପ ମ୍ୟାଟ୍ରିକ୍ସ |,ಪರ್ಯಾಯ ಮ್ಯಾಟ್ರಿಕ್ಸ್
ବିକଳ୍ପ କ୍ରମ |,ಪರ್ಯಾಯ ಸರಣಿ
ବିକଳ୍ପ ଅନୁମାନ,ಪರ್ಯಾಯ ಕಲ್ಪನೆ
ବିକଳ୍ପ ଅପ୍ଟିମା |,ಪರ್ಯಾಯ ಆಪ್ಟಿಮಾ
ବିକଳ୍ପ ଫଳାଫଳ |,ಪರ್ಯಾಯ ಫಲಿತಾಂಶ
ଆନାଗଲ୍-ଟୁ-ଡିଜିଟାଲ୍ କନଭର୍ଟର |,ಅನಲಾಗ್-ಟು-ಡಿಜಿಟಲ್ ಪರಿವರ್ತಕ
ଆନାଗଲ୍ କମ୍ପ୍ୟୁଟର |,ಅನಲಾಗ್ ಕಂಪ್ಯೂಟರ್
ବିଶ୍ଳେଷଣ |,ವಿಶ್ಲೇಷಣೆ
କୋଭାରିଆନ୍ସର ବିଶ୍ଳେଷଣ |,ಸಹವರ್ತಿತ್ವದ ವಿಶ್ಲೇಷಣೆ
ଗଣନା ତଥ୍ୟର ବିଶ୍ଳେଷଣ |,ಎಣಿಕೆಯ ಡೇಟಾದ ವಿಶ್ಲೇಷಣೆ
ଭିନ୍ନତାର ବିଶ୍ଳେଷଣ |,ವ್ಯತ್ಯಾಸದ ವಿಶ್ಲೇಷಣೆ
ଆନାଲିଟିକ୍ ଜ୍ୟାମିତି |,ವಿಶ್ಲೇಷಣಾತ್ಮಕ ಜ್ಯಾಮಿತಿ
ଆନାଲିଟିକ୍ କାର୍ଯ୍ୟ,ವಿಶ್ಲೇಷಣಾತ್ಮಕ ಕಾರ್ಯ
କୋଣ,ಕೋನ
ଯୋଗାଯୋଗ କୋଣ,ಸಂಪರ್ಕದ ಕೋನ
ବିଘ୍ନର କୋଣ |,ವಿಚಲನ ಕೋನ
ଉଦାସୀନତାର କୋଣ,ಖಿನ್ನತೆಯ ಕೋನ
ବିଘ୍ନର କୋଣ |,ವಿಚಲನ ಕೋನ
ବିଭାଜନର କୋଣ |,ವಿವರ್ತನೆಯ ಕೋನ
ଉଚ୍ଚତାର କୋଣ,ಎತ್ತರದ ಕೋನ
ଘଟଣାର କୋଣ,ಘಟನೆಯ ಕೋನ
ପ୍ରୋଜେକ୍ଟର କୋଣ,ಪ್ರೊಜೆಕ್ಷನ್ ಕೋನ
ପ୍ରତିଫଳନ କୋଣ,ಪ್ರತಿಬಿಂಬದ ಕೋನ
ପ୍ରତିଫଳନ କୋଣ,ವಕ್ರೀಭವನದ ಕೋನ
ଘୂର୍ଣ୍ଣନ କୋଣ,ತಿರುಗುವಿಕೆಯ ಕೋನ
ସମୁଦାୟ ପ୍ରତିଫଳନର କୋଣ |,ಒಟ್ಟು ಪ್ರತಿಫಲನದ ಕೋನ
କୋଣାର୍କ ତ୍ୱରଣ |,ಕೋನೀಯ ವೇಗವರ್ಧನೆ
କୋଣାର୍କ ଗତି |,ಕೋನೀಯ ಚಲನೆ
କୋଣାର୍କ ଗତି,ಕೋನೀಯ ವೇಗ
କୋଣାର୍କ ବେଗ |,ಕೋನೀಯ ವೇಗ
annulus,ವಾರ್ಷಿಕ
ଉତ୍ତର ଦିଅ,ಉತ್ತರ
ଆଣ୍ଟି-ଡେରିଭେଟିଭ୍ |,ವಿರೋಧಿ ಉತ್ಪನ್ನ
ଆଣ୍ଟିସାଇମେଟ୍ରିକ୍ କାର୍ଯ୍ୟ,ಆಂಟಿಸಿಮೆಟ್ರಿಕ್ ಕಾರ್ಯ
ପ୍ରଯୁଜ୍ୟ |,ಅನ್ವಯಿಸುವ
ପ୍ରୟୋଗ,ಅಪ್ಲಿಕೇಶನ್
ପ୍ରୟୋଗ ହୋଇଥିବା ଗତିଶୀଳ ପ୍ରୋଗ୍ରାମିଂ |,ಅನ್ವಯಿಕ ಡೈನಾಮಿಕ್ ಪ್ರೋಗ್ರಾಮಿಂಗ್
ପ୍ରୟୋଗ ହୋଇଥିବା ଜ୍ୟାମିତି |,ಅನ್ವಯಿಕ ಜ್ಯಾಮಿತಿ
ପ୍ରୟୋଗ ହୋଇଥିବା ଗଣିତ |,ಅನ್ವಯಿಕ ಗಣಿತ
ପ୍ରୟୋଗ ପରିସଂଖ୍ୟାନ |,ಅನ್ವಯಿಕ ಅಂಕಿಅಂಶಗಳು
ପାଖାପାଖି,ಸರಿಸುಮಾರು
ପ୍ରାୟ ନିରନ୍ତର କାର୍ଯ୍ୟ |,ಸರಿಸುಮಾರು ನಿರಂತರ ಕಾರ್ಯ
ଆନୁମାନିକ ପଦ୍ଧତି |,ಅಂದಾಜು ವಿಧಾನ
ଆନୁମାନିକ ସମାଧାନ,ಅಂದಾಜು ಪರಿಹಾರ
ଆନୁମାନିକ ସମସ୍ୟା,ಅಂದಾಜು ಸಮಸ್ಯೆ
ଆନୁମାନିକ ସମ୍ପତ୍ତି,ಅಂದಾಜು ಆಸ್ತಿ
ଦକ୍ଷତା ପରୀକ୍ଷା ବ୍ୟାଟେରୀ |,ಆಪ್ಟಿಟ್ಯೂಡ್ ಟೆಸ್ಟ್ ಬ್ಯಾಟರಿ
ଅର୍ଗାନ୍ ଚିତ୍ର |,ಅರ್ಗಾಂಡ್ ರೇಖಾಚಿತ್ರ
ମନଇଚ୍ଛା ମନୋନୀତ |,ನಿರಂಕುಶವಾಗಿ ಆಯ್ಕೆ ಮಾಡಲಾಗಿದೆ
ଇଚ୍ଛାଧୀନ |,ನಿರಂಕುಶ
ଇଚ୍ଛାଧୀନ ସ୍ଥିର |,ಅನಿಯಂತ್ರಿತ ಸ್ಥಿರ
ଇଚ୍ଛାଧୀନ ଉପାଦାନ |,ಅನಿಯಂತ್ರಿತ ಅಂಶ
ଇଚ୍ଛାଧୀନ ବିନ୍ଦୁ |,ಅನಿಯಂತ್ರಿತ ಬಿಂದು
ଆର୍କେମିଡିଆନ୍ ନିୟମ |,ಆರ್ಕೆಮಿಡಿಯನ್ ಕಾನೂನು
ଆର୍କିମିଡିସ୍ ନୀତି |,ಆರ್ಕಿಮಿಡಿಸ್ ತತ್ವ
ଆର୍କ ଲମ୍ବ |,ಆರ್ಕ್ ಉದ್ದ
ବୃତ୍ତର ଆର୍କ |,ವೃತ್ತದ ಚಾಪ
ଆର୍କ ସାଇନ ବଣ୍ଟନ |,ಆರ್ಕ್ ಸೈನ್ ವಿತರಣೆ
ଆର୍କ ସାଇନ ପରିବର୍ତ୍ତନ,ಆರ್ಕ್ ಸೈನ್ ರೂಪಾಂತರ
କ୍ଷେତ୍ର,ಪ್ರದೇಶ
ଆରେଲ୍ ଟେକ୍ସଚର୍ |,ಪ್ರದೇಶದ ವಿನ್ಯಾಸ
ଜଟିଳ ସଂଖ୍ୟାର ଯୁକ୍ତି,ಸಂಕೀರ್ಣ ಸಂಖ್ಯೆಯ ವಾದ
ଗାଣିତିକ ଅର୍ଥ |,ಅಂಕಗಣಿತದ ಸರಾಸರಿ
ଗାଣିତିକ କାର୍ଯ୍ୟ,ಅಂಕಗಣಿತದ ಕಾರ್ಯಾಚರಣೆ
ଗାଣିତିକ ଏକକ,ಅಂಕಗಣಿತದ ಘಟಕ
ବ୍ୟବସ୍ଥା,ವ್ಯವಸ್ಥೆ
ଆରେ,ಶ್ರೇಣಿ
କୃତ୍ରିମ ଉପଗ୍ରହ |,ಕೃತಕ ಉಪಗ್ರಹ
କୃତ୍ରିମ ଭେରିଏବଲ୍ |,ಕೃತಕ ವೇರಿಯಬಲ್
ଆରୋହଣ,ಏರು
ଆରୋହଣ,ಆರೋಹಣ
ତୀବ୍ରତାର କ୍ରମ,ಪರಿಮಾಣದ ಆರೋಹಣ ಕ್ರಮ
ଆରୋହଣ କ୍ରମ |,ಆರೋಹಣ ಸರಣಿ
ଏକତ୍ରକାରୀ ଭାଷା |,ಅಸೆಂಬ್ಲರ್ ಭಾಷೆ
ଆସାଇନମେଣ୍ଟ ସମସ୍ୟା,ನಿಯೋಜನೆ ಸಮಸ್ಯೆ
ସହଯୋଗୀ ନିୟମ |,ಸಹಾಯಕ ಕಾನೂನು
ଅପରେଟର୍ମାନଙ୍କର ଆସୋସିଏଟିଭ୍ ନିୟମ |,ನಿರ್ವಾಹಕರ ಸಹಾಯಕ ಕಾನೂನು
ଆସୋସିଏଟିଭ୍ ଅପରେସନ୍ |,ಸಹಾಯಕ ಕಾರ್ಯಾಚರಣೆ
ସହଯୋଗୀତା |,ಸಹಭಾಗಿತ್ವ
ଅନୁମାନ କରାଯାଉଥିବା ଅର୍ଥ |,ಸರಾಸರಿ ಊಹಿಸಲಾಗಿದೆ
ସମ୍ଭାବ୍ୟ ବଣ୍ଟନ ଅନୁମାନ କରାଯାଇଛି |,ಸಂಭವನೀಯತೆಯ ವಿತರಣೆಯನ್ನು ಊಹಿಸಲಾಗಿದೆ
ଅନୁମାନ,ಊಹೆ
ଜ୍ୟୋତିଷ ଶାସ୍ତ୍ର,ಜ್ಯೋತಿಷ್ಯ
ମହାକାଶଚାରୀ ଇଞ୍ଜିନିୟର,ಗಗನಯಾತ್ರಿ ಇಂಜಿನಿಯರ್
ଜ୍ୟୋତିର୍ବିଜ୍ଞାନୀ,ಖಗೋಳಶಾಸ್ತ್ರಜ್ಞ
ଜ୍ୟୋତିର୍ବିଜ୍ଞାନ ଘଣ୍ଟା |,ಖಗೋಳ ಗಡಿಯಾರ
ଜ୍ୟୋତିର୍ବିଜ୍ଞାନ,ಖಗೋಳಶಾಸ್ತ್ರ
ଅସୀମିତ ବକ୍ର,ಅಸಮವಾದ ಕರ್ವ್
ଅସୀମତା |,ಅಸಿಮ್ಮೆಟ್ರಿ
asymptote,ಲಕ್ಷಣರಹಿತ
ଅସ୍ମିପଟୋଟିକ୍ |,ಲಕ್ಷಣರಹಿತ
ଅସାମାଜିକ ଭାବରେ ଦକ୍ଷ ଆକଳନକାରୀ |,ಲಕ್ಷಣರಹಿತ ಪರಿಣಾಮಕಾರಿ ಅಂದಾಜುಗಾರ
ଅସାମାଜିକ ଭାବରେ ନିରପେକ୍ଷ ଆକଳନକାରୀ |,ಲಕ್ಷಣರಹಿತವಾಗಿ ನಿಷ್ಪಕ್ಷಪಾತ ಅಂದಾಜುಗಾರ
ଅସ୍ମିତିକ ଆଚରଣ |,ಲಕ್ಷಣರಹಿತ ನಡವಳಿಕೆ
ଅସ୍ମିପଟୋଟିକ୍ ବଣ୍ଟନ କାର୍ଯ୍ୟ |,ಲಕ್ಷಣರಹಿತ ವಿತರಣಾ ಕಾರ್ಯ
ଅସ୍ମିପଟୋଟିକ୍ ବିସ୍ତାର |,ಲಕ್ಷಣರಹಿತ ವಿಸ್ತರಣೆ
ବାୟୁମଣ୍ଡଳୀୟ ଚାପ |,ವಾತಾವರಣದ ಒತ್ತಡ
ଅନିୟମିତତାରେ |,ಯಾದೃಚ್ಛಿಕವಾಗಿ
ଗୁଣ,ಗುಣಲಕ್ಷಣ
ଗୁଣବତ୍ତା ନମୁନା ପ୍ରକ୍ରିୟା,ಮಾದರಿ ವಿಧಾನದ ಗುಣಲಕ್ಷಣಗಳು
ବୃଦ୍ଧି ହୋଇଥିବା ମାଟ୍ରିକ୍ସ,ವರ್ಧಿತ ಮ್ಯಾಟ್ರಿಕ್ಸ್
ଅଟୋକୋରେଲେସନ୍ କୋଏଫିସିଏଣ୍ଟ୍ |,ಸ್ವಯಂ ಸಂಬಂಧ ಗುಣಾಂಕ
ଅଟୋକୋରେଲେସନ୍ ଫଙ୍କସନ୍,ಸ್ವಯಂ ಸಂಬಂಧ ಕಾರ್ಯ
ଅଟୋକୋଭାରିଆନ୍ସ |,ಆಟೋಕೋವೇರಿಯನ್ಸ್
ସ୍ୱୟଂଚାଳିତ କମ୍ପ୍ୟୁଟର |,ಸ್ವಯಂಚಾಲಿತ ಕಂಪ್ಯೂಟರ್
ଆତ୍ମସମ୍ମାନ,ಸ್ವಯಂ ಹಿನ್ನಡೆ
ସହାୟକ ସମୀକରଣ,ಸಹಾಯಕ ಸಮೀಕರಣ
ହାରାହାରି ନମୁନା ସଂଖ୍ୟା ବକ୍ର (ASN ବକ୍ର),ಸರಾಸರಿ ಮಾದರಿ ಸಂಖ್ಯೆ ಕರ್ವ್ (ASN ಕರ್ವ್)
axiom,ಮೂಲತತ್ವ
ସ୍ୱୀକୃତିପ୍ରାପ୍ତ ଉପାୟ |,ಅಕ್ಷೀಯ ವಿಧಾನ
ସମ୍ଭାବ୍ୟତାର axiom |,ಸಂಭವನೀಯತೆಯ ಮೂಲತತ್ವ
ଅକ୍ଷ,ಅಕ್ಷರೇಖೆ
ଅବସିସା ର ଅକ୍ଷ |,ಅಬ್ಸಿಸ್ಸಾದ ಅಕ್ಷ
ପୃଥିବୀର ଅକ୍ଷ,ಭೂಮಿಯ ಅಕ್ಷ
ବିପ୍ଳବର ଅକ୍ଷ,ಕ್ರಾಂತಿಯ ಅಕ್ಷ
ଘୂର୍ଣ୍ଣନ ଅକ୍ଷ,ತಿರುಗುವಿಕೆಯ ಅಕ್ಷ
ସ୍ପିନ୍ ର ଅକ୍ଷ |,ಸ್ಪಿನ್ ಅಕ್ಷ
ବ୍ୟାକ୍-ପ୍ରତିସ୍ଥାପନ,ಬ್ಯಾಕ್-ಬದಲಿ
ପଛୁଆ ପାର୍ଥକ୍ୟ |,ಹಿಂದುಳಿದ ವ್ಯತ್ಯಾಸ
ପଛୁଆ-ଇଣ୍ଟରପୋଲେସନ୍ ସୂତ୍ର |,ಹಿಂದುಳಿದ-ಪ್ರಕ್ಷೇಪಣ ಸೂತ್ರ
ସନ୍ତୁଳନ,ಸಮತೋಲನ
ସନ୍ତୁଳିତ ଡିଜାଇନ୍ |,ಸಮತೋಲಿತ ವಿನ್ಯಾಸ
ତୂଳନା ପତ୍ର,ಆಯವ್ಯಯ ಪಟ್ಟಿ
ବାଲିଷ୍ଟିକ୍ କ୍ଷେପଣାସ୍ତ୍ର |,ಬ್ಯಾಲಿಸ್ಟಿಕ್ ಕ್ಷಿಪಣಿ
ବାଲିଷ୍ଟିକ୍,ಬ್ಯಾಲಿಸ್ಟಿಕ್ಸ್
ଦଣ୍ଡିକା,ಬಾರ್
ଆଧାର,ಬೇಸ್
ମୂଳ କୋଣ,ಮೂಲ ಕೋನ
ଲୋଗାରିଦମର ଆଧାର |,ಲಾಗರಿಥಮ್ನ ಆಧಾರ
ମ basic ଳିକ,ಮೂಲಭೂತ
ମ basic ଳିକ ସମ୍ଭାବ୍ୟ ସମାଧାନ |,ಮೂಲ ಕಾರ್ಯಸಾಧ್ಯ ಪರಿಹಾರ
ମ basic ଳିକ ସମାଧାନ |,ಮೂಲ ಪರಿಹಾರ
ମ basic ଳିକ ଭେରିଏବଲ୍ |,ಮೂಲ ವೇರಿಯಬಲ್
ଆଧାର,ಆಧಾರದ
ଆଧାର ଉପାଦାନ |,ಆಧಾರ ಅಂಶ
ଆଧାର ମ୍ୟାଟ୍ରିକ୍ସ |,ಆಧಾರ ಮ್ಯಾಟ್ರಿಕ್ಸ್
ଏକ ଭେକ୍ଟର ସ୍ପେସ୍ ର ଆଧାର |,ವೆಕ್ಟರ್ ಜಾಗದ ಆಧಾರ
ସବ୍ ସ୍ପେସ୍ ର ଆଧାର |,ಉಪಸ್ಥಳದ ಆಧಾರ
ବାଏସିଆନ୍ ଆକଳନ |,ಬೇಸಿಯನ್ ಅಂದಾಜು
ବାଇସ୍ ନିୟମ |,ಬೇಯ್ಸ್ ಕಾನೂನು
ବାଇସ୍ ଥିଓରେମ୍ |,ಬೇಯಸ್ ಪ್ರಮೇಯ
ବର୍ନୁଲି ବଣ୍ଟନ |,ಬರ್ನೌಲ್ಲಿ ವಿತರಣೆ
ବର୍ନୁଲି ସଂଖ୍ୟା |,ಬರ್ನೌಲ್ಲಿ ಸಂಖ್ಯೆ
ବର୍ନୁଲି ସମ୍ଭାବ୍ୟ କାର୍ଯ୍ୟ |,ಬರ್ನೌಲ್ಲಿ ಸಂಭವನೀಯತೆ ಕಾರ್ಯ
ବର୍ନୁଲିଙ୍କ ସମୀକରଣ |,ಬರ್ನೌಲಿಯ ಸಮೀಕರಣ
ବେରୀ କାର୍ଯ୍ୟ,ಬೆರ್ರಿ ಕಾರ್ಯ
ସର୍ବୋତ୍ତମ ଫିଟ୍ |,ಅತ್ಯುತ್ತಮ ಫಿಟ್
ସର୍ବୋତ୍ତମ - ଫିଟ୍ ଲାଇନ୍ |,ಅತ್ಯುತ್ತಮ - ಫಿಟ್ ಲೈನ್
ସର୍ବୋତ୍ତମ ସମାଧାନ |,ಉತ್ತಮ ಪರಿಹಾರ
ସର୍ବୋତ୍ତମ ରଣନୀତି |,ಅತ್ಯುತ್ತಮ ತಂತ್ರಗಳು
ବିଟା ବଣ୍ଟନ |,ಬೀಟಾ ವಿತರಣೆ
ପକ୍ଷପାତ,ಪಕ್ಷಪಾತ
ପକ୍ଷପାତ ଅନୁମାନ |,ಪಕ್ಷಪಾತದ ಅಂದಾಜು
ବିହାରମୋନିକ୍ ସମୀକରଣ |,ಬೈಹಾರ್ಮೋನಿಕ್ ಸಮೀಕರಣ
bijection,ಬೈಜೆಕ್ಷನ್
ବାୟଜେକ୍ଟିଭ୍ ମାନଚିତ୍ର,ಬೈಜೆಕ್ಟಿವ್ ನಕ್ಷೆ
ବାୟଜେକ୍ଟିଭ୍ ମ୍ୟାପିଙ୍ଗ୍ |,ಬೈಜೆಕ್ಟಿವ್ ಮ್ಯಾಪಿಂಗ್
ବିଲିନାର୍ ଫର୍ମ |,ಬೈಲಿನಿಯರ್ ರೂಪ
ବିଲିନାର୍ ଫଙ୍କସନ୍,ಬೈಲಿನಿಯರ್ ಕಾರ್ಯ
ବିଲିନାର୍ ହର୍ମିଟିଆନ୍ ଫର୍ମ |,ಬೈಲಿನಿಯರ್ ಹರ್ಮಿಟಿಯನ್ ರೂಪ
ବାଇନାରୀ,ಅವಳಿ
ବାଇନାରୀ କୋଡ୍ |,ಬೈನರಿ ಕೋಡ್
ବାଇନାରୀ କୋଡେଡ୍ ଦଶମିକ |,ಬೈನರಿ ಕೋಡೆಡ್ ದಶಮಾಂಶ
ବାଇନାରୀ କୋଡିଂ |,ಬೈನರಿ ಕೋಡಿಂಗ್
