Hindi,Malayalam
1. अवायुजीव 2. अनाक्सी जीव,1. അനറോബിക് 2. അനറോബിക് ഓർഗാനിസംസ്
असुगुणित,ഹാപ്ലോയിഡ്
कोणीय रोपण,കോണീയ നടീൽ
पशुपालन,മൃഗസംരക്ഷണം
पशु उच्छिष्ट,മൃഗ വിസർജ്ജനം
सजीव ऊर्जा,ജീവനുള്ള ഊർജ്ജം
असमगुणित,അസാധാരണമായ
एकवर्षीय पादप,ഒരു വർഷം പഴക്കമുള്ള ചെടി
वार्षिक,വാർഷിക
1. परागोद्भव 2. प्रफुल्लन,1. പരമാനന്ദം 2. പ്രഭ
ऐन्थ्रेक्स,ആന്ത്രാക്സ്
मानवजनिक कारक,നരവംശ ഘടകങ്ങൾ
प्रतिजीविता,അതിജീവനം
1.प्रतिजैविक2.  ऐन्टीबायोटिक,1. ആന്റിബയോട്ടിക് 2. ആന്റിബയോട്ടിക്
प्रतिकारक,വെറുപ്പുളവാക്കുന്ന
प्रतिऑक्सीकारक,ആന്റിഓക്‌സിഡന്റ്
प्रतिआविष,ആന്റിടോക്സിൻ
वलयिका,മോതിര വിരൽ
1. ऐफिड 2. माहू 3. चेपा,1. മുഞ്ഞ 2. മാഹു 3. ചേപ
शीर्ष कलिका,മുകളിലെ മുകുളം
शिखाग्र प्रभाविता,പീക്ക് ഫലപ്രാപ്തി
मधुमक्खी पालन,തേനീച്ച വളർത്തൽ
असंगजनन,അലൈംഗികത
एपोप्टोसिस,അപ്പോപ്റ്റോസിസ്
उपांग,അനുബന്ധങ്ങൾ
क्षुधावर्धक,വിശപ്പ്
अनुप्रयुक्त,അപേക്ഷിച്ചു
जलीय खरपतवार,ജല കള
1. वृक्षीय 2. वृक्षवासी,1. മരം 2. വൃക്ഷ നിവാസി
शाखायन,ശാഖകൾ
आद्य वानस्पतिक अभिलेख,പ്രോട്ടോബോട്ടാണിക്കൽ റെക്കോർഡുകൾ
क्षेत्रांकड़,സോൺ നമ്പർ
1. क्षेत्र 2. क्षेत्रफल,1. ഏരിയ 2. ഏരിയ
शुष्क पारितंत्र,വരണ്ട ആവാസവ്യവസ്ഥ
बीजचोल,കോട്ടിലിഡൺ
सौरभ,സൗരഭ്
सुगंधी पादप,ആരോമാറ്റിക് പ്ലാന്റ്
सुगंधित चावल,സുഗന്ധമുള്ള അരി
इक्षु पुष्पन,ഇക്ഷു പുഷ്പൻ
अपूति,അസെപ്റ്റിക്
1.अपूतित 2. अजर्म,1. അസെപ്റ്റിക് 2. അസെപ്റ്റിക്
अलैंगिक प्रवर्धन,അലൈംഗിക പുനരുൽപാദനം
आमाप,വലിപ്പം
परिसंपत्ति,ആസ്തി
1. स्वांगीकरण 2. आत्मसात्करण,1. സ്വാംശീകരണം 2. സ്വാംശീകരണം
1. साहचर्य 2. संघ,1. അസോസിയേഷൻ 2. അസോസിയേഷൻ
1. स्तंभक 2. कषाय,1. കോളം 2. ആസ്ട്രിംഗ്സി
असूत्रयुग्मन,ഹെറ്ററോസൈഗോസിറ്റി
1. पूर्वजता 2. ऐटाविज्म,1. പൂർവ്വികൻ 2. അടവിസം
कणित्र,കണം
1.अपुष्टि 2. क्षीणता,1. സ്ഥിരീകരണം 2. വൈകല്യം
स्वयुग्मन,സ്വയം ജോടിയാക്കൽ
स्वलयन,ഓട്ടോലിസിസ്
1. स्वतः उपचयन 2. स्वतः ऑक्सीभवन,1. സ്വതസിദ്ധമായ ഓക്സീകരണം 2. സ്വതസിദ്ധമായ ഓക്സീകരണം
स्वबहुगुणित,സ്വയം മൾട്ടിപ്ലക്സ്
ऑक्सिन,ഓക്സിൻ
1. शूक 2. तूड़,1. ഷൂക്ക് 2. പൂവൻ
दंड विषाणु,ശിക്ഷാ വൈറസ്
1. दंडाणु 2. बैसिलस,1. ബാസിലസ് 2. ബാസിലസ്
1. जीवाणु 2. बैक्टीरिया,1. ബാക്ടീരിയ 2. ബാക്ടീരിയ
जीवाणु आविष,ബാക്ടീരിയൽ വിഷം
खोई,ബാഗാസ്
तुलन-पत्र,ബാലൻസ് ഷീറ്റ്
संतुलित उर्वरक उपयोग,സമീകൃത വളം ഉപയോഗം
दंड आरेख,ബാർ ഗ്രാഫ്
छाल,കുര
1. वायुदाबमापी 2. बैरोमीटर,1. ബാരോമീറ്റർ 2. ബാരോമീറ്റർ
1. बजर 2. अकृष्य 3. बांझ,1. ബസർ 2. നിഷ്ക്രിയം 3. വന്ധ്യം
1. आधार 2. बेस 3. कपांग,1. അടിസ്ഥാനം 2. അടിസ്ഥാനം 3. കുപാങ്
1.थाला 2. द्रोणी,1. താല 2. തടം
तलाभिसारी,തലബിസാരി
1. बेसिस्टर्नम 2. मूलाधारक,1. ബാസിസ്റ്റെർനം 2. റൂട്ട് ഹോൾഡർ
खाड़ी मानसून,ഗൾഫ് മൺസൂൺ
फलदायी पौधा,ഫലം പ്ലാന്റ്
क्यारी,കിടക്ക
क्यारी - पौधा,കിടക്ക പ്ലാന്റ്
क्यारी बनाना,കിടക്കവിരി
चुकंदर शीरा,ബീറ്റ്റൂട്ട് മോളാസസ്
धौंकनी,തുരുത്തി
1. पट्टी 2. इलाका,1. സ്ട്രിപ്പ് 2. ഭൂപ്രദേശം
लाभ-लागत विश्लेषण,ലാഭ-ചെലവ് വിശകലനം
अभिनत (प्रतिचयन),അഭിലാഷം (സാമ്പിൾ)
द्विवर्षीय पादप,ദ്വിവത്സര സസ്യങ്ങൾ
द्विपद,ദ്വിപദം
जैवकारक,ബയോഫാക്ടർ
जीव जलवायु,ജൈവ കാലാവസ്ഥ
जैव ऊर्जा,ജൈവ ഊർജ്ജം
जीव पारिस्थितिकी,ജന്തു പരിസ്ഥിതി
1. जैव-प्रक्रियापात्र 2. बायो रिएक्टर,1. ബയോ പ്രോസസർ 2. ബയോ റിയാക്ടർ
जीव-मंडल,ജൈവമണ്ഡലം
जीवीय,ബയോട്ടിക്
जीव प्ररूप,ജന്തുജാലങ്ങൾ
दविलिंगी,ദിവിലിംഗി
धवलन,ധവാലൻ
1.  प्रध्वसं (रोग) 2.  झोंका रोग,1. പ്രധ്വാസൻ (രോഗം) 2. ഗസ്റ്റ് രോഗം
संमिश्रण,മിശ്രണം
1. अंगमारी (रोग) 2.  ब्लाइट (रोग),1. അംഗ്മാരി (രോഗം) 2. ബ്ലൈറ്റ് (രോഗം)
1. छाला 2. फफोला 3. उद्वर्त 4. ब्लिस्टर,1. ബ്ലിസ്റ്റർ 2. ബ്ലിസ്റ്റർ 3. എറപ്ഷൻ 4. ബ്ലിസ്റ്റർ
नीली क्रांति,നീല വിപ്ലവം
तलीय ताप चैंबर,പ്ലാനർ ഹീറ്റിംഗ് ചേമ്പർ
तलीय ताप तकनीक,പ്ലാനർ തപീകരണ സാങ്കേതികവിദ്യ
चोकर,തവിട്
शाखन,ശാഖകൾ
1. टहनी 2. उपशाखा,1. തടി 2. ഉപശാഖ
नस्ल,ഇനം
प्रजनन,പുനരുൽപാദനം
शीघ्र अंकुरण उपचार,ആദ്യകാല മുളയ്ക്കൽ ചികിത്സ
1. शाव 2. अंड 3. भ्रूण,1. കുട്ടി 2. മുട്ട 3. ഭ്രൂണം
कलिकायन,വളർന്നുവരുന്ന
बजट,ബജറ്റ്
1.उभयप्रतिरोधी 2. बफर,1.ആംഫോട്ടറിക് 2. ബഫർ
शल्ककंद,മധുരക്കിഴങ്ങ്
बंट (रोग),ബണ്ട് (രോഗം)
1. उपजात 2. उपोत्पाद,1. ഉപോൽപ്പന്നം 2. ഉപോൽപ്പന്നം
c नमी विशिष्टता वक्र,c ഈർപ്പം സ്പെസിഫിക്കേഷൻ കർവ്
खली,എണ്ണ പിണ്ണാക്ക്
1. चूनेदार 2.कैल्सियमी,1. നാരങ്ങ 2. കാൽസ്യം
कैल्सीयन,calcion
फॉस्फेट का निस्तापन,ഫോസ്ഫേറ്റ് നീക്കം
1. किणता 2. कैलसता,1. കിനാറ്റ 2. കാലാറ്റ
1.कैलस 2. किण,1.കല്ലസ് 2. കിരണം
1. बाह्यदल पुंज 2.कैलिक्स,1. വിദളങ്ങൾ 2. കാളിക്സ്
वाह्यदल अंत,പുറത്തെ അവസാനം
एधा,എധ
कैंकर (जीवाणु रोग),കാൻസർ (ബാക്ടീരിയ രോഗം)
डिब्बाबंदी,കാനിംഗ്
वितान,ആകാശം
पूंजी,ധനകാര്യം
परागण (अंजीर का),പരാഗണം (അത്തിപ്പഴം)
1. संपुट 2. संपुटिका 3. कैप्सूल,1. കാപ്സ്യൂൾ 2. ക്യാപ്സ്യൂൾ 3. ക്യാപ്സ്യൂൾ
कार्बोनीकृत,കാർബണൈസ്ഡ്
कार्बनन,കാർബണൻ
अंडप,കാർപേസ്
मणिबंध,വള
1. ढलाई (लोहे की) 2. क्षिप्ति (कीट),1. കാസ്റ്റിംഗ് (ഇരുമ്പ്) 2. ക്ഷിപ്തി (പ്രാണി)
अपचय,കാറ്റബോളിസം
उत्प्रेरण,പ്രേരണ
1. इल्ली 2. सूंडी,1. കാറ്റർപില്ലർ 2. കാറ്റർപില്ലർ
सी ड़ी. एन. ए. संग्रह,സി ഡി. എൻ. എ. സമാഹാരം
सीमा,പരിധി
1. कोशिका 2. कोष्ठिका,1. സെൽ 2. സെൽ
केंद्रीय अग्रग प्रणाली,സെൻട്രൽ ഫ്രണ്ട് സിസ്റ്റം
1. सबिंदु 2. सकेंद्र,1. പോയിന്റ് 2. ഫോക്കസ്
अपकेंद्रण,അപകേന്ദ്രീകരണം
अपकेंद्रक,സെൻട്രിഫ്യൂജ്
तारककेंद्र,നക്ഷത്ര കേന്ദ്രം
केंद्रजनिक,എപ്പിജെനെറ്റിക്
केंद्रजा,കേന്ദ്രരാജ
लूम,തറി
1. धान्य 2. सीरियल,1. ധാന്യം 2. സീരിയൽ
1. प्रमाणीकरण 2. प्रमाणन,1. സർട്ടിഫിക്കേഷൻ 2. സർട്ടിഫിക്കേഷൻ
प्रमाणित बीज,സാക്ഷ്യപ്പെടുത്തിയ വിത്ത്
1. भूसा 2. कुट्टी 3. शल्क सहपत्र,1. വൈക്കോൽ 2. കുട്ടി 3. ശലക് സഹപത്ര
1. निभाग 2. कैलाजा,1. നിഭാഗ് 2. കൈലജ
रसानुवर्तन,കൈമോഗ്രഫി
1. किआज्मा 2. व्यत्यस्त,1. കിയാസ്മ 2. തിരക്കിലാണ്
अतिशीतन घंटे,supercooling മണിക്കൂർ
शीतज क्षति,മഞ്ഞ് കേടുപാടുകൾ
1.  विचित्रोतकी 2. काइमेरा,1. വിചിരോതകി 2. ചിമേര
हरित दली,പച്ച കഞ്ഞി
1. पर्णहरित 2. हरितक,1. ഇലകൾ 2. പച്ച
हरिमाहीनता,സയനോസിസ്
जीव वितरण विज्ञान,ജൈവ വിതരണ ശാസ്ത്രം
1. क्रोमैटिड 2. अर्धगुणसूत्र,1. ക്രോമാറ്റിഡുകൾ 2. പകുതി ക്രോമസോമുകൾ
क्रोमैटिन,ക്രോമാറ്റിൻ
वर्णलेखन,ക്രോമാറ്റോഗ്രാഫി
क्रोमोटिनलयन,ക്രോമാറ്റിലേഷൻ
परिसूत्र बिंदु,ഏട്രിയൽ പോയിന്റ്
वर्णजनन,ക്രോമാറ്റോജെനിസിസ്
1. क्रोमोप्रोटीन 2. वर्णकप्रोटीन,1. ക്രോമോപ്രോട്ടീൻ 2. പിഗ്മെന്റ് പ്രോട്ടീൻ
1. गुणसूत्र 2. क्रोमोसोम,1. ക്രോമസോമുകൾ 2. ക്രോമസോമുകൾ
1. चिरकाली 2. दीर्घकाली 3. जीर्ण 4. पुराना,1. വിട്ടുമാറാത്ത 2. വിട്ടുമാറാത്ത 3. വിട്ടുമാറാത്ത 4. കാലഹരണപ്പെട്ട
सिट्रेंज,സിട്രേഞ്ച്
पर्णाभपर्व,ശരത്കാല ഉത്സവം
वर्गीकरण,വർഗ്ഗീകരണം
1.मृत्तिका 2. चिकनी मिट्टी,1. കളിമണ്ണ് 2. കളിമണ്ണ്
1. निर्मलन 2. मार्जन 3. सफाई 4.  शोधन,1. വൃത്തിയാക്കൽ 2. സ്‌ക്രബ്ബിംഗ് 3. വൃത്തിയാക്കൽ 4. ശുദ്ധീകരണം
अनुन्मील्य परागण,സ്ഥിരമായ പരാഗണം
क्रतिक श्वसनी फल,ക്രൂസിഫറസ് ഫലം
जलवायु,കാലാവസ്ഥ
जलवायु विज्ञान,കാലാവസ്ഥാ ശാസ്ത്രം
कतरनी,കത്രിക
ढेला (मिट्टी का),പിണ്ഡം (കളിമണ്ണ്)
क्लोन,ക്ലോൺ
1.मेघ 2. बादल,1.മേഘങ്ങൾ 2.മേഘങ്ങൾ
पुंज (क्लंप,കൂട്ടം
गुच्छ,കുല
1.स्थूल 2. मोटा 3. कच्चा 4. अपरिष्कृत,1. പരുക്കൻ 2. പരുക്കൻ 3. അസംസ്കൃതം 4. പരുക്കൻ
1. आवरण 2.  चर्मावरण,1. കവർ 2. ലെതറെറ്റ്
कोया,കോയ
1. कोएन्जाइम 2. सह-एन्जाइम,1. കോഎൻസൈം 2. കോ-എൻസൈം
संसंजन,കെട്ടുറപ്പ്
1. रेशा (जूट पटसन) 2. नारियल जटा,1. നാരുകൾ (ചണം ചണം) 2. കോക്കനട്ട് കോഴ്സ്
मूलांकुर चोल,മുളങ്കൂർ ചോല
,
कोलॉइड (मृदा),കൊളോയിഡ് (മണ്ണ്)
1.स्तंभिका 2. कॉलुमेला,1.നിര 2.കൊലുമെല്ല
1.दंड 2. स्तंभ 3. कॉलम,1. പെനാൽറ്റി 2. കോളം 3. കോളം
सहभोजिता,കൂട്ടായ്മ
वाणिज्यिक बैंक,കൊമേഴ്സ്യൽ ബാങ്ക്
1. जिंस 2. पण्य वस्तु,1. ചരക്ക് 2. ചരക്ക്
समुदाय,സമൂഹം
संहनन (मृदा का),സങ്കോചം (മണ്ണിന്റെ)
1. सुसंगति 2. संगतता,1. അനുയോജ്യത 2. അനുയോജ്യത
सुसंगतता,അനുയോജ്യത
1. क्षतिपूर्ति 2. मुआवजा,1. നഷ്ടപരിഹാരം 2. നഷ്ടപരിഹാരം
स्पर्धी अन्योन्यक्रिया,മത്സരപരമായ ഇടപെടൽ
पूरक सस्य,സപ്ലിമെന്റ് വിള
1.सम्मिश्र 2. जटिल,1. സംയുക്തം 2. സങ്കീർണ്ണമായ
घटक,ഘടകഭാഗം
संघटन,രചന
कंपोस्ट,കമ്പോസ്റ്റ്
चक्रवृद्धि ब्याज,കൂട്ടുപലിശ
अभिकलन,കണക്കുകൂട്ടൽ
1.अभिकलित्र 2.कंप्यूटर,1. കമ്പ്യൂട്ടർ 2. കമ്പ്യൂട്ടർ
1. सांद्रण 2. संकेद्रण,1. ഏകാഗ്രത 2. ഏകാഗ്രത
1. अनुकूलक 2. पुनरुद्धारक,1. ഒപ്റ്റിമൈസർ 2. റിവൈറ്റലൈസർ
चालकता,ചാലകത
1. विन्यास 2. संरूपण,1. കോൺഫിഗറേഷൻ 2. കോൺഫിഗറേഷൻ
1. अनुरूपता 2. समविन्यास 3. संरूपता,1. അനുരൂപത 2. കോൺഫിഗറേഷൻ 3. അനുരൂപത
1.समाकुलन 2. संकरण,1. സംയോജനം 2. ഹൈബ്രിഡൈസേഷൻ
संयुग्मन,സംയോജനം
1. योजी 2. संयोजी,1. അഡിറ്റീവ് 2. കണക്റ്റീവ്
सरंक्षण,സംരക്ഷണം
चकबंदी,ഏകീകരണം
1.संघटक 2. अवयव,1. ചേരുവ 2. ചേരുവകൾ
उपभोक्ता,ഉപഭോക്താവ്
उपभोग,ഉപഭോഗം
संदूषण,മലിനീകരണം
समोच्च रोपण,കോണ്ടൂർ നടീൽ
समोच्च रेखा,കോണ്ടൂർ ലൈൻ
1.संविदा कृषि 2. ठेका कृषि 3. अनुबंधित खेती,1. കരാർ കൃഷി 2. കരാർ കൃഷി 3. കരാർ കൃഷി
नियंत्रित वातावरणीय भंडारण,നിയന്ത്രിത അന്തരീക്ഷ സംഭരണം
सहकारी बैंक,സഹകരണ ബാങ്ക്
सहकारी संस्था सदस्य,സഹകരണ സംഘം അംഗം
गुल्मवन,ഗുൽമാവാൻ
घनकंद,സമചതുര
1.दलपुंज 2. कोरोला,1. ദൽപുഞ്ച് 2. കൊറോള
1. वल्कुट 2. कोर्टेक्स,1. കോർട്ടെക്സ് 2. കോർട്ടക്സ്
लागत,ചെലവ്
बीजपत्र,കോട്ടിലിഡൺ
ऋण समिति,ക്രെഡിറ്റ് കമ്മിറ്റി
1.उधार 2. साख,1. കടം കൊടുക്കൽ 2. ക്രെഡിറ്റ്
1. ऋणदाता 2. लेनदार,1. കടം കൊടുക്കുന്നയാൾ 2. കടം കൊടുക്കുന്നയാൾ
1.शिखा 2. शीर्ष 3. शिखर,1. ശിഖരം 2. ശീർഷകം 3. ശിഖരം
व्याकुंचन,പിൻവലിക്കൽ
संकट,പ്രശ്നം
कसौटी,പരീക്ഷ
क्रांतिक,വിമർശനാത്മകം
फसल बीमा,വിള ഇൻഷുറൻസ്
फसल ऋण,വിള വായ്പ
1. सस्य 2. फसल,1. വിള 2. വിള
सस्यन क्षेत्र,കൃഷി പ്രദേശം
पार-असंगत,ക്രോസ് പൊരുത്തമില്ലാത്ത
1. मुकुट 2. शिखर (पादप),1. കിരീടം 2. പിനാക്കിൾ (സസ്യം)
मृदुकण,മൃദുവായ കണങ്ങൾ
पपड़ी,പുറംതോട്
1. क्रिप्टोगैम 2. अपुष्पीपादप,1. ക്രിപ്‌റ്റോഗാം 2. നോൺ-ഫ്ലോറിഫോം
छांटन (फल),അരിവാൾ (പഴം)
कल्म,പേന
कृष्य किस्म,കൃഷി ഇനം
1.कर्षण 2. कृषि 3. खेती,1. ട്രാക്ഷൻ 2. കൃഷി 3. കൃഷി
1.किसान 2. कल्टीवेटर (यंत्र),1. കർഷകൻ 2. കൃഷിക്കാരൻ
1.संवर्ध 2. संवर्धन 3. पालन,1. കൃഷി 2. കൃഷി 3. വളർത്തൽ
1.संसाधन 2.तैयार करना,1.വിഭവം 2.തയ്യാറെടുപ്പ്
1.कुंतलन 2. कुंचन,1.കുന്തളൻ 2.കുഞ്ചോൻ
मुद्रा,ഭാവം
1. उपत्वचा 2. क्यूटिकल,1. പുറംതൊലി 2. പുറംതൊലി
1.कलम 2. कटाई 3. काटना 4.कटाग्र 5. कटावा,1. പേന 2. മുറിക്കൽ 3. മുറിക്കൽ 4. മുറിക്കൽ 5. മുറിക്കൽ
1.कृमि कोष 2. सिस्ट 3. पुटी 4.विकृत गुल्म 5. रसौली,1. വിര കോർപ്പസ് 2. സിസ്റ്റ് 3. സിസ്റ്റ് 4. വികലമായ മുഴ 5. നിയോപ്ലാസം
साइटोक्रोम,സൈറ്റോക്രോം
कोशिका युग्मन,സെൽ കപ്ലിംഗ്
कोशिका जनन,കോശ പുനരുൽപാദനം
कोशिका आनुवंशिकी,സെൽ ജനിതകശാസ്ത്രം
कोशिका द्रव्य विभाजन,സൈറ്റോപ്ലാസ്മിക് ഡിവിഷൻ
कोशिका विज्ञान,സെൽ ബയോളജി
कोशिका लयन,സെൽ ലിസിസ്
1. साइटोमियर 2. कोशिका खंड,1. സൈറ്റോമിയർ 2. സെൽ സെഗ്മെന്റേഷൻ
कोशिका द्रव्य,സൈറ്റോപ്ലാസം
1.डेरी 2. दुग्धशाला,1. ഡയറി 2. ഡയറി
डेरी उदयोग,ക്ഷീര വ്യവസായം
1. बांध 2. प्रजननी,1. ഡാം 2. ബ്രീഡർ
दिवस निरपेक्ष पादप,ദിവസം സമ്പൂർണ്ണ പ്ലാന്റ്
पुष्पन के बाद दिन,പൂവിടുമ്പോൾ ദിവസം
पूर्ण पुष्पन के बाद दिन,മുഴുവൻ പൂവിടുമ്പോൾ ഒരു ദിവസം
निष्पुष्पन,കാര്യക്ഷമതയില്ലായ്മ
विकैल्सीकरण,ഡീകാൽസിഫിക്കേഷൻ
1. निथारना 2. निस्तारना,1. ഡിസ്ലോഡ്ജ് 2. ഡിസ്ലോഡ്ജ്
क्षय,ക്ഷയം
पर्णपाती,ഇലപൊഴിയും
1. दशमिक 2. दशमलव,1. ദശാംശം 2. ദശാംശം
न्यूनता,അപകർഷത
अनूर्णन (मृदा),അനുരൻ (മണ്ണ്)
विपुष्पन,വിപുഷ്പൻ
विपत्रण,ബില്ലിംഗ്
वनोन्मूलन,വനനശീകരണം
अपहासन,അപമാനം
