Assamese,Bengali
নিয়ন্ত্ৰণযোগ্য,সামঞ্জস্যযোগ্য
ভেদ,অনুপ্রবেশ
শোষণ,শোষণ
আগলৈ,এগিয়ে
প্ৰগতিশীল,প্রগতিশীল
"আকাশী, বায়ু (v.), আকাশী (ed.)","আকাশী, ভাইভা (v.), বায়বীয় (ed.)"
এন্টেনা ষ্ট্ৰিম,অ্যান্টেনা প্রবাহ
আকাশী জৰীপ,বায়বীয় জরিপ
বায়ুৰ বেগ,বায়ু বেগ
বায়ুগতিশীল সহগ,এরোডাইনামিক সহগ
বায়ুগতিবিদ্যা,এরোডাইনামিক
বায়ুগতিবিদ্যা,বায়ুগতিবিদ্যা
এৰোনটিকেল,বৈমানিক
এৰোনটিক্স,বৈমানিক
বায়ুৰ স্পন্দন,বায়ু নাড়ি
"বায়ুমণ্ডল, গেছ&#39;স্ফিয়াৰ","বায়ুমণ্ডল, গ্যাসোস্ফিয়ার"
ফোকাচ চিষ্টেম,ফোকাস সিস্টেম
বেক ইগনিচন,পিছনে ইগনিশন
বেক লাইট,পিছনের আলো
জোকাৰণি,আঘাত
"বয়স, বয়স, বয়স, যুগ (ed.), সময়ক প্ৰভাৱিত কৰা (ver.), সময়, সময়ৰ দ্বাৰা প্ৰভাৱিত হোৱা","বয়স, বয়স, বয়স, যুগ (সম্পাদনা), সময়কে প্রভাবিত করতে (ভার।), সময়, সময়ের দ্বারা প্রভাবিত হওয়া"
সময় প্ৰভাৱিত,সময় প্রভাবিত
"বয়স বৃদ্ধি, বয়স বৃদ্ধি","বার্ধক্য, বার্ধক্য"
সময়ৰ প্ৰভাৱ,সময়ের প্রভাব
সময় প্ৰভাৱ পৰীক্ষা,সময় প্রভাব পরীক্ষা
মাধ্যাকৰ্ষণহীন,মাধ্যাকর্ষণহীন
মিলন,পুনর্মিলন
"বায়ুমণ্ডলীয় ৰাডাৰ, আকাশী ৰাডাৰ","বায়ুবাহিত রাডার, বায়বীয় রাডার"
"আকাশী লক্ষ্য, আকাশী লক্ষ্য","বায়বীয় লক্ষ্য, বায়বীয় লক্ষ্য"
বায়ু শ্বাসযন্ত্ৰ,বায়ু শ্বাসযন্ত্র
এয়াৰ কণ্ডিচনাৰ,এয়ার কন্ডিশনিং
এয়াৰক্ৰু ট্ৰেন্সফৰ্মাৰ,এয়ারক্রু ট্রান্সফরমার
বিমান,বিমান
প্ৰান্তিককৰণ,প্রান্তিককরণ
প্ৰান্তিককৰণৰ ভুল,প্রান্তিককরণ ত্রুটি
লাইভ চাৰ্কিট,লাইভ সার্কিট
সম্পূৰ্ণ কাঁচৰ নলী,সম্পূর্ণ কাচের টিউব
গোটেই ধাতুৰ নলী,পুরো ধাতব টিউব
ঠিক কৰা,ঠিক করতে
"মিশ্ৰতু (সম্পা.), মিশ্ৰত্বন (ক্ৰ.)","মিসরাতু (সম্পাদনা), মিশ্রাতভান (ক্রি.)"
মিশ্ৰত্ৱন,mishratvan
সৰ্বব্যাপী মাধ্যম,সর্বব্যাপী মাধ্যম
omni এন্টেনা,ওমনি অ্যান্টেনা
আলমানাক,পঞ্জিকা
আলফা,আলফা
আলফা-কাৰ্য্যকলাপ,আলফা-ক্রিয়াকলাপ
আলফানিউমেৰিক,আলফানিউমেরিক
আলফা ৰশ্মি,আলফা রশ্মি
সলা,পরিবর্তন
"বিকল্প, বিকল্প","বিকল্প, বিকল্প"
অলটাৰেটৰ,বিকল্প
উচ্চতামাপক,altimeter
উচ্চতামাপক,altimeter
উচ্চতা মাপকাঠী,অলটাইমেট্রি
"উচ্চতা, উচ্চতা, উচ্চতা, উচ্চতা","উচ্চতা, উচ্চতা, উচ্চতা, উচ্চতা"
গাণিতিক যুক্তি একক (ALU),অ্যারিথমেটিক রিজনিং ইউনিট (ALU)
amaget নিয়ম,amaget নিয়ম
পৰিৱেশ,পরিবেশ
amicron,অ্যামিক্রন
এমিটাৰ,অ্যামিটার
এম্পিয়াৰ,অ্যাম্পিয়ার
এম্পিয়াৰ-আইন,অ্যাম্পিয়ার-ল
উভচৰ আয়ন,উভচর আয়ন
এম্প্লিফিকেশন,পরিবর্ধন
এম্প্লিফায়াৰ,পরিবর্ধক
"কোণ, মাত্ৰা","কোণ, মাত্রা"
ক. এম ইউ. (পাৰমাণৱিক ভৰ একক),ক এম.উ. (পারমাণবিক ভর একক)
উপযুক্ত,উপযুক্ত
উপমা,সাদৃশ্য
বিশ্লেষক,বিশ্লেষক
বিশ্লেষণ,বিশ্লেষণ
বিশ্লেষণাত্মক,বিশ্লেষণাত্মক
নন-পইন্ট,অ-বিন্দু
অস্বাভাৱিক,অস্বাভাবিক
আৰু দুৱাৰ,এবং দরজা
অ-ধ্বনিযুক্ত,অ শাব্দিক
বিষম স্থিতিস্থাপকতা,অস্বাভাবিক স্থিতিস্থাপকতা
জলহীন,নির্জল
কোণ,কোণ
angstrom একক,অ্যাংস্ট্রম ইউনিট
কৌণিক,কৌণিক
প্ৰট্ৰেক্টৰ vernier,প্রটেক্টর ভার্নিয়ার
বিতৰ্কহীন,বিতর্কিত
অসন্মানজনক,অসম্মান
ৰঙীন চুম্বকীয়কৰণ,অ্যাক্রোম্যাটিক চুম্বকীয়করণ
শিথিলতা,শিথিল
এনিয়ন,anion
অসমতাপূৰ্ণ,অপ্রতিসম
সমতলীয়,আইসোট্রপিক
সমচক্ৰীয়তা,আইসোট্রপিজম
মচি পেলোৱা,মুছে ফেলা
ষড়যন্ত্ৰকাৰী,বর্ণনাকারী
এনোড,অ্যানোড
এনোডাইজেচন,anodization
অসামঞ্জস্যপূৰ্ণ,অসামঞ্জস্যপূর্ণ
অপটিকেল চিষ্টেম,অপটিক্যাল সিস্টেম
এন্টেনা,অ্যান্টেনা
এন্টিবেৰিয়ান,antiberion
এন্টি-বণ্ডিং বৈশিষ্ট্য,বিরোধী বন্ধন সম্পত্তি
কাউণ্টাৰ বণ্ড,পাল্টা বন্ড
ৰিভাৰ্ছ পাৱাৰ,বিপরীত শক্তি
ডাইমেগনেটিক,ডায়ম্যাগনেটিক
ডাইমেগনেটিক পদাৰ্থ,ডায়ম্যাগনেটিক উপাদান
এন্টি-ইনফ্লেমেটৰী,প্রদাহ বিরোধী
এন্টিগ্ৰেভিটি,বিরোধী মাধ্যাকর্ষণ
এন্টিলামডা কণা,antilamda কণা
এলিলেপ্টন,এলিলেপ্টন
ডাইমেগনেটিক,ডায়ম্যাগনেটিক
এন্টিমেটাৰ,প্রতিপদার্থ
এন্টি মিছাইল,ক্ষেপণাস্ত্র বিরোধী
এন্টিনিউট্ৰন,অ্যান্টিনিউট্রন
স্পন্দনশীল,স্পন্দনশীল
এন্টিনিউক্লিয়ন,অ্যান্টিনিউক্লিয়ন
এন্টিপাৰটিকেল,প্রতিকণা
এন্টিপ্ৰ&#39;টন,অ্যান্টিপ্রোটন
এন্টিৰিফ্লেক্টিভ,প্রতিফলক
এন্টিসিমেট্ৰিক,প্রতিসম
non recurring,অ পুনরাবৃত্ত
এনাক্ৰ&#39;নিজম,anachronism
ছিদ্ৰযুক্ত স্কেনিং ডিস্ক,ছিদ্রযুক্ত স্ক্যানিং ডিস্ক
দ্বাৰক,দ্বারক
"ওপৰ, ওপৰ, সন্মুখ","শীর্ষ, শীর্ষ, সামনে"
"সূৰ্য্য উচ্চ, উচ্চ সূৰ্য্য","সূর্য উচ্চ, সূর্য উচ্চ, অপ্সর"
উদাসীন জৰী,উদাসীন লেইস
অকৰুণ,অ করুণ
অ-অক্ষমতা,অ-অক্ষমতা
অতি ৰংহীন,খুব অ্যাক্রোমেটিক
"ভূমি-উচ্চ, apogee","land-high, apogee"
"অমেৰু, বৃত্তাকাৰ","nonpolar, circumpolar"
পেৰাপোলাৰিটি,parapolarity
সঁজুলি,যন্ত্র
"ভাৰ্চুৱেল, দৃশ্যমান","ভার্চুয়াল, ভিজ্যুয়াল"
দৃশ্যমান সূৰ্য্য,দৃশ্যমান সূর্য
দৃশ্যমান সময়,চাক্ষুষ সময়
উদীয়মান ৰূপ,উদ্ভূত চেহারা
দৰ্খাস্ত,আবেদন
প্ৰযোজ্যতা,প্রযোজ্যতা
প্ৰয়োগ কৰা হৈছে,প্রয়োগ করা
পৰ্যবেক্ষণযোগ্য,পর্যবেক্ষণযোগ্য
পদ্ধতি,পন্থা
"ওচৰত, প্ৰায়","কাছাকাছি, প্রায়"
আনুমানিককৰণ,অনুমান
বাষ্পৰ চাপ,বাষ্পের চাপ
স্বেচ্ছামূলক,স্বেচ্ছায়
"চাপ চুলা, চাপ চুলা","চাপ চুল্লি, চাপ চুল্লি"
আৰ্কিমিডিছৰ নিয়ম,আর্কিমিডিসের আইন
স্থাপত্যৰ ধ্বনিবিজ্ঞান,স্থাপত্য শাব্দবিদ্যা
চাপ লেম্প,চাপ বাতি
চাপ-বৰ্ণালী,আর্ক-স্পেকট্রাম
"এলেকা, এলেকা","এলাকা, এলাকা"
"আঞ্চলিক, আঞ্চলিক","আঞ্চলিক, আঞ্চলিক"
"বাহু, বাহু, শাখা","হাত, বাহু, শাখা"
অপেশাদার,অপেশাদার
"এৰে, এৰে","অ্যারে, অ্যারে"
ৰিচিভাৰ,রিসিভার
উচ্চাৰণৰ স্পষ্টতা,উচ্চারণ স্বচ্ছতা
কৃত্ৰিম,সিন্থেটিক
কৃত্ৰিম ৰূপান্তৰ,কৃত্রিম রূপান্তর
আৰোহী,আরোহী
আৰোহণ,আরোহণ
বগাই যোৱা,আরোহণ
আগোলি,আগলি
একত্ৰীকৰণ,সমষ্টি
set of,এর সেট
"একত্ৰিত কৰা, একত্ৰিত কৰা","সমাবেশ, সমাবেশ"
"একত্ৰিত কৰা, একত্ৰিত কৰা, একত্ৰিত কৰা","একত্রিত করা, একত্রিত করা, একত্রিত করা"
নিখুঁত অনুমান,নির্ভুল অনুমান
নিৰ্দিষ্ট (কোৱাণ্টাম সংখ্যাৰ) ধাৰ্য্যকৰণসমূহ,নির্দিষ্ট (কোয়ান্টাম সংখ্যার) স্পেসিফিকেশন
"সম্পৰ্কীয়, সংযুক্ত, সংযুক্ত","সম্পর্কিত, সহযোগী, সংঘবদ্ধ"
স্বৰধ্বনি,স্বরধ্বনি
স্বয়ংক্ৰিয় মাল্টিভাইব্ৰেটৰ,স্বয়ংক্রিয় মাল্টিভাইব্রেটর
এষ্টেনিক,অ্যাস্থেনিক
"বিৰতি, দৃষ্টিশক্তি","পরিহার, দৃষ্টিভঙ্গি"
মহাকাশ ভ্ৰমণ ইলেক্ট্ৰনিকছ,মহাকাশ ভ্রমণ ইলেকট্রনিক্স
জ্যোতিৰ্পদাৰ্থ বিজ্ঞান,জ্যোতির্পদার্থবিদ্যা
মহাকাশচাৰী,মহাকাশচারী
জ্যোতিৰ্বিজ্ঞানী,জ্যোতির্বিজ্ঞানী
আকাশী,স্বর্গীয়
জ্যোতিৰ্বিজ্ঞান,জ্যোতির্বিদ্যা
জ্যোতিৰ্পদাৰ্থ বিজ্ঞান,জ্যোতির্পদার্থবিদ্যা
অসমতাপূৰ্ণ,অপ্রতিসম
এছিম্পটটিক,অ্যাসিম্পোটিক
গুৰুতৰ কৰি তোলা,উত্তেজক
এচিনক্ৰ&#39;নাছ,অ্যাসিঙ্ক্রোনাস
"বায়ুমণ্ডল, বায়ুমণ্ডল","বায়ুমণ্ডল, বায়ুমণ্ডল"
বায়ুমণ্ডলীয়,বায়ুমণ্ডলীয়
বতাহৰ অস্থিৰতা,বায়ু অশান্তি
পাৰমাণৱিক,পারমাণবিক
পাৰমাণৱিক,পারমাণবিক
পাৰমাণৱিকতা,পারমাণবিকতা
পাৰমাণৱিক ভৰ,পারমাণবিক ভর
পাৰমাণৱিক সংখ্যা,পারমাণবিক সংখ্যা
"নিউক্লিয়াৰ ৰিয়েক্টৰ, নিউক্লিয়াৰ পাইল","পারমাণবিক চুল্লি, পারমাণবিক গাদা"
পাৰমাণৱিক,পারমাণবিক
কণা,কণা
কণা,কণা
"attenuation, ক্ষীণকৰণ",ক্ষয়
"attenuating, ক্ষীণ কৰা","attenuating, attenuating"
আকৰ্ষণ,কবজ
আকৰ্ষণৰ বল,আকর্ষণ শক্তি
শ্ৰৱণ ক্ষমতা,শ্রবণযোগ্যতা
অডিঅ&#39; ফ্ৰিকুৱেন্সি এম্প্লিফায়াৰ,অডিও ফ্রিকোয়েন্সি পরিবর্ধক
শ্ৰৱণযোগ্য,শ্রবণযোগ্য
অডিঅ&#39; জেনেৰেটৰ,অডিও জেনারেটর
শ্ৰৱণ ক্ষমতা গ্ৰাফ,শ্রবণযোগ্যতা গ্রাফ
শ্ৰৱণ বিজ্ঞান,শ্রবণ বিজ্ঞান
অডিঅ&#39;মিটাৰ,অডিওমিটার
শ্ৰৱণযোগ্য কম্পাঙ্ক দোলক,শ্রবণযোগ্য ফ্রিকোয়েন্সি অসিলেটর
শব্দ সংকেত,শব্দ সংকেত
দৃশ্য-শ্ৰাব্য,অডিও-ভিজ্যুয়াল
"অডিটৰিয়াম, অডিটৰিয়াম","অডিটোরিয়াম, অডিটোরিয়াম"
OZ প্ৰভাৱ,ওজেড ইফেক্ট
প্ৰচাৰ,পদোন্নতি
এনহান্সাৰ,বর্ধক
মেৰু শিখা,মেরু শিখা
দক্ষিণ মেৰু শিখা,দক্ষিণ মেরু শিখা
উত্তৰ মেৰু শিখা,উত্তর মেরু শিখা
স্বয়ংক্ৰিয় সতৰ্কবাণী,স্বয়ংক্রিয় সতর্কতা
অটো সমান্তৰালকাৰী,স্বয়ংক্রিয় সমান্তরালকারী
"স্বয়ংক্ৰিয়, স্বয়ংক্ৰিয়, স্বয়ংক্ৰিয়","স্বয়ংক্রিয়, স্বয়ংক্রিয়, স্বয়ংক্রিয়"
"স্বয়ংক্ৰিয়কৰণ, স্বয়ংক্ৰিয়কৰণ","অটোমেশন, অটোমেশন"
"সহায়ক, সমবায়, অতিৰিক্ত","সহকারী, সমবায়, অতিরিক্ত"
"অৱদাভা, হিমস্খলন","অবদাভা, তুষারপাত"
"mean, mean","মানে, মানে"
পৰিৱৰণ,পরিবার
অক্ষীয়,অক্ষীয়
অক্ষ,অক্ষ
এজিমুথ,আজিমুথ
এজিমুথ,আজিমুথ
পিছলৈ,পেছনে
"পটভূমি, পটভূমি","পটভূমি, পটভূমি"
"পিছপৰা, পিছপৰা","পশ্চাৎপদ, পশ্চাৎপদ"
ঘুৰা,পরিবর্তন
বেক ভল্টেজ পালছাৰ,ব্যাক ভোল্টেজ পালসার
সম্পৰ্কৰ পিছৰ,সম্পর্ক পরবর্তী
ৰিইম্বৰ্চেমেণ্ট,প্রতিদান
এন্টি ভল্টেজ,বিরোধী ভোল্টেজ
পশ্চাৎ বিক্ষিপ্ততা,পোস্টেরিয়র স্ক্যাটারিং
অন্তৰ্স্থলীৰ তৰংগ,অন্তর্বর্তী তরঙ্গ
ইনচুলেটৰ,অন্তরক
পেৰাচুট জাম্প,প্যারাশুট জাম্প
উত্তাপন কৰা,গরম করার
"ভাৰসাম্য, ভাৰসাম্য, ভাৰসাম্য, ভাৰসাম্য, ভাৰসাম্য, ভাৰসাম্য","ভারসাম্য, ভারসাম্য, ভারসাম্য, ভারসাম্য, ভারসাম্য, ভারসাম্য, ভারসাম্য"
বেলেন্সাৰ,ব্যালেন্সার
ভাৰসাম্যতা বজাই ৰখা,ভারসাম্য
গ্ল&#39;বুল,গ্লাবুল
"বেলিষ্টিক, বেলিষ্টিক","ব্যালিস্টিক, ব্যালিস্টিক"
"প্ৰজেকচন গেলভেন’মিটাৰ, প্ৰজেকচন গেলভেন’মিটাৰ","প্রজেকশন গ্যালভানোমিটার, প্রজেকশন গ্যালভানোমিটার"
মিছাইল,মিসাইল
"বেলিষ্টিক, অস্ত্ৰ-শস্ত্ৰ","ব্যালিস্টিক, অস্ত্র"
প্ৰক্ষেপণ,অভিক্ষেপ
মুক্ত ট্ৰেজেক্টৰী,বিনামূল্যে পথচলা
"বেলুন, বেলুন","বেলুন, বেলুন"
বালমাৰ বিচ্ছিন্নতা,balmer discontinuity
"বেণ্ড, বেণ্ড, বেণ্ড","ব্যান্ড, ব্যান্ড, ব্যান্ড"
ফুটা,বিস্ফোরণ
"array, beam, তীৰ, পাৰ, উপকূল","অ্যারে, মরীচি, তীরে, ব্যাংক, উপকূল"
"স্তম্ভ, বাৰ, কব, ব্লক, বাৰ, ৰড, বাৰ, ৮.বেৰ, ৯. ৰেখা, ১০. প্ৰান্ত, ১ ব্লক, ১, বাৰ, ১, ৰেখা, ১, পৰীক্ষা ৰেখা","কলাম, বার, কোব, ব্লক, বার, রড, বার, 8. প্রাচীর, 9. লাইন, 10. প্রান্ত, 1 ব্লক, 1, বার, 1, লাইন, 1, পরীক্ষা লাইন"
bardeen নীতি,বারদিন নীতি
barkhausen প্ৰভাৱ,বারখাউসেন প্রভাব
barlow চক্ৰ,বারলো চক্র
বাৰ চুম্বক,বার চুম্বক
ভঁৰাল,শস্যাগার
বায়ুৰ চাপৰ গ্ৰাফ,বায়ু চাপ গ্রাফ
"বেৰ&#39;গ্ৰাফ, বেৰ&#39;গ্ৰাফ","barograph, barograph"
বেৰ&#39;মিটাৰ,ব্যারোমিটার
বায়ুমণ্ডলীয় চাপ,বায়ুমণ্ডলীয় চাপ
"ব্ৰহ্মাণ্ড, বেৰ&#39;স্ফিয়াৰ","cosmos, baromosphere"
পেণ্ডুলাম,পেন্ডুলাম
"বাধা, পাৰমাণৱিক বাধা, পাৰমাণৱিক বাধা","বাধা, পারমাণবিক, পারমাণবিক বাধা"
বাধাৰ স্তৰ,বাধা স্তর
barion,বেরিয়ন
গুৰুমণ্ডল,গুরুমন্ডল
বেচ বেণ্ড,বেস ব্যান্ড
"মৌলিক, মৌলিক, ক্ষাৰকীয়","মৌলিক, মৌলিক, ক্ষারীয়"
ভেঁটি,ভিত্তি
"গণনা, দল গঠন","গণনা, দল গঠন"
"cistern, cistern, হিটাৰ, গৰম কৰা পাত্ৰ, গা ধোৱা","কুন্ড, কুন্ড, হিটার, গরম করার পাত্র, স্নান"
বেটাৰি,ব্যাটারি
"এৰে খণ্ড, কক্ষ, উপসাগৰ","অ্যারে সেগমেন্ট, চেম্বার, উপসাগর"
প্ৰদৰ্শন,প্রদর্শনী
কিবান,কিবন
"মণিকা, বিড","মানিকা, বিড"
"ৰশ্মি, ৰশ্মি, ৰশ্মি, ট্রাম্প","মরীচি, মরীচি, মরীচি, ট্রাম্প"
"ডিকমন, ডিকন","ডিকম্যান, ডিকন"
"ডোলে, ভিস্পেণ্ড","dole, vispand"
becquerel প্ৰভাৱ,বেকারেল প্রভাব
ঘণ্টা জাৰ,বেল জার
bellows,বেল
ঘণ্টা ঘড়ী,বেল ঘড়ি
"বেদিকা, বেঞ্চ","বেদিকা, বেঞ্চ"
"মোড, বাংক (সম্পা.), বেণ্ড (v.)","মোড, বাঙ্ক (সম্পাদনা), বাঁক (v.)"
বাংকন,ব্যাংকান
"bent, বেঁকা","bent, bent"
বাৰ্নৌলি-সমীকৰণ,বার্নোলি-সমীকরণ
ভিত্তি-ফলন,বেসাল-ফাংশন
শ্ৰেষ্ঠ আঠাযুক্ততা,সেরা আনুগত্য
বিটা (খ),বিটা (খ)
betatron,betatron
bethe মডেল,মডেল
বিভাট্ৰন,বিভাট্রন
BH বক্ৰ,বিএইচ বক্ররেখা
দ্বিকোণীয়া,দ্বিভুজাকার
"bias, পক্ষপাতিত্ব","পক্ষপাত, পক্ষপাত"
দ্বি-অক্ষীয়,দ্বি-অক্ষীয়
বাইক্ৰ&#39;মেট কোষ,বিক্রোমেট কোষ
অভ্যাৱতল,অভিবতাল
ডাবল এন্টেনা,ডবল অ্যান্টেনা
দ্বি উত্তল,দ্বিকনভেক্স
"দ্বি-স্ফটিক, দ্বৈত-স্ফটিক","দ্বি-স্ফটিক, দ্বৈত-স্ফটিক"
দ্বিমুখী মাইক্ৰ&#39;ফোন,দ্বিমুখী মাইক্রোফোন
দ্বিপদ আৰ্হি,দ্বিপদী মডেল
ডাইঅ&#39;ইচিয়াছ,ডিপ্লয়েড
দ্বিপাক্ষিক,দ্বিপাক্ষিক
দ্বিৰেখা,দ্বিরেখার
দ্বি আণৱিক,বাইমোলিকুলার
"দ্বি-চলক, দ্বি-ভিত্তিক, দ্বৈত","দ্বি-পরিবর্তনশীল, দ্বি-বেস, দ্বৈত"
"বাইনাৰী ক&#39;ড, বাইনাৰী ক&#39;ড","বাইনারি কোড, বাইনারি কোড"
গেম ষ্টাৰ,খেলা তারকা
বাইনাৰী পদ্ধতি,বাইনারি পদ্ধতি
biparietal,দ্বিপার্শ্ব
বান্ধোন,বন্ধন
"বাইনোকুলাৰ, বাইনোকুলাৰ","বাইনোকুলার, বাইনোকুলার"
বাইনাৰী,বাইনারি
দ্বিপদ বিতৰণ,দ্বিপদ ডিস্ট্রিবিউশন
"দ্বিকেন্দ্ৰীয়, দ্বিকেন্দ্ৰীয়, দ্বি-নিউক্লিয়েট","দ্বিকেন্দ্রিক, দ্বিকেন্দ্রিক, দ্বিমুখী"
জৈৱগতিবিদ্যা,বায়োডাইনামিকস
বায়&#39; ইলেক্ট্ৰনিক্স,জৈব ইলেকট্রনিক্স
জৈৱপদাৰ্থবিজ্ঞানী,জীবপদার্থবিদ
জৈৱপদাৰ্থ বিজ্ঞান,জীবপদার্থবিদ্যা
জৈৱিক উপগ্ৰহ,জৈবিক উপগ্রহ
"চিনেমাটোগ্ৰাফাৰ, বায়স্কোপ","সিনেমাটোগ্রাফার, বায়োস্কোপ"
বায়&#39;-ছাভাৰ্ট নিয়ম,বায়ো-সাভার্ট নিয়ম
দ্বিফেজিক কাৰেণ্ট,biphasic বর্তমান
ডাইপোল,ডাইপোল
"বাইপ্ৰিজম, বাইপ্ৰিজম","biprism, biprism"
"বাইকোৱাৰ্টছ, বাইকোৱাৰ্ট","biquartz, biquartz"
দ্বিপৰ্যায়ৰ আখৰ,biphasic চরিত্র
দুটা পৰ্যায়ৰ মাল্টিভাইব্ৰেটৰ,দুই-পর্যায়ের মাল্টিভাইব্রেটর
"ড্ৱায়াংক* (বাইনাৰী সংখ্যা), বাৰ্মিজ, অনি, টুক","দ্বোয়াঙ্ক* (বাইনারী সংখ্যা), বার্মিজ, আনি, টুক"
"ক&#39;লা, কৃষ্ণ","কালো, কৃষ্ণ"
ক&#39;লা শৰীৰ,কালো শরীর
অদৃশ্য পোহৰ,অদৃশ্য আলো
timirayan ৰেডিঅ&#39; timirayan,timirayan রেডিও timirayan
ইজেকচন পালছ,ইজেকশন পালস
end bias,পক্ষপাত শেষ
ক&#39;লা বিকিৰণ,কালো বিকিরণ
"অসম্পূৰ্ণ, খালী","অসম্পূর্ণ, ফাঁকা"
আৱৰণ,আবরণ
বাতিল কৰা,বাতিল
"বিস্ফোৰণ, বিস্ফোৰণ, ধুমুহা","বিস্ফোরণ, বিস্ফোরণ, দমকা"
"সবিকা, ব্লিডাৰ, সবি","savika, bleeder, savi"
"ছদ্মবেশত, অন্ধ","ছদ্মবেশী, অন্ধ"
ব্লকৰ উপপাদ্য,ব্লোচের উপপাদ্য
"ব্লক, ব্লক, ব্লক","ব্লক, ব্লক, ব্লক"
"blow, blow, আঘাত কৰা","ঘা, ঘা, ঘা"
নীলা প্ৰিন্ট,নীল প্রিন্ট
অস্পষ্টতা বৃত্ত,অস্পষ্টতা বৃত্ত
তৰংগ,অস্পষ্ট
"বল, গোলক, লকেট","বল, গোলক, দুল"
"শৰীৰ, বস্তু","শরীর, বস্তু"
