Kannada,Gujarati
ಜೊತೆಗಾರ,સંલગ્ન
ಸ ೦ ಗೀತ,સંલગ્ન
ಪ್ರೇಕ್ಷಕ,અનુસાર
ಹಾಗೆಯೇ,તદનુસાર
ಖಾತೆ,હિસાબ
ಹೊಣೆಗಾರಿಕೆ,જવાબદારી
ಹೊಣೆಗಾರ,જવાબદાર
ಹೊಣೆ,હિસાબની સંખ્યા
ಲೆಕ್ಕಪರಿಶೋಧಕ,હિસાબ રાખનાર
ಇದಕ್ಕೆ ಖಾತೆ,માટે એકાઉન્ટ
ಖಾತೆ,હિસાબનું માથું
ಸಂಚಿತ ಲಾಭ,ઉપાર્જિત લાભ
ಸಂಚಿತ ಪಿಂಚಣಿ,ઉપાર્જિત પેન્શન
ಸಂಗ್ರಹಣೆ,સંચય
ನಿಖರತೆ,ચોકસાઈ
ನಿಖರವಾದ,ચોક્કસ
ಆರೋಪಿಸು,આક્ષેપ કરવો
ಆರೋಪಿ,આરોપી
ಸಾಧನೆ,સિદ્ધિ
ಸ್ವೀಕೃತಿ,સ્વીકૃતિ
ಸ್ವೀಕೃತಿ ಕಾರಣ,સ્વીકૃતિ
ಪರಿಚಯ,પરિચય
ಸ್ವಾಧೀನಪಡಿಸಿಕೊಳ್ಳುವುದು,સંપાદન
ಸ್ವಾಧೀನಪಡಿಸಿಕೊಳ್ಳುವುದು,મુક્તિ
ಕಯ,કૃત્ય
ನಟನಾ ಭತ್ಯೆ,કાર્યકારી ભથ્થું
ಕ್ರಿಯಾಶೀಲತೆ,ક્રિયા
ಕಾರ್ಯ ತಂತ್ರ,કાર્ય યોજના
ಸಕ್ರಿಯ,સક્રિય
ಸಕ್ರಿಯವಾಗಿ,સક્રિયપણે
ಕಾರ್ಯಕರ್ತ,સક્રિયકાર્ય
ಭಗವಂತನ ಆಟ,ભગવાનનો કૃત્ય
ದುಷ್ಕೃತ್ಯದ ಕ್ರಿಯೆ,ગેરવર્તન
ಆಯೋಗ ಮತ್ತು ಲೋಪದ ಕ್ರಿಯೆ,કમિશન અને કમિશન અને બાદબાકી
ನಿಜವಾದ,વાસ્તવિક
ವಾಸ್ತವಿಕ,વાસ્તવિક
ರೂಪಾಂತರ,અનુકૂલન
ಸೇರ್ಪಡೆ,વધારા
ಹೆಚ್ಚುವರಿ ಶುಲ್ಕ,વધારાનો ખર્ચ
ಹೆಚ್ಚುವರಿ ನಿಧಿ,વધારાના નિધિ
ಹೆಚ್ಚುವರಿ ಅನುದಾನ,વધારાની અનુદાન
ಹೆಚ್ಚುವರಿ ಮಾಹಿತಿ,વધારાની માહિતી
ಹೆಚ್ಚುವರಿ ವೇತನ,વધારાનો પગાર
ಸೇರ್ಪಡೆ ಮತ್ತು ಬದಲಾವಣೆ,ઉમેરો અને ફેરફાર
ಭಾಷಣ,સંબોધન
ವಿಳಾಸದಾರ,સંબોધન કરનાર
ಸ್ವಾಗತದ ವಿಳಾಸ,સ્વાગતનું સરનામું
ಸಮರ್ಪಕ,પૂરતું
ಅಂಟಿಕೊಳ್ಳಿ,ને અનુરૂપ બનાવવું
ತಾತ್ಕಾಲಿಕ,તદર્થ
ತಾತ್ಕಾಲಿಕ ಹಕ್ಕು,તદર્થપત્ર
ತಾತ್ಕಾಲಿಕ ಸಮಿತಿ,તદર્થ સમિતિ
ತಾತ್ಕಾಲಿಕ ಹೆಚ್ಚಳ,તદર્થ વધારો
ತಾತ್ಕಾಲಿಕ ಪಾವತಿ,તદ્દન ચુકવણી
ಪಕ್ಕದ,અડીને
ಪಕ್ಕದ (= ಸಮೀಪ),અડીને (= સુસંગત)
ಮುಂದೂಡಿಕೆ,મોકૂફી
ಮುಂದೂಡುವ ಚಲನೆ,મોકૂફીની દરખાસ્ત
ತೀರ್ಪು,ન્યાયનિર્ણય કરવો
ತೀರ್ಮಾನಿಸು,ન્યાયનિર્ણય કરવો
ಯಜಮಾನ,ન્યાયનિર્ણય
ತೀರ್ಪುಗಾರ,ન્યાયનિધીકરણ કરનાર
ಹೊಂದಾಣಿಕೆ,સમાયોજન
ನಿರ್ವಹಿಸು,સંચાલન કરવું
ಪ್ರಮಾಣವಚನ ಸ್ವೀಕರಿಸಿ,સોગંદ કરવો
ಆಡಳಿತ,વહીવટ
ನ್ಯಾಯದ ಆಡಳಿತ,ન્યાય પ્રણાલી
ಆಡಳಿತಕಾರಿಯಾದ,વહીવટી
ಆಡಳಿತಾಧಿಕಾರಿ ಕ್ರಿಯೆ,વહીવટી પગલાં
ಆಡಳಿತಾಧಿಕಾರಿ ಮೌಲ್ಯಮಾಪನ,વહીવટી મૂલ્યાંકન
ಆಡಳಿತಾಧಿಕಾರಿ ಅನುಮೋದನೆ,વહીવટી મંજૂરી
ಆಡಳಿತ ಪ್ರಾಧಿಕಾರದ,વહીવટી સત્તા
ಆಡಳಿತ ನಿಯಂತ್ರಣ,વહીવટી નિયંત્રણ
ಆಡಳಿತಾತ್ಮಕ ನಿರ್ಧಾರ,વહીવટી નિર્ણય
ಆಡಳಿತ ಇಲಾಖೆ,વહીવટી વિભાગ
ಆಡಳಿತಾಧಿಕಾರಿ,વહીવટી વડા
ಆಡಳಿತ ಕೇಂದ್ರ ಕಚೇರಿ,વહીવટી મથક
ಆಡಳಿತಾತ್ಮಕ ಕ್ರಮಗಳು,વહીવટી પગલાં
ಆಡಳಿತ ಅಧಿಕಾರ,વહીવટી સત્તા
ಆಡಳಿತಾಧಿಕಾರಿ ಅನುಮೋದನೆ,વહીવટી મંજૂરી
ಆಡಳಿತ ತಂತ್ರ,વહીવટી તકનીક
ಆಡಳಿತ ನ್ಯಾಯಸಮ್ಮತ,વહીવટી પંચ
ಪ್ರವೇಶಸಾಧ್ಯತೆ,સ્વીકાર્યતા
ಸ್ವೀಕಾರಾರ್ಹ ಖರ್ಚು,સ્વીકાર્ય ખર્ચ
ಒಪ್ಪಿಸು,કબૂલવું
ಪ್ರವೇಶ ಕಾರ್ಡ್,પ્રવેશ કાર્ડ
ಒಪ್ಪಿಕೊಂಡ,સ્વીકૃત
ಕವಲೊಡೆಯು,સલાહ આપવી
ಅಳವಡಿಕೆದಾರ,દત્તક
ರೋಗಿ,અપનાવનાર
ದತ್ತು,દત્તક
ವಯಸ್ಕ,પુખ્ત
ವ್ಯಭಿಚಾರ,ભેગ
ವ್ಯಭಿಚಾರ,વ્યભિચાર
ವಯಸ್ಕರ ಫ್ರ್ಯಾಂಚೈಸ್,પુખ્ત મતાધિકાર
ಜಾಹೀರಾತು ಶೌರ್ಯ ಕರ್ತವ್ಯ,બહાનું
ಮುನ್ನಡೆ,આગળ વધવું
ಮುಂಗಡ ಬುಕಿಂಗ್,અગ્રિમ બુકિંગ
ಮುನ್ನಡೆ,અગ્રિમ પ્રત
ಮುಂಗಡ ಹೆಚ್ಚಳ,અગ્રિમ ઈજા
ಮುಂಗಡ ಪಾವತಿ,અગાઉથી ચુકવણી
ಪ್ರತಿಕೂಲ ಪ್ರವೇಶ,પ્રતિકૂળ નોંધ
ಪ್ರತಿಕೂಲ ಟೀಕೆಗಳು,પ્રતિકૂળ નોંધ
ಪ್ರತಿಕೂಲ ವರದಿ,પ્રતિકૂળ અહેવાલ
ಆಯ್ಕೆ,જાહેરખબર
ಸಲಹೆ,સલાહ
ಪಾವತಿಯ ಸಲಹೆ,ચુકવણી
ಸಲಹಾ ಸಮಿತಿ,સલાહકાર સમિતિ
ಸಲಹಾ ಮಂಡಳಿ,સલાહકાર પરિષદ
ಪ್ರತಿಪಾದಿಸು,હિમાયતી
ವ್ಯವಹಾರ,બાબતો
ಅಫಿಡವಿಟ್,સોગંદનામું
ಉಪಶಮನ,જોડાણ
ದೃ ir ೀಕರಣ,સમર્થન
ದೃ irf ೀಕರಣದ,ખાતરીપૂર્વક
ಆತುರಿಸು,પરવડી
ಈನಟ,ઉપરોક્ત
ಹೊಸದಾಗಿ,ફરી
ವಿರುದ್ಧವಾಗಿ,વિરુદ્ધ
ವಯಸ್ಸು,ઉંમર
ವಯಸ್ಸಾದ ಪ್ರಮಾಣಪತ್ರ,વય પ્રમાણપત્ર
ಮತದಾರರ ವಯಸ್ಸು,મતાધિકાર માટે વય
ವಯಸ್ಸಿಗೆ,વય -મર્યાદા
ವಾಗ್ದಾನ,સંસ્થા
ಕಾಗಾರ,કાર્યસૂચિ
ನಿವೃತ್ತಿಯ ವಯಸ್ಸು,નિવૃત્તિની ઉંમર
ಮೇಲ್ವಿಚಾರಣೆಯ ವಯಸ್ಸು,નિવૃત્તિની ઉંમર
ಒಟ್ಟುಗೂಡಿಸುವಿಕೆ,એકંદર
ದುಃಖಿಸಿದ,નારાજ
ಆಂದೋಲನ,આંદોલન
ಅವಾತ,અકસ્માત
ಒಪ್ಪಂದ,સહમત
ಒಪ್ಪಂದದ ರೂಪ,સહમત ફોર્મ
ಕೃಷಿ,કૃષિ
ಕೃಷಿ ಉದ್ಯಮ,કૃષિ ઉદ્યોગ
ನೆರವು,સહાય
ಎಚ್ಚರಿಕೆ,ભય
ಜಾಗರೂಕತೆ,જાગરૂકતા
ಅಲಿಯಾಸ್,ઉર્ફે
ಆರೋಪಣೆ,આરોપ
ನಿಷ್ಠೆ,વાન
ಮೈತ್ರಿ,સુમેળ
ಮಿತ್ರ ಸೇವೆಗಳು,સંલગ્ન સેવાઓ
ಎಲ್ಲಾ ಅಂತರ್ಗತ ವೆಚ್ಚ,તમામ સમાવિષ્ટ ખર્ચ
ಅಖಿಲ ಭಾರತ ಸೇವೆಗಳು,અખરાબ સેવા
ಮನವಸಿಕೆ,ફાળવણી
ಹಂಚಿಕೆ,ફાળવણી
ಹಂಚಿಕೆ ಪತ್ರ,ફાળવણીનો પત્ર
ಹಂಚುವವ,ફાળવણી કરનાર
ಅನುಮತಿಸುವ,માન્ય
ಅನುಮತಿಸುವ ವೆಚ್ಚಗಳು,માન્ય -ખર્ચ
ಮನವಿಯನ್ನು ಅನುಮತಿಸಿ,અપીલ કરવાની મંજૂરી આપવી
ಭತ್ಯೆ,છૂટ
ಎಲ್ಲ ಹಕ್ಕುಗಳನ್ನು ಕಾಯ್ದಿರಿಸಲಾಗಿದೆ,બધા હકો અમારી પાસે રાખેલા છે
ವರ್ಣಮಾಲೆ,વર્ણાનુક્રમ
ವಾಗ್ವಾದ,બોલો
ಪರ್ಯಾಯ,વૈભવી
ಬದಲಕ,વૈકલ્પિક
ಸಂಯೋಗ,સંવાદ
ತಿದ್ದುಪಡಿ ಮಾಡಿದ ಕರಡು,સુધારેલો મુસદ્દો
ತಿದ್ದುಪಡಿ,સુધારો
ಸೌಕರ್ಯ,સુંદરતા
ಸೌಹಾರ್ದಯುತ,સુખદ
ಮದ್ದುಗುಂಡು,દારૂગોળો
ಸಾಲದ ಭೋಗ್ಯ,દેવું
ಮೊತ್ತ,રકમ
ಪಿಂಚಣಿ ಪ್ರಮಾಣ,પેન્શનની રકમ
ಸಾದೃಶ್ಯದ ಹುದ್ದೆ,એકસમાન સ્થાન
ವಿಶ್ಲೇಷಣೆ,વિશ્લેષણ
ವಿಶ್ಲೇಷಣಾತ್ಮಕ ಅಧ್ಯಯನ,વિશ્લેષણાત્મક
ಪೂರ್ವಜ,વડપણ
ಪೂರಕ ಉದ್ಯಮ,આનુષંગિક ઉદ્યોગ
ದ್ವೇಷ,શિષ્ટાચાર
ಅನುಬಂಧ,જોડાણ
ವಾರ್ಷಿಕೋತ್ಸವ,વર્ષગાંઠ
ಪ್ರಕಟಿಸುವುದು,જાહેરાત
ಕಿರಿಕಿರಿಯ,ત્રાસ
ವಾರ್ಷಿಕ ಹಣಕಾಸು ಹೇಳಿಕೆ,વાર્ષિક નિવેદન
ವಾರ್ಷಿಕ ವರದಿ,વાર્ષિક હિસાબ
ವರ್ಷಾಶನ,વાર્ષિકી
ಅನಾಮಿಕ,અનામી
ಅನಾಮಧೇಯ ದೂರು,નામંજૂર ફરિયાદ
ಉತ್ತರಾಧಿಕಾರಿಯಾಗದಿರುವಿಕೆ,જવાબદારપણું
ಉತ್ತರ ಪತ್ರಿಕೆ,ઉત્તરવહી
ವಿರೋಧಿ,વિરોધી
ಪೂರ್ವಸಿದ್ಧತೆಗಳು,પૂર્વવર્તીઓ
ನಿರೀಕ್ಷಿತ ಖರ್ಚು,અપેક્ષિત ખર્ચ
ನಿರೀಕ್ಷಿತ ಆದಾಯ,અપેક્ષિત આવક
ನಿರೀಕ್ಷಣೆ,અપેક્ષા
ನಿರೀಕ್ಷಿತ ಜಾಮೀನು,અપેક્ષિત જામીન
ಭ್ರಷ್ಟಾಚಾರ ವಿರೋಧಿ,ભ્રષ્ટાચાર માપદંડ
ಡಂಪಿಂಗ್ ವಿರೋಧಿ,પ્રતિષ્ઠાવાન
ಪ್ರಾಚೀನ,પ્રાચીન
ವರ್ಣಭೇದ,રંગભુળ
ನಿರಾಸಕ್ತಿ,દુ: ખ
ತುದಿ ದೇಹ,ટોચ
ಕ್ಷಮೆ,માફી
ಮನವಿಯನ್ನು,અપીલ
ಗೋಚರತೆ,દેખાવ
ಸಮಾಧಾನ,સંતાપવું
ಮೊದಲೇ ನ್ಯಾಯಮಂಡಣಿ,અપીલ પંચ
ಅನುಬಂಧ,પરિશિષ્ટ
ಉಪಕರಣ,ઉપકરણ
ಅನ್ವಯಿಸುವ,લાગુ પડે એવું
ಅರ್ಜಿದಾರ,અરજદાર
ಅನ್ವಯಿಸು,નિયમ
ಅರ್ಜಿ,અરજી પત્ર
ಅನ್ವಯಿಕ,લાગુ કરવું
ಅನ್ವಯಿಸು,અરજી કરવી
ನೇಮಕಾತಿ,નિમણૂક કરનાર
ಅಧಿಕಾರವನ್ನು ನೇಮಿಸುವುದು,નિયુક્ત સત્તા
ನೇಮಕ,નિમણૂક
ನೇಮಕಾತಿ ಪತ್ರ,નિમણૂક -પત્ર
ಕ್ಯಾಬಿನೆಟ್ನ ನೇಮಕಾತಿ ಸಮಿತಿ,નિમણૂક સમિતિ
ವೇತನದ ಹಂಚಿಕೆ,વેતનનું વિભાજન
ಮೌಲ್ಯಮಾಪಕ,મૂલ્યાંકન
ಮೌಲ್ಯಮಾಪಕ,મુલવણી કરનાર
ಮೆಚ್ಚುಗೆ,કદર
ಭಯ,આશંકા
ಅಪ್ರೆಂಟಿಸ್,ઉમેદવાર
ಸಮೀಪಿಸು,અભિગમ
ಸೂಕ್ತ,યોગ્ય
ಸೂಕ್ತ ಕ್ರಮ,યોગ્ય કાર્યવાહી
ಸೂಕ್ತ ತಲೆ,યોગ્ય
ಸ್ವಾಧೀನಪಡಿಸಿಕೊಳ್ಳುವುದು,વિનિયોગ
ಅನುಮೋದನೆ,મંજૂરી
ಅಂದಾಜು,આશરે
ಆಪ್ಟಿಟ್ಯೂಡ್ ಪರೀಕ್ಷೆ,અભિરુચિ કસોટી
ಅನಿಯಂತ್ರಿತ,મનસ્વી
ನಿಣಿಸು,મધ્યસ્થી
ಮಧ್ಯಸ್ಥಿಕೆ,લવાદી
ಮಧ್ಯಸ್ಥಿಕೆ ನ್ಯಾಯಮಂಡಳ,લવાદી પંચ
ಮಧ್ಯಸ್ಥ,લવાદી
ವಾಸ್ತುಶಿಲ್ಪಿ,સ્થાપત્ય
ಆರ್ಕೈವ್ಸ್,દફ્તર
ಪ್ರದೇಶ,વિસ્તાર
ಪ್ರದೇಶದ ಪ್ರದೇಶ,વિસ્તારનું મુખ્ય મથક
ವಾದ,દલીલ
ಹುಳು,ઊગવું
ಸಶಸ್ತ್ರ ಪಡೆ,સશસ્ત્ર દળો
ಜೋಡಣೆ,વ્યવસ્થા
ಬಾಕಿ,બાકી
ಬಾಕಿ ಹೇಳಿಕೆ,બાકી રાખનાર પત્રક
ಆಗಮನ ವರದಿ,આગોતડી અહેવાલ
ಅಸ್ತವ್ಯಸ್ತತೆ,ઘમંડ
ಸ ೦ ತಾನು,શસ્ત્રસાર
ಲೇಖನ,વસ્તુ
ಸಂಘದ ಲೇಖನಗಳು,મંડળ
ಲೇಖನಗಳು,લેખ
ಆರೋಹಣ,ચડતો હુકમ
ಒತ್ತಿಹೇಳಿಸು,ખાતરી કરવી
ಎಲ್ಲಿದೆ,જ્યાં છે ત્યાં છે
ಆಕಾರ,દૃષ્ટિ
ಆಪಾದನೆ,આછા
ಹತ್ಯೆ,હત્યા
ದಾಳಿ,હુમલો
ಜೋಡಿಸು,ભેગા
ಸಭೆ,વિધાનસભા
ಒಪ್ಪು,અનુમાન
ಪ್ರತಿಪಾದಿಸು,ભારપૂર્વક કહેવું
ಮೌಲ್ಯಮಾಪಕ,આકારણી કરનાર
ಮೌಲ್ಯಮಾಪನ,આકારણી
ಮೌಲ್ಯಮಾಪನ ವರ್ಷ,આકારણી વર્ષ
ಮೌಲ್ಯಮಾಪಕ,આકારણીકાર
ಸ್ವಸಮಾನಗಳು,અસ્ક્યામત
ನಿಯೋಗಿ,મુખત્ર
ನಿಯೋಜನೆ,સોંપણી
ನಿಯೋಜಕ,મુલકવનાર
ಸಹಾಯ,સહાય
ಜೊತೆಗಾರ,સાથી
ಸಂಘ,મંડળ
ಚಾರ್ಜ್ನ umption ಹೆ,હવાલો
ಭರವಸೆ,ખાતરી
ಅಶ್ಯೂರೆನ್ಸ್ ಕಂಪನಿ,ખાતરી કંપની
ಭರವಸೆ ಕೊಡು,ખાતરી આપવી
ರಿಯಾಯಿತಿಯಲ್ಲಿ,અપટ
ಪರಮಾಣು ಶಕ್ತಿ,અણુની શક્તિ
ಸಮನಾಗಿ,સમકક્ષ
ಪ್ರೀಮಿಯಂನಲ್ಲಿ,ઈમારત
ಲಗತ್ತಿಸು,સંલગ્ન કરવું
ಲಗತ್ತಿಸಲಾದ ಕಚೇರಿ,જોડાયેલ કચેરી
ಬಾಂಧಾಣ,જોડાણ
ಲಗತ್ತು ಆದೇಶ,જોડાણનો હુકમ
ಸಾಧನೆ,પ્રાપ્તિ
ಪ್ರಯತ್ನ,પ્રયત્ન
ಹಾಜರಾತಿ,ઉપસ્થિત
ಹಾಜರಾತಿ ನೋಂದಣಿ,ઉપસ્થિત રજિસ્ટર
ಹಾಜರಾತಿ ಸ್ಲಿಪ್,ઉપસ્થિત કાપલી
ಗಮನ,ધ્યાન
ದೃestೀಕರಣ,પ્રમાણન
ದೃ ested ೀಕರಿಸಿದ ಪ್ರತಿ,પ્રમાણિત પ્રત
ವರ್ತನೆ,વલણ
ಆಕರ್ಷಕ ಸಂಬಳ,આકર્ષક પગાર
ಹರಾಜು,હરાજી
ಹರಾಜುದಾರ,હરાજી કરવી
ಹರಾಜು ಮಾರಾಟ,હરાજીનું વેચાણ
ಪ್ರೇಕ್ಷಕರು,શ્રોતા
ಆಡಿಯೊ ದೃಶ್ಯ ಪ್ರದರ್ಶನ,દૃષ્ટિકોણ
ಆಡಿಯೋ ದೃಶ್ಯ ಪ್ರಚಾರ,વિઝ્યુઅલી પ્રચાર
ಲೆಕ್ಕಪರಿಶೋಧನೆ,હિસાબ -તપાસણી
ಲೆಕ್ಕಪರಿಶೋಧಿತ ಖಾತೆಗಳು,ઓડિટ કરેલ હિસાબ
ಲೆಕ್ಕಪರಿಶೋಧಿತ ಬ್ಯಾಲೆನ್ಸ್ ಶೀಟ್,Ited ડિટ કરેલી સર્ટિલશીટ
ಲೆಕ್ಕಾಚಾರ,Itingણ
ಲೆಕ್ಕಪರಿಶೋಧನೆ,હિસાબ -તપાસણીનો વાંધો
ಲೆಕ್ಕಪರಿಶೋಧಕರ ವರದಿ,Itor ડિટર અહેવાલ
ಸಭಾಪತಿ,સભાગૃહ
ಲೆಕ್ಕಪರಿಶೋಧನೆ,ઓડિટ ફકરા
ಲೆಕ್ಕಪರಿಶೋಧನೆ,હિસાબ -તપાસણી અહેવાલ
ಕಠಿಣತೆ,કઠોરતા
ಕಠಿಣತೆ ಕ್ರಮಗಳು,કઠોર પગલાં
ಅಧಿಕೃತ,અધિકૃત
ಅಧಿಕೃತ ಪ್ರತಿನಿಧಿ,અધિકૃત પ્રતિનિધિ
ಅಧಿಕೃತವಾದ,પ્રમાણભૂત
ಅಧಿಕಾರ,અધિકાર
ಅಧಿಕಾರ ಪತ್ರ,સત્તાધિકારનો પત્ર
ಅಧಿಕಾರಾವಧ,અધિકૃત
ಅಧಿಕೃತ ಬಂಡವಾಳ,અધિકૃત મૂડી
ಸ್ವಯಂಚಾಲಿತ,સ્વચાલિત
ಸ್ವಾಯತ್ತ,સ્વાયત્ત
ಸ್ವಾಯತ್ತ ದೇಹ,સ્વાયત્ત સંસ્થા
ಸ್ವಾಯತ್ತತೆ,સ્વાયત્તતા
ಸಹಾಯಕ,સહાયક
ಲಭ್ಯ,ઉપલબ્ધ
ಸರಾಸರಿ,સરેરાશ
ಸರಾಸರಿ ರಜೆ,સરેરાશ રજા
ನಿವಾರಣೆ,અણગમો
ತಪ್ಪಿಸು,અટકાવવું
ತಪ್ಪಿಸಲು,ટાળવું
ತೆರಿಗೆ ತಪ್ಪಿಸುವುದು,કર બંધ
ಕಾಯುತ್ತಿರುವ,રાહ જોવાયેલું
ಪ್ರಶಸ್ತಿ,પુરસ્કાર
ಪ್ರಶಸ್ತಿ ಪ್ರಾಧಿಕಾರ,પુરસ્કાર સત્તાધિકારી
ಅ ೦ ಗಿರುವಿಕೆ,જાગરૂકતા
ಹಿತ್ತಲಿನ,પીછેહઠ
ಹಿನ್ನೆಲೆ,પૃષ્ઠભૂમિ
ಹಿಂದಿನ ಲಾಗ್,પાછલી લોગ
ಹಿಂದೆ,પાછા બહાર
ಹಿಂದಿನ ಉಲ್ಲೇಖ,પાછલી વાત
ಬ್ಯಾಕ್ ಅಪ್,પીછેહઠ કરવી
ಹಿಂದುಳಿದ ತರಗತಿಗಳು,પછાત વર્ગ
ಹಿಂದುಳಿದ ಬುಡಕಟ್ಟು,પછાત આદિજાતિ
ಕೆಟ್ಟ ಚೌಕಾಶಿ,ખરાબ સોદો
ಕೆಟ್ಟ ನಡತೆ,ખરાબ વર્તન
ಕೆಟ್ಟ ಪಾತ್ರ,ખરાબ પાત્ર
ಕೆಟ್ಟ ಹವಾಮಾನ ಭತ್ಯೆ,ખરાબ આબોહવા ભથ્થું
ಕೆಟ್ಟ ನಡವಳಿಕೆ,ખરાબ વર્તન
ಕೆಟ್ಟ ಸಾಲ,ખરાબ દેવું
ಸಾಮಾನು ಸರಂಜಾಮು,સામાન
ಜಾಮೀನು,જામીન
ಸಮತೋಲನ,સમતોલ
ಸಮತೋಲನವನ್ನು ಉರುಳಿಸಿದೆ,સરખામણી નીચે લાવવામાં
ಸಮತೋಲನವನ್ನು ಮುಂದಕ್ಕೆ ತರಲಾಗಿದೆ,સંતુલન આગળ લાવવામાં
ಸಮತೋಲಿತ ಬಜೆಟ್,સમતોલ અંદાજપત્ર
ಸಮತೋಲನ,સરવૈયા
ಮತದಾನ,મતદાન
ಮತಪೆಟ್ಟಿಗೆ,મતપેટી
ಮತದಾನದ ಕಾಗದ,મતદાનનો કાગળ
ನಿಷೇಧಿಸು,પ્રતિબંધ
ಬ್ಯಾಂಕ್,બેંક
ಬ್ಯಾಂಕ್ ಖಾತೆ,બેંક એકાઉન્ટ
ಬ್ಯಾಂಕ್ ಬ್ಯಾಲೆನ್ಸ್,બેંક સિલક
ಬ್ಯಾಂಕ್ ಶುಲ್ಕಗಳು,બેંક ખર્ચ
ಬ್ಯಾಂಕ್ ಖಾತರಿ,બેંક ની ખાતરી
ಬ್ಯಾಂಕ್ ರಜೆ,બેંક રજા
ಬ್ಯಾಂಕಿಂಗ್ ಸೌಲಭ್ಯ,બેંકિંગ સુવિધા
ಬ್ಯಾಂಕಿಂಗ್ ಸಮಯ,બેંકિંગ કલાકો
ಬ್ಯಾಂಕಿಂಗ್ ವಹಿವಾಟು,બેંકિંગ લેવડદેવડ
ಬ್ಯಾಂಕ್ ಪ್ರಮಾಣ,બેંક દર
ಬ್ಯಾಂಕ್ ಸಮನ್ವಯ,બેંક સમાધાન
ದಿವಾಳಿಯಾದ,નાદાર
ಬ್ಯಾಂಕ್ ಭದ್ರತೆ,બેંક સુરક્ષા
ಬ್ಯಾಂಕ್ ಲೆಕ್ಕವಿವರಣೆ,બેંક સ્ટેટમેન્ટ
Banಟ,ભોજન સમારંભ
ಪಟ್ಟಿಗ ಮಂಡಳಿ,પટ્ટી પરિષદ
ಚೌಕಾಶಿ,સોદો
ಚೌಕಾಶಿ,સોદાબાજી
ಬಂಜರು ಭೂಮಿ,ઉજ્જડ જમીન
ಚೂರು,સાપ્તાહિક
ಬೇನೆ,પાયો
ಆಧಾರರಹಿತ,તબાને
ನೆಲಮಾಳಿಗೆ,આધાર
ಮೂಲ ವರ್ಷ,મુખ્ય વર્ષ
ಮೂಲಭೂತ,પાયાની
ಮೂಲವಾಗಿ,મૂળભૂત રીતે
ಮೂಲ ಬುದ್ಧಿ,મૂળ બાતમી
ಮೂಲಭೂತ ವೇತನ,મૂળ પગાર
