Marathi,Odiya
ध्वनिक ऊर्जा,ଆକାଶବାଣୀ ଶକ୍ତି |
ध्वनिक अभिप्राय,ଆକାଶବାଣୀ ମତାମତ |
ध्वनिक फिल्टर,ଆକାଶବାଣୀ ଫିଲ୍ଟର |
ध्वनीविषयक प्रतिबाधा,ଆକାଶବାଣୀ ପ୍ରତିରୋଧକ |
ध्वनीविषयक प्रसार स्थिर,ଆକାଶବାଣୀ ପ୍ରଚାର ସ୍ଥିର |
ध्वनिक प्रतिकार,ଆକାଶବାଣୀ ପ୍ରତିରୋଧ |
ध्वनिकरित्या इन्सुलेटेड,ଆକାଶ ଭାବରେ ଇନସୁଲେଡ୍ |
ध्वनिकी,ଆକାଶବାଣୀ |
संपादन,ଅଧିଗ୍ରହଣ
परिवर्णी शब्द,ଆକ୍ରୋନିମ୍ |
कृती क्षेत्र,କ୍ରିୟା କ୍ଷେତ୍ର
सक्रिय फिलामेंट,ସକ୍ରିୟ ଚିଲାମେଣ୍ଟ |
सक्रिय,ସକ୍ରିୟ
सक्रिय क्षेत्र,ସକ୍ରିୟ କ୍ଷେତ୍ର
सक्रिय विंडो,ସକ୍ରିୟ ୱିଣ୍ଡୋ |
अनुकूलता,ଅନୁକେତ
अ‍ॅडॉप्टर (अ‍ॅडॉप्टर),ଆଡାପ୍ଟର (ଆଡାପ୍ଟର)
अ‍ॅडॉप्टिव्ह डिफरेंशनल पल्स कोड मॉड्यूलेशन,ଆଡାପ୍ଟିଭ୍ ଡିଫେରିଏଲ୍ ପଲ୍ସ କୋଡ୍ ମୋଡୁଲେସନ୍ |
अॅड्रेस बुक,ଠିକଣା ବହି
अ‍ॅड्रेस बस,ଠିକଣା ବସ୍
पत्ता ठराव,ଠିକଣା ରେଜୋଲୁସନ
लगतच चॅनेल हस्तक्षेप,ସଂଲଗ୍ନ ଚ୍ୟାନେଲର ହସ୍ତକ୍ଷେପ |
लगतच चॅनेल निवड,ସଂଲଗ୍ନ ଚ୍ୟାନେଲ ଚୟନ
समीप वारंवारता,ସଂଲଗ୍ନ ଫ୍ରିକ୍ୱେନ୍ସି |
समीप फ्रिक्वेन्सी चॅनेल,ସଂଲଗ୍ନ ଫ୍ରିକ୍ୱେନ୍ସି ଚ୍ୟାନେଲ |
लगतचे चित्र वाहक,ସଂଲଗ୍ନ ଚିତ୍ର ବାହକ |
समीप ध्वनी वाहक,ସଂଲଗ୍ନ ସାଉଣ୍ଡ ବାହକ |
समीप स्टेशन,ସଂଲଗ୍ନ ଷ୍ଟେସନ |
समायोज्य,ନିୟନ୍ତ୍ରିତ
समायोज्य कंडेन्सर,ନିୟନ୍ତ୍ରିତ କଣ୍ଡେନ୍ସର୍ |
दबाव समायोजित करणे,ଚାପକୁ ସଜାଡିବା |
पाना समायोजित करणे,ରେଞ୍ଚ ଆଡଜଷ୍ଟ କରିବା |
समायोजन,ଆଡଜଷ୍ଟମେଣ୍ଟ୍
प्रशासक,ପ୍ରଶାସକ
आधुनिक तंत्रज्ञान,ଉନ୍ନତ ଟେକ୍ନୋଲୋଜି |
हवाई,ବାୟୁ
एरियल अ‍ॅरे,ଏରିଲ୍ ଆରେ |
एरियल बूस्टर,ଏରିଲ୍ ବୁଷ୍ଟର୍ |
एरियल करंट,ଏରିଲ୍ କରେଣ୍ଟ୍ |
एरियल अर्थिंग स्विच,ଏରିଲ୍ ମାଟିଙ୍ଗ୍ ସୁଇଚ୍ |
हवाई कार्यक्षमता,ଏରିଲ୍ ଦକ୍ଷତା |
हवाई प्रतिबाधा,ଏରିଲ୍ ଇନପେଟେନ୍ସ |
एरियल इंडक्टन्स,ଏରିଲ୍ ଇଣ୍ଡିକାନ୍ସ |
एरियल इन्सुलेटर,ଏରିଆଲ୍ ଇନସୁଲେଟର |
एरियल लोडिंग कॉइल,ଏରିଆଲ୍ ଲୋଡିଂ କୋଇଲ୍ |
एरियल फोटोग्राफी,ଏରିଲ୍ ଫଟୋଗ୍ରାଫି |
हवाई शक्ती,ଏରିଲ୍ ଶକ୍ତି |
एरियल रेडिएशन रीस्टन्स,ଏରିଆଲ୍ ବିକିରଣର ଲାଭ |
हवाई प्रतिक्रिया,ଏରିୟାଲ୍ ପ୍ରତିକ୍ରିୟା |
एरोडायनामिक्स,ଏରୋଡାଇନାମିକ୍ସ
एजन्सी,ସଂସ୍ଥା
एअर कॉम्प्रेसर,ବାୟୁ କମ୍ପ୍ରେସାକ୍ର
एअर कंडेन्सर,ବାୟୁ କଣ୍ଡନସର୍ |
वातानुकूलित,ବାୟୁ ଥଣ୍ଡା
एअर कोर्ड कॉइल,ବାୟୁ କୋଡ୍ କୋଇଲ୍ |
वातानुकुलीत,Accometication
अल्बेडो,ଆଲବେଡୋ |
अल्गोरिदम,ଆଲଗୋରିଦମ
अलियासिंग,ଛଦ୍ମନାମ
संरेखित,ମିଶ୍ରଣ
संरेखन,ପରିଚାଳିତ
सर्व वेव्ह एरियल,ସମସ୍ତ ତରଙ୍ଗ ବାୟୁ |
वाटप,ଆବଣ୍ଟନ
वर्णमाला,ବର୍ଣ୍ଣାନୁକ୍ରମିକ
अल्फान्यूमेरिक,ବର୍ଣ୍ଣମାଳା
अल्फान्यूमेरिक वर्ण,ବର୍ଣ୍ଣମାଳା ଚରିତ୍ର |
अल्फान्यूमेरिक माहिती,ବର୍ଣ୍ଣମାଳା ସୂଚନା
वैकल्पिक चालू (ए.सी.),ବିକଳ୍ପ ସାମ୍ପ୍ରତିକ (AC.)
वैकल्पिक,ବିକଳ୍ପ
अल्टरनेटर,Atternator
समुद्रसपाटीपासूनची उंची,ଉଚ୍ଚତା
अपोजीची उंची,ଆପୋଜି ର ଉଚ୍ଚତା |
पेरिगीची उंची,PERIGEE ର ଉଚ୍ଚତା |
हौशी रेडिओ संप्रेषण,ଆମୋଦିତ ରେଡିଓ ଯୋଗାଯୋଗ |
वातावरण,ଅଭିଳାଷୀ |
वातावरण मायक्रोफोन,ଆମ୍ବିଏନ୍ସ ମାଇକ୍ରୋଫୋନ୍ |
वातावरणीय स्थिती,ପରିବେଶ ସର୍ତ୍ତ
वातावरणीय प्रकाश,ପରିବେଶ ଆଲୋକ |
सभोवतालचा आवाज,ଆମ୍ବିକ୍ ଶବ୍ଦ
वातावरणीय तापमान,ପରିବେଶ ତାପମାତ୍ରା |
अमेरिकन मानक कोड,ଆମେରିକୀୟ ମାନକ କୋଡ୍ |
अँपियर,ଆମ୍ପେର୍
अ‍ॅम्पेअर मीटर,ଆମ୍ପେର୍ ମିଟର |
प्रवर्धन,ବୃଦ୍ଧି
प्रवर्धन घटक,Amplfication ଫ୍ୟାକ୍ଟର୍ |
एम्पलीफायर,ଏମ୍ପ୍ଲିଫାୟର୍
एम्पलीफायर गेन,ଏମ୍ପ୍ଲିଫାୟର୍ ଲାଭ |
एम्पलीफायर आवाज,ଏମ୍ପ୍ଲିଫାୟର୍ ଶବ୍ଦ |
एम्प्लिफाइंग उपकरणे,ଯନ୍ତ୍ରପାତି ଯନ୍ତ୍ରପାତି |
क्लीस्ट्रॉनचे विस्तार,କାଲିଷ୍ଟ୍ରନ୍
एम्प्लिफाइंग युनिट,Amplifying ୟୁନିଟ୍ |
मोठेपणा,ପ୍ରଶସ୍ତତା
मोठेपणा विकृती,ପ୍ରସଙ୍ଗଯୁକ୍ତ ବିକୃତି |
मोठेपणा सहन,ପ୍ରୟୋଗ ହୋଇଥିବା ଭ୍ରମଣ |
मोठेपणा घटक,ପ୍ରଶସ୍ତତା ଫ୍ୟାକ୍ଟର୍ |
मोठेपणा मर्यादा,ପ୍ରଶସ୍ତତା ସୀମା
मोठेपणा मॉड्यूलेटेड,ପ୍ରୟୋଗ ମୋଡ୍ୟୁଲେଟ୍ |
मोठेपणा मॉड्यूलेशन,ପ୍ରଶସ୍ତତା ମୋଡ୍ୟୁଲେସନ୍ |
एनालॉग (अ‍ॅनालॉग),ଆନାଗଲ୍ (ଆନାଗଲ୍)
एनालॉग सर्किट,ଆନାଗଲ୍ ସର୍କିଟ୍ |
एनालॉग संगणक,ଆନାଗଲ୍ କମ୍ପ୍ୟୁଟର |
एनालॉग रेडिओ फ्रिक्वेन्सी चॅनेल,ଆନାଗଲ୍ ରେଡିଓ ଫ୍ରିକ୍ୱେନ୍ସି ଚ୍ୟାନେଲ |
एनालॉग प्रतिनिधित्व,ଆନାଗଲ୍ ଉପସ୍ଥାପନା |
एनालॉग सिग्नल,ଆନାଗଲ୍ ସିଗନାଲ୍ |
डिजिटल टू डिजिटल,ଅନୁରୂପ କରିବାକୁ ଅନୁରୂପ |
डिजिटल कन्व्हर्टर टू एनालॉग,ଡିଜିଟାଲ୍ କନଭର୍ଟର ପାଇଁ ଆନାଗଲ୍ |
एनालॉग व्हिडिओ,ଆନାଗଲ୍ ଭିଡିଓ |
समान,ଅନୁରୂପ
समानता,ଆନାଲୋଜି
विश्लेषण,ବିଶ୍ଳେଷଣ |
डेटाचे विश्लेषण,ତଥ୍ୟର ବିଶ୍ଳେଷଣ |
विश्लेषणात्मक घनता,ଆନାଲିଟିକାଲ୍ ଘନତା |
विश्लेषण,ବିଶ୍ଳେଷଣ କର |
विश्लेषक,ଆନିପ୍ରିଣ୍ଟେଜର |
उपकरणे,ଅର୍କିଲିଡିଆ ଉପକରଣ |
आणि गेट,ଏବଂ ଫାଟକ
कोलिमेशनचा कोन,କଲିମିର କୋଣ |
ध्रुवीकरणाचा कोन,ପୋଲାରାଇଜେସନ୍ କୋଣ |
रोटेशनचा कोन,ଘୂର୍ଣ୍ଣନର କୋଣ |
अँगस्ट्रॉम (Å),Agtstom (å)
कोनीय,କୋଣାର୍କ
कोनीय प्रवेग,କୋଣାର୍କ ତ୍ୱରାନ୍ୱିତ |
कोनीय समन्वय,କୋଣାର୍କ ସମବେଦନା |
कोनीय विक्षेपण,କୋଣାର୍କ ବିବେକ |
कोनीय फैलाव,କୋଣାର୍କ ବିପରୀତ |
कोनीय विस्थापन,କୋଣାର୍କ ବିସ୍ଥାପନ |
कोनीय त्रुटी,କୋଣାର୍କ ତ୍ରୁଟି |
कोनीय वारंवारता,କୋଣାର୍କ ଫ୍ରିକ୍ୱେନ୍ସି |
कोनीय गती,କୋଣାର୍କ ଗତି |
कोनीय गती,କୋଣାର୍କ ଗତି
कोनीय गती,କୋଣାର୍କ ବେଗ |
अ‍ॅनिमेशन,ଆନିମେସନ୍
एनोड,Anode
एनोड बॅटरी,Anodod ବ୍ୟାଟେରୀ |
एनोड वैशिष्ट्य,Andod ବ istic ଶିଷ୍ଟ୍ୟ |
एनोड सर्किट,ଆନୋଡ ସର୍କିଟ୍ |
एनोड अपव्यय,ଆନୁଷ୍ଠାନିକ ଡିସପିଏସନ
एनोड कार्यक्षमता,ଆନୁଷ୍ଠାନିକ ଦକ୍ଷତା |
एनोड इनपुट पॉवर,ଆନୁଷ୍ଠାନିକ ଇନପୁଟ୍ ଶକ୍ତି |
एनोड मॉड्यूलेशन,ଆନୁଷ୍ଠାନିକ ମୋଡୁଲେସନ୍ |
अँटेना,ଆଣ୍ଟେନା |
अँटेना बीमविड्थ,ଆଣ୍ଟେନା ବିମ୍ୱିଡଥ୍ |
अँटेना बूस्टर,ଆଣ୍ଟେନା ବୁଷ୍ଟର୍ |
अँटेना चेंजओव्हर स्विच,ଆଣ୍ଟେନା ପରିବର୍ତ୍ତନକାରୀ ସୁଇଚ୍ |
अँटेना कॉइल,ଆଣ୍ଟେନା କୋଇଲ୍ |
अँटेना कॉन्फिगरेशन,ଆଣ୍ଟେନା ବିନ୍ୟାସ
अँटेना कपलर,ଆଣ୍ଟେନା କପଟର୍ |
अँटेना क्रॉस ध्रुवीय नमुना,ଆଣ୍ଟେନା କ୍ରସ୍ ପୋଲାର୍ ପ୍ୟାଟର୍ |
अँटेना करंट,ଆଣ୍ଟେନା କରେଣ୍ଟ୍ |
अँटेना डायरेक्टिव्हिटी गेन,ଆଣ୍ଟେନା ପ୍ରତ୍ୟକ୍ଷ ପ୍ରତ୍ୟକ୍ଷ ଲାଭ |
अँटेना डुप्लेक्सर,ଆଣ୍ଟେନା ଡୁପ୍ଲେକ୍ସର |
अँटेना प्रभावी क्षेत्र,ଆଣ୍ଟେନା ପ୍ରଭାବଶାଳୀ କ୍ଷେତ୍ର |
अँटेना कार्यक्षमता,ଆଣ୍ଟେନା ଦକ୍ଷତା |
अँटेना फीड,ଆଣ୍ଟେନା ଫିଡ୍ |
अँटेना फूट प्रिंट,ଆଣ୍ଟେନା ପାଦ ପ୍ରିଣ୍ଟ୍ |
अँटेना गेन,ଆଣ୍ଟେନା ଲାଭ
अँटेना उंची,ଆଣ୍ଟେନା ଉଚ୍ଚତା |
अँटेना प्रतिबाधा,ଆଣ୍ଟେନା ପ୍ରତିରକ୍ଷା |
अँटेना इंडक्टन्स,ଆଣ୍ଟେନା ଇଣ୍ଡିକାନ୍ସ |
अँटेना पॅटर्न,ଆଣ୍ଟେନା ପାଟର୍ନ |
अँटेना प्लेक्सर,ଆଣ୍ଟେନା ପ୍ଲେକ୍ସର୍ |
अँटेना ध्रुवीकरण,ଆଣ୍ଟେନା ପୋଲାରାଇଜେସନ୍ |
अँटेना पॉवर,ଆଣ୍ଟେନା ଶକ୍ତି |
अँटेना पॉवर गेन,ଆଣ୍ଟେନା ପାୱାର ଲାଭ |
अँटेना रेडिएशन प्रतिरोध,ଆଣ୍ଟିନା ବିକିରଣ ପ୍ରତିରୋଧ |
अँटेना रिएक्टन्स,ଆଣ୍ଟେନା ପ୍ରତିକ୍ରିୟା |
अँटेना परावर्तक,ଆଣ୍ଟେନା ରିଫଲେକ୍ଟର |
अँटेना प्रतिकार,ଆଣ୍ଟେନା ପ୍ରତିରୋଧ
अँटेना रेझोनंट वारंवारता,ଆଣ୍ଟେନା ପର୍ଯ୍ୟଟକଗଣ ବିସ୍ତାରିତ ଫ୍ରିକ୍ୱେନ୍ସି |
अँटेना स्पेसिंग,ଆଣ୍ଟେନା ବ୍ୟବଧାନ |
अँटेना स्विचिंग रूम,ଆଣ୍ଟେନା ସୁଇଚ୍ ରୁମ୍ |
अँटेना ट्यूनिंग कॉइल,ଆଣ୍ଟେନା ଟ୍ୟୁନିଂ କୋଇଲ୍ |
अँटेना ट्यूनिंग झोपडी,ଆଣ୍ଟେନା ଟ୍ୟୁନିଂ ହାଟ |
छिद्र,ଆପେଚର
अपोजी,ଆପୋଲେଜ୍
अपोजी रॉकेट,ଆପୋଲେ ରକେଟ୍ |
उपकरणे,ଉପକରଣ
उघड,ସ୍ପଷ୍ଟ
Let पलेट,ଆପଲେଟ୍
अर्ज,ପ୍ରୟୋଗ
अंदाजे,ଆନୁମାନିକ
जलीय द्रावण,ଜଳପ୍ରବାହକାରୀ ସମାଧାନ |
कंस,ଆର୍କ
आर्किटेक्चर,ସ୍ଥାପତ୍ୟ
ध्वनी रेकॉर्डिंगचे संग्रहण हस्तांतरण,ଶବ୍ଦ ରେକର୍ଡିଂର ଅଭିଲେଖାଗାର ସ୍ଥାନାନ୍ତର |
संग्रहण,ଅଭିଲେଖାଗାର
अंकगणित कोडिंग,ଗାଣିତିକ କୋଡିଂ |
आर्मेचर,ଅର୍ଗର
आर्मेचर विंडिंग,ଅରତା ପବନ
रचना,ଆରେ
अरेस्टर,ଆରେଷ୍ଟ୍ରର୍
बोलता,ଆର୍ଟଲେସନ୍
कलाकृती (= कलाकृती),କଳାକୃତି (= କଳାକୃତି)
चढत्या,ଆରୋହଣ
प्रसर गुणोत्तर,ଆନୁମାନିକ ଅନୁପାତ
असेंबलर,ଏକତ୍ରିତ |
प्रतिपादन,ଧାରଣା
असाइनमेंट,ଆସାଇନମେଣ୍ଟ
असाइनमेंट चॅनेल,ଆସାଇନମେଣ୍ଟ ଚ୍ୟାନେଲ୍ |
असममित,ଅସମାନଗତ
एसिन्क्रोनस,ଅସନ୍ତୁଳିତ
वातावरण,ବାୟୁମଣ୍ଡଳ
वातावरणीय नुकसान,ବାୟୁମଣ୍ଡଳୀୟ କ୍ଷତି |
वातावरणीय आवाज,ବାୟୁମଣ୍ଡଳୀୟ ଶବ୍ଦ |
वातावरणीय दबाव,ବାୟୁମଣ୍ଡଳୀୟ ଚାପ |
वातावरणीय प्रसार,ବାୟୁମଣ୍ଡଳୀୟ ପ୍ରସାର |
वातावरणीय रेडिओ-वेव्ह,ବାୟୁମଣ୍ଡଳୀୟ ରେଡିଓ-ତରଙ୍ଗ |
वातावरण,ବାୟୁମଣ୍ଡଳ
अणू,ପରମାଣୁ
अणु रचना,ପରମାଣୁ ଗଠନ
संलग्नक,ସଂଲଗ୍ନ
क्षीणन,ସାଧନ
क्षमतेचे नुकसान,ଆଟେନେସନ୍ କ୍ଷତି |
ध्वनी लहरींचे लक्ष वेधणे,ଶବ୍ଦ ତରଙ୍ଗର ଆଭିମୁଖ୍ୟ |
अ‍ॅटेन्युएटर,ଆଟେଟୋଲେଟର୍ |
अ‍ॅटेन्युएटर-पॅड,ଆଟେନୁଏଟର୍-ପ୍ୟାଡ୍ |
ऑडिबिलिटी थ्रेशोल्ड,ପରିମାପ ସୀମା
ऐकण्यायोग्य,ମୂଳଦୁଆ
ऐकण्यायोग्य वारंवारता,ଶରଣଯୋଗର ଫ୍ରିକ୍ୱେନ୍ସି |
ऐकण्यायोग्य टोन,ଶ୍ରବଣୀୟ ସ୍ୱର
ऐकण्यायोग्य-स्पेक्ट्रम,ଶ୍ରୋଚନା-ସ୍ପେକ୍ଟ୍ରମ୍ |
प्रेक्षक,ଦର୍ଶକ |
ऑडिओ,ଅଡିଓ
ऑडिओ एम्पलीफायर,ଅଡିଓ ଏମ୍ପ୍ଲିଫାୟର୍ |
ऑडिओ विश्लेषक,ଅଡିଓ ଆନାଲିଜର |
ऑडिओ प्रसारण,ଅଡିଓ ପ୍ରସାରଣକାରୀ |
ऑडिओ केबल,ଅଡିଓ କେବୁଲ୍ |
ऑडिओ साखळी,ଅଡିଓ ଶୃଙ୍ଖଳା
ऑडिओ कोडेक,ଅଡିଓ କୋଡେକ
ऑडिओ कॉम्प्रेशन,ଅଡିଓ ସଙ୍କୋଚନ |
ऑडिओ कॉम्प्रेसर,ଅଡିଓ ସଙ୍କୋଚନ |
ऑडिओ कन्सोल,ଅଡିଓ କୋନସୋଲ |
ऑडिओ विकृती,ଅଡିଓ ବିକୃତ |
ऑडिओ डायनॅमिक श्रेणी,ଅଡିଓ ଗତିଶୀଳ ପରିସର |
ऑडिओ फाइल स्वरूप,ଅଡିଓ ଫାଇଲ୍ ଫର୍ମାଟ୍ |
ऑडिओ फ्रेम स्वरूप,ଅଡିଓ ଫ୍ରେମ୍ ଫର୍ମାଟ୍ |
ऑडिओ फ्रिक्वेन्सी एम्पलीफायर,ଅଡିଓ ଫ୍ରିକ୍ୱେନ୍ସି ଏମ୍ପ୍ଲିଫାୟର୍ |
ऑडिओ फ्रिक्वेन्सी जनरेटर,ଅଡିଓ ଫ୍ରିକ୍ୱେନ୍ସି ଜେନେରେଟର |
ऑडिओ वारंवारता श्रेणी,ଅଡିଓ ଫ୍ରିକ୍ୱେନ୍ସି ରେଞ୍ଜ |
ऑडिओ वारंवारता प्रतिसाद,ଅଡିଓ ଫ୍ରିକ୍ୱେନ୍ସି ପ୍ରତିକ୍ରିୟା |
ऑडिओ लिमिटर,ଅଡିଓ ସୀମା
ऑडिओ लाइन,ଅଡିଓ ରେଖା |
ऑडिओ मिक्सर,ଅଡିଓ ମିକ୍ସର୍ |
ऑडिओ मॉड्यूलेशन,ଅଡିଓ ମୋଣ୍ଟୁଲେସନ୍ |
ऑडिओ ऑसीलेटर,ଅଡିଓ ଓସକ୍ଲଟର |
ऑडिओ आउटपुट,ଅଡିଓ ଆଉଟପୁଟ୍
ऑडिओ पॉवर,ଅଡିଓ ଶକ୍ତି |
ऑडिओ गुणवत्ता,ଅଡିଓ ଗୁଣ
ऑडिओ सिग्नल,ଅଡିଓ ସଙ୍କେତ
ऑडिओ सिग्नल प्रक्रिया,ଅଡିଓ ସଙ୍କେତ ପ୍ରକ୍ରିୟାକରଣ |
ऑडिओ स्पेक्ट्रम,ଅଡିଓ ସ୍ପେକ୍ଟ୍ରମ୍
ऑडिओ स्टोरेज,ଅଡିଓ ଷ୍ଟୋରେଜ୍ |
ऑडिओ सब-कॅरियर,ଅଡିଓ ସବ୍-କ୍ୟାରିଅର୍ |
ऑडिओ ट्रान्सफॉर्मर,ଅଡିଓ ଟ୍ରାନ୍ସଫର୍ମର |
ऑडिओ ट्रान्समीटर,ଅଡିଓ ଟ୍ରାନ୍ସମିଟର |
ऑडिओ/व्हिडिओ कॉम्प्रेशन,ଅଡିଓ / ଭିଡିଓ ସଙ୍କୋଚନ |
ऑडिओ-फ्रिक्वेन्सी ऑसीलेटर,ଅଡିଓ-ଫ୍ରିକ୍ୱେନ୍ସି ଓସକ୍ଲୁଟର |
ऑडिओ-फ्रिक्वेन्सी सिग्नल,ଅଡିଓ-ଫ୍ରିକ୍ୱେନ୍ସି ସିଗ୍ନାଲ୍ |
ऑडिओमेट्री,ଅଡିଓମେଟ୍ରି |
ऑडिओ-व्हिज्युअल मदत,ଅଡିଓ-ଭିଜୁଆଲ୍ ସାହାଯ୍ୟ |
श्रवणविषयक समज,ଅଡିଟୋରୀ ଧାରଣା |
प्रमाणीकरण,ପ୍ରାମାଣିକିକରଣ
अधिकृत वाहक वारंवारता,ପ୍ରାଧିକୃତ ବାହକ ଫ୍ରିକ୍ୱେନ୍ସି |
ऑटो कॅड,ଅଟୋ କ୍ୟାଡ୍
ऑटो डायग्नोस्टिक्स,ଅଟୋ ଡାଇଗ୍ନୋଷ୍ଟିକ୍ |
स्वयंचलित,ସ୍ୱୟଂଚାଳିତ |
स्वयंचलित नियंत्रण,ସ୍ୱୟଂଚାଳିତ ନିୟନ୍ତ୍ରଣ |
स्वयंचलित शोध,ସ୍ୱୟଂଚାଳିତ ଚିହ୍ନଟ |
स्वयंचलित उपकरणे,ସ୍ୱୟଂଚାଳିତ ଯନ୍ତ୍ରପାତି |
स्वयंचलित वारंवारता नियंत्रण,ସ୍ୱୟଂଚାଳିତ ଫ୍ରିକ୍ୱେନ୍ସି କଣ୍ଟ୍ରୋଲ୍ |
स्वयंचलित मर्यादा,ସ୍ୱୟଂଚାଳିତ ସୀମା |
स्वयंचलित मशीन,ସ୍ୱୟଂଚାଳିତ ଯନ୍ତ୍ର
स्वयंचलित Phasae नियंत्रण,ସ୍ୱୟଂଚାଳିତ ଫାସା ନିୟନ୍ତ୍ରଣ |
स्वयंचलित चित्र संप्रेषण,ସ୍ୱୟଂଚାଳିତ ଚିତ୍ର ଟ୍ରାନ୍ସମିସନ୍ |
स्वयंचलित प्लेबॅक,ସ୍ୱୟଂଚାଳିତ ପ୍ଲେକ୍ |
स्वयंचलित उर्जा नियंत्रण,ସ୍ୱୟଂଚାଳିତ ଶକ୍ତି ନିୟନ୍ତ୍ରଣ |
स्वयंचलित प्रोग्रामिंग,ସ୍ୱୟଂଚାଳିତ ପ୍ରୋଗ୍ରାମିଂ |
स्वयंचलित रेकॉर्डिंग,ସ୍ୱୟଂଚାଳିତ ରେକର୍ଡିଂ |
स्वयंचलित रीसेट,ସ୍ୱୟଂଚାଳିତ ପୁନ et ସେଟ୍ |
स्वयंचलित शटर,ସ୍ୱୟଂଚାଳିତ ସଟକଟର୍ ​​|
स्वयंचलित प्रणाली,ସ୍ୱୟଂଚାଳିତ ସିଷ୍ଟମ୍ |
स्वयंचलित टेलिफोन,ସ୍ୱୟଂଚାଳିତ ଟେଲିଫୋନ୍ |
स्वयंचलित तापमान नियंत्रण,ସ୍ୱୟଂଚାଳିତ ତାପମାତ୍ରା ନିୟନ୍ତ୍ରଣ |
स्वयंचलित व्होल्टेज नियामक,ସ୍ୱୟଂଚାଳିତ ଭୋଲଟେଜ୍ ନିୟାମକ |
स्वयंचलित व्हॉल्यूम कॉम्प्रेसर,ସ୍ୱୟଂଚାଳିତ ଭଲ୍ୟୁମ୍ ସଙ୍କେତ ଅନୁବାଦକ |
स्वयंचलित व्हॉल्यूम नियंत्रण,ସ୍ୱୟଂଚାଳିତ ଭଲ୍ୟୁମ୍ କଣ୍ଟ୍ରୋଲ୍ |
